घबराना मत.	భయపడకూడదు.
-नहीं. -परतियोगियों के लिए अंतिम बुलावा.	-ఖచచితంగా అనుకోను. -పోటీదారులకు చివరి పిలుపు.
और हवा बस आह भरती.	గాలి ఊగేది అంతే.
हे भगवान, डरू. . .	దేవుడా, డరూ. . .
कया? फरक नहीं पडता, कयोंकि. . .	ఏంటి? ఇది ముఖయం కాదు, ఎందుకంటే. . .
कया बातें हुईं?	నేనేం మిస అయయాను?
पर फिर भी कहूँगा.	అయినా చెబుతాను.
अगर एक नियम मानकर चलो तो.	మీరు ఒక నియమం పాటిసతే.
कोई कहानी बनाना चाहती हो?	ననను ఒక కథ చెపపమంటావా?
शायद उसके सामान के साथ रह गया हो.	తన సామాగరితో పాటు పెటటిందేమో.
-यही मेरे लिए एक उपाय है. -कया मतलब?	-నాకు ఇది తపప వేరే దారి లేదు. -అంటే ఏంటి?
-हाँ. -वह बहुत ही घटिया लडका है.	-అవును. -అతను చిరగగా ఉంటాడు.
डिगिनस.	డిగగినస.
तुम हेदर हो न?	నువవు హేథర, కదా?
मुझे लगा रे मुझे सिरफ बलैकमेल कर रहा था.	రే ఊరికే భయపెడుతుననాడని అనుకుననాను.
तुम नहीं आओगी?	నువవు రావడంలేదా?
सीधे पतथरों से जाकर टकराओगे.	అకకడి రాళళు పడకుండా అడడుకుంటాయి.
मिमी, नंबर छह.	మిమి, నంబరు ఆరు.
-नैट, चलो! -बस, कर डालो!	-నాట, దూకు! -దూకేసెయ!
उसे उठाने में कोई मुशकिल न होती.	తనను తీసుకెళళడం ఇబబంది కాదు.
उस ऊँचाई से गिरने पर, आपको 50 अंक और मिलेंगे और	అకకడి నుండి దూకితే మీకు 50 పాయింటలు అదనం,
मुझे यह गाना बहुत पसंद है! चलो.	నాకు ఈ పాట అంటే ఇషటం! రండి.
हाँ, बेकार का कागजी काम है.	అవును, సుతతి పతరాలు రాయడం కూడా.
ठीक, मेरे पास एक है.	సరే, నా దగగర ఒకటి ఉంది.
और उनहोंने उसे एक ऊँची मीनार में बंद कर दिया,	వాళళామెను ఎతతెన ఒంటి మేడలో తాళం వేశారు.
फोन? शुकरिया.	ఫోన? ధనయవాదాలు.
खेल शुरू हों!	ఆట మొదలుపెడదాం!
मेरा बुलावा है.	అది నా చిహనం.
उतरते समय गडबड हो सकती है.	సమసయ కిందకు పడేటపపుడు వసతుంది.
पूरा पैसा देने के लिए अगसत तक समय है.	చివరి చెలలింపుకు ఆగసట వరకూ ఉంది.
हम रे हॉल से बचने की खुशी मना रहे हैं.	మేము రే హాల లేని భవిషయతతును అభినందిసతుననాము.
शुरू से शुरू करते हैं.	సంగరహించి చెబుదాము.
बहुत तकलीफ देती है.	నీ నడుం విరగగొడుతుంది.
यह साला कया हो रहा है?	అసలు ఏం జరుగుతోంది?
तुमने हाई जंप लगाई.	నువవు పె నుండి దూకావు.
दोबारा सोने को तैयार हूँ.	టెలర వాళళ అమమతో సెకస చేయవచచు.
बस यह नहीं चाहती कि तुम खेलो.	నువవు ఆడకూడదనుకుంటుననాను.
पर मेरे पास खोने को कुछ नहीं.	కానీ నాకు పోయేది ఏం లేదు.
चुनौती में जो भी होता है, यहीं खतम होता है.	ఈ సవాలులో జరిగేది సవాలు వరకే పరిమితం.
विजेता निकल जाते हैं.	విజేతలు బయటపడతారు.
बिलकुल आ गई.	అవును, వచచాను.
-लाइटर पर? -मेरा हाथ फिसल गया!	-లెటర మీద పడిందా? -నా చేయి జారింది!
नहीं, मैं बस मेजबान हूँ.	లేదు, నేను వయాఖయాతను మాతరమే.
"कुछ नहीं. "	"ఏమీకావు" అని.
हेदर निल ताजा अनुभव. . .	హేథర నిల, ఇటీవలి అనుభవం. . .
मैं तुमहें जानती हूँ.	నువవు నాకు తెలుసు.
एक साल हो चुका है.	అంటే, సంవతసరం అయింది.
हमेशा.	ఎపపుడూ.
पहली चुनौती है द जंप.	మొదటి సవాలు దూకడం.
हैलो, दोसतो!	హే, మితరులారా!
तुमहें फोन करने की कोशिश की.	నీకు ఫోన చేయాలని చూశాను.
चलो भी.	వెళళు.
पकका यह करना चाहती हो, हेदर?	నువవు ఇది చేసతావా, హేథర?
पर खेल का मकसद आपको मारना नहीं है.	ఈ ఆట మీ పరాణం తీయడానికి కాదు.
इसलिए नया लडका एक बडी बात है.	ఎవరెనా కొతతగా వసతే అది పెదద వారతే.
जलद ही, पतथर वाले लोग फँस गए,	వెంటనే, రాతి మనుషులు ఇరుకకుపోయారు,
एक शहर था, हमारे वाले जैसा.	ఒక ఊరు ఉంది, మనలాంటిదే.
बिल भरते-भरते और घर का खरचा चलाते-चलाते,	మన తలపె కపపు నిలవడానికి ఇంకా బిలలుల చెలలింపులతో
मुझे अफसोस है, हेदर.	బాధగా ఉంది, హేథర.
मुझे अफसोस है, हेदर.	బాధగా ఉంది, హేథర.
आप कुछ लेना चाहेंगे?	మీకు ఏమెనా ఇవవనా?
शायद तुमहारी माँ हो.	మీ అమమ అయింటుంది.
कभी-कभी 40 खिलाडी हिससा लेते हैं.	ఒకకోసారి 40 ఆటగాళళు చేరతారు.
नंबर आठ, मैट. एक मशाल ले लो.	నంబరు ఎనిమిది, మాట. మతాబు తీసుకో.
इस साल जो पैनिक का विजेता होगा, वह अपने साथ 50, 000 डॉलर का	ఈ ఏడాది, పానిక విజేత భారీ బహుమతితో ఇంటికి వెళతారు.
अब जिम बंद.	ఇక జిమ ఉండదు.
पर किसी को लोग नहीं चाहिए.	కానీ ఎవరూ పని ఇవవలేదు.
अचछा. रे हॉल जीतने चला है!	సరే, విజయంకోసం రే హాల!
चलो, नैटली!	వెళళు, నాటలీ!
तुम खेलोगी?	నువవూ ఆడతావా?
चोरी-छुपे सिनेमा घर भी नहीं जा सकती. छोडो भी,	సినిమా థియేటరలోకి దొంగగా దూరవు. సరేలే,
पर वहाँ के लोग पतथरों के बने थे.	కాకపోతే అందరూ రాతి మనుషులు.
मेरे पास बिलकुल ऐसा सूट है.	నీకు తెలుసా, నాకూ ఇదే సూటు ఉంది.
निरणय होने वाला है.	తీరపు రాబోతుంది.
शुकरिया, लिलीबग.	ధనయవాదాలు, లిలలీబగ.
मेरा नाम डिगिनस है,	నా పేరు డిగగినస,
ए, वह मेरी गाडी है!	హే, అది నా కారు!
तुम कहाँ चले गए थे?	ఎకకడికి వెళళావు?
तो, वह ऊँची मीनार से कैसे बच सकती है?	మరి, ఆ ఎతతెన మేడ నుండి ఆమె ఎలా తపపించుకుంది?
शुकरिया. फिर मिलूँगी.	ధనయవాదాలు. తరువాత కలుసతా.
मैं पैनिक जीतने वाली हूँ.	నేను పానిక గెలుసతాను.
तुमहें काम के लिए देर हो जाएगी!	నీకు పనికి ఆలసయం అవుతోంది!
नए जज होते हैं.	కొతత నయాయనిరణేతలు.
अचछा?	అవునా?
वॉलमारट में,	వాలమారటలో,
इतने ही हैं.	అంతే ఉంది.
अब चलो यहाँ से.	ఇకకడ నుండి వెళదాం.
नई खुशी में.	మళళీ చీరస.
इस खयाल से मजा तो बहुत आता है,	ఆ ఆలోచన ఉతసాహానని ఇచచినా,
यही कहना चाहती हो?	ఇదంతా అందుకేనా?
कैसे होता है? कब शुरू होता है?	అది ఎలా ఉంటుంది? ఎపపుడు మొదలవుతుంది?
-कया? -साला.	-ఏంటి? -ఛ.
वे चाहे जो भी हों.	అది ఎవరెనా సరే.
आपने मेरे पैसे चुरा लिए.	నా డబబు దొంగలించావా?
खासकर जब आँखों पर पटटी बाँधकर निकल पडते हैं.	ముఖయంగా కళళకు గంతలు కటటుకొని రహదారులలో నడుసతుననపపుడు.
बो की गाडी तेल पीती है, इसलिए. . .	తెలుసుగా బో టరకకుకు ఎంత ఇంధనం కావాలో. . .
-हाँ. -मतलब यहाँ कुछ खास नहीं होता.	-అవును. -అంటే ఇకకడ ఏం జరగవని.
तुम अपना डिपलोमा ले आई.	నీ డిపలొమా తెచచావు.
नौकरी ढूँढ रही हो, हाँ?	ఉదయోగ వేటలో ఉననావా?
तुम हॉलीवुड जा रही हो, तुम कॉलेज,	నువవు హాలీవుడకు వెళతావు, నువవు కాలేజీకి,
पर पतथर वाले लोग बहुत ही भारी थे.	కానీ రాతి మనుషులు మోయలేనంత బరువు ఉననారు.
मैं भी इशारे का इंतजार कर रहा हूँ.	నేనూ సూచనకె వేచి చూసతుననాను.
यह आज तक का सबसे बडा इनाम है. पिछले साल 30 हजार था.	అది చాలా పెదద బహుమతి. గత ఏడాది 30 ఉండింది.
वह नैटली विलियमस है, सूरज की किरण.	తను నాటలీ విలియమస, ఆశాకిరణం.
हेदर, वापस आओ!	హేథర, వెనుకకు రా!
हैलो, नैटली, तुम 11 नंबर हो.	హే, నాటలీ, నీ నంబరు 11.
मशाल ले लो. शुभकामनाएँ.	మతాబు తీసుకో. అదృషటం కలగాలి.
कोशिश करके भी मुझसे छुटकारा नहीं पाओगी.	పరయతనించినా ననను వదిలించుకోలేవు.
उनहें पता है हम कहीं नहीं जाएँगे.	మనం ఎకకడికీ వెళళమని తెలుసు.
अचछा, बाप-बेटी की तसवीर. एक साथ खडे हो जाइए.	సరే, తండరీ కూతుళళ ఫోటో. దగగరగా రండి.
-जरा इनहें पकड लोगी? -जरूर.	-ఇవి కాసత పటటుకుంటావా? -తపపకుండా.
अभी दकषिण से नजर आ रहे हैं.	ఇపపుడు అవి దకషిణ దిశగా వసతుననాయి.
कयोंकि बाकियों को भी ऊपर जाना है.	ఇంకా దూకాలసిన వాళళు ఉననారు.
लौट चलने में हरज नहीं.	వెనుకకు వచచేయొచచు.
तुमहें जो साबित करना था, कर दिया.	నువవు ఇపపటికే పరకటించేశావు.
लोग तो नहाने वाले टब में और गाडी दुरघटनाओं में भी	అంటే, జనం సనానపు తొటటిలో, కారు పరమాదాలలో
गोदाम का काम खतम होते ही तुमहारी किसमत बदल जाएगी.	వాళళు గోదాము పూరతిచేశాక నీ దశ మారుతుంది.
-आपको कोई हक नहीं था. -तुम मेरे घर में रह रही हो!	-నీకు హకకు లేదు. -నువవు నా ఇంటలో ఉననావు!
मुझे बस 500 डॉलर चाहिए, पर. . .	నాకు ఇంకా 500 డాలరలు కావాలి, కానీ. . .
देवियो और सजजनो, एक और मिल गया!	సోదర సోదరీమణులారా, మరొకరు వెళుతుననారు!
शायद उसकी दवा के जरिए.	అతని మందులు మారచేసేయొచచేమో.
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత సమత
हाँ, कभी-कभी.	అవును, ఒకకోసారి.
इसे हटाना मत.	ఇది తొలగించవదదు.
खेल को अलग ही सतर पर ले गए, डॉज!	ఎకకువ పాయింటలు కోసం, డాడజ!
किसे नंबर चाहिए? आज रात खेलोगी? नंबर चाहिए.	ఎవరికి నంబరు రాయాలి? ఈరాతరి ఆడుతుననారా? నంబరు ఉండాలి.
मैं मजाक नहीं कर रही.	నిజంగా అంటుననాను.
और तेज हवा से सुरकषा की भीख माँगी.	గాలిని తమను సురకషిత చోటుకు తీసుకెళళమననారు.
कुछ मिनट और. शुकरिया.	కొనని నిమిషాలు. ధనయవాదాలు.
गरेजुएट.	పటటభదరులు.
हैलो.	హాయ.
तीन.	మూడు.
शुकरिया.	ధనయవాదాలు.
हाँ. . .	అవును. . .
यह कया, यार?	ఏంటిది, మితరమా?
अचछा.	సరే.
शुकरिया.	ధనయవాదాలు.
मैंने भी यही कहा था.	నేనూ అదే అననాను.
अचछा.	సరే.
शुकरिया.	ధనయవాదాలు.
शुकरिया.	ధనయవాదాలు.
डॉज.	డాడజ.
उनकी रात की शिफट है.	తను రాతరి షిఫటకు వసతుంది.
कया?	ఏంటి?
कया?	ఏంటి?
शुकरिया.	ధనయవాదాలు.
अचछा,	సరే,
शुकरिया.	ధనయవాదాలు.
तुम अब तैराकी टीम में नहीं हो.	నువవు ఇక ఈత బృదంలో లేవు.
शुकरिया.	ధనయవాదాలు.
तुम 12 नंबर हो.	నీ నంబరు 12.
बहुत बढिया, यार!	బాగా చేశావు, బంగారం!
सभी.	అననీ.
लिली	లిలలీ
कैसा खाना?	ఏ తిండి?
-देर कर दी. -दफा हो जाओ.	-ఆలసయమయయావు. -పోరా.
शुरू हो रहा है.	అది పరారంభమవుతోంది.
पैनिक में सवागत है!	పానికకు సవాగతం!
सुबह तक बचे रहे तो, जीत तुमहारी होगी.	రేపు తెలలవారు జాము వరకు ఉండగలిగితే, విజయం నీదే.
पर खेल में भूत भी हैं.	కానీ ఆటలో ఆతమలు కూడా ఉంటాయి.
चलो भी, टी!	అకకడకు రా, టీ!
नंबर लिख डालो.	నంబరు రాయి.
सभी नए खिलाडियों को याद दिला दें.	అకకడి కొతత ఆటగాళళందరికీ, గురతు చేసతుననాను.
तुम तो माहिर हो न?	నువవు నిపుణురాలివి కదా?
सुनो, रे.	హే, రే.
-एक. . . -हाँ.	-ఒకటి. . . -అవును.
याद है?	గురతుందా?
तैयार हो?	సిదధమా?
-उठो, हेदर. -बाद में.	-లెగు, హేథర. -తరవాత వసతాలే.
हे भगवान.	దేవుడా.
तो. . .	అంటే. . .
हे भगवान.	దేవుడా.
हम जहाँ चाहें रह पाएँगे.	మనం ఎకకడ కావాలంటే అకకడ ఉండవచచు.
-अरे, बाप रे. -एकदम पिछवाडे पर.	-అబబా. -సరిగగా నడడిలోకి.
-हाँ. -हाँ, जरूर.	-హా. -అవును, ఖచచితంగా.
तुमहारा फोन बज रहा है.	నీ ఫోన మోగుతోంది.
मुझे सुनकर दुख हुआ. सच में.	అది నా భావాలను గాయపరిచింది. నిజంగా.
सब ने कहा, "तुम कुछ नहीं, "	"నువవు ఏమీకావు, " అని అందరూ ఆననారు,
अकाउनटेंट तो पैसा बचाना सिखाते हैं न?	అకౌంటెంటలు నీకు డబబు దాచడం గురించి నేరపించ లేదా?
नहीं! अभी!	లేదు! ఇపపుడే!
हाँ, जिसमें मेरा टरांसमिशन है.	అవును, అయినా, అందులో నా టరానసమిషన ఉంది.
पुलिस को खेल का पता है.	పోలీసులకు ఆ ఆట గురించి తెలుసు.
तुम मेरे साथ नशा भी नहीं करती.	నువవు కనీసం తాగవు కూడా.
बेकार की कहानियाँ गढने के लिए वजीफे नहीं मिलते.	పిచచి పనులకు వాళళు సకాలరషిపలు ఇవవరు.
कारप में सवागत है	కారపకు సవాగతం
"मिमी, " ठीक कहा.	"మిమి, " సరే.
माँ, वह पैसा मेरे कॉलेज के लिए था.	అమమా, ఆ డబబు నా సకూల కోసం.
जबान संभालकर.	జాగరతతగా మాటలాడు.
कोई कुछ पोसट नहीं करेगा, न टवीट या इंसटागरैम पर डालेगा.	పోసటింగ, టవీటింగ, ఇనసటాగరామింగలు చేయకూడదు.
शैतान का घर होते हैं.	ఇంటికి చేటు అని.
दरवाजे को कया हो गया?	తలుపుకు ఏమయింది?
पानी का सतर चढा,	నీటి సథాయి పెరిగింది,
यह देखो. सफेद कचरा.	ఇది చూడు. తెలల జాతి చెతత.
पेशाब करना था. शांति रखो.	బాతరూంకు. శాంతించు.
और फिर तुमने सबसे कहा कि उसे गुपत रोग था.	అపపుడు నువవేమో అతనికి కలామిడియా ఉందని అందరికీ చెపపావు.
-पर एक तुम ही तो. . . -हो जो कुछ करती हो.	-కానీ నువవు ఒకకదానివే. . . -నిజానికి ఏదెనా పని చేసేది.
-धीरे बोलो. -तो यह सच है.	-గొంతు తగగించు. -అయితే అది నిజమే.
-मुझे उतारो! -हम जा रहे हैं.	-ననను కిందకు దించు! -మనం వెళుతుననాము.
मैं जब आठवीं में थी, तब से काम शुरू हो रहा है.	నా ఎనిమిదో తరగతి అపపడినుండీ నిరమాణం మొదలు పెడతారని అంటుననారు.
कुछ-कुछ.	కొననే.
गुपत रोग के नाम.	కలామిడియాకు.
पर पता नहीं हम वह कैसे करेंगे.	అందులో ఎంత వరకు విజయం పొందుతామో తెలియదు.
काश तुम न जाती.	నువవు వెళళాలని లేదు.
जानकारी वाले, कोरस वाले कागजात, पैसों वाले फारम. . .	సమాచారం, కోరసు వివరాలు, ఫీజు ఫామలు. . .
वह मेरा पैसा था.	ఆ డబబు నాది.
"कुछ नहीं. "	"ఏమీకావు"
पर एक लडकी थोडी अलग थी.	కానీ ఒకక అమమాయి భిననంగా ఉండేది.
-रे! -किसी न किसी तरीके से.	-రే! -ఏదో ఒక విధంగా.
जज लोगों ने कुछ कहा?	నయాయనిరణేతలు ఏమెనా చెపపారా?
इनाम ले जाएगा.	అది 50, 000 డాలరలు.
मैं तेज बचचों के साथ बैठ सकता हूँ?	ఈ మంచి పిలలలతో కూరచోవచచా?
फिर एक दिन, एक तूफान आया.	అపపుడు ఒక రోజు, ఒక తుఫాను వచచింది.
हाथ फैलाकर.	అడుకకుంటుననాను.
-हाँ. -हाँ.	-అవును. -అవును.
और अब, जिसका आप सभी को इंतजार है,	ఇక, మీరు ఎదురుచూసతుననది,
इसे बीमा समझ लो.	దీనిని బీమాగా భావించు.
रे, बस करो.	రే, ఆపు.
चूके तो,	దూకలేకపోతే,
लुकआउट से कूदो और 100 अंक बटोरो,	లుకఅవుట నుండి దూకి, 100 పాయింటల గెలుచుకోండి,
धत तेरी.	అబబా, ఛ, ఛ.
एक डॉलर से एक बार की खिंचाई से बच जाओगे.	ఒక డాలర పరారథనకు పనికొసతుంది.
-मैं एक पाई नहीं बचा पाई. -बिलकुल.	-నా ఖరచుకు కనీసం పెసా మిగిలేది కాదు. -ఖచచితంగా.
तो बाहर निकलो	అయితే బయటకు వెళళు,
तुमने कहा यह खेल एक जाल है, धोखा है.	ఈ ఆట ఒక ఉచచు, మోసం అననావు.
शुकरिया, बहुत अचछा लगा.	ధనయవాదాలు, నిజంగా ఇది ముఖయమెనది.
एक समय पर,	అనగనగా ఒకసారి,
कयों?	ఎందుకు?
बाप रे.	అబబో.
बाप रे,	అబబో,
तुम कया साबित करना चाहती हो?	ఏం నిరుపించుకుంటావు?
तुमहारे पास 20 डॉलर हैं?	ఓ 20 డాలరలుననాయా?
गुड नाइट. तुमसे पयार है.	శుభరాతరి. బంగారం.
मुझे लगा तुमहें पलग निकालकर	నీకు పలగగులు తీయడం,
हर साल नया होता है.	పరతి ఏడాది భిననంగా ఉంటుంది.
तुम पर नाज है, बेटा.	గరవంగా ఉందమమా.
-बिशप! -कुछ सुनाई नहीं दे रहा.	-బిషప! -వినబడటం లేదు.
मुझे माफ करना, हेदर.	కషమించు, హేథర.
पुरानी यादें भूलने के नाम.	అననీ మరచిపోడానికి.
कैसा रहा?	ఎలా జరిగింది?
हाँ, यह हुई न बात!	అవును, అదీ నా సనేహితుడంటే!
और उड गई.	ఎగిరిపోయింది.
फिर जब मैंने देखा कि बाकियों को भी देना पडा. . .	మిగిలిన వారు చెలలించడం చూశాక. . .
तुम बात टाल रही हो.	దాటేసతుననావు.
वह ऐसे शहर में रहती थी जहाँ लोग पतथर के बने थे.	ఆమె రాతి మనుషులు ఉనన ఊరిలో ఉంది.
कभी-कभी उसके आधे.	ఒకకోసారి అందులో సగం మందే.
अगर इसे दिखाकर दाद से बच सकता हूँ तो टायलर की माँ के साथ	అంటే, ఇది సరపి రాకుండా ఉచిత పాస అయితే,
पर इस बार, उततर की ओर से है.	ఈసారి, ఉతతరం నుండి.
कोई उसे उतार सकता है?	తనను ఎవరెనా కిందకు తీసుకోసతారా?
और अगर कोई जिंदगी को और रोमांचक बनाना चाहे,	తెలివితకకువ వాళళు లేదా తాగినవారికి జీవిత ఎంపిక పరశనారథకంగా ఉంటే,
चलो!	పదండి!
चलो, लिली. आओ.	రా, లిలలీ. పద వెళదాం.
हाँ.	అవును.
मुझे नहीं जाना.	నేను రాను.
हाँ.	అవును.
किसी का साथ पाने के लिए, कभी-कभी वह हवा से बातें करती.	ఒకకోసారి గాలితో మాటలాడేది, తోడుకోసం.
एक कोक देना, पलीज.	ఒక కోక ఇవవు.
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
टिशयू चाहिए?	నీకు టిషయూ కావాలా?
फोन.	ఫోనలు.
तुमहें तैरने वाली जगह तक जाकर, नीचे कूदना है.	మీరు వెళళి ఈత గుంటలోకి దూకాలి.
हाँ.	అవును.
पर आप तो जानते हैं कि यहाँ एक मैं ही काम करती हूँ. और. . .	కానీ ఇకకడ పని అంటూ చేసేది నేను మాతరమే.
मैं नहीं खेलने वाला. अचछा.	నేను ఆడను. సరేనా.
तुमहारी माँ कहाँ हैं, डॉज?	మీ అమమ ఏది, డాడజ?
उसे जहर दे दूँ?	అతనికి విషం పెటటమంటావా?
और न ही ऐसा होगा.	తీయదు కూడా.
शुभकामनाएँ.	నీకు శుభం కలగాలి.
हाँ, मतलब, हमें भूल जाना चाहिए.	అవును, అంటే, నిజంగా మనం దాని గురించి మరచిపోవాలి.
हमारे वाले में एक खेल है.	మాకు ఒక ఆట ఉంది.
परतिबंधित कीमत घटा दी गई!	జపతు తగగింపు ధర!
जिमी और ऐबी की आतमा को शांति मिले	జిమమీ + ఆబీ శరదధాంజలి
सिगरेट और नशे पर जरूर.	డరగసకి తపపితే.
-अचछा? -हाँ.	-ఓహ, అవునా? -అవును.
शुरू हो गया.	అది పరారంభమవుతోంది.
धत तेरी.	అయయో.
तुमहें वजीफे के लिए, कम से कम आवेदन तो करना चाहिए.	నువవు సకాలరషిపకెనా దరఖాసతు చెయ.
हम आ गए!	మేము వచచేశాం!
उममीद है जलदी आएगा.	అది తవరగా వసతుందని ఆశిసతుననాను.
बस छोटी सी चीज है,	ఏదో చిననది,
तो, आगे कया होगा?	అయితే, తరువాత ఏం జరుగుతుంది?
-दो. -दो.	-రెండు. -రెండు.
हैलो!	హే!
हैलो!	హే!
हैलो!	హే!
कोई भी नहीं.	ఏ మినహాయింపులు లేవు.
तुम पर नाज है.	నినను చూసతే గరవంగా ఉంది.
अचछी बात है.	మంచిది.
तुमसे पयार है. बाय!	ఉంటాను. బె!
तुमहें. . .	నీకు కావాలి ఒక. . .
बहुत ही कमाल का.	అదభుతంగా.
जरूर.	కూరచోండి.
नई चुनौतियाँ होती हैं,	కొతత సవాళళు,
नहीं जा रहे.	అంటే, మనం వెళుతుననాము.
मेनयू?	మెనూ ఇవవనా?
हम साथ-साथ खेल सकते हैं.	కలిసి ఆడవచచు.
कहाँ जा रही हो?	ఎకకడికి?
पर बीयर, लॉटरी की टिकटें,	కాకపోతే, బీరుకు, లాటరీ టికెటలకు, సిగరెటలకు ఇంకా
हाँ, नैट!	వెళళు, వెళళు, నాట!
चलो भी, यार.	సరేలే.
ए.	హేయ.
कब से?	ఎపపటి నుండి?
और पैनिक?	మరి పానిక మాటేంటి?
कैसे कागजात?	ఏంటవి?
यदि हम खेलते नहीं, तो.	ఆడేంతవరకు.
और चढा,	పెరుగుతూనే ఉంది,
जिमी और ऐबी की आतमा को शांति मिले हमें तुमहारी याद आती है!	జిమమి, ఆబీలకు శరదధాంజలి!
हाँ,	సరే, అంటే,
मिले?	నీకది దొరికిందా?
चलो!	పదండి వెళదాం!
