मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
डेसी, तुम इससे सहमत हो?	డెసి, అది పనిచేసతుందా?
कोलंबिया बरॉडकासटिंग सिसटम के पोरटफोलियो की.	బరాడకాసట వయవసథ పోరటఫోలియోకు నేను తరగని ఆసతిని.
-समझ गए. -मजाक अचछा था.	-తెలుసు. -సరదాగా ఉంది.
-आपने मुझसे पूछा? -हाँ.	-నాకు చెబుతుననారా? -ఆ.
अपनी सवीकृति देंगे और परेस उस बारे में लिखेगी.	అంగీకరిసతారని, పరెస వింటుందని అనుకుంటుననాడు.
याद है? हफते की शुरुआत में तुमने मुझे चूमा था,	గురతుందా? వారం మొదటలో ననను ముదదుపెటటుకుననావు
फिर गुरुवार रात को खुलने लगीं. पता है कयों?	అది గురువారం రాతరులకు మారింది. ఎందుకో తెలుసా?
देखा जाए तो दो कुरसियाँ और एक पियानो बेंच है.	నిజానికి, అవి రెండు కురచీలు, ఒక పియానో బలల.
वे भाग गए, उनहोंने चैटसवरथ में एक रैंच खरीदा.	వారు లేచిపోయి, చాటసవరతలో పెదద పొలం కొననారు.
कारोबार का हर फैसला, नेटवरक, फिलिप मॉरिस. . .	పరతీ వయాపార నిరణయం అతనిదే, ఫిలిప మోరిస. . .
-"फूल काटो" से मतलब. . . -वह मतलब जानती है.	-"పూలు కతతిరించు" అంటే-- -ఏమిటో ఆమెకు తెలుసు.
वह मुझे सटेज के लिए कुछ कारगर सलाहें देता है.	ననను సటేజి మీదకు పిలుసతాడు, బాగానే ఉంటుంది.
-तुमने सुरखियाँ देखीं. -सबको साफ दिख रही हैं.	-ముఖయ వారత చూసావు. -అంతరికషం నుండి చూడొచచు.
टिप टरिबी, फिलिप मॉरिस का जनसंपरक उपाधयकष.	టరిప టరిబబీ, ఫిలిప మోరిస పబలిక రిలేషనస వీపీ.
उसे गिटार बजाना आता था	అతను గిటార వాయించగలడు
वह किसी ने नहीं देखा?	ఎవరూ దానని గమనించలేదా?
-यह पागलपन है. -अचछा?	-పిచచిగా ఉంది. -అవును.
अखबार पढना बंद कर दो.	పతరికలు చూసతూ కూరచోకు.
वह बढिया दिखना चाहेगी.	అందంగా ముసతాబవుతోంది.
आप फिलम में अचछी लगीं.	మాకు సినిమాలో నచచావు.
-कया? -लूसी गरभवती है.	-ఏమిటి? -లూసీ గరభవతా?
ऑल अबाउट ईव में लूसी हो सकती थी और पता है?	ఆల అబౌట ఈవలో లూసీ అయి ఉండవచచు ఎవరికి తెలుసు?
-लूसी फूल सजा रही है. -फूल को काट रहे हैं.	-లూసీ పూలు సరదుతుంది. -పూల సీన తొలగిసతుననాం.
मुझसे कयों कह रही हो?	నాకెందుకు చెపుతుననావు?
-मुमकिन है. -शुकरिया.	-చెపపొచచు. -ధనయవాదాలు.
मुझे तुमहारी परवाह है.	నినను పటటించుకుంటాను.
-रोलिंग. -साउंड सपीड.	-మొదలెంది. -సౌండ వేగం.
समिति ने इसकी जाँच की और इसे बेकसूर पाया.	కమిటీ ఆమెను విచారించి, ఆమెను కలియర చేసింది.
किसी ने खबर नहीं छापी, एक भी अखबार ने नहीं.	ఎవరూ ఈ కథను పటటించుకోలేదు, ఒకక పేపర కూడా.
अंगूर से भरे टब में कया होगा? वह कया करेगी?	దరాకషపాతరలో ఏమి జరుగుతుంది? ఏమి చెయయగలదు?
नेटवरक इजाजत नहीं देगा और न ही फिलिप मॉरिस.	నెటవరక అందుకు ఒపపుకోదు, ఫిలిప మోరిస కూడా.
आपको यह समझना होगा कि वे जयादा खुश नहीं थे.	నీకు తెలియాలసింది వారు అంత ఆనందంగా లేరని.
बुधवार की सुबह कैसे लोग बार में जाते होंगे?	బుధవారం పొదదునే ఎలాంటివారు బారకు వెళతారు?
"लगता है मैं अपना अभिमान यूँ ही खो दूँगी? "	"ఏమిటి, నా అహానని పకకన పెడతాననుకుననావా? "
ऐसा लगा कि चुटकुले कितने उमदा हैं, उस पर उसकी जिंदगी टिकी थी.	ఒక జోక "బీ"నా "బీ-పలస"నా అననదానిపె తన జీవితం ఆధారపడినటటు ఉండేది.
-पर इस समय. . . -समझ गई. अहम मुददे पहले.	-కానీ ఇపపుడు. . . -అరథమయయింది. పరాధానయతలు.
-पर बाकी. . . -बेशक.	-మిగతావి-- -తపపకుండా.
जब नाचने लगता हूँ मैं	నేను నాటయం మొదలెడితే
मैं फरेंच टोसट, बेकन, अंडे और आलू लाई हूँ.	టోసట, పంది మాంసం, గుడలు, దుంపలు తెచచాను.
-डिनर वाला सीन. -कया?	-భోజనాల సీన. -ఏమిటి?
पता है मुझे कया सूझा?	ఏమనిపిసతుందో తెలుసా?
तुमहें वजह बताती हूँ.	ఎందుకో చెపతాను విను.
-कया कहा? -मिसटर मेसी का जवाब दे रही थी.	-ఏమిటది? -మేసి గారికి సమాధానం చెపుతుననాను.
-जेस? -हाँ, सही कहा.	-జెస? -ఆ, సరిపోతుంది.
मैं हमेशा की तरह दरशकों को जोश में लाऊँगा,	ఎపపటిలాగానే పరేకషకులకు సవాగతం పలుకుతాను,
वह पोशाक कमाल की थी.	అది చాలా అందమెన డరెస.
और कया मतलब, मैंने तुमसे पहली बार अपनी शादी बचाने को नहीं कहा?	ఏమంటుననావు, నా కాపురం నిలబెటటమని అడగటం మొదటిసారి కాదు అంటే?
पेशकरता है गरुएन, सटीक समय देने वाली घडी.	కచచితమెన గడియారాల గరూయెన సమరపిసతుననారు.
बताना चाहता हूँ कि मैं डोरे नहीं डाल रहा.	నేను మరీ మీదపడిపోవాలని పరయతనించటం లేదు.
शुरुआत में लूसी फोन पर जयादा बात करती है?	మొదటలో లూసీ మరీ ఎకకువగా ఫోన మాటలాడిందా?
यह शो की बात है. उसके कपडों को छोड दें,	ఇది షో గురించి. అతని బీరువా లెకకేసతే తపప,
-सुबह के 2: 00 बजे हैं. -उसके लिए माफी.	-ఇపపుడు అరధరాతరి 2: 00 అయయింది. -కషమించు.
डेविड लेवी, कॉमेडी विकास परमुख, सीबीएस.	డేవిడ లీవీ, కామెడీ డెవలపమెంట హెడ, సీబీఎస.
-नंबर 12 पिछले हफते चल बसा. -मेरी गलती.	-12వ నంబర గతవారం చనిపోయాడు. -అది నా తపపు.
जब तुम बाहर थे, तो नाव पर ताश खेल रहे थे?	బయటకు వెళళినపపుడు, పడవలో పేకాడుతుననావా?
मेरा रुमाल लेकर लिपसटिक साफ करके इसे मेरी	నా రుమాలు తీసుకుననావు, లిపసటిక తుడిచేసి
आधे घंटे के लिए इसे भूल जाते हैं. ठीक है?	ఒక అరగంట దీని గురించి మరచిపోదాం. సరేనా?
आपने पूछा कि दूसरे तरीके से शूट करते हुए लूसी रुक कयों गई.	మేము రెండవ విధం చేసతుననపపుడు లూసీ ఎందుకు ఆగిపోయిందని అడిగావు.
परोडकशन का आम हफता.	సాధారణ పరొడకషన వారం.
एक भी नयूज नेटवरक ने नहीं, तुमहारे सहित.	ఏ నయూస నెటవరకలో రాలేదు, మీ దానితో సహా.
"पर वह हाथ को बढाकर रासता रोक देता है. "	కానీ అతను దారికి చెయయి అడడు పెడతాడు. "
-मिसटर अरनेज? -हाँ.	-అరనాజ గారు? -అవును.
वह पुरानी तसवीर है.	పాత ఫోటో. కలిసుననది.
लूसी और एथल इटली के अंगूर के बाग जाएँगे.	లూసీ, ఎథెల ఇటలీలో దరాకష తోటకు వెళతారు.
-कया? -अंगूरों में.	-ఏమిటి? -ఆ దరాకషలలో.
काश ऐसा होता, पर वह मेरा भी सिरदरद है.	చెయయగలిగితే బాగుండేది, కానీ అది నా సమసయ.
मैं हमेशा करता हूँ.	నేను చేసతూనే ఉంటాను.
और लूसी कहती है, "बिल? सैम? पैट? रैलफ? "	లూసీ అంటుంది, "బిల? శామ? పయాట? రాలఫ? "
-लूसील बॉल. -जी, सर.	-లూసీల బాల. -ఆ, సర.
मेरे लोग संपादक के इस बारे में कुछ सोचने पर मुझे बता देंगे.	సంపాదకుడు పరచురించాలనుకుంటే నాకు సమాచారం ఇచచేవాళళుననారు.
-इसके बारे में पढ रहे होते, है न? -हाँ.	-మొదటి పేజీలో చూసేవాళళం. కదా? -అవును.
टेलीपले बॉब कैरोल, मैडेलिन पयू और मेरा.	టెలిపలే బాబ కారోల, మయాడలిన పయూ, నేను.
पहले. तुमने कहा मैंने गलत खाना भर दिया.	ముందు. తపపు బాకస చెక చేసానని చెపపావు.
-समझता हूँ. -और शो पर बचचे का जनम होगा.	-నాకు తెలుసు. -షోలో బిడడను కంటుననాము.
और नाचते हुए वे बनाती हैं जोशीला घेरा	వారు నాటయం చేసతుననపపుడు ధవని బాగుంటుంది
-मुझे सुनाई नहीं दिया. -बैटान हिट थी.	-నాకు వినబడలేదు. -బటాన కూడా హిట అయింది.
लॉटरी में शरेय नहीं जीता, उसे कमाया है.	పేరు ఆయాచితంగా రాదు, సంపాదించుకోవాలి.
पर पहले वाला तरीका ही परसारित किया गया.	కానీ అనుకునన విధమే పరసారం చెయయబడింది.
-अरे! -हमें कुछ सफलता मिल रही लगती है.	-హే! -కాసత విజయం సాధించామనే చెపపాలి.
उससे वह छवि पूरी होगी जो अमरीकी कयूबन मरदों की सोचते हैं.	కయూబన పురుషులు ఇలాగే ఉంటారని అమెరికనలకు ఉండే భావన అదే.
सटेज पर मिलती हूँ.	సటేజి మీద కలుసతాను.
-वह तुमहें मार डालना चाहता है. -बढिया.	-అతను నినను చంపాలనుకుంటుననాడు. -సరే.
आधा किलोमीटर पहले.	అర కిలోమీటర దూరంలో.
इस समय शैमपेन की वह बोतल एक हथगोला है,	ఇపపడుడు షాంపేన బాటిల గరెనేడ లాంటిది,
वे बेहद शानदार थीं.	అంతకంటే బాగుననాయి.
-पकका? -हाँ, पकका.	-నిజంగానా? -నిజంగా.
कयोंकि यह सुनकर छह करोड लोग हँसते हैं,	ఎందుకంటే 6 కోటలమందిని నవవించినపపుడు,
मेरे कुछ सेकंड बाद यह मैडेलिन को सूझा.	నేను చెపపిన వెంటనే మయాడలిన చెపపింది.
-अचछा था. -डेस. . .	-మంచిది. -డెస. . .
मैं ऐसी और बैठक नहीं करूँगी. और लोग मेज पर नहीं आ पाएँगे.	ఇలాంటి మీటింగ ఇంకొకటి కుదరదు. టేబుల మీద ఇందరు సరిపోరు.
कोई उसे ठीक करेगा?	ఎవరెనా అది చూసతారా?
और आय लव लूसी की सटार, लूसील बॉल का.	ఐ లవ లూసీ తార లూసీల బాలను సవాగతించండి.
वह फूल सजा रही थी,	ఆమె పూలు సరదుతుంది,
लूसी, मैं घर आ गया.	లూసీ, ఇంటికొచచాను.
. . . गैर-अमरीकी गतिविधियों की समिति कैलिफॉरनिया में एक गुपत सभा कर रही है.	. . . అన-అమెరికన కారయకలాపాలపె కమిటీ కాలిఫోరనియాలో రహసయ సెషన చేసతుననారు.
उसकी बदौलत ईसट कोसट शो को धुँधले किनोसकोप पर नहीं देखता.	అతని కారణంగా తూరపు తీరపరాంతం వారు సపషటమెన షో చూసతారు.
"कौन? " मतलब मेरे और तुमहारे अलावा?	"ఎవరం"? అంటే నువవుమ, నేనుమ కాకుండానా?
इस सटूडियो के मेकअप वाले माहिर हैं.	సటూడియోలో మంచి మేకప కళాకారులు ఉననారు.
-पहली बात, दूसरी बात की. . . -समझ गई.	-మొదటిది, రెండవది. . . -అరథమయయింది.
फिर भी इतने ऊँचे तक नहीं पहुँची थी.	అయినా సరే. నేను చూసినదానికంటే ఎకకువే.
सटेज तक साथ चलो. हम एक घंटा पीछे हैं.	సటేజి దాకా రండి. గంట ఆలసయం అయయింది.
सामयवादी पारटी की उसकी सदसयता के बारे में पूछा गया. . .	కమయూనిసటు పారటీలో ఆమె సభయతవం గురించి పరశనించారు. . .
कया चल रहा है? और तुम हाथ में शैमपेन की बोतल लेकर दौडी?	ఏమి జరుగుతుంది? నీ చేతిలో షాంపేన బాటిలతో పరిగెతతావా?
पर हाँ, उसे बुरा लगा. न, उसका अपमान हुआ, बुरा मुझे लगा.	అవమానపడడాడు. లేదు మనసతాపం చెందాడు. నేను అవమానపడడాను.
लूसील बॉल सामयवादी पारटी की सदसय है.	లూసీల బాల కమయూనిసట పారటీ సభయురాలు.
द डैनी थॉमस शो जैसी कोई चीज नहीं है,	ద డానీ థామస షో అనే కారయకరమమే లేదు,
जरा रुकना. डॉनलड?	మననించండి. డోనాలడ?
लूसी एसमेरालडा मैकगिलीकडी रिकारडो.	లూసీ ఎసమెరాలడా మెకగిలలికుడి రికారడో.
पर आखिर उनहोंने शादी की और अब देखो वे हैं कितने खुश	కానీ చివరకు వారు పెళలి చేసుకుననారు ఎంతో ఆనందంగా ఉననారు
ऐसा लगता है कि किसी ने बधाई नहीं दी,	ఎవరూ శుభాకాంకషలు చెపపలేదనుకుంటాను,
"खाना कब खाएँगे? " तैयार, और एकशन.	"ఎపపుడు తింటాం? " సెటిల, ఇంకా యాకషన.
वह सच था, बेवकूफ!	అది నిజం, మూరఖుడా!
मैंने हिसाब लगाया.	నేను లెకక చూసాను.
-शाबाश. -तैयार हो?	-మంచిది. -సిదధమా?
-उस बारे में किसी को बात करते नहीं सुना. -किसी से बात ही कब करते हो?	-ఎవరూ దాని గురించి మాటలాడటం లేదు. -ఎవరితోనెనా ఎపపటినుండి మాటలాడుతుననావు?
-आपने समीकषाएँ पढीं? -वे शानदार थीं.	-సమీకషలు చదివారా? -చాలా బాగుననాయి.
मैं मदद करता हूँ.	నేను సాయం చేసతాను.
हाँ, जरूर. ठीक है.	తపపకుండా. మంచిది.
जब आरकेओ ने लूसी का करार रदद किया, तो एमजीएम ने उसकी टैकनीकलर परीकषा ली,	ఆరకేఓ లూసీ కాంటరాకటు రదదుచేసాక, ఎంజీఎం టెకనీకలర టెసట కోసం పిలిచింది,
मुझे लगता है कि कासटिंग की दिककत है.	నటీనటుల విషయంలో సమసయ ఉందని తెలుసు.
मैं यहाँ एक कडवा सच बताने आया हूँ.	కానీ ఒక కటిక నిజం చెపపటానికి వచచాను.
तो, शो का मजा लें.	షోను ఆసవాదించండి.
उस बकवास के अलावा, बताओ तुमहें कयों लगता है कि मैंने तुमसे बेवफाई की है?	నువవు ఏమనుకుంటుననావో చెపపు, నినను మోసం చేసానని ఎందుకు అనుకుంటుననావు?
जिसमें सब नाम थे.	అందరి పేరలు ఉననది.
तुमने कहा था कि उनके बीच बडा झगडा हुआ और वे नाराज थे.	వారిదదరికీ గొడవ జరిగి ఒకరితో ఒకరికి పడటం లేదననావు.
शायद यह कल रात को खतम हो गया और अभी हमें पता नहीं है.	అది ఆదివారం రాతరి ముగిసినా మాకు ఇంకా తెలియకపోవచచు.
समझ गई. पर डिनर टेबल पर सब सटीक तरह से होना चाहिए.	సరే. కానీ భోజనాల బలల వదద చెయయాలసింది కచచితంగా ఉండాలి.
-डेसी कहेगा, "शुकरिया, " लूसी से कहेगा. . . -"अचछा? "	-డెసి "ధనయవాదాలు" అని లూసీ వెపు తిరిగి. . . -"ఆ? "
बहुत समय पहले लूसी ने गलती से अपने वोटर फॉरम में गलत खाना भर दिया.	చాలా కాలం కరితం ఓటర రిజిసటరేషన సమయంలో లూసీ ఒక తపపుడు బాకస టిక చేసింది.
-नहीं. -कितनी सकरिपट तैयार पडी हैं?	-లేదు. -ఎనని కథలు సిదధంగా ఉననాయి?
गरैंड कैनयन, नायागरा फॉलस जाते हैं.	గరాండ కానయన, నయాగరా ఫాలస వెళతారు.
विंचेल ने कहा कि तुम सामयवादी थी.	నువవు కమయూనిసటవని వించెలలో విననాను.
मेरा वहम है या तुम पतली हो गई हो?	నాకు అనిపిసతుందా లేదా బరువు తగగావా?
"वह मुझे डिनर से नहीं निकालेगा" से.	"భోజనం లేకుండా చెయయనివవను" నుండి.
-मैं यह करना चाहूँगी. -यह बढिया है.	-నాకు చాలా ఆసకతిగా ఉంది. -మంచిది.
तुमसे कभी कोई पंगा नहीं लेगा, लूसी.	ఎవరూ ఎపపుడూ నీతో పెటటుకోరు, లూసీ.
किराने की दुकानें सोमवार रात को देर तक खुलती थीं,	సోమవారం రాతరులు సూపర మారకెటలు ఎకకువసేపు తెరిచుండేవి,
दोनों का नाम रसटी है. रसटी हेमर रसटी विलियमस बना है.	రెండూ రసటీనే. రసటీ హేమర రసటీ విలియమస పాతర చేసాడు.
-मेरे भविषय के सपने कया हैं? -महतवाकांकषा ही ठीक था?	-నా భవిషయతతు గురించి కలలా? -కోరిక అని ఉండాలసింది.
तुम लोगों से यह नहीं कहोगे कि मैंने गलत खाना भरा था.	నేను తపపు బాకస చెక చేసానని నువవు జనాలకు చెపపవదదు.
यह बात कैसे सूझी? उनहोंने तुमहारे लिए तालियाँ बजाईं.	ఎందుకు ఈ అనుమానం? వాళళు నీకు కరతాళధవనులు పలికారు.
बीइंग द रिकारडोज	బీయింగ ద రికారడోస
मैं बोल रही हूँ. हैलो. हम दोनों के बीच पयार नहीं है	నేను. హే. మనమిదదరం ఒకరినొకరు పరేమించుకోవటం లేదు.
इसे अगले साल रखो.	వచచేయేడు చేదదాం.
-वह सबसे पहला कदम होता है. -हाँ.	-జాబితాలో మొదటిదానని కొటటేయయి. -ఆ.
भले ही उसमें एयर कंडीशनिंग लगा हो.	చూడటానికి పెసా కూడా ఖరచు చెయయను.
तो खयाल रहे सोमवार से शुकरवार तक	అందుకే సోమవారం నుండి శుకరవారం వరకూ
-लंच हो गया? -एक घंटे का लंच है.	-భోజనమా? -భోజనానికి ఇంకా గంట ఉంది.
कि लूसी के आँख-कान बहुत तेज हैं.	కళళు చెవులు పనిచేసతాయని చూపించాము.
नहीं. और रिकी के सटेज निरदेश कहते हैं, "गुससा. "	కాదు. సటేజి దరశకతవం పరకారం రికీ "కాలుతోంది" అంటాడు.
दिककत समझ रही हो?	సమసయ కనబడుతుందా?
तुम मेरी आदरश हो.	నువవు నా హీరోవు.
देवियो और सजजनो,	సోదరసోదరీమణులారా,
बीइंग द रिकारडोज	బీయింగ ద రికారడోస
भाड में जाने की जरूरत नहीं, पर यह जान लो कि डैनी चुटकुले सुनाता है,	అయయో అననవసరం లేదు, కానీ తెలుసుకోవాలసిన విషయం డానీ జోకస చేసతాడు,
तुम कपडों की टोकरी उठाओ, कुरसी के पीछे खडी हो जाओ, तकिया लेकर बैठो.	లాండరీ బుటట తీసుకో, కురచీల వెనుక నిలుచో, దిండు పెటటుకుని కూరచో.
-रेडियो का शो देखने का कोई तरीका ईजाद करो. -हमने किया है, टेलीविजन.	-రేడియోలో ఏముందో చూసేది ఏదెనా కనిపెటటండి. -కనిపెటటాం, అదే టీవీ.
बॉब, जेस और मैंने पूरे सपताहांत जागकर सकरिपट लिखी.	బాబ, జెస, ఇంకా నేను వారాంతం అంతా కథపె పనిచేసాం.
वह दूसरी कलास में है और उनहोंने उसके करार में उससे	అతను రెండో తరగతి పిలలాడు అతనితో విధేయత పరతిజఞపె
"लूसी एक खूबसूरत डिनर टेबल पर सामान सजा रही है,	"అందమెన భోజనాల బలలపె లూసీ తుదిమెరుగులు దిదదుతోంది,
यह हमारी फिलम की लाइन है, बेवकूफ.	అది మన సినిమాలో డెలాగ, పిచచోడా.
उससे मैं इतनी भोली नहीं लगती कि परजातंतर में हिससा लेने लायक नहीं?	ననను ఒక మూరఖురాలిరాగా, పరజాసవామయానికి పనికిరానిదానిలాగా చూపదా?
रिकारडो और मरटज इटली कयों जाएँ?	రికారడోలు, మెరటజలు ఇటలీకి ఎందుకు?
-अब अंगूरों को मसलते नहीं? -नहीं.	-దరాకషలు ఎవరు తొకకుతారు? -లేదు.
ऐसी हालत में वे इटली नहीं जाएँगे.	ఆమె గరభవతిగా ఉండి, ఇటలీ వెళలరు.
-बरेक का समय नहीं है. -दस मिनट.	-ఇపపుడు సమయం కాదు. -పది నిమిషాలు.
ताकि हम. . . तरक पर चलें, ठीक है?	కచచితంగా-- కేవలం లాజిక, అంతేనా?
-फिलिप मॉरिस से किसी का? -नहीं.	-ఫిలిప మోరిస నుండి ఎవరెనా? -లేదు.
और फिर अगले साल वही करना होता है.	వచచే ఏడాది మళళీ అదే పని చెయయటం.
हम जानना चाहते हैं, सर, कया लूसी के खिलाफ एफबीआई में कोई मामला है?	మేము తెలుసుకోవాలనుకుంటుననాం, సర, ఎఫబీఐ లూసీ మీద కేసు పెటటిందా?
तोहफे लायक सबसे बेहतरीन घडी, पेश करती है उसे. . .	మీరు ఇవవగలిగే అతయుతతమ గడియారం, పురుషుడిని. . .
अपने सहायक को बता दो कि हम उसके मुलाजिम नहीं हैं.	అతని కింద మేమూ పనిచెయయమని సహాయ నటులకు చెపపండి.
मैंने अपनी फिलमों में दूसरों को ऐसा करते देखा है.	నేను నటించిన సినిమాలలో వేరేవారు చెయయగా చూసాను.
कॉसटेलो और लॉरेल की तरह, और तुमहें पैसा मिलता है.	కాసటెలలో, లారెల మాదిరిగా పారితోషికం అందుతుంది.
उसे किसी भी चीज का पाँचवाँ उपाधयकष नहीं सोच सकती.	ఎకకడా ఐదవ వెస పరెసిడెంట అవుతాడని అనుకోవడంలేదు.
ननहा रसटी हेमर?	బుజజి రసటీ హేమర?
-ऐसा कया? -नहीं.	-చూసామా? -లేదు.
उससे गुजरे हुए काफी समय हो गया	చిననవాడిలా ఉననా వయసు మీరిపోయాను.
अगर मिले होते, तो मुझे याद होता.	మనం కలిసుంటే, నాకు గురతుండేది.
हाँ, वह मैं थी.	అది నేనే, అవును.
हैलो. माफ करना. मुझे अपने मंगेतर को फोन करना है.	హాయ. కషమించు. నా కాబోయేవాడికి ఫోన చేసుకోవాలి.
-तुमने उनसे कहा मैंने गलत खाना भर दिया. -किस से?	-నేను తపపు బాకస చెక చేసానని చెపపావు. -ఎవరికి?
सच कहने पर काफी कुछ समझाना पडता.	నిజంకంటే ఇది తేలికగా ఉంటుందని.
नौवाँ एपिसोड है, "लूसी रिकी को गरभ का बताएगी"	ఎపిసోడ ఇపపుడు "లూసీ గరభవతినని రికీకి చెపతుంది. "
बढिया लग रही हो.	సరే, బాగుననావు.
वह करॉफरड, हेवरथ के साथ मुकाबला करने वाली थी.	కరాఫోరడ, హేవరతతో ఆమె పాతరల కోసం పోటీ పడేలా ఉంది.
"सोचो कौन है. "	"ఎవరో చెపపుకో. "
यह नहीं हो सकता.	ఇది జరగటం లేదు.
और यह कारगर रहा.	అది పనిచేసింది.
-कया? -तुमने मुझसे बेवफाई की है?	-ఏమిటి? -ననను మోసం చేసతుననావా?
हमने शुरुआत दोनों तरह से पेश की,	ఓపెనింగ రెండు విధాలుగా చేసాము,
जब उसने करार पर दसतखत किए या अभिभावक ने किए,	తన ఒపపందంపె సంతకం చేసినపపుడు లేదా అతని గారడియన,
पूछताछ करना चाहता है. बैठक में लूसी भी बैठी है.	అడగాలనుకుంటాడు. లూసీ కూడా అదే గదిలో ఉంటుంది.
कोई पुजारी, पादरी और रबाई मेरा लिखा ठीक करेंगे?	ఒక పరీసట, మినిసటర, రాబె సకరిపట మళళీ రాసతారా?
"तुमहें लगता है मैं उसे फोन करके माफी माँगूँगी?	"అతనికి ఫోన చేసి కాళళ మీద పడతాను అనుకుననావా?
दोसतो, कया हमें कुछ देर के लिए अकेला छोड देंगे?	అబబాయిలూ, మేము. . . కాసేపు ఏకాంతంగా ఉండవచచా?
डेसी दरशकों को बता देगा. उसने परेस बुलाई है.	డెసి పరేకషకులకు చెపపబోతుననాడు. పరెసను పిలిచాడు.
मुझे नयूयॉरक से निकाल दिया गया.	నయూయారక నుండి గెంటివేయబడడాను.
लूसी को होशियार बनाने के लिए.	లూసీని తెలివెనదానని చెయయటానికి.
बैटी डेविस, बकॉल, हेपबरन. . .	బెటటె డేవిస, బాకాల, హెపబరన. . .
-मुझसे यह बात करनी थी? -नहीं.	-అందుకే నేను కావాలననావా? -కాదు.
एक चुडैल एक औरत को शाप देती है.	మంతరగతతె ఒక సతరీని శపిసతుంది.
इन लोगों का एक दिलचसप सुझाव है.	వీరికి ఆసకతికరమెన ఆలోచన ఉంది.
हैरान हूँ कि तुमहें यह काम बिलकुल नहीं आता.	నాకు ఆశచరయంగా ఉంది ఎందుకంటే నువవు అందులో ఘోరం.
-यह चार इंच आकार में छपा है. -इसे सुलझा लूँगा.	-నాలుగు అంగుళాల రకం. -ఇది నేను చూసుకుంటాను.
चुप हो जाएँ. घंटी बजाएँ. पलीज, चुप हो जाएँ.	నిశశబదం. గంట కొటటండి. దయచేసి నిశశబదంగా ఉండండి.
हमें एक तरफ की बात सुनाई देती है. मेले को जयादा देर दिखाएँगे?	కాల ఒకవెపు మాతరమే వినిపిసతుంది. మరీ ఎకకువ సమయం ఉంటుననామా?
कभी "सामयवादी" शबद नहीं कहा. पर वह मजदूरों के हितैषी थे.	అతడు "కమయూనిసట" అనన పదం వాడలేదు. కానీ కారమికుడి కషటం తెలుసు.
सामयवाद से मेरा रिशता 20 साल पहले की बात है. बस एक फॉरम भरा.	కమయూనిజంతో నా సంబంధం 20 ఏళల కరితం. అదీ బాకస టిక చెయయటమే.
-वह हॉसटल में रह रहा था. -हाँ.	-వెలో ఉంటుననాడననావు. -అవును.
कया कर रहे हो?	ఏమి చేసతుననావు?
अब सब बैठ जाओ.	అందరూ కూరచోండి.
उससे किसी ने कहा कि मैंने नाशता नहीं किया था.	నేను అలపాహారం తీసుకోలేదని ఎవరో గమనించారంట.
अचछा, शुकरिया.	సరే, ధనయవాదాలు.
ठीक है. कभी-कभी मेरी बीवी लूसी बन सकती है?	పరలేదు. నా భారయ అపపుడపపుడూ లూసీ పాతర చేయవచచా?
बस पूरे हफते का बोझ सिर पर है.	ఈ వారం చాలా కషటంగా గడిచింది.
तुमने जो किरदार निभाए हैं, तुम में उससे कहीं जयादा हुनर है.	నువవు ఇపపటివరకూ చేసిన పాతరలకంటే నీలో ఎకకువ టాలెంట ఉంది.
तो कयों न एक बार तुम पतलून पहनना और एक बार पतलून उतार देना?	ఒకసారి పయాంట వేసుకుని, ఇంకోసారి పయాంట తీసేసి చేయొచచుగా?
-कया हो रहा है? -आने के लिए शुकरिया, विव.	-ఏమి జరుగుతుంది? -వచచినందుకు ధనయవాదాలు, వివ.
जिसे समय बढने के कारण शामिल नहीं कर सकते थे.	నిడివి ఎకకువ అవవటం వలన దానని వాడలేకపోయాం.
वह जग उठाकर गुलदान में पानी डालती है. . .	ఒక మగ తీసుకుని పూల వాజలో నీళలు పోసతుంది. . .
-समझ गया. -थोडा चिढा रही हूँ.	-అరథమెంది. -ఆటపటటిసతుననాను.
सच कह रहा हूँ, मैंने देखा है.	అవును, అందుకు నేనే సాకషిని.
-मजाकिया औरतें. -जूडी हॉलिडे.	-సరదా సతరీలు. -జూడీ హాలిడే.
मैं अपने पति के साथ काम करती हूँ जो वाकई मुझसे परभावित है,	నేను నా భరతతో కలిసి పనిచేసతాను, ఆయన ననను అభినందిసతారు,
मुझे जीगफेलड लडकी के काम पर रखकर निकाल दिया, पर गोलडविन लडकी बन गई.	జీగఫెలడ అమమాయిగా తీసుకుని తొలగించారు, కానీ గోలడవిన అమమాయిగా తీసుకుననారు.
डेसी को अमरीका से उस बंदे जितना ही पयार है.	అమెరికా అతనికెంత ఇషటమో డెసికి అంతే ఇషటం.
ठीक से हँस पाने में मुझे पाँच दिन लगते हैं.	నవవు రావటానికి నాకు ఐదు రోజులు పడుతుంది.
वह हमेशा हर रुकावट पार करने का हल जानती है.	అడడంకిని అధిగమించడానికి సిదధంగా ఉంటుంది.
पता है हमारे बहुत से दरशक कया हैं? ईसाई.	చాలామంది పరేకషకులు ఎవరో తెలుసా? కరిసటియనలు.
सांसकृतिक भिननता से अचछी कॉमेडी बनती है.	సాంసకృతిక భేదాలు ఏవెనా మంచి కామెడీ చేసతాయి.
