पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
हमारे साहितय की तरह, यह बाहर से उदास और निराशाजनक है.	మా సాహితయంలానే, బయటికి అది మొరటుగా, భయంకరంగా అనిపిసతుంది.
-इसका नाम कया है? -"टेटरिस".	-దాని పేరేంటి? -"టెటరిస. "
मैं जो गाना गा रही हूँ, मुझे अभयास करने की जरूरत है.	నేను ఏ పాట పాడాలో ఇపపుడే ఎంచుకుననా, నేను పరాకటీస చేయాలి.
लेकिन तुम एक सामयवादी देश में जा रहे हो	కానీ మీరు ఒక కమయూనిసట దేశంలోకి వెళతుననారు,
और मैं जापान में रहता हूँ.	నేను ఇపపుడు జపాన లో ఉంటుననా.
यह सामयवाद है.	అది కమయూనిజం.
वह माया है. वह दस साल की है.	తన పేరు మాయా. తనకి పదేళళు.
-चलो गाओ. -नहीं, नहीं, नहीं.	-వచచి పాడండి. -లేదు, లేదు.
और उससे हैंडहेलड "टेटरिस" के लिए एक नया अनुबंध तैयार करने को कहो.	అలాగే హయాండ హెలడ "టెటరిస"కి ఒక కొతత ఒపపందానని తయారు చేయమని కూడా చెపపు.
अचछा, सजजनों,	మరి మితరులారా,
"टेटरिस" हैंडहेलड के लिए परसताव देने के लिए एक हफता.	"టెటరిస" హయాండ హెలడ కోసం ఆఫర ఇవవమని ఒక వారం సమయం ఇచచారు.
तुम, तुम सभी,	మీరు, మీరందరూ,
और वह कया है?	ఏంటి ఆ సంకేతం?
मैं यह हमारे लिए कर रहा हूँ.	నేను ఇది మన కోసం చేసతుననా.
तुमहारी अगली उडान कौन सी है?	తరవాత బయలుదేరే విమనం ఏంటి?
आधिकारिक कारय!	అధికారిక పని!
आधिकारिक कारय!	అధికారిక పని!
{\an8}ठीक है.	{\an8}సరే మరి.
सममानपूरवक, मि. टरिफनव, हम तुमहारे बिना यहाँ तक पहुँच गए हैं, तो भाड में जाओ.	సగౌరవంగా చెపతుననా, మిసటర టరిఫొనొవ, మీరు లేకుండానే ఇంత దూరం వచచాం, కాబటటి దొబబేయండి.
मुझे इससे एक पैसे का भी नफा नहीं होगा.	దీని నుండి నాకు ఒకక పెసా లాభం కూడా దకకదు.
-कैविन, तुमहें देखकर अचछा लगा. -मुझे कैविन मत कहो!	-కెవిన, నినను చూడటం బాగుంది. -ననను కెవిన అని పిలవవదదు!
और तुम अपने पिता नहीं हो.	మీరు కూడా మీ నానన కాదు కదా.
हेंक, यह एलेकसी पजिटनॉव है,	హెంక, ఈయన అలెకసీ పజిటనోవ,
यह सब चार साल पहले एलेकसी लिओनाइडोविच पजिटनॉव नाम के एक लडके के साथ	దీననంతటికీ నాలుగేళల కరితం అలెకసీ లియొనెడోవిచ పజిటనోవ అనే వయకతి
यह जापानी "टेटरिस" का गेम-पले टेप है.	జపనీస "టెటరిస"కి సంబంధించిన గేమ పలే టేప.
नहीं, मैं सीधे रूसियों से बातचीत करूँगा.	లేదు, రషయనలతో నేనే మంతనాలు జరుపుతాను.
तो, मेरे सामने सामयवादी बकवास मत करो.	కాబటటి, మీ పనికిరాని సోది నాకు చెపపవదదు.
नहीं, नहीं. मैं एक सचची कंपनी चलाता हूँ.	లేదు. మా సంసథలో అకరమాలకు ఆసకారం లేదు.
यानी तुमहें पाँच मिलियन डॉलर मिलेंगे.	అంటే, మీకు అయిదు మిలియన డాలరలు దకకుతాయి.
इनके लिए कॉपी: हेंक रॉजरस सथिति: पूरण	ఫయాకస గరహీత: హెంక రాజరస సటేటస: పూరతయింది
हमारे पास पहले से ही विशववयापी वीडियो गेम अधिकार हैं.	పరపంచవయాపత వీడియో గేమ హకకులు ఉండేది మన దగగరే కదా.
बस उससे जयादा मुशकिल है.	కాకపోతే ఇది చాలా కషటమెనది.
-हाँ. -टरेसी.	-హా. -టరేసీ.
मॉसको कंपयूटर विजञान केंदर	మాసకో కంపయూటర సెనస సెంటర
कया बकवास है, मि. मैकसवेल?	ఏంటిది, మిసటర మయాకస వెల?
हमारे पास अभी भी वीडियो गेम अधिकार हैं.	వీడియో గేమ హకకులు మన దగగరే ఉననాయిగా.
कितने पिकसल?	ఎనని పికసెలస?
मिलेंगे कभी.	మళలీ కలుదదాం.
मि. बेलिकॉव,	మిసటర బెలకొవ,
मि. बेलिकॉव?	మిసటర బెలకొవ?
मि. बेलिकॉव पूछते हैं, "यह कया है? "	ఏంటి ఇది అని మిసటర బెలకొవ అడుగుతుననారు.
तुमने कभी जानबूझकर रॉबरट सटाइन को वीडियो गेम के अधिकार नहीं बेचे.	మీరు ఉదదేశపూరవకంగా వీడియో గేమ హకకులను రాబరట సటెన కు అమమలేదు.
मि. बेलिकॉव.	మిసటర బెలకొవ.
मि. बेलिकॉव.	మిసటర బెలకొవ.
{\an8}अपारटमेंट 802. आज रात सात बजे.	{\an8}అపారటుమెంట 802. ఇవాళ రాతరి ఏడుకు.
सरकार ने सब कुछ ले लिया.	అంతా పరభుతవమే తీసేసుకుంది.
मुझे यह गाना बहुत पसंद है!	నాకు ఈ పాటంటే చాలా ఇషటం.
-अनुवादक? -नहीं, धनयवाद.	-అనువాదకులు కావాలా? -వదదు.
पापा! कया आप घर आ रहे हैं?	నాననా! ఇంటికి వసతుననావా?
इसके महान विचार के पीछे.	నేను నా జీవితానని అరపించా.
मॉसको कंपयूटर विजञान केंदर	మాసకో కంపయూటర సెనస సెంటర
मि. बेलिकॉव.	మిసటర బెలకొవ.
तुम जाओ और अपना काम करो.	నువవు వెళలి నీ పని చూసుకో.
ओह, चुप रहो.	అబబా, నోరమూయ.
मुझे असली मॉसको दिखाओ, जहाँ तुम जैसे लोग मौज-मसती करते हैं.	మీలాంటి వాళలు ఉలలాసంగా గడిపే మాసకోలోని అసలెన చోటికి తీసుకెళలండి.
देखो, वयकतिगत रूप से, मुझे पसंद है, मोजारट और रूसी लोक गीत.	చూడండి నాకు అయితే మొజారట సంగీతం, ఇంకా రషయన జానపద పాటలు నచచుతాయి.
वह कहता है कि कल विसतारपूरवक उस पर काम शुरू करेंगे.	రేపు దాని గురించి వివరంగా చరచిసతామని అంటుననాడు.
मि. रॉजरस, कया तुम कभी मॉसको गए हो?	ఎపపుడెనా మాసకోకి వెళలారా, మిసటర రాజరస?
सुनो, मैंने अभी सुना कि रॉबरट सटाइन ने	చూడండి, హయాండ హెలడ "టెటరిస" హకకులని
मैंने जापानी आरकेड अधिकार भी खरीदे,	నేను జపనీస ఆరకేడ హకకులని కూడా కొననాను,
यह एंडरोमेडा सॉफटवेयर से रॉबरट सटाइन है, और मेरा बेटा. . .	ఇతను ఆండరోమెడా సాఫట వేర కి చెందిన రాబరట సటెన, ఇక మా అబబాయి. . .
और हम अपने वीडियो गेम के अधिकार भी वापस ले लेंगे. शुकरिया.	ఇంకా, మా వీడియో గేమ హకకులని కూడా మేము తీసేసుకుంటుననాం. థయాంకయూ.
देखो, तुमहें पीसी और वीडियो गेम चाहिए या नहीं?	మీకు కంపయూటర కి, వీడియో గేమ కి హకకులు కావాలా వదదా?
सोविएत बेवकूफ नहीं हैं.	సోవియెటలు పిచచోళలేం కాదు.
-अगर मैं दखल दे रहा हूँ, तो मैं. . . -बिलकुल नहीं.	-నేను మధయలో వచచుంటే, కాసేపాగి. . . -అదేం లేదు.
अगर वह मूरख चोर है. . .	ఆ సననాసి దొంగే అయితే. . .
तुम आरकेड अधिकारों के लिए बहुत जयादा शुलक लेते हो.	మీరు ఆరకేడ హకకులకి మరీ ఎకకువ ఛారజీ చేసతుననారు.
{\an8}टेटरिस को खतम कर दिया गया है -निकोलाई एवगेनिएविच बेलिकॉव	{\an8}టెటరిస ఒపపందం రదదు చేయబడింది -నికొలయ ఈవగెనీచ బెలకొవ
और इसने मेरे परिवार को बरबाद कर दिया.	మా కుటుంబం కూడా నరకం అనుభవించింది.
मुझे एक मिलियन अमेरिकी डॉलर चाहिए और लेखाकार का कहना है हमारे पास नहीं है.	నాకు పది లకషల డాలరలు కావాలి, మన దగగర అంత లేదని అకౌంటింగ శాఖ అంటోంది.
उनसे मिररसॉफट के साथ मेरा अनुबंध एलोरग फैकस करने को कहो,	మిరరర సాఫట తో మనకు ఉనన ఒపపందానని ఎలారగ కి ఫయాకస చేయమని చెపపు,
इसके निरमाता, निनटेंडो, जापान में पहले ही दुगने उपकरण बेच चुके हैं.	దాని తయారిదారు, నింటెండో, జపాన లో రెండు సారలు సటాక అయయేలా వాటిని అమమింది.
अह-हँ. जरूर.	ఆహా. అలాగే.
दूसरा खिलाडी	రెండవ పలేయర
वह सहमत है.	తనకి సమమతమే.
खैर, ऐसा लगता है समसया खुद ही सुलझ गई है, है ना?	అయితే, సమసయ దానంతట అదే పరిషకారమెపోయినటటుందే?
रॉजरस -हेंक	రాజరస - హెంక
लेकिन यह बात ऐसी है. . .	కానీ విషయం ఏంటంటే. . .
-हाँ, बेहतर है. -कीबोरड.	-ఇది బాగుంది. -కీబోరడ.
नया अनुबंध.	కొతత ఒపపందం.
छः रोसतोवसकाया पेरेवलोक.	6 రోసటోసకాయా పెరెవలొక.
सभी को इसके बोल आते हैं.	లిరికస అందరికీ తెలుసే.
मैं. . . मैं नहीं. . . मैं नहीं. . .	నాకు. . . నాకు అరథం కావటలేదు. . .
कहाँ? कयों? यह मेरा घर है! यह मेरे माता-पिता का घर था. तुम नहीं कर सकती!	ఎకకడికి? ఎందుకు? ఇది నా ఇలలు! మా అమమానాననల ఇలలు. మీరు ఇలా చేయలేరు!
मममा, पापा!	అమమా, నాననా!
बस इस पल में नहीं हैं.	కానీ పరసతుతానికి లేవంతే.
गेट छः. . .	ఆరవ గేట. . .
मि. सटाइन, आपसे मिलकर खुशी हुई. मैं हूँ रॉबरट मैकसवेल.	మిసటర సటెన, మిమమలని కలవడం బాగుంది. నేను రాబరట మయాకస వెల ని.
वीडियो गेम और हैंडहेलड "टेटरिस" के लिए. दुनिया भर में.	"టెటరిస" వీడియో గేమ, ఇంకా హయాండ హెలడ పరపంచవయాపత హకకుల కోసం.
और अगर यह डील हो जाती है, तो यह एक खतरनाक मिसाल कायम करेगा.	ఈ ఒపపందమే కనుక ఖరారెతే, అది ఒక చెడడ సంకేతానని ఇసతుంది.
देवियों और सजजनों, टोकयो के लिए उडान 802 में आपका सवागत है.	మితరులారా, టోకయోకి వెళతునన విమానం 802లోకి మీకు సవాగతం.
मि. रॉजरस, मुझे इधर-उधर की बातें नहीं करनी.	మిసటర రాజరస, నాకు అనవసరమెన మాటలు మాటలాడం నచచదు.
ओह, चलो भी. तुम लोग ससपेंस रखने के बहुत आदि हो.	అబబా. మీరననీ ససపెనస లో పెటటేసి వెళలిపోతారే!
मि. रॉजरस, कया बढिया सरपराइज है.	మిసటర రాజరస, ఏంటి ఇలా సరపెజ ఇచచారు!
मुझे खेद है. मैं नहीं बोलता. . .	ననను మననించాలి. నాకు రషయన రాదు. . .
आइए देखें कि हम कया कर सकते हैं.	మేము ఏం ఏరపాటు చేయగలమో చూదదాం రండి.
-तुमहें नहीं आना चाहिए था. -कया?	-నువవు వచచి ఉండాలసింది కాదు. -ఏంటి?
तुम एक विदेशी हो जो रूसी संपतति खरीदने की कोशिश कर रहा है.	మీరు రషయన ఆసథిని కొనుగోలు చేయాలని చూసతునన విదేశీయులు.
हाँ, लेकिन अगर मैंने पहले ही वीडियो गेम और आरकेड अधिकार चुरा लिए हैं,	హా, కానీ మీ వీడియో గేమ, ఇంకా ఆరకేడ గేమ హకకులని నేను దొంగిలిసతే,
कैविन, कया तुम वहाँ हो?	కెవిన, లెనులో ఉననావా?
नहीं, मैं कह रहा हूँ कि हमें आज के काम पर आगे बढना चाहिए.	లేదు, మనం నేటి విషయాల గురించి మాటలాడదామని అంటుననాను.
मैं तुमहें करोडपति बनाने वाला हूँ.	నేను మిమమలని సంపననులని చేసతాను.
केवल यह पता चलने के लिए कि मिररसॉफट ने उसका लाइसेंस पहले ही सेगा को दे दिया है.	కానీ మిరరర సాఫట వాళలు అపపటికే ఆ హకకులని సెగా వారికి ఇచచేశారని తెలిసింది.
और उनहें पशचिम देशों में नफे के लिए बेचता था.	పాశచాతయ దేశాలకు లాభాలకు అమముకుంటూ ఉంటాడు.
मैं अपना परिचय दे सकता हूँ, पापा. धनयवाद.	ననను నేను పరిచయం చేసుకోగలనులే, నాననా. థయాంకస.
तो, तुम यहाँ मेरे देश को बचाने के लिए हो?	అయితే, నా దేశానని కాపాడేందుకు ఇకకడికి వచచారా?
शांत हो जाओ, कैविन. गुससा मत करो. तुम बचचे नहीं हो.	శాంతించు, కెవిన. ఆవేశపడిపోకు. నువవేం చిననపిలలాడివి కాదు.
उसी तरह यामाउची-सान, कैविन मैकसवेल ने हम दोनों पर पिरानहा का पौधा छोड दिया है.	యమవోచి గారు, విషయం ఏంటంటే, కెవిన మయాకస వెల కూడా మనిదదరిపె విషం చిమమాడు.
रॉबरट सटाइन	రాబరట సటెన
बेहतर होगा कि हम एलोरग में बॉस से पूछें.	ఎలారగ లో ఉండే మన బాసులని అడిగి తెలుసుకుందాం.
दूसरा लेवल	రెండవ లెవెల
हैलो, हेंक.	హలో, హెంక.
हम एक टीम हैं. समझे?	మనం ఒక జటటు. అరథమెందా?
लेकिन, कैविन, हमें "टेटरिस" चाहिए, समझे?	కానీ, కెవిన, మనకి "టెటరిస" కావాలి, అరథమెందా?
मि. सटाइन.	మిసటర సటెన.
जो मैं हूँ.	అంటే నాకే.
मुझे खेद है, लेकिन तुम कौन हो?	మననించాలి, ఇంతకీ, అసలు మీరు ఎవరు?
इसलिए. . .	కాబటటి. . .
ठीक है फिर.	సరే అయితే.
कयोंकि "टेटरिस". . .	ఎందుకంటే "టెటరిస". . .
कोशिश तो करो. कोई नुकसान नहीं है.	పరయతనించి చూడండి. పోయేదేముంది!
कया ब. . .	దేవుడా. . .
हेंक, इसके लिए सभी चीजों की बलि मत चढाओ.	హెంక, దీని కోసం మీ జీవితానని పణంగా పెటటకండి.
एक और बात.	ఇంకో విషయం.
फिर मेरे साथ बचचे जैसा वयवहार करना बंद करिए.	మరి ననను కూడా చినన పిలలాడిలా చూడటం ఆపేయ.
माफ कीजिए.	దారి ఇవవరా!
ठीक है, अलला हमें रूसी गो संघ में ले जाने वाला है.	సరే మరి, ఆలలా మమమలని రషయన గో అసోసియేషన కి తీసుకెళతోంది.
दुनिया भर में हैंडहेलड "टेटरिस" के बदले में मिररसॉफट कोलिएरस विशवकोश के लिए,	మిరరర సాఫట, కొలియర ఎన సెకలోపీడియాకు సంబంధించిన రషయన పబలిషింగ హకకులను,
जो अभी भी अमेरिका को अववल नंबर का दुशमन मानता है.	పెగా ఆ దేశం ఇపపటికీ అమెరికాని పరధాన శతరువుగా చూసతుంది.
अगर तुमहें पता होता कि मैं अभी कया जोखिम उठा रहा हूँ, तो तुम यह नहीं पूछते.	నేను ఇపపుడు ఎంత రిసక తీసుకుంటుననానో మీకు తెలిసతే, మీరు అలా మాటలాడరు.
आप मुझे मि. मैकसवेल कहें, सर.	మిసటర మయాకస వెల అని పిలవండి, సర.
तो उसमें "टेटरिस" डालकर बेचो.	దానని "టెటరిస"తో పాటు అందించండి.
कृपया, मि. बेलिकॉव जारी रखें.	మిసటర బెలకొవ, మీరు కొనసాగించండి.
पयार हो गया और मैं उसके पीछे-पीछे टोकयो चला आया.	అకకడ పరేమలో పడిపోయాం, నేను తన కోసం టోకయోకి వెళలిపోయా.
यह लाइन पहले सुनी है.	ఆ ముకక కూడా అననావు.
-बाईं तरफ? -बाईं तरफ.	-ఎడమ పకకనా? -అవును.
डेली मिरर संडे मिरर	డెలీ మిరరర సండే మిరరర
कमबखत सामयवादी कमीने.	ఈ చెతత కమయూనిసటులు.
{\an8}रॉबरट मैकसवेल	{\an8}రాబరట మయాకస వెల
मुझे पासकल पसंद है.	నాకు పాసకల నచచుతుంది.
एक मिलियन डॉलर. . .	పది లకషల డాలరలను. . .
कौन तेजी से गिरेगा?	ఏది ముందు పడిపోతుంది?
मैकसवेल के पास पैसे नहीं हैं. उनहोंने अनुबंध रदद कर दिया.	మయాకస వెల దగగర డబబులు లేవు. ఆయన వలల ఒపపందం చెలలనిది అయిపోయింది.
सकोर -लाइवस पहला खिलाडी - दूसरा खिलाडी	సకోరలు - పరాణాలు మొదటి పలేయర - రెండవ పలేయర
लेकिन मैंने आरकेड के लिए पैसे भरे हैं. हमने एक अनुबंध पर हसताकषर किया था.	కానీ నేను ఆరకేడ కి కూడా చెలలించాను. మనం ఒపపందంపె కూడా సంతకం చేశాం.
लेकिन यह सोविएत संघ है, याद है?	కానీ అది సోవియెట యూనియన కదా?
एलोरग डील करने के लिए तैयार है.	ఎలారగ అందుకు సంసిదధంగా ఉంది.
सर. माफ कीजिए, सर. आप नहीं. . .	సర. ఆగండి, సర. ఇలా మీరు. . .
और तुमने तीन मिलियन का अंदाजा कैसे लगाया?	ముపపె లకషలు కావాలని ఎలా అడుగుతుననావు?
-इसलिए कॉल किया है. -कया बकवास है, कैविन?	-అందుకే కాల చేసతుననా. -ఏంటిది, కెవిన?
तुमहारे मन में जैसी इचछा थी, हेंक, है ना?	మీరు అనుకుననది ఇలాంటి చోటే కదా, హెంక?
बुलेट-परूफ सॉफटवेयर पाँच मिलियन डॉलर डॉलर	బులలెట పరూఫ సాఫట వేర యాభె లకషల డాలరలు
अगर तुमसे एक भी किशत छूटती है, तो वह घर हमारा होगा.	ఒకక వాయిదా కటటకపోయినా, ఆ ఇలలు మాది అయిపోతుంది.
चलो उन पर मुकदमा करते हैं. यह तो बहुत बुरा है.	వాళలపె కేసు వేదదాం. ఇది చాలా దారుణాతి దారుణమెన చరయ.
नहीं, तो, मुझे यह मत बताओ कि कया पेचीदा है और कया नहीं.	తెలీదు. కాబటటి, ఏది సంకలిషటమెనదో, ఏది కాదో అని నాకు చెపపకండి.
सटाइन को आरकेड अधिकार चाहिए थे, इसलिए उसने एक नए अनुबंध पर हसताकषर किए.	సటెన కి ఆరకేడ హకకులు కావాలి, అందుకని కొతత ఒపపందంపె సంతకం చేశాడు.
बुलेटपरूफ सॉफटवेयर	బులలెట ఫరూఫ సాఫట వేర
"टेटरिस".	"టెటరిస. "
इसका मतलब है रंगीन गराफिकस,	అంటే రంగురంగుల గరాఫికస ఉంటాయి,
रूसियों की सटाइन के साथ डील होने के बाद,	రషయనలు సటెన తో ఒపపందం కుదురచుకుననాక,
वाह, हैलो.	వావ. హాయ.
मेरे पास पैसे हैं.	నా దగగర డబబులుననాయి.
एक सेकंड.	ఒక నిమిషం.
माफ करना.	మననించాలి.
देखो, मुझे खेद है.	మీరు ననను మననించాలి.
चलो भी. तुम कैसे खुद को रोक सकते हो!	రండి. అసలు పాడకుండా ఎలా ఉండగలుగుతుననారు?
तुम सब यहाँ बस पैसे के लिए हो.	డబబు కోసం ఇకకడికి వచచారంతే.
ठीक है. मि. बेलिकॉव,	సరే. మిసటర బెలకొవ,
सब कुछ ठीक हो जाएगा.	అంతా సరదుకుంటుంది.
लेकिन. . .	కానీ. . .
इसे मुझ पर छोड दो.	ఆ సంగతి నాకు వదిలేయ.
-और वीडियो गेम? -उपलबध हैं.	-వీడియో గేమ హకకులు? -అవి కూడా.
कृपया. . .	పలీజ. . .
{\an8}2014 में हेंक ने अपनी बेटी माया को	{\an8}2014లో, హెంక, తన కూతురు మాయాని
हम उनका संसमरण परकाशित कर रहे हैं. हम वफादार हैं.	మనం అతని ఆతమకథని రాసతుననాం. మనం విశవసనీయులం.
मि. यामाउची शहर से बाहर हैं. इसलिए. . .	మిసటర యమవోచి ఊరలో లేరు. కాబటటి. . .
मुझे लगता है कि यह इतना पेचीदा नहीं था.	ఇపపుడు ఇది అంత సంకలిషటమెనది కాదేమో.
"टेटरिस" मिररसॉफट के पास जा रही है.	"టెటరిస" మిరరర సాఫట చేతులలోకి వెళతోంది.
-छोटी लेखा-जोखा घटना है, बस. -तो, मुझे चिंता नहीं करनी चाहिए?	-ఒక చినన జిమమికకు అది, అంతే. -దాని గురించి కంగారుపడాలసిందేమెనా ఉందా?
यहाँ जयादा महतवपूरण सवाल यह है कि हेंक रॉजरस, तुम कौन हैं?	ఇకకడ ముఖయమెన పరశన ఏంటంటే, మీరు ఎవరు అని, హెంక రాజరస?
हर कोई जितना हो सके, हथिया रहा है और गोरबाचेव इसके बारे में कुछ नहीं कर सकते!	అందరూ తమకు అందినంత దోచుకుంటుననారు, గొరబచవ ఏమీ చేయలేని సథితిలో ఉననాడు!
{\an8}मैं अपने दोसतों के साथ "टेटरिस" खेलता हूँ.	{\an8}నేను "టెటరిస"ని నా సనేహితులతో ఆడతాను.
लेकिन वे मुझे आरकेड अधिकार देने से इनकार कर रहे हैं	కానీ ఆరకేడ హకకుల విషయంలో వాళలు నాతో మాటలాడదలచుకోవడం లేదు,
और कहा कि पिछले हफते करमचारियों की	గత వారం, ఉదయోగుల పదవీ విరమణ నిధి నుండి
हम दोसत नहीं हैं.	మనమేం మితరులం కాదు.
खैर, मैं नयूयॉरक में पला-बढा हूँ, लेकिन मैं डच हूँ.	నా బాలయం నయూయారకులో గడిచింది, కానీ నేను నెదరలాండస వాడిని.
मैं भूल गया था इसमें कितना मजा आता है.	ఇది సరదా విషయం అనన సంగతే మరచిపోయా.
तुमहें जाना होगा.	ఇక మీరు బయలుదేరండి.
रूसी परकाशन अधिकारों का परसताव देने के लिए तैयार है	మీకు ఇవవాలనుకుంటోంది. దాని విలువ ఇరవె లకషల మిలియన డాలరలు,
ओह, तुम कमबखत मूरख!	పనికిమాలిన దదదమమ!
हाँ, हमें साल के अंत के लिए बैलेंस शीट को दोबारा वयवसथित करना पडा.	హా, సంవతసరాంతం వచచింది కదా, బయాలెనస షీట చకకగా కనిపించడానికి
वह कहता है कि एलोरग को अनुबंध पढने के लिए रात का वकत चाहिए.	ఒపపందానని పరిశీలించడానికి ఎలారగుకు ఒక రాతరి కావాలని ఈయన అంటుననారు.
हेंक रॉजरस यहाँ कयों आया है?	హెంక రాజరస కి ఇకకడేం పని?
कया? सटाइन के पास विशववयापी वीडियो गेम अधिकार हैं.	ఏంటి? పరపంచవయాపత వీడియో గేమ హకకులు సటెన దగగర ఉననాయి కదా.
हेंक, शांत हो जाओ. हमें अभी-अभी एलोरग से मिररसॉफट के लाइसेंस की पुषटि करने वाला फैकस मिला है.	హెంక, శాంతించండి. మిరరర సాఫట లెసెనసును నిరధారిసతూ ఇపపుడే ఎలారగ నుండి ఫయాకస వచచింది.
हम अपने गेम खुद परकाशित करते हैं.	మా ఆటలను మేము అంతరగతంగా పబలిష చేసతాం.
-दुनिया भर में. -लेकिन इसका मतलब. . .	-పరపంచవయాపతంగా. -కానీ దానరథం. . .
हैलो. हेंक रॉजरस, बुलेट-परूफ सॉफटवेयर से.	హాయ. నా పేరు హెంక రాజరస. బులలెట పరూఫ సాఫట వేర.
मैं बस उस वयकति से मिलना चाहता था जो सोविएत संघ को. . .	సోవియెట యూనియన ని దాదాపు నాశనం చేసిన వయకతిని. . .
मैंने तुमहारे बेलगाम होने के बारे में काफी कुछ सुना है.	పదధతి లేకుండా పనులు చేసతారని మీకు మంచి పేరే ఉంది.
अगर तुम हमें एक हफते में एक मिलियन डॉलर भेज देते हो तो.	పరపంచవయాపత హయాండ హెలడ హకకులు ఇసతామని మాటిసతుననాం.
निनटेंडो ने अभी रूसियों को पाँच मिलियन डॉलर की पेशकश की	పరపంచవయాపత వీడియో గేమ, ఇంకా హయాండ హెలడ హకకుల కోసం
कया मैं जाने से पहले शौचालय जा सकता हूँ?	వెళలే ముందు, ఒకసారి నేను టాయిలెట కి వెళలవచచా?
{\an8}सिकका डालो	{\an8}కాయిన వేయండి
मैं वादा करता हूँ.	నేను మాటిసతుననా.
माफ करना?	ఏమననారు?
एक लाख डॉलर में अटारी को हैंडहेलड "टेटरिस" बेच रहा है.	సటెన లకష డాలరలకు అటారికి అమముతుననాడని తెలిసింది.
वह पूछता है, "निनटेंडो कया है? "	నింటెండో అంటే ఏంటి అని అడుగుతుననాడు.
एलेकसी, हमारी शुरुआत गलत हुई थी.	అలెకసీ, మన పరిచయం అపారథంతో మొదలెంది.
कया. . .	ఏంటి. . .
मैं. . .	నాకు. . .
हम तुमहें डील देने के लिए तैयार हैं, मि. मैकसवेल, लेकिन समय. . .	మీతో ఒపపందం కుదురచుకోవాలనే అనుకుంటుననాం, మిసటర మయాకస వెల, కానీ కాలం. . .
मैंने "कंपयूटर" को फिर से परिभाषित किया.	నేను "కంపయూటర" అరథానని వివరంగా రాసి, మారచాను.
कोई फरक नहीं पडता.	అదంత ముఖయం కాదు.
जरजिनसकी सकवेयर. .	జెరజింషకీ సకవేర.
बस अपनी किताब बेचने के लिए?	పుసతకానని అమముకుననందుకా?
मैं यह नहीं कर सकता. . .	నేను అలా చేయలేకపోతుననా. . .
. . . इस देश का अब कोई वजूद नहीं है.	. . . ఈ దేశం ఇపపుడు దేశంలా లేదు.
वे आ गए.	వచచేశారు.
मैंने अपनी पतनी को हमारे घर को जोखिम में डालने के लिए मना लिया	మా ఇంటిని ఫణంగా పెటటేలా నా భారయకు నేను నచచజెపపుకుననాను,
मि. रॉजरस, मुझे अपने गेम से पैसे परापत करने का अधिकार नहीं है.	మిసటర రాజరస, నా ఆట నుండి డబబు సంపాదించే హకకు నాకు లేదు.
नहीं. यह "गो" जैसी बिलकुल नहीं है. यह बहुत ही अलग है.	లేదు. ఇది "గో" ఆట లాంటిది కాదు. ఇది వేరే లెవెల.
कया हम हैंडहेलड "टेटरिस" के बारे में बात कर सकते हैं?	మనం హయాండ హెలడ "టెటరిస" గురించి మాటలాడుకుందామా?
मैं हॉलैंड से हूँ, लेकिन मैं नयूयॉरक में पला-बढा हूँ.	నాది హోలాండ. కానీ నా బాలయం నయూయారకులో గడిచింది.
-तुम विशवास के साथ कह सकते हो? -हाँ! बिलकुल.	-బాగా నమమకంగా ఉననావా? -హా! మరోమాట లేదు.
उसे लगता है कि मैंने "टेटरिस" चुराई है?	నేను "టెటరిస"ని దొంగిలించాలని అనుకుంటుననాడా?
माफ करना, मि. रॉजरस. वे मीटिंग में हैं.	సారీ, మిసటర రాజరస. వాళలు ఓ సమావేశంలో ఉననారు.
-हेंक, हमारे पास समय नहीं है. -इसे पढो!	-హెంక, మా దగగర అంత సమయం లేదు. -ఓసారి చదవండి!
हम इसे पाँच लाख में खरीदना चाहेंगे.	మేము అయిదు లకషల డాలరలకి కొంటాం.
और मैं यहाँ तुमसे विशववयापी हैंडहेलड अधिकारों का लाइसेंस लेने आया हूँ.	ఇపపుడు పరపంచవయాపత హయాండ హెలడ లెసెనస హకకుల కోసం ఇకకడికి వచచాను.
तुमहें कितने गेम बेचने की उममीद है?	ఎనని గేమస అమమగలరని మీ అభిపరాయం?
अगर हम ऐसा करेंगे, तो सथिति हमारे नियंतरण में रहेगी.	మనం ఈ పని చేసతే, నియంతరణ మన చేతులలోకి వసతుంది.
हेंक की निनटेंडो के साथ एक बहुत ही महतवपूरण बैठक है. हम कोई रासता निकाल लेंगे.	నింటెండోతో హెంక కి చాలా ముఖయమెన సమావేశం ఉంది. ఏదోక మారగం ఆలోచిదదాంలే.
तुम मेरी जासूसी कर रहे हो?	మీరు నాపె నిఘా పెటటారా?
मि. बी. . . ओह, बकवास. . .	మిసటర బె. . . అబబా. . .
कयोंकि तुम जो देखने वाले हो, उसे दुनिया में केवल दस लोगों ने देखा है,	ఎందుకంటే, మీరు ఇపపుడు చూడబోయేదానని ఇపపటిదాకా పది మందే చూశారు,
उसमें कोई गराफिकस कारड भी नहीं था.	అందులో గరాఫికస కారడ కూడా లేదు.
वैसे, सजजनों, मुझे लगता है एक जशन होना चाहिए.	ఏదేమెనా, పెదదమనుషులారా, మనం పారటీ చేసుకోవాలనుకుంటా.
