जेरलामरेल का एक संदेश.	జెరలామరెల యొకక సందేశం.
उनहोंने कहा कि मुखौटा मुझे याद दिलाएगा.	ఆ ముసుగు నాకా విషయం గురతుచేసతుందని వేయించేవారు.
जिस दिन तुम हमारे जीवन में आई. . .	నువవు మా జీవితాలలోకి పరవేశించిన రోజు. . .
वे शायद ही हिचकिचाएँ हो.	వాళళు ఏ మాతరం సంకోచించనేలేదు.
फिर आपने इसकी अनुमति कयों दी?	అయితే ఎందుకు సమమతించావు?
वे मुझे पसंद नहीं करते, है न?	వాళళకి నేను నచచలేదు కదా?
पता है, निरणय लेने जैसा कुछ नहीं था. यह अपरिहारय था.	అసలు నిరణయమనన పరశనే రాదు. ఇది అనివారయమెనది.
इसे. . . चुनते हैं.	దీనని. . . ఎననుకుంటారు.
एक धनवान महिला. . .	తన అధికారానని కానీ. . .
मुझे यकीन है वह नहीं चाहेगी तुम में से कोई इसके लिए मारा जाए.	వాటి కోసం మీ ఇదదరిలో ఎవవరూ కూడా చావాలని తను కోరుకోదు.
लेकिन मेरी तो अभी शुरुआत है.	కానీ నా కథ ఇపపుడే ఆరంభం కాబోతోంది.
मेरा हाथ पकडो.	నా చేతిని పటటుకో.
उनहोंने अपनी यातरा फिर से शुरू की.	అతని పరయాణానని కొనసాగించాడు.
नहीं, हमें दिखाओ.	కాదు. చూపించు.
मुझे लगता है कि वे आपको पसंद करते.	అతనికి నువవు నచచుతావనుకుంటా.
चुडैलखोजक. . .	మాంతరికాంతకా. . .
मेरा हाथ थामो.	నా చేతిని తీసుకో.
कया तुमहें लगता है कि वह अनय बचचे से पयार कर पाएँगी	తను ఇపపటికే నిననూ, మీ సోదరుడిని పరేమిసతుంది కాబటటి మరొక బిడడని
उसने कहा था, "सावधान रहना. "	"జాగరతత, " అని చెపపాడు.
उनहोंने मुझे यह उनकी मृतयु के दिन दिया.	చనిపోయే రోజు అతను నాకిది ఇచచాడు.
सो कर उठने के बाद मैं तुमसे बात करूँगी.	నేను నిదరపోయాక, నీతో మాటలాడతాను.
आप दोनों यहीं रहो.	మీరిదదరూ ఇకకడే ఉండండి.
वह लडका, बूटस. . .	ఆ అబబాయి, బూటస ని. . .
मेरी बात सुनो. . .	నా మాటలను ఆలకించు. . .
और चिंता करना कि यह हमारा आखिरी पल होगा.	దూరమెన పరతీసారి అదే ఆఖరిసారేమోనని భయం కలుగుతోంది.
वह उनके बीच एक साल तक रहे.	వాళళతో ఒక ఏడాది కలిసి జీవించాడు.
बूटस वह बचचा है.	ఆ బిడడే బూటస.
तुम उनका जीवन बदल सकते हो.	వాళళ జీవితానని నువవు మారచేయవచచు.
लेकिन जो सब बदल गया है जब से हमने झरना छोडा	కానీ మనం జలపాతానని వదిలి నదీ పరయాణం చేసిన తరవాత నుండీ
वह परिवार है. हम उसे पीछे नहीं छोड रहे हैं.	ఇతను మన కుటుంబ సభయుడే. మనం ఇతడిని వదిలిపెటటేసిపోలేము.
अगर मदद चाहिए होगी तो मैं बुला लूँगी.	నాకు సహాయం అవసరమెతే పిలుసతాను.
लेकिन जलद ही तुमहें इसका पछतावा होगा!	కానీ తొందరగానే పశచాతతాపపడతావు.
जेरलामरेल के लिए. . .	జెరలామరెల కి. . .
तुमसे फिर कभी उस तरह से वयवहार नहीं किया जाएगा.	ఇక మీద నీతో ఎవవరూ ఆ విధంగా వయవహరించరు.
यहाँ कितना खालीपन है.	ఇకకడంతా నిరమానుషయంగా ఉంది.
काश मैं उनहें जानता होता.	అతను నాకు పరిచయమయయుంటే బాగుండు.
मैं छुपने की कोशिश नहीं कर रही थी. शायद तुम बस धयान नहीं दे रहे थे.	నేనేమీ దొంగచాటుగా రాలేదు. బహూశా నువవే శరదధ పెటటలేదేమో.
ओपायोल कहीं और सुरकषा पाने के लिए चले गए.	ఇంకెకకడెనా తలదాచుకుందామని ఒపాయోల వాళళు వెళలిపోయారు.
चेट-चेट!	పారాహుషార!
गुनगुना रहा है? कौन गुनगुना रहा है?	కూనిరాగాలా? ఎవరు తీసతుననారు?
नहीं, हमें उसे रोकना चाहिए था.	లేదు, మనం తనని ఆపుండాలి.
कैसे?	ఎలా?
मैं उसे खोना नहीं चाहता.	తనని పోగొటటుకోవాలని నాకు లేదు.
माँ?	అమమా?
माँ!	అమమా!
जय हो. . .	కేన. . .
- मुझे पता है. - आपने इसे मना कयों नहीं किया?	-తెలుసు. -నువవు ఎందుకు అడడుచెపపలేదు?
कि वे सभी सुरकषित और सकुशल वापस आएँगे.	వాళళు భరదరంగా, గాయాలపాలు కాకుండా తిరిగి రావాలని.
उन लोगों पर छुपकर देखना जो तुमहें लोगों को छुपकर देखने को देख सकते हैं.	నువవు దొంగచాటుగా వచచేటపపుడు చూడగలవారి వదదకి దొంగచాటుగా రావడం.
तुमने कया सुना?	మీకేం వినిపిసతోంది?
जब जेरलामरेल ने हमें छोड दिया,	జెరలామరెల మనలని వదిలి వెళలిపోయినపపుడు,
लेकिन वे अचछे लोग हैं. वे अपनी राय बदल देंगे.	కానీ వాళళు చాలా మంచివాళళు. తమ అభిపరాయానని మారచుకుంటారులే.
कयोंकि तुमने कभी उस शकति से दूसरों को नियनतरित करने का विकलप नहीं चुना.	నువవు పరయోగించలేదు కనుక నీకు అదెలా ఉంటుందో తెలియకపోవచచు.
आग को बुझने से रोको. आग अधिक धुआँ उतसरजित कर रही है.	మంట ఆరిపోకుండా చూడు. మంట పొగలు కకకుతోంది.
ये रहे तुम.	ఇకకడుననావనమాట.
मैंने भी वही सब परशन पूछे जो तुमने पूछे.	నీ మదిలో ఉతపననమయయే పరశనలననింటినీ నేను కూడా అడిగాను.
और अब यह लहराने लगा है.	ఇపపుడు మేలకొనింది.
कोई अँगूठियाँ नहीं हैं.	ఉంగరాలు లేనే లేవు.
उनहें पता भी नहीं चलेगा कि यह किसने किया,	వాళళకి అససలు తెలియకుండా వాళళ మీద
लेकिन अपने बहुत ही अलप जीवन काल के दौरान,	కానీ తన అతి తకకువ జీవిత పరాయంలో,
एक बेशरम मुँह जिसे कभी चुप नहीं किया गया.	దెబబలకు అలవాటుపడని పెడసరి మాటలు.
एक साल?	ఒక ఏడాదా?
खोलो इसे.	తెరువు.
तुमसे पयार है.	నినను పరేమిసతుననా.
यहाँ तुम बाकियों के समान हो, या उनसे भी कम, शायद,	ఇకకడ నువవు కూడా అందరితో పాటూ సమానమే, లేదా ఇంకా తకకువే కావచచేమో,
या मुझे उनकी कोई परवाह नहीं है.	వారి బాగోగులు నాకు పటటవని కూడా సూచించకు.
यह उसके लिए अपरिहारय था.	అదంతా తను దిగమింగుకోలేకపోయింది.
कया तुम मेरे सवाल का जवाब दोगे?	ఇక నా పరశనకి బదులిసతావా?
तुम उनके राज रख सकते हो.	వాళళ రహసయాలని నువవు దాచుకోవచచు.
तुमने मुझे कुछ समय अकेले रहने दिया.	నాకు కాసత ఏకాంత సమయమిచచావు.
जो रोब चलाने की आदी है या अपने पति का रोब चलाने की, शायद.	లేదా బహుశా తన భరత అధికారానని కానీ చెలాయించడానికి అలవాటు పడిన ఓ సంపనన మహిళ.
मैं वही वयकति हूँ जिसे लगभग जीवन भर से तुम जानती हो.	మొదటనుంచీ నీకు తెలిసిన అదే వయకతిని నేను.
मैं यह भी अनुमान लगा रहा हूँ कि वे हम से जयादा निहतथे नहीं होंगे.	మన కననా తకకువ మందే నిరాయుధులుంటారని కూడా నా అంచనా.
यहाँ रुको.	ఇకకడే ఉండండి.
उनका जीवन समापत कर सकते हो. . .	వాళళ జీవితానని అంతమొందించేయవచచు. . .
कया हम ऐसा कह रहे हैं कि इसका मतलब समझने के लिए हमें उन पर भरोसा नहीं है?	అదెంత ముఖయమెనదో తనకి తెలియలేదని మనం చెపపదలుచుకుంటుననామా?
जेरलामरेल की यातरा फिर से शुरू होने के बाद. . .	జెరలామరెల తన పరయాణం కొనసాగించాక. . .
देखो कया हुआ.	ఏం జరిగిందో చూడు.
या कैसे, या कयों.	దాడి చేయవచచు.
मैं अंदर और बाहर चुपचाप खिसक सकती हूँ.	నేను అలా వెళలి ఇలా వచచేయగలను.
तो मुझे बताने से पहले तुमने उनहें बताया होता.	నాకు చెపపడానికి ముందు ఖచచితంగా నువవు వారికి చెపపుండేదానివి.
मुझे लगता है कि जिस समय माँ ने अपने पिता का उललेख किया था,	అమమ నోటి నుండి తన తండరి పరసతావన వచచిన కషణాన,
मुझे आग बुझने की आवाज सुनाई दी. कया तुमहें खाना मिला?	మంట ఆరిపోతుననటటుంది. ఆహారమేమెనా తెచచావా?
लेकिन मैं उनके बिना पता लगे वहाँ अंदर जा सकती हूँ और बाहर आ सकती हूँ.	కానీ నా ఉనికి వాళళకి తెలియకుండా నేను వెళళేసి రాగలను.
कुछ नहीं.	అసలేమీ లేదు.
और?	మరి?
तुम मेरे लिए कया लाए हो?	నాకోసం ఏం తెచచారు?
ऐसा कया?	అవునా?
आओ.	పదా.
उसकी मौत में कोई संघरष नहीं होना चाहिए.	తన చావులో పెనుగులాట ఉండకూడదు.
मानव हाथ का कोई सबूत नहीं.	మానవ పరమేయం ఉననదనన ఆధారమే ఉండకూడదు.
जब वह जानकारी माँग रहा था,	అతను సమాచారం కోసం అడుగుతునన సమయంలో,
वह हमेशा वही करती है जो सही है.	ఎపపుడూ సరెనదే చేసతుంది.
वे तुमसे सवाल करते हैं, अहमियत कम करते हैं.	నువవు చేసే పనులను పరశనిసతూ ఉంటారు, నినను చిననబుచచుతుంటారు.
मैंने पूरे दिन सवारी की है.	రోజంతా సవారీ చేసాను.
मैं अनुमान लगा रहा हूँ कि वे हम से बहुत जयादा हैं.	మన కననా ఎకకువ మందే ఉండవచచని నా అంచనా.
अपनी पहचान बताओ और गाँव को बचा लो.	మిమమలని మీరు పరకటించుకోండి, ఊరు బరతికిపోతుంది.
इस तरह से मेरे पकडे जाने की संभावना कम है.	అలా అయితేనే నేను పటటుబడటం కషటం.
तुमहें पता है, मैं वहाँ होऊँगी जब वे तुमहारे गले काटेंगे,	ఇవాళ మీరెంతటి తపపు చేశారో మీకు గురతు చేసతూ
मैंने कया किया?	ఏం చేశానని?
माँ, यह हम हैं.	అమమా, మేమే.
वह चली गई. - हनिवा!	-తను వెళలిపోయింది. -హనీవా!
केन की. . . सभा की.	యువరాణి మాగరాకి. . . జయహో.
ईमानदारी से, मुझे नहीं लगता कि इससे हमारा कोई लेना-देना है.	నిజానికి, దీనికీ, మనకీ ఏ సంబందం లేదనుకుంటా.
चलिए, मेरी रानी.	దయచేసి పదండి, మహారాణీ.
हमारा नया दोसत कौन है?	ఎవరీ కొతత నేసతం?
जैसी उनकी इचछा हो,	తాము కోరుకుననవాటిలలోకలలా,
अनुपसथित पिता का विचार,	వదిలివెళలిపోయిన తండరి అనే ఆలోచన,
कुछ भयानक.	ఏదో బలీయమెనది.
जब तक इसके नए रंगरूट अपनी निषठा की कसम खाने को तैयार हैं	కాకపోతే వాళళు మన మధయనునన మన ఏకెక జనరల కి
खुद का छिलका, इसतेमाल किया हुआ,	తన పొటటు అంతా అయిపోయాక
और मैं थकी हुई हूँ. मुझे सोना है.	ఇంకా నాకు అలసటగా ఉంది. నేను నిదరకు ఉపకరమించాలి.
धनयवाद.	ధనయవాదాలు.
शायद यहाँ पद-चिनह हो सकते हैं.	ఇవి పాదముదరలు కావచచు.
आवाज उधर से आ रही है.	అటు వెపు నుండి వినిపిసతుననాయి.
धनयवाद.	ధనయవాదాలు.
किसी भी कारण से. . .	కారణముననా. . .
हमें सुबह तक इंतजार करना होगा.	రేపు ఉదయం వరకు ఆగాలి.
तुम उन पर हमला कर सकते हो. . .	ఎవరు చేశారో, ఎందుకు చేశారో, ఎలా చేశారో. . .
कोई भगवान निरमित चीज नहीं.	దెవెముక కూడా లేదు.
उसे बूटस कहते हैं.	ఇతడిని బూటస అని పిలుసతారు.
लेकिन मुझे नहीं लगता कि मैं वैसी बन सकती हूँ.	కానీ నేను అలా ఉండలేను అనుకుంటా.
गरजन, शकति. . .	ఉరుములు, విదయుతతు. . .
और मैं उनहें एक नया कारण नहीं दे सकता.	వాళళకి ఆ కొతత తండరి అవసరముందనే ఆలోచనని నేను రానివవకూడదు.
मैंने गुनगुनाना सुना.	నాకు కూనిరాగాలు వినిపిసతుననాయి.
कया तुमहें अंडे मिले? यही तो उसका मौसम है.	నీకు గుడలు ఏమెనా కనిపించాయా? ఈ కాలంలో అవి విరివిగా దొరుకుతాయి.
आप उस पर भरोसा नहीं करते, है न?	నువవు నమమడం లేదు కదా?
उप-शीरषक अनुवादक: जशन	ఉపశీరషికలను అనువదించినది: అలేఖయ
हालांकि मैं कहूँगी. . .	అయినా నేను ఒకటి మాతరం చెపపాలి. . .
उसी समय हनिवा ने निरणय कर लिया था.	హనీవా నిరణయించేసుకుంది.
उसके चौरी के कौशल के अलावा.	దొంగతనాలలో ఇతనికి ఉనన నేరపరితనం కాకుండా.
उसके शबद मेरे लिए मारगदरशन की तरह रहे हैं. . .	అతని మాటలు ననను నడిపించాయి. . .
कि तुम अपने बचचों की जान, अपने पति की जान जोखिम में डाल रही हो. . .	ఇంకా నీ భరత జీవితానని పరమాదంలోకి నెటటావు. . .
वह सब कुछ जो मायने रखता है.	మనకి పనికొచచేదంతా.
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
दयालु, बुदधिमान.	జాలిగలవాడు, తెలివెనవాడు.
हाँ.	అవును.
वे एक नए पिता से मिलेंगे.	మన పిలలలు ఓ కొతత తండరిని కలుసుకుంటారు.
वह हम में से किसी से भी नहीं रुकती.	మనలో తనని ఎవవరూ ఆపలేరు.
कृपया, मुझे समझाने दें.	దయచేసి, వివరణిచచే అవకాశం నాకివవండి.
तुम दोनों, तुम सहमत हो?	మీరిరువురూ, ఒక అంగీకారానికి వచచారా?
मैंने चार लोग गिने.	నాకు నలుగురుననటటు తెలుసతోంది.
हमारे बीच एकमातर जनरल के लिए.	తమ విధేయతని చాటాలి.
मैं कसम खाता हूँ.	నేను విధేయతని చాటుతుననాను.
वह सब इसके लिए.	దీనికోసమే అంత శరమపడడాం.
बहुत बार तुमसे अलग होकर. . .	నీ నుండి చాలా సారలు దూరమవవాలసి వసతోంది. . .
कोफुन सही है.	కొఫూన నిజమే చెపపాడు.
तुमहें नहीं पता होगा यह कैसा लगता है	ఆ శకతిని ఇతరుల మీద ఎననడూ
आपके बारे में नई अफवाहें हैं.	మీ గురించి కొతత విషయాలు గుసగుసలాడుకుంటుననారు.
चलो कुछ भी मत कहो.	అలా అని భరమపడకుండా ఉందాములే.
चालक? कमबखत मुझे जवाब दो.	డరెవర? జవాబివవు.
कयोंकि वह तुमसे और तुमहारे भाई से पयार करती हैं?	తను పరేమించే ఆసకారముంది అనుకుంటుననావా?
मुझे परवाह नहीं है कि वह कौन है!	వీడెవడెనా అది నాకనవసరం!
मेरा कुछ खो गया है.	నేను కూడా ఒకటి పోగొటటుకుననాను.
रकून पहने हुए है.	రాకూన తోలుతో నూలిన వసతరాలు.
यह एक अलग सवाल है. . .	నా మదిలో వేరే పరశన మెదులుతోంది. . .
बोलो.	మాటలాడు.
यह बेतुका है.	ఇది హాసయాసపదంగా ఉంది.
न ताकत, न डर.	బలమూ లేదు, భయమూ లేదు.
बस उसे पाने के लिए?	అంతగా ముఖయమెనది వాటిలలో ఏముంది?
मैं खुश हूँ कि तुमहें लगा मेरे पास कोई विकलप है.	ఆ విషయంలో నేనేమెనా చేయగలనని నీకు అనిపించినందుకు నేను ముగధుడినయిపోతుననాను.
गुनगुनाने की आवाज.	కూనిరాగాలు.
मैंने उनहें सुना.	నేను వారిని వినగలుగుతుననాను.
फिर मैं उनसे बचूँगी.	అయితే నేను వారిని తపపించుకుంటాను.
उनसे बहुत पयार होगा.	అతనంటే నీకు చాలా ఇషటం ఉండుంటుంది.
अब तुमहारा पति और बचचे,	నువవు చెపపావు కాబటటి నీ భరత, నీ పిలలలు
कुछ बुरा.	ఏదో భయంకరమెనది.
मुझे भी ऐसा ही लगता है, महारानी जी.	అవుననుకుంటా, మహారాణి.
मुझे पता है. और न ही मेरे लिए.	తెలుసు. నాకు కూడా.
और उलझन में है.	అంతేగాక సందిగధంలో ఉననారు.
मैं यहाँ साथ में समय बिताने की आशा करता हूँ.	నీతో ఇకకడ మనకి కుదిరినంత సమయం గడిపేందుకు నేను ఆతరుతగా ఎదురుచూసతుంటాను మరి.
कोफुन हमारी पसंद को समझता है.	మనం ఏది ఎందుకు చేసతుననామో కొఫూన అరథం చేసుకుంటాడు.
कीडों का शहर.	పురుగుల నగరంలో ఉననావు.
मैं इंजनों की आवाजों के बीच पैदा हुई. . .	నేను ఇంజనల ధవని మదయ. . .
सच में?	చూడగలడు కదా?
तुमहारी माँ.	మీ అమమ.
तुम दिलचसप हो.	నువవు ననను ఆకటటుకుననావు.
वे हर जगह हैं.	వాళళు మన చుటటూరా ఉననారు.
तुम किस बारे में बात कर रही हो?	ఏం మాటలాడుతుననావు?
तुम उसे समझ जाओगी.	తన గురించి మంచి అవగాహన వసతుంది.
पर इस सवाल के बारे में सोचना बंद नहीं कर पा रही हूँ.	దాని గురించే ఆలోచిసతూ గడిపాను.
तुमहारी आवाज में, तुमहारी आदतों में, कुछ बदल गया है, माघरा.	ఏదో నీ సవరంలో, నీ పరవరతనలో, మాగరా.
ठीक है.	సరే.
कया कहा तुमने?	ఏమననావు?
मैंने आपको उनके बारे में जयादा नहीं बताया. . .	నేను నా తండరి గురించి. . .
वे उसे ले गए?	తనని వాళళు ఎతతుకెళళారా?
लहर चली गई है.	అలలు లోపలికి వెళలిపోయాయి.
ओह, नहीं.	అయయో.
फिर उसे आने दो.	అయితే అతడిని మనతో రానిదదాం.
बेशक.	తపపకుండా.
मेरे पति या मेरे बचचे की जान जोखिम में है.	ఉననారని మాతరం సూచించకు.
हम कया करेंगे?	అయితే మనమిపపుడు ఏం చేయాలి?
शायद उस दुषट रानी की पारषद.	ఆ దరిదరపు మహారాణికి సలహాదారురాలివి కూడా ఆయయుండవచచు.
तुम देख सकते हो?	నువవు చూడగలవని ఎందుకు తెలీలేదు?
मेरी माँ का दिल सबसे बडा है.	మా అమమకి ఉననంత విశాల హృదయం నాకు తెలిసి ఇంకెవవరికీ లేదు.
और न ही तुम.	నువవు కూడా సంకోచించలేదు.
मुझे लगता था उसका मतलब था कि. . .	అతని ఆంతరయం. . .
ओपायोल. खोजी.	ఒపాయోల. వీళళు దోపిడీదారులు.
बहुत नरम.	చాలా మృదువుగా ఉంది.
हनिवा.	హనీవా. హనీవా.
देखो. महसूस करो.	చూడు. అనుభూతి చెందు. అనుభూతి చెందు.
यह नहीं है.	కాదు.
कोई भी कहानी बुनी नहीं जा रही है.	కథల అలలిక లేదు.
बचचा!	తలలీ! తలలీ!
भागो.	పరిగెతతండి.
भागो.	పరిగెతతండి.
लेकिन कहाँ से?	కానీ తను ఏ పరాంతానికి చెందినది?
कुछ नहीं.	నాకేమీ వినపడటం లేదు.
उनसे उनका संबंध,	అతనితో తనకునన బంధం గురించి విననపపుడే,
रुको. नहीं.	ఆగు. వదదు. ఆగు. వదదు, వదదు!
और हवा को.	గాలి శబదానని కూడా వినండి.
कया?	ఏం చేశాను?
अभिवादन करो!	భకతిపూరవక వందనాలు తెలియచేయండి!
चलो लडके.	పద.
बुरे.	తీవరంగా ఉంటాయి.
है न?	వినుండేదానివే కదా?
मुझे भी.	నేనూ కూడా అది కోరుకోవడం లేదు.
उठो.	లేయి. పెకి లేయి.
मतलब.	పరమారథం మధయ పుటటాను.
