मेड इन हेवेन	మేడ ఇన హెవెన
आने वाले सपताह में, शेयर के भाव किस तरफ बढेंगे,	సటాక పరెస వచచే వారంలో ఎకకడికి వెళుతుంది,
- यहाँ. - ये वाला?	- ఇకకడే, పలీజ. - ఇదా?
इसने इतनी पी ली थी कि सगाई वाली अंगूठी गुम हो गई.	వీడెంత మతతులో ఉననాడంటే తన ఎంగేజమెంట రింగ పోగొటటుకుననాడు.
ठीक है?	సరేనా?
तुमने सोच-समझकर यह फैसला किया.	నువవు సపరుహలోనే నిరణయాలు తీసకుననావు.
सुनो, ये वाला कैसा है? खूबसूरत है?	హే, ఇదెలా ఉంది? అందంగానా?
आदिल, इस वकत मैं तुमहारे साथ नहीं रह सकती.	ఆదిల, పరసతుతం నీకు తోడుండలేను.
गीतांजलि: तुमहारे माँ-बाप ये चाहते थे. मैं बस उनहें खुश करना चाहती हूँ.	మీ పేరెంటస ఇలా కావాలననారు. వాళళని సంతోషపెడదామని.
ये सब तुझे बचाने के लिए कर रहे हैं, मीतू.	నినను కాపాడడానికి చూసతుననాం, మిటు.
आदमी: करन सर को बुलाइए. पलीज बुलाइए तो सही उनहें.	- పలీజ కరణ సరని పిలవండి. - కనీసం తలుపు దగగరకి రమమనండి.
ये बहुत ही गलत बात है और मैं इसका साथ नहीं दूँगा.	ఇది చాలా తిరోగమనం నేను భరించలేను.
उससे पयार करने का फैसला मैंने नहीं किया.	అతనని లవ చెయయడం నా నిరణయం కాదు.
और उससे आप इस विषय में फैसला ले पाएँगे.	అది నీకు ఆ విషయం కలోజ చెయయడానికి సాయపడుతుంది.
बाहर से थोडी रूखी थी, पर नरम थी.	బయటకి దురుసుగా, కానీ లోపల సాఫట, తెలుసా?
चुप कर!	నోరముయ!
मुझे डर लग रहा है, आदिल.	నాకు భయంగా ఉంది, ఆదిల.
रिसेपशनिसट: हाँ, जरूर. चिंता मत करो.	ఆ, తపపకుండా. ఖంగారుపడకు.
अचछा, एक काम करिए आप.	ఒక పని చేదదాం.
सर, वो करन मेहरा के मामले के बारे में	సర, ఇది కరణ మెహరా కేస గురించి.
उसे थोडे वकत की जरूरत है, फैजा. तुमने उसका भरोसा तोडा है.	తనకి కొంత టెం ఇవవు, ఫెజా. ఇపపుడు తను నినను నమమే సథితిలో లేదు.
करन, दरवाजा खोलो.	కరణ, తలుపు తెరు!
- सब ठीक है? - शुकरिया.	- అంతా బానే ఉందిగా? - థాంకయు.
आपने ऐसा किया कयों?	ఎందుకిలా చేసారు?
मेरी नजरों में, उसने कुछ गलत नहीं किया.	నా దరుషటిలో వాడేం తపపు చెయయలేదు.
गीतांजलि हमारे लिए लकषमी है.	గీతాంజలి మా ఇంటి లకషమీదేవత.
वह आएँगी तो बता दोगे?	ఆవిడ వసతే, నేను వచచానని చెపతారా.
मैं यहाँ रहना चाहता हूँ. तुमसे मिलना चाहता था.	నాకికకడ ఉండాలనుంది. నినను చూడాలనుంది.
और सब तुमहारी तरह. . . नहीं होते.	అందరూ నీలా ఉండలేరు కదా.
बिलकुल. यही बात मैंने उससे कही.	అదేగా. నేనదే చెపపాను తనకి.
माफ कर दीजिए, सर. मैं चोर नहीं हूँ.	అయాం సారీ సర. నేను దొంగని కాను.
- हेलो, निखिल. कबीर. - हेलो. तुमसे मिलकर अचछा लगा.	- హాయ, నిఖిల. కబీర. - హాయ. నెస టు మీట యు.
ओहो, अरजुन को सब कुछ पता है, और उसे कोई फरक नहीं पडता!	అమమ! అరజునకి అంతా తెలుసు వాడు అరథం చేసుకుననాడు.
ठीक है. वह नहीं आएगा.	సరే. అతను రాడు.
तुम नहीं समझोगी.	నీకరధం కాదు.
- अपना गला काट लूँ? काट सकता हूँ. - पलीज ऐसा मत करो.	- నా గొంతు కోసుకోనా? చెయయగలను. - పలీజ వదదు.
मुझे माफ दो. मुझे बहुत अफसोस है.	అయాం సారీ. అయాం రియలలీ సారీ.
आजकल टरैफिक इतना होता है. चाय बहुत अचछी है.	ఆ పెన, ఈ టరాఫిక. టీ చాలా బావుంది.
निकलिए बाहर, पलीज. पलीज.	గెటవుట. పలీజ. మీరు కూడా,
थक चुका हूँ मैं.	నేను చాలా అలసిపోయాను.
हाँ. मैं ठीक हूँ.	ఆ. బావుననాను.
हर एक अपने लगभग 50 लीटर की जरूरत को पूरा कर लेता है.	వాటిలో పరతీ ఒకటి వాటి రోజువారీ ఇంచుమించు 50 లీటరల తాగడానని పూరతి చేసాయి.
मेरी पतनी के कहने पर थोडी कुदरती दवाएँ ले रहा हूँ.	అదేదో నాచురోపతీ మా ఆవిడ ననను తీసకోమంది.
इस देश में पुलिस की दादागिरी कोई नई बात नहीं है,	పోలీస అమానుషతవం ఈ దేశంలో కొతతేం కాదు,
भगवान भला करे तुमहारा.	నీకు నా ఆశీరవాదాలు
कबीर: दूलहा आ गया. कया नाम है इसका? निखिल: हेलो.	పెళళికొడుకు వసతుననాడు. . . అతని పేరేంటి?
सिसटर ने होली मेरी अनाथाशरम में जमा कर दिया था.	నరస హోలీ మేరీ అనాథశరణాలయంలో వదిలిపెటటింది.
- कोई बात नहीं. सब ठीक हो जाएगा. - हाँ.	- పరలేదులే. మనం బానే ఉంటాం. - ఆ.
देख, अभी पयार से समझा रहा हूँ.	చూడు, మంచిగా అడుగుతుననాను.
वह उसका पति है.	అతను ఆమె భరత.
एक बार कर ले ना. . . एक बार.	జసట ఇంకొకక సారి, కమాన.
आपका 16 मिलियन है.	నీది 16 మిలియనలుంది.
वह तो नहीं है, यार, दफतर में अभी.	తను ఇపపుడు ఆఫీసులో లేదే.
- मुसकान: अचछा. ये हुई ना बात! -	అలాగా. మంచి పని చేసావు!
आप निकलिए इधर से पलीज.	బయటకి పొమమని చెపపానా.
हम दोनों को थाई खाना पसंद है. दोनों तुला राशि के हैं.	మా ఇదదసరికీ థాయ ఫుడ ఇషటం. మేమిదదరం లిబరనస.
हेलो. तुमहें जेट लैग नहीं हो रहा?	హాయ, నీకు జెట లాగ లేదా?
सबूत कया है आपके पास?	ఆధారం ఏముంది మీ దగగర?
- निखिल की माँ: अब हम लोग चलें, पलीज? - हाँ.	- మనం వెళదామా, పలీజ? - అలాగే.
नहीं, नहीं. सब मेरी तरह कया नहीं होते?	కాదు, కాదు, అందరూ "నాలా" ఉండాలేరంటే ఏంటి?
सामान बाँध, और चले जा यहाँ से.	సామాను సదదుకుని వెళిపో.
रुको. जरा. . . अचछा, मुझे माफ कर दो, ठीक है?	ఆగు. అది. . . సరే, కషమించు, ఓకే?
आदमी 2: सर, दफा 377 के अनुसार, कया करन को समाज अपनाएगा?	సర, సెకషన 377ని దరుషటిలో పెటటుకుంటే, సొసెటీ కరణ ని ఏకసెపట చేసతుందా?
और ये सब हुआ कैसे, तुमहें बिलकुल नहीं पता?	ఇదంతా అదెలా జరిగిందో నీకససలు తెలీదా?
इस अपराध में, दरअसल, जमानत होती नहीं.	అది నిజానికి నాన-బెయిలబుల నేరం.
यहाँ तो जिंदगी गुजर जाती है, हकीकत छुपाते-छुपाते.	ఇకకడ, వాసతవం దాచడానికి జీవితాలు సరిపోవు.
मुझे समझ नहीं आया और कया करूँ.	నాకు ఇంకేం చెయయాలో తెలీలేదు.
थोडा कर लें?	కొంచెం చేసకుందామా?
माँ, हम बस. . . माँ?	అమమా, మేం ఊరికే-అమమా?
बात सिरफ छवि की है, तारा.	ఇది కేవలం పరువుకి సంబంధించినది, తార.
फैजा, हमारे पास अभी भी पाँच मिनट का वकत है.	ఫెజా, నీ అపపాయింటమెంట టెంలో ఇంక 5 నిముషాలే మిగిలాయి.
मीरा: मुझे बारीकी में वो सब जानना है जो तुमहारे साथ हुआ, करन.	వాళళు నినను ఏం చేసారో తెలుసుకోవాలనుకుంటుననాను, కరణ.
कि हम ये इकरारनामा खतम कर दें.	ఈ కాంటరాకటుని డిజాలవ చెయయమని.
तुम दोनों में कई बातें एक-जैसी होंगी? कया तुम लोग. . .	మీకు ఎననో విషయాలు కామనగా ఉండచచు. మీరు. . .
ये अचछा है. बीमारी तुमहारी, भुगतें हम.	ఇది బాగుంది. నువవు తపపు చేసతే అనుభవించేది మేం.
मानो या ना मानो, मेरी एक पेड से शादी हो रही है.	నేనో చెటటుని పెళళి చేసకుంటుననాను, నమమండి నమమకపొండి.
- सभी: तारा के नाम! - तारा!	- టు తార! - తార!
तो कया करती मैं?	మరింకేం చేసతాను నేను?
फैजा, तुमहें कया. . . तुमहें कया चाहिए?	ఫెజా, నననేం చెయయమంటావు?
मेरे कॉल भी नहीं ले रही.	తను నా కాలస ఎతతటలేదు.
डॉ. पांडे से मेरी बात हुई.	నేను డా. పాండేతో మాటలాడాను.
मैं भी तुमसे पयार करता हूँ. पर बात वो नहीं है.	ఐ లవ యు టూ. కానీ అది పాయింట కాదు.
टेप में तो बडा चिपक रहा था उस गोरे के साथ?	టేపులో ఆ తెలలాడితో బాగా రాసుకు పూసుకుననావు.
कोशिश करती रहूँगी.	నేను టరె చేసతూనే ఉంటాను.
तुमहारे भाई पे कया असर होगा, सोचा तुमने?	ఎపుడెనా ఆలోచించావా అరజున ఎలాంటివి ఎదుకునుంటాడో?
कमाल है ये.	ఇది పుకకిటి పురాణం.
उस तक पहुँचना होगा. उससे बात करनी होगी.	నేను ఎలాగెనా తనని కలవాలి. తనతో మాటలాడాలి.
अब हर महीने सरपराइज देंगे आप, तो कैसे होगा, भई?	ఇలా పరతీ నెలా ఇవవకపోతే ఎలా కుదురతుంది?
तू मिलकशेक पी और होमवरक कर.	నువవు మూసకుని మిలక షేక తాగి హోం వరక చెయయి.
ये मेरा है, देसी. मेरा मनपसंद.	నేను కూడా మొగడినే, నీకు మోజు కదా.
कया हुआ?	ఏమయింది?
तो बहुत बदनामी हो सकती है.	ఇది పొరబాటున పేపరలకి ఎకకితే.
. . . के पास से गुजर रहा था, और ये देखने के लिए रुक गया. . .	అటుగా వెళుతూ ఆగుతుంది చూడడానికి. . .
वह गे है.	అతను గే.
हाँ, पर ये पराकृतिक हैं, इनसे जलदी काम होगा.	అవును, కానీ ఇవి నాచురల, అవి పరాసెసని బూసట చెయయడనికి హెలప చేసతాయి.
पापा, आप भी ना.	నాననా, మీరు కూడా.
उससे मिलना बंद कर दो. बात करना बंद कर दो.	అతనని కలవకు. అతనితో మాటలాడకు.
पर बात ये है कि अगर इस बात की थोडी भी संभावना है	కానీ విషయమేంటంటే ఏదెనా జరగరానిది
आपको कानून चाहिए? मैं बताता हूँ कानून कया है.	మీకు లా కావాలా? నే చెపతాను లా.
आदिल: सुनो, करन वाली खबर फैल गई है.	కరణ అరెసటయిన విషయం బయటకి వచచేసింది.
चमचमाती और सखत लगती है.	తను మెరుసతూ గటటిగా కనబడుతోంది.
पेड से तलाक होगा, या फिर. . . मतलब?	ఈ పెళళిళళ మధయలో ఆ చెటటుకి విడాకులిసతారా, లేక అలా. . .
कया?	ఏంటి?
मुझसे ये और नहीं होता, तारा.	నా వలల కావటలేదు, తార.
उममीद है आप सब अचछे से एडिट कर देंगे.	మీరు బాగా ఎడిట చేసతారని ఆశిసతుననాను.
सारे जेवर लेकर भाग गया था.	మొతతం నగలననీ తీసకుని పారిపోయాడు.
काश आप ये बात समझते.	అది మీరు అరధం చేసుకుంటే చాలు.
सर, गयारह बज गए हैं, अब. . .	సర, 11 గంటలయింది.
उसने कया कहा?	అతను ఏమననాడు?
जैज की माँ: चाय ठीक बनी ना, बेटा?	టీ బానే ఉందిగా, బాబూ?
वहाँ, उस वाले को तो देखो.	దానని చూడు, అకకడ.
इसे यहाँ से बाहर निकालना ही होगा.	ఎలాగెనా తనని బయటకి తీసుకు రావాలి.
माफ करना. दीपति, तुम कया कर रही हो?	సారీ. దీపతీ, ఏం చేసతుననావు?
- हेलो. मिलकर अचछा लगा. - तारा. हेलो. मिलकर अचछा लगा.	- హాయ. నెస టు మీట యు. - తార. హాయ. నెస టు మీట యు.
और कि मैंने इन पर भरोसा किया.	నేను తనని నమమినందుకు.
बडी बात कया है? चलो ना, छोड देता हूँ.	ఇందులో ఏముంది? పద దింపుతాను.
कौन?	ఎవరు?
कौन करता है ऐसे, यार?	ఎవరలా పరవరతిసతారు?
सच में, भाटिया?	నిజంగానా, భాటియా?
वह बहुत बदल गई है.	తను చాలా మారిపోయింది.
कुछ समझ में नहीं आता, फैजा.	అంతా గందరగోళంగా ఉంది, ఫెజా.
और सिनहा परिवार, उनके बारे में तो कया बताएँ?	ఇక సినహాస, మరి, ఏం చెపపగలం?
निकलिए अभी.	గెట ఔట రెట నౌ!
कितनों के साथ किया है.	ఇపపటికి ఎంతో మందితో చేసావు.
मुझे फरक नहीं पडता.	నేను పటటించుకోను.
पहली सादी पेड से हो जाए,	అమమాయి మొదటి పెళళి ఒక చెటటుతో అవవాలి.
नहीं, आंटी, मैं. . . देर हो रही है काम के लिए, तो निकलता हूँ.	లేదు, ఆంటీ. నాకు లేటవుతోంది. నేను బయలుదేరతాను.
कबीर: शिकषा से हर चीज का इलाज नहीं हो सकता, है ना?	విదయ అందరినీ బాగు పరచలేదు కదా. పరచగలదా?
- दो मिनट पहले गई थी. - नहीं, सर, मैं उनको नहीं जानता.	- రెండు నిముషాల ముందు డరాప చేసాను. - సారీ, సర. నాకు ఆమె ఎవరో తెలీదు.
जाकर उससे शादी की बात करती हूँ, ठीक है? रुको जरा. शुभकामनाएँ तो दो.	నేను పరపోజ చేసతాను, సరేనా? ఆగండి. బెసట ఆఫ లక చెపపండి.
तारा मैडम हैं?	తార మామ ఉననారా?
किसी और की परछाई में खुद को पाने का डर.	నినను నువవు ఇంకొకరిలో గురతించే భయం.
मैं साला आपको अदालत ले जाऊँगा.	నేను మిమమలని కోరటుకి తీసకెళుతుననాను.
टीवी पेशकरता: . . . बहस ही करते रहेंगे?	మనం దీని గురించి వాదించుకోవాలా?
तारा: आप कया कहना चाहते हैं?	మీరేం చెబుదామనుకుంటుననారు?
मिसेज गुपता: तेरी धमकी नहीं चलेगी.	బెదిరింపులు నడవవు.
वो, आंटी, दो- तीन शादियाँ चल रही हैं ना साथ में, तो	అదేంటంటే ఆంటీ, 3, 4 పెళళిళళు ఒకేసారి జరుగుతుననాయి ఆ పనిలో
निखिल के पिता: हम सब आजाद खयाल लोग हैं.	- మేము ఆధునిక భావాలునన వాళళం. - చాలా బావుంది.
- हाँ. - मुसकान: हाँ.	- యా. - యస.
तारा: करन मेहरा के लिए आए हैं.	కరణ మెహరా కోసం వచచాం.
मैंने सच में तारा को चोट पहुँचाई है और	తనని నిజంగా బాధపెటటాను ఇంకా.
- जरूर, सर. - शुकरिया, दीपति.	- వెలకం సర. - థాంకయు, దీపతి.
कारोबार थोडा चल पडे, सबसे पहले आपके पास ही आएगा.	బిజినెస కొంచెం పికప కానీండి అందరికననా ముందు మీ దగగరకే వచచి కడతాడు.
देखो, तुमने जो फैसला किया है, उस पर अटल रहो.	చూడు, నీ నిరణయానికి కటటుబడి ఉండు.
तुमहारे बदन पर मार के निशान हैं.	నీ ఒంటి మీద వాతలుననాయి.
तो आपकी टीम को भी समझ में आएगा कि मैं कया कहना चाहता हूँ,	దాంతో మీటీం కూడా తెలుసుకుంటుంది నేను చెబుతుననది ఏంటో,
कबीर: निखिल कया?	నిఖిల పకకనేం లేదా?
गंदा, घटिया आदमी.	డరటీ, ఛండాలపు మనిషి.
अचछी बात है. उनहोंने कुछ दवाएँ लेने को कहा है.	గుడ, ఆయన కొనని సపలిమెంటస చెపపారు.
लेकिन अब कयों ये पता करना चाह रहे हैं?	కానీ ఇపపుడు వీటితో ఏం పని?
मुझे उसी बात से जलन है.	నాకదంటే ఈరషయ.
मुझे बचाने के लिए?	ననను కాపాడడానికా?
- और कुछ? - नहीं.	- ఇంకేమెనా ఉందా? - లేదు.
- तो कया वही होगा? - हाँ, शायद वही है.	- అకకడుననదా? - అదే అనుకుంటుననాను.
पता है, अगर ये बात अखबारों तक पहुँच जाए,	మీకిది ఎంత నషటమో తెలుసా.
मैं उस मकान में रहूँगा और उसे भुगतना पडेगा.	నేనదే అపారటుమెంటలో ఉంటాను వాడని మూలయం చెలలించేలా చేసతాను.
कोई बात नहीं. बस हम लोग ही हैं. तुम बता सकते हो.	పరలేదు, నువవు చెపపేది మన మధయే ఉంటుంది.
आदमी 1: सर, आपके बेटे को इस वजह से जेल होनी चाहिए.	సర, ఈ ఛండాలమెన పనికి మీ అబబాయిని జెలుకి పంపాలంటారా?
माफ कर दीजिए कि मैंने आप पर भरोसा नहीं किया.	అయాం సారీ నేను మిమమలని నమమలేదు.
तुममें हिममत है.	నువవు ధెరయవంతుడివి.
तुमहें पता है मैं उसे ये सब नहीं बता सकता.	నీకు తెలుసు నేను తనతో అలా మాటలాడలేను.
तो शिकायत आपने की?	అంటే కంపలెయింట మీరే ఇచచారా?
वो किससा खतम हुआ.	ఆ ఛాపటర అయిపోయింది.
मुझे मना करेगा तू? हैं?	నననే కాదంటావా నువవు?
जो अपनी बहू को एक पेड से शादी करने पर मजबूर कर रहे हैं.	తమ కోడలికి బలవంతంగా ఓ చెటటుకిచచి పెళళి చేసతుంటే.
- निखिल. - और तारा.	- నిఖిల. - తను. . . తార.
कैमरा आपने लगाया था या इनहोंने?	కేమెరా మీరు సెట చేసారా లేక ఆయనా?
कयोंकि मैं आपके खिलाफ मुकदमा दरज कर रहा हूँ?	ఎందుకంటే నీ మీద కేసు పెడుతుననాననా?
- ये तो सच है. - मुसकान: बिलकुल सच है.	- అది నిజం. - చాలా నిజం.
तंग करने और मानहानि के तौर पर,	ఏంటిసిపేటరీ బెయిలుకె ఫెల చెయయడం మంచి ఆలోచన,
मैंने तुम लोगों को बताया नहीं, पर वो अंगूठी मैंने ही फेंकी थी.	మీకు చెపపలేదు, కానీ నేనే ఆ రింగుని విసిరేసింది.
पूरी कोशिश करूँगा.	వీలెనంత బాగా చేసతాను. జాగరతగా చేసతాను.
दिलली का एक वेडिंग पलानर गे सकैंडल में पकडा गया.	ఢిలలీ వెడడింగ పలానర గే సకాండలలో పటటుబడడాడు.
मिताली: पर वह बेकसूर है.	కానీ తను అమాయకుడు
वरुण: तारा ही है.	అదీ తార.
रुचि: बेचारा आदिल. वरुण: नताशा को इतना गुससा आया!	- పాపం ఆదిల. - నతాషాకి చాలా కోపంవచచింది!
मैं कया करूँगा?	నేనేం చెయయాలి?
- हम दोनों बहुत मेहनत करते हैं. - अरे, वाह.	మేమిదదరం, చాలా కషటపడి పనిచేసతాం.
जेल तो उसको होनी ही चाहिए.	వాడికి జెలు శికష పడాలసిందే.
कोई बेकसूर-वेकसूर नहीं है.	అతనంత అమాయకుడేం కాదు.
एक और दिल के दौरे के लिए ये सही वकत है?	మందేసి నువవు మళళీ హారటెటాక తెచచుకోవడం అవసరమా?
हम दोनों.	మన ఇదదరికీ.
कपडों का कया. . . कया किया तुमने?	ఆ బటటలని ఏం చేసావు?
महिला जासूस: ये है जी, गीतांजलि का बरथ सरटिफिकेट. बिहार में पैदा हुई थी.	ఇదిగీ గీతాంజలి బరత సరటిఫికేట. తను బీహారలో పుటటింది.
मतलब, हम बचचों को कया सिखाएँगे?	ఇలా అయితే, ఏ రకమెన పిలలలని మనం కనబోతుననాం?
मुझे लगता है. . .	ఎలా ఉందీ అంటే.
कोई बात नहीं. दस मिलियन के नीचे हो, तो उसे बहुत कम माना जाता है.	అది పరలేదు. 10 మిలియనలకనా తకకువుంటే సమసయ.
तू भी यार, भाटिया? बताया था ना तेरे को, यार?	నువవు, కూడా, భాటియా, నీకు చెపపానుగా.
- हमें वो मिल गया. - हमें वो मिल गया.	- మాకు అది దొరికింది. - మాకు అది దొరికింది.
और वह तो एक नंबर का होमो है ना.	వాడు ఒక సవలింగ సంపరకుడు.
अचछा, तो चलो. . . ओह, ये वाला कैसा है? ये जयादा रोमैंटिक है?	సరే, ఇంకోటి ఇదెలా ఉంది? ఇది ఇంకా రొమాంటిగగా ఉందా?
शुकर है भगवान का इन अनोखे रीति- रिवाजों के लिए. हर एक चीज कोई उपाय है.	మన విచితర ఆచారాలకి థాంకస. పరతీ దానికీ చిటకా ఉంటుంది.
और पुलिस का कया?	మరి పోలీస సంగతేంటి?
कबीर: खुशी की बात है!	ఎకసెటింగ!
पर मेड इन हेवेन पूरा काम कर चुका है.	కానీ మేడ ఇన హెవెన పనంతా చేసింది.
हाँ.	అవును.
- शुकरिया. - शुकरिया. शुकरिया.	- థాంకయు. - థాంకయు.
माँ.	అమమా.
ये पकका है.	దీనని పకకన పెడదాం.
कबीर: तो, आज कैसा लग रहा है?	సో ఇవాళ ఎలా ఫీలవుతుననారు?
निखिल की माँ: बाय. आपसे मिलकर अचछा लगा. बाय!	బె-బె. మళళి కలవడం బావుంది.
सबूत है पापा के पास.	మీ నానన దగగర సాకషయాలుననాయి.
मैं जिंदगी में दोबारा कभी वहाँ नहीं जाना चाहता.	నాకు ఎపపటికీ అకకడకి వెళళాలని లేదు.
कोशिश करके देखो. कया पता?	పరయతనించడంలో తపపేం లేదు. ఏం చెపపగలం.
उसने मुझसे पूछा कि कया वह उसे छोड दे.	తనని వదిలెయయమంటావా అనడిగాడు.
सब ठीक हो जाएगा.	అంతా సరవుతుంది.
जैज की माँ: धयान मत दो.	- అదేం పటటించుకోకు. - వాడని పటటించుకోకు.
और वह कया कर रहा था?	వాడేం చేసే వాడు?
महिला जासूस: होता है.	చాలా బావుంది.
पता नहीं किससे बात कर रहा हूँ.	ఎవరితో మాటలాడుతుననానో అరధం కావటలేదు.
आया तो मैं अपना सामान बाँधने ही था.	నిజానికి. నా సామాను పయాక చేయడానికే వచచాను.
एक हफते में शादी है.	పెళళి ఇంకో వారంలో ఉంది.
- आप रुकिए, मैं देखता हूँ. - पुलिस अफसर: कया बात है? कौन हैं आप?	ఏంటి ఇకకడ గొడవ? ఎవరు మీరు?
चल, छोड देता हूँ मैं.	నినను డరాప చెయయనా?
यह चाहिए मुझे.	ఇదే నాకకావలసింది.
ये सब मिला कैसे?	ఇవననీ ఎలా దొరికాయి?
सर, मैं तारा खनना हूँ.	సర, నా పేరు తార ఖననా.
कहने के लिए कुछ नहीं है.	చెపపడానికి ఏం లేదు.
ये कौन सी जगह है? यहाँ कयों आए हैं? बहुत खूबसूरत है.	- ఈ పలేసేంటి? ఇకకడెందుకుననాం? ఇది అదభుతంగా ఉంది. - అవును. . .
करन: कौन है? हाँ?	ఎవరది? ఏంటి?
डर आपको साहसी बना सकता है.	భయం మీకు ధెరయానని ఇవవచచు.
कया चाहिए तुमहें?	ఏం కావాలి నీకు?
नमसते.	నమసతే.
उसका मानना है कि उसके तरक और औचितय की इजजत की गई है.	అతని లాజిక ఇంకా హేతువాద సిదదాంతం గౌరవించబడడాయని అనుకుంటుననాడు.
नहीं.	వదదు.
कितनी अजीब हो, यार.	నువవు బలే విచితరమెనదానివి.
कोई बात नहीं.	పరలేదు.
बाय, जैज.	బె, జాజ.
पर वह बेकसूर है.	తను నిజంగానే అమాయకుడు
कोई संकट या परेशानियाँ नहीं रहेंगी.	నిఖిల జీవితంలో కూడా ఎలాంటి సంకటాలు లేక ఇబబందులూ ఉండవు.
मैं डॉकटर हूँ, ये बैंकर है.	నేనో డాకటర, తనో బయాంకర.
मैं ऐसा ही हूँ.	నేనంటే ఇదే.
तुमने ठीक किया. ये खतम हो चुका है.	నువవు మంచి పని చేసావు. ఇది ముగిసిపోయింది.
नहीं, यार.	తెలీదు.
मैं अंदर आ सकता हूँ?	లోపలికి రావచచా?
उनहें हमेशा से पता था.	తనకి ఎపపుడో తెలుసు,
हाँ, ठीक है. नहीं, नहीं, रखिए.	అలాగే. లేదు, లేదు. చిలలర ఉంచుకో.
दोबारा उससे मिलने की कोशिश की तो मैं. . . निकलो यहाँ से.	మళళీ వాడని కలిసావో జాగరతత. బయటకి పో.
मुझे माफ कर दीजिए, पापा.	అయాం సారీ, నాననా.
निखिल: अजीब बात है तुमने ये पूछा. हममें कई एक-जैसी बातें हैं.	వెల, మీరలా అడగడం ఫననీగా ఉంది, నిజానికి. మాకు ఎననో విషయాలు కామనగా ఉననాయి.
कबीर: ये पागलपन बिलकुल नहीं है.	ఇది పిచచితనం కాదు.
कानून भले ही जो भी समझे,	చటటం ఏమనుకుననా సరే,
मुसकान: हाँ! कराबी! कराबी!	అవును! కరాబీ! కరాబీ!
पूरे हैं, सब ठीक है.	అది పూరతి ఎమౌంట, అంతా బానే ఉంది.
पता है.	నాకు తెలుసు.
वहाँ चिललाने के लिए माफी चाहता हूँ.	అయాం సారీ లోపల అరిచినందుకు.
तो फिर, जूस ही सही.	అయితే, జయూస.
- मेरी शादी हो रही है. - घबराओ मत. तुम थोडे. . .	- నాకు పెళళవుతోంది. - జసట రిలాకస, పరలేదు. ఓ చినన పిలలాడిలా. . .
डरो मत.	భయపడకు.
हाँ. हाँ, हाँ.	ఆ. బానేఉననాను.
मुझे. . . मुझे माफ कर दो. तुम ठीक कहते हो, ठीक है?	సారీ. నువవే కరెకట, ఓకే?
आप बीमार हैं?	మీ ఒంటలో బాలేదా?
सुन तो लो. माफी माँगना चाहता हूँ.	చెపపేది విను, పలీజ. నీకు సారీ చెబుదామని వచచా.
मैं खुद चले जाऊँगी.	నేను వెళతానులే.
तारा: निखिल.	నిఖిల.
अचछा.	సరే.
शुकरिया, सर. जलद ही आपसे बात करूँगा.	థాంకయు సర. తవరలోనే కలుసతాను.
माँ.	అమమా.
करन इस शादी में मौजूद नहीं रहेगा.	ఈ పెళళిలో కరణ ఉండకూడదు.
कई तरीकों से तुम. . .	ఇకకడ మారగాలు, వనరులు ఉననాయి నువవేమీ అలా.
- हमारे दोसत भी एक ही हैं. - कबीर: वाह.	మా ఇదదరి ఫరెండస సెట ఒకటే.
मुझे माफ कर दीजिए.	అయాం సారీ.
तारा: सवरूप, कबीर.	- సవరూప, కబీర. - సరే.
मुझे चिंता नहीं हो रही.	నాకేం ఖంగారు లేదు.
लडकी मांगलिक है.	అమమాయి దురదరుషటవంతురాలు.
एफआईआर दिखाइए.	ఎఫ. ఐ. ఆర. చూపించండి.
इस वकत नहीं.	ఇపపుడెతే కాదు.
और वे. . . कल आ रहे हैं? कल.	- వాళళు రేపు వసతుననారు. . . కదా? - రేపు.
कबीर: इस शहर के मरदों और औरतों पर डर की हुकूमत चलती है.	భయం సిటీలోని ఆడ, మగని పాలిసతుంది.
तुम चाहती हो मैं उसे छोड दूँ?	తనని వదిలెయయమంటావా?
कया?	ఏంటి?
तो. . . मैं इसके लिए मना कर दूँगी.	నేను ఇదంతా చెయయను.
उसने उसे बता दिया.	తను అతనికి చెపపింది.
जैसा कि आपको पता है. . .	మనకి తెలిసినటటుగా. . .
तुम एक मुशकिल दौर से गुजर रहे हो.	నువవు కషటకాలంలో ఉననావు.
अचछी है.	అది బావుంది.
तो, कैसा लग रहा है?	సో, ఎలా అనిపిసతోంది?
मैं तुमसे वही चाहती हूँ जो तुम करना चाहते हो.	నే కోరేది నీకేం కావాలో అది చెయయి.
ये बात लाजमी नहीं लगती?	అది సహజమే గా?
कम से कम, तुमहारी सहेली तुमहारे पति के साथ सो नहीं रही.	కనీసం, నీ ఫరెండ నీ భరతతో పడుకోవటలేదు.
और उसके बाद निखिल की जिंदगी में भी	ఒకసారి ఇది జరిగాక,
लेगा?	కావాలా?
कया आप ऐसी जिंदगी सोच भी सकते हैं?	అలా బతకడం ఊహించుకోగలవా?
गुरपरीत: मममी? दरवाजा खोलो, मममी, पलीज.	అమమా! తలుపు తియయి, అమమా. పలీజ.
दूसरा मौका ना मिलने का डर.	లేదా మరలా ఇంకో ఛానస దొరకదని.
तो?	మరి, అయితే?
हाँ, बाद में आऊँगी.	పరలేదు, నేను మళళీ వసతాను.
नहीं. माफ कीजिए.	లేదు. అయాం సారీ.
