नहीं.	లేదు.
छल है?	అబదధమా?
और मेरा कया?	నా సంగతి ఏంటి?
तुम वहाँ अंदर कया कर रहे हो?	మీరు ఇకకడ ఏం చేసతుననారు?
चोटी से गिरने वाला फलाफल, टमाटर पराणियों का सूप,	ఫలాఫెల ఆఫ ఏ కలిఫ, బటరనట సకవాష బీయింగ సూప,
और अब आगे चीजें और अजीब होती जाएँगी	ఈ జీవితం ఇకపె మరింత వింతగా మారుతుంది అంతే
अरे, सुनो. लगता है तुमहारा दिन बडा निराशाजनक गुजरा है.	హలో, పిలలలూ. మీ రోజు బాగా ఒతతిడిగా ఉననటటు ఉందే.
तुमने मेरी बात सुननी बंद कर दी है.	నువవు నా మాట వినడమే మానేసావు.
हे मेरे लॉरब परभु! कमाल है.	ఓరి, నా లారబ! భలే ఉంది.
मैं तुमहें इतनी अचछी तरह नहीं जानता कि तुमहारी ठीक से बेइजजती करूँ.	అసలు నినను సరిగగా తిటటడానికి నాకు నీ గురించి పెదదగా తెలీదు కూడా.
तुम मुझे फैनस की कहानियाँ पढकर सुनाते हो	నువవు ఫయాన ఫికషనలు చదివి వినిపించి
तुमने अपनी कैद से जलदी छूटने के लिए इस जगह को चुना.	డిటెనషన నుండి తవరగా బయటపడాలని నువవే ఈ పరదేశానని ఎంచుకుననావు.
मुझे लगा इसका थीम याद रखने लायक एक रात था कयोंकि तुम लगभग खतम हो गए थे.	నేను మన థీమ "దాదాపుగా చచచిపోయాం అనిపించిన ఎపపటికీ గురతుండిపోయే రాతరి" అనుకుననానే.
हम केवल एक ऐसे शो के बारे में अपनी राय बता रहे थे जो हमें पसंद है.	మేము మాకు నచచిన ఒక షో గురించి మా భావనను వయకతపరిచాం అంతే.
झाग से मेरा अंग हिलाने का मन हो रहा है.	ఈ ఫోమ వలల నాకు డానస వేయాలని ఉంది.
अगर हम एक नये दोसत वाला अंग हिलाना बनाएँ तो तुमहें अचछा लगेगा?	మనం కూడా కొతత ఫరెండ డానస ని కనిపెడితే నీకు ఏమెనా కాసత సంతోషంగా ఉంటుందా?
तो जब ये एक-दूसरे के पास होते हैं. . .	అయసకాంతంలా అతుకకుంటాయి కూడా. . .
खोपडी वाला सैंडविच?	సకల బోన సాండవిచ?
जब हमने यह करने की अनुमति दी तो मुझे लगा हमें सजा सहनी पड जाएगी.	మేము ఈ కారయకరమానికి ఒపపుకోగానే మాకు శికషవేసినటటు ఉంటుంది ఏమో అని అనుకుననాను.
अगर वे सब अपने अंग एक ही समय पर न हिलाएँ तो.	అది కూడా అందరూ ఒకేసారి డానస వేయకూడదు.
और उनके बिना जीवित तो बिलकुल नहीं बच पाएँगे.	అలాగే అవి లేకపోతే ఎవరూ బరతకలేరు కూడా.
यह है ऑरब नामक हमारा गरह थोडा सा एक ओर झुका हुआ है	ఇదుగోండి మా పరపంచం ఇది కాసత వంపుగా ఉంటుంది
कृपया, एक कॉफी पेय दीजिए.	ఒక కాఫీ ఇవవండి, పలీజ.
मैं पूरी तरह समझ रहा हूँ.	నేను అరథం చేసుకోగలను.
कया तुमने मालिक से पूछ लिया है?	ఈ విషయానని ఓనర కి చెపపావా?
अब यह कहीं बेहतर है. कमाल है, डैंपवायर से पहले हम करते कया थे?	ఇపపుడు అది ఇంకా చాలా బాగుంది. వావ, డాంపవెరస రాకముందు అసలు మనం ఏం చేసేవారం?
सोचो हम सब यहाँ कया कर रहे हैं.	మనం ఇకకడ చేసతునన విషయానని ఆలోచించండి.
हमारे नये दोसत वाला अंग हिलाना करके दिखाएँ?	మన కొతత ఫరెండ డానస ని వేసి చూపుదామా?
आमतौर पर सबसे बेढंगा और सबसे मुशकिल माना जाता है.	అలాగే కషటమెనదిగా అందరూ చూసే దశ ఒకటి ఉంది.
हमें जगह मिल जाएगी, बस यह जरूरी नहीं कि वह अचछी जगह हो.	ఖచచితంగా దొరుకుతుంది, కానీ మంచిది దొరకకపోవచచు.
यह हो सकती है. खुले में चाँदों के नीचे अंग हिलाने का कारयकरम.	కావాలంటే అవవగలదు. చందరుని కాంతిలో బయట డానస వేయొచచు.
जिससे किशोर होने के अपने रोजमररा के तनावों को कुछ कम कर सकें.	ఒక టీన గా ఉండడం వలల వచచే ఒతతిడిని తగగించుకోవడానికి.
मैं हमेशा सोचता था मैं अपने बेसटी के साथ जाकर अपना सबसे अचछे दोसतों वाला अंग हिलाना करूँगा.	నేను మొదటి నుండి నా బెసటీతో వెళలి మా బెసట ఫరెండ డానస వేసతాము అని అనుకుననాను.
जरूर.	అలాగే.
मुझे खुशी हुई तुमहें यह जगह पसंद आई.	నీకు నచచినందుకు సంతోషంగా ఉంది.
अभी तक नहीं.	ఇంకా లేదు.
तुमने कभी अंग नहीं हिलाए?	నువవు ముందెపపుడూ డానస వేయలేదా?
चलो, तेज काम करें.	ఇక మొదలుపెడతాం.
तुम यह संभाल लोगी. वह लॉकर याद करो.	నువవు ఇది చేయగలవు. ఆ లాకర ని గురతుతెచచుకో.
यह औदयोगिक जगह है. पर शायद हम इसे काम में ला सकते हैं.	ఇది ఫయాకటరీనే. కానీ ఇకకడ ఏదొక విధంగా మేనేజ చేయొచచు అనుకుంటుననాను.
कया मैं कॉफी पेय या कल की बची आधी मिठाई देकर तुमहारा मूड ठीक कर सकता हूँ?	మిమమలని ఉతసాహపరచడానికి కొంచెం కాఫీ లేదా నిననటి సవీట లపె సగం తగగింపు లాంటిది ఏదెనా ఇవవనా?
मुझे नहीं लगा था मैं यह कर पाऊँगा.	నేను ఈ పనిని చేయగలను అని అససలు అనుకోలేదు.
इन हालातों के लिए शुभकामनाएँ.	నీ పరిసథితి చకకబడాలని కోరుకుంటుననా.
मुझे माफ कर दो मैंने वह सब कुछ कहा.	నేను అనన మాటలకు ననను కషమించు.
मैं तो यहाँ सजा काटने आई हूँ. तुम यह तकलीफ कयों मोल ले रहे हो?	నేనంటే శికషగా ఇకకడికి వచచాను. నువవు అనవసరమెన తలనొపపిని మీద పెటటుకుంటుననావు.
उन जीवों का बकवास हमला!	చెతత ఎలుకల తలనొపపి!
आज मैं आकरषक पराणी के तरीके से चेहरे पर निखार लाऊँगा.	నేను ఇవాళ హాట బీయింగస ముఖ సౌందరయ రొటీన ని టరె చేసతుననా.
जरूर, आप एक, दो या पाँच घंटों के लिए बैठकर कॉफी पीना चाहते हैं?	సరే, నీకు సమాల, మీడియం లేదా లారజ కాఫీలలో ఏది కావాలి?
तुमहारे लिए यह इतना जरूरी कयों है?	నీకు ఈ పని ఎందుకు అంత ముఖయం?
कया घटिया जगह है.	ఛండాలంగా ఉంది.
ऐसे उदास रहकर.	వృధా చేసుకోకూడదు.
मुझे पराणियों को मजे करते देखना अचछा लगता है.	నాకు అందరూ ఎంజాయ చేసతుంటే చూడడం ఇషటం.
हमें बस इतना पता है हम जीवित हैं	మనం పరాణాలతో ఉననామని మాతరమే మనకు తెలుసు
और आशा है कुछ सीखेंगे. शुरू करो.	ఏమెనా నేరచుకోగలం ఏమో చూదదాం. మొదలెడదాం.
पर इनके गाल वाकई बहुत सुंदर हैं.	కాకపోతే వీళళు చాలా అందంగా అయితే ఉననారు.
केयरफुल नाओ	కేరఫుల నవ
और मुझे "आकरषक पराणी" बहुत पसंद आया.	ఇపపుడు నాకు కూడా హాట బీయింగస బాగా నచచేసింది.
पराणियों को वैसी ही खुशी देना चाहता था और आशा थी कि अपने खुद के कुछ दोसत बनाऊँगा.	అపపుడు నేను కూడా వారిలాగే ఎంజాయ చేసతూ నాకంటూ ఫరెండస ని చేసుకోగలను.
मुझे यह जयादा पसंद था जब यह सामानय खून पीने के बारे में था.	ఒకపపటిలా సింపుల గా రకతానని తాగడం గురించే ఉండే కథను నేను మిస అవుతుననాను.
मजाक कर रहा हूँ.	జోక చేసతుననా.
और फिर मेरे सारे सॉस पॉकेट खा जाते हो. यह तो अब दोसती रही ही नहीं है.	ఆ తరవాత నా సాస పయాకెటస అననీ తినేసతుననావు. నాకు ఇది అసలు ఫరెండషిప లాగే అనిపించడం లేదు.
इनके शो "आकरषक पराणी आकरषक चीजें करते हैं" में केवल अहंकार ही भरा है.	హాట బీయింగస డూ హాట థింగస కారయకరమం అంతా వాళళ అహం గురించే.
यह तो दुःख की बात है.	అది చాలా బాధాకరం.
किसी ऐसे ने जिसे मैं अपना दोसत समझती थी, मुझ पर जानबूझ कर अंग हिलाने का कारयकरम खराब करने का	నేను ఫరెండ అనుకునన ఒకరు ఈ డానస పారటీని నేనే కావాలని పాడు చేశాను అని ఆరోపించి
कया मतलब है कि रोएँदार पनीर वाले जीव यहाँ भर गए हैं?	ఎలుకలు చొరబడడాయి అంటే ఏంటి అసలు నీ ఉదదేశం?
समझ रहे हो इससे कया होगा?	దీని వలల ఏమవుతుందో అరథమవుతుందా?
फिर हम आराम से बैठकर शरबत पी सकते हैं	అపపుడు మనం రిలాకస అయి కొంచెం బలడ డరింకు తాగుతూ
बेशक. वैसे भी मेरे पास और चारा ही कया था.	ఏం పరలేదు. చేయకుండా ఉండడానికి నాకు అవకాశం లేదు కదా.
यह एक वयकति की समिति है.	ఈ కమిటీలో ఒకకరు మాతరమే ఉననారు.
और कुछ नहीं, बस आकरषण है.	అందం తపప ఇంకేం లేదు.
दो घंटों के लिए.	మీడియం ఇవవండి, పలీజ.
उसके बारे में तो हम देख लेंगे.	దాని సంగతి తరవాత చూదదాం.
मेरा मतलब तुमहारे लिए था.	నేనెతే నిననే అననాను.
"आकरषक पराणी. "	హాట బీయింగస.
यह आखिरी मेज था.	ఇదే చివరిది అనుకుంట.
तो कयों न आज जी लें!	కాబటటి ఇవాళ ఎంజాయ చేదదాం!
बुरे शो को पसंद करने वाला.	చెతత కారయకరమాలను ఇషటపడే వయకతి.
बुरा बरताव करने के लिए मुझे भी माफ कर दो.	నేను కూడా పొగరుగా ఉననందుకు కషమించు.
मैं किसी और को तुमहारी जगह नहीं दे रहा था और न ही तुमहें नजरअंदाज कर रहा था.	నేను నీ సథానానని ఇంకొకరికి ఇవవాలనో నినను దూరం పెటటాలనో చూడలేదు.
हमें अंग हिलाने के कारयकरम के लिए एक जगह की जितनी जरूरत है,	డానస వేయడానికి పరదేశం కోసం చూసతునన మనతో పోలచితే
और पराणी का आतमविशवास सबसे निचले सतर पर पहुँच जाता है.	అలాగే ఆతమగౌరవం బాగా దెబబతినే సమయం కూడా ఇదే.
यह बातचीत सवाभाविक ढंग से खतम हो गई है.	ఇపపుడు మన సంభాషణ మామూలుగానే ఒక ముగింపుకు వచచింది.
तुम खुद को खतरे में डाल रही हो.	నినను నువవే పరమాదంలోకి నెటటుకుంటుననావు.
उप-शीरषक अनुवादक: मृणाल	సబ టెటిలస అనువదించింది: జోసెఫ
तुमहें कैसे पता चला कि तुमहें अंग हिलाने के कारयकरम आयोजित करना पसंद है?	నీకు డానసులు ఏరపాటు చేయడం అంటే ఇషటం అని నీకెలా తెలిసింది?
यह मजेदार हो सकता है. औदयोगिक जगह.	ఇకకడ బానే ఉండేలా ఉంది. ఒక ఫయాకటరీ లుక ఉంది.
मुझे वह शो पसंद है.	నాకు నచచుతుంది.
ये चिपक जाते हैं. कया मसत चीज है.	అవి అతుకకుననాయి. భలే ఉంది!
वे हमारे टीमवरक को नहीं हरा सकते.	కురరాళళు వచచినా సాటి రారు.
यह मजेदार गरुप लग रहा है. बाद में मिलते हैं!	వాళళు బాగా ఎంజాయ చేసతుననటటు ఉననారు. నినను మళళీ కలుసతాను.
ठीक है. मुझसे तो कुछ हो नहीं रहा.	సరే. నాకు కూడా ఏం పలే చేయాలో తెలియడం లేదు.
चाहे कितनी ही बासी मीठी मिठाइयाँ हों,	మేము పాతబడడ సవీటలు ఎనని తిననా
एक ऐसे पराणी के हिसाब से जिसे बातें करना-सुनना बहुत पसंद है,	నాకు కూడా మాటలాడటం అలాగే వినడం చాలా ఇషటమే అయినా
हाँ. लग तो रहा है.	అవును. నాకు అలాగే ఉంది.
मैं इसे छिपा कर रखता हूँ, तुमहारी रकषा करने के लिए और तुमहें पयार करने के लिए.	నేను నినను కాపాడడానికి అలాగే పరేమించడానికే ఈ విషయానని దాచాను.
बेकार! यह तो बचचों वाला गाना है.	ఛీ! అది చిననపిలలల సంగీతం.
यह अंग हिलाने का कारयकरम असफल हो गया है और अब मेरे कोई दोसत नहीं बनेंगे.	ఈ డానస ఏం బాలేదు, ఇపపుడు నేను ఫరెండస ని చేసుకోలేను కూడా.
कया तुमने जानबूझ कर मेरा काम बरबाद किया?	కావాలనే నా పలాన ని పాడు చేశావా?
हम अपना सबसे अचछे दोसतों वाला अंग हिलाना करते हुए बहुत अचछे लगेंगे.	మనం మన బెసట ఫరెండ డానస వేసతుండగా భలే అదభుతంగా ఉంటాం!
शायद अचछा रहेगा अगर हम उस नए छातर को अपने साथ ले जाएँ.	మనం ఆ కొతత విదయారథిని కూడా మనతో తీసుకెళితే బాగుంటుంది ఏమో అనిపిసతుంది.
मैं तुमहें डराना नहीं चाहता था. यकीन दिलाता हूँ मैं डैंपवायर नहीं हूँ.	నినను భయపెటటడం నా ఉదదేశం కాదు. నేనేం రకతపిశాచిని కాదు.
हाँ, मैंने उसका इसतेमाल करके सूँड वाले जीव के पादने की आवाजें	అవును, నేను ఒక ఏనుగు పితతితే ఎలా ఉంటుందో అలాంటి
यह देखना बहुत तकलीफदेह है.	నినను చూసతుంటే నాకు బాధగా ఉంది.
यह अचछा लगा. हाँ. कितना मजा आने वाला है.	నాకు అది చాలా ఇషటం. అవును. ఇది భలే సరదగా ఉండబోతుంది.
मैं खतम होने के थीम वाले इस अंग हिलाने के कारयकरम को खतम होने से बचाऊँगी.	నేను చావు గురించి పెటటిన ఈ డానస చావకుండా కాపాడబోతుననాను.
मेरी गाडी आ गई है. चलो, आनेवाले अंग हिलाने के कारयकरम के लिए कुछ योजना बनाएँ.	కారు వచచింది. వచచే డానస కారయకరమానికి మనం ఏమెనా పలాన చేదదాం.
हालाँकि यह सवीकार करना मुशकिल होगा कि तुमहारे कोई दोसत नहीं हैं,	నీకు ఫరెండస ఎవరూ లేరని చెపపడం కషటంగానే అనిపించినా
और यह जयादा समय के लिए नहीं होगा तो अचछा होगा हम पैरों में नलियाँ डाल लें	అది ఎంతో కాలం ఉండదు కాబటటి ఈ పరపంచానని తిరిగి చూసతే మంచిది
आभार. कया तुम इसके फैन हो?	చాలా సంతోషం. నువవు కూడా అభిమానివా?
इसलिए कोई अपना नाम नहीं डलवाता कयोंकि वे इसकी जिममेदारी नहीं लेना चाहते.	కాబటటి ఆ బాధయత తీసుకోవడం ఇషటం లేక ఎవరూ ఈ కమిటీలో చేరరు.
बहुत जयादा चाहते हैं.	ఖచచితంగా కావాలి.
कयोंकि पराणी बिना भेजे के याद नहीं रख पाएँगे.	ఎందుకంటే మెదళళు లేకపోతే ఎవరికీ ఈ కారయకరమం గురతుండదు కదా.
कया तुम कभी सोचते हो, "अरे, अगर मेरे शरीर की गंध शरीर जैसी न हो तो? "	మీకు ఎపపుడెనా, "హేయ, ఒకవేళ నా శరీరం వాసన అసలు శరీరంలా రాకపోతే ఎలా ఉంటుంది" అని అనిపిసతుందా?
कह नहीं सकता, शायद बातें करते थे?	ఏమో, మాటలాడుకునేవారం ఏమో?
मैं अपने जीवनदाताओं के पदचिहनों पर चलकर	నేను మా అమమా నాననల అడుగుజాడలలో నడవాలి అనుకుననాను,
पर इसका यह मतलब नहीं कि मैं तुमहारे साथ जाने को लेकर उतसाहित नहीं हूँ.	అలా అనుకుననంత మాతరాన నీతో వెళలడం నాకు ఇషటం లేదని కాదు.
अब मुझे फिर से शुरू करके कोई नई जगह ढूँढनी होगी.	ఇపపుడు నేను మళళీ మొదటినుండి మొదలెటటి ఇంకొక పరదేశానని కనిపెటటాలి.
नकली भेजे कयों?	నకిలీ మెదళళు ఎందుకు?
इनके "आकरषक पराणी" वाले पकवान खाकर देखो.	ఆ హాట బీయింగస సనాకస ని చూడండి.
डैंपवायर के बारे में बलॉग, "मेरा खून डैंपीस को दो" के अनुसार. वह रोशनी की किरण एक डैंपवायर जहाज है.	నా రకతానని డాంపీస కి ఇవవండి బలాగ పరకారం ఆ లెట డాంపవెర షిప నుండి వచచింది అంట.
मेरे विचार में 100 तक आ सकते हैं	నేనెతే ఒక 100 మంది వరకు వసతే పరలేదు అంటాను,
अरे, नहीं. मेरी किताबें गिर गईं.	ఓహ, అయయో. నేను నా నోట బుక ని పాడేసుకుననాను.
अगर हमारे दोसतों को मजा आएगा.	మేము ఈ పనిని బాగా చేసామో లేదో చెపపలేము.
हमने अंग हिलाने के कारयकरम को बचा लिया.	మనం డానస కారయకరమానని కాపాడాం.
अचछा, तो अब जोशीले निराले पराणियों!	సరే, నా అలలరి పిడుగులలారా!
-सही है. -यह तो दुःख की बात है.	- అవును. - చాలా దారుణం.
जो तुमने कहा, उससे तो मुझे यह सजा ही लगती है.	నువవు చెపపినదానినిబటటి, నాకెతే ఇది మంచి శికషలాగే ఉండేలా ఉంది.
हमें मजा आया और यह सजा बुरी भी नहीं थी.	మనం ఎంజాయ చేసాం, ఇదేమి అంత దారుణమెన శికషలాగ ఏమీ లేదు.
तुम उदास लग रही हो, दोसत.	నువవు బాధపడుతుననటటు ఉననావు, ఫరెండ.
तो मेरे लिए सममान की बात होगी.	నేను చాలా సంతోషిసతాను.
तो इस अंग हिलाने के कारयकरम के बारे में. कया तुम जाओगे?	అయితే ఆ డానస సంగతి చెపపు. నువవు వెళతావా?
सदा युवा	శాశవత యవవనం
बहुत बढिया किया!	నువవు భలే డానస వేశావు!
चाहे कितने भी रोएंदार जीव हों या बेकार जगहें या आलसी किशोर हों,	మన టీమ వరక కి ఎనని ఎలుకలు అడడు వచచినా దారుణమెన పరదేశాలు ఎదురెనా, లేక ఎంతమంది బదదకసతులెన
वह खतम हो गए.	ఆ ఫరెండ చనిపోయారు.
वह कुछ ऐसे है. . .	అది ఎలా ఉంటుంది అంటే. . .
तो आप लोग रेसतोरां के इस भाग में नहीं आ पाएँगे.	కాబటటి రెసటారెంట లో ఉండగా మీకు ఇకకడికి రావడానికి అనుమతి ఉండదు.
तुम ऐसे कयों कर रही हो?	నువవు ఇంత పని ఎందుకు చేసతుననావు?
आकरषक पराणी आकरषक चीजें करते हैं रिपल और माँस-पेशियों के साथ	హాట బీయింగస డూ హాట థింగస కండలు ఇంకా యాబస తో
कभी-कभी मैं किसी अलग जगह कुछ समय बिताता हूँ	కొననిసారలు నాకు వేరవేరు పరదేశాలలో ఉండడం నచచుతుంది, ఇలా చేసతే
समझ रही हूँ. काफी दुःखी करने वाली सोच है पर मैं समझ रही हूँ.	అవుతుంది. ఆ పని చేయడం కషటమే, కానీ అరథమెంది.
किशोरावसथा के अंग हिलाने के दौरान सामाजिक नाटकीयता अपने चरम पर पहुँच जाती है.	ఈ పరామ డానస లో అధిక సథాయిలో పిలలల మధయ డరామా ఏరపడుతుంది.
कया कुछ समय लॉकर में बिताना चाहोगी?	బహుశా లాకర లో కొంచెం సేపు గడిపితే బాగుంటుంది ఏమో?
मेरे बचपन में, मेरे जीवनदाताओं को अपने दोसतों के लिए अंग हिलाने वाली पारटियाँ देना	నా చిననపపుడు, మా అమమానాననలకు కూడా తమ ఫరెండస కోసం డానస పారటీలు
कि इसी समय के दौरान किशोरावसथा का अंग हिलाना यानि नाचना शुरू होता है.	ఆ సమయంలోనే పరామ డానస అనేది కూడా ఏరపాటు చేయబడుతుంది.
हमें मजा आया. पर हमने अचछा काम किया या नहीं, यह तो तभी पता चलेगा	సరదాగా గడిచింది. కానీ మా తోటివారు ఎంజాయ చేసేవరకు
सब लोग, अपनी कलास के नए पराणी से मिलो.	మీ కొతత కలాస మేట ని కలవండి.
मेरे साथ इतना धीरज रखने के लिए धनयवाद.	నాతో ఓరపుగా ఉననందుకు థాంకస.
खतम होने का खतरा हममें ऐसी बेमिसाल असली खुशी जगाता है	చచచిపోతాం ఏమో అనన రిసక వలల వచచే భయం మన లోలోపల ఉనన సంతోషానని వెలికితీసతుంది,
नहीं. मेरा मतलब, उनके लिए.	అలా కాదు. నా ఉదదేశం వారి విషయంలో అని.
मैं तो तुमहारे आतमविशवास से बहुत परभावित हुआ था	నా బెసటీతో నువవు గొడవపడుతుననపపుడు
ये अपने कारयकरम के लिए केयरफुल नाओ को बुक करना चाहते हैं.	డానస కోసం కేరఫుల నవ బుక చేసుకుంటారు అంట.
जब तुम मेरे बेसटी यानि सबसे अचछे दोसत से बहस कर रहे थे.	నీ ఆతమవిశవాసానని చూడడం నాకు చాలా నచచింది.
बहुत दुःख की बात है.	నిజంగా దారుణం.
मुझे तुमहारी टोपी पसंद आई.	నాకు నీ టోపీ నచచింది.
मुझे इस अंग हिलाने के कारयकरम को बचाना ही होगा.	నేను ఈ డానస ని ఎలాగెనా బాగు చేయాలి.
मतलब, पराणियों को तुमहारे वहाँ होने की खुशी नहीं मिली. तुमहारे साथ अंग हिलाने की.	అంటే నీతో కలిసి ఉండే ఆనందం వారికి దొరకలేదు. అంటే, డానస వేసే ఆనందం.
ऐसे मोड के बारे में कौन सोच सकता था?	అసలు అలాంటి టవిసటు ఉంటుంది అని ఎవరు మాతరం అనుకోగలరు?
हाँ. समझ नहीं आ रहा.	ఏమో. నాకు అలా అనిపించడం లేదు.
कयोंकि आपने ही उसे बनाया है. एक, दो, तीन, शुरू करो!	ఎందుకంటే ఆ డానస ని మీరే కనిపెటటి ఉంటారు కదా. ఒకటి, రెండు, మూడు, కానివవండి!
हम इस अंग हिलाने के कारयकरम में अपने दोसतों के साथ अपने अंग हिलाने के लिए आए थे,	మనం మన ఫరెండస తో కలిసి డానస వేయడానికి ఈ డానస కి వచచాము,
तुमहारा कया? यह सब तुमहारी गलती है.	నీ సంగతా? ఇదంతా నీ తపపే.
कया तुम मेरे साथ अंग हिलाना चाहोगे?	నాతో కలిసి డానస వేసతావా?
अचछा, कयों न तुम बैठने के लिए जगह. . .	సరే, నువవు వెళలి అకకడ. . .
-अभिवादन. -अभिवादन.	- హలో. - హలో.
- हैलो. कुछ सोच रहे हो? - कुछ खास नहीं.	- హేయ, ఫరెండ. నీ మనసులో ఏమెనా ఉందా? - పెదద విషయం ఏం కాదు.
पर अब लगता है भूलने के लिए भी कोई अंग हिलाने का कारयकरम होगा ही नहीं.	కానీ ఇపపుడు అసలు డానస చేసే అవకాశమే ఉండేలా లేదు.
मेरे विचार में हलके जहर के लिए तुम अभी छोटी हो.	నీకు ఇంకా మదయం తాగే వయసు రాలేదు.
खैर, उनहें पसंद आए या न आए, मुझे हमारे काम पर गरव है.	పోనిలే, కానీ వాళలకు నచచినా నచచకపోయినా మనం ఇకకడ చేసినది చూసి నాకు గరవంగా ఉంది.
पर मैं परभावित हुआ हूँ. तुम दोनों ने बहुत अचछा काम किया है.	కానీ చాలా బాగుంది. మీరు బానే మేనేజ చేశారు.
वह खास मजेदार नहीं लग रहा. वे पराणी जो कर रहे हैं वह जयादा मजेदार लग रहा है.	వాళళు అకకడ చేసతుననదానికననా ఈ పని సరదాగా ఉండేలా లేదు.
वे पकका अपने लिए कोई नया घर ढूँढ रहे होंगे.	అవి వాటికోసం ఒక కొతత ఇంటిని వెతుకుతూ అకకడికి వెళలి ఉంటాయిలే.
ठीक है, बाय.	సరే, బె.
यहाँ कुछ खास तो नहीं हो रहा.	ఈ కారయకరమంలో అంత గొపపగా ఏం కనిపించడం లేదు.
शरबत? वाह.	బలడ డరింక? వావ.
मैंने तुमहें माफ किया.	నీ కషమాపణను నేను అంగీకరిసతుననాను.
यह मजेदार हो सकता है. कया नजारा है.	ఇకకడ బానే ఉండేలా ఉంది. ఇకకడి నుండి వయూ భలే ఉంది చూడు.
जब तक पराणी नहीं आते.	మిగతావారు వచచేవరకు ఎదురుచూడొచచు.
यह खतरनाक हो सकता है.	మనం కూడా వెళితే పరమాదకరం కాగలదు.
कया यह किशोरों के अंग हिलाने के कारयकरम की छातर आयोजन समिति है?	కౌమారదశ డానస సటూడెంట పలానింగ కమిటీ ఇదేనా?
दो, तीन, चार.	రెండు, మూడు, నాలుగు.
मेरा मानना है कि यह छल है.	నాకు నువవు అబదధం చెపతుననావు అనిపిసతోంది.
बताओ भी, मिशरित कॉफी लेकर बताओगे?	చెపపు, నీ ఆలోచనలకు సాయపడడానికి బలెండెడ కాఫీ కావాలా?
-यह जगह अचछी हो सकती है. -यह अंग हिलाने के कारयकरम के लिए सही जगह नहीं है.	- ఇకకడ బాగానే ఉండేలా ఉంది. - ఇది డానస వెనయూ కాదు.
हम बस मजे कर रहे हैं.	మేము సరదాగా ఎంజాయ చేసతుననాం అంతే.
यह नहीं हो पाएगा. हमें अंग हिलाने के कारयकरम के लिए कोई जगह नहीं मिलेगी.	ఇది అసాధయం. మనకు డానస వెనయూ దొరికే అవకాశమే లేదు.
हैलो, युवा पराणियों. कया अब हम लोग किसी शिकषासंसथा पशचात कारयकरम का हिससा बन गए हैं?	హలో, పిలలలూ. మీరు ఏదెనా ఆఫటర సకూల పరోగరామ మీద వచచారా?
खुशी और गम, साहस और डर	సంతోషం ఇంకా విచారం, ధెరయం అలాగే భయం
हे मेरे लॉरब परभु. यह तो बहुत ही छोटी कहानी थी.	ఓరి, లారబ. మీ కథ చాలా చిననది.
वह आवाज मैंने नहीं निकाली.	అది నా కేక కాదు.
मेरे खयाल से, हाँ.	అయయుండొచచు.
तुम मेरी बात समझ रही हो?	నేను చెపపేది నీకు అరథం అవుతుంది కదా?
मैं तुमहारे साथ अंग हिलाने के कारयकरम की खरीददारी करने जाने का इंतजार कर रहा हूँ.	పరామ డానస కోసం నీతో ఎపపుడు డానస కి వెళతానా అని ఉంది.
और भेजे आ रहे हैं.	మరినని మెదడులు తీసుకొసతుననాను.
कह तो ठीक रहे हैं.	ఆ విషయానని నేను కూడా కాదనలేను.
हाँ. नहीं दिया.	లేదు. మనం ఏం ఆలోచించలేదు.
वहाँ का एक अजीब सा अंग हिलाने का तरीका है जो खतम होने की याद करवाता है.	గురతు చేసుకుంటూ ఒక పాత డానస మూవ ఒకటి ఉంది.
मेरा बरफ जैसा ठंडा खून का पंप यानि दिल मुझे दूसरे पराणियों को खाने पर मजबूर करता है.	నా కఠోరమెన గుండె నేను ఇతరుల రకతానని తాగేలా చేసతోంది.
और. . .	ఆ తరవాత. . .
कया कहा तुमने?	ఏమననావు?
बहुत पसंद था.	ఏరపాటు చేయడం చాలా సరదా.
अंग हिलाने के कारयकरम के लिए केयरफुल नाओ में कितने किशोर पराणी आ सकते हैं?	కేరఫుల నవ ఇపపుడు ఎంతమంది కురరాళళు డానస చేసతే తటటుకోగలదు?
और पूरण वयसक पराणी के बीच में एक खास चरण होता है जिसे एक पराणी की भावनातमक यातरा में	మధయ ఒక మనిషికి మానసికంగా అతయంత ఇబబందికరమెనదిగా
हमने उसे कोई मजेदार नाम नहीं दिया ना?	దానికి పేరు పెటటేటపపుడు మంచి పేరు పెటటాలని మనం పెదదగా ఆలోచించలేదు కదా?
मेरा अंदाजा. जयादातर दरशक.	నా అంచనా చెపతాను. దాదాపుగా అందరూ అదే ఊహించి ఉంటారు.
आकरषक पराणी आकरषक चीजें करते हैं	హాట బీయింగస డూ హాట థింగస
अभिवादन.	హలో.
अब तुम खतम.	ఇక నువవు చచచే సమయమెంది.
याद रखने लायक एक रात	అందరికీ గురతుండిపోయే రాతరి అయిపోతుంది
फिर कया हुआ था?	ఏమెంది?
जिसमें "डैंपवायरस" शामिल नहीं है.	వేరే విషయాల గురించి కూడా మాటలాడగలుగుతుననా.
बचचे पराणी	పసితనం అలాగే మధయవయసుకు
वे मिलकर काफी सारे अंग हो जाएँगे.	అంటే చాలా మందే.
चाहते हैं कहना जयादा हो गया.	అనుకోవడం కాదు.
तुमहारा ही नुकसान है.	నీ నషటం.
