यहाँ पडे-पडे.	ఇకకడ పడుకుని.
जब मुझे गलियोमा के बारे में पहली बार पता चला, अजीब सा लगा.	మెదడులో పుండు గురించి మొదట తెలుసుకోగానే నాకొక వింత భావన కలిగింది.
लगना चाहिए कि लोबीयर ने किसी को भेजा,	లోబీర ఎవరినో పంపినటటు కనిపించాలి,
यह सभी को पता है. सदमे को मनद कर देता है.	అందరికీ తెలుసు. అవి మనోగాయాలని మొదదుబారుసతాయి.
तुम मिसटर जूबोव के घर पर रहते हुए इस काम में मदद कर सको	జుబోవ గారి ఇంటలో నీ ఉనికిని ఉపయోగించి, ఈ పరయతనంలో
अब वह कुछ मायने नहीं रखता. हमें पीछा छुडाना होगा.	ఇపపుడు అవేమీ ముఖయం కావు. చరయ తీసుకోవాలసిన సమయం వచచింది.
द परिफरल	ద పెరిఫరల
मरिया अनैथमा ऐश.	మరియా అనాథెమా యాష.
जूबोव को.	జుబోవను.
रोमवासी जो किया करते थे जब तीन राजा हुआ करते थे.	ముగగురు చకరవరతులు ఉననపపుడు రోమనలు చేసుకునన ఆ ఏరపాటును.
और नया सटब खोल सकती हैं?	మరి కొతత సటబను తెరిచే శకతి?
पता है, आसान नहीं है, कॉनर.	ఇది కషటమని తెలుసు, కానర.
कारोबार, कुछ और.	వయాపారాలను ఇతరతరా.
शतरंज की यही तो बात है.	చదరంగంలోని ముఖయ విషయం అదే.
मैं ऐसा तो नहीं कहूँगा.	దానని అంత సూటిగా చెపపలేను.
कयों न हम फिर से जुडें?	మనం మళళీ సంధానించుకుందామా?
हमें बस सही औजार चाहिए.	మనకు సరెన పరికరాలు కావాలి.
मेकन, हेडसेट तैयार करो.	మేకన, హెడసెటను సిదధం చేయి.
शेरीस नयूलैंड को बताया है.	చెరీస నులాండకు చెపపాను.
तुमहारे पिता ने अफसोस जाहिर किया है. तबियत ठीक नहीं.	మీ నానన కషమాపణలు పంపాడు. ఆయనకి ఆరోగయం బాగలేదు.
तो मार डालूँगा.	ముకకలుగా చెకకుతా.
कितना बेवकूफ हूँ.	నేను మూరఖుడిని.
और तुमहारी बहनें,	మీ అకకచెలలెళళు,
शिविर में संकरमण फैला, और डर के मारे, उनहोंने हम सब को खतम कर दिया.	శిబిరాలలో అంటువయాధి పరబలింది, దాని భయంతో మనందరినీ చంపేశారు.
कैसे तुम वापस जाकर फिर से शुरुआत कर सकती हो.	నువవు ఎలా వెనకకు వెళళగలవు, ఎలా మళళీ పరారంభించగలవు.
तुम सच में यही कह रही हो?	నా ఆలోచనే చెబుతుననావా?
हमारी समयरेखा में, फलिन फिशर अब वजूद में नहीं है.	మా కాలరేఖలో, ఫలిన ఫిషర ఏమాతరం ఉనికిలో లేదు.
सामान इकटठा किया, वापस लौटने का रासता देखा.	ఆహారానని దాచిపెటటి, మేం వచచిన దారిని కనిపెటటింది.
और जिस कारण से आपके पास आई हूँ, उससे उसका कोई संबंध नहीं.	నేను మీ దగగరికి రావడానికీ, ఆ కథకీ అంత సంబంధం లేదు.
आंटीज का अनुमान है कि तुमहारी माँ जयादा से जयादा 554 घंटों तक जी पाएँगी.	ఆంటీస ఇసతునన ఉతతమ అంచనా పరకారం మీ అమమ మరో 554 గంటలు జీవిసతుంది.
मैं समझी नहीं.	అరథం కావడం లేదు.
दोबारा सवागत है.	మళళీ సుసవాగతం.
और फिर?	ఆ తరవాత?
तो तुमने वह कयों कहा था?	అయితే ఎందుకలా అననావు?
फलिन, अगर तुमहें कुछ भी पता है. . .	ఫలిన, దీని గురించి నీకేమెనా తెలిసతే. . .
मेरे दिमाग में जो कचरा है, है न?	నా మెదడులో ఉనన చెతత అదే కదా?
मैं समझ रहा हूँ.	నాకు అరథమెంది.
तुमसे पयार है.	నువవంటే నాకిషటం.
तुमने लेव जूबोव के लिए काम करना कैसे शुरू किया?	అసలు నువవు లెవ జుబోవ ఉదయోగిగా ఎలా చేరావు?
मैं एक समझौता करना चाहूँगी.	నేను ఒక కూటమిని పరతిపాదిసతుననా.
सबसे जयादा किसका डर है?	మీ అతిపెదద భయం ఏంటి?
कुछ खिडकियाँ तोड पाओगी?	కిటికీలు పగలగొడతావా?
मुझे मारने के लिए, हम सब को खतम करना चाहती है.	ననను చంపడం కోసం మనలని అందరినీ చంపుతోంది.
गेम में, उस सतर पर पहुँचते हैं जहाँ हर हाल में	ఒక సిమలో, మనం ఒక సథాయికి చేరుకునన తరవాత,
जो जरूरी है, वह करो.	నువవు ఏం చేసతావో చెయయి.
पुतिन के मामले के बाद, यहाँ लंदन में किस तरह रहना है.	పుతిన జాతివారి వలసల నుండి, లండనలో ఆమోదించబడిన పదధతుల గురించి.
दोबारा अगर मुझे धोखा देने की कोशिश की,	నాకు నువవు మళళీ అడడుపడాలని చూసతే,
जिसका तुमहें बहुत जलद अफसोस होगा.	తవరలోనే వాటి గురించి బాధ పడతావనుకుంటా.
आपका ठोस कदम.	మీ కఠిన నిరణయం.
अपनी छोटी सी दुनिया में हमने आठ महीने गुजारे.	మా చినని రాజయంలో, ఎనిమిది నెలలు బతికాం.
मैंने तुमसे इसलिए शादी की कयोंकि तुम कितने दयालु हो.	నేను నినను పెళళి చేసుకోవడానికి నీలో ఉనన దయాగుణమే ముఖయ కారణం.
काट सकती हैं?	ఆ శకతి మీకుందా?
उनहें फिर से दिखना बंद हो गया, और बीमार हैं.	ఆమెకు మళళీ చూపు పోయింది, జబబు చేసింది.
बडा दिलचसप रेजयूमे है.	ఆసకతికరమెన రెజయూమే.
वह एक पेचीदा कहानी है,	అదొక సంకలిషటమెన కథ,
मेरे पास कितना समय है?	నాకు ఎంత సమయం ఉంది?
शिषटाचार का उललंघन.	మరయాదకు భంగం కలిగింది.
शायद मैं चाहती थी कि तुम एक बार के लिए जीतो.	నువవు ఒకకసారెనా గెలవాలని అలా అననానేమో.
बरटन ने बताया कि तुमने किसी को गोली मारी थी,	టెకసాసలో ఒకరిని కాలచావని బరటన చెపపాడు,
दो किलोमीटर दूर से.	రెండు కిలోమీటరల నుండి.
तुमने काफी समय से हमें मुशकिलों से बचाए रखा.	చాలా కాలం నుండి మాకు కషటాలు రాకుండా చూసుకుంటుననావు.
खतरा हो तो मुझे अफसोस है.	దెబబతీసే పనిని ఏదెనా చేసుంటే.
और सिरफ यहाँ नहीं, पूरे इंगलैंड में!	ఇకకడ మాతరమే కాదు, ఇంగలండ అంతటా!
मुझे पता है कि कहाँ है. कैसे हासिल करना है.	అది ఎకకడుందో, ఎలా తేవాలో నాకు తెలుసు.
-उनके बाद का ओहदा मेरा ही था. -खाक ओहदा था.	-ఆయన తరువాత అధికారం నాదే. -ఏడిచావులే.
बहुत कुछ के लिए छोटे थे, पर याद रखने के लिए नहीं.	అది చాలా విషయాలకు చినన వయసు, కానీ గురతుంచుకోవడానికి కాదు.
नंबर 1052 और मदद माँग रहे हैं.	1052 అంబులెనస, అదనపు బలగాలు పంపండి.
अफसोस, नहीं.	చేయలేననుకుంటా.
यह देखते हुए कि वह कलेपट है.	అతనికునన కలెపట హోదా వలల.
तुमहारी माँ कैसी हैं?	మీ అమమ ఎలా ఉననారు?
वे शुरू में ही सारे मरदों को ले गए.	మగవారిని మొదటలోనే తీసుకెళళారు.
इतना समय कयों लगा, वुलफ?	ఎందుకింత సమయం పటటింది, వూలఫ?
तुमहारी माँ यहाँ हैं,	మీ అమమ ఇకకడే ఉంది,
जिसके चलते मुझे दौरे पडते हैं.	నాకు తరచూ మూరఛ రావడానికి కారణం అదే.
ओह, लेव. तुमने कया किया?	ఓహ, లెవ. నువవేం తపపు చేశావు?
तुमहारा चेहरा देखने लायक है!	నీ పిచచి ముఖానని చూడాలి!
पर इसके लिए एक ठोस कदम उठाना पडेगा.	కానీ అందుకు ఒక కఠినమెన నిరణయం తీసుకోవాలి.
घेरे तुमहारे जितने ही ताकतवर होंगे.	ఆ పెరిఫరలస నువవెంత బలశాలివో అంతే బలమెనవి.
इसे किसी और तरीके से नहीं जीना था.	మరో జీవితానని ఎంచుకొని ఉండను.
समझौते से तुमहें फायदा हो सकता है.	బహుశా మీకొక తోడు ఉపయోగపడతాడు.
ऐटिकस, उठो, यार. ऐटिकस!	ఆటికస, లెయయరా, బాబు. ఆటికస!
निरदेशांक के बिना नहीं.	గణాంకాలు లేనిదే కనుకకోలేవు.
पर एलीटा ने बताया था कि कैसे हमें जलाया गया था.	వాళళు మమమలని ఎలా కాలచారో ఎలీటా చెపపింది.
आपको उसे रोकना होगा.	మీరు అతనని ఆపాలి.
मुझे अफसोस है, विलफ.	బాధేసతోంది, విలఫ.
और तुमहारा छोटा भाई.	మీ తమముడూ ఉననాడు.
तुमहारे दोसत, लेव के पिता और उसके साथियों ने,	నీ మితరుడు లెవ తండరి ఇంకా అలాంటి వాళళు, ఎందుకంటే. . .
उन आठ महीनों के बाद कया हुआ?	ఆ ఎనిమిది నెలల తరవాత ఏం జరిగింది?
मर रही हैं.	చనిపోతుననారు.
सफाई की गई.	శుభరం చేశారు.
जब तक अपनी उस आतमा को सवीकार नहीं करती,	నువవు ఎపపటికీ సంపూరణుడివి కాలేవు,
कया नाम था?	దాని పేరేంటి?
विलफ कहाँ है?	విలఫ ఎకకడా?
तुमने कया कर दिया, ऐश?	అసలు నువవు ఏం చేశావు, యాష?
यह उनके लिए काफी मुशकिल रहा होगा, है न?	వాళళకు ఎంతో పని మిగిలి ఉంది, కదా?
कम से कम तीन किलोमीटर दूर.	కనీసం మూడు కిలోమీటరలు.
एक सोची-समझी कोशिश थी. दो हफतों में पचास लाख लोग.	చకకటి సమనవయంతో చేశారు. పకషం రోజులలో 50 లకషల మందిని చంపారు.
लगभग तीन साल तक.	దాదాపు మూడేళళ పాటు.
जान, तुमने पी रखी है कया?	బంగారం, నువవు తాగావా?
कलेपट और आरआई जरूर डरेंगे.	దాంతో కలెపట వరగం, ఆరఐ భయపడతారు.
मैं उस जाँच कमरे में लेटी हुई थी, और उसी के बारे में सोचे जा रही थी.	ఆ పరీకషా గదిలో పడుకొని ఉననా, ఆ విషయానని నాలోకి సవీకరిసతూ.
घास का मैदान जो ढलते हुए तालाब में जाता था.	పచచిక బయలు, దానికి దిగువలో ఒక కొలను.
बहुत बडी उपलबधि है, है न? तुमहें नहीं लगता?	అది భలే ఘనకారయం కదా? నువవలా అనుకోవా?
मुझे वह बूढा जिंदा चाहिए.	నాకు ఆ ముసలాడు సజీవంగా కావాలి.
आंटीज के साथ विचार कर रही हैं.	ఆమె ఆంటీసను సంపరదిసతోంది.
कयोंकि भले ही तुम छोटी सी थीं,	ఎందుకంటే నువవు అంత చిననగా ఉననపపటికీ,
उनहें तुमहारे अंदर की ताकत और शकति का अंदाजा था,	ఆయన నీలోని శకతిని, బలానని పసిగటటగలిగారు,
हमें पकड लिया गया,	మేము పటటుబడడాం,
उसे पकडाओ.	అతనికి ఇవవు.
इसलिए, मैंने सोचा है	కనుక, ఓ కొతత సటబ తెరవమని
शायद.	బహుశా.
अचछा?	అవునా?
हर चीज को खतम करते हुए, हर मंजिल पार करेंगे.	ఒకకో అంతసతూ దాటుతూ అననిటిని చంపుతాం లేక నాశనం చేసతాం.
जिसके बारे में मुझे अभी पता चला है.	వాటిని ఇపపుడే తెలుసుకుంటుననా.
इस बार उस कुतिया को उडा देता.	ఆ కుకకను ఈ సారి కాలచాలి.
और मुझे लगा, "शायद यह उतना भी बुरा नहीं है.	నేను ఇలా ఆలోచించసాగాను, "బహుశా ఇదంత చెడడదేమీ కాదేమో.
काश मैं भी कर पाता.	నేనూ అలా చేసతే బాగుండు.
वरना अब तक तो मिल जाती.	మరోలా జరగడం అసంభవం.
अफसोस, मुझे सटब के हालात कुछ इस तरह बदलने होंगे	నేను సటబలో ఉనన పరిసథితులను మారచి తీరాలసి వసతుందనుకుంటాను,
थैंकसगिविंग पर हम फलिन और बरटन और एलला के साथ खेल रहे थे.	మనం థాంకసగివింగ రోజున ఫలిన, బరటన, ఎలలాలతో ఆడాం.
कयोंकि तब वही सब संभालते थे.	అపపుడు అధికారం వారి చేతిలో ఉండేది.
उसे कया कहते हैं?	దానని ఏమంటారు?
मेरा मानना है कि आने वाले तूफान में, मैं अपने तरीके से तुमहारी मदद कर सकती हूँ.	రాబోయే కషటకాలానని ఎదురకొనేందుకు నాదెన తీరులో నేను మీకు సాయపడగలను.
तुम कया जेबों में हाथ डाले खडे रहोगे?	జేబులలో చేతులు పెటటుకుని అలాగే నిలబడి ఉంటావా?
बेदखल लोगों की छोटी सी फौज. नयाय पाने के लिए.	అనాథల చిరు సెనయం. నయాయం సాధించటానికి.
अगर उसे पता चला तो वह मुझे यह करने नहीं देगा.	వాడికి తెలిసతే, ననను ఇదంతా చేయనివవడు.
कॉनर ने कहा कि वह मदद करेगा.	కానర సహాయం చేసతానననాడు.
और कह नहीं पा रहे?	కానీ చెపపలేకపోతుననావా?
मेरा परिवार भी. सब की हतया कर दी गई.	నా కుటుంబం కూడా. అందరినీ కిరాతకంగా చంపేశారు.
हाँ, वही.	అవును, అదే.
समझ रहे हो?	అరథమెందా?
उनहोंने वादा किया था, बरटन.	వాళళు మాటిచచారు, బరటన.
भले ही वह भली डॉकटर कितनी भी चुनौतीपूरण हो.	ఆమె నిససందేహంగా భయపెటటే మంచి డాకటర.
जो मेरी दुनिया को जैकपॉट से बचाएगा.	దాంతో నా పరపంచానని జాకపాట నుండి రకషించవచచు.
तुम जरूर उसे रोकना चाहोगे.	మీరు ఆమెను ఆపాలనుకుంటుననారు కదా.
एक औरत का चेहरा,	ఒక మహిళ ముఖం,
कैसे आगे बढना है. बचना है.	మనం ఎలా నెగగుకురావాలి. మనగలగాలి.
एक काम जो वो अचछे से करते हैं वह है याददाशत को दबाना.	అవి చేసే ఉతతమమెన పని జఞాపకాలను అణిచివేయడమే.
मतलब, बचने की 10 फीसदी संभावना? या ऐसा कुछ?	అంటే, బతకడానికి 10 శాతం అవకాశం ఉందని, అలాంటిది ఏదెనా?
उनकी याद आती है, माँ.	ఆయన గురతొసతాడమమా.
और उसकी बहुत बडी कीमत चुकानी होगी.	దానికి చెపపనలవికాని భారీ మూలయం చెలలించాలి.
देने को राजी हों.	వాళళింకా గౌరవిసతోంటే.
नहीं, हम लौटकर आएँगे.	లేదు, మళళీ వసతాం.
गोद लिए जाने के कुछ साल बाद हम भाग गए.	దాంతో మమమలని దతతత తీసుకునన ఏడాదికలలా పారిపోయాం.
लोबीयर के बारे में कया खयाल है?	లోబీరపె నీ అభిపరాయం ఏంటి?
लगा कि तुम उसके हकदार थे.	నువవు అందుకు అరహుడనినిపించింది.
पता है, मेरी याददाशत जाने के बाद कया हुआ?	నా ఇంపలాంట తీసేశాక ఏమెందో తెలుసా?
पर मुझे पता है कि कोई यह कैसे कर सकता है.	కానీ అది ఎలా చేయవచచో నాకు తెలుసు.
जो अचछी बात है और जरूर, जानकर खुशी भी होती है,	అది కచచితంగా అదభుత విషయం, ఉబబిసతోంది.
हैलो.	హేయ.
हाँ?	ఏంటి?
मुझे भी.	నాకు కూడా.
और कारण कया है?	ఆ కారణమేంటి?
तुमहारी बहन को अब भी ढूँढ सकते हैं?	మీ అకకను ఇపపటికీ కనుకకోగలమా?
एलीटा मुझे वापस लाई.	ఎలీటా నాకు పరాణం పోసింది.
रुको,	ఆగు,
कया?	ఏంటి?
हजारों की तादाद में लाशें हैं.	వేల సంఖయలో శవాలు ఉననాయి.
इस भीड से तुमहें भला कया हासिल होगा?	ఈ పిచచి గుంపును వెంటేసుకుని నువవేం సాధిసతావు?
डॉकटर ने बताया कि कया संभावना है, जैसपर?	ఆ వెదయుడు సంభావయత లేదా అలాంటిదేదెనా ఇచచాడా, జాసపర?
कया?	ఏంటి?
और फिर, आखिर में, बरटन हारते हुए भी जीत गया?	ఇక తరవాత, చివరన, బరటన దివాళా నుండి గెలుపుకు వచచాడు కదా?
कैश!	కయాష!
और अब लेव को उसका पता है.	అది లెవకు తెలిసింది.
जो जीता सब उसका.	గెలిచినవాడిదే రాజయం.
जब अपने खुद के शरीर में होश आता है.	ఈ పెరిఫరలలో నీ పని అయిపోయాక.
रुको!	ఆగు!
पाँच,	ఐదు,
तीन,	మూడు,
उनहें खतम करना होगा.	వాళళు మాయమవవాలి.
और बचचे?	ఇక పిలలలు?
मेरे पास ऐसे साधन हैं जो तुमहारी दुनिया में ताकतवर साबित हो सकते हैं.	మీ పరపంచంలో మీకు ఎంతో శకతినివవగల వనరులు నా దగగర ఉననాయి.
यूनिट 204 को 27 बेटविल मारग पर तुरंत मदद चाहिए.	27 బేటవిల రోడకు వెంటనే బలగాలను పంపమని 204వ యూనిట కోరుతోంది.
बाद में तुम नाराज हो गई थीं. तुमने कहा था कि	తరవాత నాపె కోపపడడావు. నేను ఎందులోనూ
कोरबेल अभी भी जिंदा है.	కారబెలకు ఇంకా కొస పరాణం ఉంది.
पता चला कि उस आदमी ने शेरिफ को भी मार दिया.	అతను షెరిఫను కూడా చంపాడని చెపపారు.
मैं सोच रहा था.	నేను ఆలోచిసతుననాను.
समझ गया, 204. 1052 एंबुलेंस भेज रहे हैं. ओवर.	అరథం చేసుకుననా, 204. 1052 అంబులెనస పంపుతుననాం. ముగిసింది.
कया समय हुआ है?	సమయం ఎంత కావసతోంది?
कोई भी शरतें या माँगें हैं तो अभी बता दो.	మీరు ఏవెనా షరతులు పెటటడానికి లేదా కోరకెలు కోరడానికి.
रीस मर गया.	రీస చనిపోయాడు.
बिना अंगूठे वाला झंडा, तुमहारी खुफिया जगह.	బొటనవేలు లేని చేయి, మీ రహసయ చోటు.
या फिर ठीक कर देते हैं?	లేదా పరిషకరించారా?
मैंने कुछ गलत किया कया?	ఏదెనా తపపు చేశానా?
मिसाल के तौर पर तुमहारा भाई. . .	ఉదాహరణకు, మీ సోదరుడు. . .
मैं तुमहारे दुख में शरीक हूँ. हम सब ही.	ఆయన చనిపోయినందుకు బాధగా ఉంది, మేమంతా బాధపడుతుననాం.
और मैं तुमहारी माँ के साथ फँस जाती हूँ.	మీ నాననతోనే గడుపుతావు, నేను మీ అమమతో చికకుకుంటాను.
और दोनों पिकेट को.	పికెటలను కూడా.
मेरी माँ.	మా అమమ.
उसके बाद तुम कहाँ गए?	దాని తరవాత ఎకకడికి వెళళారు?
हे भगवान.	దేవుడా.
पर. . .	కానీ. . .
तुमहें पता था?	నీకు ముందే తెలుసా?
हम बच सकते हैं, कॉनर.	అది మనలని రకషించవచచు, కానర.
सिरफ पैसे कमाने के लिए नहीं,	కేవలం డబబు సంపాదించే అవకాశాలకే కాదు,
जो हमारी पकड बनाता है.	పటటుకోగల సామరథయం.
मैं आपकी कोई मदद करूँ?	నేను సహాయం చేయనా?
मैं उतसाह के साथ सोचने लगी.	అది ఆలోచించి నేను కొంత ఉతతేజపడడాను.
वह कया है?	ఇంతకూ అదేంటి?
जिनसे शेरीस का कोई लेना-देना नहीं होगा.	వాటితో చెరీసకు ఏ సంబంధం ఉండదు.
पूरे के पूरे पेड को.	ఆ మొతతం చెటటునే కాలుసతాడు.
एक मुशकिल आ खडी हुई है.	మన చటటపరిధిలో ఓ నేరం జరిగింది.
और उसे अपने चाचा के खाते में लिखवाना, अगर वे अभी भी	అలాగే దానని మీ బాబాయి ఖాతాలో రాసుకోమను,
मुझे यकीन है.	నాకు బాగా తెలుసు.
तुम अभी भी हमारी गाडी चलाते हो, जैसपर.	నువవు మా బండి నడపవచచు, జాసపర.
इसलिए, उनहोंने हमें तुमसे बात करने को कहा.	ఎలాగూ, నీతో మమమలని మాటలాడమననాడు.
अगर मैंने कमजोरी को	విజయం సాధించలేనని అననావు,
कि नया सटब खोलेंगे.	ఇనసపెకటర లోబీరను అడిగాను.
जिसके चलते कई दशकों की रिसरच तबाह होकर या बेकार होकर रह जाएगी.	బహుశా దశాబదాల విలువెన అధయయనాలు నాశనమయయే విధంగా.
मैंने सुना. यहाँ आते समय.	నేను విననాను. ఇకకడికి వచచేటపపుడు.
मैं सच में माफी चाहता हूँ	నేను పరగాఢంగా కషమాపణలు కోరుతుననా,
ऐसा एक और लेकर आओ.	ఇది ఇంకొకటి తెచచుకుందాం.
कया मतलब?	ఎలాంటి తపపు?
मुझे होमलैंड सिकयूरिटी से एक फोन आया था.	నాకు హోమశాఖ నుండి కాల వచచింది.
ताकि वह डेटा लेव के हाथ न लगे.	కేవలం లెవకు ఆ డేటా దొరకకూడదనన కారణానికి.
इस तरह हम बच सकते हैं, कॉनर.	అది మనలని రకషించవచచు.
दस,	పది,
छह,	ఆరు,
और उसमें आपने उसकी मदद की.	అందుకు మీరు సాయం చేసినవారు అవుతారు.
"कुछ पैसा मिलेगा.	"అలా కొంత డబబు వసతుంది.
पर हम तो चार हैं.	కానీ మనం నలుగురం ఉననాం.
तब वह उस सुविधा को नहीं उडाएगी.	దాంతో సెలో పేలచడానికి ఆమెకు ఏ కారణం ఉండదు.
और उममीद करता हूँ कि आप मुझे माफ कर देंगे.	మీరు ననను కషమిసతారని ఆశిసతుననా.
काम शुरू करें?	మనం పని మొదలెడదామా?
अगर हमें समझौता करना है, और अगर तुमहारी	మనం ఒక ఒపపందానికి వచచేటటలు అయితే, ఈ కషణం ఎంతో సరెనది,
और मैं काफी आगे था,	నేను ఆటలో చాలా ముందుననాను,
वह बेकार की बातें करता है.	బరటనది చెతత వాగుడు.
माफ कीजिए, सजजनो. शायद. . .	కషమించండి, పెదదమనుషులు. చూసతుంటే. . .
बहुत कम.	చాలా తకకువ.
कई अजञात जगहों पर, आरआई के कई सहायक सथल हैं.	ఆరఐ ఆధీనంలో ఎననో అనుబంధ భవనాలుననాయి, బయటకు తెలియని పరదేశాలలో.
पर अपनों को बचाने के लिए, मुझे ये मंजूर है.	కానీ, నేను దానితో సమాధానపడడాను.
अब वह मेरे पूरे राजय को तबाह कर देगी	ఇపపుడు ఆమె నా రాషటరం మొతతానని సరవనాశనం చేయబోతోంది,
आरआई पर नजर रखना हमारे फायदे में है.	ఆరఐపె ఎపపుడూ కననేసి ఉంచడం మనందరి పరయోజనాలకు ముఖయం.
शह और मात,	చెకమేట చెపపాక,
उनहोंने वादा किया था.	మనకు మాటిచచారు.
किसे?	ఎవరిని?
मैं वजह जान सकती हूँ?	ఎందుకో అడగవచచా?
बढिया. मैं संपरक में रहूँगी.	అదభుతం. టచలో ఉంటాను.
जिससे कि लडकी पूरी तरह से हट जाएगी.	ఆ విధంగా ఆ అమమాయిని ఈ సననివేశంలో లేకుండా చేసతాను.
कयों?	ఎందుకు?
कयों?	ఎందుకు?
सब कुछ.	అననీ.
जब वे हारने वाले थे.	వాళళు దివాళా తీయబోతారు అనగా.
धत तेरी, उठो! ऐटिकस!	ఛత లేచి చావరా! ఆటికస! ఆటికస!
कयों?	ఎందుకు?
रचनातमक परयवेकषक दिनेश शाकुल	కరియేటివ సూపరవెజరరాధ
लगभग 23 दिन.	దాదాపు 23 రోజులు.
कुछ याद आया?	సుపరిచితంగా ఉందా?
मैं पहुँच गई हूँ.	నేను వచచాను.
तुम वादा करते हो, पर पूरे लंच टाइम पिता से बातें करते हो,	పరతీసారి మాటిసతావు, కానీ భోంచేసినంత సేపు
तुम कहाँ चलीं?	ఎకకడికి వెళుతుననావు?
तो अलग बात है.	నాకు సాయం చేసతే తపప?
वह कया है?	అదేంటి?
बहुत ही महतवपूरण खोज.	కీలకమెన పరిశోధనలు నాశనమవుతాయి.
औजारों,	పరికరాలను,
घर जाओ.	ఇంటికెళళు.
नहीं. सच में नहीं था.	లేదు. లేదు. నిజంగా అలా అనలేదు.
मैं जिस चीज की बात कर रही हूँ,	నేను మాటలాడే ఈ విషయం,
दो. . .	రెండు. . .
"पर कया पता कि फलिन कया करेगी? "	"కానీ ఫలిన ఏ సాహసాలు చేసతుందో ఎవరికి తెలుసు? "
और तुमहारे पिता?	మరి మీ నానన సంగతి ఏంటి?
जूबोव को बुलाएँ?	మనం జుబోవకు కాల చేయాలా?
और गरदनों पर.	గొంతులను.
नहीं पता.	నాకు తెలియదు.
बस घाव को नासूर बनने से रोको.	పుండును ఎండేలా చేయి.
मुझे नहीं लगता, शेरीस.	నేను అంత కచచితంగా చెపపను, చెరీస.
नहीं, मुझे सब याद आने लगा.	లేదు, నాకు గతం గురతుకు రావడం మొదలెంది.
एलीटा ने तैयारी की थी.	అది ఎలీటా పథకం.
मैं एक सवाल पूछ सकती हूँ?	నేనొక పరశన అడగనా?
काश कि यह नौबत न आती.	పరిసథితి ఇంతదాకా వచచి ఉండకూడదు.
तुम हमेशा अधूरी ही रहोगी.	నీ వయకతితవంలో ఆ భాగానని సవీకరించపోతే.
इसे उठाओ भी!	చేతిలోకి తీసుకోరా!
जाओ.	వెళళు.
यह खिडकी खोलो.	చెతత కిటికీని తెరువు.
खोलो भी. . .	ఈ చెతత కిటికీ. . .
हाँ.	అవును.
हाँ.	అవును.
तुमहें भूख लगी है?	ఆకలిగా ఉందా?
पर जैसा कि तुमहें अचछी तरह पता है, मैं ऐसा महसूस नहीं करती.	కానీ నీకు తెలుసుగా, అదే భావన నాకు లేదు.
तुम जो भी चाहती हो,	నువవేం కావాలనుకుంటుననావో. . .
करूँगी. शौक से.	నేను చేసతాను. సంతోషంగా.
मैं जीतकर रहूँगी.	గెలవడానికి.
है न, ऐश?	అంతే కదా, యాష?
अब हमारा मालिक कोई और है.	మనం ఇపపుడు కొతత యజమానికి పని చేసతుననాం.
पहले किसे छोडूँ?	నేను మొదట ఎవరిని దింపాలి?
आप आराम कीजिए.	నువవు విశరాంతి తీసుకో.
अब. . .	ఇపపుడు. . .
और हमें उनकी धरोहर को आगे बढाना चाहिए,	ఆయన జఞాపకారథం ఆయన వారసతవానని కొనసాగించాలసిన బాధయత మనపె ఉంది,
मैं मर जाता.	నేను చనిపోయేవాడిని.
हाँ, जरूर.	అవును, తపపకుండా.
जरूर.	వెళళండి.
कयों?	ఎందుకని?
तुमहें यकीन है?	మీరు కచచితంగా అంటుననారా?
सुनिए, सजजनो,	వినండి, పెదద మనుషులు,
तुमहारी मरजी.	నీ ఇషటం.
हाँ, था.	అలాగే అననావు.
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత Pradeep Kumar Maheshwarla
इसलिए, अगर तुम जरा. . .	కాబటటి, నాతో నువవు కాసేపు గడిపితే. . .
दया समझना बंद न किया तो कभी सफल नहीं हो पाऊँगा.	నేను బలహీనతను దయగా పొరపడితే.
काफी बडी है.	పెదదది.
ऐटिकस! यार!	ఆటికస! ఒరేయ బాబులు!
कौन?	ఎవరికి?
चार,	నాలుగు,
हाँ, अगर,	అంటే,
अचछा.	సరే, సరే.
आप बार-बार मरते हैं,	మనం ఏం చేసినా సరే, పదే పదే మరణిసతాం,
कया बात है?	ఏంటది?
रिसरच इंसटीटयूट में	పెటటుకోవడం నియమాలకు లోబడే జరిగింది.
वह कैसे?	ఎలానో వివరించు?
ऐटिकस! उठो!	ఆటికస! ఆటికస, లెయయరా!
अतीत का.	గతం.
और खेल खतम.	ఇక మన పని అయిపోయినటటే.
तुमहारे बारे में सोचा.	నీ గురించి.
वह बनने का मौका.	అది కావడానికి నీకు అవకాశం రావడం.
और वे कया हैं?	అవేంటి?
रेल फाटक	రెలు రోడడు కూడలి
हाँ.	అవునులే.
तो,	అయితే,
डिपटी, कोई जिंदा है.	వెదయులు ఒకరికి ఇంకా పరాణముందని అంటుననారు.
जो मेरे दिल के करीब है.	పరతీ ఒకకరూ.
कया मतलब?	ఏ అరథంలో అంటుననారు?
किसी को बिठाया.	ఓ అవకాశానని వాడుకోవాలని చూశానంతే.
तो अनंत की चाबी हमारी मुटठी में हो जाएगी.	అనంతం మన అరచేతిలో.
उठ जाओ!	ఛత లేచి తగలడురా!
सब को?	వాళళు అందరూనా?
तिकडी.	ఒక తరిముఖ పాలన.
धत तेरी.	ఛత.
नौ,	తొమమిది,
