मारकस.	మారకస.
- आप मेरे साथ एक तसवीर खिंचवाएँगी? - जरूर.	-నాతో ఒక ఫోటో దిగుతారా? -తపపకుండా.
कया बातें हो रही थीं?	అది దేని గురించి?
कुछ पोल दिखाते हैं कि वह चुनाव जीत भी सकती है.	ఆమె ఎననికలలో గెలిచే అవకాశం ఉందని కొనని పోలస చూపిసతుననాయి.
ठीक है, यहाँ से चलते हैं.	సరే, ఇకకడి నుండి బెటికి వెళదాం.
तुमहारी पूरव-पतनी कमाल का नाटक कर रही है.	సరే, నీ మాజీ భారయ బాగా నటిసతుంది.
हम कहाँ जा रहे हैं, मधय या दकषिणी अमरीका?	మనం ఎకకడికి వెళతుననాం, సెంటరలా లేక దకషిణ అమెరికానా?
तुमने मेरे दोसत का सवाल सुन लिया, तुम जंगल में कया कर रहे हो?	అడిగింది విననావుగా, మితరమా, అడవిలో ఏం చేసతుననావు?
बिलकुल नहीं.	లేదు, అది కాదు.
शुकरिया.	ధనయవాదాలు.
मैं ठीक हूँ.	నేను బాగుననాను.
तुम जानते हो न कि यह कोरी बकवास है.	మీకు ఇది అబదధం అని తెలియాలి.
इसलिए जहाँ तक मुखयालय की बात आती है,	అందుకే, పరధాన కారయాలయానికి సంబంధించినంత వరకు,
एसपेरानजा,	ఎసపరంజా,
गुड मॉरनिंग, अलबरटो.	శుభోదయం, ఆలబరటో.
उनहोंने जंगल में मिलने की जगह के लिए एक आठ अंकों का निरदेशांक दिया है.	అడవిలో రాలీయింగ పాయింటకి నాకు ఎనిమిది అంకెల గరిడ ఇచచారు.
माइक,	మెక,
बचपन में भी,	చిననతనంలో కూడా,
गुड मॉरनिंग. आप कैसी हैं?	శుబోదయం, ఎలా ఉననారు?
मैं ठीक हूँ.	నేను బాగుననాను.
रायन!	రెన!
गोली चलाओ!	కాలచండి!
ऊबर?	ఉబెర?
कया उसके चुनाव जीतने की संभावना है?	ఆమె ఈ ఎననికలలో గెలవడానికి ఏదెనా అవకాశం ఉందా?
- आपका दिन अचछा रहे. - कारलोस! यहाँ आओ.	-నీ రోజు కూడా. -కారలోస! ఇలా రా.
तुमहें जानना था न कि यह कौन है?	అతను ఎవరో తెలుసుకోవాలని అనుకుననావు కదా?
उतरने की जगह पहुँच रहे हैं.	దూకవలసిన పరాంతానికి చేరుకుంటుననాం.
ओरिनोको नदी दकषिण-पशचिमी वेनेजुएला	ఆరినోకో నది నెరుతి వెనిజులా
तो, जलदी करो और हवाई जहाज में बैठ जाओ,	నీకు కిటికీ పకకన సీటు కావాలంటే
पर ऐसा नहीं है.	కానీ అది నిజం కాదు.
कया आप तैयार हैं? आपको सीधे वहाँ जाना है.	మీరు సిదధంగా ఉననారా? సూటిగా మాటలాడడానికి వెళతుననారు.
रुको, तुमहारे पास एक नाव है?	ఆగు, నీ దగగర పడవ ఉందా?
वे हमारी हर बात सुन रहे हैं.	వాళళు అననీ వింటుననారు.
हमारे पुलिस बल के अथक परयास के कारण,	మన ఘనత వహించిన పోలీసు దళాల అలుపులేని కృషి వలల,
तुमहारी तरककी करके नाम ऊबर सेलेकट कर देते हैं.	నీకు ఉబెర సెలెకటగా పదోననతి ఇసతుననాం.
जलदी करो, वरना बहुत दूर तक तैरना पडेगा!	నువవు తొందరగా దూకితే మంచిది, లేదా చాలా దూరం ఈదాలి.
नहीं, कोबी की तरह.	లేదు కోబిలాగా.
हम सुलेमान वाले कारय बल में साथ थे.	సులేమాన టాసక ఫోరసలో మేమిదదరం కలిసి పని చేసాం.
याद है?	గురతుందా?
किसी के शहर की वजह से नहीं.	పుటటిన సథలానికి కాదు.
पता है सरकार के लिए उनकी परिभाषा कया है?	మీకు రాషటరం నిరవచనం తెలుసు కదా?
नहीं, तुमहारा कोड नाम.	లేదు, నీ కాల సెన.
. . . पकड लिया गया है.	. . . పటటుబడడారు.
उसे कैसे पता चला?	అతనికి ఎలా తెలుసతుంది?
उससे कोई फरक नहीं पडता	అంటే, అది అనవసరం,
ऐ, डर कयों रहे हो? तुमने यह पहले भी किया है.	హే, అంత కంగారెందుకు పడుతుననావు? ఇంతకు ముందు ఇలా దూకావుగా.
मैंने दिल से दुआ की थी कि तुम सालों से दोबारा सामना न हो.	మీ వెధవ మొహాలని మళళీ చూడనని నిజంగా ఆశించాను.
तो कल और आज के बीच कया हो गया?	మరి నిననటికి, ఇవాళటికి మధయ ఏం జరిగింది?
नहीं, वह संभाल लेगा.	లేదు, తను సంభాళించుకోగలడు.
और यह. . .	ఇంకా ఇది. . .
बात साफ कर दूँ. यह दुनिया बहुत हिंसक है.	ఒక విషయం సపషటంగా చెపతాను. పరపంచం చాలా హింసాతమకమెంది.
और मुझे नहीं लगा कि हम मेकसिको में घुसपैठ करने वाले हैं.	మనం మెకసికోని ఇపపటలో ఆకరమిసతామని అనుకోలేదు.
- कया तुम अकेले आए हो? - नहीं.	-ఒంటరిగా వచచావా? -లేదు.
पीछे से हमला हो रहा है!	గరీర, వెనక నుండి కాలుసతుననారు!
चलो. नाव से उतरो.	పద. పడవ దిగు.
रेयस के समरथकों की संखया घट रही है	రేయేస సంఖయలు తగగిపోతుననాయి
- मुझे इससे चिढ हो गई है. - तुमहें तो हैम बहुत पसंद है.	-నాకు అదంటే విసుగొసతుంది. -నాకు హయామ ఇషటం.
तुम इतने नादान हो कया, बीरबल?	ఏదెనా నమమేసే అబబాయివి నువవేనా, మేధావి?
अगर अधिकारियों को पता चल गया,	పె అధికారులకి ఈ విషయం గురించి తెలిసతే,
मुखय कैंप यहाँ से 400 मीटर उततर-पशचिम में है.	పరధాన శిబిరం ఇకకడి నుండి వాయువయానికి 400 మీటరల దూరంలో ఉంది.
और आगे भी रहेगी.	నేను అలాగే భావిసతాను.
वह साला कहाँ चला गया?	అతను ఎకకడుననాడు?
तो, कैसा महसूस कर रहे हो?	సరే, నీకు ఎలా ఉంది?
गाइगर में कया दिख रहा है?	గెగర ఏం చూపిసతుంది?
देखो हमें कया मिला.	మనకి ఏం దొరికిందో చూడండి.
पूछताछ कैसी चल रही है?	ఇంటరాగేషనలు ఎలా జరుగుతుననాయి?
ठीक है, कैंप के पास रखे हुए वे डिबबे दिख रहे हैं?	సరే, శిబిరం చివర ఆ కంటెయినరలు చూసారా?
- तो हम बिना रेडियो के जाएँगे. - ठीक है.	-కాబటటి, మనం రేడియోలు లేకుండా వెళళాలి. -అరథం అయయింది.
अगर खिडकी के पास वाली सीट चाहिए.	తవరగా వెళళి విమానం ఎకకు.
और वह कमीना डिसको है.	అకకడ ఉనన ఆ వెధవ పేరు, డిసకో.
अपनी माँ को बाय बोले बगैर जा रहे हो कया?	అమమకి బె చెపపకుండా వెళతుననావా?
मैं तुमसे पयार करती हूँ.	నువవంటే నాకు ఇషటం.
वे ओरिनोको नदी के पास इंतजार कर रहे हैं.	ఒరినోకో నది మొదలలో ఆగి ఉననారు.
रम भी.	రమ కూడా.
तुमने मुझे वे भेंट चुराते हुए पकड लिया.	నేను నెవేదయాలు దొంగిలిసతుంటే నువవు ననను పటటుకుననావు.
यह हमारा देश है,	ఇది మన దేశం,
- उनहें रंग बहुत पसंद हैं. - ऐसी बात है?	-వాటికి రంగు ఇషటం. -అది నిజమా?
हमारे घर में बग लगे हुए हैं.	మన ఇంటలో బగస పెటటారు.
पता नहीं.	నాకు తెలీదు.
हमें ऐसे पेश आना होगा जैसे सब सामानय है,	అంతా మామూలుగా ఉననటటు నటించాలి,
चलो.	పద.
- भाड में जाओ. - ठीक है.	-పొయయి చావు. -సరే.
चलो.	పద.
और हालत अचछी नहीं है.	నాకు వచచిన జబబు మంచిది కాదు.
पता नहीं.	నాకు తెలీదు.
"जो लोग आजादी से पयार करते हैं,	"సవేచఛని పరేమించే పరజలు
हमारे पास कोई हवाई मदद नहीं है.	మనకు వాయుదళ మదదతు లేదు.
हाँ, और चार आदमी भी.	ఉంది. నలుగురు మనుషులు కూడా.
अब तुमहारी पीठ कैसी है?	నీ వీపు ఎలా ఉంది?
मैं तुमसे पयार करती हूँ. तुमहारा दिन अचछा रहे.	నువవు నా పరాణం. నీ రోజు బాగుండాలి.
सबसे बडी बात, कलॉडिया बहुत खुश थी.	అననిటికంటే ముఖయంగా, కలుడియా చాలా సంతోషించింది.
हाँ, करता रहता हूँ.	అవును, ఎపపుడూ.
जब मैंने राषटरपति पद के लिए चुनाव लडने का फैसला किया,	నేను పరెసిడెంటగా పోటీ చేయాలనుకుననపపుడు,
वहाँ एक खतरनाक दकषिण अफरीकी से तुमहारा सामना हुआ,	ఒక దకషిణ ఆఫరికా నేరసథుడిని ఎదురకుని,
मैं कुछ तसवीरें लूँगा. बाकी सब पहरेदारी करेंगे.	నేను కొనని ఫోటోలు తీసతాను. మిగిలిన వారంతా పరిధి భదరత చూసుకోవాలి.
यह लॉकेट कहाँ से मिला?	ఆ లాకెట ఎకకడిది?
मुझे कुछ-कुछ घंटों में पूरा बयौरा चाहिए.	నాకు కనీసం పరతి రెండు గంటలకి పరిసథితి నివేదికలు కావాలి.
मैंने वह अपने लिए किया	అది నేను నాకోసం,
कया हम मरिया को बताएँ?	మరియాకి చెపదామా?
इस कमीने को उडाकर यहाँ से निकल जाते हैं.	హే, ఈ వెధవని చంపి, పారిపోదాం.
सुनो, इली. यहाँ आओ, मेरी जान.	హే ఐలీ, ఇలా రా, తలలీ.
यहाँ और भी डिबबे हैं.	ఇంకా కొనని కంటెయినరలు ఉననాయి.
दीवार के पास जाओ. पास जाओ.	గోడకి దగగరగా జరగండి. దగగరగా, దగగరగా.
आम राय के विपरीत, मचछरों की नजर बहुत तेज होती है.	సరే, అందరూ అనుకునేటటు కాకుండా, దోమలకు విపరీతమెన దృశయ తీకషణత ఉంటుంది.
कराकस शहर में अमरीकी सांसदों पर हमला करना	కరాకస నగరం నడిబొడడులో యు. ఎస. సెనెటరల పె రహసయ మెరుపు దాడి
मतलब, तुम मुझे नदी में इतनी दूर इसलिए लाए	అదా నువవు చెపపేది, ననను ఈ చెతత నదిలో ఇంత దూరం లాకకొచచింది
याहू!	దూకండి!
और एक दिन,	తరువాత ఒకరోజు,
देखा?	చూసావా?
नहीं, अगर और वाइन दी, तो यह बोलता रहेगा.	లేదు, అతనికి ఇంకాసత మందు పోసతే, ఇంకా మాటలాడుతూనే ఉంటాడు!
यहाँ हथियार नहीं हैं, डॉकटर.	ఆయుధాలు లేవు, డాకటర.
बंदूक नीचे रखो.	తుపాకీ కిందికి దించు.
हमारे पास इसके लिए वकत नहीं है.	మనకు ఇందుకు సమయం లేదు.
कोई इसे थोडी और वाइन दो.	ఎవరెనా ఇతనికి ఇంకొంచం మందు పోయండి.
निकोलस का कहना है कि यह अमरीकियों का काम है.	అమెరికనలు అని నికోలస అంటుననాడు.
जिम, तुमहारी तबियत कैसी है?	జిమ, నీకు ఎలా ఉంది?
कया तुम जरा बचचों के लिए जूस ले आओगी?	పిలలలకి జయూస తీసుకువసతావా?
हाँ, एकदम सही नाम है.	అవును, పూరతిగా అరథవంతంగా ఉంది.
वह और सांसद एक-दूसरे के काफी करीब थे. कया यह उसके लिए बहुत निजी मामला है?	అతను, సెనెటర సననిహితులు. తనకి ఇది మరీ వయకతిగతమెనదా?
अचछा लग रहा है, छुटटी का दिन न होने पर भी तुमहारे साथ यहाँ आना.	ఇది బాగుంది, పని చేసే రాతరి నీతో ఇకకడ ఉండడం.
और अब उनहें देखे हुए मुझे एक साल से जयादा वकत हो गया है.	తరువాత తనను చూసి ఇపపటికి ఏడాది అయయింది.
फिर से हैम, माँ?	మళళీ హయామ మాంసమా, అమమా?
ठीक है, तो यह करते हैं.	సరే, ఇది చేదదాం.
जी, राषटरपति जी.	అలాగే, మిసటర పరెసిడెంట.
ऊबर. तुमहारा नाम यही होगा.	ఉబెర. అది నీ పేరు.
हमारा इतिहास.	మన చరితర.
तुम उसे कम समझते हो.	అతనని తకకువ అంచనా వేసతుననావు.
यहाँ आने का शुकरिया.	ఇకకడికి వచచినందుకు ధనయవాదాలు.
वह कैसा है?	అతను ఎలా ఉననాడు?
तुमहारा नाम कया है?	నీ పేరు ఏంటి?
मुझे हैम बहुत पसंद है!	నాకు హయామ ఇషటం!
आप सुन रही हैं?	నేను చెపపింది విననారా?
एसमेरालडा को पारटी कैसी लगी?	ఎసమరాలడాకి నచచిందా?
जो इसलिए लापता हो गए कयोंकि उनहोंने चुप रहने से इंकार कर दिया.	దేశభకతులను మీరు గమనించడం అతనికి ఇషటం లేదు.
अब भी कॉफी ढूँढ रहे हो?	ఇంకా కాఫీ బీనస కోసం వెతుకుతుననావా?
बहुत दूर तक तैरना पडेगा.	చాలా దూరం ఈదాలి.
हाँ.	అవును.
मानता हूँ.	ఒపపుకుంటుననాను.
हम जीत सकते हैं.	మనకి గెలిచే అవకాశం ఉంది.
अभी तक तो नहीं.	ఇంకా లేదు.
हाँ.	అవును.
हमेशा रहेगी.	ఎపపటికీ.
हाँ.	అవును.
राषटरपति रेयस नहीं चाहते	నిశబదంగా ఉండడానికి నిరాకరించినందువలల
विदेशी विदरोही सेना का कमपाउंड	విదేశీ సెనిక పరాంగణం
हम वहाँ जाकर आ सकते हैं.	మనం లోపలికి వెళళి, బెటికి వచచేయవచచు.
चलो.	పదండి.
तुम?	నువవా?
बाँधो इसे.	వాడిని బంధించు.
चलो!	పదండి!
अचछी बात है.	బాగుంది.
वहाँ जाएँगे और निकल आएँगे, बस.	లోపలికెళళాలి, బెటికి రావాలి, అలాగే చేసతుండాలి.
चलो, कमीनो!	పదండి, వెధవలలారా!
के पास लोगों का समरथन है.	పరజల మదదతు ఉంది.
ताकि वह हमारा खयाल रखे.	రాషటరం మనలని జాగరతతగా చూసుకుంటుందని.
कौन सी नाव?	ఏం పడవ?
तुम कया करोगे?	నువవు ఏం చేయబోతుననావు?
पर वह एक जरूरी बात भूल गए.	కానీ అతను ఒక ముఖయమెన విషయానని మరచిపోయాడు.
यह मेरे पापा की अंगूठी है. नौसेना अकादमी वाली.	మా నానన ఉంగరం. నావల అకాడమీది.
ये आईआर बीकन हमें तुम तक ले आएँगे.	ఈ ఐ ఆర బీకనలు మమమలని సరిగగా మీరునన చోటికి తీసుకొసతాయి.
ठीक है, यहाँ पर.	సరే, ఇకకడ.
सतयानाश.	అయయో.
- यह बाइक चलाने की तरह ही है. - अचछा?	-బెక నడిపినటటే. -అవునా?
वह कहाँ जा रहा है!	అతను అసలు ఎకకడికి వెళతుననాడు?
मुझे कोई ऐसा मेमो नहीं मिला है जिसमें हमसे पीछे हटने को कहा गया हो.	పని ఆపమని పంపిన మెమోను నేను అసలు చూడలేదు.
पर मेरे पास	కానీ నీలా కాకుండా,
हाँ, मैंने भी यही दुआ की थी.	అవును, నేను కూడా.
जो एक रात गायब हो गए	తను ఒక రాతరి కనిపించకుండా పోయాడు,
धत.	అబబా.
सुनो.	హే.
और?	ఇంకా?
धत.	అబబా.
तुम भूखे थे.	నువవు ఆకలితో ఉననావు.
मेरे भाईयों और बहनों. . .	నా పరజలారా. . .
धत!	అబబా!
धत!	అబబా!
तुमहें वेनेजुएला की फिकर थी.	నువవు వెనిజులా పటల నీకు బాధయత ఉననటటు భావించావు.
कोलंबिया और अरजेंटीना के अखबारों में.	కొలంబియా, అరజెంటీనావి.
यूएसएएफ वायु सेना	యు ఎస ఎ ఎఫ
कया बताता?	నీకు ఏం చెపపలేదు?
मेरा नाम कायोटी है.	నాది కయోటే.
आज हैम खा लो. कल तुमहारी मरजी.	ఇవాళ నువవు హయామ తింటే, రేపు నీకు కావలసింది అడుగవచచు.
तो वह विरोध जताने के लिए किया था.	అది నిరసనగా చేసాను.
चलो.	వెళదాం.
इसने उसे गोली मारी, उसे मार गिराया.	అతనని కాలచి, చంపాడు.
ठीक है.	సరే.
वह कल की बात थी.	అది నినన.
तुमहें याद है जब हम छोटे थे और कातिया में रहते थे?	కటియాలో మన చిననతనం గురతుందా?
जरूर.	తపపకుండా.
एक बुरी खबर है.	సరే, మీకొక దురవారత చెపపాలి.
हे भगवान. यकीन नहीं होता कि कोई इस बकवास पर यकीन कर सकता है.	దేవుడా. ఎవరెనా ఈ చెతతని నమముతారా.
यह लो!	అదిగో మందు!
दो मिनट.	రెండు నిమిషాలు.
इसे पास ही रखना, यार. अगर किसी कमीने का मुँह तोडना पडे,	సరే, అది జాగరతతగా ఉంచుకోవోయ,
तट पर?	తీరం దగగరకా?
चलो!	వెళళండి!
हे पवितर माता. . .	కొరొమోటో యొకక అతయంత పవితరమెన కనయ. . .
और वेनेजुएला में फैले भरषटाचार के कारण सहते हैं!	అతను వినాలనుకోవడం లేదు!
तो शायद कभी काम आ जाए.	ఏ వెధవనెనా సపృహ తపపేలా కొటటడానికి పనికొసతుంది.
हाँ, सविक.	అవును, ఎస డబలయూ సీ సీ.
धत तेरे की!	అయయో!
कोई सवाल?	ఏవెనా పరశనలు ఉననాయా?
चलो.	పద వెళదాం.
यह लो.	ఇదిగో చేరుకుననాం.
बीमारी,	భరిసతునన బాధల గురించి
