वाह.	వావ.
सवागत है, थॉमस! जॉन पॉल विलियमस	మళలీ సవాగతం, థామస! జాన పాల విలియమస
कुछ भी आसान नहीं होता है, बचची.	విలువెనది ఏదీ తేలికగా రాదు, పిలలా.
-हैलो. तुमसे मिलकर खुशी हुई. -ए. कैसे हो?	-హాయ, మిమమలని కలవడం సంతోషం. -హేయ. ఎలా ఉననావు?
खुद तनाव में उछलते रहने से मदद नहीं होगी.	మీరు తీవరమెన ఒతతిడితో బయట తిరుగుతూ ఉంటే కషటం.
वह छेद उसके सिर के पीछे, इस हिससे में है.	అతని తలలో చిలలు తన వెనుక ఎకకడో ఉంది అనుకుంటా.
-मुझे आपसे नफरत है, माँ. -जान.	-నినను దవేషిసతాను, అమమా. -బంగారం.
मैं उसे मार डालूँगी.	నేను వాడిని చంపేసతాను.
बदला विषाकत होता है.	పరతీకారం విషం లాంటిది.
माफ करना. यह मेरी. . .	కషమించు. తను నా. . .
रुको, रुको.	ఉండు, ఆగు.
चलो, बिबी.	చేయి, బీబీ.
अगर ढका भी, तो हम खुजली वाला पाउडर इसतेमाल कर लेंगे. तो उसे वह उतारना पडेगा.	ఒకవేళ మాసక తో ఉంటే, మనం దురద పౌడర ని ఉపయోగిదదాం. అపపుడు మాసక తీసతాడు.
सुपरभात. मेरा नाम सिरिल है, उरफ, सिरिल द सकवीरेल.	అందరికీ శుభోదయం. నా పేరు సిరిల, ఇంకా, సిరిల ద సకవిరెల.
काफी अरसा हो गया है, जेपी. हमें करना चाहिए.	చాలా కాలం అయిపోయింది, జెపి. మనం చేయాలి.
-अब हम सचचे दोसत बन सकते हैं. -चुप रहो.	-అంటే మనం మంచి సనేహితులం కాగలము. -నోరుమూయి.
रंग गरे हो गया है. यह एक लाल बालों वाले आदमी के लिए ठीक नहीं है.	అతని చరమం పాలిపోయింది. ఎరరని వాళలలో అలా జరగడం మంచిది కాదు.
टीम बी में: मैं, इवा और बैका.	బి జటటులో నేను, ఈవా, బెకా ఉంటాం.
-ठीक है? सभी समझ गए? -ठीक है.	-సరేనా? అందరికీ అరథమయిందా? -సరే.
खैर, जैसे भी हो, इसे खतम करना होगा. तुमने उसकी तवचा का रंग देखा है?	సరే, దానికి ఏదో ఒక ముగింపు ఉంటుంది కదా. అతని చరమం రంగు ఎలా మారిందో చూశావా?
-हैलो, गैबरिएल. -ए.	-హాయ, గాబరియేల. -హేయ.
हाँ. मेरा मतलब. . .	అవును. నా ఉదదేశం. . .
मैं लंच के बाद बनाकर उसे ठंडा होने दूँगी जबकि मैं कलास में जाऊँगी.	భోజనం అయయాక నేను కేక తయారు చేసి, నా కలాస జరిగే సమయంలో దానిని చలలారచుతాను.
हम बीमे का भुगतान नहीं कर सकते.	మనం ఆ కలెయిమ ని చెలలించలేము.
और अब हमें इससे निपटना होगा.	ఇపపుడు మనం ఈ చెతతనంతా భరించాలి.
तुमहारे लौटने तक, मैट मेरे साथ रहेगा.	నువవు తిరిగి వచచేవరకూ మయాట నాతోనే ఉంటాడు.
फोकस एंड शाइन में सवागत है द युथ चरच गरुप	ఫోకస అండ షెన ద యూత చరచ గరూప కి సవాగతం
वैसे, तुमहारे पास बस इतना ही समय बचता है.	అంటే, నీకు అంత ఖాళీ సమయం మాతరమే ఉంది.
चलो. अगला कौन है? आओ, टोबी.	రండి. తరువాత ఎవరు? చేయి, టోబీ.
एफरो-केइली	ఆఫరో కీలీ
पकका तुमहारी अटारी में कोई पेंटिंग होगी.	అయితే మీ అటకలో చితరకళలు ఉండి ఉండచచు.
मैं झूठ नहीं कहूँगी, जब भी उसे देखती थी, उसे घूँसा मारने का मन करता था.	నేను అబదధం చెపపను. అతడిని చూసినపపుడలలా ముఖం మీద పిడిగుదదులు ఇవవాలి అనిపిసతుంది.
वही तुमहारा काम था. मैंने अचछे-बुरे दोनों समय में साथ दिया.	అది నీ బాధయత. కషటనషటాలలో కూడా నేను నీకు అండగా ఉననాను.
मैमी, ऑफिस के लिए जनमदिन का एक केक बना देना.	మామీ. మా ఆఫీస కోసం నువవు బరత డే కేక తయారు చేయాలి.
घबराई हुई कयों हो? अपने माता-पिता की वजह से?	ఎందుకు భయపడుతుననావు? మీ తలలిదండరులే కారణం, అవునా?
-वादा करते हैं तुम ठीक हो जाओगे. -बिबी.	-నీకు నయం అవుతుందని మా హామీ. -బీబీ.
बेलाइनर 2566 मॉडल, 27 फीट.	బేలెనర 2566 మోడల, 27 అడుగులు.
मजाक कर रहा था. तुम हमेशा बडा खाती हो.	ఊరికే జోక చేశా. అది ఎపపుడూ పెదదదే.
मेरे पास इसे सुलझाने का यही एकमातर रासता है. डैड. "	అదంతా పరిషకరించడానికి నాకు తెలిసిన మారగం ఇదొకకటే. నానన. "
अगर हमने उसके गले के पीछे मारा तो?	అతని గొంతు వెనుక భాగంలో మనం షూట చేసతే?
तो तुमने मुझे गलत इशारे कयों दिए?	అయితే ననను ఎందుకు ఇంతదూరం లాకకొచచావు?
-तुम चाहती हो मैं यह अभी करूँ? -हाँ.	-ననను ఇపపుడే వెతకమంటావా? -అవును.
और वह. . . फरेंच चीज भी?	ఇంకా. . . ఆ ఫరెంచ పదం ఏంటి?
नहीं, फादर. गोली अंदर नहीं घुसी.	లేదు, తండరి. దీనికి ఏదీ గుచచుకోలేదు.
जब तीसरी टैकसी रदद हो जाए, तो गुससा आने लगता है.	మూడో టాకసీ కూడా రదదయితే, మనలని కించపరచినటలు భావిసతాము.
-तो, मैं कया करूँगी? -बस हमारे रासते में मत आना.	-సరే, అపపుడు నేనేం చేసతాను? -నువవు మా దారిలో అడడుపడకు.
अरे, धत.	ఓహ, చెతత.
-सोचा नहीं था कि वह भी इतना पीती होगी. -कया?	-తను కూడా అంత తాగతుందని అనుకోను. -ఏంటి?
पोलो. पोलो, डैड के कुतते का नाम था.	పోలో. పోలో, అది నానన కుకక పేరు.
वह सालों-साल अपने मुवककिलों से पैसे लेते रहे. और खरच करते रहे.	ఖాతాదారుల నుండి పరతి సంవతసరం డబబులు తీసుకుననాడు. వాటిని ఖరచు చేసేశాడు.
पासवरड है "पोलो1998, " पर "ओ" की जगह शूनय डालना, समझे?	దాని పాస వరడ "పోలో1998, " కానీ ఓ బదులు జీరోలు పెటటాలి, సరేనా?
ठीक है, मैं जा रही हूँ,	సరే, ఇంక నేను బయలుదేరతాను,
लिअम कलाफिन एक धोखेबाज थे.	లియమ కలాఫిన ఒక మోసగాడు.
माफ करना. मुझसे नहीं होगा.	కషమించండి. నా వలల కాదు.
दरअसल मेरी एक डरावनी बहन है. और एक तो बचची है.	నిజానికి ఒక అమమాయి భయపెడుతుంది. ఇంకో చినన పిలల ఉంది.
अब मैं उसकी खोपडी में छेद कर सकती हूँ.	ఇపపుడు వాడి మందమెన పురరెని కూడా పేలచేయగలను.
हे भगवान. बैका.	ఓహ, దేవుడా, బెకా.
वह यही करते थे.	ఆయన అలా చేసేవాడు.
ठीक है. मैं बाद में बना दूँगी.	సరే. నేను దీని తరువాత కేక చేసతాను.
मेरी कलास के बाद.	నా కలాస తరువాత.
बचचों, यहाँ आओ.	పిలలలూ, ఇలా రండి.
शायद तुम डांस कलास के बारे में सही कह रहे थे.	డానస కలాసుల విషయం నువవే సరిగగా చెపపావు అనిపించింది.
शायद. . . हमें यह नहीं करना चाहिए.	బహుశా. . . బహుశా మనం చేయకూడదు.
अगली बार, हम तुमहें असपताल ले जाएँगे.	ఈసారి మాతరం, మిమమలని హాసపిటల లో చేరుసతాము.
मुझे लगता है हमें इस पर दोबारा सोचना होगा.	మనం ఇంకోసారి ఆలోచించాలని అనిపిసతోంది.
मैमी, मैं दस साल का नहीं हूँ.	మామీ, నేను పదేళల పిలలవాడిని కాను.
और हम सब वाइन पीने में माहिर हैं, अगर वह कोई खेल है तो? कया वह कोई खेल है?	వెన తాగడం గనుక ఆట అయితే అందులో మేము అందరం బాగా ఆడతాము. అది ఆటేనా?
बढिया है. और सभी एक-एक करके बीच में आएँगे	బాగుంది. మనం ఒకకొకకరిగా మధయలోకి వచచి
आप कभी कुछ नहीं करती हैं, और जब करती हैं, तो यह करती हैं.	నువవు ఎపపుడూ ఏమీ చేయవు, కానీ ఇది ఎపపుడు చేశావు, నువవే ఇది చేశావు.
हाँ, पर तुम सहमत हो. यह रकम मुझे नहीं, तुमहें पता होनी चाहिए थी.	అవును, కానీ నువవు ఒపపుకోవాలి. ఈ సంఖయ నాకు తెలియకూడదు. నువవు తెలుసుకోవాలి.
यह. . .	అది. . .
कया मैं विषाकत सुनाई पड रही हूँ?	నా మాటలు విషపూరితంగా ఉననాయా?
दूध में.	పాలలలో.
हाँ. मुझे. . .	అవును. నేను. . .
मुझे काम पर लौटना है.	నేను ఉదయోగానికి వెళలాలి.
पर हम यह गरेस के लिए कर रहे हैं, याद है?	కానీ ఇది గరేస కోసం, అది గురతుంచుకో?
वह. . .	అది. . .
यह सामानय पोल से जयादा मोटा है. . .	ఇది నా మామూలు దాని కననా లావుగా ఉంది. . .
कया मतलब? नहीं, ऐसा नहीं है. यह शानदार है.	నీ ఉదదేశం ఏంటి? లేదు, ఇది కాదు. ఇది గొపపగా ఉంది.
यहाँ आओ.	ఇలా రా.
हुआ था.	అడిగాను.
-कया तुम चाहोगी कि हम अपॉइंटमेंट लें. . . -नहीं. पर, हाँ, हम अभी यहीं हैं, मैट.	-మమమలని షెడయూల చేయమంటారా. . . -లేదు. కానీ, సరే, మనం ఇకకడ ఉననాం, మయాట.
तो, मजे लो, और मैं बता दूँगा जब हम समुदर में जाने को तैयार होंगे. . .	సరే, దీనిని ఆసవాదించు, ఇంకా నా పడవ సముదరయానానికి తయారుగా ఉననపపుడు నీకు చెపతాను.
-तुमहारे साथ समय बिताकर अचछा लगा. -फिर मिलेंगे.	-నీతో సరదాగా గడిచింది. -మళలీ కలుసుకుందాం.
माफ करना. मेरा बस यह मतलब था कि तुमहारे फोन उठाने की संभावना जयादा है.	కషమించు. నువవు ఫోన మాటలాడే అవకాశం ఎకకువ ఉంటుందననదే నా ఉదదేశం.
वह बुढिया आखिरकार इंसान है.	ఆ గయయాళిది కూడా పాపం మనిషే కదా.
मुझे उसका मतलब भी नहीं पता.	దాని ఉదదేశం ఏమిటో నాకు తెలియదు.
और, मुझे अखरोट भी पसंद हैं.	అలాగే, నాకు కొదదిగా పిచచి ఉంది.
कया किसी ने एमबुलेंस बुलाई?	ఎవరెనా అంబులెనస ని పిలిపించారా?
हाँ. तो वापस दोहराओ.	సరే. తిరిగి నాకు చెపపు.
तुम मेरे डैडी बनोगे?	నువవు నా డాడీవి కాగలవా?
सुनो हम यह कैसे करेंगे.	ఇది ఇలాగ జరగబోతోంది.
तुम अचछा कर रहे हो. तुम अचछा कर रहे हो, सिरिल.	నువవు బాగుననావు. బాగా చేసతుననావు, సిరిల.
-कैसी हो? -हाँ. हाँ, मैं ठीक हूँ.	-ఎలా ఉననావు? -అవును. అవును, బాగుననాను.
तो अगर किसमत अचछी रही, तो वह उसके मासक से ढकेगा नहीं.	మన అదృషటం బాగుంటే, అతను మాసక లేకుండానే ఉంటాడు.
यह पोलो1998 है.	అది పోలో1998.
तो मैं तुमसे यही करने को कहता.	నేను నీకు అదే చెపపేవాడిని.
यानी, जवानी में. बचचे होने और झुररियाँ पडने से पहले.	శరీరం పరంగా కూడా. పిలలలు పుటటడం, శరీరం ఒడిలిపోవడానికి ముందు.
मैं हार नहीं मानूँगी, इवा.	నేను విరమించుకునేదే లేదు, ఈవా.
यह नाडिया है.	తన పేరు నాడియా.
मेरे पीछे आओ.	ననను అనుసరించు.
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
नहीं. पर कमबखत. . . इंदरधनुष वाला चिहन दिखाते. समझे?	లేదు. కానీ ఒక చెతత. . . చెతత రెయినబో. తెలుసా?
तुमहें दुःख के सिवाए कुछ नहीं मिलेगा.	మీకు విషాదం తపప మరేమీ కనిపించదు.
-नहीं. -हाँ, कृपया.	-వదదు. -దయచేసి ఇవవండి.
टूर पर जो होता है, वह वहीं तक सीमित रहता है.	సరే, యాతరలో జరిగేవి యాతర వరకే పరిమితం.
ठीक है. दरअसल, मैं "बचचा-मुकत" सुनना पसंद करती हूँ.	మంచిది. అపపడు "పిలలలు లేని" అంటే సరిపోతుంది.
मैं बस थोडा पास जाती हूँ.	నేను కొదదిగా ముందుకు వెళతాను.
तो, हमें पीने चलना चाहिए.	అయితే, మనం డరింకస కి వెళలాలి.
मत जाओ. कृपया, यहीं रुको.	దయచేసి వెళలకు. దయచేసి ఉండిపో.
-हम सुनिशचित कर रहे हैं कि सब करम में हो. -कैसे करम में?	-అంతా సవయంగా ఉండాలని మేము పరిశీలిసతుననాము. -సవయంగా అంటే ఏ విధంగా?
हाँ! जो कार दुरघटना में हुआ था.	అవును! కారు పరమాదంలో పడిన చిలలు అది.
जबकि ऐसा नहीं है कि तुम या मैं उतनी पीएँगे.	నువవు, నేను అంత ఎకకువ తాగుతామని కాదు.
हैलो. एफरो-केइली कलास के दूसरे हफते में सवागत है.	అందరికీ హలో. ఆఫరో కీలీ డానస రెండవ వారానికి తిరిగి సవాగతం.
मैंने निशाना ठीक कर लिया और गोलियों को फरीज किया.	నా గురి సరి చేసుకుననాను ఇంకా తూటాలను మంచు గడడలుగా చేశాను.
चलो भी, इतनी भोली मत बनो. उसने कहीं कॉपी करके रखी होगी.	ఇలా చూడు, అమాయకంగా మాటలాడకు. వాడు వాటిని ఎకకడో కాపీ చేసి ఉంటాడు.
खुद से झूठ बोलना छोडो. तुमहें उस फिलम की टैगलाइन याद नहीं है?	నినను నువవు మోసగించుకోవడం మానేయి. ఒక సినిమాలో టయాగ లెన నీకు గురతు లేదా?
बडा या छोटा?	పెదదదా చిననదా?
भगवान.	దేవుడా.
कभी दायर नहीं हुए.	వాటిని దాఖలు చేయలేదు.
-बैका! मैं तुमसे जयादा शकतिशाली हूँ. -बिबी! बिबी!	-బెకా! నేను నీ కననా బలశాలిని. -బీబీ! బీబీ!
यह सामानय है. जैसा कि मैंने पहले कहा, अपने डैडी से पूछो.	అది సహజం. ఇంతకుముందు చెపపినటలు, మీ నాననని అడుగు.
-उसी आकार का? -. . . ठीक है?	-అదే సెజా? -. . . సరేనా?
मेरी बात सुनो.	నా మాట విను.
तो तुम कभी बाहर नहीं गई?	అయితే ఆ ఇలలు విడిచి ఉండలేదా?
एक सचची आयरिश महिला की तरह तारीफ सवीकार की. हाँ.	నిజమెన ఐరిష మహిళ మాదిరిగా నా పరశంసని సవీకరించావు. అవును.
मुझे जलदी नहीं है.	నేను కంగారుపడటం లేదు.
मैं सोच रहा था कि जनमदिन पर अपनी नाव निकालूँगा.	నా పుటటినరోజు సందరభంగా బోటు బయటకు తీదదాం అనుకుంటుననాను.
तुमहें कैसा चॉकलेट केक चाहिए?	నీకు ఎలాంటి చాకొలేట కేక అంటే ఇషటం?
आप लिजो की तरह नाचना सीख सकती हैं.	నువవు లిజో మాదిరిగా అదరగొటటు.
मुझे पाँच मिनट दो, और हम जलद ही खेल शुरू करवा देंगे.	అయిదు నిమిషాలు వదిలేయండి, ఏ అడడంకి లేకుండా మనం మాటలాడుకుందాం.
मुझे डैड की चिटठी मिली.	నానన రాసిన ఉతతరం దొరికింది.
तुम ही बोलती रही, नोरा.	నువవే అంతా మాటలాడావు, నోరా.
पहले पूछो. देखो तुमहारी माँ कया कहती है.	ముందు అడుగు. మీ అమమ ఏమంటుందో చూడు.
यानी हाथ से उठाकर मुँह तक ले जाना?	చేయి నుంచి నోటి వరకూ వయాయామం మాదిరిగానా?
तरंगें काम करती हैं?	అది పని చేసతుందా?
हाँ. अब भी कुछ चीजें हैं जो हमें सोचनी हैं, पर. . .	అవును, అంటే, ఇంకా కొనని విషయాలను మనం పరిశీలించాలి, కానీ. . .
अरस, तुम डॉनल और गरेस को मुझसे और इवा से दूर रखोगी.	ఉరస, నువవు డోనల ఇంకా గరేస లని నాకూ ఇంకా ఈవాకి దూరంగా ఉంచాలి.
-शिशुकरोटि में. -अरे, कृपया शिशुकरोटि मत कहो.	-వాడి తల మధయ భాగంలో. -దయచేసి దానిని తల మధయ భాగం అనకు.
मैं डांसिंग कलास ले रही हूँ.	నేను డానస కలాసులు తీసుకుంటుననాను.
कृपया. मुझे माफ कर दो.	దయచేసి విను. ననను కషమించు.
कया उस बारे में बात करना कठिन था?	దాని గురించి మాటలాడటం కషటం అనిపించిందా?
और डांस के जरिए अपना परिचय देंगे,	డానస చేసతూ మనలని మనం పరిచయం చేసుకోవాలి,
-हाँ. -थोडा चीज भी है.	-అవును. -కొదదిగా చీజ ఉంది.
-हैलो. -हैलो.	-హాయ. -హాయ.
-हैलो. -हैलो.	-హలో. -హాయ.
हम अभी-अभी एक वरकशॉप से लौटे हैं.	మేము ఇపపుడే ఒక వరక షాప నుండి వసతుననాము.
-हाँ. -हाँ.	-అలాగే. -సరే.
वह इतना बुरा था, मैमी?	అది అంత ఘోరంగా ఉందా, మామీ?
कमबखत जूता.	చెతత చెపపులు.
जायज नहीं था?	ఆమోదయోగయమా?
-और मेरे टरेडिंग कारड का कया? -टरेडिंग कारड भी नहीं जलाएँगी.	-మరి నా టరేడింగ కారడుల సంగతి ఏంటి? -నీ టరేడింగ కారడులు కూడా తగులబెటటదు.
तो, गलती से जयादा मातरा में डरगस नहीं लिए थे?	అయితే, పరమాదవశాతతూ మందులు వికటించలేదు?
पर तुमहें आज ही बनाना होगा,	నువవు ఈ రోజే ఆ కేక తయారు చేయాలి,
कयोंकि जैरलड पूरे हफते में केवल कल ही ऑफिस आएगा.	ఎందుకంటే జెరాలడ ఈ వారంలో రేపు ఒకక రోజే అందుబాటులో ఉంటాడు.
-वहाँ जाओ. -चलो.	-ఇకకడికి రా. -రండి.
तो, तुम पैरिस में सांसकृतिक कारयकरमों में जाते थे?	అయితే, పారిస లో నువవు సంసకృతి పరేమికుడివా?
बरथडे बॉय का खास अनुरोध है जिसने खुद यह सरपराइज आयोजित किया है.	తనకు తానే ఈ సర పరెజ ని ఏరపాటు చేసుకునన బరత డే బాయ నుండి పరతయేక విజఞపతి ఇది.
अगर सही जगह पर मारो, तो वे चीजें खतरनाक होती हैं.	సరెన లకషయం చూసి కొడితే అవి చాలా పరమాదకరం.
उसने कहा, "मैंने सालों पहले उन गारवी लडकियों की बात सुनना बंद कर दिया था.	"నేను ఆ గారవీ ఆడపిలలల మాట వినడం మానేసి చాలా సంవతసరాలు అయింది.
मैं बताना चाहती थी, अरस, डॉनल ने जेपी से कहा कि वह आ सकता है.	అంటే, నేను చెపపాలి అనుకుననది ఏంటంటే ఉరస, తను వసతానని జెపికి డోనల చెపపాడు.
अचछा खेला.	అది మంచి ఆట.
नहीं, नहीं. तुम जाओ.	లేదు, లేదు. నువవు వెళలు.
जानती हूँ. सफेद. . .	నాకు తెలుసు. తెలలగా. . .
बीमा पॉलिसी परमाणपतर	ఇనసూరెనస పాలసీ సరటిఫికెట
यह बढिया बहाना है. और मेरा निशाना अचूक है.	అది చకకని కారణం. నా లకషయం సవరణపతకం.
कमबखत. . . वह. . .	ఓరి దేవుడా. . .
रुको.	ఆగండి.
अचछा?	అవునా?
मुझे यह सही से करना होगा.	దీనిని సరిచేయాలసిన అవసరం ఉంది.
समझी?	సరేనా?
एक आँख वाली.	ఒక కననుతో.
जानता हूँ.	నాకు తెలుసు.
देखो उसने कया किया. देखो!	తను ఏం చేసిందో చూడు. అటు చూడు!
खरगोश!	బననీ!
कमीना.	వెధవ.
तुम यहाँ बाहर कया कर रहे हो? कया थेरेसा ठीक है?	ఇకకడ ఏం చేసతుననావు? థెరెసా బాగానే ఉందా?
मैं हर समय उनकी बकवास उडा देती हूँ.	ఆమెతో ఎపపుడూ గొడవ పడుతుంటాను.
नहीं, नहीं, नहीं, नहीं, नहीं, नहीं.	లేదు, లేదు, లేదు, లేదు, లేదు.
मेरी पयारी पतनी कैसी है?	నా పరియమెన బీచ బంతి ఎలా ఉంది?
यह इतनी बडी बात नहीं है.	అవును, అది ఏదో చినన ఆటవిడుపు.
तुम माहिर हो, और तेज हो. तुम यह कर सकती हो.	నువవు బాగా చేసతావు, వేగంగా కదులుతావు. నువవు చేయగలవు.
-अलविदा, रुबस. -अलविदा.	-ఉంటాను, రూబస. -బె.
मुझे अंदर आने दोगी?	ననను లోపలికి రానిసతావా?
तुम यहाँ कया कर रहे हो?	ఇకకడ ఏం చేసతుననావు?
तुमने बेन को बताया?	బెన కి ఈ విషయం చెపపావా?
हे भगवान. हे भगवान.	ఓహ, దేవుడా. ఓరి దేవుడా.
मुझे पुरावसतुओं के मेलों में जयादा दिलचसपी थी.	ఎకకువగా పురాతన వసతు పరదరశనలకు వెళతాను.
साइकलॉपस एक मरद है.	సెకలోపస అంటే ఒక మగవాడు.
तो आप सुपर माँ हैं?	అయితే నువవు సూపర అమమవా?
कोई जंक मेल नहीं - कोई विकरेता नहीं कोई गे-विरोधी धारमिक पागल नहीं	చెతత ఉతతరాలు వేయదదు - సేలస ఉదయోగులు రావదదు సవలింగ సంపరకులెన మత పిచచిగాళలు రావదదు
-चलो, अरसला! यहाँ आओ. -बैका, चलो.	-ఇలా రా, ఉరసులా! ఇకకడికి. -బెకా, ఇలా రా.
तो, यह तय रहा.	కాబటటి, ఇది ఖాయం.
रुबेन को मैं याद नहीं रहूँगी. मेरा पहले का रूप. . .	రూబెన ననను గురతుంచుకోడు. దానికి ముందు. . .
हम साथ मिलकर परिवार शुरू करने वाले थे और. . .	మా కుటుంబాలు కలుసుకునేవి, అపపుడు. . .
-भाड में गई संसकृति. -हाँ. इसकी किसे जरूरत है?	-ఈ సంసకృతిని వదిలేదదాం. -అవును. అయినా ఇది ఎవరికి కావాలి?
-एक बार जब मैंने उसका सामना किया, तो उसने कहा. . . -कॉफी कैसे लेना पसंद करोगे?	-నేను గటటిగా అడిగితే, ఒకసారి చెపపాడు. . . -మీకు కాఫీ ఎలా కావాలి?
तुमने कहा था कि तुमहें यह चाहिए.	నీకు ఇది కావాలి అని అడిగావు అనుకుననాను.
मुझे बिन बुलाए मेहमान पसंद नहीं हैं.	హఠాతతుగా ఇంటికి వచచే వారంటే నాకు ఇషటం ఉండదు.
कया तुम चरच से हो?	మీరు చరచ నుండి వచచారా?
तुमहारा सवागत है, जान.	సంతోషం, నా బంగారం.
हे भगवान.	ఓహ, దేవుడా.
-बस करो, टॉम. -"उसे कभी अपनी नजरों से ओझल होने मत देना.	-ఇంక ఆపు, టామ. -"ఆమెను నీ కనను దాటి పోనివవకు.
वहाँ देखकर तो ऐसा नहीं लगा.	అకకడ అలా మూసుకుననటలు కనిపించలేదే.
हे भगवान.	ఓరి దేవుడా.
-ए. -वाह.	-హేయ. -వావ.
और तुमहारी?	మరి నీది?
-अलविदा. -अलविदा, इवा.	-బె. -ఉంటాను, ఈవా.
हे भगवान.	ఓహ, దేవుడా.
हम "खरगोश को मारो" खेल खेलेंगे.	మనం "షూట ద బననీ" అనే ఆటని ఆడబోతుననాము.
-हाँ. -मुझे माफ कर दो.	-సరే, అలాగే. -ననను మననించు.
वह मेरी पसंदीदा पेंटिंग है.	అది నాకు ఇషటమెన చితరం.
यह 2022 का आयरलैंड है.	నా ఉదదేశం, ఇది 2022 ఐరలాండ.
तुम असपताल से एकस-रे निकाल सकती हो?	ఆఫీసులో వాడి ఎకస రే రిపోరటులు సంపాదించగలవా?
और अगर होतीं, तो अभी मैं तुमसे बेहद आकरषित होता.	నేను మామూలు మగవాడినే అయితే, ఈపాటికి నినను పొంది ఉండేవాడిని.
उसने कया कहा?	అతను ఏం చెపపాడు?
तुमने मुझे बताया कयों नहीं, टॉम?	నాకు ఎందుకు చెపపలేదు, టామ?
सब तैयार हैं?	మనమంతా సిదధమేనా?
इससे पहले कि तुम योजना रदद करो, मैं पहले निशाना लगा लूँ?	మీరు మన పథకానని విరమించుకునే ముందు ననను ముందు ఆ లకషయానని కొటటనిసతారా?
नहीं, उसकी राय में, यह बिबी की ही गलती थी.	లేదు, అతని దృషటిలో, తపపంతా బీబీదే.
उसे उस तरफ ले जाओ. उस तरफ, उस तरफ.	వాడిని అటు వెపు మళలించండి. ఆ వెపు, ఆ వెపు.
तुम गरेसी को पैसे कब दोगे? वह बेचारी महिला पहले ही काफी सह चुकी है.	గరేసీకి మీరు డబబులు ఎపపుడు చెలలిసతుననారు? పాపం ఆమె ఇపపటికే చాలా బాధని అనుభవిసతోంది.
हाँ. मिना उसे लडकियों के कपडे पहनाया करती थीं.	అవును. మినా వాడికి ఆడపిలలల దుసతులు తొడిగి ముసతాబు చేసేది.
हमें वयकतितव मूलयांकन करना पडा.	మనం వయకతితవ సమీకష జరపాలి.
जब हमारा खेल शुरू होगा, मैं एक एकांत जगह ढूँढूँगी,	ఒకసారి మనం పనిలోకి దిగాక, నేను ఒక నిశశబదమెన చోటుని వెతుకుతాను,
संभव है कि वह मुझसे जयादा हो.	రకతపోటు నా కంటే నీకే ఎకకువ ఉండచచేమో.
पर वह डॉनल को नहीं बताएगा. उसे तुम पर दबदबा बनाए रखना पसंद है.	కానీ అతను డోనల కి చెపపడు. నీ మీద అధికారం చెలాయించాలని అతనికి చాలా కోరిక ఉంది.
"कया मतलब? " मैं विलियमस वाले केस की बात पूछ रही हूँ.	"ఏ విషయం గురించా? " వాతావరణం గురించి. ఆ చెతత విలియమస కేసు గురించి.
-वह केवल उसी पर ताला लगाता है. -तुम. . . शायद तुमहें. . .	-దానికి మాతరమే అతను తాళం వేసతాడు. -నువవు గరభవతివి. . . నువవు ఇవననీ. . .
उस आदमी की जिंदगी का कोई भी पहलू देख लो,	మీరు ఆ వయకతి ని ఏ కోణంలో చూసినా,
कया?	ఏంటి?
मैट.	మయాట.
मैट.	మయాట.
कैसा संदिगध?	అనుమానం దేనికి?
बेशक है.	నాకు ఉంది.
बस. . . अरे, धत.	కేవలం. . . ఓహ, అయయో.
उसके बचपन की तसवीर सामने आती है.	వాడు ఏదో పసిపిలలవాడు అననటలు అనిపిసతోంది.
कया?	ఏంటి?
कैसी कलास?	ఏం కలాస?
हमें कया करना चाहिए?	మనం ఏం చేయాలని నీ ఉదదేశం?
बस अरसला को यह मत बताना.	ఈ విషయం మాతరం ఉరసులాకి చెపపకు.
मुझे भी.	నాకు కూడా.
हैलो.	హాయ.
हाँ. पुराना.	అవును. పాతవాడే.
रुको.	ఆగు.
मेरा मतलब, ऐसा नहीं.	నా ఉదదేశం, అలాంటిది కాదు.
हाँ, वही शबद है.	అవును, అదే సరెన పదం.
-शाबाश. बस साँस लो. -लंबी साँसें लो, सिरिल. चलो.	-అంతే. అలా శవాస పీలచు. -దీరఘంగా శవాస తీసుకో, సిరిల. లోపలికి.
तुमने कया किया?	ఏంటి ఈ చెతత?
तुम कलास में बचचों को पीट नहीं सकते, रुबेन.	నీ కలాసులో పిలలలని నువవు కొడుతూ అలలరి చేయకూడదు, రూబెన.
नहीं. हम कलाफिन इनशुरनस से हैं.	లేదు. మేము కలాఫిన ఇనసూరెనస నుండి వచచాం.
हैलो ऑसकर. उममीद है तुम अचछे हो	హాయ ఆసకర. నువవు బాగుననావని ఆశిసతుననాను.
हमें बस कुछ सवाल पूछने हैं.	మేము కేవలం కొనని పరశనలు అడుగుతాము.
खोज - कोई परिणाम नहीं निकला	సెరచ - ఎటువంటి ఫలితాలు లభయం కాలేదు
तुम कभी उस जैसी नहीं बनोगी.	నువవు ఎపపటికీ ఆ చెతతవెధవవి కాలేవు.
मुझे पूरा विशवास है कयोंकि जब मैं किसी चीज के लिए इतनी बेताब होती हूँ, तो वह पकका हासिल करती हूँ.	నేను చేయగలనని నాకు తెలుసు ఎందుకంటే నేను ఇంతలా కోరుకునన ఏ విషయంలోనూ ఓడిపోలేదు.
