गोल!	గోల!
जब कभी खुद पर संदेह होने लगे, तो खुद को अपनी यह उपलबधि याद करवाना.	నీ మీద నీకు సందేహంగా ఉననపపుడు, నువవు సాధించిన వాటిని నువవు గురతుచేసుకోవాలి.
ठीक है, कभी किसी ने इस विडंबना के बारे में सोचा है	సరే, ఎవరెనా ఈ విడడూరమెన విషయానని ఆలోచించారా,
देखें किस टीम के वासतव में बेहतर फैन हैं.	ఏ జటటు అభిమానులు మెరుగెనవారో చూదదాం.
मुझे पता है कि एक झूठ-मूठ की बेकार गेम जीतने से केवल यह जानने का	ఎలాంటి లాభం లేని ఒక ఆటలో గెలవడం వలల నీకు గరవం పుటటి ఇతరులకంటే మెరుగెనవారం
मुझे याद है मुझे सीटियों और घडियों वाले पराणी बहुत अचछे लगते थे,	విజిలస వేసతూ వాచలు పెటటుకుని రెండు జటలూ సరిగగా ఆడుతుననాయి అని చూసుకుంటునన
नतीजा चाहे कुछ भी हो,	కానీ ఫలితం ఎలా ఉననా సరే,
रेफरी ने गेम खराब कर दी.	ఆ రెఫ వలల ఆట పోయింది.
बस करो!	ఇక చాలు!
बढिया, इससे वाकई जोश थोडा बढ जाएगा.	భలే, ఇపపుడు సరదా బాగా పెరిగిపోయేలా ఉంది.
यह कया बकवास है?	ఏం చేసతుననారు?
अचछा, तो तुमहें हमला करना चाहिए था.	సరే, కానీ నువవు అఫెండింగ చేసతుండాలి కదా.
मेरे सीटी बजाते ही, तुम इस कोरस से भागोगे,	నేను విజిల వేయగానే, నువవు ఈ కోరసు మొతతం పరిగెతతి
एक-दूसरे के लिए.	మన ఇదదరి కోసం.
तुम अचछा खेले.	మీరు బాగా ఆడారు.
अगर इसे पुनःपरमाणीकरण करवाना होगा तो आपको हमें भी भेजना होगा!	మీరు వీరిని తిరిగి సరటిఫికేషన తెచచుకోమంటే మమమలని కూడా పంపాలసి ఉంటుంది!
बधाई हो! तुमने वहाँ पर बहुत हिममत दिखाई.	అభినందనలు! నువవు అకకడ చాలా ధెరయానని చూపించావు.
मैंने अपने काम में गलत निरणय लिया. . .	నేను తపపుడు నిరణయం తీసుకుననా. . .
हम वाकई एक साथ बहुत बुरी जोडी हैं, हँ?	మనది నిజంగానే చాలా చెతత టీమ, కదా?
बेशक. मैं बूढा हो गया हूँ.	అవును. నేను ముసలి వయకతిని కదా.
मेरे पीछे आओ.	ననను ఫాలో అవవు.
मुझे लगा मैं गोल कर लूँगी.	నేను షాట వేయగలనేమో అనుకుననాను.
लगता है हम हमेशा ऐसे ही रहेंगे और जीवनदाता दुःखी होते हुए ही खतम होंगे.	నాకు తెలిసి మనం ఎపపటికీ ఇలాగే ఉంటాం ఏమో, మన పరాణదాత చివరికి బాధతోనే కనను మూయాలేమో.
और अपना झगडा किसी ऐसी चीज से सुलझाएँ जिस पर हम नियंतरण कर सकते हैं?	మన మధయ విభేదాలను మనం కంటరోల చేయగల వాటితో సరదిపెటటుకుందామా?
और अपना शारीरिक कौशल दिखाते हुए जो तुमहें बनावटी गलतियाँ नजर आएँगी,	నీ ముందు చూపించబోయే ఉలలంఘనలను చూసి సరెన నిరణయాలు తీసుకుంటూ
मैं बहुत दुःखी हूँ.	నా మనసు విరిగిపోయింది.
अचछा शॉट मारा, बेवकूफ.	భలే తననావు, సననాసి.
मिलकर काम करते हैं.	ఇదదరం కలిసి పనిచేదదాం.
तुमहें अतयधिक दबाव की सथिति में, तुमहारा धयान भटकाने की कोशिशों के दौरान,	మీరు అతయధిక ఒతతిడిలో ఉండగా, మీ దృషటిని మళలించగల అనేక విషయాల మధయ
-तुमहें यकीन हो रहा है? -कया?	-అసలు ఇది నమమగలవా? -ఏంటి?
तुमने वह देखा? उस वहाइटटेल ने उस हाउलर को कैसे झांसा दिया.	నువవు అది చూశావా? ఆ జింక తోడేలు మీద నుండి దూకింది.
उनके आधार पर उपयुकत निरणय दोगे.	నీ శారీరక సౌషటవానని నిరూపించుకోవాలి.
हाउलरस ने मिलकर हमले की एक नई योजना बनाई है	ఆ తోడేళళు దాడి చేయడానికి ఇంకొక కొతత పననాగం పననాయి,
कया यह कमाल की बात नहीं है कि तुमने अपना सपना सच कर लिया?	నీ కలను నువవు నిజం చేసుకోగలడం భలే గొపప విషయం కదా?
बहुत से जीवों की तरह, वे हर सथान के अनुकूल ढल जाते हैं.	ఎననో ఇతర జంతువులలా అవి కూడా చాలా బాగా పరిసథితికి తగగటటు మారతాయి.
हाउलरस!	హౌలరస!
वह एक सपने में हुआ था	అలా కలలో జరిగింది,
मुझे अपनी आतमा पर वह बोझ नहीं चाहिए.	నా మనససాకషి ననను నిందించడం నాకు ఇషటం లేదు.
कया इसका पद घटाया जा रहा है?	వారిని డిమోట చేసతుననారా?
शारीरिक करतब दिखाते हैं.	శారీరక వినయాసాలు చేసతుంటారు.
धनयवाद.	థాంకస.
हमें अब भी तुमहारे दिल पर भरोसा है!	మేము నీ మనససాకషిని నమముతుననాం!
धनयवाद.	థాంకస.
और अब आगे चीजें और अजीब होती जाएँगी	ఈ జీవితం ఇకపె మరింత వింతగా మారుతుంది అంతే
हाउलरस, बज सटिंगरस के विरुदध खेल रहे हैं.	హౌలరస ఇవాళ బజ సటింగరలతో ఆడుతుననారు.
हाउलरस - 0 नयूटस - 0	హౌలరస - 0-0 నయూటస
तुम देर से आई हो.	నువవు లేటుగా వచచావు.
तुमने एक गलत निरणय लिया जिसने सीधा मैच के नतीजे पर असर डाला.	నువవు మయాచ ఫలితానని మారచేసిన తపపుడు నిరణయం చెపపావు.
याद रखना, किसी भी चीज के लिए तैयार रहना.	గురతుంచుకో, దేనికెనా సిదధంగా ఉండు.
माफ करना हम अचछे से दिलासा नहीं दे रहे.	మేము నినను సరిగగా ఓదారచలేకపోతుననందుకు కషమించు.
कयों न तुम अंदर आ जाओ?	లోనికి వచచి కూరచోవచచు కదా?
-तुम सच में यह करना चाहती हो, हँ? -हाँ.	-నిజంగానే అంటుననావు, కదా? -అవును.
आमतौर पर ऐसा होता नहीं है पर मैं अनुमति दे देता हूँ.	సాధారణంగా ఇలా అడగరు, కానీ నేను ఒపపుకుంటుననా.
तुमहें फुटगोले से पयार है.	నీకు ఫుటబాల అంటే ఇషటం.
पता नहीं. अगर तुमहें यह दिलचसप लगा तो लाइबरेरी में आ जाओ.	ఏమో లెండి. మీకు గనుక ఈ యాడ నచచితే లెబరరీకి రండి.
हम असली हाउलरस की तरह बन सकते हैं, एक साथ योजनाएँ बनाकर साथ काम करें.	మనం కూడా నిజమెన హౌలరస ఆటగాళలలా పలానులు వేసతూ కలిసి ఆడొచచు.
यह है ऑरब नामक हमारा गरह थोडा सा एक ओर झुका हुआ है	ఇదుగోండి మా పరపంచం ఇది కాసత వంపుగా ఉంటుంది
जो कि लगभग कभी नहीं होता,	దానరథం ఎపపటికీ కాదని,
पराणियों को किसी गोले को किक करते हुए देखने के बजाय जीव जयादा महतवपूरण हैं.	మనుషులు ఒక బంతిని తననుతుంటే చూడడం కంటే జంతువులు ఇంకా ముఖయమెనవి.
मुझे कुछ लाने की जरूरत नहीं है.	నేను ఏమీ తేవాలసిన పనిలేదు.
उस खिलाडी को अडंगा मारा गया है.	పలేయర కి కాలు అడడుపెటటారు.
तुमहें रकषा करनी चाहिए थी.	నువవు డిఫెండింగ చేసతుండాలి కదా.
पर तुम फिर भी बनावटी वफादारी के चलते बेबुनियाद राय बना रहे हो.	అయినా కూడా ఒక కృతరిమ బంధానని ఆధారం చేసుకొని మీరు పసలేని వాదనలు చేసతుననారు.
और फुटगोले में दो बहुत बडी संखया है.	అలాగే ఫుటబాల లో రెండు గోలస అంటే చాలా ఎకకువ.
मैं तो वाकई वह रेफरी होना नहीं. . .	నేనెతే ఖచచితంగా రెఫరీని అవవాలని అనుకో. . .
मुझे वह हलका जहर पीना है!	నాకు వెంటనే మదయం తాగాలని ఉంది!
चलो, फिर तो तुम अकेले हो.	సరే, అయితే నీ చావు నువవు చావు.
तुमहारे लिए यह याद रखना जरूरी है कि एक पेशेवर रेफरी की	నువవు ఒక పరొఫెషనల రెఫరీ కావడానికి చాలా కషటపడి
सवागत है, साथी रेफरियों.	సవాగతం, తోటి రెఫరీస.
तुम यह कर लोगे.	నువవు ఇది చేయగలవు.
तैयार!	రెడీ!
अगर तुम जारी नहीं रख पाए, तो फेल हो जाओगे.	నువవు కొనసాగలేకపోతే, ఫెయిల అవుతావు.
तुम यह कर लोगे!	నువవు ఇది చేయగలవు!
-मुझे मत बुलाना. मुझे नहीं. तुमहें मैं नहीं दिख रहा. -कृपया, मुझे नहीं.	-ననను పిలవకండి. ననను వదదు. ననను చూడలేరు. -దయచేసి ననను వదదు.
हमारा खून का पंप तोडने के नए-नए तरीके ढूँढते रहते हैं.	మన గుండెను పగలగొటటడానికి ఎలాగెనా పరతీసారి ఒక మారగానని కనుగొంటారు.
ताकि हम एक-दूसरे से लडते और मारते-पीटते न रहें?	ఉండడానికి మనమే ఈ ఆటలను కనిపెటటి ఉంటామా?
अरे, देखो, मैं कभी-कभी तंग करने के लिए माफी चाहता हूँ	హేయ, కొననిసారలు నేను కావాలనే నినను ఏడిపిసతుననందుకు ననను కషమించు,
मुझे समझ नहीं आता तुमने हमें इस झंझट में कयों फँसाया.	నువవు అసలు ఎందుకు మనలని ఈ సోదిలోకి దించావో నాకు అరథం కావడం లేదు.
मुझे लगता है मुझे डर लगा	వారి సవరాలు కూడా నా అంతరంగంలో
जब से मैं युवा पराणी था,	అంటే, నా చిననపపటి నుండి కూడా,
एकदम साफ है, लाल कारड मिलेगा.	రెడ కారడు, సందేహమే లేదు.
उनकी बातें मत सुनो.	వాళళ మాటలు పటటించుకోకు.
इस पहाड के कुछ पौधे शायद हजार वरष से भी जयादा पुराने हैं.	ఈ కొండ మీద ఉనన కొనని మొకకలు దాదాపు వేయి సంవతసరాలకు పెగా ఉననవి కావచచు.
हम एक पटटी निकाल देंगे.	ఒక చారను తీసేసతాను.
कया तुम उसके बारे में और बात कर सकते हो?	నువవు దాని గురించి ఇంకా చెపపగలవా?
अचछा, हालात अचछे नहीं लग रहे हैं.	సరే, పరసతుతానికి మన పరిసథితి అంత బాలేదు.
पर रेफरी को खुद गलतियाँ करने का अधिकार नहीं है?	కానీ ఆ రెఫరీస మాతరం ఎలాంటి తపపులు చేయకూడదు అంటుంటారు కదా?
लगता है तुमहें मजा आ रहा है?	నువవు దీనిని ఎంజాయ చేసతుననావు కదా?
हमें अफसोस है.	మమమలని కషమించండి.
यह कया हो रहा है?	ఏం జరుగుతోంది?
यह तो समझ में नहीं आया.	మీరు చెపపేదానిలో అరథమే లేదు.
मैं इसे इसकी कमियों के बावजूद सवीकार करती हूँ.	వారు ఎంత పెదద సననాసి అయినా నేను తనను అలాగే సవీకరిసతుననా.
हमें बस इतना पता है हम जीवित हैं	మనం పరాణాలతో ఉననామని మాతరమే మనకు తెలుసు
ये दोनों टीमें वाकई चौकनना रहने पर मजबूर करती हैं.	ఈ రెండు జటల ఆట నిజంగా చాలా ఉతకంఠంగా ఉంది.
अतीत में किसी समय,	చరితరలో ఒకానొక సమయంలో,
खैर, कम से कम यह दुःख पूरी तरह आपका खुद का लिया हुआ है.	పోనిలే, కనీసం ఆ బాధ నీ పనుల వలలే వచచింది కదా.
परकृति में एक साथ सहयोग और विरोध चलता रहता है	పరకృతిలో ఒకే సమయంలో సహకారం అలాగే ఘరషణ చోటు చేసుకుంటాయి,
मुझे यकीन है तुम यह कर सकते हो.	నువవు ఈ పనిని చేయగలవు అని నాకు తెలుసు.
नहीं हो रहा जबकि आमतौर पर मैं हर बात पर यकीन करता हूँ.	నా వలల కాదు, నేను అసలే చాలా అమాయకంగా ఉంటాను.
चलिए, एक बार फिर नजर डालें.	ఇంకొకసారి చూదదాం రండి.
कि उनकी आवाजें मेरी खुद की आवाज से अलग नहीं हैं.	ఉనన సవరంలాగ ఉండడం వలలే నాకు భయం వేసి ఉంటుంది అనుకుంటుననాను.
पर इसी के लिए तो पराणी फुटगोले पर इतना कुछ वयय करते हैं: ऐसे उततेजक पलों के लिए.	కానీ జనానికి ఈ కారణంగానే ఫుటబాల అంటే ఇషటం: ఇందులో ఉండే డరామా వలల.
चलो, यह करें.	దీని పని పడతాను.
जीवनदाता के लिए.	పరాణదాత కోసం.
नयूटस जीव दरअसल काफी शानदार होते हैं.	నయూటస నిజానికి చాలా బాగుంటాయి.
सच कह रहे हो. इतना भागना-दौडना और धयान देना है,	నువవు అననది నిజమే. మనం పెటటే శరదధ అలాగే మన పరిగెతతే తీరుకు
मैं अब समझ रही हूँ तुमहें यह कयों इतना पसंद है.	నీకు ఈ ఆట అంటే ఎందుకు ఇంత ఇషటమో నాకు ఇపపుడు అరథం అవుతుంది.
अडंगा ही मारा गया है.	కాలు అడడుపెటటారు.
चुनौती सवीकार है.	నీ సవాలుకు నేను రెడీ.
तुम जलदी आ गई हो.	నువవు తవరగా వచచేసావు.
या हमने इन खेलों का आविषकार इसलिए किया	లేక మనం ఒకరితో ఒకరం కొటలాడుకుంటూ బాధించుకోకుండా
अगर तुमहारी दो पटटियाँ निकल गईं तो तुम फेल हो जाओगे.	రెండు చారాలూ తీసేసతే, నువవు ఫెయిల అయినటటే.
तुमहें पता है कया करना है.	ఏం చేయాలో తెలుసు కదా.
हमने परखने के लिए एक अनूठा मैदान तैयार किया है	మేము మిమమలని పరీకషించడానికి ఒక పరతయేకమెన గరౌండ ని పెటటాం,
हर चूकी गई शारीरिक चुनौती या गलत निरणय के लिए,	నువవు మిస చేసే పరతీ శారీరక ఛాలెంజ లేదా తపపుడు సమాధానానికి
और बहुत देर से सीटी बजाई.	అలాగే విజిల కూడా లేటుగా వేశారు.
और मैं जंगली जीव बनकर पैदा होने की इसकी इचछा के बावजूद इसे सवीकार करता हूँ.	అలాగే నేను కూడా వారు తాను ఒక అడవి జంతువుగా పుటటి ఉంటే బాగుండు అనుకునే విషయానని అంగీకరిసతుననా.
तुमहें अगले मैच का रेफरी बनना है.	తరవాతి మయాచ కి రెఫరీగా మాకు నువవు కావాలి.
अपने बूढे जीवनदाता की बात मानने के लिए धनयवाद.	మీ ముసలి పరాణదాత మాట విననందుకు థాంకస.
तो, तुमहें कया लगता है, जीवों ने हमें गोलों के खेल सिखाए	అయితే ఈ జీవులే ఆ బంతి ఆటలను మనకు నేరపి ఉంటాయా
बिलकुल नहीं. बशरते यह फेल न हो जाए.	అససలు కాదు. ఫెయిల అయితే తపప.
हाउलरस के फैनस,	హౌలరస ఫయానస,
हाँ! हमें पता था तुम कर सकते हो!	సూపర! నువవు ఇది చేయగలవు అని మాకు తెలుసు!
यहाँ आओ.	దగగరకు రా.
उसने दिल से पूछकर बिलकुल ठीक नहीं किया.	వారి మనసు చెపపిన మాట చాలా తపపు.
और यह जयादा समय के लिए नहीं होगा तो अचछा होगा हम पैरों में नलियाँ डाल लें	అది ఎంతో కాలం ఉండదు కాబటటి ఈ పరపంచానని తిరిగి చూసతే మంచిది
कि मैं सही निरणय नहीं लेता.	నేను సరెన నిరణయాలు తీసుకోలేను అని.
मुझे लगता है मैं तैयार हूँ.	నేను సిదధంగా ఉననాను అనుకుంటుననాను.
ठीक है, अब कोई तमाशेबाजी नहीं. . .	సరే, ఇక ఊరుకునేది లేదు. . .
हमें उचित सुधार करने होंगे ताकि यह आइंदा न हो.	మళళీ అలా జరగకుండా మేము ఇపపుడు తగిన చరయలు తీసుకోవాలసి ఉంది.
मुझे पता था कि मैं पेशेवर फुटगोले का हिससा बनना चाहता हूँ.	నేను పరొఫెషనల ఫుటబాల లో భాగం కావాలని నా కోరిక.
उप-शीरषक अनुवादक: मृणाल	సబ టెటిలస అనువదించింది: జోసెఫ
चलो, फिर कुछ शॉट गोल में मार कर देखें.	అయితే గోల లోకి కొనని షాట లు వేయడానికి పరయతనించు.
जिसके आधार पर तुम पुनःपरमाणीकरण में पास होगे या फेल होगे.	దాని మీదే మీకు రీసరటిఫికేషన అందడమా లేక అందకపోవడమా అనేది ఆధారపడి ఉంటుంది.
इसे वापस फेंको.	దానిని వెనకకి ఇవవు.
मैेने तुमहें जंगल का जादू दिखाया और लगता है तुम उसके बारे में सब भूल गए हो.	నేను నీకు అడవికి ఉనన అందానని చూపించాను, చూసతుంటే నువవు దాని గురించి మొతతం మరిచిపోయినటటు ఉననావు.
-तुम कया कर रही हो? -देखो, फैन होने में भी जयादा भकति दिखाना बेतुका है.	-నువవు ఏం చేసతుననావు? -చూడు, మితిమీరిన అభిమానం వెరరితనం.
काश हम खिलाडियों जितनी ही मुदरा कमा पाते.	మనం కూడా ఆ ఆటగాళలు సంపాదించేంత సంపాదిసతే భలే ఉండేది.
भावनातमक रूप से शामिल हो गए.	పెంచుకోవడం మొదలెటటారు.
मेरे लिए वह जीत ही है.	నా దృషటిలో అయితే అది గెలుపే.
इतना दुःखी मैं पहले कभी नहीं हुआ.	మానసికంగా ఇంతగా నేను ముందు బాధపడింది లేదు.
माफ करना, रेफ.	ఏమండి, రెఫ.
अगला कौन आएगा?	తరవాత ఎవరు?
हम एक-दूसरे को जानते तक नहीं,	మనకు ఒకరి గురించి ఒకరికి తెలీదు కూడా,
दूसरों के विरुदध मुकाबला करने और शानदार शारीरिक करतब कर पाने की वह आदिम भावना.	పోటీ పడుతూ, గొపప శారీరక వినయాసాలు చేయాలనే ఆంతరంగిక కోరిక ఇది.
मुझे नहीं लगता बोरड मेरे गलत निरणय की तारीफ करेगा.	బోరడు వారికి నా తపపుడు నిరణయం నచచుతుంది అని నాకు అనిపించడం లేదు.
हम तुमहें सकारातमक ऊरजा भेजेंगे.	నీకు మంచి జరగాలని మేము గటటిగా కోరుకుంటాం.
फुटगोले के खिलाडियों की तरह काम करते हैं?	పనిచేసతుంటాయి అని నమమాలి అంటావు?
हमारे आयोजकों के झटपट संदेश के बाद हम बीइंगसबरग हाउलरस बनाम नयू पलेसफीलड नयूटस के	మన సపానసరల యాడ ముగిసిన తరవాత మనం తిరిగి బీయింగస బరగ హౌలరస వెరసస
पर हारने के लिए नहीं.	అంటే ఓడిపోవడం గురించి కాదు.
पर फुटगोले का दल धोखेबाजों का समूह है.	కానీ వారి ఫుటబాల జటటు మాతరం మోసగాళళతో నిండి ఉంది.
हमारे सथानीय इलाके की टीम की हिममत बढाना हमारी परंपरा है.	మన సథానిక జటటుకు మన సపోరట ఇవవడం మన సంపరదాయం.
तुमहें चिंता करने की जरूरत नहीं है.	నువవు చింతించాలసిన పనిలేదు.
और तुमने मेरी बात बिलकुल नहीं सुनी.	కానీ నువవు నా మాటే వినలేదు.
ऐसे लगा जैसे वे मेरी खुद की अंदरूनी असुरकषाओं को सपषट करके परकट कर रहे थे.	నాలో ఉనన భయాలనే వారు బయటకు చెపతుననారు అననటటు అనిపించింది.
चाहे वह कितना ही बुरा कयों न खेलते हों.	వాళళు ఎంత చెతతగా ఆట ఆడినా సరే.
कयों न तुमहारे अगले कुछ निरणय हम ले लें?	సరే, అయితే నీ తరువాతి కొనని నిరణయాలను మేము తీసుకోమా?
अब तुम समझने लगे हो.	నీకు ఇపపుడు అరథం అవుతుంది.
चाहे यह हानिकारक रूप से पागलों की तरह फुटगोले का फैन है.	అంటే ఒక పిచచి పటటిన ఫుటబాల ఫయాన అయినా కూడా.
शाबाश हाउलरस.	అదరగొటటండి హౌలరస.
पराणी अपने घर की दीवारों पर हमारे पोसटर नहीं लगाते.	ఎవరూ తమ ఇళలలో మన పోసటరలు పెటటుకోరు కదా.
चलो, यह करते हैं.	ఆట మొదలెడదాం.
कि उनहोंने एक पूरे मैदान को गोले को किक मारने की अपनी गतिविधि को समरपित कर दिया.	వాళళు తమ బంతిని తననే ఆట కోసం ఒక మెదానాననే ఏరపాటు చేసుకుననారు.
बहुत जयादा बुरी.	నిజంగా దారుణమెన జటటు.
वहाइटटेलस की जीत हुई!	జింకలు గెలిచాయి!
यह कितना जोशीला है.	ఇది చాలా ఉతతేజితంగా ఉంది.
सच है. पर अतयधिक खुशी का भी मौका है तो यह अचछा है.	నిజం. కానీ అదభుతమెన విజయం సాధించడానికి కూడా అవకాశం ఉంది, అది చాలు.
हाँ. और अगर तुम पराणियों के साथ जयादा समय बिताओगी,	సరలే. అలాగే నీకు ఇతర మనుషులతో ఇంకాసత ఎకకువ సమయం గడిపే అలవాటు ఉంటే,
यह दो के मुकाबले तीन हैं.	రెండిటికి వయతిరేకంగా మూడు ఉననాయి.
अब मुझे समझ आने लगा है. यह जोश.	నాకు ఇపపుడే తెలుసతుంది. ఇందులో ఉనన డరామా.
कया हम कम से कम एक बार कुछ और नहीं देख सकते?	ఈ ఒకకసారికి వేరేది ఏమెనా చూదదామా?
इस रेफरी को अपनी आँखों की जाँच करवानी चाहिए.	రిఫరీ తన కళళను చెక చేయించుకోవాలి.
विराम का समय खतम होने पर नयूटस के लिए बिना रुकावट के एक किक.	సమయం ముగుసతుండగా నయూటస కి ఒక ఫరీ కిక అందింది.
पीछे रहो.	వెనకకి ఉండు.
वह गलती से हो गया.	ఇలా అనుకోకుండా జరిగింది.
इतना आतमविशवास पसंद आया.	ఆ మాతరం ఆతమవిశవాసం ఉండడం మంచిది.
कि रेफरी का काम है खिलाडियों को उनकी गलतियाँ बताना,	ఆటగాళల ఉలలంఘనలను కనిపెటటడమే రెఫరీ పని,
एक-दूसरे की पसंद-नापसंद जानो.	మీరు ఒకరి ఇషటాలను ఒకరు తెలుసుకోవడానికి.
अभी मेरा धनयवाद मत करो.	అపపుడే థాంకస చెపపాలసిన పనిలేదు.
और गेम के बाद वाले समीकषा बोरड में सब यही कहते रहे कि मेरी किक कितनी अचछी थी.	అలాగే పోసట గేమ రివయూవారు నా కిక ఎంత అదభుతంగా ఉందో అననారు.
और अगर तुम योगय नहीं होते तो तुमहें यह काम नहीं मिलता.	అలాగే నువవు ఆ టెసటులో కవాలిఫె కాకపోయి ఉంటే నీకు అసలు ఉదయోగమే వచచేది కాదు.
बहन-भाई के इकटठे समय बिताने की कुछ योजनाएँ बनाओ.	మీ తోబుటటువులు ఇదదరూ కలిసి ఉండడానికి కాసత సమయానని కేటాయించుకోండి.
या जब हारे.	ఓడినపపుడు కూడా.
कया जगह है.	ఇది భలే పరదేశం.
तुम, जो साफ घबराए हुए दिख रहे हो.	చూడడానికి భయపడుతుననటటు ఉనన వయకతివి, నువవు రా.
और उस जमी कुलफी के लायक नहीं जो तुम सकोर रखने के लिए मुझे देने वाले हो.	ఈ మాతరం దానికి సకోర చూడమని మీరు ఇచచిన ఐస కరీమ చాలదు.
नेथन डबलयू पाइल की पुसतक शृंखला पर आधारित	నేథన డబలయూ పెల రాసిన పుసతక సిరీస ఆధారంగా రూపొందించబడింది
तुमहारी टीम के घटिया परदरशन के लिए हम जिममेदार नहीं हैं.	మీ టీమ సరిగగా ఆడలేకపోతే అది మా తపపు కాదు.
तो फिर, कयों न थोडा तडका लगाएँ	సరే, అయితే మనం విషయానని ఇంకా రసవతతరం చేసి
अपनी संतानों को मिल-जुल कर रहते देख मेरे खून का पंप खुशी से सराबोर हो रहा है.	నా పిలలలు కలిసి ఉండడం చూసతుంటే నా గుండె పరవశించిపోతోంది.
कया निरणय है?	నిరణయం ఏమె ఉండాలి?
हम जीतने वाले हैं.	మేము ఈ ఆటలో గెలవబోతుననాం.
खेल ने कितना दुःखद मोड लिया.	ఆట ఎంత నిరుతసాహకారమెన ఫలితానని ఇచచిందో.
यह पहन लो.	వీటిని వేసుకో.
शायद.	అంతేలే.
पकषियों का धयान रखना.	పకషులను చూసుకో.
हम वहाइटटेलस की तरह खेलेंगे.	మనం ఆ జింకలలా ఆడదాం.
इन गेमों का इरादा पराणियों को साथ लाने का है.	ఈ ఆటల ఉదదేశం అందరినీ ఒకటి చేయమే.
खैर, तुम रेफरी कयों बनना चाहते थे?	సరే, అసలు నీకు రిఫరీ కావాలని ఎందుకు అనిపించింది?
और एक उडन मशीन का ऑपरेटर और एक पेशेवर गोले को बैट से मारने वाला खिलाडी भी हूँ.	ఒక విమానం పెలట ని అలాగే పరొఫెషనల బేస బాల పలేయర ని కూడా.
वे किसी केवल एक-उनमूलन परतियोगिता के समान जीवन जीते हैं	అవి కూడా గెలుపుకు ఒకే ఒకక అవకాశం ఉండే ఎలిమినేషన ఆట లాంటి జీవితం బరతుకుతుంటాయి,
लगता है नयूटस के नंबर 41 ने	నయూటస నంబర 41 పలేయర
तुमसे मिलकर अचछा लगा, बहन.	నినను చూడడం సంతోషంగా ఉంది, తోబుటటువా.
हमारी जानकारी में सबसे अचछे रेफरी के नाम	మనకు తెలిసిన బెసట రెఫరీ కోసం
दो अंक कुछ नहीं होते.	రెండు పాయింటలు పెదద గొపప కాదు.
वहाइटटेलस.	జింకలు.
हमारे साथ हाउलरस का समरथन करो.	మాతో కలిసి హౌలరస కి సపోరట చేసతే బాగుంటుంది.
कि हम ऐसी किसी चीज पर धयान ही नहीं देते जो हमारी आँखों के सामने न हो.	మన ఎదురుగా లేనివాటి విలువను తెలుసుకోలేకపోతుంటాం.
खेल का नतीजा है, बिना रुकावट के किक.	ఇపపుడు ఒక ఫరీ కిక ఇవవాలి.
अगर तुमहें इसे मुझसे बचाकर निकालना है, तो इससे जयादा जोर से किक मारनी होगी.	బాల ని ననను దాటించాలంటే నువవు అంతకననా గటటిగా తననాలి.
अभी नहीं.	ఇంకా చావలేదు.
उन पकषियों ने मुझे ठीक से देखने नहीं दिया.	ఆ పకషుల వలల నేను ఏమీ చూడలేదు.
हम तुमहें गरम फज भी दे देंगे.	నీకు హాట ఫడజ కొంటాం.
इन हाउलरस ने भी हारने का कोई तरीका ढूँढ ही लिया.	ఆ తోడేళళు కూడా చివరికి ఓడిపోయాయి.
हमें तुमहारे दरद का और गहराई से विशलेषण करना चाहिए.	మనం నీ బాధను మరింత అరథం చేసుకోవాలి.
अब तो मैं मारा गया.	నాకు ఇక చాలు.
आधा समय खतम हुआ, पुनः-ऊरजापूरति अवकाश है.	ఆట సగం అయింది, ఇంటరవెల బరేక.
हमने सुना है कि नयूटस से संबंधित हर चीज घटिया है, उनके फैनस के समेत.	మేమెతే నయూటస కి సంబంధించిన పరతీది, చివరికి వారి అభిమానులతో సహా అననీ తకకువ నాణయత కలిగినవే అని విననాం.
मुझे केवल पेड और जीव दिखाई दे रहे हैं.	నాకు చుటటూ చెటలు ఇంకా జంతువులు తపప ఇంకేం కనిపించడం లేదు.
घर पर बैठे हाउलरस के फैन बहुत दुःखी होंगे.	సొంత సటేడియంలో పరాజయం ఎదురెన హౌలర ఫయానస చాలా బాధపడుతూ ఉండొచచు.
पर तुम उसकी चिंता मत करो.	కానీ మీరు ఆ విషయమె భయపడాలసిన పనిలేదు.
और उस दुरभागयपूरण घटना के नाम जिसने हमें याद दिलवाया कि हम सभी से गलती हो सकती है.	అలాగే మన లోపాలను మనకు గురతుచేసే దురదృషటకర సందరభాల కోసం.
हैलो, बहन.	హలో, తోబుటటువా.
कया उनहें पता नहीं कि यह फुटगोला है? हाथ से कयों छूना?	దానిని ఫుటబాల అని పిలుసతారని వాళలకు తెలీదా? అలాంటపపుడు చేతితో ఎందుకు పటటుకుంటారు?
मैं समझती हूँ.	నేను అరథం చేసుకోగలను.
कया कहते हो?	ఏమంటారు?
मैं गोल मारूँगा.	నేను గోల ని షూట చేసతాను.
बढिया!	భలే!
मैं पकका इस गोले को किक मारकर तुमसे दूर भेज सकता हूँ.	నేను ఈ బాల ని నీ వెనకకి దాటించగలను.
इन पकषियों को बिलकुल पसंद नहीं आया कि हमने उनके	వాటి నివాసంలో మనం సటేడియం కటటడం
तो उनसे एक उचित फैसले की उममीद की जाती है.	కాబటటి వాళళ నిరణయాలు కూడా సరెనవే అయయుండాలి అని అందరూ అనుకుంటారు.
यह सब किसी के साथ भी हो सकता है.	ఇలాంటిది జరగడం సహజమే.
