लंदन 2099	లండన 2099
ईमानदार दोसत बनने की सोची, और देखो मुझे कया पता चला.	నీ అంతరంగ సనేహితురాలిని అయినందుకు. నువవు చూడు ఎలా ఉననావో.
-बाय, बिली ऐन. -बाय. हैलो, लडकियो.	-బె, బిలలీ యాన. -బె. హలో లేడీస.
हमारा एक महीने का खरचा भी दिया.	ఆ డబబులు మన నెల ఖరచులకు సరిపోతాయి.
मैंने खुद उसे कभी महसूस नहीं किया,	దీనని నేను ఎపపుడూ అనుభవించలేదు,
फलिन और बरटन फिशर को खतम कर दो.	ఫలిన మరియు బరటన ఫిషరను తొలగించండి.
आखिरकार मैंने आकर मदद करने का फैसला किया,	చివరికి లోపలికి వచచి చేతి సాయం చేదదామనుకుననా,
रीस ने टोपी पहनी है.	రీస టోపీ పెటటుకుననాడు.
तुममें कया जरा भी. . .	మీకు అసలు కొంచమెనా--
मेरे पास समय नहीं. खाना बनाना है.	సమయం లేదు. భోజనం సిదధం చేయాలి.
तुमहें इसके डंक से बचना चाहिए.	ఆమె కుడితే తటటుకోలేవు, ననను నమము.
अब जरा इसकी तरफ बढो.	ఇపపుడు ఆమె దగగరికెళళు.
यह पूछने में थोडी देर नहीं कर दी?	ఆలసయంగా అడుగుతుననానని అనుకోవా?
तुम जानती हो कि ऐसे नहीं होता.	ఈ పనులు అలా జరగవని నీకు తెలుసుగా.
ऐसा मत करो. डॉकटर ने मना किया है.	అలా చేయకు. వెదయులు ఆదేశించారు.
मैंने टॉमी को बचपन से देखा है,	నేను టామీ పెరిగి పెదదవవటం చూశాను,
कह रही हूँ कि उसे मेरे जैसी बूढी तनहा औरत का मनोरंजन करना आता है.	నాలాంటి ఒంటరి ముసలిదానికి ఎలా వినోదానని ఇవవాలో తనకి తెలుసు.
मेरा फोटो लेने का मन करता है.	నీ ఫోటో తీసుకోవాలని అనిపిసతోంది.
चली जाओ. जैसपर इंतजार कर रहा है.	వెళళు. జాసపర వేచి చూసతుననాడు.
मैं बिली ऐन से कहूँगी कि आकर इन रूखे बालों को काट दे.	బిలలీ యానని పిలిచి ఈ కంపలని కాసత కతతిరించమంటాను.
तुमने वे मुझे दिए थे.	వాటిని నాకు ఇచచావు.
जब तुम पहली बार मिले थे, मैंने कसम खाई थी.	నినను తొలిసారి కలిసినపపుడు, శపథం చేశా.
जो तुमहें नचाती है.	నినను ఆడించే మనిషిని.
तुम लोग चुप हो जाओ.	అందరూ నోరలు మూయండిరా.
जहाँ तक मुझे लगता है,	నేను ఆలోచించినంతలో,
पैसे देने की बजाय, हमसे पैसे माँगेंगे.	మనకు చెలలించడానికి బదులు, వసూలు చేసతారేమో.
मेरा सुझाव है कि अपने आसपास अचछे से नजर दौडाना.	నువవు నీ పరిసరాలను జాగరతతగా గమనించాలని సలహా ఇసతుననా.
मैं समझ सकता हूँ कि शायद आप हमसे नाखुश हों, मिसटर पिकेट.	మా విషయమె మీరెందుకు బాధపడుతుననారో అరథం చేసుకోగలను, పికెట గారు.
ताकि इस सबक को अचछे से सीख सको.	ఈ గుణపాఠానని సవీకరించడానికి.
पर जो बात हर समय दिमाग में घूमती रहती है.	కానీ నేను పదే పదే ఆలోచించే విషయం ఇదే.
बचाया कया?	కాపాడానా?
मैं आ गया.	వచచేశాను.
बरटन ने इसे घर ले जाने को कहा.	బరటన ఇది ఇంటికి చేరచమననాడు.
कुछ जञानवरधक होगा, इतना यकीन दिलाती हूँ.	నీ కళళు తెరిపించేలాంటిది జరగబోతోంది.
फिर मिलेंगे, कॉनर.	మళళీ కలుసతాను, కానర.
तंग करना?	బెదిరింపా?
तकलीफ के बारे में.	అంటే, నొపపి గురించి.
उसे रोको.	అతనని ఆపు.
मुझे अंगों की पहचान होनी चाहिए. पर पता है कि दिमाग कहाँ है.	నా అవయవ జఞానం మెరుగవవాలి. కానీ మెదడు ఎకకడుందో తెలుసు.
थोडा जोश लाओ, कोई इंतजार कर रहा है.	చురుకుగా ఉండు. నీ కోసం వేచి చూసతుననారు.
किसे पता था कि तुम इतने खतरनाक लोगों से दोसती करोगे?	అలాంటి పరమాదకరమెన సనేహితులతో సనేహం చేసతావని ఎవరు ఊహిసతారు?
और कौन तुमहारी मदद कर रहा है?	ఇంకా ఎవరు సాయం చేసతుననారు?
कयोंकि जैसा कि तुमने कहा, जिंदगी तेजी से बढती है	ఎందుకంటే నువవు ఇందాక అననటటు, జీవితం చిననది,
मतलब, हम दोनों देख चुके हैं कि इस डर का कया अंजाम होता है	అంటే ఇలాంటి భయం చివరికి ఎలా ముగుసతుందో ఇదదరం చూశాం,
मुझे वह नहीं करना, बिली ऐन. मैंने तुमसे कहा था.	వాటి జోలికి ఇక వెళళను, బిలలీ యాన. చెపపాగా.
तुम एक परिफरल नामक चीज के अंदर हो. टेली-उपसथित.	పెరిఫరల అనబడే దాని లోపల ఉననారు. మానసికంగా.
एक कमाल का तोहफा दे रही हूँ.	ఇది నీకిసతునన గొపప కానుక.
मिलागरोस कोलडायरन आवक कॉल	మిలాగరోస కోలడఐరన కాల వసతోంది
इसके टलने तक यहीं बैठो. ठीक हो जाओगी.	ఆ భావన పోయేదాకా ఉండు. బాగవుతుంది.
मेरे अनुभव में बहुत से लोग नहीं बनते.	నా అనుభవం పరకారం, చాలామంది ఎదగరు.
-दोबारा फोन मत करना. -तुमहारी जान खतरे में है.	-మళళీ కాల చేయకు. -నీ పరాణాలకు ముపపు ఉంది.
उसकी समाधि के पतथर पर यही लिखा जाएगा, तुमहें नहीं लगता?	ఆ మాటలు వాడి సమాధిపె లిఖించబడేలా ఉననాయి, ఏమంటావు?
अगर तुमने मेरिएल को कुछ करने की कोशिश की, तो इसे तुमहें मारने का आदेश है.	నువవు మరియెలకు హాని తలపెడితే, ఇది నినను చంపేలా పరోగరామ చేయబడింది.
द परिफरल	ద పెరిఫరల
मेकन और एडवरड आखिर कानून के चंगुल में फँस गए?	మేకన, ఎడవరడలు చివరికి ఏదెనా నేరం చేశారా?
-उसने इसके पैसे कैसे दिए? -नहीं दिए.	-దీనికెలా కటటాడు? -అతను కటటలేదు.
वही असली बात है.	అదే కీలకమెన విషయం.
कोई सकरीन नहीं है.	సకరీన కూడా లేదు.
बस उलझन में हूँ.	గందరగోళంగా ఉందంతే.
तुम पयार का करज उतारोगे, और मेरे लिए कुछ रासते खोलोगे.	నువవు పరేమగా ఉండాలి, నాకు కొనని తలుపులు తెరవాలి.
इसलिए, चलो, कपडे पहन लो.	కాబటటి, లెగు, బటటలు వేసుకో.
नहीं, अभी तक नहीं.	లేదు, ఇంకా లేదు.
जहाँ तक हमें लगता है, आधे पुरजों के अभी तक पैटेंट भी नहीं हैं.	మాకు తెలిసినంతలో ఇందులో సగం భాగాలకు పేటెంటలు కూడా లేవు.
मतलब, तुम असल में इस शरीर में नहीं हो, है न?	అంటే, నిజానికి నువవు ఈ దేహంలో లేవు కదా?
अगर मैं तुमहें यकीन दिलाऊँ कि एक दशक में तुम जिंदा नहीं रहोगे, तो इसका	మరో దశాబదంలో నువవు అసలు ఉనికిలోనే ఉండవని నేను కచచితంగా చెబితే,
बीयर के लिए शुकरिया. पर वह और ठंडी हो सकती थी.	బీరలు తెచచినందుకు ధనయవాదాలు. కొంచెం చలలగా ఉండుండాలి.
जब तक हो सके, इसका मजा लो.	వీలెనంత వరకూ ఆసవాదించు.
और देखो, कितने खूबसूरत हो.	ఎంత అందంగా ఉననావో చూడు.
अभी. वह हमें मारने आया है.	వెంటనే. చంపాలని వచచాడు.
और वह घर नहीं पहुँचेगा.	కానీ ఇంటికి తిరిగి వెళళడు.
बस सावधानी बरत रहे हैं.	కాసత జాగరతతగా ఉంటుననామంతే.
तुमहारे दिमाग में इतने सारे शबद बोना, उपजाऊ धरती में बीज बोने की तरह.	సారమెన మటటిలో ఎననో వితతనాలు నాటినటటు నీ తలలో మాటలు నాటుతుననా.
इसे बाथरूम ले जाओ, जैसपर. इसे साफ करो.	ఇతనిని బాతరూమ తీసుకెళళు, జాసపర. శుభరం చేయి.
कॉनर दोबारा नशा करके जिमीज से निकलेगा,	కానర జిమమీస నుండి తాగు ముఖంతో బయటకి వసతాడు,
हे भगवान, नहीं.	ఓహ, బంగారం, కాదు.
पोलट कया होता है?	పోలట అంటే ఏంటి?
बरटन, कुछ नहीं हो रहा.	బరటన, ఇది పని చేయడం లేదు.
जो कि उसकी एक खूबी है.	వాడి మంచి గుణాలలో అదొకటి.
किसी असल शरीर में, किसी ऐसी जगह. . . जो सच में है.	ఒక నిజమెన శరీరంలో, ఎకకడో. . . నిజమెన చోటులో.
जिससे एक और सवाल उठता है, पता है.	అది మరో పరశనకు దారి తీసతుంది.
वे तुमहें इतना ही बताएँगे, मेहरबानी.	వాళళంతే చెపతారు, అంతకు మించి చెపపి చావరు.
माँ की टेमोसीन खरीदने का यही एक तरीका है.	అమమకు టామొసీన కొనడానికునన మారగం ఇదే.
फरिज से 12 वाला पैक निकालकर ले आओगी?	ఫరిడజ నుండి ఆ 12-సీసాల పెటటె తీసుకొసతావా?
हे भगवान, फलिन. तुमहें लगता है कि मैं ऐसा करूँगा?	దేవుడా, ఫలిన. నేనలా చేసతానని అనుకుంటుననావా?
यह बेहद जरूरी है कि तुम तुरंत दोबारा गेम में जाओ.	మీరు వెంటనే సిమలోకి లాగిన అవవడం చాలా కీలకం.
-कौन सी कंपनी? -मिलागरोस जो भी है, कोलंबिया वाली.	-ఏ కంపెనీ? -మిలాగరోస ఏంటో, కొలంబియా కంపెనీ.
तुम कया चाहती हो, एलीटा?	ఏం చేసతుననావు, ఎలీటా?
शुकरिया.	థాంకయూ.
धत तेरी.	ఓరి నీ.
ईजी आइस.	ఈజీ ఐస.
किसी ने बकिंघम पैलेस में कंपनी की पारटी का सिमुलेशन तैयार किया?	బకింగహామ పయాలెసలో ఓ కంపెనీ పారటీ కోసం సిమ తయారు చేశారా?
तुम मेरा पहला पोलट हो. झूठ नहीं कहूँगी, थोडा अजीब सा लग रहा है.	నువవు నా మొదటి పోలట వి. నిజం చెబుతుననా, విడడూరంగా ఉంది.
तुमहें उसे तोडकर मेरिएल की नाक के नीचे रखना है.	దానని విరిచి, తెరిచి, అందమెన మరియెల ముకకు కింద పటటుకో.
फॉरएवर फैब 3 डी छपाई	ఫారెవర ఫాబ 3డీ పరింటింగ
या रीबरथ एनड इनोवेशन. या रेडिकली इममॉरल.	లేదా పునరజనమ, అనుసృజన. లేదా విపలవాతమక అనెతికత.
यह काम अभी करो, वरना तुमहें पैसे नहीं मिलेंगे.	ఇపపుడే జరిగేలా చూడు, లేదా నీకు చెలలించం.
बेवकूफी वाली बातें हैं.	నేను మూరఖంగా ఉననాను.
भाड में जाए. तो ऐसा है.	ఛత. అయితే ఇదీ విషయం.
वरना गोली मार दूँगा.	మీరు రాకపోతే కాలుసతాను.
अगर उसे निकालने की हालत नहीं है तो पियो भी मत.	తెచచుకోలేనంతగా తాగేసి ఉంటే, దానని తాగకు.
देखो. मेरिएल की खूबसूरत नीली आँख.	చూడు. ఇది మరియెల అందమెన నీలి కనుగుడడు.
बोला कि मुझे दोबारा उसमें घुसना होगा ताकि मदद कर सके.	లేదు, మళళీ సెన ఇన అవవాలననాడు, తను సాయపడటానికి.
शांति रखो, यार.	నిదానం, బాబు.
उसकी गाडी के लिए डराइवर चाहिए.	ఆమె కారుకి డరెవర తపపనిసరి.
तुमहारी मालकिन, ननहीं कठपुतली.	నీ దొరని, బుజజి తోలుబొమమా.
जयादा से जयादा,	ఘోరమెన విషయం,
बैठ जाओ, जैसपर.	కూరచో, జాసపర.
तुम तैयार हो?	సిదధంగా ఉననావా?
बिली ऐन, मुझे मूरति दे दो.	బిలలీ యాన, ఆ బొమమని తిరిగివవు.
पर तुम उसका नाम लेती हो तो	కానీ నువవు అతని పేరు చెపపగానే,
उस कंपनी से कोई मुझसे संपरक करने की कोशिस कर रहा है.	ఆ కంపెనీ నుండి ఎవరో కాల చేయడానికి చూసతుననారు.
लेवल 20 से आगे जाने के लिए हमें लिया.	20వ సథాయి దాటడానికి తీసుకుననాడు.
तकलीफ भी, तो तुमहें आगाह किया गया है.	నొపపిని కూడా, కనుక హెచచరిసతుననా.
आओ, बैठो. मेरी रानी के राजा बनो.	రండి, కూరచోండి. ఈ రాణికి రాజు అవవండి.
मिस फिशर, धयान से मेरी बात सुनो.	ఫిషర గారు, మీరు చాలా జాగరతతగా వినాలి.
पुरवानुभव का मतलब पता है? अगर सीधा-सीधा अनुवाद किया जाए तो?	డేజా వూ అంటే అరథం తెలుసా? అంటే మాటకు మాట అనువదిసతే?
इसमें बेकार कया है?	అందులో మూరఖతవం ఏముంది?
और वह नई टेकनॉलाजी है.	అది కొతత సాంకేతికత.
तुमहारा दिन अचछा हो, जान.	నీ రోజు మంచిగా గడవాలి, బుజజి.
लीजिए. आपके लिए सैंडविच बनाया है. फरिज में रखा है.	తీసుకో. నీకొక శాండవిచ చేశా. ఫరిడజలో ఉంచాను.
तुमहारी माँ कैसी हैं?	మీ అమమకు ఎలా ఉంది?
आधुनिक वीआर, फलिन.	అతయాధునిక వీఆర, ఫలిన.
तुमहारी मंजिल.	నీ గమయసథానం.
मैं पहुँच गया.	నేను వచచాను.
मैं पहुँच गया.	నేను వచచాను.
जरूर बहुत अचछा लगा होगा.	అప గరేడ లాగా అనిపించుంటుంది.
-तुम ठीक हो? -हाँ.	-బాగుననావా? -బాగుననా.
तुरंत.	వెంటనే.
द परिफरल में अगली बार	ద పెరిఫరలలో తరువాత
-मैं कया कहती? -ऐसा कह सकती थी. . .	-నేను ఏం చెపపి ఉండాలి? -ఇలా చెపపుంటే. . .
-तुमहें ईजी पसंद है? -या मिसटर आइस?	-మీకు ఈజీ అంటే ఇషటమా? -లేక ఐస గారు అనాలా?
-बिली ऐन, इसे वापस करो. -गंदी लडकी.	-బిలలీ యాన, దానని తిరిగివవు. -దొంగ పిలలా.
-इसमें कितना चारज है? -कम है.	-అందులో ఛారజ ఎంత ఉంది? -తకకువుంది.
-हे भगवान. -पर उसके नीचे. . .	-దేవుడా. -కానీ దాని కింద, అది. . .
दिल की धडकन सुन रही है?	నీ గుండె చపపుడు వింటుననావా?
यहाँ कुछ अचछा चल रहा है, बरटन. मैं बता रही हूँ,	వాళళు ఇందులో చకకటిదేదో చేసతుననారు, బరటన,
वह कहेगा, "हाँ, " वह और कया कहेगा?	"అవును" అంటాడు, ఎందుకంటే వేరే ఏం అనగలడు?
कया बात है, फलिन?	ఏం జరుగుతోంది, ఫలిన?
मेरी तबियत ठीक नहीं.	నాకు జబబుగా ఉంది.
और वह करता रहेगा.	అలానే వేచి ఉంటాడులే.
यह कया कह रही है?	తను ఏం మాటలాడుతోంది?
अचछा, माँ, गुड नाइट.	సరేనమమా, గుడ నెట.
तुम पर यकीन नहीं है.	నేను నినను నమమను.
हर बार पैसे निकालने पर होमलैंड सिकयूरिटी नजर रखती है?	జరిగే పరతి విత డరాయల ని హోంశాఖ పరిశీలిసతుందా?
और वह लेवल 107 पर जा पहुँची.	ఆమె ఏకంగా 107వ సథాయికే చేరుకుంది.
पर जो मैंने देखा है, वह काफी असरदार है.	కానీ నేను గమనించినంతలో, ఇది చాలా సమరథవంతమెనది.
वह बस तुमहें दोबारा घुसाने की कोशिश कर रहा है.	మళళీ నీతో వేషం వేయించడానికి చూసతుననాడు.
तुम कौन हो?	నువవు ఎవరివి?
कैसा लगेगा.	పరయతనిసతుననా.
मैं जिमीज जाकर माँ की बाकी की टेमोसीन ले आता हूँ.	నేను జిమమీసకి వెళళి అమమకు మిగలిన టామొసీన తీసుకొసతా, సరేనా?
मान लो कि मैं वहाँ पडी राइफल उठाने का फैसला करूँ.	నేను ఇకకడునన బులపప తుపాకీని అందుకోవాలని నిరణయించాననుకోండి.
तुमहारा हुनर और शखसियत, दोनों इस बेकार जगह में बरबाद हो रहे हैं.	ఈ మూరఖుల సంతలో నీ నెపుణయాలు, వయకతితవం వృధా అవుతుననాయి.
-सडक के बीच में आओ, पलीज. -कयों?	-రోడడు మీదకు రండి. -ఎందుకు?
तो फिर, मुझे जाकर उनकी मदद करनी चाहिए.	నేను వెళళి వారికి సాయం చేయాలేమో.
"वहाँ खडे हुए. "	"అలా నిలబడి ఉంటే. "
मुझे कहना पडेगा.	నీకిది చెపపాలసిందే.
मुझे तुम पर नाज है.	నేను గరవిసతుననా.
और बायीं तरफ वाले दरवाजे पर जाकर रोको.	ఎడమ పకకనునన తలుపు దగగర నిలుపుకో.
-और? -बहस करने की जरूरत नहीं है.	-అలాగే? -మనం వాదించుకోవాలసిన పని లేదు.
यह कैसे होता है?	ఇదెలా పని చేసతుంది?
मुझे लगता है कि परफॉरमेंस पर बात होनी चाहिए,	తవరగా పనితీరు సమీకష చేసతే బాగుంటుంది,
जहाँ तक लगता है, कोई भी समझदार नहीं बन पाया.	నాకు తెలిసినంతలో వాళళలో ఎవరూ ఎదగలేదు.
तुमने कुछ नहीं कहा, है न?	నువవేమీ చెపపలేదు కదా?
मैंने तुमसे एक सवाल पूछा.	నేను ఒక పరశన అడిగాను.
वह मुझे वो सारी बातें बताती है जो तुम नहीं बताती.	నువవు చెపపని వారతలననీ తను నాతో చెబుతుంది.
मुझे बहुत पीटा, बिना किसी वजह के. बहुत ही गलत था.	అకారణంగా ననను చావబాదారు. అది నీచాతి నీచం.
जब और लोग हमारी तलाश करते हुए आएँगे, तब कया होगा?	మనలని వేటాడుతూ మరింత మంది వసతే ఏమవుతుంది?
मुझे बताओ.	సథితి చెపపు.
"हम" मतलब?	"మేము" అంటే?
हमें तो यही लगता है.	అంటే, అది మా ఉతతమ అంచనా.
सच कहा, पर कोई और मेरा अवतार इसतेमाल कर रहा था. ईजी आइस बनकर खेल रहा था.	నిజమే, కానీ వేరెవరో నా అవతారని వాడారు. ఈజీ ఐస పేరుతోో ఆడారు.
यह ठीक है.	ఇది బాగుంది.
जैसे तुमहारे शरीर में थी.	నేను నిజంగా నీ శరీరంలో ఉననటటు.
तो तुम खुद यह करना चाहते.	నువవే దీనని చేయాలనుకునేవాడివి.
जिमीज	జిమమీస
हाँ, अगर बदले में,	అంటే నువవు. . .
हम दोनों की कोई सेवा कर दो तो.	అంటే మా ఇదదరికీ ఒక సేవ చేసి పెటటాలి.
हाँ, यकीन मानो, कैश.	చేసుండాలి, నిజంగా, కయాష.
उसे जितना जानता हूँ, चिंता की बात लगती है.	నాకు తెలిసినంతలో, ఇది బాధపడే విషయం.
"एक घंटे में अनंत काल. "	"శాశవతతవం ఓ గంటలో. "
टॉमी को लेकर कोई बात है?	టామీ వలల ఇలా ఉననావా?
पशचिम	పశచిమం
कयोंकि हमने इसे पहले झेला है, ठीक इसी पल को.	ఎందుకంటే మనం ఇలాంటిది చూశాం, ఇదే కచచితమెన పరిసథితిలో.
एक दिन टॉमी कॉनसटनटीन आपके बारे में पूछ रहा था.	మొనన టామీ కానసటనటీన నీ గురించి అడిగాడు.
डी डी का एक आरडर देने आया था.	డీడీ కోసం ఒక ఆరడర ఇవవడానికి వచచాను.
अगर उनहें पता न चले कि तुम लडकी हो.	నువవు అమమాయని వాళళకు తెలియదు.
शुरू में खुशामद करना लगता है,	మొదటలో చూపులు పరశంసనీయంగానే ఉంటాయి,
देखो अगर उन पर तुमहारा हुकम चल पाए.	వాళళు మరింత లొంగుతారేమో చూడు.
तुमने फारम गलत पढा होगा?	నువవు పతరం తపపుగా చదవటం వలలా?
चीजें महसूस कर रहा हूँ.	అనుభూతి చెందుతుననా.
वह, और बरटन, और बाकी सब	అతను, బరటన, ఇతరులు,
मतलब तुमने मुझे किस मुसीबत में डाल दिया?	నువవు ననను దింపిన చెతత అంటుననావా?
मैंने हमारी दुनिया की बात नहीं की.	నేను మన పరపంచం అని చెపపలేదే.
गुड मॉरनिंग, माँ.	మారనింగ, అమమా.
कल नए सिरे से शुरू करेंगे, ठीक है?	మనం రేపు కొనసాగిదదాం, సరేనా?
तुमहें तो पता है.	నీకు తెలుసుగా.
सीधे सीधे गलत था.	వేరే ఏమీ లేదు.
मुझे इस वकत थोडी जानकारी की जरूरत है.	పరసతుత సథితి గురించి కొంత సమాచారం వాడుకోవచచు.
अफसोस, यहाँ वह नहीं कर सकते.	అయయో, అవి ఇకకడ చేయలేవు.
तुमहें हैरत होगी. जब यह चलेगा, तुम धयान नहीं दोगी.	ఆశచరయపోతావు. ఇది పని చేసతే, అలా చేసతుననటటు కూడా నీకు తెలియదు.
जब तुम दिमाग के अंदर एक आवाज थीं, तो तुमको फॉलो करना आसान था.	తలలో గొంతుగా ఉననపపుడే నినను అరథం చేసుకోవడం సులువు.
इसी बात पर, इससे पहले कि मैं जाकर दुनिया की सफाई करूँ,	ఆ విధంగా, నేను ఈ పరపంచానని శుభరమెన పరదేశంగా చేయటానికి వెళళే ముందు,
तुमहारे दिमाग की आवाज.	నీ తలలోని గొంతుని.
यह उनका सालाना खुद को बधाई देने वाला शाबाशी कारयकरम है.	తమని తాము పొగుడుకునే వారి వారషిక సమావేశం ఇది.
और तुम उस हद को पार करने वाले हो.	నువవు ఆ గీతను దాటబోతుననావు.
उसे देखो.	ఆమెని చూడు.
कया मतलब?	ఏమంటుననావు?
दूसरी वाली!	మరో కనను.
किसी गेम में नहीं.	మరో సిమలో ఉననటటు కాదు.
मेंफिस के बाहर किसी समुदाय ने यह परसताव सवीकार किया है.	ఈ ఆఫరను మెంఫిసకు చెందిన ఓ ముఠా అంగీకరించింది.
हाँ, उस समय बात थोडी और जटिल लगी थी.	ఆ సమయంలో అది ఇంతకంటే సంకలిషటంగా అనిపించింది.
कुछ हिममत भरा करना ताकि हम सब को नाज हो.	ఏదెనా ధెరయంగా చేయి, మా అందరికీ గరవకారణంగా నిలువు.
नहीं, मॉम. बस आपके बालों का बुरा हाल देख रही हूँ.	లేదమమా, నీ జుటటు పరిసథితి ఘోరంగా ఉందంతే.
और फिर, कयोंकि लोग तो चीजों को बिगाडना चाहते हैं,	జనాలు చెడడ పనులు చేయాలనుకుంటుననారు కనుక,
हमारी बनाई सबसे कमाल की चीज है.	మనం రూపొందించిన ఉతతమ వసతువులలో ఇదొకటి.
मेरे फोन में पैसे भेज देना.	నా ఫోనుకి డబబులు పంపు.
मैं एक गेम में खेल रही हूँ.	నేను ఈ సిమ ఆడుతుననాను.
तुमहारे अवतार को रखा, यानी फलिन को.	నీ అవతారని, అంటే ఫలినని పనికి పురమాయించాడు.
"सोच रही हूँ कि तुमहारी जगह होकर कैसा लगता होगा,	"నీలా ఉంటే ఎలా ఉంటుందా అని ఊహిసతుననాను,
ताली नहीं बजाते?	చపపటలు కషటమా?
बस करो. हँस लो, पर अगर वह मुझे डरा रहा था, तो उसने कोई कसर नहीं छोडी.	పోండరా. ననను భయపెటటడానికి మాతరమే అయితే అంత శరమపడి ఉండడు.
कल उसने आपका खा लिया था. झूठ मत कहिए.	నినన నీది తిననాడు. మాట మారచకు.
और फिर अगला एक घंटा तुमहारे करीब आकर,	మరో గంట సేపు మీ వెపుకి వాలుతూ,
"पहले से देखना. "	"ఇదివరకే చూశాను" అని.
एक सिमुलेशन बनाने वाले ने मुझे काम पर रखा.	సిమ రూపకరత, నాకు పని పురమాయించాడు.
कि कब उसे अपने काम से मतलब रखना चाहिए.	వాడి పని వాడు ఎపపుడు చూసుకోవాలో తెలుసనుకుంటాను.
गेम में सवागत है, ईजी आइस.	సిమకు సవాగతం, ఈజీ ఐస.
हम सब का भला हो जाता.	మా అందరికీ సాయం చేసుండాలి.
इसलिए तो पूछ रही हूँ.	అందుకే నినను అడుగుతుననాను.
हाँ, कहा तो था. पर वजह नहीं बताई.	అవును, చెపపావు. కానీ, ఎందుకనేది చెపపలేదు.
समझ नहीं आता, खुद को कैसे बरदाशत करते हो.	నినను నువవు ఎలా భరిసతుననావో ఏంటో.
-नहीं. -बिली ऐन, मुझे तंग मत करो.	-నువవు పారేయలేదు. -బిలలీ యాన, విసిగించకు.
दरवाजा खोलो.	ఆ తలుపు తెరువు.
कया?	ఏంటి?
कया?	ఏంటి?
यहाँ इस तरह बैठी हो.	ఇలా కూరచుంటే ఎలా ఉంటుంది.
मैं मेरिएल हूँ.	నేను మరియెల.
कया?	ఏంటి?
फिर भी समझना थोडा मुशकिल सा लगता है.	కానీ ఇదంతా అరథం చేసుకోవడం కొంచెం కషటంగా ఉంది.
रुको!	ఆగు!
नहीं?	కదా?
अपनी किसमत का दावा करने.	నీ విధిని చేజికకించుకోవడానికి.
मैंने तुमहारी यह सूरत पहले देखी है.	ఈ నీ చూపు నాకు తెలుసు, ఫలిన.
कया?	ఏంటి?
हम सोच रहे थे, फलिन,	మేం అనుకుంటూ ఉననాం, ఫలిన,
पकका वह 9 डॉलर नहीं कह रहा था?	వాళళు చెపపింది 9 డాలరలా?
और आज रात कुछ बडा होने वाला है, तो बाकी की कल ले लेंगे.	ఈ రాతరి నాకో పెదద అవకాశం రాబోతోంది, మిగిలిన మాతరలు రేపటికి వచచేసతాయి.
मैं बात करती हूँ, तुमहारे किसी खयाल के जैसी हूँ, है न?	నేను మాటలాడే మాటలు నీకు ఆలోచనలలాంటివి, కదా?
उस शरीर को ऐसे चलाते हुए जैसे वह तुमहारा हो.	ఆ దేహం మీదయినటటు మీరు నిరదేశిసతారు.
-अचछा? -अगर तुमहें अंदाजा होता,	-అంతా బాగుందా? -దీని గురించి తెలుసుంటే,
बरटन के परोफाइल से.	బరటన సథానంలో ఆడుతుననాను.
आपको याद है कि उनका कया हुआ? मेरे जूतों का?	వాటికి ఏమయిందో గురతుందా? నా షూసకు?
यह कौन सी कंपनी है?	కంపెనీ పేరేంటి?
आप सच में वहाँ हैं.	అకకడే ఉననటటుగా.
कल आकर बाकी ले जाऊँगी.	తకకినవి రేపు వచచి తీసుకుంటా.
कोई तसकरी वाला मामला लगता है.	ఇది కిరాయి హంతకుల చెతతని నా అభిపరాయం.
जैसा बताया, छोटी खामियों को ठीक करना.	చెపపాగా, చినన సమసయలు తీరచాలి.
तुम यहाँ कया कर रहे हो?	ఇకకడేం చేసతుననావు?
यह होगा कि तीन की जगह, मैं तुम में से दो को मार पाऊँगा.	నేను మీలో ఇదదరినే చంపుతాను, ముగగురిని కాదు.
चुप रहो. बेकार की बातें करते हो,	నోరముయ. నీది చెతత వాగుడు,
वही इरादा है. उसकी चिंता मत करो.	అదే అనుకుంటుననా. దాని గురించి దిగులుపడకు.
-यानी सिरफ एक गोली. -मतलब एक दिन, है न?	-వాటితో ఒక మాతరే వసతుంది. -ఒక రోజుకి సరిపోతుందిగా?
याद है?	గురతుందా?
सब कुछ.	అననిటినీ.
नाम दरज कर लिया, मिसटर आइस.	నమోదు చేశాం, ఐస గారు.
पर. . .	కానీ. . .
मुझे भूख नहीं थी.	నాకు ఆకలి అనిపించలేదు.
बोलो. मुझे पता है कि तुम चाहती हो.	చెపపు. నీకు తెలుసుకోవాలని ఉందని నాకు తెలుసు.
-पूरा नाम कया है? -रीसरच इंसटीटयूट.	-విడమరిసతే? -పరిశోధనా సంసథ.
जैसे. . . 9 मिलियन का इनाम.	అంటే. . . 90 లకషల డాలరల నజరానాలాగా.
तुमहें कभी आना चाहिए. खुद आकर देख लो.	నువవు ఎపపుడెనా ఒకసారి రా. నీకు నువవే చూసుకోవచచు.
मैं चालू करती हूँ, मैं ही बंद करूँगी, इसलिए. . .	కనెకషన మొదలు, ముగింపు నాదే, కనుక. . .
फिर कहतीं, "पर मैं ऐसा नहीं कर सकती. तुम हद से जयादा हसीन हो.	ఆ తరవాత, "కానీ ఊహించలేను. నువవు చాలా అందగాడివి.
जलदी करना! मुझे पहले ही देर हो चुकी है.	తవరగా! నాకు ఇపపటికే ఆలసయమెంది.
बरटन कहाँ है?	బరటన ఎకకడ?
माहिर बनो!	పటటు సాధించు!
