पिकेटमोटरस. कॉम	పికెటమోటరస. కామ
-सब कैसा होता है. -जैसपर के अंकल कौन हैं?	-అదెలా నడుసతుందో తెలుసా? -జాసపర బాబాయి ఎవరు?
तो तुमहारे माधयम से एलीटा तक पहुँच सकते हैं.	మనం నీ దారితో ఎలీటా పరదేశానని కనుకకోవచచు.
इससे बेहतर हल नहीं सोच सकतीं?	ఇంతకననా మెరుగెనవి లేవంటావా?
आज सुबह नशे की हालत में जागा,	ఈ ఉదయం తాగిన మతతులో లేచాను,
-अभी! -मैं गाडी नहीं रोकूँगा.	-ఇపపుడే! -నేను కారుని ఆపను.
तुमहारा बगीचा कैसे फलता है?	నీ పూదోట ఎలా పెరుగుతుంది మరి?
-तो फिर. . . -मैं वुलफ के बिना नहीं जाऊँगी.	-అలా అయితే. . . -వూలఫ రాకపోతే నేనూ రాను.
मेरियल रफाएल.	మరియెల రఫెయెల.
और कौडियों से	సముదరపు గవవలతో
अगर आप देखें तो पता चलेगा कि	మీరు చెక చేసతే, ఈమె పేరుపె
और तुम जो काम कर रही हो, उसका वही मतलब है.	నువవు చేసతునన పనిలోని ముఖయ ఉదదేశయం అదే.
तुम समझ रही हो, है न? तुमने मेरे लिए कोई चारा नहीं छोडा?	నీకు అరథమెంది కదా? నాకు మరో దారి లేకుండా చేశావు కదా?
-फिर कया? -शायद तुमसे तलाक लेना पडेगा.	-ఆ తరవాత? -అపపుడు నీకు విడాకులు ఇవవాలేమో.
-हाँ. -वे हमारा पीछा करते यहाँ तक चले आए?	-అవును. -మనలని ఇకకడి దాకా అనుసరించాయా?
तुम इंसटीटयूट की निषिदध सुविधा में गए.	నిరభంధ పరాంతంలోకి వెళళేందుకు మీరు వాడారు.
वह बडे ही बेढंगे मगरूर अंदाज से पेश आई	అపపుడు తను ఓ పొగరుబోతు ఉదవేగానని చూపింది,
शायद तुम बहुत छोटे थे, इसलिए याद नहीं,	ఇది గురతుండటానికి నువవు మరీ చిననవాడివేమో,
और हमारा कोई पुराना दुशमन जाग गया हो बदला लेने के लिए,	ధనబలం, కండబలం ఉననవారిని మనం ఎదిరించినటటు అవుతుంది,
तुम इसे यहाँ नहीं छाप सकते.	వీటిని ఇకకడ ముదరించకూడదు.
तो इंसान तनहा रह जाता है.	తోడు అననది లేకుండా జీవిసతే.
मैं पिकेट को संभाल लूँगा.	పికెట సంగతి నేను చూసుకుంటా.
करमचारी भी ऐसा कर सकते हैं.	వెదయ సిబబంది అలా చేయగలరు.
उनहें कया लगता है, वह दवा कहाँ से आई?	ఆ ఔషధం ఎకకడి నుండి వచచిందని అనుకుంటోంది?
-ठीक है. -जाहिर है तुमहें ठीक नहीं लगता.	-సరే. -సఫషటంగా తెలుసతోంది, సరి కాదని.
वह कया है, यह भी. पलीज, टीवी बंद करो.	వాడు చేసే పనులు. ఆ చెతతను ఆపండి, దయచేసి.
राजय के नियमों के अनुसार पूरी तरह से.	పరభుతవ ఆదేశాలను పూరతిగా అనుసరించి వేశాం.
-कयोंकि वे भले लोग लगते हैं. -जी हाँ.	-ఎందుకంటే మంచివాళళలా ఉననారు. -మంచివాళళే.
और ऐसा लगता है कि मैं उस नाजुक मोड पर पहुँच गया हूँ.	నేను ఆ విసమయకర సథితికి చేరుకుననానని అనిపిసతోంది.
जागो और उठो.	మేలుకో, లెగు.
डीएनए से जरमन और उततर अफरीकी वंश का पता चलता है.	డీఎనఏ జరమనీ మరియు ఉతతర ఆఫరికా వారసతవానని సూచిసతోంది.
मैंने आखिरी बार एलीटा को कब देखा था?	నేను ఎలీటాను చివరి సారి ఎపపుడు చూశానని?
मैं तुमहारी बात समझा नहीं.	ఏమంటుననావో నాకు తెలియదు.
शुकरिया, यार.	థాంకస, బాబు.
हैलो? तुम हो?	హలో? ఉననావా?
बुरा न मानें तो आपकी राय जानना चाहूँगा.	మీ అభిపరాయం కావాలి, మీకు ఫరవాలేదంటే.
हे भगवान, बिली ऐन, मैं बेवकूफ नहीं हूँ.	దేవుడా, బిలలీ యాన, నేను వెధవని కాదు.
तुमहें मैड डॉगस याद हैं?	నీకు మయాడ డాగస గురతుననారా?
और विलफरेड नेदरटन, है न?	అలాగే విలఫరెడ నెథరటన, కదా?
इन खिडकियों पर दो-इंच का पॉलिमर है.	ఆ కిటికీలపె రెండు అంగుళాల పాలిమర ఉంది.
मुझे लगता है, हमारे पास कुछ विकलप हैं.	నా దృషటిలో మనకు కొనని ఎంపికలుననాయి.
हमारे परेत के आने तक यह महज एक चीज है.	మన పోలట వచచేదాకా ఇదొక వసతువు, అంతే.
इतनी जलदी बुलाने पर आने का शुकरिया.	కబురు పెటటిన వెంటనే వచచినందుకు థాంకయూ.
अचछा. तो जाओ. अंदर चलो.	సరే. కానివవు. లోపలికి రా.
हमें संभावनाओं के बारे में सोचना होगा, ठीक है?	మనం అనుకోకుండా జరిగేవాటి గురించి మాటలాడాలి, సరేనా?
शायद आप सोच रहे होंगे कि हम गाडी से कयों उतरे?	వాహనం వదిలి బయటకి ఎందుకొచచామా అని ఆలోచిసతుంటారుగా?
आपको पाकर खुशकिसमत हैं.	మీ అండ ఉండటం వాటి అదృషటం.
-अंदर झाँककर देखा? -नहीं.	-లోపలికి చూశావా? -లేదు.
तुमहें मुझसे कया चाहिए?	నా నుండి నీకేం కావాలి, ఆ?
लिऑन हमारा पीछा करते यहाँ तक चला आया.	లియోన మనలని ఇకకడ దాకా అనుసరించాడు.
तुमहें किसी चीज जैसा महसूस हो रहा है?	నీకు నువవే ఓ వసతువులా అనిపిసతుందా?
साथ में थोडा सा आधयातमिक अंदाज भी है.	కానీ విషాద సంగీతం అంతరలీనంగా ఉంది.
उसे समझना अभी भी मुशकिल हो रहा है.	ఆ ముడి విపపడానికి ఇంకా సతమతమవుతుననాం.
मैंने इसलिए नहीं पूछा ताकि मुझे अचछा महसूस करवाओ.	నాకు ఊరట కలిగించే జవాబు చెపతావని అది అడగలేదు.
शायद तुम सोच रही हो, "मुझे मार डालो, फिर खेल खतम", है न?	నువవిలా అనుకుంటూ ఉంటావు, "ననను చంపు, ఆట అయిపోతుంది" అని, కదా?
वे तुमहारे घर में हैं?	మీ ఇంటిపె తిరుగుతుననాయా?
तो फिर तुमहें बचपना नहीं करना चाहिए.	అయితే చిననపిలలల పరవరతన ఆపేయాలేమో.
ऐश अभी पूछ रही थी. . .	యాష ఇపపుడే అడిగింది. . .
साफ लगता है कि उसकी पुतली की मदद से,	ఆమె కనుగుడడును ఇనసటిటయూటకు చెందిన
पूरी तरह से महसूस होगा, केवल तसवीर और आवाज नहीं.	చూడటం, వినటమే కాదు, ఇందరియాలననీ సంధానమయయాయి.
डॉ. नयूलैंड?	డా. నులాండ?
यही कि तुम उस सबसे अहम सवाल के जवाब का पता लगाओ.	ఆ అతి ముఖయమెన పరశనకు నువవు జవాబు కనుకకోవాలి.
नहीं, शक पैदा होगा. मेरे इशारे के लिए रुको.	వదదు, పారిపోయినటటు ఉంటుంది. నా సంకేతం కోసం ఆగు.
-आपका मतलब. . . -देखो, मैं सीधे-सीधे बताता हूँ.	-అంటే, అది. . . -చూడు, నేను సూటిగా చెపతాను.
दोनों को. करियाकरम पर न आने के लिए.	మీ ఇదదరని. ఆయన చనిపోతే రానందుకు.
और हैपटिकस के चलते, मुझे यह पता था.	హాపటికస వలల, ఆ జఞాపకం నాలో ఉంది.
जैसा कि मैंने कहा, मैं उममीद नहीं करती कि तुम समझोगे.	ఇందాకే చెపపాగా, నువవు అరథం చేసుకుంటావని నేను ఆశించడం లేదు.
और बात पककी हो जाएगी.	ఇక మన ఒపపందం ఖాయమెనటటే.
तुमहारे कैंपर के बाहर	నీకు నీ గుంపులో జనాలంతా
शायद सोचूँगा कि यह सारा पैसा कहाँ से आ रहा है.	డబబంతా ఎకకడి నుండి వసతోందని ఆశచరయమేసతోంది.
और तुमने वह देखा जो नहीं देखना था.	చూడకూడనిది ఏదో చూశావని చెపపాను.
मेरा एक काम करो तो खाने की तैयारी करूँगी.	నువవు ఓ పని చేసి పెడితే వంట చేయడం మొదలుపెడతా.
एलीटा की तलाश जारी रखो, और मैं एक घंटे में वापस लौटूँगी.	మీరు ఎలీటా కోసం వెతుకుతూ ఉండండి, నేను గంటలో వసతాను.
दो आतमाओं का एक होना पयार के जैसा महसूस हो सकता है.	ఒకలాంటి పరేమగా అనిపించవచచు, నీకు అంతకు మించి తెలియకపోతే.
मेरे परिवार, कलेपट कुलीनतंतर के चलते, हमने तुमहें शामिल किया.	నా కుటుంబం, అంటే విసతృతమెన కలెపట పెతతందారుల వలలే, నినను తీసుకుననాం.
लाओ. मैं खोल देता हूँ.	ఇదిగో. నేను తీసతాను.
तुम लोग वहाँ से चोरी कर रहे थे न?	మీరు దాననుండి దొంగలించారు కదా?
यह हमारी जिममेदारी है.	అలా చేయడం మా కరతవయం.
अचछा बचचा.	మంచబబాయివి.
एलीटा ने उसे मार डाला?	ఎలీటా ఆమెను చంపిందా?
ऊँचाई से डर लगता है?	ఎతతెన పరదేశాలంటే భయమా?
यह बात साफ नहीं है कि कौन सा परिवार है, पर अनुमान लगाना हो तो. . .	కచచితంగా ఏ కుటుంబం అననది అసపషటంగా ఉంది, కానీ నా అంచనాలో. . .
कया बात है?	సమసయ ఏంటి?
उसे वापस भेज सकती हूँ.	తనను ఇంటికి పంపగలను.
चाय में एक रसायन है.	ఆ టీలో ఒక రసాయనం ఉంది.
चिंता है कि ठीक से नहीं सोच रहीं.	నీ ఆలోచన సపషటంగా లేదని దిగులు.
पर उसके लिए जो मेहनत चाहिए. . . जितना खयाल रखना चाहिए.	కానీ దానని అలా ఉంచడానికి పడాలసిన శరమ. . . ఆ శరదధ.
मैं फिशर परिवार को लेकर थोडा सा परेशान हूँ.	నేను ఫిషరల గురించి కొంత దిగులుపడుతుననా.
अगर आप कोई राज साझा करने के लिए मजबूर महसूस करें. . .	ఒక రహసయానని పంచుకోవాలని నీకు బలంగా అనిపిసతే. . .
उसकी पतनी, बिली ऐन?	అతని భారయ, బిలలీ యాన?
तो पता है कया मिला?	ఏం కనుకకుననానో చెపపు?
वे मुझे और मेरी बहन को मारने के लिए कितना दे रहे थे?	ననను, నా సోదరిని చంపడానికి మీకు ఎంత ఇసతామననారు?
बेशक, हम उनहें दूर रखने की पूरी कोशिश करते हैं.	వాటిని దూరంగా పెటటడానికి మాకు ఎంత వీలెతే అంత చేసతాం.
नहीं, सर. मैंने बताया कि कया चाहिए, उनहोंने दे दिया.	లేదండి. నేను ఎందుకు వచచానో చెపపా, వాళళు ఇచచారు.
जो हमारे शहर में वापस आ रही है.	అది మళళీ మన ఊరికి రాబోతోంది.
तो मैं लेटे-लेटे तुमहारी बहन और तुमहारी पहेली हल करने की कोशिश करती हूँ.	'నీ సోదరి, నువవు' అనే పొడుపు కథని పరిషకరించడానికి పరయతనిసతుంటాను.
मेडिकल करमचारियों को चमतकार आता है. वह ठीक ही होगी.	వెదయ సిబబంది అదభుతాలు చేయగలరు. ఆమె బాగుంటుంది.
मुझे समझ में नहीं आता कि उसे पहेलियाँ बुझाने की कया जरूरत है.	తను అలాంటి పొడుపు కథలు ఎందుకు చెబుతుందో నాకు అరథం కాదు.
तुम एक "परिफरल" के अंदर हो.	"పెరిఫరల" అనేదానిలో మీరుననారు.
नहीं, सर.	తెలియదండి.
साठ डिगरी सेलसियस. लगभग एक घंटा लगता है.	60 డిగరీల సెలసియస. గంటసేపు పడుతుంది.
बहुत गरमी हो रही है!	లోపల వేడెకకుతోంది!
बहुत गरमी हो रही है!	లోపల వేడెకకుతోంది!
बेवकूफ बनकर गुजारना.	మూరఖుడిగా గడపవచచు.
तुमहारे घर के पीछे लाशें. जादुई दवा.	మీ ఇంటి వెనుక శవాలు. అదభుతాలు చేసే ఔషధం.
वे छापने नहीं देंगे.	మీకు అనుమతి ఇవవరు.
गाडी रोको.	కారు ఆపు.
वुलफगैंग.	వూలఫగయాంగ.
और तुमहें उसका मतलब पता है?	తను ఏ అరథంలో అందో నీకు తెలుసా?
मेरियल का.	మరియెలకు.
दो इसतेमाल हो चुकी हैं. यह तीसरी है.	వాటిలో రెండింటిని వాడాం. ఇది మూడవ పరయటన.
-फलिन ने तुमहें दिया? -मेकन और एडवरड ने.	-దానని ఫలిన ఇచచిందా? -మేకన, ఎడవరడలు.
तुमहारी घडी कया समय दिखाती है?	మీ గడియారంలో సమయం ఎంత ఉంది?
कोरबेल पिकेट नाम के आदमी से तुमहारा कया संबंध है?	కారబెల పికెట అనే మనిషితో నీకునన సంబంధం ఏంటి?
तो, उस डिपॉजिट के बारे में सोच रही हूँ.	నేను ఆ డిపాజిట గురించి ఆలోచిసతుననా.
शायद हमारी हैसियत कुछ जयादा ही ऊँची थी.	నీ జనమసథలానికి చెందిన పరతయేకతల వలల.
कई दिनों तक बिना पौषटिक सनान के रखे गए.	పోషక సనానం లేకుండా అలాగే వదిలేశారు.
एलीटा भी वहीं काम करती है.	ఎలీటా పని చేసే చోటు కూడా అదే.
तो शायद तुमहें खुद से पूछना होगा, किसके परति वफादार?	కాబటటి నినను నువవు పరశనించుకోవాలి, దేనికి విధేయుడిని? అని.
मैं घर जा सकती हूँ, कानसटेबल?	ఇంటికి వెళళనా, కానిసటేబుల?
थोडा ठीक करना बाकी है, पर उतना बुरा हाल नहीं है.	కాసతంత మెరుగు చేయాలి, కానీ అంత ఘోరంగా లేవు.
और इस बार उसने हिसाब चुकता करने के लिए	వారికి అభిపరాయ బేధాలను హింసాతమకంగా
और ओलड हवाना में मेरा वह नया दोसत?	పాత హవానాలో ఉనన నా కొతత మితరుడి సంగతి?
अभी तक पूछा नहीं.	ఇంకా ఆమెను అడగలేదు.
यह कया हो रहा है?	అకకడ ఏం జరుగుతోంది?
पर तुम इस बार से इंकार नहीं कर सकते कि हमने तुमहें बेहतर से बेहतर जिंदगी दी.	కానీ అనని విషయాలలోనూ నీకు ఉతతమమెనవే ఇచచామనే విషయానని నువవు కాదనలేవు.
उसके चलते हमारे ये दोसत थोडे से उततेजित हो उठे हैं.	మన బుజజి మితరులని అది కాసత అలజడికి గురి చేసిందనుకుంటుననా.
उसके ठिकाने का जो भी पता था, मैंने वह बता दिया.	తన ఆచూకీ గురించి నాకు తెలిసినదంతా చెపపాను.
अभी तक तुमहें माफ नहीं किया.	నేను నిననింకా మననించలేదు.
पर अगर इसका कोई सबक है तो	కానీ ఇందులో ఏదెనా నీతి ఉంటే,
तो, तुम नहीं चाहोगे कि उनके साथ कुछ बुरा हो, है न?	అయితే, వారికి ఏ చెడూ జరగకూడదని నువవు అనుకుంటుననావు, కదా?
हमें मारने के लिए, किसी को पीछे आने में कितना समय लगेगा?	మరొకరు వచచి మమమలని చంపడానికి ఇంకెంత కాలం పడుతుంది?
फिर तो मैं कमजोर नजर आऊँगा, नहीं?	అది ననను బలహీనుడిగా చూపెడుతుంది, కదా?
सब को पता है कि आपको काम रहता है.	మీకు తీరికే ఉండదని మా అందరికీ తెలుసు.
बिना जाने कि उनहें कितना खतरा है.	అవి ఎంత దురబలమెనవి అనన ఎరుకే లేకుండా.
एलीटा की मदद से मेरी दुनिया में चोरी से घुसना?	ఎలీటాను నా పరపంచంలోకి చొరబడటానికి వాడుతూ?
अपने ठिकाने को लेकर एलीटा एक सुराग पीछे छोड गई. एक पहेली.	ఎలీటా తన జాడ గురించి ఓ సంకేతానని వదిలి వెళళింది. అదొక పొడుపు కథ.
द परिफरल	ద పెరిఫరల
आज सुबह हमने इसे खरीद लिया.	ఈ ఉదయం మనం దీనని కొననాం.
धत, यार.	ఛత, బాబు.
मेरी गैरमौजूदगी में, तुमने मुझे किसी बकसे में रखा कया?	నేను ఇకకడ లేనపపుడు ననను పెటటెలో పెటటరని చెపపండి.
ऑकसफोरडशायर में हमारे साथ आकर रहोगी?	మాతో వచచి ఆకసఫరడషెరలో జీవిసతావా?
और हमारी चाय काफी ठंडी हो गई है.	మన టీ రుచీపచీలేని వేడికి ఆరిపోయింది.
उसका नतीजा होगा.	మా రకతం కారుతుంది.
वे ऐसे उडते हैं.	అవి ఎగిరేది అలానే.
और यह परिफरल में रेनी पोरटिस है.	ఇక పెరిఫరలలో ఉనన ఈవిడ రెయినీ పోరటిస.
और, यह फॉरएवर फैब से है.	పెగా, అవి ఫరెవర ఫయాబ నుండి.
एलीटा का?	ఎలీటాదా?
ऐसा लगता है कि एलीटा वेसट गरेस होगारट के साथ सकूल में पढती थी.	చూసతుంటే, ఎలీటా వెసట గరేస హోగారటకు బాలయంలో సకూలు సహచరి.
पहुँचकर आदमी को एहसास होता है कि उसे बदलाव करना होगा.	మనిషికి ఇక మారాలి అని గరహించే పరిసథితి వసతుంది.
पता करो कि मेरियल कौन है, फिर आगे देखो.	మరియెల ఎవరో కనుగొని, అటు నుండి ముందుకెళళండి.
आम तौर पर मुझे पता न होता कि कया कर रहा हूँ.	నేను ఏం చేసతుననానో కూడా నాకే తెలియలేదు.
आपको पता है कि मुझे ऐसा करना पसंद नहीं.	అలా చేయడం నాకు సరిగా అనిపించదని మీకు తెలుసు.
बाकी जिंदगी रेड अनियन सुपरमैकस में,	నీ శేష జీవితానని పరభుతవ జెలులో,
सेंपर का मतलब जानती हो?	నీకు ఎలలపపుడూ అంటే తెలుసా?
तुमहारी पूरी टोली आग के आसपास बैठी रहती है. पर मैं?	ఆ బండి ముందునన నిపపు చుటటూ ఉంటారు. కానీ నాకు?
तकनीकी रूप से, मैं वही हूँ. पर अफसोस तुमहारे सवाल में एक कमी है. . .	సాంకేతికంగా, నేను వసతువునే. కానీ నీ పరశనలో ఒక లోపం ఉంది. . .
और आगे भी यही चाहती हूँ. कयों?	అలాగే ఉంటే మంచిది. ఎందుకు అడిగారు?
वुलफ आ सकता है?	వూలఫ కూడా రావచచా?
कोशिश करके देखिए.	పరయతనించి చూడు.
जो उनकी हैसियत से थोडा बडा है.	అది వాళళ సామరథయానికి మించిన విషయం.
मेरे पापा के गुजरने के बाद रुक गई.	మా నానన మృతి తరవాత ఆగిపోయింది.
तुमहें इस सब से हैरत होती है? उनका मुझे दो लाख देना?	ఇది నీకు ఆశచరయంగా ఉందా? వాళళు నాకు 2 లకషల డాలరలు ఇవవడమనేది?
हम सिरफ एक को गोद लेने की सोच रहे थे.	మేం ఒకకరిని మాతరమే దతతత తీసుకోవాలనుకుననాం.
जानती हूँ. मुझे फेडेलिस का मतलब भी पता है.	తెలుసు. నాకు విధేయత అంటే కూడా తెలుసు.
अंगरेज डॉकटर. हैजा फैलने का कारण ढूँढा था.	ఇంగలీషు వెదయుడు. కలరా వయాపతి ఆవిషకరత.
पर उसके लिए मुझे उनहें कुछ हद तक यकीन दिलाना होगा.	దానని సగమెనా ఒపపించగలిగే మారగం నాకు కనపడితే.
बरटन, तुम बेरहमी से कोरबेल पिकेट को नहीं मार सकते.	బరటన, నువవు కారబెల పికెటను నిరదయగా చంపకూడదు.
द परिफरल में आगे देखिए	ద పెరిఫరల రాబోయే ఎపిసోడలో
कयों न थोडा पैदल चलें? देखते हैं अगर कुछ नजर आ जाए.	అయితే మనం కాసేపు నడుదదామా? ఏదెనా గురతుకు వసతుందా అని చూడు.
और इसमें से कुछ भी लेने का सोचना भी मत, जैसपर बेकर.	ఇందులో ఉననవి తీసుకోవడం గురించి ఆలోచనెనా చేయకు, జాసపర బేకర.
अरे यार, मैं साँस नहीं ले पा रहा!	కానివవు, నాకు శవాస ఆడటం లేదు!
इसलिए हम जो चाहे कर सकते हैं.	కనుక మనకేం కావాలో అది చేసుకోవచచు.
जुड सकते हैं, मेरा सब दिखेगा.	సంధానమెతే, నీ చూపు నాది అవుతుంది.
मैं बुरी बात जानना चाहता हूँ.	బెదిరింపు గురించి కుతూహలంగా ఉంది.
मुझे यह औरत अचछी लगने लगी है.	నాకు ఈమెపె పరేమ భావనలు మొదలయయాయి.
-मजाक था. -बहुत मजेदार भी था.	-తమాషాకు అననాను. -భలే నవవొసతోంది.
-मैं वह कैसे करूँ? -खुद सोचो.	-దానని ఎలా చేయాలి? -నువవే కనుకకో.
या तुम जहाँ से आए थे वह मददेनजर रखते हुए,	లేదా మా పరమాణాలు మరీ ఎకకువ ఉననాయేమో,
वादा करता हूँ, ऐसा कुछ नहीं जो आपके कारोबार में दखल देगा.	మీ వయాపారానని దెబబతీసేది అయితే కాదు, మాటిసతుననాను.
पर मैं तुमहें यकीन दिलाता हूँ, सदमा एक छाप छोडकर जाता है.	కానీ నీకు హామినిసతుననా, వేదన చెదరని మచచలా ఉంటుంది.
द परिफरल पर इससे पहले	ఇంతకు ముందు ద పెరిఫరల లో
पर कम से कम, मेरा पूल साफ रहेगा.	కనీసం కొలను శుభరంగా ఉంటుంది.
तुमने नियोपरिमस के साथ कया किया?	ఆ నియోపరిమసకు నువవు చేసినవి?
रिसरच इंसटीटयूट में सहायक सुरकषा मैनेजर.	రీసరచ ఇనసటిటయూటలో సహాయ భదరతాధికారి.
जैसे कि विलफरेड.	అంటే, విలఫరెడ.
यह दोनों तरफ होता है?	ఇరు వెపులా పని చేసతుందా?
-विलफ नेदरटन. -पुषटि की जाती है.	-విలఫ నెథరటన. -ధృవీకరించాను.
बहादुर.	భయంలేదు.
तुमहें कैसे पता?	నీకెలా తెలుసు?
कयोंकि अंकल को पता है कि तुम कया सोचती हो.	వాటి గురించి నీ భావనలు ఏంటో మా బాబాయికిి తెలుసు.
कोई परेशानी तो नहीं हुई?	ఏదెనా సమసయ తలెతతిందా?
पता नहीं, शायद मुझे. . . राहत सी महसूस होती है.	అవి ననను కాసత శాంతపరచినటటుగా అనిపిసతుంది.
याद रखना कि अगर तुम बिली ऐन को कुछ बताओगी	ఇది గురతుంచుకో, నువవు ఏదెనా బిలలీ యానకు చెబితే,
हैपटिक लगाओ और एक एकीकृत दल तैयार हो गया.	అందులోకి హాపటికస చొపపిసతే, ఐకయ జీవి ఏరపడుతుంది.
मैंने आज सुबह बिली ऐन को बताया.	ఈ ఉదయం బిలలీ యానకు చెపపాను.
मुफत में ठीक करूँगा.	ఉచితంగా బాగు చేయిసతాను.
मुझे तुमसे बात करनी है.	నేను నీతో మాటలాడాలి.
सबसे सुरकषित रासता, पैसे को मना कर दो.	సురకషితమెన మారగం, డబబును వదదనటమే.
तुमहें चोट पहुँचाने का काम सौंपा.	నీకు హాని చేయడానికి పురమాయించి ఉంటారు.
तुमहें बचाया.	నినను రకషించాం.
मेरा मतलब, अभी.	అంటే, వెంటనే.
शुकरिया, जान.	థాంకయూ, బంగారం.
कुछ रात पहले, नौ मिलियन डॉलर का भाव था.	కొనని రాతరుల ముందు ఆ పనికి ధర 90 లకషల డాలరలు.
-मैडम? -पंछी.	-మేడమ? -పకషులు.
मेरे साथ चलो.	ననను అనుసరించు.
-कोई मनपसंद जगह है? -मैडम?	-నీకు ఇషటమెన చోటు ఉందా? -మేడమ?
मैं तुमहें जीवन का एक अहम सबक सिखाऊँगा.	నేను నీకొక విలువెన జీవిత పాఠానని నేరపబోతుననా.
जैसपर, जीवन में मजा लेने के लिए,	నువవు జీవితంలో ఏదీ సాధించలేవు, జాసపర,
शायद. हम सकूल में एकसाथ रहते थे.	అనుకుంటాను. మేం సకూల హాసటలలో సహచరులం.
मतलब, अपने अंदर से.	అంటే, సమూలంగా మారాలని.
जैसपर को वहाँ भेजो,	జాసపరను కూపీ లాగమందాం,
अब कमीने बन रहे हो.	వెధవలా మాటలాడుతుననావు.
उसका इसतेमाल करके तहखाने तक पहुँचे, पकडे गए,	దానని ఆ భూగరభ చోటుకి వెళళడానికి వాడాం,
पता नहीं अगर जानती हो,	నీకిది తెలుసో లేదో,
यह तुमहारी धमकी है?	ఇదే నీ ఉతతమ బెదిరింపా?
उनके बारे में सोचो.	వారి గురించి ఆలోచించు.
अगर तुम जगह की मालकिन हो तो वे तुमहारे मालिक नहीं हो सकते.	ఈ చోటే నీదెతే, వాళళు నీకు యజమానులు కాలేరు, దదదమమా.
पर मेरे दल में एक सारजणट,	కానీ నా దళంలో ఉనన సెనికుడిని,
अगर मुझे या मेरी बहन को कुछ हुआ, और उसमें आपका हाथ हुआ तो,	నాకు, నా సోదరికి ఏదెనా జరిగి, దాని వెనుక నువవుంటే,
जब दुशमन के नेता लोग एकसाथ एक जगह पर इकटठा होने की गलती करते हैं,	శతరువుల నాయకతవం అంతా ఒకే చోట గుమికూడే తపపుని చేసినపపుడు,
छलांग लगाने से पहले, जब शेर झुकता है, तो कया वह कमजोर नजर आता है?	ఎగిరి దూకే ముందు కిందకి నకకే సింహం బలహీనంగా కనిపిసతుందా?
कुछ नहीं. बस अकडन है. पता नहीं.	ఏం కాలేదు. బిగుసుకుపోయింది. తెలియదు.
-एक चाहिए? -नहीं, मैं नहीं. . .	-నీకు ఒకటి కావాలా? -వదదు, నాకు వదదు.
किसी बेवकूफ ने कहा कि तुमहारे पास मेरे लिए काम है.	ఏవడో చెతతగాడు నీ దగగర నాకు ఉదయోగం ఉందననాడు.
मुझसे यह पूछने के बराबर होगा कि पंछी कैसे उडता है.	పకషి ఎలా ఎగురుతుంది అని ననను అడగటం లాంటిదే.
हमें हमारे देश में सुधार लाने में मदद करने को कहा गया है.	దేశ సంసకరణలో భాగం కమమని దేశం మాకు పిలుపునిచచింది.
अंकल कोरबेल?	కారబెల బాబాయి?
यह मेरा पूल है, है न?	ఇది నా కొలను, కదా?
तुमहें सच में यकीन है, है न?	నిజంగా నమముతుననావు, కదా?
या मिलागरोस कोलडायरन ने.	లేక మెలాగరోస కోలడఐరన కొననది.
मैं अभी आया.	ఇపపుడే వసతాను.
पारटी से शुरू करो.	పారటీతో మొదలుపెటటండి.
कुछ भी नहीं.	ఏ సంబంధం లేదు.
मुझे यकीन है, तुमहारे पिता की मौत से पहले.	మీ నాననగారి మరణానికి ముందేనని, కచచితంగా చెపపగలను.
मेरा सौभागय है, मैडम.	సంతోషం నాది, మేడమ.
या मेरे तरीके से करेंगे.	లేదంటే నా వయూహమే చెలలుతుంది.
हम सारे संपरक तोड देंगे.	మేం అనని సంధానాలు తొలగిసతాం.
तुमहें पता है?	నీకు తెలుసా?
मतलब, मैं समझ गया था कि अंदर कया है. शायद. महसूस करके.	అంటే, అందులో ఏముందో చెపపగలను. అనుకుంటుననా. అలా సపరశించడం దవారా.
वापस सवागत है.	మళళీ సవాగతం.
मेरी माँ के दफतर के ऊपर एक तसवीर होती थी. उस पर लिखा था,	మా అమమ బలలపె ఓ చితరం ఉండేది. అందులో ఇలా ఉంటుంది,
तुमहें नहीं लगता कि "बरफ" या "सनो" कोई इंसान हो सकता है,	నువవు అలా అనుకోవడం లేదా, "సనో" ఒక వయకతి కావచచని,
लंदन में. 16 जून, 1858 के दिन.	లండనలో. జూన 16వ తేదీ, 1858 సంవతసరం.
सवा-दो.	2: 15.
जिसके सच होने का मुझे डर भी है. कम से कम, अभी के लिए.	అందులో కాసత నిజం ఉందనుకుంటా, నాకు హాయినిచచేలా. కనీసం, ఇపపటికి.
तो फिर तुमहें पता होगा कि वह हमारे बायोडायवरसिटी विभाग में थी.	అయితే ఆమె మన జీవవెవిధయ శాఖలో పని చేసేదని నీకు తెలుసు.
-पता है कि ये कया हैं? -सुना तो है.	-ఇవేంటో మీకు తెలుసా? -వాటి గురించి విననా.
"हैपटिक बहाव, " उसे यही कहकर पुकारते हैं.	"హాపటికస గాలివాటం భావన" అని అంటారు.
बिली ऐन मेरी इकलौती सहेली है.	నాకునన ఏకెక సనేహితురాలు బిలలీ యాన.
पर बात यह है, कानसटेबल.	కానీ విషయం ఇది, కానిసటేబుల.
जॉन सनो की मौत कहाँ हुई थी?	జాన సనో ఎకకడ మరణించాడు?
तो उसे कया कहोगे?	అయితే దానని ఏమంటారు?
