हाँ.	సరే.
यह विमान 087 है. हमारा एक साथी घायल है.	ఇది విమానం 087. మా విమానంలో కషతగాతరులు ఉననారు.
- यह लो, करॉज. - धनयवाद, नाइफहेड.	- ఇదిగో తీసుకో, కరోజ. - థాంకస, నెఫ హెడ.
बेशक तुम जानना चाहोगे.	నువవు తెలుకోకపోవడం మంచిది.
बॉल टरेट, दल के लिए. सीधे सामने जमीन से हमला हो रहा है.	దిగువ గననర నుండి సిబబందికి సందేశం. శతరు విమానాలు మన ముందే ఉననాయి.
चलो बच निकलने की संभावनाएँ बढाएँ.	మనం ముందుకు సాగే అవకాశాలని పెంచుకుందాం.
हे भगवान, हमने अभी ऊँचाई पर नेतृतव करने वाले विमान और शीज गॉना को खो दिया है.	దేవుడా, మనం ఇపపుడే ఎగువ లీడ ని ఇంకా షీస గోననా విమానానని కోలపోయాం.
इतना दिमाग मत लगाओ, सजजनों.	అనవసరంగా ఆలోచించకండి, జెంటిలమెన.
सॉनडरस मारा गया.	సౌండరస ని కోలపోయాం.
ठीक है. बम बे के दरवाजे खुल रहे हैं.	విననాను. బాంబ బే తలుపులు తెరుచుకోబోతుననాయి.
लिखने के लिए कुछ अचछा सूझा ही नहीं, इसलिए. . .	నీ గురించి మంచిగా ఏం చెపపాలో నాకు తోచలేదు, అందుకని. . .
अब 110वें पीछे हलका दाईं तरफ हैं, बराबरी में आ रहे हैं.	110 విమానాలు కుడి వెపు దిగువన, సథిరంగా ఉననాయి.
तो हम उन आदमियों पर हमला करेंगे जो जरमन रेलमारगों को चालू रखते हैं.	జరమన రెల రోడలని నిరమిసతునన మనుషుల మీద మనం దాడి చేసినటలు.
हम यहाँ बम गिराने आए हैं.	మనం వచచింది బాంబులు వేయడానికి.
यह सुनकर बेहतर महसूस हुआ.	ఆ మాట నాకు మంచిగా అనిపిసతోంది.
धत तेरी की, एक और.	డామిట, ఇంకొకటి.
लॉरो को गोली लगी है. वे विमान से कूद रहे हैं.	శతరు విమానాలు లౌరో మీద దాడి చేశాయి. అది నిషకరమిసతోంది.
हैरी?	హయారీ?
हैरी!	హయారీ!
हद है!	ఘోరం!
लीड नीचे गिर रहा है!	లీడ విమానం నేలకూలుతోంది!
पायलट?	పెలట?
तुमहारा सिर उठा लिया है.	మీ తలని పటటుకుననాము.
- चलो. - हमने इसे उठा लिया है.	- వెళదాం పదండి. - అతనిని తీసుకుననాం.
- इसकी चिंता मत करो. मैं ठीक हूँ. - लेफट गनर, पायलट के लिए.	- ఆందోళనపడకు. నేను బాగానే ఉననాను. - ఎడమ వెపు గననర నుండి పెలట కి సందేశం.
हे भगवान. तुमने आज सुबह कितनी कॉफी पी थी?	దేవుడా. ఈ ఉదయం ఎంత కాఫీ తాగావేంటి?
रिलीज लीवर खींचो! रिलीज लीवर खींचो!	రిలీజ ని లాగు! రిలీజ ని లాగు!
बॉल टरेट, पायलट के लिए, नहीं.	పెలట కి దిగువ గననర సందేశం, నెగెటివ.
जरमनों के लिए उन अंतरालों में हमें ढूँढना काफी आसान होगा.	ఫారమేషన లో చాలా ఖాళీ ఏరపడినందువలల ఆ జరమనలు మనపె తేలికగా దాడి చేయగలరు.
- किसमत से उनके पास एक टरक था. - मुझे विशवास ही नहीं हो रहा है.	- లకకీగా వాళల దగగర టరక ఉంది. - నేను నమమలేకపోతుననాను.
- धत. - मुझे पैराशूट दिख रहे हैं.	- డామిట. - నాకు పారాచూటలు కనిపిసతుననాయి.
चौकनना रहो, लडकों. अभी वे हार नहीं मान रहे हैं.	అపరమతతంగా ఉండండి, కురరాళళూ. వాళలు అపపుడే విరమించేలా లేరు.
किसी को नहीं पता?	ఎవరెనా చూశారా?
हाँ. तुम हमारे बिसतर खाली कर सकते हो.	అవును. మా వసతి గృహాలని మీరు ఖాళీ చేయండి చాలు.
वहाँ ऊपर सथिति काफी खराब थी, सर.	అకకడ నిజంగా పరిసథితి దారుణంగా ఉంది, సర.
- हम काफी मुशकिल से उतर पाए थे. - बिलकुल सही.	- అది చాలా భయంకరమెన బెలలీ లయాండింగ. - నేను ఒపపుకుంటాను.
डॉनलड एल. मिलर की किताब पर आधारित	డొనాలడ ఎల మిలలర నవల ఆధారంగా
अगर गेल कलेवेन जिंदा न लौट सके, तो और कौन लौटेगा?	అలాంటి గేల కలెవెన కే అది సాధయం కాకపోతే, ఇంకెవరివలల అవుతుంది?
एक मिशन की छूट नहीं देनी चाहिए?	ఒకరికయినా మిషన నుండి సెలవు ఇవవాలి కదా?
धत! सटाइमी गिर रहा है.	ఛ! సటయిమీ కూడా కూలిపోతోంది.
और मैं उनमें से एक नहीं था.	కానీ వాళలలో నేను లేను.
हे भगवान, पंख में छेद हो गया है!	చెతత, రెకకకి రంధరం పడింది!
ठीक है, लडकों, मैं जा रहा हूँ.	సరే, కురరాళలూ. నేను లోపలికి వెళతుననా.
कोई पैराशूट दिखे?	పారాచూటలు కనిపించాయా?
उनहें एक रॉकेट लगा. शुरुआत में ही.	వాళలు రాకెట దాడిలో దెబబతిననారు. ముందుగానే.
तीसरे इंजन में आग लगी है!	మూడో ఇంజన కి మంటలు అంటుకుననాయి!
हम गति बरकरार रख रहे हैं.	మనం అదే వేగానని కొనసాగిసతుననాం.
पायलट, दल के लिए. जमीन से हमला रुक गया है. चौकनना रहो.	సిబబందికి పెలెట సందేశం. శతరు విమానాల దాడి ఆగింది. అపరమతతంగా ఉండండి.
और सही समय पर लौटे हो. वे संचालन में कुछ बदलाव ला रहे हैं.	సరెన సమయానికి వచచావు. వాళలు మన కారయకలాపాలని మొతతంగా మారచడం మొదలుపెటటారు.
- बंदूकें तैयार हैं. - सब ठीक है?	- గనస సిదధంగా ఉననాయి. - అంతా బాగానే ఉందా?
मेरी मदद करो! मेरा पैराशूट ले आओ!	నాకు సాయం చేయండి! నాకు పారాచూట అందించండి!
जब आप लोगों पर अतयाचार होते, उनकी आजादी छिनते देखते हैं,	మనుషులని పీడించడం, లోబరచుకోవడం చూసతుననాం. . .
दूसरा इंजन साथ छोड रहा है. विमान खिंचा जा रहा है.	రెండో ఇంజన కరమంగా మొరాయిసతోంది. ఇపపటికే అది పకకకి లాగేసతోంది.
हैलो?	హలో?
महिलाओं और बचचों पर?	ఆడవాళలు ఇంకా పిలలల మీదనా?
या अनय नैविगेटरों को कितनी बारीकी से समझाया,	లేదా నేను మిగతా నావిగేటరలకి ఎంత బాగా వివరాలు అందించినా,
शायद हमारे चारों ओर लडाकू विमान हैं.	బహుశా మన చుటటూ ఫెటర విమానాలు మోహరించి ఉండచచు.
रुको.	ఆగు.
कया?	ఏంటి?
अब मैं कभी उडान नहीं भरूँगा.	నేను విమానంలో వెళలడం ఇదే చివరిసారి.
चारों तरफ से हो रहे हमलों के बीच इतना विनमर बने रहने के लिए	పరతి దశలో తన చుటటూ సొంత బాకాలు ఊదుకుని గొపపలు చెపపుకునే వాళల మధయ ఉంటూ కూడా
पर किसी तरह एव बलेकली हमें इंगलैंड वापस ले आया.	కానీ ఏవ బలేకలీ ఎలాగో అలా మమమలని తిరిగి ఇంగలండ తీసుకువచచాడు.
उनहोंने बताया कि हमें हमारा विमान कब वापस मिलेगा?	ఆ విమానం మనకి తిరిగి ఎపపుడు ఇసతామననారు?
और तब किसी को यह चिटठी नहीं लिखनी पडती.	అలాగే ఈ ఉతతరానని కూడా ఇంకెవరూ రాసి ఉండేవారు కాదు.
आप रेलरोड मारशलिंग यारड पर निशाना साधेंगे और वहीं बम गिराएँगे.	మీరు గురి చూడాలసిన పరదేశం ఇంకా దాడి పరభావం ఉండే పరదేశం రెల రోడ సెనిక సథావరాలు.
- हमें विनयास छोडना होगा. - धत.	- మనం ఫారమేషన నుండి తపపుకోవాలి. - చెతత.
. . . 50 कैलिबर बंदूकें तैयार हैं.	పాయింట 50 కాలిబర గనస సిదధం.
फिर उसने हमें मीलों के दायरे में मौजूद इकलौते पेड से सीधे टककर लगवाई, तो. . .	ఆ తరువాత అతను, విశాలమెన ఖాళీ మెదానంలో ఉనన ఒకే ఒకక చెటటుని ఢీ కొటటేలా మారగం చూపించాడు, కాబటటి. . .
मुझे गोली लगी है! मुझे पैर में गोली लगी है!	నేను గాయపడడాను! నా కాలు దెబబతింది!
सुबह मिलते हैं.	రేపు ఉదయం కలుసతాను.
धत! ईंधन रोको और परॉपेलर की मदद से लहराओ.	ఛ! ఇంధనం సరఫరాని ఆపి విమానానని గాలికి వాలుగా ఉంచండి.
चलो. चलो चलें.	పద. వెళదాం.
तो, फलाइट 40-6-2, वह उसे युदध के दायरे में रखता है.	ఫలయిట 40 6-2, ఇక యుదధ పరిధిలోకి వసతుంది.
किसी भी मिशन का सबसे कठिन हिससा परतयाशा था.	ఏ మిషన లో అయినా కలిషటమెన విషయం ఏమిటంటే ముందుగా ఊహించడం.
साथ ही, वह सबसे बेहतरीन नैविगेटर था जिससे मैं कभी मिला,	అలాగే నేను చూసిన అతయుతతమ నావిగేటర కూడా తనే,
- कोई बात नहीं. - धनयवाद.	- పెదదగా ఏమీ పాడవలేదు. - థాంకయూ.
सटीफन उसकी जगह ले रहा है.	దాని సథానంలోకి సటీఫెన వసతుననాడు.
होमर. करॉसबी को अभी-अभी गरुप नैविगेटर के रूप में पदोननत किया गया है.	హోమర. కరోసబీ ఇపపుడు గరూప నావిగేటర గా పదోననతి పొందాడు.
बढिया है.	మంచిది.
समझ गए?	అరథమెందా?
- तुम ठीक हो, बकी? - हाँ, तुम लोग आगे बढो.	- నువవు బాగానే ఉననావా, బకీ? - బాగుననాను, మీరు వెళలండి.
हे भगवान.	దేవుడా.
हे भगवान.	దేవుడా.
इंसान ऐसा बरताव करने के लिए नहीं बने थे.	మనుషులు ఈ విధంగా పరవరతించకూడదు.
साँस लो. साँस लो, कमबखत!	శవాస తీసుకో. శవాస పీలచు, డామిట!
- टॉप टरेट, पायलट के लिए, नहीं. - लेफट वेसट गनर, पायलट के लिए, नहीं.	- పెలట కి ఎగువ గననర సందేశం, కనిపించడం లేదు. - పెలట కి ఎడమ వెపు గననర సందేశం, కనిపించలేదు.
हाँ, खैर, तुम सलामत लौट आए.	అవును, కానీ, నువవు బతికి బయటపడడావు.
दुशमन के लडाकू विमान, ऊपर हलका बाईं तरफ और हलका दाईं तरफ.	శతరు విమానాలు దిగువన ఎడమ వెపు నుండి ఎగువగా కుడి వెపు వరకూ మోహరించి ఉననాయి.
बम गिराने में लगभग एक मिनट है.	బాంబు విడుదలకు సుమారు నిమిషం సమయం ఉంది.
उसने बताया कि कोई भी नहीं बचा.	ఒకకరు కూడా తిరిగి రాలేకపోయారని చెపపాడు.
तो कुछ करना जरूरी होता है.	మనం ఏదో ఒకటి చేయాలి.
तुमहें शिकायत नहीं करनी चाहिए.	దాని గురించి నువవు ఏడవాలసిన అవసరం లేదు.
तो, अगर उन पर हमला हुआ,	కాబటటి, వాళల మీద దాడి జరిగితే,
शुभकामनाएँ, करॉज.	గుడ లక, కరోజ.
आपको पकका यकीन है कि मैं इस पद के लिए सही आदमी हूँ?	ఈ పదివికి నేను అరహుడినని అనుకుంటుననారా?
तुम गंभीर हो?	నిజంగా అంటుననావా?
सीधे लकषय पर.	సరిగగా లకషయం మీద.
सच कहूँ तो, एकाध बार मुझे भी लगा था कि मैं मारा जाऊँगा.	చూడు, నీకు నిజం చెపపాలంటే, కొననిసారలు నేను కూడా చచచిపోయానేమో అనుకుననాను.
वैसे, नहीं, आज नहीं उडवाऊँगा.	సరే, ఈ రోజు అలా జరగదు, నేను అలా చేయను.
खास साहस की जरूरत होती है, पर करॉज ऐसा ही था.	అంత వినమరంగా ఉండటానికి చాలా ధెరయం కావాలి, అదే కరోజ పరతయేకత.
समय पर तैयार नहीं कर पाएँगे जिनका आपने अनुरोध किया था.	ఇంజినీరింగ విభాగం సిదధం చేసే అవకాశం లేదు.
एकाध मिनट के लिए आग जल रही थी और फिर. . .	ఆ విమానం ఒకటి రెండు నిమిషాలు మంటలలో కాలి ఆ తరువాత. . .
अब हम रोज मिशन पर जाएँगे?	మనం తెలలవారుతూనే బయలుదేరుతుననామా?
लडहम के पास एक आरएएफ मैदान में.	లూధమ శివారలలో ఏదో ఆర. ఎ. ఎఫ. ఎయిర బేస లో.
लकषय शहर के केंदर के ठीक पूरव में है.	మీ లకషయం సిటీ సెంటర కి సరిగగా తూరపు వెపు ఉంటుంది.
खैर, शीज गॉना के लिए मुझे शुभकामनाएँ दो.	సరే, షీస గోననా విమానంలో ననను అదృషటం వరించాలని కోరుకో.
जिनमें से कुछ दो दिन पहले हमारे थे भी नहीं.	వాటిలో కొనని రెండు రోజుల కిందట మనకి అందుబాటులో కూడా లేవు.
बरेमेन मेरे लिए युदध का सबसे कठिन मिशन था.	నా దృషటిలో ఈ యుదధంలో బరెమన ఒకకటే మాకు అతయంత కషటమెన మిషన.
चलो.	పద.
शहर के केंदर के?	సిటీ సెంటరా?
रूर घाटी में औदयोगिक परिवहन भंग करो.	రూహర లోయలో పారిశరామిక రవాణా వయవసథని ధవంసం చేయడం.
तुमने देखा कि वह कथीडरल एमपीआई के कितना करीब है.	దాడి జరిగే పరదేశానికి పరారథనా మందిరం ఎంత దగగరగా ఉందో చూశావు కదా.
और केवल रेलकरमी नहीं होंगे.	కేవలం రెల రోడ కారమికులు మాతరమే కాదు.
वह मेरा सह-पायलट है.	అతను నా కోపెలట.
मैं बम तैयार करूँ?	బాంబులతో సిదధంగా ఉండాలా?
लीड पायलट, दल के लिए, पीछे सब ठीक है? ओवर.	సిబబందికి లీడ పెలెట సందేశం, వెనుక భాగం బాగానే ఉందా? ఓవర.
अभी नहीं.	అపపుడే వదదు.
पहला पूछताछकरता	మొదటి విచారణ అధికారి
हमें एमपीआई पर जानकारी मिल सकती है?	ఎంపిఐ ఫోటోని సంపాదించగలరా?
यह केवल तुमहें ही लगता है.	ఆ అభిపరాయం నీకు ఒకకడికే ఉందనుకుంటా.
सारजेंट, मुझे तुमहारी जरूरत है.	సారజెంట, మీతో పని ఉంది.
पदोननति के लिए बधाइयाँ.	నీకు పరమోషన వచచినందుకు కంగరాటస.
यह बस मैं हूँ, कैनी.	నేను ఒకకడినే ఉననాను, కెననీ.
चिंता मत करो, बरेक अब भी काम कर रहे थे. रनवे पर उतरने तक.	కంగారు లేదు, బరేకస మాతరం పనిచేశాయి. మేము రనవే మీదకి చేరే వరకూ అవి పని చేశాయి.
तुम कहाँ उतरे थे?	మీరు ఎకకడ లయాండ అయయారు?
या उनके घरों में.	లేదా వాళల ఇళలలో ఉంటారు.
नैविगेटर, पायलट के लिए, हम आईपी के ऊपर हैं. 057 डिगरी मोडो.	పెలట కి నావిగేటర సందేశం, మనం పరాథమిక దాడుల పరదేశంపెన ఉననాం. 057 డిగరీలకి మళలండి.
ऑकसीजन ठीक है.	ఆకసిజన బాగానే ఉంది.
जब तक लीड नहीं गिराता है.	లీడ విమానం బాంబులు వేసేవరకూ ఆగాలి.
फोरट के बाएँ पंख में आग लग गई और हमने सारी विदयुत शकति खो दी,	మా విమానం ఎడమ రెకకకి మంటలు అంటుకుననాయి ఇంకా మొతతం విమానంలో విదయుత సరఫరా ఆగిపోయింది,
वे सभी उसका हिससा हैं.	వాళలంతా లకషయంలో భాగంగా ఉంటారు.
पीछे से दो आ रहे हैं, नीचे से, बिलकुल पीछे.	రెండు విమానాలు వెనుక నుండి వసతుననాయి, సరిగగా దిగువన ఉననాయి.
शुकर है.	బతికించావు.
पांचवां भाग	ఐదవ భాగం
डटे रहो, हैमबोन!	కాసేపు ఓరచుకో, హాంబోన!
शीज गॉना तबाह हो गया है!	షీస గోననా విమానం తునాతునకలయయింది!
वह 390वें का है.	అది 390వ బృందం విమానం.
अपना मैगजीन फीडर साफ रखना. बस डिपरेस पर कलिक करना.	నీ బులెటస మయాగజీన ని, ఫీడర నీ సిదధంగా ఉంచు. డీపరెస ని కరిస చేయి చాలు.
सीधे निशाने पर. यह आदमी बेहद परतिभाशाली है. उसने पूरवी एंगलिया में मौजूद इकलौते पेड में	సరెన గురి. ఈ కురరాడు పరతిభావంతుడు. ఈసట ఆంగలియాలో ఒకే ఒకక చెటటు,
रॉकेट, हलका दाईं तरफ!	రాకెటలు, కుడివెపు ఎగువ నుండి!
माफ कीजिए, सर, पर इंजीनियरिंग दल उन दो विमानों को	సారీ, సర, కానీ, మీరు అడిగిన ఆ రెండు విమానాలనీ మీరు బయలుదేరే సమయానికి
नहीं. मैं ठीक हूँ.	వదదు. నేను ఇలాగే వెళతాను.
बेहतर होगा कि अभी यह करें, इससे पहले कि हमारे सभी साथी	మనతో పాటు కలిసి ఉనన పరతి ఒకకరూ చనిపోవడమో లేక కనిపించకుండా పోవడమో జరిగే లోగా
हाँ, हाँ. बंदूकें तैयार हैं.	ఉంది, విననాను. గనస అననీ సిదధంగా ఉననాయి.
ठीक है.	కాపీ.
पायलट, दल के लिए. सभी डटे रहो.	సిబబందికి పెలట సందేశం. అందరూ, వేచి ఉండండి.
जी, सर. वे. . .	అవును, సర. వాళలు. . .
मैं अब भी यहीं हूँ, कमीनों!	నేను ఇంకా ఇకకడే ఉననాను, చెతతవెధవలలారా!
दुशमन, ऊपर, बायीं तरफ!	శతరు విమానాలు, సరిగగా ఎడమ వెపు!
टेल 230047. सवेटर गरल.	టెయిల 230047. సవెటర గరల విమానం.
बम गिरा दिए.	అవిగో పడుతుననాయి.
कया, गरुप नैविगेटर?	ఏంటి, గరూప నావిగేటర విషయమా?
हम लकषय के ऊपर हैं.	మనం లకషయం మీదుగా వెళతుననాం.
काफी खून बह रहा है, पर शायद वह ठीक है.	చాలా రకతం కారుతోంది, కానీ అతను బాగానే ఉననాడు అనుకుంటా.
आज तुम उडान भरोगे या नहीं?	ఈ రోజు నువవు విమానంలో వసతుననావా లేదా?
वे हमारी तरफ ही आ रहे हैं.	వాళలు నేరుగా మన మీదకే దూసుకొసతుననారు.
ठीक है.	సరే, బాబూ.
- इसे भर दोगे, माइक? - जरूर.	- ఈ బాటిల ని నింపుతావా, మెక? - తపపకుండా.
उनहें गिराओ, और चलो यहाँ से निकलें.	ఆ బాంబులు వేయాలి, తరువాత, మనం ఇకకడ నుండి బయటపడాలి.
अब मैं कभी उडान नहीं भरूँगा.	నేను విమానంలో మళలీ వెళలడం ఇదే చివరిసారి.
किसी को पैराशूट दिखे?	ఎవరెనా ఏమెనా పారాచూటలు చూశారా?
नैविगेटर, कमांड पायलट के लिए, आईपी तीन मिनट की दूरी पर है.	కమాండ పెలెట కి నావిగేటర సందేశం, తొలిగా దాడులు చేసే పరదేశం మూడు నిమిషాల దూరంలో ఉంది.
हे भगवान, मुझे लगा था कि वह कभी जाएगा ही नहीं.	దేవుడా, అతను వెళతాడని అనుకోలేదు.
ए, मेरी मदद करो!	హేయ, నాకు ఒక సాయం చేయి!
किसी के पास भी नहीं है?	ఎవరెనా చెబుతారా?
किसी के पास भी नहीं है?	ఎవరెనా చెబుతారా?
एक ही दोपहर में 120 सैनिक मारे गए.	ఒకక రోజు మధయాహనంలోగా 120 మంది సెనికులు చనిపోయారు.
उस कथीडरल में कई लोग होंगे.	ఆ పరారథనా మందిరంలో చాలామంది జనం ఉంటారు.
अभी नहीं.	ఇంకా తెలియదు.
अपना सामान उठाओ और चलो, सजजनों.	మీ సామానలు తీసుకుని బయటకి వెళళండి, జెంటిలమెన.
कि तुम नोज में जाकर वह तीसरी बंदूक संभालो, समझे?	మూడో గన ని అందుకోవడం మేలు, సరేనా?
लीड पायलट, नोज के लिए.	ముందు భాగానికి లీడ పెలెట సందేశం.
मैंने जमीन से होने वाले इतने घमासान हमले का सामना कभी नहीं किया था.	అంత భారీగా శతరు విమానాలని నేను ఎపపుడూ చూడలేదు.
बुरी खबर यह है कि हम केवल 17 विमान ही जुटा सके	చెడు వారత ఏమింటే మనం కేవలం పదిహేడు విమానాలని మాతరమే సమీకరించగలిగాం,
आने वाले विमान, सटेशन 139. जवाब दो.	మా వెపు వసతునన విమానం, ఇది సటేషన 139. నిరధారించండి.
ठीक है. तुमसे बाद में मिलूँगा, जॉन!	సరే, మళలీ కలుసతాను, జాన!
अरे, डगी. . .	ఇలా చూడు, డాగీ. . .
लाइटें. करनल?	లెటస వేసతారా, కలనల?
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
कोई रिकॉरड नहीं है.	రికారడు లేదు.
हाँ, मुशकिल से.	అవును, కాసత అటూ ఇటూగా.
एक और आ रहा है.	అదిగో ఇంకొకటి వసతోంది.
ठीक है, वह ठीक है. उसे ले जाओ.	సరే, అతను బాగానే ఉననాడు. తనని తీసుకువెళలండి.
आप ठीक हैं, मेजर?	మీరు బాగానే ఉననారా, మేజర?
और मेरा लॉकर कहाँ है, हँ?	నా లాకర ఎకకడ, హా?
- ए, करॉज. - हाँ.	- హేయ, కరోజ. - ఒకటి ఉంది.
यह घडी की तरह है.	అది గడియారం ములలు మాదిరి.
टेल 234423. शीज गॉना.	టెయిల 234423. షీస గోననా విమానం.
तुम सटेशन 139 पर उतरे हो.	మీరు సటేషన 139 సథావరంలో లయాండ అయయారు.
- टककर मारी. - इतना बडा मैदान था. . .	- దానని ఢీ కొటటించాడు. - ఎపపుడూ చూడనంత పెదద మెదానం. . .
टेल 230023. फॉरएवर योरस. सटॉरक का दल.	టెయిల 230023. ఫరెవర యువరస విమానం. సటోరక సిబబంది ఉననారు.
तुम समझ सकते हो कि मैं कयों जलदी लौट आया.	నేను ఇంత తవరగా ఎందుకు వచచానని మీరు ఎనని లెకకలయినా వేసుకోవచచు.
लीड पायलट, टेल के लिए, 390वें कितने पीछे हैं?	వెనుక భాగానికి లీడ పెలెట సందేశం, 390వ బృందం ఎంత దూరం వెనుకబడి ఉంది?
एक जरूरी बात. दरअसल, मुझे समझ नहीं आया कि कया. . .	ఒక ముఖయమెన విషయం. నిజానికి, ఏం జరుగుతోందో నేను అరథం చేసుకోలేకపోతుననాను. . .
अपनी भेड की चमडी से बनी जैकेट दे दी, मेजर?	మీ జాకెట మారచుకుననారా, మేజర?
धत.	ఛ.
हाँ.	అవును.
साँस लो.	శవాస తీసుకో.
गोली चलाओ, उनका खातमा करो!	కాలపులు పరారంభించండి, వాళల అంతు చూడండి!
धत!	ఛ!
डबलासियो को गोली लगी है.	వెనుక భాగం గననర డిబలాసియో గాయపడడాడు.
- छह बजे? - सही कहा.	- ఆరు గంటలా? - సరిగగా చెపపావు.
ठीक है, चलो.	సరే, వెళదాం పదండి.
पूछताछ के बाद.	విచారణ అయయాక చెబుతాం.
बाद में, कैनी.	తరువాత చెబుతా, కెననీ.
फरक नहीं पडता कि मैंने कितनी अचछी तरह से रासते अंकित किए	నేను రూటలని ఎంత బాగా పలాన చేసినా కూడా
- अभी. - बम गिरा दिए.	- ఇపపుడు. - బాంబులు విడుదలయయాయి.
वे आ रहे हैं, बिली.	అదిగో వాళలు వసతుననారు, బిలలీ.
तो यह रहा तुमहारा ऑफिस.	ఇక ఇది మీ ఆఫీస.
यह कल फरैंमलिंगम से आया.	ఇది ఫరామలింగహామ నుంచి నినననే వచచింది.
- कितने छेद थे, 1, 200? - 1, 200.	- అవి ఎనని రంథరాలు, పననెండు వందలా? - పననెండు వందలు.
वे जिस विमान में हमें भेज रहे हैं, उसका नाम कया है?	మనలని ఎకకిసతునన విమానం పేరు ఏంటి?
हम ठीक हैं!	మనం బాగానే ఉననాం!
धत तेरी की!	నాకు మండిపోతోంది!
उनके पास और कौन हैं?	వాళలకి మనం తపప ఇంక ఎవరు ఉననారు?
एक कपडा ले आओगे?	తుడిచే గుడడ ఒకటి తెసతావా?
मुझे सुन रहे हो?	నా మాట మీకు వినిపిసతోందా?
आगे बढो, करॉज.	జాగరతతగా చూసుకో, కరోజ.
हम विमान छोड रहे हैं! बम गिरा दो!	మనం ఫారమేషన నుండి తపపుకుంటుననాం! బాంబులని ఇక వదలండి!
. . . तुमहारे लॉकर में ऐसा कया है जिसकी तुमहें इतनी चिंता हो रही है?	నువవు అంతగా ఆందోళన పడేంతగా లాకర లో ఏం ఉంది?
इसे सीधा रखना कठिन होगा.	విమానానని సథిరంగా ఉంచడం కషటం అవుతోంది.
बढिया निशाना लगाया, मिलबरन.	మంచి షాట, మిలబరన.
- नोज, नहीं. - टेल, पायलट के लिए, नहीं.	- ముందు భాగం, నెగెటివ. - పెలట కి వెనుక భాగం గననర, కనిపించలేదు.
टेल, बॉल टरेट, कोई पैराशूट दिखे?	వెనుక భాగం, దిగువ గననర, ఏమెనా పారాచూటలు కనిపించాయా?
ए, ए! टरक रोको!	హేయ, హేయ! టరకకుని ఆపండి!
हमला हो रहा है.	శతరు విమానాలు వసతుననాయి.
चार लौट गए, मेजर, और अब हमारे पास 13 विमान हैं.	నాలుగు విమానాలు విరమించుకుననాయి, మేజర, దానితో ఇపపుడు మన విమానాల సంఖయ పదమూడే.
- बाकियों का कया? - बस जाओ.	- మిగతా విమానాల సంగతి ఏంటి? - ముందు వెళలండి.
वे कूद गए! वे सभी कूद गए!	అదిగో చూడు దూకేశారు! వాళలంతా వెళలిపోయారు!
हमला धीमा हो रहा है, लडकों. चौकनना रहो.	శతరు విమానాలు నిదానిసతుననాయి, కురరాళలూ. జాగరతతగా గమనిసతూ ఉండండి.
हैरी, मर मत जाना.	హయారీ, నా చేతులలో చనిపోవదదు.
शीज गॉना?	షీస గోననా ఏంటి?
धत!	చెతత!
हमला करो!	కాలపులు జరపండి!
बम गिराओ!	బాంబులు వేయండి!
मैं वापस बेस लौटना चाहूँगा.	నాకు తిరిగి వెమానిక సథావరానికి వెళలాలని ఉంది.
लडाकू विमान, पीछे हलका दाईं तरफ, ऊँचाई पर.	శతరు విమానాలు, కుడి వెపు.
अब गयारह बचे हैं.	మన సంఖయ పదకొండుకి పడిపోయింది.
रनवे पर आ रहे 390वें का विमान, यह टावर है.	390వ బృందం విమానం అపరోచ టరాక వెపు వసతోంది, మేము టవర నుండి మాటలాడుతుననాం.
घर जाओ, लडकों.	ఇళలకి వెళలండి, కురరాళలూ.
वह दूरी कम करना असंभव है.	ఖాళీని మనం భరతీ చేసే అవకాశం కనిపించడం లేదు.
फीडर साफ है. बाकी बलकहेड में हैं.	ఫీడర కలియర గా ఉంది. మిగతా అంతా బలక హెడ లోకి ఎకకించి ఉంది.
कया हुआ था?	అయితే, ఏం జరిగింది?
इसलिए, इस मिशन में सटीकता सरवोपरि है.	కాబటటి, ఈ మిషన లో లకషయానని ఖచచితంగా గురి చూసి కొటటడం చాలా ముఖయం.
और मैं और डगलस बाल-बाल बचे.	ఆ పరమాదంలో నేను ఇంకా డగలస దాదాపు చనిపోయేవాళలమే.
ठीक है.	సరే.
अभी?	ఇపపుడు?
अभी.	ఇపపుడు.
ए, जॉनी, शायद समय हो गया है	హేయ, జానీ, బహుశా నువవు ముందు భాగంలో కిందికి దిగి
केवल 17 विमान?	కేవలం పదిహేడు విమానాలేనా?
तुम ठीक हो?	నువవు బాగానే ఉననావా?
राइट वेसट गनर, नहीं.	మధయ భాగం కుడి వెపు గననర, కనిపించలేదు.
जी, सर.	అరథమెంది, సర.
पाँच मील पीछे होंगे, सर.	సుమారు ఎనిమిది కిలోమీటరలు వెనుకబడి ఉండచచు, సర.
तुरंत बम गिराओ!	ఆ బాంబులని ఇంక విడుదల చేయండి!
उनहें सबक सिखाओ!	ఆ చెతతవెధవలకి తగిన బుదధి చెపపు!
ईंधन बंद करके लहरा रहा हूँ.	గయాస సరఫరా ఆపేసతుననాం, ఇంకా గాలికి వాలుగా పెడుతుననాం.
तो?	అయితే?
