माघरा!	మాగరా!
"मानव अनुभव में सबसे असथिर धवनि खामोशी है. . .	పరకృతి రోదిసతూ బరతిమాలు తరుణంలో మానవునికి ఎదురవవు
शायद तुम मेरे लिए उनमें से कुछ की पुषटि या खंडन कर सकती हो.	బహుశా వాటిలో కొననింటిని నువవు రూఢీ చేయవచచు, లేదా తిరసకరించవచచు.
घंटी बज तो हमें जवाब देना होगा.	గంట మరోగితే, మేము సపందించాలి.
और अब यह बाकी की आठ उँगलियाँ काटने के बाद. . .	ఇక మిగిలునన ఎనిమిది వేళళతో మొదలుపెడదాం. . .
घंटी बजी तो तुमहें इसके लिए कषट झेलना होगा.	గంట మరోగితే, నువవు దానికి మూలయానని చెలలించాలి.
जिसने तुमहारा दिल तोडा और फिर तुमहें छोड दिया.	అదే నీ మనసును విరిచేసి, నినను వదిలేసినవాడు.
रेशम शरमिकों की पंकतियों के बीच गशत लगाते हुए.	పటటు కారమికుల వరుసల మధయ పహారా కాసతూ ఉననారు.
मैंने तुमसे तुमहारी आँखें माँगी थीं, चुडैल, तुमहारी राय नहीं.	నీ కళళ సాయమే అడిగాను, మాంతరికుడా, నీ అభిపరాయానని అడగలేదు.
वह मेरे साथ है.	అతను నా మనిషి.
कया वह उललू है?	అది గుడలగూబనా?
और इसके साथ सचचे विधरमियों को भी खतम कर दिया.	దానితో పాటు అసలెన పాపులను తీసుకెళలిపోయారు.
कयोंकि मैं तुमहारा पिता हूँ.	ఎందుకంటే నేను మీ తండరిని కనుక.
वे हमेशा तुमहारे सोचने से अधिक जानते हैं.	నువవు అనుకుననదాని కననా ఎకకువే తెలుసు వాళళకి.
मैं खामोशी में आगे बढ सकती हूँ. तुम नहीं.	శబదం చేయకుండా నేను వెళళగలను. నువవు వెళళలేవు.
वे दोनों बिलकुल एक जैसे थे.	వారిదదరూ సరిగగా ఒకేలా ఉంటారు.
तुमहारे पास उन पर हावी होने के लिए परयापत सैनिक हैं, है न?	వారిని ఓడించడానికి చాలినంత మనుషులు మీ దగగర ఉననారు కదా?
अपनी माँ को हमेशा याद रखना.	మీ అమమని ఎపపటికీ మరిచిపోవదదు.
वह यहाँ से तवरित गति से कुछ ही दिन दूर हैं.	వేగంగా వెళతే, కొనని రోజులలో వెళలిపోవచచు.
बहुत दिन हो गए हैं, और मेरे लोगों को उनका कोई संकेत नहीं मिला है.	ఇపపటికి చాలా రోజులు గడిచాయి, కానీ మా వేగువాళళకి వారి జాడ తెలియడం లేదు.
आपको लगता है कि यह सरल है.	అది తేలిక అని అనుకుంటుననావు.
कया हनिवा ने तुमसे बात की?	నీతో హనీవా ఏమెనా మాటలాడిందా?
लैवेंडर की महक खतम हो गई है.	లావెండర వాసన తెలియడం లేదు.
तुम हनिवा हो?	నువవు హనీవానా?
आप जेरलामरेल को बता सकते हो कि उनके बेटा और बेटी कयों इतनी दूर आए	అతని కొడుకూ, కూతురూ ఇంత దూరం వచచింది, తిరిగి వెనకకి వెళలిపోవడానికే అని
-पिताजी. -कोफुन, नहीं. रूको.	-నాననా. -కొఫూన, వదదు. ఆగు.
मुझे वैसा कोई पल नहीं याद जब उनहोंने बिना चेतावनी दिए बात की हो.	మనలని హెచచరించకుండా ఆవిడ ఈ విషయం గురించి మాటలాడినటలు నాకు గురతే లేదు.
इस मौन को खतम करो जबतक तुम यह कर सकती हो.	అవకాశం దొరినపపుడే నిశబదానని చేధించాలి.
इसमें लडके की गलती नहीं है, और तुम उसके बिना आगे नहीं बढ पाओगे.	అందులో అససలు ఆ కురరాడి తపపే లేదు, అతనే లేకుంటే, పురోగతే ఉండేది కాదు.
तुम और मैं एकसाथ, छोटे भाई.	నువవూ నేనూ కలిసి, తమముడూ.
वह पहले ही पहाड के पीछे से गुजर चुका है.	ఎపపుడో పరవతం వెనుకపకకకి వెళలిపోయింది.
मैं ही कयों?	నేనే ఎందుకని?
लेकिन एक पिता को भी पता होना चाहिए कब उसे उसके बचचों को जाने देना चाहिए	కానీ తమ సవంత మారగానని అనుసరించడానికి వీలుగా, తన పిలలలని ఎపపుడు వదిలేయాలో కూడా
एक यहाँ, परवेश दवार पर.	పరవేశదవారం వదద ఒకరుననారు.
मैं आभारी हूँ कि उसने दो छायाओं को पकडवाने में सहायता की.	ఇదదరు ఛాయలను పటటుకోవడంలో అతను చేసిన సహాయానికి నేను కృతజఞుడిని.
यदि तुमहें लगता है कयोंकि तुमहारे पास दृषटि है उससे हम समान हो गए हैं. . .	నీకు కంటి చూపు ఉంది కనుక, మనమిదదరం సమఉజజీలని నువవు భావిసతూ ఉంటే. . .
हमें अपनी बातचीत जारी रखें, कयों?	తిరిగి మనం మన సంభాషణని కొనసాగిదదామా?
मुझे नहीं पता कि रानी दिखती कैसी है.	మహారాణి ఎలాగుంటుందో నాకు తెలియదు.
कोफुन, आकाश में भगवान जवाला कहाँ है?	కొఫూన, దెవ జవాల అకాశంలో ఎకకడుంది?
तुम बैठी रही और तुम तब तक रुकी रही जब तक मैं ढंग से साँस नहीं ले पाया.	నేను మళలీ ఊపిరి తీసుకునేంత వరకూ నువవు కూరచోని అలానే వేచి చూశావు.
अचानक से, मैं अपनी माँ के लिए फिर से शोक मना रही होती थी.	ఉననటటుండి, మా అమమ గురతొచచి మళలీ ఏడుసతూ కూరచొనేదానని.
उनहें हमारा पता चलने तक कोई पहरेदार नहीं बचना चाहिए.	కాపలాదారులకి మనం ఇకకడ ఉననామని తెలియకముందే వారిని లేపేయడం.
कितनी जलदी अंधेरा होगा और तुम पूरी तरह से बेकार हो जाओगी.	అని అంచనా వేసతుననాను అంతే, అపపుడు మీ వలల లాభం ఉండదు.
मेरे पास एकमातर घर वह बचचे हैं.	నాకు ఉనన ఏకెక నివాసమంటే, ఆ పిలలలే.
लेकिन मैं उसे वह दूरी दूँगा जो उसे चाहिए.	కానీ తనకు కావలసిన ఏకాంతానని తనకి నేను ఇసతాను.
तो तुम अपने कुछ आदमियों को यहीं रहने दो. मैं खोज जारी रखूँगी.	అయితే నీ వాళళని కొంతమందిని వదిలి వెళళు. అనవేషణని నేను కొనసాగిసతాను.
तुमहें लगता है कि मैं बिना योजना के उसे बताऊँगी कि मैं कौन हूँ? हँ?	ఒక పథకమంటూ లేకుండా ఆమెకి నేనెవరో ఊరికే చెపపేసతాననుకుననావా? ఆ?
इसलिए तुमहें उनसे बात करनी चाहिए.	అందుకే నువవు అతనితో మాటలాడాలి.
इनमें से किसी पर भी तुम विवाद करना चाहो, या शायद शरेय के लिए दावा करो?	వీటిలో ఏవెనా అబదధాలని తిరసకరించేటివి, బహుశా వాసతవాలు అని ఒపపుకొనేటివి ఉననాయా?
केवल मुझे.	కేవలం నననే.
और जहाँ भी मैं उनहें बताऊँगा वे सभी बस वहाँ चले जाएँगे?	అలా చెపపాక, నా మాటని వాళళు వింటారని అనుకుంటుననారా?
मैं चुडैलखोजक हूँ, माघरा, और अभी इस वकत मेरे डेरे में एक बैठा हुआ है!	నేను మాంతరికాంతకుడిని, మాగరా, ఇపపుడు నా గుడారంలో ఒక మాంతరికుడు కూరచొనుననాడు!
लेकिन वह भगवान नहीं है, और न ही तुम हो.	కానీ అతను దేవుడేం కాదు, మీరిదదరూ కూడా కాదు.
जब मैंने पहली बार सुना, तो मुझे विशवास नहीं हुआ, बलकि झूठ लग रहे थे.	నేను మొదటిసారి విననపపుడు, అవి చాలా అతిగా అనిపించాయి, నమమశకయంగా అనిపించలేదు.
तुमहें लगता है किसी ने उसके खिलाफ जाने का परयास किया?	ఎవరెనా తన మీద తిరుగుబాటు చేసే పరయతనం చేసారంటావా?
किसी हानिकारक चीज को रोकने के लिए कितनी कठिन चीजों को करना पडता है.	దాని వలల ఏ హానీ జరగకుండా ఉండేందుకు ఎంతెంత పనులు చేసతారో మీరు తెలుసుకోవాలి.
भूल जाओ मैंने पूछा.	అడిగిననందుకు మననించు.
आप ऐसा कयों करेंगे?	నువవు ఎందుకలా చేశావు?
यह तुमहारे लिए एक गुदगुदी की तरह होगा.	నీకు ఇది చకకిలిగింత లాగా అనిపిసతుంది అంతే.
यह दिन आ गया है, और तुमहें अपने पिता से मिलना चाहिए.	ఈ రోజు రానే వచచింది, ఇక మీరు మీ తండరిని కలవాలి.
कंपनी जाने की तैयारी में है.	దళం బయలుదేరడానికి సిదధంగా ఉంది.
तब तक नहीं जब तक तुमने खबर नहीं सुनी.	కనీసం నేను చెపపే సమాచారం వినేదాకా వెళళకు.
बोलने वाला अगला आदमी मैं होऊंगा, जब मैं तुमहें अंदर बुलाऊंगा.	నేను మిమమలని లోపలికి రమమనేదాకా ఇంకెవవరూ నోరు తెరవకూడదు.
हम यहाँ रात के लिए डेरा डालेंगे. तुमहारे पापा, खोजने के लिए आगे गए हैं.	రాతరికి ఇకకడే ఉంటాం. చుటటుపకకల వేగు చూడటానికని మీ తండరి వెళళాడు.
कया तुमहें माँ मिली?	నీకు అమమ కనబడిందా?
उसे मेरी सुरकषा परापत है. और मैं राजा की बेटी हूँ.	నా రకషణలో ఉననాడు. మరి నేను మహారాజు కుమారతెను.
कया वह हमारे साथ आएगा या नहीं.	అతను మనతో వసతాడా అనన విషయం.
सब ठीक है.	పరవాలేదు.
मेरे आदमी.	నా వాళళు.
लेकिन मुझे यकीन नहीं है कि खतरा कहाँ है.	కానీ, అది సరిగగా ఎకకడో తెలియడం లేదు.
-मैं जाऊँगी. -अरे.	-నేను వెళతాను. -హేయ.
ओह, पापा.	ఓహ, నాననా.
उसके साथ माघरा हमेशा रहेगी.	అతనితో మాగరా ఎలలపపుడూ ఉంటుంది.
केवल कोफुन और हनिवा ही पार कर सकते हैं.	కేవలం కొఫూన, హనీవాలే దాటి వెళళగలరు.
हमने बहुत दूर की यातरा की है और बहुत अधिक किमत चुकाई है, अब वापस नहीं जा सकते.	మనం చాలా దూరం వచచాం, చాలా కోలపోయాం, కాబటటి ఇపపుడు వెనుదిరగడం తగని పని.
मेरे ओहदे के कुछ पुरुष इससे परभावित हो सकते हैं. . .	నా సథాయిలోని కొందరు దీని పరభావానికి లోనయయే అవకాశముంది. . .
मैं रानी इसलिए नहीं बनना चाहती कयोंकि मशीनें काम करती हैं.	యంతరాల పని మీద ఆధారితమెన మహారాణి పదవి నాకు అకకరలేదు.
केवल एक नियम है, और वह यह है.	నిబంధన ఒకటే ఉంది, ఇక అంతే.
-हम एक साथ रहेंगे. -कोफुन.	-మనమంతా కలిసే ఉండాలి. -కొఫూన.
राजय का भविषय दांव पर है.	రాజయ భవిషయతతు పరమాదంలో ఉంది.
हम एक और रासता खोज लेंगे.	చుటటూ మరో దారి గుండా వెళదాం.
मुझे युदध और मारने का तुम से बहुत जयादा अनुभव है.	చంపడంలో నాకు ఎంత అనుభవం ఉందో నువవసలు ఊహించను కూడా లేవు.
हाँ. और वे अपनी उपसथिति बताने के लिए अपने डंडे से आवाज करते हैं.	అవును. వారి ఉనికికి సూచికగా తమ దుడడు కరరలను తడుతూ ఉంటారు.
हम पैर की उँगलियाँ काटेंगे.	కాలి వేళళతో మొదలుపెడదాం.
मुझे पता है जहाँ रानी को रखा गया है.	మహారాణి ఎకకడుందో నాకు తెలిసింది.
मैं दूसरों को बताता हूँ.	వెళలి ఇతరులకు చెపపి వసతాను.
यह मानव है, है ना?	అది మనిషిదే కదా?
कुछ सही नहीं लगता.	ఏదో తేడాగా ఉంది.
तुमने उनहें अकेले भेज दिया.	వారిని ఒంటరిగా పంపేశావు.
हम इतनी दूर इस तरह की चीजों से वापस घूम जाने के लिए नहीं आए थे.	కేవలం ఇలాంటిది ఒకటి ఎదురెంది కదా అని వెనుదిరగడానికి మనమింత దూరం రాలేదు.
और मेरे आदमियों को बताऊंगा कि आपके वंश को बचाने के लिए उनके सभी परिवार मारे गए,	మీ వంశానని కాపాడుకోవడానికి, వాళళ కుటుంబాలను చంపేశారని చెపతాననుకుననారా,
तुम जेरलामरेल को बता दो कि हम यहाँ हैं. वह समझ जाएँगे.	మేమికకడికి వచచామని జెరలామరెల కి చెపపు. అతను అరథం చేసుకుంటాడు.
-बूटस! -इस दरवाजे को खोलो!	-బూటస! -ఈ తలుపు తెరువు!
कयोंकि उनहोंने तुमहें परयापत रूप से तृपत नहीं किया.	యువ చెలికతతెల నాలుకలను వండి పెటటావని విననాను.
-गुफा में. . . -मैं समझती हूँ.	-గుహలో. . . -నేను అరథం చేసుకోగలను.
पैरिस, यह कया है?	పయారిస, ఏమెంది?
मैंने यही देखा.	నేను చూసింది అదే.
और मेरे हिसाब से मैंने वह वादा पूरा किया है.	నాకు తెలిసినంతవరకూ, నా మాటని నేను నిలబెటటుకుననాను.
आपके लिए सूरय कयों मायने रखता है?	సూరయుడికీ దీనికీ సంబంధమేమిటి?
हर बचचा आखिरकार एक पुल पर आता है जिसे उसे अकेले पार करना होता है.	ఏదోక రోజు పరతీ పిలలాడి జీవితంలోకి ఒక వంతెన వసతుంది, దానని అతనొకకడే దాటాలి.
ताकि जितना हम उसे जानते हैं उसे नजरअंदाज कर सकें, ठीक है?	అతని గురించి మనకి తెలిసినదానని పకకన పెడదాం, సరేనా?
एक नौकरानी और एक डराइवर के साथ सडक के किनारे पर पहुँच गई?	కేవలం తన చెలికతతె మరియు ఒక డరెవర తో రోడడు మీదకి అసలు ఎలా వచచింది?
उसे हम सभी की जरूरत नहीं है.	తనకి మనమంతా ఉండవలసిన అవసరం లేదు.
बो लायन.	బో లయన.
बिना देवताओं के! कया तुम समझ गए?	ఏ దేవుళళూ లేకుండా! అరథమెందా?
ओह, मेरे बचचे.	ఓహ, నా పిలలలారా.
मैं चाहता हूँ तुम दोनों वह जानो जिसे जानने के लिए हम निकले थे.	మనం ఏమి తెలుసుకోవడానికి మన పయనం మొదలుపెటటామో అది మీ ఇదదరూ తెలుసుకోవాలి.
वे अपने घरों को, उनके परिवार के पास लौट जाएँगे.	చేరుతారనే హామీతో, మీరు చెపపినదలలా చేశారు.
वे सभी मेरे खिलाफ हो गए थे.	అందరూ నా మీద తిరుగుబాటు చేశారు.
आपको लगता है कि मैं वहाँ जाऊँगा	నేను మా వాళళ దగగరికి వెళలి,
कया हम मिल चुके हैं?	మనం ఇంతకుముందు కలిశామా?
उन तक जिंदा पहुँचने का एकमातर तरीका है	ఆవిడని చేరుకొనే ఏకెక దారి ఏంటంటే,
कैसे एक रानी जो अपना महल कभी नहीं छोडती	ఇదివరకు ఎపపుడూ కోట బయట అడుగుపెటటని ఒక మహారాణి
तुम रुकी रही ताकि मुझे पता चले कि मैं अकेला नहीं था.	నేను ఒంటరిగా లేనని నాకు తెలియడానికి నువవు అలానే వేచి ఉననావు.
तुमहें नहीं जाना चाहिए, माघरा.	నువవు వెళలిపోకూడదు, మాగరా.
मुझे खतरा महसूस हो रहा है.	పరమాదం పొంచి ఉందని తెలుసతోంది.
केवल जेरलामरेल के बचचे ही जञानोदय सभा में परवेश कर सकते हैं.	జఞానోదయ నివాసానికి, కేవలం జెరలామరెల పిలలలే వెళళగలరు.
तुम तैयार हो?	నువవు సిదదమేనా?
और यह उसे डराता है.	దానికి తను భయపడుతోంది.
जब उनहोंने काम करना चुना, तो हम बहुत खुश थे.	అవి పనిచేసినపపుడు, మనలని ఆరాధించేవారు.
मैंने लंबे समय से इस बारे में सोचा है.	నేను దీని గురించి చాలా కాలం పాటు ఆలోచించాను.
मैं कुछ नहीं देख सकती.	నాకేమీ కనబడటం లేదు.
हम नहीं जानते कोई राजय पर शासन कर भी रहा है.	అసలు ఎవరెనా పరిరకషిసతుననారా అనన విషయం కూడా తెలియదు.
तुम उसे बुला सकते हो जो वह है. उसमें कोई शकति या जादू नहीं है.	నువవు ఆవిడకి ఏ పేరెనా పెటటి పిలవచచు. కానీ ఆ పేరుకి ఇకకడ పరాధానయతే ఉండదు.
जब उनहोंने नहीं किया, हम खुश नहीं थे.	అవి పనిచేయనపపుడు, మనలని ఆరాధించేవాళళు కాదు.
कोई हमें यहाँ ढूँढ नहीं पाएगा. यह एक गुफा है, अचछी तरह छुपी हुई.	ఇకకడ మనలని ఎవవరూ కనిపెటటలేరు. ఇదొక గుహ, ఎవవరికీ కనబడదు.
बाहर वे सैनिक. . .	బయట ఉనన సిపాయిలు. . .
पैरिस.	పయారిస.
मुझे नहीं पता.	నాకు తెలీదు.
मैं तुमहारे परिवार की तलाश जारी रखने के लिए एक दल छोड दूँगा.	నీ కుటుంబానని గాలించడానికని ఒక దళానని ఉంచి వెళతాను.
हम कयों रुक रहे हैं?	ఎందుకు ఆగుతుననాం?
हम कयों रुक रहे हैं?	ఎందుకు ఆగుతుననాం?
खून से सनी? कया वह जीवित है?	రకతపుమడుగులోనా? ఆవిడ బరతికే ఉందా?
वगैरह- वगैरह.	ఇంకా, ఇంకా.
वह यहाँ है.	ఆవిడ వచచింది.
अनगिनत लडाइयों से. . .	ఎనలేని యుదధాలు చేసినా. . .
मैं विशवास नहीं कर सकती कि वह वासतव में हमें छोड गए.	అతను మనలని వదిలేశాడంటే నేను నమమలేకపోతుననాను.
मैं एक ऐसी जगह जानता हूँ जहाँ हम छुप सकते हैं. मेरे पीछे आओ.	మనం సురకషితంగా తలదాచుకోగల చోటు నాకు తెలిసింది ఒకటి ఉంది. నా వెంటే రండి.
उसमे मन में कोई बात है. . .	తనేదో అటటిపెటటుకొని ఉంటుంది. . .
बडी डोरियन ने एक बार कहा था. . .	అగరజుడెన డోరియన ఒకానొకసారి అననాడు. . .
जब परकृति रोने के लिए भीख माँगती है. "	అతయంత ఇబబందికర అనుభవం, నిశబదం. "
कुछ के दूसरों से जयादा होते हैं.	కొందరి కననా ఇంకొందరికి ఎకకువగా ఉంటారు.
परवेश करो, और तुमहें आंका जाएगा.	పరవేశించారంటే, గుణగణాలు లెకకించబడతారు.
-धयान से. -बेशक.	-జాగరతత. -తపపకుండా.
जो उनहें बनाए रखा था.	ఆ ఆశే వాళళని నడిపించింది.
अपनी माँ को याद रखना.	మీ అమమని గురతుతెచచుకోండి.
मैं जानना चाहता हूँ मैंने किस लिए अपनी पतनी का बलिदान दिया है.	నా భారయని తయాగం దేని కోసం నేను చేశానో నాకు తెలియాలి.
केवल एक नियम है, और बस बात खतम.	నిబంధన ఒకటే ఉంది, ఇక అంతే.
20 साल तक, उनहोंने आपकी आजञा का पालन आपके इस वादे पर किया कि एक दिन,	ఇరవె ఏళళుగా, ఏదోక రోజున, వారి ఇళళకు, వారి కుటుంబాల చెంతకు
-यह सिरफ इसलिए है. . . -कोई बात नहीं.	-అది ఎందుకంటే. . . -పరవాలేదులే.
दावा किया कि देवता उनकी तरफ थे.	దేవతలు వారి పకకనే ఉననారని పరకటించారు.
इस दरवाजे को खोलो!	ఈ తలుపు తెరువు!
वह तुमहारा बेटा नहीं है.	అతను నీ కొడుకు కాదు.
गलती का इससे कोई लेना-देना नहीं है. मैं बस नजरअंदाज नहीं कर सकता कि वह कौन है.	ఇది తపపొపపుల పరశన కాదు. అతనెవరో తెలిసి కూడా నేను ఊరుకొని ఉండలేను.
तुम पीछे रखे सैनिकों की कमान संभाल रहे हो?	ఇకకడే ఉండే వాళళకి అధిపతివి నువవేనా?
मुझे नहीं पता. . .	అమమ మనసులో. . .
यहाँ किसी की मौत हुई थी.	మరణ వాసన తెలుసతోంది.
शायद नहीं.	కాకపోవచచేమో.
मैं इसे करूँगा. मैं उन सबको मार डालूँगा.	ఆ పని నేను చేయగలను. వాళళందరి పనిని నేను పటటగలను.
देवताओं ने बांध छीन लिया.	దేవుళళు ఆనకటటని తీసేసుకుననారు.
तुम कया कह रही हो? हमें पीछे मुडना होगा.	ఏం మాటలాడుతుననావు నువవు? మనం వెనకకి వెళలిపోవాలి.
मैं तुमसे पयार करता हूँ, बचचे.	నువవంటే నాకు పరాణం, బాబూ.
बढिया.	అంతే.
हनिवा और कोफुन.	హనీవా మరియు కొఫూన.
मैं भी नहीं.	నేను కూడా.
मैंने सुना है तुमने नींद में खरराटे लेने पर परेमियों को मार डाला.	నిదరలో గురకపెడుతుననారని నీ పరేమికులనే చంపావని విననాను.
-हम नहीं जानते कि वासतव में कया हो. . . -माँ को यह नहीं चाहिए था.	-అసలేం జరిగిందో మనకి తెలీదు. . . -అమమకి ఇది ఇషటం లేదు.
मेरा मतलब, ऐसा करने का कोई न कोई तो कारण होगा, हनिवा.	అంటే, దీనికంతటికీ ఒక కారణం ఉండుండాలి, హనీవా.
लेकिन मुझे पता है वह उससे पयार करती थी.	కానీ తను అతడిని పరేమించిందని మాతరం నాకు తెలుసు.
मैं रानी बनना चाहती हूँ कयोंकि मैं हूँ.	నేను మహారాణిని కాబటటి మహారాణిని కావాలనుకుననాను.
वहाँ खून से सनी एक महिला थी, पीछे.	వెనుక పకక, రకతపుమడుగులో ఉనన ఒక మహిళ ఉంది.
-आगे कया है? -यह एक पहाडी दररा है.	-ముందుపకక ఏముంది? -పరవతాల నడుమ దారి ఉంది.
कोफुन, उनहें बताओ कि यहाँ कुछ भी नहीं है.	కొఫూన, ఇకకడేమీ లేదని అతనికి చెపపు.
उनहें जानने की कोई आवशयकता नहीं है.	వారికి తెలియాలసిన అవసరం లేదు.
वरषों तक, हमने अपने नीचे की मशीनों के आधार पर सतता संभाली.	ఎననో ఏళళుగా, మన దిగువన ఉనన యంతరాల పనితీరు మీద ఆధారపడి మన పాలన సాగింది.
माघरा, रानी खतरे में है.	మాగరా, మహారాణి పరమాదంలో ఉంది.
माँ के दिमाग में. . . कया था.	ఏముందో. . . నాకు తెలీదు.
और बाबा वॉस को याद करना, जिसने तुमहें सभी चीजें सिखाई हैं.	ఇంకా మీకననీ నేరపిన, బాబా వాస ని గురతుతెచచుకోండి.
-उसको एक मरहम लगाने वाले की जरूरत है. -नहीं. उसके पास पिताजी और पैरिस हैं.	-ఆమెకి వెదయుల అవసరం ఉంది. -లేదు. తనకి నానన, పయారిస లు ఉననారు.
"हमारे साथ आएगा"?	"మనతో వసతాడా"?
हनिवा, इससे कोई फरक नहीं पडता कि कौन पहले बोलता है.	హనీవా, ముందు ఎవరు మాటలాడారననది ముఖయం కాదు.
ईमानदारी से, मुझे लगता है तुमहें अपनी उममीदों को परबंधित करना चाहिए.	నిజాయితిగా చెపపాలంటే, నీ ఆశలని నువవు అదుపులో ఉంచుకోవాలి.
जैसे कि दृषटि तुमहें गलत होने से बचाती है.	ఏదో చూపు నీకు నికకచచిగా చూపేటటటు చెబుతుననావు నువవు.
बहुत सारे लोग.	చాలా మంది చేశారు.
-तुमने मुझसे वादा किया था! -मैंने खोजने का वादा किया था.	-నువవు నాకు మాటిచచావు! -వెతుకుతానని మాటిచచాను.
तुम पर भरोसा करने का डर. . .	నినను నమమాలంటే భయం. . .
उनहोंने इसे गुससे में नषट कर दिया	కరోధంతో దానని ధవంసం చేసేసి,
आप कया कह रहे हैं?	నువవేం మాటలాడుతుననావు?
तुमहें याद है जब मैं पहली बार तुमहारे पास आया था?	మొటటమొదటిసారి నేను నీ దగగరికి వచచినపపటి సంగతి నీకు గురతుందా?
मैंने तुमसे कहा था कि अगर तुमने मेरी कोई और चीज तोडी,	ఇంకా నా వసతువులను ఏమననా నువవు పగలగొటటావంటే,
मैं इस ओहदे में हूँ और वे नहीं इसका एक कारण है.	నేను ఈ సథాయిలో ఉండటానికి, వాళళు లేకపోవడానికి ఓ కారణం ఉంది.
-मैंने कहा कि हम एक और रासता खोज लेंगे. -यहाँ कुछ नहीं है.	-మరో దారి గుండా వెళదామని అననాను. -ఇకకడేమీ లేదు.
मैं उसके लिए खाना लाई हूँ, जैसे तुमने कहा.	మీరడిగినటటే, ఆవిడకి ఆహారం తెచచాను.
पर वासतव में जिसमें मुझे रुचि है, उसमें एक विशेष परेमी शामिल है. . .	నాకు బాగా ఆసకతికరమెన కథ మాతరం ఒక పరేమికుని గురించి. . .
तुमहें अब पता होना चाहिए कि इस दुनिया में देखा जाना कितना खतरनाक है.	ఈ లోకంలో చూపు ఉండటం ఎంత పరమాదకరమెనదో మీరు తెలుసుకోవాలి.
सैनिकों को तैयार करो. संकेत, कोई शबद नहीं.	సేనాముఖమును ఏరపాటు చేయండి. సంకేతాలే, మాటలు ఉండకూడదు.
आपने इसे नषट कर दिया.	మీరు దానని ధవంసం చేసేశారు.
लेकिन मैं तुम दोनों को देख सकता हूँ.	కానీ నేను మీ ఇదదరినీ చూడగలను.
दिल के ठीक ऊपर एक ताबीज जडा हुआ होता है.	ఓ తాయెతతు హృదయానికి కాసత పెనే జొపపిసతారని విననాను.
चेट-चेट!	పారాహుషార!
उनहें हमारे आने की उममीद नहीं होगी.	వాళళు మన రాకను ఊహిసతూ ఉండరు.
वह कितनी दूर है?	అది ఎంత దూరంలో ఉంది?
मैं रानी के लिए खाना लाई हूँ, जैसे तुमने कहा.	మీరడిగినటటే మహారాణికి ఆహారం తెచచాను.
लेकिन पहले, एक मरहम लगाने वाला आ रही है.	కానీ అంతకు ముందు, ఒక వెదయులు వచచి మిమమలని చూసతారు.
मैंने हमारे वंश को बचाया.	మా వంశానని కాపాడాను.
-यहाँ कोई दूसरा रासता है? -नहीं, मुझे कोई दिखाई नहीं दे रहा.	-ముందుకు వెళళడానికి వేరే దారి ఏమెనా ఉందా? -లేదు, ఉననటటు నాకేమీ కనబడటం లేదు.
हम आपसे फिर मिलेंगे?	మేము మళలీ నినను కలుసతామా?
तुमहें नहीं लगता यह अजीब है कि उनहोंने हमें कभी नहीं बताया वह कारण कया था?	తను ఆ కారణం మనకి ఎపపుడూ చెపపకపోవడం నీకు వింతగా అనిపించలేదా?
और जब वे असफल रहे, मेरे पास एक ही विकलप था:	మరి వాళళు విఫలమయయాక, నా ముందు ఒకే దారి మిగిలి ఉండింది:
हम एक दूसरे को कभी नहीं समझ पाएँगे.	నిజంగా మనం ఒకరికొకరం ఎపపుడూ అరథం చేసుకోలేదు.
मैंने तुमहारी जिद, तुमहारे आतम-विनाश की कहानियाँ सुनी थीं.	నీ మొండితనం గురించి, అలాగే నీ సవీయవినాశక వెఖరి గురించి చాలా కథలు విననాను.
मुझे लगता है कि यह मेरे पिता के लिए अलग नहीं था.	మా నాననకి కూడా అలాగే అనిపించందనుకుంటా.
और अगली केन उततराधिकार तुम हो.	మరి తదుపరి అసలెన కేన వారసురాలివి నీవే.
कया बचचे जानते हैं?	పిలలలకి తెలుసా?
हम करीब रहेंगे.	మనం దగగరగానే ఉంటాం.
मगर, माघरा, अगर तुमहें उस पर भरोसा हो तो बात अलग है.	ఒకవేళ మాగరా, నీకు అతడి మీద నమమకముంటే తపప.
इन पेडों से परे एक पुल है.	వృకషాలు దాటగానే ఒక వంతెన ఉంటుంది.
उललू नहीं है. वह एक आदमी है.	గుడలగూబ కాదు. మనిషిది.
यदि तुम इस दुनिया का निरमाण कर रहे हो. . .	మీరు పరపంచానని నిరమించదలిసతే. . .
ठीक है, जाओ. जाओ, अभी.	సరేమరి, వెళళండి. ఇక వెళళండి.
आपने अभी बताया कि हम पार कर सकते हैं.	మేము వెళళవచచని ఇపపుడే అననావే.
कोई कंजुआ नहीं है.	అసలు కంజువా అనేదే లేదు.
हम अलग-अलग दुनिया में नहीं रहते.	మన పరపంచాలు వేరవేరు కాదు.
मैं जानना चाहता हूँ कि उसने यह कैसे किया.	అతను అదెలా చేశాడో నాకు తెలియాలి.
इस तरह की मार से अतयधिक पीडा पहुँचने पर भी खामोशी.	భరించలేని బాధను కలిగించు సమయమున నిశబదం.
अचानक उनमें दया की भावना आ जाती है, उनका संकलप कमजोर हो जाता है. . .	ఉననటటుండి జాలితో సతమతవవడం, వారి సంకలపం సననగిలలడం. . .
आप जलद ही ठीक हो जाएँगी, और हम कंजुआ लौटेंगे.	మీరు తవరగానే కోలుకుంటారు, తిరిగి మనం కంజువాకి చేరుకుంటాము.
