यह बहुत डरावना है.	ఇది భయంకరంగా ఉంది.
इस बहस को कोई मतलब नहीं बनता.	అసలు వాదించుకోవడానికి కారణమే లేదు.
-यह तो अभी भी आ रहा है. -ओह, नहीं.	-అది ఇంకా వసతోంది. -ఓహ, లేదు.
-और कोई रॉरब नहीं? -ठीक है!	-అలాగే రోరబ కూడా? -సరే!
अरे, वह तो हमारा है.	హేయ. అది మన హోటల.
-और ऊपर धकेलो. -हाँ.	-ఇంకా పెకి. -సరే.
टेबल नंबर 16. हमेशा से काफी जोरदार संकेत थे.	టేబుల 16 వయకతి. మీ మధయ మొదటి నుండి బలమెన ఆకరషణ ఉంది.
देखो. सब लोग, वापस आओ!	చూడండి. అందరూ వెనకకి రండి!
जैसे तुमहारी मैनेजर के साथ मेरा संबंध.	అంటే మీ మేనేజర తో నాకు ఏరపడిన కనెకషన లాంటిది.
हम हमेशा अपना पयार बाँटेंगे	మనం నిరంతరం మన పరేమను పంచుకుంటాం
-अभिवादन. -लगता है हमें यहाँ साथ रहना होगा.	-హలో. -చూసతుంటే మనం ఇకకడ కలిసి ఉండబోతుననాం అనుకుంట.
जैली वाले जानवर?	గమమి బేరలు తింటావా?
और जब ठीक समय होगा, मैं यह बटन दबाऊँगा और टा-डा!	అలాగే సరెన సమయం వచచినపపుడు, నేను ఆ బటన ని నొకకుతాను అంతే!
यह है ऑरब नामक हमारा गरह थोडा सा एक ओर झुका हुआ है	ఇదుగోండి మా పరపంచం ఇది కాసత వంపుగా ఉంటుంది
मैं एक पोसटकारड पर थोडी मिटटी छिडक दूँगी.	నేను ఒక పోసట కారడు మీద కొంచెం మటటి పూసి పంపుతాను.
अह-ओह.	అయయో.
हमने हाल ही में वहाँ अपना अंग हिलाने का कारयकरम किया था. बहुत शानदार था.	మేము మొనననే అకకడ ఒక డానస కారయకరమం పెటటుకుననాం. భలే జరిగింది.
यह बहुत खतरनाक लग रहा है.	ఇది చాలా పరమాదకరం అనిపిసతోంది.
अचछा.	అలాగా.
जानती हूँ.	నాకు తెలుసు.
बेशक आशा है. बस यह समय सही नहीं है.	ఖచచితంగా నిలుసతుంది. కానీ టెమ బాలేదు అంతే.
-हमारे मन के मुखय खयालों की तरह -हमेशा हमारे मन में रहते हैं	-మన మనసులోని హెలెటస లాగ -మన మనససులో ఆ బంధం ఉంటుంది
इसे तुमहारी आदत हो गई है.	దీనికి నువవు అలవాటు అయిపోయావు.
उनके बाद आज रात यहाँ जयादा लोग आ सकते हैं	మన రెసటారెంట కి ఎకకువ మంది కసటమరలు
मेरे साथ एक घिनौना मिशरण बनाना चाहोगे?	నాతో కలిసి ఒక దారుణమెన దరావణానని చేయాలని ఉందా?
हमारी टीम बहुत अचछी है.	మనది అదభుతమెన జటటు.
मैं तुमसे मुख मिलाती अगर तुम. . .	నేను నీకు ముదదు పెటటగలను, అంటే నీకు. . .
पर मैं लंबे अरसे के बाद किसी के साथ हाल ही में अपनी पहली डेट पर गई थी. . .	కానీ నేను చాలా కాలం తరవాత ఇవాళే నా మొదటి డేట మీద వెళలాను. . .
खैर, तुमहारा दिमाग खराब हो गया है.	ఏమో, నీకు మతి పోయినటటు ఉంది.
तुमहें डर लगा?	నీకు భయం వేసిందా?
किसी के पास कोई बेहतर सुझाव?	ఇంతకంటే మంచి ఐడియాలు ఏమెనా ఉననాయా?
फलरट करना बंद करके घोलना शुरू करो.	సరసాలు ఆపి కలపడం మొదలెటటండి.
-मुझे लगता है वह सुन रहा है. -धनयवाद.	-వారికి మీ మాటలు వినిపిసతాయి అనుకుంట. -థాంకస.
हमें बस इतना पता है हम जीवित हैं	మనం పరాణాలతో ఉననామని మాతరమే మనకు తెలుసు
जलदी चलो. देखें यह कया तमाशा हो रहा है.	తవరగా. వాళళ గొడవను వీడియో తియయి.
वे हैं, हमारे दो चाँद.	మా రెండు చందమామలే.
केयरफुल नाओ	కేరఫుల నవ
बाद में मिलते हैं.	మిమమలని మళళీ కలుసతాను.
मुझे पसंद आया. शानदार!	భలే ఐడియా. అదభుతం!
और जयादा दबाव के कारण, धुआँ उसके आसपास से निकल रहा है.	అలాగే ఒతతిడి ఎకకువ కావడం వలల చుటటూ ఉనన కననాల నుండి పొగ వచచేసతోంది.
वह तो एकदम सही जगह लग रही है जहाँ मैं आज रात के जशन के समय फोडने के लिए	వింటుంటే ఇవాళ రాతరి వేడుక కోసం నా బాణాసంచాను సెట చేయడానికి
बहुत अचछा नहीं. मेरी जयादा इचछा शिकषासंसथा जाने की हो रही है	అంత గొపపగా ఏం లేదు. నా మనసు కాలేజీకి వెళళమంటోంది,
तुमहें जवाब मिल जाएगा.	నీ సమాధానం తవరలోనే వసతుంది.
मुझे भी. मैं कुछ तय नहीं कर पा रही.	నేను కూడా. అందుకే నాకేం చేయాలో తెలీడం లేదు.
-कैसा चल रहा है? -और ऊँचा होने की जरूरत है.	-ఎలా సాగుతోంది? -ఇంకా పెకి వెళళాలి.
मैंने उसे खोला नहीं ताकि तुमहारी निजता में दखल न दूँ.	నీకు సంబంధించింది అని నేను దానిని తెరవలేదు.
मैं यहीं से देख सकता हूँ.	నాకు ఇకకడి నుండి కనిపిసతోందిలే.
अब मुझे चेतावनियाँ समझ आ रही हैं.	వాళళు ఎందుకు హెచచరించారో ఇపపుడు అరథమెంది.
और एक घिनौना घालामाला सा सील करने का पदारथ बना लें?	ఒక దారుణమెన సీలెంట దరావణానని తయారు చేసతే?
"हमें आपको बताते हुए खुशी हो रही है कि आपका आवेदन सवीकार कर लिया गया है". . . हे मेरे लॉरब परभु!	"మీకు సీటు ఇవవడం మాకు సంతోషంగా ఉంది అని చెపపాలనుకుంటుననాం". . . ఓరి, నా లారబ!
अरे, कोई कमरा ले लो.	హేయ, ఏదెనా గది తీసుకోండి.
मुझे यकीन है कोई धयान भी नहीं देगा.	ఎవరూ దానిని గమనించకపోవచచులే.
-हे मेरे लॉरब परभु. -कोई लॉरब नहीं?	-ఓహ, లారబ. -లారబ ని చూడలేమా?
चलो कोई योजना बनाएँ.	ఒక పలాను వేదదాం.
यह बहुत पयारा है	ఇది భలే అందమెన విషయం
और ऊँचा.	ఇంకా పెకి.
एक अंतहीन अँधेरा, पूरी तरह अजञात और हम कया हैं,	ఇంతవరకు ఎవరూ అనవేషించని ఒక అంతులేని చీకటి పరపంచం, కానీ ధూళి
तुमहारे मुँह में अभी भी जैली वाले जानवर चिपके हुए हैं.	నీ నోటలో ఇంకా గమమీ బేరలు అలాగే ఇరుకకుననాయి.
अगर मैं अपने खून के पंप यानि दिल से कहूँ तो,	నేను నా మనసులో ఉనన మాటను చెపపాలంటే,
कया तुम कोई निरणय लेने के करीब पहुँचीं?	నువవు ఏమెనా నిరణయం తీసుకుననావా?
और यह जयादा समय के लिए नहीं होगा तो अचछा होगा हम पैरों में नलियाँ डाल लें	అది ఎంతో కాలం ఉండదు కాబటటి ఈ పరపంచానని తిరిగి చూసతే మంచిది
उप-शीरषक अनुवादक: मृणाल	సబ టెటిలస అనువదించింది: జోసెఫ
मुझे इसकी याद आएगी.	నేను దీనిని మిస అవుతాను.
दवि-छाया दिवस का गरहण देखने के लिए सबसे, सबसे अचछी जगह है	మన సిటీలో చూడడానికి అననిటికంటే ఉతతమమెన పరదేశం
ऐसा ही लगता है. तुमसे मिलकर अचछा लगा.	చూసతుంటే అలాగే ఉంది. నినను కలవడం సంతోషంగా ఉంది.
खैर, मुझे यकीन है सब ठीक है.	పోనిలే, ఏమీ కాకపోవచచు.
-हाँ! -ठीक है.	-భలే! -సరే.
मजाक कर रहे हो? मेरी तो इचछा है मैं यहाँ पूरा दिन बिता पाती.	జోక చేసతుననావా? నాకు రోజంతా ఇకకడే గడపాలని ఉంది.
वे सवादिषट होते हैं पर मेरे मुँह के पतथरों से चिपक जाते हैं.	అవి రుచిగానే ఉంటాయి, కానీ నా పళలకు అతుకకుంటాయి.
ठीक है. तो फिर बचा. . .	సరే. అయితే ఇక. . .
ये दोनों चाँद हमारे गरह के साथ एक सीध में आते हैं और एक शानदार गरहण का निरमाण करते हैं.	ఈ రెండు చందమామలు మా గరహంతో సమలేఖనమె ఒక అదభుతమెన గరహణానని సృషటిసతాయి.
"गरहण हर जगह से दिखाई नहीं देगा.	ఆహేం. "ఈ గరహణానని అనని చోటల నుండి చూడలేం.
कया उनहें निभाना संभव है भी?	అసలు వాటిని మెయింటెన చేయడం సాధయమేనా?
-कभी बहुत पीछे नहीं रहते -कभी बहुत पीछे नहीं रहते	-ఏ రోజూ చేరుకోలేని దూరంలో ఉండము -ఏ రోజూ చేరుకోలేని దూరంలో ఉండము
मैं बस उन सभी पलों के बारे में सोच रहा था जब तुमहारा चेहरा मेरे चेहरे के करीब आया है.	నేను ఇపపుడే నీ మొహం నాకు దగగరగా ఉనన సందరభాల గురించి ఆలోచిసతుననాను.
बाकी का छोडना पडेगा कयोंकि एक और दल आ रहा है.	మరొక గరూప ఆడియనస రానుననారు కాబటటి మిగతా విషయానని ఇక చదవను.
मुझे कुछ बेतुका सूझा है.	నాకు ఒక అరథంలేని ఐడియా వచచింది.
तुमसे मिलकर भी अचछा लगा.	నినను కూడా కలవడం సంతోషంగా ఉంది.
फिर से अह-ओह.	మళళీ అయయో.
बहुत दिलेर कोशिश थी पर वह मिशरण सखत हो गया.	చాలా కషటపడి పనిచేశాం, కానీ సీలెంట ఇపపుడు గటటిపడిపోయింది.
अगर दोनों चीजें करने का कोई तरीका होता, तो मैं जरूर कर लेती.	రెండూ నిలుపుకోగల దారి ఉంటే ఖచచితంగా అదే చేసతా.
हाँ. आज सुबह बहुत मजा आया. मुझे तुम अचछे लगते हो.	అవును. ఇవాళ ఉదయం నేను చాలా ఎంజాయ చేశాను. నాకు నువవు చాలా నచచావు.
पतर खोलो! मुझे पढकर सुनाओ!	లెటర తెరువు! నాకు చదివి వినిపించు!
या शायद न मिले. कौन जाने?	లేదా ఉండకపోవచచు. ఎవరికి తెలుసులే?
पर सबसे चमकदार रोशनियाँ सितारे नहीं हैं.	కానీ నిజానికి అననిటికంటే బాగా వెలిగేవి నకషతరాలు కాదు.
नहीं. अगर हम केयरफुल नाओ के एकदम गरम पलासटर जैसे कॉफी पेय को इसतेमाल करके	కాదు. మనం ఒకవేళ వేడి పలాసటర లాంటి కేరఫుల నవ లోని కాఫీని
और मुझे यकीन नहीं हो रहा मुझे सच में दाखिला मिल गया.	నాకు సీటు వచచింది అంటే నమమలేకపోతుననాను.
ताकि वह लॉरब और रॉरब को न ढँक ले.	ఆ పొగ లారబ ఇంకా రోరబ కి అడడు రాకుండా చూడాలి.
तो.	సరే.
हैलो. हमें गरहण के दौरान गाना गाने के लिए कहा गया है	హాయ. మేము ఫెమస కాబటటి గరహణం జరుగుతుండగా
किसी भी घटना का जशन मनाने का सबसे अचछा तरीका है हवा को गंदा करना.	ఏదెనా ఒక వేడుక చేసుకోవాలి అంటే అందుకు ఆకాశంలో కాలుషయానని పెంచే పనిని మించింది ఏదీ లేదు.
कहा जाता है कि इन दोनों चंदरमाओं के एक सीध में आने पर कुछ अपरतयाशित घटनाएँ घट सकती हैं	ఈ రెండు చందమామలు ఒకదాని మీద ఒకటి రావడం వలల అసథిరతవం ఏరపడుతుందని,
अब तुमहें बताने का समय नहीं है कि मैंने तुमसे पहले ही कहा था.	ముందే చెపపాను కదా అని అనడానికి కూడా టెమ లేదు.
वे उनमें आकार भी ढूँढ लेते थे. पिनचो. सकरैची. सविमबू. डूपस.	చివరికి వాటిని అనేక రూపాలలో కనుగొననారు కూడా. గిలలేది. గీకేది. ఈత కొటటేది. కవళలు.
बाकी का मैं खुद पढ देती हूँ.	మిగతా విషయానని నేను చదివి వినిపిసతాను.
तुमने यह बहुत अजीब बात कही और असंभव है.	అది వినడానికి చాలా నిరదిషటంగా, అసాధయమెన విషయంలా ఉంది.
किसी के पास कोई सुझाव है?	ఎవరి దగగరెనా ఏమెనా ఐడియాలు ఉననాయా?
यहाँ केयरफुल नाओ में, एक चौंकाने वाली घटना घटी है.	మేము కేరఫుల నవ వదద ఉననాం, ఇకకడ ఒక షాక కి గురిచేసే పరిసథితి ఎదురెంది.
-पहले से कहीं जयादा पराणी आ सकते हैं. -पठार मिला!	-మోయగలదు అని నిరధారించాను. -పీఠభూమి!
नेथन डबलयू पाइल की पुसतक शृंखला पर आधारित	నేథన డబలయూ పెల రాసిన పుసతక సిరీస ఆధారంగా రూపొందించబడింది
द अनंत सेनसेशंस. कया आप कुछ कहना चाहेंगे?	ఇనఫెనెట సెనసేషనస వారితో ఇకకడ ఉననాను. మీరు ఏమెనా చెపతారా?
तुमहें ये पैरों की नलियाँ धोनी चाहिए.	నువవు ఈ సాకసులు ఉతుకకోవాలి.
सभी बटन.	బటనలు అననీ.
बेशक. जीवन का उदधेशय ही जीवन को उददेशय देना है.	ఖచచితంగా. జీవితానికి ఉనన ఉదదేశమే ఆ జీవితానికి ఒక ఉదదేశానని ఇవవడం.
बाहरी-शूनयता से मुझे डर लगता है.	అంతరికషం అంటే నాకు భయం.
अरे, मुझे अपनी छतरछाया में लेने के लिए धनयवाद.	హేయ, నాకు శికషణ ఇచచినందుకు థాంకస.
जब पराणी आज रात के अंधेरे का मजा ले रहे होंगे, मैं उनहें	ఇవాళ రాతరి చీకటిలో అందరూ ఎంజాయ చేయడానికి
चलो इसे देखते रहते हैं. देखें यह कितना ऊपर तक जाएगा.	ఇది ఇలా ఇంకెంత పెకి వెళుతుందో చూదదాం.
तुमहें दाखिला मिल गया. यह तो बहुत गौरवमय चीज है.	నీకు సీటు వచచింది. ఇది గొపప విషయం.
कोई ऐसा पदारथ सोच सकते हो जो इतनी अजीब जगह को भर सके?	అలాంటి వింత పరదేశంలో కననానని పూరించడానికి ఎవరి దగగరెన ఏమెనా ఐడియాలు ఉననాయా?
यह मैंने किया है.	అది నా తపపే.
कया तुम सच में यह सुझाव दे रही हो?	అది నిజంగానే నీ ఐడియానా?
तुम मेरे बिना ठीक रहोगे?	నేను లేకపోయినా మీరు మేనేజ చేయగలరా?
लेकिन मैं तुमहें कुछ समय बाद वहाँ मिलती हूँ.	కానీ నినను నేను తరవాత కలుసతాను.
हर बटन दबा दो.	పరతీ బటన ని నొకకాలి.
हर बटन दबा दो.	పరతీ బటన ని నొకకాలి.
और मैं हमेशा से वहाँ जाना चाहता था.	నేను కూడా ఎపపటి నుండో అకకడికి వెళళాలి అనుకుంటుననా.
शायद हम कोई बीच का रासता निकाल लेंगे.	ఇదదరం కాసత రాజీపడి బంధానని నిలుపుకోవాలి అనుకుంటుననాం.
अरे. वह गुलाबी बादल देखो जरा.	ఆ పింక మేఘానని చూడు.
कयोंकि हम मशहूर हैं.	ఒక పాట పాడమని మమమలని అడిగారు.
लगता तो है.	అనే అనుకుంటుననా.
आशा है धुआँ दवि-छाया दिवस में खलल नहीं डालेगा.	ఈ పొగ డబుల షాడో డేకి ఎలాంటి అంతరాయం కలిగించకూడదు అని కోరుకుంటుననాం.
तो मुझे सच में आशा है हम वह देख पाएँ.	కాబటటి మేము దానని ఎలాగెనా చూడాలని గటటిగా కోరుకుంటుననా.
चलो, यह करें.	ఇక పని చేదదాం రండి.
कितना शानदार है. आओ, आकर देखो.	ఇది భలే అదభుతంగా ఉంది. వచచి ఒకసారి ఇది చూడు.
किसी चीज का आभार नहीं.	చేసింది చాలులే.
कुछ अनुकूल बदलाव आएँगे.	అందరిలో బాగా పరసిదధి చెందిన విషయం.
तुमने मेरा इतना साथ दिया, उसके लिए आभार.	ఈ సహాయం అంతటికీ చాలా థాంకస.
हमें इस धुँध के निकलने की जगह बंद करनी होगी	మనం ఆ పొగ వసతునన ఖాళీని పూడచి
तुमहें अपनी दुविधा के बारे में कैसा लग रहा है?	ఇంతకీ నీ సందిగధత ఎలా సాగుతోంది?
मैंने तो अपनी तवचा पर गरहण के नीचे हम दोनों का चितर बनवा लिया था,	అంటే, నేనెతే ముందుగానే గరహణం కింద ఉంటే ఎలా ఉంటుందో చూపించే బొమమను చరమం మీద పచచబొటటు వేయించుకుననా.
हाँ.	అవును.
और वह मेरे बारे में भूल गई?	ననను మరచిపోతారేమో?
दूर रहने से खून का पंप फैल जाता है और पयार बढता है.	దూరంగా ఉండడం వలల ఇషటం పెరుగుతుంది.
एक पटाखा पहले ही फट गया और उससे पहाड में छेद हो गया	నేను తీసుకెళలిన టపాకాయలలో ఒకటి అనుకోకుండా పేలిపోయి చీలికలో ఒక కననానని చేసింది
एक गुलाबी धुएँ ने गरहण के नजारे को ढँक दिया है.	ఒక పింక రంగు పొగ కమముకొని గరహణానని చూడడానికి వీలు లేకుండా అడడుపడుతోంది.
एक दवि-छाया का कषेतर है	ఒక డబుల షాడో జోన అనబడే పరదేశం ఉంది,
गरहण हर जगह से. . .	ఈ గరహణానని మీరు చూడాలంటే. . .
हमें बस इतना करना है कि कगार के साथ-साथ ये पटाखे यहाँ रख देने हैं.	మనం ఈ అంచున వరుసగా టపాకాయలు సెట చేసతే చాలు.
मैं हमेशा से यही चाहती थी.	నేను ఇది జరగాలనే ఎననాళళుగానో చూసతుననాను.
-अपने पटाखे तैयार करके रख सकता हूँ. -कया मतलब है तुमहारा?	-సరెన పరదేశంలా ఉంది. -మీ ఉదదేశం ఏంటి?
हे लॉरब परभु, यह धुआँ तो लगातार निकल रहा है.	అబబా, ఈ పొగ ఆగకుండా వసతోంది.
जो हमें हर जगह जोडेगी	ఆ బంధం మనలని అననిచోటలా కలుపుతుంది
खुशी और गम, साहस और डर	సంతోషం ఇంకా విచారం, ధెరయం అలాగే భయం
मुझे दूर के रिशतों का कोई अनुभव नहीं है.	దూరంగా ఉంటూ మెయింటెన చేసే బంధాల విషయంలో నాకు ఎలాంటి అనుభవం లేదు.
लो, इसे पहाड पर ले जाओ.	ఇదుగో, దీనిని శిఖరం కిందకు తీసుకెళళు.
हमने कर लिया! वहू-हू!	మనం సాధించాం!
आज बहुत मजा आया.	ఇవాళ చాలా సరదాగా గడిచింది.
मुझे दुःख होगा अगर तुम जाओगी. पर मैं समझ जाऊँगा.	నువవు వెళలాలని నిరణయించుకుంటే నాకు బాధగానే ఉంటుంది. కానీ నేను అరథం చేసుకోగలను.
पर?	కానీ?
कुछ समय के लिए.	కొంతకాలం.
दिलकश,	ఆకటటుకోగల,
यह तो अचछा नहीं है.	అది మంచి విషయంలా అనిపించడం లేదు.
यह सुनिशचित करने के लिए कि रेसतोरां चोटी से नीचे न गिर जाए.	చివరిగా ఇంకొకక ఇనసపెకషన చేసతుననారు.
कयों नहीं?	ఎందుకు పెటటకూడదు?
कया इसका मतलब हमारे संबंध के आगे बढने की कोई आशा नहीं?	దానరథం మన బంధం ఇక నిలవదు అనేనా?
और हम गडढे में नहीं गिरेंगे?	వచచినా ఈ రాతరి అగాధంలోకి పడిపోకుండా ఆగుతుంది కదా?
ठीक है.	సరే.
जो उसके थरथराते जीव के आसपास छींकता न हो	మరొక వయకతిని కలుసుకొని
ठीक है, कॉफी पेय तैयार हो गया.	సరే, కాఫీ సిదధం.
अभिवादन.	హలో.
अभिनंदन.	హలో.
मुझे सुनाओ.	నాకు.
जैली वाले जानवरों के बारे में कया खयाल है?	గమమీ బేరలు వాడదామా?
मुसीबतों से न घबराने वाले,	తిరుగులేని,
हो गया शुरू!	అంతే!
जरूर चाहूँगा.	ఉంది.
हाँ.	తీసుకుననాను.
और?	మరి ఇంకేంటి?
और?	మరి నిరణయం ఏంటి?
