नहीं.	లేదు.
- तुरंत वापस अंदर जाओ! - कया हुआ?	- వెంటనే లోపలికి వెళలు! - ఏం జరిగింది?
- इसे मेरे खाते में जोड दो. - जी, सर.	- నా ఖాతాలో రాసుకో. - అలాగే, సర.
उनमें से 150 सैनिक 100वें से थे.	100వ గరూప లో నూట యాభె మంది చనిపోయారు.
यह काम नहीं कर रहा है.	ఇది పని చేయడం లేదు.
पर शायद हम आईपी के लिए सही समय पर नहीं मुडे.	కానీ మొదటి దాడి పరదేశం దగగర మనం మిస అయయాం అనుకుంటా.
अब, जो लोग नहीं जानते हैं, मैं लेफटिनेंट करनल बैनेट हूँ,	ఇపపుడు, మీలో కొంతమందికి తెలియకపోవచచు, నేను లెఫటెనెంట కలనల బెననెట,
तब तक नहीं, जब तक काम पूरा न हो जाए.	మన లకషయం పూరతయయే వరకూ వెళలలేను.
धनयवाद.	థాంకస.
आ जाओ.	ఇలా రా.
उसने कुछ नहीं कहा था.	అతను ఏమీ చెపపలేదు.
तुमने वह सुना?	అది విననావా?
धनयवाद.	థాంకస.
तो, यही रणनीति है.	కాబటటి, అదీ మన వయూహం.
मैं समझ गया.	నాకు అరథమెంది.
सर, हैं, सर!	సర, అవును, సర!
तुमने कभी ऐसा नजारा नहीं देखा होगा.	ఇలాంటిది మనం ఎపపుడూ చూసి ఉండం.
और जयादा वरिषठ अफसरों को इतने बडे पैमाने पर हुए पलायन के बारे में पता चलेगा,	ఎందుకంటే ఎస. ఎస. లో చాలామంది సీనియర ఆఫీసరలు ఇంకా గెసటాపో పోలీసులు
तीस फुट गहरी ताकि जरमनों के साइजमोगराफ उनका पता न लगा सकें.	ఈ వెధవల సెసమోగరాఫులు వాటిని గురతించకుండా. ముపపె అడుగుల లోతులో తవవారు.
जब तक वे रेड करॉस से पारसल नहीं आते, हमें यही मिलेगा.	ఆ రెడ కరాస వాళల పారసిళలు వచచే వరకూ మనకి దొరికే పరొటీన అదొకకటే.
बेशक वह उस युदध का सबसे बेहतरीन लडाकू विमान था.	నిససందేహంగా ఈ యుదధంలో మోహరించిన అతి చకకని ఫెటర జెట అది.
हेलमिक को पाँच के बजाय और आठ मिशन पर जाना होगा.	ఐదు చేయాలసిన హెలమిక ఇపపుడు ఎనిమిది మిషనలు పూరతి చేయాలా?
वहाँ काफी ठंड थी और सथिति दयनीय थी.	అకకడ వాతావరణం చాలా చలిగా, ఘోరంగా ఉంటుంది.
और मुझे पकका यकीन है कि आप इसे सही-सलामत मेरे पास वापस ले आएँगे.	మీరు దీనిని ఇలాగే తిరిగి నా దగగరకి తీసుకువసతారని నేను ఖచచితంగా నమముతుననాను.
उनहें कोई परवाह नहीं अगर वे हम सबको मार डालें, है न?	మన అందరినీ శతరువులు చంపేసినా కూడా వాళలు ఏమీ పటటించుకోరు, కదా?
ए, कमबखत शुभ सोमवार, एडोलफ.	హేయ, హయాపీ మండే, అడాలఫ.
उसने परसताव सवीकार कर लिया.	తను అంగీకారం తెలిపింది.
सटालग लुफट III जरमन एयर फोरस चला रही थी.	మూడో సటాలగ లుఫత ని జరమన ఎయిర ఫోరస నిరవహిసతోంది.
कि सफलतापूरवक 25 मिशन पूरा करना सच में संभव है.	ఆ కొతత కురరాళలకి చెపపడం మంచిది అనుకుంటా.
- खैर. - मेरे पास अभी कोई योजना नहीं है,	- సరే. - నా దగగర ఇంకా ఏ పలాన లేదు,
या यह जानना चाहते हो कि मैं 20 मिनट बाद कहाँ हूँगी?	లేదా మరో ఇరవె నిమిషాలలో నేను ఎకకడ ఉంటానో తెలుసుకోవాలని ఉందా?
शायद गोंद के अवशेष या तेल या गंदगी या कोई चीज	బహుశా ఏదెనా జిగురు లేదా ఆయిల లేదా మటటి లేదా ఇంకేదయినా
मुझे घर जाने की कया जलदी है?	నేను తిరిగి ఇంటికి వెళలబోతుననానా?
हे भगवान, जैक. तो, हमें और दस मिशनों पर जाना होगा?	దేవుడా, జాక. అంటే, ఏంటి, మేము ఇంకో పది మిషనలు పూరతి చేయాలా?
कयों न मैं बाद में वापस आऊँ? मैं तुमहें वहाँ ले जाऊँगा.	నేను మళలీ ఇకకడికి రావచచు కదా? మిమమలని నేనే అకకడికి తీసుకువెళతాను.
- लेफटिनेंट के अनुसार. . . - हाँ.	- లెఫటెనెంట చెపపిన పరకారం. . . - అవును.
. . . ये पहले जैसे ही हैं.	. . . మళలీ అవే సమసయలు.
मैं तुमहारा बेसट मैन जरूर बनूँगा.	తపపకుండా నీకు తోడిపెళలికొడుకుగా ఉంటాను.
तुम यही करना चाहते हो?	నువవు కోరుకుంటుననది అదేనా?
कया कहते हो, पैपी? हँ?	నువవు ఏం అంటావు, పాపీ? హా?
यह जरमन है.	ఇది జరమన భాష.
भरती किए गए सैनिक मेरे दाईं तरफ आएँ और ऑफिसर बाईं तरफ.	కొతతగా చేరిన వాళలు నా కుడి వెపు ఇంకా ఆఫీసరలు నా ఎడమ వెపు ఉండాలి.
हम हमेशा घबराए हुए रहते थे.	మేము ఎపపుడూ అపరమతతంగా ఉండేవాళలం.
करंट के रासते में आ रही है.	విదయుత పరసరణకి అడడుపడుతూ ఉండచచు.
मैंने पूरी इमारत कवर कर ली.	నేను మొతతం భవనానని పరిశీలించాను.
जरमनी की राजधानी पर पहली बार दिन में हवाई छापा पड रहा है.	జరమన రాజధాని మీద మొటటమొదటిసారిగా పగటిపూట దాడులు.
इतने बडे पैमाने पर हुए पलायन के कारण,	ఇంత భారీగా తపపించుకునే పరయతనం చేసిన కారణంగా,
डरिंक खतम करो, लडकों.	సథిరంగా ఉండండి, కురరాళలూ.
तुमहें कुछ नहीं होगा, दोसत. हम तुमहें संभाल लेंगे.	నీకేం కాదు, మితరమా. నినను మేము చూసుకుంటాం.
तुमहें किसने भेजी है, बक?	నీకు ఎవరు రాశారు, బక?
फलोरिडा में पायलटों को परशिकषण देना बेहतर सुनाई पडता है.	ఫలోరిడాలో పెలెటలకి టరెనింగ ఇవవడం మంచిగా ఉండచచు.
वरिषठ अधिकारी दौरा खतम करने की जरूरत को 25 मिशन से बढाकर	విరమణ నియమాలను పెంచాలని పె అధికారులు చూసతుననారు
वह तुमहारी तरफ जा रही है, हैमी.	అది నీ వెపు వసతోంది, హమమీ.
पर फिर मैंने उसे दूसरी बार फोन किया.	కానీ తరువాత నేను తనకి రెండోసారి ఫోన చేశాను.
जैसे-जैसे दल में जयादा जवान सैनिक शामिल होने लगे,	మన వెమానిక సిబబంది యువకులతో నిండిపోతుంటే,
कम से कम तुम इस युदध से जिंदा वापस जाओगे.	కనీసం నువవయినా యుదధం నుండి సజీవంగా బయటపడుతుననావు.
करनल का मानना है कि जब एसएस और गेसटापो के	కలనల అంచనా పరకారం అందుకు తీవరమెన పరతిచరయలు ఉండచచు
और चूँकि उनके पकडे गए पायलट हमारे कैंपों में थे,	మా శిబిరాలలో శతరుదేశం పెలెటలు ఉననందువలల,
मदद चाहिए?	సాయం కావాలా?
फुलर.	ఫులలర.
पर फरेंच और बेलजियन रेजिसटेंस का शुकर है	కానీ ఫరెంచ ఇంకా బెలజియం తిరుగుబాటు దళాల కారణంగా,
चलो यह करें.	ఇక చేదదాం.
चार, पाँच.	నాలుగు, ఐదు.
और कलेवेन.	ఇంకా కలెవెన.
शाबाश!	రండి!
ईंट की छककी.	డెమండ ఆరు.
रुको.	ఆగండి.
खैर, मुझे लगता है कि कम से कम तुमहें सारी उपलबध जानकारी के आधार पर	సరే, మనకి అందుబాటులో ఉనన సమాచారానని అంతా పరిశీలించుకుని
फरेंच और बेलजियन पुरुषों और महिलाओं के बारे में काफी कुछ पता चल जाता.	ఇంకా వాళలకి సహకరించిన ఫరెంచ ఇంకా బెలజియం పురుషులు, మహిళల వివరాలు కూడా తెలిసిపోతాయి.
रूसी सेना ने फीलड मारशल मैनसटाइन को 50 मील दूर खदेड दिया है. . .	సోవియెట దళాలు ఫీలడ మారషల మాన సటీన ని ఎనభె కిలోమీటరల లోపలే పరిమితం చేశాయి. . .
मेरा दोसत, रोजी यह अचछी तरह समझ गया था.	నా ఫరెండ రోసీ ఈ విషయానని బాగా అరథం చేసుకుననాడు.
- सिमोलेट ने आपको उसके ऑफिस में बुलाया है. अभी. - बस हमें?	- సిమొలెట మిమమలని తన ఆఫీసులో కలవమననాడు. వెంటనే. - మా ఇదదరినీ మాతరమేనా?
मैं कलपना भी नहीं कर सकता कि कोई नौसिखिया आकर मेरी जगह ले.	ఎవరో కొతత కురరవాడు నా సథానానని భరతీ చేయడానికి రావడానని నేను ఊహించలేను.
आराम से. वह हारनेस वेसट खोलो.	మెలలగా. ఆ పటటీ తీసేయండి.
उनके 25वें मिशन पर.	అది వాళల ఇరవె ఐదవ మిషన.
शायद हम सभी चाहेंगे कि ऐसा न हो, है न?	ఆ పరిసథితి రాకూడదని మనం అందరం కోరుకుంటాం, కదా?
परिय मिसेज हॉल	పరియమెన మిసెస హాల
हे भगवान. वह वही रासता है जो सोमवार को लिया गया था.	దేవుడా. సోమవారంనాడు మనం వెళలింది అదే రూటు.
रुको. तो मैंने उससे कहा. . .	ఆగు. మరి నేను ఆమెతో చెపపేశాను. . .
यह बकवास है, जैक.	అది ఘోరం, జాక.
सबऑलटरन वेसगेट ने उससे संपरक करने के लिए मुझे यह नंबर दिया था.	ఆఫీసర వెసగేట తనని సంపరదించమని ఈ ఫోన నెంబరు ఇచచింది.
कि दोबारा पकडे जाने वाले भगौडों में से 50 को मौत के घाट उतार दिया गया है.	తపపించుకుననవారిలో మాకు పటటుబడిన యాభె మందిని మేము ఉరి తీశాము.
वहाँ. वहाँ! मुझे वे दिख रहे हैं!	అదిగో. అదిగో! నాకు వాళలు కనిపిసతుననారు!
तुमहें कुछ नहीं होगा. हम तुमहें संभाल लेंगे, समझे?	నీకేం కాదు. నినను మేము చూసుకుంటాం, సరేనా?
डॉनलड एल. मिलर की किताब पर आधारित	డొనాలడ ఎల మిలలర నవల ఆధారంగా
मैं अपने दौरे से पहले ही टेकसास जा चुका हूँ.	నా టూర కి ముందు నేను టెకసాస వెళలాను.
समझ गया, नैविगेटर. दिशा बताओगे? ओवर.	విననాను, నావిగేటర. మనం ఏ దిశగా వెళలాలి? ఓవర.
यही मिशन है. चारा.	అదే మన మిషన. ఎర వేయడం.
उस बीच आने वाले हर दल को 28 मिशन पूरे करने होंगे.	ఈలోగా పరతి బృందం 28 మిషనలు పూరతి చేయాలి.
जलदी करो. चलो चलें. यह खतम करो.	తవరగా. వెళదాం పదండి. పని పూరతి చేయండి.
नैविगेटर, पायलट के लिए. हम बरलिन के ऊपर हैं,	పెలెట కి నావిగేటర సందేశం. మనం బెరలిన మీదుగా వెళతుననాం,
काफी वयसत थी.	బిజీ అయిపోయింది.
और उस मिशन में 13 विमान गए थे.	ఆ మిషన లో పదమూడు విమానాలు పాలగొననాయి.
ए! कोई वह मॉरफीन लेकर यहाँ आओ.	హేయ! ఎవరెనా మోరఫయిన ని తీసుకుని రండి.
- समझे? - जी, सर.	- సరేనా? - అలాగే, సర.
तुम इस कैंप के लीडर हो और मैं बस तुमहारे आडे आ रहा हूँ?	ఈ శిబిరంలో నువవు సరికొతత రాజువి, ఇంకా నేను నీ దారికి అడడు వసతుననానా?
तुम इस पद के लिए तैयार हो?	అందుకు మీరు సిదధమేనా?
हम टसकिगी के पुरुष हैं या नहीं?	మనం టసకీగీ మనుషులమా కాదా?
नहीं, और नहीं. कयोंकि वही था.	లేదు, ఇంక చాలు. ఎందుకంటే ఎకకువయింది.
मैं मना नहीं करूँगा.	సాయం చేసతానంటే వదదు అనను.
सातवां भाग	ఏడవ భాగం
बधाई हो.	అభినందనలు.
कया कोई उन लडाकू विमानों की पहचान कर सकता है? ओवर.	ఎవరెనా ఈ ఫెటరల వివరాలు సేకరించగలరా? ఓవర.
तैयार हो जाओ, लडकों.	సిదధంగా ఉండండి, కురరాళలూ.
बम गिरा दिए.	బాంబులు విడుదల.
कयोंकि मेरे घर पहुँचने के बाद, तुमहें वे अकसर दिखेंगे. "	ఎందుకంటే నేను ఇంటికి వెళలాక నువవు ఎకకువగా వాటి వెపే చూడాలసి ఉంటుంది. "
मैं निशाना नहीं साध पा रहा है. वे 45वें पर हमला कर रहे हैं!	నేను వాళల వెపు గురి పెటటలేకపోతుననాను. వాళలు 45వ బృందం మీద దాడి చేసతుననారు!
डेव माइनर और उसके लडके भी 24 मिशन पूरे कर चुके हैं.	డేవ మెనర ఇంకా అతని సిబబంది కూడా ఇరవె నాలుగు మిషనలు పూరతి చేశారు.
ये कमबखत गुंडे हमें एक-एक करके मार डालेंगे, बक.	ఈ రౌడీ వెధవలు మనలని ఒకకొకకరిగా అంతం చేయాలని చూసతుననారు, బక.
और किसमत का उससे कोई लेना-देना नहीं था.	ఆ మిషన లో అదృషటం పాతర ఏమీ లేదు.
- तुमहारा नाम मलूली है, है न? - जी, सर.	- అతను మలూలీ, కదా? - అవును, సర.
मैंने खुद से कहा कि मैं बस किसी के साथ पीना और हँसना चाहता था,	నేను తాగడానికీ ఇంకా నవవడానికి నాకు ఒక తోడు ఉంటే చాలు అని నాలో నేను అనుకుననాను,
हमें नहीं पता आपके बेटे के साथ कया हुआ,	మీ అబబాయి ఆచూకీ మాకు తెలియలేదు,
ए, ए! उस कुतते को रोको!	హేయ, హేయ! ఆ కుకకని పటటుకోండి!
कैपटन, तुमहें पता है कि दौरों की गिनती बढाकर 30 मिशन कर दी गई है.	కెపటెన, అందరి విధులనీ ముపపె మిషనల వరకూ పొడిగించాలని నిరణయించుకుననారని మీకు తెలుసు.
इसलिए मैं पूरे विंग का कमांड पायलट रहूँगा.	కాబటటి ఈ మొతతం విభాగానికి నేను కమాండ పెలెట గా ఉంటాను.
वापस अंदर जाओ. अभी.	లోపలికి వెళలండి. వెంటనే.
बरिटिश, भारतीय और गोरखा सेनाएँ	బరిటీష, భారత సెనికులు ఇంకా గూరఖా దళాలు
हैरिसन को टकराने से बचने के लिए पैंतरेबाजी करनी पडी.	శతరువిమానాల దాడుల నుండి హారిసన చాలా చాకచకయంగా విమానానని తపపించాడు.
एक और विमान आ रहा है, तैयार रहो! चलो एक दल को उस पर लगाएँ!	ఇంకో విమానం వసతోంది, సిదధంగా ఉండండి! ఒక బృందానని ఆ విమానానికి కేటాయించండి!
मुझे कुछ पता होना चाहिए, कैन?	నేను తెలుసుకోవలసింది ఏమెనా ఉందా, కెన?
चलो, दोसतों. जलदी.	రండి, మితరులారా. తవరగా.
- कया वे हमारे हैं? - बता नहीं सकता.	- అవి ఫరెండలీ ఫెటరలా? - నేను చెపపలేకపోతుననాను.
मैं एक और डरिंक लेने जा रहा हूँ.	నేను ఇంకో డరింక తాగుతాను.
जब मैं छोटा था, तब मैंने घर पर एक करिसटल रेडियो बनाया था.	మీకు తెలుసు, నా చిననపపుడు, నేను సొంతంగా ఇంటలో కరిసటల రేడియో తయారు చేశాను.
वे एक साल से सुरंगें खोद रहे थे.	వాళలు ఒక ఏడాది కాలంగా సొరంగం తవవుతుననారు.
हाँ, जब तुम यहाँ से निकलोगे, तो तुमहारे पास उसके लिए काफी समय होगा.	అవును, అంటే, నువవు బయటకి వెళలిన తరువాత బంధాలు ఏరపరుచుకోవడానికి నీకు చాలా సమయం ఉంటుంది.
हे भगवान.	దేవుడా.
ए, कया बात है!	హేయ, ఇది ఎలా ఉంది!
हे भगवान.	దేవుడా.
तुमहारा दल इस वाले मिशन पर नहीं जाएगा.	మీ సిబబంది ఈ సారి మాతరం పోటీలో నిలబడలేకపోతుననారు.
वहाँ! पूरव से दकषिणपूरव!	అదిగో! తూరపు వెపు ఆగనేయం దిశగా!
बरलिन पर ही हो रहा है.	అది బెరలిన నగరమే.
केवल अगले हफते के बाद एवज में आने वाले नए दलों के लिए.	మరణించిన వారి సథానాలని భరతీ చేయడానికి కొతత సిబబంది వచచేవారం వసతుననారు.
कया हुआ, तुम सह नहीं पा रहे हो. . .	ఏంటి, నీవలల కావడం లేదా. . .
कयोंकि अगर वह दोबारा दुरघटनागरसत होता	ఎందుకంటే ఒక వెమానిక దళ సభయుడు దాడిలో మళలీ గాయపడి
ठीक है. मरफी?	సరే. మరఫీ?
चलो थोडी हवा खा लें.	మనం కాసత గాలి పీలచుకుందాం.
ठीक है. विमान तुमहारा हुआ.	సరే. విమానం ఇక నీదే.
रोजी! हाँ, हाँ, हाँ!	రోసీ! అవును, అవును, అవును!
ईंट की दैलली.	డెమండ పది.
लुफटवॉफ के तबाह होने और आसमान में हमारा पलडा पूरी तरह से भारी होने तक	జరమన వాయుసేనని ధవంసం చేసతే తపప మనం జరమనలని జయించలేమని
पर उनके लिए सवचछता, सुविधाएँ, किताबें और संगीत उपलबध थे.	కానీ వాళలకి అకకడ పారిశుధయం, సౌకరయాలు, పుసతకాలు, మయూజిక అందుబాటులో ఉంటాయి.
हमारे जिंदा घर पहुँचने की? नहीं है. कोई संभावना नहीं है.	మనం పరాణాలతో ఇంటికి తిరిగి వెళలడం గురించా? అవకాశాలు లేవు. అసలు లేనే లేవు.
जैक, यह वही रासता है. यह बिलकुल कल जैसा ही है.	జాక, మళలీ అదే దారిలో వెళలాలి. సరిగగా నినన జరిగిన మాదిరిగానే.
पर मैं योजना बना लूँगा.	కానీ నేను ఏదో ఒకటి కనిపెడతాను.
पकका वह यहाँ के सबसे किसमतवाले इंसान हैं, है न?	ఇకకడ ఇతనే అదృషటవంతుడు అనుకుంటా, కదా?
चूँकि आज सुबह करनल हारडिंग लंदन चले गए,	ఈ ఉదయం కలనల హారడింగ అనుకోకుండా లండన పరయాణం కావడంతో,
तुम थक गए हो.	నువవు అలసిపోయావు.
कि एक दिन वे जरूर घर लौटेंगे.	ఏదో ఒక రోజు తాము ఇంటికి వెళతామనన వారత.
मेरा मतलब, हमारे लिए बीच में ही नियम बदल दिए?	నా ఉదదేశం, ఈ నియమాలు మారచి మనతో మెండ గేమ ఆడుతుననారు అంటావా?
शायद तुम सही थे.	నువవు సరిగగా చెపపావు.
सौवें में सवागत है.	100వ బాంబ గరూప కి సవాగతం.
वे कहाँ जा रहे हैं?	వాళలు ఎకకడికి వెళతుననారు?
हाँ, मैं तैयार हूँ.	అవును. అందుకు నేను సిదధం.
- तुम गंभीर हो? - कया?	- నిజంగా చెబుతుననావా? - ఏంటి?
वे जरमन हैं. वे जरमन हैं!	అవి జరమన ఫెటరలు. అవి జరమన ఫెటరలు!
जॉन तुमहें तुमहारा मिशन समझा देगा. तुम कल निकलोगी.	మీకు అపపగించే పని గురించి జీన మీకు చెబుతాడు. మీరు రేపు బయలుదేరాలి.
लेमनस, किसी ने कॉकपिट में देखा?	లెమనస, కాక పిట లో ఎవరెనా ఉననారేమో చూశావా?
चलो इसे यहाँ से ले चलें. एक, दो, तीन.	తనని ఇకకడి నుండి తీసుకువెళదాం. ఒకటి, రెండు, మూడు.
कि बस हमारे लकषय पर बम गिराना काफी नहीं था.	అది ఏమిటంటే మా టారగెట మీద బాంబులు వేసినంత మాతరాన సరిపోదు.
खरगोश?	కుందేలా?
सोलोमोन.	సోలమన.
देखो कौन आया है!	అదెవరో చూడు!
गयारह.	పదకొండు.
यानी 15 मार गिराए गए.	అది నేలకూలిన పదిహేనో విమానం.
तो?	మరి?
जैक, इतने उदास कयों हो, हँ?	జాక, ఎందుకు అంత విచారంగా ఉననావు, హా?
केवल अमरीकी.	కేవలం అమెరికనలు.
हमें अभी तैयारी करनी शुरू करनी होगी.	మనం ఇంక పనులు మొదలుపెటటాలి.
पर किसी को तो उनहें काम-काज सिखाना था.	కానీ ఎవరో ఒకరు వాళలకు ఇకకడి పదధతులు నేరపించాలి కదా.
मेरे लिए ये सब ला सकते हो?	వాటిని సేకరించి నాకు తెచచి ఇవవగలవా?
लुफटवॉफ के अधिकार कषेतर से	దేశంలోని అనని సటాలాగస నుంచి ఖెదీలని
हमारी बैरेक के नीचे ढेरों आवारा खरगोश इधर-उधर भाग रहे हैं.	మన బారాకస కింద చాలా కుందేళలు తిరుగుతుననాయి.
हाँ. यहाँ किसी को 25 मिशन पूरे किए अरसा हो गया है.	అవును. ఇకకడ కొంతకాలంగా ఉంటుననాను కదా.
अंकल जो के रूसियों ने मोहलिव पोडोलसकी नामक जगह पर एक मोरचे पर कबजा करके	అంకుల జోకి చెందిన రషయన సెనికులు మోగలీవ పొడోలసకీ అనే పరదేశంలో బరిడజ మారగానని సవాధీనం చేసుకుననారు,
कॉकपिट में उन पर सीधा हमला हुआ.	నేరుగా ఆ విమానం కాక పిట మీద దాడి జరిగింది.
वे हमारे सैनिकों के साथ परयापत मानवीय वयवहार करते थे.	వాళలు మా సెనికులని మరయాదగా చూసుకుననారు.
आपको मुखय लकषय यह होगा, बरलिन का केंदर.	మీరు దాడి చేయాలసిన కేందరం ఇది. బెరలిన నగరం నడి మధయలో.
दरवाजे खोलो. दरवाजे खोलो.	ఆ తలుపులు తెరవండి. వాటిని తెరవండి.
और उनके पहले ही मिशन पर, खुद को और अपने दल को मरवा दे.	వాళల మొదటి మిషన లోనే అతను ఇంకా అతని సిబబంది చనిపోవడానని నేను ఊహించుకోలేను.
वह अचछी नहीं गई.	వాళల పరయతనం ఫలించలేదు.
उसने कुछ नहीं कहा कयोंकि उसकी माँ भी फोन पर थीं.	అంటే, తను ఏమీ మాటలాడలేదు ఎందుకంటే ఆమె తలలి కూడా అదే ఫోను వింటోంది.
तुम और तुमहारे लडके बच गए, रोजी.	నీకూ ఇంకా మీ సిబబందికి ఈ రూల వరతించదు, రోసీ.
थोडे कागज ले आओ.	ఏదెనా పేపర తీసుకురండి.
- कि वे थॉरप ऐबटस लौट आए थे. - कविन और बेइली!	- వాళలు థోరప ఆబోటస సథావరానికి తిరిగొచచారు. - కవిన ఇంకా బెయిలీ!
लॉग में यह दरज करना कि 45वां विंग आईपी के लिए मोड चूक गया.	45వ బృందం మొదటిగా దాడి జరిగే పరదేశం వెపు మలుపు తిరగడం మిస అయిందని లాగ లో రాయండి.
हम कब कोई बडी काररवाई करेंगे?	మనం మరింత భారీ యాకషన లోకి ఎపపుడు వెళతాం?
उनहें बाहर निकालो!	బయటకి లాగండి!
यह किसने कहा?	ఎవరు ఆ మాట అననారు?
शायद मैं. . .	నేను అనుకోవడం. . .
- अभी! वापस अंदर जाओ! - ए! अंदर जाओ!	- వెంటనే! లోపలికి వెళలండి! - హేయ! లోపలికి వెళలండి.
जयादातर भगौडों को फिर से पकड लिया गया है.	తపపించుకుని పారిపోయిన వారిలో చాలామందిని తిరిగి బంధించాము.
कुछ लोग नए सैनिकों को जानने से हिचकिचा रहे थे.	అందుకే మావాళలు కొతత మితరులని పరిచయం చేసుకోవడానికి సుముఖంగా లేరు.
बॉल टरेट, पायलट के लिए.	పెలెట కి కింది భాగం గననర సందేశం.
और यह सिलसिला बार-बार चलता रहेगा.	అలా అది నిరంతరం మళలీ మళలీ కొనసాగుతూనే ఉంటుంది.
यह लो. शायद तुम सही कह रहे हो.	ఇదిగో చూడు. ఆ శబదాలు బటటి అదే అనిపిసతోంది.
बिलकुल उतने ही जरमनों ने दो दिन पहले मार गिराए थे.	రెండు రోజుల కిందట ఇదే సంఖయలో మన విమానాలని జరమనలు దాడి చేసి నేలకూలచారు.
चिडी का दैलला.	కళావర పది.
- गलेमनिटज! - उसका काफी खून बह रहा है!	- గలెమనిటజ! - రకతం పోతోంది!
उसे जो मैं यहाँ आने से पहले था.	ఇకకడికి రాకముందు నేను.
और अब वह घर लौट सकता था.	ఇక ఇపపుడు అతను ఇంటికి వెళలిపోవచచు.
- सुरकषित घर पहुँचना! - अलविदा, लडकों!	- ఇంటికి కషేమంగా వెళలండి! - తరువాత కలుదదాం, మితరులారా!
हमारे पास भेजने के लिए केवल 15 विमान थे.	మేము పంపించడానికి కేవలం పదిహేను విమానాలు మాతరమే మిగిలాయి.
मुझे पूरे 100वें बॉमब गरुप की असथायी कमान सौंपी गई है.	మొతతం 100వ బాంబ గరూప కి తాతకాలిక కమాండ అధికారిగా ఆయన సథానంలో ననను నియమించారు.
उनहें पूरे साल केवल आलू और शलगम खिलाए जाते थे.	ఏడాది పొడవునా అకకడ వారి ఆహారం ఆలుగడడలు ఇంకా ములలంగి దుంపలు మాతరమే.
इन छोटे चमतकारों के लिए ईशवर का धनयवाद.	సరే, ఈ చినన చినన అదభుతాల గురించి దేవుడికి థాంకస చెపపాలి.
सुपरभात, सजजनों.	గుడ మారనింగ, జెంటిలమెన.
उनका विमान पूरी तरह से नियंतरण से बाहर हो गया था.	వాళల విమానం పూరతిగా అదుపు తపపింది.
उसे और कुछ चिटठियाँ लिखनी हैं, सर.	తను ఉతతరాలు రాయాలసిన వాళలు ఇంకొంతమంది ఉననారు, సర.
लंच 12 बजे मिलेगा.	మధయాహనం వేళ భోజనం ఉంటుంది.
एक और सकॉच, गॉरडन?	ఇంకో సకాచ తాగుతావా, గోరడన?
चलो चलें!	పదండి వెళదాం!
न ही भविषय में कोई भागने की कोशिश करे.	తపపించుకోవాలనే పరయతనాలు చేయవదదని మీ వాళలకి హెచచరించండి.
वह अब भी लिख रहा है?	అతను ఇంకా ఉతతరాలు రాసతుననాడా?
संगीत बज रहा है.	ఇది మయూజిక.
और यह सुनो:	ఇంకా ఇది వినండి:
हमें इसे डॉकटर के पास ले जाना होगा.	తనని డాకటర కి చూపించాలి.
पर वह तब होगा अगर हम यहाँ से निकलेंगे.	అది కూడా మనం బయటపడినపపుడే.
ऐसा लगने लगा था कि कमबखत लाल मिशन लाइट कभी बुझती ही नहीं थी.	ఆ రెడ మిషన లెట ఎపపటికీ ఆరేలా కనిపించలేదు.
जरमनी में और मिशनों का मतलब था, और हताहतें.	జరమనీ మీద ఎనని ఎకకువ దాడులు చేసతే అనని ఎకకువ పరాణాలు పోతుననాయి.
थोडा पानी दोगे?	కొదదిగా నీళలు ఇవవగలవా?
और फिर तीसरी बार.	ఇంకా మూడోసారి ఫోన చేశాను.
मुझे करनल बैनेट के विमान से हरे फलेयर दिख रहे हैं. ओवर.	కలనల బెననెట విమానం నుండి ముందుకు సాగాలని సూచిసతూ ఆకుపచచ మంటలు కనిపిసతుననాయి. ఓవర.
सारे यहूदी युदध कैदियों की सूची बनाऊँ.	మూడో సటాలగ లుఫత లో ఉనన ఖెదీలలో యూదులని గురతించాలసి ఉంది.
बीच-बीच में, कुछ ऐसा होता था जिससे पूरा बेस उतसाहित हो जाता था.	అపపుడపపుడు, ఏదో తమాషా సంఘటన జరుగుతుంది, అది మా సథావరంలో మొతతం అందరినీ ఉతతేజితులని చేసేసతుంది.
किसी ने देखा कौन गायब है?	ఎవరి విమానం నేలకూలిందో ఎవరెనా చూశారా?
जबकि उचच अधिकारियों ने दौरे के बीच में ही उनके लिए गिनती बढा दी?	నేను ఇంటికి వెళలి ఎలా పరశాంతంగా నిదరపోగలను?
तुमने कया कहा था, इस सूप में कया है?	సూపులో ఏం ఉందని చెపపావు?
अरे.	సరేలే.
चलो.	పదండి.
एक, दो, तीन.	ఒకటి, రెండు, మూడు.
हाँ.	అవును.
धत.	ఛ.
उनहोंने सबको मार डाला. . .	వాళలు మొతతం అందరినీ కాలచి చంపేశారు. . .
- आखिरकार. - मरफी.	- మొతతానికి వచచాయి. - మరఫీ.
उस कमबखत बाड के	అనారోగయంతో
जयादा पास. . .	చికకిశలయమెపోతావు. . .
पर मैं ऐसा आदमी नहीं हूँ जो किसी को ऐसे मिशन पर जाने का आदेश दे जिस पर मैं खुद उडान नहीं भरूँगा,	నేను సవయంగా విమానం నడపకుండా ఏ ఒకకరికీ ఆదేశాలు ఇచచే మనిషిని కాను,
ए, मेजर!	హేయ, మేజరలూ!
पर कया तुम घर जाना नहीं चाहते?	కానీ మీకు ఇంటికి తిరిగి వెళలాలని ఉంటుంది కదా?
