अरे, गैबरिएल.	ఓహ, గాబరియేల.
मैं इंटरवयू में तुमहारे और इवा के परदरशन से बेहद खुश हूँ.	ఇంటరవయూలో నువవు, ఈవా పరదరశించిన తీరుకి నేను చాలా సంతోషిసతుననాను.
उनका जनमदिन मनाना अजीब लगता है, अब जब मुझे पता है कि असल में कया हुआ था.	వాసతవంగా జరిగింది తెలిసిన తరువాత ఆయన పుటటినరోజుని జరుపుకోవడం, నాకు ఇబబందిగా ఉంది.
हम बाद में कुछ कर सकते हैं.	మనం తరువాత ఏదెనా చేదదాం.
अरे, धत.	ఓహ, చెతత.
कुछ नहीं.	ఏం వదదు.
अरे, धत.	ఓహ, చెతత.
हैलो. मैलाहाइड गारडा सटेशन.	హలో. మాలహెడ గారడా సటేషన.
तो वह आपको उस घर में डाल देगा जिसका वह जिकर कर रहा था.	అతను చెబుతుననటలుగా ఆ శరణాలయంలో నినను పెటటేసతాడు.
गरेस, कया हम इस बारे में घर पर बात कर सकते हैं?	గరేస, దయచేసి మనం ఈ విషయాలని ఇంటి దగగర మాటలాడుకుందామా?
कभी-कभी चीजें कम मातरा में ही अचछी होती हैं.	కొననిసారలు తకకువ అనుభూతులు ఉంటేనే మేలు.
हाँ, कोई बात नहीं. कोई बात नहीं. तुम ठीक हो?	సరే, ఫరవాలేదు. మంచిది. నువవు బాగుననావా?
कोई उसका विशवास नहीं करेगा, ठीक है?	ఎవవరూ అతని మాటలని నమమరు, సరేనా?
तुम मेरे साथ बहस भी नहीं कर रहे हो.	నువవు కనీసం నాతో వాదించడం లేదు.
तो, यह दोनों की जीत होगी, है न?	మరి, ఎవరు గెలిచినా గెలిచినటలే, కదా?
बैका, रुको. मुझे तुमहारी मदद चाहिए.	బెకా, ఆగు. నాకు నీ సాయం కావాలి.
अगर उसने देखा होता, तो पुलिस यहाँ आ चुकी होती.	అతను మనలని చూసి ఉంటే పోలీసులు ఈపాటికే వచచి ఉండేవారు.
मैं ठीक हूँ. तुमहारे डैड बस थोडे तनाव में हैं.	నేను బాగానే ఉననాను. మీ నానన కొదదిగా ఒతతిడిలో ఉననాడు.
तो वे वहाँ ऐसे कयों बैठे थे जैसे कि सब ठीक है?	అయితే వాళలంతా అకకడ అంతా చకకగా ఉననటలు ఎలా కూరచుననారు?
सबकी वजह वह थे.	ఆయన అంతటా ఉననాడు.
आप कैसी हैं, मॉम?	ఎలా ఉననావు, మమ?
कैलेंडर जैरलड के साथ इंटरवयू. एक घंटे में.	కయాలెండర జెరాలడ తో ఇంటరవయూ. ఒక గంటలో.
-तुम कुछ छुपा रही हो. -नहीं छुपा रही.	-కానీ, నువవు ఏదో దాసతుననావు. -ఏమీ దాచలేదు.
जब उनहोंने यह कहा था, कया उनहें पता था कि वे आतमहतया करने वाले हैं?	ఆయన ఆ మాట అననపపుడు ఆతమహతయ చేసుకుంటాడనే అనుమానం నీకు రాలేదా?
ए, पता नहीं तुमहारे फोन में बैटरी नहीं है या कया हो रहा है.	హేయ, నీ ఫోన లో బయాటరీ అయిపోయిందో లేక ఇంకేమయినా అయిందా నాకు తెలియదు.
कया उस नाव में कोई है?	ఆ పడవలో ఇంకెవరెనా ఉననారా?
मैं कारण पूछ सकता हूँ?	ఏం జరిగిందో మేము అడగవచచా?
उसके माता-पिता की मौत?	ఆమె తలలిదండరులు చనిపోవడం?
मुझे जाना होगा. माफ करना.	నేను వెళలాలి. మననించు.
पर मैं हमेशा सुनिशचित करूँगा कि तुम सलामत रहो, मैट.	కానీ నీ బాగు గురించి మాతరం నేను ఎపపుడూ తాపతరయపడతాను, మయాట.
फरक नहीं पडता कि उसे किसने मारा. उसकी विधवा ही लाभारथी है.	అది ఎవరు అననది మనకి అనవసరం. అతని వితంతువే లబధిదారు.
यहाँ मैं संभाल लूँगा. अलविदा.	ఇక నుండి నేను చూసుకుంటాను. బె బె.
ए, ए, ए. सब ठीक होगा. तुम सफल रहोगी.	హేయ, హేయ, హేయ. ఫరవాలేదు. నువవు గెలుసతావు.
पर मैं तुमहारे जीजा को बचाने में वयसत था.	కానీ నా రెండు చేతులలో నీ బావ ఉననాడు.
इसके लिए धनयवाद. . . मुझे जाना होगा.	దీని కోసం ధనయవాదాలు. . . నేను పరిగెతతాలి.
कया. . .	ఏం. . .
यहाँ आओ.	ఇలా రా.
उसने जो छुटटियाँ ली थीं.	తను విరామం తీసుకోవడం.
वह बस मदद कर रही हैं.	తను కేవలం సాయం చేసతోంది.
मैं जानती हूँ.	అది నాకు తెలుసు.
अगर उसने यह बकवास बोली भी तो. वे सोचेंगे कि वह पागल हो गया है.	అతను ఏం చెతత మాటలాడినా ఫరవాలేదు. అతను అయోమయంలో ఉననాడని అంతా అనుకుంటారు.
मत कहिए कि वह उनके साथ भी रोमांस करता है.	అతను వాటితో కూడా శృంగారం చేసతాడని మాతరం చెపపకు.
बस उसके सिर से एक और बोझ हलका हो जाएगा.	అతని ఆందోళనలో ఇది ఒకకటి తగగుతుంది.
हाँ, कयोंकि वह नहीं कर पाई.	అవును, ఎందుకంటే ఆమె తీసుకోలేదు.
मैं वहाँ तुमसे मिलने गई थी.	నినను చూడటానికి అకకడికి వచచాను.
हमारे साथ कम समय बिताती हो. . .	తకకువ కలుసతుననావు కూడా. . .
उनके पास नींद की गोलियाँ थीं, पर दुरभागयवश. . .	వాళల దగగర నిదర మాతరలు ఉననాయి, కానీ దురదృషటం కొదదీ. . .
मैं बौखलाया हुआ हूँ.	నేను సెగలు కకకుతుననాను.
मैं कभी नहीं चाहूँगी तुमहारी छवि खराब हो, पर. . . बस कह दो कि तुम बीमार हो.	నేను అది కోరుకోను, కానీ. . . నువవు అనారోగయంగా ఉననావని చెపపు చాలు.
पर, उसने मुझे किसी और के साथ देखा, इसलिए वे चली गईं.	కానీ, నేను వేరే వయకతితో కలిసి ఉండటం చూసి, వాళలు వెళలిపోయారు.
उममीद तो है कयोंकि मेरे पास कोई दूसरी योजना नहीं है.	నేను కూడా అదే ఆశిసతాను ఎందుకంటే నేను ఇంకో ఉపాయం ఆలోచించలేదు.
अब उसे यह नौकरी नहीं मिल सकती.	ఇపపుడు అతనికి అవకాశం లేదు.
मुझे माफ कर दो.	ననను కషమించు.
हाँ. माफ कर दो.	సరే. మననించు.
-कैसी चीजें? -मेरी निजी चीजें.	-ఏం జరుగుతోంది? -నా విషయం.
तुम एक ही समय में इतनी सारी चीजें संभालती हो.	నువవు ఒకే సమయంలో చాలా పనులు చేసతుననావు.
वह चेक ढूँढकर तुमने सबसे अचछा काम किया.	నువవు చేసిన అతి గొపప పని, ఆ చెక ని కనుగొనడమే.
बेलजियन सीरीज "कलैन" पर आधारित	బెలజియన సిరీస కలాన ఆధారంగా
तुम टीवी ऑन करो. मैं सनैक ले आती हूँ. ठीक है?	నువవు అది చూసుకో. నేను వెళలి సనాకస తెసతాను. బాగుందా?
बस अभी याद आया उसने अलमारी में पेशाब किया था.	ఇపపుడే గురతుకువచచింది అతను వారడ రోబ లో మూతరం పోశాడు.
जॉन पॉल के बिना पैंट के तैरने जाने से पहले ही यह नौकरी तुमहारी हो चुकी थी.	పయాంటు లేకుండా జాన పాల నీటిలో పడటానికి ముందు కూడా ఆ ఉదయోగం నీదే.
वह सवाद बेकार कर देगा.	అది ఘోరంగా ఉంటుంది.
साथ ही वह सबूत भी जोड लो कि विलियमस को लगता था कि कोई उसे मारने की कोशिश में था,	ఆ ఆధారంతో పాటు, తనని ఎవరో చంపాలని పరయతనిసతుననారని విలియమస అనుకుననాడు,
मुझे उसके अपारटमेंट में एक चेक मिला. वह छुपाकर रखा गया था.	ఆమె ఇంటిలో ఒక చెక కనిపించింది. దానిని ఆమె దాచింది.
इसलिए बस इसे राज ही रखना?	కాబటటి దానిని నీ వరకే ఉంచుకో.
अगर उसने हमें बेडरूम में देखा हो तो?	అతను బెడ రూమ లో మనలని చూశాడేమో?
मैंने बैंक में डैड के दोसत के दवारा विलियमस परिवार के सारे खातों की जाँच करवाई.	విలియమస కుటుంబసభయుల అందరి అకౌంటలను నానన సనేహితుడితో తనిఖీ చేయించాను.
पर हमें जाने से पहले मनोवैजञानिक का अपॉइंटमेंट लेना होगा.	కానీ మనం వెళలే ముందు ఒక సెకాలజిసటుని కలుసుకోవాలి.
तुमहें दरद हो रहा है?	నీకు నొపపిగా ఉందా?
कया उसने कुछ देखा था?	అతను ఏమెనా చూశాడా?
तुम गलत फैसला ले रहे हो!	నువవు సరిగగా ఆలోచించడం లేదు!
यह लो. पीयो.	ఇదిగో. తీసుకో.
सही कहा. हर दूसरे सपताहांत को.	ఖచచితంగా. పరతి రెండువారాలకి ఒకసారి.
तुमने उससे बात की?	మీరు ఆమెతో మాటలాడారా?
धनयवाद.	థాంకస.
सथिर रखने के लिए विविधता लाने की जरूरत है.	ఎందుకంటే సంసథ ఆదాయం ఇంకా అభివృదధి సథిరంగా ఉండాలి.
हाँ, वैसे, अगर वह कोई ऐसी चीज है जिस पर तुम सच में नियंतरण कर सकते तो,	అవును, అంటే, నా ఉదదేశం, దానిని గనుక మనం అదుపు చేసుకోగలిగితే,
कितने दुःख की बात है.	అది చాలా విచారకరం.
यह बकवास है, मिना.	అవి చెతత మాటలు, మినా.
मेरे पास सबूत है कि उसे लगता था कोई उसे मारने की कोशिश कर रहा था.	తనని ఎవరో చంపడానికి పరయతనిసతుననారని అతను భావించాడు అనడానికి ఆధారం దొరికింది.
शायद तुम नाराज हो कयोंकि वह मेरी परवाह करते थे.	ఆయన నా విషయంలో మంచిగా ఉండేవాడని నీకు కోపంగా ఉందనుకుంటా.
पैरामेडिक सात मिनटों में पहुँचेंगे.	పారామెడికల బృందం ఏడు నిమిషాలలో వచచేసతారు.
मुझे अब भी समझ नहीं आया कया हुआ था.	ఏం జరిగిందో నాకు ఇపపటికీ అరథం కావడం లేదు.
पता नहीं तुम यह कैसे करती हो.	అవననీ ఎలా చేసతుననావో తెలియడం లేదు.
मुझे तुमहारी माँ को कुछ दिखाना है.	నేను మీ అమమకి ఒకటి చూపించాలి.
नाटक करता कि पिछले एक साल से हमारे बीच कुछ नहीं हुआ?	కిందటి సంవతసరం నా పకకలో పడుకుననది నువవు కాదు అననటలు నటించాలా?
मैं. . . तुम. . .	నేను. . . నువవు. . .
और फिर मैंने तुमहारे आकरषक साथी को देखा,	కానీ అకకడ నీ అందమెన జోడీని చూశాను,
कैसे तुम घर से तट तक पहुँचे?	మీ ఇంటి నుండి మరీనాకి ఎలా వచచారు?
मेरी पकड जरूरत से जयादा मजबूत है.	నా పటటు చాలా గటటిగా ఉంటుంది.
कया कह रही हो? कोई नहीं मारना चाहता है.	నువవు దేని గురించి మాటలాడుతుననావు? ఎవవరూ లేరు.
-कया? -नहीं तो वे उस रात वहाँ कयों थीं?	-ఏంటి? -ఆ రాతరి వాళలు అసలు అకకడ ఎందుకు ఉననారు?
-मैंने पूछा तुमहारी जेब में कया है. -कुछ नहीं.	-నీ జేబులో ఏం ఉందని అడిగాను? -ఏమీ లేదు.
वह संदेश जो तुमने कल रात छोडे थे.	నినన రాతరి నువవు కొనని సందేశాలు పంపావు.
कयोंकि वह डॉलमन सटरीट में है, और हम वहाँ कैब में पाँच डॉलर में पहुँच सकते हैं.	కాసాబలాంకా బార కి వెళలి, అకకడ నీ బాహువులలో ననను బందీని చేయచచు కదా.
उस समय, मुझे लगा कि यही बेहतर है.	ఆ సమయంలో, నీకు ఏం చెపపాలో నాకు తోచలేదు.
और तुम एक हो परिवार से हो.	పెగా మీరు ఒకే కుటుంబం.
तुमहारे बेटे को आज तुमहारी जरूरत थी. तुम कहाँ थी?	నీ పిలలవాడికి ఈ రోజు తలలి అవసరం పడింది. నువవు ఎకకడ ఉననావు?
हम तुमहें और परेशान नहीं करेंगे.	మేము మిమమలని ఇబబంది పెటటము.
-एमबुलेंस बुलाओ. जलदी! -तुम मजाक कर रहे हो?	-అంబులెనస ని పిలు, తవరగా! -ఇదంతా నిజంగా జరుగుతోందా?
आम तौर पर लगता है कि किसी अलटीमेट फाइटिंग चैंपियन के साथ सोया हूँ. . .	ఒక అలటిమేట ఫెటింగ చాంపియన తో పకకని పంచుకుననటలు ఉంటుంది. . .
तुम बेहद बुरी सथिति में थे. हाँ.	నువవు చాలా దారుణసథితిలో ఉననావు. అవును.
चलो भी. उसे अपनी पराथमिकताएँ पता हैं.	ఇలా చూడు. తను ఏం చేయాలో తనకి సపషటంగా తెలుసు.
नहीं. जैरलड समझेगा अगर तुम वह सथगित कर दो.	లేదు. నువవు వాయిదా వేసినా జెరాలడ అరథం చేసుకుంటాడు.
तो हम घर पर अकेले होंगे और खुलकर बात कर सकेंगे.	కాబటటి మనం మాతరమే ఇంటలో ఉంటాం, మనం ఎంతెనా మాటలాడుకోవచచు.
बस सोचो कि हमें कया खोना होगा, हम कितना खो चुके हैं.	మనం ఎంత కోలపోతామో ఒకసారి ఆలోచించు, మనం ఇపపటికే చాలా నషటపోయాము.
कह दो कि तुमहारे पास वह चेक है.	ఆ చెక నీ దగగర ఉందా, చెపపు.
मुझे लगता है, यह जयादा छोटी है.	ఇది, చాలా చిననది అనుకుంటా.
दिख नहीं रहा मैं कितनी घबराई हुई हूँ?	అది ననను ఎంత భయపెటటిందో చూశావా?
आपको इस नाइटी में ठंड लग जाएगी.	ఆ నెటీలో నువవు చలికి గడడకటటుకుపోతావు.
वह काफी वयसत है, जेपी. यह असपताल है.	తను చాలా బీజీగా ఉంది, జెపి. ఇది ఒక హాసపిటల.
मुझे पता है कि मैं उनहें रोकने के लिए कुछ नहीं कर पाता,	ఆయనని ఆ పని చేయకుండా నేను అడడుకోలేకపోయేవాడిని,
और हमारा यह भी मानना है कि कैबिन में लगी जिस आग का शरी विलियमस ने दावा किया था,	ఇంకా విలియమస కలెయిమ కోసం దరఖాసతు చేసిన ఆ మంటలలో దగధమెన కయాబిన కూడా
मुझे काम पर जाना है.	నేను ఉదయోగానికి వెళలాలి.
शाबाश.	శభాష.
जानती हूँ.	నాకు తెలుసు.
उसे अकेले बाहर खींचना इतना आसान नहीं था.	ఒక పెదద విగరహానని బురద నుండి లాగినంత పని అయింది.
पकका मैं फिसल गया हूँगा.	నేను జారిపడి ఉంటాను.
जो अपने बॉयफरेंड का खून करती है जब उसे पता चलता है कि वह उसके भाई के साथ सोया.	తను తన సోదరుడితో గడిపిందని తెలుసుకుని తన బాయ ఫరెండ ని చంపేసతుంది.
-तुम बता चुकी हो कि तुम मेरा यकीन नहीं करती. -यह सच नहीं है.	-ననను నమమవని ఇందాకే చెపపావు. -అంటే, అది నిజం కాదు.
कृपया, इनके लिए थोडा पानी और एक गुलदान ढूँढो.	వీటిని పెటటడానికి ఒక పాతర ఇంకా నీళలని దయచేసి తీసుకురా.
-रिच. -ए, फरगल.	-రిచ. -హేయ, ఫెరగల.
ए, मुझे वापस फोन करो	ఓయ, నాకు తిరిగి కాల చేయి
और वैसे, यह मूँछें नहीं हैं. बस हलके बाल हैं!	అననటలు, అది మీసం కాదు, కొదదిగా సననని వెంటరుకలు మాతరమే!
और फिर भी, जैरलड के अनुसार, मेरा इंटरवयू काफी अचछा था.	అయినా కూడా, జెరాలడ చెపపిన దాని పరకారం, నేను ఇంటరవయూలో అదరగొటటాను.
और बरफ ले आना. मेरा फरीजर खराब है.	ఇంకా, ఐస తీసుకురా. నా ఫరీజర పాడయిపోయింది.
मैं आज देर नहीं कर सकता.	ఈ రోజు నేను ఆలసయంగా వెళలలేను.
अगर उसने यह किया है, तो पकका वह हमें जरूर बताती.	అతను గనుక చేసి ఉంటే, ఖచచితంగా ఆమె మనలని నమమి నిజం చెపపేది.
पर मैंने वह नेटबॉल परतियोगिता के कारण भेजा था.	కానీ అది నెట బాల టోరనమెంట గురించి కదా.
अगर तुमहें दुनिया में कहीं भी जाने का मौका मिले, तो कहाँ जाना चाहोगे?	పరపంచంలో ఎకకడయినా ఉండాలసి వసతే నువవు కోరుకునే పరదేశం ఏది?
मैं तुमहें कभी, कभी नाराज नहीं करूँगा.	నినను బాధపెటటే పనిని నేను ఎపపుడూ, ఎననడూ చేయను.
बस कह दो, मैमी. तुमहारे लिए कया कर सकता हूँ? कुछ भी?	ఏది కావాలననా అడుగు, మామీ. నీ కోసం నేను ఏమెనా చేయాలా? ఏమెనా సరే?
अभी उस पर धयान मत दो, डेविड.	అది అంత ముఖయమెన విషయం కాదు, డేవిడ.
देखो. . . जान.	చూడు. . . బంగారం.
तुमहारी दया से भी बदतर है तुमहारी आतम-दया.	నువవు జాలి పడటం కననా ఘోరమెనది ఏమిటంటే నీ సెలఫ పిటీ.
जेपी की माँ ने बैका को आठ हजार का चेक दिया था.	జెపి తలలి బెకాకి ఎనిమిది వేల యూరోలని చెక రూపంలో ఇచచింది.
मुझे तुमहारे फलैट में तुमहारी बाँहों में रहकर उतनी ही खुशी होगी.	నీ ఫలాట లో కరరీ తింటూ నీ చేతులలో బందీని కావడం నాకు అంతకననా సంతోషం కలిగిసతుంది.
तुमहारे भाई ने भी अपने पिता को खोया है.	నీ అననయయ కూడా తండరిని కోలపోయాడు.
-आप यहाँ से नहीं जाना चाहती हैं? -मैं कयों जाऊँगी?	-నీకు ఈ ఇలలు వదిలి వెళలాలని ఉందా? -ఆ పని నేను ఎందుకు చేసతాను?
हे भगवान.	ఓహ, దేవుడా.
माफ करना.	ఇలా చూడండి.
मैट. मैट.	మయాట. మయాట.
बढिया है.	చకకగా ఉంది.
-ऐसे चुपके से मेरे पास मत आओ. -शांत हो जाओ. यह मैं हूँ.	-అలా ఇంకెపపుడూ నా మీద పడకు. -నిదానించు. నేనే.
हे भगवान. कया हुआ?	ఓహ, దేవుడా. ఏం అయింది?
देखो, अगर हम वह लाश निकाल सकें,	చూడండి, మనం గనుక ఆ శవానని వెలికితీసతే,
जो मरजी हो, ले लो. चोर कहीं की.	నీకు కావలసింది నువవే చూసుకో. దొంగపిలల.
हाँ. सही कहा.	అవును. ఖచచితంగా.
हमें थोडी दूरी बनानी होगी.	మనం కొదదిరోజులు కలవకుండా ఉండాలి.
-देवियों. -ए.	-ఆడపిలలలు. -హేయ.
टिहुआना में तुमहारी बाँहों में, बैका.	టియువానాలో నీ బాహువులలో, బెకా.
-वैसे तुम यहाँ कया कर रहे हो? -तो मैं कया करता?	-అయినా నువవు ఇకకడ ఏం చేసతుననావు? -అంటే, నేను ఇంకేం చేయాలి?
उसकी जान बचाने की कोशिश कर रहा है.	ఒక మనిషి పరాణాలు కాపాడాలని పరయతనిసతుననాడు.
-धनयवाद. -और उसकी भी चिंता मत करो.	-ధనయవాదాలు. -అతని గురించి కూడా ఆందోళనపడకు.
तो हम सीटी सकैन करवाएँगे,	మేము సిటి సకాన చేయాలని చెపపాము,
वह मुझसे जयादा परेशान था.	నాకననా తనే ఎకకువ ఆందోళన పడడాడు.
हमें उसका नेजल सपरे नहीं मिल रहा है.	మనకి ఆ నాసల సపరే దొరకడం లేదు.
वह हमेशा मुझे परेरित करती है.	ఆమె ఎపపుడూ నాకు సఫూరతిగా నిలుసతుంది.
तो, मुझे तुमहारे साथ चलने दो.	సరే, నీతో పాటు అంతవరకూ నడిచి వసతాను.
बस उससे दूर रहना, समझे? समझे?	ఆమె నుండి దూరంగా ఉండు, సరేనా? సరేనా?
"किसे पता मैं कया करूँगा. " तुमने यही कहा था.	"నేను ఏం చేసతానో నాకే తెలియదు" అని. అవి నువవు అనన మాటలు.
जैसे कि मुझे मर जाना चाहिए था.	నేను చనిపోయి ఉండాలసింది.
पैरामेडिक को वहीं बुलाया गया था.	పారామెడికల బృందానని అకకడికి పిలిపించారు.
माफ कर दो.	కషమించు.
मैं?	నేనా?
कि शायद किसी ने उसे डरगस देकर पानी में फेंका था.	నీటిలోకి నెటటేశారని అనుమానిసతుననటలు తన సెకాలజిసటుకి చెపపాడు.
उसने कहा था कि वह फिसल गया था.	తను జారిపడడానని చెపపాడు.
ठीक है. बहुत-बहुत धनयवाद.	సరే. చాలా ధనయవాదాలు.
और बस उसका जीजा होने के नाते नहीं कह रहा हूँ.	అది కేవలం కుటుంబపరమెన అభిమానమే కాదు.
चुप रहो!	నోరు మూయి!
पकका तुमहें अपने भी काम होंगे.	మీ జీవితాలు మీకు ఉననాయి.
शांत हो जाओ.	శాంతంగా ఉండండి.
हैलो!	హలో!
हैलो?	హలో?
कया?	ఏంటి?
-वह बलानड के साथ गिफट शॉप में है. -सच में?	-అతను, బలానడ తో కలిసి గిఫట షాప కి వెళలాడు. -నిజంగానా?
बढिया है. बढिया है.	మంచిది. మంచిది.
शायद तुम मुझसे बेहतर जानते हो.	బహుశా ఆ విషయం నాకననా నీకే బాగా తెలుసు.
तो फिर पकका वह घर पर होगा.	అయితే అది ఆ ఇంటలోనే ఉండి ఉంటుంది.
नशे में धुत, बिना पैंट के.	కళలు తేలేయడం, వృషణాలు పరదరశించడం.
उसके घर जाकर उसे वह दे आओ.	నువవు అతని ఇంటి దగగర దానిని ఇవవు.
-मैट. -हाँ?	-మయాట. -చెపపు?
मुझे लगा शायद तुम नहीं आओगे.	నువవు రావు అనుకుననాను.
उनहोंने कहा कि मैं हमेशा सुनिशचित करूँ कि तुम सलामत रहो.	నినను బాగా చూసుకోవాలని ఎపపుడూ చెబుతుండేవాడు.
ए. मैंने अभी-अभी सुना. वह ठीक है?	హేయ. నేను ఇపపుడే విననాను. తను బాగానే ఉందా?
इसलिए तुमहें पकका यकीन होना होगा.	కాబటటి మీరు అది ఖచచితంగా జరిగిందని నమమాలి.
वैसे, सच कहूँ तो, इवा,	అంటే, సరదాగా చెపపాలంటే, ఈవా,
गरेस, बस लंबी साँस लो और. . .	గరేస, కొదదిగా ఊపిరి పీలచుకో ఇంకా. . .
सरकारी नौकरी करने के बावजूद, मुझे निजी जिंदगी का भी हक है.	నేను పరభుతవ అధికారిగా ఉననా, వయకతిగత జీవితానని జీవించే హకకు కూడా నాకు ఉంది.
पर, कया तुम इसे राज रख सकते हो कि मैं वहाँ थी?	కానీ, ఆ రహసయానని నీ వరకే ఉంచుకోగలవా?
तुमहें लगता है कि किसी ने उसे धकका दिया हो?	ఎవరెనా అతడిని నీటిలోకి తోసే అవకాశం ఉందని అనుకుంటుననారా?
-देखते रहो और मुझे बताना कया हुआ. -पर मैं अभी. . .	-మీరు చూసతూ ఉండి ఏం జరిగిందో నాకు చెపపండి. -కానీ నేను కేవలం. . .
दो गारवी बहनों को तट पर देखा था.	పరతయకష సాకషి మనతో ఉననాడు.
यह आसान नहीं है. मेरी माँ ने सालों संघरष किया.	అది అంత తేలికెన విషయం కాదు. మా అమమ చాలా ఏళల పాటు కషటపడింది.
तट. . .	మరీన. . .
हाँ. हाँ. हाँ.	అవును. అవును. సరే.
तुम कया कर रहे हो?	ఏం చేసతుననావు?
हे भगवान.	దేవుడా.
बढिया है.	మంచిది.
कैसा चेक?	ఏం చెక?
बढिया है.	మంచిది.
हे भगवान!	దేవుడా!
-तुम कया. . . -नहीं. चलो भी!	-ఏం చేసతుననావు. . . -లేదు. ఇలా చూడు!
-मुझे वापस दो! -दूर हटो!	-దానిని నాకు ఇవవు! -ననను వదులు!
हाँ, जरूर. चिंता मत करो.	అవును, బాగానే ఉంది. కంగారుపడకు.
मैं नहीं कर सकती, बेन.	నా వలల కాదు, బెన.
पता नहीं. शायद, पेंटोबारबिटल देकर?	నాకు తెలియదు. బహుశా పెంటోబారబిటాల వాడతారేమో?
आप इस घर में खुश हैं, है न?	ఈ ఇంటలో నువవు సంతోషంగా ఉననావు, కదా?
-तुम ठीक हो, मैमी. मैं तुमहारे साथ हूँ. -अह-हँ.	-నువవు బాగానే ఉంటావు, మామీ. నినను పటటుకుననాను. -హుమ. . . హుమ.
नहीं दिया?	నేను ఇవవలేదా?
कोई पैंट नहीं	పయాంట లేదు
मैं एक कोरियाई लडकी का यह शो देख रही हूँ	నేను టీవీలో ఒక షో చూసతుననాను అందులో ఒక కొరియన అమమాయి
उसे उस जगह से नफरत थी, पर अब पूरा समय वहीं बिताता है.	అతనికి ఆ పరదేశం అంటే ఇషటం ఉండదు, కానీ ఇపపుడు అసతమాను అకకడే ఉంటుననాడు.
-यह तुमहारी जिममेदारी है. -कब से?	-నా ఉదదేశం, అది నీ బాధయత. -అది ఎపపటి నుండి?
कृपया. मैं बस घर लौटना चाहता हूँ.	దయచేసి విను. నాకు ఇంటికి వెళలిపోవాలని ఉంది.
तुमने उनके साथ काम किया, उनके पास पले-बढे. . .	అవును, నువవు ఆయనతో కలిసి పని చేశావు, ఆయనతో పాటు ఎదిగావు. . .
हमें काम खतम करना होगा.	సరే, మనం ఈ పనిని పూరతి చేయాలి.
मेरे बिना शुरू कर दिया?	నేను లేకుండానే మొదలుపెటటేశారా?
तुमहें नहीं लगता कि काम की जयादा जिममेदारियाँ लेना तुमहारे लिए अभी बुरा होगा?	ఉదయోగంలో పని భారం పెరగడం నీకు కషటం అవుతుందని అనుకోవడం లేదా?
ठीक है. मैं बलानड को वापस ले जाऊँगी.	సరే. నేను బలానడ ని తిరిగి ఇంటికి తీసుకువెళతాను.
-उसका सपषट विततीय मकसद था. -अरे, धत.	-ఆమెకు ఆరథికంగా సపషటమెన ఉదదేశం ఉంది. -ఓహ, చెతత.
शायद इसे थोडा आराम कर लेने दो, फिर इससे बात करना?	బహుశా అతను మరికాసేపు విశరాంతి తీసుకుననాక మీరు మాటలాడటం మంచిదేమో?
यह पागलपन है.	అది ఘోరమెన విషయం.
आपने वह देखा?	నువవు అది చూశావా?
सोचा गरेस पहले ही काफी वयसत है, तो. . .	గరేస కి చేతి నిండా పని ఉందని తెలిసింది, కాబటటి. . .
तुम कया लोगी?	నువవు ఏం తింటావు?
किस बारे में?	అది దేని గురించి?
तुमहें आराम की जरूरत है. काम करने की नहीं.	నీకు కొదదికాలం విశరాంతి కావాలి. నువవు కాసత నిదానించాలి.
-तुम यह अभी करना चाहते हो? -हाँ.	-మీరు దీనిని ఇపపుడే చేయాలి అంటారా? -అవును.
अगर कोई मेरी आँख फोडता, तो मैं भी उसे मार डालना चाहती.	ఒక సవీడిష చెతతవెధవ గనుక నా కనను పోగొడితే, నేను వాడి చావుని కోరుకుంటాను.
चलो वह लाश निकालें.	ఆ శవానని వెలికి తీయిదదాం.
और कया तुमने कुछ देखा था?	నువవు ఏమెనా చూశావా?
बढिया पारिवारिक पुनरमिलन.	చకకని కుటుంబ కలయిక.
इस मेनू में शराब नहीं है.	ఈ మెనూలో మదయం లేదు.
मैं बस किसी आदमी की वजह से अचछे मूड में नहीं रहती हूँ.	నేను సంతోషంగా ఉండేది ఒక మగవాడి కోసం కాదు.
-चुप. . . बस चुप रहो. -तुमहें इतना कठोर कदम लेने पर मजबूर किया.	-అలా మాటలాడటం ఆపు. . . ఇంక ఆ మాటలు ఆపు. -నువవు తీవరమెన నిరణయం తీసుకునే చేసి ఉంటావు.
और मैं इसका हकदार हूँ.	ఇంకా పరమోషన కి నేను అరహుడిని.
-नहीं है. -ध. . . धत तेरी की.	-లేదు. -చెతత. . . పని.
हाँ, मैं बेहद खुश हूँ.	అవును, నేను చందమామపెన ఉననాను.
पता नहीं वो यह कैसे पीते थे.	ఆయన ఈ పానీయానని ఎలా తాగేవాడో తెలియదు.
उसे वहाँ जाकर देखना पसंद है.	అతను కిందకి వెళలి చూసుకుంటూ ఉండేవాడు.
भगवान, मानो सटैनली टूची मेरे घर में डाका डाल रहा हो.	ఓరి దేవుడా, అమెరికన నటుడు సటానలీ టూచీ నా ఇంటి మీద దాడి చేసినటలు ఉంది.
मैं आतमघाती नहीं हूँ. अगर. . .	నేను ఆతమహతయ చేసుకునే రకం కాదు. కానీ. . .
-कमजोर हिससा ढूँढ रही हो? -माफ करना.	-నా కండరాలను పటటుకోవాలి అనుకుంటుననావా? -కషమించు.
टिहुआना में.	టియువానా.
