मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
हम इसकी रिपोरट करके आपको नए होटल ले जाएँगे.	దీనిని నివేదిసతాము, ఓ కొతత హోటలకు తీసుకెళతాం.
-सुनो. -हमारे काम की सीमा समझने की कोशिश करो.	-విను. -మన పనికి ఉనన పరిమితులు అరథం చేసుకో.
-हैलो? -वे तुमहें बरबाद कर देंगे. वही करेंगे.	-హలో? -వారు మిమమలని నాశనం చేసతారు. చేసతారు.
अदालत में जयादा लोग हमारी बात से सहमत. . .	నయాయసథానం దగగర చాలామంది అంగీకరించరు మనం. . .
सिरफ वही आंदोलन है जो 1955 से सभी तानाशाहियों के खिलाफ खडा हुआ,	1955 నుంచి అనని నియంతృతవ పాలనలకు ఎదురొడడి నిలబడిన ఉదయమం అది ఒకకటే,
आप ओवरटाइम देते हैं न?	ఓవర టెమకు చెలలిసతారా?
तुम कहाँ जाना चाहोगे?	నువవు ఎకకడికి వెళతావు?
यहाँ काम नहीं कर सकते.	మనం ఇకకడ పని చేయలేము.
यातना देकर, अगवा करके,	హింసించటం, అపహరించడం,
अभियोकता को धमकी मिली	పరాసికయూటరకు బెదిరింపు
जूडिथ, यहाँ आओ, पलीज.	జుడిత, ఇటు రా, దయచేసి.
कहा कि वे नजर रखेंगे.	తాము గమనిసతుంటామననారు.
लेकिन खुद के लिए हूँ.	నా తరపున నేను ఇవవగలను.
एक नैपकिन पर कुछ लिखा.	నయాపకినపె ఏదో రాశాడు.
लेफटिनेंट जनरल होरखे रफाएल विडेला, एडमिरल एमिलियो एडुआरडो मासेरा,	లెఫటినెంట జనరల హోరగే రఫేల విదేలా, అడమిరల ఎమిలియో ఎడవరడో మసేరా,
-आपने टरोकोली की बात सुनी? -हाँ, टरोकोली.	-మీరు టరొకోలి పరసంగం విననారా? -హా, టరొకోలి.
"मुझे यातना देते समय उनहोंने मुझे पलटाया,	"వాళళు హింసించేటపపుడు, ననను వెనకకు తిపపారు,
-याद रखो, तुम मेरी करमचारी हो. -नहीं, सर, मैं सथायी करमचारी हूँ.	-నాకోసం పని చేసతుననటలు గురతుంచుకో. నేను ఖాయమెన ఉదయోగిని, సార.
-सिलविया! -वह कौन था?	-సిలవియా! -అది ఎవరు?
तुमहें सावधान करूँगा.	నేను హెచచరిసతుననాను.
मदरस ऑफ पलाजा दे मायो	పలాజా డి మాయో తలలులు
आपने जो कहा मुझे उसकी कोई जानकारी नहीं है.	మీరు పేరకొనన విషయం గురించి నాకు తెలియదు.
वे मुझे डराने में कामयाब हो गए, जज साहब.	వాళళు ననను అంతగా భయపెటటారు, నయాయమూరతిగారూ.
एक बेहतरीन आरोप-पतर.	ఒక గొపప ముగింపు వాదన.
सिसिलिया इनेस ककाबेलियोस आज भी लापता है.	సెసిలియా ఇనెస కకబెలోస ఇవాళటికీ కనబడటంలేదు.
हमें यह मौका मिला है.	ఇది మనకు ఉనన అవకాశం.
माँ! वेरो! पापा ने विडेला को जेल भेज दिया!	అమమా! వెరో! ఆయన విదేలాను జెలులో పెటటారు!
ऐसा लगता है जैसे एसमा एक कलब था जहाँ कैदी घूमते-फिरते रहते थे.	ఎసమా ఒక కలబ లాంటిదని, బందీలు లోపల తిరుగుతుంటారని అననటలుంది.
मैं चला गया. उससे कहना कि अपनी बेटी के साथ लंच पर गया हूँ.	ఇకకడ లేను, వెళళిపోయాను. నా కూతురితో భోజనానికి వెళళానని చెపపు.
तीन लोग मुझे मेरी कोठरी से ले गए. मेरी आँखों पर पटटी बंधी थी.	నా కళలకు గుడడ కటటి, ముగగురు నా సెల నుంచి ననను తీసుకెళళారు.
इसके 16 खंड, 4, 000 पनने, 709 मामले और 800 से जयादा गवाह हैं.	మొతతం 16 సంచికలు, 4, 000 పేజీలు, 709 కేసులు, 800 సాకషయాలు.
-यह अकेले नहीं कर सकते. -अकेले नहीं करूँगा. अपनी टीम रखूँगा.	-ఒకకడివే దీనిని చేయలేవు. -చేయలేను. నాకు నా బృందం ఉంటుంది.
-सच में? कितना फासीवादी है! -वही बनता जा रहा है. बिलकुल ठेठ.	-నిజమా? ఎంత కండకావరం! -అతను మెలలగా అలా మారాడు. సంపూరణంగా.
अदालतें जानकारी नहीं देंगी. अगर देंगी भी तो देर से देंगी.	నయాయసథానాలు సమాచారానని ఇవవవు. ఇసతే, అపపటికి సమయం అయిపోతుంది.
-मैं चला जाऊँ? -ऐसा करने की सोचना भी मत.	-నేను వెళళనా? -దాని గురించి ఆలోచించకు.
और एक असहाय इंसान का शारीरिक दमन करके?	ఒక నిససహాయ వయకతిని భౌతికంగా నిరమూలించటం?
मेरी माँ से बात हुई.	మా అమమతో మాటలాడాను.
उसे जेल जाना चाहिए.	అతను జెలుకు వెళళాలి.
हम नयायपालिका के अधिकारी हैं. अधिकारी.	మనం నయాయవయవసథ యొకక అధికారులం. అధికారులం.
तुमने कुछ नहीं कहा?	మీరు ఏమీ మాటలాడలేదా?
अगोसती को साढे चार साल मिली. वही बात है.	అగోసతి, నాలుగు ఏళళ ఆరు నెలలు. అది అదే.
और मैं इस अदालत की वैधता को नहीं मानता.	నేను ఈ నయాయసథానం చటటబదధతను గురతించను.
वहाँ किसी को आपके काम की परवाह नहीं है.	అకకడ మనం చేసే పనిని ఎవరూ పటటించుకోరు.
तुमहें लगता है तुम वह मुकदमा जीत जाओगे?	ఈ కేసు గెలుసతారని మీరు అనుకుంటుననారా?
और मैं उसकी दरदभरी चीखें सुन सकता था.	ఆమె బాధతో పెడుతునన కేకలను నేను విననాను.
-मेरी कोशिश है. . . -मैं समझा नहीं कि मैं अलग कयों हूँ.	-నేను పరయతనిసతుననాను. . . -నేను ఎందుకు భిననమో తెలియటంలేదు.
परेशान होना होता, तो मुझे रिटायर होकर नौकरी बदलनी पडती.	అరవాలసివసతే, నేను రిటెర అవటంగానీ, ఉదయోగం మారటంగానీ చేయాలి.
अरजेंटीना में लोकतंतर फिर से बहाल हुआ.	ఆ దేశానికి పరజాసవామయం తిరిగివచచింది.
हावी, तुम सोने जाओ.	హావి, వెళళి పడుకో.
सुरकषा की बात नहीं.	భదరత గురించి కాదు.
अटॉरनी जनरल के दफतर के बचचे साथ काम करने को तैयार हैं.	అటారనీ జనరల కారయాలయంలో మనతో పనిచేయాలనుకునే పిలలలు ఉననారు.
किलमेस, अवेशेनीडा.	కిలమెస, అవెలలానెదా.
आपको लगता है कि सेना ने सही किया था?	సెనయం మంచి పని చేసిందని అనుకుంటుననారా?
शांत हो जाओ, नौजवान. सब काबू में है.	శాంతించండి, బాబూ. అంతా అదుపులోనే ఉంది.
दुखद है, पर सच है.	విచారకరం కానీ నిజం.
जाहिर है, चूँकि वह एक गुमनाम फोन था,	తపపకుండా, కానీ అది ఒక అజఞాత కాల కాబటటి
खुद को सैनय परिवार का हिससा मानता हूँ.	నేను సెనిక కుటుంబానికి చెందినవాడిని.
तुमने चमक दिखा दी.	నువవు మెరుసతుననావు.
जज साहिबान, उसे बयान करने के लिए मुझे सिरफ तीन शबद चाहिए.	దానిని వరణించటానికి, మూడు ముకకలు చాలు, నయాయమూరతి గారు.
लैंबरुसचिनी को आठ.	లంబరూషిని, ఎనిమిది.
वह आयोग का अभिलेखागार चलाती है. वहाँ के गुर जानती है.	ఆమె కమిషన పాతపరతులు నిరవహిసతుంది. అకకడ వయవహారాలు తెలుసు.
अगर सेना ने बगावत की, और तुम जानते हो कि ऐसा हो सकता है,	సెనిక తిరుగుబాటు జరిగితే, ఏమవుతుందో నీకు బాగా తెలుసు,
मुझे शक है कि वह भेदिया हो सकता है.	అతను ఒక గూఢచారి ఏమో అని నాకు అనుమానం.
अचछा, इसे धयान में रखूँगा. शुकरिया.	సరే, నేను గురతుంచుకుంటాను. ధనయవాదాలు.
रोजी-रोटी चलाने के भी कई तरीके हैं.	జీవనోపాధికోసం అనేక రకాలుగా బతుకుతారు.
अरजेंटीनियाई सेना में लेफटिनेंट जनरल.	అరజెంటీనా సెనయానికి లెఫటినెంట జనరల.
तुम पसंद आने लगे हो, मोरेनो ओकामपो.	నువవు నాకు నచచుతుననావు మొరేనో ఒకాంపో.
उनहोंने हर जगह लोगों को अगवा किया था.	వాళళు పరతిచోటా మనుషులను అపహరించారు.
उस समय, मेरा साढे छह महीने का गरभ था,	ఆ సమయంలో నేను ఆరుననర నెలల గరభవతిని,
आपकी गवाही पूरी हुई, मैडम. शुकरिया.	మీ సాకషయం ముగిసింది, మేడమ. ధనయవాదాలు.
-आपने विडेला को जेल भेज दिया? -हाँ.	-మీరు విదేలాను జెలుకు పంపారా? -అవును.
न, वह फासीवादी है. उसके बचचे सैनय सकूल में पढते हैं.	వదదు, అతను అతివాది. అతని పిలలలు సెనిక పాఠశాలకు వెళతారు.
उनहें अगवा, परताडित, कतल और गायब नहीं करना चाहिए था.	వారు అపహరించలేదు, హింసించలేదు, చంపలేదు, అదృశయం చేయలేదు.
उसकी आँखों पर पटटी बंधी थी और हाथ हथकडियों में जकडे थे.	ఆమెకు కళళకు గంతలు కటటి, చేతులను కటటి సంకెళళు వేశారు.
नागरिक अदालत ने सैनय तानाशाही को आरोपी करार दिया था.	సాధారణ నయాయసథానం శికషలు విధించటం చరితరలో ఇదే మొదటిసారి.
फिर, मैं चला आया.	తరవాత వెళళిపోయాను.
तुम वह नहीं जानते.	నీకు అది తెలియదు.
एक निषपकष सुनवाई.	ఒక నయాయమెన విచారణ.
-मुझ जैसों ने नहीं लिखा था. -नहीं?	-నాలాంటి వయకతులతో రూపొందలేదు. -లేదా?
यकीनन नहीं जानती.	తెలియదని నా నమమకం.
शायद तुमहारी तरह.	మీలాగే, అనుకోవచచు.
फेडेरिको कोरालेस.	ఫెడెరికో కొరరాలెస.
-पहले कया करते थे? -मैं सेना में था.	-గతంలో ఏం చేశావు? -సెనయంలో ఉననాను.
-वह कहाँ हैं? -तुमहें नहीं बताऊँगी	-ఆయన ఎకకడ ఉననాడు? -నేను నీకు చెపపను.
जज साहब, यह परतिवादियों की चाल है.	నయాయమూరతిగారూ, ఇది పరతివాదుల ఎతతుగడ.
हम सुनवाई करेंगे.	మేము కొనసాగిసతాము.
किस बात का शक है?	నీ సందేహాలు ఏమిటి?
कुछ घंटों बाद, अपनी बेटी की तलाश कर रही उसकी माँ को भी	కొనని గంటలతరవాత, తన కూతురిని వెతుకుతునన తలలిని కూడా
मैं नहीं चाहता कि तुमहें कुछ हो जाए.	మీకు ఏమీ జరగకూడదని కోరుకుంటుననాను.
और जयादा गंभीर नतीजे सामने आए हैं.	మరింత దారుణమెన పరిణామాలు సంభవించాయి.
तुमहें अंदाजा नहीं	నీకు తెలియదు. . .
एक गोल छेद जो सिर में घुसने वाली गोली से मेल खाता है.	బులలెట తలలో చొచచుకుపోవటం వలన ఏరపడిన గుండరటి రంధరం.
कर सकती हो और करोगी. यह एक आदेश है.	నువవు చేయాలి తపపనిసరిగా. ఇది ఆజఞ.
लॉस अबेलोस डे ला नाडा. शानदार था.	లోస అబుయెలోస డి లా నదా. బాగా ఆడాడు.
-अरजेंटीना विरोधी अभियान है. -लुइस.	-అరజెంటీనా వయతిరేక ఉదయమం. -లూయిస.
मैं निशचय करके निकली कि कुछ भी करूँगी, चाहे कामपो दे मायो ही जाना पडे.	ఏదో ఒకటి చేయాలని నిశచయించుకుననాను, కంపో డి మాయోకు వెళళాలనుకుననాను.
अभियोजन पकष औपचारिक रिपोरट दरज करे,	పరాసికయూషన ఒక నివేదిక సమరపించాలి,
-कया? तुमने उनका पीछा किया? -हाँ.	-ఏమిటి? వాళళను వెంబడించావా? -అవును.
वह मेरा तीसरा बचचा था, मैं जानती थी कि जलदी होगा.	అది నా మూడో బిడడ, అది తవరగా జరుగుతుందని నాకు తెలుసు.
मैं भेदिए का मतलब जानती हूँ, बेटा.	గూఢచారి అంటే నాకు తెలుసు బంగారం.
जब भी तुम चल सको.	నీకు వీలెనపపుడు.
पहले हम तुमहारे बेटे को मारेंगे.	మొదట, మేము మీ అబబాయిని పటటుకుంటాం.
मैं केस 13 चौरासी की शुरुआती सुनवाई आरंभ होने की घोषणा करता हूँ,	కేసు నంబర 13/84 యొకక పరాథమిక విచారణ పరారంభమెనటలు నేను పరకటిసతుననాను,
-गरीनसपुन. -वही.	-గరినసపున. -ఆయనే.
पुलिस, दरवाजा खोलो! दरवाजा खोलो!	పోలీస, తలుపు తెరువు! తలుపు తెరువు!
आपका सबूत पेश है.	మీ సాకషయం ఇదిగో.
अब मुझे जाने दें.	ఇక నేను వెళతాను.
मैं जा चुकी हूँ.	నేను వెళళిపోయాను.
हूलियो, माफ करना.	హూలియో. మననించు.
नीरो वाला संकेत?	నీరో రకం సంజఞా? "
गोद भी न ले पाए?	ఎవరికి హకకు ఉంది?
उसकी बहन की दी गई जानकारी की बदौलत उसे पकडा गया था,	ఆమె సోదరి ఇచచిన సమాచారం దవారా ఆమెను పటటుకుననారు,
-मैं अभी आता हूँ. -बताओ कि कैसे.	-నేను ఇపపుడే వసతాను. -ఎలాగో చెపపు.
सुनो, शायद आज रात मैं बचूँ नहीं.	విను, నేను ఇవాళ రాతరికి చనిపోవచచు.
कौन सोच सकता है कि देश की आधी जनता कतल हो रही थी	వాళళు దేశంలో సగం మందిని చంపుతుననారని ఎవరికి తెలుసు,
और उसे जोरदार होना चाहिए, कयोंकि साफ तौर पर उसपर काफी कुछ निरभर है.	అది కొటటొచచినటలు ఉండాలి, ఎందుకంటే దానిపెనే చాలా ఆధారపడిఉంటుంది.
बरिगेडियर जनरल आरतूरो बैसिलियो इगनासियो लामी डोजो.	బరిగేడియర జనరల అరటూరో బాసిలో ఇగనాసియో లామి డోజో
उसका नया बॉयफरेंड बहुत अजीब है.	ఆమె కొతత బాయ ఫరెండ వింతగా ఉననాడు.
तब शुरू हुआ जब अरजेंटीना के तट पर	నమమకదరోహం, తీవరవాదం బయలుదేరటంతో
तुम जेवियर और वेरोनिका के बाप हो?	మీరు హావియర, వెరోనికాల తండరేనా?
इसे अकेले नहीं कर सकते. अकेले में तुमहारा कलाकार दोसत भी शामिल है.	నువవు ఒకకడివే చేయలేవు. ఒకకడివే, అంటే నీ నాటకాల సనేహితుడు కూడా.
-कुछ नहीं. आम बातें. -आम बातें?	-ఏమీ లేదు. మామూలే. -మామూలే ఏమిటి?
सैनय सरकार के कमांडरों के खिलाफ	కమాండరలకు వయతిరేకంగా మీ సాకషయానని
उनहोंने मेरी बचची को एक मेज पर रखा. वह ठंडी, गंदी थी और रो रही थी.	పాపను ఒక బలలపె పడుకోబెటటారు. ఆమె తడిగా, మురికిగా, ఏడుసతూ ఉంది.
वायु सेना को निरदोष होना चाहिए.	వెమానిక దళం సవచఛంగా బయటకు రావాలి.
जैसे ही मिलती है, आपको बता देंगे.	రాగానే, మేము మీకు తెలియజేసతాము.
आपको पता है कि सेना आपसे सबसे जयादा नफरत करती है?	సెనయంలో అధికులు మిమమలని దవేషిసతుననారని తెలుసా?
-मेरी आँखों पर पटटी थी. मुझे बंदूक मारी. -उनहोंने डिककी खोली. . .	-కళళకు గంతలు కటటారు. తుపాకితో కొటటారు. -పెటటెను సటన గనతో. . .
हम एक दूसरी जगह पहुँचे, जो संगमरमर के मेजों वाली एक बडी इमारत थी.	మేము ఇంకో చోటికి వెళళాము, ఒక పెదద భవనం, పాలరాయి బలలలు ఉననాయి.
यह कोई मजाक है?	హాసయమాడుతుననారా?
हे भगवान, यह परेशान कर रहा है! हावी, फोन उठाओगे?	భగవాన, ఇది పిచచెకకిసతోంది! హావి, ఫోన తీసతావా?
-भाड में जा, कमीने. -ताकि वह हमारा दिल बहला सके.	-దొబబెయ, వెధవా. -ఎందుకంటే మాకు వినోదం కావాలి.
25 अकटूबर, 1984 शुरुआती सुनवाई	అకటోబర 25, 1984 పరాథమిక విచారణలు
रहने भी दो, फेड.	చాలు ఆపు, ఫెడె.
आज यह तारीख है.	మనం ఇకకడ ఉననాము.
-आपका इंतजार कर रही थी. -अचछा.	-మీ కోసమే ఎదురుచూసతుననా. -అలాగా.
-चलिए भी. -कहाँ?	-రండి. -ఎకకడకు?
वह वहाँ पर हैं.	ఆయన అకకడ ఉననాడు.
सर, हमें बताइए.	సార, ఇటు చూడండి.
आप बैठ सकते हैं.	మీరు కూరచోవచచు.
-और तुमहारे सुरकषाकरमी? -एक दिन एक आदमी आया था, फिर गायब हो गया.	-మరి నీ భదరత పరిసథితి? -ఒక మనిషి ఒక రోజు వచచాడు, తరవాత మాయం.
तुमने जो किया उसने कइयों की उममीद जगाई है. बैठो.	నువవు చేసిన పనితో ఎందరికో ఆశ కలిగింది. కూరచో.
मैं शांत ही हूँ.	శాంతంగా ఉననాను.
तुमसे कुछ कहूँगी, जो मैंने पहले कभी नहीं कहा.	ఇంతకుముందు ఎపపుడూ చెపపనిది ఇపపుడు ఒకటి చెబుతాను.
कयों न कहें. . .	ఇదెలా ఉంది. . .
आप बैठ सकते हैं.	మీరు కూరచోవచచు.
गुरिलला अगवा करते और मारते थे.	విపలవకారులను కిడనాప చేసి చంపారు.
वे बैठ गए. मुचछड और काले बाल वाला आमने सामने थे.	కూరచుననారు. మీసాలు, నలలటి జుటటు చివరన ఉననారు.
तुम कया कर रहे हो? चलो सो जाओ.	మీరు ఏమి చేసతుననారు? నిదర పొండి.
-तो? -वह आईं और खुद को कमरे में बंद कर लिया.	-అయితే? -ఆమె వచచి గదిలోకి వెళళి తాళం వేసుకుంది.
मैं टेलीचिया, सैलवाडोर और सटुरला को बुला लूँगा.	నేను తెలెచియా, సాలవడోర, సటురలాలను పిలుసతాను.
"ये आततायी हैं जिनहोंने खून बहाया और लूटपाट की.	"రకతపాతం, దోపిడీలను చేయించేవారు పరజాకంటకులు.
सैनय सरकार पर मुकदमे में इतिहास में पहली बार	సెనికాధికారులపె విచారణలో ఒక సెనిక నియంతృతవానికి
पलीज, बैठ जाओ. बैठ जाओ, हूलियो!	కూరచో, దయచేసి. కూరచో, హూలియో!
-टेलीचिया? -उसने मना कर दिया.	-తెలెచియా? -అతను రానని చెపపాడు.
कया आपको सच में धमकी मिली थी?	మీకు బెదిరింపులు రావటం నిజమేనా?
कैसे हैं? मिले हुए अरसा हो गया!	ఎలా ఉననావు? చాలా కాలం అయింది!
तकलीफ देने के लिए माफी चाहूँगा.	ఇబబంది పెటటినందుకు మననించాలి.
एक गलियारे में मेरी बीवी सहित	ఒక హాలులో, మిగిలినవాళళతో కలిసి,
जब जाने लगा तो उनहोंने कुछ कहा.	నేను వసతుననపపుడు ఏదో చెపపాడు.
-बोलो. -एक निरमम परतिकरिया. . .	-కానివవు. -ఒక దుషట సపందన. . .
अभियोकता हूलियो सीजर सटरासेरा	పరాసికయూటర హూలియో సెసార సతరసేరా
पूरे देश में हिंसा का राज था,	హింసాకాండ దేశమంతటా రాజయమేలింది,
मुचछड के सिवा, उसने वाइन मँगाई.	మీసాలు మాతరం వెన ఆరడర ఇచచాడు.
मैं हुआन पाबलो नोरिएगा को ढूँढ रही हूँ. . .	నేను హువాన పాబలో నోరియేగా కోసం చూసతుననాను. . .
यातना देने वालों में से एक मेयर का करमचारी है.	హింసించిన వాళళలో ఒకడు మేయర దగగర పనిచేసతాడు.
अब हम गवाही के लिए मिसटर इटालो अरजेंटीनो लयूडर को बुलाते हैं.	ఇపపుడు డాకటర ఇటాలో అరజెంటినో లూడరను బోనులోకి పిలుసతుననాం.
और नीरो वाले अँगूठा नीचे करने के संकेत से सजा सुनाई जाने लगी.	హేతుబదధమెన శికషల సథానంలో నీరో రకం బొటనవేలు కిందకు సంజఞలు.
-कहने को और कुछ नहीं है! -हूलियो, तरक का इंतजार करते हैं.	-చెపపటానికి ఇంకా ఏమీ లేదు! -హూలియో, మనం వాదన కోసం వేచిచూదదాం.
-वे वैसा कर रहे हैं न? -वह बात नहीं करना चाहता, सिलविया.	-వాళళు అది చేసతుననారు, కదా? -దాని గురించి మాటలాడను, సిలవియా.
तुम लोगों को कुछ हो सकता है.	మీకు ఏమయినా అవుతుందేమోనని భయం.
माफ करना, एंटज.	కషమించు, అంటజ.
उसने वजह बताई?	ఎందుకో చెపపాడా?
-करीजो? -नहीं.	-కరరీజో? -లేదు.
एडमिरल एमिलियो एडुआरडो मासेरा.	అడమిరల ఎమిలియో ఎడవరడో మసేరా.
अटॉरनी जनरल के लिए काम करता हूँ. परोफेसर हूँ.	అటారనీ జనరల కింద పనిచేసతాను. ఒక పరొఫెసరను.
अचछा. शुकरिया.	సరే, ధనయవాదాలు.
अचछा, शुकरिया.	సరే, ధనయవాదాలు.
आरंभ होने की घोषणा करता हूँ,	సంబంధించిన 13/1984 నంబర కేసులో
गवाह को बचाव के लिए इतने अहम	పరతివాది పకషానికి ఎంతో ముఖయమెన
तुम बहुत जिददी हो. तुमसे बहस नहीं कर सकता.	నువవు చాలా మొండివాడివి. నేను నీతో వాదించలేను.
आपकी गवाही. . .	మీ సాకషయం. . .
और वह था इस कैदी से कहलवाना,	కేవలం ఆ ఖెదీతో ఒకటి చెపపించటం,
हाँ, सटरासेरा.	సతరసేరా, అవును.
मिसटर सेकरेटरी.	కారయదరశి గారూ.
राषटरपति अलफॉनसिन कहाँ होते?	అధయకషుడు అలఫోనసిన ఎకకడ ఉంటారు?
जानते हो हम कहाँ जा रहे हैं?	మనం ఎకకడకు వెళుతుననామో తెలుసా?
मैं समझता हूँ.	నాకు అరథమయింది.
और गंभीर चेहरा बनाए सुनता रहा.	గంభీరమెన ముఖం పెటటి విననాడు.
मेरी बात सुनिए.	నా మాట వినండి.
-नहीं, जाग रहे हैं. -कौन है?	-లేదు, మేలుకునే ఉననారు. -ఎవరు?
अरजेंटीना, 1985	అరజెంటీనా 1985
मुझे दूसरी जगह पर ले जाया गया और लडकियाँ जानती थीं कि मेरा बलातकार हुआ था.	ననను వేరే చోటుకు తీసుకెళళారు, నాకు తెలిసిన అమమాయిలను అతయాచారం చేశారు.
उनहें लगता है कि यह उनके, परिवार के और देश के खिलाफ है.	అది తనకు, కుటుంబానికి, దేశానికి వయతిరేకమని అతను అనుకుంటాడు.
कयोंकि हमारी जिममेदारी गुमनामी पर नहीं, बलकि याद के आधार पर	మరుపు ఆధారంగా కాకుండా జఞాపకాల ఆధారంగా మనం శాంతి సథాపనను
-नहीं, मैं कुछ भी बदलना नहीं चाहता. -हूलियो.	-లేదు, ఏదీ మారచటం నాకు ఇషటంలేదు. -హూలియో.
यह अदालत सुनवाई की सुरकषा की गारंटी देती है.	ఈ నయాయసథానం విచారణకు భదరతను హామీ ఇసతోంది.
-अदालत अचछे से जानती है. . . -कुछ और बात?	-నయాయసథానానికి బాగా తెలుసు. . . -ఇంకా ఏమెనా?
ओमार डोमिंगो रूबेनस गरैफिनया.	ఒమర డొమింగో రూబెనస గరఫిగనా.
उनहोंने बेतुकी बातें पूछीं.	అసభయమెన పనులు చేయమని అడిగారు.
-हैलो, कैसे हैं? -गुड ईवनिंग.	-హాయ, ఎలా ఉననారు? -నమసకారం.
वे मदरस ऑफ पलाजा दे मायो हैं.	వాళళు పలాజా డి మాయో తలలులు.
जज साहब, अभियोजन पकष के पास	నయాయమూరతిగారూ, పరాసికయూషన వదద
महीनों तक मुझे कैद में रखा.	నెలల తరబడి ననను నిరబంధించారు.
मैंने आँखों की पटटी हटाई. . .	నా కళళకు గంతలను తీశాను. . .
उनहें लगता है कि यह शुरुआत है, आगे और भी मुकदमे होंगे.	ఇది పరారంభం అని, విచారణలు కొనసాగుతాయని వారు అనుకుంటుననారు.
"अरजेंटीनियाई समाज और कानून ने हमें यह अभियान सौंपा है	"నయాయంకోసం మీ వదదకు రావటం" అనే పనిని అరజెంటీనా సమాజం, చటటం
-और कायराना. -हाँ, कायराना.	-ఇంకా పిరికి. -అవును, పిరికి.
उनहोंने उसे देखा और पढा भी.	వాళళు దానిని చూశారు, చదివారు.
अपने काम की जिममेदारियाँ अचछे से जानता हूँ.	నా ఉదయోగంలో ఏమి చేయాలో నాకు బాగా తెలుసు.
"वह डुरान से भी मुककेबाजी कयों नहीं करता? "	"అతను డురానతో కూడా ఎందుకు పోరాడటంలేదు? "
-कि नयायपालिका सवतंतर है. -उसने कया कहा?	-నయాయ వయవసథ సవతంతరమెనది అని. -అతను ఏమననాడు?
हम पकषों को सूचित कर दें कि सुनवाई के दौरान	ఈ విచారణ సమయంలో మాటలాడుతునన వయకతి తపపితే
और इस तखतापलट के बाद विनाशक गुरिलला के परति	ఈ తిరుగుబాటు తరవాత, విదరోహక విపలవకారులపె
आप हँस कयों रहे हैं? यह गंभीर मसला है. बहुत गंभीर है.	మీరు ఎందుకు నవవుతుననారు? ఇది గంభీరమెన విషయం. చాలా గంభీరం.
उनहोंने बेटे का कतल किया, बाप को अगवा किया, फिर दादी के साथ बदसलूकी की.	వారు కొడుకును చంపారు, తండరిని అపహరించారు, నాయనమమను ఇబబంది పెటటారు.
आरोप साबित करने की जिममेदारी इकलौते अभियोकता, हूलियो सटरासेरा की होगी.	నేరాభియోగం చేయాలసిన బాధయత దాని ఏకెక పరాసికయూటరదే, హూలియో సతరసేరా.
वे पलस अलटरा में मिले. इससे तुमहें कुछ समझ में नहीं आता?	వాళళు పలస అలటరా దగగర కలిశారు. అంటే నీకు అరథం కాలేదా?
मैं खोलती हूँ.	నేను చూసతాను.
हम अभियोकता को सूचित कर दें?	పరాసికయూటరకు తెలియజేదదామా?
तुमने सही कहा.	నీ మాట నిజమే.
अहम चीजें उसी तरह की गई थीं.	ముఖయమెన పనులు అలా జరిగేవి.
-सच में? -वह बूढा हो गया है.	-ఇపపటికే? -అతను ముసలివాడు.
वे कह सकते हैं, "मैंने किसी को नहीं मारा. मैंने किसी को यातना नहीं दी.	"నేను ఎవరినీ చంపలేదు. ఎవరినీ హింసించలేదు, కిడనాప చేయమనలేదు, " అని
ऊपर मौजूद सभी ने उसे पढा है.	అకకడ అందరూ దానిని చదివారు.
-ठीक है. -हाँ.	-సరే. -అవును.
-हूलियो. -जरा रुको. कया हुआ?	-హూలియో. -ఒకక కషణం. ఏమిటి?
चिंता मत करो.	కంగారు పడొదదు.
-उनहोंने कया कहा? -कुछ नहीं.	-ఆమె ఏమననారు? -ఏమీ అనలేదు.
बेशक, शुकरिया. मुझे एक महीने से धमकियाँ मिल रही हैं.	తపపకుండా, ధనయవాదాలు. నెల రోజులుగా బెదిరింపులు వసతుననాయి.
-लुइस. -देखो.	-లూయిస. -చూడు.
हाँ, हम उस पर लगे हुए हैं.	అవును, దానిపె పనిచేసతుననాము.
कामयाब हुए हो.	ఆకటటుకుననావు.
वे यह साबित करने की कोशिश करेंगे कि आप पीडित नहीं, एसमा के करमचारी थे.	నీవు బాధితుడివి కాదని, ఎసమా ఉదయోగివని నిరూపించటానికి పరయతనిసతారు,
अपने साथियों को दगा देने पर मजबूर किया.	మా కామరేడలపె చాడీలు చెపపేలా బలవంతం చేశారు.
या किसी दबाव में नहीं आते.	మనపె ఎవరినీ ఒతతిడి చేయనీయము.
मुझे नहीं पता.	నాకు తెలియదు.
दिख नहीं रहा?	నువవు చూడలేవా?
मिसटर गोंजागा,	గోంజాగా గారూ,
तुमने कया कहा?	మీరు ఏమననారు?
तकनीकी और वासतविक कारणों से,	సాంకేతిక, వాసతవిక కారణాలు,
शांति लाना है.	చేయగలుగుతాము.
सब सुनने लगे.	అందరూ విననారు.
-उनहोंने फैसला कर लिया. -और कया सजा दी?	-వాళళు ఒక నిరణయం తీసుకుననారు. -మరి శికషలు?
मुझे नहीं पता.	నాకు తెలియదు.
-मैं यह नहीं कर सकता हूँ. जरा सोचिए. -आखिर शुरुआत तो करनी ही थी.	-నేను దీనిని చేయలేను. ఆలోచించండి. -ఎలాగెనా నువవు దీనిని పరారంభించాలి.
