मिसटर आदिल खनना?	మిసటర ఆదిల ఖననా?
- मैं मानता हूँ. - ये ठीक नहीं.	- అవును - అది బాగుండదు.
- बहुत ही अचछी लग रही हो! - सहेली: कमाल लग रही हो.	- నువవు చాలా బాగుననావు. - అదిరిపోయావ.
फेरे बाद में हो जाएँगे.	పరదకషిణలు ఆగగలవు.
हाँ, मैडम.	సరే, మేడమ.
आइएएस में है, लोगों की सेवा करना चाहता है.	తను ఐ. ఎ. ఎస లో ఉననది పరజలకి సేవ చెయయాలకుంటుననాడు కాబటటి.
- गलती? - हाँ.	- ఒక తపపా? - అవును.
नताशा: आप लोगों से मिलकर अचछा लगा.	కలిసినందుకు ఆనందంగా ఉంది,
डरामेबाजी बंद कर.	అంతలా నాటకాలాడకు.
मुझे पता था इस सब के पीछे कोई तो वजह होगी.	నాకు తెలుసు దీనికంతటికీ ఏదో సమాధానం ఉంటుందని.
विशाल को पता है आप लोग कया कर रहे हैं?	విశాల కి మీరు చేసతుననది తెలుసా?
- पूरी तरह. - नहीं. उममीद है आप	- లేదు, లేదు, లేదు. - పూరతిగా.
बडी नाजुक पकड है तेरी.	చాలా నాజూకు పిలలవి నువవు, కదా?
देख, एक चीज हो सकती है.	చూడు, ఒకటి చెయయచచు.
तुमहें लगता है वह उससे पयार करता है?	అతను తనతో పరేమలో ఉననాడంటావా?
इतनी मुशकिल से मिला है.	ఎంత కషటపడితే దొరికాడు.
तुमहारी दुरघटना हुई थी, आदिल.	నీకు ఏకసిడెంట అయయింది, ఆదిల.
जैज: ये सब सामान हमारे पास कयों छोडा हुआ है?	ఈ సామానంతా మన దగగర ఎ౦దుకు వదిలేసారు?
मैं सब कुछ ठीक कर दूँगा, वादा करता हूँ.	నేనంతా సరి చేసతాను, ఒటటేసతుననా.
मुझे तुमहारी बात पर यकीन नहीं, आदिल.	నేను నినను నమమటలేదు, ఆదిల.
- हे भगवान, मुझे. . . माफ कर दे, यार, मैं. . . - हाँ?	- అయయో, ననను కషమించు, నేను. - సరే చెపపు?
- गुड मॉरनिंग, सर. - करन: गुड मॉरनिंग.	- గుడ మారనింగ, సర. - మారనింగ.
तुमहारे माँ-बाप ने मेरे माँ-बाप से चार करोड रुपयों का दहेज माँगा है?	మీ పేరెంటస మా పేరెంటస నుండి 4 కోటలు కటనం అడిగారు.
परणव: अरे, यार!	హే, మాయమెపోయావ?
खुद शादी की तैयारी कर रहे हैं, इसका ये मतलब तो नहीं है	మన పెళళి ఖరచులు మనమే పెటటుకుంటుననంత మాతరాన
मुझे यकीन नहीं है कि फैजा किसी समपतति के लिए नीमराना गई थी.	ఫెజా నీమరానాలో పరాపరటీ చూడడానికి వెళళిందని నేను నమమను.
तो, लेंस में देखके बात करेंगे, पलीज.	లెనస లోకి చూసి మాటలాడండి పలీజ.
करन, जाहिर सी बात है, विशाल तो ये सब कहेगा नहीं, यार.	కరణ, విశాల ఎపపుడు దీని గురించి మాటలాడడు.
सीधा बता रही हूँ.	తిననగా చెబుతుననాను అంతే.
मेरे साथ आइए.	నాతో రండి.
अरे, यही तो वकत है. यही तो वकत है.	అరే. . . ఇదే సరెన టెం. ఇదే సరెన టెం.
हाँ, कयों नहीं. हम देख सकते हैं. कुछ ना कुछ तो जरूर मिल जाएगा.	సరే తపపకుండా మేం చూసతాం. మేం తపపక కనుకకుంటాం.
- मैं अभी होके आता हूँ. जी. - जलदी से.	- నేనిపపుడే మాటలాడొసతాను - తవరగా రమమను, పలీజ. ఓకే.
इसकी शुरुआत कब हुई?	ఎపపుడు మొదలయయింది?
- है ना? हाँ. - बिलकुल, बिलकुल.	- సరిగగా చెపపాను కదా? - అవును నిజమే చెపపావు.
डैड चाहते हैं मैं वापस चली जाऊँ.	నానన ననను వెనకకి వెళిపొమమంటుననారు.
तुमहारा जितना नाम है और जो तजुरबा है,	నీకునన పరపతికీ, అనుభవానికీ
और पेरिस में एक हफता, इससे इनके दिमाग सच में खुलेंगे.	ఇక పారిస లో ఒక వారం ఉంటే. . . అది నిజంగా వారి మనసులని ఓపెనప చేసతుంది.
सिसटर?	సిసటర.
साहस से भरा एक छोटा सा पल.	ఒక చినన ధెరయపు కషణం.
अपने ऑसकर वाले भाषण में तेरा शुकरिया अदा नहीं करूँगा.	నా ఆసకార సపీచ లో నీకు థాంకస చెపపనంతే.
- जी, सर? - पुलिसवाला: कया चल रहा है ये सब?	- యస సర? - ఇకకడ ఏం జరుగుతోంది?
हाँ, यार, कया?	సరే ఏంటి చెపపు?
तुमहें इन सब बातों की फिकर नहीं होनी चाहिए.	నువవు ఇలాంటి వాటి గురించి బాధ పడకూడదు.
विशाल को पता है?	విశాల కి తెలుసా?
फिर भी. इससे तुमहें कोई मतलब नहीं होना चाहिए.	అయినా కూడా అది నీ సమసయ కాకూడదు.
पैसे बहुत जयादा हैं, माँ? तो फिर मैं नहीं जाऊँगी.	అది చాలా ఎకకువా అమమా? అయితే నేను వెళళను.
भई, हम तो सीधे-सादे सरकारी नौकरी वाले लोग हैं.	మేము సింపుల గవరనమెంట సరవీస మనుషులం.
और इसे और आगे ले जाएँगे.	పె సథాయికి తీసుకు వెళళే వాళళమవుతాం.
मुझे फाइल लाकर देना.	నాకు ఆ ఫెల ఇవవండి.
नताशा: नफरत है, थोडा- बहुत पैसा भी है.	అసహయం, కొదదిగా డబబు అదీను.
परी! कया कहती हो? सारे भाई-बहनों के लिए एक-एक.	పరీత ఏమంటావు? కజినలందరికీ ఒకకోటి.
शादी बस हो जाए, फिर देख लेंगे.	పెళళి కానిచచేదదాం, తరవాత చూసుకుందాం దీనని.
आदिल कैसा है?	ఆదిల ఎలా ఉననాడు?
ये लोग जलद ही तुमहें घर जाने देंगे. शायद कल.	వాళళు నినను ఇంటికి తవరలో వెళళనిసతారు. బహుశా రేపు.
नहीं, तुम बिलकुल जाओगी, बाबा. चिंता मत करो, ठीक है?	కాదు, నువవు తపపకుండా వెళదువు లే సవీటీ. ఖంగారు పడకు, సరేనా?
बिंदु: भगवान की दया से, सब ठीक हो जाएगा.	దేవుడి దయ వలల, అంతా బాగానే ఉంటుంది.
टीचर: उममीद करती हूँ जलद ही सब बचचों से पेरिस में मुलाकात होगी.	మీ పిలలలందరినీ తవరలోనే పారిస లో చూడాలని ఆశిసతుననాను.
और वह फिर भी इसे वापस जाने को कह रहे हैं.	అయినా ఆయన తనని వెళళమంటుననాడు.
कॉफी पीने चलोगी?	ఓ కాఫీ తాగుదామా?
तुम ठीक हो, ये देखकर अचछा लग रहा है, बेटा.	నినను బాగా చూసి ఆనందంగా ఉంది, బాబూ.
पुलिस को लगता है कि वे नीमराना किले से वापस लौट रहे थे.	పోలీసులు అనుకుంటుననారు వాళళు నెమరానా ఫోరట నుండి వెనకకి తిరిగి వసతుననారని.
ये धूम-धडाका, शोर-शराबा, हमारे लिए नहीं है.	ఈ ధూం ధాములూ హడావిడీ మాకు సరిపడవు.
मिसटर नकवी: हाँ, हाँ. पता चलते ही तुमहें फोन कर दूँगा, हाँ. हाँ.	సరే సరే. మాకు తెలిసిన వెంటనే నీకు కాల చేసతాను, సరేనా?
अचछा, शुकरिया.	సరే మంచిది, థాంకయు.
तुमहारी पतनी तुमहारे पास से हिली तक नहीं.	నీ భారయ నినను వదిలి వెళలలేదు.
कल यही पहनके आ जाइओ. एक पतता आगे, एक पतता पीछे, टारजन की तरह.	ఒక ఆకు ముందూ ఒక ఆకు వెనకా వేలాడదీసుకుని రేపు అచచు టారజన లా కనపడు.
परी, पलीज.	పరీత, పలీజ.
अब आप तोहफों से खुश हैं?	ఇపుడు మీరు గిఫటస తో సంతోష౦గా ఉననారా?
अगर तुमहारे पास उनहें घूस देने के लिए पैसे ना होते तो?	నీకు వాళళకి లంచమిచచే తాహతతు లేకపోతే?
हमारी औरतें ऐसे सुलूक की हकदार नहीं.	మన సతరీలకి ఇలా జరగకూడదు.
याद दिलाने के लिए शुकरिया.	గురతు చేసినందుకు థాంకస.
कॉकटेल.	కాకటెయిల.
यकीन नहीं कि उसने तुमहें बुलाया.	తను నీకు కాల చేసిందని నేను నమమను.
- बिलकुल. - कितना कुछ है उनके पास.	- సరిగగా చెపపావు. - బోలెడంత ఆసతుంది వాళళకి.
टीचर: मेरे पास कुछ फारम हैं. . .	ఇకకడ నా దగగర రిజిసటరేషన ఫారమస కటట ఉంది.
शुकरिया, सर.	థాంకయు, సర.
तारा: ये भी उसी दुरघटना में थीं?	తను అదే కరాష లో ఉందా?
टीचर: अगर आप चाहें तो आकर ले सकते हैं.	మీరు వచచి వాటిని కావాలంటే కలెకట చేసకోవచచు.
परी? परी, सुनो.	పరీత? పరీత, విను.
कितनी खूबसूरत है ना नताशा?	- నతాషా అందంగా లేదూ? - అందుకనే. . .
- गुड मॉरनिंग, सर. - गुड मॉरनिंग.	- గుడ మారనింగ, సర. - గుడ మారనింగ.
शुरू से साथ हूँ. एक कमरे में, हम तीनों ने शुरुआत की थी.	మొదటి నుంచీ. ఒక రూంలో ముగగురం ఉండే వాళళం.
और बार-बार अपनी माँ को नहीं बुला सकती.	మా అమమని మాటిమాటికీ పిలవలేను.
ठीक कहती हो. बहुत खूबसूरत है ये.	అవును. ఇది చాలా బాగుంది.
नफरत जयादा, जान? ये जयादा बोल गई तुम.	అసహయం, అంటే అది కొంచెం అవలేదా?
जेल जाएगा, तो खुद ठीक हो जाएगा.	జెలుకెళతే వాడు సరవుతాడు.
हाँ. हाँ, बिलकुल.	సరే మంచిది, తపపకుండా.
तुम ऐसे जीते कैसे हो?	నువవు ఇలా ఎలా బతుకుతుననావు?
अचछा, मेरी जो बेइजजती की है, उसे तनाव समझ लेता हूँ और बाद में मिलूँगा.	సరే, టెనషన లో అనేశావ, పరలేదు నినను తరవాత కలుసతాను.
वैसे, तेरा ना बरेथ टेसट भी करना पडेगा.	మీకు బరీత ఎనలెజర టెసట పెటటాలి.
उतना बुरा नहीं है?	అంత విషయం కాదా?
सुबह से उसे फोन कर रही हूँ. कोई जवाब नहीं है.	తనకి పొదదుననుంచీ కాల చేసతుననాను. రెసపానస లేదు.
फैजा?	ఫెజా?
इतने लोगों में, वह फैजा निकली.	ఫెజాతో మరియు అందరితో.
सब कैसा रहा?	ఎలా జరిగింది?
तुम ठीक हो?	బానే ఉననావా?
ये तुमहारा कलब नहीं है. और मैं अपना दिवालिया नहीं निकालना चाहती.	ఇది నీ కలబ కాదు. నాకు దివాళా తియయాలని లేదు.
और उनहोंने सब कुछ बडा साफ-साफ कहा है.	ఇంకా వాళళు అననిటి గురించీ చాలా సపషటంగా ఉననారు.
नहीं, नहीं, नहीं. आदिल चलेगा.	వదదు, వదదు, వదదు. ఆదిల బాగానే ఉననాడు.
अचछा.	సరే.
- आपके पास लाइटर है? - बचचे, समझे ना?	- మీ దగగర లెటర ఉందా? - తెలుసుగా
ये कया? हमारे बिना ही?	హలో? మేం లేకుండానా? రండి, రండి.
हमें थोडा इंतजार करना होगा.	మనం వెయిట చెయయాలి.
अरे, शुकरिया? कोई बात नहीं, यार.	అరే, థాంకయు? ఏం పరలేదు.
जी, बोलिए.	ఏంటి? చెపపండి.
शिबानी: पता है, कभी- कभी इसे काम पर ले जाना पडता है.	తెలుసా కొననిసారలు నేను తనని పనికి తీసుకు వెళళాలసి వసతుంది.
हमारी कंपनी अभी भी नई है, हम. . .	అంటే, మాది ఇంకా ఓ కొతత కంపెనీ. మీకు తెలుసా, మేము.
वैसे भी, सब वही करते हैं जो उनहें करना होता है.	అందరూ వాళలకి కావలసింది చేసుకుంటారు.
यहाँ नहीं चलेगा ये सब!	ఇవననీ ఇకకడ నడవవు.
इस वकत हम जेल में होते.	మనం పరసతుతం జెలలో ఉండేవాళళం.
हाँ?	అయితే.
खुद ही खुशी- खुशी उनहोंने देना चाहिए.	వాళళే సంతోషంగా ఇవవాలి.
वैसे, पैसा बहुत माँग रहे हैं.	సరే కానీ వాళళు చాలా ఎకకువ అడుగుతుననారు.
अचछा? शुकरिया, जान.	నిజంగానా? థాంకస, సవీట హారట.
कया मैं उनहें देख सकती हूँ?	నేనతనని చూడొచచా?
ये तुमहारी मरजी से हुआ है.	అంటే నువవు దీనికి ఒపపుకుననావు.
इतना बेरंग सकारफ. ये कया तोहफा है, यार?	ఇంత డల సకారఫా, ఇదేం గిఫట?
और फिर हम दोनों की शादी होगी.	ఆ తరవాత మనిదదరికీ కూడా పెళళవుతుంది.
बडे खुशकिसमत हो.	అదృషటవంతుడివి.
अचछा चलो अब. पारटी शुरू होने वाली है.	సరే పద, పారటీ మొదలవబోతోంది.
चिंता मत करो, यार. ये लोग वैसे भी वापस ले लेते हैं.	ఖంగారు పడకు వాళలకి రిటరన పాలసీ ఉంది.
कल मिलूँगी.	నేను రేపు కలుసతాను.
मैं तैयार हूँ.	నేను రెడీ అయిపోయాను.
हमारा घर डिजाइन करने में मदद करेंगी, जब हम साथ रहेंगे.	మేం ఇదదరం ఇంటికి మారినపపుడు మీరు ఇంటి డిజెనింగులో సాయపడతారు అనుకుంటుననాను.
- अरे! - ये लीजिए. निकालिए ना.	ఒక ఫొటో తియయండి. పలీజ ఒకటి తియయండి.
परगतिशील माने जाने वाले भारतीय मरद के	పురోగామి ఇండియన మగాడిగా చెపపుకునే వాడిలో లోతుగా లోపల దాగి ఉనన. . .
वह उसके साथ गाडी में थी.	తను అతనితో కారలో ఉంది.
हाँ. हाँ, हाँ. बिलकुल.	సరే సరే తపపకుండా.
करन: आइए.	రండి.
ये कया कह रहे हो आप?	ఏమంటుననారు?
आ जाओ, आ जाओ, आ जाओ.	అందరూ రండి.
- हाँ. - बाय.	- సరే. - బె.
तुमने बबलस से बात करने की कोशिश की?	నువవు బబులస తో మాటలాడడానికి టరె చేసావా?
- हाँ. - कयों नहीं.	- అవును. - తపపకుండా నాటుతాను.
सच में?	నిజంగానా?
- और हम एलए जा रहे हैं. सुना? - हमम?	- మేం ఎల. ఎ కి వెళుతుననాం, తెలుసా? - ఏంటి?
कोई बात नहीं. आराम से बैठो.	పరలేదు. రిలాకస.
देश की सेवा करना चाहता है.	తన దేశానికి సేవ చెయయాలని కోరుకుంటాడు.
तुम कया जानते हो दिल के बारे में?	నీకేం తెలుసు మనసు గురించి?
- साला. धत तेरी. - धत.	- అబబా. అయయో - అయయో.
बडी अचछी डरेस है.	డరెస బాగుంది.
मुझे सच में अफसोस है.	నిజంగా సారీ
कया?	ఏంటి?
कुछ नहीं, सर. बात कर रहे हैं ऐसे ही.	ఏం లేదు సర. మేం మాటలాడుకుంటుననాం.
अरे!	సరే.
तुमहें कोई एतराज नहीं है?	నీకిది ఓకేనా?
सादा. ऑरगैनिक. बायोडीगरेडेबल. दिल से दिया गया.	సింపుల గా, అరగానిక గా, బయోడీగరేడబుల గా, మనసుకి నచచింది.
शादी है, हमम?	ఇదొక పెళళి.
डिफेस कॉलोनी घर की पहली मंजिल.	డిఫెనస కాలనీ ఇంటలో ఫసట ఫలోర,
बहुत अचछा था.	బరంహమాండంగా.
कि बेटी की शादी धूम-धाम से करें.	పెళళి ధూం ధాంగా జరగాలని.
परियंका: और ये?	ఇదెలా ఉంది?
अब, कैसा लगेगा	ఇపపుడు ఎలా ఉంటుంది?
सच कहूँ तो, मुझे पता नहीं.	నిజానికి, నాకు తెలీదు.
परियंका की माँ: सपना तो सब माँ-बाप का होता है,	పరతి తలలి తండరులకి ఉననది ఒకటే కోరిక
मैं बस इतना कह रही हूँ, कि कुछ तो देना है, यार!	నేననేది కేవలం అవి ఉండాలని, యా.
तभी बारात अंदर जाएगी.	అపపుడే పెళళివారు లోపలికి వసతారు.
फैजा ठीक नहीं है.	ఫెజాకే బాగా లేదు.
बताना तो पडेगा ही ना?	నేను చెయయాలిగా?
इस तरीके से काम करना बंद करना होगा, करन.	ఈ పదధతి ఆగాలి, కరణ.
एक मिनट, एक मिनट रुक.	హోలడ ఆన, ఒకక నిముషం, ఒకక నిముషం, ఆగు.
हाँ, करन, बता इसे.	అవును, కరణ, చెపపతనికి.
सही है.	సరిగగా చెపపారు.
बिंदु: अभी- अभी किशोर से बात हुई है.	ఇపపుడే కిషోర తో మాటలాడాను.
बडी नौकरी कया लग गई, मुझे भूल गई, हाँ?	ఇపపుడు నీకా హె-ఫె జాబ రాగానే నువవు ననను మరచిపోయావు కదా?
अचछा, ठीक है ना, सर. तो, पूरा जोडकर बोलिए ना. बताइए.	సరే సర. టోటల చేసి చెపపండి.
मुझे. . . मुझे समझ नहीं आ रहा.	నాకు అరధం కావటలేదు.
बीज?	వితతనాలా?
चलो.	వెలదం పద.
औरत: वाह!	వావ.
परियंका: ठीक है.	మంచిది.
ये ठीक तो हो जाएँगे ना?	అతని ఆరోగయం ఇపుడు బాగానే ఉంది కదా?
आपका सवागत है.	వెలకం.
मेरे कजिन की शादी है.	నా కజిన పెళళి.
ये सब बंद कमरे में करना.	ఇవననీ గదిలో తలుపులేసకుని చేసకోండి.
नहीं, नहीं होते.	కాదు, మనం ఉండేవాళళం కాదు.
आज रात मुझे काम पर जाना है.	నాకు రాతరి పనుంది.
शिबानी: उनकी शादी हारमनी करवा रहा है?	పెళళి హారమనీకి వెళళిందా?
जरा इसे निपटा लेते हैं ना. बताइए मैं कया कर सकता हूँ आपके लिए.	దీనని సెటిల చేదదాం. చెపపండి ఏం చెయయాలో.
सर, आप ऐसे कयों कह रहे हैं?	సర, మీరలా ఎందుకంటుననారు?
सुधीर: नमसते, नमसते. आइए. आइए जी, आइए. ठीक है.	నమసతే. రండి, రండి. పలీజ రండి.
मुझे अपना रेजयूमे भेजना.	నాకు నీ రెజయూమ పంపించు.
बाकी तू देख ले.	మిగితాది నువవు చూసకో.
तुम मुझे बहुत पसंद हो.	నినను ఆరాధిసతాను.
- और थोडी सी नफरत भी है. - नताशा: मुझे लगता है नफरत जयादा है.	నేననుకోవడం అది కొదదిగా అసహయం- అసహయం లాంటిది.
दुबई?	దుబాయికా?
एकदम ऑरगैनिक लगेगा.	పూరతిగా ఆరగానిక గా కనపడతావు.
विशाल की माँ: आ जाओ. आ जाओ. विशाल के पिता: आइए.	- రండి, పలీజ రండి. - రండి, పలీజ రండి.
वो भी ले गया.	వాడవి కూడా తీసుకుపోయాడు.
डॉ. दास: हाँ.	అవును.
करन: इससे फरक नहीं पडता.	అదనవసరం.
उनहें मुकाबला करने की और अपना सिर ऊँचा रखकर चलने की हिममत मिले.	నీ జాతి పెరగాలి. వాళళు తిననగా నిలబడి నడవడానికి శకతిని పొందాలి.
अरे, हाँ, मुझे लगता है ठीक हो जाएगी, हाँ. उममीद करते हैं.	మంచిది, తను బాగానే ఉందని నేను ఆశిసతుననాను.
परिवार के यहाँ पहुँचते ही, हमें ऑपरेशन करना होगा.	డాకటర నారాయణ ని పిలవండి. ఫామిలీ రాగానే ఆపరేషన చేయవలసి ఉంటుంది.
दोनों का कहना सही है.	మీరిదదరు చెపపినదానలోనూ పాయింటుంది.
- बिलकुल. - हाँ.	తపపకుండా.
पेरिस में एक हफता? वाह.	పారిస? వావ.
सच कह रही हो?	నిజంగానా?
हाँ.	అయిపోయింది.
जैज की माँ: जससी!	జససీ.
नताशा: यह आपने ही किया होगा. औरत: नहीं, इनहोंने किया.	- తపపకుండా మీరందరూ. - కాదు, అతనొకకడే.
माफ करना.	జరిగిన దానికి సారీ.
- परी, नहीं! -	పరీ, వదదూ.
वे भी हमेशा सबको हैरान करती रहें.	. . . వాళళెపపుడూ అవాకకయయేలా చెయయడం ఆపకూడదు.
- शिबानी: कबीर! - हमम?	కబీర.
ये कया है?	ఏంటిది?
- हेलो. हेलो! - विशाल: हेलो, हेलो.	- హలో. - హలో, హలో.
चल.	పొండికకడనుంచి.
हाँ.	అవును కదా.
परियंका: हो कया रहा है, यार?	ఏం జరుగుతోంది?
तारा: एक, दो, तीन, कहो. . .	1, 2, 3. . .
अंट-शंट मत बको.	అంత దారుణంగా ఆలోచించకు.
हाँ. एक सेकंड.	ఉండండి చూసతాను. ఒక కషణం ఆగండి.
आदिल: मतलब, रिशते में एक-दूसरे से पयार जयादा है,	అది, నేననేది ఓ పరేమ-పరేమ, కొదదిగా అసహయం వంటి సంబంధం.
मुझे बात करनी होगी.	నేనిది మాటలాడాలి.
पर हम बचचे के बारे में सोच रहे थे, यार.	కానీ మేం పిలలలని కనాలనుకుంటుననాం
जब हम अपनी टीम को लेकर, भविषय में एक कदम आगे बढ रहे हैं.	వెళుతుననపపుడు మీరు ఇకకడ ఉండగలిగినందుకు.
- इसलिए चिंता करने की. . . - बेचने का तरीका जबरदसत है, हाँ?	కాబటటి అసలు ఖంగారు పడాలసిన విషయం ఏదీ లేదు.
पानी.	హేయ. మంచి నీళళు.
कया लें?	ఏం తీసుకుందాం వారికోసం?
- करन? - हमम?	కరణ?
यहाँ.	సంతకం అకకడ చేయాలి.
मेरे लिए ये बहुत बडी बात है कि आप यहाँ आ पाए	ఇది నాకెంతో ఆనందంగా ఉంది మా టీంని తీసుకుని భవిషయతతులోకి ఒక అడుగు ముందుకి
तुमसे पयार करता हूँ.	ఐ లవ యు.
बाहर निकलिए. गाडी से बाहर आइए.	బయటకి రండి. కారలోంచి బయటకి రండి. కారలోంచి బయటకి రండి సర.
कि हम किसी को कुछ दे नहीं सकते हैं.	జనాలకి గిఫటస ఇవవకూదడని లేదు. మనం గిఫటస ఇచచి తీరాలి.
- कितने खुशकिसमत हैं. - आदिल: सबसे पहले,	- నిజంగానా? - ఎంత లకకీ, కదా?
ये आपके लिए.	థాంకయు. ఇది నీకు.
- तुमहारा एहसान कभी नहीं चुका पाऊँगी. - ऐसे मत कहिए.	నీ రుణం ఎపపటికీ తీరచుకోలేను.
तारा.	తార.
मुझे माफ कर दीजिए, सर.	కషమించండి సర. పలీజ నాకింకో ఛానసివవండి.
औरत 2: नहीं आया तो बेकार हो जाएगा.	పాయల కి ఇది సరిపోతుందంటావా? సరిపోకపోతే, అంతా వేసటవుతుంది.
चीज!	- చీసీ అనండి. - చీసీ.
वे सरपराइज देना चाहते थे.	కేవలం నాకే తెలుసు. వాళళు సరపరెజ ఇదదామనుకుననారు.
निकाल.	బయటకి తీసి చూపించు.
आदिल: तुम ठीक हो?	- నువవు బాగానే ఉననావా? - అవును.
इस वकत हम असपताल में हैं, ठीक है?	మనం ఇపపుడు హాసపటలలో ఉననాం. ఓకే? నువవు బానే ఉననావు.
बस, टैग मत निकालिएगा पलीज.	అవును మేడమ. 8 రోజులలోపల చేయొచచు కానీ టయాగ తీసెయయకండి, పలీజ.
मुँह पे लगा इसके.	- యస, సర? - ఆ మెషీన తెచచి వీడి మొహం మీద పెటటు.
जी?	- ఆదిల? - ఏంటి?
पर उसे हासिल करने के बाद अचछा लगता है, है ना?	నాకు అతను పని చేసే తీరు నచచుతుంది, కానీ ఒకసారి దానని సాధించగలిగితే,
- हेलो. - हेलो.	హలో.
पुलिसवाला: बाहर!	ఔట.
है ना?	- ఎకకువ చెటలు నాటండి. - నిజమే కదా?
आपातकालीन	మొసలి?
अ. . . और पेड लगाओ.	అవును కదా?
- तुम ठीक हो. -	వావ.
