पैट!	పాట!
सर, डिपटी कमिशनर लाइन पर हैं.	సర, లెనులో డెపయూటీ కమిషనర ఉననారు.
जिन पर लेबल अब भी लगे हुए थे.	వాటికి షాపింగ లేబులస ఇంకా ఉననాయి.
नहीं. मैं वह नहीं कह रहा हूँ.	లేదు, లేదు. నేను అలా అని అనటలేదు.
यह बढिया है. धनयवाद. यह बढिया है.	మంచిది. థయాంకయూ. చాలా మంచిది.
तो, तुमने बॉयफरेंड को गिरफतार कर लिया है.	అయితే, మీరు లవరుని అరెసట చేశారననమాట.
ऐसी चीजें हैं जो तुमहें कोई नहीं सिखाता है.	కొనని విషయాలు ఉంటాయి, వాటిని ఎవరూ మనకి నేరపించరు.
कयों? कयोंकि तुमहारा दिमाग तुमहें सुरकषित रख रहा है. तुमहारी यादों पर रोक लगा रहा है.	ఎందుకు? ఎందుకంటే మీకు ఊరటగా అనిపించడానికి మీ మెదడు చేసే మాయాజాలమిది. మీకు గురతులేకుండా చేసతోందది.
शुभरातरि, जान.	గుడ నెట, బంగారం.
शाबाश. ठीक है.	మంచిది. సరే మరి.
- कया यही संदेश है, हाँ? - नहीं.	- అదే కదా నీ ఉదదేశం? - కాదు.
जब तुम वहाँ थे, तुमने किसी से बात की थी?	అకకడ ఉననపపుడు ఎవరితోనెనా మాటలాడారా?
पैटरिक बरौज को होश आ गया है.	పాటరిక బరోస ని వారడులోకి మారచాం.
अब वह कैसा है?	అతనికి ఎలా ఉంది?
तुमहें लगता है कि वह मुझसे बात कर सकेगा?	ఇపపుడు వసతే అతను మాటలాడగలడు అంటారా?
तुम. . .	నీ. . .
एरॉल कभी गुससे में नहीं चिललाया?	ఎరరొల ఎపపుడూ కోపంతో అరవలేదా?
ठीक है.	సరే మరి.
तो. . .	మరి. . .
पैटरिक का कया?	పాటరిక సంగతేంటి?
हतया के संदेह में गिरफतार कर रहा हूँ. तुमहें कुछ कहने की जरूरत नहीं है.	అనుమానంతో మిమమలని అరెసట చేసతుననాను. మీరేమీ చెపపాలసిన పని లేదు.
एडालेइड बरौज की हतया की	మీరు జరిపే దరయాపతుకు
अह-हँ, नाई की दुकान.	సరే, బారబరస షాప అననమాట.
खैर, जो कर सकते हो. . .	మీరు చేతనెన చోట. . .
कि हमें और ठोस, भौतिक सबूत चाहिए.	వాళలకి ఇంకా బలమెన సాకషయాధారాలు కావాలట.
और कोई नहीं आया? उसके डैड का कया?	ఇంకెవరూ రాలేదా? అతని నానన కూడా రాలేదా?
उनहें शुरू करने दो. अरे, डनीस?	వాళలే కానివవడానికి. డెనీస?
- अगर वह खुद अपराध कबूल नहीं करता है. - शायद.	- అతను నేరానని ఒపపుకుంటే ఇవననీ అవసరం లేదు. - కావచచు.
पाँच मिलीमीटर का काँच.	అయిదు అంగుళాల అదదం.
इस मुसतफा को ढूँढो.	ఈ మొసతాఫాతో మాటలాడండి.
सीपीएस से मिलने, देखते हैं उनका कया कहना है.	సిపిఎస ని కలుదదాం. వాళలేమంటారో చూదదాం.
हम कहाँ जा रहे हैं?	మనం ఎకకడికి వెళతుననాం?
तुम अचछा बरताव करके मुझे यहाँ ले आए. "मेरा फोन कहाँ है? "	"నా ఫోన ఎకకడ? " అని మంచిగా, చకకగా నటిసతూ ననను ఇకకడికి తీసుకొచచారు.
तुम वहाँ होती तो समझ आता.	పరతయకషంగా ఉంటేనే అరథమవుతుంది.
मुझे पता है यह बचकाना है.	అది పిచచితనం అని నాకు తెలుసు.
अब वह तुमहारा है. तो, इसका मतलब है अब तुमहें उसे सैर करवानी होगी.	ఆ కుకక ఇపపుడు నీదే. అంటే, నువవే దానని నడకకు తీసుకెళలాలి.
दरअसल, वह काम ढूँढने गए हुए थे.	ఆ సమయంలో ఆయన పని కోసం వెతుకుతుననారు.
मेरी पतनी के कपडे मत छुओ, समझी?	నా భారయ బటటల జోలికి వెళలవదదు, సరేనా?
- वही है जो यहाँ हुआ था. . . - नहीं.	- ఇకకడ ఏం జరిగిందో. . . - లేదు.
तुमहारी पाँच सालों की साथी, एडालेइड बरौज की	అయిదేళలుగా మీ లవరుగా ఉనన అడిలెడ బరోస,
डीएनए और उँगलियों के निशान? उनका कया?	డీఎనఏ, వేలిముదరలు సంగతి ఎకకడి దాకా వచచింది?
- लडाइयाँ? - हाँ. उनके बारे में मुझे बताना चाहोगे?	- గొడవలా? - హా. వాటి గురించి ఏమెనా చెపతారా?
उसे कया कहते? पता नहीं. वह बस छह साल का है.	ఇంతకీ మీరేం అంటారు? నాకు తెలీటలేదు. అతనికి ఆరేళలే.
तुमहारी माँ बस यही चाहती थी.	అమమ గురించి ఒకటి చెపపనా!
उदाहरण? दंगों की वजह से.	ఉదాహరణగానా? అలలరల కారణంగానా?
मैं बस कह रहा हूँ कि सबकी एक पसंद होती है, समझे?	పరతీఒకకరికీ ఇషటాయిషటాలు ఉంటాయి కదా, అదే చెపతుననాను నేను.
उसने अनयतर उपसथिति के बारे में कुछ नहीं बताया था.	అలిబె గురించి అతను ఒకక ముకక కూడా చెపపలేదు.
हैलो. मैं सेंट लूकस हॉसपिटल से जूली बोल रही हूँ.	హలో. నేను సెయింట లూకస ఆసుపతరి నుండి జూలీని మాటలాడుతుననా.
धनयवाद, शरी डेमिर.	థయాంకయూ, మిసటర డెమీర.
माँ कहाँ है?	అమమ ఎకకడ ఉంది?
इतनी बडी घटना से उबरना आसान नहीं है.	ఇవననీ దిగమింగుకోవడం కాసత కషటంగానే ఉంటుంది.
नशे में धुत होकर घर आया.	మతతులో తూలుతూ ఇంటికి వచచాడు.
-. . . और अभी हो रहा है, ठीक यहीं. - नहीं.	-. . . ఇపపుడు ఏం జరుగుతోందో, అంతా అననమాట. - లేదు.
देखते हैं कि वे हमें उस पर आरोप लगाने की अनुमति देंगे या नहीं.	ఇతనిపె కేసు పెటటడానికి, వాళలు ఓకే అంటారో లేదో చూదదాం.
- और हमें पकका यकीन है कि वह पिता नहीं है? - सौ परतिशत.	- ఆ పిలలాడికి తండరి అతను కాదు కదా? - కానే కాదు.
जहाँ तक मुझे पता है, कभी किसी पर ऊँगली भी नहीं उठाई थी.	నేను గమనించినంత వరకు, ఎవరిపె చేయి ఎతతలేదు కూడా.
. . . उनहें चिंता है कि एरॉल को खतरा हो सकता है.	. . . ఎరరొల కి పరమాదం కావచచని చెపతుననారు.
हैलो, फायर बरिगेड. बिलकुल सथिर रहो.	హలో, మేము అగనిమాపక సిబబంది. అలాగే ఉండండి.
एरॉल? तुमहारी लाइटें काम नहीं कर रही हैं.	ఎరరొల? మీ ఇంటలో లెటలు పని చేయటలేదు.
वह उस लडके के परति समरपित है.	వాడికి ఆ పిలలాడంటే చాలా పరేమ ఉంది.
हमारे पास पूरा दिन नहीं है. वह इन फोटो में है या नहीं?	మనకు ఎకకువ సమయం లేదు, గురూ. ఉననాడా, లేడా అంతే.
उनहें काम पर वापस जाना पडा.	పనికి వెళలాలసి వచచింది.
तो, तुम एडालेइड के साथ जो ये लडाइयाँ कर रहे थे?	మీకు, అడిలెడ కి గొడవలు జరుగుతుననాయి కదా?
मैं बस. . . मैं तुमहें संदरभ दे रही हूँ.	నీకు. . . నీకు విషయం చెపతుననానంతే.
एक बार भी उसके पास चाकू नहीं मिला.	ఒకకసారి కూడా అతని దగగర కతతి కనిపించలేదు.
तुमहें यह कहाँ मिली?	ఇది మీకు ఎకకడిది?
कयोंकि उसने पहले कभी उसे चोट नहीं पहुँचाई थी.	ఎందుకంటే, అతను ఇదివరకు ఎననడూ ఎవరినీ గాయపరిచింది లేదు.
इसलिए, तुमहारी अनुमति से, मैं तुमहें वापस उस फलैट में ले जाना चाहूँगा. जहाँ वह मरी थी.	కాబటటి, మీ అనుమతితో, ఆమె చనిపోయిన ఫలాటుకు మిమమలని తీసుకెళలాలనుకుంటుననాను.
पीएसीई का समय शुरू हो चुका है, है न? हमारे पास 24 घंटे हैं.	పేస చటటం సమయం పరారంభమెంది. మనకి 24 గంటల సమయం ఉంది.
बस वह इतना ही होता है.	అదే శాంతికి, అలలరలకి తేడా.
यही संदेश है.	అదే సందేశం.
एरॉल कहाँ है?	ఎరరొల ఎకకడ?
टरक के साथ टकराना. मेरा मतलब. . .	టరకకుతో అతని కారు గుదదుకుంది. అంటే. . .
आपने कया कहा?	మీరేమననారు?
डैन. सुना है, सीपीएस से बुरी खबर मिली?	డాన. సిపిఎస నుండి మనకి చుకకెదురెందని విననాను.
कयोंकि तुम इकलौते हो जिसके पास चहीते लोग हैं, है न?	ఎందుకంటే, సననిహితులు ఉండేది మీ ఒకకరికే కదా?
डैड, आप कहाँ है?	నాననా, ఎకకడ ఉననావు?
वह मेरा बेटा है.	వాడు నా కనన కొడుకు.
नहीं, कोई बात नहीं.	మరేం పరవాలేదులే.
जेल में एक आदमी है जो उसकी हतया के लिए 24 साल की सजा काट रहा है.	ఆమెని చంపిన నేరం కింద ఒకరికి 24 ఏళల శికష పడింది, ఇపపుడు అతను జెలలోనే ఉననాడు.
यह मेरे पापों की सजा है. पतनी को घर मिल गया. अब मैं वापस छातरों की तरह रह रहा हूँ.	నా ఖరమలెండి. ఇలలు నా భారయకి దకకింది. నేను మళలీ బయాచిలర లా బతుకుతుననా.
उन गरमियों में, उनहोंने वह काँच तोड दिया था.	ఆ వేసవిలో వాళలు ఆ అదదాలను పగలగొటటారు.
पूछताछ करेंगे या उनहें शुरू करने दूँ?	సరే అంటే మీరు అడగడానికా, వాళలే కానివవడానికా?
अगर तुमने जिस आदमी को उस दिन देखा था, वह इसमें है,	ఆ రోజు నువవు చూసిన వయకతిని నువవు గురతిసతే,
आप यहाँ छुपे हुए हैं?	ఇకకడ దాకకొని ఉననారా మీరు?
वीआईपी कटस. वह नाई की दुकान है.	వీఐపీ కటస. అదొక బారబర షాప.
- वे चिलला रहे थे. - वे चिलला रहे थे.	- అరుచుకుననారు. - అరుచుకుననారు.
पर तुमहारे एमआरआई के नतीजे के अनुसार	మీ ఎంఆరఐ సకాన లో మీ తలకి గాయం కాలేదని ఉంది,
- कृपया, कमरा संखया चार का वॉलयूम बढाओ. - जी, सर.	- నాలగవ గదిలో సౌండ ఆన చేయవా? - అలాగే, సర.
भाड में जाओ!	దొబబేయండి!
एरॉल.	ఎరరొల.
वह अब भी बाहर घूम रहा है, पर तुम यहाँ हो. हँ?	బయట సవేచఛగా తిరుగుతుననాడు, కానీ మీరు ఇకకడే ఉననారు. హా?
डनीस.	డెనీస.
एरॉल.	ఎరరొల.
और कभी-कभी, अगर तुमहें थोडी और मेहनत करनी पडे. . .	వాటి కోసం ఒకకోసారి, మనం పరిధి దాటి పరయతనించాలసి ఉంటుంది. . .
हाँ, पडोसियों ने पुलिस बुलाई थी, 2005 में. वह किशोर था. . . मामला आगे नहीं बढा.	హా, అతను టీనేజ లో ఉననపపుడు 2005లో పొరుగువారు పోలీసులకి కాల చేశారు. . . కానీ అది ముందుకు పోలేదు.
हाँ, पीडित पर लगे दाँतों से काटने के निशान तुमहारे दाँतों से मेल खाते हुए परतीत होते हैं, एरॉल.	హా, కానీ బాధితురాలి మీద పంటి గాటలు ఉననాయి, అవి మీ పళలతో మయాచ అవుతుననాయి, ఎరరొల.
हाल ही की घटनाओं को देखते हुए, हमारी छवि इतनी अचछी नहीं है.	ఇటీవలి జరిగిన సంఘటనల కారణంగా, మన మీద అందరికీ సదభిపరాయం లేకుండా పోయింది.
मुझे उस फलैट में मौजूद सभी का डीएनए चाहिए. "मुझे चाहिए, मुझे चाहिए, मुझे चाहिए, " मुझे पता है,	ఆ ఫలాట లో ఉనన వాళలందరి డీఎనఏ నాకు కావాలి. నేను చాలా అడుగుతుననానని నాకు తెలుసు,
देखो, कया हम इस आदमी पर आरोप लगाने के करीब हैं?	ఈ వయకతి మీద కేసు వేయడానికి అవకాశం ఉందా?
- हाँ. हाँ. - तब तुमने झूठ बोला था?	- హా. అవును. - అబదధం చెపపారా?
"डैड. मुझे पैसे चाहिए. "	"నాననా, నాకు డబబులు కావాలి. "
मुझे याद है, मेरी बेटी, लीसा,	నా కూతురు లీసా చిననపపుడు
इसलिए मैंने सोचा, मैं उसे अचछे कपडे भी नहीं दे सकता.	కాబటటి వాడికి మంచి బటటలు కూడా తీసుకోలేకపోతుననానే అని బాధపడడాను.
पर सुनो, हमने सौदा किया था, है न?	కానీ ఒక విషయం, మనం ఒక మాట అనుకుననాం కదా?
आप इसे डरा रहे हैं. यहाँ आओ.	నువవు దీనని భయపెడుతుననావు. ఇలా రా.
कृपया, मुझे अपने बॉयफरेंड का	దయచేసి మీ లవర పేరేంటో చెపపగలిగితే,
पाँच रातों को लूटपाट और आगजनी हुई और भगवान जाने कि कितनी आपराधिक कषति हुई.	వరుసగా అయిదు రాతరుళలు లూటీ చేశారు, తగలబెటటారు, ఎంత ఆసథి నషటం జరిగిందో ఆ దేవుడికే తెలియాలి.
टोनी और किम पूछ रहे हैं	టోనీ, కిమ ఏం అడుగుతుననారంటే,
सच में. वह कॉपी है. आप उसे रख सकते हैं.	అది కాపీయేలేండి. మీరే ఉంచుకోండి.
और वह कहता रहता है कि यह आदमी जो	ఇంకా, వెట కరాస జెలలో శికషను అనుభవిసతునన
दाँत से काटने के निशान? और वे अचानक नहीं पडते हैं.	కొరికిన మచచలు ఉననాయి కదా? అవి ఎలా వచచాయి?
हाँ, अपराध सथल से. उस फलैट में और कौन था?	హా, నేరం జరిగిన చోట. ఫలాటులో ఇంకెవరెనా ఉననారా అని.
नीचे के फलैटों में से एक में झगडा हो रहा है.	కింద ఉనన ఒక ఫలాటులో గొడవ జరుగుతోంది.
मुझे हिंसा का इतिहास दिखाओ.	అతనికి నేర చరితర ఉందని చూపించండి.
- मेरी पतनी. . . - कया? तलाक हो गया?	- నా భారయ. . . - ఏంటి? విడాకులు తీసుకుననారా?
यह कया हो रहा है? मुझे लगा था हम वापस जेल जाएँगे?	ఏంటిది? మనం జెలుకు వెళతుననాం అనుకుననానే?
मेरा मतलब, अगर तुमहें पकका यकीन है तो.	మీకు పరవాలేదంటే, నాకూ పరవాలేదు.
इसलिए, मेरी समसया. . .	కాబటటి, నా సమసయ ఏంటంటే. . .
जब अंदर जाना चाहो, तब जाना.	సమయం చూసుకొనే వెళలండి.
यह मैं नहीं हूँ. यह फोटोशॉप की गई बकवास है.	అది నేనే కాదు. ఎవరో ఫోటోషాప చేశారు.
यह अचछा है, यह अचछी परगति है, है न?	మంచిదే. మీరు ముందుకు సాగుతుననారు, అంతే కదా?
- माँ! - चलो.	- పదండి. - అమమా!
दबाव? कैसा दबाव?	ఒతతిడా? అంటే?
वे चिलला रहे थे.	అరుచుకుననారు.
जान. . . और? कया हमें अतिरिकत समय मिला?	బంగారం. . . మరి? మనకి పొడిగింపు ఏమెనా లభించిందా?
ठीक है, हाँ. . .	సరే, అది. . .
अरसा पहले उसकी एक गरलफरेंड थी. मेरी ही तरह.	అతనికి చాలా కాలం కరితం ఒక లవర ఉండేది. నాలాంటి అమమాయే.
वह अचछा है. बेहद अचछा है, हाँ.	అది మంచి పనే. నిజంగానే చాలా మంచి పని.
और इसका कया मतलब है? "पूरे समरथन" का?	అంటే ఏంటి? "అండగా ఉండటం" అంటే?
धोखेबाज कहीं की. मैंने तुमसे कहा था. तुमहें चेतावनी दी थी.	నమమక దరోహి. నీకు చెపపా కదా. హెచచరించా కూడా కదా.
पौधे लगा रहा हूँ.	మొకకల పని చూసతుననాను.
उसके फलैट में. आप उसे रख सकते हैं.	తన ఫలాటులోనిది. దానని మీ దగగరే ఉంచుకోవచచు.
उसने आपको छुरा घोंपा?	మిమమలని పొడిచాడా?
इसका कया मतलब है?	ఏంటి? ఎందుకలా అననారు?
बात बस यह है कि हमें तुमहारे फलैट में कुछ कपडे मिले,	ఏంటంటే, మీ ఫలాటులో కొనని వసతరాలు దొరికాయి,
हम शादी करने वाले थे.	మేము పెళలి చేసుకోబోతుననాం.
मैंने सुना कि सन 2005 में आपके साथ कोई समसया हुई थी?	2005లో మీ ఇదదరి మధయ ఏదో జరిగిందని విననాను.
मैंने अपना आपा खो दिया था.	హా, విచకషణ కోలపోయాను.
- आप घर कब आएँगे? - जलद ही. मैं जलद ही घर. . .	- ఇంటికి ఎపపుడు వసతుననావు? - తవరలోనే. ఇంటికి వచచేసతా. . .
मुझे उससे पहले की चीजें याद है.	అంతకు ముందువి గురతుననాయి.
- उनहोंने कया कहा? - हाँ,	- ఏమంటుననారు వాళలు? - హా, అంటే,
मैंने उसे एक कुतता खरीदकर दिया.	తనకి ఒక కుకకని కొనిచచాను.
कया मैं पूछ सकता हूँ वह तुमहें कया बुलाता था? एरॉल? डैड? डैडी?	అతను మిమమలని ఏమని పిలిచేవాడో అడగవచచా? ఎరరొల? నానన?
तो, तब तुमने झूठ बोला था?	అయితే ఇందాక మీరు అబదధం చెపపారా?
ठीक है, मैं तुमहारा बयान धयान में रखूँगा.	సరే, మీరు అననది అరథం చేసుకుననాను.
बस तुमहें शुभकामनाएँ देना चाहता था.	నీకు గుడ లక చెపదామని చేశాను.
वह कहाँ चला गया?	ఎకకడికి వెళలిపోయాడు?
उसने अपने पैर लगभग खो दिए थे	రెండు కాళలకి తృటిలో పరమాదం తపపింది,
हाँ, माफ करना, सर. ठीक है. . .	హా, సారీ, సర. అలాగే. . .
और अब वह मर चुकी है.	ఇపపుడు ఆమె పరాణాలతో లేదు.
"मैं तुमहें मार डालूँगा. मैं तुमहें मार डालूँगा. मैं तुमहें मार डालूँगा. "	"నినను చంపిపారేసతా. నినను చంపిపారేసతా. నినను చంపిపారేసతా. "
तुमहें हमारे बारे में, हमारे बीच की भावनाओं के बारे में कुछ नहीं पता.	మా గురించి కానీ, మా మమకారాల గురించి కానీ మీకేమీ తెలీదు.
एक संकषिपत बयान तैयार किया है जो वह चाहता है कि मैं पढकर सुनाऊँ.	ఒక చినన సటేట మెంట ఇచచారు, దానని చదవమని ననను కోరారు.
पर ए, वह अदभुत है, है न? वह साहसी है, है न?	కానీ అతను చాలా మామూలోడు కాదు కదా? చాలా ధెరయవంతుడు కదా?
हाँ. देखो, मैं बस यह कहना चाहता हूँ कि,	హా. నేనేం చెపపాలనుకుంటుననానంటే,
बॉस, अभी मैं अधीकषक के साथ हूँ.	బాస, ఇపపుడు నేను సూపరింటెండెంట తో ఉననా.
हम तुमहारा पूरा समरथन करेंगे, डैन.	నీకు మేము అండగా ఉననాం, డాన.
उप-शीरषक अनुवादक: मून कलिता	సబ టెటిళలను అనువదించినది: రాంపరసాద
उसके पडोसी ने फोन किया.	వాళల పొరుగు వయకతి కాల చేశారు.
- फिर भी तुम अपनी राय दोगी, हँ? - खैर. . .	- ఏదేమెనా నీ అభిపరాయం ఇపపుడు చెపతావు కదా? - అంటే. . .
- मैंने यह नहीं किया. - कभी उसे खुश नहीं रखती थी. . .	- ఈ పని నేను చేయలేదు. - అతడిని ఎపపుడూ. . .
तो, उस आदमी का कया?	అతడిని విచారించి చూశారా?
तो, तुमने लूटपाट में भाग नहीं लिया था?	అయితే, మీరు లూటీలో పాలగొనలేదా?
तुम मजाक कर रहे हो?	జోక చేసతుననారా?
लीसा - अभी आप घर कब आ रहे हैं?	లీసా - ఇపపుడు ఇంటికి ఎపపుడు వసతుననావు?
तुमहें नहीं पता मेरे दिमाग में कया है.	నా మెదడులో ఏముందో మీకు తెలీదు.
हैलो, जान. हाँ, मैंने यह सुलझा दिया है. . . मैंने उसे बता दिया है.	హాయ, బంగారం. ఇపపుడు అంతా ఓకే. . . నేను తనతో మాటలాడా.
लीसा अपने पिलले से खुश है?	లీసాకి, ఆ కుకక పిలల బాగా నచచిందా?
मैं तुमहें मार डालूँगा. मैं तुमहें मार डालूँगा.	నినను చంపిపారేసతా. నినను చంపిపారేసతా.
- कया? तुम कया कह रहे हो? - लो, देखो.	- ఏంటి? ఏం మాటలాడుతుననావు నువవు? - ఇదుగో, చూడు.
कम से कम वह तो खुश है.	కనీసం తనెనా సంతోషంగా ఉందిలే.
भगवान के लिए, "सर" मत बुलाओ.	అబబా, "సర" అని అనకులే.
तुमने उसे. . .	ఎందుకు. . .
पर अगर तुमने कुछ कहा, तो उसे तुमहारे विरुदध सबूत के तौर पर पेश किया जा सकता है.	కానీ మీరేమెనా చెపతే, అది మీకు వయతిరేక సాకషయంగా ఉపయోగించబడవచచు.
मैं तुमहारे साथ चलूँगी.	నేను కూడా వసతుననా.
पर अगर यह तुमहारे लिए जयादा है, डैन. अगर तुमहें और समय चाहिए,	కానీ ఇదంతా నినను ఉకకిరిబికకిరి చేసతుంటే, డాన, మరీ తొందరపాటు అని నీకు అనిపిసతే,
हे भगवान.	దేవుడా.
कुछ भी याद नहीं है. "	నాకు అసలు ఏమీ గురతు లేదు. "
वह तीन बार फोन कर चुके हैं.	మూడుసారలు కాల చేశారు.
इससे वह हतयारा नहीं बनता है.	అంత మాతరాన అతను హంతకుడు అయిపోడు కదా.
आप कया कर रहे हैं?	ఏం చేసతుననారు?
सच में?	నిజంగానా?
मैंने वह नहीं किया. मैंने वह. . . तुमहें मेरा विशवास करना होगा.	నేను చంపలేదు. నేను చంపలేదు. . . మీరు ననను నమమాలి.
तो इसमें कोई बुराई नहीं है.	అదేమీ తపపు కూడా కాదు.
उसने अपने डैड के साथ झगडा किया था, पर डैड कानूनी काररवाई नहीं करना चाहते थे.	అపపుడు నాననతో గొడవపడడాను, కానీ నానన కేసు ఫెల చేయాలనుకోలేదు.
मैं देखना चाहता हूँ कि हम तुमहारी याददाशत वापस ला सकते हैं या नहीं.	మీకు జరిగినవి గురతు తెపపించే పరయతనం చేయాలనుకుంటుననా.
ठीक है. तो हम जेली नहीं खाएँगे.	సరే. జెలలీ వదదులే అయితే.
या किसी भी परकार की हिंसा का कोई इतिहास नहीं है.	ఆ మాటకొసతే అసలు నా కలయింట పెన హింసకు పాలపడిన రికారడులేవీ లేవు.
हाँ, जरूर. कोई समसया नहीं होगी.	తపపకుండా. మరేం పరవాలేదు.
उनहोंने कहा कि हम उस पर आरोप लगाने को तैयार नहीं हैं.	అతనిపె కేసు వేయడానికి వాళలు సిదధంగా లేరట.
- हाँ. - तो सुनो.	- అవును. - వినండి మరి.
मैंने सुना कि तुम. . . माइल एनड में रहते हो?	మీ ఇలలు మెల ఎండ వెపు వెళలే దారిలో ఉందని విననాను, నిజమేనా?
यह आदमी चाकू लेकर भी नहीं घूमता है.	ఇతగాడి దగగర కతతి కూడా లేదు.
जहाँ उसकी चाकू मारकर हतया की गई थी.	కతతిపోటల కారణంగా చనిపోయారు.
हमने उसे पकड लिया? हमारे अपराधी को?	అతను దొరికినటటేనా? ఏమంటావు?
कयोंकि हम में से कोई भी उममीद नहीं छोडेगा, है न?	ఎందుకంటే, మనం ఎవరమూ ఆశ వదులుకోము కదా?
शरी मैथिस?	మిసటర మయాథిస?
और उनमें अचछी बनती है, एरॉल और तुमहारी माँ में, हाँ?	ఎరరొల కి, మీ అమమకి మంచి సాననిహితయం ఉందా?
शरी मैथिस?	మిసటర మయాథిస?
हेज लेन 999 कॉल #एरॉलमैथिसकोरिहाकरो #एरॉलकेलिएनयाय	హయీస లేన 999 కాల #ఎరరొల మయాథిస విడుదలవవాలి #ఎరరొల కి నయాయం జరగాలి
चौबीस घंटे? मुझे तीन दिन चाहिए. उनसे कहो कि मुझे तीन दिन चाहिए.	ఇరవె నాలుగు గంటలా? నాకు మూడు రోజులు కావాలి. నాకు మూడు రోజులు కావాలని అతనికి చెపపు.
मेरे बॉयफरेंड ने उसे उसी चाकू से कई बार घोंपा जिससे मुझ पर हमला किया.	ననను పొడిచిన కతతితోనే, ఆమెని కూడా చాలాసారలు పొడిచాడు.
मुझे पकड सको तो पकड लो, वुलफी.	చేతనెతే పటటుకో, తోడేలా.
अरे, चलो भी. इस बारे में सोचो.	అబబా. ఓసారి ఆలోచించండి.
कृपया, लीसा को फोन वापस दोगी? बहुत-बहुत धनयावद.	ఫోన లీసాకి ఇసతావా? చాలా చాలా థయాంకస.
- मानसिक कषमता का आकलन भेजा. . . - कया?	- మానసిక సామరథయ విశలేషణ నివేదిక పంపారు. . . - ఏంటి?
तो, हम उसे केवल 24 घंटे हिरासत में रख सकते हैं. . .	కాబటటి, అతనని మనం 24 గంటలే ఉంచగలమట. . .
आदत पड गई है.	అలవాటులో పొరపాటు.
- बचचे? - एक.	- పిలలలు? - ఒకరు.
चलो एक नजर डालें.	ఓసారి చూదదాం.
- मुझे उनकी जरूरत नहीं थी. - नहीं.	- ఆ అవసరం లేదు. - అవునులే.
चलो भी. आज-कल वे कई चमतकार कर सकते हैं. कुछ भी संभव है.	అంటే, ఈ రోజులలో వెదయరంగంలో చాలా అదభుతాలు జరుగుతుననాయి కదా. ఏదెనా సాధయమే.
नहीं. नहीं, किम. मुझे तथय चाहिए.	లేదు, లేదు, కిమ. నాకు కావాలసింది వాసతవాలే.
मैं एक पुलिसवाला हूँ.	నేను పోలీసోడిని.
उसने कया कहा था?	అపపుడు ఎరరొల ఏమననాడు?
वह अचछा आदमी है.	ఎరరొల చాలా మంచి వాడు.
उसने कया कहा था?	అపపుడు ఎరరొల ఏమననాడు?
सथानीय कषेतर में हिंसा के इतिहास वाला कोई भी वयकति.	ఆ పరాంతంలో గతంలో హింసకు ఎవరెనా పాలపడినటటు రికారడులలో ఉందేమో చూడండి.
और उनहोंने कहा कि वह दोबारा कभी चल नहीं सकेगा.	అతను మళలీ నడిచే అవకాశం లేదంటుననారు.
अब कहाँ जा रहे हैं?	ఇపపుడు ఎకకడికి వెళతుననాం?
उसकी मदद कौन करेगा?	ఆమెకి ఎవరు నయాయం చేసతారు?
मैं उससे पयार करता था.	నేను తనని పరాణంగా పరేమించాను.
हम अभी अनुरोध कर रहे हैं.	ఇపపుడే ఆ అభయరథన పంపే పనిలో ఉననాం.
तुम बेहद भददे हो. पता है?	మీరు పరమ నీచులు. అది మీకు తెలుసా?
सर, मैंने अभी-अभी टिम और कॉनर से पूछा	సర, ఇపపుడే టిమ, ఇంకా కానర తో
मैं पीछे-पीछे आऊँगी.	నీ వెనుకే ఉననా.
सबको गिरफतार करें.	వాళలందరినీ అరెసట చేయాలి.
असपताल में होश आने तक	ఆసుపతరిలో నాకు సపృహ వచచేదాకా
भविषय में समसया में पडने से यही बेहतर है	అవి ఇపపుడే తెలుసుకోవడం మంచిది,
मेरा नाम डैन है.	నా పేరు డాన.
हाँ.	హా.
- ठीक है. - हाँ.	- సరే. - హా.
अभी-अभी अखबार आया है.	పతరికలలో ఇందాకే అచచు అయింది.
कोई अनयतर उपसथिति नहीं, साथ ही खून के निशान, दाँत से काटने के निशान. . .	అలిబె లేదు, రకతపు మరకలు ఉననాయి, పంటి గాటలు ఉననాయి. . .
मैं बस यूँ ही कह रहा था.	నేను చెపతుననానంతే.
लीसा - अभी काश माँ की जगह आपकी मौत होती	లీసా - ఇపపుడు అమమ కాకుండా నువవు చనిపోయుంటే బాగుండేది
हाँ.	హా.
मुझे उसकी देखरेख कर रही हमारी मेडिकल टीम से पूछने दीजिए. थोडा इंतजार कीजिए.	అతడిని చూసుకొనే వెదయ బృందానని అడిగి చెపతాను. ఒకక నిమిషం.
- यह उसी की आवाज है. उसकी आवाज सुनना चाहोगे? - हाँ.	- ఇది అతని సవరమే. వినాలనుందా? - అవును.
वे गुससा नहीं करते हैं?	ఎపపుడూ కోపపడటం లాంటివి జరగలేదా?
- पैसों के. - पैसों के.	- డబబు విషయంలో. - డబబు విషయంలో.
हाँ, सच कहूँ तो, मैं पागल हो रहा हूँ.	నిజం చెపపాలంటే, వాడి విషయంలో నాకు పిచచెకకిపోతోంది.
जैसे कि, उसका पिता. कितनी देर के लिए, कब-कब आया था.	ఉదాహరణకు, అతని నానన అనుకో. ఎంత సేపు ఉననాడు, ఎంత తరచుగా వచచేవాడు, ఇలా.
