पैनिक	పానిక
-कुछ पता चला? -परांत का हर एक सटैन छान मारा.	-ఏమెనా తెలిసిందా? -ఊరులో సటాన అనే అందరివీ చూశాను.
अगर हम दोनो खेल में हैं, तो हम साथ हैं.	మనం ఆటలో ఉంటే కనుక, మనం కలసి ఆడతాం.
कुछ साल पहले, उसका भाई लूक जीता था.	ఏళళ కరితం అతని సోదరుడు లూక ఆట గెలిచాడు.
मुझे इतना जानना है कि. . .	నాకేం తెలుసుకోవాలనుందంటే. . .
मेरे लिए "दफा हो" लाओ. मैं तुमहारी मदद करने आया हूँ.	వెళళి నాకు "ఫక యూ" తీసుకురా. నేను నీకు సహాయపడదామని వచచాను.
पता नहीं. तुम उसके साथ थी.	తెలీదు. నువవతనితో డేట చేశావు.
आप उनहें लेते नहीं.	ఎంపిక చేసుకోలేవు.
इसके बाद, हेदर निल.	తరువాత, హేథర హిల.
तुमहें अपने साथ यह करना बंद करना होगा.	నీకు నువవు ఇలా చేసుకోవడం మానేయాలి.
पता है तुम अंदर हो. खोलो.	లోపల ఉననావని తెలుసు. తెరువు.
रफतार के लिए अंक दिए जाएँगे.	వేగానికి పాయింటలు ఇసతారు.
ऐबी की मौत इसी तरह हुई थी न?	ఆబీ అలాగే కదా చనిపోయింది?
हिसाब रखने में मेरी मदद कर रही है, हसीन समर कैलवो.	రికారడులు చూసేందుకు, నాకు సహకరిసతుంది అందమెన సమమర కాలవో.
आँखों पर पटटी बाँधकर आई-45 पार कर रही थी.	ఆమె కళళకు గంతలు కటటుకొని ఐ-45 దాటాలని చూసింది.
शायद आतिशबाजी से उसकी यादें ताजा हो उठी होंगी.	ఆ బాణసంచా ఆమె జఞాపకానని గరతు చేసి ఉంటాయి.
और चूहों के लिए कम से कम छह ऊँची इमारतें.	ఇంకా ఎలుకలకు కనీసం ఆరు విలాసవంతమెన ఎతతెన ఇళళు.
रिगली, वापस आओ! तुरंत वापस आओ! तुम कया कर रहे हो?	రిగలీ, వెనుకకు రా! వెంటనే ఇందులోకి ఎకకు! ఏం చేసతుననావు?
ओह, हैलो.	ఓహ, హాయ.
बस भी करो. वे जगह पर हैं. यकीन मानो.	ఆపు. అవి అదే చూసతుననాయి. నిజంగా.
दोसती करने से ही तो कमजोरियों का पता चलता है.	సనేహం చేసతేనే శతరువు బలహీనతలు తెలుసతాయి.
और एक नया रिकारड कायम किया!	కొతత రికారడు సృషటించాడు!
हिलना मत!	కదలకండి!
माफ करना.	కషమించు.
मुझे उस रात का टरैफिक देखना है.	ఆ రాతరి టరాఫికను చూడాలనుకుంటుననాను.
उस रात जितने शिकायती फोन आए, उनके बारे में डिसपैच से बात हुई.	సర. ఆ రాతరి ఫిరయాదు కాలస నివేదిక ఇచచేవారితో మాటలాడాను.
रिगली, चढ जाओ. अचछा कुतता!	రిగలీ, ఎకకు. మంచి కుకక!
अजनबियों को इजाजत नहीं है.	అపరిచితులను సవాగతించము.
तखते को तोड मत देना, दोसत.	మితరమా, చెకక ఇరగగొటటకు.
माफ करना जो मैंने इतना गुससा किया.	అంత కోపగించుకుననందుకు కషమించు.
यार, वह कया है?	చూడండి, అది ఏంటి?
कितने लोग असल में पैनिक जीतते हैं?	కానీ ఎంత మంది పానిక గెలుసతారు?
और, हम चार बार साथ में सोए थे.	అంతేకాకుండా, నాలుగు సారలు కలిశాను.
हमने सरदियों में उससे बात की, और उसने बताया कि उसे कुछ नहीं पता था,	ఆమెతో మనం శీతాకాలంలో మాటలాడాము, తనకు ఏమీ తెలియదని చెపపింది,
उनमें एक नाम मायरा कैंपबेल का था.	అందులో ఒక కాలర మెరా కయాంపబెల.
-वहाँ चलकर बात करें? -ठीक है.	-మనమకకడకు వెళళి మాటలాడదామా? -సరే.
आप गलत फैसलों की कीमत चुकाते हैं.	చెడువాటికి మూలయమే చెలలిసతాము.
चलो! तुम कर सकती हो! आगे बढो!	వెళళు! నువవు చేయగలవు! వెళళు అంతే!
भितति चितरण खुद वहाँ नहीं पहुँचा.	గరాఫిటీ దానంతట అదే గీయబడలేదు.
जो पिटने से नहीं डरता, मुझे अचछा लगता है.	ఓడిపోడానికి భయపడని వాడంటే నాకు ఇషటం.
सब हाथों का कमाल है. बस पलटो और. . .	అదంతా చేతిలోనే ఉంది. అది పెకి ఎగరేసి. . .
-मेरे बाल बना दोगी? -लॉरन आया है. हमें जाना होगा.	-జుటటు అలలుతావా? -లోరన వచచాడు. మనం వెళళాలి.
याद दिला दूँ, परतियोगिता में 23 खिलाडी हैं.	గురతు చేసతుననా, మనకు పోటీలో 23 పోటీదారులు ఉననారు.
मजा चाहिए तो सटैन को इस नंबर पर फोन करो 1 (315) 83. 36 14	మంచి సమయం కోసం సటానకు కాల చేయండి 1 (315) 83. 36 14
मजा चाहिए तो सटैन को इस नंबर पर फोन करो 1 (315) 83. 36 14	మంచి సమయం కోసం సటానకు కాల చేయండి 1 (315) 83. 36 14
कल 10: 00 बजे जो भी होने वाला है, गरेनरी में होगा.	రేపు పదింటికి జరగబోయేది ఏదెనా, ధానయాగారం దగగర జరుగుతుంది.
देखो, वह नैट है. ठीक है?	చూడు, తను నాట. సరేనా?
तुम कया करती हो?	ఏం చేసతుంటావు?
यह हिसाब कि किनसे मिलते हैं.	మనం ఎవరితో ఉననామో తెలుసుకుంటారు.
धत तेरी!	అయయో ఛ.
इस तरफ.	ఇటువెపు.
बस. . .	అదీ. . .
किससे? खेल से?	దేనికి? ఆటంటేనా?
-चाहो तो बातचीत शुरू कर सकती हूँ. -नहीं.	-అనుమతిసతే ఆమెను పరశనిసతాను. -వదదు.
डिगिनस ने अगली चुनौती के बारे में कुछ नहीं कहा?	డిగినస తరువాతి సవాలు ఎపపుడో తెలియచేయలేదు?
-आप खरचा देने को तैयार हैं? -तैयार हूँ.	-ఛారజీలకు అంగీకారమేనా? -అంగీకారమే.
उसने कोई तो राज बताए होंगे.	ఖచచితంగా రహసయాలు చెపపి ఉంటుంది.
तुममें और रे में कया बात हो गई?	నీకూ, రేకూ మధయ ఏం జరిగింది?
संवाद अनुवादक परवीन कौर शोम	ఉపశీరషికలు అనువదించినది కరత సమత
तुम लोग फिर से दोसत हो?	మీరు మళళీ సనేహితులా?
मैं हाई सकूल में थी.	రెండో ఏడు చదువుతుననాను.
वैसे, तुमहारा सवागत है.	అననటటు, నీకు సవాగతం.
सिंडरेला, तुमहारा मोजा.	రాకుమారి, నీ మేజోడు.
शुकरिया, परिंस चारमिंग.	ధనయవాదాలు, రాకుమారా.
इस भितति चितरण में संखयाओं के जरिए हमारे लिए कोई संदेश हो तो?	ఈ గరాఫిటీలో సంఖయలను ఉపయోగించి మనకు సందేశానని ఇసతుంటే?
-बढिया. तुम ठीक हो? -ओह, शुकरिया.	-మంచిది. బాగానే ఉననావా? -ఆ, ధనయవాదాలు.
पता नहीं. मैंने हरनैंडेज से कहा कि परांत के हर	తెలియదు. హెరనాడెజను నంబరలు, చిరునామాలకు పురమాయించాను.
सब ठीक है. बिशप हमें लेने आएगा. हम जाने को तैयार हैं.	పరవాలేదు. బిషప మనలని తీసుకెళళేందుకు వసతుననాడు.
साथ ही, वे आपका कहा मानते हैं. जयादातर.	అంతేకాకుండా, అవి చెపపినటటు వింటాయి. చాలావరకు.
साँप, चूहे और मकडियों जैसी घटिया चीजें.	జలదరించే పాములు, ఎలుకలు, సాలెపురుగులు ఉంటాయి.
मजे लूटे हैं.	తనతో గడుపుతాను.
चलो किया जाए.	మనం ఇది చేదదాం.
मैं हैरान हूँ कि तुम यहाँ तक आई.	నువవు ఇకకడికి వచచావంటే ఆశచరయంగా ఉంది.
कया कर रहे हो? एक नंबर के शैतान हो न?	ఏం చేసతుననావు? చినన వెధవవి, కదా?
काश तुम मुझे बताती.	నాకు చెపపి ఉండాలసింది.
नहीं, मैं पैनिक के बारे में बात करने आई हूँ.	లేదు, పానిక గురించి మాటలాడాలని వచచాను.
घबराओ मत, महीने में एक बार वाला सनान हो गया.	కంగారుపడకు, నేను నెలవారీ సనానం చేశాను.
मजाक नहीं है. अचछा नहीं. इससे अचछा मजाक कर लेते हो.	సరదా కాదు. మంచిది కాదు. నీకు ఉతతమమెనది కాదు.
खिलाडी, या जज लोग नहीं हैं. . .	ఆటగాళళు కాదు, నయాయనిరణేతలు కాదు. . .
सामुदायिक कॉलेज के बरोशर देखने का समय मिला?	నువవు కమయూనిటీ కాలేజీ బరోచరలు చూశావా?
-तुमहारी मरजी है. -अचछा. ठीक है, देख लूँगी.	-అది నీ విషయం. -సరే. మంచిది. చూసతాలే.
अचछा, बग. मैं तुमसे यहाँ 4: 00 बजे मिलूँगी.	సరే, బగ. నేను నినను ఇకకడ తిరిగి 4 గంటలకు కలుసతాను.
वे शायद खबर रख रहे होंगे कि कहाँ काम करते हैं. . .	వాళళు మనం పని చేసే చోట తెలుసుకుంటారేమో. . .
मैं. . . मैं संभाल लूँगी. यार, मैं ठीक हूँ.	నేను. . . నడవగలను. మీరు మరీను, నేను బాగానే ఉననాను.
आपके लिए सेरविल यूनिट के एक कैदी का कलेकट कॉल है.	సేరెవిల జెలులో ఖెదీ నుండి మీకు ఛారజీ వరతించే కాల వచచింది.
शायद वे भरती कर रहे हैं.	వాళళు నియమించుకోవచచని విననా.
तुमने नैट से कोई बात की?	నువవు నాటతో ఏమెనా మాటలాడావా?
सुबह आओ तो ठीक रहेगा.	ఉదయం అయితే మంచిది.
शौक से. हाँ.	సంతోషంగా. సరే.
कौन है?	ఎవరది?
ठीक है?	సరేనా?
हिसाब बराबर.	బకాయి తీరింది.
बहुत हो गई बातें. हमें सुराग ढूँढने चाहिए.	మాటలు చాలు. మనం సంకేతాల కోసం చూడాలి.
अब, मुखय कारयकरम पर आते हैं.	ఇక, ముఖయ కారయకరమం సంగతి.
अचछा. तो, ओ यानि एक. . .	సరే. అయితే, ఓ అంటే ఒకటి. . .
जहाँ से परेमिका लाते हो?	నీ పరేయసులను తెచచుకునే చోటా?
बिलकुल.	అవును.
कयोंकि मैं तुमहारा पिता हूँ.	ఎందుకంటే నేను మీ నాననను.
-नहीं, मैं. . . -शायद सभी को यही लगता है.	-లేదు, నేను. . . -ఖచచితంగా అందరూ అదే అనుకుంటారు.
आपने बात पूरी नहीं होने दी.	ననను పూరతి చేయనివవలేదు.
-हाँ, हेदर! -हाँ, हेदर!	-వెళళు, హేథర! -వెళళు, హేథర!
-टेकसस में. -टेकसस में.	-టెకసాస మొతతంలో. -టెకసాసలో.
छुटटी के दिन, घर पर रहकर, पीती हो?	నీ సెలవు రోజు నువవు ఇంటలో ఉండి తాగుతావా?
जूनियर साल में आप जो भी करें, सब माफ होता है.	మొదటి ఏడాదికి ముందు ఏదీ నీకు చటటబదధంగా వయతిరేకం కాదు.
सारजेंट लैंगली. शेरिफ विभाग.	సారజెంట లాంగలీ. షెరీఫ డిపారటమెంట.
अजीब यह है कि तुमने पूछा, लैंगली.	నువవు అడగడం విచితరం, లాంగలీ.
-हैलो, मिंडी. -हैलो, हेदर.	-హే, మిండీ. -హే, హేథర.
मुझे लगा कि पिछले हफते	గత వారం కాలచిన ఆ బాణసంచాపె
अचछी बात कही.	మంచి విషయం.
सब गरीक भाषा जैसा लगता है.	అంతా గరీకలో ఉననటటుంది.
इसके बाद. . .	తరువాత. . .
-मुझे बैठना होगा. -यहाँ पर.	-మనం కూరచోవాలి. -ఇకకడ కూరచుందాం.
फिर वे बस खुद को बचाते हैं.	అపపుడు తమని తాము రకషించుకుంటారు.
बचकर भागने वाला.	పారిపోయే కళాకారుడు.
अचछा. और, डॉज मेसन, समय शुरू होता है तीन, दो, एक. . .	సరే. ఇక, డాడజ మేసన, నీ సమయం మొదలవుతుంది, మూడు, రెండు, ఒకటి. . .
तुम जब जंप के लिए निकली, उसके बाद ही मुझे पता चला.	నువవు జంపకు వెళళే వరకూ నాకు అది తెలియలేదు.
और खेल से बाहर हो जाएँगे.	ఆట నుండి వెదొలగుతారు.
जब हमें लगता है कोई नहीं देख रहा, तब हम पर नजर रखते हैं.	మనం ఎవరూ గమనించరని అనుకుని చేసేది గమనిసతుంటారు.
आप लोगों के पास कोई काम मिलेगा?	మీ దగగర ఏదెనా ఉదయోగం ఉందా?
-शायद. -मैंने आपसे कहा कि मैंने	-అవునేమో. -మీకు చెపపానుగా,
बिशप लीला का दोसत कब से बन गया?	బిషప ఎపపటి నుండి లీలాతో సనేహం చేశాడు?
लाइबरेरी की किताबें.	ఆగు. నా లెబరరీ పుసతకాలు.
हाँ, इस हफते तो हैं.	అవును, ఈ వారమే, కలిశారు.
आप जानते ही हैं, ऐबी 18 पहियों वाली गाडी के नीचे आ गई.	మీకు తెలుసుగా, ఆబీని 18 చకరాల వాహనం గుదదింది.
मैं बस नए बचचे को हैलो कहने आया हूँ.	నేను కొతత అబబాయిని పలకరిసతాను.
ए, यह सुराग है.	హే, అది ఒక సంకేతం.
नहीं, वह छठी कलास में था.	లేదు, అది అంతా ఆరో తరగతి వరకే.
साँपों का अडडा,	పాములకు మంచి చోటు,
यह असली नंबर नहीं है. दो संखयाएँ कम हैं.	ఇది నిజమెన నంబరు కాదు. అందులో రెండు అంకెలు లేవు.
-और, मनोरोगी भी हो सकता है. -वह भी.	-పెగా, అతను సెకోపాత అయుంటాడు. -అది కూడానా.
शायद शॉना केनी.	షానా కెననీలా ఉంది.
चलो! तुम कर सकती हो!	వెళళు! నువవు చేసతుననావు!
थोडा पास आओ. और पास.	ఇంకొంచెం దగగరకు. దగగరకు.
और तुम? किस चीज से डर लगता है?	మరి నీకు? నీకు ఏదంటే భయం?
अचछा?	అవునా?
मैं हमेशा कहती हूँ न, "मेहनत से अचछी है तैयारी. "	ఎపపుడూ ఏం చెబుతానో తెలుసుగా, "సిదధంగా ఉంటే శరమ తగగుతుంది. "
मैं होता तो काम सभी में बाँट देता.	నేనెతే విభజించి వేగంగా తెలుసుకునే వాడిని.
तीन. . . देखा? तो, रुको. पैड खोलो.	మూడు. . . చూశావా? అంటే, ఆగు? పయాడ తెరువు.
उनहोंने फिर भी गलत फैसले लिए.	వాళళను పిచచి ఎంపికలనుండి కాపాడలేదు.
-चलो. तसवीर लो. -बडा अचछा है.	-లోపలకు రా. ఫోటో తియ. -ఇది బాగుంది.
-बिशप को फोन करती हूँ. -अचछा.	-బిషపను పిలుసతాను. -సరే.
और फिर अचछे से बाल बनाओ.	జుటటు చకకగా ఎందుకు దువవుకోవు?
मुझे साढे पाँच लगता है.	నేను ఐదుననర ఇసతాను.
गरेनरी के दकषिण में जो सपीड टरैप है, उसकी टेप निकाल दोगे?	దకషిణ ధానయాగారం దగగర వాహనాల టేపులు తీసుకొసతావా?
एक तरफ, इतना बेवकूफ है कि डरता नहीं. दूसरी तरफ. . .	ఒకవెపు, అతనికి భయం అంటూ లేదు. మరోవెపు. . .
पेशाब करना है.	బాతరూంకు వెళళాలి.
असली बात यह है कि पैनिक यहाँ का खेल है.	విషయం ఏంటంటే, పానిక సథానికుల ఆట.
-टरॉय वैन. -कारप, टेकसस में लिप गलॉस लगाओ तो	-టరాయ వయాన. -కారప, టెకసాసలో లిప గలాస
दस सेकंड!	పది సెకనలు!
अभी लगभग 11: 00 बज रहे हैं.	అంటే, దాదాపు పదకొండు అవుతుంది. ఛ.
रुको! अचछा.	ఆగు! సరే.
कम से कम कुतते कभी सीट ऊपर नहीं छोडते.	కనీసం కుకకలు సీటు తెరిచి ఉంచవు.
हाँ, लोग बडा इनाम जीतते हैं, पर	అవును, ఎవరో ఒకరు బహుమతిని తీసుకెళతారు,
कुछ तो सच भी होती हैं.	వాటిలో కొనని నిజమెనవి కూడా.
ए, तुमहें यह सब छोडना होगा.	హే, నువవు ఇది ఆపేయాలి.
तुमने दिन भर कुछ खाया?	నువవు రోజంతా ఏమెనా తిననావా?
बूढे में अभी भी दम है.	ముసలివాడు అయినా అది పటటాడు.
हेदर निल, जिसे 50 अंक फालतू मिलेंगे	హేథర నిల, ఆమెకు అదనంగా 50 పాయింటలు ఇంకా తను
मैं रख देती हूँ.	నేను పెడతాను.
कोई बराबरी नहीं. केवल एक विजेता.	ఒకటిగా ఆడము. ఒకరే విజేతలు.
-उनहोंने गाडी चुराई. . . -हाँ.	-వాళళు కారు దొంగిలించడం. . . -అదేకదా.
-सवाल यह है. . . -कब?	-పరశన ఏంటంటే. . . -ఎపపుడు?
निल को कितना समय लग जाएगा?	నిలపెన పందెం కాసతావా?
बरफ लगा लेना, ठीक है?	నీకు ఒక సెకను ఉంటే, సరేనా?
-कया? नयोता नहीं मिलेगा? -नहीं.	-ఏంటీ? ఆహవానించరా? -లేదు.
-दरद हो रहा है. -इसे पकड पाओगी?	-నొపపిగా ఉంది. -నిలపగలవా?
मैंने सुना कि उसका खेल से कोई संबंध न था.	దానికి ఆటకు సంబంధం లేదని విననాను.
-जनमदिन मुबारक, जान. -जनमदिन मुबारक, माँ.	-హయాపీ బరతడే. -హయాపీ బరతడే, అమమా.
मेरी माँ हमेशा कहती थी कि अगर वह बाथरूम में पेशाब न करे,	మా అమమ అనేది, అది టాయిలెటలో మూతరం పోయలేకపోతే,
और जिमी. . .	ఇంకా జిమమీ. . .
शुकरिया.	ధనయవాదాలు.
उनको गाडी के लिए नया टरांसमिशन चाहिए था.	తన కారుకు కొతత టరానసమిషన కావాలి.
थोडे छुटटे बचे थे, वो छोड दिए.	కొనని డాలరలు వదిలేసింది.
दम घुट रहा था. बात भी नहीं कर पा रही थी.	నా గొంతు నొకకేసినటటు అనిపించింది. మాటలాడలేకపోయాను.
शुकरिया.	ధనయవాదాలు.
-तुमहें कुछ चाहिए? -हाँ.	-నేను నీకు సహాయపడగలనా? -అవును.
कुछ नजर आया?	ఏమెనా కనబడిందా?
यह अचछी बात है.	అది శుభవారత.
कया?	ఏంటి?
-नया खिलौना मिल गया, हाँ? -हेदर?	-ఆడుకోడానికి కొతత బొమమ దొరికిందా? -హేథర?
-माफ करना. -कोई बात नहीं.	-కషమించు. -పరవాలేదు.
-रे कमीनापन कर रहा था. -बिलकुल.	-రే వెధవలా వయవహరించాడు. -అలానే చేసతాడు.
ये बचचे बस झुंड के पीछे भागते हैं.	ఈ పిలలలు మందను అనుసరిసతారు.
मैंने कभी भाग नहीं लिया.	నేను ఎపపుడూ ఆడలేదు.
यहाँ आओ. जरा नहा लो	ఇలా రా. నువవు సనానం చేసి
उममीद करती हूँ.	అవుననే అనుకుంటుననా.
फरसट-एड आता है?	పరథమ చికితస తెలుసా?
-विलियमस. -हाँ.	-విలియమస. -వసతుననా.
तुमने डिसपैच को आतिशबाजी के बारे में बताया. . .	కోపంగా సపందిసతే, నేను అనుకుననాను. . .
जब तक आप भागते रहते हैं, आपका डर आपसे एक कदम पीछे ही रहता है.	మీరు ముందుకు కొనసాగితే, మీ భయం మీ దరికి చేరలేదు.
शॉना केनी मुसीबत कर सकती है.	షాన కెననీ సమసయ కావచచు.
शायद चरच में दोसती हुई होगी.	బహుశా చరచిలో తెలుసేమో.
इससे कया होगा?	ఇది ఎందుకు?
तुम ठीक हो?	బాగానే ఉననావా?
न. इससे अचछी जगह और कया होगी?	లేదు. ఇకకడికంటే బాగా ఇంకెకకడ ఉంటుంది?
हम ओलड हाउस जाएँगे, तुमहारे लिए तुमहारा मनपसंद	ఓలడ హౌసకు వెళళి నీకు ఇషటమెన చీజ బరగర
तुम कयों नहीं?	నువవు ఎందుకు కాదు?
वरना आप खुद को बाकी के काफिरों के साथ पाएँगे,	లేదా మిగిలిన నాసతికులతో కూరచుంటావు,
नीचे मत देखना.	కిందకు చూడకు అంతే.
"कल. . . कल दस बजे. "	"రేపు. . . రేపు పదింటికి. "
हमने इस बारे में बात की थी.	మనం దీనిపె మాటలాడాము.
-चलो, बेटा. -कैमरे के लिए मुसकुराओ.	-రా, బాబు. -ఫొటో కోసం నవవు.
चोरी और अवैध रूप से घुसना.	దొంగతనాలు, చొరబాటలు.
-पुलिस! निकलो! -पुलिस है! चलो!	-పోలీసులు! వెళళండి! -పోలీసులు! వెళళండి!
हाँ. आपको लगता है कि आपको. . .	తెలుసు. నాకేది మంచిదో మీకు తెలుసని. . .
तो इसे घर में नहीं रहना चाहिए.	అది ఇంటలో ఉండకూడదు అని.
तुम अचछा करोगी. बस. . .	నువవు బాగా చేసతావు. కేవలం. . .
-मेरा टखना. -चलो.	-నా మడమ. -రా.
मैं देख सकता हूँ?	నేను చూడవచచా?
तुमहें तो उसका पता ही है. सब ठीक हो जाएगा.	అంటే, తను ఎలా ఉంటుందో నీకు తెలుసు. ఇదంతా సమసిపోతుందిలే.
हाँ. दोसती करने.	ఖచచితంగా. కలుసుకోవడం.
चारों तरफ चिहन हैं.	చుటటూ అంతా సూచనలు ఉననాయి.
एकदम हैरान कर दिया!	చాలా ఆశచరయం! పెదద ఆశచరయం.
अचछा. तो, समय मिलते ही	సరే. అయితే, దీనికి ఐస పెటటాలి
चीजबरगर और तले हुए आलू लेंगे.	ఇంకా ఫరెస తెచచుకుందాం.
और अब, किसी खास करम में नहीं. . .	ఇక, పరతయేక కరమం లేదు. . .
-भितति चितरण कल नजर आया था. -हाँ.	-ఇది నినన గీశారు. -అవును.
पता है इस शहर की असली समसया कया है? वह पैनिक नहीं है.	నీకు ఈ ఊరి అసలు సమసయ తెలుసా? పానిక కాదు.
वरना वह गिरफतार हो जाता.	ఎందుకంటే అతనిని అరెసట చేసేవాళళు.
दुशमन से किसी तरह की दोसती नहीं.	హే, శతరువుతో సనేహం వదదు.
इसके बाद?	తరువాత ఎవరు?
शॉना केनी! तुमहारी बारी!	షానా కెననీ! నువవే!
हे भगवान!	అయయో దేవుడా!
हे भगवान.	ఓరి, దేవుడా.
डॉज मेसन! अविशवसनीय! एकदम अविशवसनीय!	డాడజ మేసన! నమమశకయంగా లేదు! అససలు నమమశకయంగా లేదు!
हे भगवान.	అయయో దేవుడా.
-अचछा. -बहुत डर लगता है.	-అవును. -ఇది చాలా భయానకంగా ఉంది.
मुझे पता है.	నాకు అది తెలుసు.
हमारे साथ यह करना बंद करना होगा.	మాకు ఇలా చేయడం మానేయాలి.
उममीद है पैर को हिलने से रोकेगा.	నీ కదలికను పరిమితం చేసతుందని అనుకుంటుననాను.
आज तुमहारे बारे में है.	ఈ రాతరి నీ కోసమే.
डॉज मेसन, तुमहारी बारी.	డాడజ మేసన, నువవే.
तो, सब ठीक है?	అయితే, బాగుననటటేనా?
अगर हमें जीतना है, तो तैयारी जरूरी है.	మనం గెలవాలంటే హోంవరక చేయాలి.
-हाँ. -अचछी बात है.	-సరే. -మంచిది.
तुम कहीं और नहीं जा सकते?	నీకు ఉండేందుకు ఇంకెకకడా చోటు లేదా?
-बिलकुल. -और टरॉय वैन?	-పూరతిగా. -టరాయ వయాన సంగతేంటి?
-गोपनीय शरम. -हैलो?	-అవమానకరమెన రహసయాలు. -హలో?
के मामले की सुनवाई होगी.	నాటలీ విలియమస కేసు పరిశీలిసతుంది.
मुझे नहीं लगता कि चुनौती में नाशते का कोई काम होगा.	సవాలులో చిరుతిండి ఉంటుందంటే అనుమానమే.
-अचछा लगा जो तुम आए. -हाँ.	-మాకోసం వచచావు సంతోషం. -నాకు తెలుసు.
और कहाँ रहते हैं. . .	ఇంకా జీవనం. . .
बाप रे.	ఛ. ఛ.
कमीना कहीं का.	చెతత వెధవ.
किसी जगह का पता लगता है या. . .	ఇది జియోటయాగ లేదా. . .
तुमने कहा था पैनिक में साथ कुछ नहीं होता.	పానికలో కలిసి ఆడటం ఉండదననావు.
-अचछा. -मुसकुराओ.	-సరే. -నవవు.
बिशप - आज अदालत में हेदर निल बनाम नैटली विलियमस	బిషప - ఈరోజు కోరటు హేథర నిల వరసెస
अडतालीस सेकंड!	నలభె ఎనిమిది సెకనలు!
तुमहें डर नहीं लगता?	నీకు భయం లేదా?
-अचछा. -अचछी बात है.	-సరే. -మంచిది.
जब उसे पीटूँगा तो और मजा आएगा.	అలాంటి వాడిని ఓడించాక నాకు ఆనందంగా ఉంటుంది.
-हैलो. -हैलो.	-హే. -హే.
कोई बात नहीं.	పరవాలేదు.
-हैलो. -धत तेरी!	-హే. -అబబో!
मैंने देखा.	నేను అది చూశాను.
-मिस निल? -धत तेरी.	-మిస నిల? -ఛ.
गरीक और रोमन. अरे, बाप रे.	గరీకులు, రోమనలు. దేవుడా. అయయో, దేవుడా.
ऊँचाई, ऊँचाई से गिरना.	ఎతతులు, పడేయడం.
हम बस जा ही रहे थे.	మేము ఇపపుడే వెళళిపోబోతుననాం.
एक, दो, तीन, चार, पाँच, छह, सात, आठ, नौ.	ఒకటి, రెండు, మూడు, నాలుగు, ఐదు, ఆరు, ఏడు, ఎనిమిది, తొమమిది.
कया मतलब ले लिए?	ఆమె తీసుకుంది అంటే ఏంటి?
कितने?	ఎంత?
-काश. -सच में?	-నీ కోరిక. -నిజంగానా?
मैंने जो सुना है, बस उतना ही पता है.	నేను విననదే నాకు తెలుసు.
कॉन टस से ओरस! सी पी लवज यू!	సీఓఎన టీఎస ఎసఈ ఐఓఆరఎస! సీ పీ ఎలఓవీఈఎస ఓయూ!
चलो!	వెళళు!
अरे, हाँ!	అవును!
चलो!	వెళళు!
हाँ.	అవును.
शुकरिया. सब कुछ गिरते-गिरते बचा.	ధనయవాదాలు. పడిపోయేవే.
मुझे माफ कर दो, नैट.	కషమించు, నాట.
अपना गोपनीय पहलू.	తమ రహసయాలు.
गंदा रिगली.	చెడడదానివి రిగలీ.
ओलड रिवर रोड के आखिर में जो खेत पडता है, वह पता है?	ఓలడ రివర రోడ చివరన పొలం తెలుసుగా?
नहीं. सुनो.	లేదు, లేదు. విను.
तेईस सेकंड!	ఇరవె మూడు సెకనలు!
डॉज मेसन 55 सेकंड में!	డాడజ మేసన 55 సెకనలలో పూరతి చేశాడు.
हेदर, यही मौका है.	హేథర, ఇపపుడు లేదా అసలు వదదు.
धयान रखना. जब किसी अचछी लडकी का दिल टूटता है, अचछा नहीं लगता.	జాగరతత. మంచి మనసులు భగనమెతే నాకు నచచదు.
ए, यहाँ आओ.	హే, రా.
ठीक है.	సరే. అలాగే.
हेदर, तुमहारी बारी!	హేథర, నువవే!
इसे अभयास समझ लो.	ఇది శికషణ అధయయనంలా భావించు.
शायद.	అవునేమో.
धत तेरी.	అబబా.
धत तेरी!	అయయో!
माना जाता है कि जिमी और ऐबी ने इस खेल में हिससा लिया.	జిమమీ ఇంకా ఆబీ ఈ ఆట ఆడారనుకుందాం.
तुम जबरदसत होगे.	పూసుకుంటే, కఠినంగా ఉండాలి.
कैसा है?	అది ఎలా ఉంది?
तुमने कमाल कर दिया.	బాగా చేశావు! నువవు బాగా చేశావు.
एक, ओ. दो, डी.	ఒకటి అంటే ఓ. రెండు, డీ.
तो?	ఏంటి?
किसी भी चीज से?	దేనికెనా?
-दुनिया की सबसे खूबसूरत महिला को. . . -लडकी.	-అందమెన ఆమెకు. . . -అమమాయ.
मैं समझ सकती हूँ.	అరథమయింది.
धयान रखिएगा.	జాగరతత.
अचछी बात है.	మంచిది.
चलो.	పద, పద.
नहीं तो.	నిజానికి లేదు.
तुमसे पयार है.	ఐ లవ యూ.
-और असर अचछा था. -हाँ.	-అది బాగా ఫలించింది. -అవును, ఫలించింది.
घुटनों पर. हाथ ऊपर.	మీ మోకాళళపె కూరచోండి. చేతులు పెకి.
अचछा?	ఓ, అవునా?
अचछा.	సరే, సరే.
रुको.	ఆగు. ఆగు.
अचछा.	సరే, సరే.
पार करने के लिए 90 सेकंड हैं, जिसके बाद मुसीबत में आ जाएँगे	90 సెకనలలో దాటాలి లేదంటే పరమాదం,
पाँच हजार चार सौ साठ डॉलर.	5, 460 డాలరలు.
तो, एन.	అంటే, ఎన, ఎన.
कुछ-कुछ.	కొనని చెపపింది.
और उसके पास विरासत भी है.	వారసతవం ఉంది.
