जैज. जैज 124.	జాజ. జాజ 124.
{\an8}नौ-छह-बी-बी, बायीं दिशा में नमूना डालो.	{\an8}9-6-బీ-బీ, గాలి వీసతునన ఎడమవెపుకు రా.
-इतना जान लो. . . -मेरा भाई वापस नहीं आएगा.	-నువవు తెలుసుకో. . . -పోయిన పరాణం తిరిగిరాదు.
यानि अवतरण यंतर अभी भी खुला है. थरॉटल के पास वाला सफेद लीवर खींचिए.	అంటే లయాండింగ చకరాలు కిందికే ఉననాయని. తరాటల పకకన తెలల లీవర లాగు.
तुमहें टॉफी खिलाऊँगा.	నీకు మిఠాయి కొనిపెడతా.
रुको. जब तक मैगी इससे बेहतर नहीं करती. चलो, मैगी. ऊपर से फेंका.	ఆగు. మయాగీ నా సకోర దాటే దాకా. కానివవు, మయాగీ. నీ విసురు అందుకుంటా.
-लडकियों वाली बातें करो. -बदतमीजी बंद करो.	-అమమాయిల ముచచటలు చెపపుకోండి. -కటువుగా ఉండకు.
नहीं. वह सिरस बादल है.	కాదు. అది కుంతల మేఘం.
-जो! -मुझे किंग एयर के पायलट से बात करनी है.	-జో! -మాటలాడటానికి కింగ ఎయిర పెలెట కావాలి.
आप अभी कॉकपिट में हैं?	మీరు కాకపిటలో ఉననారా?
आप ही हमारा सहारा हैं.	మాకుననది మీరు మాతరమే.
तुम कर सकती हो, बेटा.	నువవు చేయగలవు, బంగారం.
तुम कर सकती हो, बेटा.	నువవు చేయగలవు, బంగారం.
-संपरक टूट गया. -कया?	-లెన కట అయింది. -ఏంటి?
-यंतर नीचे है. -अचछा.	-చకరాలు దించాము. -సరే.
हर ईसटर संडे को खुशियाँ मनाने की अचछी वजह है	పరతీ ఈసటర ఆదివారం వీరి ఎననో సంబరాలకు కారణం
आप सब अब घर जा सकते हैं कयोंकि मेरे चाचा और पापा हारने वाले नहीं.	మీరంతా ఇంటికి వెళితే మంచిది, ఎందుకంటే మా నానన, బాబాయి ఓడిపోరు.
पर अगर आप कुछ कर पाएँ तो बडी मेहरबानी होगी.	కానీ మీరు అందుకు ఏం చేసినా, అభినందిసతాను.
मुझे किंग एयर के किसी पायलट से बात करनी है.	నాకు మాటలాడటానికి కింగ ఎయిర పెలెట కావాలి.
गुमराह है, बता नहीं सकता किधर मुड रहा है.	తికమకగా ఉంటాడు తిరుగుతుననాడో లేదో చెపపలేడు.
{\an8}बरायन नॉरटन - हवाई टरैफिक नियंतरक पायलट अनुभव: 517 घंटे	{\an8}బరయన నారటన- ఎయిర టరాఫిక నియంతరకుడు పెలెట అనుభవం: 517 గంటలు
ईशवर तुमहारे लिए है.	దేవుడు నీకోసం ఉననాడు.
जब जागोगी तब हम लुईजियाना में घर पर होंगे.	నిదరలేచే సరికి, లూయీసియానా ఇంటలో ఉంటావు.
{\an8}एलिस रॉस - मियामी नियंतरण परयवेकषक पायलट अनुभव: 0 घंटे	{\an8}ఎలిస రాస - మయామీ కంటరోల పరయవేకషకుడు పెలెట అనుభవం: 0 గంటలు
कैरी, कया हो रहा है?	కయారీ, ఏం జరుగుతోంది?
कैरी, कया हो रहा है?	కయారీ, ఏం జరుగుతోంది?
तुमसे जयादा, मुझे इसका दरद होगा, ठीक है?	ఇది నీకననా నననే ఎకకువ బాధపెడుతుంది, సరేనా?
पता नहीं अगर इन बादलों से आगे निकल पाऊँगा.	ఈ మేఘాలను దాటుకుంటానో లేదో నాకు తెలియదు.
हे परम पिता परमेशवर.	పరలోకమందునన మా తండరీ.
जैज 124, तुमहारे पीछे कोई नहीं है,  बायीं तरफ रनवे एक पर रुको.	జాజ 124, మీ వెనుక ఎవరూ లేరు,  మీ ఎడమనునన రనవేలోకి వెళళకండి.
चारों तरफ घर और इमारतें हैं. हम यहाँ हैं.	చుటటూ ఇళళు, భవనాలుననాయి. మనం ఇకకడుననాం.
हाँ, वह नहीं होगा. पता है, तुम कया करोगे?	అవును, అది జరగదు. నువవేంటో నీకు తెలుసా?
{\an8}कैरी सोरेंसन - किंग एयर पायलट पायलट अनुभव: 8400 घंटे	{\an8}కయారీ సోరెనసన - కింగ ఎయిర పెలట పెలెట అనుభవం: 8400 గంటలు
बेली वहाइट, नमर बनो और इजजत से पेश आओ.	బెయిలీ వెట, వినయంగా, మరయాదపూరవకంగా ఉండు.
-शुकरिया. -यह लीजिए.	-ధనయవాదాలు. -ఇదిగో.
हाँ! ऐसे ही होता है.	అదది! ఇలాగే చేయాలి.
अपनी बहन से बात करो.	నీ చెలలితో మాటలాడు.
मिलनसार होना चाहिए.	కలుపుగోలుతనం మంచిది.
बेली, कुछ नहीं होगा.	బెయిలీ, మనకేం కాదు.
अंतरिकष यान जैसा है.	ఇది వయోమనౌకలా ఉంది.
माँ, कया हो रहा है?	అమమా, ఏం జరుగుతోంది?
मियामी, मेरे साथ हो?	మయామీ, మీరు ఉననారా?
अगर जलदी न उतरा तो तूफान में खो जाएगा,	తవరలో దిగకపోతే, తుఫాను అతనని కూలుసతుంది,
-देख रही हूँ. -मेरी ऊँचाई और रफतार देखो.	-చూసతాను. -నా ఎతతును, వేగానని గమనించు.
आपसे पयार है, पापा!	నువవంటే ఇషటం, నాననా.
थरॉटल को बंद कीजिए.	థరాటల పూరతిగా దించు.
सटीयरिंग छोड दीजिए!	రడడరను అలాగే వదిలెయ!
जो सही मौके पर थीं.	సరెన సమయంలో జరిగాయి.
मुझे हमेशा उस पर यकीन था, पर मैं. . .	ఎపపుడూ విశవాసిగానే ఉననా, కానీ నేను. . .
आपको फोरट मायरस अभिगम के सुपुरद करेंगे.	మిమమలని ఫోరట మయరస అపరోచకు అపపజెబుతాం.
मुझे जमीन नहीं दिख रही. सिरफ पानी है.	నాకు భూమి కనిపించడం లేదు. నీళళు మాతరమే.
अगर वह यहाँ है, और मौसम परणाली यहाँ है,	అతను ఇకకడుంటే, వాతావరణ సమసయ ఇకకడుంది,
फोरट मायरस, देख सकते हैं कि रेडार पर कितनी तेज जा रहे हैं?	ఫోరట మయరస, రాడారపె మేము ఎంత వేగంగా వెళుతుననామో చూడగలరా?
हाँ. हाँ, आप कर सकते हैं. आप यहाँ तक आए. हम बहुत करीब हैं.	అవును. అవును, చేయగలవు. ఇంత దూరం వచచావు. దాదాపు వచచేశాం.
{\an8}आगे चलकर वह बहु-इंजन वयावसायिक रेटिंग वाले पायलट बने	{\an8}అతను తరవాత ఓ బహుళ ఇంజన కమరషియల రేటెడ పెలెట అయయాడు
काफी अचछा गाती है.	తను బాగా పాడుతోంది.
-खींचो! -मुझे देखो!	-లాగు! -ననను చూడు!
और अंगरेजी में. . .	అలాగే ఆంగలంలో. . .
यहाँ बडी अचछी सह पायलट है, इसलिए शायद कुछ भी कर सकते हैं.	మాకు ఇకకడి మంచి సహపెలెట ఉననారు, ఆమె ఏదెనా చేసేలా ఉంది.
-वह मदद कर सकता है. -नहीं. न ही तुम.	-సాయం చేసతాడు. -చేయకూడదు. నువవూ చేయకు.
मोड अचछा लग रहा है.	నీ తిపపడం బాగుంది.
ठीक है? जब तक 160 नॉटस नहीं पहुँचते.	సరేనా? గంటకు 296 కి. మీ. లు చేరే దాకా.
आपसे पयार है, माँ.	నువవంటే ఇషటం, అమమా.
कभी किंग एयर उडाया है? किसी के पास किंग एयर का अनुभव है?	ఎపపుడెనా కింగ ఎయిర నడిపావా? ఎవరెనా కింగ ఎయిర నడిపారా?
मेरी पतनी और बेटियाँ इस विमान पर हैं.	ఈ విమానంలో నా భారయ, కూతురలు ఉననారు.
यानि 11, 000 फुट. शायद, मैडम. है न?	అది 11, 000 అడుగులు కదండి, మేడమ. కదా?
जितना चाहते हैं, उससे थोडा सा धीमा.	మాకు కావాలసినదాని కననా కాసత నెమమదిగా.
-वह 18 की है. अभी भी समझ रही है. -उसकी उमर जो भी हो.	-తనకు 18 ఏళళు. అరథం చేసుకుంటోంది. -తన వయసు నాకు అనవసరం.
तो सुनिए. इस शौक के चलते आपने बारबीकयू परतियोगिता जीती.	ఓ మాట చెపతా. ఈ అభిరుచి బారబెకయూ పోటీని గెలిపించింది.
तुमहारी तकलीफ देखकर बुरा लग रहा है. ईशवर रासता दिखाएगा.	నీ మనోగాయానికి బాధేసతోంది. దేవుడు మనలని బయటపడేసతాడు.
मैं टहलने जा रहा हूँ, अगर मुझे ही दिल का दौरा न पड जाए.	నేను అలా నడకకు వెళతాను, నాకు గుండెపోటు రావాలని లేదు.
मेरा परिवार भी ऐसी एक सथिति में था जिसमें कि आप हैं.	నువవు పరసతుతం ఉనన పరిసథితిలోనే మా కుటుంబం కూడా ఉండింది.
{\an8}और वेटरनस एयरलिफट कमांड के कामों में मदद की है	{\an8}వెటరనస ఎయిరలిఫట కమాండ కోసం సహాయ విమానాలను నడిపాడు
हम उसे लपेट देंगे.	మనం దానని చుడదాం.
हाँ, सर. लपेटा था.	అవును, సర. చేశాం.
है न कमाल की बात?	ఆ మాట బాగుంది కదా?
जब कि घर पर मरजी से कुछ कर सकती हूँ.	ఇంటలో చేసుకోవాలసిన పనులు ఉననా సరే.
मेरा भाई नहीं रहा. उससे पहले, मेरे पापा, मेरे चाचा.	నా తమముడు పోయాడు. అంతకు ముందు, మా నానన, బాబాయి పోయారు.
आसमान में मुफत मेनिकयोर. मंजूर है.	ఆకాశంలో ఉచిత గోరల సంరకషణ. అందుకుంటా.
अपना हेडसेट लगाओ.	నీ హెడసెట పెటటుకో.
{\an8}बिल जोनस पायलट अनुभव: 0 घंटे	{\an8}బిల జోనస పెలెట అనుభవం: 0 గంటలు
एक डिसकवरी फलाइट.	ఒక డిసకవరీ విమానం.
-सच में? -वे उसे यहाँ भेज रहे हैं.	-నిజంగా? -అతనని ఇకకడికి పంపుతుననారు.
-उसे विमान उडाने का कोई अनुभव है? -सेसना में कुछ घंटे.	-అతనికి విమానయాన అనుభవం ఉందా? -సెసనాలో కొనని గంటలు.
-मैं कया मदद करूँ? -मुझे नहीं पता.	-సాయపడటానికి నేనేం చేయాలి? -తెలియదు.
वह कितना दूर है, और किस ऊँचाई पर है?	ఎంత దూరంలో ఉననారు, అతని ఎతతు ఏంటి?
जयादा धीमे गया तो विमान गिर जाएगा.	మరీ నెమమదిసతే, విమానం కుపపకూలుతుంది.
तुमने कह ही दिया.	చివరికి చెపపేశావు.
उडान सिमयुलेटर - लाइवएटीसीनेट उनके हेडसेट से आप तक लाइव हवाई टरैफिक	విమాన అనుకరణ - లెవఏటిసీనెట - పరతయకష విమాన టరాఫిక వారి హెడసెట నుండి మీకు
{\an8}नेपलस - चरच ऑफ होप रविवार की पूजा 11: 00 बजे	{\an8}నేపులస - ఆశనిచచే చరచి పరారథనలు ఆదివారాలు 11: 00
हम आपको 11, 000 पर उतारेंगे,  पशचिम की ओर मोडेंगे.	నినను 11, 000 అడుగులకు దించి,  పడమర వెపుకు తిపపుతాను.
नहीं, माँ. बेली की तबियत ठीक नहीं! उसे इंजेकशन चाहिए!	కాదమమా. బెయిలీ అసవసథతకు గురెంది. తనకు సూది వేయాలి!
पसलियाँ तैयार हैं. बरिसकेट में. . .	పకకటెముకలు సిదధం. ఛాతీ మాంసం. . .
{\an8}मैगी, तुमहें यह टॉफी चाहिए?	{\an8}మయాగీ, నీకు టూటసీ రోల కావాలా?
हैलो. हैलो, डैन. हाँ, वह यहीं है.	హలో. హేయ, డాన. అవును, ఇకకడే ఉననాడు.
अचछा, धयान रहे कि थरॉटल पर रहना है.  आपको 140 नॉटस पर बने रहना है.	సరే, నీ థరాటల అలాగే పటటి ఉంచు.  వేగం గంటకు 260 కి. మీ. లు నిరవహించాలి.
नहीं. लडकियाँ हमेशा अपने पापा का दिल पिघला देती हैं.	కాదు. అమమాయిలు తండరి హృదయాలను ఎపపటికీ కరిగిసతారు.
पाँच-पाँच-नौ-डी-डबलयू, 12, 000 पर बने रह पा रहे हैं?	5-5-9-డీ-డబలయూ, 12, 000 అడుగులలో ఉండగలుగుతుననావా?
कितना बेवकूफ हूँ.	నేను వెధవగాడిని.
ए, सब अचछा होगा.	హేయ, ఏమీ అవవదులే.
भगवान के दिए का शुकर मनाओ, इससे पहले कि वह छिन जाए.	ఉననదానికి కృతజఞతా భావంతో ఉండు, అది కోలపోయే లోపు.
जब मैं घर पहुँची	ఇంటికి చేరుకోగానే
दकषिण पशचिम परसथान के लिए रनवे 17.	నెరుతి దిశ నిషకరమణ కోసం రనవే 17.
दकषिण पशचिम परसथान के लिए रनवे 17.	నెరుతి దిశ నిషకరమణ కోసం రనవే 17.
दकषिण पशचिम परसथान के लिए रनवे 17.	నెరుతి దిశ నిషకరమణ కోసం రనవే 17.
-ऑटोपायलट. -अचछा.	-ఆటోపెలెట. -సరే.
सब ठीक हो जाएगा.	మనం బాగానే ఉంటాం.
कोशिश कर रही हूँ.	యతనిసతుననా. సరే.
फोरट मायरस अभिगम.	ఫోరట మయరస అపరోచ.
उसे धीमा करो. हर तरफ घूम रहा है.	నెమమదించాలి. ఇషటానికి వెళుతుననాడు.
वह अब हवाई टरैफिक नियंतरण परणाली	ఆమె ఇపపుడు జాతీయ కారయకలాపాల మేనేజర
{\an8}लीसा मुझे इस बात के लिए मना लेती है कि ऑटोपायलट को बंद कर दूँ.	{\an8}నేను ఆటోపెలెట ఆపేయాలసిందేనని లీసా ననను చివరికి ఒపపించింది.
{\an8}तब से उनहोंने हाइटी, बेलीज में राहत कामों में	{\an8}ఆ తరవాత అతను హెతీ, బెలీజకు సహాయ విమానాలను,
{\an8}कैरी सोरेंसन किंग एयर पायलट - उडान निरदेशक	{\an8}కయారీ సోరెనసన కింగ ఎయిర పెలెట - ఫలయిట బోధకుడు
यह गाय काफी पहले मर चुकी. अब लपेटने का फायदा नहीं.	ఆ ఆవు ఎపపుడో చనిపోయింది. అది నడవాలసిన పని లేదు.
पशचिम हारटफोरड के बाहर विमान की टककर से 6 मौतें	వెసట హాటఫోరడ బయట పరెవేట విమానం కూలడంతో 6 మంది మృతి
-परारथना करोगे? -भगवान भला करे.	-పరారథిసతారా? -దేవుడు దీవించుగాక.
तुम इस समय किसी विमान में हो कया?	మీరు పరసతుతం విమానంలోనే ఉననారా?
इन विमानों को उसके रासते से हटाओ. खाली जगह चाहिए.	ఈ విమానాలని అడడం తొలగించు. నాకు విశాలత కావాలి.
{\an8}कयोंकि तुमहें विमान उडाना बिलकुल नहीं आता.	{\an8}ఎందుకంటే విమానానని చెతతగా నడుపుతుననావు.
और वह परतियोगिता के लिए नहीं था.	అది పోటీలో భాగం కాదని విననాను.
उततरी अटलांटिक महासागर फलोरिडा - मेकसिको खाडी	ఉతతర అటలాంటా సముదరము ఫలోరిడా - మెకసికో సింధు శాఖ
-संभलकर! -माँ, इनहें कया हो गया?	-జాగరతత! -అమమా, అతనికి ఏమెంది?
फोरट मायरस अभिगम. फोरट मायरस लो.	ఫోరట మయరస అపరోచ. ఫోరట మయరస లో.
-तभी पता चलता है कि यही विमान है. -कया? कयों?	-అలా ఈ విమానం గురించి తెలుసతుంది. -ఏంటి? ఎందుకు?
एक बार विजञान कलास के बाद, मिसटर जोनस ने कहा था कि नहीं बन सकती.	ఎందుకంటే ఒకరోజు సెనస తరగతి తరవాత, పెలెట కాలేనని జోనస అననారు.
मैंने कुछ दिन पहले ही हवाई टरैफिक नियंतरण की भाषा बोलनी शुरू की,	విమాన టరాఫిక కంటరోలతో కొదది రోజుల ముందే మాటలాడటం మొదలుపెటటా,
सरकस 86, समझ गए.	సరకస 86, అలాగే.
तुम पागल हो कया?	నీకేమెనా పిచచా?
-मोड देख रही हो? -हाँ. बाप रे.	-ఆ తిపపుడు చూశావా? -అవును. అబబో.
वह आपके साथ नियंतरण टावर में है?	అతను మీతో కంటరోల టవరలో ఉననాడా?
चार हजार सात सौ.	4, 700 అడుగులు.
-कोई? -मेरे पास.	-ఎవరెనా? -ఉంది.
{\an8}वो कुछ कमाल की चीजें हैं	{\an8}అవి కొనని దెవికమెన విషయాలు
{\an8}हाँ. या मेरी बात मानकर बोलिंग के लिए जाओ.	{\an8}అవును. లేదా నా మాట విని బౌలింగలో చేరు.
कयोंकि मुझे हर रात अपना इनाम पकडने को मिलता है.	ఎందుకంటే నా బహుమతిని పరతీ రాతరి పటటుకుంటాను.
बहुत जलद एलएसयू जाओगी, और तुमहें इसकी याद आएगी.	తవరలోనే ఎలఎసయూ వెళుతుననావు, తనని మిససవుతావు.
अससी किलोमीटर से दूर नहीं होगा. पायलट नहीं रहा?	80 కి. మీ. ల కంటే ఎకకువ ఉండదు. పెలెట పోయాడా?
-फोरट मायरस में मौसम परणाली देखो. -देख रहा हूँ.	-ఫోరట మయరసలో వాతావరణ సమసయలు చూడు. -చూసతుననా.
नहीं. मैं यहाँ औषध विकरेता हूँ.	లేదు. నాది సథానిక మందుల షాపు.
तुम छोटी ऐल रुकर से कम नहीं हो.	నువవు పిలల వాతావరణ వయాఖయాతవు.
उसे घूमने में मुशकिल हो रही है.	తిపపడంలో సమసయ ఎదురకొంటుననాడు.
-नहीं उतर पाएगा.  -काफी ऊपर है.	-మిస అవుతాడు. -ఎతతులో ఉననాడు.
सुना है कि आपने बहुत सी पसलियाँ बारबीकयू की	మీరు ఎననో పకకటెముకలను బారబెకయూ చేశారని పుకారు,
{\an8}विमान संखया कया है? विमान संखया कहाँ है?	{\an8}నా విమాన సంఖయ ఏంటి? అది ఎకకడ ఉంటుంది?
-यह चालू है. -फोरट मायरस अभिगम. फोरट मायरस लो.	-ఆనలో ఉంది. -ఫోరట మయరస అపరోచ. ఫోరట మయరస లో.
"ऐसे कारखाने में बनायी गई जहाँ मूँगफली इसतेमाल होती है. "	"వేరుశెనగలు పరకరియ చేసే పరిశరమలో ఈ ఉతపతతి పరకరియ చేయబడింది. "
हमने कर दिखाया!	మేము సాధించాం!
हाँ, वह तो है.	అవును, అదృషటమే.
हाँ, वह तो है!	అవును, అదృషటమే!
हमें वजह कभी नहीं मालूम होती, फिर भी जवाब हमेशा पता होता है.	ఎందుకనో ఎపపటికీ తెలియదు, కానీ మనకు జవాబు ఎపపటికీ తెలుసు.
तुम कर सकते हो.	నువవు చేయగలవు.
इसे पीछे खींचो!	వెనకకు లాగండి!
एन-पाँच-डी-डबलयू, यह सही होगा.	ఎన-5-డీ-డబలయూ, అది ఫరవాలేదు.
सरकस 86, मियामी अभिगम, 133. 77 से संपरक करें.	సరకస 86, మయామీ అపరోచను సంపరదించు, 133. 17.
हमारे रेडार पर नहीं दिख रहा.	అతను మా పరిధిలోకి ఇంకా రాలేదు.
-उसकी बात सुन लो. -सेल फोन यहाँ से ले जाओ.	-అతను చెపపేది విను. -సెల ఫోన బయటకు తీసుకెళళు.
पूरी तरह नहीं.	అంత సరిగా కాదు.
यहाँ आइए. आपको यह दिखाना है.	ఇలా రా. నేను నీకిది చూపించాలి.
मेरा नाम जेससिका जोनस है.  द ओपरा शो में हूँ.	నా పేరు జెససికా జోనస.  ద ఓఫరా షోతో ఉననాను.
मियामी केंदर, किंग एयर पाँच-पाँच-नौ-डी-डबलयू 8, 000 पर,	మయామీ సెంటర, కింగ ఎయిర 5-5- 9-డీ-డబలయూ, 8, 000 అడుగులు దాటి
-कि उनहोंने ऐसी कभी नहीं खाई. -मैंने कहा था.	-అతను తిననవాటిలో అది ఉతతమం అని. -చెపపాగా.
{\an8}कॉकपिट में "एन" से शुरू होनी चाहिए.	{\an8}కాకపిటలో పలకపె ఉంటుంది, "ఎన" తో మొదలు.
रफतार काबू करो. अवतरण यंतर जलदी खोलना है.	వేగానని నియంతరించు. తవరలోనే చకరాలు దిగుతాయి.
सटीयरिंग छोडिए, थरॉटल को एकदम पीछे लीजिए.	రడడర విడుదల చేయి, తరాటల పూరతిగా వెనకకు లాగు.
लकडी का एक और टुकडा डालना है?	మరో దుంగను లోపలికి వేసతావా?
बकसे में पडी तसवीरें गवाह थीं	జఞాపకాల పెటటెలో ఉనన చితరాలు
मेरी दिशा 160 उततर में करो.	నా దిశను 160 ఉతతరానికి మారచు.
कोशिश कर सकते हैं. देखते हैं.	పరయతనిదదాం. మనం పరయతనిదదాం.
-यह नौबत आएगी? -तैयार रहना.	-అలా అవుతుందా? -సిదధంగా ఉండు.
डर से उनकी जान निकल रही होगी.	వాళళు భయంతో వణికిపోతుంటారు.
जो कर रहे हैं, वही करते रहिए.	ఇపపుడు చేసతుననటటుగా చేయండి.
समझ गए. फरीकवेंसी 132. 07 है.	అలాగే. ఆ ఫరీకవెనసీ 132. 07.
"अवतरण यंतर" लिखा होना चाहिए.	"విమాన చకరాలు" అని ఉంటుంది.
हाँ. कुछ झोंके हैं, पर कुछ नहीं होगा.  कम एयरसपीड में ले जा रहे हैं	అవును. కొనని ఈదురుగాలులు, కానీ ఫరవాలేదు.  మరింత వేగం తగగించగలరేమో చూడండి
नेपलस टावर, सेसना 898, हम फिर कोशिश करेंगे.	నేపులస టవర, సెసనా 898, మరోసారి యతనిసతాం.
"जब आग गरम हो, एक भी लकडी बेकार मत जाने दो.	"నిపపు కాక మీద ఉండగా, దుంగను వృధా చేయకు.
-ईशवर, हमारे लिए फरिशते भेजो. -नहीं. परारथना के लिए नहीं.	-దేవుడా, మాకు దేవతలను పంపు. -కాదు. అది పరారథనకు కాదు.
-अचछा. -दोबारा कोशिश करेंगे.	-సరే. -మరోసారి పరయతనిదదాం.
{\an8}और खाली समय में रेडियो टरैफिक नियंतरण को सुना करो.	{\an8}నీ ఖాళీ సమయంలో రేడియో టరాఫిక కంటరోల వినడానికి.
-तुमने बचा लिया. -शुकरिया.	-చకకగా కాపాడావు. -ధనయవాదాలు.
जज ने मेरी खास सॉस के बारे में कया कहा था?	నా పరతయేక సాస గురించి జడడి ఏమని అననాడు?
बडी मेहरबानी.	అభినందిసతుననా.
मियामी केंदर. वहाँ कोई है?	మయామీ కేందరం. ఎవరెనా ఉననారా?
इसे उडाने के लिए सकषम हैं?	ఆ విమానం నడిపే అరహత నీకుందా?
पायलट बेहोश है. यातरी विमान उडा रहा है.	పెలెట సపృహతపపాడు. పరయాణీకుడు నడుపుతుననాడు.
समंदर के ऊपर.	సముదరం మీదుగా.
मुझे नहीं पता.	నాకు తెలియదు.
नजदीकी वयवसाय, इलाकों के पास तैयार रखो.	విమానాశరయం దగగరునన వయాపారాలు, నివాసాల వదద.
कमजोरी सी है. हम कहाँ हैं?	నీరసంగా ఉంది. మనం ఎకకడుననాం?
मैं डैन फावियो हूँ.  अपना संदेश छोड दीजिए.	నేను డాన ఫావియో.  దయచేసి సందేశం ఇవవండి.
मौका नहीं मिला कि उनसे कितना पयार करता था.	వాళళు వదిలిపోయే ముందు ఎంతగా పరేమించానో.
बंद हो गया है.	చారజింగ లేదు.
छुटटे रख लेना.	చిలలర ఉంచుకో.
बेली वहाइट ओनालासका, विसकॉनसिन में पंजीकृत मालिश चिकितसक	బెయిలీ వెట లెసెనస పొందిన మసాజ థెరపిసటగా పని చేసతోంది
कैरी सोरेंसन.	కయారీ సోరెనసన.
गरैजुएशन पूरी करने के बाद मैगी वहाइट औषध विकरेता है	మోనరోలోని యూనివరశిటీ ఆఫ లూయిసియానాలో పటటభదరురాలెన తరవాత
दिमाग खराब है, या मुझे गिरफतार करवाना है?	నీ మతి పోయిందా లేక అరెసట చేయిసతుననావా?
ऑटोपायलट को दोबारा चालू करूँ तो कया होगा?	నేను ఆటోపెలెట మళళీ ఆన చేసతే ఏమవుతుంది?
विमान को एक इंजन वाले विमान की तरह उडाइए.	ఒకే ఇంజన విమానానని నడిపినటటుగా నడపండి.
{\an8}जेफ, बकबक करना बंद करके शांति से बैठोगे? मैं धयान लगा रहा हूँ.	{\an8}జెఫ, విసిగించకుండా శాంతిసతావా? ఏకాగరతతో ఉండాలని చూసతుననా.
-वह गया. वह गया कया? वह मर गया कया? -किंग एयर पाँच-पाँच-नौ-डी-डबलयू,	-అతను పోయాడు. పోయాడు కదా? చనిపోయాడా? -కింగ ఎయిర 5-5-9-డీ-డబలయూ,
थोडे डांवांडोल लग रहे हो.	కాసత అసథిరంగా కనపడుతుననావు.
{\an8}मिटटी के बरतन बनाओ.	{\an8}కుండల తయారీని చేపటటు.
तुम मेरे गराज में खडी हो.	నా గారేజలోకి నిలబడి ఉననావు.
फरक इतना कि वहाँ बैठा था.	అంటే, అందులో అకకడ కూరచుననా.
मैगी! तुम मदद कर सकती हो?	మయాగీ, మయాగీ! సాయం చేసతావా?
-माँ. . . -हम इसे ढकेंगे.	-అమమా. . . -అతనిని కపపుదాం.
वह ऊपर चढता रहेगा, उस ऊँचाई पर जहाँ ऑकसिजन खतम हो जाए.	పెకి ఎకకుతుననాడు, ఎతతుకి వెళితే, ఆకసిజన అయిపోవచచు.
इसलिए आप थोडा धीरे बोलिए,	కనుక మీరు మెలలగా మాటలాడితే,
-अपनी गाडी हटा लूँ. -जाओ. .	-టరక పకకకు పెడతా. -వెళళు.
हैंडल को एकदम पीछे लीजिए.	పిడిని పూరతిగా వెనకకు లాగు.
विमान उडा रहे हो. यही गलती कर रहे हो.	విమానానని నడపడం. అదే నువవు చేసతునన తపపు.
यह उस छोटे विमान जैसा है जिसकी मैं टककर करने वाला था.	ఇది నేను దాదాపు కూలచేసిన చినన విమానంలో లాగా ఉంది.
-मैगी, तुम ठीक हो? तुमहें पेन मिला? -देख रही हूँ!	-మయాగీ, బానే ఉననావా? పెన దొరికిందా? -ఆ పని మీదే ఉననా.
फोरट मायरस जाने के लिए उसे भीतर की ओर मोडना होगा.	అతను నేలవెపుకు తిరగాలి, ఫోరట మయరసలో దిగటానికి వీలుగా.
जब मैं उडान भरना सीख रही थी, तुमने मुझसे यह कहा था न?	నాకు విమాన పాఠాలు జరిగేటపపుడు నువవు అది చెపపలేదా?
रनवे से धकेल दिया गया. इसे काबू में नहीं कर सकता.	రనవే నుండి గాలి తోసేసింది. దీనని అదుపు చేయలేకపోతుననా.
अगर एक में भी चूका, तो बाकी चारों को देखने के लिए नहीं बचेगा.	కానీ వాటిలో ఒకటి చేయకపోయినా, మిగతా నాలుగును చూడటానికి బతికి ఉండడు.
ऐसे फोन के लिए काफी अचछा रिसेपशन है.	ఈ చినన ఫోనలకు అకకడ నెటవరక బాగా వసతుంది.
-अचछा. -हे परम पिता. . .	-సరే. -పరియమెన పరభువా. . .
उसने ऐसा कयों होने दिया?	ఆయన ఎందుకు ఇది జరగనిచచాడు?
युनाइटेड 25, मियामी केंदर से संपरक करो.	యునెటెడ 25, మయామీ సెంటరను సంపరదించు.
मोड लेने से पहले, रफतार तेज होनी चाहिए.	అతను తిపపేలోపు వేగానని పెంచేలా చూడు.
बस हलका नीला आसमान और हलका नीला पानी दिख रहा है.	నాకు లేత నీలపు ఆకాశం, లేత నీలపు నీరు కనపడుతుననాయంతే.
वह आ रहा है.	అదిగో వచచాడు.
लीसा गरिम गारडेल का पायलट अनुभव उस ईसटर संडे पर काफी काम आया	లీసా గరిమ గారడెల పెలెట అనుభవం ఆ ఈసటర ఆదివారం రోజున ఎంతో సాయపడింది
वह डैनबरी, कनेकटिकट से है.	అతనిది డానబరీ, కనెకటీకట.
मारको टरैफिक. किंग एयर.  पाँच-पाँच-नौ-डी-डबलयू.	మారకో టరాఫిక. కింగ ఎయిర విమానం.  ఎన-5-5-9-డీ-డబలయూ.
किंग एयर नौ-डी-डबलयू में पायलट बेहोश हो गया है.	కింగ ఎయిర 9-డీ-డబలయూ విమానంలో పెలెట సపృహ కోలపోయాడు.
एन-नौ-डी-डबलयू,  आपको बता दें कि हम कया कर रहे हैं,	ఎన-9-డీ-డబలయూ,  నువవేం చేసతుననావో తెలియజేసతాను,
जब हम औरों की गलतियाँ माफ करते हैं.	మా రుణసథులను మేము కషమించియునన పరకారము.
उनहोंने कहा कि आएँगे, इसलिए मैं तुमहारी जगह होती तो तैयार रहती.	ఆయన ఇకకడికి వసతానని అననాడు. నీ సథానంలో నేనుంటే తయారవుతాను.
