लूसी.	లూసీ.
{\an8}कयोंकि अगर कल कोई बुरी घटना हुई	{\an8}ఎందుకంటే రేపు ఏదెనా దారుణం జరిగితే,
- मुझे पता है. - हर दिन डाक देखती थी.	- ఉననావని తెలుసు. - పరతి రోజూ మెయిల చూశా.
तो मेरे नजदीकी लोग, यानी तुम और जेनी,	నేను పరేమించిన మనుషుల కోసం ఏదెనా చేసతాను,
कया शानदार जगह है.	ఇది భలే అందంగా ఉంది.
वह है समय.	అది సమయం.
यह वही है.	అది ఆయనే.
सुनो, हॉलीवुड में कटटरवाद ऐसे फैल रहा है	చెబుతుననా, హాలీవుడలో చపపటలు కొటటడంలా
मैं, बारथ-बारथोलोमयू कॉगसवरथ, सेवा में हमेशा ततपर हूँ.	నేను, బారత-బారతోలోమయూ కాడసవరత, మీకు సేవ చేయడానికి సదా సిదధం.
नहीं, मैं ठीक हूँ.	లేదు, బాగానే ఉననాను.
डॉकटर की बात मानो.	డాకటర మాట విననావుగా.
ये लोग हमें यहां फंसा रहे हैं.	ఇకకడ బందించాలని చూసతుననారు.
आपसे मिलकर अचछा लगा.	మీ రాక మాకు ఆనందం.
माफ करना.	మననించాలి.
पर वॉलट-टेक मेरे बिना भी बनेगा जरूर.	కానీ నేనుననా లేకపోయినా వాలట టెక ఉంటుంది.
बस. . . भरोसा करो.	ననను. . . నమము చాలు.
शायद तुमहारी कोई मीटिंग थी.	నీకు ఏదో సమావేశం ఉండి ఉంటుంది.
नहीं. नहीं आ सकते.	లేదు. మేము తీసుకోము.
लॉयड और कैसांडरा दोनों वैजञानिक हैं	కాదు, లాయిడ, కసాండరా ఇదదరూ శాసతరవేతతలు,
- हम नरवस थे. - बहुत अचछे.	- కంగారుపడడాం. - బాగా చేశారు.
पता है, डिजाइन में खराबियाँ थीं, पर दिखता शानदार था.	డిజెన లోపాలు చాలా దారుణం, కానీ కచచితంగా అదభుతంగా కనబడతాయి.
कुछ दिन, फिर सफर कर सकेगा.	కొనని రోజులు ఇకకడ కోలుకోవాలి.
किसी ने नहीं बताया यह गूल था.	అది ఘౌల అని ఎవరూ చెపపలేదు.
शेडी सैंडस को लौटाने के लिए खून बहाना होगा.	షేడీ శాండసను తిరిగి తెచచేందుకు, రకతం చిందించాలి.
फॉलआउट पर पिछली बार	ఫాలౌట ఇంతకు ముందు
शांति वारता रुक गई!	శాంతి చరచల సతంభన!
अगर आपको सतह के लोग पसंद नहीं हैं,	నాకరథం కాలేదు, ఉపరితల వాసులు నచచకపోతే,
- तुम ठीक हो? - तो कैसा रहा?	- బాగుననావా? - ఎలా చేశాం?
जैसे सतह पर मुझे तुमहारी थी.	ఉపరితంపె నాకు నీ అవసరంలా.
कई लोगों की एक ही आँख है.	చాలా మందికి ఒకే కననువుంటుంది
यार, वॉलट-टेक असली शैतान है.	వాలట టెక పెదద భూతం, బాబూ.
सवाल है, किसने तय किया कि कुततों को अनुमति नहीं देनी है?	వాలటలలో కుకకలు ఉండవని ఎవరు నిరణయించారనేది నా పరశన?
तुमहें बचाव में कुछ कहना है?	నీ రకషణకు ఏమెనా చెపపగలవా?
यहाँ रुकना हमारे लिए ठीक नहीं है,	మేము బతికి ఉండడం మాకు జరిగేది కాదేమో,
सच में, नए लोगों के साथ कई मजेदार वाकये होते हैं.	మీరు ననను నమమవచచు, కొతతవారు వచచాక చాలా సంఘటనలు జరిగాయి.
कहना कया चाहती हो?	ఏం సూచిసతుననావు?
दुनिया की सबसे अचछी जगह.	పరపంచంలో ఉతతమ చోటులో ఉననాం.
पुरानी सोच है यह. मैं नया कुछ सोचता हूँ.	అది మూడు కోణాల ఆలోచన అయితే, నేననేది నాలుగవది.
पर कुछ लोग होते हैं, जब उनका खडा होता है	కానీ కొందరికి, వాళలు దానిని కదిపితే, అది పెదద
तब बडा और सखत होता है, फिर बहने लगता है.	పుటటమచచలా పెదదగా, గటటిగా మారి, ఏదో కారుతుంది.
मेरी बीवी वहाँ काम करती है.	నా భారయ ఉదయోగం అందులోనే.
मि. कूपर हावरड बोल रहे हैं?	మీరు మి. కూపర హావరడ కదా?
कया कहा?	నువవేంటి?
बहुत कम बचे हैं.	మనం అంతరించే జాతి.
अरे, यार.	అబబా, ఛ.
सारे आरोप सही हैं.	ఆరోపణలపె దోషిని.
मेरी ही आवाज कहती है, "हैलो सर. यहाँ बैठेंगे? "	నా గొంతే చెబుతోంది, "హలో, సర. మీరు కూరచుంటారా? " అని.
{\an8}और आप भी हीरो बन सकते हैं	{\an8}ఇపపుడు మీరు కూడా హీరో కావచచు,
वॉलट में कुतते नहीं. किसने कहा?	వాలటలలో కుకకలు ఉండవు. ఎవరు చెపపారు?
कोई मेरी फयूजन कोर ले गया.	నా ఫయూజన కోర కొటటేశారు.
इन जमीन के नीचे की जगहों में सभी आधुनिक सुविधाएँ हैं	ఈ భూగరభ బరబలలో అననీ మన ఉతసాహభరిత రిపబలిక నుండి
तुम मर गए तो कया फायदा.	నువవు చనిపోతే ఉపయోగం లేదు.
और तुम भी. गूसी मैकलीन.	అయితే, నువవే. గూసీ మెకలీన.
डीसी में इस पर चरचा करनी होगी.	మనం దానిపె డీసీ వరకు సరకిల చేయాలి.
फिर एक बार, वॉलट चार में सवागत है.	ఇక మరోసారి, వాలట 4కు సుసవాగతం.
हाँ. और किसलिए?	అవును. దేని కోసం?
इसे समझ नहीं आया.	ఈమెకరథం కాలేదు.
- कयों पूछ रही हो? - माफ करें.	- అబబా, అసలు నీకేంటట? - మననించాలి.
{\an8}कयों. . .	{\an8}ఎందుకు. . .
यार, कुछ रोशनी हो जाए?	ఇక, మనం లెటలు ఆన చేదదామా?
हमें उसका कवच भी मिला.	మాకు అతని కవచం దొరికింది.
तुम राषटरपति हो गए हो?	ఇపపుడు నువవు పరెసిడెంటవా?
तो तुमहें कैसी याद है?	సరే, ఆమె నీకెలా గురతుంది?
हम अपने बिछडों को वापस लाते हैं खुद को उनकी राख से ढक कर.	మా నుంచి తీసేసుకుననది పొందుతాం వాళల బూడిదను మాపె పూసుకోవడం దవారా.
कितनी शानदार आवाज है.	తను భలే పాటలు పాడుతుంది.
अब तक तो नहीं.	లేదు, ఇంకా లేదు.
- हाँ. - अजीब लग सकता है	- అవును. - సంకలిషటమే,
कूपर हावरड अभी निकला?	కూపర హోవారడ ఇటు వెళలారా?
टाइटस, यह वॉलट डॉकटर है.	టెటస, ఈయన వాలట డాకటర.
मेरा जनम वहीं हुआ था.	నేను ఉపరితలం మీదే పుటటా.
हमें यहाँ वॉलट चार में इतने अचछे लोग मिले.	ఇకకడ వాలట 4లో ఆతిథయ సమాజానని కనుగొనడం మా అదృషటం.
मैं सोचता हूँ.	ఇది ఆలోచిసతుననా.
- वॉलट बेचकर. - यही तो पूंजीवाद है.	- వాలటల అమమకం. - పెటటుబడిదారీతనం, చారలీ.
हाँ. वे ऐसा कैसे करेंगे?	అవును. అదెలా చేసతారు.
- मुझे उससे कुछ पूछना है. . .  - ठीक है. अलविदा.	- ఆమెను పరశనలు అడగాలి. . .  - సరే. ఉంటాను.
यहाँ आओ.	ఇటు రా.
तो आने कयों देते हैं?	వాళలను తీసుకోవడం ఎందుకు?
माफ करना, कया हो रहा है?	ఏమండీ, ఏం జరుగుతోంది?
मैं गरमी नहीं ला रहा.	సరే, నాది చేపల వేట కాదు.
मैं तो बस बातें बना रहा हूँ.	ఈ పరిసథితిని అంచనా వేసతుననానంతే.
ऐसे परमाणु युदध से बच सकती है जिसमें 90 परतिशत लोग मारे जाएँगे.	అణు యుదధ నుండి మానవాళి ఎలా జీవించగలదని నేను ఆలోచిసతాను.
ताकि दुनिया को पता चले कि चाहे जो हो जाए,	మన మారగంలో ఏది వచచినా, అమెరికా సిదధంగా ఉంటుందని
कहते हैं ऐसा किसी के भी साथ हो सकता है, पर. . .	అలా ఎవరికెనా జరగవచచని అంటారు, కానీ అయినా అది, అది. . .
मतलब, कपडे उतारने वाला?	అంటే నా అంగం వాడడమా?
इससे बेहतर कया होगा.	ఇంత కంటే మెరుగగా ఉండదు.
सिसटम का बचाव कर रहे हो	పరపంచానని నాశనం చేసే
ताकि हम परबंधन वाले खास वॉलट में रह सकें	ఇతర వాలటలు అననింటినీ పరయవేకషించే నిరవహణను చూసే
मॉरटन ढेर सारी जमीन वाला किसान था	మిససోరీలో సగభాగం గల రాంచరరా మోరటన నటన,
मुझे मेरी आजादी की पडी है.	లేదు. నా సవేచఛ విషయం తెలియాలి.
जानते हो ये तुमहें कयों लाए हैं?	ఈ కురరాళలు నిననెందుకు తెచచారో తెలుసా?
सेना में हम साथ थे.	అతనితో కలిసి పని చేశా.
मुझे बुरा भी लगेगा.	అలాగే, నేను బాధపడతాను.
यहां कोई फज नहीं है. केवल एक जनरल एटोमिकस इंटर. . .	ఇకకడ చెతత లేదు. కేవలం జనరల అటామికస ఇంటర. . .
हैलो, दोसतो. बस मिलना था.	హే, గయస. మిమమలని పలకరిదదామని.
मेरे बैग में शायद रखा हो.	నా సంచీలో కొనని ఉననాయనుకుంటా.
शायद तुमहें कैलिफोरनिया की बढिया धूप चेहरे पर लेना	నీ ముడతలు పడిన గాడిద ముఖంపె మంచి పాత కాలిఫోరనియా సూరయకాంతి
तुमहारी पूरी संसकृति पागल है!	మీ సంసకృతి అంతటికీ పిచచి!
{\an8}अभी कॉल करें 213-25- वॉलट	{\an8}వెంటనే కాల చేయండి! 213-25-వాలట
जवालामुखी, आप हमारा उदधार करें.	మంటల రాణి, నువవే మాకు రకషణగా ఉండాలి.
जवालामुखी, आप हमारा उदधार करें.	మంటల రాణి, నువవే మాకు రకషణగా ఉండాలి.
हम कहाँ हैं?	మనం ఎకకడుననాం?
{\an8}ताकि बाद की दुनिया बेहतर बने.	{\an8}మీలాంటి అమెరికనలు అవసరం.
बक, तुमहारे लिए खुश हूँ.	సరే, నీ పటల చాలా సంతోషం, బక.
ठीक है.	అలాగే.
वह तो विजञापनों पर ही जीती है.	ఆమె చెతత బిలబోరడ కంటే ఎకకువ పరకటనలు
नहीं, ऐसा नहीं है.	లేదు, అలా చేయడం లేదు.
और बस एक फूसबॉल टेबल है.	మాకు ఒకటే ఫూసబాల టేబుల ఉంది.
जिन मारटिनी.	ఓ జిన మారటీని.
बस यही. . . यही नियम है.	అది కేవలం. . . అది ఓ విధానం.
वैसे, सच कहूँ तो मुझे ऐसा नहीं लगता.	సరే, తెలుసుగా, నిజంగా అయితే అంతగా అనుకోను.
पाँच पीढियों से, गरव है.	ఐదు తరాలు, అందుకు గరవపడతాను.
मैं तो चला ही जाऊँगा.	తవరలో వెళలిపోతాను.
रूजवेलट, माफ करना, तुमहें बुलाया नहीं है.	రూజవెలట, మీరు రాలేనందుకు ననను కషమించండి, మితరమా.
किसी ने फैसला किया होगा और बताया भी नहीं.	అది ఎవరో నిరణయించారు, ఆ విషయం ఎవరితోనూ చెపపలేదు.
कुछ अजीब था न? मतलब, ओवरसियर?	అది వింతగా ఉంది, కదా? పరయవేకషకుడు?
जब तुमहारा काम पूरा हो जाए,	బహుశా మీ షిఫట పూరతయయాక,
हैलो. बारब से बात हो सकेगी?	హలో. బారబతో మాటలాడవచచా?
लोग उसे जवालामुखी कहते हैं.	ఆమెను మంటల రాణి అంటారు.
- हम अपने बिछडों को वापस लाते हैं. - हम अपने बिछडों को वापस लाते हैं.	- మా నుంచి తీసేసుకుననది తిరిగి పొందుతాం. - మా నుంచి తీసేసుకుననది తిరిగి పొందుతాం.
हाँ, तुम जैसे ही, जरा अजीब. पर अचछे हैं.	హా, వాళలూ నీలాగే కొంచెం విచితరం. కానీ మంచివారు.
फयूजन कोर निकालो.	తన ఫయూజర కోర తీసుకో.
फूसबॉल, पेनसिल या बाथरूम के अलावा अगर कुछ पूछना हो,	ఫూసబాల లేదా పెనసిళలు లేదా బాతరూంలకు మించి ఏవెనా పరశనలు ఉంటే,
गरम पानी से नहाओ.	వేడి నీటి సనానం చెయ.
तब तो तुमहें किसी से परचार करवाना चाहिए.	సరే, నువవు పరచారకరతను పెటటుకోవాలి.
जेनी 15 की हो जाए, उसे वेतन विभाग में काम दिला देंगे.	బహుశా జేనీకి 15 వచచాక ఆమెకు ఉదయోగం ఇపపించగలం.
कया तुम सच में अपना पूरा दिन	ఈ వెధవలతో పని చేసతూ తొమమిది నుండి
मतलब, तुमहारे वॉलट में सतह के लोग नहीं आ सकते?	ఏంటి, మీ వాలటలో ఉపరితలవాసులను తీసుకోరా?
मैं बचा था.	నేను బతికాను.
वॉलट-टेक पेश करते हैं. . .	వాలట టెక సమరపించు. . .
हाँ. परोडकट मैनेजमेंट कभी रास नहीं आया.	హా. ఉతపతతి నిరవహణ నాకు సరిపడలేదు.
किसी पंथ जैसा लगता है.	ఇది ఓ కలట. చాలా మంది లాగే.
तब तो हर चीज में साजिश है?	అంతా కుటర కావచచు, కదా?
पर जब बम गिरेंगे, तब दो घंटे की डराइव काम नहीं आएगी.	కానీ బాంబులు పడడాక, రెండు గంటల పరయాణం జరగదు.
वहाँ नहीं जाएँ तो ठीक होगा.	మీరు అకకడకు వెళలకూడదని మా కోరిక.
आजकल बहुत खबरें पढ रहा हूँ.	ఈ మధయన వారతలు బాగా చదువుతుననాను.
और बड आसकिनस के तलवे चाटूँ.	ఆ సవేచఛ కోసం యుదధానికి వెళలలేదు.
पर ये नए लोग? एक बात बताऊँ.	కానీ ఈ కొతతవాళలు? నీకు చెబుతాను.
मतलब, एक जोक शायद दस बार सुनाया होगा मैंने.	అంటే, బహుశా 10 సందరభాలలో నేను ఒక తమాషా జోక చెపపాను.
कोई परमाणु धमाका तो नहीं हुआ है?	సరే, అణుబాంబుల ఘటన జరలేదుగా, జరిగిందా?
मैं भी वॉलट की हूँ.	నేను వాలట నుంచే.
बस इतना याद है बडा धमाका हुआ था.	అది పెదద బాంబు అని మాతరమే నాకు తెలుసు.
चारली, तुम पारटी में नहीं आ पाए, बुरा लगा.	నువవ ఆ రోజున పారటీకి రాలేకపోవడం బాధగా ఉంది, చారలీ.
लोगों को ही कुछ करना होगा.	జనాలు దాని కోసం ఏదెనా చేయకపోతే.
यहाँ बिजली कहाँ से आती है?	మీకు కరెంట ఎకకడి నుంచి వసతుంది?
मेरी मदद के बदले में फिर तुम पाँच-छह योदधाओं को मेरे पिता को बचाने भेजोगे.	నా సహాయానికి బదులు, మా నాననను కాపాడేందుకు మీ సెనికులను ఇసతావు.
आजकल के बचचे इतिहास नहीं जानते.	ఈ కాలం పిలలలకు తమ గొపప చరితర తెలియదు.
अगर मैं तुमहें यूँ ही जाने दूँ,	అందుకే నినను సవేచఛగా వదిలేయాలనుకుంటే,
- याद करते हुए. - याद करते हुए.	- మాకు గురతుననటలు. - మాకు గురతుననటలు.
बॉनी लुईस ने कहा इसका नैतिक आधार है.	ఇది నెతిక పరాతిపదికన అని బోనీ లూయిస అననాడు.
तुमहारी तरह कुछ लोग सतह वाले भी हैं.	వీళలలో కొందరు ఉపరితలం నుంచి వచచారు, నీలాగే.
सुरकषित जगह पर रहना चाहो तो कोई बात नहीं.	సురకషితమెన చోట ఉండాలనుకుంటే నేను నినను నిందించను.
- ऐसा कुछ कर सकता है. - पर मुझे यह पसंद नहीं है.	- వాళలు చూడాలి. - కానీ అది నాకంతగా తగదు.
मि. हावरड, बहुत सही.	హావరడ గారు, బాగా చేశారు.
जो गृहिणियों और विकृत लोगों के काम आता है.	వాళలు గృహిణులు, దురమారగులకు అమమారు.
फॉलआउट	ఫాలౌట
हमारा यही तो काम है.	తగినంత కృతజఞతలు చెపపలేం.
तो बरडी से बात करें.	బరడీ అందుబాటులో ఉంటుంది.
हम एकटर हैं.	మనం నటులం.
- विशवसत कया? - हाँ.	- విశవసనీయ బాధయతా? - హా.
इससे बचा जा सकता है.	అది నివారించదగిన అసమరథత.
हर रात फोन के पास गुजारी.	పరతి రాతరి ఫోన పకకన ఎదురుచూశా.
जेनी के लिए.	జేనీ కోసం.
आप यहीं के हैं?	మీరు ఇకకడి వారేనా?
शेडी सैंडस की हालत मैंने देखी.	షేడీ శాండస ఏమెందో చూశాను.
बस, इतना ही?	అంతవరకేనా?
आखिर कयों तुमने ये तसवीर लगा रखी है?	ఎందుకు నీ గోడ మీద ఈ ఫోటో ఉంది?
अचछा?	అవునా?
खून बहाना होगा.	రకతం చింది తీరాలి.
मि. हावरड?	మిసటర హావరడ?
टाइटस!	టెటస!
दुनिया के सामने यह जगह मसत है.	పెన కాలపులతో పోలచి చూసతే.
- उनहोंने मुझे यह गाउन दी. - पता है.	- నాకు ఓ రోబ ఇచచారు. - తెలుసు.
उनसे जयादा बिकरी नहीं, विचार नहीं.	వారికి మించి అమమడం కాదు. అధిగమించడం కాదు.
तुमने कहीं और काम करने का सोचा है?	వేరే చోట పని చేయడంపె ఎపపుడెనా ఆలోచించావా?
सबसे अचछा इनामी शिकारी हुआ करता था.	ఉతతమ పందెం వీరుడిగా ఉండేవాడు.
उनके अजीब विचार होते हैं. . .	ఆ విచితరమెన ఆలోచనలు. . .
अमरीकी सपने के कारण ही तुम मुझे गोली मारते हो.	అమెరికన కల నువవు ననను నడడి మీద కాలచడం.
परबंधन की तारीखें. पैमाना बडा है.	నిరవహణ సమయాలు చూడడం. సథాయి పెంచుతుననాను.
अचछा? कौन-सा शबद?	అవునా? ఏమిటది?
ऐसा कैसे होता है?	అదెలా ఉంటుంది?
जबान संभाल के.	జాగరతతగా మాటలాడు.
हमें बात करनी है.	మనం మాటలాడాలి.
कया इस सरदी में ऊरजा की कीमतें बढेंगी और इससे युदध हो जाएगा?	ఈ శీతాకాలంలో ఇంధన ధరలు పెరుగుతాయా, అది విసతరించిన యుదధానికి దారితీసతుందా?
मेरे पिता फिली में रहते हैं.	మా నానన ఫిలలీలో ఉంటారు.
कुतते नहीं ला सकते, नया नियम है.	కుకకలకు అనుమతి లేదు, అది ఓ కొతత నిబంధన.
ऐसा ही तो होता है.	అది ఎపపుడూ జరుగుతుంది.
वॉलट चार में सवागत है.	వాలట 4కు సుసవాగతం.
तुमहारे पास टारजाना में पांच एकड है.	టారజానాలో ఐదు ఎకరాలు కొననావు. బాగానే ఉననావు.
सुनो. रुको!	హేయ. ఆగు!
पर मानवता का भविषय एक ही शबद पर टिका है.	కానీ మొతతం మానవాళి భవిషయతతు ఒక పదానికి చేరుతుంది.
तुमहें लगता है हमारे हॉलीवुड वाले दोसत	పరపంచం అంతం కోసం అమమకాలు జరిపే,
मैं एचआर, आर एंड डी पर जयादा धयान देता हूँ.	ఇపపుడు హెచఆర, ఆర అండ డీ పెనే దృషటి.
धनयवाद, दोसत.	ధనయవాదాలు, బాబూ.
बुरी हालत है.	అది మంచిగా లేదు.
साइन अप शीट के साथ पेनसिल न हो	ఒకవేళ సంతకం చేసేందుకు పెనసిల లేకపోతే,
तीन दिन पैदल चले थे, तब भी धमाके की गरमी लग रही थी.	ఇంటి నుండి మూడు రోజుల నడక, ఇపపటికీ ఆ పేలుడు వేడిని అనుభవించగలం.
मुझे तुम पसंद हो.	అందుకే బాగా నచచుతావు.
सोचो मुझे कितने पैसे मिले.	నాకెంత ఇచచారో ఊహించు.
मैंने कडी मेहनत की है	నేను కషటపడి పని చేసతుననాను
उसके लिए मुशकिल होगी, बस.	ఇది ఆమెకు కషటం అవుతుందని, అంతే.
आपका नाशता रोकने के लिए माफी,	మీ అలపాహారంలో అంతరాయానికి మననించాలి,
यहाँ आने वाले कुछ लोग सुरकषित महसूस करके असहज हो जाते हैं.	ఇకకడికి వచచిన కొందరు వయకతులు చివరకు సురకషితంగా ఉండటానికి చాలా కషటపడతారు.
- मैं काम कर रही हूँ. - कयों न कहीं चलें?	- పనిలో ఉననాను. - మనం బయలుదేరితే?
- मुझे भी. - कितनी अचछी बात है न?	- నువవూ నచచుతావు. - సరే, అది బాగుంది కదా?
दुनिया के खातमे वाले बंदे के साथ दिखेंगे.	హాలీవుడ నట మితరుడితో వేడుకలు జరుపుకోవాలని నీ అంచనా.
पर दोसत, तुम जानते हो कैसी हवा चल रही है.	కానీ నువవు, మితరమా, అంతా ఎటు చేరుతుందో నీకు తెలుసు.
मेरे बुलाए मेहमानों में शायद बस तुम ही आए हो.	నేను ఆహవానించినవారిలో నిజానికి వచచినది నువవు ఒకడివేనేమో.
मुझे पता है. आप लोगों ने टी-45 पावर कवच बनाया है.	మీతో నాకు బాగా పరిచయం ఉంది. మీరు టీ-45 పవర కవచం రూపొందించారు.
सभी देश ऊरजा का भविषय नियंतरित करने के लिए यूरेनियम जमा कर रहे हैं. . .	యురేనియం భదరత, శకతి భవిత నియంతరణకు, అనని దేశాలు పోటీ. . .
पता नहीं कोई बचा या नहीं.	ఎవరెనా బతికారో లేదో.
वैसे, मैं तो फिलमी हीरो हूँ,	సరే, నేను సినిమాలలో హీరోగా చేయవచచు,
सुनो.	హేయ.
हाँ.	నిజం.
कैसे हो, सीबास.	అబబా, సెబాస.
सुनो. हॉलीवुड पुरानी बात हो गई. भूल जाओ.	నా మాట విను. హాలీవుడ అనేది గతం. హాలీవుడని మరిచిపో.
पर मेरे पास बुरी खबर है. पर. . .	మీకు దురవారత చెబుతానని నా భయం. కానీ. . .
मैं ठीक हूँ.	నేను బాగుననాను.
मेरी माँ कूरियर थीं.	మా అమమ ఓ కొరియర.
कया?	ఏంటి?
और लेवल 12 वाली बात. . .	ఇంకా లెవెల 12 విషయం, అంటే. . .
. . . ऐसी कमी दिखाई दे रही है,	. . . పడడంతో కొరత ఏరపడి,
अमेरिकन सवपन के लिए.	అమెరికన కల కోసం.
तुम शेरिफ थे और मैं आदिवासी.	నువవు షెరిఫ, నేను సథానిక అమెరికనని.
जबकि दुनिया में आग लग रही है, कूपर.	వయవసథను సమరథిసతుననావు, కూపర.
हैलो?	హలో?
उसे पसंद है?	వాడికి నచచిందా?
कया?	ఏంటి?
यही तो हमारा काम है.	ఎందుకంటే మేము చేసేది అదే.
सुनो.	హేయ.
हम जैसे लोग जलदी भरोसा नहीं कर पाते.	అపరాధ మనససాకషి ఉనన మనలో విశవాసం సులభంగా రాదు.
यह कया है?	ఏమిటిది?
कि बाप और बेटा लगभग एक जैसे ही होते हैं.	వారసతవపు లకషణాలు అంత తవరగా పోవు.
यही मोलडेवर है.	తనే మోలడేవర.
ठीक है. देखो, टाइटस,	సరే. టెటస, చూడు,
हैलो?	హలో?
पर तुम विजञापन कर रहे हो, तो पारिवारिक धंधा हो गया है.	కానీ మీరు ఈ పరకటనలను చేయడంతో, ఇది ఆచరణాతమకంగా కుటుంబ వయాపారం అయింది.
धनयवाद. मिलकर अचछा लगा.	మీకు కృతజఞతలు. కలవడం బాగుంది.
"मैं, बारथोलोमयू कॉगसवरथ, सेवा में ततपर हूँ. "	"నేను, బారతోలోమయూ కాడసవరత, మీకు సేవ చేయడానికి సదా సిదధం. "
तुम चल नहीं पा रहे?	ఎందుకు కదలలేవు?
- हाँ, माँगे थे. - तो कया कहा?	- సరే, మరింత అడిగాను. - వాళలు ఏమననారు?
कंपनी में ऐसे बहुत लोग है.	కంపెనీ అతని లాంటివారితో నిండింది.
अब सेकस करना चाहती हो?	ఇపపుడు నా అంగం పేలడం కావాలా?
इनमें से एक कारण तो मैं कम किए देता हूँ.	నీ కోసం ఆ జాబితా నుండి ఒక కారణం నమమకంగా కొటటేసతాను.
हमारे लोग उसे लेकर आ रहे हैं.	మా ఉపరితల ఫోరేజరలు దానిని తెసతుననారు.
समय सबसे बडा हथियार है.	కాలమే అంతిమ ఆయుధం.
पता नहीं. मैं. . .	నాకు తెలియదు. నేను. . .
और इस हैंडल को ऊपर करें, तो सब गायब.	ఆ చినన పిడిని పెకి తిపపితే, అంతా వెళలిపోతుంది.
पाँच साल?	ఐదేళలా?
बढिया टेक था. खुश हो?	అది చాలా గొపప టేక. సంతోషమా?
नहीं, टैकस कटने से पहले 186.	కాదు, నాకు 186 దకకాయి, పననుకు ముందు.
ठीक है.	అలాగలాగే.
जहाँ से दूसरे वॉलट की निगरानी होगी.	పరతయేక వాలటలోకి వెళలాలని నిరధారించుకోవడానికి.
कुछ लोगों का सब कुछ लुट गया.	తెలుసా వీళలలో కొందరు అననీ కోలపోయారు.
बहुत बुरा हुआ.	ఇంకా అది ఓ విషాదం.
- माफ करना. - हाँ.	- ఏమండీ. - హా.
तुम आ सकती हो.	నువవు కూడా రావచచు.
वही तो.	కచచితంగా.
अगर वे कायर नहीं हों.	ఆయన ఓ పిరికోడు అయితే మినహా.
दोसतो, तुम लोग खुश हो?	అందరికీ, సంతోషమా?
बदररहुड का योदधा.	సోదరజాతిలో సెనికుడిని.
ऑफिस से हेनरी था.	ఆఫీసు నుంచి హెనరీ ఫోన.
मैं युदध में इसलिए नहीं गया था कि बाद में तहखाने में रहूँ	చెరమన బడ ఆసకినస కాలి కింద సెలలారలో బతకడానికి
मानो परमाणु युग का सवरग हो.	అణు యుగానికి చెందిన నిజమెన కేమెలాట.
गोलियों की जगह पुराने दाँत.	మందుగుండుగా పాత దంతాలను ఉపయోగించడం.
जहाँ लोग एक दूसरे का खयाल रखते हैं.	ఇకకడ ఒకరినొకరు చూసుకుంటారు.
किसने कहा?	ఎవరు చెపపారు?
मैं खुद वॉलट की हूँ.	నిజానికి నేను వాలట వాసినే.
दुनिया का अंत भी परोडकट ही है.	పరపంచ అంతం కూడా ఉతపతతి.
यह सिरफ एक आम अमरीकी परिवार नहीं है.	ఇక, ఇది ఏదో సాధారణ మామూలు అమెరికా కుటుంబం కాదు.
विजञापनों के कारण फिलम खो दी?	ఈ పరకటనల మూలంగా ఓ సినిమా పోవడం తెలుసా?
लेवल 12 पर कयों नहीं जा सकते?	లెవెల 12లో ఏముంది, మేమెందుకు వెళలరాదు?
तुमहें चढ गई है?	నీ బురరకు ఏం ఎకకింది?
जब तुम लडने गए थे, मैं घर पर थी.	నువవు యుదధానికి వెళితే, ఇంటిలో ఉననది నేను.
जिससे दोसत भी परतिसपरधी बन रहे हैं.	మితరదేశాలను కూడా సంభావయ పోటీదారులుగా మారచింది.
तुम अचछे बचचे हो. सो जाओ.	మంచి కుకకవి. పడుకో.
कितनी अचछी फिलम है.	ఆ సినిమాలో బాగా నటించాడు.
वह कमीनी खतरनाक है.	ఆ దొంగమొహం చాలా పరమాదకరం.
ऐसे लोगों के लिए, जो यह बात समझ जाते हैं,	మనలో దానిని ఎవరు విజయవంతంగా సవీకరించగలిగితే, వాళల భవిత
मतलब, वरकफलो सही करना,	చెపపాలంటే, వరకఫలో ఆపటిమెజేషన,
- कया. . . रैप पारटी? - हाँ.	- ఏంటి. . . ముగింపు పారటీనా? - అవును.
पर अगर अरबों लोग मरने वाले हैं,	కానీ కోటలాది మంది తమ పరాణాలను కోలపోతుంటే,
हम यहीं वॉलट चार में काम करेंगे और	మేము ఇకకడే వాలట 4లో నివసిసతుననాం, పని చేసతాం,
तुमहारे साथी ठीक हैं, पर कयों न हम दोनों	ఈ మీ సహోదయోగులకు వయతిరేకంగా ఏమీ లేదు, కానీ నువవూ నేను
जहाँ आप अपने 200 पडोसियों से मेलजोल बढाएँगे	మీ పరియమెన వారితో చకకని సాయంతరం గడిపి ఇంటికి వెళలే సమయంలో
और मेरी बाँह. सच में मुझे आराम की जरूरत है.	పెగా, నా భుజం. తెలుసుగా, నిజంగా దానికి మరింత సమయం ఇవవాలి.
हाँ, अब ठीक है.	అదిగో, మెరుగగా ఉంది.
कया आप बटलर शो के डायलॉग बोलेंगे?	ఏమీ అనుకోకపోతే, షో నుండి బటలర వాయిస చేయగలవా?
छोडो भी.	ఊరుకో.
बस कुछ ही मिनट.	కొనని నిమిషాలు అంతే.
पता है तुम हमेशा सही काम करती हो.	సరెన పని చేసేందుకే పరయతనిసతావని నాకు తెలుసు.
कैसे लोग हैं न?	ఈ మనుషులు. అంతే కదా?
