{\an8}इसाबेल	{\an8}ఇసాబెల
उनकी दया ने इसे और भी बदतर बना दिया. और नींद की गोलियाँ अब भी बेअसर थीं.	వాళళు నా మీద చూపించే జాలి ఇంకా బాధ కలిగించింది. అలాగే ఆ నిదర మాతరలు ఏం పనిచేయలేదు.
तारा गायब था. उसने मेरा भाषण बदल दिया था.	సటార లేదు. వాడు పరసంగానని మారచేశాడు.
शादी की सुबह, मैं बेहद खतरनाक सथिति में थी.	పెళలి రోజు ఉదయం, నాకు కతతిమీద సాములా అనిపించింది.
तो. . .	సరే. . .
नहीं, तुमने. . . तुमने कल रात को सकरैबल खेलते समय कहा था कि. . .	లేదు, నువవు. . . నువవు నినన రాతరి సటరామబుల ఆటలో ఆమె. . .
तुमने बाकी सब सच कहा.	కరెకటుగానే అంచనా వేశావు.
कसीनो हमेशा जीतता है.	హౌస ఖచచితంగా గెలుసతుంది.
हाँ. और दुलहन ने ही हतया की.	అవును. అది చేసింది పెళలి కూతురే.
पर मुझे पता था कि वह हार नहीं मानेगा.	కానీ వాడు విరమించుకోడు అని నాకు తెలుసు.
- हमारे पास. . . - माँ?	- అలాగే. . . - అమమా?
आप अपना दिमागी संतुलन पूरी तरह से खो चुकी हैं.	నీ పుచచకాయ మొహానికి పిచచి బాగా పుచచింది.
एडगर ने ही पूरी योजना रची थी, नींद की गोलियाँ,	ఇననాళళుగా ఇదంతా చేసింది ఎడగరే, ఆ మాతరలు,
आज सभी की आँखों में आँसू थे, जान.	ఇవాళ ఏడవని వారు అంటూ ఎవరూ లేరు, బుజజి.
यह बेतुका था, मुझे पता था. पर जैसा कि मैंने कहा, मैं एक सवाभिमानी महिला हूँ.	అది వెరరివాగుడు, నాకు తెలుసు. కానీ చెపపాను కదా, నాకు పరతిషట ఎకకువ.
आपको काफी बडा सदमा लगा है.	నువవు ఒక పెదద షాక కి గురయయావు.
वे इसे टरैमपोलिन कहते हैं.	దీనిని అందరూ టరాంపోలిన అంటారు.
और भगवान न करे, अगर उसने अपने सारे पैसे उस बेकार डिजिटल योजना में गँवा दिए,	అలాగే, జరగకూడనిది జరిగి, వాడు తన వెరరి సకాములో అంతా పోగొటటుకుంటే,
पर मैं उसकी योजना जान गई थी, मैं उसे अपनी नजरों से ओझल होने नहीं दे रही थी.	కానీ నేను వాడి మీద కననేసే ఉంచాను, నా దృషటి నుండి పకకకి వెళలకుండా.
मुझे पता नहीं. . . आपने मुझे यह पहले कभी नहीं बताया.	నువవు. . . నువవు ఆ విషయం ముందెపపుడూ చెపపలేదు.
और हालात बस बदतर होते जा रहे थे.	అలాగే పరిసథితి ఇంకా కషీణిసతూ వచచింది.
नहीं, बिलकुल नहीं. दरअसल, मैंने कभी इतना बेहतर महसूस नहीं किया था.	లేదు, అలాంటిది ఏం లేదు. ముందు కంటే ఇపపుడు చాలా బాగుననాను.
माँ, मैं किसी को डेट कर रहा हूँ	అమమా, నేను ఒకరిని డేటింగ చేసతుననాను,
उनहें इतना उदास तब से नहीं देखा जब उनहोंने इतालवियों को कंटरी कलब में घुसने की अनुमति दी थी.	వాళళు కలబ లోకి ఇటాలియనలను రానివవడం మొదలెటటిన నాట నుండి ఇంతగా ఆమె మళళీ బాధపడింది లేదు.
और फिर भी आप दिन भर गरेस पर आरोप लगाती रहीं? कयों?	నువవు రోజంతా గరేస మీదే నింద వేసావా? ఎందుకు?
- नहीं, बेशक आपको पसंद है. - हाँ, पसंद है.	- కాదు, నచచుతుంది. - నీకు చాలా ఇషటం.
मिसेज मिनोज,	శరీమతి మిననొస,
इनहें नजरअंदाज कर दो.	ఆమెను పటటించుకోకు.
डॉ. शुलकिंड.	డాకటర షులకెండ,
कौन है?	ఎవరది?
देखो इनहें, ये बिलकुल एक जैसी हैं. अपनी सफाई दो.	వాటిని చూడు. రెండూ ఒకేలా ఉననాయ. ఇలా ఎందుకు చేశావో చెపపు.
- कि वे बस चाहते थे कि मैं. . . - मेरी बात सुनो.	- అంచనా వేసి ఆయన. . . - ఇకకడ పరిసథితి ఏంటో నేను చెపతాను.
- कैसे बताती? - जैसे अभी-अभी बताया.	- అంటే, ఎలా చెపపగలను? - ఇపపుడు చెపపినటటే.
कया मैं पागल दिखती हूँ?	నాకు పిచచిలా కనిపిసతుననానా?
सब सुचारू रूप से चल रहा है.	అంతా సకరమంగా నడుసతోంది.
वह दरवाजा खुला कयों है?	ఆ తలుపు ఎందుకు తెరిచి ఉంది?
कया आपने कभी किसी थेरेपिसट से बात करने की सोची?	మీరు ఎపపుడెనా థెరపిసట తో మాటలాడి చూసారా?
कयोंकि मैं सच में यह बरदाशत नहीं कर पा रही हूँ.	ఎందుకంటే పరసతుతం నేను చాలా బాధలో ఉననాను.
रॉकसैना को देखिए. वह कितनी शरमिंदा हो रही है. वह उलटी करने वाली है.	రోకసానని చూడు, దీనికి చాలా బాధగా ఉంది. వాంతి వచచేలా ఉంది.
अरे, माँ. यहाँ कोई संगीत नहीं बज रहा है.	ఓహ, అమమా. ఇకకడ ఎలాంటి సంగీతం లేదు.
और मेरी पयारी, अजीब बेटी, हैना के सामने.	అలాగే హననా, నా బుజజి, వింత కూతురు.
चलिए भी. शायद एडगर थोडा जुनूनी था,	ఊరుకోండి, ఎడగర కొంచెం డబబు పిచచోడే అయినా
कया कोई गलती हुई?	ఏదెనా తపపు జరిగిందా?
- चलिए डॉ. शुलकिंड को बुलाएँ. - नहीं. नहीं, मैं ठीक हूँ.	- మనం డాకటర షులకెండ ని పిలుదదాం. - వదదు. లేదు, నేను బాగానే ఉననాను.
पर इसाबेल मिनोज होना इतना आसान नहीं है.	కానీ ఇసాబెల మిననొస గా ఉండడం అంత సులభం ఏం కాదు.
पकका तुमने सच में जहर देते हुए देखा था?	మీరు నిజంగానే విషం పెటటడం చూశారా?
नहीं. मैं अभी यहाँ से निकलना चाहती हूँ,	వదదు. ఇంకొంత మంది సెనెటరల భారయలతో
यह सब कया है?	ఇదంతా ఏంటి?
कैसा मजाक? हमें भी समझाइए.	ఏం జోక? మాకు వివరించు.
अब समय आ गया है कि दूलहे की माँ कुछ शबद कहे.	ఇపపుడు పెళళికొడుకు తలలిగారు కొనని మాటలు పంచుకుంటారు.
एक मिनट रुकिए. आपने कहा था कि आपके पति नींद में चल बसे थे.	ఒకక నిమిషం. నువవు మీ భరత నిదరలో చనిపోయాడు అననావు.
कया कोई और आपका बैग पकड सकता है?	మీ బయాగుని ఎవరికెనా ఇసతారా?
अगर मैंने तुमहें चोट पहुँचाई हो, तो माफी चाहती हूँ.	నేను మీలో కొందరిని బాధపెటటి ఉంటే, మియ కులప.
यह इतनी अलग हैं, पता नहीं मुझे यह अंतर पहले कयों नहीं दिखा.	అవి చాలా వేరుగా ఉననాయి. నేను ముందే ఎందుకు గరహించలేకపోయానో తెలీడం లేదు.
मैंने आपको बताया था, इसका नाम गरेस है.	నీకు చెపపాను కదా, ఆమె పేరు గరేస.
कया कोई अंदर है?	ఎవరెనా లోపల ఉననారా?
अगर मैंने तुमहें बताया होता कि मुझे संदेह था	నేను గనుక మీతో ఎడగర నా మందులు మారచేసి
माँ, आज मेरी शादी है.	అమమా, ఇవాళ నా పెళలి రోజు.
एडिरोंडैक परवत में उस पलेन दुरघटना में उनकी मृतयु हो गई,	ఆయన అడిరాండిక పరవతాల మధయ విమానం కూలి చనిపోయారు,
और मुझे पता है कि वह भी आपसे मिलने को बेहद बेताब है.	అలాగే ఆమెకు కూడా నినను కలవాలని చాలా ఉతసహంగా ఉందని నాకు తెలుసు.
जानता हूँ, बात बस यह है कि. . .	తెలుసు, అంటే అదేంటంటే. . .
यह उस भददे पॉप गाने का डरावना संसकरण है जो तुमहारे पिताजी को बेहद पसंद था.	మీ నాననకు చాలా ఇషటమెన చెడడ పాప పాటనే పదే పదే పాడుతుననటటు ఉంది.
- और शायद छिपकली को भी. - नहीं.	- అలాగే ఆ బలలిని కూడా తీసుకో. - వదదు.
तुमहें कोई अंदाजा नहीं कि मैं किन हालातों से गुजरी हूँ, मैंने कितना कुछ सहा है.	నేను అనుభవించిన విషయాలు నీకు అససలు తెలీవు, ఎంతగా బాధపడడానో తెలీదు.
हाँ, हैलो.	ఏంటి, చెపపు.
जरूरी बात यह है कि मैं एडगर के सामने अपना दिमागी संतुलन खो रही थी.	ముఖయమెన విషయం ఏంటంటే నేను ఎడగర కళళముందే మతితపపుతుననాను.
- वह अपने लिंग से कुछ पैंतरे दिखाता है. - ठीक है. हाँ.	- అతను అంగంతో టరికకులు చేసతాడు. - సరే. అలాగే.
तलवार. कैसी तलवार?	ఖడగమా? ఏం ఖడగం?
मैं आपको उनहें बचकानी चीजों पर उडाने नहीं दूँगा.	వృథా చేసతుంటే నేను ఊరికే నిలబడి చూడలేను.
देखा, मुझे पता था कि मैंने सही नैपकिन मँगवाए थे.	చూడండి, నేను ఆరడర చేసినది సరెన నాపకినలే.
मैंने अपना काम पूरा कर लिया और उनहें बुला लिया.	నేను నా పని పూరతి చేసి వాళళను పిలిచాను.
मैंने अपनी सुरकषा सुनिशचित करने के लिए अपने वकील को फोन करने की भी कोशिश की.	నేను చివరికి రకషణ కోసం నా లాయర కి ఫోన చేయడానికి పరయతనించా కూడా.
आपने कहा कि आपने हतया होते देखा था.	మీరు హతయ చేయడం చూసాను అననారు.
नहीं, अब तुम इसे वह नहीं बुला सकते.	కాదు, ఇకపె మనం అలా పిలవకూడదు.
और उस रात एडगर मारा गया.	ఎడగర తరవాత ఆ రాతరే చనిపోయాడు.
इससे पहले कि और किसी सेनेटर की पतनी से बात करनी पडे.	మాటలాడాలసి రాకముందు ఇకకడి నుండి వెళళిపోదాం.
नहीं. चिंता मत करो.	వదదు. చిరాకు తెపపించకు.
और मैं महसूस कर सकती थी कि वे मुझे आँक रहे थे.	వాళళు ననను తకకువ చేయడం నాకు తెలిసింది.
यह कमजोरी की निशानी है.	అది బలహీనతకు గురతు.
मैं कुछ नहीं कर रहा था.	నేను ఏం చేయడం లేదు.
इसाबेल, आपके पास पहले से डरिंक है. आपके हाथ में ही है.	ఇసాబెల, నీ దగగర ఒకటి ఉంది. అది నీ చేతులలోనే ఉంది.
हे भगवान, तुम कया कर रही हो?	ఓరి, దేవుడా. నువవు ఏం చేసతుననావు?
पाँच पीढियों से मिनोज दुलहनों ने यह हेयरपिन पहना है.	ఈ హెయిర పిన ని అయిదు తరాలుగా మిననొస ఆడపడుచులు వేసుకుంటూ వచచారు.
इसाबेल.	ఇసాబెల.
मुझे इसाबेल की पुषटि नहीं चाहिए कि एडगर एक बुरा इंसान था.	ఎడగర ఒక వెధవ అని నాకు ఇసాబెల చెపపాలసిన పనిలేదు.
मैं एक सवाभिमानी महिला हूँ और यह साल काफी कठिन गुजरा है.	నేను పరతిషటతతో బరతికే మహిళను, కానీ గత ఏడాది ఎంతో బాధలో మునిగిపోయాను.
मेरी दिमागी हालत बिगड रही थी	నా మానసిక సథితి దిగజారుతూ వచచింది,
- एलेगजेंडर के घोडे का नाम? - हाँ.	- అలెగజాండర గురరమా? - అవును.
पिताजी ने इतनी मेहनत से जो पैसे कमाए,	నువవు ఇలా నానన ఎంతో కషటపడి సంపాదించినా డబబును
चलो भी, पकका तुमहें याद होगा. उसका नाम कया था?	కానివవు, నీకది ఖచచితంగా గురతుండి ఉండాలి. దాని పేరు ఏంటి?
और हमेशा से एडगर के पास जीतने के दो तरीके होते थे.	అలాగే ఎడగర ఎపపుడెనా సరే, గెలవడానికి రెండు దారలు పెటటుకుంటాడు.
हाँ, मैं कितनी बार समझाऊँ कि मैंने अपने बेटे की हतया कैसे की?	అవును, నేను నా కొడుకుని చంపానని ఎననిసారలు చెపపాలి?
तुमहें. . .	నీకు. . .
और डॉ. शुलकिंड को साबित करना चाहता था कि मैं पागल हूँ.	డాకటర షులకెండ కి నేను మదమెకకిన మనిషిని అని నిరూపించాలి అనుకుననాడు.
खुद का कसीनो खोलो.	నువవే ఆ హౌస వి కావాలి.
आपने मुझे बताया था कि पिताजी के सामने आपका गुपत कोड "सीगरामस" था.	నాననకు నువవు నీ రకషణ పదం ఏంటంటే "శీగరమస" అని చెపపావు.
बेशक मैं सकषम हूँ. मैंने तुमसे कहा था कि मैं ठीक हूँ.	అంటే, తపపకుండా హయాండిల చేయగలను. నేను బాగానే ఉననాను అని చెపపా కదా.
पर वह जरूरी नहीं है. जरूरी बात यह है कि. . .	కానీ ముఖయమెన విషయం అది కాదు. ముఖయమెన విషయం ఏంటంటే. . .
इसका कोई मतलब नहीं बनता है.	ఆ మాటలలో ఏం అరథం లేదు.
अरे, अचछा? तो मुझे भी बताओ.	ఓహ, అవునా? ఏంటో చెపపు.
मेरी कहानी एक कलासिक कहानी है जो ससपेंस, संविभरम	నా కథ ససపెనస, గజిబిజి గందరగోళంతో నిండిన
यह भददा लगता है.	అది చెతత గోల.
उसका नाम है. . .	ఆమె పేరు. . .
- पर मैंने अपना उपनाम नहीं बदला. - कया?	- కానీ నేను నా చివరి పేరును మారచుకోలేదు. - ఏంటి?
- तुम. - मैं?	- నువవు. - నేనా?
- बाद में और भेजूँगा. - हाँ, बाद में और भेजूँगा.	- ఇంకా చాలా వసతాయి. - అవును, ఇంకా చాలా.
तो, मुझे पता है उसकी हतया किसने की. . .	అంటే, నాకు వాడిని చంపింది ఎవరో ఎలా తెలుసంటే. . .
- हाँ. - अभी.	- సరే. - వెంటనే.
केक बस गलत शिकार तक पहुँच गया.	ఆ కేకు అనుకోని లకషయానని చంపింది అంతే.
न जानने का ढोंग मत कीजिए. "अरे, मैं बस एक सनकी बुढिया हूँ.	తెలీనటటు నటించాను. "నేను పిచచెకకిన ముసలిదానిని.
- बोलो. - ए, मॉम.	- చెపపు. - హేయ, అమమా.
यह मेरा भाषण नहीं है.	ఇది నా సపీచ కాదు.
हेयरपिन. पारिवारिक विरासत.	హెయిర పిన. హెయిర లూమ.
मुझे बता सकते हो कि तब भी कौन तुमहारी परवाह करेगा? "	చివరి వరకు ఎవరు పటటించుకుంటారో చెపపగలరా? "
डाक सेवा इसाबेल मिनोज	పోసటల సరవీసు ఇసాబెల మిననొస
पर आपने उसकी हतया नहीं की.	నువవు వాడిని చంపలేదు.
ये आपको पूरी रात जगाए रखती हैं.	అవి నిదర రాకుండా చేసతాయి.
मैं तुमहारी योजनाएँ जानती हूँ, एडगर.	నీ పలానులు నాకు తెలుసు, ఎడగర.
मुझे भी एक वयावसायिक कॉल का जवाब देना है.	నేను కూడా ఈ వయాపార కాల మాటలాడాలి.
टरैविस. अगर अनुमति हो, तो एक सुझाव दूँगा.	టరావిస. నీకు ఒక సలహా ఇసతాను విను.
मैं टूट चुकी थी, पर वे सही कह रहे थे.	నాకు చాలా బాధ వేసింది, కానీ వాళళు అననది నిజమే.
वह पलेन उडाते समय सो गए थे जबकि उनके यातरी चीख रहे थे	ఆయన తన పయాసింజరలు విమానం కూలిపోతుండగా పరాణ భయంతో అరుసతునన సందరభంలో
- माँ, आप काँप रही हैं. - नहीं. मैं ठीक हूँ.	- అమమా, నువవు వణికిపోతుననావు. - లేదు. నాకు బాగానే ఉంది.
और मुझे जिन पसंद नहीं है.	నాకు జిన అంటే నచచదు.
और मेरा मतलब, मैं थोडा जिजञासु भी हूँ कि जादू कैसे कामुक होता है?	అంటే, ఒక విషయం చెపపు, శృంగార మయాజిక అంటే ఏం చేసతారు?
मुझे भी.	నేను కూడా.
इसाबेल, मैं नहा रही हूँ.	ఇసాబెల, నేను సనానం చేసతుననాను.
और अगर मुझे मेरी आजादी चाहिए थी, तो मुझे किसी भी तरह	అలాగే నాకు నా సవేచఛ కావాలి అనుకుంటే, నాకు ఏం కాలేదని నేను ఎలాగెనా
माफ करना, मुझे जवाब देना होगा.	కషమించాలి, ఈ ఫోన ఎతతాలి.
नींद की गोलियाँ. अचछा मजाक था.	నిదర మాతరలంట. భలే మనిషి.
केक.	కేకు.
कयोंकि वह मैं ही थी.	అది నేనే కాబటటి.
हैलो?	హలో?
पर केवल इसलिए कयोंकि वह अपनी ही माँ की हतया करने की कोशिश कर रहा था.	కానీ అందుకు కారణం వాడు తన సొంత తలలినే చంపాలి అనుకోవడం వలలే.
तो फिर, आपको ठंड लग रही है. लीजिए, मेरा कोट लीजिए.	ఏమో, అయినా కానీ నువవు వణికిపోతుననావు. ఇదుగో, నా కోటు తీసుకో.
इसलिए मैंने खुद से कहा. . .	అపపుడు నేను నాతో చెపపుకుననాను. . .
तुमहारे दिवंगत पति के घोडे का नाम.	చనిపోయిన నీ భరత గురరం పేరు.
एडगर ने ही मुझे वे गोलियाँ दी थीं.	నాకు ఆ మాతరలు ఇచచింది ఎడగర.
कयोंकि तुमहें पता है कि उसकी मौत की खबर फैल जाएगी.	వీలెనంత తవరగా ఆ కాయినస ని అమమేయడానికి నానా పరయతనాలు చేసతుననావు.
कृपया मेरे लिए एक डरिंक बनाओ.	దయచేసి నాకొక డరింక చెయ.
पिताजी मर चुके हैं.	నానన చనిపోయారు.
नहीं, इलाय. . . इलायची. हमारे पास करी है.	కాదు, దాలచి. . . దాలచిన చెకక. అలాగే మాసాల కూడా ఉంది.
मुझे लगता है कि एडगर शैल कंपनियों के जरिए	చూసతుంటే ఎడగర తన సొంత డబబునే ఇతర నకిలీ కంపెనీల దవారా
अपनी सकरिपट के अनुसार ही बोलिएगा.	నీ పరసంగానని మాతరమే చదువు.
जब वे एक दरदनाक मौत का शिकार होने के लिए आसमान से गिर रहे थे.	విమానం ఎగరేసతూ గాలిలోనే నిదరపోవడం వలల చనిపోయాడు.
वे मेरे लिए चिंतित थे.	వాళళు నా గురించి ఆలోచించారు.
रुकिए, सच में?	ఆగు, నిజమా?
मुझे एक बचचे की तरह पाला जाएगा. नियंतरण में रखा जाएगा. जो मौत से भी बदतर किसमत होगी.	ననను ఒక చిననబిడడలా చూసతారు. కంటరోల చేసతారు. చావుకననా దారుణమెన గతి.
हाँ, मुझे लगा था कि एडगर सारे पैसे लेकर भागने की कोशिश में था.	సరే, ఎడగర తాను తపపించుకోవడానికి పెదద సకామ చేసతుననాడు అని నేను ముందు అనుకుననాను.
अब तक कोई परेशानी नहीं हुई है. हम यह पूरा कर लेंगे.	ఎలాంటి సమసయా లేదు. మనం ఇది పూరతి చేసతాం.
अपनी मौत का नाटक करेगा, पैसे चुराकर भाग जाएगा.	చచచినటటు నటించి, డబబు దొంగిలించాలని.
- तुमने उससे शादी की थी. - अरे, हाँ.	- నువవు వాడిని పెళలి చేసుకుననావు. - ఓహ, అవును.
- हाँ. - और गरेस हतयारी नहीं है.	- అవును. - అలాగే ఆ హతయ చేసింది గరేస కాదు.
दुरभागयवश, आपकी दिमागी हालात ठीक नहीं है.	దురదృషటవశాతతు, నీకు మతి పోయింది.
बेशक तुमहें परवाह है, गरेस.	నువవు తపపకుండా లెకక చేసతావు, గరేస.
मुझे परवाह है.	నేను లెకక చేసతాను.
तो, लगता नहीं है कि तुमहें इसाबेल की	లోపల ఇసాబెల చెపపే కటటుకథల పె
हम किस बारे में बात कर रहे हैं?	మనం ఏం మాటలాడుకుంటుననాం?
पकका आप जाम पेश करते समय गरेस और मुझे शरमिंदा नहीं करेंगी?	నువవు ఇవాళ ఖచచితంగా టోసట పరసంగం ఇచచేటపపుడు గరేస ని, ననను సిగగుపడనివవవు కదా?
या शायद किसी पादरी से?	లేదా ఒక పూజారితో?
इसाबेल, यह गेल कौन है?	ఇసాబెల, గెల ఎవరు?
सेबासटियन बोल रहा हूँ.	నేను సెబాసటిన ని.
पैसे पाने के लिए उसे मुझे रासते से हटाना था.	అది దకకించుకోవడానికి నేను వాడికి అడడు రాకూడదు అనుకుననాడు.
उनहोंने कहा कोई ना नहीं.	ఆయన నోస కి ఒపపుకోకూడదు అననారు.
पर उनसे कोई मदद नहीं मिली.	కానీ అవి పనిచేయలేదు.
डॉलर सरकारी परचार का जरिया है.	ఒక డాలర గవరనమెంటు వాడుకొనే పరచార సాధనం.
इस पर बहस नहीं हो सकती है.	ఇపపుడు ఇక వాదన వదదు.
अंत में, केवल वे ही साथ देंगे.	ఎంతెనా చివరికి వారు మాతరమే మనతో ఉంటారు.
मुझे जाना होगा, मॉम. अलविदा. मेरा पयार.	ఇక వెళళాలి, అమమా. బె. ముదదులు.
बस कुछ बुरे भरम के अलावा, जयादा दुषपरभाव नहीं हैं.	ఇవాళ రెండు సారలు వణుకు రావడానికి మించి వేరే సెడ ఎఫెకట లు ఏం లేవు.
हैलो, जान.	హలో, అందగతతె.
बयूसेफैलास के उचचारण के अलावा,	మిగతాది అంతా నువవు చాలా
तुमहें अकेले में यह बताऊँ कि मुझे तुमहारी परवाह है?	మనం ఒంటరిగా ఉననపపుడు నీ ముందుకు వచచి నువవంటే నాకు పరేమ అని చెపపాలా?
आपके बेटे के इरादे नेक नहीं हैं.	మీ అబబాయి చాలా పెదద తపపులు చేసతుననాడు.
यह मेरी नई बहू के साथ आपसी मजाक था.	ఇది నాకు అలాగే నా కోడలికి మధయ ఉనన ఒక జోక అంటే.
बाहर एक पूरा कवच है	బయట ఒక ఫుల సూట ఆరమర ఉంది,
तो, रुकिए, आपको यह पता था	అంటే, ఆగు, నీకు ఈ విషయం తెలిసినా,
ऐसा है मानो वह किसी और ही गरह पर हैं.	ఆమె వేరే లోకంలో ఉననటటు ఉంది.
कृपया यह संगीत बंद करोगे? मुझे कुछ सुनाई नहीं दे रहा है.	నువవు కొంచెం ఆ సంగీతానని తగగిసతావా? నేను కనీసం సరిగగా ఆలోచించలేకపోతుననాను.
भले ही सबसे पहले आपने ही उस पर आरोप लगाया था.	అసలు ఆమెపె మొదట నింద వేసిందే మీరు.
तुम कया कह रहे हो?	నువవు ఏం మాటలాడుతుననావు?
वे नींद की गोलियाँ नहीं हैं.	అవి నిదర మాతరలు కాదు.
ऐडरॉल?	ఆడడరరాల?
हे भगवान.	ఓరి, దేవుడా.
निकलो.	వెళళిపో.
तो तुम सोचती कि सनकी बुढिया	మీరందరూ నిజంగానే ఈ పిచచి ముసలిదానికి
मेरा इकलौता बेटा शुरू से ही करूर था.	నా సొంత కొడుకే మొదటి నుండి కరూరంగా నడుచుకుననాడు.
मैंने आपकी मदद करने की कोशिश की, पर मुझे खेद है	నేను నీకు సహాయం చేయడానికి పరయతనించాను, కానీ నీ పుచచకాయ మొహానికి
और अचानक उसे मेरे भाषण में दिलचसपी कयों हुई?	అలాగే ఒకకసారిగా నా పరసంగం మీద వాడికి ఎందుకు ఆసకతి పుటటింది?
एडगर ने मुझे बताया कि आपकी तबियत खराब है.	మీరు ఈ మధయ కొంచెం అనారోగయం పాలయయారని ఎడగర నాతో చెపపాడు.
मैं बस रॉकसैना के लिए एक ननहा सा ताबूत बना रही हूँ.	నేను రోకసానకి చినన శవపేటిక చేసతుననాను.
- नहीं. -. . . उस पलेन दुरघटना में मारे जाएँगे.	- లేదు. -. . . చనిపోతారు అనుకోలేదు.
- रॉकसैना ने वह केक खाया ही नहीं था. - सही कहा.	- రోకసాన కేకు తినలేదు. - అది నిజమే.
बेशक फरक पडता है. उन लोगों को फरक पडता है जिनहोंने तुम पर विशवास किया था.	అదంతా ఖచచితంగా అవసరమే. మిమమలని నమమిన వారికి అది అవసరం.
सोने में परेशानी हो रही है. चीजें भूल रही हैं.	నిదరపోవడం లేదు. మరచిపోతుననారు అని.
कया कोई गलती हुई?	ఏదెనా పొరపాటు జరిగిందా?
कया वह समुराई तलवार है?	అది సమురాయ ఖడగమా?
मैं बता सकता हूँ कि आपको याद ही नहीं आपने वे चीजें कब मँगवाई थीं.	వీటిని ఆరడర చేయడం నీకు గురతులేదు. నేను చెపపగలను.
पर जाहिर तौर पर, वह आधी रात को फोन नहीं उठाता है.	కానీ అతను అరథరాతరుళలు ఫోన ఎతతడు అంట.
एडगर अपने जीवन में आगे बढ रहा था.	ఎడగర మాతరం జీవితానని యధావిధిగా బరతుకుతుననాడు.
आप ठीक हैं?	నీకు బానే ఉందా?
खरीददार. परापतकरता.	కొననవారు. పంపించబడిన వారు.
हम परिवार के रूप में मिलकर शोक मना सकते हैं.	మనం ఈ దుఃఖ సమయంలో కలిసి ఉండొచచు.
बयूसेफैलास.	బుసెఫలస.
शादी के ठीक बाद?	పెళలి అయిన వెంటనే కదా?
तो मैंने कुछ डरिंक पी और उसे हर जगह ढूँढा.	కాబటటి నేను ఇంకొనని డరింకులు తాగి వాడి కోసం అంతా వెతికాను.
मैं बता सकता हूँ कि आपको याद ही नहीं आपने वे चीजें कब मँगवाई थीं.	ఇవేమీ ఆరడర చేయడం నీకు గురతులేదు. నేను చెపపగలను.
कैसे हैं आपके. . .	ఇంతకీ మీ. . .
सचचाई की घडी.	విషయం తెలిసే సమయం.
उनहें ले जाओ.	ఆమెను తీసుకుపోండి.
संरकषक इसाबेल मिनोज - पागल	సంరకషకుడు ఇసాబెల మిననొస - మతిపోయింది
आखिरकार आपसे मिलकर बेहद खुशी हुई.	మిమమలని చివరికి కలవడం నాకు చాలా సంతోషంగా ఉంది.
तो मैं उसे कल लंच के लिए आमंतरित करना चाहूँगा.	భోజనానికి పిలుదదాం అనుకుంటుననాను.
बेशक, एडगर ने अपने सबसे अचछे दोसत	చెపపాలసిన పనే లేదు, ఎడగర తన బిజినెస భాగసవామిని
{\an8}यह लडकी मेरे लिए बेहद मायने रखती है.	{\an8}ఈ అమమాయి, తనే నా పరపంచం.
{\an8}करेजी एएफ	{\an8}పిచచి ముదిరింది
टरैमपोलिन?	ఒక టరాంపోలినా?
देखो, यह उन नींद की गोलियों में से एक है जो तुम मुझे दे रहे थे.	చూడు, ఇది నువవు నాకు ఇసతునన నిదరమాతరలలో ఒకటి.
मैं उलटी और पिसता सूँघ सकता हूँ?	నాకు ఆ వాంతి అలాగే పిసతాల వాసనేమో తెలుసతుంది.
रुकिए. एक सेकंड रुकिए.	ఆగండి. ఒకక కషణం వెనకకి వెళళండి.
और अगर आप उससे मिलने में सकषम हैं,	నువవు హయాండిల చేయగలను అనుకుంటే రేపు ఆమెను ఇంటికి
पर वह इतना बुरा नहीं था.	ఒక రాకషసుడు కాదు.
या फोन करना होगा.	లేదా చేయాలి.
वे विपरीत काम करती हैं. यह ऐडरॉल है.	చెపపాలంటే అవి అందుకు పూరతిగా వయతిరేకం. అది ఆడడరరాల.
उसे मत छूना.	దానిని ముటటుకోకు.
हावी आया है?	అది నువవేనా హౌవి?
मुझे पयार करो. अभी.	ననను తీసుకో. వెంటనే తీసుకో.
मैडम? दूलहे की माँ.	మేడం? పెళళికొడుకు తలలిగారు.
और बिजनेस पारटनर को मुझे रिझाने के लिए भेजा था.	ననను లొంగదీసుకోవడానికి పంపించాడు.
तो. . .	అయితే. . .
कया? कया तुम पागल हो?	ఏం మాటలాడుతుననావు? నీకు పిచచా?
उसने मेरी बीमारी को बस मेरे पैसे हथियाने के मौके के रूप में इसतेमाल किया.	వాడు ఆ అవకాశానని వాడుకొని నా డబబు కాజేయాలని చూశాడు.
वह संगीत, कवच, टरैमपोलिन.	ఆ సంగీతం, ఆ లోహపు కవచం, ఆ టరాంపోలిన.
मैं ठीक हूँ. मैं अपना भाषण परिंट करवा चुकी हूँ.	నేను బానే ఉననా. బానే ఉననాను. నేను నా పరసంగానని పరింట తీసుకుననా కూడా.
मैं तुमहारी जासूसी कर रहा था.	నేను రహసయంగా నీ సంభాషణలు వినడానికి వచచాను.
वह एडगर था. सब उसी की चाल थी.	ఇదంతా చేసింది ఎడగర. దీని వెనుక ఉననది వాడే.
हम एक ही नींद की गोली लेते हैं.	మనం ఇదదరం ఒక విధమెన నిదరమాతరలు వేసుకుంటుననాం.
वहाँ इतने फूल कयों थे?	ఇకకడ ఇనని పువవులు ఎందుకు ఉననాయి?
