पैनिक	పానిక
-हे भगवान! डॉज! -उसमें डॉज था.	-అయయో, దేవుడా! డాడజ! -డాడజ వచచాడు.
और तकलीफ होती है.	అది బాధిసతుంది.
अजञात भेजने वाला (बिना परसंग)	పంపినవారు అపరిచితులు (విషయం లేదు)
हमें पयार करने की जरूरत नहीं, रे.	మనం పరేమించుకోనవసరం లేదు, రే.
और जिस लडकी के पर हों, उसके लिए बाधा हूँ.	అది రెకకలు ఉనన అమమాయికి మంచిది కాదు.
आज रात खुफिया खेल जादुई. . .	ఈరాతరికి రహసయ ఆట ఆనందించండి. . .
शायद. हॉल भाइयों से 400 मीटर दूर पडोसी ने बताया कि रे की कशती से	హాలస వాళళ పకకింటివాళళు రే పడవలాంటిది ఒక పావు మెలు దూరంలో
अचछी खबर यह है कि तुम पैनिक के विजेता हुए.	శుభవారత ఏంటంటే, అధికారికంగా నువవు పానిక విజేతవు.
बाकी सब हार जाते हैं.	మిగిలిన అందరూ పరాజితులు.
दिमाग भी काम करना बंद कर देता तो, फरक नहीं पडता न, साले?	బరెయిన డెడ అయినా కూడా నీకు ఏమీ కాదు, అవునా, వెధవ?
अपना ईमेल देखना. तुमहारे लिए सरपराइज है.	నీ ఈమెయిల చూసుకో. నీకో ఆశచరయం ఉంది.
नैटली हेदर निल	నాటలీ గమనిక హేథర
मुझे अचछा लगा कि तुम आई.	నువవు వచచావు, సంతోషం.
या उसे बदलना चाहते हैं, तब आपको जोखिम लेना होगा.	లేదా మారచాలనుకునన వాటికె, పరమాదానని ఎదురించాలసి రావచచు.
-ताकि अंतिम चार में शामिल हो सकूँ. -इसलिए नहीं कह सकती.	-ననను చివరి నాలుగులో చేరచావు. -అందుకే చెపపకూడదు.
समय निकला जा रहा है, जजों को सच जानना है.	సమయం మించిపోతుంది, నయాయనిరణేతలకు నిజం తెలియాలి?
उसकी हिममत देखकर दंग रह गई.	ఆమె ధెరయానని చూసి ఆశచరయపోయింది.
संवाद अनुवादक परवीन कौर शोम	ఉపశీరషికలు అనువదించినది కరత సమత
तुमहारे पापा से कहेंगे.	మీ నాననతో మాటలాడదాం.
तुम अब बडी हो गई हो.	నువవు దాదాపుగా ఎదిగావు.
और लडकी की परछाई, डरकर,	ఆ అమమాయి నీడ, భయపడి,
अपने बचचे के लिए किस हद तक जाओगी?	నీ బిడడకోసం నువవు ఎంత వరకు తెగించగలవు?
-मेरा भाई असपताल में है. -मेरी बहन कभी चल नहीं पाएगी.	-మా అననయయ ఆసుపతరిలో ఉననాడు. -మా చెలలి నడవలేదు.
मैं एक बोझ हूँ.	ననను మోయలేరు.
तो, डॉज मेसन,	సరే, డాడజ మేసన,
रुको, रे, अगर तुम यहाँ हो तो भाला मुकाबले में तुमहारी गाडी कैसे है?	ఆగు, రే, నువవు ఇకకడ ఉంటే, మరి జౌసటలో నీ టరకలో ఎవరు ఉననారు?
हाँ, अगर मेरे पापा दोबारा परांत से बाहर जाने दें तो.	అవును, మా నానన మళళీ ననను ఊరు వదిలి వెళళనిసతే.
मैं नहीं चाहती कि पापा शेरिफ के खिलाफ बोलें.	నానన షెరీఫకు వయతిరేకంగా చెపపాలి. వదదు.
भाला मुकाबले का संकेत.	జౌసట సూచిక వచచింది.
हंट और लीला 20 मिनट में मुझे लेने आ रहे हैं.	హంట మరియు లీలా 20 నిమిషాలలో వసతుననారు.
हे भगवान. अगर कोरटेज ने रे और डॉज को रासते से हटाने की सोची हो तो?	దేవుడా. రే, డాడజలను కోరటెజ అడడు తొలగించుకోవాలని అనుకుంటే?
तुम उससे पयार करते हो?	తనని పరేమిసతుననావా?
हाँ, मैं समझती हूँ.	అవును, నాకు అరథమయింది.
कोई ऐबी को खेल से निकालने के लिए बलैकमेल कर रहा था.	ఎవరో ఆబీని ఆట నుండి తపపుకోవాలని బెదిరించారు.
और मैं तब भी यहीं रहूँगी.	అయినా ఇంకా నేను ఇకకడే ఉంటాను.
तुमहें गरमी भर इंतजार रहा होगा.	దీనికేగా వేసవి అంతా వేచి చేసతుననావు.
धत तेरी, रे! मैं तुमहें मार डालूँगा!	అబబా, రే! నేను నినను చంపేసతాను!
दो दिन पहले, आँख भी नहीं झपक रहा था.	రెండు రోజుల కరితం కళళు కదపలేదు.
रोना मत. तुम रोई तो मैं रोऊँगा.	ఏడవకండి. మీరు ఏడిసతే, నేనూ ఏడుసతాను.
शरत की परचियाँ हैं. और उसने डॉज से झूठ कहा.	పందెం చీటీలు. అతను డాడజతో అబదధమాడాడు.
नकशे के अनुसार खेल के निषिदध फाटक तक पहुँचो	ఆటకోసం నిషేధిత గేటు మయాపును ఫాలో అవవు
कयोंकि अगर तुम भागी, तो वह हमेशा तुमहारे बराबर खडा होगा.	ఎందుకంటే నువవు పరిగెడితే, నీతో అది పరిగెడుతుంది.
उनहें महफूज जगह चाहिए और मैं देखना चाहता हूँ कि वह उसे मिले.	వాళళుకు పెరిగేందుకు సురకషితమెన చోటు కావాలి, నేను తనకది ఉండేలా చూసతాను.
फिर से बताओगे कि यह कैसे होगा?	ఇది ఎలా పని చేసతుందో మళళీ చెబుతావా?
डिगिनस, यह तो शेर है.	డిగగినస, అది పులి.
-तुम यही चाहते थे न? -नहीं. उसका सामना करना चाहता था!	-నువవూ కోరుకుంది అదేగా? -లేదు. అతనికి ఎదురుగా వెళళాలనుకుననాను!
मुझे लगता है जीत की रकम लेकर जब वह निकल जाएगा, उसके बाद	నేను అనుకోవడం, అతను ఈ పందెం డబబులతో వెళళిపోయాక,
लगा कि तुम मेरे बारे में राय बना चुकी थी.	నీకు నాపె ఒక అభిపరాయం ఉందనుకుననాను.
तो, लूक मेरे लिए फिर से पिटा.	లూక నాకోసం మరోసారి తననులు తిననాడు.
सिरफ तुम परिवार का बदला नहीं लोगे.	అంతా నువవొకకడివే తీరచుకోలేవు.
-खेल शुरू होता है! -कमीना कहीं का.	-ఆట పరారంభమయింది! -చినన వెధవ!
पैसों को छोडो. यह खतम तो हुआ.	డబబు మరచిపో. అది ముగిసింది సంతోషం.
कोरटेज हमारे साथ खेलता रहा.	కోరటెజ మనతో ఆడుకుననాడు.
अभी से, जब तक हम नहीं कहते, कोई पहाडी से नहीं जाएगा, ठीक है?	మేము చెపపేదాకా, ఎవరూ కొండని విడిచి వెళళవదదు, సరేనా?
शायद वह किसी को नहीं ढूँढ रहा था.	నాకు ఇది రహసయ ఆపరేషనలా లేదు.
-कोरटेज ने तुमसे कहा? -नहीं!	-కోరటెజ నిననిలా చేయమననాడా? -లేదు!
पिछले साल, उसने जिमी के नाम से करजा भी लिया.	అంటే, గత ఏడాది, జిమమీ పేరిట కూడా అపపులు తీసుకుననాడు.
मतलब, मैं. . . अभी भी एलए जाऊँगी.	అంటే, నేను. . . నేను అయినా ఎలఏ వెళతాను.
किस बात का?	దేని గురించి?
बोला कि किसी की तलाश में लगा था.	తనది ఒక రహసయ ఆపరేషన అననాడు.
कोई बात नहीं. मुझे भूख नहीं लगी.	పరవాలేదు. నాకు ఆకలిగా లేదు.
-एक! -रुको! नहीं! खेल रोको!	-ఒకటి! -ఆగండి! వదదు! ఆటను ఆపండి!
-तुमने अब भी जवाब नहीं दिया. -हाँ, दिया है.	-అయినా పరశనకు జవాబు ఇవవాలసిందే. -అవును, పరేమించాను.
सच यह है कि. . .	వాసతవం ఏమిటంటే. . .
-अचछी बात है. -हाँ.	-మంచిది. -అవును.
और पता चला कि कोरटेज पर काफी करजा है.	కోరటెజ చాలా అపపులో కూరుకుపోయినటటు తెలిసింది.
हालात बदल चुके होंगे.	అవును, మనం వేరుగా ఉంటాము.
ऐसा करने नहीं दे सकता था.	నినను అది చేయనీయలేదు.
कुछ देर थोडा घूमूँ-फिरूँ.	కొంత కాలం తిరుగుతాను.
कसम से, अगर कभी पता चला कि पैसा संभालने वाले का और रकम का. . .	నిజంగా, ఒకవేళ బయాగమాన, గెలుపు బహుమతితో కనిపిసతే. . .
पर कुछ बातें आपको नहीं बताएँगे.	కానీ కొనని విషయాలు చెపపరు.
अचछा.	అవును.
हाँ, यही हो सकता है.	అవును, అందులో అరథం ఉంది.
तो जिस चीज की आपको सच में परवाह होती है,	అపపుడు నువవు నిజంగా చాలా పటటించుకునే విషయాలకోసం,
लिली!	లిలలీ!
रुको!	ఆగండి!
इसलिए वह कूदी, इस उममीद में कि पर निकल आएँगे.	అందుకని తను ఎగిరింది, తనకు రెకకలు పెరుగుతాయని అనుకుని.
वहाँ.	అదిగో.
बुरी खबर यह है कि तकरीबन 12: 20 पर	చెడు వారత ఏంటంటే, దాదాపు 12: 20 పరాంతంలో,
एक वही था जिसे मेरी परवाह थी.	నా గురించి పటటించుకునేది తను ఒకకడే.
पर लगता है कि रे हॉल नहीं आने वाला.	కానీ రే హాల మాతరం రావడం లేదు.
कि इतनी बडी बेवकूफी करे?	ఇంత దారుణమెన తెలివితకకువ పనా?
दो खिलाडियों का सीधे फैंटम हिल पर मुकाबला.	ఇదదరు ఆటగాళళు ఫాంటమ హిల వదద ముఖాముఖి నేరుగా వసతారు.
और झूठ बोलने के बारे में मत सोचना.	నాకు అబదధం చెపపాలని అనుకోకు.
रे की गाडी में हेदर कया कर रही है?	రే టరకకులో హేథర ఏం చేసతుంది?
कया मतलब अचानक से पैसे आ गए?	డబబు ఇపపుడే కనిపించింది అంటే ఏంటి?
उसने खुद को मारा, जेमस.	తనను తాను చంపుకుననాడు, జేమస.
जिससे भाग नहीं सकती, कूद नहीं सकती, बचकर निकल नहीं सकती,	నువవు ఎంత తీవరంగా పరయతనించినా తపపించుకోలేనిది,
अपना बैग देखो. तुम हकदार हो.	నీ బయాగ చూసుకోవాలసిందే.
नैटली - तुम! तुम आ रही हो? रे पहुँच गया	నాటలీ - ఏయ! వసతుననావా? రే వచచాడు
यही कि किस अचछा करती है या नहीं?	తను ముదదు బాగా పెడుతుందని తెలుసుకోవాలా?
मेरी कलारक ने ठीक कहा.	మేరీ కలారక కరెకటే.
किसी से कहा तो पछताओगे	చెబితే అనుభవిసతావు
घबराओ मत.	కంగారుపడకు.
यहाँ आओ. मेरी ओर देखो.	ఇలా రా. ననను చూడు.
खेल रोको!	ఆటను ఆపండి!
खुद से शुरुआत करना अचछा है.	మిమమలని మీరు కనుగొనటం మంచి ఆరంభం.
किसी ने मुझे भेजा.	ఎవరో నాకు అది పెటటారు.
नहीं सूझ रहा जो वो चिटठियाँ लिख सकता है कयोंकि कुछ बहुत ही वयकतिगत थीं.	వరాయలేరని అనిపిసతుంది. ఎందుకంటే వాటిలో కొనని వయకతిగతమెనవి.
पर मुझे डर है कि उसने कुछ बुरा सोचकर रखा है.	కానీ తను ఏదో దారుణమెనది ఆలోచించాడేమోనని కంగారుగా ఉంది.
मुझे जाना है.	నేను ఇక వెళళాలి.
अब समझ में आया कि वह जुए वाले मामले में कयों फँसा था.	అతను పందేలలో ఎందుకు ఉననాడో అది వివరిసతుంది.
-यही चाहते हो? -मुझे अपनी गाडी की चाबी दो.	-అదేనా నీ ఆలోచనా? -నీ తాళాలు ఇవవు.
और हम उनहें रोकने के लिए कुछ नहीं कर सकते,	మనం వాళళను ఆపేందుకు ఏం చేయలేకపోతే,
पता है. माफ करना.	నాకు తెలుసు. కషమించు.
हाँ. ताकि जीत जिमी की हो.	అవును. జిమమీ ఖచచితంగా గెలవాలని.
पर वैसे नहीं जैसे हम सोचते हैं.	కానీ మనం అనుకుననటటు కాదు.
इसलिए पैनिक ऐसा खेल है जिसमें डर है.	అందుకే పానిక అంటే భయపెటటే ఆట.
तब मैंने अपनी गाडी में से बम निकाला और तुमहारी गाडी के बंपर के नीचे लगा दिया.	నా కారు నుండి ఆ బాంబును తీసి, దానని నీ కారు బంపర కింద పెటటాను.
कोरटेज की शरतें कयों नहीं बताईं?	నాతో కోరటెజ పందేల విషయం ఎందుకు చెపపలేదు?
उसने हमारे साथ चालाकी की.	అతను తెలివిగా ఆడాడు.
कैसे?	ఎలా?
डॉज!	డాడజ!
हाँ.	యాహూ!
टरॉय, रे का कया?	టరాయ, రే సంగతి ఏంటి?
पैनिक का विजेता. . .	పానిక విజేత. . .
तुमने जब कहा कि भाला मुकाबले में कोरटेज तुमहारी गाडी चलाएगा,	జౌసటలో కోరటెజ నీ కారును నడుపుతాడని నువవు చెపపాక,
कया?	ఏంటి?
हाँ. तो. . .	సరే. అయితే. . .
हैलो.	హాయ.
मुझे अजीब लगा कि उसने छोड दिया, पर फिर मैंने रससी देखी.	అది వదిలి వెళళడం విచితరంగా అనిపించింది, అపపుడు నాకు తాడు కనిపించింది.
बुरा मत मानना, पर बहुत से लोगों ने झूठ कहा.	సరే, అది మనసులో పెటటుకోకు, ఏదో చాలా జరుగుతుననటటు ఉంది.
न अंक, न फायदा, और न समझौते की गुंजाइश,	పాయింటలు లేవు, పరతయేక హకకులు లేవు, అవకాశాలు లేవు,
हमारे पापा की मनपसंद साँड वाली रससी थी.	అది మా నాననకు ఇషటమెన ఎదదు తాడు.
वहाँ बम है. हमें उनहें रोकना होगा!	బాంబు ఉంది. మనం తనను ఆపాలి!
"तुमहें जीत की रकम दी है. "	"నీకు బహుమతి మొతతం అందించబడింది. "
पर मुझे एक और मिला और यह शेरिफ ने भेजा है.	కానీ నాకు ఇంకొకటి దొరికింది, ఇది షెరీఫ నుండి వచచింది.
-दो. . . -रुको.	-రెండు. . . -ఆగండి.
मैंने वह दुकान में छोड दी.	నేను దానని దుకాణంలో వదిలి వచచాను.
यह सच नहीं.	అది నిజం కాదు.
तुम ठीक हो?	బాగానే ఉననావా?
पुल पर मुझे वह सब कहना पडा, हेदर.	నేను వంతెన మీద అవి చెపపాలసి వచచింది, హేథర.
कयों वह मेरे लिए नहीं रुकीं?	నేను తనతో ఎందుకు లేను?
हे भगवान, यह तो शेर है.	అయయో, అది ఒక పులి.
-रहसयमय, पर ठीक है. -यकीन मानो, अचछा लगेगा.	-చాలా రహసయమెనది, కానీ పరవాలేదు. -నమము, నీకది నచచుతుంది.
डॉज ने मुझे उनके बारे में बताया.	డాడజ ఆయన గురించి చెపపాడు.
भाला मुकाबले में कोरटेज मेरी गाडी चलाएगा.	జౌసటలో కోరటెజ నా కారు నడుపుతాడు.
तुम कभी अपनी बहन की जान को लेकर नहीं खेलोगी, है न?	నువవు నీ చెలలి జీవితానని పందెం వేయవుగా?
उसकी तरफ बढना.	దాని దగగరగా వెళళు.
उससे भी जयादा.	అంతకు ముందు నుంచే.
रदद कर दो. वह नहीं आने वाला.	అది రదదు చేయండి. ఖచచితంగా అతను రాడు.
हे भगवान!	దేవుడా!
कोरटेज ने वो चिटठियाँ लिखी थीं?	ఈ చీటీలు కోరటెజ వరాశాడా?
जरूर फिर से खेल को लेकर चालाकी कर रहा होगा ताकि करजा उतार सके.	తన అపపులు తీరచేందుకు మళళీ ఆటను తారుమారు చేసతాడు.
कोई भी पैनिक खेल सकता है, पर एक ही इंसान जीत सकता है.	ఎవరెనా పానిక ఆడవచచు, కానీ ఒకరే గెలుసతారు.
खुदकुशी करने के बाद.	ఆయనను మొదటి చూసింది డాడజే.
कया? कयों?	ఏంటి? ఎందుకు?
-मुझे लगा कुछ बुरा हुआ. -रुको.	-ఏదో దారుణమెనది జరిగిందనుకుననాను. -ఆగు.
बडा जिददी है.	మొండివాడు.
रे छोड देगा. कया फायदा?	రే తపపుకోబోతుననాడు. ఇంకెందుకు?
तुमहारी मालकिन शेर को लेकर बहुत परेशान है, हाँ?	మీ బాసకు ఆ పులి విషయంగా కోపంగా ఉందా?
और, मुझे पकका नहीं पता था.	అదీకాకుండా, పూరతిగా ఖచచితంగా లేను.
मुझे लगा कि तुम समझदार हो.	నువవు అంత తెలివితకకువ దానివనుకోను.
कारप में सवागत है	కారపకు సవాగతం
पैनिक खेलने की सबकी अपनी वजह है.	పరతి ఒకకరికీ పానిక ఆడేందుకు ఒక కారణం ఉంది.
जब नियम खुद लिखो तो यही होता है.	మనం నియమాలను వరాయాలసి వసతే అదే జరుగుతుంది.
और मुझे डर है कि मैं कभी निकल नहीं पाऊँगी?	నాకు ఎపపటికీ వెళళలేననన భయం ఉంటే?
तुमहारी गाडी कहाँ है?	నీ కారు ఏమయింది?
उनहें हिफाजत की जरूरत है.	వాళళను సంరకషించాలి.
आगे का सोचने से पहले, दुनिया को देखूँ.	తరువాతేంటో తెలుసుకునే ముందు బయటేముందో తెలుసుకుంటా.
मैं रे हूँ. अपना संदेश छोड दीजिए.	నేను రేను. సందేశం ఇవవండి.
उसने शरत लगाई है कि जीत तुमहारी होगी?	లూక విషయం అబదధం చెపపాడంటావా?
कोई इसे खतम करना भी नहीं जानता.	దానని ఎలా ఆపాలో కూడా ఎవరికీ తెలియడం లేదు.
शेरिफ कोरटेज सुबह आकर यहाँ का चककर लगाएँगे	షెరీఫ కోరటెజ ఉదయాననే ఇకకడికి వసతాడు, ఆ చోటంతా చూడటానికి,
धत. मुझे कपडे बदलने हैं.	ఛ. నేను తయారవవాలి.
आपका, कोरटेज	మీ కోరటెజ
अभी तक नहीं आया.	ఇంకా రాలేదు.
वह आ गया.	అతను వచచాడు.
-रे हॉल आ गया! -नहीं!	-రే హాల వచచాడు! -అససలు కాదు!
भय का उलटा साहस नहीं,	ధెరయానికి వయతిరేకం భయం కాదు,
मेरा कमीना भाई, यार!	నా పిచచి అననయయ!
एक डरावना खेल खेलते हैं?	పరతి వేసవిలో భయంకరమెన ఆట ఆడతారా?
वादा करो कि किसी से नहीं कहेगी कि मैं जज थी.	నేను నయాయనిరణేతనని ఎవరికీ చెపపకు.
तो, तुम कया करोगे?	అయితే, నువవు ఏం చేసతావు?
तुमहारा.	నువవు.
लोग खेल के बारे में कई तरह की कहानियाँ कहते हैं,	జనం ఆట గురించి ఎననో కథనాలు చెబుతారు,
छोडो भी. कुछ तो ढंग का काम करो.	సరేలే. ఇంకేదయినా చెపపు.
खेल को जीतने के लिए, आपको किसी बडी चीज पर भरोसा रखना होगा.	ఆటను గెలవాలంటే, మీరది పరమాదకరమెనదని నమమాలి.
-तुम रोओ, मैं हँसूँगी. -अब मुझे भी रुलाओगे.	-నువవు ఏడువు, నేను నవవుతాను. -ఇపపుడు నిజంగా ఏడిపిసతుననారు.
कोरटेज को गाडी चलाने दूँगा.	కోరటెజను నడపనిసతాను.
हमारे अंतिम परतियोगियों के लिए जोरदार तालियाँ,	అభినందించండి, మన చివరి పోటీదారులు,
उसके पैरों में गिर पडी,	ఆమెకు తల ఒగగింది,
पर तुमसे नहीं.	కానీ నీ నుండి కాదు.
कया कह रहे हो?	నువవు ఏం అంటుననావు?
अब रे कहाँ है?	అసలు రే ఎకకడుననాడు?
हे भगवान! डॉज.	అయయో, దేవుడా! డాడజ.
पर कुछ अलग है.	కానీ ఏదో భిననమెనది.
मुझे तो फरक भी नहीं पडा कि आगे कुछ है भी या नहीं.	అసలు ఇంకేదయినా ఉందనే ఆలోచనకూడా లేదు.
-हाँ? -हाँ.	-అవునా? -అవును.
हैलो. हाँ. मैं अपनी गाडी बेचना चाहता हूँ.	హాయ, సరే. నేను నా కారు అమమాలి.
रे हॉल और डॉज मेसन!	రే హాల మరియు డాడజ మేసనలను!
-रे कल खेल हार जाएगा. -कया?	-రేపు రే కావాలని ఆట ఓడిపోతాడు. -ఏంటి?
इसलिए मैं तुमसे सच की उममीद करती हूँ.	అందుకని నువవు నిజం చెపపాలి.
तुम लोग काफी करीब आ गई हो जो कुछ दिनों के लिए सिरफ घर की देखभाल कर रही हो.	కొనని రోజులు ఇలలు చూసుకోడానికి వచచి ఇంత హాయిగా ఉననారు.
तुमहें लगता है कोरटेज ने लूक को लेकर झूठ कहा कयोंकि	కోరటెజ నీ గెలుపుపె పందెం కాశాడని మనకు
-दो मिनट, दोसतो! -रे कहाँ है?	-అందరూ వినండి, రెండే నిమిషాలు! -రే ఎకకడ?
-अब यह किसकी गाडी है? -ऐन की.	-ఈ టరక ఎవరిది? -ఆనది.
चाहे जितनी भी कोशिश कर लो.	లేదా దూకలేనిది, లేదా పెకి ఎకకలేనిది.
तुम कया कह रहे हो?	ఏం అంటుననావు?
तुमहें लगता है वह ठीक है?	బాగానే ఉననాడంటావా?
कहाँ छूने पर उसे मजा आता है?	ఎకకడ ముటటుకుంటే నచచుతుందో తెలుసుకోవాలా?
या मेरी गाडी के नीचे जो बम है, वह करिसमस का तोहफा है?	లేదా నా కారు కింద పెటటిన బాంబు బొమమదా?
वयकतिगत दूर रहो	పరెవేట దూరం పాటించండి
हाँ! अचछा.	దొరికాయి. సరే.
यह कया?	ఏంటి?
नहीं.	చెపపను.
देखो,	చూడండి,
ऐबी को खेल से निकालने के लिए उसे धमका रहे थे.	బెదిరిసతుననటటు అతనికి తెలిసింది.
मैंने इतना कुछ अपने अंदर दबाकर रखा था.	నేను ఒకటే పటటుకు వేళళాడాను.
वह भागी, इस उममीद में कि धरती से आगे निकल जाएगी.	పరిగెతతింది, నేలను దాటి వెళళొచచని.
और मैं तुमहें कयों बताने लगा?	నేను మీకు చెబుతానని ఎందుకు అనుకుంటుననారు?
कुछ पता चला?	ఏమయినా తెలిసిందా?
किशोर नहीं हैं, भूत हैं.	వాళళు యువతీ యువకులు కాదు, దెయయాలు.
पर एक सवाल पूछूँगा.	అయినా నినను ఒక పరశన అడగాలి.
कहा था, कालपनिक है.	మీకు చెపపాను, అది కాలపనికం.
अगर यही हो तो?	ఒకవేళ అది ఇదే అయితే?
यह कया है?	ఏంటిది?
जो कुछ हुआ, उसमें इस हद तक खो गया था	నేను ఎంతగా లీనమయిపోయానంటే
यह एक सजा थी.	ఇది శికష.
डॉज? खुश हूँ कि तुम ठीक हो.	డాడజ? డాడజ? నువవు బాగానే ఉననావు సంతోషం.
हे भगवान.	అయయో, దేవుడా.
और तुम? तुम कया करोगे?	నీ సంగతి ఏంటి? నువవు ఏం చేసతావు?
ऐसा है. . .	నీకు తెలుసా. . .
-दमकल और ईएमएस चाहिए. . . -हेदर?	-వెంటనే అగని మాపక దళం మరియు వెదయులు. . . -హేథర?
यह रहा. यह रहा मेरा दोसत.	అదిగో ఇకకడుననాడు. నాకు కావాలసిన వాడు.
हाँ. भूतिया किशोर हैं, हाँ.	అవును నిజమే. వాళళు కౌమార దెయయాలు, అవును.
हाँ.	అవును.
सबूत	సాకషయం
जरा सोचो कि तुमहें किस चीज से सच में डर लगता है.	నీకు నిజంగా ఏదంటే భయమో తెలుసుకో.
धत.	ఛ.
फोन, पलीज.	ఫోనలు ఇచచేయండి.
ए.	హే.
धत.	ఛ.
कम से कम.	కనీసం.
धत.	ఛ.
कया कहती हो?	ఏమంటావు?
सब कुछ का.	అననిటి గురించి.
मुझे भी डर लग रहा है.	నాకు కూడా భయం.
यही लगता है, है न? इसलिए इतने तेज हो.	ఖచచితంగా అలానే ఉంటుంది, కదా? అందుకే అది అంత తెలివెన పని.
ए, नहाते समय चपपल पहनना मत भूलना.	హే, సనానం చేసేపపుడు సలిపపరలు వేసుకోవడం గురతుంచుకో.
अगर घर पर कोई तकलीफ है, तो मुझे बता सकती हो.	నీకు ఇంటలో సమసయగా ఉంటే చెపపు.
कि किसी वजह से मुझे डर नहीं लगेगा.	ఏదో కారణం చేత నేను చేయలేనని అనుకుననాను, నీకు తెలుసా?
और ऐसा है कि. . .	చివరకు. . .
यकीन करना है, और कुछ ऐसा ढूँढना जिस पर यकीन किया जा सके.	అది నమమకం ఇంకా నమమగలిగింది కనుగొనడం.
खुली है	తెరిచే ఉంది
तुम भी.	నువవు కూడా.
तो, कल रात कया हुआ?	అయితే, నినన రాతరి ఏం జరిగింది?
तुमहारी गाडी के लिए माफ करना.	నీ కారుకు కషమించు.
वह डॉज को ही मिले थे,	ఆయన చనిపోయాక,
मेरी माँ. . . वह कयों गईं?	మా అమమ. . . అంటే, తను ఎందుకు వెళళిపోయింది?
इसलिए अंतिम परतियोगिता भाला मुकाबला है.	అందుకే చివరి సవాలు జౌసట.
-बताओ. -नहीं, यहाँ नहीं.	-సరే, వింటుననా చెపపు. -వదదు, ఇకకడ వదదు.
तो बला वह है?	అదేంటది?
पर तुम खेल रही थी.	కానీ ఆడావు.
मिलती-जुलती एक कशती है, जो बीच नदी में खडी है.	నది మధయలో ఆగి ఉందని చెపపారు.
एक समय पर एक लडकी थी जो मानती थी कि अगर उडना सीख जाए तो	అనగనగా ఒక అమమాయి ఎగరడం నేరచుకుంటే
हैलो.	హే.
नंबर एक पापा	#1 నానన
पता है?	నీకు తెలుసా?
अचछी बात है.	మంచిది.
देखा? यह देखा.	అది చూశావా? సరిగగా అకకడ.
आदरश रूप से और सचमुच में.	అలంకారపరాయంగా మరియు అకషరాలా రెండు విధాలుగా.
पर अगर हमेशा एक ही तरह से जीतने के आसार कम हों?	అవకాశాలు ఎపపుడూ ఒకేలా ఉంటే?
अचछी बात है.	సరెన ఒపపందంలాగే ఉంది.
अचछी है.	బాగానే ఉందిలే.
बाप रे. एकदम पढाकू हो.	అబబా. నువవు ఒక అదభుతమెన తెలివెన దానివి.
एकदम.	ఖచచితంగా.
इसका कया मतलब लगता है?	దానరథం ఏంటి?
मुझे ऑडी ए4 की कीमत बता पाएँगी?	మీరు నాకు ఆడీ ఏ4 కారుకు అంచనా ధర చెపపగలరని అనుకుంటుననాను.
मुझे लगा	నేను అనుకుననాను
तुम और मैं.	అది నువవూ నేనే ఆడేది.
मैं बस खुद के लिए जा रही हूँ.	నాకోసం వెళతాను.
हेदर. ए, तुम ठीक हो?	హేథర, హేథర. హే, హే, నువవు బాగానే ఉననావా?
मुझे डर लग रहा है.	నాకు భయం.
मैं मानती हूँ.	నేను ఆ విషయంలో నీతోనే ఉననాను.
मैं एक सलाह देती हूँ.	నీకో సలహా.
सुनकर अचछा लगा.	మంచిది.
अपना खयाल रखना.	జాగరతత.
हेदर!	హేథర! హేథర!
था.	ఉండేది.
ऐसा नहीं करोगे?	చేయవా?
वही खेल.	ఆట.
अचछा.	చూసతుననాను. సరే.
हेदर!	హేథర! హేథర! హేథర! హేథర!
इसलिए	అందుకని నీ కుటుంబం పరతీకారం
