धनयवाद.	మంచిది!
आ जाओ आगे. आपका लेते हैं.	రండి, ఆంటీ. మీ ఫొటో తీసతాను.
- मैं ही ठीक नहीं बैठती, यार. - नहीं, ऐसा नहीं. . . ऐसा नहीं है.	- నేనే బయట దానని. - కాదు. అలాంటిదేం లేదు అలా కాదు.
इंसान के नाते, वह. . .	ఒక వయకతిగా, తను. . .
डरो मत, मेरी बचची.	భయపడకు, బిడడా.
इनके बिना शादी पूरी होती ही नहीं है.	వాళళు లేకుండా ఏ పెళళీ జరగదు.
अरे! चलो मिलते हैं. बहुत वकत हो गया.	హే! అవును, కలుదదాం. చాలా కాలమెంది.
हमारे देश के मंदिरों में ऐसी नककाशियाँ हैं जिनमें पुरुष और महिलाएँ	మనకి గుళళుననాయి అలాంటి శిలపాలతో ఎకకడ ఆడ, మగ ఇదదరూ ఒకే
सर, ये फतेह बाबा दरगाह से आए हैं. आपको दुआ देने के लिए.	సర, వీళళు ఫతేహ బాబా దరగా నుంచి వచచారు, మిమమలని ఆశీరవదించడానికి.
इसलिए अपना मुँह बंद ही रखो.	కాబటటి ఇక ఆపితే మంచిది.
मैं तुमहारी सहायक नहीं हूँ.	నేను నీ అసిసటెంటుని కాను.
ये है तुमहारी खबरी? तुम एक छह साल की बचची पर भरोसा कर रहे हो?	తినా నీ ఇనఫారమర? నువవో ఆరేళల దానిపె ఆధారపడడావా?
पकका वादा.	పింకీ పరామిస.
और वादा करती हो उनहें ये दे दोगी?	నువవు నాకు పరామిస చేసతావా తనకి ఇది ఇసతానని?
मुझे नहीं पता तुम कया बोल रही हो.	నువవు ఏం మాటలాడుతుననావో నాకు అరధం కావటలేదు.
जेल में मेरे साथ गलत हुआ.	ననను జెలలో బలవంత పెటటారు.
बधाई हो, जान.	కంగరాటస, డారలింగ.
इस साल के उभरते वयवसायी, मिसटर आदिल खनना के नाम.	ఈ ఏడు ఎమరజింగ బిజినెసమన మిషటర ఆదిల ఖననాకి.
ठीक है? बस अचछी- अचछी बातें बोलते रहो.	ఓకే? అననీ మంచివే చెబుతూ ఉండు.
फतेह बाबा की दरगाह से.	ఫతేహ బాబా దరగా నుంచి.
- फतेह बाबा की दरगाह तो. . . - यादव साहब का चुनाव कषेतर नहीं है?	- ఫతేహ బాబా దరగా అంటే - యాదవ గారి నియోజకవరగం, అవునా?
पाँच मिनट में, चलो. चलो, आओ.	ఐదు నిముషాలు, కమాన. కమాన, పదండి.
याद है. बिलकुल याद है.	ఉంది, గురతుంది బాగా గురతుంది.
नहीं. दफतर से जगदीश का फोन था.	కాదు. ఆఫీసు నుంచి జగదీష.
मैडम, वो कुछ हिजडे आए हैं. बोल रहे हैं दुआएँ देंगे.	మేడమ, ఆశీరవదిసతామంటూ కొందరు కొజజావాళళు వచచారు.
हाँ, है. हम एक साथ रहते हैं.	అవును, కబీరదే. మేం ఇదదరం కలిసే ఉంటాం.
वह मसूरी के वुडसटॉक में पढने के लिए चला गया है.	- ఏంటి? - అతను ముససోరీలో వుడ సటాకలో చదవడానికి వెళళాడు.
कि मैंने जॉन मैथयू से शादी की है.	పెళళి చేసుకుననానని పరకటించడానికి.
आप कुछ नहीं करेंगे.	మీరేం చెయయదదండీ.
तुमहारी शादी की सालगिरह आ रही है. तुमहारे पास कुछ नया होना चाहिए.	మీ ఏనివరసరీ వసతోంది. నీకేదో ఒకటి కొతతది ఉండాలిగా.
मुझे देखकर मुसकुरा रही हो?	నువవు ననను చూసి నవవుతుననావా?
ये तो जबरदसत था!	అదభుతంగా చెపపావు!
तो, बंद कयूँ हैं? चलो, खेलते हैं उनके साथ जाकर.	ఎందుకు లాక చేసారు? వెళళి తనతో ఆడుకుందాం.
हम एक मनोरंजन पारक में गए, और ये कसम खाती है कि हम उस झूले पर चढे थे. . .	మేం ఆ ఎమయూజమెంట పారకుకి వెళళాం, తను ఆ రెడ మనం ఎకకాం అని ఒటటేసతోంది. . .
आप एक बार देख लेंगे?	ఇదొకసారి చూసతారా?
समाचार वाचिका: . . . दफा 377 के खिलाफ. समलैंगिकता. . .	సెకషన 377కి వయతిరేకంగా తన కొరడా ఝుళిపిసతూనే ఉననారు. హోమోసెకసువాలిటీ. . .
आदाब अरज है. बिटिया की विदाई पे आपको बहुत-बहुत मुबारकबाद हमारी तरफ से.	ఆదాబ బరసే. అమమాయిని సాగనంపుతుననందుకు చాలా చాలా శుభాకాంకషలు.
पता नहीं, खुद को कसूरवार महसूस कर रही हूँ.	నాకు తెలిసి, వీటననిటికీ కారణం నేనే.
अरे, तो अपना आदमी लोग को तिगुना कीजिए! अरे!	అయితే, మీ సెకయూరిటీని పెంచుకోండి! ఏయ!
पयार तो बस पयार है! पयार तो बस पयार है!	పరేమంటే పరేమే! పరేమంటే పరేమే!
कया आप लोग हमारी मदद कर सकते हैं? पलीज.	మీరు మాకు సాయం చెయయగలరా? పలీజ
अब हम कया करेंगे?	మనం ఏం చెయయాలి?
जॉन: वे लोग जबरदसती विशाल से उसकी शादी करवा रहे हैं.	వాళలు విశాలని చేసకోమని ఆమెని బలవంతం చేసతుననారు.
- मेरा? - और कया? और किसका?	- నాదా? - ఇంకెవరిది?
बेहतर की उममीद, और पाक होने की उममीद, और खुश होने की उममीद.	మంచి జరుగుతుందని, ఇంకా పవితరతకి, ఇంకా సంతోషానికె నమమకం.
अंदर के हो या बाहर के, आपको अपनी जगह मिल ही जाएगी,	ఇకకడి వారెనా లేక బయటివారెనా, మీకు ఓ మూల చోటు దొరుకుతుంది,
फिटिंग ठीक है?	అది బానే ఫిటటయిందా?
ये हमारा राज रहेगा.	ఇది మన సీకరెట.
ऐसा कुछ मत करो जिसे ठीक ना कर सको, ठीक है?	నువవు తిరిగి తీసకోలేని పని మాతరం చెయయకు, అరధమెందా?
तारा: माफ करना.	ఒకక సెకన ఆగు.
फरक नहीं पडता.	అవననీ అనవసరం.
कोशिश कर रहा हूँ.	నేను పరయతనిసతుననాను.
कबीर: अचछा, आप लोग. . . मिसेज यादव: आप दोनों, आप इस. . .	- సరే, గెస, జసట. . . - మీరు, అటు వెళళండి.
ताजा लगेगा. जूस पी लेना. और तुम यहीं खडी रहना, हाँ?	తనకి కొంత శకతి వసతుంది. జయూస తాగమమా. నువవికకడే నిలబడు, సరేనా?
नूतन. . . नूतन. . .	నూతన, నువవు. . . హే. . .
देखा जाए तो हमारी शादी हो ही चुकी है.	మనకిపుడు పెళళి అయిపోయినటటే.
ऐसा ही कुछ, हाँ.	ఏదో అలాంటిదే, ఆ.
पादरी: अगर कोई बात हो जो बोझ सी हो, बोल दो,	అదే ఏదెనా విషయంలో నీకు ఏదెనా కషటం ఉంటే, ఇపుడది చెపపోచు,
हो ही गया. बस वो एक सेकंड लगना है ना अब तो पोरटरेट लेना है बस.	అయిపోయినటటే ఇంకో రెండు సెకనలు. పోరటరెయిట తియాలిగా.
- आ जाओ, आ जाओ, आ जाओ, आ जाओ. - अचछा, ठीक है.	- రండి, రండి, రండి, రండి. - సరే, అలాగే.
और मुझे लगता है उनका जोश मेरे जोश को पूरा करेगा.	నా ఉదదేశంలో తన ఎనరజీ ఎపపుడూ నా ఎనరజీకి తోడవుతుంది.
- नमसते, दामाद जी. - विशाल: नमसते.	- నమసతే, అలలుడు గారూ. - నమసతే.
उसके बहकावे में मत आओ.	అది నినను దూరం చెయయలేదు.
मैडम, एक फोटो.	మేడమ, ఒకక ఫొటో.
दिलशाद: दिन भर तो सो रहे थे.	- నువవు రోజంతా పడుకునే ఉననావు. - అవును.
आप कुछ और पहनकर नहीं देखना चाहेंगी. . .	వీటిలలో ఇంకేదెనా టరె చేసతారా
तुमहें लगता है नूतन आतमहतया कर सकती है?	నూతన ఆతమహతయ చేసకుంటుందంటావా?
तुमहें लगता है तुमने मुझ पर एहसान किया है, है ना?	నాకేదో సాయం చేసాననుకుంటుననావు, కదూ?
ये सवाल अभी भी बना हुआ है. आगे और जानकारी के लिए, बने रहें. हम वापस लौटेंगे.	ఈ పరశన మిగిలే ఉంది. ఇంకా అపడేటలకె చూసతూ ఉండండి. ఇపపుడే తిరిగి వసతాం.
लोग: पयार तो बस पयार है! पयार तो बस पयार है!	- పరేమంటే పరేమే! - పరేమంటే పరేమే!
नूतन जी बहुत ही अचछी हैं, तेज हैं और जिंदादिल हैं.	నూతన అదభుతమెనది, తెలివెనది, చురుకెనది.
जॉन को पुलिस से बात करनी चाहिए.	జాన పోలిసులకి చెపపాలి.
कबीर: हेलो. तो, दुलहन कहाँ है?	హాయ. మరి, పెళళికూతురేదీ?
भगवान के गुण गाओ!	పరభువు నినను రకషించు గాక
सतता पकष आप जैसों पे सखत नजर रखे हुए है.	రూలింగ పారటీ మీవంటి వారిపె గటటి దరుషటి పెటటింది.
आपसी यौन संबंधों को अपराध की शरेणी से हटा दिया,	సెకసువల పనులని నేరం కాదని తేలచిందో,
बडे साहस की बात है.	నిజానికి చాలా ధెరయం చేసావు.
वरुण: इसी तरह पीते हैं, दोसत.	దానని అలా చెయయాలి, మె ఫరెండ.
- रुचि: अचछी वाली है. - माफ करना.	- అది మంచి బయాచ. - కషమించండి.
- आप ही के चुनाव-कषेतर से हैं? - अलपमत कमीशन. . .	- అతను మీ నియోజక వరగం వాడేనా? - ఈయన మెనారిటీ కమీషన హెడ.
कोच: आज का खेल बहुत बडा है, और हमें इसे जीतना ही होगा.	ఈ రోజు మనందరికీ పెదద మయాచ ఉంది అది మనం ఖచచితంగా గెలవాలి.
- हो ही गया. - अचछी तसवीरें लेना.	- ఇంచూ మించు అయిపోయింది. - మంచి ఫొటోలు తియయి.
नवाब ने सकूल छोड दिया है.	నవాబ సకూలు మానేసాడు.
हमें बहुत-बहुत खुशी हुई ये जानके.	మాకు చాలా ఆనందంగా ఉంది.
इंसान के तौर पर आप उनके लिए कया महसूस करते हैं?	ఒక వయకతిగా మీరు తన గురించి ఏమనుకుంటటుననారు?
तुम बोल कया रही हो? कया. . .	దేని గురించి మాటలాడుతుననావు? ఏంటి
- एक सेकंड. तुमने कब. . . - फरक नहीं. . . फरक नहीं पडता!	- ఒకక నిముషం. - అనవసరా విషయాలు ఇపపుడు అనవసరం!
मैडम, पलीज एक फोटो. शुकरिया. शुकरिया.	మేడమ, ఒకక ఫొటో, పలీజ. థాంకయు. థాంకయు.
ये लीजिए.	ఇదిగో, తీసకో.
विशाल: कया कहा? कया था वो?	అదేంటది? అసలేంటది?
तुमहारी शादी होने वाली थी.	నీకు పెళళవబోతుంది.
बिलकुल, यार. मैं गे नहीं हूँ.	అవును, డూడ. నేను గే కాదు.
- एक इंसान के नाते, आपको कया. . . - इंसान के नाते, हाँ. हाँ, बिलकुल.	- ఒక మనిషిగా, మీరు - ఒక మనిషిలా, కరెకట. ఆ, అదే.
नहीं, सबसे अचछी तो नहीं है, पर उसकी हैसियत के हिसाब से सबसे अचछी है.	తెలుసా, అది బెసట కాదు కానీ, అతని సతోమతకి అది బెసట.
बात करते रहना, करन.	టచలో ఉండు, కరణ.
- दिलशाद: तुम नामुराद हो. - तुमहारा सवागत है.	- నువవో గాడిదవి. - యు ఆర వెలకం.
- ए, ए, ए, अचछा. - मुझे पता है.	- హే, హే, హే, ఓకే - నాకు తెలుసు కలుసతుననావని.
तुम पयार करते हो उसको?	నువవు తనని పరేమిసతుననావా?
कया है ये?	ఏంటి ఇదంతా?
- शुकरिया. - शुकरिया.	- థాంకయు. - థాంకయు.
अगर हमें कुछ भी हो जाता है,	మాకు కనక ఏదెనా జరిగితే,
पतरकार 2: आपको लगता है कि आपकी जान खतरे में है?	మీ జీవితం అపాయంలో ఉందనిపిసతోందా?
पर जब बडी हो जाएगी, इसे आ जाएगा.	తను పెదదయయాక, అది తనకి సరిపోతుంది.
बात वहीं पर आकर रुकती है, उममीद.	చివరికి రావలసిన చోటుకే వసతారు, నమమకం,
मुझे नहीं लगता उनहोंने पहनकर देखा है.	తనిది టరె చెయయలేదనుకుంటా.
हाँ, पर तुम मुझे पसंद करते हो?	ఆ, కానీ నీకు నేనంటే ఇషటమా?
कहाँ. . . एक मिनट. . . कया. . . कया. . .	ఎకకడికి ఒకక, సరే ఒకక నిముషం ఏంటి?
पतरकार 1: आपकी बहन की आतमहतया थी या कतल?	మీ అకకది ఆతమహతయా లేక మరడరా?
- जी. - एक मिनट.	- సరే. - ఒకక నిముషం.
उसकी हिममत कैसे हुई?	దానికి ధెరయం ఎలా వచచింది?
औरत: पर पता है सबयसाची की सबसे अचछी बात कया है?	కానీ సబయసాచి విషయంలో బెసట ఎంటో తెలుసా?
पता है. . . तुम लोगों की जोडी जयादा अचछी है.	నీకు తెలుసు మీరు కలిసుండడమే కరెకట.
ये साला दिलली है.	ఇది చెతత ఢిలలీ.
हाँ.	అవును.
दिलशाद: चुप रहो. कबीर: हाँ.	- నోరముయయి. - సరే.
नहीं.	లేదు.
ठीक है, मैं. . .	ఏమెంది? పరలేదు. నేను లెన
ए.	హే.
पागल मत बनो.	పిచచిగా ఆలోచించకు.
लेकिन फंकशन चालू है ना? कल बुलाना.	కానీ ఫంకషన ఇంకా నడుసతూ ఉంది కదా. వాళళని రేపు రమమను.
पर, अफसोस की बात ये है कि इस माहौल में आपके साहस को	కానీ దరిదరం ఏంటంటే ఇలాంటి వాతవరణంలో,
मिसेज यादव: सास ने दिए थे, वो. . .	తన అతతగారు ఇచచిన వాటి సంగతో?
जॉन को फोन करो	జానకి కాల చెయయండి
मैं अभी आया.	ఇపపుడే వసతాను.
जाओ! जाओ, जाओ, जाओ!	వెళళు! , వెళళు, వెళళు, వెళళు!
- नूतन की बहन: हो गया ठीक से? - चलो.	- బానే ఉందా? - పద వెళదాం.
देखूँ तो.	ననను చూడనీ.
वह फोन नहीं उठा रही.	తను ఎతతటలేదు.
एक पुलिसवाले ने. . .	ఆ పోలీస, వాడు
मुझे फरक नहीं पडता.	నేనవననీ పటటించుకోను.
- जैज: चलें, मैडम? - जूस पिला दो. एक मिनट.	- జయూస తాగించు. ఒకక నిముషం. - పదండి, కదా
आप चलिए, आ रहे हैं.	మీరు పదండి. నేను వసతాను.
कयोंकि सच तो ये है कि आप जहाँ भी ढूँढेंगे,	ఎందుకంటే మీరు ఎకకడ వెతికినా
. . . और उनका नया कलेकशन आ रहा है. . .	. . . వాళళది ఓ కొతత కలెకషన ఉంది. . .
मुझे लगता है अपना फोन छोड गई हैं.	తన ఫోన మరచిపోయిందనుకుంటాను.
डिजाइनर: मैडम, आपके कपडे.	మేడమ, మీ డరెసెస.
किसने कहा तुमहें गुलाम बनकर रहने है?	నినను బానిసని ఎవరననారు?
नूतन जी से अचछी पतनी मुझे मिल ही नहीं सकती थी.	నూతన నేను కోరుకుననటటు నాకు సరెన జోడీ.
- विशाल: आप मेरे साथ. . . - हाँ, बिलकुल. ठीक है ना?	- ఆ, ఇకకడే. అంతా బావుందా? - ఆ, ఇలా రండి.
हाँ, हाँ, हाँ.	ఆ, అవును, అవును.
- भारत माता की. . . - पारटी वाले: जय!	- భారతమాతకీ జె! - భారతమాతకీ జె!
नहीं, वो. . . वो सब ठीक है. मेरा बस मतलब था. . .	కాదు, అదంతా బానే ఉంది. నేననేది
तो जला ली.	వెలిగించేశానుగా.
कयों?	ఎందుకని?
चलें?	వెళదామా?
कहाँ से आए हैं?	వాళళు ఎకకడ నుంచి వచచారు?
किस बात को लेकर?	దేని గురించి?
वे नहीं चाहते उसकी शादी मुझसे हो.	వాళలకి తను నాతో ఉండడం ఇషటం లేదు.
- कया? - हाँ.	- ఏంటి? - అవును.
हाँ. मुझे माफ कर दो. बिलकुल भी फरक नहीं पडता.	అవును. అయాం సారీ. ఇవననీ అవసరం లేదు.
असहनशीलता नई बात है. हमारे देश के मंदिरों में ऐसी नककाशियाँ हैं जिनमें. . .	అసహనమే కొతతది. మనకి గుళళుననాయి అలాంటి శిలపాలతో
बहनचोद, कया चूतियापा लगा रखा है	- చెతత వెదవ - ఆ. ఆ.
तो, अब जाना चाहते हैं?	సో, మరి ఇపుడు వెళిపోవాలనుకుంటుననావా?
अरे, हाँ. हाँ. खुश हूँ. संसारी जिंदगी है.	ఆ. అయింది. హాపీ. మండేనగా.
तुमहारे माता- पिता कहाँ हैं?	మీ పేరెంటస ఎకకడుంటారు?
तुम उससे पयार करते हो.	దాననే పరేమిసతుననావు.
मुझे माफ कर दो.	అయాం సారీ.
मुझे नहीं पता कि कया कोई तरीका. . .	నాకు ఏ దారీ కనిపించ. . .
अरे, इनहें पता ही कया है भारत के इतिहास के बारे में?	వీళళకేం తెలుసు భారతీయ చరితర గురించి?
कोचीन में. उनहें इस बारे में कुछ नहीं पता.	కొచచినలో. వాళళకివేమీ తెలియవు.
हाँ, ठीक कर सकते हैं.	అవును, చెయయచచు.
मुझे मेरे कमरे तक छोड देंगे?	నా రూం దాకా తోడుగా వసతారా?
बचचे की तैयारी करो.	పిలలలని కనడం మీద ఫోకస చెయయి.
अचछा, तो, पयार सिरफ उसकी तरफ से है?	సరే, వన సెడ లవవంటావా?
मैं ये सब खुलेआम इसलिए बता रही हूँ कयोंकि	ఇది నేను పబలిగగా ఎందుకు చెబుతుననానంటే
तारा: आपकी कोई मदद करूँ?	మీకేదెనా సాయం చెయయనా?
मुझे माफ कर दो. ये उतना आसान नहीं है. हम. . . हम बात कर सकते हैं. बात कर सकते हैं.	అయాం సారీ. ఇదంత ఈజీ కాదు. మనం, మనం మాటలాడుకుందాం.
ये सब गुजर जाएगा.	అంతా సరదుకుపోతుంది.
मुझे माफ कर दो.	ననను నిజంగా కషమించండి.
लडका 1: चलो, खेल पर धयान देते हैं. लडका 2: ठीक कहा.	- కమాన, గేం మీద ఫోకస చేదదాం. - అది కరెకట.
- अचछा, लडको. मैदान पर चलो. -	- ఓకే బాయస. కోరట లోకి వెళదాం, పదండి. - ఎందుకని?
सभी: पयार तो बस पयार है!	పరేమంటే పరేమే!
बाबू, डोरा कहाँ है?	డోరా ఏదమమా?
मुझे यकीन नहीं होता कि तुमहारे सिवाय मैंने किसी को नहीं चाहा.	నేను కూడా నినొకకడినే పరేమించానంటే నమమలేకపోతుననాను.
वो जो कंगन उसकी सास ने भेजे हैं, वो कहाँ हैं?	వాళళతతగారు పంపిన గాజులేవి?
आप चाहती हैं मैं रुक जाऊँ?	ననను ఉండమంటావా?
तुमहारे लिए एक जाम लाती हूँ.	నీకో డరింక తెసతాను.
तो, कोई कुछ नहीं कर सकता?	అంటే, ఎవరూ ఏమీ చెయయలేరా?
तुम साला कर कया रही हो?	ఏం చేసతుననావో అరధమవుతోందా?
साला कितना डरावना है.	చాలా భయానకం.
तुमहें जरा भी अंदाजा है, इस यादव परिवार का कितना दबदबा है?	ఈ యాదవస ఎంత పవరఫులలో నీకు తెలుసా?
पूरा सामान है ना मेरा तो. . .	ఇకకడ నా వసతువులననీ ఉననాయి. సో. . .
किशोर, थोडी वाइन डाल दो ना.	కిషోర, కొంచెం వెన పొయయండి.
मिसेज यादव: तारा मैडम संभाल नहीं पा रही? कबीर: आंटी, मैं संभाल लेता हूँ.	- మీ తార చూసకోలేదా? - ఆంటీ ఇకకడ నేను చూసకుంటాను.
जवान, बूढे, अमीर, गरीब, आधुनिक, पारंपरिक.	యువత, ముసలి, ధనవంతుడు, పేదవాడు, ఆధునికమెనవాడు, స౦పరదాయికమెనవాడు.
सारी मीडिया देख रही है.	మీడియా అంతా చూసతోంది.
तारा: डोरा कौन है?	డోరా ఎవరు?
मुझे सच में बहुत अफसोस है.	నిజంగా, చాలా సారీ.
हाँ, बस आप पाँच मिनट में देखके आ जाइएगा ना, आंटी.	కేవలం ఐదు నిముషాలు చూసి వచచేయండి.
इसे यहाँ रख देते हैं	మనం దీనని ఇకకడ పెడదాం
और मैंने कहा, "यार, उसे कभी घर भी तो बुलाओ. "	ఇంక నేను ఒక మంచి సనేహితురాలిని అందుకే నిననొకసారి ఇంటికి పిలవమననాను.
दिलशाद: हाँ. कबीर: एकदम नामुराद हो.	- అవును. - నువవో గాడిదవి.
दुकानदार: मैडम, ये चलेगा?	మేడమ, మీకు పెదద ఫరేం కావలా చిననదా?
और मुझे लगता है नूतन और मैं ये जोडी बना सकते हैं,	నా ఉదదేశంలో నేను నూతన జంటగా
यकीन नहीं होता, मैंने इतने समय तक तुमसे नफरत की.	నిననింత కాలం అసహయించుకుననానంటే నమమలేకపోతుననాను.
दीदी?	అకకా!
कयोंकि उनकी शादी हो रही है, ठीक है?	తనకి పెళళవుతోంది, సరేనా?
- काफी आसान है. -	అలా చాలా సులువు. అలాగే చెయయాలి.
हाँ, चलो. . . चलो जलदी. अरे, इतना संभाल नहीं पा रहे हो तुम लोग.	ఆ, పద, తవరగా. ఇది కూడా చూసకోలేరా మీరు?
कैसा था?	ఎలా జరిగింది?
- मैडम, कुछ कहना चाहेंगी आप. -	మేడమ, మీరేమెనా చెపపాలనుకుంటుననారా?
दो दिन में.	రెండు రోజులలో.
वह बाहर कैसे गई?	అది బయటకి ఎలా వెళళింది?
पादरी: हाँ, मेरी बचची.	యస, మె ఛెలడ.
मैं यहाँ रुक सकता हूँ.	నేను ఆగగలను.
रुचि: अचछा?	అవును.
कबीर: बाबू, डोरा कहाँ है?	సవీటీ, డోరా ఏది?
वह मर गई.	తను చనిపోయింది.
शुकरिया.	థాంకయు.
इसलिए, मैं आपसे पूछता हूँ,	కనుక, నేను మిమమలని అడుగుతుననాను,
हिजडा: चल, चल!	- ఏయ, బయటకి వెళళు! - అలాగే
समाचार वाचिका: कया भारत आखिरकार समलैंगिकता को अपराध मानना बंद करेगा?	ఇండియా ఆఖరికి హోమోసెకసువాలిటీని నేరం కాదని చెబుతుందా?
और वह. . .	ఇంకా తను. . .
मिसेज यादव: हमम. हाँ, ये ठीक है.	ఆ, ఇది బానే ఉంది.
अपने ही लिंग के वयकति साथ सहवास करते देखे जाते हैं.	లింగంతో శృంగారం చేసినటటు వరణిసతూ.
मुझे कभी नहीं लगा, दोबारा तुमसे मिल पाऊँगा.	నినను మళళీ కలుసతానని అనుకోలేదు.
फिर देख लेंगे हम बाद में.	తరవాత చూదదాం.
लंड चूसू	చంకలు నాకేవాడా
हम सब ठीक कर सकते हैं, ठीक है? हम कर सकते हैं, हाँ?	అయాం రియలలీ సారీ. మనం దీనని ఫికస చేసకోవచచు, సరేనా?
मरद बिलकुल बेवकूफ होते हैं.	మగాళళంతా ఇంతే.
दीदी, एक काम करो आप. ये पूरा घूमेगा ना ऐसा कैमरा, 360 हो जाएगा तो पूरा. . . इधर आ जाओ.	అకకా, కేమెరా పూరతిగా 360 డిగరీలూ తిరుగుతుంది, మీరు ఈ పకకకి రండి.
अरे, उसकी गुडिया!	డూడ, తన బొమమ!
मैं भी तुमहें बहुत पसंद करता हूँ, जैज.	నాకూ నువవంటే ఇషటం, జాజ.
सभी: हैपी बरथडे!	హాపీ బరత డే!
आदमी: हमें आपके जैसे लोगों की जरूरत है. जो खुलकर बात करें.	మాకు నీవంటి వాళళు కావాలి. మాటలాడేవాళళు.
तारा: चलो.	వెళదామా.
तुमने जो भी किया, मैं. . .	నువవేం చేసినా, నాకు
यही वह आदमी है जिसे मैं चाहती हूँ.	నేను పరేమించేది ఇతననే.
नताशा ने तुमहारे बारे में जो कुछ कहा.	నతాషా నీ గురించి అననవననీ.
उनके लिए कुरसियाँ थोडी ऊँची रहेंगी.	కనక, వాళలకి రెయిజ చేసిన సీటింగుంటుంది.
- रमन, तुम आज सेंटर खेलोगे. - सर?	- రామన, నువవివవాళ సెంటర లో ఆడు. - సర?
माफ कीजिएगा.	అయాం సారీ.
कया हुआ?	ఏమయయింది?
बस भी करो.	ఆపది.
पतरकार 1: आपको लगता है कि आपका परिवार. . .	మీరనుకోవడం మీ కుటుంబం
दुलहन आप हो या डोरा?	పెళళికూతురు ఎవరు? నువవా, డోరానా?
- कुछ तो करना चाहिए ना. - कया कर सकते हैं, यार?	- ఏదో ఒకటి చెయయాలిగా. - ఏం చెయయగలడు?
एक सेकंड के लिए मेरी बात सुन लो, ठीक है?	పలీజ, నేను చెపపేది విను. ఒకక నిముషం విను, సరేనా?
अचछा, अचछा.	ఓకే, అలాగే.
हाँ, अचछा एक पहले. . .	- సరే. - ఓకే. అకకడ చూడాలి కదా?
मेड इन हेवेन	మేడ ఇన హెవెన
शुभ रातरि.	గుడ నెట.
अचछा.	సరే.
सच में? पकका?	నిజంగానా? ఖచచితంగా చెపపగలవా?
फैजा का फोन था कया?	అది ఫెజాయేనా?
जी, बिलकुल.	అవునండి.
पतरकार 1: हाँ, सर. पतरकार 2: मुसकुराइए, सर. मुसकुराइए.	- ఆ, సర. - సర, సమెల, సర. సమెల.
तो, तुझे करन पसंद है, हाँ?	అంటే, నీకు కరణ ఇషటమా?
विशाल: कया?	ఏంటి?
उनमें हमेशा एक जिजञासा रहती है	ఇంకా తెలుసుకోవాలనన కుతూహలం ఆసాకతి ఉంది
आदमी: हाँ, ये लो. देखो.	ఆ, ఇది తీసకో. చూడు.
विशाल: कया हो रहा है वहाँ पे?	ఏమవుతోందికకడ?
तो आपको पता होगा कि उसके पीछे किसका हाथ होगा.	అది ఎవరు చేసారో మీకు తెలియాలని.
उममीद है आप लोग शाम का मजा ले रहे हैं.	- ఓకే. - పారటీని ఎంజాయ చేసతుననారనుకుంటాను.
तुमहारी याददाशत कमाल की है.	నీ మెమరీ అదభుతం.
कुछ मत पीना, कुछ मत खाना.	ఏమీ తాగదదు, ఏమీ తినదదు, వాళళు నీకు మతతు మందు పెడుతుననారు.
तारा, तुमने मेरा फोन देखा?	తార, నా ఫోన చూసావా?
तुम उससे मिलते रहे हो.	నువవు తనని రోజూ కలుసతుననావని తెలుసు.
ये शादी. . .	ఈ సంసారం
. . . तुमहारी नूतन बुआ के लिए. ठीक है?	మీ నూతన అతతకి, ఓకే?
विशाल: धनयवाद.	థాంకయు, ధనయవాదాలు, థాంకయు!
तुमहारी गलती नहीं है.	అది నీ తపపు కాదు.
- एकदम ठीक है! - नूतन की बहन: हुआ नहीं अभी तक?	- పరఫెకట! - ఇంకా అవలేదా?
इसे हुआ कया है? इसने पी रखी है कया?	ఏమెంది తనకి? తాగేసుందా?
इसे तो ये भी याद नहीं कि कल रात हमने कौन सी फिलम देखी थी.	తనకి ఏం గురతుండదు. మేం రాతరి చూసిన సినిమాయే గురతుండదు.
मुझे समझ नहीं आता, मैं कया करूँ.	నాకు ఏం చెయయాలో తెలీటలేదు.
दीदी, बायें वाला, छोटा वाला.	ఇంకా ఆ ఎడమది, ఆ చిననది.
हाँ.	అవును.
रुचि: कयोंकि ये दिलचसप है.	ఎందుకంటే, అది ఆసకతికరంగా ఉంటుంది.
जॉन: हेलो?	హలో?
वाह यार, तेरी तो तरककी हो गई, यार.	- ఫారవారడ? - వావ, బరో. నీకు పరమోషన వచచింది.
कबीर: नई दिलली में आपका सवागत है.	నయూ ఢిలలీకి సవాగతం.
मैं खेल सकता हूँ डोरा के साथ?	నేను ఆడోచచా డోరాతో?
ए, भाटिया.	హే, భాటియా.
मैं लूँ?	నాకూ కొంచం ఇసతావా?
बुला लो.	అవును. వాళలని పిలువు.
उस पर धयान दो.	దాని మీద దరుషటి పెటటు.
कुछ खाना है तो मेज से कुछ खा लो, ठीक है? और. . .	టేబుల మీదుననవి తిను కావాలంటే, సరేనా?
ए.	ఏయ.
अनाउंसर: और आपको बता दें,	మీకు ఇంకో సమాచారం,
इस तरफ आप आ जाओ ना.	- మీరు, ఇటు వెళళండి, మీరీ పకకకి. - ఎకకడికి? నేనికకడ.
नई दिलली में,	ఎవరెనా ఈ నయూ ఢిలలీలో,
हाँ, ये एक तरह से. . .	అవును, అది మరి ఒక. . .
अचछा.	ఓకే.
हाँ, इसे बस थोडी सी सूरज की रोशनी की जरूरत है.	అవును, తనకి కొంచెం ఎండ తగిలితే చాలు. తనని పటటుకో.
