हाँ. ठीक है.	అవును. అంతే.
मदद के लिए धनयवाद, मैडम.	మీ సహాయానికి ధనయవాదాలు, మేడం.
वॉलट-टेक की बनाई सबसे अचछी चीज.	ఇది వాలట-టెక చేసిన అతయంత మానవీయ ఉతపతతి.
अँधेरा होने पर आग जलाना ठीक नहीं है.	చీకటిలో నిపపు వెలిగించడం సరికాదని నీకు తెలియాలి.
शूट करो इसे!	కాలచమననా!
आप कया कर रहे हैं?	దేని మీద పని చేసతుననారు?
उस पहाडी पर है.	ఆ కొండ అవతల ఉంటుంది.
चलो.	రా.
आप कह रहे हैं कि. . .	మీరు ననను అడుగుతుననది. . .
कया आपको इगुआना चाहिए?	ఉడుము రుచి కొంచెం చూపించనా?
वॉलट की ऐसी-तैसी.	తొకకలో వాలటలు.
टमाटरों के लिए.	టొమాటోల కోసం.
{\an8}पलीज शांत रहें	{\an8}దయచేసి శాంతంగా ఉండండి
{\an8}कंपलीट किट जिम के अंग	{\an8}కిట జిమస లింబస
तुमहें मोलडेवर यहाँ मिलेगी.	నీకు ఈ చోటులో మాలడేవర దొరుకుతుంది.
मुझे इसकी जरूरत है. . .	నాకది కావాలి. . .
सब तुमहारी गलती है.	ఇదంతా నీ తపపే.
और सुधर गए.	అవి మెరుగయయాయి.
मैं तुमहें मार डालूंगा. कमीने.	నినను చంపేసతా. సననాసి.
शायद मना है.	సరే, లేకపోవచచు.
मुझे लगता था तुम सब मकोडे मर चुके हो.	మీ డబబా చేపలందరూ ఇనుప గదులలో చచచారని అనుకుననాను.
मोलडेवर को तुमसे कया चाहिए? मतलब, वह बाप चुराती है.	సరే, మాలడేవరకు మీ నుంచి ఏం కావాలి? అంటే, ఆమె నాననలను చోరీ చేసతుంది.
कयोंकि मुझे उसकी जरूरत है.	ఎందుకంటే నేను ఒకరిని వెతుకుతుననా.
मेरा नाम कैसे पता?	నా పేరు మీకెలా తెలుసు?
तुम जैसे लोगों का यहाँ आना मना है.	నీలాంటి వాళలకు ఇకకడకు ఆహవానం లేదని తెలుసుగా.
पैर ठीक करने की दवा.	మీ కాలు నయం చేసే దరావకాలు.
यहाँ और कोई तरीका हो भी नहीं सकता.	ఇకకడ వేరే అవకాశాలు ఉంటాయని నాకు అనిపించలేదు.
मैडम, मैं जिस हमलावर की तलाश में हूँ उसकी लंबाई 5 फुट 9 इंच है.	మేడం, నేను వెతికే రెడర ఎతతు 5 అడుగుల 9 అంగుళాలు.
नहीं, पता है, मैंने अभी साइनाइड की गोली खाई है.	లేదు, చూడు, నేను సెనెడ మాతర మింగాను.
उस आदमी के सिर की भारी कीमत मिलेगी	ఓ పురుషుడి మీద భారీ మూలయం,
पानी के फिलटर में?	నీటి ఫిలటరలో?
सर, आप विदवान और सजजन हैं.	మీరు, సర, ఓ మేథావి ఇంకా ఓ పెదదమనిషి.
शायद.	బహుశా.
सिरफ मेरा सिर.	కేవలం నా తల వరకే.
आपका दिन बुरा हो. हम तो चले.	మీ రోజు అససలు బాగుండకూడదు, సర. వీడకోలు.
कमीने. . .	చెతత వెధవ. . .
ठीक है.	నిజం.
खतरनाक लगता है.	పరమాదకరం అనిపిసతోంది.
एनरजी की दवा, फुरती लाने की दवा.	శకతిని ఇచచే దరావకాలు, ఉతతేజం ఇచచే దరావకాలు.
वे यहीं थे. एक आदमी और एक कुतता.	వాళలు ఇకకడకు వచచారు, ఓ పురుషుడు, ఇంకా ఓ కుకక.
उनहें बाँध देते हैं. . .	నినను కటటేసి. . .
तुम लोग योगयता में विशवास करते हो	తాము సరెన పని చేసతుననామని
धनयवाद, पर मैं अपने पिता को ढूँढने आई हूँ.	ధనయవాదాలు, కానీ నిజంగా నేను మా నాననను వెతికేందుకే వచచాను.
वह मुझे ले जाएगी.	ఆమె ననను తీసుకెళలగలదు.
तू. . .	నువవు. . .
धनयवाद.	ధనయవాదాలు.
और, वैसे, ये चीजें चूँकि वॉलट-टेक की हैं,	అలాగే, ఈ వసతువులు సాంకేతికంగా వాలట-టెకకు చెందుతాయి కాబటటి,
और हम इसके लिए आभारी हैं.	మేము గురతించాము, కృతజఞతగా ఉంటాము.
पर मैं फिर भी आ गया हूँ.	కానీ ననను నేనే ఆహవానించుకుంటాను.
कुतते का मांस!	కుకక మాంసం!
इससे काम बनना चाहिए.	ఇలా చేసి తీరాలి.
संवाद अनुवादक कमलेश ढवले	సబటెటిల అనువాద కరత కృషణమోహన తంగిరాల
मुझे एक सटिमपैक दो.	సటిమపేక ఇవవు.
मैं वहाँ आऊँ?	నేను దగగరకు రావచచా?
- यह लो. - कया?	- ఇదిగో. - ఏమననారు?
हतयाएँ और गंदगी वगैरह की वजह से.	ఈ హతయలు, ఇంకా మురికితో.
ऐसा कैसे करूँगी जब आपने. . .	కానీ మీరిలా ఉంటే, ఎలా తీసుకెళలాలి. . .
हैलो.	హాయ.
ठीक है, हाँ.	సరే, హా.
पर वे सिरफ बचे नहीं.	కానీ అవి బతికిపోవడం వరకే కాదు.
चलो.	వెళలు.
धत.	ఛ.
मुझे बेवकूफी-भरे मिशन पर भेज दिया	అవశేషాలు ఏరుకోవడం కోసం
माफ करना.	ఏమండీ.
आप पिएँगे?	ఓ గుటక వేసతారా?
यह लीजिए.	ఇదిగో.
सुनकर दुख हुआ.	అది వినడం బాధగా ఉంది.
हाँ!	అవును!
हाँ!	అవును!
अचछे दाँत.	చకకని దంతాలు.
और वहाँ पर रैड बहुत तेजी से चलते हैं,	అకకడ రేడియేషన చాలా తవరగా పెరుగుతూ, తగగుతూ ఉంటుంది,
जो इस बंदे की शकल-सूरत का है.	ఆ వివరణ ఇకకడ ఉనన అతనికి సరిగగా సరిపోతుంది.
पैर ढूँढ रहा हूँ!	పాదం కోసం వెతుకుతుననాను!
पहला नियम, मैनयुअल पढो.	మొదటి నిబంధన, సూచనాపరతిని చదవాలి.
इंजेकटर सावधानी	ఇంజెకటర కణజాల దహన సాధనం
तो खतरे में पड जाओगी.	అంతకంటే దారుణాలు ఎదురకుంటావు.
यह वादा है.	అది నా పరమాణం.
सुरकषा जाँच	భదరతా తనిఖీ పరాతం
धनयवाद, धातु मानव.	ధనయవాదాలు. లోహపు మనిషి గారు.
माफ करना.	ఏమీ అనుకోకండి.
ठीक है, तुम जा सकते हो. जाओ.	సరే, ఇక వెళలు. పద.
हमें लगभग 20 मील और चलना है.	మనం ఇంకా 20 మెళలు వెళలాలని ఇది చూపుతోంది.
हे भगवान.	అబబా ఛ.
उसे लेने आया हूँ.	తనను వెతకుతూ నేనొచచాను.
चलो भी.	కనిపించు.
केले जैसा सवाद.	అరటిపండు రుచితో ఉంది.
पता है, बात यह है कि	సరే, చూడండి, అసలు విషయం ఏంటంటే
कैसे पासा पलट गया.	పరిసథితులు తిరగబడతాయి తెలుసా.
मैं कहती हूँ उसे छोड दो.	అతనిని వదిలేయమని నినను అడగబోతుననాను.
चार, यहाँ आओ.	ఫోర, రా.
शूट करो.	దానిని కాలచు.
धतत हाँ!	అదిరిపోయింది!
दरद की दवा.	నొపపి దరావకాలు.
और तुम अमेरिका को कब बचाने वाले हो?	అమెరికాను సరిగగా ఎపపుడు కాపాడాలని మీరు పరణాళిక చేశారు?
भाड में जाए ये सब.	ఈ చెతత గోల.
या आपको इतनी जानकारी कैसे है.	లేదా మీకు తెలిసిన విషయాలో ఎలా తెలుసో తెలియదు.
उसने कहा, "बंद करो", गूल.	ఆమె "లొంగిపో" అని చెపపింది, జీవపిశాచి.
तो आप जानती हैं वह कौन है?	అయితే ఆమె మీకు తెలుసని నేను అనుకోవచచుగా?
वह और उसके साथी इस गंदगी में मिलेंगे.	ఆమెతో పాటు తన జనాలు, ఈ మురికి చోట చెరువు దగగర దాగి ఉంటారు.
नहीं, पर सलाह के लिए धनयवाद.	నాకు పరవాలేదు, కానీ మీ సలహాకు బోలెడు ధనయవాదాలు.
तुम वॉलट 33 की हो.	నువవు వాలట 33 నుంచి వచచావు.
पूरा नया पैर उगाने की दवा.	పూరతిగా కొతత కాలు పెరిగేలా చేసే దరావకాలు.
अगर आप इसी वकत यह सब बंद न करें तो.	నీ అంతట నువవే లొంగిపోవాలని నిరణయించుకుంటే మినహా, వెంటనే.
यह तो. . .	ఇది నిజంగా. . .
मेरे ऊपर दो टन का भालू गिर गया था	నా వెనను మీద రెండు టననుల వికిరణం చెందిన ఎలుగుబంటి పడితే,
अरे, तुम यहाँ.	మళలీ కనిపించారు, మిస.
धनयवाद.	ధనయవాదాలు.
पर ठीक है.	కానీ పరవాలేదు.
शायद.	కావచచు.
धतत.	అబబా ఛ.
धतत.	అబబా ఛ.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ओ तेरी.	ఓరి నాయనో.
कोई बात नहीं.	నిజంగా అదేమీ సమసయ కాదు.
पर मुझे एक खास अपराधी की तलाश है.	కానీ నిజానికి నిరదిషటంగా ఓ నేరసతుని కోసం వెతుకుతుననాను.
माफ करना, कया वह योदधा है?	అంతరాయం కలిగించాలని కాదు, కానీ అతను సెనికుడా?
कुछ दिखा?	ఏమెనా కనబడుతోందా?
कोऑरडिनेट डालें	అకషాంశాలను నమోదు చేయండి
दरद हुआ.	నొపపించింది.
जाओ.	వెళలు.
जाओ.	వెళలు.
तुम विलजिग हो?	వీలజిగవా?
हाँ, तुम कर लोगी. जरूर.	అవును, నువవిది చేయగలవు. తపపకుండా చేయగలవు.
ऐसा कयों?	అవునా, ఎందుకలా?
वयवहार बदलाव	పరవరతనా పూరవక ఇంజినీరింగ
धतत.	ఛ.
धतत.	ఛ, ఛ, ఛ.
धतत.	ఛ, ఛ, ఛ.
धतत!	ఛ, ఛ, ఛ.
बचाओ.	సహాయం చెయ.
पानी है?	నీ దగగర నీరుందా?
बाय.	వెళతాను.
दो भाई भी.	కొందరు సోదరులను కూడా.
चलो. नहीं!	రా. లేదు, లేదు, లేదు!
पैर, बारव!	పాదం కావాలి, బారవ.
साफ बाल.	శుభరమెన కేశాలు.
खाना खा रहा हूँ.	నా చికకుళలు తినాలని చూసతుననాను.
और मिला सिरफ एक टोसटर अवन.	టోసటర ఓవెనలో మాడిపోయేలా ఈ పిచచి మిషనలకు ననను పంపుతుననారు.
धतत.	అబబా ఛ.
हाँ!	అదిరింది!
नहीं, धनयवाद.	నాకు పరవాలేదు, కానీ ధనయవాదాలు.
धतत.	అబబా ఛ.
ठीक है.	సరే.
जितना पी सको.	ఎలాగూ తాగగలిగినంత వరకే తాగుతాం.
हैलो.	మీకు హాయ.
हैलो.	మీకు హలో.
हे भगवान.	అయయో, దేవుడా, అయయో.
धतत.	ఛ.
कया?	ఏమంటారు?
अचछी हो.	హాయిగా ఉండుండాలి.
पलीज.	దయచేసి చెయ.
नहीं.	లేదు, లేదు, లేదు.
अंदर चलो.	నినను లోపలకు తీసుకెళతాను.
मेरी मदद करो.	సాయం చేయండి.
जाओ!	వెళలు, వెళలు, వెళలు!
सटिमपैक दो मुझे.	ఆ సటిమపేక తీసుకురా.
शूट करो.	దానిని కాలచు.
धतत.	అబబా ఛ.
