मेरी जान. . .	నా పరియా. . .
कलैरेंस ने बताया कि सुबह अपनी कार दिखाने के लिए भी नहीं आया.	ఈ ఉదయం కారు అపాయింటమెంటకు రాలేదని కలారెనస నాకు చెపపాడు.
अगर कुछ और बात हुई तो?	వేరే ఏదెనా జరిగితే ఏంటి?
भगवान के लिए चलो, ताकि हम थोडा आराम कर सकें.	వెళదాం పద, ఇకనెనా, మనం కాసత విశరాంతి తీసుకుందాం.
और वह कॉफी?	ఇంకా ఆ కాఫీ?
हैलो, आपने मारियो और पटरीशिया को फोन मिलाया है.	హాయ, మీరు మారియో, పెటరిషియాలను చేరుకుననారు.
हैलो, आपने मारियो और पटरीशिया को फोन मिलाया है.	హాయ, మీరు మారియో, పెటరీషియాలను చేరుకుననారు.
मैं वफादार हूँ, तुम सबको पता है.	నేను విధేయుడిని, మీ అందరికీ తెలుసు.
वह बंदा, उसकी वह घिनौनी मुसकान. . .	ఆ వయకతి, అతని ఆ నీచమెన నవవు. . .
और जब ओक सपरिंगस के लोग साथ आ जाएँ,	ఓక సపరింగస కలిసి పని చేసినపపుడు,
आप ही ओक सपरिंगस हैं.	అబబా, నువవే ఓక సపరింగస.
मेरी बात समझ रही हैं?	నేను చెపపింది అరథమెందా?
-"मार दिया हो"? -हाँ.	-"తనను చంపడమా"? -అవును.
इस घटिया कॉफी की जगह मुझे सटोर वाली कॉफी ही पसंद है.	ఈ రుచీ పచీ లేని చెతత కంటే దుకాణంలో కొననదే నాకు నచచుతుంది.
असली परेशानियों की बात कर रहा हूँ.	నిజమెన తపపుల గురించి చెబుతుననా.
मिस डोलोरेस के बिना आपको देखना अजीब लगता है.	మిస డోలొరెస లేకుండా నువవు రావడం విచితరం.
मेरी परेशानी का सबब!	ననను నువవు చావగొడతావు!
नाकारा लोग.	పరాజితులు.
नाकारा लोग.	పరాజితులు.
नहीं, माँ.	లేదు, అమమా.
माँ, नहीं!	అమమా, వదదు!
-शायद उसे कुछ पता हो! -लुपीटा!	-అతనికి ఏమెనా తెలియవచచు! -లుపిటా!
जो सहा, उसका अफसोस है.	నీకలా జరగడం బాధాకరం.
अब वे दोसत कहाँ हैं?	ఇపపుడు నీ సనేహితులేరి?
केलब अब आपकी परेशानी है, डोलोरेस.	కేలెబ ఇపపుడు నీ సమసయ, డోలొరెస.
-इस पैसे से. . . -कया कर लोगे?	-ఈ డబబుతో, నేను. . . -ఏం చేయగలవు?
आखिर तुम चाहते कया हो?	అసలు నీకు ఏం కావాలి?
देवियो और सजजनो. . .	సోదర సోదరీమణులారా. . .
और केवल एक बार नहीं,	మళలీ, మళలీ, ఇంకా మళలీ,
कलैरेंस? कया वह. . .	కలారెనస? వాడేమెనా. . .
हद है. वैसे भी, उसने बहुत बेकार चाबी दी है.	అబబా. ఏదేమెనా, నాకు పనికిరానివి ఇచచాడు.
यहाँ बाहर तुमहारी कमजोरी दिखेगी,	ఇకకడ బలహీనత బయట పెటటుకుంటావు,
मुझे माफ कर दीजिए. मैं नहीं. . .	ననను కషమించు. నేను చేయలే. . .
तो मैं भी पतली वाली बिकिनी पहनकर किसी बीच पर मिलूँगी.	నేను సటరింగ బికినీలో బీచలోనో ఎకకడెనా పడుకుంటాను.
चलो हम लोग इस गोरे कमीने को अपना परिचय देते हैं.	వెళలి ఆ పనికిమాలిన తెలలోడికి మనలని పరిచయం చేసుకుందాం.
-हैलो. -हैलो, लुपीटा.	-హాయ. -హాయ, లుపిటా.
कारोबार खतम हो रहा है	వయాపారం తీసేసతుననాం
इससे पहले कि कोई देख ले, तुम अंदर चलो.	ఎవరెనా చూసేలోపే నువవు లోపలకు రావడం మంచిది.
भला इतने पैसों के साथ ओक सपरिंगस में कोई बिंगो हॉल कयों खोलेगा?	ఓక సపరింగస భారీ డబబుతో బింగో హాల తెరిచే ఆఖరి చోటులా ఉంది.
या फिर अपने सभी सपनों को सच करने का मौका गँवा दीजिए.	లేదా మీరు కలలను నిజం చేసుకునే అవకాశం కోలపోతారు.
मैं सुनना चाहती हूँ कि उसे रोकने में मेरी मदद करोगी!	వాడిని ఆపడంలో నాకు సాయపడతానని చెపపడం నాకకావాలి!
या फिर अपने सभी सपनों को सच करने का मौका गँवा दीजिए.	లేదా మీరు కలలను నిజం చేసుకునే అవకాశం కోలపోతారు.
हाँ, वह घटिया बूढी मेकसिकी औरत.	అవును, ఆ మెకసికో ముసలావిడనే.
तुमहें दिखाई नहीं देता, लुपीटा?	నీకు కనిపించడం లేదా, లుపిటా?
हद है, लुपीटा, तुम तो मारियो को जानती थी.	ఆపు, లుపిటా, నీకు మారియో ఏంటో తెలుసు.
तुमहें छोडकर यहाँ पर सब बूढे लोग ही दिखते हैं.	అకకడ, అదీ, ముసలోళల గుంపు తపప ఏమీ లేదు, నువవు మినహా.
हैलो, जॉन.	హాయ, జాన.
-बिलकुल सही! -बढिया!	-అబబా నిజం! -నిజం!
मारियो! तुमने कैसे बेच दिया, मारियो?	మారియో! నువవెలా దానని అమమేసతావు, మారియో?
आपको भी गुड मॉरनिंग.	నీకు కూడా శుభోదయం.
-कहिए कि चल रहे हैं. -पर नहीं.	-మనం వెళతామని చెపపు. -లేదు.
वैसे बता दूँ, वह कॉफी मैंने अपने पैसे से खरीदी है.	గురతు కోసం చెబుతుననా, నా డబబుతో ఆ కాఫీ కొననా.
धत, सही दाम मिल जाए,	ఛ, సరెన చోటు కోసం,
ऐसी चाहतें, जो पूरी नहीं हुईं.	ఈ నెరవేరని కోరికలను చూశాను.
हे भगवान.	అయయ బాబోయ.
हे भगवान!	అయయ బాబోయ!
और हर सुबह मुझे उसे ठुकराने का फैसला करना पडता है.	దానని మరిచిపోవడానికి పరతి ఉదయం తంటాలు పడతాను.
हे भगवान!	ఓరి బాబోయ!
मेरे पास ओक सपरिंगस ही बचा है.	నాకు ఉననది ఓక సపరింగస అంతే.
इस कमबखत पूरी दुनिया के सफर पर	నువవూ, నేనూ షికారుకు వెళతాం
एक ही चीज होती है.	ఒకటే అని అనుకుననాను.
जब यह मुझे मार डालेगी, तब.	అదెపపుడు ననను చంపితే, అపపుడే.
ठीक है. खुशबू आ रही है, है न?	సరే ఇక. వాసన బాగుంది, కదా?
मैं ही वह विजेता हूँ, जान!	ఇదంతా నాదే, బేబీ! ఇదంతా నాకే.
शायद हम सब यहीं मर जाएँगे,	మనమంతా ఈ చకకని ఓక సపరింగసలోనే
उस कार को मत छुओ.	ఆ కారును ముటటుకోకు.
बिंगो हॉल के बारे में मुझसे बात करोगे?	బింగో హాల గురించి నాతో మాటలాడతావా?
मैं यह नहीं करूँगी.	నేను ఈ పని చేయను.
तुम कुछ भी नहीं हो.	నినను లెకక చేయను.
हैलो, आपने मारियो और पटरीशिया को फोन मिलाया है.	హాయ, మీరు మారియో, పెటరీషియాను చేరుకుననారు.
एक छोटी सी चाहत, जिसकी लालसा हमेशा बनी रहती है.	ఒక చినన విషయానని మనమంతా గాఢంగా కాంకషిసతాం.
वे परवाह नहीं करते. और वे मारियो को मेरी तरह नहीं जानते.	వాళలు పటటించుకోరు. నా అంతగా మారియో వాళలకు తెలియడు.
मैं और तुम एक साथ चलेंगे.	కలిసి ఈ పరపంచమంతా తిరుగుతాం.
एरिक ने कहा था कि मारियो की चाबियाँ दरवाजे पर लटक रही थीं.	మారియో తాళాలు తలుపు ముందు వేలాడుతుననాయని ఇంతకుముందే ఎరిక చెపపాడు.
आपसे जयादा जीतने का हकदार कौन है?	గెలిచేందుకు మీ కంటే ఎవరికి అరహత ఉంది?
ठीक है, मोहतरमा. लुपीटा.	సరే, మహిళా. లుపిటా. లుపిటా.
जब तक आप यहाँ हैं, ओक सपरिंगस कभी खतम नहीं होगा.	సరే, నువవు ఇకకడుననంత కాలం, ఓక సపరింగస ఎపపటికీ చనిపోదు.
यह हमारा घर है. ओक सपरिंगस.	ఇది మన ఇలలు. ఓక సపరింగస.
हम अब भी यहाँ हैं.	మనం ఇకకడే ఉననాం.
अब, रुको जरा. हमें नहीं पता है कि वह गोरा है.	అరె, ఆగండి. అతను తెలలవాడని మనకు తెలియదు.
कया हमें भी खेलना चाहिए?	మనం కూడా ఆడాలని అనుకుంటావా?
कि मैं नाकारा हूँ.	నేను ఓడినదానిలా.
पलीज, लुपीटा, फिर से शुरू मत हो जाना, ठीक है?	దయచేసి, లుపిటా, మళలీ మొదలుపెటటకు, సరేనా?
वह बंदा साँप है.	వాడు ఒక తరాచుపాము.
काश मुझे थोडा पैसा मिल जाए.	నాకూ కొంత డబబు దొరికితే.
पलीज. हम पुलिस वालों की बातों का भरोसा कब से करने लगे?	ఊరుకో. పోలీసులు చెపపేది ఎపపటి నుంచి నమముతుననావు?
लुपीटा, मुझे बताइए आप कहाँ हैं, मैं आपको लेने आता हूँ.	లుపిటా, ఎకకడుననావో చెపపు, నేను వచచి తీసుకెళతాను.
माँ को खरीद पाओगे?	మీ అమమను తేగలవా?
हालाँकि, वह अंत तक मुसकुराती रही थी.	ఆమె చివరి వరకూ నవవుతూ ఉననా కూడా.
-मिसटर बिगस बिंगो! -बस करो.	-మిసటర బిగస బింగో! -ఆపు.
नहीं, मुझे लगा कि मारियो को इतनी सारी मुसीबतें झेलनी पडीं. . .	లేదు, మారియో గురించి తెలిసింది, అతను అవననీ భరించాక. . .
ठीक है, देवियो. अगली बार. आओ चलें, मॉरिस, बीयर ले लो.	సరే, మహిళలూ. మరుసటిసారి. పద, మోరిస, బీర తీసుకో.
कया पता ऐसी हालत में उसकी मानसिक दशा कैसी होगी.	అలాంటిది నీకు జరిగితే ఏమవుతుందో నేను కనీసం ఊహించలేను.
और इतनी मुसीबत में फँसने के बावजूद?	ఇంకా వాడు తెచచుకునన ఆ సమసయ మరి?
तुम जो नए कपडे लाई हो, उनहें वापस कयों नहीं कर देती?	నువవు తెచచిన ఆ కొతత బటటలు వెనకకు తీసుకోవచచుగా?
पर अभी भी देर नहीं हुई है.	కానీ ఇంకా ఆలసయం కాలేదు.
डोलोरेस, हमें रहने के लिए कयों बुलाया?	మరి మమమలని ఉండమని ఎందుకు పిలిచావు, డోలొరెస?
एक ऐसी चाहत, जो कभी पूरी ही नहीं होती.	అందుకోలేని నెరవేరని ఓ చిరకాల సవపనం లాంటిది.
अचछे से पेश आओ.	జాగరతతగా మాటలాడు.
पैसा. यही बात है.	డబబు. అంతే కదా.
तुम सुन रही हो?	నా మాట వినబడిందా?
हम कल के बारे में बात कर सकते हैं? मेरा ऐसा इरादा नहीं. . .	మనం నిననటి విషయం మాటలాడదామా? నా ఉదదేశం అది కాదు. . .
पता है कया देखता हूँ? मुझे सपने दिखते हैं.	నేనేం చూశానో తెలుసా? సవపనాలను చూశాను.
जबकि उस कमीने को बिजली का तार तक पहचानना नहीं आता.	కరెంట వెరుకు, తాడుకు తేడా తెలియని వెధవ వాడు.
मैं टैग नहीं निकालती और काम होने पर वापस करती हूँ.	టయాగలు అలాగే ఉంచి, నా పని అయయాక తీసుకెళతాను.
चाहे आप कितने भी खुश हों,	ఎంత సంతోషంగా ఉననా సరే,
ओक सपरिंगस के लोगो, मुझे बताइए, कया आप नाकारा हैं?	ఇపపుడు, చెపపండి, ఓక సపరింగస, మీరు పరాజితులా?
ओक सपरिंगस के लोगो, मुझे बताइए, कया आप नाकारा हैं?	ఇపపుడు, చెపపండి, ఓక సపరింగస, మీరు పరాజితులా?
कीमती पतलूनों वाला मारियो भी तेल बदलवाने के लिए नहीं दिखा.	పాత షోకులరాయుడు మారియో కూడా ఆయిల మారపు కోసం రాలేదు.
रंगने वाले घटिया सलून और हर जगह की कॉफी की घिनौनी दुकानें.	రంగులు పూసే సెలూనలు, పిచచి కాఫీ షాపులే అంతా ఉననాయి.
तो, कयों न हम उसके भूलने की बात को नजरअंदाज कर दें?	అందుకే, అతను అలసతవంగా ఉండే విషయం మనం వదిలేసతే ఎలా ఉంటుంది?
लुपीटा, तुमहें पता है न कि वह आदमी बूढा है.	లుపిటా, ఒకవేళ నువవు గురతించకపోతే, అతను ముసలివాడు.
माफ करना. मजाक करने के लिए छह महीने का वकत कम है.	కషమించు. జోకులు వేయడానికి ఆరు నెలలు తకకువ సమయం అనుకుంటా.
हँसी उडा लो, गारगोइल.	నవవుతావులే, నీ బొంద, ఇక.
कयोंकि मेरा पोता सडक पर रहे, इसकी चिंता से	ఎందుకంటే నా మనుమడు రాతరిపూట రోడల మీద తిరుగుతాడని
जबकि हरदम अपनी औकात से बाहर के कपडे	అయినా ఎపపుడూ షాపింగ వెళలి బటటలు కొంటావు,
तुमसे पयार है.	నువవంటే నాకిషటం.
अगर मारियो बेचना चाह रहा है. . .	మారియో అమమాలని చూసతుంటే. . .
हम नहीं खेलेंगे.	మనం ఆడడం లేదు.
आप सभी का सवागत करते हुए	ఈ గొపప ఆరంభానికి. . .
एक नई जिंदगी से.	ఓ కొతత జీవితం.
एक नई जिंदगी से.	ఓ కొతత జీవితం.
एक नई जिंदगी से.	ఓ కొతత జీవితం.
कि तुमहारे पीछे-पीछे बैटमैन और रॉबिन बनती फिरूँ.	నీ వెనుక తిరుగుతూ బయాటమాన, రాబిన ఆడేందుకు.
उन गिरोहों को चुटकियों में बाहर कर दिया.	ఆ చెతత గయాంగులను అలా పరిగెతతించారు.
हे. . .	ఓరి. . .
डोलोरेस, अगर तुमने मारियो की हालत देखी होती. . .	డోలొరెస, మారియోకు ఏమయిందో నువవు చూసతే. . .
-बहुत देर हो चुकी. -चलो.	-ఆలసయమెంది. -నాతో రా.
तुमहें वह नहीं ले पाएगा.	వాడిని తీసుకెళనివవను.
-मैंने कुछ नहीं लिया. . . -कुछ अचछा मिला?	-నేనేం తీసుకోలేదు. . . -ఏదెనా మంచిది దొరికిందా?
डोलोरेस, मैं यह बकवास और नहीं सुन सकती!	డోలొరెస, ఇక నేను ఇదంతా మాటలాడలేను.
चलिए, तालियाँ हो जाएँ, ओक सपरिंगस!	అభినందించండి, ఓక సపరింగస! అభినందించండి!
आज रात और बडे इनाम - और बडा जैकपॉट	ఈరోజు రాతరి పెదద బహుమతులు - పెదద జాకపాట
तुम समझ नहीं पा रहे. मुझे यह करना होगा.	నీకు అరథం కాదు. నేనిది చేయాలసిందే.
देखिए, इसने मुझे कैसे बदल दिया.	ఆమె నననెలా మారచిందో చూడండి.
थोडे और बूढे, थोडे और खूसट,	కాసత వయసు పెరిగి, కాసత పెంకిగా,
अपने पागल दोसत को उस वाली दुकान में जाकर मिलो.	పకక దుకాణంలో ఉనన నీ తికక నేసతానని కలువు.
यह तो पकका है कि यहाँ रहने वालों की नहीं होगी.	అది ఇకకడ ఎవరిదీ కాదని కచచితంగా చెపపగలను.
आपका कया मानना है, जान?	నీ సంగతేంటి, బంగారం?
मैं अमीर हूँ, कमीनी!	ధనవంతురాలినే, చెతతమొహం!
तो आप में से कौन लखपति बनने का हकदार है?	ఇపపుడు, మీలో ఎవరికి కోటీశవరులు అయయే అరహత ఉంది?
मैंने अपने लिए बस इतना चाहा था कि. . .	నాకోసం నేను ఎననడూ కోరుకుననది. . .
कलैरेंस, इस खटारा को दुरुसत करना कब बंद करोगे?	ఈ పాత డబబారేకులపె పని చేయడం ఎపపుడు ఆపేసతావు, కలారెనస?
इसे बेच दिया.	దీనని అమమేశాను.
भगवान, अगर आप सुन रहे हैं, तो इस पागल औरत को थोडी अकल दीजिए.	పరభూ, నువవు గనక వింటుంటే, ఇకకడ కింద ఓ పిచచావిడ ఉంది.
ओक सपरिंगस में उममीद दिखती है.	ఓక సపరింగస సామరధయం చూశాను.
मुझे माफ कर दो.	ననను కషమించు.
हम सब, सभी लोग.	మనం, వయకతులం.
-तो यहाँ तैयारी के लिए आई हैं? -बेशक.	-అయితే, ఏరపాటు ఇకకడేనా? -అంతేగా.
एक मिलियन डॉलर का इनाम	మిలియన డాలరల బహుమతి
तुमहें कितनी परेशानी हुई. और अब, यह.	అది నీకు ఎంత బాధో. ఇపపుడు, ఇది.
-कमीने. -अब कौन किस पर भारी है?	-వెధవ. -ఇపపుడు నీ అంతు చూసేది ఎవరరా?
-पलीज, योलांडा. -चलो भी.	-పలీజ, యొలాండా. -రా, రా, రా.
ठीक है?	సరేనా?
-अचछी है, माँ. -शुकरिया.	-చాలా బాగుందమమా. -ధనయవాదాలు.
ताकि घुल-मिल जाएँ.	అదీ, కలిసిపోవడం కోసం.
दर हजार डॉलर	పది వేల డాలరలు
ठीक है?	సరేనా?
एक लाख डॉलर.	ఒక లకష డాలరలు.
कुछ नहीं. न पैसा, न परिवार और न कोई भविषय.	ఏమీ లేదు. డబబు లేదు, కుటుంబం లేదు, భవిషయతతు లేదు.
मेरे लिए गाओ, जान.	నాకోసం పని చెయ, బేబీ.
योलांडा के लिए	యొలాండా కోసం
मैंने कहा न कि मुझे अफसोस है. कम से कम कोई मरा तो नहीं.	మననించమని చెపపాను. నేనేమీ ఎవరినీ హతయ చేయలేదుగా.
मेरे, तुमहारे और हर किसी के दरवाजे पर चिपका है!	నా తలుపు మీద, నీ తలుపు మీద, అందరి తలుపుల మీద అంటించారు!
उस बिंगो वाली नई जगह पर एक बडा इनाम जीता.	మా అమమ భారీగా గెలవడంపె మా బామమ మాటలాడడం విననాను.
और आप में से हर किसी के बडे-बडे सपने हैं.	మీలో పరతి ఒకకరికీ పెదద కలలు ఉననాయి.
-गलियारे में. . . -ए. गहरी साँस लो.	-ఆ హాలు మారగంలో. . . -హేయ. ఊపిరి పీలచుకో.
-केलब! आओ, चलें! -आया, हद है!	-కేలెబ! వెళదాం పద! -వసతుననా, అబబా!
नहीं. हम उसके घर नहीं चलेंगे!	లేదు. మనం అతని ఇంటి దగగర ఆగడంలేదు!
आपने कहा था, कुछ वकत तक रहना होगा.	మనమికకడ కొంతకాలమే ఉంటామననావు.
तुमने उससे छुटकारा पा लिया?	దానిని వదిలించుకుననావా?
-तुम उसे और खराब कर दोगे. -हो गया!	-నువవు ఇంకా చెడగొటటడం ఖాయం. -ఇదుగో చూడు!
ऐसा कभी नहीं कहा.	నేనెపుడూ అలా అనలేదు.
इसीलिए लुपीटा को इस जगह को लेकर इतनी चिंता रहती है.	అందుకే లుపిటా ఇరుగు పొరుగు వారిని కంటికి రెపపలా కాపాడుతుంది.
मैं कया कह सकती हूँ?	నేను ఏం చెపపగలను?
और ऐसा महसूस करने वाला वह अकेला नहीं है.	అలా అనుకునేది కేవలం అతనొకకడే కాదు.
हमेशा विजेता बनो.	ఎపపుడూ విజేతగా ఉండు.
-मैं लडने नहीं आई, यार! -आओ.	-శాంతి కోసం వచచానమమా! -లోపలకు రా.
यह कया. . .	అసలు ఇది. . .
रसद की अलमारी	సరుకుల అలమర
मारियो, तुमने यह कया किया?	మారియో, నువవేం చేశావు?
तुम ऐसा फिर से कह सकते हो.	నువవు అది మళళీ అనవచచు.
तुमहें अपनी माँ नाकारा लगती है? तुमहारे पापा बिना जी नहीं पाऊँगी?	మీ అమమ పరాజితురాలు అనుకుంటావా? మీ నానన లేనిదే బరతకలేనా?
वह सवाद हमेशा बना रहता है.	ఆ రుచి, ఆ రుచి శాశవతం.
तो कया फिर ओक सपरिंगस किसी समंदर किनारे बस सकता है?	అయితే, ఎపపుడెనా ఓక సపరింగస బీచకు వెళుతుందా?
मुझे तुमसे पयार है.	నువవంటే నాకిషటం.
कैसी हो, लुपीटा?	ఎలా ఉననావు, లుపిటా?
-ए, मॉरिस! -कया?	-అరె, మోరిస! -ఏంటి?
कया वह राकेल है?	అకకడుననది రకేల కదా?
कोई बात नहीं, केलब.	పరవాలేదు, కేలెబ.
अपने बाल काटने दिए थे, तो कया हुआ था.	కాసత కషవరం చేసినపపుడు ఏం జరిగిందో మరిచిపోకు.
तुम अचछे-खासे बेकन को जलाने के बाद भी. . .	నా చకకని మాంసం ఎలా మాడుసతావు, ఇంకా అదే సమయంలో. . .
पैसा सब कुछ नहीं है, यार.	డబబు నిజం కాదు, బాబూ.
तुम हम सबके लिए जो भी करती हो, मैं उसकी सराहना करती हूँ,	ఇకకడ మనందరి కోసం నువవు చేసే పనిని అభినందిసతాను,
मैं कुछ ऐसा करना चाहती थी जिससे कि मैं आपको शुकरिया. . .	నా పరశంసలను చాటడానికి ఏదెనా చేయాలనుకుననాను. . .
यहाँ मिसटर बिगस बिंगो में केवल बडे इनाम ही हैं.	సరే, ఇకకడ మిసటర బిగస బింగోలో, చాలా పెదద బహుమతులే ఉననాయి.
मैं पूरी जिंदगी तुमहारे साथ लडती आई हूँ. हम सभी लडे हैं.	నా జీవితమంతా నీతో కలిసి పోరాడాను. మనమంతా చేశాం.
आज रात कितना पैसा इकटठा हुआ है?	మనం ఈ రాతరి ఎంత సేకరించాం?
सिकके कौन दान कर रहा है? मॉरिस?	విరాళాలు ఇసతుననారు? మోరిస?
फरक नहीं पडता कि कहाँ जाते हैं.	మనం ఎకకడికెళలినా పరవాలేదు.
मुझे तो अपने बाप की तरह ही लग रहा है.	నాకు వాళల నాననలాగే అనిపిసతోంది.
-जुबान संभालकर. -बस यूँ ही कह रहा था.	-సరిగా మాటలాడు. -ఊరికే అంటుననా.
शायद वह उस जंग को लडते-लडते थक चुका था, जिसको लेकर उसे पता था कि वह हार चुका है.	తను ఇపపటికే ఓడిపోయానని తెలిసిన యుదధంలో పోరాడి అతను అసలిపోయి ఉంటాడు.
मैं राकेल से केलब की माँ बनकर रह गई.	రకేలగా ఉండడం నుంచి కేలెబ తలలిగా మారిపోయాను.
पयार के साथ, ओक सपरिंगस की ओर से. चलो भी, हमें तुमसे पयार है!	పరేమతో, ఓక సపరింగస నుంచి. రా, నువవంటే మాకెంతో ఇషటం!
दादी, कोई मदद चाहिए?	ఏంటి బామమా, సాయం కావాలా?
सवेरे-सवेरे मॉरिस कहाँ मर गया?	పొదదుననే ఆ మోరిస బండోడు ఎకకడ చచచాడు?
हैलो, जान.	హలో, బంగారం.
भगवान, जिनहें नहीं बदल सकता, उनहें शांति से अपना सकूँ,	దేవుడా, నేను మారచలేనివి అంగీకరించే పరశాంతతను,
अपना फोन दिखाओ.	నీ ఫోన చూసతా ఇవవు.
थोडा फुरसत के साथ आराम करने की जरूरत है.	విరామం కోసం సమయం కేటాయించి ఓసారి విశరాంతి పొందు.
आई-26.	ఐ-26.
मैं कपडे पहले ही वापस कर चुकी.	నేను బటటలు తీసేసుకుననాను.
राकेल.	రకేల.
-नाकारा? -नहीं!	-పరాజితులా? -కాదు!
आप इतने पैसे जीत सकती हैं कि उस नई जिंदगी को दस बार खरीद सकती हैं.	ఆ కొతత జీవితానికి అవసరమెన డబబుకు 10 రెటలు గెలుచుకోగలరు.
देखते हैं कि आपने कया जीता है.	నువవు ఏం గెలిచావో చూదదాం.
हाँ, वह बहुत पहले चली गई.	అవును, తను ఎపపుడో పారిపోయింది.
केलब?	కేలెబ?
तुमने कुछ आराम किया?	విశరాంతి తీసుకుంటుననావా?
वह मेरे भाई जैसा था.	తను నా సోదరుడిలాంటివాడు.
केलब?	కేలెబ?
केलब?	కేలెబ?
केलब!	కేలెబ!
मुझे लगा कि एक इलाका और समुदाय	ఒక ఇరుగు పొరుగు, ఒక సమాజం
अरे, नहीं.	అరె, కుదరదు.
अब कया होगा?	ఇపపుడేంటి?
मुझे पता है कि तुम अंदर हो! मारियो!	లోపలే ఉననావని తెలుసు! మారియో!
-यह मेरी दिककत है. . . -देखो!	-ఇది నా సమసయ. . . -చూడు!
दौरा पड रहा है, मोहतरमा?	ముసలీ, నీకు గుండె పటటేసతోందా?
हम सब में वह चाहत होती ही है,	మన అందరిలో ఓ విషయం ఉంది,
आप हमें रोज परेरणा देती हैं. दादी, आपसे पयार है.	మాకు పరతిరోజూ సఫూరతి ఇసతావు. నువవంటే ఎంతో పరేమ బామమ బిబిస.
ओक सपरिंगस में सवागत है	ఓక సపరింగసకు సవాగతం
मेरे बेटे ने उस गोरी कमीनी में कया देखा, मुझे कभी समझ में नहीं आएगा.	ఈ సననాసి దానిలో నా కొడుకు ఏం చూశాడో, నాకెపపటికీ తెలియదు.
ठीक है, मुझे जयादा वकत नहीं लगेगा.	అలాగే, ఇక, ఎకకువ సేపు చేయను.
पर मैं गलत थी.	కానీ నా మాట తపపు.
मुझे माफ कर दो, मैंने तुम सबको यहाँ इतना रोककर रखा.	మిమమలని ఇంతకాలం ఉంచినందుకు ననను కషమించండి.
तुम दोनों ही जिददी कमीने हो.	మొండి వెధవలు, మీరిదదరూ.
आज रात तुम दोनों से मिलूँगा.	రాతరికి కలుదదాం మహిళలూ.
-पर नहीं. -मैं ठीक कर दूँगा.	-వదదులే. -నేను చేసతాగా.
आप और बाकी के बूढे लोग.	నువవు, మిగతావాళలు పరాచీనులు.
मारियो को गए एक दिन हुआ नहीं	మారియో ఒకక రోజు లేడంతే,
जैसा कि मेरे पापा ने कहा था.	అచచం మా నానన చెపపినటలే.
मैं नई जगह से अचछी वाली लाई हूँ.	ఆ కొతత చోటు నుంచి మంచి సరుకులు తెచచాను.
वह कमीनी.	ఆ సననాసిదే.
हे भगवान.	ఓరి దేవుడా.
उसे अभी भी लगता है कि योलांडा की डरायर वाली कुरसी दुरुसत कर लेगा.	ఇంకా యొలాండా డరయర కురచీని బాగుచేయగలనని అనుకుంటుననాడు.
धत तेरे की! कमी. . . हे भगवान! मेरी तो जान निकल गई थी.	ఛ! దరిదరపు. . . అబబా! ననను దాదాపు చంపేసింది.
जब मैं आपके इस खूबसूरत समुदाय को देखता हूँ,	మీ అందమెన సమాజం అంతటినీ చూసతుననాను,
निःशुलक पुसतकालय	ఉచిత గరంథాలయం
यह खुशकिसमत है कि बाल सुधार गृह में कैद नहीं है.	పిలలల జెలులో బందీ కాకపోవడం వాడి అదృషటం.
हे भगवान, राकेल.	దేవుడా, రకేల.
लुपीटा, कया हुआ?	లుపిటా, ఏంటి?
एकदम बेहतरीन.	దాదాపు పరిపూరణం.
कलैरेंस कहाँ है?	కలారెనస ఎకకడ?
लुपीटा, वफादारी की वजह से तुमहारे साथ टिका रहा, समझी?	నేను నీకు నమమకంగా ఉననాను, లుపిటా, అరథమెందా?
तुम यह मानने के लिए तैयार ही नहीं थी.	అది ఒపపుకోవడంలో నీకు మొండితనం.
मेरी बात समझ रही हैं?	చెపపేది అరథమెందా?
किसके नहीं होते? सही कह रहा हूँ न?	నా ఉదదేశం, ఎవరికి ఉండవు? నా మాట నిజమే కదా?
कल रात फिर आइएगा.	రేపు రాతరి మళలీ రండి.
तुम तो जानती हो कि उसे अब भी रसोई में रखती हूँ.	దానని వంటగదిలోనే పెడతానని నీకు తెలుసు.
ऐसा नहीं हो सकता कि मारियो ने बिजली का बिल न भरा हो.	ఇదంతా మారియో తన కరెంట బిలలు కటటలేదని కాదు.
नहीं, तुमने ऐसा नहीं किया.	లేదు, నువవలా చేయవదదు.
मुझे पता है कि ठीक से न सोने पर तुम कैसी हो जाती हो.	నువవు నిదర పోకపోతే ఎలా ఉంటావో నాకు తెలుసు.
तुमने सही कहा था, डोलोरेस.	నీ మాట నిజం, డోలొరెస.
एरिक, लुपीटा बोल रही हूँ. तुमहारी मदद चाहिए, बेटा, तुरंत!	ఎరిక, నేను లుపిటాను. నీ సాయం కావాలి, బాబూ, రా!
शायद किसी कमीने अमीरजादे की होगी.	బహుశా ఎవరో డబబుతో బలిసినవాడిది అయుంటుంది.
वादों को बंधन की तरह इसतेमाल करते हैं, न?	కటటిపడేసే పరమాణాలు చేసతాం, సరేనా?
लुपीटा, हममें से कोई भी अब पहले जैसा नहीं रहा.	లుపిటా, మనలో ఎవరమూ గతంలో ఉననటలు లేము.
पता नहीं उसने कितनी बार मेरे बेटे को छोडा था,	అది నా కొడుకును వదిలేసి, ఎననిసారలు పారిపోయిందో లెకకలేదు,
