वाह!	భలే!
शबदों की तुकबंदी करके जोडना जैसे वे गलॉमरॉक यानि चुंबकीय पतथर हों	అనేక పరాసలు తీసతాను అవి అయసకాంతాలతో చేయబడినటటు కలుసతాయి
मुझे हो रही है थोडी घबराहट	నాకు కొంచెం భయంగా ఉంది
एकदम बढिया.	ఇది భలే ఉంది.
तुम तो वह पारक वाले परतिभाशाली पराणी हो.	నువవు పారక లో నేను చూసిన టయాలెంట ఉనన వయకతివి.
पर मुझे महसूस होती है. . . पता नहीं, बेचैनी बहुत से अजीब एहसास मुझे महसूस हो रहे हैं	కానీ నేను. . . ఏమో, తటటుకోలేకపోతుననా నాకు చాలా వింతెన ఫీలింగస వసతుననాయి
माफ करना. मेरा धयान उसकी बात पर चला गया था.	కషమించు. వారు చెపపేది విని దీని మీద దృషటి పెటటలేదు.
आपको खुशी नहीं हो रही कि मैं यह पेशेवर तरीके से नहीं करूँगा?	నేను ఈ పనినే వృతతిగా చేయబోయేది లేదు అని తెలుసుకుని సంతోషంగా లేదూ?
यह है ऑरब नामक हमारा गरह थोडा सा एक ओर झुका हुआ है	ఇదుగోండి మా పరపంచం ఇది కాసత వంపుగా ఉంటుంది
जब तुम ऐसा करते हो, तो तुमहें अपने चारों ओर जयादा आशावादी चीजें नजर आने लगती हैं.	అలా చేసినపపుడు, మన చుటటూ ఎననో విషయాలు సానుకూలంగా ఉననటటు చూడగలుగుతాం.
यह देखो, यहाँ मैं कुछ माँगूँगा.	ఇదుగో, నేను ఒక కోరిక కోరుకోబోతుననాను.
मेरे जीवनदाता घूमते रहने वाले सेलसपराणी थे,	మా పరాణదాత ఒక టరావెలింగ సేలస ఉదయోగి,
तो, मैं पराकृतिक चितर बनाने के अपने शौक को पूरा करने यहाँ चला आया.	కాబటటి, నా అభిరుచెన పరకృతి కళ పెయింటింగ వేయడానికి వారితో పాటు నేను కూడా వచచాను.
और इतनी घबराहट पैदा कर लेना कि उलटी आ जाए.	గురికావడం ఎంతెనా చాలా సులభం కాబటటి.
अचछा.	అలాగా.
तुकबंदी! - म	పరాస! - ఎం
बिलकुल नहीं.	ఏం పరలేదు.
जानता हूँ.	నాకు తెలుసు.
और आवाज से हो, तो तुमहें यही करना चाहिए.	నువవు ఆ పని చేయాలి అనుకుంటే, నువవు ఆ పనే చేయాలి.
कयोंकि जयादा आसान है सोच-सोच कर खुद को आगे बढने से रोकना	ఎందుకంటే మనకు మనమే అడడుపడుతూ తటటుకోలేనంత ఆందోళనకు
या मैं नए पराणियों से मिलकर और ऑरब पर नई जगहें देखकर खुश हो सकता हूँ.	లేదా కొతత జనానని కలుసతాను, పరపంచంలో ఉనన కొతత పరదేశాలను చూసతాను అని సంతోషపడొచచు అని.
कया इसे अचछा पहलू देखना कहते हैं? मुझे सच में समझ नहीं आया.	ఇదేనా నీ సానుకూల దృకపధం? నాకు నిజంగా తెలీడం లేదు.
लगता है यहाँ पर कुछ समय के लिए रहोगे या ऑरब पर और नई जगहें देखने निकल जाओगे?	ఇకకడే కొంత కాలం ఉంటావా లేక పరపంచంలో ఉనన మరినని కొతత పరదేశాలను చూడడానికి వెళళిపోతావా?
शायद. मतलब, मुझे अपना काम पसंद है.	వదిలేసతానేమో. అంటే, నాకు నా ఉదయోగం ఇషటమే.
आखिरकार तो बारिश को आना ही पडेगा. जीने के लिए वह जरूरी है.	వరషం పడకుండా ఉండదు కదా. మన మనుగడకు అది తపపనిసరి.
मैं इसके आगे कहूँगा और इसे और बेहतर बनाऊँगा	నేను దానిని పటటుకుంటాను దానిని చాలా మృదువుగా చేసతాను
मैंने वहाँ की एक शिकषासंसथा में आवेदन दिया है.	నేను అకకడ ఉనన ఒక కాలేజీకి అపలె చేశాను.
जैसे कि धनिया पतता?	ఒక కొతతిమీర ఆకులాంటిదా?
मेरे विचार में मैं कुछ समय तो यहाँ रहूँगा.	ఇకకడే కొంతకాలం ఉందాం అనుకుంటుననాను.
तुमहारा कोई पसंदीदा है?	నీకు బాగా నచచేది ఏదెనా ఉందా?
हमें बस इतना पता है हम जीवित हैं	మనం పరాణాలతో ఉననామని మాతరమే మనకు తెలుసు
अपने इस निशान पर सितारे की सीधी रोशनी मत पडने देना.	మీ పచచబొటటుకు నేరుగా ఎండ తగలకుండా చూసుకోండి.
मैं बस. . . मैं सारा समय यहाँ काम करते नहीं रहना चाहता.	నేను. . . నాకు ఎపపటికీ ఇకకడే పనిచేయాలని లేదు.
कितना अचछा!	భలే ఉంది!
हमारे सयाही के निशानों ने बरग में होने वाली कुछ	ఈ ఊరిలో చోటుచేసుకునన ఎననో ముఖయమెన సందరభాలను మన పచచబొటలు
मैंने सीखा है कि जीवन की कषणभंगुरता से मेरी घबराहट कम होने में मदद मिलती है.	మనది కషణిక కాల జీవితం అని తెలుసుకోవడం నా ఆందోళనను తగగించడానికి సాయపడుతుంది అని తెలుసుకుననాను.
-मुझे घबराहट होती है. -जैसे कि?	- తలచుకుంటే భయంగా ఉంటుంది. - ఎలాంటివి?
साथ ही, तुमहें हमेशा याद रहता है कि मुझे धनिया पतता पसंद नहीं है.	అంతేకాక, నాకు కొతతిమీర అంటే నచచదు అని అససలు మరచిపోవు.
पर तुम कितनी होशियार हो. तुमहें और कया सीखना है?	కానీ నువవు తెలివెన వయకతివి. నువవు ఇంకా చదవాలసిన పని ఏముంది?
और मेरे सुपर-सुपर-जीवनदाता ने उस उपलबधि को याद रखने के लिए उसे निशान दिया.	అలాగే మా ముతతాత ఆ ఘనకారయానికి గురతుగా ఆయనకు పచచబొటటు వేశారు.
सुरकषित पथ पर चलने का लालच जरूर है	రిసక లేని మారగం ఎంచుకోవాలని ఆశగానే ఉంటుంది
हाँ. मैंने अभी बनाया.	అవును. నేనే చేశా.
तुमने सब सुना है.	నువవు నా మాట విననావు.
कया तुम फिर कभी मेरे साथ बाहर जाना चाहोगी?	అయితే మరొకసారి ఎపపుడెనా మనం ఇలా కలిసి బయటకు వెళదామా?
कोई बात नहीं. मैं एक निशान बनवाना चाहता हूँ. हमारे साथ बिताए समय की याद में.	అదేం పరలేదు, నాకు ఒకటి కావాలి. మనం కలిసి గడిపిన సమయానని నేను పదిలం చేసుకోవాలి అనుకుంటుననా.
तुमहारे पास इतना अनुभव है. और तुम अपने काम के परति इतनी निषठावान हो.	నీకు చాలా అనుభవం ఉంది. అలాగే గొపప కరమశికషణ ఉనన వయకతివి.
तुमहें वे हालात हमेशा याद रहेंगे जिनके कारण तुमने वह लगवाया था.	దానికి కారణమెన సందరభాలను మనం తపపకుండా గురతుంచుకుంటాం.
मुझे माफ कर दो. तुमहें सच में सयाही का निशान लगवाने की जरूरत नहीं है.	కషమించు. నువవు ఖచచితంగా పచచబొటటు వేయించుకోవాలసిన పనిలేదు.
हैलो!	హాయ!
हैलो.	హాయ.
मैं अपने जीवनदाताओं को गलत साबित करूँगा.	నేను నా అమమానాననలు అనుకునేది తపపు అని నిరూపించాలి.
परकाशित मशीन यानि कमपयूटर के सामने बैठकर नंबरों की	కంపయూటర ముందు కూరచొని దానిలో నంబరలు ఎంటర
शायद?	ఏమో?
कया?	ఏంటి?
-हाँ, शाबाश, पराणी. -शानदार.	- అవును, అదరగొటటు. - దానిని తీసుకో.
धनिया पतता कयों?	మరి కొతతిమీర ఎందుకు?
मुझे भी.	నేను కూడా.
मुझे भी.	నాకు కూడా.
कया?	ఏంటి?
यह शायद यथारथवादी न हो पर इसी से हमें आशा मिलती है.	ఇలా అనుకోవడం వాసతవికం కాకపోవచచు, కానీ ఇదే మనకు ఆశను పుటటిసతుంది.
आजीविका कमाने के लिए मैं बहुत से काम कर सकता हूँ,	నేను డబబు కోసం చేయగల పనులు చాలా ఉననాయి,
हम यह उलझाने वाली बातचीत कुछ समय बाद जारी रखेंगे.	ఈ తికమక సంభాషణను మనం తరవాత కొనసాగిదదాం.
पर सभी घिनौनी चीजें भी असथायी होती हैं.	కానీ అలా నచచనివి కూడా జీవితంలో ఎంతెనా తాతకాలికమే.
इससे पहले कि वह मुझे घूर-घूर कर सजा दे.	అది నావెపు కోపంగా చూడకముందే దానికి తిండి పెటటాలి.
हालाँकि इन उपनयासों में वासतविकता नहीं होती,	ఈ నవలస పెదద వాసతవీకమెనవి కాకపోయినా,
तो मानता हूँ यह बहुत अजीब एहसास है.	కాబటటి ఈ ఫీలింగ కొతతగా ఉందని ఒపపుకోవాలసిందే.
तुम एक दिलचसप पराणी हो.	నువవు భలే ఆసకతికరమెన వయకతివి.
उप-शीरषक अनुवादक: मृणाल	సబ టెటిలస అనువదించింది: జోసెఫ
गुलाबी थरथराता जीव उस समय का परतीक है	పింక రంగులో ఉండే పిలలి నేను చేయాలసిన పని మీద
पर मैं उसके बारे में सोच सकता हूँ अगर इसका मतलब है हम साथ में समय बिताना जारी रखेंगे.	కానీ మనం కలిసి సమయం గడపగలం అంటే వేయించుకోవడానికి నాకు అభయంతరం లేదు.
मैं अपने दोसतों और पसंद की शिकषासंसथाओं को छोडते रहने के कारण निराश हो सकता हूँ,	నేను నాకు నచచిన ఫరెండస, సకూలస ని వదిలేయాలసి వసతుందని బాధపడొచచు,
जब तुमने मेरे थरथराते जीव को गुलाबी कर दिया था,	నువవు నా పిలలికి పింక రంగు వేసినపపుడు
यह मुझे हर पल के आशावादी पहलुओं पर धयान देना सिखाता है.	పరతీ సందరభంలో ఉనన మంచి విషయం మీద దృషటిపెటటడానికి అది నాకు సాయపడుతుంది.
ताकि मुझे बाद में निराशा न सहनी पडे.	అపపుడెతే నిరాశపడాలసిన పని ఉండదు.
- तुमने कितने सयाही के निशान लगवाए हैं? - छः.	- నీకు ఎనని పచచబొటలు ఉననాయి? - ఆరు.
-हाँ. -वे तुमहारे जीवन के महतवपूरण पल चिहनित करते हैं.	- అవును. - అవి నీ మెలురాళలను గురతుచేసతాయి.
पता नहीं. शायद वह मुझे याद दिलाता है	ఏమో. బహుశా అది నాకు జీవితంలో
और मैं चाहता हूँ तुम अपनी कहानी दुनिया के सभी पराणियों के साथ सांझा करो.	అలాగే నువవు కూడా నీ కథను అందరికీ తెలపాలి అనేది నా కోరిక.
मैंने ढूँढ लिया. अब मुझे पता है मैं कया करना चाहता हूँ.	నాకు తెలిసింది. నేను ఏం చేయాలో తెలుసుకుననాను.
चलो, देखें जरा. मैं तुमहारे इस अंग पर, यहाँ, कुछ देख सकती हूँ.	అయితే ఒకసారి వెళలి చూదదాం. నాకు నీ చేతిమీద, బహుశా ఇకకడ ఒకటి వేయొచచు అనిపిసతోంది.
मैं इसे चलाता रहता हूँ यह समूहचालन कहीं रुकता नहीं है	నేను దానిని కదులచుతూనే ఉంటాను ఈ డానస ఆగదు
मुझे लगता है हो जाएगा.	నేను నమముతుననాను.
पर कया तुम एक गुलाबी थरथराता जीव बना सकते हो	కానీ మీరు ఒక పింక రంగులో ఉండే పిలలి నోటలో కొతతిమీర ఉననటటు
इसे इस पराणी के बारे में बताओ, जान.	వారికి వీరి గురించి కూడా చెపపు, బుజజి.
कोई बात नहीं.	ఏం పరలేదు.
आहार की दुकान	ఆహారం షాపు
ऐसा कहना आपकी मेहरबानी है.	అలా అనడం మీ మంచితనం.
काम पसंद के लिए नहीं किए जाते!	ఉదయోగాలు మనతో మాటలాడవు!
कया तुम हमें समझा सकते हो कि तुम कया करना चाहोगे?	మీకు నచచిన పనిని చేయడం అంటే ఎలా ఉంటుందో మాకు అరథమయయేలా చెపపగలరా?
अनंत सेनसेशंस	అనంతమెన అనుభూతులు
नहीं, धनयवाद.	వదదు, అవసరం లేదు.
और यह जयादा समय के लिए नहीं होगा तो अचछा होगा हम पैरों में नलियाँ डाल लें	అది ఎంతో కాలం ఉండదు కాబటటి ఈ పరపంచానని తిరిగి చూసతే మంచిది
मैंने एक बहुत जरूरी सबक सीखा.	నేను ఒక ముఖయమెన విషయానని నేరచుకుననాను.
आप हर गराहक को यह 20 बार बोलते हैं.	నువవు ఆ మాట పరతీ కసటమర కి ఒక 20 సారలు చెపతావు.
कि मैंने. . . खरीदा	ఆహ, నేను అది. . . కొననాను
यह फरीसटाइल है मैं यह कर सकता हूँ	ఇది ఫరీ సటెల నేను పాడగలను
बाहरी परत यानि तवचा पर चितरों और चिहनों के निशान लगाए जा सकते थे जो कभी नहीं मिटते थे.	శాశవతకాలం బొమమలు అలాగే చిహనాలను గీయడానికి ఒక మారగానని గురతించారు.
मुझे आज तुमहारे साथ दिन बिताकर बहुत अचछा लगा.	నీతో ఇవాళ గడపడం నాకు చాలా నచచింది.
यह तुमने बहुत अचछे तरीके से कहा, हाँ.	అంతకంటే మంచిగా వారి గురించి ఎవరూ చెపపలేరు, అవును.
नहीं. मुझे जाकर अपने थरथराते जीव को खाना देना है.	లేదు. నేను వెళలి నా పిలలికి ఆకలి వేసి
तुम सही हो. पर हमारी परंपरा कौन जारी रखेगा?	నువవు అననది నిజమే. కానీ మన సంపరదాయానని ఎవరు కొనసాగిసతారు?
हालाँकि, अंत में मैंने थोडी गडबड कर दी थी.	కానీ చివరలో సరిగగా పాడలేకపోయా కదా.
तुमने सयाही के निशानों के बारे में जैसे बताया है, उससे मुझे कुतूहल हो रहा है.	నువవు పచచబొటలను వివరించిన విధానం నాకు ఆసకతిని కలిగించింది.
इचछा तो नहीं है.	అపపుడే వదదు.
इसकी बात सुन लो. यह हो. . .	వారి మాటలు వినండి. వారు తెలివెన. . .
शायद दवि-छाया दिवस पर ताराघर में एक असली डेट पर?	బహుశా డబుల షాడో డే రోజున పలానెటేరియంకి ఒక నిజమెన డేట కి వెళదామా?
- सवागत है! कया तुमहें अपने अंग हिलाने पसंद हैं? - हाँ.	- సవాగతం! మీకు డానస వేయడం ఇషటమా? - అవును.
कया तुम वयसत हो? मेरे साथ आना चाहोगे?	నువవు బిజీగా ఉననావా? నాతో కలిసి వసతే బాగుంటుందేమో?
मुझे अचछी तरह सयाही का निशान लगाना नहीं आता और मुझे इससे संतुषटि भी नहीं मिलती.	నాకు పచచబొటలు వేయడం రాదు, అలాగే నాకు ఈ పని సంతృపతిని ఇవవదు.
जरूर आना चाहूँगा. हाँ.	నాకు కూడా రావాలని ఉంది. అవును.
और "दिलचसप" से मेरा मतलब है कि तुम अनूठे हो.	"ఆసకతికరం" అంటే నా ఉదదేశంలో నువవు చాలా వయతయాసంగా ఉంటావు అని.
पता है, मैं पूरा दिन तुमहारे यह पूछने का इंतजार करती रही.	తెలుసా, నువవు ననను ఇలా నేరుగా డేట కి రమమని అడుగుతావేమో అని రోజంతా ఎదురుచూశాను.
इसे दिन में दो बार साफ करना. अगली बार मिलते हैं.	రోజుకు రెండు సారలు కడుగుకోండి. మిమమలని మళళీసారి కలుసతాను.
पर फिर भी इनसे मुझे आशा मिलती है कि किसी दिन मैं भी किसी पराणी के साथ एक गहरा संबंध बना पाऊँगा.	నాకు కూడా ఏదొక వయకతితో ఒక బంధం ఏరపడగలదు అనన విషయంలో కొంత ఆశను ఇసతాయి.
सुनो, तुम मेरे साथ बैठोगे जब तक मैं यह सयाही का निशान खतम कर लूँ?	హేయ, నేను ఈ పచచబొటటు వేసతుండగా నాతో కూరచుంటావా?
जो मैंने उसकी चिंता करते हुए बिताया जो हो सकता था,	దృషటి పెటటకుండా ఆందోళన పడుతూ పరసతుతం
और अब ऐसा लग रहा है मानो किसी ने मेरे गाल पर मार दिया हो.	కానీ ఇపపుడు నాకు చెంప మీద కొటటినటటు ఉంది.
जबकि कभी और, वे अपनी शिकषासंसथा से छुटटी लेकर किसी दूर-दराज के दवीप में	అలాగే ఇంకొననిసారలు కాలేజీ సెలవులలో దూర పరాంతంలో ఉనన
तुम जब चाहो, यहाँ वापस आ सकते हो.	నీకు ఎపుడు ఇషటమెతే అపపుడు నువవు తిరిగి రావచచు.
मैं आशावादी पहलू पर धयान देना पसंद करता हूँ.	నేను పాజిటివ విషయాల మీద దృషటిపెటటడానికి చూసతాను.
देखा?	చూశావా?
मैं पहले से बेहतर हूँ पर अभी भी कुछ चीजों को लेकर	నేను అంత బాగా కంటరోల చేసుకోలేకపోయా, కానీ నాకు ఇంకా కొనని విషయాలను
हम बस यह कहकर बात खतम करते हैं कि, "यहाँ के दरवाजे तुमहारे लिए हमेशा खुले रहेंगे. "	"నీకు ఈ అవకాశం ఎపపటికీ ఉంటుంది" అని చెపపి ఇక ఈ వాదనను ముగిదదాం.
कयोंकि तुम सितारे से पहले बादलों को यानि खुशी से पहले दुःख को देखती हो?	సూరయుడిని చూడడానికి ముందు వరషపు మేఘాలు వసతాయి అనా?
लगता है, आज सुबह खडे-होकर-धोने यानि नहाने के बाद मेरे सिर में तरल बचा रह गया है	ఉదయం తలసనానం చేశాను కాబటటి నా తల ఇంకా తడిగానే ఉననటటు ఉంది,
मैं तुमहारी बात समझ रही हूँ	నువవు చెపపేది నేను అరథం చేసుకోగలను,
पता है, इतनी परिकरमाओं में, पराणियों को उनकी कहानियाँ सांझा करने में मदद करते हुए	తెలుసా, జనానికి తమ కథలను వయకతపరచడంలో ఇననేళలు గడిపిన తరవాత
पराणियों को उनकी कहानियाँ सांझा करने में मदद करते हुए,	జనానికి తమ కథలు పంచుకోవడంలో సాయం చేసతూ
मैं पराणियों को सयाही का निशान नहीं देना चाहता.	నాకు జనానికి పచచబొటలు వేయాలని లేదు.
मुझे ताजजुब हुआ कि इतना अचछा लगा.	నేను భలే సరపరెజ అయయాను.
मुझे लगता है यह उलटा पड गया.	అది తనకు నేను అనుకుననటటు అరథం కాలేదు.
केवल तभी अगर तुम चाहते हो.	నీకు ఇషటం అయితేనే.
तुमहें पकका दाखिला मिल जाएगा.	నీకు ఖచచితంగా వసతుంది.
और यह समझना	అలాగే ఏదీ కలకాలం
-अभिवादन. -अभिवादन.	- హలో. - హలో.
सयाही के निशान का जञान	పచచబొటటు యోలాజి
कि मेरे पास अभी भी कोई मुदरा बची भी है या नहीं.	ఏమెనా డబబు ఉందో లేదో చూసుకోవాలి.
शबदों की तुकबंदी पूरी रात	పరాస పదాలు ఆల నెట
कुछ भी सदा के लिए नहीं होता.	ఏదీ శాశవతంగా ఉండదు.
जानता हूँ, "अपने निशान पर सितारे की सीधी रोशनी मत पडने देना और इसे दिन में दो बार साफ करना. "	నాకు తెలుసు, "మీ పచచబొటటును ఎండ తగలనివవకుండా రోజుకు రెండు సారలు శుభరం చేయండి. "
हम जानते हैं तुम इसकी	నువవు వయాపారానని సొంతం చేసుకుని
जैसे कि गलती से कुछ ऐसा कर देने की	నీకు నాతో ఇక సమయం గడపడం
पर हमेशा मैं ही पहले कहीं से जाता था.	కానీ మొదటి నుండి ముందుగా ఒక చోటును వదిలి వెళళింది నేనే.
और यहाँ सयाही के निशान के सैलून में काम करने का कया?	మరి పచచబొటటు సెలూన లో పనిచేయడం సంగతి?
हाँ.	అవును.
माफी चाहता हूँ.	కషమించండి.
हई	హాయ
- मैं? - यह?	- నేనా? - ఈ వయకతా?
चिंता मत करो. यह दरद कुछ ही समय के लिए है, हालाँकि मेरा यहाँ काम करना कुछ समय के लिए नहीं है.	భయపడకు. ఆ నొపపి కూడా తాతకాలికమే, ఇకకడ ఉనన నా ఉదయోగంలా కాకుండా.
मुझे खुशी है मैंने यह कहा पर मुझे इसका अफसोस भी है	నేను ముందే చెపపినందుకు సంతోషంగా ఉంది కానీ నేను కూడా కొంచెం చింతిసతుననాను
पर चाहो तो आ सकते हो.	కానీ నీకు రావాలని ఉంటే రావచచు.
कया मुझे लगता है कि तरल के एक पातर में मुदरा की चकरिका फेंकने में	ఒక నాణేనని ఫౌంటెయిన లో వేయడం వలల మన కోరికలు
कल मिलते हैं.	నినను రేపు కలుసతాను.
इतना दरद सहना काम आ गया.	దాని కోసం ఈ మాతరం నొపపి అనుభవించవచచు.
मुझे सच में नहीं लगता मैं वापस आऊँगा.	నేను ఖచచితంగా రాకపోవచచు.
यह दिलकश है	దానికి ఆకరషణ ఉంది
जब तक मैं सारी अडचनें दूर नहीं कर लेता.	జనానికి ఇళళు అమముతుననాను.
मुझे चिंता हो रही थी कि मुझे ऐसा कोई काम नहीं मिलेगा जिसमें मैं अचछा हूँ.	నేను మంచిగా చేయగల పని ఏమీ ఉండదు ఏమో అని భయపడడాను.
जिममेदारी लेकर अगली कई परिकरमाओं तक इसे परिवार में ही रखना चाहोगे.	ఇంకెననో తరాల వరకు మన కుటుంబ సంపరదాయానని నిలబెటటాలి అనుకుంటుననావు అని మాకు తెలుసు.
कभी-कभी वे बुरी आतमाओं से बचने के लिए होते हैं.	కొననిసారలు, ఆ బొమమలు చెడడ ఆతమలను పారదరోలడానికి ఉదదేశించినవి అయయుంటాయి.
-धयान से, ताजा निशान है. -माफ करना.	- జాగరతత, ఇపపుడే వేసిన పచచబొటటు. - సారి.
यह आजकल काफी लोकपरिय है.	ఈ రోజులలో అందరూ అదే వేయించుకుంటుననారు.
खुशी और गम, साहस और डर	సంతోషం ఇంకా విచారం, ధెరయం అలాగే భయం
तो वह आजीविका के लिए कया काम करेगा?	సరే, మరి డబబు సంపాదించడానికి వారు ఇంకేం పని చేసతారు?
और हो गया.	ఇక పూరతి అయింది.
शायद सभी पराणी सथिरता चाहते हैं	నాకు తెలిసి అందరూ శాశవతంగా ఉండేవాటినే కోరుకుంటారు,
खटखट करना पसंद करोगे?	చేయాలని ఉందా?
इसमें कुछ गलत तो नहीं होगा अगर मैं भी तुमहारे साथ उसी तरफ चलूँ?	నేను కూడా నీతో అటువెపే వసతే పరలేదు కదా?
हम असीमित एक सरविंग वाली जैम की शीशियों से वेतन देते हैं.	మేము లెకకలేననని జామ పయాకెటలు ఇసతాం.
हाँ. नहीं, तुम सही हो.	అవును. లేదు, లేదు, నువవు అననది నిజం.
जिसके मुँह में एक धनिया पतता हो?	నాకు పచచబొటటు వేయగలరా?
चाहे वे अचछे या बुरे, जो भी हों.	మంచికెనా లేక చెడుకెనా.
सबसे महतवपूरण घटनाओं को शरदधांजलि दी है.	పదిలం చేయడంలో సాయపడడాయి.
लगभग दो परिकरमाएँ.	బహుశా రెండు సంవతసరాలు అనుకుంట.
अगर तुम वह ऐसे शबदों में बोल कर सुनाना चाहते हो जिनका अंत एक जैसे सुर और ताल	ఒకే విధమెన పలుకు, లయ, పరాస ఉండే పదాలు పలుకుతూ
पर तुम सूरज बनवा सकती थीं.	కానీ నువవు సూరయుడి బొమమ వేయించుకుని ఉండొచచు.
ठीक है.	సరే.
तब तो ऐसा नहीं लगा था कि तुम आशावादी पहलू पर धयान दे रहे थे.	ఈ సానుకూల దృకపధం నాకు కనిపించలేదు.
हरे पयाज से जयादा सवाद	ఒక ఉలలిపాయ కంటే ఎకకువ ఫలేవర ఉనన వయకతిని
इसके अलावा कि तुम थरथराते जीवों को पसंद करती हो	అంటే నీకు పిలలుల మీద ఉనన పరేమ
बिलकुल सही!	అవును!
खैर, यह समझना आसान है.	సరే, ఆ విషయానని అరథం చేసుకోవడం కషటం కాదు.
पर अगर तुमहें वह जवाब न मिले जो तुम चाहते हो तो अपनी आवाज ऊँची मत कर लेना.	నీకు నచచిన సమాధానం అటునుండి రాకపోతే అరవకు.
कया तुमहें जशन मनाने के दौरान दूसरे पराणियों के पीछे खडे होकर	అనేక వేడుకలలో ఇతరుల వెనుక నిలబడి
कहना पडेगा,	ఒకటి ఒపపుకుని తీరాలి,
हमारे सुपर-सुपर-सुपर-जीवनदाताओं यानि पूरवजों ने एक ऐसी खोज की जिससे हमारी	మన ముని-ముని-ముని ముతతాతలు మన చరమం మీద
और मैं इस मेले में कोई न कोई काम ढूँढ कर ही रहूँगा.	ఈ మేళాలో నేను ఒక పనిని కనుగొంటాను.
आभार, पर मैं कभी जयादा आशा नहीं करती	చాలా సంతోషం, కానీ నేను పెదదగా ఆశలు పెటటుకోకుండా ఉండడానికి పరయతనిసతాను,
हकष	హెచఎకస
अभिवादन.	హలో.
किसी पराणी को जीवन भर के लिए सयाही का निशान देना सममान की बात है.	ఒక వయకతికి పచచబొటటు వేయడం ఒక గౌరవం.
जिनसे मैं पयार करता था, उनमें से कोई कभी मुझे छोडकर नहीं गया,	నేను ఇషటపడడ ఎవరూ ననను వదిలింది లేదు,
घूमने जाने का परतीक होते हैं.	దీవికి సెలవులకు వెళలినపపటి టరిప ని గురతుచేసేవి అయయుంటాయి.
ताकि तुम उन पराणियों के साथ जयादा समय बिता सको जिनकी परिकरमाओं की संखया तुमहारे आसपास है.	అపపుడు నీ తోటి వారితో నువవు మరింత సమయం గడపవచచు.
बस इतना ही? कमाल है.	అంతేనా?
हाँ, बोलता तो हूँ.	నిజమే.
मुझे नहीं लगता ऐसा हो सकता है.	నేను అది నమమను.
नेथन डबलयू पाइल की पुसतक शृंखला पर आधारित	నేథన డబలయూ పెల రాసిన పుసతక సిరీస ఆధారంగా రూపొందించబడింది
खुशी पर धयान देना बेहतर था.	సంతోషానని ఇచచే వాటిమీద దృషటి పెడితే మంచిది అని తెలిసింది.
