एक घर, एक औरत.	ఇలలు, ఒక సతరీ.
मैं. . .	నేను. . .
मुझे डर लग रहा है.	నాకు భయంగా ఉంది.
यह एक अदभुत बात है	ఇలాంటి అదభుతాలకూ
मुझे डर लग रहा है.	నాకు భయంగా ఉంది.
-ओह, यह?	-ఓహ, ఇదా?
"नीचे तक, सब कछुए ही हैं. "	కిందవరకూ అననీ తాబేళళేనట.
परमानंद दिमाग की एक अवसथा है जो केवल	పరమానందం అననది విభినన ఆలోచనల మధయ
आपको इस समय अपनी जिंदगी में	జీవితంలో ఏదెనా లోటు కానీ
हाँ. मैं यहाँ आपके साथ हूँ.	అవును. నేను నీతో ఉననాను.
इस दुनिया में नहीं होते.	అవి వాసతవ లోకంలో అససలుండవు.
केंडो डॉक हेनरीज में है?	కెండో హెనపీ డాక దగగరుననాడు?
धत, हाँ!	అబబా, ఛా!
मैं. . .	నేను. . .
मुझे सच में तुमहारी फिकर हो रही है,	గరెగ, నీ గురించి కంగారుగా ఉంది.
मुझे तुम पर यकीन नहीं. कभी नहीं था.	నేను నినను నమమలేదు. మొదటినుండి.
-मैं इसे हलके में नहीं ले सकती.	-ఇది నేను చాలా సీరియసగా తీసుకోవాలి.
ऐसा लगता है मेरी मौत हो चुकी है	చనిపోయి సవరగానికి వెళళినటటుగా ఉంది.
बार-बार असली कह रही हो.	మాటిమాటికీ నిజం అంటుననావు.
यह हार इतना जरूरी कयों है?	ఆ తావీజు ఎందుకంత ముఖయం?
मुझे बेसबॉल बहुत नापसद था.	నాకు బేస బాల ఇషటం లేదు.
कया यह हमेशा से ऐसा ही था?	ముందు నుండి ఇలానే ఉందా?
तुमहें अपना बचचा याद नहीं?	నీ బేబీ నీకు గురతులేదా?
विजञान ने दुनिया को बचाया.	సెనస లోకానని కాపాడింది.
उनसे कहे, "देखो, दोसतो,	"ఒక పావుగంటసేపు సవరగవాసులు
"और वह किसी दूसरे कछुए पर.	అది ఇంకో తాబేలుపె ఉందట.
आपका दिमाग ठिकाने नहीं है,	నీ మతి సరిగగా లేదు కనుక
कि बरेनबॉकस से निकलने वाली	ఇది బరెయిన బాకస జఞాపకం,
दस-दस नीले करिसटल लेकर.	చెరో పది నీలం సఫటికలు తిని
-नहीं, हमारी गाडी वहीं है.	-లేదు, కానీ మన కారుంది.
थॉट विजुअलाइजर?	ఆలోచనల దృశయీకరణి?
वे कया सोचते हैं,	వాళళేమనుకుంటారో
-सुनिए, "मैं मुरबबे में हूँ. " कहकर देखिए.	-లేదు, చూడండి "పపపులో కాలేసాం" అనండి.
-तुमहें वापस फोन करूँ?	-కొంచెంసేపాగి కాల చెయయనా?
तुमहें मेरा नाम कैसे पता?	నా పేరెలా తెలుసు నీకు?
कि बरेनबॉकस तक पहुँचना	బరెయిన బాకస మానవుల హకకని!
किसी के पास टबैसको है?	టబాసకో ఉందా ఎవరి దగగరననా?
वह कूदा! वह खिडकी में से कूद गया!	దూకేసాడు! దూకేసాడు! దూకేసాడు!
तुम जो भी कर रही हो, मुझे उस पर भरोसा है.	నువవు చేసే అననింటిపె నాకు నమమకముంది.
शुकरिया.	థాంకయూ.
तसवीरें बनाते रहे हो?	బొమమలు గీసతూ కూరచుననావా?
मेरा एक बॉयफरेंड है, जो पहले था.	నాకో బాయ ఫరెండ ఉననాడు, మాజీ.
आओ चलें.	పద మరి.
दरजनों गवाहों ने	డజను మంది అతను
ओए. चलो.	యో. రా.
मेरे दिमाग में इसकी छवि सपषट है,	నా మనససులో ముదరించుకుపోయింది
मैं अब उन पर भरोसा नहीं कर सकता.	నాకిక ఆయన మీద నమమకం పోయింది.
धयान से!	చూసుకో!
ओए, रुको! ओए, डी! ओए!	యో, ఆగు! ఆయ, యో, డీ! యో!
शुकरिया.	థాంకయూ.
नहीं. शायद नहीं.	లేదు. చూడలేదు.
-आसान होता है.	-అది చాలా సులభం.
ओए! यार! तुमहें देखो तो!	యో! బాబు! నినను చూడు!
अचछा, शुकरिया.	సరే మరి, థాంకయూ.
कोई तुम पर कैसे यकीन कर सकता है?	నిననసలు ఎవరెనా ఎలా నమముతారు?
ये, ये काफी हैं?	ఇవి సరిపోతాయా?
बस यह जानना चाहता हूँ	ఇదంతా ఎకకడినుండి వచచిందో
धयान से!	జాగరతత!
अब, मैं बहुत खुश हूँ.	ఇపపుడు నాకు బాగా నచచావు.
-मैं बेवकूफ लगती हूँ?	-మూరఖురాలిని అనుకుననావా?
-डॉ. विटल. . .	-డాకటర విటల. . .
शुकरिया.	థాంకయూ.
आरथर और एमिली.	ఆరథర ఇంకా ఎమిలీ.
इसलिए, बस. . .	అందుకే, అలా. . .
बस. . .	అలా. . .
-अचछा. इसका कया मतलब है?	-సరే. అంటే అరథం ఏంటి?
शुकरिया.	థాంకయూ.
"बरहमाणड कछुए की पीठ पर टिका है. "	"ఈ విశవం తాబేలు చిపపపె కూరచొని ఉందని. "
हम जिस दुनिया से निकलकर आए हैं,	మనం వదిలేసి వచచిన చోటు కననా
-तुमहें पूल पसंद है.	-నీకు పూల బాగా నచచిందా.
-खोज कैसी चल रही है?	-పరిశోధన ఎలా నడుసతుంది?
मुझे पूरे तथय चाहिए.	నాకు పూరతి డేటా కావాలి.
और अगर नहीं आया तो. . .	వాళళకు నచచకపోతే. . .
-हाँ, इसका कया मतलब है?	-హా, అంటే అరథం ఏంటి?
बयॉरन के लिए अफसोस करने की जरूरत नहीं.	బయోరన గురించి పశచాతతాపం అకకరలేదు.
हमें कया चाहिए?	మనకేం కావాలి?
और फिर तुमहें सडक पार सथित	అపపుడు వీధి అవతలి బారులో నుండి
गरेग, कया लगता है, यह कहाँ है?	గరెగ, ఇదెకకడో నీకు తెలుసా?
-गाटो? कबायो?	-గేటో? కెబాలలో?
मैंने नहीं. . .	నేను అది. . .
वहीं से बरेनबॉकस पैदा होता है.	అకకడే బరెయిన బాకస వసతుంది.
तैरने चलते हैं.	ఈతకు వెళదామా.
-डॉ. कलेमेनस.	-డాకటర కలెమెనస.
डॉ. विटल. . .	డాకటర విటల. . .
डॉ. विटल. . .	డాకటర విటల. . .
डॉ. विटल. . .	డాకటర విటల. . .
सवागत है, गरेग.	సవాగతం, గరెగ.
परमानंद कोई एहसास नहीं, कोई जगह नहीं.	పరమానందం ఫీలింగ కాదు, చోటు కాదు.
हाँ, मैं एकदम ठीक हूँ.	హా, చాలా బావుననాను.
तुमहें निकाला जाता है.	నినను తీసేసతుననాను.
केंडो को ढूँढते हैं	కెండోను కలిసి తావీజును
तुम जानना नहीं चाहोगे?	తెలుసుకోవాలని లేదా?
मुझे समझ कैसे होगी?	అదెలా తెలుసతుంది నాకు?
-बस तीन बातें? ठीक है.	-మూడు విషయాలా? సరే.
और अब, मैं डॉ. विटल से	ఇపపుడు డాకటర విటలను
-गरेग विटल. कैसे हो, यार?	-గరెగ విటల. ఎలా ఉననావు, బడడీ?
शायद हम सभी के लिए अचछा होगा.	మనందరికీ కూడా అదే మంచిది.
बात करने के लिए फोन किया.	నీతో మాటలాడాలని కాల చేసానంతే.
मुझे नहीं पता वह कया होता है.	సరే, ఇదేంటో నాకు తెలియదు.
माफ करना, देर हो गई, मैं. . .	ఆలసయమెంది సారీ, నేను. . .
ए! ए, ये. . . हमारे पास इतने ही हैं.	హే! హే, అది. . . అదే మిగిలింది.
अब किसकी याददाशत कमजोर है, जान?	బంగారం, ఇపపుడు మతిమరుపు ఎవరికి ఉంది?
पूरा धयान. . .	ధయాసంతా. . .
कोई बात नहीं, ठीक है, कोई बात नहीं.	పరవాలేదు, మరేం పరలేదు, పరలేదు.
पहली बार को भी गिनना होगा, सर.	మొదటిసారిది కూడా ఐదులో కలపాలి, సార.
अरे! अभी हो जाएगा!	యో! ఒకక నిముషం ఆగండి!
उसके पास मेरी एक चीज है.	అతని దగగర నా వసతువు ఒకటుంది.
यह लाइटर लो,	ఈ లెటర తీసుకో,
देखें.	చూదదాం.
मुझे याद है.	నాకు గురతుంది.
मेरी दोसत के पास पैसे हैं. मैं. . .	నా ఫరెండ దగగర డబబులుండిపోయాయి.
-यहाँ?	-ఇకకడా?
मेरा गरैजुएशन हो चुका, पापा.	నాననా, గరాడయుయేట అయయాను.
तुमहारा भला हो, दोसत.	నీకే మంచిది, బాబు.
ओफेलिया के लिए खाद लेने गई थी.	ఒఫీలియాకు మందులు కొనటానికి వెళళాను.
भाड में जाए, कोशिश करके देखना होगा.	అబబా ఛా, రిసకు తీసుకోవాలసిందే.
पर इस बार करिसटल पाना	కానీ ఈసారి సఫటికలు
ठीक लग रहा है.	బాగానే ఉంది.
कुछ एफजीपी औरों से जयादा	కొనని ఎఫజీపీలు మిగతావాటికననా
तुमहारा भला हो, दोसत.	నీకే మంచిది, బాబు.
एक होटल जिसकी अपनी वेधशाला है,	సవంత అబజరవేటరీ కల హోటలకు తగగ పేరది.
सारा बेकार और मुशकिल काम	అవెతే బోరింగ, కషటమెన పనులననీ
एक खूबसूरत, चिरसथायी,	అందమెన, నివాసయోగయ,
और फिर लौट जाएँगे.	తరువాత తిరిగి వెళదాం.
डॉ. कलेमेनस!	డాకటర కలెమెనస!
कामलायक नहीं होत रहा.	అదే పని చెయయాలంటే.
-अचछा.	-అలాగే.
डॉ. कलेमेनस!	డాకటర కలెమెనస!
मुझे बहुत खुशी है कि तुमने वापस फोन किया.	నువవు కాల చేయటం చాలా సంతోషంగా ఉంది.
शुकरिया. मैं. . . तुमहारा पीछा छोड दूँगा.	థాంకయూ. థాంకయూ. నేను. . . నేను. . .
यह तुमहारी नई जिंदगी की शुरुआत है.	ఇది నీ కొతత జీవితానికి ఆరంభం.
और मुझे पता है कि यह असली नहीं है.	ఇది వాసతవం కాదని నాకు తెలుసు.
मुझे एक मौका मिलेगा. एक मौका.	ఇందులో ఒకక ఫలితం వసతే చాలు. ఒకకటి.
अगर यह सही है, तो एक दबाएँ.	కరెకటయితే ఒకటి నొకకండి.
और तुमहें लगता है यह सच है.	అది నిజమని నమముతుననావు.
-नहीं! हरगिज नहीं! छोडो भी!	-లేదు! చానసే లేదు! అరే!
मतलब, कया यही पहला सवाल है?	అంటే, ఇదేనా మొదటి పరశన?
अचछा? अचछा रहेगा.	సరే? అది బావుంటుంది.
आज तुमहारी छुटटी है?	ఇకకడే ఉండి సెలవా?
पीने का खरच वह देगा.	డరింకస తన ఖాతాలో.
-इसके कितने मिलेंगे?	-దీనికెంత ఇసతావు?
-हम कहाँ जा रहे हैं?	-ఎకకడికెళుతుననాం?
इजबेल, पलीज, चलो भी.	ఇజబెల, పలీజ, అరే.
ऐसा नहीं होना चाहिए.	అది అలా జరగకూడదు.
हद से जयादा अचछी है.	చాలా గొపపగా ఉంది.
और अपनी जिंदगी की	జీవితపు పరతి అంశానని
यह बहुत ही घटिया है.	చాలా ఘోరంగా ఉంది.
मेरी तरफ देखो. पुलिस का आना,	ననను చూడు. పోలీసులు వసతుననా కానీ,
मुझे सडक किनारे ये फूल दिखे.	రోడడు పరకకన నాకీ పూలు కనిపించాయి.
तुमहें किसी कालकोठरी में नहीं रहना जहाँ	ఇపపుడు నువవు చీకటి గదిలో కూరచొని,
वह असली है?	అతను వాసతవమా?
ए, वह कौन थी?	హే, అదెవరు?
मुझे सच बताओ.	నిజం చెపపు.
यह रहे तुम.	తను నావాడంటే.
हमें बरेनबॉकस में वापस जाना होगा, गरेग.	గరెగ మనం బరెయిన బాకసలోకి వెళళాలి.
मतलब, किसी पूल को इस हद तक	అంటే పూల తాపమానం అదేదో
और मैं वहाँ तुमसे मिलूँगा.	ఆ తరువాత అకకడ కలుదదాం.
समझ नहीं आता कि कया समझूँ!	ఏది నమమాలో తెలియటలేదు!
हम सुनेंगे.	మేము వింటాము.
समझ गया. माफ करना. बाय. शुकरिया.	అరథమెంది. సారీ. బె. థాంకయూ.
राय बनाने वाली कमीनी. उसे गिराओ.	సోది మొహంది. దానిని పడెయయి!
उममीद के मुताबिक, नीला अलगोरिदम.	నీలం ఆలగోరిథం, తెలిసిందేగా.
-नहीं, हमें लैब लौटना होगा.	-లేదు, మనం లాబకు తిరిగి వెళళాలి.
-कुछ पका रही हो?	-ఏమననా వండుతుననావా?
वह जो भी हो, उसे और आगे बढाने की	చేసుకొనే సవేచఛ, టెము అననీ మనకు దకకాయి.
जो भी तुम चाहते थे.	ఏం కావాలంటే అది.
और अगर नहीं आया तो?	వాళళకు నచచకపోతే?
हम घिर चुके हैं?	మనలని చుటటుముటటారు?
और मैं नहीं जाऊँगा.	నేను వదిలి రాను.
ए, आ जाओ, कमीनो!	హే, చెతత వెధవలలారా!
इसके 12. 76 डॉलर हुए.	అంతా కలిపి 12. 76 అయింది.
और मुझे कहीं जाना है.	నేను చాలా చోటలకు వెళళాలి.
पर, बहुत ही घटिया था.	కానీ దేవుడా, ఘోరంగా ఉంది.
याददाशत का अंतर देखो.	జఞాపకాల ఖాళీని పూరించుకో.
तो इसे ठीक कैसे किया जाए?	సరే, ఎలా సరి చెయయాలి?
तुम पर जो बीत रही है,	ఇకకడ నీ బాధలను తపపుపటటరు.
-फोन पर बात करता हूँ. माफ करना.	ఈ ఫోన కాల మాటలాడాలి. సారీ.
यह असल जिंदगी है. यहाँ से बाहर.	ఇది నిజ జీవితం. ఇకకడిదంతా.
एक पल में हम सकेटिंग कर रहे हैं	ఒకక కషణం, మనం రంగులరాటనంలో
मेरा नाम इजबेल है. आकर मेरे साथ बैठो.	నా పేరు ఇజబెల. నాతో వచచి కూరచో.
पर गवाहों ने मुझे बार में देखा.	కానీ సాకషులు ననను బారు దగగర చూసారుగా.
-हैलो, विटल!	-హే, విటల!
यह बहुत गलत बात होगी. मेरी तरफ देखो.	అది మరీ మరీ దారుణం. ననను చూడు.
-अचछा.	-సరే.
-वह तुमने किया?	-నువవు చేసావా అది?
मेरे दिमाग में, यह सच लगता है.	నా మనససుకు అది వాసతవం. నేను చూడగలను.
-कया?	-ఏంటి?
उसे गिराओ.	తనను పటటుకో.
-हैलो.	-హాయ.
हैलो, जान.	హాయ, బంగారం.
-हैलो.	-హాయ.
आपको अभी मेरे साथ चलना होगा, ठीक है?	నాతో ఇపపుడే బయలుదేరండి, సరేనా?
-कया?	-ఏంటి?
आपके लिए यह छोड रही हूँ.	నేను నీకు ఒకటిసతాను.
हिरण का पीछा करता हुआ एक चीता.	చిరుత జింకను వేటాడుతుంది.
हम मुरबबे में हैं.	పపపులో కాలేసాం.
मेरा मतलब, यहाँ हर एक इंसान को	అంటే ఇకకడునన పరతి వయకతికి
एक और दिन?	ఇంకొకక రోజు?
-कया?	-ఏంటి?
-अचछा.	-సరే.
तो हम यहीं हैं.	మనముననాంగా, ఇకకడే.
मुझे गरेग को बताना होगा.	నేను గరెగకు చెపపాలి.
तो तुम असली हो?	అయితే నువవు నిజమా?
जब मैं छह साल की थी. . .	నాకు ఆరేళళపపుడు. . .
-केंडो है?	-కెండో ఎకకడ?
-अचछा.	-సరే.
-अपनी लिपसटिक निकाल लूँ.	-నా లిపసటిక తేనివవు.
पापा!	నాననా!
पापा!	నాననా!
पापा!	నాననా!
पापा!	నాననా!
मैं तो भूल ही गया था कि वहाँ एक थी.	అదికకడుందని కూడా మరిచిపోయాను.
बहुत अचछा लगता है. पर एक बात बताऊँ?	బాగా నచచింది. కానీ చెపపాలంటే?
मैं. . . मैं आपको नहीं जानता.	నాకు. . . నువవు తెలియదు.
शायद उनके लिए अचछा होगा.	తనకు కూడా అదే మంచిదనుకుంటాను.
मुझे यह काम ठीक से करना होगा.	నేనిది సరిగగా చెయయాలిగా.
मेरे पास मेरा सेलफोन नहीं है.	నా సెల ఫోన నా దగగర లేదు.
डॉ. कलेमेनस, आप ठीक हैं?	డాకటర కలెమెనస, బాగానే ఉననారా?
डॉ. विटल ने फिर से किसी बेकार	డాకటర విటల ఎఫజీపీతో మళలీ
यह आदमी जो कभी परेशान और	ఈ చిరాకెన, కోపదారి మనిషి. . .
साकी? असली नहीं है.	ఆ బార టెండర? నిజం కాదు.
-नहीं, वह बेहोश पडा था.	-లేదు, సపృహలో లేడు.
चेहरे पर तेज रोशनी होगी	మొహం మీద లెటు పడుతూ
गरैजुएशन! हे भगवान!	గరాడయుయేషన! ఓరి దేవుడా!
कोई मुशकिल है जिसका हमें पता होना चाहिए?	తెలుసుకోవాలసిన సమసయలేమననా ఉననాయా?
हाँ, एक बात कहूँ?	హా, చెపపాలంటే?
सुना कि बॉस तुमसे मिलना चाहते हैं.	బాస కలవాలని అనుకుంటుననారటగా.
बिलकुल. जो कहना है, उनहें कहने दो.	అదే కదా. వాళళనే మాటలాడనివవు.
कयोंकि यही सच है.	అదే నిజం కనుక.
ओह, मैं यह नहीं कह रहा कि तुम. . .	ఓహ, అలా చేసావని అనటలేదు. . .
-उसे फोन किया?	-తనకు కాల చేసావా?
हाँ. यानि फेक जेनरेटेड परसन.	హా. ఫేక జనరేటెడ పరసనకు సంకషిపతమది.
कया मुझे नहीं पता	అంతా ననను చూసి
लोगों तक पहुँचाओ.	బహిరగతం చెయయి.
तुम जिंदा कैसे हो? ए, बयॉरन!	బతికుండి ఏం చేసతుననావు? హే, బయోరన!
यह मैं हूँ. इसका चेहरा देखो.	అది నేను. తన మొహం చూడు.
तुमहें मुझको सब समझाना होगा!	నువవు నాకేమననా చెపపాలా!
तुमहारा दिमाग कहाँ है?	నీ మనససు ఎకకడుంది?
तुम शौचालय जा सकते हो.	బాతరూం వాడుకోవచచు.
यह हमारे घर की याद है.	మన ఇంటి జఞాపకాలవి.
घबराओ मत.	కంగారుపడకు.
ऐसा है. . .	అంటే. . .
ओह, मेरा मनपसंद, मेरा मनपसंद करो.	ఓహ, నాకిషటమెనది, ఇది చెయయి.
और पहले, हम तैरने जाएँगे. चलो भी.	ముందెతే, మనం ఈత కొడదాం. రా.
घबराओ मत,	కంగారుపడకు,
शराब वगैरह आता है.	ఆలకహాల, ఇంకా ఇలాంటివే.
बकवास है.	ఇదంతా సోది.
बरेन बॉकस	బరెయిన బాకస
डॉ. विटल?	డాకటర విటల?
आपका नाम गरेग विटल है.	నీ పేరు గరెగ విటల.
आपके लिए,	మీ దృషటిలో,
मुझे शायद किसी खास ताकत की जरूरत नहीं.	నాకిపపుడు ఏ పరతయేక శకతులూ వదదు.
मुझे तुम पर यकीन करवाता है.	నినను నమమేలా చేసతుంది.
दो बार इकटठा होते हैं.	ఆరటిసటులు, సెంటిసటుల కలయిక.
-हैलो, मेरी जान.	-హాయ, బంగారం.
बिलकुल आऊँगा.	ఖచచితంగా వసతాను.
-चुपचाप रहो. तुमहारे पास फोन है?	-అజఞాతంలో ఉండంతే. ఫోనుందా?
तुमहें अचछा लगा?	నీకు నచచిందా?
इस सपनों के घर के बारे में बताओ.	నీ కలల సౌధం గురించి చెపపు.
मेरा आविषकार?	నేను సృషటించానా?
-"वापस आऊँगी. किस, झपपी. . . "	-"ఇపపుడే వసతాను. ముదదులు, కౌగిలి. . .
मैं एकदम डर गई थी कि तुमहें खो दूँगी.	నినను కోలపోతానని కంగారుపడడాను.
उनहोंने तुमहारा थॉट विजुअलाइजर खरीदा!	నీ ఆలోచనల దృశయీకరణిని కొననాడు!
मैं. . . मैं ठीक हूँ.	నేను. . . పరలేదు.
सुनो. हम वापस जाएँगे.	చూడు, చూడు, చూడు.
और मैं पूछा करता,	అపపుడు నేను అనేవాడిని
और तुमहारी कमीज पर कौन है?	నీ షరటు మీద ఉననదేంటి?
मुझे लगता है कुछ हफते पहले	ఆయన కొనని వారాల కరితం
कयों? तुमने कयों. . .	ఎందుకు? ఎందుకు తీసావు. . .
तुमने ये कयों उतारीं?	ఎందుకు తీసుకెళళావు వాటిని?
पता नहीं यह सच है भी या नहीं.	ఇందులో రవవంత నిజం ఉందో లేదో తెలియదు.
-तुमने मेरा दिल तोडा. तुमहें पता है?	-నా మనససు విరిచేసావు. తెలుసా?
और अब तक तुमहें इसकी समझ होनी चाहिए.	ఇపపటికే నీకు అది తెలిసుండాలి.
दिमाग की उलटी अवसथा से फरक को	అంతరానని అరథం చేసుకోగల మానసిక సథితి.
यह कया है?	ఏంటవననీ?
कया कहा?	మననించాలి?
कया?	ఏంటి?
अचछा.	సరే.
घर से दूर, मेरे घर में तुमहारा सवागत है.	ఇంటికి దూరంగా ఉండే నా ఇంటికి రా.
कया यह कानूनी है या. . .	ఇది చటట బదధమేనా అసలు, లేక. . .
नहीं, ऐसी बात नहीं. मैं. . .	కాదు, కాదు, తొందరేం లేదు. నేను. . .
तुमने उस अचछे आदमी को मार डाला	నినను షారటు వేసుకోనిచచిన
उतना मुशकिल नहीं था.	అంత కషటమేం కాదు.
कया?	ఏంటి?
-तुम ठीक हो?	-బాగానే ఉననావా?
अचछा, है ना?	బావుననాను, కదా?
-अचछा, शुकरिया.	-సరే, థాంకస.
जलदी करो, केंडो.	కెండో తవరగా కానివవు.
हैलो. मैं एमिली हूँ.	హలలో. ఇది ఎమిలీ.
-तुम भूलना चाहते हो?	-మరిచిపోవాలని చూసతుననావా?
तुमने हमारे अवतार संभालकर रखे?	మా అవతారాలను సేవ చేసావా?
हमें कुछ घंटों का समय दो.	మాకు కొనని గంటలివవు.
ये सारे. . .	ఇదంతా ఏంటి. . .
नहीं. यह गलत बात है?	లేదు. అది సమసయా?
इतनी गरीबी कि बरदाशत से बाहर थी.	దరిదరపు సథాయి. . . భరించలేనంతగా మారింది.
अचछा, अपना परिचय दो.	సరే, నినను పరిచయం చేసుకో.
कया?	ఏంటి?
पर मैं कहती हूँ. . .	కానీ నావరకూ. . .
हैलो!	హాయ!
-हाँ.	-హా.
-सच में?	-నిజంగానా?
-हाँ.	-హా.
-हाँ.	-హా.
"चोटियाँ, " "दिमाग" नहीं.	"జడలు" "మెదడు" కాదు.
कुछ ही दिनों में, आपको दोनों में से	ఈ మధయలో మీరు ఈ రెండు లోకాలలో
-मजाक कर रहे हो? ऐसा मत करो!	-నాతో కామెడీ చేసతుననావా? అలా చేయకు!
कया करना है?	ఇపపుడేం కావాలి?
पर यह खूबसूरत भी है.	ఇది ఒక రకంగా అందంగా ఉంది.
नहीं, रुकिए!	వదదు, ఆగు! ఆగు!
आप पहुँच गए.	నువవు వచచేసావు.
पलेडीज. हाँ, सितारों का एक झुरमुट.	పలేయడీస. హా, అవి పాలపుంతలు.
हमें पापा के बारे में बात करनी है.	మనం నానన గురించి మాటలాడాలి.
हैलो, डॉ. विटल. आप ठीक हैं?	హలలో డాకటర విటల. మీకెలా ఉందిపపుడు?
जाओ. नहीं, नहीं होगा. जाओ, चलो भी.	వదదు, వెళళు. అది పనిచెయయదు.
आपका परेसकरिपशन नंबर है	మీరు నొకకిన పరిసకరిపషన నెంబరు
इसमें से कुछ भी असली नहीं है.	ఇవేవీ అసలు వాసతవం కాదు.
मुझे ठंडे खाने से एतराज नहीं.	చలలటి తిండెనా పరవాలేదు.
मेरी चिंता मत करो, हाँ?	నా గురించి కంగారుపడకు, సరేనా?
मैं तुमहें नहीं पहचानती.	నినను గురతుపటటలేదు.
हालांकि पुलिस ने हतया की	అయినా కానీ పోలీసులు
-कोकेन? बराउन शुगर?	-గడడి? గంజాయి? నలల మందు?
-जलदी सोचो, गरेगगो!	-గరెగగో, తవరగా ఆలోచించు!
अभी आपको कैसा लग रहा है?	ఇపపుడెలా ఉంది మీకు?
चोब. बदमाश लडकों के लिए.	రకషణ. చెడడవారికోసం.
ऐसा कयों कह रही हो?	ఎందుకలా అననావు?
मुझे लगता है हमें और नहीं मिलना चाहिए.	మనం కలిసి తిరగటం ఆపితే మంచిది.
शुकरिया. यह कया है?	థాంకయూ. ఏంటిది?
मुझे यह सब कुछ भी याद कयों नहीं आ रहा?	ఇక, ఇవననీ నాకెందుకు గురతులేవు?
और एसटरॉयड खनन.	ఇంకా గరహశకల మెనింగ.
परमानंद कया है?	పరమానందం అంటే ఏంటి?
मुझे केंडो मिल गया.	కెండో దొరికాడు.
बाँटकर ले सकते हैं.	మనం పంచుకుందాం.
समय का हिसाब रखना मुशकिल है. पर, मुझे. . .	టెం ఎలా పరిగెతతుతుందో తెలియటలేదు.
यह जगह हद से जयादा है.	ఈ వాతావరణం చాలా కొతతగా ఉంది.
यह जगह, तुमने जो बनाया	నీ సృషటిలో నాకు నచచింది అదే.
तुम अपनी ताकत उस पर कयों नहीं आजमाती?	నీ శకతులు అతని మీద వాడవచచుగా?
यहाँ से निकलने के लिए इतने उतावले हो.	వదిలి వెళళటానికి అంత తొందరేం.
यकीन नहीं होता? सच में?	నమమలేరా? నిజంగానా?
-हैलो, डोरिस. माफ करना.	-హాయ, డోరిస. సారీ.
उनहें ढूँढना चाहती हूँ.	నేను తనను వెతకాలి.
नहीं कर सकता. माफ करना.	చెయయలేను. మననించు.
जलदी सोचो, गरेगगो.	గరెగగో, తవరగా ఆలోచించు.
दो, तीन, चार, पाँच, छह, सात, आठ,	రెండు, మూడు, నాలుగు, ఐదు,
इस ताजी हवा में साँस लेकर	ఈ సవచఛమెన గాలి పీలచుకుంటుననందుకు
हमारे पास अपने शौक, विजञान, कला,	మన పాషనలు, సెనస, కళ ఏదెనా
पर इसका सबूत मीठे में है.	దానికి సాకషయం నా పుడడింగలో ఉంది.
वेधशाला	అబజరవేటరీ
. . . हाल के वरषों मे आमदनी और धन की	నిరసనకారులు మారచ చేసతుననారు,
गरेग, यह कोई कलपना नहीं है.	గరెగ ఇది ఫాంటసీ కాదు.
और. . .	ఇంకా. . .
बोलो, "हम मुरबबे में हैं. "	"పపపులో కాలేసాం" అను.
वेधशाला	అబజరవేటరీ
-मजा आ रहा है?	-ఎంజాయ చేసతుననారా?
अभी छाप डालो. डरो मत.	ఇపపుడే పబలిష చెయయి. భయపడకు.
पलीज बैठिए, डॉ. विटल.	డాకటర విటల దయచేసి కూరచోండి.
कोई शिकायत, डॉ. विटल?	డాకటర విటల ఏమననా ఫిరయాదులా?
आप. . .	మీరు. . .
यह एक खुला मंच है,	ఇదో ఓపెన ఫోరం,
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత BM
-तुम अपना दिखा सकती हो? यह दिखा सकती है?	-నీది వాడుకోవచచా? తనది వాడవచచా?
अरे, पलीज, रुक जाओ, मैं बस. . .	హే, ఆగు, పలీజ, నేను. . .
केवल वहाँ अंदर बनते हैं.	అవి అకకడ మాతరమే తయారుచేయబడతాయి.
मतलब, कचरे के डबबे में	అంటే, చెతత బుటటలో
-शायद लौटकर न आए.	-అది తిరిగి రాకపోవచచు.
नहीं, बस अभी किसी से बात कर रहा था.	లేదు, ఇపపుడే కాల పెటటేసాను.
डॉ. कलेमेनस, रतन के बारे में बताइए,	డాకటర కలెమెనస, బీజం గురించి
चलो भी, गरेग.	అరే, గరెగ.
तीन बातें.	మూడు విషయాలు.
एक जवालामुखी.	అగనిపరవతం.
-आपको याद है.	-గురతుందా.
झूठ-मूठ, नकली, असली!	నకిలీ, నకిలీ, నకిలీ, నిజం!
मैं चाहती हूँ कि आप आएँ, पापा.	నేను రమమంటుననాను, నానన.
खुद पर शक करना बंद करो.	నినను నువవు సందేహించింది చాలు.
तुम बिना कुछ दिए,	నా చుటటుపరకకల
बात यह है कि. . .	అదేంటంటే. . .
कितना खूबसूरत है.	చాలా బావుంది.
-और आपके लिए, सर?	-మీకోసం, సార?
-माफ करना, केंडो.	-సారీ, కెండో.
-परयापत नहीं हैं!	-సరిపడా లేవు!
कयोंकि तुमहारी और मेरी तरह वह असली है.	అతను నీలాగా నాలాగా నిజం కనుక.
किसी का इंतजार कर रहा हूँ. एक दोसत का.	ఎదురు చూసతుననాను. ఫరెండ కోసం.
ये हमें इस अनुकरण से निकाल ले जाएँंगे.	ఈ కలపన నుండి అవి బయటపడేసతాయి.
तुमने मुझसे कहा था ना कि हम हमसफर हैं?	నువవేకదా మనం ఆతమబంధువులమననది.
