को फु न !	ఉ తత రం .
कं जु आ के अंदर से कोई रा नी का अप हर ण कैसे कर सकता है ?	కం జు వా లోప లి నుండి ఒక మ హా రా ణి ని ఎవరెనా ఎలా అ ప హ రి ంచ గల రు ?
मैं बच प न में अंदर खेल ता था .	ఇ దొ క గు హ , ఎవ వ రికీ క న బడ దు .
हमारी आवा ज ों का पी छा करो .	మా గొ ం తు లను అను సరి ంచి ఎ కకు .
एक आदमी जो हा ल ही में हमारे गा ं व में शा मिल हुआ था	అంత కు కా సత ము ందే , ఈ పి లలా డు ఇంకా చాలా చినన గా ఉనన పపుడు
दरवा जा खो लो .	తలు పు తె రు వు .
और मैंने उसे इससे बचा ने की कोशिश की .	అలా కా కుండా నేను త నని కా పా డ ాలను కుననాను .
तुम पूरी तरह से कुछ और हो .	నువవు అంత కు మి ంచిన దాని వి .
नहीं ! पिता जी !	అయ యో ! నా ననా !
मेरे पास आ व श य क रूप से किसी भी तरह से उनहें जब त करने का आ देश है .	నా కుటుం బా ని కీ ఏ హా నీ జరగ దు అని నువవు నాకు హా మీ ఇ చ చే ంత వర కూ
जो तुमहें यह बता ता है कि उस रिश ते पर हमारा कितना कम निय ं तर ण था .	నేను వి ఫ ల యత నం చేయ గానే , నే న కకడ ఉండ లే నని నాకు తెలి సి పోయింది .
उसने उन लोगों के साथ शु रु आत की जो उसके साथ सबसे जयादा हि ं सक थे .	ఆ రక త పా తం అంతా ము గి సే స రికి , ఒ పా యో ల లో నే న ూ , వా డే మి గి లా ము .
तुम काम कयों नहीं कर रही ?	ఎందు కని పని చేయడం లేదు ?
तो जो कोई भी पर वे श करता है वह कभी नहीं जा सकता है .	అందు కని ఇకకడికి వచచి న వా రె వ వర ూ తిరిగి వెళళ లే రు .
मैं एक ऐसी जगह जानता हूँ जहाँ हम सुरकष ित रूप से छ ि प सकते हैं .	మనం సు ర కషి తంగా తల దా చు కో గల చో టు నాకు తెలి సింది ఒకటి ఉంది .
" उन में से ? "	" వారి లో నా " ?
ट ै मै क टी जू न .	ట మా క టీ జ ూ న .
हम एक आदमी दवा रा यहाँ फ ंस गए थे . . . एक लड के दवा रा जिस ने हमें ध ो खा दिया .	మమ మ లని ఒక తను మో సం చేసి ఇకకడ ఇ రికి ంచా డు . . . ఒక అబబా యి మో సం చేశా డు .
मैंने उनहें ज ंग ल छोड ते हुए देखा .	ఆ వి డని అడ వి బయట కి వెళ తు ండ గా చూశా ను .
- आगे रा सता नहीं है . - ठीक है . हम पहुँच गए .	- ఇ కకడి నుండి దా రి లేదు . - పర వాలేదు లే . వచ చేశా ం .
कृपया . . .	దయచేసి . . .
यह इस तरह से बेहतर है .	ఇది లా ఉంటే నే మంచిది .
यह बर बाद हो सकता था .	ఇది వ ృ ధా అయి పో యు ండ ే ది .
वह बस एक लड का था . उसका श रा प सिरफ पर कृ ति का एक हा द सा था .	అరథం చేసుకో మని , దయ చూ ప మని ఇ తరు లని బర తి మ ాలు కుననాను .
कुछ को उनकी नी ंद में मार दिया .	ఇ దంతా మాకు నువ వె ందుకు చెప తుననావు ?
कब तक आपको लगता है कि हम यहाँ एक साथ रह सकते हैं ?	ఎంత కాల ం పాటు మనం ఇకకడ కలిసి జీవి సతా మని అనుకుంటుననా వు ?
यह इ ंद रि यों को सुन न करने वाला म श रू म है .	మీ నో ట లో ఆ రు చి క వీ నస సటా క కి సంబం ధి ంచిన ది .
पापा , हम इसे वापस ला रहे हैं !	నా ననా , దీ నని కి ంది కి పం పు తుననాం !
अपने आद मि यों से क हो कि उनहें जी वि त और बिना कष ति पहुँ चा ए ले आ एँ ,	వాళళ ని స జీ వ ంగా , ఏమీ చేయ కుండా తీసుకు ర మమ ని నీ వాళళ కి చెపపు ,
किसी भी तरी के से हम जो भी जानकारी परा पत कर सक ें	నీ ఈ ద రి దర పు ప నికి నీ లో ని అ ణ ు వ ణ ు వ ూ ప శ చా త తా పప డు తుంది ,
एक ता बी ज जो राज शा ही न रे श की त व चा के नीचे ज डा होता है	ఆ విషయం అతనికి ఎలా ని రూ పి ంచాలి అనే దే అసలు పర శ న .
खैर , देखो , यह हमें कहाँ ले आया है , ह नि वा !	- ఏమ ననా వు ? - నేనే మ ననా నో తన కి విన బడి ంది .
तुम कया कर रही हो ?	ఏం చేసతుననా వు నువవు ?
अपने र ै क पर धयान दो .	మీ ర యా కులు జా గర తత .
कोई नहीं जानता वे कहाँ हैं .	వాళళ ె కక డు ననా రో ఎవ వ రికీ తెలీదు .
तो यह किस की गलती थी ?	అయితే మ రె వరి తపపు ?
कितना समय ?	ఎంత కాల ం ?
उसने . . . उसने उनहें मर दिया .	ఆ వి డ . . . ఆ వి డని చం పే శా డు .
- वह झूठ बोल रहा है . - नहीं .	- ఇ తను అబ దధ మా డు తుననా డు . - లేదు .
चीजें बदल जाएँ गी .	పరిసథి తులు మార తా యి .
हम बाहर जाने का रा सता खो ज रहे हैं .	మేము బయట పడ ే మా రగ ం కోసం చూ సతుననా ం అంతే .
- तुम अंदर हो ? - हाँ .	- ఎ క కా వా ? - ఎ క కా ను .
मेरी से ना मेरे लिए लौट आए गी .	నా కోసం నా సె న యం వ సతుంది .
तुम कया जानती हो ? यह सत य है .	ఇది ఇ చచి న ందుకు ధనయవాదాలు .
माफ करना . मैंने कुछ देखा .	మన ని ంచు . ఎ దో ఒక దానని చూశా ను .
मैंने उसकी रकष ा करने की कोशिश की .	నేను వాడిని ర కషి ంచ డానికి పరయతని ంచా ను .
लेकिन मैंने ऊपर से आने वाली ई श वर ज वाला की शक ति को महसूस किया है .	కానీ పె నుండి ద ె వ జ వాల య ొ కక శ కతి పర సరి ంచడం నాకు తెలి సింది .
कैसा खेल ?	ఆట లే ంటి ?
और जब वह आए गी . . .	వాళళు వచచా క . . .
यह तुम में से एक है , है ना ?	ఇ తను కూడా మీ లో ఒక డే కదా ?
तुमहें कैसे पता ?	అది నీ కె లా తెలుసు ?
परि व रत न करने के लिए , यह नि श चि त रूप से उनके लिए कोई खेल नहीं था .	" అవును " అని ఒక మాట చెపపి , పరప ంచా న నే మార చేయ గల శ కతి నీ చె ంత న ఉనన పపుడు . . .
लेकिन हम वो हैं जो हम हैं .	కానీ మన స వ భా వ ాలు మార వు .
कृपया ट ें ट में लौट जाओ .	దయచేసి గు డా రం లోకి వెళలి పో .
मुझे उस पर विश वास कयों करना चाहिए ?	ఇ త డు చెపపే ది నే నె ందుకు నమమ ాలి ?
- अ ल वि दा . - लड के .	- ఇక సె ల వు . - బా బు .
मैंने कोशिश की .	నేను పరయతని ంచా ను .
मुझे तुमहारी मदद करने दो .	ననను నీకు స హాయ పడ నివ వు .
अगर वे हमें मार ना नहीं चाहते , फिर उनहें हमें खिला ने की जरूरत है .	మన లని చం పే ఉదదేశం వాళళ కి కను క లే కపోతే , వాళళు మన కి ఆ హా రం ఖచచితంగా పె డ తారు .
हा ला ं कि , वह शायद वह लड के के ब जा य आदमी था जब वह मुझे यहाँ फु सला कर ला या था .	కానీ , ననను ఇ రికి ంచిన పపుడు , అతను కు ర రా డి క ననా ఒక మ గా డి లా ఉండే వాడు .
और मुझे यह मिला .	ఇది దొ రికి ంది .
एक समय था . . .	ఒ కా న ొక పపుడు . . .
वह सुन रहा था , लेकिन फिर उसने अपनी त ल वार निका ली और उसने उनहें का ट दिया .	వి ంటు నన టటు గానే అనిపి ంచా డు , కానీ క తతి ని తీ సి , ఆ వి డని న రి కే శా డు .
मुझे आ श चर य है कि तुम ऐसा दा वा करने वाली कौन हो सकती हो .	ఇంకా చాలా మంది వ సతుననారు . మన లని చు టటు ము టటే సతారు .
हम जल द ही फिर से अं धे रे में होंगे .	తవర లోనే మళలీ మన లని చ ీ క టి ఆ వ హి ంచే సతుంది .
यह जी वन जी ने का कोई तरी का नहीं है .	ఇలా జీవి సతూ నీ జీవి తా నని వ ృ ధా చేసుకో కు .
तुमहें कया लगता है कि कि तने हो सकते हैं ?	కానీ ఎవరో క రు కి ందే ఉ ండి దీ నని పటటు కొ ని ఉండాలి .
मैंने उनहें उनके साथ देखा और . . .	ఆ వి డ వాళళ తో ఉండ టం చూశా ను , ఆ తరవాత . . .
हम बाकी लोगों को भी भ ु ग तना होगा .	నిజ ా యి తీ గా నీకు ఒక మాట చెప తాను , కో రా .
कया यह सही हो सकता है ?	నిజ మ యయ ే అవకా శ ము ందా ?
तुमहें मेरी चिंता है इस त थ य के बा व जू द कि हमने कभी बात नहीं की .	మనం ఇది వర కు ఎ నన డ ూ మాటలాడు కో క పోయి నా , నా మంచి కోసం తె గ పాటు పడు తునన టటు నా వు .
मैं तुमहें अलग आ देश दे रही हूँ , है न ?	వారి ని ఎలా గ ెనా పటటు కో వాలని ననను ఆ దే శి ంచారు .
कुछ का उसने पी छा किया जब वे द ह श त और आत ंक में भा गे .	కాబటటి మీరు ఇకకడ ఉండ టానికి కూడా కారణ ం నేనే .
यहाँ , मुझे खिला या गया है , मुझे आ शर य मिला है और मैं बा धा रह ित हूँ .	ఒక సం ప నను ర ాలి గా జీవి ంచి , వి ధి వ క రీ కరి ంచి ందని కు మి లి పో తూ
कि मेरी बहन वह भ ू मि का नि भा ने के लिए उप यु कत नहीं थी . . .	మా నానన కి సప షట ంగా అరథ మెన టటు గా , నా కూ అరథ మ యయ ే ంత వయ సు నాకు వచచింది .
मुझे सं दे ह था , मैं मान ता हूँ कि तुम किसी भी काम की होगी या नहीं .	నీ వలల నాకు ఏ ఉ ప యో గం ఉండ దని నాకు అనిపి ంచిన మాట వా సత వ మే .
अगर तुम मेरी मदद करना चाहते हो , मेरे पति और मेरे बच चों को ढूँढ ो .	నాకు సా య పడ ాలని నీకు ంటే , వెళలి నా భ ర త నీ , పిలల ల నీ వె తు కు .
मुझे बता एँ कि आप मुझे अपने ले फ टि न ें ट के रूप में से वा में सवी कार करें गी .	లె ఫ ట నె ంట గా నీ సే వ లోకి ననను స వీ కరి సతుననా వని ఓ మాట చెపపు చ ాలు .
- देखा कया ? - देखा कया ?	నీకు అమమ క న బడి ందా ?
हम कहाँ हैं ?	మన మె కకడ ఉననా ం ?
तुम मुझे अभी बहुत गु ससा दि ला रही हो .	నాకు ఇపపుడు నువవు చాలా కో పం తె పప ి సతుననా వు .
हम कहाँ हैं ?	మనం ఎ కక డు ననా ం ?
रो श नी ?	దీ ప ాలా ?
हम एक साथ र हें गे जब तक हम इससे मु कत नहीं हो जाते .	ఇ కకడి నుండి బయట పడ ే వర కూ మనం కలి సే జీవి సతా ం .
वे सब सो चु के हैं .	అందరూ పడు కొ ని ఉననారు .
उसके पिता कहाँ थे ?	అతని త ండ రి ఏ మె పోయా డు ?
ठीक है . सभी अंदर जाओ .	సరే . అందరూ ఎ కక ండి .
हम यहीं हैं .	మే మి కకడ ఉననా ం .
आपके दा एँ में .	నీ కు డి ప కక న .
मुझे नहीं पता . . .	అతనికి నీ చేయి అంద దు .
बस हाँ क हें , और मैं यह कर ूँगा .	నువవు ఊ అను చ ాలు , నేను చూ సు కుంటా ను .
मुझे कोई दिखा ई नहीं दे रहा .	నాకు ఎవ వర ూ క న బడ టం లేదు .
उसने उनके साथ कया किया ?	కొ ంద రి ని ని దర లోనే చం పే శా డు .
कयोंकि जब तक हम यहाँ हैं , हम साथ र हें गे .	ఎందుకంటే మనం ఇకకడ ఉనన ంత కాల ం ఒకటి గా ఉంటా ం కను క .
यह बहुत जरू री है .	ఇది చాలా అత య వ సర పని .
और उस स मा रो ह में ,	అని భా వి ంచి చెపపా డు .
तुम यह सब कह ने नहीं आई थी .	ఇకకడికి ఎందుకు వచచా వు ?
यह कुछ भी ठीक नहीं करे गा , लेकिन तुमहें सो ने में मदद करे गा .	న యం చేయ దు కానీ , నీకు ని దర రా వడానికి స హాయ పడు తుంది .
क कू न , यह चल ता है . वह ऐसा कयों करता है ?	ఈ పి సి ని కా య , క దు లు తోంది . ఎందుకు ?
लेकिन मैं पूरी कोशिश कर ूँगी . . .	కానీ నువవు నాకు వది లి వెళలి న దానని . . .
" तुमहें शा सन करना चाहिए . . . जल द ही . "	" నువవు తవర లోనే . . . ప ాలి ంచాలి . "
लेकिन किसी को यहाँ नीचे रहना होगा और इस को पक ड ना होगा .	మనం పె నుండి దీ నని అ దు పు చేయ వచచు . తిరిగి దీ నని కి ంది కి పం ప వచచు .
उनहोंने उससे नि वे द न किया .	తను అత డిని వే డు కొ ంది .
मेरे पास एक फ लि ंट है . मुझे बस . . . मुझे ज ला ने के लिए कुछ चाहिए .	వాడిని నమమ వ దద ని చెపపా ం . కానీ ఎపపుడ ెనా నువవు చెపపి న మాట లని ప టటి ంచు కు ంటే కదా ?
वह बच चा मेरी गलती है .	నా కొ డు కు ని పటటు కొ ని . . .
य दि यह पि ं जरा नीचे हो सकता है , तो इसे उठा या जा सकता है .	మనం కరి ంది కి చే రు కుననా క , అకకడ చ ీ క టి గా ఉంటుంది .
और यह क कू न सभी रे श म को बर बाद किए बिना ऐसा नहीं कर सकता .	మరి అది పి సి ని కా య లో ని పటటు ను మొతత ం నా శ నం చేయ కుండా బయటకు రా దు కను క .
नि र दि ष ट स था न पर . . .	చె లలి ంచ కు ంటే , వాళళు . . .
छ त से लट के हुए कुछ च म की ले की डे हैं .	వాటి గురించి చెపప లేదా , కొ ఫ ూ న ?
लेकिन तुम केवल धन वा न नहीं हो .	కానీ నువవు కేవలం ధన వం తు ర ాలి వే కాదు .
लेकिन वह मेरा जन म सि द ध अधि कार मेरी छो टी बहन को देना चाहते थे . . .	కానీ నేను నా క ంటి కి రె పప లా చూ సు కొ ని , పరి ర కషి ంచిన . . .
हमने चु ना हुआ समय , लेकिन अभी मुझे तुमहें सुरकष ित रख ना है .	అద ను చూ సి దా డి చే దదాం , కానీ ఇపపుడు మా తరం నేను మిమమలని కష ే మ ంగా ఉ ంచాలి .
मुझे ऐसा नहीं लगता .	అలా ంటి వే వీ క న బడ టం లేదు .
" ओह , पै रिस , इस पर अब और	అపపుడు నాతో నేనే అను కుననాను ,
हम सभी इसे स हा यह जानते हुए कि यह कभी स मा पत नहीं होगा .	అది అంత మ యయ ే అవకా శం లే దని తెలి సి కూడా మే మ ంద ర మూ ఆ కష ో భ ని అను భ వి ంచా ం .
लेकिन यह बहुत अ कष म है .	కానీ చాలా భ యా న కంగా ఉంటుంది .
और , अ ती त में , उनहें हम से जु ड ने का नि रण य ले ने की अन ुम ति दी गई थी ,	ఇంకా , గ తం లో , వారి ని మ ాలో చే రచు కొ నే ందుకు అను మ తి చచా రు ,
हम यहाँ नहीं रह सकते .	మన మి కకడ ఉండ కూడదు .
तुमहें कया पर वाह ?	నువవు నీ పని ని ఆ పా వు .
जो कोई भी हैं , अगर वे हमें मार ना चाहते थे , तो हम अब तक मर चु के होते .	భ ూ గర భ ంలో తల దా చు కొ నన తె గల కు సంబం ధి ంచిన అనే క క థ లు ఉననాయి .
नहीं . वह मरी नहीं है .	లేదు . లేదు , తను చని పో లేదు .
तुम न ई हो . तुम सि ख जाओ गी .	నువవు కొతత కదా . నే రచు కుంటా వు లే .
हमें इसे तब तक ख ी ं च ना होगा जब तक कि लि फ ट ऊपर की तरफ न च ली जाए .	నా ననా . నా ననా , ఇ ద ె లా పని చే సతు ందో నాకు తెలు స ను కుంటా .
मैंने जो महसूस किया वह थी उनसे दू री , उ दा सी न ता .	నేను నా ఇదద రు తో బు టటు వు లలో పెదద దానని .
मैं छ ह में से सबसे छो टी थी और हमारे पिता एक रा कष स थे .	నేను మా ఆ రు గురి తో బు టటు వు లలో ఆ ఖ రి దానని , మా నా న నే మో న ర రూ ప రా కష సు డు .
मेरा परिवार कहाँ है ?	నా కుటుం బం ఎకకడ ?
भरो सा करने के लिए आप लोग बहुत जयादा हैं .	మీరు చాలా మంది ఉననారు నమమ డానికి .
तो मेरे पीछे आओ .	అయితే నా వె ంటే రండి .
मुझे खुशी है कि तुम यहाँ हो .	నువ వి క డి కి వచచి న ందుకు ఆన ంద ంగా ఉంది .
कया ?	ఏంటి ?
दिल च सप है .	బాగుంది .
अगर हम काफी हैं . . .	మనం త గి న ంత మంది ఉ ండి . . .
आप करी ब हैं .	మే మి కకడ ే ఉననా ం !
मेरा परिवार कहाँ है ?	నా కుటుం బం ఎకకడ ?
मैं तुमसे अंदर जलदी मिल ु ं गा .	గు డా రం లోప ల తవర లోనే నినను కలు సతాను .
कया ?	ఏంటి ?
मुझे विश वास है कि एक बार तुम उनहें बता दो गी कि मैं कौन हूँ , वे समझ जाएँगे .	నే నె వర ో వాళళ కి నువవు చె బి తే , వాళళ కి అరథ మ వు తుంది అనుకుంటా ను .
पु रु ष ों के बीच तुमहारी उ पस थि ति केवल उनहें भर मि त करे गी .	మా వాళళ మ ధ యన నువవు ంటే వాళళు తి క మ క పడి పో తారు .
तुम हमारे पास आए . कयों ?	కానీ మా వ దద కి వచచా రు . ఎందుకు ?
जब मैं बडी हुई और मेरी बहन को सि ं हा सन से ह टा ने के लिए	నాకు వయ సు వచచా క , నా అ కక ను గ దద ె ది ంచ డా ని కని
हम इसे ऊपर से निय ंत रि त कर सकते हैं . इसे वापस भेज ेंगे .	ఎ లి వే టర పె కి వెళళ ే ంత వర కూ మనం దీ నని లా గ ాలి .
उन पर हुई किसी भी कष ति हमारे हर दस व ें आदमी को मिले गी ,	వాళళ కి ఏ హా నీ జరిగి నా , చ ీ టలు వే య డం ద వా రా మన వారి లో ని పర తీ ప ది మంది కి
मैंने तुमहें अपना व च न दिया हो . . .	నువవు ఏ మా తరం శం కి ంచ కుండా దానని నమ మే దాని వి .
मुझे यकीन नहीं था कि इसके साथ कया करना है और मैं चाहती थी . . .	నాకు దాని తో ఏం చేయ ాలో అరథం కాల ేదు , ఇంకా నాకు . . .
मेरा नाम डी लिया है .	నా పేరు డీ లి యా .
हम में से कोई भी तुमसे जयादा नहीं जानता .	మే మ ంద రం మే ల న ొ ననా క చూ సతే ఈ తా ళ ం వే య బడి న గ ది లో ఉననా ం .
यह स था न ब ड ों दवा रा नि ष ि द ध है ,	ఇకకడికి రా వ డా నని అ గర జు లు ని ష ే ధి ంచారు ,
और मैं आप से एक चीज चाहता हूँ .	కానీ బ దు లు గా నేను నినను కో రే ది ఒకక టే .
कर म चा री ? हम करी ब ती स हैं .	పని వాళళ ా ? ము పప ె మంది దా కా ఉననా ం .
इ ध र से .	ఇ టు రండి .
ठीक है .	సరే . సరే .
वहाँ ल डा ई हुई .	ఓ కొ ట లా ట జరిగింది .
तुमने " नहीं " कहा .	తీ వర తరం చే సతు ందని . . .
तुम बि न बुला ए हो , हाँ ?	ఇకకడ ఎవరో ఉననారు .
मैंने उनहें मर ते हुए देखा .	ఆమె చని పో వడం చూశా ను .
हाँ , जन र ल .	అయి ంది , జ న ర ల .
ठीक है . तो तुम उन में से एक हो .	అలా గా . అయితే నువ వ ూ వారి లో ఒక రి వి అన మాట .
जिस की मैंने देख भा ल की और सं रकष ित किया . . .	నా చె ల లె లి కి , నా జ నమ హ కకు ను . . .
तुम ! तुम खा ली कयों हो ?	ఓ య ! నువ వె ందుకు ఖ ా ళ ీ గా ఉననావు ?
- मुझे उनका बै ग ख ून में मिला . - कया ?	- నాకు రక త పు మర కలు నన తన స ంచి దొ రికి ంది . - ఏంటి ?
तुम मर चु की थी और अब तुम नहीं मरी हो .	నువవు చని పోయా వు , కానీ ఇపపుడు చూ సతే బర తి కే ఉననావు .
मैं यही हूँ .	నే ని కకడ ే ఉననాను .
तुम हो श िया र थी .	నువవు తెలి వెన దాని వి .
हमें कैसे पता चले गा कि हम म रे नहीं हैं ?	కొనని తె గ లె తే ది గు వ న ఎంత కాల ం నుంచి ఉ ంటుననా య ంటే . . .
तो ?	మ రీ ?
जब लड का बहुत छो टा था .	అతను మా ఊ రి లోకి వచచి చే రా డు .
- पिता जी ! पक ड ें ! - कृपया ! पक ड ें , पापा !	మేము నినను పటటు కొ నే ఉననా ము !
कृपया .	దయ యు ంచి .
सब ठीक है . तुम बिलकुल सही से रहो गे .	పర వాలేదు . మీ కే మీ పర వాలేదు .
यह उसके लिए मह त व पू रण होगा .	నీ ద రి దర పు అ ధి కా రా నని అ ణ గ దొ కక డానికి
जो तुमने कहा मैंने वो किया .	నువ వ డి గి న టటే చేశా ను .
हमें अ व श य जाना चाहिए . वे आ ते ही होंगे .	నేను మిమమలని కష ే మ ంగా ఉ ంచాలి .
मुझे नहीं पता .	అందు కని పా రి పోయా ను .
मैं उन चीज ों को कर सकता हूँ जो यहाँ कोई नहीं कर सकता .	ఇకకడ ఎవ వర ూ చేయ లేని ప ను లను నేను చేయ గలను .
पापा . . . मैं आप तक नहीं पहुँच सकता !	నా . . . నాకు అంద డం లేదు ! నీ చేయి నాకు అంద డం లేదు !
हम भाग ेंगे .	మనం పా రి పో వాలి .
अगर हमें वे ह थ िया र मिल जाएँ , यह मा य ने नहीं रख े गा .	ఆ ఆ యు ధ ాలను మనం చే జి కకి ంచుకో గ లి గి తే , దాని వలల ఏ పర యో జ న మూ ఉండ కపో వచచు .
काम पर वापस जाओ .	తిరిగి పని మొద లు పెటటు .
मुझे बता ना जब वह हि ले .	మళలీ పరయతని దదాం .
मुझे छो टा लगता है . . .	అవి సరి పో వు . . .
एक लड का .	ఒక పి లలా డు .
म हा रा नी जी .	మ హా రా ణి .
पापा , इसे पक ड ें !	నా ననా , దయచేసి పడి పో కు .
और कया मैं गलत थी ?	అదే మెనా తపప ా ?
खैर , मुझे भी नहीं पता कि तुम कौन हो .	నువ వె వర ో కూడా నాకు తెలీ దే .
एक से ना उसकी रकष ा करती है .	ఆ వి డ కి అకకడ ఓ సె న యం కా ప లా గా ఉంటుంది .
थो डे ही समय में पू रे गा ँ व को भी पता चल गया था .	అతను పు టటి ఎకకువ కాల ం గ డ వ క ము ందే అతను భి నన మని నాకు తెలి సి పోయింది .
नहीं !	అ యయ య యో !
तुम रा नी नहीं हो .	కానీ మ హా రా ణి నువవు కాదు .
" अगर " उनहोंने कहा है तो ?	" ఒక వే ళ " అను ంటే నా ?
इसके लिए शुकरिया .	ఇక , ఇదే ం చేయ గల దో చూ దదాం .
कोई है यहाँ .	ఇకకడ ఎవరో ఉననారు .
रुको , कृपया .	దయచేసి , కా సత ఆగు .
एक बेहतर होता .	ఒక రె తే నే బాగు ంటుంది .
जब तक आप चा हें , आपका सवागत है . आ इए .	మీరు ఎంత కాల ం ఉండ ాలను కొ ంటే అంత కాల ం ఉండ వచచు . రండి .
मैं ही हूँ जो बच चों को और अधि क चाह ने के लिए परे रि त करती रही ,	ఎకకువ ద కకి ంచుకో వాలని , ఎకకువ సా ధి ంచుకో వాలని
मे ज पर .	ఆ ఉ త స వ ంలో ,
दुनिया बदल रही है , कुछ नया ला रही है .	లో కం తన పా త చ ర మా నని వదిలే సతూ , కొతత చ ర మా నని చూ పు తోంది .
और रो श नी ?	మరి ఆ దీ ప ాలు ?
तब मैंने सी खा . . .	అ పపుడే నాకు బో ధ పడి ంది . . .
कया देखा ?	దే నని చూశా వు ?
उनका दा वा है कि जब तक हम अनु रो धि त भ ु ग ता न नहीं करेंगे	నిరణ ీ త పరా ంతా నికి , అడి గి న ంత మొ త తా నని
यह जगह जहाँ तुम हो , यह शा ंत है ,	మీరు నన ఈ పర దేశం , పర శా ంత ంగా , ని శ చ ల ంగా ఉంటుంది ,
थोडी देर में .	చో టు చేసుకో బో తోంది .
लेकिन जल द नहीं , कुछ समय तक नहीं .	కానీ అది అంత తవర గా , కొ ంత క ాలా నికి కానీ జరగ లేదు .
अधि क पा ने के लिए .	అదే ఇకకడికి దా రి తీ సింది .
या कर ूर ता , या वा सत व में कुछ भी .	కానీ నువవు పొ ర బడ డా వు .
उप - शी र ष क अनु वाद क : ज शन	ఉ ప శ ీ ర షి క లను అ నువ ది ంచిన ది : అ లే ఖ య
प तर .	కొ ఫ ూ న .
वि फ ल होने वाला है .	అందు కని . . .
अ ती त में , बि न बुला ए लोग आए थे .	ఇకకడికి రా కూడ ని వాళళు గ తం లో చాలా మంది వచచా రు .
कया ?	ఏంట ది ?
पिता जी , मुझे लगता है कि मुझे पता है कि यह कैसे काम करता है .	తను చూ సింది . తన తో చాలా జా గర తత గా ఉండ ండి .
कयोंकि वे अब भी यहाँ हैं .	ఎందుకంటే వాళ లి ం కా ఇకకడ ే ఉననారు కాబటటి .
यह लो . यह गर म है .	ఇది గో . ఇది వె చచ గా ఉంటుంది .
आओ . इस तरफ .	రండి . ఇ టు వెపు కు .
शायद तुम इससे अधि क चाहती हो .	ఇకకడ చా కి రీ చే సతునన తొ లి మ హి ళ వే ం కాదు నువవు .
फिर ौ ती ?	డబబు కో సమా ?
मुझे इसे एक साथ रख ना होगा .	నేను దీ నని వి జ య వ ంత ంగా అ ధి గ మి ంచ ాల ే చేయాలి .
तुमहारी पसंद , मा घ रा , उनकी नहीं .	అది నువవు ఎ ంచు కునన మా రగ ం , మా గరా , అది అతని ది కాదు .
लेकिन कब तक ?	కానీ ఎంత కాల ం పాటు ?
पिता जी , ह टो !	నా ననా , ప కక కి జరుగు !
हम सभी को साम ना करना प डा उनकी कर ूर ता का और उनका गु ससा . . .	అతని క రూ ర త వా ని కీ , అతని కో పా ని కీ . . .
जब मैं पहुँ ची , तो दरवा जा खु ल ने से पहले पाँच सर दिया ँ और गर मि या ँ बी त गई ं .	నువవు వచచింది కేవలం ఇది చెపప డా ని కే అయ యు ండ దు .
फिर वह च ली गई .	తరవాత ఎ టో వెళలి పోయింది .
तो मैं भाग गई .	నే ని దంతా ఏమీ కో రు కో లేదు .
हाँ , यह था .	అవును , ఒక పపటి మాట ే .
तुमहारा नाम कया है ?	నీ పే రే ంటి ?
यह आ राम दा य क है .	అది పర శా ంత త ని కలి గి సతుంది .
तुम हमें यह कयों बता रही हो ?	వాడిని పటటు కొ ని ,
कया तुम मेरे लिए उ ठ ो गी ?	పె కి లే సతా వా ?
चलो . कृपया . आप ठीक हैं . हम करी ब हैं .	దయచేసి , ఎ కకు . బాగానే ఎ కకు తుననావు . నీ కే మీ కాల ేదు . దగగర లోనే ఉననా ం .
लेकिन ट ू टे हुए .	కానీ అంతే క ృ ం గి పోయి ఉననావు .
- कया ? - एक और समय होगा ,	- ఏంటి ? - మన క ంట ూ ఒక రో జ ూ , ఒక సమయం వ సతుంది ,
हमें छोड दो .	మమ మ లని ఒ ంట రి గా వదిలే య .
कभी इससे भी बद तर .	ఒక కో సారి అవి మ రీ దారు ణ ంగా ఉండే వి .
वह चले गए .	ఎ కకడి కో వెళలి పోయా డు .
रुको .	ఆ పు , ఏ డ వ కు .
नहीं .	వదదు . వదదు .
उनकी वास ना का .	అతని కా మా ని కీ మే మ ంద ర మూ బ లె పోయా ం .
इसे पक ड ें !	ఎ కకు తూ నే ఉ ండు ! పడి పో కు !
आओ .	ఇ టు రా .
पक ड ें !	పటటు కొ నే ఉ ండు !
कया ?	ఏంటి ? ఏంటి ?
कया हुआ ?	- ఏం చూశా డు ? - ఏం చూశా డు ?
है न ?	నీ సం తా న మే కదా ?
तुम मेरे लिए कया ला ए हो ?	బా బ ూ .
मैं इस श हर के लिए नहीं मर ूँगी . यह श हर मेरे लिए म रे गा .	పా రా హు షా ర !
