तुम कौन हो ?	ఎవరు నువవు ?
तो , कि ंग डम 2 - 9 पर कुछ हुआ है . . .	అయితే , కి ంగ డ మ 2 - 9 కి ఏదో జరిగింది . . .
आने के लिए तैयार होती हो , वह च क कर लगा ता रहे , ठीक है ?	విమా నా నని గ ాలి లో చ కక రలు కొ టట మని చెబు తాను , చెపప నా ?
तुम ऐसा कयों कर रहे हो ? तुम लोग कया चाहते हो ?	ఎందుకు ఇ దంతా చేసతుననా వు ? మీకు ఏం కావాలి ?
मेरा हाथ !	నా చేయి !
वा य ुम ा र ग ली मा 6 0 2 पर कि ंग डम 2 - 9 ,	కి ంగ డ మ 2 - 9 లీ మా 6 0 2 ఎ యి ర వే మీద ఉంది ,
सब कुछ पूरी तरह से सुरकष ित है , शुकरिया ब ग दा द .	అంతా కష ే మ ం ఇంకా బాగు ననా ం , థాంక యూ బా గ దా ద .
त भी देखा जब वे मुझे यहाँ लेकर आ रहे थे . वे बं धे हुए थे .	వాళలు ననను ఇకకడికి పం పి ంచిన పపుడు చూశా ను . వాళ లని క టటే సి ఉ ంచారు .
वह ऐसा कभी नहीं कह ता अगर हा ला त ग ं भी र नहीं होते .	పరిసథి తి చాలా తీ వర మెన ది కా బ టటే అతను అలా చెపపి ఉంటా డు .
तुमने दु ब ई फोन किया तो उनहोंने ठीक - ठीक कया कहा ?	నువవు దు బా య కి ఫోన చేశా వు మరి దు బా య వాళలు ఏం చెపపా రు ?
जानता हूँ . मुझे माफ करना . मुझे एक मदद चाहिए .	నాకు తెలుసు . సా రీ . నాకు ఒక సాయం చేయాలి .
या जब हमने यह फै सला किया था कि हमारे बीच सब खतम हो गया है , तो वह खतम हो गया था .	లేదా మన మధయ బం ధం ము గి సింది అని నువవు ఒ పపు కునన పపుడు , అది ము గి సి పోయింది .
अपनी कु र सी की पे टी खो लो . पे टी खो लो .	నీ సీ ట బె ల ట తీ సే య . బె ల టు తీ సే య .
वह खास बी मार तो नहीं लग रही थी .	ఆమె అంత అ నా రో గ య ంగా ఏమీ కనిపి ంచ లేదు .
{ \ an8 } 1 के : तुमहारी यो जना काम कर गई .	{ \ an8 } 1 కె : నీ ప లా న పని చేసి ంది .
. . . तो मैं उसे उस बं दे की फि कर करने से नहीं रो क ूँगी ,	. . . అపపుడు ఆమె ఆ వయకతి కోసం తన కి కా వల సిన ంత గా ప టటి ంచుకో వచచు ,
यह बहुत जयादा जरू री है .	ఇది ఖచచితంగా జరిగి తీ ర ాలి .
उप - शी र ष क अनु वाद क : पु नी त	తెలు గు అను వాద ం : స తీ శ కు మార
मैं दुनिया की सबसे बु री या त रा पर हूँ , बस और कुछ नहीं .	ఈ పరపంచ ంలో నే అ తి చెతత పర యా ణం చేసతుననా ను , అదే నేను చే సతునన ది .
हाँ , और हो स के तो इस तरह की बात के लिए मुझे दोबारा फोन मत करना , हाँ ?	అవును , ఇంకా బహుశా మళలీ ఇలా ంటి విషయ ాల గురించి నాకు ఇం కె పపుడ ూ ఫోన చేయ కు , సరేనా ?
यह यो जना का हि ससा हो ही नहीं सकता .	అది మీ ప లా న లో భా గం కా కపో వచచు .
सही . विमान के पायलट से बात हुई थी .	నిజం . విమానం వారి తో మాటలా డా ను .
इस ने कया किया है ?	ఆమె ఏం చేసి ంది ?
सब कुछ ले लिया ?	అన నీ తీసు కుననా వా ?
शुरू में सन ै कस . . . सी फ ू ड . . .	సటా ర టర లు . . . అనని ర కాల సీ ఫ ు డ . . .
हो सकता है कोई उससे झूठ बु ल वा रहा हो .	బహుశా ఎవరెనా అతని తో అబ దధ ం చెపపి ంచి ఉండ చచు .
- और उसके लिए लड ना वा जि ब है . . . - वा जि ब है .	- ఆమె కోసం పో రా డ వచచ ంటే . . . - అ ందుకు ఆమె అర హు ర ాలు .
देखो , तुमने हर किसी को अपनी मर जी से बि ठा या है , सि वा य उसके .	చూడు , అందరూ ఎవరు ఎకకడ ఉండ ాలో అకకడ ఉననారు , అతను తపప .
हाँ ? अचछा , अंदर जाओ . जाओ अंदर . अंदर .	సరేనా ? సరే , లోప లి కి వెళ లు . లోప లి కి వెళ లు .
- तुम मेरी बात सुन रही हो ? - हाँ . देखो . . .	- నువవు ఇంకా లెన లోనే ఉననా వా ? - ఉననాను . చూడు . . .
मैं कहीं नहीं जा ऊँगा ! मुझे छोड ो , छोड ो मुझे !	నేను క ద లను ! నా మీద చే తులు తీ య ండి , ద ూర ంగా వెళల ండి !
तो आज सु बह सब कुछ बहुत अचछा नहीं चल रहा है .	కాబటటి ఈ ఉద యం నుంచి మేము చాలా గ ంద రగ ో ళ ంగా నే ఉననా ం .
और ग ंत व यों की सू च ना यहाँ है .	ఇంకా పర ో గరా మ గ మ య ాలు ఇకకడ ఉననాయి .
शुकरिया .	థాంక యూ .
शुकरिया .	థాంక యూ .
हे , सब ठीक हो जाएगा , ठीक है ?	హేయ , అంతా బాగానే ఉంటుంది , సరేనా ?
मेरी बात कै प टन से हो रही है ?	నేను కె ప టె న తో నే మాటలాడు తుననా నా ?
- आप कै प टन हैं ? - जी .	- మీరు కె ప టె నా ? - అవును .
तुमहारे लिए एक लग भ ग आ पा त का ली न फ ला इट आई थी .	నీకు ఒకటి మా తరం దా దా పు గా ఎ మర జె నస ీ పరిసథి తి ఉంది .
उसे यह सोच ने पर म जब ूर किया कि वह खत रे में था जब कि जा ह िर है वह खत रे में नहीं था .	పరమా ద ంలో లేక పోయి నా అన వ సర ంగా త నని ఆ ందో ళ న పడ ే లా చేసిన ందుకు కో ప ంగా ఉంది .
वह तुम लोगों का सर दार , कया नाम है उसका ?	ఆ మనిషి , ఆ ఇ న ఛ ా ర జ , అతని పేరు ఏంటి ?
अगर सब कुछ ठीक हो चुका था , तो दूसरे क ॉलर ने और मै से ज कयों नहीं भे जे ?	ఆ సమసయ పరి ష కా రం అయి పోయి నపపుడు , రెండ ో కాల ర మరి నని మె సే జ లు ఎందుకు పం ప లేక పోయా డు ?
{ \ an8 } पायलट ए ले न , पलीज अपनी जन मत ि थि बता एँ , यह सुरकष ा सवाल है .	{ \ an8 } పె లెట అ లెన , దయచేసి మీ పు టటి న రోజు , సె క యూ రి టీ పర శ నని ఖ రా రు చేయ ండి .
बॉ बस . - ए लिस ?	- బా బ స . - ఆ లి స ?
मैं तुमहें झ ी ं गा म छ ली खिला ऊँगा . ठीक है ?	నీకు ఎ ండ ర కా య ల వ ంట కా నని వి ందు గా ఇ సతాను . సరేనా ?
कोशिश की और तुम में से किसी ने गोली चला दी , तो फिर यह विमान नहीं ब चे गा .	మీ లో ఎవరెనా వాళ లలో ఒకక రి ని ఎదు ర కో లేక పోయి నా , అపపుడు ఈ మొతత ం విమానం నే ల కూ లి పో తుంది .
- विमान सुरकष ित है . - हाँ . अभी , यह सुरकष ित है , हाँ .	- విమానం భ దర ంగా ఉంది . - సరే . పర సతు తా నికి , భ దర ంగా ఉంది , సరే .
कयोंकि मैं यह सु नि श चि त कर ूँगी कि हमारा रिश ता उनसे बेहतर हो .	ఎందుకంటే ఆమె ననను ఎకకువ గ ౌ ర వి ంచ ాలని కో రు కుంటుననా ను .
वह झूठ कयों बो ले गा ?	ఎందుకు అబ దధ ం చెబు తా డు ?
मेरा हाथ छोड ो . मत करो .	నా చేయి వ దు లు . ఆ పు .
गे म स ें टर अभी खेल ें	గే మ సె ంట ర ఇపపుడు ఆడ ండి
मु द दे की बात यह है ,	ముఖ య మెన విషయం ఏమి ట ంటే ,
एक आया को बुला ल ेंगे . . .	బి డ డని చూ సు కునే మంచి ఆ యా . . .
वैसे , कहा तो उसने यही था .	అవును , ఆమె అదే చెపపి ంది , మరి .
जो भी पिछ ले पाँच मिनट ों में हुआ , वै सा कुछ बर दा श त नहीं किया जाएगा .	కొ ద ది నిమిష ాల కింద ట జరిగి న సం ఘ ట నలు లాంటి వి ఇక పె స హి ంచ ము .
- यहाँ के पर भा री आप हैं , हाँ ? - हाँ .	- ఇకకడ ఇ న ఛ ా ర జ నువవే నా ? - అవును .
फिर तुमने उनहें देखा ? उन आद मि यों को ?	వాళ లని నువవు చూశా వా ? ఆ మ గా ళ లని ?
- सा इ मन ? - तुम इसमें कयों पड रही हो ?	- సె మన ? - నీకు ఎందు కొ చచి న త ంటా ?
देखो , तुमहारे स ह कर मि यों में से कोई तो होगा जो . . .	చూడు , నీకు తెలి సిన వాళలు ఎవరెనా ఉండ చచు . . .
लेकिन दूस री ला इन . उनसे क हो न ज द ीक से दिखा एँ , पलीज .	కానీ మర ొక రూ ట . అత డిని మరి ంత దగగర గా చూపి ంచ మని అడుగు , పలీజ .
ठीक है , हम सक वा क कॉ ड 4 6 2 5 के साथ ल ंद न , ही थ रो के लिए आगे बढ रहे हैं .	సరే , మేము 4 6 2 5 తో సం పర ది ంపు లు జ రు పు తూ ల ండ న , హ ీ త రో విమా నా శ ర యా నికి పర యా ణి సతుననా ం .
चे हरा सामने !	ము ందుకు కూ రచ ో !
किसी ऐसे इंसान को सु बह सा त ब जे	దా దా పు ఐ దు యే ళలు గా అసలు కల వని వయకతి
आप कह सकते हैं . कभी भी कह सकते हैं .	మీరు అడ గ వచచు . ఎపపుడ ెనా అడ గ చచు .
देख िए ?	చూశా రా ?
- बैठ जाओ . - उसे इसका जवाब देना होगा . उसे .	- కూ రచ ో . - అతను జ వా బు చెపప ాలి . అతను .
बहुत हो गया . यहाँ आओ .	నువవు . ఇకకడికి రా .
पायलट ए ले न , पलीज इस बात की पु ष टि करें कि आप सुरकष ित हैं और आपको कोई मदद नहीं चाहिए .	పె లెట అ లెన , మీరు కష ే మ ంగా ఉననా రని ఎలా ంటి సహా యం అవసరం లే దని ఖ రా రు చేయ ండి .
इन की हा लत बहुत ख रा ब है . मुझे बस इन के लिए थोडा और सा मान ले आने दो .	ఈ మె పరిసథి తి మ రీ ఘ ో ర ంగా ఉంది . నేను . . . నేను తన కి కొనని మ ందు లు తె చచి ఇ సతాను .
खास त ौर पर तुमहारे और मेरे बीच जो . . . उसके बाद .	నీకు , నాకు మధయ ఇంత జ రి గా క కూడా . . . చూడు .
हाँ , फ ला इट नंबर बताओ , डै निय ल .	సరే , విమానం నె ం బ రు చెపపు , డా నియ ె ల .
विमान मेरे वि भाग में नहीं आ ते हैं .	విమా నాలు నా డి పార టు మె ంట కాదు .
यह ठीक है . - यह ठीक नहीं हैं .	- ఆమె బాగానే ఉంది . - తను బా గ ాల ేదు .
कि ंग डम 2 - 9 से कोई जवाब नहीं आ रहा था . वे अपनी पह चा न नहीं बता रहे थे .	కి ంగ డ మ 2 - 9 సప ంది ంచడం లేదు . వాళలు గుర తి ంపు కూడా ఇవ వడం లేదు .
तुम मुझसे कया चाहते हो ?	ననను నువవు ఏం అడుగు తుననావు ?
मैंने अभी तुमसे कया कहा था ?	నేను ఇ పపుడే ఏం చెపపా ను ?
और कोई मदद माँ ग रहा है .	ఇంకా ఎవరో సాయం కో రు తుననారు .
मुझ पर एक इ ना य त करो . मेरे लिए पीछे बा थ रू म में चले जाओ .	నాకు ఒక సాయం చేయి . వె ను కకి బా త రూ మ లోకి వెళ లు .
और वह परे शान था और घ बरा रहा था और फिर तुमने उसे एक ह री टो पी दी .	ఆయన ఆ ందో ళ న గా కంగా రు గా కనిపి ంచా డు ఆ తరువాత నువవు అతనికి ఆ కు ప చచ టో పీ ఇ చచా వు .
- पहले कया कहा था ? - कि मेरा अप ें डि कस निकल वा या है .	- ఇంత కు ముందు ఏం చెపపా ను ? - నాకు అ పె ండి కస ఆ పరే షన అయి ందని .
यह मेरे लिए नहीं है .	అది నా కోసం కాదు .
मेरी गर ल फर ें ड ने उसे त भी वापस मै से ज किया , लेकिन वह मै से ज पहुँच नहीं पा या .	ఆమె వెంట నే సమా ధా న ంగా మె సే జ చేసి ంది కానీ , అది ఆ ఫోన కి అంద లేదు .
{ \ an8 } मैं फ ला इट से वापस आ रहा हूँ . खेल खेल ना बंद करो .	{ \ an8 } నేను విమానం లో తిరిగి వ సతుననా . ఆట ల ఆడ కు .
मुझे दिखा ओ .	నాకు చూపి ంచు .
तुमहें लगता है कि . . .	నువవు ఏం అనుకుంటా వ ంటే . . .
लेकिन किसी ने इसे बदल कर 3 2 3 डि ग री कर दिया है .	కానీ ఎవరో దానిని 3 2 3 డి గర ీ ల కి మార చా రు .
नहीं . शुकरिया . मैं चला जाता हूँ .	వదదు , థాంక యూ . నేనే వెళ తాను .
देखो , मेरे लिए . . .	చూడు , ఈ జ నం . . .
कि कुछ ग ड ब ड है कयोंकि इसे लगता है यह सब रु क जाएगा ,	ఎందుకంటే ఇ దంతా ము గి సి పో తుంది అనుకుంటుననా డు
तो वह इस बं दे के कुछ कह ने या करने की इतनी पर वाह कयों करती है ?	ఏం చేసి నా ఆమె అంత గా ప టటి ంచు కు ంట ో ంది అంటే నువవు ఏం అనుకుంటుననా వు ?
2 डी : ज मी न पर मौ जू द लोग कया जानते हैं ?	2 డి : గర ౌ ండ కి ఎంత సమా చా రం ఉంది ?
- तो , इस बारे में दो फोन आए थे ? - माफ करना ?	- అయితే , రెండు కాల స జ రి గా యా ? - ఏంటి ?
यह देखो , ऑ टो पायलट , ए पी 1 , शुरू हो चुका है .	మీరు చూ సతే గ నుక , ఆ ఆ టో పె లెట , ఎ పి 1 అమ లు లో ఉంటుంది .
" सै म ने ल सन . " - हाँ .	- " సా మ నె లస న . " - అవును .
के ए 2 9	కె ఎ 2 9
मेरा हाथ दु ख रहा है .	నా చేయి న ొ పప ి పె డు తోంది .
बैठ ो .	కూ రచ ో .
- तुमने गोली की आवा ज सु नी ? - नहीं , मैंने बस सुना कि ऐसा हुआ .	- గ న పే ల డం వి ననా వా ? - లేదు , అది జరిగి ందని వి ననాను .
नी ला , हाँ .	నీ లా , అవును .
हे , जब तुमने कहा था , मतलब . . .	హేయ , నువవు అలా అనన పపుడు , తెలుసా . . .
फिर उसने कहा वह उससे कितना पयार करता है . और वह हमेशा उससे पयार करता रहे गा .	తరువాత అతను ఆమె ని ఎంత గా పరే మి సతుననా డో చెపపా డు . అతను ఎలా ఎ పపటి కీ ఆమె ని పరే మి సతా డో చెపపా డు .
विमान पर स वार कोई इंसान यू के को फोन करता है ,	ఎవరో ఆ విమానం లో ఉనన వారు యు నె టె డ కి ంగ డ మ కి ఫోన చేశారు ,
तुम नहीं जाओ गे , तो हम सब मा रे जाएँगे . . .	నువవు రా కపోతే మన మ ంతా చని పో తా ం . . .
{ \ an8 } अपने परति द व ंद वी से बातें करें	{ \ an8 } మీ పర తయ రథ ి తో చా ట చేయ ండి
मेरी गर ल फर ें ड तुमहारी बहुत शुकर गु जार है .	నా గర ల ఫ రెండ చాలా క ృ త జ ఞ తలు చెపపి ంది .
तुमहें लगता है अगर वह जिंदगी में आगे बढ चु की थी ,	పరే మ బం ధం వది లి వెళలి పోయి న మనిషి గురించి , అతను ఏం చెపపి నా ,
" मेरी दुनिया हिला दो . "	ననను పటటు కో చూ దదాం .
आपने यह पहले भी कहा था .	ఇంత కు ముందు చెపపా వు .
मुझे वहाँ आने के लिए म जब ूर मत करो , बचचे .	నేను అ కకడికి వచచే లా చేయ కు , మిసటర .
अब इस पर स ख ती से नजर रख ी जाती है .	ఇపపుడు వాటి ని చాలా కష ు ణ ణ ంగా గ మని సతుననా ం .
यह कि तुम पता लगा ओ कि सब ठीक तो है .	సరే , అది అంతా స వయ ంగా ఉ ందో లే దో చూడ ాలి .
कया कहा तुमने ?	నువవు ఏం చెపపా వు ?
तुमहारी सु बह अचछी नहीं बी त रही है .	కేవలం నీ ఉద యం సరి గగా లే ద ంత ే .
यह यहीं रहे गी .	ఈ మె ఇకకడ ఉంటుంది .
फिर दूसरे क ॉलर ने यह बात भी कयों नहीं क ही ?	అయితే మరి ఆ రెండ ో కాల ర కూడా అదే మాట ఎందుకు చెపపా డు ?
और दूस री ला इन पर ?	మరి ఇం కొ క లెన ?
वह गलत कैसे हो सकता है ?	అతను తపపు గా ఎందుకు చెబు తా డు ?
तो आपने कुछ भी सं दि ग ध नहीं देखा ?	అయితే ఏదెనా అను మా నా స పద ంగా ఉండ టం చూశా రా ?
कि ंग डम 2 - 9 , क ंट रो ल से बोल रहा हूँ , आप सुन रहे हैं ?	కి ంగ డ మ 2 - 9 , మేము క ంట రో ల , మీరు వి ంటుననా రా ?
कया बात है .	మంచి పా ట .
ऐसा लोग कह रहे थे .	జ నం అదే అనుకుంటుననా రు .
लो , अब बताओ . - हे !	- సరి గగా , ఇకకడ . - హేయ !
अभी तो तुमहें नहीं चाहिए , लेकिन अगर दोबारा कुछ गलत हुआ तो ?	సరే , ఇ పపటి కి మీకు అవసరం లేదు , కానీ మళలీ అంతా గ ంద రగ ో ళ ం అయితే ఏం చేసతా రు ?
वहाँ एक आदमी है जो जाकर उनसे मिल गया है .	అకకడ ఒక మనిషి ఉననాడు , అతను వాళల ప కష ం వెళలి పోయా డు .
नीचे की तरफ वह कि ंग डम .	ఆ అడుగు న ఉనన కి ంగ డ మ విమానం .
- जयादा से जयादा प ंद रह मिनट . - हाँ ?	- అవునా ? - మ రీ ఆ లస యం అంటే ప ది హే ను నిమిష ాలు .
आप बाहर जा रही हैं जैसे कुछ हुआ ही नहीं है ?	ఏమీ జరగ న ట లే నువవు బయట కి వెళ తుననా వా ?
कि ंग डम ए यर ला इं स जी - के ए न डी ए म - के ए 2 9	కి ంగ డ మ ఎ యి ర లె నస జి - కె . ఎ న . డి . ఎ మ . - కె ఎ 2 9
ल ु फ थ ै न जा , 9 5 8 , दा एँ मु ड ें .	లు ఫ తా ం సా , 9 5 8 , కు డి వెపు మ ళల ాలి .
फोन नहीं करना चाहिए , जि से आपने लग भ ग , कि तने , पाँच साल ों से ना देखा हो ?	ఉద యం ఏ డు గంట లకు ఫోన చేయడం అంటే , చాలా తవర గా చేసిన టలు కదా ?
हाँ , नहीं , हमने दु ब ई से दो बार पता किया था ,	అవును , లేదు , మేము దు బా య తో రెండు సా రలు చె క చేసు కుననా ం ,
फा ति मा . मैं तुमहें वापस फोन करता हूँ .	ఫా తి మా . నేను మళలీ ఫోన చేసతాను .
बंद ूक ! बंद ूक कहाँ है ?	గ న ! గ న ఎకకడ ఉంది ?
देखो , डै निय ल , अगर मैं तुमहारी जगह होती , ठीक है ,	చూడు , డా నియ ె ల . నా దే పొ ర పాటు అంటే , సరే ,
- पायलट ों की ? - ब रि टि श लोगों की . भा वना ही न .	- పె లెట లా ? - బ రి టీ ష పర జ లు . వాళల కి భా వో ద వే గ ాలు శ ూ న యం .
हमने कई बार कोशिश की .	మేము చాలా సా రలు పరయతని ంచా ం .
कया यह त य रा सता है ? हाँ , यह ठीक है और यह रा सता	అది ఎపపుడూ వెళ లే మా రగ మే నా ? అవును , అది ఫర వాలేదు , అనుకుంటా ,
माफ करना , मेरा वह मतलब नहीं था .	సా రీ , నా ఉదదేశం అది కాదు .
उसकी शि फ ट खतम हो गई होगी .	బహుశా ఆమె షి ఫ టు అయి పోయి ఉండ చచు .
इसमें तीन डि ग री का वि चल न है . इसे 3 2 0 डि ग री पर जाना था ,	ఇకకడ మూ డు డి గర ీ ల మార పు ఉంది . అది మా మూ లు గా 3 2 0 డి గర ీ ల మా రగ ంలో ఉండాలి
यह सब बकवास शुरू करने का आ इ ड िया किस का था ?	మా మీద దా డి చేయ ాల నన ఆలోచ న ఎవరి ది ?
के ए 2 9 जी - के ए न डी ए म रा सता 3 2 3 डि ग री	కె ఎ 2 9 జి - కె . ఎ న . డి . ఎ మ . ట రా క 3 2 3 డి గర ీ లు
देख कया रहे हो , उसे लेकर आओ . उसे यहाँ लेकर आओ .	ఆమె ని తీసుకు రా వాలి , తపప దు . ఆమె ని ఇకకడికి తీసుకు రా .
कयोंकि इसे लगता है यह सब रु क जाएगा . कया तुम उसे बताओ गे , पलीज ?	ఎందుకంటే ఇ దంతా ఆ గి పో తు ందని అతను అనుకుంటుననా డు . దయచేసి అతనికి చెపప గల రా , పలీజ ?
इसे वापस इसकी सी ट पर ले जाओ .	ఇ త ని ని తన సీ టు దగగర కి తీసుకు వెళ లు .
चु प रहो .	నో రు మూ యి .
चु प करो .	నో రు మూ యి .
हाँ .	ఉంది .
हाँ . ब रि टि श लोगों का फोन था .	అవును . బ రి టీ ష వాళలు ఫోన చేసతుననా రు .
अस सला मु अ लै क ुम .	స లా మ ఆ లే కు మ .
वा लै क ुम अस सला म .	ఆ లే కు మ స లా మ .
वह सब एक गलत फ हम ी थी .	ఏదో పొ ర పాటు గా అను కుననా రు .
तुमहें कैसे पता ?	అది నీకు ఎలా తెలుసు ?
उसे लेकर आओ .	ఆమె ని తీసుకు రా .
और इसमें गलत कया है ?	కానీ అందు లో తపపు ఏం ఉంది ?
दा ल में कुछ का ला है .	ఏదో తే డా గా ఉనన టలు గా ఉంది .
और अगर यह नहीं है , तो मैं . . . मतलब , ऐसा कोई हो जो . . .	అది తీ వర వాద చ రయ కా కపోతే , నేను . . . చూడు , బహుశా ఎవరెనా అయి ఉండ చచు . . .
कया मैं फु टे ज देख ने के लिए कह सकता हूँ ?	ఆ ఫ ు టే జ చూడ టానికి నినను అడ గ చచా ?
आपकी दोसत नी ला , आप सही कह रहे थे , वह जलदी च ली गई थी . उसने कहा था वह बी मार है .	మీ ఫ రెండ నీ లా విషయం లో , మీరు చెపపి న ట లే జరిగింది , ఆమె తవర గా వెళలి పోయింది . ఒ ంట లో బా గ ాల ే దని చెపపి ంది .
- मेरी मदद करो गे ? - तुम मुझे म जब ूर नहीं कर सकते .	- సాయం చేసతా వా ? - ననను బ లవ ంత ం చేయ లేవు .
हैलो , से नि ल बोल रहा हूँ .	హలో , నేను సె ని ల ని .
तुमहारी बकवास में किसी को दिल च स पी नहीं है .	నీ చెతత వా గు డు వి నే ఆ స కతి ఎవ రికీ లేదు .
मतलब , जो किसी ऐसे इंसान को जानता हो जो . . .	చూడు , అది ఎవరో ఎలా తెలు సతుంది . . .
सुनो , अगर पहले ही घं टे में सब कुछ गलत हो रहा है ,	చూడు , మొదటి గంట లోనే ఇంత గ ంద రగ ో ళ ం జరిగి తే ,
अपनी आवा ज नी ची रख ो .	చినన గా మాటలాడు .
न टा लिया बोल रही हूँ . ह वाई अ ड डा सुरकष ा वि भाग से .	నా పేరు న ట ాలి యా . ఎ యి ర పో ర ట సె క యూ రి టీ .
कि ंग डम 2 - 9 ? तुमहें ऐसा फोन आया था कि उस पर कुछ मु सी ब त हुई है ?	కి ంగ డ మ 2 - 9 ? ఏదో పరిసథి తి ఉ ందని నీకు ఫోన వచచి ందా ?
सं देश मार शा	మె సే జ లు మార షా
वह फ ला इट मत लो . मैं विमान में बैठ चुका हूँ	ఆ విమానం ఎ కక కు . చాలా ఆ లస యం అయి ంది
अब एक दम आगे पहुँच जाओ .	ఇపపుడు ముందు భా గా నికి వెళ లు .
तुमहें उसे वहाँ से बाहर निकाल ना होगा .	అత డిని అ కకడి నుండి తపప ి ంచాలి .
हो सकता है उसे ध म का या गया हो .	అత డిని బె ది రి ంచి ఉండ చచు .
कि ंग डम 2 - 9 , मैं ब ग दा द क ंट रो ल से बोल रहा हूँ , आप सुन रहे हैं ?	కి ంగ డ మ 2 - 9 , ఇది బా గ దా ద క ంట రో ల , మీరు వి ంటుననా రా ?
बात करना बंद करो , दोसत .	మాట లు ఆ పు , మి తర మా .
मैं घर जा रहा हूँ .	నేను ఇంటికి వెళ తుననాను .
आप रॉ बि न ए ले न हैं ?	మీ పేరు రా బి న అ లెన కదా ?
मैं बस एक मिनट के लिए बा थ रू म गया था .	నేను ఇ పపుడే బా త రూ మ కి ఒక నిమిష ం వెళలి వచచా ను .
पाँच मिनट का मतलब पाँच मिनट कब होगा ?	ఐ దు నిమిష ాలు అంటే ఐ దు నిమిష ాలు అనే మాట ఏ మెంది ?
एक ब ज कर छ ह मिनट से पहले तो नहीं .	1 3 : 0 6 గంట లకు అది చే ర ాలి .
क ंट रो ल , यह बी ए 9 8 5 0 विमान है और हम उडा न भर ने की अन ुम ति चाहते हैं .	క ంట రో ల , ఇది బి ఎ 9 8 5 0 , టే కా ఫ కోసం అను మ తి కో రు తుననాం .
वह भी इस बारे में गलत था ?	అతను కూడా పొ ర పాటు పడ డా డు అంటా వా ?
- पयार तुमहें . बा य - बा य . - बा य , पयार आपको !	- లవ యూ . బె బె . - గు డ బె . లవ యూ !
हि ल ना मत !	క దల దదు !
- मेरी बात सुनो . - तुमहें कैसे पता ?	- నేను చెపపే ది విన ండి . - అది నీకు ఎలా తెలుసు ?
कै प टन रॉ बि न ए ले न हैं ?	కె ప టె న పేరు రా బి న అ లెన కదా ?
हे भगवान .	దేవుడా .
लेकिन , अब सब ठीक है . पायलट ने कहा कि वे बिना वजह डर गए थे .	అంతా ఇపపుడు పరి ష కా రం అయి ంద ను కో . అది త పపుడు హె చచ రిక అని పె లెట చెపపా డు .
वही विमान जो बिना वजह डर गया था ?	దొ ంగ కే కలు పె టటి న కు ర రా డి గురి ంచా ?
अचछा . विमान को ऑ टो पायलट पर करो .	అవును . ఆ టో పె లెట లో ఉ ంచు .
इन का बहुत ख ून बह रहा है .	ఆమె కు పా పం చాలా రక తం కారు తోంది .
किसी वजह से , वाई फा ई बंद था ?	ఏదో కారణ ం వలల వె - ఫె పని చేయడం లేదా ?
कि ंग डम फ ला इट के बारे में बात हो रही थी ?	ఆ ఫోన కి ంగ డ మ విమానం గురి ంచే నా ?
कै प टन ए ले न से मेरी बात करवा इए .	నేను కె ప టె న అ లెన తో ఖచచితంగా మాటలాడ ాలి .
तुम कॉ क पि ट में जाओ और उनसे क हो	నువవు ఏం చేయ ాల ంటే కా క పి ట లోప లి కి వెళలి
- कया यह सही कह रहा है ? बो लो ? - नहीं , वह झूठ बोल रहा है .	- అతను చెపపే ది నిజ మే నా ? నిజ మే చెప తుననా డా ? - లేదు , అతను అబ దధ ం చెబు తుననా డు .
नीचे बैठ ो . मैं कह ता हूँ नीचे बैठ ो .	కూ రచ ో ండి . వెంట నే కూ రచ ో ండి .
अपनी - अपनी टा ई दो .	టె తీ సి ఇవ వు .
दि शा 3 2 9 . नीचे आकर फ ला इट स तर 3 0 बना ए रख ें .	మా రగ ం 3 2 9 . కి ంది కి వచచి ఫ ల యి ట లె వె లస 3 0 లో కొ న సా గి ంచండి .
तो , तुम लोगों ने एक विमान को हा इ जै क कर लिया है , और इस बारे में किसी को कुछ नहीं पता .	అయితే , మీరు విమా నా నని హె జా క చేశారు , కానీ ఎవ వ రికీ ఈ విషయం తెలియదు .
अब आप कया करो गी ?	మరి నువవు ఏం చేసతా వు ?
फ ला इट पा थ क ंट रो ल ने दु ब ई से बात की .	విమా న మా రగ ం క ంట రో ల అ ధి కా రి దు బా య తో మాటలా డా డు .
वह हमेशा ऐसा ही रहे गा .	అతను ఎపపుడూ ఇలా గే చే సతు ంటా డు .
वहाँ नीचे , किसी एक इंसान को भी इसके बारे में कुछ नहीं पता .	కింద , ఒకక మనిషి కి కూడా దీని గురించి తెలియదు .
यह कि ंग डम 2 - 9 की उडा न का रा सता है .	అది కి ంగ డ మ 2 - 9 పర యా ణ మా రగ ం వి డి గా చూపి సతోంది .
जलदी से दोबारा आगे करना .	మళలీ ఫా సట ఫా ర వార డ చేయి .
हो सकता है समस या सु ल झ गई हो .	వాళలు దానని పరి ష కరి ంచి ఉంటా రు .
तो , जब मैंने तुमसे पूछ ा था कि कया यह बं दा वा कई अब उसकी जिंदगी में नहीं है . . .	అందుకే , ఈ మా జీ భ ర త నిజంగా నే మా జీ నా అని నినను నేను అడి గి నపపుడు . . .
अग ले ही पल , यह सब शुरू हो गया .	ఆ తరువాత మీకు తెలుసు , అంతా జరిగి పోయింది .
शुकरिया .	థాంక స .
बैठ जाओ .	కూ రచ ో .
