मै मी ?	మా మీ ?
मैं सट ू डियो के लिए उससे उ धा र माँ ग ने की सोच रही हूँ .	సట ూ డి యో కోసం అత డిని అ పపు అడ గ ాలని అనుకుంటుననా ను .
" अब , और समय आने पर , जहाँ भी हरा पह ना जाएगा . . .	" ఇపపుడు , ఇంకా భ విష యత తు లో , ఆ కు ప చచ ఎకకడ ధ రి ంచి నా . . .
- सच में ? - हाँ . मैं इसकी सला ह द ूँगी .	- నిజంగా నా ? - అలాగే . నేను ఇది సూ చి సతాను .
अरे , अचछा ? मैं बस तुमहारे बारे में सोच रही थी .	ఓహ , వ ంట చేసతుననా వా ? నేను నీ గురి ంచే ఆలోచి సతుననాను .
मेरा ज ॉन प ॉल के साथ कोई च क कर नहीं चल रहा था . यह अ सं भ व है .	జా న పాల తో నాకు ఏ సంబం ధం లేదు . అ ందుకు ఎలా ంటి అవకా శం కూడా లేదు .
ह द है . कया हो गया है इस परिवार को ?	ఇ దొ క మ ంద మ తి . ఈ కుటుం బా నికి ఏం అయి ంది ?
बस , अपने भाई को है ड फोन पह ना दो , म ॉ ली , और . . .	కా సత , నీ తమ ము డి కి హె డ ఫో నస పెటటు , మో లీ , ఇంకా . . .
शायद उसकी प तनी के साथ सं भ ो ग किया था .	అతని భా రయ తో నానన కి సంబం ధం ఉ ందే మో .
बढिया है . कया खा या था ?	మంచిది . మీరు ఏం తి ననా రు ?
नहीं . यहाँ आओ , कोई बात नहीं . बस करो .	లేదు . ఇలా రా , మ రే ం ఫర వాలేదు . ఆ పు .
" . . . सन 1 9 1 6 में ई सटर र वि वार को स व त ं तर ग ण राज य बना था .	" . . . స వ త ంత ర రి ప బ లి క గా 1 9 1 6 ఈ సటర ఆ ది వా రం నా డు అవ త రి ంచింది .
ह ँ सो मत . . . " और अब वे म ृ त हैं . "	నువవు నవ వ కు . . . " వాళలు మ రణ ి ంచారు . "
- ए , अ र सला . - हैलो ! हाँ .	- హేయ , ఉ ర సు లా . - హాయ ! ఇదే .
दरअसल , कोई फर क नहीं पडता है , कयोंकि तुमहारे क पडे स पो र टी नहीं हैं .	సరే , నిజ ానికి అది పెదద విషయం కాదు , ఎందుకంటే నువవు ఆ దు సతు లు వే సుకో లేదు .
और तुम डे ट पर चल ना चाहते हो ताकि मुझसे दोबारा मिल स को ?	అయితే ననను మళలీ చూడ టం కోసం నువవు ఆ తే దీని ఖ రా రు చేసతుననా వా ?
कया डॉ न ल को तुमहारे इस च क कर के बारे में पता है ?	నీ చినన అ కర మ సంబం ధం గురించి డో న ల కి తెలుసా ?
देखा ? इसलिए हमें तुमहारी मदद चाहिए . इसके ब जा य तुम कया सला ह दो गी ?	చూడు ? అందుకే మాకు నీ సహా యం కావాలి . దీ నికి బ దు లు నువవు ఇం కే ం సూ చి సతా వు ?
- गो श त ? - मेरे पास ढ े र है . धनयवाद .	- గొ ర రె ? - నాకు ఎ కకు వె ంది . ధనయవాదాలు .
वे साथ में बेहद पया रे दिख ते हैं .	వాళల ంతా కలిసి ఉంటే చూడ ము చచ ట గా ఉంది .
मुझे पता नहीं था कि तुम आ रही हो . तुमने मेरे सं देश का जवाब नहीं दिया .	నువవు వ సతుననా వని నాకు తెలియదు . నా స ందే శా నికి నువవు జ వా బి వ వ లేదు .
फो र टी फु ट बे दि ंग प ले स	ఫా ర టీ ఫ ు ట స నా నా ల పర దేశం
तो फिर तुम कर रही हो ?	అయితే నువవు చేసతుననా వా ?
बस . . . म . . . बस मुझे बताओ कया हुआ , गरेस .	కేవలం . . . చెపపు . . . ఏం జరిగి ందో చెపపు , గరేస .
तुम जै सी लडकी के साथ यह समझ ना मुशकिल है कि कया कर ूँ .	నీ లాంటి అమమాయి తో ఏం చేయ ాలో నాకు తే ల చు కో వడం కష టం అవు తోంది .
तुमने कहा था कि खाना - पी ना किया था .	మీరు తి ని తా గు తారు అని చెపపా రు .
- तुम ठीक हो ? - मुझे दोबारा बा थ रू म जाना है !	- మీరు బాగానే ఉననా రా ? - నేను మళలీ మూ తరం పో య ాలి !
मैं बस बाहर निकल ने वाली थी . तुमहारे लिए कया कर सकती हूँ ?	నేను ఇం క బయటకు వెళ తుననాను . నీ కోసం నేను ఏం చేయ గలను ?
- ए . - हैलो .	- హేయ . - హాయ .
तुमने वय सक आदमी की तरह फोन का जवाब दे कर अचछा किया ,	నువవు ఒక పెదద అబబా యి లా గా ఆ ఫో ను లో మాటలాడ టం గొపప గా ఉంది ,
बेशक . हाँ .	అలాగే . సరే .
हैलो ? मि ना ?	హలో ? మి నా ?
- म जे करो , बच चों . - अ ल वि दा , डै ड !	- పిలల లూ ఆ డు కో ండి . - ఉంటా ను , నా ననా !
- कया कहा ? - कुछ नहीं .	- మన ని ంచండి ? - ఏమీ లేదు .
नहीं . नहीं . माफ करना . तुम मुझे इसमें नहीं घ सी टो गी .	వదదు . వదదు . ననను మన ని ంచండి . మీరు ననను ఇ ందు లోకి లా గ క ండి .
तुमने अपने हाथ ध ो ए , ग ंद ी कहीं की ?	వెళలి చే తులు క డు క కో , చెతత దా నా ?
यह लो . . .	తీసుకో . . .
तुमहें कभी के न के साथ वह करते नहीं देखा .	కి యన తో నువవు ఇలా ంటి ది చేయడం ఎపపుడూ చూడ లేదు .
के न कौन है ?	కి యన ఎవరు ?
वह इतना अचछा कु त ता था .	వాడు చాలా మంచి కు కక .
अरे , गरे सी .	ఓహ , గరే సీ .
उनहें लगा कि ज ॉन प ॉल और मेरा च क कर चल रहा था .	నా కూ జా న పాల కీ సంబం ధం ఉ ందని అను కుననా రు .
हाँ , अभी मदद नहीं कर सकती . पर मुझे बस कुछ म ही नों का समय दो .	అవును , నేను ఇపపుడు నీకు సాయం చేయ లేను . నాకు కొ ద ది నె లలు సమయం ఇవ వు .
अपने बच चों के साथ नहीं ? अपने वि कला ंग बे टे के साथ नहीं ?	నీ పిలల లు లే కుండా ? నీ వి క లా ం గు డె న కొ డు కు లే కుండా ?
माफ करना , बस अपनी प तनी पर चि ल ला रहा हूँ . वह गर भ व ती है .	కషమి ంచాలి , నా భా రయ మీద అ రు సతుననా న ంత ే . తను గర భ వ తి .
सुनो , हमें कभी ड रि ंक के लिए चल ना चाहिए .	వి ను , మనం ఎపపుడ ో ఒక పపుడు డ రి ంక కోసం వెళ దాం .
- नहीं ! - नहीं ! चलो , वह छोड ो ! चलो !	- అయ యో ! - అయ యో ! పద , వదిలే య ! పద !
नी च , घ ि नौ नी , और शर मना क . तुम यही हो , अ र सला गा र वी .	నీ చం , అస హ య క రం ఇంకా అవ మా న క రం . అది నువవు , ఉ ర సు లా గా ర వీ .
- कया हुआ ? - तुम बच का नी बातें कर रही हो .	- ఏంటి ? - నువవు చాలా అ మా య కంగా ఆలోచి సతుననా వు .
मैं अभी गया नहीं हूँ .	నేను ఇంకా వెళల లేదు .
कया डॉ न ल को पता है ?	డో న ల కి విషయం తెలుసా ?
कयोंकि डै ड कया कहते अगर हम यह नहीं करेंगे ?	ఎందుకంటే మనం చేయ కపోతే నానన ఏం అనే వారు ?
- कया ? - सो म वार को क ले जा बन ता है .	- ఏంటి ? - సో మ వా రం కాల ే యం రోజు .
तुम मुझे अब कयों बता रही हो ?	నాకు ఇపపుడు ఎందుకు చెబు తుననావు ?
मुझे ज ॉन प ॉल को म क ख न लगा ना है .	జా న పాల ని మంచి చేసుకో వాలి .
कुछ सवाल पूछ ने थे .	బీ మా కోసం అడుగు తాను .
माफ करना ?	కషమి ంచండి ?
कया यह वे श या ल य है ?	ఇది ఏమెనా వే శ య గ ృ హ మా ?
दरअसल . . .	అంటే . . .
अ रस ! हैलो ?	ఉ రస ! హాయ ?
और मेरे पास पे सट री बना ने का समय नहीं था , माफ करना .	కానీ నాకు కే కులు చేసే సమయం దొ రక లేదు , కషమించు .
यह कया है ?	అది ఏంటి ?
माफ करना .	కషమి ంచండి .
माफ करना !	కషమి ంచండి !
माफ करना ?	కషమి ంచండి ?
मैं एक आ परा धि क जा ँच के . . .	నేను ఒక క రె మ ఘ టట ం పరి శ ో ధన . . .
सच कहूँ तो , वह स कि नी जी न स में काफी बेहतर दिख ता था .	అతను బి గు తె న జీ నస లో నిజంగా చాలా బాగు ండ ే వాడు .
हम रा स ते में ही हैं .	మేము అ టు వ సతుననా ం .
नहीं . . . नहीं . . . ऐसे ही पूछ ा . मैं बस . . .	లేదు . . . లేదు . . . ఏ కారణ ం లేదు . నేను కేవలం . . .
बे न - तुमहारी टा ँ ग ों के बारे में सोच रहा हूँ . तुमहें दोबारा छ ू ने को बे ता ब हूँ .	బె న - నీ కా ళల గురించి ఆలోచి సతుననాను . వాటి ని తా క డానికి త హ త హ లా డు తుననాను .
ई सटर में तुमहारे यहाँ . . . होने के नाम .	ఈ సటర రోజు న . . . ఇకకడికి వచచి న ందుకు .
तो स पता हा ंत को कया कर रही हो ?	ఈ వా రా ంత ంలో ఏం చేసతుననా వు ?
यह लग भ ग छ ह म ही ने तक चले गा .	ఇది దా దా పు ఆ రు నె లలు ఉంటుంది .
बस एक पु रा ना दोसत है जिस के साथ मैं ब ूल खे ला करता था .	చాలా కాల ం కింద ట నా పా త ఫ రెండ తో కలిసి బ ౌ ల ఆట ని ఆ డే వాడిని .
मेरा वह हि ससा जो इतने साल ों से बिना उ द देश य के जी रहा था . . .	నా జీవితం లో కొ ద ది సం వ త సర ాలు గా ని సతే జ ంగా ఉనన నా లో ని ఒక భా గం ఏదో . . .
मैं शा म को फोन करने के लिए माफ ी चा हूँ गा . उममीद है मैं परे शान नहीं कर रहा हूँ .	ఈ సా య ంత రం వే ళ మిమమలని ఇ బబంది పె డి తే కషమి ంచండి . నేను మీకు అ వా ంత రం కలి గి ంచడం లే ద ను కుంటా .
मैं बस अ चा न क गई थी .	ఊ రి కే అలా వెళ లా ం .
आज डॉ न ल नहीं आया ?	ఈ రోజు డో న ల రాల ే దా ?
कया तुमने मेरे पी छा किया ?	ననను ఇ కకడి వర కూ అను సరి ంచా వా ?
हम वह उस में कैसे डाल ेंगे ?	సరే , మనం లోప లి కి ఎలా వెళ తా ం ?
शायद मैं देर से वय सक हुई थी .	నాకు ఆ ల సయ ంగా వచచి ఉంటా యి .
मैं इस बु री स थि ति में पड गई .	నేను ఇ ందు లో కూ రు కు పోయా ను .
- तुम यह जानती हो . - ठीक है . " हमें . . .	- నీకు ఇది తెలుసు . - సరే . " మనం . . .
- डै डी का पि न कया है ? - मै मी , मैं बता नहीं सकती .	- నానన ఫోన పి న ఏంటి ? - మా మీ , నేను చెపప లేను .
हाँ , पर मैं नहीं हूँ . हमें . . . हमें बात करनी है .	అవును , కానీ , నేను అలా లేను . మనం . . . మనం మాటలాడు కో వాలి .
तो , हम उस कमी ने को मार ने की अग ली कोशिश कब करेंगे ?	సరే , ఆ చెతత వెధ వని చం ప డానికి మనం మళలీ ఎ పపుడు వెళ ు తుననాం ?
- मुझे नहीं चाहिए . - अरे , मुझे तुमहारा अजीब फ ला न पसंद है .	- ఐ స క రీ మ వదదు . - ఓహ , నీ వి ంత ఐ స క రీ మ నాకు న చచి ంది .
- अरे , तुमहारा दिल काफी बडा है . - हाँ , मुझे ग ध ों की काफी पर वाह है .	- నీ ది చాలా పెదద మన స సు . - అవును , గా డి ద లను బాగా చూ సు కుంటా ను .
माफ करना .	కషమించు .
पूछ ने के लिए धनयवाद . मुझे सोच ने . . .	అడి గి న ందుకు ధనయవాదాలు . ననను . . .
अरे , इससे पहले कि भूल जा ऊँ .	ఓహ , నేను మర చి పో యే ముందు .
मेरे बे टे की बात मत करो .	నా కొ డు కు గురించి మాటలాడ కు .
माफ करना .	మన ని ంచు .
अरे , यह ह री टि कट , 2 - 1 - 6 है .	ఓహ , ఇది ఆ కు ప చచ , 2 , 1 , 6 .
नहीं , जान . सारे कमी ने नहीं होते हैं .	లేదు , బంగా రం . వాళలు వెధవ లు కాదు .
डे थ कै प .	డె త క యా ప .
- हे भगवा . . . - हे भगवान !	- దేవుడా . . . - దేవుడా , బా బ ూ !
माफ करना .	కషమించు .
माफ करना .	కషమించు .
पता नहीं अब वे यो जना एँ कहाँ गई ं .	అవ ననీ ఇపపుడు ఎ కకడికి పోయా యో తెలియదు .
जब तक कि बै का अपना मु ँ ह बंद रख ती है .	బె కా తన నో రు మూ సు కు ని ఉండే వర కూ .
मैं काम से सं बं धि त कुछ सोच रही थी , कोई औ द यो गि क दु र घट ना .	అతని ఆ ఫీ సు దగగర అలా ంటి ఒక ప థ కం ఆలోచి సతుననాను , పరి శ ర మ లో పరమా ద ం .
मुझे . . . मुझे तुमसे . . . मुझे तुमसे बात करके सच में अचछा लगा .	నేను . . . నేను నిజంగా ఇష ట పడు తుననాను . . . నిజంగా నీ తో మాటలాడ టం నా కి ష టం .
हमें उसकी पर त ियाँ बन वा नी चाहिए ,	దాని కా పీ లని మనం తీ యి ంచాలి , తెలుసా ,
तुमहें और कुछ जान ना है ?	మీకు ఇం కే మెనా సాయం చేయ ాలా ?
हाँ . हाँ , मैं शा मिल थी .	అవును . అవును , నేను ఉననాను .
" मै क डॉ ना और मै कब रा इ ड . "	" మా క డో నా ఇంకా మా క బ రె డ . "
- मैं उसे दु ख नहीं पहुँ चा ना चाहती हूँ . - हाँ .	- త నని బాధ పెటట ాలని అనుకో వడం లేదు . - సరే .
माफ कर दो , मा इ कल .	కషమించు , మె ఖ ే ల .
पो सट म ॉर ट म वाला .	పో సట మార ట మ మనిషి .
तुमने जि पर बंद करते हुए पूछ ा कि कया हमें फ ला न चाहिए ?	నీ ప యా ంటు కి జి ప లా కకు ంట ూ మాకు ఐ స క రీ మ కా వ ాలా అని అడుగు తా వా ?
मैं . . . मैं जवाब नहीं दे सकती . नहीं .	నేను . . . నేను ఈ ఫోన తీ య లేను . నా వలల కాదు .
उसे केवल एक ही चीज चाहिए थी , पर फिर उसने मेरे अन य गु ण देख े .	అతను కేవలం ఒకక టే ఆ శి ంచా డు , కానీ తరువాత నా దగగర మి గ తా వి కూడా చూశా డు .
और पकका तुमहें पता चल जाएगा कि अ र सला खुद के लिए समय निकाल ले ती है .	ఉ ర సు లా తన కోసం కొ ంత సమయం ఎలా కే టా యి ంచు కు ంటు ందో నువవు ఖచచితంగా తెలుసు కో వాలి .
और यह पु रा ना दोसत कौन था ?	మీ పా త మి తరు ర ాలు ఎవరు ?
गरेस . . . गरेस का कया ?	తను . . . గరేస సంగ తి ఏంటి ?
नहीं , हम ऐसा कुछ नहीं करेंगे .	సరే , మనం అలా ంటి ప ను లు ఏ వీ చేయ దదు .
माफ करना . तुमने . . . तुमने मुझे ड रा दिया .	మన ని ంచు . ఇపపుడు . . . ననను భయ పెటటా వు .
- माफ करना . तुमहारे पास समय है ? - ए , कया हुआ ?	- కషమించు . నీకు కొ ద ది సే పు సమయం ఉందా ? - హేయ , ఏ మెంది ?
तुमहारे का नों में दर द हो रहा था . माफ कर दो .	ఇది నీ త లలో రె లు పరి గె డు తునన టలు ంది . ననను కషమించు .
- माफ करना , मुझे पता नहीं यह कैसे . . . - 1 8 1 - डी - 5 8 8 .	- కషమించు , ఇది ఎలా జరిగి ందో నాకు తెలియదు . . . - 1 8 1 డి 5 8 8 .
अरे , जान , देखो , मुझे काम है . मैं खाना प का रही हूँ .	ఓహ , బంగా రం , చూడు , నేను వెళల ాలి . నేను ఇకకడ ఉ డి కి పో తుననాను .
परिवार की तरह .	ఒక కుటుం బం లా గా .
मुझे सारे वि वर ण ले ने होंगे , सा ली सा हि बा .	నేను నీ వి వర ాలను తీసుకో వాలి , మర ద లా .
कया अब . . . कया अब मैं भी दो ष ी हूँ ?	ఇపపుడు నేను . . . నేను కు టర లో భా గ సవా మి నా ?
- ये य ! - और . . .	- యా య ! - ఇంకా . . .
हाँ , यह ई सटर है . मुझे पसंद है जैसे तुम हमेशा . . .	అవును , ఇది ఈ సటర . నువవు ఎపపుడూ చేసే ది నాకు న చచు తుంది . . .
यह . . .	అది . . .
- नहीं , नहीं . - तुम दरवा जा बंद करो गी ?	- లేదు , నాకు తెలియదు . - ఆ తలు పు వే సే సతా వా ?
एक ल उप यो ग के लिए	ఒక ే సారి వా డ ాలి
- चलो भी , उठा ओ . - थ ॉ मस ?	- తవర గా , ఫోన తీ యి . - థా మస ?
- वह सा री याद ें . - हाँ .	- ఆ పా త జ ఞ ా ప క ాలు . - అవును .
यह बेहद दु ख द है .	ఇది చాలా ఘ ో రం .
देखो , मुझे . . . मुझे क ॉल करना जब तुम . . . भगवान .	చూడు , నాకు . . . నువవు వెళ లా క నాకు ఫోన చేయి . . . దేవుడా .
हाँ , बेशक . बस यह है कि , तुम आ मत ौर पर . . .	అవును , ఫర వాలేదు . ఇది కేవలం , మీరు సా ధా రణ ంగా . . .
काफी अ र से बाद पा रि वा रिक फो टो देख रही हूँ .	మన పా త కుటుం బ స భ యు ల ఫో టో లు చూ సి చాలా రోజు ల యి ంది .
शर मना क , नी च और घ ि नौ नी . तुम यही हो .	అవ మా న క రం , నీ చం ఇంకా అస హ య క రం . అ దీ నువవు .
- चु प रहो , बि बी . - वह कया कह रही है ?	- నో రు మూ యి , బీ బీ . - తను ఏం మాటలాడు తోంది ?
और उनहें उसके ख ून में अ मै न टि न मिले गा , और फिर वे पुलिस को फोन करेंगे .	అపపుడు వాళలు అతని రక తం లో అ మని టి న ఉ ందని కను కకు ంటా రు , ఆ పె పోలీసు ల కి ఫోన చేసతా రు .
कया तुम यहाँ आओ गी ? सब जा चु के हैं .	నువవు ఇంటికి వ సతా వా ? అందరూ వెళలి పోయా రు .
और तुमहें इस पर गर व होना चाहिए .	అ ందుకు నువవు చాలా గర వ పడ ాలి .
अरे , बस सो फ े पर बैठ कर , सच ची करा इ म डॉ क यू में ट री देख ूँगी .	ఓహ , నేను నా సో ఫ ాలో కూ రచు ని నిజ మెన క రె మ డా క యు మె ంట రీ లను చూ సతాను .
वर ना मैं डॉ न ल को बता द ूँगा . क सम से , मैं सच कह रहा हूँ .	లే ద ంటే నేను డో న ల కి చెపపే సతాను . ననను నమ ము . నిజంగా నే చెబు తుననా .
दिन में हो ट ल में साथ रहना , और मुझे पता है कि तुमने कहा था . . .	ప గ టి ప ూ ట ఇదద రూ హో టల దగగర కల వడం , ఇంకా మీరు చెపపా రు . . .
नहीं , बात वह नहीं है . कोई बात नहीं है . यह . . . धनयवाद .	లేదు , ఇది దాని గురించి కాదు . ఇది ఏమీ కాదు . ఇది . . . ధనయవాదాలు .
जानता हूँ . माफ करना .	నాకు తెలుసు . మన ని ంచండి .
- ठीक है . - बी मा वाले ?	- సరే . - ఆ బీ మా వెధవ లే నా ?
म ॉ ली , तुम पर भा री हो .	మో లీ , నువవే చూ సుకో వాలి .
यह कैसे मजा किया हुआ ?	అది అంత నవ వు లా ట గా ఉందా ?
तो तुमने साथ डि नर किया था या . . .	అయితే మీరు కలిసి వి ందు చేశా రా లేక . . .
कयों न तुमने मुझे यह बता ने के लिए फोन किया हो कि . . .	నువవే నాకు ఫోన చేసి ఒక విషయం చెపప ాలి అంటే . . .
- चि क न ? - चि क न .	- చి కె న ? - చి కె న .
मुझे जाना होगा .	నేను వెళల ాలి .
हम उसके क ले जे में डाल ेंगे .	వాడు తి నే కాల ే యం లోకి పం పి దదాం .
हाँ ! आ रही हूँ .	సరే ! వ సతుననా .
चलो भी , बि बी .	ఇలా చూడు , బీ బీ .
कया चाहते हो ?	నీకు ఏం కావాలి ?
बे ल जि यन सी री ज " कल ै न " पर आ धा रि त	మ ాలి న శా రా గో జి న స ృష టి ంచిన
माफ करना मैंने तुमहें सो ने नहीं दिया . इतना कुछ जो करना था .	ననను కషమించు , నినను నేను పడు కో నివ వ లేదు . చేయ వల సిన వి చాలా ఉ ండి పోయా యి .
माफ करना . भगवान , शायद उसने मुझे अभी डे ट के लिए पूछ ा .	కషమించు . దేవుడా , ననను ఎవరో ర మమ ని ఆ హ వా ని ంచారు .
अ चा न क चीजें होना म जे दार होता है .	ఏ ప లా న లే కుండా వెళల డం సర దా గా ఉంటుంది .
पता नहीं उनहें इतना समय कैसे मिल ता है .	వాళల కి అంత సమయం ఎలా చి కకు తు ందో తెలియ డం లేదు .
तुम ऐसा कयों करो गी ?	అలా ఎందుకు చేసతుననా వు ?
मुझे तुमसे पयार है .	మిమమలని పరే మి సతుననాను .
मुझे तुमसे पयार है .	నేను నినను పరే మి సతాను .
मैं सोच रहा हूँ तुमसे यह पूछ ूँ या नहीं , पर अगर मैंने नहीं पूछ ा ,	ఈ విషయం అడ గ ాలా వ ద దా అని ఆలోచి సతుననాను , కానీ అడ గ కపోతే నాకు కష ట ంగా ఉంటుంది ,
हम एक खु ले आर कि टे क चर ल ऑ फि स में काम करते हैं .	మేము బ హి రం గ ంగా ఉండే ఆర కి ట క చ ర సం సథ లో పని చేసతుననా ము .
अरे , हाँ . हाँ , हाँ . बेशक .	ఓహ , అవును . అవును , సరే . అలాగే .
कयोंकि तुमने मुझे बताया . . . तुम ऐसा नहीं कर सकती .	ఎందుకంటే మీరు నాకు ఈ విషయం చెపపా రు . . . మీరు ఇలా చేయ కూడదు .
मैं उसकी माँ को क ूल हे पर फि जी ओ थे रे पी द ूँगी .	అతని తల లి దగగర టి ప తీసుకు ని ఫి జి యో చి కి త స చేసతాను .
मेरे पीछे कयों आ रहे हो ? जाकर कार में बैठ ो .	ననను ఎందుకు అను సరి సతుననారు ? వెళలి కారు లో కూ రచ ో ండి .
वे उन बेवकूफ ों को ढूँढ ेंगे जिन होंने उसे ज हर दिया .	అత డి కి విష ం ఇ చచి న వాళల గురించి పోలీసు లు వే ట మొద లు పె డ తారు .
यह समझ ना काफी क ठ ि न है , पर बेहतर होगा कि तुम सच चा ई जान ो .	ఇది చాలా ఆలోచి ంచ వల సిన విషయం , కానీ నువవు నిజం తెలుసు కో వడం మంచిది .
सा री लड किया ँ फो र टी फु ट में है .	మా అ కక చె ల లె ళలు ఫా ర టీ ఫ ు ట లో ఉననారు .
आ ं टी बै का का इंतजार करो .	మీ ఆ ంట ీ బె కా వచచే దా కా ఆ గ ండి .
भगवान . ध . . . मैं मजा किया हूँ ?	జీ సె స . ఓహ . . . నేను హా సయ ంగా ఉననా నా ?
हैलो . मै थ यू बोल रहा . . .	హలో . మా థ యూ మాటలాడు తుననా . . .
झ ु ंड की तरह ?	ఒక సమ ూ హం లా గా ?
हाँ , यह शान दार . . . मुझे खुशी होगी .	సరే , అది . . . అది నాకు స మమ త మే .
अरे , धत ! माफ करना ! माफ करना .	ఓహ , ఛ ! కషమించు ! కషమించు .
भगवान !	దేవుడా !
अ र सला !	ఉ ర సు లా !
हमें यह कयों करना है ?	మనం ఎందుకు చేయాలి ?
क वि ता गा ओ , लडकी ! "	ఆ పద యం పా డు , యు వ తీ ! "
चलो भी !	అన ండి !
सा री म म मि या ँ नहीं .	అంద రు అమమ లు అలా కాదు .
- कर ॉ स के आ कार में . - हाँ .	- శి లు వ ఆ కా రం లో ఉంది . - అవును .
नंबर उप लब ध नहीं है	నె ం బర అందు బా టు లో లేదు
भगवान .	దేవుడా .
मै ट , तुम सुन रहे हो ?	మయా ట , వి ంటుననా వా ?
तो पाँच मिनट बाद तुमहारी याद आए गी .	అయితే అయి దు నిమిష ాల లో నినను మి స అవు తాను .
तुमहें यह पता है ?	నీకు ఆ విషయం తెలుసా ?
उस आदमी के साथ ऐसे रिश ते की बात सोच कर ही . . .	అ టు వ ంటి వయకతి తో స నని హి తంగా ఉండ టం అనే ఆలోచ నే చాలా . . .
अरे , और मैंने एक डि लड ो जी ता .	ఓహ , ఇంకా నేను సె కస బ ొ మమ గె లి చా ను .
जो क ले जे और गु र दे को कष ति पहुँ चा सकता है , जो कि घ ा तक हो सकता है . "	అది కాల ే యం ఇంకా కి డ నీ లని పా డు చేసి పరా ణ ా ంత కం అవు తుంది . "
मैंने स पो र टी क पडे कयों पह ने ?	నేను ఎందుకు ఆట ల దు సతు లు ధ రి ంచా ను ?
ठीक है ? एक - दूसरे की कहा नि यों का सम र थ न करना होगा , सं भ ल कर रहना होगा .	సరేనా ? ఒక రి విషయ ాలు ఒక రం ప ంచు కు ంట ూ , జా గర తత గా మస లు కో వాలి .
तुम इ वा से कया पूछ रही थी ?	ఈ వా ని ఏం అడుగు తుననావు ?
पर पकका वह इस ला य क है .	కానీ తన కోసం ఏదెనా చేయ చచు .
- बो लो ! - अरे , मेरी बा री है .	- వెళ లు ! - ఓహ , ఇది నేను .
वे बेहद सु ंदर जो डा थे .	వాళ లి దద రూ చాలా అంద మెన జ ంట .
बे चा री ब ला न ड .	పా పం బ లా న డ .
" पूरी तरह से : एक भ यान क सु ंदर ता का जन म होगा . "	" అ మో ఘ ంగా , ఒక అదభు త మెన అంద ం పు టటి ంది . "
- वह बस बेवकूफ है . - चु प रहो .	- తను మూ ర ఖ ంగా ఉంది . - నో రు మూ సుకో .
- वह एक माँ है . - मैं भी हूँ .	- తను ఒక తల లి . - నేను కూడా తల లి నే .
मैंने जी - सट रि ंग पह न र खा है .	నా లో దు సతు లను మా తరం వే సు కుననాను .
माफ करना . माफ करना . धनयवाद .	మన ని ంచండి . కషమి ంచండి . ధనయవాదాలు .
- माफ करना . - कौन बोल रहा है ?	- చాలా కష మా ప ణ లు . - ఎవరు మాటలా డే ది ?
हाँ ! उसे याद है .	అవును ! తన కి తెలుసు .
पर हमारी आवा ज ें पया री हैं , है न ?	కానీ మన లో మ ృ దు వెన గొ ం తులు ఉననాయి , కదా ?
वे परिवार को परा थ मि क ता नहीं दे ती हैं .	వాళలు తమ కుటుం బ ాల కు పరా ధా న యం ఇవ వాలి అనుకో రు .
- कया ? ऐसा कौन करता है ? - कोई बात नहीं .	- ఏంటి ? ఇలా ంటి ప ను లు ఎవరు చేసతా రు ? - ఫర వాలేదు .
- तुम ? - मैं भी वही कर ूँगा .	- నువవు ? - అ వే చూ సతాను .
हाँ . हाँ , और मेरे बै ंड का मु ख य गा य क भी था .	అవును . అవును , అతను మా బ యా ండ లో పర ధా న గా య కు డు కూడా .
- उनके पीछे चलो . उनके पीछे चलो . - मैं जा रहा हूँ .	- ఆమె ని అను సరి ంచండి . ఆమె ని అను సరి ంచండి . - నేను వెళ తుననాను .
तुमसे मिल कर काफी अचछा लगा .	నినను కలు సుకో వడం సంతోష ంగా ఉంది .
- फिर से सप ने में आ ग देख ी ? - हाँ .	- మళలీ మ ంట లు నీ క లలో కి వచచా యా ? - అవును .
छ त ? सी ढ ियाँ ? आ ग लग ने पर भाग ने की जगह ?	మే డ పె అంత సతు మీద ? మె టల మా రగ ంలో ?
और शायद सला द और ल ह सुन चा वल . . .	బహుశా ఒక స లా డ ఇంకా వె లలు లలి అనన ం . . .
माफ करना , मुझे भी ह ल का होना है .	కషమించు , నా మీ దే పో సే సు కునే లా ఉననాను .
कया तुम श नि वार को गरेस के यहाँ जा रही हो ?	శ ని వా రం నా డు గరేస ఈ సటర ఎ గ వే ట కి నువవు వెళ తుననా వా ?
ठीक है , मैं रात की पा री के लिए निकल रहा हूँ , अ रस .	సరే , నేను నా నె ట షి ఫ ట కి వెళ తుననాను , ఉ రస .
पता है न उनके पास तुमहारे दवा रा ली गई कि ता ब ों का रिक ॉर ड होगा ?	నువవు తె చచు కునే పు సత కాల వి వర ాలు న మో ద వు తా య ని తెలుసా ?
हाँ . नहीं .	అవును . లేదు .
कयों नहीं ?	ఎందుకు లేదు ?
वर ना लोग पयार में कष ट कयों स ह ते हैं ?	మా గురించి ఎందుకు తెలుసు కో వడం ?
इसलिए कयोंकि मैंने रि जर वे शन नहीं कर वाई थी .	అది ఎందుకంటే నేను రి జర వే షన చేయ లేదు .
- अरे , हैलो . - हैलो .	- ఓహ , హలో . - హాయ .
रुको .	ఆ గ ండి .
" और . . . "	" ఇంకా . . . "
- और . . . - " और . . . "	- ఇంకా . . . - " ఇంకా . . . "
