मार कस .	మార కస .
सै ड की त सवी र ों के अनु सा र ,	ఎ స ఏ డి ఫో టో ల పర కా రం ,
मैं नहीं चाहता कि वह भी नि शा ने पर आए .	తను కూడా లకష యం కా వడం ఇషటం లేదు .
इसी वजह से मैंने म ॉ स को छो डा था .	నేను మా స కో వది లి రా వడానికి కారణ ం అదే .
हमें जहाँ जाना हो , यह हमें ले जाएगा .	మన లని ఎ కకడికి కావాల ంటే అ కకడికి తీసు కె ళ తా డు .
सत या ना श ! ऊपर से , मैं म चछ र भ गा ने वाला स परे भी नहीं ला या .	దేవుడా ! పె గా , నేను దో మ ల మ ందు స పరే తె చచు కో లేదు .
यह न वा रो है .	తను న వా రో .
जानता हूँ .	నాకు తెలుసు .
जानता हूँ .	నాకు తెలుసు .
सच कया है ?	ఆ నిజం ఏంటి ?
जैसे ही हमें आ ते हुए देखो , यहाँ से निकल ने के लिए तैयार रहना .	మేము రా వడం చూడ గానే , తవర గా వెళళ డానికి సిదధ ంగా ఉ ండు .
मैंने बताया कि मुझे तुमहारी कितनी याद आई ?	నినను ఎంత మి స అయ యా నో నీకు చెపపా నా ?
नहीं , पर सोचा कि तुमहारी हि म मत बढ ा नी चाहिए .	నిజంగా కాదు కానీ కా సత ఆ తమ వి శ వా సం పె ంచు దా మని అననా ను .
तुमने पूछ ा था न कि मुझे स पै नि श आती है या नहीं ?	నా కె ంత స పా ని ష వచచ ని అడి గా వు , గురతు ందా ?
ऊ बर , इं जन चा लू करो !	ఉ బె ర , ఇం జ న సటా ర ట చె య యి !
हम तैयार हैं , मि से ज बो ना ल डे .	మేము సిదధ ంగా ఉననా ం , శ రీ మ తి బ ొ ండ ే ల .
मैं कहना तो चा हूँ गा कि उन में से कोई भी रे य स का जा सूस नहीं है ,	వారి లో ఒకక రు కూడా రే యే స గ ూ ఢ చా రి కా దని చెపప ాలను ంది ,
जयादा कुछ याद नहीं है .	నా బ టట లు బా గ ాల ే వు .
- तुमने बताया ही नहीं . - तुमने पूछ ा ही नहीं .	- నువవు ఏమీ చెపప లేదు ? - నువవు అడ గ లేదు .
हे भगवान .	ఓ రి దేవుడా .
- कया तुमने यह कहा था ? - नहीं , मैंने यह नहीं कहा !	- నువవు ఆ మాట అననా వా ? - లేదు , నేను అన లేదు !
अंदर जाने के बाद , हम एक या दो डि ब बे खो ल ेंगे ,	ఒకక సారి లోప లి కి వెళళ ా క , ఒకటి , రెండు క ంట ె యి న రలు తె రి చి ,
जगह के बारे में किस ने कहा ?	మన గ మ యం గురించి ఎవరు ఏం చెపపా రు ?
ठीक है , तो मैं साथ चल ूँगा .	సరే , అయితే , నే న ూ నీ తో వ సతుననాను .
ये ना मु रा द म चछ र .	ఈ చెతత దో మ లు .
और तुम , मि सटर अ र थ शा स तर के डॉ क टर ,	ఇంకా అరథ శా స తర పు డా క ట రు గా రు
मुझे सच बताओ .	నాకు నిజం చెపపు .
- गु ड म ॉर नि ंग , रॉ ड रि गो . - गु ड म ॉर नि ंग , मि से ज बो ना ल डे .	- శు భ ో ద యం , రో డ రి గో . - శు భ ో ద యం , శ రీ మ తి బ ొ ండ ే ల .
मुझे यह बता ते हुए बेहद खुशी हो रही है	నేను ఇది గర వ ంగా పర క టి సతుననాను ,
गु ड म ॉर नि ंग , साथ ि यों .	శు భ ో ద యం , అంద రికీ .
- आप मेरे साथ एक त सवी र खि ं च वा एँ गी ? - जरूर .	- నాతో ఒక ఫో టో ది గు తా రా ? - తపప కుండా .
कया बातें हो रही थीं ?	అది దే ని గురించి ?
कुछ पो ल दिखा ते हैं कि वह चु ना व जी त भी सकती है .	ఆమె ఎ నని క లలో గె లి చే అవకా శం ఉ ందని కొనని పో లస చూపి సతుననా యి .
ठीक है , यहाँ से चल ते हैं .	సరే , ఇ కకడి నుండి బె టి కి వెళ దాం .
तुमहारी पू र व - प तनी क माल का ना ट क कर रही है .	సరే , నీ మా జీ భా రయ బాగా న టి సతుంది .
हम कहाँ जा रहे हैं , म ध य या द कष ि ण ी अ मरी का ?	మనం ఎ కకడికి వెళ తుననాం , సె ంట ర లా లేక ద కషి ణ అ మె రి కా నా ?
तुमने मेरे दोसत का सवाल सुन लिया , तुम ज ंग ल में कया कर रहे हो ?	అడి గి ంది వి ననా వు గా , మి తర మా , అడ వి లో ఏం చేసతుననా వు ?
बिलकुल नहीं .	లేదు , అది కాదు .
शुकरिया .	ధనయవాదాలు .
मैं ठीक हूँ .	నేను బాగు ననాను .
तुम जानते हो न कि यह को री बकवास है .	మీకు ఇది అబ దధ ం అని తెలియ ాలి .
इसलिए जहाँ तक मु खया ल य की बात आती है ,	అందుకే , పర ధా న కార య ాల యా నికి సంబం ధి ంచిన ంత వర కు ,
ए स पे रा न जा ,	ఎ స పర ం జా ,
गु ड म ॉर नि ंग , अ ल बर टो .	శు భ ో ద యం , ఆ ల బర టో .
उनहोंने ज ंग ल में मिलने की जगह के लिए एक आ ठ अं कों का नि र दे शा ंक दिया है .	అడ వి లో రాల ీ యి ంగ పా యి ంట కి నాకు ఎ నిమి ది అ ం కె ల గ రి డ ఇ చచా రు .
मा इ क ,	మె క ,
बच प न में भी ,	చినన త నం లో కూడా ,
गु ड म ॉर नि ंग . आप कै सी हैं ?	శు బో ద యం , ఎలా ఉననారు ?
मैं ठीक हूँ .	నేను బాగు ననాను .
रा यन !	రెన !
गोली चला ओ !	కాల చ ండి !
ऊ बर ?	ఉ బె ర ?
कया उसके चु ना व जी तने की संभा वना है ?	ఆమె ఈ ఎ నని క లలో గె ల వడానికి ఏదెనా అవకా శం ఉందా ?
- आपका दिन अचछा रहे . - कार लो स ! यहाँ आओ .	- నీ రోజు కూడా . - కార లో స ! ఇలా రా .
तुमहें जान ना था न कि यह कौन है ?	అతను ఎవరో తెలుసు కో వాలని అను కుననా వు కదా ?
उ तर ने की जगह पहुँच रहे हैं .	దూ క వల సిన పరా ంతా నికి చే రు కుంటుననా ం .
ओ रि नो को न दी द कष ि ण - प श चि मी वे ने जु ए ला	ఆ రి నో కో న ది నె రు తి వె నిజ ు లా
तो , जलदी करो और ह वाई ज हा ज में बैठ जाओ ,	నీకు కి టి కీ ప కక న సీ టు కావాల ంటే
पर ऐसा नहीं है .	కానీ అది నిజం కాదు .
कया आप तैयार हैं ? आपको सी धे वहाँ जाना है .	మీరు సిదధ ంగా ఉననా రా ? సూ టి గా మాటలాడ డానికి వెళ తుననారు .
रुको , तुमहारे पास एक ना व है ?	ఆగు , నీ దగగర పడ వ ఉందా ?
वे हमारी हर बात सुन रहे हैं .	వాళళు అన నీ వి ంటుననా రు .
हमारे पुलिस बल के अ थ क पर या स के कारण ,	మన ఘ న త వ హి ంచిన పోలీసు ద ళ ాల అ లు పు లేని క ృ షి వలల ,
तुमहारी तर क की करके नाम ऊ बर से ले कट कर दे ते हैं .	నీకు ఉ బె ర సె లె క ట గా పద ో నన తి ఇ సతుననా ం .
जलदी करो , वर ना बहुत दूर तक तै र ना पडे गा !	నువవు తొ ంద ర గా దూ కి తే మంచిది , లేదా చాలా దూ రం ఈ ద ాలి .
नहीं , को बी की तरह .	లేదు కో బి లా గా .
हम सु ले मान वाले कार य बल में साथ थे .	సు లే మా న టా స క ఫో రస లో మే మి దద రం కలిసి పని చేసా ం .
याद है ?	గురతు ందా ?
किसी के श हर की वजह से नहीं .	పు టటి న సథ లా నికి కాదు .
पता है सर कार के लिए उनकी परि भा ष ा कया है ?	మీకు రా షట రం నిర వచ నం తెలుసు కదా ?
नहीं , तुमहारा को ड नाम .	లేదు , నీ కాల సె న .
. . . पक ड लिया गया है .	. . . పటటు బడ డా రు .
उसे कैसे पता चला ?	అతనికి ఎలా తెలు సతుంది ?
उससे कोई फर क नहीं पडता	అంటే , అది అన వ సరం ,
ऐ , डर कयों रहे हो ? तुमने यह पहले भी किया है .	హే , అంత కంగా రె ందుకు పడు తుననావు ? ఇంత కు ముందు ఇలా దూ కా వు గా .
मैंने दिल से दु आ की थी कि तुम साल ों से दोबारा साम ना न हो .	మీ వెధవ మొ హ ాలని మళళీ చూడ నని నిజంగా ఆ శి ంచా ను .
तो कल और आज के बीच कया हो गया ?	మరి ని నన టి కి , ఇ వాళ టి కి మధయ ఏం జరిగింది ?
नहीं , वह संभाल ले गा .	లేదు , తను సం భా ళ ి ంచుకో గల డు .
और यह . . .	ఇంకా ఇది . . .
बात साफ कर द ूँ . यह दुनिया बहुत हि ं सक है .	ఒక విషయం సప షట ంగా చెప తాను . పరపంచ ం చాలా హి ం సా తమ క మెంది .
और मुझे नहीं लगा कि हम मे क सि को में घु स पै ठ करने वाले हैं .	మనం మె క సి కో ని ఇ పప ట లో ఆ కర మి సతా మని అనుకో లేదు .
- कया तुम अके ले आए हो ? - नहीं .	- ఒ ంట రి గా వచచా వా ? - లేదు .
पीछे से हम ला हो रहा है !	గర ీ ర , వెన క నుండి క ాలు సతుననారు !
चलो . ना व से उ तर ो .	పద . పడ వ ది గు .
रे य स के सम र थ कों की सं खया घट रही है	రే యే స సం ఖ య లు త గ గి పో తుననా యి
- मुझे इससे चि ढ हो गई है . - तुमहें तो है म बहुत पसंद है .	- నాకు అద ంటే వి సు గొ సతుంది . - నాకు హ యా మ ఇషటం .
तुम इतने ना दा न हो कया , बी र बल ?	ఏదెనా నమ మే సే అబబా యి వి నువవే నా , మే ధా వి ?
अगर अधि का रि यों को पता चल गया ,	పె అ ధి కారు ల కి ఈ విషయం గురించి తెలి సతే ,
मु ख य कै ं प यहाँ से 4 00 मी टर उ त तर - प श चि म में है .	పర ధా న శి బి రం ఇ కకడి నుండి వా యు వయా నికి 4 00 మీ టర ల దూ రం లో ఉంది .
और आगे भी रहे गी .	నేను అలాగే భా వి సతాను .
वह सा ला कहाँ चला गया ?	అతను ఎ కక డు ననా డు ?
तो , कैसा महसूस कर रहे हो ?	సరే , నీకు ఎలా ఉంది ?
गा इ गर में कया दिख रहा है ?	గె గర ఏం చూపి సతుంది ?
देखो हमें कया मिला .	మన కి ఏం దొ రికి ందో చూడ ండి .
पूछ ता छ कै सी चल रही है ?	ఇంట రా గే షన లు ఎలా జరుగు తుననా యి ?
ठीक है , कै ं प के पास रख े हुए वे डि ब बे दिख रहे हैं ?	సరే , శి బి రం చి వర ఆ క ంట ె యి న రలు చూ సా రా ?
- तो हम बिना रे डियो के जाएँगे . - ठीक है .	- కాబటటి , మనం రే డి యో లు లే కుండా వెళళ ాలి . - అరథం అయ యి ంది .
अगर खि ड की के पास वाली सी ट चाहिए .	తవర గా వెళళి విమానం ఎ కకు .
और वह कमी ना डि स को है .	అకకడ ఉనన ఆ వెధవ పేరు , డి స కో .
अपनी माँ को बा य बो ले ब ग ैर जा रहे हो कया ?	అమమ కి బె చెపప కుండా వెళ తుననా వా ?
मैं तुमसे पयार करती हूँ .	నువ వ ంటే నాకు ఇషటం .
वे ओ रि नो को न दी के पास इंतजार कर रहे हैं .	ఒ రి నో కో న ది మొద లలో ఆ గి ఉననారు .
र म भी .	ర మ కూడా .
तुमने मुझे वे भ ें ट चु रा ते हुए पक ड लिया .	నేను నె వే దయ ాలు దొ ం గి లి సతు ంటే నువవు ననను పటటు కుననా వు .
यह हमारा देश है ,	ఇది మన దేశం ,
- उनहें र ंग बहुत पसंद हैं . - ऐसी बात है ?	- వాటి కి రం గు ఇషటం . - అది నిజ మా ?
हमारे घर में ब ग लगे हुए हैं .	మన ఇంట లో బ గ స పెటటా రు .
पता नहीं .	నాకు తెలీదు .
हमें ऐसे पे श आ ना होगा जैसे सब सा मान य है ,	అంతా మా మూ లు గా ఉనన టటు న టి ంచాలి ,
चलो .	పద .
- भा ड में जाओ . - ठीक है .	- పొ య యి చా వు . - సరే .
चलो .	పద .
और हा लत अचछी नहीं है .	నాకు వచచి న జ బ బు మంచిది కాదు .
पता नहीं .	నాకు తెలీదు .
" जो लोग आ जा दी से पयार करते हैं ,	" స వే చ ఛ ని పరే మి ంచే పర జ లు
हमारे पास कोई ह वाई मदद नहीं है .	మనకు వా యు ద ళ మ దద తు లేదు .
हाँ , और चार आदमी भी .	ఉంది . నలు గు రు మను ష ు లు కూడా .
अब तुमहारी पी ठ कै सी है ?	నీ వీ పు ఎలా ఉంది ?
मैं तुमसे पयार करती हूँ . तुमहारा दिन अचछा रहे .	నువవు నా పరా ణం . నీ రోజు బాగు ండ ాలి .
सबसे बडी बात , कल ॉ ड िया बहुत खुश थी .	అనని టి కంటే ముఖ య ంగా , కలు డి యా చాలా సంతో షి ంచింది .
हाँ , करता रह ता हूँ .	అవును , ఎపపుడూ .
जब मैंने रा ष टर पति प द के लिए चु ना व लड ने का फै सला किया ,	నేను పర ె సి డె ంట గా పో టీ చేయ ాలను కునన పపుడు ,
वहाँ एक ख तर ना क द कष ि ण अफ री की से तुमहारा साम ना हुआ ,	ఒక ద కషి ణ ఆ ఫ రి కా నే ర సథ ు డిని ఎదు ర కు ని ,
मैं कुछ त सवी र ें ल ूँगा . बाकी सब पह रे दा री करेंगे .	నేను కొనని ఫో టో లు తీ సతాను . మి గి లి న వా రం తా పరి ధి భ దర త చూ సుకో వాలి .
यह लॉ के ट कहाँ से मिला ?	ఆ లా కె ట ఎ కకడి ది ?
मुझे कुछ - कुछ घ ंट ों में पूरा ब य ौ रा चाहिए .	నాకు క నీ సం పరతి రెండు గంట ల కి పరిసథి తి ని వే ది కలు కావాలి .
मैंने वह अपने लिए किया	అది నేను నా కోసం ,
कया हम म रि या को बता एँ ?	మరి యా కి చెప దా మా ?
इस कमी ने को उडा कर यहाँ से निकल जाते हैं .	హే , ఈ వెధ వని చం పి , పా రి పో దాం .
सुनो , इ ली . यहाँ आओ , मेरी जान .	హే ఐ లీ , ఇలా రా , తల లీ .
यहाँ और भी डि ब बे हैं .	ఇంకా కొనని క ంట ె యి న రలు ఉననాయి .
दी वार के पास जाओ . पास जाओ .	గో డ కి దగగర గా జరగ ండి . దగగర గా , దగగర గా .
आ म रा य के वि पर ी त , म चछ र ों की नजर बहुत ते ज होती है .	సరే , అందరూ అను కునే టటు కా కుండా , దో మ లకు వి పర ీ త మెన ద ృ శ య తీ కష ణ త ఉంటుంది .
करा कस श हर में अ मरी की सा ंस द ों पर हम ला करना	క రా కస న గ రం న డి బ ొ డ డు లో యు . ఎ స . సె నె టర ల పె ర హ సయ మె రు పు దా డి
मतलब , तुम मुझे न दी में इतनी दूर इसलिए ला ए	అ దా నువవు చెపపే ది , ననను ఈ చెతత న ది లో ఇంత దూ రం లా కక ొ చచి ంది
या ह ू !	దూ క ండి !
और एक दिन ,	తరువాత ఒక రోజు ,
देखा ?	చూ సా వా ?
नहीं , अगर और वा इन दी , तो यह बोल ता रहे गा .	లేదు , అతనికి ఇంకా సత మ ందు పో సతే , ఇంకా మాటలాడు తూ నే ఉంటా డు !
यहाँ ह थ िया र नहीं हैं , डॉ क टर .	ఆ యు ధ ాలు లేవు , డా క టర .
बंद ूक नीचे रख ो .	తు పా కీ కి ంది కి ది ంచు .
हमारे पास इसके लिए वकत नहीं है .	మనకు ఇ ందుకు సమయం లేదు .
कोई इसे थोडी और वा इन दो .	ఎవరెనా ఇ త నికి ఇం కొంచ ం మ ందు పో య ండి .
नि को ल स का कहना है कि यह अ मरी कि यों का काम है .	అ మె రిక నలు అని ని కో లస అ ంటుననా డు .
जि म , तुमहारी त बि य त कै सी है ?	జి మ , నీకు ఎలా ఉంది ?
कया तुम जरा बच चों के लिए जू स ले आओ गी ?	పిలల ల కి జ యూ స తీసుకు వ సతా వా ?
हाँ , एक दम सही नाम है .	అవును , పూరతి గా అరథ వ ంత ంగా ఉంది .
वह और सा ंस द एक - दूसरे के काफी करी ब थे . कया यह उसके लिए बहुत नि जी माम ला है ?	అతను , సె నె టర స నని హి తులు . తన కి ఇది మ రీ వయకతి గ త మెన దా ?
अचछा लग रहा है , छु ट टी का दिन न होने पर भी तुमहारे साथ यहाँ आ ना .	ఇది బాగుంది , పని చేసే రాతరి నీ తో ఇకకడ ఉండ డం .
और अब उनहें देख े हुए मुझे एक साल से जयादा वकत हो गया है .	తరువాత తన ను చూ సి ఇ పపటి కి ఏ డా ది అయ యి ంది .
फिर से है म , माँ ?	మళళీ హ యా మ మా ం సమా , అమమా ?
ठीक है , तो यह करते हैं .	సరే , ఇది చే దదాం .
जी , रा ष टर पति जी .	అలాగే , మిసటర పర ె సి డె ంట .
ऊ बर . तुमहारा नाम यही होगा .	ఉ బె ర . అది నీ పేరు .
हमारा इ ति हा स .	మన చ రి తర .
तुम उसे कम समझ ते हो .	అత నని త కకువ అ ంచ నా వే సతుననా వు .
यहाँ आने का शुकरिया .	ఇకకడికి వచచి న ందుకు ధనయవాదాలు .
वह कैसा है ?	అతను ఎలా ఉననాడు ?
तुमहारा नाम कया है ?	నీ పేరు ఏంటి ?
मुझे है म बहुत पसंद है !	నాకు హ యా మ ఇషటం !
आप सुन रही हैं ?	నేను చెపపి ంది వి ననా రా ?
ए स मेरा ल डा को पार टी कै सी लगी ?	ఎ సమ రాల డా కి న చచి ందా ?
जो इसलिए ला पता हो गए कयोंकि उनहोंने चु प रह ने से इं कार कर दिया .	దే శ భ క తు లను మీరు గ మని ంచడం అతనికి ఇషటం లేదు .
अब भी कॉ फी ढूँढ रहे हो ?	ఇంకా కా ఫీ బీ నస కోసం వె తు కు తుననా వా ?
बहुत दूर तक तै र ना पडे गा .	చాలా దూ రం ఈ ద ాలి .
हाँ .	అవును .
मान ता हूँ .	ఒ పపు కుంటుననా ను .
हम जी त सकते हैं .	మన కి గె లి చే అవకా శం ఉంది .
अभी तक तो नहीं .	ఇంకా లేదు .
हाँ .	అవును .
हमेशा रहे गी .	ఎ పపటి కీ .
हाँ .	అవును .
रा ष टर पति रे य स नहीं चाहते	ని శ బ ద ంగా ఉండ డానికి ని రా కరి ంచిన ందు వలల
वि देश ी वि द रो ही से ना का कम पा उ ंड	వి దే శ ీ సె నిక పరా ంగ ణం
हम वहाँ जाकर आ सकते हैं .	మనం లోప లి కి వెళళి , బె టి కి వచ చేయ వచచు .
चलो .	పద ండి .
तुम ?	నువ వా ?
बा ँ ध ो इसे .	వాడిని బం ధి ంచు .
चलो !	పద ండి !
अचछी बात है .	బాగుంది .
वहाँ जाएँगे और निकल आ एँगे , बस .	లోప లి కె ళళ ాలి , బె టి కి రా వాలి , అలాగే చే సతు ండ ాలి .
चलो , कमी नो !	పద ండి , వెధ వల లా రా !
के पास लोगों का सम र थ न है .	పర జ ల మ దద తు ఉంది .
ताकि वह हमारा खया ल रख े .	రా షట రం మన లని జా గర తత గా చూ సు కు ంటు ందని .
कौन सी ना व ?	ఏం పడ వ ?
तुम कया करो गे ?	నువవు ఏం చేయ బో తుననావు ?
पर वह एक जरू री बात भूल गए .	కానీ అతను ఒక ముఖ య మెన విష యానని మర చి పోయా డు .
यह मेरे पापा की अ ंग ूठ ी है . नौ से ना अ का द मी वाली .	మా నానన ఉ ంగ రం . నా వల అ కా డ మీ ది .
ये आई आर ब ीक न हमें तुम तक ले आ एँगे .	ఈ ఐ ఆర బీ క నలు మమ మ లని సరి గగా మీరు నన చో టి కి తీసు కొ సతా యి .
ठीक है , यहाँ पर .	సరే , ఇకకడ .
सत या ना श .	అయ యో .
- यह बा इ क चला ने की तरह ही है . - अचछा ?	- బె క న డి పి న టటే . - అవునా ?
वह कहाँ जा रहा है !	అతను అసలు ఎ కకడికి వెళ తుననా డు ?
मुझे कोई ऐसा मे मो नहीं मिला है जिस में हम से पीछे ह ट ने को कहा गया हो .	పని ఆ ప మని పం పి న మె మో ను నేను అసలు చూడ లేదు .
पर मेरे पास	కానీ నీ లా కా కుండా ,
हाँ , मैंने भी यही दु आ की थी .	అవును , నేను కూడా .
जो एक रात गा य ब हो गए	తను ఒక రాతరి కనిపి ంచ కుండా పోయా డు ,
धत .	అబబా .
सुनो .	హే .
और ?	ఇంకా ?
धत .	అబబా .
तुम भ ू खे थे .	నువవు ఆ కలి తో ఉననావు .
मेरे भाई यों और बह नों . . .	నా పర జ లా రా . . .
धत !	అబబా !
धत !	అబబా !
तुमहें वे ने जु ए ला की फि कर थी .	నువవు వె నిజ ు లా ప టల నీకు బాధ యత ఉనన టటు భా వి ంచా వు .
को लं बि या और अ र ज ें टी ना के अ ख बार ों में .	కొ ల ం బి యా , అర జె ంట ీ నా వి .
यू ए स ए ए फ वा यु से ना	యు ఎ స ఎ ఎ ఫ
कया बता ता ?	నీకు ఏం చెపప లేదు ?
मेरा नाम का यो टी है .	నా ది క యో టే .
आज है म खा लो . कल तुमहारी मर जी .	ఇ వాళ నువవు హ యా మ తి ంటే , రే పు నీకు కా వల సింది అ డు గ వచచు .
तो वह वि रो ध ज ता ने के लिए किया था .	అది నిర స న గా చేసా ను .
चलो .	వెళ దాం .
इस ने उसे गोली मा री , उसे मार गि रा या .	అత నని కాల చి , చం పా డు .
ठीक है .	సరే .
वह कल की बात थी .	అది ని నన .
तुमहें याद है जब हम छो टे थे और का त िया में रह ते थे ?	క టి య ాలో మన చినన త నం గురతు ందా ?
जरूर .	తపప కుండా .
एक बु री खबर है .	సరే , మీ కొ క దు ర వార త చెపప ాలి .
हे भगवान . यकीन नहीं होता कि कोई इस बकवास पर यकीन कर सकता है .	దేవుడా . ఎవరెనా ఈ చెతత ని నమ ము తా రా .
यह लो !	అది గో మ ందు !
दो मिनट .	రెండు నిమిష ాలు .
इसे पास ही रख ना , यार . अगर किसी कमी ने का मु ँ ह तो ड ना पडे ,	సరే , అది జా గర తత గా ఉ ంచుకో వో య ,
त ट पर ?	తీ రం దగగర కా ?
चलो !	వెళళ ండి !
हे प वि तर मा ता . . .	కొ ర ొ మో టో య ొ కక అత య ంత ప వి తర మెన క న య . . .
और वे ने जु ए ला में फै ले भर ष टा चार के कारण स ह ते हैं !	అతను వి నా లను కో వడం లేదు !
तो शायद कभी काम आ जाए .	ఏ వెధవ నె నా సప ృ హ తపప ే లా కొ టట డానికి పని కొ సతుంది .
हाँ , स वि क .	అవును , ఎ స డబ ల యూ సీ సీ .
धत ते रे की !	అయ యో !
कोई सवाल ?	ఏ వె నా పర శ నలు ఉననా యా ?
चलो .	పద వెళ దాం .
यह लो .	ఇది గో చే రు కుననా ం .
बी मा री ,	భ రి సతునన బాధ ల గురించి
