पै निक	పా నిక
माफ कीजिए . मैं रे को ढूँढ रही थी .	కషమి ంచండి . రే కోసం చూ సతుననాను .
उसे तुमहारी फि कर है .	ఆమె కు నీ గురించి చి ంత .
हर जवाब के बाद दस क दम ?	జ వా బు కు ప ది అడుగు లా ?
रे को अ ल मा रि या ँ या फर श के नीचे की जगह या ऐसी जगह पसंद नहीं जहाँ फ ँ स सकता है .	రే కు మూ సి ఉనన లేదా ఇ రు కె న పరా ంత ాల ననా లేదా తన ను మూ సి వే య గల చో ట ంటే భ యం .
पता नहीं यह मा य ने रख ता है या नहीं , पर अपनी बहन की बहुत चिंता करता है .	ఇది లె కక లోకి వ సతు ందో లే దో తెలియదు , కానీ అతనికి తన చె ల లె లి గురించి చాలా చి ంత .
मुझे खेल का नाम भी नहीं पता था , फिर ह ंट ने बताया कि उसने खे ला था .	హ ంట తను ఆ డి న టలు చెపపే దా కా నా కస లు ఆ ఆట ఏమ ంటా రో కూడా తెలియదు .
अगर उसने पाँच ों सवा लों के जवाब दि ए हों .	అతను ఐ దు పర శ న ల నని టి కీ సమా ధా నాలు చెపపు ండ ాలి .
श ॉ ना नहीं , तुमहें अं ति म चार में होना चाहिए .	చి వరి నలు గురి లో నువవు ఉండాలి , షా న కాదు .
मुझसे न फ रत है , पर पढ ा ई का ख र च दे ते हैं .	నానన కు నే న ననా ద వే ష ం , నా చ దు వు కు క డు తుననారు .
पर अगर लू क बा जी लग वा रहा है . . .	కానీ లూ క ప ందే లు కా సతు ంటే . . .
जब समझ में आ जाएगा , तो सबसे पहले तुमहें बता ऊँ गी .	నాకు అది తెలి శా క , నేను తెలియ చేసే మొదటి వయకతి వి నువవే .
शे र ों के बारे में एक बात मा लू म हो नी चाहिए .	నువవు పు లు ల గురించి ఒకటి తెలుసు కో వాలి .
यह ग द दा कैसा है ? नर म ? स खत ? भ ु र जी जैसा ?	ఈ ప రు పు ఎలా ఉంది ? మె తత గా ? గ టటి గా ? మధయ మ ంగా ?
हेदर ने यह भी बताया कि कुछ समय पहले चा ल क ने डर बी जी ती थी .	సరే , ఆ డ రె వర కొ ంత కాల ం కరి తం డ ర బీ గె లి చా డని కూడా హే థర చెపపి ంది .
तुमने अभी भी जवाब नहीं दिया .	నువవు ఇంకా మాకు జ వా బు చెపప లేదు .
तो तुम मु सी ब त में आ चु के हो .	అ పపటి కే నువవు ఇ బబ ందు లలో ఉనన టటు .
- आपका दिन अचछा हो . - तुमहारा भी . मदद के लिए शुकरिया .	- శు భ ది నం . - నీకు కూడా . నీ సహా యా నికి ధనయవాదాలు .
अब भा गो . अचछे से रहना . खू ब म जे करना .	ఇకకడ నుండి వెళళ ు . ఇ రగ తీ సే య . సర దా గా గ డు పు .
माफ करना .	కషమి ంచండి .
तुमहें श हर की कोई खबर नहीं .	ఊ రం తా తెలి సి నా మీకు తెలియ లేదు .
गाडी , आँख ों पर प ट टी ,	వయా న , క ళళ కు గ ంత లు ,
कया मतलब ?	అంటే ఏంటి ?
- हाँ , ठीक है . - अचछा .	- సరే , అలాగే . - సరే .
बि श प - ए , तुम कहाँ हो ? सच में , तुम ठीक तो हो ?	బి ష ప - హే , ఎకకడ ఉననా వ ? నిజంగా నువవు బాగానే ఉననా వా ?
- हम बह स नहीं कर रहे थे . - नहीं ?	- మేము వా ది ంచుకో లేదు . - లేదా ?
उममीद है दोबारा इसे त ंग नहीं करेंगे .	మీరు మళళీ మా వాడిని ఇ బబంది పెటట ర ను కుంటా .
मैं टा इ मर लगा द ूँगा .	నేను టె మర పె డ తాను .
तुमहें थोडा सं भ ल कर रहना चाहिए .	నువవు చాలా జా గర తత గా ఉండాలి .
नहीं रु क सकती . मुझे किसी काम के लिए देर हो रही है .	లేదు . నిజ ానికి , నాకు ఒక దానికి ఆ లస యం అవు తుంది .
लू क पै निक पर बा जी लग वा रहा है .	లూ క పా నిక పె ప ందే లు కా సతా డు .
देखो , उसे बस गो लिया ँ ले ने की आद त है , ठीक है ?	చూడ ండి , ఆమె కు మ ందు బి ళళ లతో ఏదో విషయం ఉంది , సరేనా ?
- हाँ . - ठीक है , तुमसे घर पर मिल ूँगा .	- సరే . - సరే మరి , నేను ఇంటి దగగర కలు సతాను .
जयादा से जयादा घु ट ने पर चो ट लग सकती है .	క ాలు త గి లే ంత దూ రం లో ఉననా ర ను కుంటా ను .
वय सत समय में इस कि रा ए की उममीद मत करना .	బాగా ర దద ీ సమయం లో అంతే రే టు ఆ శి ంచ కు .
अचछा . शि वि र में खू ब म जे करना ,	సరే . క యా ం ప లో సర దా గా గ డు పు ,
हम एक साथ इतना आगे आए हैं .	మనం ఇంత దూ రం ఒక జ టటు లా వచచా ం .
तो , कया बात करना चाहती हो ?	అయితే , మనం ఏం మాటలాడు తుననా ము ?
और वह मुझसे कुछ पैसे माँ गे गी .	అ ందుకు కొ ంత డబబు అడి గి ంది .
उस ी ने हमें बताया कि यह लू क का काम था . देखो . . .	అత నే అది చేసి ంది లూ క అని చెపపా డు . చూడు . . .
यार , कयोंकि वह किसी जा दु ई का ली न पर च ढ कर श हर से नहीं भा गा .	ఎందుకంటే , అతను మా యా తి వా చ ీ పె న గ రం దా టి వెళళి పో లే డు .
- ऐ बी कला र क ? - हाँ .	- అబ ీ క లా రక ? - అవును .
मुझे नहीं पता था .	నాకు అస స లు తెలియదు .
हाँ , ठीक कहा . न शा करके गाडी चला ने के लिए गिर फ तार हुए थे .	అవును , నిజ మే . నువవు తా గి న డి పి న ందుకు అ రె సట అయ యా వు .
ऐ बी कला र क और जि मी को र टे ज स मार क कहानी कम रा	ఆ బీ క లా రక మరియు జి మ మీ కోర టె జ స మార క క థా సమయం గ ది
जब उसने डॉ ट पर काम करना शुरू किया , कुछ ही दि नों में का रो बार दु ग ना हो गया .	ఆమె డా ట తో పని చేయ డ ంతో , వయా పా రం కొనని రోజు లలో నే రె ండి ంత లు అయ యి ంది .
जो भी 2 0 मिनट से अधि क समय ले गा , वह बाहर होगा .	2 0 నిమిష ాల కు మి ంచి తే వాళళు అవు ట అవు తారు .
इसका मा था बहुत पया रा है .	ఆమె ను దు రు చ ాల అంద ంగా ఉంది .
इस साल की चु नौ ती अलग थी .	ఈ ఏ డా ది స వ ాలు భి నన ంగా ఉంది .
पता है मुझे कया लगता है ?	నేను ఏ మను కుంటుననా నో తెలుసా ?
अगर मैं खेल से बाहर हूँ , तो वे मेरे बारे नहीं पूछ ेंगे न ?	నేను ఆట బయటకు వచ చేశా క నయాయ నిరణ ే తలు నా గురించి ఎందుకు అడుగు తారు ?
हाँ , बहुत जयादा .	అవును , చాలా ఎకకువ .
य ॉर ऑ नर .	యు వర ఆన ర .
माफ करना .	కషమించు .
लू क आया , बो ला उसे सुन ने को मिला कि मैं मु सी ब त में हूँ .	లూ క వచచి నేను ఇ బబంది లో పడి న టటు వి ననా నని చెపపా డు .
नाम डॉ क मै जि क डॉज मे सन + 1 . 4 5 - 1 00 , 00 0	పేరు డా క మయా జి క డా డజ మే స న + 1 . 4 5 - 1 , 00 , 00 0
मैंने बस चे ह रे की त सवी र ें ख ी ं ची . मुझे यह कितनी बार कहना पडे गा ?	నేను పా స పో ర ట ఫో టో లు తీ శా ను . నేను అది ఎ నని సా రలు చెపప ాలి ?
चु नौ ती में जो होता है , व हीं रह जाता है , याद है ?	స వ ాలు లో ఏం జరిగి నా , అది స వ ాలు వర కే పరి మి తం , గురతు ందా ?
जाने से पहले एक त सवी र भेज दो गी ?	వెళళ ే ముందు ఫో టో తీసుకు ని పం పు తా వా ?
उसे त ह खा ने में बंद कर दिया करते थे .	నే ల మా ళ ి గ లో పె టటి తా ళ ం వే సే వాడు .
समझ रहा हूँ , हेदर कयों पसंद है .	నీకు హే థర ని ల ఎందు కి షట మో తెలి సింది .
रे सबसे पहले लौट कर आया था .	వె ను కకు రే మొద ట వచచా డు .
उसे देख ते ही जान जाओ गी .	నీకు అది చూశా క తెలు సతుంది ?
आपको बाहर छोड दे ता हूँ .	మీకు బయటకు దా రి చూపి సతాను .
सू र या सत के समय , उस में जो श आने लगता है .	సం ధ యా సమయం లో అవి మొతత ం శ కతి ని పు ం జు కుంటా యి .
पर फिर भी शे र है .	అయి నా అది పు లే .
शायद तुम लोग एक - दूसरे को जानते हो ?	సరే , మీకు పర స పర ం తెలు స ను కుంటా ?
दिल खुश हो गया .	అది చాలా బాగుంది .
अगर हम घर न लौ टे , तो माँ बहुत गु ससा हों गी .	మనం ఇంటికి వెళళ కపోతే అమమ కో పప డు తు ందా ?
तुम और ऐ बी कला र क दोसत थे ?	నువవు , ఆ బీ స నని హి తు లా ?
मैं खेल से बाहर हो गई .	నేను ఆట నుండి తొ ల గి పోయా ను .
मैं मजाक नहीं कर रहा , रे .	నేను ఊ రి కే రాల ేదు , రే .
मैंने फोन पर कया कहा था ? एक हफ ता ?	నేను ఫోన లో ఏం చెపపా ను ? వార మా ?
हम यह मान सकते हैं कि मेरे बे टे ने पूरा साथ दिया .	నా కొ డు కు స హ కరి సతుననా డని ఒ పపు కుంటా ర ను కుంటా .
सच . जब ऐ बी ने कहा कि किसी परति यो गि ता में हि ससा ले रही है ,	నిజంగా . ఆ బీ తను పో టీ లో పర వే శి సతునన టటు చెపపి నపపుడు ,
उ तने पै स ों में आई फोन ख री द कर चाह े जि तनी त सवी र ें ख ी ं ची जा सकती हैं .	ఆ డబబు తో , ఐ ఫోన కొ నుక కో వచచు , కావాల సిన ఫో టో ల ననీ తీసుకో వచచు .
किस तरह के सवाल ?	ఎలా ంటి పర శ నలు ?
मेरे पास मार कर नहीं हैं .	నా దగగర మార కర లు లేవు .
यहाँ आओ .	ఇలా రా .
नि ल के साथ थ रि ल .	థ రి ల ఇ చ చే ని ల .
तुम कुछ नहीं क हो गे न ?	మీరు ఏమీ బయట పెటట రు , కదా ?
मुझे लगता है हम पूरी हि फा ज त से हैं ,	మన మ ంతా ఎకకడ ో చాలా మంచి సు ర కషి త మెన చో టు లో
मैं तुमहें बता चुका हूँ .	నేను ఇది వర కే చెపపా ను .
य ूँ ही ?	ఊ రి కే నా ?
- तो , को र टे ज को पता है ? - हाँ .	- అయితే , కోర టె జ కి తెలుసా ? - అవును .
मैं जा सकता हूँ ?	నేను వెళళ వచచా ?
माफ करना . मैं रे को ढूँढ रही थी .	కషమించు . రే కోసం చూ సతుననాను .
" रा नी मिल गई . जिस चीज की त ला श थी , मिल गई .	" నీకు నీ రా ణి , నాకు నేను వె తు కు తునన ది దొ రి కా యి .
अग ले म ही ने से 3 0 घं टे कर सकती हूँ .	వచచే నె ల నుండి నీకు 3 0 గంట ల పని ఇవవ గలను .
- खेल पर नजर रख ने ? - या उसे त य करने .	- ఆట గ మని ంచ డా ని కా ? - లేదా నిరణ యి ంచే ందుకు .
पकका तुमहें कोई मदद नहीं चाहिए ?	నీకు ఖచచితంగా ఏ సహా యం వ ద దా ?
जब तक तुम शे र से बच कर भा गो गे , देर हो चु की होगी .	నువవు పు లి నుండి పరి గె త తే స రికి , ఎలా గ ెనా ఆ ల సయ మ వు తుంది .
तो जिस का ज ञ ा न है , उसकी की मत चुका नी होगी .	అపపుడు మీకు తెలి సిన వాటి కోసం మూ ల యం చె లలి ంచాలి .
हेदर , तुम और मैं , हम साथ में इसे जी त सकते हैं .	హే థర , నువవు నే న ూ , మనం ఇది కలిసి గె లవ గల ం .
उनहें मुझसे न फ रत है .	మీ నానన కు నే ని ష టం లేదు .
चु नौ ती यह है कि पु ल से उ तर कर वापस गाडी तक पहुँच ना है .	ఈ స వ ాలు ఏంట ంటే మీరు వ ంత ె న దా టి వెళళి తిరిగి వయా న వర కు రా వాలి .
. . . इससे सा बि त होता है कि ह री के न के बाद भी उसने हि ससा लिया .	. . . అది తు ఫా ను తరువాత పో టీ పడి న టటు రు జు వు చే సతుంది .
जब मैंने उससे पूछ ा , उसने झूठ कहा .	నేను అది అడి గి నపపుడు , అతను అబ దధ మా డా డు .
ली ला ने मुझे बताया कि पिछ ले साल का उ ं टी फ े यर में जि मी ने उसे मा रा था .	జి మ మీ అతని ని గ త ఏ డా ది క ౌ ంట ీ ఫె యి ర లో గు ద దా డని లీ లా చెపపి ంది .
मैं एक दम भूल गई कि नए ब छ डे की लगा म च ढ ा ने के लिए ए ं डी आने वाला है .	అ ండ ీ కొతత గుర రా నని మ చచి క చేసుకో డానికి ఇకకడ కు వ సతుననా డని పూరతి గా మర చి పోయా ను .
खिला डियो , नि ष का सन रा उ ंड में सवागत है .	తొ ల గి ంపు ర ౌ ండ కు ప లే య ర లకు సవా గ తం .
सोच ो , इतना कुछ करने के बाद भी , लोगों से गा ड ियाँ ट करा ता फिर ता है .	ఊ హి ంచు , అతను చేసిన దానికి తరువాత కూడా , ఇంకా జ నం లో కార లతో దూ సు కు వెళ ు తుననా డు .
आप बिना स हा रे के चल सकते हैं ,	మీరు క ళళ కు గ ంత లతో న డ వచచు ,
हेदर , मैं इतना ही कह सकता हूँ	హే థర , నేను చెపప గ లి గి ంద లలా
सही दि शा में दस क दम , पर त भी अगर उनके सवा लों के जवाब द ें .	ప ది అడుగు లు స రెన ది శ లోకి , కానీ వాళళు అడి గి న పర శ న లకు జ వా బు ఇవ వాలి .
घर पर माँ के साथ कुछ चल रहा था ,	మా అమమ తో కొనని విషయ ాలు జరుగు తుననా యి ,
कुछ पता है , वह यहाँ कयों आई थी ?	ఆమె ఇకకడ ే ం చే సతు ందో నీ కే మెనా తెలుసా ?
- पाँच मिनट बाकी हैं . - अचछा . मुझे . . .	- హె చచ రిక ఐ దు నిమిష ాలు . - సరే , సరే . నేను . . .
यह चु नौ ती जी तने वाले वय क ति गत मु का ब ले की ओर बढ ेंगे .	ఈ స వ ాలు వి జే తలు వయకతి గ తంగా ము ందుకు వెళ తారు .
साल ों से शे रि फ उसे जेल में डाल ने की कोशिश में हैं .	ష ె రీ ఫ ఆలోచ న త నని కొ న నే ళల పాటు జె లలో ఉ ంచ ాలని .
कया लगता है , उसने कैसे किया ?	అతను అది ఎలా చేశా డ ంటా వు ?
कम से कम , अभी भी दूसरे स था न पर हैं .	క నీ సం మనం రెండ ో సథా నం లో ఉననా ం .
अभी भी कुछ दिख नहीं रहा .	నాకు ఇంకా ఏం కనిపి ంచడం లేదు .
मि सटर टॉ म फ ूल .	మి . టా మ ఫ ూ ల .
और बताओ , बि श प .	చెపపు , బి ష ప .
तुमहें बस स वि च को बै ट री से जो ड ना है ,	తరువాత నువవు బ యా ట రీ కి స వి చ క నె క ట చేయ ాల ంత ే ,
ठीक है ?	సరేనా ?
मेरी स हे ली नै ट कभी - कभी उससे मिलने जाती है .	నా సనే హి తు ర ాలు నా ట ఆమె తో గ డు పు తుంది .
वह लू क ह ॉल था .	అది లూ క హ ాల .
ऐसे जू ते पह न कर	అలా ంటి ష ూ స తో
" खुद मस ती करते - करते ग ला घु ट ने का मतलब गा डि यों से सं भ ो ग नहीं . "	" ఆ టో ఎ రా టి క అస ఫీ క సి యే షన అంటే కార లతో సె కస కాదు , వెధవ . "
वह जो तो ड - फो ड वाली परति यो गि ता है , उसने उस में इ नाम जी ता ,	అతను ఆ డి మో లి ష నో ఇం కే దో దాని లో బహు మ తి గె లి చా డు ,
तुम जज लोगों को छ ू ट देने के बारे में कह सकती हो ?	నువవు నయాయ నిరణ ే త లను మి న హా యి ంపు అడ గ వచచే మో ?
तुमने चु नौ ती को लेकर अभी तक रे से बात की ?	నువవు రే తో స వ ాలు గురించి మాటలా డా వా ?
यह ली ला को पैसे दिया करता था .	లీ లా అతని నుండి డబబు తీసుకు ంటుంది .
तुमहें उसका कुछ नाम पता है ?	అతనికి ఏదెనా పేరు ఉందా ?
पिछ ले साल वह ज ं प पर था .	అతను గ త ఏ డా ది జ ం ప లో ఉననాడు .
इसलिए उनहें सक ूल छोड कर , पार ल र में काम करना प डा .	అందుకే స కూ ల మా నే సి , సె లూ న లో పని చేసి ంది .
मैं समझ ता हूँ कि आप लोग बस अपना काम कर रहे हैं ,	మీ పని మీరు చేసతుననా రని అరథం చేసుకో గలను ,
सला ह के लिए शुकरिया .	సూ చ న కు ధనయవాదాలు .
यह बात बडी अचछी क ही .	అది చాలా బాగుంది .
बि ंग ो गाडी सु धा र परा ची न ए व ं नि रा ली गा ड ियाँ और पु र जे	బి ంగ ో స ఆ టో పు న రు దధ రణ సం పర దా య మరియు పు రా తన కార లు , వి డి భా గ ాలు
यकीन मान ो तो , उसकी बहन और भी अचछी घु ड स वार थी .	అతని సోద రి గుర రం పె న ఇంకా బాగు చేయ గల దని , నువవు నమమ ాలి .
बस बुरा लगता है , बात खतम . ठीक है ?	నాకు బాధ గా ఉంది అంతే . సరేనా ?
बि श प को पता नहीं चल सकता कि मैं रे के साथ सो ई .	బి ష ప కి నేను రే తో జ త క టట ా నని తెలియ కూడదు .
माँ के लिए भी . इसलिए , याद रहे , किसी से कुछ मत कहना , ठीक है ?	అలా నే అమమ కూడా . అందు కని , ఎవ రికీ ఏమీ చెపప కు , సరేనా ?
जब ऐ बी अपने चे ह रे की फो टो ले रही थी , तो उसके साथ ध ो खा करने की कोशिश की .	అతను ఆ బీ పా స పో ర ట ఫో టో లు తీ సతూ , ఏదో కు ం భ కో ణ ానికి పరయతని ంచా డు .
माँ ने सो ल ह साल की उ मर में घर छो डा था .	తెలుసా , అమమ కు ఇ లలు వది లి వెళళి నపపుడు 1 6 ఏ ళళ ే .
जैसा तुमने कहा था , मुझे तो ग ण ित पसंद भी नहीं .	నువవు చెపపి న టటు , నాకు గ ణి తం ఇషటం లేదు .
डि गि न स , तुमहें बस पूछ ना है .	డి గ గి నస , నువవు కేవలం అడుగు చ ాలు .
आ ख िर कार , एक गवा ह सामने आया .	చి వర కు , ఒక సా కషి ము ందుకు వచచా డు .
हैलो , मै कस . यह शे रि फ को र टे ज हैं .	హే , మా కస . ఈ యన ష ె రీ ఫ కోర టె జ .
दोसत हो , हाँ ? छोड ो !	సనే హి తు లా ? వదదు !
उसका आ धा समय मौ ज - मस ती के लिए , घ ो ड ों की पी ठ पर से	అతను తన సమయం అంతా దా దా పు గా తన ను తొ కక ే సే జీ ను ఉనన గుర రాల పె
जब मन चाह े , मुझसे मिलने च ली आ ना .	ననను ఎపపుడ ెనా కావాల ను కు ంటే వచచి కలు వు .
हमें भी लि ट ल बिल की तरह स ड कों पर सो ना पडे गा ?	లి టి ల బి ల లా గా మన మూ వీ ధి లో పడు కో వ ాలా ?
वह तुमहें बचा ने में कितना समय बर बाद करे गा ?	నినను ర కషి ంచ డానికి అతను ఎంత సమయం వ ృ థా చేసతా డ ంటా వు ?
जिस से सा बि त होता है कि ह री के न के बाद भी उसने हि ससा लिया .	అది తు ఫా ను తరువాత పో టీ పడి న టటు రు జు వు చే సతుంది .
उसके दा दा न शे में ध ु त हो कर	వాళళ తా త బాగా తా గి నపపుడు అతని ని
और उसकी त सवी र चार ों ओर थी .	అపపుడు అతని ఫో టో అంత టా వచచింది .
क श ती पर मु सी ब त हो सकती है .	క ాలు పె టటి న మ రు కష ణ మే పడి పో తా వు .
ली ला ने उसे बताया कि उ त तर में उसे एक पु नर सु धा र क ली निक का पता चला था ,	అంటే , ఉ తత రం లో అతనికి ఒక పు న రా వా స కే ంద రం చూశా నని చెపపి ంది ,
ऐसा कोई जो मुझे इ ल जा म से मु कत कर सकता था .	ఎవరో ఆ రో ప ణ లు ఖచచితంగా వెన కకు తీసుకు నే లా చేసే వారు .
घर का कुछ काम , या क पडे ध ो ना , या कोई दूस रा काम .	అంటే ఇంటి పని , బ టట లు ఉ త క డం , లేదా అలా ంటి వి ఏ వె నా చేసతాను .
पर तुम मेरा खया ल रख ती हो .	కానీ నువవు ననను చూ సు కుంటా వు గా .
कया हा ल - चा ल !	బాగు ననా రా !
है न ?	అవునా ?
- तुमहारे पास छु ट का रा है . - हाँ .	- నీ దగగర ఇంకా ఇ మ యూ ని టీ ఉంది . - అవును .
हम यह कर सकते हैं .	మనం ఇది చేయ గల ం .
अचछा , चलो .	సరే , మంచిది .
आ मत ौर पर , वे शा म के बाद नजर आ ते हैं .	అవి సా ధా రణ ంగా సం ధయ వే ళ వ సతా యి .
- अ दा लत में लू क का कोई दोसत था . - रे ?	- లూ కకు కోర టు లో ఎవరో సనే హి తులు ఉననారు . - రే ?
हमें कुछ पत ले बि स कु ट बे च ना चाहती थी .	ఆమె థ ి న మి ంట స అమమ ాలని వచచింది .
हेदर को सं भ ल कर रहना चाहिए , रे .	హే థర జా గర తత గా ఉండాలి , రే .
मैंने . . .	నేను ఒక . . .
जब आपको सै ं टा कल ॉ ज से डर लगे , है न ?	అది శా ంటా క లా స అంటే భ యం , కదా ?
रात को साथ मिल कर फि ल म देखो गी ?	కుటుం బ ంతో సి ని మా కోసం రాతరి ఉననా వా ?
रि चर ड स परा ंत शे रि फ वि भाग	రి చ ర డ స క ౌ ంట ీ ష ె రీ ఫ డి పార ట మె ంట
तो फिर मो ह ॉ क चले गा ?	అయితే , మో హా క చేయ మ ంటా రా ?
उसकी माँ ने कहा कि चे ह रे की त सवी र ों के लिए तीन बार आई थी .	ఆమె ఇకకడికి పా స పో ర ట ఫో టో ల కె మూ డు సా రలు వచచా న ంది .
जि तनी चा हें चु नौ त ियाँ जी त िए .	మీరు వీ లె నన ని స వాళళు గె లు చు కో వచచు .
उनहोंने हमारी आँख ों पर प ट टी बा ँ धी , गाडी में बि ठा या .	మా క ళళ కు గ ంత లు క టట ా రు , వయా న లోకి ఎ కకి ంచారు .
पहली बार इसे सै न ए न टो नि यो के बाहर ,	నేను అత నని మొదటి సారి చూ సింది
वह कया है , दर द में मजा ?	ఏంట ది , ఎ స అ ండ ఏం చెతత లాంటి దా ?
माफ करना , बहुत कुछ चल रहा है	కషమించు చాలా జరుగు తోంది
जरा सोच ो , कुछ दिन पहले ,	ఆలోచి ంచు , కొనని రోజు ల ముందు ,
हम आपकी मदद करेंगे , और आप हमारी .	మేము మీకు , మీరు మాకు సహా యం చేసు కుంటా ము .
पर असल में डर त भी लगता है जब खेल खेल नहीं रह जाता .	కానీ ఇక ఆట కా నపపుడు అస లెన భ యం కలు గు తుంది .
यह पह ला साल है जब मैंने पै निक के बारे में सुना है .	నేను పా నిక గురించి విన డం ఇదే మొదటి ఏ డా ది .
- पत ते कयों बना रहे हो ? - एक स मार क पे ड के लिए ?	- ఆ కులు దే నికి ? - స మార క చె టటు కో స మే మో ?
जि म को लगा कि ला इ ब रे री में होने वाली	లె బర రీ దగగర అ ం కి తా నికి ముందు నేను నా జు టటు ను
कया बात है ?	అది ఏంటి ?
- वह काफी है ? - हाँ .	- అది సరి పో తు ందా ? - సరే .
द ौ ड ने का मतलब है कि तुम शि कार हो .	పరి గె తత డం అంటే ఎ ర అని అరథం .
- यही निय म है . - मुझे दु ख हुआ	- అది అలా నే ఉంటుంది . - నీకు తెలుసా ,
अचछा ? यह कब की बात है ?	అవునా ? అది ఎ పపుడు ?
रे ? तुमसे बात करनी है .	రే ? మనం మాటలాడ ాలి .
सच में , मुझे जरूरत नहीं थी .	నిజంగా , నాకు అడ గ ాల సిన అవసరం లేదు .
अब सो ने का समय है , न न ही ब ग .	పడు కునే సమయం , చినన బ గ .
कुछ नहीं . मैंने गलती कर दी .	ఏమీ లేదు . తపపు చేశా ను .
सं वाद अनु वाद क पर वी न कौ र शो म	స బ టె టి ల అను వాద కర త సమ త
- उसकी आँख ें आवा रा कु त ते जै सी हैं . - छोड ो भी .	- ఆమె వి వీ ధి కు కక లాంటి క ళళు . - పో రా .
डि गि न स , बात असल में यह है .	నీకు తెలుసా , డి గ గి నస , ఇ దీ విషయం .
नहीं . मुझे डर था कि कहीं तुम मुशकिल में न आ जाओ .	కాదు . నువవు ఇ బబ ందు లలో పడ తా వని భయ పడ డా ను .
इन फा ट कों को हर वकत बंद करके रख ना पडता है . समझ ी ?	ఈ గే టలు ఎ లల వే ళ లా మూ సి ఉ ంచాలి . అరథ మె ందా ?
किस बात को लेकर ?	దే ని గురించి ?
घ ो डे पर ड टा रहा .	సవా రీ చేశా డు .
मैंने पूछ ा नहीं .	నేను అడ గ లేదు .
एक - एक करके , हमें वापस आ ना प डा .	ఒక రి తరువాత ఒక రు , మేము తిరిగి రా వాలి .
हे भगवान . अगर उसने कुछ कह दिया हो तो ?	దేవుడా . అతను ఏదెనా చెపపి ఉంటే ?
वहाँ आ धा दर जन घु ड स वार रहे होंगे	అకకడ అర డజ ను మంది రె డ ర లను
- खबर जलदी फै ल जाती है , हाँ ? - हाँ .	- పరపంచ ం వే గ ంగా పరి గె డు తుంది , కదా ? - అవును .
तो मुझे लगता है कि तुमहें टॉ म से मिला ना चाहिए .	నీకు టా మను పరి చ యం చేసే సమయం అనుకుంటా .
शुकरिया .	ధనయవాదాలు .
कया ?	ఏంటి ?
जैसा कि ता ब ों में होता है .	మన పు సత కాల లో ఉనన టటు .
हैलो .	హాయ .
- हेदर . - हाँ , पता है .	- హే థర . - సరే , నాకు తెలుసు .
अचछा .	సరే .
शुकरिया .	ధనయవాదాలు .
एक हफ ते में मिल ूँगा .	వా రం లో కలు సతాను .
कया ?	ఏంటి ?
डॉज ?	డా డజ ?
देर - स वे र , यह कभी तो होगा .	ఆ ల సయ మెనా జరుగు తుంది .
हैलो ?	హలో ?
हैलो ?	హలో ?
किसी गी ली जगह पर च ढ ने से ,	పడ వ లో ఎకకడ ెనా త డి మీద
बकवास कर रहे हो .	నిజ మే చెబు తుననావు గా .
पै निक वह खेल है जिस में डर है .	పా నిక అనే ది భయ పెటట ే ఆట .
श ै ता न का नाम लिया नहीं .	సె తాను గురించి అను కు ంటే చ ాలు .
जान कर अचछा लगा .	తెలుసు కో వడం మంచిది .
या तो वह यह छु पा रहा है कि वह कब हुआ या फिर वह कैसे हुआ .	అది ఎ పపుడు జరిగింది లేదా ఎలా జరిగి ందో ఎవ రికీ తెలియ కూడ దని అనుకుంటుననా డు .
सच बताओ , कभी उनहें मु स कु रा ते देखा है ?	అతని ని ఎపపుడ ెనా నవ వడం చూశా వా ?
लू क ने कहा कि वह मेरी मदद कर सकता है .	లూ క ననను బయట పడ ే సతా నని అననా డు .
मैंने इसे छो टे से पा ला है , इसलिए मुझे जानता है .	దానని కూ న గా ఉనన పపటి నుండి పె ంచు తుననాను , అందు కని నేను తెలుసు .
उसे जेल में होना चाहिए .	అతను జె లలో ఉండాలి .
उसे किसी चीज से तो डर लगता होगा .	అతనికి ఏదో ఒక భ యం ఉండాలి .
हे भगवान .	దేవుడా .
पर यह ख तर ना क नहीं है ?	కానీ అది పరమా ద కర మెన ది కా దా ?
या नि वह लडकी जिस की मौ त हुई ? उसे हाथ मत लगा इए .	ఆ చని పోయి న అమమా యా ? అది ము టటు కో క ండి .
बे कार के इ ल जा म थे , और वो ह ट गए .	ఆ రో ప ణ లు అన నీ ఉ తత వి , వాటి ని ఉ ప సం హ రి ంచారు .
बद मा श लोगों को भी आ राम की जरूरत है .	వెధవ లకు కూడా వి రా మ ం కావాలి .
- तुम बस मुझसे दूर रहना . - मैंने सुना !	- మీకు కో పం తె పప ి ంచే ది ఏదెనా . - నేను అది వి ననాను !
ऐ न , यह तो शे र है .	ఆన , అది పు లి .
यह तो ह द से जयादा इ त ति फा क लगता है .	అది చాలా యా ద ృ చ ఛ ి కం లా ఉంది .
अचछा , अब सो जाओ .	సరే , ఇక పడు కునే సమయం .
श ॉ ना के नी , पहले तुमहारी बा री .	షా న కె ననీ , మొద ట నువవే .
कि कोई दूस रा इसे जी ते .	నయాయ నిరణ ే తలు అను మా ని సతుననారు .
ली ला ए गर वॉल के परिवार का फोन आया .	అ గర వాల నుండి ఫోన వచచింది .
सुना है कि वह काफी बद नाम है .	సప షట ంగా , అతనికి పేరు పర ఖ యా తలు ఉననాయి .
