जे पी !	జె పి !
- वह किसी से नहीं मिल ना चाहती है . - हम अ जन बी नहीं हैं . है न ?	- ఆమె ఎవ వరి నీ కల వాలని అనుకో వడం లేదు . - సరే , మేము బయట వాళల ం కాదు , కదా ?
जिस के साथ मैं रात को सो ना चाहता हूँ .	పరయత నం చేసి ఉంటే , ఈ పరిసథి తి వచచే ది కాదు .
जाओ जाकर पैसे चु रा ओ . इन की फि कर करने का ढ ों ग करके फा य दा नहीं होगा .	వెళలి పర సు లు దొ ం గి లి ంచుకో . అందు లో నీకు త కకువ పని ఉంటుంది .
गलती उसकी है . उसे ही इसकी चिंता करने दो .	ఆమె అకకడ వి ల న . ఆ బాధ ఆమె నే పడ నివ వు .
खुद को नीचे मत गि रा ओ .	నినను నువవు త గ గి ంచుకో కు .
मैं अपनी बहन को फोन कर सकता हूँ ?	నా సోద రికి నేను ఫోన చేయ వచచా ?
तुमने वह गि रा या तो नहीं . . .	నువవు ఆ మ ందు ని పడ ే య లేదు కదా . . .
मेरी माँ ने मुझे बच प न में डा ंस कला स में भे जा था .	నా చినన త నం లో మా అమమ ననను డా న సు నే రచు కో డానికి పం పి ంచే ది .
ठीक है . तो जल द बात करेंगे . ठीक है ?	అలాగే . సరే , తవర లో మాటలాడు కు ందా ం . సరేనా ?
मैं तुमहारा पी छा नहीं कर रहा था . . . देखो , मैं बस . . .	నేను నినను అను సరి ంచడం లేదు . . . చూడు , నేను . . .
अगर बी मा दा वे से इसका सं बं ध नहीं होता , तो मैं यह नहीं पूछ ता .	ఇది క లె యి మ కి సంబం ధి ంచిన ది కా క పోయి ఉంటే నేను ఈ పర శ న అడి గే వాడిని కాదు .
और मेरी भी जरूरत ें हैं .	నాకు అలా ంటి ది అవసరం .
इसलिए टा ल ने में कयोंकि तुम कुछ छु पा ने की कोशिश में हो	వి వర ాలను కలు ప తంగా చెపప డం ఎందుకంటే మనం ఏదో దా చ ాలని పరయతని సతా ము
उसे लेकर . यो जना आगे बढ ा ने के बारे में .	అతని గురించి . ఆ విషయం . పని చేయడం .
मैंने तुमसे कहा था , तुमहें यहाँ आने की जरूरत नहीं है .	సరే , నీకు చెపపా ను , ఇకకడ నీ అవసరం ఎవ వ రికీ లేదు .
नहीं , पर . . .	లేదు , కానీ . . .
तुमहें पसंद आई ?	నీకు న చచి ందా ?
यह ब ला न ड के थे .	అవి బ లా న డ వి .
यह हो रहा है .	ఇది జరుగు తోంది .
बे ल जि यन सी री ज " कल ै न " पर आ धा रि त	బె ల జి యన సి రీ స క లా న ఆ ధా ర ంగా
पर तुमहें किसी ग री ब इंसान की तरह वा इन फ रि ज में रख नी चाहिए .	కానీ ఒక పే ద వయకతి లా నీ వెన ని ఫ రి డజ లో ఉ ంచుకో వాలని మా తరం సూ చి సతాను .
मैं तुमहें जिंदगी जी ना सि खाना नहीं चाहती हूँ ,	నీ జీవి తా నని నువవు ఎలా జీవి ంచ ాలో నేను చెపప న కక ర లేదు ,
मेरी नजर ें तुम पर हैं .	నినను గ మని సతుననాను .
यह झा ड ियाँ देखो , जे पी .	ఈ పొ ద లు చూడు , జె పి .
- भगवान . - जानती हूँ .	- దేవుడా . - నాకు తెలుసు .
वह पे शा ब कर रहा है ?	వాడు మూ తరం పో సతుననా డా ?
तुम आज सा व धा नी से रहो गे , है न ? जै र लड के साथ .	ఈ రోజు నువవు జా గర తత గా ఉంటా వు , కదా ? జె రాల డ తో కలిసి .
नहीं , उसे डर ग स देने के बारे में . भ रे हुए बा थ ट ब में डाल ने के बारे में .	లేదు , అతనికి మ తతు మ ందు ఇవ వడం గురించి . తరువాత పూరతి గా నీ ళల ట బ బు లో ము ంచడం గురించి .
मैं उससे अभी - अभी मिली थी .	ఇంత కు ముందు నేను త నని కలి శా ను .
तुम ऐसे कयों र ें ग रही हो ?	నువవు ఎందుకు అలా పా కు తుననావు ?
- जगह दो , अ र सला . - ठीक है . हाँ , ठीक है .	- కొ ద ది గా జరుగు , ఉ ర సు లా . - నేను . ఎ క కా ను , సరే .
हम कया करेंगे अगर वह वापस लौ टा और हम अंदर रहे तो ?	మనం ఇంట లో ఉండ గా అతను తిరిగి వచచే సతే అపపుడు మనం ఏం చే దదాం ?
- तुम ? - मैं भी . अ परा ध बो ध से भ री हूँ .	- నీకు ? - అంతే . తపపు చేశా న నే బాధ ఎకకువ యి ంది .
पर उसके अ ला वा . . .	కానీ అది కా కుండా . . .
कई मर द दवा इ या ँ ले ते हैं .	చాలా మంది వాటి ని తీసు కుంటా రు .
तुमहें .	నువవు .
भगवान .	దేవుడా .
भगवान .	దేవుడా .
मेरे पास यह इसलिए है कयोंकि हमारे बीच पहले जैसा रिश ता नहीं रहा ,	మనం ఇది వర క టి లా లే ము గ నుక నేను ఇది పెటటు కో వల సి వచచింది ,
जगह दो .	వచ చేయ .
कया हो रहा है ?	ఏంటి ఈ చెతత ?
भगवान !	దేవుడా !
कया हमें पुलिस बुला नी चाहिए ?	మనం పోలీసు లని పి లు ద దా మా ?
हे भगवान . वह रु क रहा है .	ఓహ , దేవుడా . వాడు ఆగు తుననా డు .
कया तुम . . . कया तुम ज ॉन प ॉल वि लि य मस के दोसत थे ?	మీరు . . . మీరు జా న పాల వి లి య మస సనే హి తు లా ?
स जा व ट पहले जै सी रख कर कोई फा य दा नहीं होगा .	ఈ ఇంటి ని అలాగే ఉ ంచడం కూడా బాగు ండ దు .
मैं बस अभी यही सोच रही हूँ कि उस बे चा रे की आँख को कया हुआ .	పర సతు తం నేను ఆలోచి సతునన దంతా పా పం ఆ మనిషి క నను కు జరిగి న దాని గురి ంచే .
कया तुम लोगों को " बिना आ रो प के रि हा " का मतलब समझ नहीं आता है ?	పోలీసు లు " కేసు లే కుండా వి డు దల " చే సతే మీకు ఏమీ ప టట దా ?
कया लगता है मुझे तुमहें कया बता ना चाहिए ?	నేను నీకు ఏం చెపప ాలని ఆ శి సతుననా వు ?
चलो भी . ठीक है . मैं इसकी ह क दार थी .	దయచేసి వి ను . సరే . నాకు ఈ శి కష పడ ాల సి ందే .
कहते हैं कि म ृ त कों के बारे में बुरा नहीं बोल ना चाहिए ,	చని పోయి న వారి గురించి చె డు గా చెపప వదదు అంటా రు ,
मैंने इस बारे में कयों नहीं सोचा ?	నేను ఇలా ఎందుకు ఆలోచి ంచ లేదు ?
मैंने उसकी आँख फो ड दी , बै का .	నేను అతని క నను ని పే ల చేశా ను , బె కా .
थ ॉ मस कृपया कृ प य मुझे वापस फोन करो	థా మస దయచేసి దయచేసి నాకు తిరిగి ఫోన చేయి
पता नहीं . शायद वह भ ला सोच रहा था ?	నాకు తెలియదు . ఏదెనా పొ ర పాటు కా వచచు కదా ?
- हमें जाना होगा . - हाँ .	- మేము ఇం క వెళల ాలి . - అలాగే .
चलो भी , जान . हम नहीं चा हें गे कि तुम यहाँ बिना शि कष ा के लौ टो .	దయచేసి వి ను , బంగా రం . నీకు స రెన చ దు వు లే కుండా నువవు ఇకకడికి మళలీ రాల ే వు .
मजाक कर रहा था . अंदर आ सकता हूँ ?	అది ఒక జో క . లోప లి కి రా వచచా ?
कया हम वह किसी ड रि ंक में डाल सकते हैं ?	మనం ఆ మ ందు ని డ రి ంక లో కలు పు తా మా ?
बात यह है कि , मैं अब भी उसे देख ती हूँ	విషయం ఏమి ట ంటే , నేను ఇ పపటి కీ అతని వ ంక చూ సతాను
- कया तुम कुछ भूल नहीं रही ? - माफ करना .	- నువవు ఒకటి మర చి పోయి న టలు ననా వు కదా ? - మన ని ంచు .
यह जान ने के लिए कि मेरी प तनी को कया चीजें पसंद हैं	నా భా రయ నిజంగా ఏం చే స తో ందో తెలుసు కో వడానికి
- तुमने ऐसा कयों किया ? - उसे न ं गा होना होगा .	- అలా ఎందుకు చేశా వు ? - వాడు న గ న ంగా అందు లో పడు కో వాలి .
- तो कया मेरी गलती है ? - मैं बू ढ ा नहीं हूँ , गरेस .	- మరి , నా తపపు అంటా వా ? - నేను ఇంకా ము స లో డిని కాల ేదు , గరేస .
- उनहें लगता है कि तुम बु रे फै स ले ले ती हो ? - आ मत ौर पर , ले ती हूँ .	- నీ ఎ ం పి కలు మంచి గా ఉండ వని వాళలు అనుకుంటా రా ? - నేను సా ధా రణ ంగా అలాగే చేసతాను .
- कया हो रहा है ? - कया वह काम नहीं कर रहा है ?	- ఏం జరుగు తోంది ? - ఇది పని చేయడం లేదా ?
कया कह ती हो ?	ఏం అంటా వు ?
जरूर . पर मुझसे कौन शादी करे गी ?	తపప కుండా . నన నె వ రు పె ళ లి చేసు కుంటా రు ?
पर हम तुमहारी मदद के लिए	నీకు ఉ ప యో గ పడ ే వి ధ ంగా
नहीं , मजाक कर रही हूँ . यह नया है . कभी इस ते माल नहीं हुआ .	లేదు , ఊ రి కే జో క చేసతుననా ను . ఇ వి రెండు తా జా వి . ఎపపుడూ ఉ ప యో గి ంచ లేదు .
कया वह सा ँ स भी ले रहा है ?	వాడు అసలు శ వా స తీసు కుంటుననా డా ?
खैर , पर " हमने " उस आदमी की एक आँख नहीं फो डी , है न ?	కానీ , ఒక మనిషి ని స గం గు డ డి వాడిని చేసి ంది " మనం " కాదు , అవునా ?
ना व . आज ही वह दिन है जब हम तुमहारी ना व पर स वार होंगे ?	ఆ పడ వ గురించి . ఈ రో జే నా దానిని బయటకు తీ శా వు ?
अ रस को बता दो कि वह वहाँ करी ब आ ठ ब जे पहुँ चे .	రాతరి ఎ నిమి ది గంట ల పరా ంత ంలో ఉ రస ని అ కకడికి చే రు కో మను .
दरअसल , आज मैं छु ट टी ले ने की सोच रहा था .	వా సత వ ంగా ఈ రోజు సె ల వు తీసుకో వాలి అనుకుంటుననా ను .
अगर तुमने पह चा ना नहीं है . . .	ఇది ఎంత ముఖ య మో నీకు తెలియ కపోతే . . .
और उममीद करें कि वह रात को बा थ ट ब में ही ड ू ब जाए .	తన కు తాను గా నీ టి లో ము ని గి పో వాలని పరా రథ ి సతూ కూడా కూ రచ ో వచచు .
- माँ . - अ ल वि दा , जान .	- అమమా . - ఉంటా ను , బంగా రం .
तुमहें कया लगता है ?	నువవు ఏం ఆలోచి సతుననా వు ?
कया लगता है , आ मत ौर पर कया कारण होता है	ఒక వయకతి కం ప యూ టర ని పోలీసు లు సవా ధ ీ నం చేసు కు ంటే
हे भगवान . हे भगवान .	ఓహ , దేవుడా . ఓహ , దేవుడా .
पकका उसके पै र भा री होंगे . उसका श री र काफी क सा हुआ है .	ఈ చెతత వెధవ కా ళలు బ రు వు గా ఉంటా యి . వీ డు ఒక ఇ టు క బ టట ీ లా గా ఎ ది గా డు .
अगर वह उसे अपने साथ ले गया है तो ?	అది వాడి తో నే తీసుకు వెళ ి తే ఏంటి పరిసథి తి ?
वह एक दु र घट ना थी .	అది ఒక పరమా ద ం .
इतनी स ज - ध ज कर कहाँ जा रही हो ?	నువవు ము సతా బ యి ఎ కకడికి బయ లు దే రా వు ?
वह वापस आ गया है .	వాడు వచ చేశా డు .
तो भी हमें उसे उस तक पहुँ चा ने का तरी का ढूँढ ना होगा .	దానిని అతనికి ఎలా ఎ కకి ంచాలి అనన ది మాతరమే మనం ఆలోచి ంచ ాల సి ఉంది .
मुझे अचछे सा थी के साथ जाने की उममीद थी , रॉ जर .	నేను ని మమ ర సం తా గ ాలి అను కుననాను , రో జర .
मैं हफ त ों से जे पी को उनहें का ट ने को कह रही थी .	ఆ మొ కక లు క తతి రి ంచ మని జె పి ని కొ ద ది వార ాలు గా అడుగు తుననాను .
अरे , हाँ . स फर कैसा रहा ?	ఓహ , అవును . ఈ ఆలోచ న ఎలా ఉంది ?
मैं इसे यहाँ इतनी दूर कयों लेकर आया ? तुमहें सर परा इ ज देने के लिए ?	దీని ని ఇంత దూ రం తీసుకు వచచింది , దే ని కోసం అను కుననా వు ? నీకు ఆ శ చ ర యం కలి గి ంచ డా ని కా ?
तुमहें कया लगता है तुम कै सी दिख रही हो ?	నువవు ఎలా ఉననా వని అనుకుంటుననా వు ?
हाँ . इसलिए मुझे तुम लोग पसंद हो .	అవును . కానీ , మీ అంద రి లో గొపప విషయం అదే .
- मुझे तुमहारे यह र ंग अचछे लगे . - अरे , हाँ .	- నువవు ఉ ప యో గి సతునన రం గు లు నాకు న చచా యి . - ఓహ , అవును .
मुझे तुमहारे साथ नहीं जाना .	ని మమ కా య ని పీ ల చ ాలని అనుకో వడం లేదు .
हे भगवान .	ఓహ , దేవుడా .
तुम अचछा ना च ती हो .	నీకు డా నస బాగానే వచచు .
याद है , हम हमारी शादी में सो ल डी जे आ यो जि त करने वाले थे	నీకు గురతు ందా , మన పె ళ లి రోజు న మనం సో ల డి జె ని పెటటు కో వాలి అను కుననా ం
ठीक था . ठीक ही था .	బాగుంది . నాకు న చచి ంది .
वह न ई है ?	ఇది కొతత దా ?
- अ ल वि दा , जान . - अ ल वि दा , जान .	- ఉంటా ను , బంగా రం . - ఉంటా ను , బంగా రం .
उनहें दू ध पसंद है .	వాళల కి ప ాలు అంటే ఇషటం .
हे भगवान .	ఓహ , దేవుడా .
हे भगवान .	ఓహ , దేవుడా .
- कया वह ना व निकाल रहा है ? - पता नहीं .	- వాడు పడ వని తీసుకు వెళ తుననా డా ? - నాకు తెలియదు .
ठीक है , दोसत ों . चलो वि राम करें .	సరే , మి తరు లా రా . ఇకకడ కొ ద ది సే పు ఆ పు దాం .
- उसके ब टन खो लो . - नहीं खो ल सकती .	- వాడి చెతత బ ట నస వి పప ండి . - నా వలల కాదు .
मैं अपने बॉ स , जै र लड को	నా య జ మా ని , జె రాల డ ని ఇ ందు లో
इसका उससे कया लेना - देना है ?	ఇ ందు లో అతని కే ం సంబం ధం ?
हमें वहाँ तुमहारी जरूरत है .	అకకడ నీ అవసరం ఉంటుంది .
कया मैं आ सकती हूँ ? कृपया ?	నేను ఒక సారి కాల చేయ వచచా ? దయచేసి ?
कार में बैठ ो .	కారు లోకి ఎ కక ండి .
मुझे पता चला कि थ ॉ मस ने मुझसे यह बात छु पा ई .	థా మస ఆ విష యానని నాకు చెపప కుండా దా చా డని తెలుసు కుననాను .
- इ वा ? तुमने न नहीं कहा न ? - चु प रहो और भा गो !	- ఈ వా ? అది పని చే సతోంది కదా ? - నో రు మూ సు కు ని పరి గె తత ండి !
दरअसल , शायद मुझे भी करना होगा .	నిజ ానికి , నేను ఈ పని చేయాలి అనుకుంటా .
घ ुम ा ने ले जा . . .	తీసుకు వెళ తుననాను . . .
- वह पे शा ब कर रहा है . - पे शा ब कर रहा है .	- వాడు మూ తరం పో సతుననా డు . - వాడు మూ తరం పో సతుననా డు .
तुमहारे पिता जी घर आ ते ही होंगे , और उनहें दोबारा गु ससा मत दि ला ओ .	మీ నానన తవర లో ఇంటికి తిరిగి వ సతా డు , అపపుడు నువవు ఇలా ంటి కో పా నని పర దర శి ంచ కూడదు .
अग ले टर म के लिए शु ल क .	నీ తరు వా తి టె ర మ కోసం ఫీ జు .
अरे , रॉ जर . मैंने . . .	ఓహ , రో జర . నేను ఎపపుడూ . . .
हम यह करेंगे या नहीं ?	మనం ఈ పని చేసతుననా మా లేదా ?
मेरी बच ची के लिए एक और सर परा इ ज .	నా అమమాయి కి అద న పు ఆ శ చ ర యం .
कया हम खि ड की से अंदर घु स ेंगे ?	మనం కి టి కీ గు ండా లోప లి కి వెళ తుననా మా ?
उसने उसे इतना नी चा महसूस करवा या है , बि बी .	వాడు త నని చాలా చినన బు చచా డు , బీ బీ .
म ॉ म !	అమమా !
यह बढिया है .	అది గొపప విషయం .
कया ?	ఏంటి ?
मैं अस पता ल से कुछ चु रा सकती हूँ .	మా హా స పి టల నుండి నేను కొ ంత తీసుకు రా గలను .
हैलो , मार गो . तुमहें यहाँ वापस देख कर अचछा लगा .	హాయ , మా రగ ో . నువవు మళలీ రా వడం సంతోష ం .
पर तुमहारी रे खा एँ देख कर पता चल ता है	మీ గ ీ త ని చూ సి నేను చెపప గలను ,
हमेशा से इसे यहीं रख ना चाहती थी , पर . . .	ఇది ఇకకడ ఉండ ాలని చాలా కాల ంగా కో రు కుననాను , కానీ . . .
कया ?	ఏంటి ?
डा ंस के लिए धनयवाद , मो ह तर मा .	డా నస చేసిన ందుకు ధనయవాదాలు , మె లే డీ .
हैलो .	హలో .
तुमहें जल न तो नहीं हुई थी ? रॉ जर को लेकर ?	ఇంత కు ముందు నువవు అస ూ య పడ డా వు , అవునా ? రో జర విషయం లో ?
- हे भगवान . - हाँ .	- ఓహ , దేవుడా . - అవును .
जे पी , कया हो रहा है ?	జె పి , ఇ దంతా దే ని గురించి ?
- रुको ! - चलो !	- ఆ గ ండి ! - వచ చేయ !
अगर वह पुलिस बुला रहा हो तो ?	వాడు పోలీసు లని పి లి సతే అపపుడు ఏంటి ?
तुमने उनसे ऐसा कयों कहा ? तुमहें कया फा य दा होगा ?	ఆ విషయం ఆమె కు ఎందుకు చెపపా వు ? దాని వలల నీ కే ం ఆన ంద ం వ సతుంది ?
तुमहें कैसे पता वह खाना ले ने जाएगा ?	వాడు తి న డానికి బయటకు వెళ తా డని నీ కె లా తెలుసు ?
वा इन ले रही हूँ और मिन से मिलने आई हूँ .	వెన తీసుకు ని మి న ని చూ సతుననాను .
उसकी है . बेशक उसकी गलती है .	అది అతని తపపు . తపప కుండా అతని తపప ే .
मेरे पास सा रा सा मान है .	నా దగగర పరి కర ాలు అన నీ ఉననాయి .
बै का गा र वी आ ठ ह जार यू रो	బె కా గా ర వీ ఎ నిమి ది వే ల యూ రో లు
- एक अं तर होता है . - कया ?	- ఒక వయ త యా సం ఉంది . - కషమి ంచండి ?
नहीं , यह तुमहारे लिए है .	లేదు , ఇది నీ కో స మే .
- जे . . . हे भगवान . वह गिर गया ! - हम वही चाहते हैं , बेवकूफ .	- జె . . . ఓహ , దేవుడా . వాడు నీ టి లో పడి పోయా డు ! - మన కి అదే కావాలి , పిచచి దా నా .
करी ब हैं . पर तुम एक कला फि न हो .	మేము ఉంటా ము . కానీ నువవు క లా ఫి న వి కదా .
भगवान . अंदर आओ .	దేవుడా . లోప లి కి రా .
हम सभी ब ला न ड के बि स तर के नीचे छु प ेंगे .	మనం బ లా న డ మ ంచ ం కింద దా కకు ందా ం .
जानती हूँ , और मुझे खुशी होगी कि तुम अंदर आकर उसे बेहतर महसूस करवा ओ ,	నాకు తెలుసు , మీరు లోప లి కి వచచి ఆమె ను ఆ బాధ నుండి బయట పడ ే య ాలని నేను కూడా అనుకుంటుననా ను ,
वही है जो बे कार हो गया है .	అత నే సత తు వ లేని ము స లో డు అయి పోయా డు .
कि कया इसकी संभा वना है कि तुमहारे पति ने आत मह तया की .	మీ భ ర త తన కు తాను చం పు కో వల సిన పరిసథి తి ఎందుకు వచచి ందో తెలుసు కో వాలి .
मुझे लगता है कि तुम कुछ अ र से से अलग बर ता व कर रही हो .	కొ ద ది కాల ంగా నేను నీ తో సరి గగా మాటలాడ లే కపో తుననా నని నాకు అనిపి సతోంది .
- पर तुम कयों परे शान हो ? - बि बी अब भी मेरा फोन नहीं उठा रही है .	- నీకు ఏ మెంది ? - బీ బీ ఇ పపటి కీ నా ఫోన లు తీ య డం లేదు .
अभी तुम हमारी जिंद ग ियाँ क ठ ि न बना रहे हो , तो . . .	నువవు పర సతు తం మా జీవి త ాలను విష ా ద ంగా మా రు సతుననా వు , కాబటటి . . .
तुमने केवल यही गलती की कि तुमने सोचा कि यह तुमहारा बद ला था .	నువవు చేసిన పొ ర పాటు ఏదెనా ఉ ంద ీ అంటే అది ఇ దంతా నీ కో స మే జరిగి ందని ఆలోచి ంచడం .
मेरी बात धयान से सुनो .	నీకు ఒక విషయం చెబు తాను వి ను .
तुमहारी कि ता ब ?	నీ పు సత క మా ?
अगर मेरी याद दा श त सही है , तो उसे तै र ना नहीं आता है , है न ?	వాడి కి ఈ త రా దని నాకు సరి గగా గుర తుంది , అవునా ?
सामने दी वार है . मैंने तुमहें पक ड र खा है .	మీరు గో డ వెపు వెళ తుననారు . మిమమలని నేను పటటు కుననాను .
हाँ . आ रहा हूँ . दो मिनट ों में पहुँच ूँगा .	అవును . నీ దగగర కే వ సతుననాను . రెండు నిమిష ాల లో ఉంటా ను .
- कया . . . तुमने कयों . . . कया ? - कया हुआ ?	- ఏంటి ఈ చెతత . . . ఎందు కి లా చేశా వు . . . ఏంటి ? - ఏంటి ?
कया तुम चाहती हो मैं पै ंट पह न ूँ ?	ననను ప యా ంటు వే సుకో మ ంటా వా ?
पे शा ब करने के लिए अचछा समय चु ना , अ र सला .	మూ తరం పో య డానికి ఎంత గొపప సమయం తీసు కుననా వు , ఉ ర సు లా .
बेशक नहीं उठा ए गी . वह शर मि ंदा है और उसे होना भी चाहिए .	అవును , తను తీ య దు . తను సి గ గు తో కు చి ంచు కు పో తోంది , అ ందుకు ఆమె అర హు ర ాలు .
मुझे पता है तुमहारे पास फोन न उठा ने के जा य ज कारण हैं .	ఏదో ముఖ య మెన కారణ ం లే కపోతే తపప నువవు ఫోన తీ య కుండా ఉండ వని నాకు తెలుసు .
मैं उसे खुश करने के लिए ना व पर ले जा रहा हूँ .	ఇది మ భయ పెటట ే కు టర , అందుకే ఈ బంగా రం .
याद है ?	గురతు ందా ?
हे भगवान .	దేవుడా .
पर अगर इससे तुमहारे इ कल ौ ते भाई के साथ रिश ता ट ू टा ,	కానీ దాని కోసం నీ ఒకక గా న ొ కక అనన యయ తో అను బం ధా నని తె ంచుకో వడం అంటే ,
- हाँ . - सच में ?	- అవును . - నిజంగా నా ?
हाँ , पर , मेरे पास है .	సరే , కానీ , నేను పో గొ టట లేదు .
मुझे बा ँ हों में लो गे ?	నీ చే తులు నా చు టట ూ ఉ ంచ గల వా ?
मुझे लगा था मुझे ह क था . अपना बद ला ले ने का ह क था .	నేను రు ణ పడి ఉననాను అనుకుంటా . నా మీద నేనే పర తీ కా రం తీ రచు కో వాలి .
ठीक है . बा थ ट ब भर रहा है .	సరే . ట బ బు లో నీ ళలు ని ండు తుననా యి .
इसलिए कई रे प सुन वा इ या ँ स फ ल नहीं होती हैं .	ఆ కారణ ం వలల నే చాలా రే ప కేసు లు వి చా రణ లో వీ గి పో తు ంటా యి .
तो , मैं उसे बता द ूँगी कि तुम लौट आई हो और यो जना आगे बढ े गी .	సరే , నువవు తిరిగి వచచా వని , అను కునన పర కా రం ప థ కం అమ లు చేసతా మని తన కి చెబు తాను .
- वह मेरी दोसत है . - उसने आप से यही कहा ?	- తను నా సనే హి తు ర ాలు . - ఆ విషయం ఆమె నీకు చెపపి ందా ?
मैं आर ट में अचछी थी .	నేను క ళ లలో బాగు ండ ే దానిని .
मैंने फोन किया और सं देश भे जा वह जवाब नहीं दे रही है .	ఫోన ఇంకా మె సే జ చేశా ను తను జ వా బు ఇవవ లేదు .
बेशक समस या उस में है .	ఖచచితంగా ఇది అతని పొ ర పా టే .
पकका गर ै ंट के साथ काफी मस ती कर रही होगी .	అయితే గరా ంట తో నీకు బాగానే సా గు తో ందని అరథం అవు తోంది .
कुछ नहीं . बस . . . तुमहें मेरी प तनी का चे हरा देखना चाहिए .	ఏమీ లేదు . కేవలం . . . మీరు నా భా రయ ని చూడ ాలి .
तुमहें था ने से फोन करने का मौ का दिया जाएगा .	మీకు పోలీ స సట ే షన లో మాతరమే ఫోన చేయ డానికి అను మ తి ఉంటుంది .
पर उसकी दिमा गी हा लत ठीक नहीं है . माफ कर दो .	కానీ తను ఎ పపటి లా లేదు . కషమి ంచండి .
तुमहारे साथ कोई समस या नहीं है .	నీ లో ఎ టు వ ంటి లో పం లేదు .
माफ करना . अभी उससे बात नहीं हो सकती .	కషమి ంచాలి . పర సతు తం ఆమె ఎవ వరి తో న ూ మాటలాడ టం లేదు .
जयादा बोल गई ?	మ రీ పిచచి గా ఉందా ?
और अगर यह सच में उ तना बडा है , तो हम दोनों बच जाएँगे .	అది నేను ఊ హి ంచిన ంత పెదద దే అయితే , అది మన ఇదద రి జీవి త ాలని కా పా డు తుంది .
और फिर ब ला न ड की बा री आए गी .	ఆ తరువాత బ లా న డ పరిసథి తి కూడా అంతే .
मैं बस कॉ रि डो र में ख डा था .	నేను ఊ రి కే ఆ కా రి డా ర లో ని ల బడ డా ను .
कया तुम भ वि ष य देख सकती हो ?	నీకు ఏమెనా అత ీ ంద రి య శ క తులు ఉననా యా ?
है न ? उसे अस पता ल से डर ग स चु रा ने को कहूँ गी .	సరేనా ? ఆ మె డి కల దు కా ణ ంలో త నని కొ ద ది గా షా పి ంగ చేయ ని దదాం .
शायद यह बस शादी की वजह से है .	బహుశా అది పె ళ లి వలల అలా అనిపి సతు ండ చచు .
उसे बस यहाँ आकर मेरी वि रा सत पी ने का ब हा ना चाहिए .	ఏదో పా త సా కు చెపపి నా వార సత వ సం పద అంతా వచచి తా గే య ాలని చూ సతోంది .
हाँ . आज कल लोग मदद नहीं करते हैं .	అవును . ఈ రోజు లలో సాయం దొ రక డం కష ట మె పో తోంది .
नहीं , शायद नहीं .	లేదు , బహుశా అది కాదు .
मैं हाथ पक ड ूँगी .	వాడి చేయి పటటు కు ందా ం .
वह कया करना चाहता है ?	వాడి ఆలోచ న ఏంటి ?
मैं चार ों तरफ से काफी द बा व में हूँ .	నేను అనని రక ాలు గా చాలా ఒ తతి ళలు ఎదు ర కొ ంటుననా ను .
कि उसने आत मह तया करने की पहली कोशिश , ठीक से नहीं की थी .	మొదటి సారి అతను ఆ తమ హ తయ చేసుకో వాలి అను కునన పపుడు అతను సరి గగా పరయతని ంచ లేదు .
तुमहारे चे ह रे को कया हुआ ?	మీ ముఖ ానికి ఏ మెంది ?
कल रात , गरेस ब ला न ड को ग ॉल वे ले जा रही है .	రే పు రాతరి , బ లా న డ తో పాటు గరేస కూడా గ ాల వే కి వెళ ు తోంది .
मुझे अं दा जा नहीं था कि तुम मुझसे इतनी ना खुश हो .	నువవు నా విషయం లో ఇంత అస ంత ృ ప తి గా ఉననా వని నాకు నిజంగా తెలియ లేదు .
आ मत ौर पर , माँ एँ चिं ति त होती हैं , पर थे रे सा ठीक है .	తల లు లు అయ యా క ఆడ వారి లో అది ఉంటుంది అంటా రు , కానీ థ ె రె సా బాగానే ఉంది .
- अंदर बैठ ो . - बैठ रही हूँ .	- లోప లి కి రండి . - నేను ఎ కకు తుననాను .
तो रात को किसी समय , वह खाना ले ने के लिए बाहर निक ले गा .	కాబటటి ఈ రాత రికి ఏదో ఒక సమయం లో , వాడు ఏదో చెతత తి న డానికి బయటకు వెళ తా డు .
तुम सा मान दोबारा स जा रही हो ?	మీరు ఇంటి ని కొ ద ది గా మార చి న టలు ఉననారు ?
इसे ह टा ते हुए चो ट लग ने वाली थी .	దీని ని మా రచు తునన పపుడు గా య ాలు కూడా అయ యా యి .
मैंने कई कमी नों को डे ट किया है .	నేను కొ ంద రు తి రుగు బో తు లతో కలిసి తి రి గా ను .
जब बचचे पै दा कर लो , तब यह कहना .	ఒక రి దద రు పిలల లని కని అపపుడు నాతో మాటలాడు .
हम उसके पीछे नहीं जा रहे हैं न ?	మనం అంత తీ వర ంగా వాడిని వే టా డ టం లేదు , కదా ?
एक आँख वाली म हिला वहाँ बंद ूक चला ने कयों गई थी ?	ఆ ఒ ంటి క నను మ హి ళ తు పా కీ పటటు కు ని అ కకడికి అసలు ఎందుకు వచచింది ?
पर अगर तुम तु र ंत घर नहीं लौ टी , तो पता नहीं मैं कया कर ूँगा .	కానీ ఇపపుడు నువవు ఇంటికి తిరిగి రా కపోతే , నేను ఏం చేసతా నో ఆ దేవు డి కే తెలియ ాలి .
रो हि प न ॉल पक डा नहीं जाता है . उसका कोई सु रा ग नहीं बच ता है .	రో హి ప నా ల దొ రక దు . దాని ఆన వాళలు కూడా దొ రక వు .
