धनयवाद .	మంచిది !
आ दिल : हे भगवान . व रु ण : मुझे वो रात याद है .	- అబబా . - నాకు గుర తుంది , ఆ రాతరి .
हाँ , और कयोंकि मैं सिरफ एक इं जी नि यर हूँ .	అవును , ఇంకా నేను కేవలం ఓ ఇం జ నీ రని .
और कोई नहीं मिला था कया ?	ఇం కె వర ూ దొ రక లేదా , ఏంటి ?
हे लो .	హలో .
अरे , एक - एक फ ूल सू ं घ ेंगे ,	ఆ , సర . మే ం వా స న చూ సతుననా ం . . .
सर , आप यहाँ . . . आप यहाँ सि गरे ट नहीं पी सकते .	సర , మీరు అలా మీ రి కకడ లోప ల కాల చ కూడదు .
- और त : ये जो ती नों की . . . - अब डो रा कहाँ गई ?	- ఈ ము గ గు రూ ఇకకడ . . . - డో రా ఏ మెంది ?
आ जाओ , बेटा . चलो , न मस ते करो .	ఇలా రా మ మా . వి శ ాల అ ం కు ల కి హాయ చెపపు .
अरे , नहीं . बिलकुल नहीं , हाँ .	. ఖచచితంగా చెపప లేదు . సమ స యే లేదు , ఆ .
मुझे पता है तुम उसके घर जाते रहे हो .	నాకు తెలుసు నువవు వాళ లి ంటి కి వెళ ు తూ నే ఉననావు .
सिरफ तुमहारी गलती नहीं है .	అది నీ ఒ కకడి తపప ే కాదు .
नहीं . कोई नहीं . मैं . . . मैं अके ला हूँ .	లేదు . నేను చే స కో లేదు . నేను సి ం గి ల .
आप कुछ नहीं करेंगे .	ఇపపుడు మీ రే ం చెయయ దదు .
मैं चाहती हूँ तुमहें बहुत खुश ियाँ मिल ें .	నువవు సంతోష ంగా ఉండ డ మే నాకు కావాలి .
हाँ , वो करा देना बिलकुल .	ఆ , అలా చేయి ంచు . . .
बात तो है , पर , पता नहीं .	ఒక విషయం ఉంది , కానీ
कि शो र : एक सु झा व है . . . व रु ण : ऐसे पी ते हैं .	- ఓ స ల హా . . . - అది అలాగే చెయయ ాలి .
दी दी , उ ठ िए . देर हो जाए गी .	అ క కా , లే వ ండి , ఆ లస యా మ వు తుంది .
अरे , ये तो अब रा ष ट री य जन से वा पार टी के ज मा ई रा जा हैं .	ఇ త ని పు డు రా షట రీ య జ న సే వా పార టీ కి అ లలు డు గా రు .
- तु झ े इस बारे में पता था ? - कया ? कया ?	- నీ కి ది తెలుసా ? - ఏంటి ? ఏంటి ?
माफ कीजिए , पापा . आपको इतना परे शान किया .	సా రీ , నా ననా . మీకు ఇ బబంది కలి గి ంచా ను .
देखो , मैं तुमहें बता ना चाहता हूँ . . .	చూడు , నీకు చెపప ాలను కుననాను . . .
इस तरफ , आओ .	ఇ టు ప కక కి , రా .
- ये पह ना देना . ये ठीक करवा लेना . - ये सब .	ఇది వె య యి . కానీ ఇది బాగు చేయి ంచు .
- न ूत न : आ इए ना , आ ं टी . - आ इए , आ इए .	- పలీజ రండి , ఆ ంట ీ . - పలీజ రండి . పలీజ రండి .
अभी - अभी , पहली बार .	ఇ పపుడే . మొదటి సారి .
मुझसे शादी कर लो .	ననను పెళళి చేసుకో .
और बा लों को कस कर पीछे बा ँ धा था . हाँ .	తన జు టటు ని వెన కకి బాగా టె ట గా లా గి ఉ ంచి . అవును .
भा रत में सम लै ंग ि क ता कोई न ई बात नहीं है .	ఇ ండి య ాలో హో మో సె క సు వాలి టీ కొ త తే ం కాదు .
आ जाओ आगे . आपका ले ते हैं .	రండి , ఆ ంట ీ . మీ ఫ ొ టో తీ సతాను .
- मैं ही ठीक नहीं बैठ ती , यार . - नहीं , ऐसा नहीं . . . ऐसा नहीं है .	- నేనే బయట దానని . - కాదు . అలా ంటి దే ం లేదు అలా కాదు .
इंसान के ना ते , वह . . .	ఒక వయకతి గా , తను . . .
ड रो मत , मेरी बच ची .	భయ పడ కు , బి డ డా .
इन के बिना शादी पूरी होती ही नहीं है .	వాళళు లే కుండా ఏ పెళళ ీ జరగ దు .
अरे ! चलो मिल ते हैं . बहुत वकत हो गया .	హే ! అవును , కలు దదాం . చాలా కాల మెంది .
हमारे देश के म ं दि र ों में ऐसी न क का श ियाँ हैं जिन में पु रु ष और म हिला एँ	మన కి గు ళళు ననా యి అలా ంటి శి ల పాల తో ఎకకడ ఆడ , మ గ ఇదద రూ ఒక ే
सर , ये फ ते ह बा बा दर गा ह से आए हैं . आपको दु आ देने के लिए .	సర , వీ ళళు ఫ తే హ బా బా దర గా నుంచి వచచా రు , మిమమలని ఆ శ ీ ర వది ంచ డానికి .
इसलिए अपना मु ँ ह बंद ही रख ो .	కాబటటి ఇక ఆ పి తే మంచిది .
मैं तुमहारी स हा य क नहीं हूँ .	నేను నీ అ సి సట ె ంటు ని కా ను .
ये है तुमहारी ख ब री ? तुम एक छ ह साल की बच ची पर भरो सा कर रहे हो ?	తి నా నీ ఇ న ఫా ర మర ? నువ వో ఆ రే ళల దాని పె ఆ ధా ర పడ డా వా ?
पकका वा दा .	పి ం కీ పరా మి స .
और वा दा करती हो उनहें ये दे दो गी ?	నువవు నాకు పరా మి స చేసతా వా తన కి ఇది ఇ సతా నని ?
मुझे नहीं पता तुम कया बोल रही हो .	నువవు ఏం మాటలాడు తుననా వో నాకు అర ధం కా వ ట లేదు .
जेल में मेरे साथ गलत हुआ .	ననను జె లలో బ లవ ంత పెటటా రు .
ब धा ई हो , जान .	క ంగ రా ట స , డా ర లి ంగ .
इस साल के उ भर ते वय व सा य ी , मि सटर आ दिल ख न ना के नाम .	ఈ ఏ డు ఎ మర జి ంగ బి జి నె స మన మి ష టర ఆ ది ల ఖ ననా కి .
ठीक है ? बस अचछी - अचछी बातें बोल ते रहो .	ఓ కే ? అన నీ మంచి వే చెబు తూ ఉ ండు .
फ ते ह बा बा की दर गा ह से .	ఫ తే హ బా బా దర గా నుంచి .
- फ ते ह बा बा की दर गा ह तो . . . - याद व साह ब का चु ना व कष े तर नहीं है ?	- ఫ తే హ బా బా దర గా అంటే - యా ద వ గా రి ని యో జ క వర గం , అవునా ?
पाँच मिनट में , चलो . चलो , आओ .	ఐ దు ని ము ష ాలు , క మా న . క మా న , పద ండి .
याद है . बिलकुल याद है .	ఉంది , గుర తుంది బాగా గుర తుంది .
नहीं . द फ तर से जग दी श का फोन था .	కాదు . ఆ ఫీ సు నుంచి జ గ దీ ష .
मैडम , वो कुछ हि ज डे आए हैं . बोल रहे हैं दु आ एँ देंगे .	మే డ మ , ఆ శ ీ ర వది సతా మ ంట ూ కొ ంద రు కొ జ జా వాళళు వచచా రు .
हाँ , है . हम एक साथ रह ते हैं .	అవును , క బీ ర దే . మే ం ఇదద రం కలి సే ఉంటా ం .
वह म सू री के व ु ड सट ॉ क में पढ ने के लिए चला गया है .	- ఏంటి ? - అతను ము స సో రీ లో వు డ సటా క లో చ ద వడానికి వెళళ ా డు .
कि मैंने ज ॉन मै थ यू से शादी की है .	పెళళి చేసు కుననా నని పర క టి ంచ డానికి .
आप कुछ नहीं करेंगे .	మీ రే ం చెయయ దద ండ ీ .
तुमहारी शादी की सा लग ि रह आ रही है . तुमहारे पास कुछ नया होना चाहिए .	మీ ఏ ని వర స రీ వ సతోంది . నీ కే దో ఒకటి కొతత ది ఉండాలి గా .
मुझे देख कर मु स कु रा रही हो ?	నువవు ననను చూ సి నవ వు తుననా వా ?
ये तो जब र द सत था !	అదభు తంగా చెపపా వు !
तो , बंद क य ूँ हैं ? चलो , खेल ते हैं उनके साथ जाकर .	ఎందుకు లా క చేసా రు ? వెళళి తన తో ఆ డు కు ందా ం .
हम एक मन ो र ं जन पार क में गए , और ये क सम खा ती है कि हम उस झ ू ले पर च ढ े थे . . .	మే ం ఆ ఎ మ యూ జ మె ంట పార కు కి వెళళ ా ం , తను ఆ రె డ మనం ఎ క కా ం అని ఒ టటే సతోంది . . .
आप एक बार देख ल ेंगे ?	ఇ దొ క సారి చూ సతా రా ?
स मा चार वा चि का : . . . द फा 3 7 7 के खिला फ . सम लै ंग ि क ता . . .	సె కష న 3 7 7 కి వయ తి రే కంగా తన కొ ర డా ఝ ు ళ ి పి సతూ నే ఉననారు . హో మో సె క సు వాలి టీ . . .
आ दा ब अ र ज है . बि ट िया की वि दा ई पे आपको बहुत - बहुत मु बार क बाद हमारी तरफ से .	ఆ దా బ బర సే . అమమాయి ని సా గ నం పు తునన ందుకు చాలా చాలా శు భా కా ం కష లు .
पता नहीं , खुद को क सू र वार महसूस कर रही हूँ .	నాకు తెలి సి , వీ ట నని టి కీ కారణ ం నేనే .
अरे , तो अपना आदमी लोग को ति गु ना कीजिए ! अरे !	అయితే , మీ సె క యూ రి టీ ని పె ంచుకో ండి ! ఏ య !
पयार तो बस पयार है ! पयार तो बस पयार है !	పరే మ ంటే పరే మే ! పరే మ ంటే పరే మే !
कया आप लोग हमारी मदद कर सकते हैं ? पलीज .	మీరు మాకు సాయం చెయయ గల రా ? పలీజ
अब हम कया करेंगे ?	మనం ఏం చెయయ ాలి ?
ज ॉन : वे लोग जब र दस ती वि शा ल से उसकी शादी करवा रहे हैं .	వాళలు వి శ ాలని చే స కో మని ఆమె ని బ లవ ంత ం చేసతుననా రు .
- मेरा ? - और कया ? और किस का ?	- నా దా ? - ఇం కె వరి ది ?
बेहतर की उममीद , और पा क होने की उममीद , और खुश होने की उममीद .	మంచి జరుగు తు ందని , ఇంకా ప వి తర త కి , ఇంకా సంతోష ా ని కె నమమ కం .
अंदर के हो या बाहर के , आपको अपनी जगह मिल ही जाए गी ,	ఇ కకడి వా రె నా లేక బయ టి వా రె నా , మీకు ఓ మూ ల చో టు దొ రు కు తుంది ,
फि टि ंग ठीक है ?	అది బా నే ఫి టట యి ందా ?
ये हमारा राज रहे गा .	ఇది మన సీ క రె ట .
ऐसा कुछ मत करो जि से ठीक ना कर स को , ठीक है ?	నువవు తిరిగి తీ స కో లేని పని మా తరం చెయయ కు , అర ధ మె ందా ?
ता रा : माफ करना .	ఒకక సె క న ఆగు .
फर क नहीं पडता .	అవ ననీ అన వ సరం .
कोशिश कर रहा हूँ .	నేను పరయతని సతుననాను .
क बी र : अचछा , आप लोग . . . मि से ज याद व : आप दोनों , आप इस . . .	- సరే , గె స , జ సట . . . - మీరు , అ టు వెళళ ండి .
ता जा लगे गा . जू स पी लेना . और तुम यहीं ख डी रहना , हाँ ?	తన కి కొ ంత శ కతి వ సతుంది . జ యూ స తా గ మ మా . నువ వి కకడ ే ని ల బ డు , సరేనా ?
न ूत न . . . न ूत न . . .	న ూ తన , నువవు . . . హే . . .
देखा जाए तो हमारी शादी हो ही चु की है .	మన కి పు డు పెళళి అయి పోయి న టటే .
ऐसा ही कुछ , हाँ .	ఏదో అలా ంటి దే , ఆ .
पा द री : अगर कोई बात हो जो बो झ सी हो , बोल दो ,	అదే ఏదెనా విషయం లో నీకు ఏదెనా కష టం ఉంటే , ఇ పు డ ది చెపప ో చు ,
हो ही गया . बस वो एक से क ंड लग ना है ना अब तो पो रट रे ट लेना है बस .	అయి పోయి న టటే ఇం కో రెండు సె క నలు . పో ర ట రె యి ట తి య ాలి గా .
- आ जाओ , आ जाओ , आ जाओ , आ जाओ . - अचछा , ठीक है .	- రండి , రండి , రండి , రండి . - సరే , అలాగే .
और मुझे लगता है उनका जो श मेरे जो श को पूरा करे गा .	నా ఉదదేశం లో తన ఎ న ర జీ ఎపపుడూ నా ఎ న ర జీ కి తో డ వు తుంది .
- न मस ते , दा मा द जी . - वि शा ल : न मस ते .	- నమ సతే , అ లలు డు గా రూ . - నమ సతే .
उसके बह का वे में मत आओ .	అది నినను దూ రం చెయయ లేదు .
मैडम , एक फो टो .	మే డ మ , ఒకక ఫ ొ టో .
दिल शा द : दिन भर तो सो रहे थे .	- నువవు రో జ ంతా పడు కునే ఉననావు . - అవును .
आप कुछ और पह न कर नहीं देखना चा हें गी . . .	వీ టి లలో ఇం కే ద ెనా ట రె చేసతా రా
तुमहें लगता है न ूत न आत मह तया कर सकती है ?	న ూ తన ఆ తమ హ తయ చే స కు ంటు ంద ంటా వా ?
तुमहें लगता है तुमने मुझ पर ए ह सान किया है , है ना ?	నా కే దో సాయం చేసా నను కుంటుననా వు , క దూ ?
ये सवाल अभी भी बना हुआ है . आगे और जानकारी के लिए , ब ने र हें . हम वापस लौट ेंगे .	ఈ పర శ న మి గి లే ఉంది . ఇంకా అ పడ ే టల కె చూ సతూ ఉండ ండి . ఇ పపుడే తిరిగి వ సతా ం .
लोग : पयार तो बस पयार है ! पयार तो बस पयार है !	- పరే మ ంటే పరే మే ! - పరే మ ంటే పరే మే !
न ूत न जी बहुत ही अचछी हैं , ते ज हैं और जि ंदा दिल हैं .	న ూ తన అదభు త మెన ది , తెలి వెన ది , చు రు కె న ది .
ज ॉन को पुलिस से बात करनी चाहिए .	జా న పో లి సు ల కి చెపప ాలి .
क बी र : हे लो . तो , दु ल ह न कहाँ है ?	హాయ . మరి , పెళళి కూ తు రే దీ ?
भगवान के गु ण गा ओ !	పర భు వు నినను ర కషి ంచు గా క
सत ता प कष आप जै स ों पे स खत नजर रख े हुए है .	రూ లి ంగ పార టీ మీ వ ంటి వారి పె గ టటి ద రు ష టి పె టటి ంది .
आप सी य ौ न सं बं ध ों को अ परा ध की श रे ण ी से ह टा दिया ,	సె క సు వల ప ను లని నే రం కా దని తే ల చి ందో ,
ब डे साह स की बात है .	నిజ ానికి చాలా ధ ె ర యం చేసా వు .
व रु ण : इसी तरह पी ते हैं , दोसत .	దానని అలా చెయయ ాలి , మె ఫ రెండ .
- रु चि : अचछी वाली है . - माफ करना .	- అది మంచి బ యా చ . - కషమి ంచండి .
- आप ही के चु ना व - कष े तर से हैं ? - अ ल प मत कमी शन . . .	- అతను మీ ని యో జ క వర గం వా డే నా ? - ఈ యన మెనా రి టీ క మీ షన హె డ .
को च : आज का खेल बहुत बडा है , और हमें इसे जी तना ही होगा .	ఈ రోజు మన ంద రికీ పెదద మయా చ ఉంది అది మనం ఖచచితంగా గె ల వాలి .
- हो ही गया . - अचछी त सवी र ें लेना .	- ఇ ంచ ూ మి ంచు అయి పోయింది . - మంచి ఫ ొ టో లు తి య యి .
न वा ब ने सक ूल छोड दिया है .	న వా బ స కూ లు మా నే సా డు .
हमें बहुत - बहुत खुशी हुई ये जान के .	మాకు చాలా ఆన ంద ంగా ఉంది .
इंसान के त ौर पर आप उनके लिए कया महसूस करते हैं ?	ఒక వయకతి గా మీరు తన గురించి ఏ మను కు ంట టు ననా రు ?
तुम बोल कया रही हो ? कया . . .	దే ని గురించి మాటలాడు తుననావు ? ఏంటి
- एक से क ंड . तुमने कब . . . - फर क नहीं . . . फर क नहीं पडता !	- ఒకక ని ము ష ం . - అన వ స రా విషయ ాలు ఇపపుడు అన వ సరం !
मैडम , पलीज एक फो टो . शुकरिया . शुकरिया .	మే డ మ , ఒకక ఫ ొ టో , పలీజ . థాంక యు . థాంక యు .
ये ली जिए .	ఇది గో , తీ స కో .
वि शा ल : कया कहा ? कया था वो ?	అదే ంట ది ? అస లే ంట ది ?
तुमहारी शादी होने वाली थी .	నీకు పెళళ వ బో తుంది .
बिलकुल , यार . मैं गे नहीं हूँ .	అవును , డ ూ డ . నేను గే కాదు .
- एक इंसान के ना ते , आपको कया . . . - इंसान के ना ते , हाँ . हाँ , बिलकुल .	- ఒక మనిషి గా , మీరు - ఒక మనిషి లా , క రె క ట . ఆ , అదే .
नहीं , सबसे अचछी तो नहीं है , पर उसकी है सि य त के हि सा ब से सबसे अचछी है .	తెలుసా , అది బె సట కాదు కానీ , అతని స తో మ త కి అది బె సట .
बात करते रहना , कर न .	ట చ లో ఉ ండు , క రణ .
- दिल शा द : तुम ना मु रा द हो . - तुमहारा सवागत है .	- నువ వో గా డి ద వి . - యు ఆర వె ల కం .
- ए , ए , ए , अचछा . - मुझे पता है .	- హే , హే , హే , ఓ కే - నాకు తెలుసు కలు సతుననా వని .
तुम पयार करते हो उस को ?	నువవు త నని పరే మి సతుననా వా ?
कया है ये ?	ఏంటి ఇ దంతా ?
- शुकरिया . - शुकरिया .	- థాంక యు . - థాంక యు .
अगर हमें कुछ भी हो जाता है ,	మాకు క న క ఏదెనా జరిగి తే ,
प तर कार 2 : आपको लगता है कि आपकी जान खत रे में है ?	మీ జీవితం అ పా యం లో ఉ ందని పి స తో ందా ?
पर जब बडी हो जाए गी , इसे आ जाएगा .	తను పెదద య యా క , అది తన కి సరి పో తుంది .
बात व हीं पर आकर रु क ती है , उममीद .	చి వ రికి రా వల సిన చో టు కే వ సతారు , నమమ కం ,
मुझे नहीं लगता उनहोंने पह न कर देखा है .	త ని ది ట రె చెయయ లే ద ను కుంటా .
हाँ , पर तुम मुझे पसंद करते हो ?	ఆ , కానీ నీకు నే న ంటే ఇష ట మా ?
कहाँ . . . एक मिनट . . . कया . . . कया . . .	ఎ కకడికి ఒకక , సరే ఒకక ని ము ష ం ఏంటి ?
प तर कार 1 : आपकी बहन की आत मह तया थी या कत ल ?	మీ అ కక ది ఆ తమ హ త యా లేక మర డ రా ?
- जी . - एक मिनट .	- సరే . - ఒకక ని ము ష ం .
उसकी हि म मत कैसे हुई ?	దానికి ధ ె ర యం ఎలా వచచింది ?
और त : पर पता है सब य सा ची की सबसे अचछी बात कया है ?	కానీ స బయ సా చి విషయం లో బె సట ఎ ంట ో తెలుసా ?
पता है . . . तुम लोगों की जो डी जयादा अचछी है .	నీకు తెలుసు మీరు కలి సు ండ డ మే క రె క ట .
ये सा ला दिल ली है .	ఇది చెతత ఢ ి ల లీ .
हाँ .	అవును .
दिल शा द : चु प रहो . क बी र : हाँ .	- నో ర ము య యి . - సరే .
नहीं .	లేదు .
ठीक है , मैं . . .	ఏ మెంది ? పర లేదు . నేను లెన
ए .	హే .
पागल मत बन ो .	పిచచి గా ఆలోచి ంచ కు .
लेकिन फ ंक शन चा लू है ना ? कल बुला ना .	కానీ ఫ ం కష న ఇంకా న డు సతూ ఉంది కదా . వాళళ ని రే పు ర మమ ను .
पर , अफ सो स की बात ये है कि इस मा ह ौ ल में आपके साह स को	కానీ ద రి ద రం ఏంట ంటే ఇలా ంటి వాత వర ణ ంలో ,
मि से ज याद व : सा स ने दि ए थे , वो . . .	తన అత త గా రు ఇ చచి న వాటి సంగ తో ?
ज ॉन को फोन करो	జా న కి కాల చెయయ ండి
मैं अभी आया .	ఇ పపుడే వ సతాను .
जाओ ! जाओ , जाओ , जाओ !	వెళళ ు ! , వెళళ ు , వెళళ ు , వెళళ ు !
- न ूत न की बहन : हो गया ठीक से ? - चलो .	- బా నే ఉందా ? - పద వెళ దాం .
देख ूँ तो .	ననను చూడ నీ .
वह फोन नहीं उठा रही .	తను ఎ తత ట లేదు .
एक पुलिस वाले ने . . .	ఆ పోలీ స , వాడు
मुझे फर क नहीं पडता .	నే నవ ననీ ప టటి ంచుకో ను .
- जै ज : चल ें , मैडम ? - जू स पि ला दो . एक मिनट .	- జ యూ స తా గి ంచు . ఒకక ని ము ష ం . - పద ండి , కదా
आप च लिए , आ रहे हैं .	మీరు పద ండి . నేను వ సతాను .
कयोंकि सच तो ये है कि आप जहाँ भी ढूँढ ेंगे ,	ఎందుకంటే మీరు ఎకకడ వె తి కి నా
. . . और उनका नया क ले क शन आ रहा है . . .	. . . వాళళ ది ఓ కొతత క లె కష న ఉంది . . .
मुझे लगता है अपना फोन छोड गई हैं .	తన ఫోన మర చి పోయి ంద ను కుంటా ను .
डि जा इन र : मैडम , आपके क पडे .	మే డ మ , మీ డ రె సె స .
किस ने कहा तुमहें गु ला म बन कर रह ने है ?	నినను బా ని స ని ఎవర ననా రు ?
न ूत न जी से अचछी प तनी मुझे मिल ही नहीं सकती थी .	న ూ తన నేను కో రు కునన టటు నాకు స రెన జో డీ .
- वि शा ल : आप मेरे साथ . . . - हाँ , बिलकुल . ठीक है ना ?	- ఆ , ఇకకడ ే . అంతా బా వు ందా ? - ఆ , ఇలా రండి .
हाँ , हाँ , हाँ .	ఆ , అవును , అవును .
- भा रत मा ता की . . . - पार टी वाले : ज य !	- భా ర త మా త కీ జె ! - భా ర త మా త కీ జె !
नहीं , वो . . . वो सब ठीक है . मेरा बस मतलब था . . .	కాదు , అద ంతా బా నే ఉంది . నే న నే ది
तो ज ला ली .	వె లి గి ంచే శా ను గా .
कयों ?	ఎందు కని ?
चल ें ?	వెళ దా మా ?
कहाँ से आए हैं ?	వాళళు ఎకకడ నుంచి వచచా రు ?
किस बात को लेकर ?	దే ని గురించి ?
वे नहीं चाहते उसकी शादी मुझसे हो .	వాళల కి తను నాతో ఉండ డం ఇషటం లేదు .
- कया ? - हाँ .	- ఏంటి ? - అవును .
हाँ . मुझे माफ कर दो . बिलकुल भी फर क नहीं पडता .	అవును . అ యా ం సా రీ . ఇవ ననీ అవసరం లేదు .
अस ह न शी ल ता न ई बात है . हमारे देश के म ं दि र ों में ऐसी न क का श ियाँ हैं जिन में . . .	అస హ న మే కొతత ది . మన కి గు ళళు ననా యి అలా ంటి శి ల పాల తో
बहन चो द , कया च ूत िया पा लगा र खा है	- చెతత వె ద వ - ఆ . ఆ .
तो , अब जाना चाहते हैं ?	సో , మరి ఇ పు డు వెళ ి పో వాల ను కుంటుననా వా ?
अरे , हाँ . हाँ . खुश हूँ . सं सा री जिंदगी है .	ఆ . అయి ంది . హా పీ . మ ండ ే న గా .
तुमहारे मा ता - पिता कहाँ हैं ?	మీ పే రె ంట స ఎ కక డు ంటా రు ?
तुम उससे पयार करते हो .	దా న నే పరే మి సతుననా వు .
मुझे माफ कर दो .	అ యా ం సా రీ .
मुझे नहीं पता कि कया कोई तरी का . . .	నాకు ఏ దా రీ కనిపి ంచ . . .
अरे , इन हें पता ही कया है भा रत के इ ति हा स के बारे में ?	వీ ళళ కే ం తెలుసు భా ర తీ య చ రి తర గురించి ?
को ची न में . उनहें इस बारे में कुछ नहीं पता .	కొ చచి న లో . వాళళ కి వే మీ తెలియ వు .
हाँ , ठीक कर सकते हैं .	అవును , చెయయ చచు .
मुझे मेरे कम रे तक छोड देंगे ?	నా రూ ం దా కా తో డు గా వ సతా రా ?
बचचे की तै या री करो .	పిలల లని క న డం మీద ఫో కస చె య యి .
अचछा , तो , पयार सिरफ उसकी तरफ से है ?	సరే , వ న సె డ లవ వ ంటా వా ?
मैं ये सब खु ले आ म इसलिए बता रही हूँ कयोंकि	ఇది నేను ప బ లి గగా ఎందుకు చెబు తుననా న ంటే
ता रा : आपकी कोई मदद कर ूँ ?	మీ కే ద ెనా సాయం చెయయ నా ?
मुझे माफ कर दो . ये उ तना आ सान नहीं है . हम . . . हम बात कर सकते हैं . बात कर सकते हैं .	అ యా ం సా రీ . ఇ ద ంత ఈ జీ కాదు . మనం , మనం మాటలాడు కు ందా ం .
ये सब गु जर जाएगा .	అంతా సర దు కు పో తుంది .
मुझे माफ कर दो .	ననను నిజంగా కషమి ంచండి .
लड का 1 : चलो , खेल पर धयान दे ते हैं . लड का 2 : ठीक कहा .	- క మా న , గే ం మీద ఫో కస చే దదాం . - అది క రె క ట .
- अचछा , लड को . मै दा न पर चलो . -	- ఓ కే బా య స . కోర ట లోకి వెళ దాం , పద ండి . - ఎందు కని ?
सभी : पयार तो बस पयार है !	పరే మ ంటే పరే మే !
बा बू , डो रा कहाँ है ?	డో రా ఏద మ మా ?
मुझे यकीन नहीं होता कि तुमहारे सि वा य मैंने किसी को नहीं चा हा .	నేను కూడా ని న ొ కకడి నే పరే మి ంచా న ంటే నమమ లే కపో తుననాను .
वो जो क ंग न उसकी सा स ने भे जे हैं , वो कहाँ हैं ?	వాళళ తత గా రు పం పి న గా జు లే వి ?
आप चाहती हैं मैं रु क जा ऊँ ?	ననను ఉండ మ ంటా వా ?
तुमहारे लिए एक जा म ला ती हूँ .	నీ కో డ రి ంక తె సతాను .
तो , कोई कुछ नहीं कर सकता ?	అంటే , ఎవరూ ఏమీ చెయయ లే రా ?
तुम सा ला कर कया रही हो ?	ఏం చేసతుననా వో అర ధ మ వు తో ందా ?
सा ला कितना ड रा वना है .	చాలా భ యా న కం .
तुमहें जरा भी अं दा जा है , इस याद व परिवार का कितना द बद बा है ?	ఈ యా ద వ స ఎంత ప వర ఫ ు లలో నీకు తెలుసా ?
पूरा सा मान है ना मेरा तो . . .	ఇకకడ నా వ సతు వు ల ననీ ఉననాయి . సో . . .
कि शो र , थोडी वा इन डाल दो ना .	కి ష ో ర , కొంచెం వెన పొ యయ ండి .
मि से ज याद व : ता रा मैडम संभाल नहीं पा रही ? क बी र : आ ं टी , मैं संभाल ले ता हूँ .	- మీ తా ర చూ స కో లేదా ? - ఆ ంట ీ ఇకకడ నేను చూ స కుంటా ను .
जवा न , बू ढ े , अ मी र , ग री ब , आ ध ु निक , पार ं परि क .	యు వ త , ము స లి , ధన వం తు డు , పే ద వాడు , ఆ ధ ు నిక మెన వాడు , స ౦ పర దా యి క మెన వాడు .
सा री मी ड िया देख रही है .	మీ డి యా అంతా చూ సతోంది .
ता रा : डो रा कौन है ?	డో రా ఎవరు ?
मुझे सच में बहुत अफ सो स है .	నిజంగా , చాలా సా రీ .
हाँ , बस आप पाँच मिनट में देख के आ जा इए गा ना , आ ं टी .	కేవలం ఐ దు ని ము ష ాలు చూ సి వచ చేయ ండి .
इसे यहाँ रख दे ते हैं	మనం దీ నని ఇకకడ పె డ దాం
और मैंने कहा , " यार , उसे कभी घर भी तो बुला ओ . "	ఇం క నేను ఒక మంచి సనే హి తు ర ాలి ని అందుకే ని నన ొక సారి ఇంటికి పి లవ మ ననాను .
दिल शा द : हाँ . क बी र : एक दम ना मु रा द हो .	- అవును . - నువ వో గా డి ద వి .
दु कान दार : मैडम , ये चले गा ?	మే డ మ , మీకు పెదద ఫ రే ం కా వ లా చినన దా ?
और मुझे लगता है न ूत न और मैं ये जो डी बना सकते हैं ,	నా ఉదదేశం లో నేను న ూ తన జ ంట గా
यकीन नहीं होता , मैंने इतने समय तक तुमसे न फ रत की .	ని నని ంత కాల ం అస హ యి ంచు కుననా న ంటే నమమ లే కపో తుననాను .
दी दी ?	అ క కా !
कयोंकि उनकी शादी हो रही है , ठीक है ?	తన కి పెళళ వు తోంది , సరేనా ?
- काफी आ सान है . -	అలా చాలా సు లు వు . అలాగే చెయయ ాలి .
हाँ , चलो . . . चलो जलदी . अरे , इतना संभाल नहीं पा रहे हो तुम लोग .	ఆ , పద , తవర గా . ఇది కూడా చూ స కో లే రా మీరు ?
कैसा था ?	ఎలా జరిగింది ?
- मैडम , कुछ कहना चा हें गी आप . -	మే డ మ , మీ రే మెనా చెపప ాలను కుంటుననా రా ?
दो दिन में .	రెండు రోజు లలో .
वह बाहर कैसे गई ?	అది బయట కి ఎలా వెళళి ంది ?
पा द री : हाँ , मेरी बच ची .	య స , మె ఛ ె ల డ .
मैं यहाँ रु क सकता हूँ .	నేను ఆ గ గలను .
रु चि : अचछा ?	అవును .
क बी र : बा बू , डो रा कहाँ है ?	స వీ టీ , డో రా ఏ ది ?
वह मर गई .	తను చని పోయింది .
शुकरिया .	థాంక యు .
इसलिए , मैं आप से पूछ ता हूँ ,	కను క , నేను మిమమలని అడుగు తుననాను ,
हि ज डा : चल , चल !	- ఏ య , బయట కి వెళళ ు ! - అలాగే
स मा चार वा चि का : कया भा रत आ ख िर कार सम लै ंग ि क ता को अ परा ध मान ना बंद करे गा ?	ఇ ండి యా ఆ ఖ రికి హో మో సె క సు వాలి టీ ని నే రం కా దని చెబు తు ందా ?
और वह . . .	ఇంకా తను . . .
मि से ज याद व : हम म . हाँ , ये ठीक है .	ఆ , ఇది బా నే ఉంది .
अपने ही लि ंग के वय क ति साथ स ह वास करते देख े जाते हैं .	లి ంగ ంతో శ ృ ంగా రం చేసిన టటు వర ణి సతూ .
मुझे कभी नहीं लगा , दोबारा तुमसे मिल पा ऊँगा .	నినను మళళీ కలు సతా నని అనుకో లేదు .
फिर देख ल ेंगे हम बाद में .	తరవాత చూ దదాం .
