न व ंबर .	న వం బర .
यह अचछा है . दू ता वास को पता है कि तुम यहाँ सो ते हो ?	అది బాగుంది . నువ వి కకడ పడు కుననా వని ద ౌ తయ కార య ాల యా నికి తెలుసా ?
तो इस आदमी के बारे में कया जानते हो ?	సరే , ఇ త ని గురించి నీ కే ం తెలుసు ?
उनहोंने वहाँ जाने की बात की थी .	అ కకడికి వెళళ డం గురించి పర సతా వి ంచా డు .
जब आप पता कर ल ेंगे , तो शायद हम जान जाएँगे कि मेरे पति के साथ कया हुआ है .	మీరు అది తెలుసు కో గ లి గి తే , నా భ ర త కు ఏమ య యి ందో మనకు తెలు సతు ందే మో .
हमें ग रा मी ण इ ला कों पर धयान देना होगा .	మనం గరా మీ ణ పరా ంత ాల పె ద ృష టి కే ంద రీ కరి ంచాలి .
उससे नि प ट ने का इंत जा म भी कर दिया है .	దాని తో వయ వ హ రి ంచ డానికి ఏ ర పా టలు చేసా ను కూడా .
बा स तो स ?	బ స తో స ?
बात जि ममी से जु डी है .	అది జి మ మీ గురించి .
घर वा प सी पर सवागत है .	స వ సథ లా నికి సవా గ తం .
स ें ट पै न करा स	సె యి ంట పా న క రా స
आपका मै च मिल गया ! सं देश भे जिए !	మీకు మయా చ దొ రికి ంది ! స ందే శం పం ప ండి !
उस सै टे ला इट में ऐसी तक नी क है	ఆ ఉ ప గర హ ంలో ఉనన సా ం కే తి క త
देख कर !	చూ సుకో !
तुमसे वापस लौट ने को कहा गया था और तुम नहीं लौ टे .	నినను వెన కకి ర మమ ననా రు , కానీ నువవు రాల ేదు .
ठीक है . और तुम यह कैसे करो गे ?	సరే , అది ఎలా చే దదాం అనుకుంటుననా వు ?
पर शा सन के लिए ता कत चाहिए . वह ता कत अनु भ व के साथ आती है .	పాల న కు శ కతి కావాలి . శ కతి అను భ వం నుండి వ సతుంది .
आपने मदद करने की बात की थी .	మీరు సహా యం చేసతా న ననా రు .
अब मुझे बस रे य स को ए परि य स से जो ड ना होगा .	ఇపపుడు రెన కు , ఎ పరి ఎ స కు మధయ సంబం ధం తెలుసు కో వాలి .
वह तो नि र भर करता है .	అది ఆ ధా ర పడి ఉంది .
उनहोंने री सर च और पे ट ें ट में ला ख ों ड ॉलर ख र च किए हैं .	వాళళు పరి శ ో ధన ఇంకా పే టె ంట ల పె న కో టల డ ాల రలు పెటటు బడి పెటటా రు .
सभी टी में रु की र हें .	ఆ గ ండి , అనని జ టలు .
" काम किया है " का मतलब समझ ा ओ .	" పని చేసా ం " అంటే ఏంట ో వి వరి ంచండి .
और एक आदमी ज ंग ल में ला पता हो गया .	దాని తో పాటు ఒక వయకతి అడ వి లో తపప ి పోయా డు .
नहीं कर सकते .	అది కు దర దు .
जो हुआ , बहुत बुरा हुआ .	జరిగి న ది నిజంగా సి గ గు చే టు .
पै स ों का पी छा करने के लिए .	డబబు ను అను సరి ంచ డానికి .
और आप सब मेरे घर र हें गे , तो मुझे अचछा लगे गा .	అంతే కా కుండా , మీ రం తా మా ఇంట లో ఉండ డం చాలా బాగు ంటుంది .
कया रा ष टर पति रे य स ने ही ए परि य स को	వె నిజ ు ల ాలో తన గ ని త వ వ కాల ప ను ల భ దర త కోసం
अपने कहा था कि अगर कभी मदद की जरूरत हो , तो फोन कर ूँ , तो . . .	అంటే , నాకు గుర తుంది , మీరు అననా రు కదా , నాకు ఎపపుడ ెనా సహా యం అవ సర మె తే . . .
सी ढ ि यों पर एक आदमी ने दिया .	పె న అంత సథ ు లో ఉనన ఒక వయకతి నుండి .
पर उसके बाद मेरे खा त ों से रो क ह टा कर द फा हो जाना .	కానీ అపపుడు మీరు ఖ ా తా పె ని లి పి వే త తొ ల గి ంచి , వెళళి పో వాలి .
रे य स ना राज है और उसने सारे सं बं ध तो ड ने की ध म की दी है .	రే యే స కి కో పం వచచింది , అతను సంబం ధ ాలు తె ం పే సతా నని బె ది రి సతుననా డు .
अं तर रा ष ट री य सी मा के पार ह थ िया र ों की त स करी ,	అంత ర జా తీ య సరి హ దదు ల మీ దు గా ఆ యు ధ ాల అ కర మ ర వా ణ ా చేయడం ,
तुमने क माल का काम किया है .	నువవు చాలా అదభు త మెన పని చేసా వు .
कृपया अपना का ला च श मा ह टा दी जिए .	దయచేసి మీ స న గ లా సె స తీ య ండి .
ठीक है . व की ल बातें कर सकते हैं .	సరే , లా య రలు మాటలాడు కో వచచు .
मेरे सुरकष ा दल में से किसी ने उनहें खबर कर दी कि मैं कहाँ हूँ .	నా భ దర త జ టటు లో ఎవరో నేను ఎకకడ ఉననా నో అతనికి చెపపా రు .
मुझे अफ सो स है , से न यो रा बो ना ल डे .	కషమి ంచాలి , సె న య ొ రా బ ొ ండ ే ల .
अ मरी की दू ता वास करा कस , वे ने जु ए ला	యు . ఎ స . ద ౌ తయ కార య ాల యం క రా కస , వె నిజ ు లా
उसे नीचे रख दो .	అది కి ంది కి ది ంచు .
बेशक .	నిజ మే .
बहुत - बहुत शुकरिया .	చాలా ధనయవాదాలు .
शु रु आत कहाँ से कर ूँ ?	ఎ కకడి నుండి మొద లు పెటట ను ?
मुझे लगता है सर जि यो के ला पता होने का सं बं ध	సే రి గో మా యం కా వడానికి , ఇకకడ క రా కస లో
यह मेरा परिवार है .	ఇది నా కుటుం బం .
अ मरी की फ ौ ज हमारी सर ज मी न पर है .	మన నే ల పె న అ మె రి కా సె నిక ద ళ ాలు ననా యి .
मेरी बहन पै रिस . . . मेरे साथ रह ती है ( दि ले र )	నా సోద రి ప యా రి స . . . నా ఫ లా ట లో ఉంటుంది ( ధ ె రయ వం తు ర ాలు )
मुझे अपने परिवार की सुरकष ा के लिए मदद चाहिए .	నా కుటుం బా నని కా పా డ డానికి నాకు ఎవరి ద ెనా సహా యం కావాలి .
मैं तुमसे पयार करती हूँ , जान .	నాకు నువ వ ంటే ఇషటం , తల లీ .
गु ड ई व नि ंग , रा ष टर पति जी .	శు భ సా య ంత రం , మిసటర పర ె సి డె ంట .
जिस पर रा ष टर पति रे य स का धयान जाना चाहिए .	నా సట ే షన నుండి అయితే ఏమీ జరగ లేదు .
वो गल र इ ंड सट री ज नाम की एक कं प नी . उनका द फ तर सट ॉ क हो म में है .	వో గ లే ర ఇ ండ సట రీ స అనే సం సథ . అది సటా క హో ల ంలో ఉంది .
मतलब , शायद वे एक या दो साल में कोई रा सता निकाल लें .	అంటే , అ దీ , వాళళు ఒకటి , రెండ ే ళళ లో తే ల చ గల రు .
मेरे साथ च लिए .	దయచేసి నాతో రండి .
मैं हर रो ज उसे याद करता हूँ .	దాని గురించి పరతి రోజు ఆలోచి సతాను .
एक खास काम है .	ఒక పర త యే క మెన పని .
जिस आदमी से तुमने यह चु रा या ,	నువవు ఇ వి ఎవరి నుండి దొ ం గి లి ంచా వో ,
ठीक है . अब हमें वी डियो दिख रहा है .	వి ననా ము . మాకు కనిపి సతుననా డు .
शु रु आती पो ल हमेशा नौ जवा नों और आ जा द खया ल वा लों का साथ दे ते हैं .	ము ంద సతు పో లస ఎపపుడూ యు వ త , స వే చ ఛ ా వా దు ల నుండి వ సతా యి .
मुझे लगता है वे उसका इस ते माल करके खु दा ई की जगह पता कर रहे हैं .	వాళళు దానని ఎకకడ త వ వాల ో చూడ డానికి వాడు తునన టటు ననా రు .
शायद बस उसका कु त ता बेव ज ह घ बरा रहा है .	బహుశా అది తన పె ంపు డు కు కక కి వచచి న అను మా న మే మో .
कयोंकि तुमहारी जिंदगी मैं ही बचा ऊँ गी .	ఎందుకంటే నీ పరా ణ ాలను కా పా డ బో యే ది నేనే కాబటటి .
एक राज ने ता के लिए यह बात काफी ख तर ना क होती है .	ఒక రా జ కీ య వే తత కు అది పరమా ద కర మెన లకష ణం .
कया तुम इस आदमी को जानते हो ?	మీరు ఇ త నని గురతు పడ తా రా ?
ए परि य स नाम की कं प नी का कभी नाम सुना है ?	ఎ పరి ఎ స అనే సం సథ గురించి వి ననా వా ?
ए म आई 5 के पास ए परि य स की सा री जानकारी है .	ఎ పరి ఎ స పె న ఎ ం 1 5 లో క న నే సి ఉ ంచింది .
मैं बस कुछ सवाल पूछ ना चाहता हूँ .	మిమమలని కొనని పర శ నలు అడ గ ాలను కుంటుననా ను .
कया मतलब ?	ఏమ ంటుననా వు ?
यह वै सा ही लोग ो है जो हमने कै ं प में देखा था .	మనం శి బి రం లో చూ సిన లో గో లా గానే ఉంది .
- यह कया ब ला है ? - मैं तुमहें वापस डी . सी . भेज रहा हूँ .	- ఇది ఏంటి ? - నినను తిరిగి డి సి కి పం పి సతుననాను .
अगर दो गु नी र फ तार से जाएँगे ,	అయితే , మనం రె టటి ంపు వే గ ంతో వెళ తే ,
इस तरफ आ इए .	ఇలా రండి .
किस बात पर ?	దే ని మీద ?
सोच ने में जयादा वकत मत लगा इए गा .	దాని గురించి మ రీ ఎకకువ సమయం ఆలోచి ంచ కు .
उसके बारे में तुमहारे पास जो भी जानकारी है , हमें चाहिए . ह रे क बात .	ఆమె గురించి నీ వ దద ఉనన సమా చా ర మ ంతా మాకు కావాలి . మొతత ం .
मैंने तुमसे ह ट ने को कहा है !	నినను ప కక కు జరగ మ ననాను !
हाँ , मैंने मु ठ भे ड की रि पो रट पढ ी है .	అవును , నేను కార యా చ రణ అన ంత ర ని వే ది క చ ది వా ను .
नहीं ! तुमहारी हि म मत कैसे हुई अ मो र सी करे टो को बकवास कह ने की !	లేదు ! అ మో ర సీ క రె టో ని చెతత అన డానికి నీ కె ంత ధ ె ర యం !
और जब तक हम इंतजार करेंगे , मुझे यकीन है कि जिन भ ले लोगों के साथ तुम काम करते हो ,	మేము ఎదు రు చూ సే సమయం లో , మీ తో పని చేసే మంచి సా మ రథ యం ఉనన వాళళ ంద రికీ
वे ने जु ए ला में ख न न की इ जा ज त कौन दे ता है	వె నిజ ు ల ాలో గ ను ల త వ వ క పు ప ను లను ఎవరు ధ ృ వీ కరి సతారు
मुझे लगता है कि हम एक - दूसरे की मदद कर सकते हैं .	బహుశా మనం ఒక రి కొ క రు సాయం చేసుకో గల మే మో .
नि ग रा नी करने वाले और नि शा ने बा ज अपनी जगह ले लें .	ని ఘ ా మరియు షా ర ప ష ూ టర స సథా నా లలో కి రండి .
सब लोग झ ु क जाओ ! झ ु को !	అంతా ప కక కి జరగ ండి ! జరగ ండి !
एक द फ तर भर कर व की ल यह हि सा ब लगा रहे हैं कि जब हम तुम पर	మేము మీ మీద దా వా వే సిన పపుడు , మీ నుండి ఎ నని పని గంట ల డబబు రా బ టట గల మని
ए परि य स में तुमहें कया दिल च स पी है ?	అయితే , నీకు ఎ పరి ఎ స గురించి ఎందుకు కావాలి ?
वह मेरा सै टे ला इट है . द कष ि ण ची न सा गर वाला .	అది నా ఉ ప గర హం . ద కషి ణ చె నా స ము ద రం .
ग ैर कान ू नी रूप से स था नी य गिर ो ह को पर शि कष ण देना ,	సథా నిక సె ని కు లకు అ కర మ శి కష ణ అ ంది వ వడం ,
और यह पता करने के लिए मेरे पास अ मरी की सर कार की	నేను కను క కో వడానికి నాకు యు నె టె డ సట ే ట స
वे म ले श िया , च ै ड , ना इ जी रि या और अब , वे ने जु ए ला में ख न न करते हैं .	వాళళ కు మ లే షి యా , చా డ , నె జీ రి యా , ఇపపుడు వె నిజ ు ల ాలో గ ను ల త వ వ కాల ఆ పరే ష నస ఉననాయి .
मैंने ए परि य स को जि ममी की हतया से जो ड दिया है .	ఎ పరి ఎ స కు జి మ మీ హ తయ కు సంబం ధం కలి పా ను .
आ राम से .	ని దాని ంచు .
शुकरिया .	ధనయవాదాలు .
शुकरिया .	ధనయవాదాలు .
आप कयों पूछ रहे हैं ?	మీరు ఎందుకు అడుగు తుననారు ?
ए परि य स मु खया ल य ल ंद न , इ ंग लै ंड	ఎ పరి ఎ స పర ధా న కార య ాల యం ల ండ న , ఇం గ లా ండ
मुझे मुशकिल लगता है .	ఖచచితంగా తెలీదు .
सत या ना श . कया मु सी ब त है ? ठीक है , बैठ जाओ .	వెధవ గో ల . ఏంటి ది ? సరే , కూ రచ ో ండి .
हमारा राज नी ति से कोई वास ता नहीं . हम बस पैसे वा लों के लिए काम करते हैं .	మేము రా జ కీ య ాల లో తల దూ రచ ం . మేము కేవలం ధ ని కు లకు పని చేసతా ం .
- वह कहाँ है ? - कौन ?	- అతను ఎకకడ ఉననాడు ? - ఎవరు ?
मिल कर बहुत अचछा लगा .	నినను కల వడం చాలా బాగుంది .
उसे लेकर आओ !	దానని తీసుకు రా !
पता करो कि गोली कहाँ से च ली थी !	ఆ కాల పు లు ఎ కకడి నుండి వచచా యో కను క కో ండి .
- मि सटर थो र न . - कया आपने . . .	- మిసటర థా ర న . - మీకు . . .
कया कोई दि क कत है , ऑ फि सर ?	ఏదెనా సమ స యా , ఆ ఫీ సర ?
वह एक सर कारी मु ला जि म थे .	ఆయన పర భు త వ సే వ కు డు .
लगता है वह उ त तर - प श चि मी दि शा में 1 2 या 1 3 कि लो मी टर दूर है .	తను వా యు వ యం లో 1 2 , 1 3 కి లో మీ టర ల దూ రం లో ఉననాడు .
मेरा अं दा जा है कि उस नौ करी को पा ने के लिए आपको चु ना व से पीछे ह ट ना होगा .	బహుశా మీరు పో టీ నుండి తపపు కు ంటే ఆ ఉద యో గం ఇ సతా నని ఉంటా డు .
- हमारे खा त ों पर कयों रो क लगा ई ? - सवाल पहले हम पूछ ेंगे ,	- ఏ హ కకు తో మా ఖ ా త ాలను ని లి పి వే సా రు ? - బహుశా మేము ముందు పర శ నలు అ డు గ ాల ే మో ,
सु बह - सु बह आपको बुला ने के लिए माफ ी चा हूँ गी .	ఇంత ఉద యా న నే ర మమ నన ందుకు మన ని ంచండి .
एक रात रा ष टर पति रे य स मुझसे मिलने मेरे घर आए थे .	మొ నన రాతరి పర ె సి ండ ె ంట రే యే స ననను కల వడానికి మా ఇంటికి వచచా డు .
मुझे सु बह जलदी निकल ना है . द ख ल देने के लिए माफ ी चा हूँ गी .	నాకు పొ దదు నే పని ఉంది . అంత రా యా నికి కషమించు .
वे ज ंग ल में ह थ िया र ों की त स करी नहीं कर रहे .	వాళళు అడ వి లోకి దొ ంగ తన ంగా ర వా ణ ా చే సతుంది ఆ యు ధ ాలను కాదు .
तुमहें यह पसंद है . तुमहारे पास तुमहारी पह े ली के सारे ट ु क डे हैं ,	అది నీకు సరి పో తుంది . నీ వ దద ప జి ల ము కక ల ననీ ఉంటా యి ,
सच में ?	నిజంగా నా ?
तुम कया कर रहे हो ?	ఏం చేసతుననా వు ?
हे भगवान !	దేవుడా !
हमारी स थि ति देख ते हुए ,	మన సథా నా నని బటటి ,
मुझे कुछ मत करना .	దయచేసి ననను గా య పర చ దదు .
तुम बहुत करी ब हो . तुम इस झ मे ले के बहुत करी ब हो .	చాలా దగ గ రికి వచచా వు . నువవు ఈ చెతత అంత టి కీ చాలా దగగర గా వచచా వు .
मैंने हमारी पिछ ली बात ची त को काफी सं जी द गी से लिया था .	మన గ త సం భా ష ణ ను నేను తీ వర ంగా పరి గ ణి ంచా ను .
वे ने जु ए ला की सि ं को पा मा स नाम की एक कं प नी से .	వె నిజ ు ల ాలో సి ం కో పాల మస అనే సం సథ తో .
उनहें ढूँढ ने के बाद , मैं उनके साथ कया कर ूँ ?	వాళళు దొ రక గానే ననను ఏం చేయ మ ంటా రు ?
कया तुम मु खया ल य में हो ?	నువవు పర ధా న కార య ాల యం లో ఉననా వా ?
उनहोंने मुझे नौ करी का पर सता व दिया .	నాకు ఒక ఉద యో గం ఇ సతా న ననా డు .
पर मैं समझ नहीं पा रही कि आप मुझसे कयों मिल ना चाहते हैं	నేను ఇంకా ఈ దే శా నికి పరతి ని ధి ని కా కుండా నే ,
- यह कया है ? - एक नाम है .	- ఏంట ది ? - అద ొక పేరు .
मु क द मा करेंगे तो कि तने घ ंट ों का हर जाना निकल वा एँगे .	ఒక పూరతి ఆ ఫీ సు లా య రలు లె కకి సతునన శ బ ద ం .
शि कार ले सटर सक व ैर में आता हुआ दिखा है .	లకష యం లె సటర స క వే ర లోకి పర వే శి సతు ండ గా గుర తి ంచ బడ డా డు .
तुमहें इसी वकत यहाँ से जाना होगा .	నువవు వెంట నే వెళళి పో వాలి .
ख न न में जो वि स फो ट क इस ते माल हुए थे ,	వాళళు గ ను లను త వ వడానికి వాడి న పే లు డు ప దా రథ ాల నే
ला पता होने से पहले सर जि यो इस पर काम कर रहे थे .	సే రి గో కనిపి ంచ కుండా పోయి నపపుడు , తను దీని పె నే పని చేసతుననా డు .
उस आई डी की ल डी का फो रे न सि क विश ले ष ण है जिस से जि ममी को मा रा गया था .	జి మ మీ ని చం పి న గొ లు సు బా ం బు య ొ కక ఫో రెన సి క వి శ లే ష ణ .
तुमहारी मर जी के खिला फ भेज रहे हैं , है न ?	నీ ఇష టానికి వి రు దధ ంగా , అంతే నా ?
- शुकरिया , सर . - मुझसे बात करते रहना .	- ధనయవాదాలు , సర . - ట చ లో ఉ ండు .
कुछ पता चला ?	ఏమెనా తెలి సి ందా ?
वह बहुत बे सब र इंसान हैं .	అతనికి స హ నం ఉండ దు .
कया बात है , जै क ?	ఏ మెంది , జా క ?
आपका समय काफी की म ती होगा , रा ष टर पति जी .	మీ సమయం చాలా వి లు వెన ది అనుకుంటా ను , మిసటర పర ె సి డె ంట .
तुमहारी फ ला इट आज दो पह र को है .	నీ విమానం ఈ రోజు మ ధ యా హ నం బయ లు దే రు తుంది .
या मेरे बकवास टी वी सी रि य ल .	లేదా నా చెతత టి వి సీ రి య ళళు వి ంటా రు .
अब इसे हमें संभाल ने दो .	ఇ కకడి నుండి మమ మ లని చూ సుకో నివ వు .
मैं तुमहें कुछ नहीं कर ूँगा .	నేను నినను గా య పర చ ను .
म टे यो बा स तो स आया है .	మే టి యో బ స తో స ఇ పపుడే వచచా డు .
और उसके नीचे का एक न क शा बना ले ते हैं .	దాని కింద ఉనన దాని సథ ల ఆ క ృ తి ప టా నని త యా రు చేసతా రు .
यह तुमहें कहाँ से मिला ?	ఇ ద ె కకడ దొ రికి ంది ?
- धत ते रे की . - यह सुनो .	- అబబా . - ఇది వి ను .
फ लै श ला इ डा र का नाम कभी सुना है ?	నువవు ఎపపుడ ెనా ఫ లా ష లె డా ర గురించి వి ననా వా ?
कुछ नहीं , मेरी जान .	ఏమీ లేదు , తల లీ .
जान ना चाहता था कि कया आप सि सी से मुझे ल ंद न जाने की इ जा ज त दिल वा सकते हैं ?	మీరు ల ండ న కు పర యా ణ ా నని ఎ స ఎ స సీ ఐ ద వా రా ధ ృ వీ కరి ంచ గల రా ?
सर जि यो के ला पता होने के बाद से मैंने यहाँ किसी चीज को हाथ नहीं लगा या है .	సే రి గో మా యం అయి న పపటి నుండి నేను ఇకకడ ఏమీ ము టటు కో లేదు .
इस वकत , उनहें वे ने जु ए ला की उस ख न न की जगह की सुरकष ा के लिए र खा गया है	పర సతు తం , వె నిజ ు ల ాలో రే యే స స వ ంత గ ను ల త వ వ క పు సథ లా నని
आ राम से सो जाओ .	బాగా పడు కో .
कया तुमहें यह सुना ई दे रहा है ?	మీకు అది వి ని పి సతు ందా ?
शि कार 2 00 मी टर दूर है .	లకష యం 2 00 మీ టర ల దూ రం లో ఉననాడు .
कया तुमहें कहीं चो ट आई है ?	నీకు ద ె బబ త గి లి ందా ?
वे यकीन न समझ जाएँगे कि तुम कयों उनकी प गा र नहीं दे सकते .	మీరు చె లలి ంచ లే రని పూరతి గా అరథం అవు తుంది .
तुमने अके ले जाकर एक और डि ब बा खो ला .	నువవు నీ స వ ంత గా వెళళి , మ రో క ంట ె యి న ర ను తె రి చా వు .
कोई दि क कत नहीं है .	ఏ సమ స యా లేదు .
पर वहाँ रहना नहीं चा हो गे .	కానీ అకకడ ఉండ లే ము .
जानती हूँ . बात बस यह है	నాకు తెలుసు . అంటే , అతను మి గ వె ల కి
यह एक तरह की सै टे ला इट इ मे जि ंग तक नी क है .	అది ఉ ప గర హ ఇ మే జి ంగ సా ం కే తి క త .
हाँ , जरूर .	సరే , తపప కుండా .
बस यह सा बि त करना है कि रे य स ने ही मै कस को काम पर र खा था .	మా కస ని రే యే స నియ మి ంచా డని ని రూ పి ంచ డానికి .
कयों ?	దే నికి ?
तुम उनहें ऐसे ढूँढ ो गे .	ఇది వాళళ ని కని పెటట డానికి మా రగ ం .
हम दो प कष ों को मिल वा ने की फी स ले ते हैं .	రెండు పార టీ లను ఒక చో టి కి చే ర చి న ందుకు ఫీ జు వ సూ లు చేసతా ం .
वह अभी अंदर आया है .	అతను ఇ పపుడే లో నికి వెళళ ా డు .
- जै क ? - सा ंस द साह ब .	- జా క ? - సె నె టర .
मैं आपके पति , सर जि यो के बारे में बात करने आया हूँ .	నేను మీ భ ర త , సే రి గో గురించి వచచా ను .
जी , सर .	అలాగే , సర .
याद है मैंने तुमहें वो गल र नाम की एक कं प नी के बारे में बताया था ?	నీ కొ క సం సథ గురించి చెపపా ను గురతు ందా , వో గ లే ర ?
सही कहा . बस म रि या के रे गे टो न गा ने ,	నువవు అనన ది నిజ మే . మరి యా వి నే చెతత రె గె టన సంగ ీ తం ,
वे ख न न के उप कर ण ला रहे हैं .	వాళళు గ ను ల త వ వ క పు పరి కర ాలను తె సతుననారు .
कोई बात नहीं .	ఫర వాలేదు .
अगर अके ले काम करते रहो गे , तो यही होगा .	నువవు ఇలా గే ఒ ంట రి గా పని చే సతు ంటే , అది ఇలా గే ము గు సతుంది .
सुना है कि तुमहारे आदमी वे ने जु ए ला के रा ष टर पति को त ंग कर रहे हैं .	మీ వాళళు వె నిజ ు లా పర ె సి డె ంట ని వే ధి సతుననా ర ంట .
उस ी ऑ परे शन में र ै ं बो बना घ ू म रहा था	ఒక శా స నస భ పరి శ ో ధ కు డు అడ వి లో హ ీ రో లా గా తి రుగు తుననా డని
हम पूछ ते भी नहीं हैं कि काम कया है .	మేము పని ఏంటి అని అడ గ ము .
हम जगह पर पहुँच गए , म दर .	ఇపపుడు పొ జి షన లోకి వ సతుననా ం , జె రె మీ .
च म डे की जै के ट , बे सब ॉल कै प पह ने हुए .	లె దర జా కె ట , బ ే స బ ాల క యా ప .
प चा स मी टर दूर है .	యా భ ె మీ టర ల దూ రం లో ఉననాడు .
चु ना व ों में मदद करता आया है .	సా య పడి న చ రి తర ఉంది .
- यह तो बडा आ सान था . - रुको .	- అది సు ల భ ం . - ఆ గ ండి .
ठ ो स सत ह को पार करते हैं	ఘ న ఉ పరి తల ాల నుండి చ ొ చచు కు పో ని చచి ,
जे रे मी , यह जै क है . जै क , यह जे रे मी है .	జె రె మీ , జా క . జా క , జె రె మీ .
- मैं बहुत करी ब पहुँच गया हूँ . - यही तो समस या है , समझ े ?	- నేను దగ గ రి కొ చచా ను . - అదే సమసయ , సరేనా ?
नौ दिन से .	తొ మ మి ది రోజు లు .
बैठ िए .	కూ రచ ో ండి .
तुमहें वह सब बता द ूँगा जो तुमहें जान ना है ,	సరే , మీకు కా వల సింది చెప తాను ,
ऐ !	హే !
हाँ !	అవును !
नि दे शक जी को अभी व हा इट हा उस से काफी बातें सुन नी प डी हैं .	డె రె క టర కు వె ట హ ౌ స నుండి తి టలు పడ డా యి .
इं टर पो ल ने उसके लिए रे ड नो टि स जा री किया हुआ है .	అతని పె ఇంట ర పో ల రె డ నో టీ స ఉంది .
मुझे वहाँ जाकर कुछ पता करना है .	అంటే , అకకడ నేను ఒకటి పరి శ ీ లి ంచ వల సిన అవసరం ఉంది .
होने वाले किसी ख न न का जि कर किया था ?	ఆయన ఎపపుడ ెనా మాటలా డా డా ?
वह कहाँ है ?	అతను ఎకకడ ఉననాడు ?
जिस का मा लि क रे य स है .	కా పా డ డానికి వారు నియ మి ంచ బడ డా రు .
यह सुन कर खुशी हुई .	అది నాకు సంతోష ం కలి గి సతుంది .
ज मी न पर ले ट जाओ !	వెంట నే నే ల పె కి పడు కో ండి !
मैं द फ तर पहुँच कर यह देख ता हूँ .	ఆ విషయం చూ సుకో మని నా కార య ాల యం లో వా రికి చెప తాను .
वे ने जु ए ला के ग ृ ह म ंत री कौन हैं	వె నిజ ు లా అంత రగ త వయ వ హా రాల మ ంత రి త వ శా ఖ మ ంత రి ఎవరు
कया बात है ?	ఏ మెంది ?
हमें उनके सी ई ओ से बात करनी है .	వారి సి ఇ ఓ ని కల వాలి .
अगर वे घर पर ब ग लगा भी दे ते , तो उनहें कया सुन ने को मिल ता ?	వాళళు ఇంట లో బ గ స పె టటి నా , ఏం వి ంటా రు ?
तुम ल ंद न कयों आए ?	నువవు ల ండ న కు ఎందుకు వచచా వు ?
ऐसा लगता तो नहीं है .	సరే , కనిపి సతుంది కదా , చని పో లేదు .
उसके बीच जयादा से जयादा दू री रख ी जाए .	వీ లెన ంత దూ రం స ృష టి ంచడం .
आपका आज रात यहाँ आ ना कुछ और ही बता रहा है .	మీరు ఈ రాతరి ఇకకడికి వచచా ర నన ఒకక నిజం , అ ందుకు వయ తి రే కంగా సూ చి సతుంది .
कयों नहीं की ?	ఎందు కని ?
इसे पह चा ना ?	దీ నని గురతు ప టట ా వా ?
मा इ क , मैं ग ै रे ट बोल रहा हूँ .	మె క , నేను గర రె టట .
वे ने जु ए ला में अपने ख न न के काम की सुरकष ा के लिए काम पर र खा था ?	ఎ పరి ఎ స ను నియ మి ంచింది పర ె సి డె ంట రే య సా ?
यहाँ आने के लिए शुकरिया	మీరు ఇకకడికి రా వ డా నని అభి న ంది సతుననాను .
वही वि स फो ट क मै कस ने मो रे नो को मार ने के लिए इस ते माल किए थे .	మో రె నో ను హ తయ చేయ డానికి మా కస వా డా డు .
तो कहाँ से शुरू करें ?	అయితే , మనం ఎ కకడి నుండి మొద లు పె డ దాం ?
पर वे ग रा मी ण इ ला कों की रा य नहीं बता ते .	కానీ అవి నిజ ానికి గరా మీ ణ పరా ంత ాల వారి అభి పరా యానని పరతి బి ం బి ంచ వు .
उस द ौ रा न , मैं आपको मेरी जगह ले ने के लिए	ఆ సమయం లో నా వార సు ర ాలి గా
कि उनहोंने मि गे ल से कहा कि हमारे घर में ब ग लगे हैं .	మా ఇంట లో బ గ స పెటటా రని చెపపా డు .
तो आज दोसत ों के साथ खेल कर मजा आया ?	అయితే ఇ వాళ నీ సనే హి తు లతో ఆ డు కో వడం నీకు సర దా గా అనిపి ంచి ందా ?
आप अपनी शो हर त को जयादा आँ क रही हैं .	నీకు నన పేరు గురించి నువవు ఎకకువ అ ంచ నా వే సు కు ంటు నన టటు ఉననావు .
ठीक है ?	ఒ పపు కుంటా రా ?
- थोडा - बहुत . - बिलकुल .	- అతని లో ఒక బా గం గుర తుంది . - అవును , అదే .
यही उममीद करती हूँ .	అనుకుంటా ను .
मुझे कोई है रा नी नहीं हो रही .	ననను ఆ శ చ రయ పర చ కు .
सामने आओ !	నీ మొ హం చూపి ంచు !
छ ह साल ों तक , बिलकुल सर जि यो की तरह ,	ఆ రే ళళు , సే రి గో లా గా ,
थोडा - बहुत .	కా సత పు రో గ తి ఉంది .
बहुत - बहुत शुकरिया .	ధనయవాదాలు .
जरूर .	తపప కుండా .
मेरे खया ल से तुमने यह सवाल बेव ज ह पूछ ा है .	అది అ ల ంక రణ అనుకుంటా ను .
अके ले रह जाओ गे .	ఒ ంట రి గా .
माफ करना .	కషమించు . కషమించు .
नौ जवा न होता .	పెదద వాడు అయ యి ఉండే వాడు .
रो क लगा ना भी ग ैर कान ू नी है .	బ యా ం కు ఖ ా తా ని తా త క ాలి కంగా ని లి పి వే య డం కూడా అంతే మరి .
सा ला !	చెతత వెధవ !
दिख गया .	మాకు కనిపి ంచా డు .
ई ंट ों वाली इ मा रत से !	ఇ టు క భ వ నం !
तैयार कर ूँगा .	నేను నినను తీ ర చి ది దదు తాను .
जरूर .	నువవు తి ను .
ख न न के आ म उप कर ण	గ ను ల త వ వ కం పరి కర ాల లో సా ధా రణ రక ాలు
