नहीं .	లేదు .
और अगर किसी ने फ लो रि डा जाने का ह क अ र जि त किया है , तो वह तुम हो .	ఇంకా దేవుడా , ఫ లో రి డా యా తర కి అర హ త సా ధి ంచిన ది ఎవరెనా ఉననా ర ంటే , అది మీ రే .
मेरे करि गी मार को नी , ह ँ ?	నా చి టటి ఖ ె దీ మార కో నీ , హా ?
ठीक है , लड कों . यहाँ आओ .	సరే , కు ర రా ళ లూ . తవర గా రండి .
हम कर न ल बै ने ट की क मान में हैं , उनके साथ ल कष य के लिए मु ड रहे हैं . ओ वर .	మనం కల న ల బె నన ె ట క మా ండ లో ఉననా ం , లకష యం వెపు ఆయన తో పాటు మ లు పు తి రుగు తుననాం . ఓ వర .
पु न : भर ती के लिए आ वे द न प तर	పు న రని యా మ కా నికి దర ఖ ా సతు
आ जाओ , कि टी , कि टी , कि टी , कि टी .	ఇది గో , పి లలి , పి లలి , పి లలి , పి లలి .
आ राम से . आ राम से .	మె లల గా . మె లల గా .
पर उनहें मार गि रा ने के लिए , हमें उनहें आ स मान में आने के लिए म जब ूर करना होगा .	కానీ ఆ విమా నా లని ధ వం సం చేయ ాల ంటే ముందు వాటి ని గ ాలి లోకి ర పప ి ంచ గల గ ాలి .
जिन हें हमने म ृ त सोचा था , उनकी वा प सी की तु ल ना में और किसी से उ तनी उममीद नहीं बढ ती थी .	మేము కో ల పోయా ము అను కునన సె ని కులు తిరిగి రా వడం మ ాలో కొతత ఆ శ లు రే కె తతి ంచింది .
कया कहते हो , तुम और मैं भाग ने की कोशिश करें ?	నువవు , నేను , తపప ి ంచు కునే పరయత నం చే దదాం , ఏం అంటా వు ?
तुमसे दोबारा मिल कर बेहद खुशी हुई .	నినను మళలీ కలు సుకో వడం సంతోష ం .
ह ता ह त हुए कई लोगों में सा र ज ें ट क वि न और बे इ ली भी शा मिल थे ,	రే గ నస బ రగ మి షన లో పరా ణ ాలు కో ల పోయి న వారి లో ఉననా రని మేము అను కుననా ం ,
ए स ए स और गे स टा पो के अधि कार कष े तर ों में स था ना ंत रि त करने के लिए बर लि न में चर चा एँ चल रही हैं .	లు ఫ త వా ఫ ే పరి ధి నుండి ఎ స . ఎ స . ఇంకా గె సటా పో పరి ధి లోకి బ ది లీ చేయ ాలని చూ సతుననారు .
यहाँ आओ .	ఇలా రా .
अचछे दिख रहे हो , स जज नों .	బాగు ననా రు , జె ంటి ల మెన .
चि ट ठ ियाँ आई हैं !	ఉ తత రాల పి లు పు !
चि ट ठ ियाँ आई हैं !	ఉ తత రాల పి లు పు !
सा व - धा न !	అ టె న షన !
नहीं , तुमसे . . .	లేదు , అ దీ . . .
हाँ . हाँ , हाँ , यह बी बी सी है .	అవును . అవును , అవును , ఇది బి బి సి .
पर मुझे आपको यह बता ते हुए खे द हो रहा है ,	కానీ మీకు చెపప డానికి చి ంతి సతుననాను ,
रे ड कर ॉ स को कै ं प तक डा क पहुँ चा ने में परे शा नी हो रही है .	ఉ తత ర ాలని శి బి రం లోకి తీసుకు రా వడం రె డ క రా స వాళల కి సమసయ గా ఉ ంట ో ంది .
खा सत ौर पर अ र क नर ब ॉल बे अ रि ंग प ला ंट .	మ రీ ముఖ య ంగా ఎ రక నె ర బ ాల బ ే రి ంగ కర మా గా రం .
तुम अग ली बार करी बी रिश ते बना लो गे .	ఈ సారి నువవు స రెన బం ధ ాలని ఏ ర పర చు కుంటా వు .
- मैं तुमहारे बारे में बोल रहा था . - हाँ . मैं भी काफी वय सत थी .	- నా ఉదదేశం , మీరు . - అవును . నేను కూడా బి జీ గానే ఉననాను .
और जर म नों ने ए न जि ओ में नौ या दस ट ु क ड ियाँ भे जी ं .	ఇంకా ఆ ం జి యో కి జర మన లు తొ మ మి ది , ప ది డి వి జ న లని పం పి ంచారు .
प दो न न त हो कर ऑ परे शन स में जाने का यही न ु क सान है .	ఆ పరే ష నస వి భా గ ంలో కి పర మో షన వ సతే అదే సమసయ .
जी , सर , मुझे पता है .	అవును , సర . నాకు తెలుసు .
- तु र ंत वापस अंदर जाओ ! - कया हुआ ?	- వెంట నే లోప లి కి వెళ లు ! - ఏం జరిగింది ?
- इसे मेरे खा ते में जो ड दो . - जी , सर .	- నా ఖ ా త ాలో రా సుకో . - అలాగే , సర .
उन में से 1 5 0 सै निक 1 00 व ें से थे .	1 00 వ గర ూ ప లో న ూ ట యా భ ె మంది చని పోయా రు .
यह काम नहीं कर रहा है .	ఇది పని చేయడం లేదు .
पर शायद हम आई पी के लिए सही समय पर नहीं मु डे .	కానీ మొదటి దా డి పర దేశం దగగర మనం మి స అయ యా ం అనుకుంటా .
अब , जो लोग नहीं जानते हैं , मैं ले फ टि न ें ट कर न ल बै ने ट हूँ ,	ఇపపుడు , మీ లో కొ ంత మంది కి తెలియ కపో వచచు , నేను లె ఫ టె నె ంట కల న ల బె నన ె ట ,
तब तक नहीं , जब तक काम पूरा न हो जाए .	మన లకష యం పూర త యయ ే వర కూ వెళల లేను .
धनयवाद .	థాంక స .
आ जाओ .	ఇలా రా .
उसने कुछ नहीं कहा था .	అతను ఏమీ చెపప లేదు .
तुमने वह सुना ?	అది వి ననా వా ?
धनयवाद .	థాంక స .
तो , यही रण नी ति है .	కాబటటి , అ దీ మన వయ ూ హం .
मैं समझ गया .	నాకు అరథ మెంది .
सर , हैं , सर !	సర , అవును , సర !
तुमने कभी ऐसा न जा रा नहीं देखा होगा .	ఇలా ంటి ది మనం ఎపపుడూ చూ సి ఉండ ం .
और जयादा व रि ष ठ अफ सर ों को इतने ब डे पै मा ने पर हुए प ला यन के बारे में पता चले गा ,	ఎందుకంటే ఎ స . ఎ స . లో చాలా మంది సీ నియ ర ఆ ఫీ సర లు ఇంకా గె సటా పో పోలీసు లు
ती स फु ट ग ह री ताकि जर म नों के सा इ ज मो ग रा फ उनका पता न लगा सक ें .	ఈ వెధ వల సె స మో గరా ఫ ు లు వాటి ని గుర తి ంచ కుండా . ము పప ె అడుగు ల లో తు లో త వ వారు .
जब तक वे रे ड कर ॉ स से पार स ल नहीं आ ते , हमें यही मिले गा .	ఆ రె డ క రా స వాళల పార సి ళలు వచచే వర కూ మన కి దొ రి కే పర ొ టీ న అద ొ కక టే .
बेशक वह उस यु द ध का सबसे बेह तरी न ल डा कू विमान था .	ని స స ందే హ ంగా ఈ యు దధ ంలో మో హ రి ంచిన అ తి చ కక ని ఫె టర జె ట అది .
हे ल मि क को पाँच के ब जा य और आ ठ मि शन पर जाना होगा .	ఐ దు చేయ ాల సిన హె ల మి క ఇపపుడు ఎ నిమి ది మి షన లు పూరతి చేయ ాలా ?
वहाँ काफी ठ ंड थी और स थि ति द य नी य थी .	అకకడ వా తా వర ణం చాలా చ లి గా , ఘ ో ర ంగా ఉంటుంది .
और मुझे पकका यकीन है कि आप इसे सही - सला मत मेरे पास वापस ले आ एँगे .	మీరు దీని ని ఇలా గే తిరిగి నా దగగర కి తీసుకు వ సతా రని నేను ఖచచితంగా నమ ము తుననాను .
उनहें कोई पर वाह नहीं अगर वे हम सब को मार डाल ें , है न ?	మన అంద రి నీ శ తరు వు లు చం పే సి నా కూడా వాళలు ఏమీ ప టటి ంచుకో రు , కదా ?
ए , कम ब खत शु भ सो म वार , एड ो ल फ .	హేయ , హ యా పీ మ ండ ే , అడ ాల ఫ .
उसने पर सता व सवी कार कर लिया .	తను అ ంగ ీ కా రం తెలి పి ంది .
स टा लग ल ु फ ट I I I जर मन ए यर फो रस चला रही थी .	మూ డో సట ాల గ లు ఫ త ని జర మన ఎ యి ర ఫో రస నిర వ హి సతోంది .
कि स फ ल ता पू र व क 2 5 मि शन पूरा करना सच में सं भ व है .	ఆ కొతత కు ర రా ళల కి చెపప డం మంచిది అనుకుంటా .
- खैर . - मेरे पास अभी कोई यो जना नहीं है ,	- సరే . - నా దగగర ఇంకా ఏ ప లా న లేదు ,
या यह जान ना चाहते हो कि मैं 2 0 मिनट बाद कहाँ हूँ गी ?	లేదా మ రో ఇ ర వె నిమిష ాల లో నేను ఎకకడ ఉంటా నో తెలుసు కో వాలని ఉందా ?
शायद ग ों द के अ व शे ष या ते ल या ग ंद गी या कोई चीज	బహుశా ఏదెనా జి గు రు లేదా ఆ యి ల లేదా మ టటి లేదా ఇం కే ద యి నా
मुझे घर जाने की कया जलदी है ?	నేను తిరిగి ఇంటికి వెళల బో తుననా నా ?
हे भगवान , जै क . तो , हमें और दस मि श नों पर जाना होगा ?	దేవుడా , జా క . అంటే , ఏంటి , మేము ఇం కో ప ది మి షన లు పూరతి చేయ ాలా ?
कयों न मैं बाद में वापस आ ऊँ ? मैं तुमहें वहाँ ले जा ऊँगा .	నేను మళలీ ఇకకడికి రా వచచు కదా ? మిమమలని నేనే అ కకడికి తీసుకు వెళ తాను .
- ले फ टि न ें ट के अनु सा र . . . - हाँ .	- లె ఫ టె నె ంట చెపపి న పర కా రం . . . - అవును .
. . . ये पहले जैसे ही हैं .	. . . మళలీ అ వే సమసయ లు .
मैं तुमहारा बे सट मै न जरूर बन ूँगा .	తపప కుండా నీకు తో డి పె ళ లి కొ డు కు గా ఉంటా ను .
तुम यही करना चाहते हो ?	నువవు కో రు కు ంటు నన ది అదే నా ?
कया कहते हो , पै पी ? ह ँ ?	నువవు ఏం అంటా వు , పా పీ ? హా ?
यह जर मन है .	ఇది జర మన భా ష .
भर ती किए गए सै निक मेरे दा ई ं तरफ आ एँ और ऑ फि सर बा ई ं तरफ .	కొతత గా చే రి న వాళలు నా కు డి వెపు ఇంకా ఆ ఫీ సర లు నా ఎడ మ వెపు ఉండాలి .
हम हमेशा घ बरा ए हुए रह ते थे .	మేము ఎపపుడూ అ పర మ తత ంగా ఉండే వాళల ం .
कर ंट के रा स ते में आ रही है .	వి ద యు త పర స రణ కి అడ డు పడు తూ ఉండ చచు .
मैंने पूरी इ मा रत क वर कर ली .	నేను మొతత ం భ వ నా నని పరి శ ీ లి ంచా ను .
जर म नी की राज धा नी पर पहली बार दिन में ह वाई छा पा पड रहा है .	జర మన రా జ ధా ని మీద మొ టట మొదటి సారి గా ప గ టి ప ూ ట దా డు లు .
इतने ब डे पै मा ने पर हुए प ला यन के कारण ,	ఇంత భా రీ గా తపప ి ంచు కునే పరయత నం చేసిన కారణ ంగా ,
ड रि ंक खतम करो , लड कों .	సథి ర ంగా ఉండ ండి , కు ర రా ళ లూ .
तुमहें कुछ नहीं होगा , दोसत . हम तुमहें संभाल ल ेंगे .	నీ కే ం కాదు , మి తర మా . నినను మేము చూ సు కుంటా ం .
तुमहें किस ने भे जी है , बक ?	నీకు ఎవరు రా శా రు , బ క ?
फ लो रि डा में पायलट ों को पर शि कष ण देना बेहतर सुना ई पडता है .	ఫ లో రి డ ాలో పె లెట ల కి ట రె ని ంగ ఇవ వడం మంచి గా ఉండ చచు .
व रि ष ठ अधि कारी द ौ रा खतम करने की जरूरत को 2 5 मि शन से बढ ा कर	వి ర మ ణ నియ మ ాలను పె ంచ ాలని పె అ ధి కారు లు చూ సతుననారు
वह तुमहारी तरफ जा रही है , है मी .	అది నీ వెపు వ సతోంది , హ మ మీ .
पर फिर मैंने उसे दूस री बार फोन किया .	కానీ తరువాత నేను తన కి రెండ ో సారి ఫోన చేశా ను .
जैसे - जैसे दल में जयादा जवा न सै निक शा मिल होने लगे ,	మన వె మా నిక సి బబంది యు వ కు లతో ని ండి పో తు ంటే ,
कम से कम तुम इस यु द ध से जि ंदा वापस जाओ गे .	క నీ సం నువ వ యి నా యు దధ ం నుండి స జీ వ ంగా బయట పడు తుననావు .
कर न ल का मान ना है कि जब ए स ए स और गे स टा पो के	కల న ల అ ంచ నా పర కా రం అ ందుకు తీ వర మెన పరతి చ రయ లు ఉండ చచు
और च ूँ कि उनके पक डे गए पायलट हमारे कै ं प ों में थे ,	మా శి బి రాల లో శ తరు దేశం పె లె టలు ఉనన ందు వలల ,
मदद चाहिए ?	సాయం కా వ ాలా ?
फु ल र .	ఫ ు లల ర .
पर फर ें च और बे ल जि यन रे जि सट ें स का शुकर है	కానీ ఫ రె ంచ ఇంకా బె ల జి యం తి రుగు బా టు ద ళ ాల కారణ ంగా ,
चलो यह करें .	ఇక చే దదాం .
चार , पाँच .	నాలు గు , ఐ దు .
और क ले वे न .	ఇంకా క లె వెన .
शा बा श !	రండి !
ई ंट की छ क की .	డె మ ండ ఆ రు .
रुको .	ఆ గ ండి .
खैर , मुझे लगता है कि कम से कम तुमहें सा री उप लब ध जानकारी के आ धा र पर	సరే , మన కి అందు బా టు లో ఉనన సమా చా రా నని అంతా పరి శ ీ లి ంచు కు ని
फर ें च और बे ल जि यन पु रु ष ों और म हिला ओं के बारे में काफी कुछ पता चल जाता .	ఇంకా వాళల కి స హ కరి ంచిన ఫ రె ంచ ఇంకా బె ల జి యం పు రు ష ు లు , మ హి ళల వి వర ాలు కూడా తెలి సి పో తా యి .
रू सी से ना ने फी लड मार श ल मै न स टा इन को 5 0 मी ल दूर ख दे ड दिया है . . .	సో వి య ె ట ద ళ ాలు ఫీ ల డ మార ష ల మా న సట ీ న ని ఎ న భ ె కి లో మీ టర ల లోప లే పరి మి తం చేశా యి . . .
मेरा दोसत , रो जी यह अचछी तरह समझ गया था .	నా ఫ రెండ రో సీ ఈ విష యానని బాగా అరథం చేసు కుననా డు .
- सि मो ले ट ने आपको उसके ऑ फि स में बुला या है . अभी . - बस हमें ?	- సి మొ లెట మిమమలని తన ఆ ఫీ సు లో కల వ మ ననా డు . వెంట నే . - మా ఇదద రి నీ మాతరమే నా ?
मैं कल प ना भी नहीं कर सकता कि कोई नौ सि ख िया आकर मेरी जगह ले .	ఎవరో కొతత కు ర ర వాడు నా సథా నా నని భ ర తీ చేయ డానికి రా వ డా నని నేను ఊ హి ంచ లేను .
आ राम से . वह हार ने स वे सट खो लो .	మె లల గా . ఆ ప టట ీ తీ సే య ండి .
उनके 2 5 व ें मि शन पर .	అది వాళల ఇ ర వె ఐ ద వ మి షన .
शायद हम सभी चा हें गे कि ऐसा न हो , है न ?	ఆ పరిసథి తి రా కూడ దని మనం అంద రం కో రు కుంటా ం , కదా ?
परि य मि से ज ह ॉल	పరి య మెన మి సె స హ ాల
हे भगवान . वह वही रा सता है जो सो म वार को लिया गया था .	దేవుడా . సో మ వా రం నా డు మనం వెళలి ంది అదే రూ టు .
रुको . तो मैंने उससे कहा . . .	ఆగు . మరి నేను ఆమె తో చెపపే శా ను . . .
यह बकवास है , जै क .	అది ఘ ో రం , జా క .
सब ऑ ल टर न वे स गे ट ने उससे सं पर क करने के लिए मुझे यह नंबर दिया था .	ఆ ఫీ సర వె స గే ట త నని సం పర ది ంచ మని ఈ ఫోన నె ం బ రు ఇ చచి ంది .
कि दोबारा पक डे जाने वाले भ ग ौ ड ों में से 5 0 को मौ त के घ ा ट उ तार दिया गया है .	తపప ి ంచు కునన వారి లో మాకు పటటు బడి న యా భ ె మంది ని మేము ఉ రి తీ శా ము .
वहाँ . वहाँ ! मुझे वे दिख रहे हैं !	అది గో . అది గో ! నాకు వాళలు కనిపి సతుననారు !
तुमहें कुछ नहीं होगा . हम तुमहें संभाल ल ेंगे , समझ े ?	నీ కే ం కాదు . నినను మేము చూ సు కుంటా ం , సరేనా ?
डॉ न लड एल . मिल र की कि ता ब पर आ धा रि त	డ ొ నా ల డ ఎ ల మి లల ర న వల ఆ ధా ర ంగా
मैं अपने द ौ रे से पहले ही टे क सा स जा चुका हूँ .	నా ట ూర కి ముందు నేను టె క సా స వెళ లా ను .
समझ गया , नै वि गे टर . दि शा बताओ गे ? ओ वर .	వి ననాను , నా వి గే టర . మనం ఏ ది శ గా వెళల ాలి ? ఓ వర .
यही मि शन है . चा रा .	అదే మన మి షన . ఎ ర వే య డం .
उस बीच आने वाले हर दल को 2 8 मि शन पू रे करने होंगे .	ఈ లో గా పరతి బ ృ ంద ం 2 8 మి షన లు పూరతి చేయాలి .
जलदी करो . चलो चल ें . यह खतम करो .	తవర గా . వెళ దాం పద ండి . పని పూరతి చేయ ండి .
नै वि गे टर , पायलट के लिए . हम बर लि न के ऊपर हैं ,	పె లెట కి నా వి గే టర స ందే శం . మనం బె ర లి న మీ దు గా వెళ తుననాం ,
काफी वय सत थी .	బి జీ అయి పోయింది .
और उस मि शन में 1 3 विमान गए थे .	ఆ మి షన లో పద మూ డు విమా నాలు పాల గొ ననా యి .
ए ! कोई वह म ॉर फी न लेकर यहाँ आओ .	హేయ ! ఎవరెనా మో ర ఫ యి న ని తీసుకు ని రండి .
- समझ े ? - जी , सर .	- సరేనా ? - అలాగే , సర .
तुम इस कै ं प के ली डर हो और मैं बस तुमहारे आ डे आ रहा हूँ ?	ఈ శి బి రం లో నువవు సరి కొతత రా జు వి , ఇంకా నేను నీ దా రికి అడ డు వ సతుననా నా ?
तुम इस प द के लिए तैयार हो ?	అ ందుకు మీరు సిదధ మే నా ?
हम ट स कि गी के पु रु ष हैं या नहीं ?	మనం ట స కీ గ ీ మను ష ు ల మా కా దా ?
नहीं , और नहीं . कयोंकि वही था .	లేదు , ఇం క చ ాలు . ఎందుకంటే ఎకకువ యి ంది .
मैं मना नहीं कर ूँगा .	సాయం చేసతా న ంటే వదదు అ నను .
सा त वा ं भाग	ఏ డ వ భా గం
ब धा ई हो .	అభి న ంద నలు .
कया कोई उन ल डा कू विमान ों की पह चा न कर सकता है ? ओ वर .	ఎవరెనా ఈ ఫె టర ల వి వర ాలు సే కరి ంచ గల రా ? ఓ వర .
तैयार हो जाओ , लड कों .	సిదధ ంగా ఉండ ండి , కు ర రా ళ లూ .
ब म गि रा दि ए .	బా ం బు లు వి డు దల .
कयोंकि मेरे घर पहुँच ने के बाद , तुमहें वे अ क सर दिख ेंगे . "	ఎందుకంటే నేను ఇంటికి వెళ లా క నువవు ఎకకువ గా వాటి వె పే చూడ ాల సి ఉంటుంది . "
मैं नि शा ना नहीं सा ध पा रहा है . वे 4 5 व ें पर हम ला कर रहे हैं !	నేను వాళల వెపు గురి పెటట లే కపో తుననాను . వాళలు 4 5 వ బ ృ ంద ం మీద దా డి చేసతుననా రు !
डे व मा इन र और उसके लड के भी 2 4 मि शन पू रे कर चु के हैं .	డే వ మెన ర ఇంకా అతని సి బబంది కూడా ఇ ర వె నాలు గు మి షన లు పూరతి చేశారు .
ये कम ब खत गु ं डे हमें एक - एक करके मार डाल ेंगे , बक .	ఈ ర ౌ డీ వెధవ లు మన లని ఒకక ొ కక రి గా అంత ం చేయ ాలని చూ సతుననారు , బ క .
और कि सम त का उससे कोई लेना - देना नहीं था .	ఆ మి షన లో అద ృష టం పా తర ఏమీ లేదు .
- तुमहारा नाम म लू ली है , है न ? - जी , सर .	- అతను మ లూ లీ , కదా ? - అవును , సర .
मैंने खुद से कहा कि मैं बस किसी के साथ पी ना और ह ँ स ना चाहता था ,	నేను తా గ డా ని కీ ఇంకా నవ వడానికి నాకు ఒక తో డు ఉంటే చ ాలు అని నా లో నేను అను కుననాను ,
हमें नहीं पता आपके बे टे के साथ कया हुआ ,	మీ అబబా యి ఆ చూ కీ మాకు తెలియ లేదు ,
ए , ए ! उस कु त ते को रो को !	హేయ , హేయ ! ఆ కు కక ని పటటు కో ండి !
कै प टन , तुमहें पता है कि द ौर ों की गि न ती बढ ा कर 3 0 मि शन कर दी गई है .	కె ప టె న , అంద రి వి ధ ు ల నీ ము పప ె మి షన ల వర కూ పొ డి గి ంచ ాలని నిరణ యి ంచు కుననా రని మీకు తెలుసు .
इसलिए मैं पू रे वि ंग का क मा ंड पायलट र हूँ गा .	కాబటటి ఈ మొతత ం వి భా గా నికి నేను క మా ండ పె లెట గా ఉంటా ను .
वापस अंदर जाओ . अभी .	లోప లి కి వెళల ండి . వెంట నే .
ब रि टि श , भा र ती य और गो र खा से ना एँ	బ రి టీ ష , భా ర త సె ని కులు ఇంకా గ ూర ఖ ా ద ళ ాలు
है रि सन को ट करा ने से बच ने के लिए पै ंत रे बा जी करनी प डी .	శ తరు విమా నా ల దా డు ల నుండి హా రి స న చాలా చా క చ క య ంగా విమా నా నని తపప ి ంచా డు .
एक और विमान आ रहा है , तैयार रहो ! चलो एक दल को उस पर लगा एँ !	ఇం కో విమానం వ సతోంది , సిదధ ంగా ఉండ ండి ! ఒక బ ృ ందా నని ఆ విమా నా నికి కే టా యి ంచండి !
मुझे कुछ पता होना चाहिए , कै न ?	నేను తెలుసు కో వల సింది ఏమెనా ఉందా , కె న ?
चलो , दोसत ों . जलदी .	రండి , మి తరు లా రా . తవర గా .
- कया वे हमारे हैं ? - बता नहीं सकता .	- అవి ఫ రెండ లీ ఫె టర లా ? - నేను చెపప లే కపో తుననాను .
मैं एक और ड रि ंक ले ने जा रहा हूँ .	నేను ఇం కో డ రి ంక తా గు తాను .
जब मैं छो टा था , तब मैंने घर पर एक करि सट ल रे डियो बना या था .	మీకు తెలుసు , నా చినన పపుడు , నేను స ొ ంత ంగా ఇంట లో కరి సట ల రే డి యో త యా రు చేశా ను .
वे एक साल से सु र ंग ें खो द रहे थे .	వాళలు ఒక ఏ డా ది కాల ంగా స ొ రం గం త వ వు తుననారు .
हाँ , जब तुम यहाँ से निक लो गे , तो तुमहारे पास उसके लिए काफी समय होगा .	అవును , అంటే , నువవు బయట కి వెళలి న తరువాత బం ధ ాలు ఏ ర ప రు చు కో వడానికి నీకు చాలా సమయం ఉంటుంది .
हे भगवान .	దేవుడా .
ए , कया बात है !	హేయ , ఇది ఎలా ఉంది !
हे भगवान .	దేవుడా .
तुमहारा दल इस वाले मि शन पर नहीं जाएगा .	మీ సి బబంది ఈ సారి మా తరం పో టీ లో ని ల బడ లే కపో తుననారు .
वहाँ ! पू र व से द कष ि ण पू र व !	అది గో ! త ూర పు వెపు ఆ గ నే యం ది శ గా !
बर लि न पर ही हो रहा है .	అది బె ర లి న న గర మే .
केवल अग ले हफ ते के बाद ए वज में आने वाले नए द लों के लिए .	మ రణ ి ంచిన వారి సథా నా లని భ ర తీ చేయ డానికి కొతత సి బబంది వచచే వా రం వ సతుననారు .
कया हुआ , तुम स ह नहीं पा रहे हो . . .	ఏంటి , నీ వలల కా వడం లేదా . . .
कयोंकि अगर वह दोबारा दु र घट ना गर सत होता	ఎందుకంటే ఒక వె మా నిక ద ళ స భ యు డు దా డి లో మళలీ గా య పడి
ठीक है . मर फी ?	సరే . మర ఫీ ?
चलो थोडी ह वा खा लें .	మనం కా సత గ ాలి పీ ల చు కు ందా ం .
ठीक है . विमान तुमहारा हुआ .	సరే . విమానం ఇక నీ దే .
रो जी ! हाँ , हाँ , हाँ !	రో సీ ! అవును , అవును , అవును !
ई ंट की द ै ल ली .	డె మ ండ ప ది .
ल ु फ ट व ॉ फ के त बा ह होने और आ स मान में हमारा पल डा पूरी तरह से भा री होने तक	జర మన వా యు సే నని ధ వం సం చే సతే తపప మనం జర మన లని జ యి ంచ లే మని
पर उनके लिए स व चछ ता , सु वि धा एँ , कि ता ब ें और सं गी त उप लब ध थे .	కానీ వాళల కి అకకడ పా రి శు ధ యం , స ౌ కర య ాలు , పు సత క ాలు , మ యూ జి క అందు బా టు లో ఉంటా యి .
हमारे जि ंदा घर पहुँच ने की ? नहीं है . कोई संभा वना नहीं है .	మనం పరా ణ ాల తో ఇంటికి తిరిగి వెళల డం గురి ంచా ? అవకా శ ాలు లేవు . అసలు లే నే లేవు .
जै क , यह वही रा सता है . यह बिलकुल कल जैसा ही है .	జా క , మళలీ అదే దా రి లో వెళల ాలి . సరి గగా ని నన జరిగి న మా ది రి గానే .
पर मैं यो जना बना ल ूँगा .	కానీ నేను ఏదో ఒకటి కని పె డ తాను .
पकका वह यहाँ के सबसे कि सम त वाले इंसान हैं , है न ?	ఇకకడ ఇ త నే అద ృష ట వం తు డు అనుకుంటా , కదా ?
च ूँ कि आज सु बह कर न ल हार डि ंग ल ंद न चले गए ,	ఈ ఉద యం కల న ల హా ర డి ంగ అనుకో కుండా ల ండ న పర యా ణం కా వ డ ంతో ,
तुम थ क गए हो .	నువవు అ ల సి పోయా వు .
कि एक दिन वे जरूर घर लौट ेंगे .	ఏదో ఒక రోజు తా ము ఇంటికి వెళ తా మ నన వార త .
मेरा मतलब , हमारे लिए बीच में ही निय म बदल दि ए ?	నా ఉదదేశం , ఈ నియ మ ాలు మార చి మన తో మె ండ గే మ ఆ డు తుననారు అంటా వా ?
शायद तुम सही थे .	నువవు సరి గగా చెపపా వు .
सौ व ें में सवागत है .	1 00 వ బా ం బ గర ూ ప కి సవా గ తం .
वे कहाँ जा रहे हैं ?	వాళలు ఎ కకడికి వెళ తుననారు ?
हाँ , मैं तैयार हूँ .	అవును . అ ందుకు నేను సిదధ ం .
- तुम ग ं भी र हो ? - कया ?	- నిజంగా చెబు తుననా వా ? - ఏంటి ?
वे जर मन हैं . वे जर मन हैं !	అవి జర మన ఫె టర లు . అవి జర మన ఫె టర లు !
ज ॉन तुमहें तुमहारा मि शन समझ ा दे गा . तुम कल निक लो गी .	మీకు అ పప గి ంచే పని గురించి జీ న మీకు చెబు తా డు . మీరు రే పు బయ లు దే ర ాలి .
ले मन स , किसी ने कॉ क पि ट में देखा ?	లె మన స , కా క పి ట లో ఎవరెనా ఉననా రే మో చూశా వా ?
चलो इसे यहाँ से ले चल ें . एक , दो , तीन .	త నని ఇ కకడి నుండి తీసుకు వెళ దాం . ఒకటి , రెండు , మూ డు .
कि बस हमारे ल कष य पर ब म गि रा ना काफी नहीं था .	అది ఏమి ట ంటే మా టా రగ ె ట మీద బా ం బు లు వే సిన ంత మా త రా న సరి పో దు .
ख र गो श ?	కు ందే లా ?
सो लो मो न .	సో ల మన .
देखो कौन आया है !	అద ె వర ో చూడు !
गया रह .	పద కొ ండు .
या नी 1 5 मार गि रा ए गए .	అది నే ల కూ లి న ప ది హే నో విమానం .
तो ?	మరి ?
जै क , इतने उ दा स कयों हो , ह ँ ?	జా క , ఎందుకు అంత వి చా ర ంగా ఉననావు , హా ?
केवल अ मरी की .	కేవలం అ మె రిక నలు .
हमें अभी तै या री करनी शुरू करनी होगी .	మనం ఇం క ప ను లు మొద లు పెటట ాలి .
पर किसी को तो उनहें काम - का ज सि खाना था .	కానీ ఎవరో ఒక రు వాళ లకు ఇ కకడి ప దధ తులు నే ర పి ంచాలి కదా .
मेरे लिए ये सब ला सकते हो ?	వాటి ని సే కరి ంచి నాకు తె చచి ఇవవ గల వా ?
ल ु फ ट व ॉ फ के अधि कार कष े तर से	దేశం లో ని అనని సట ాలా గ స నుంచి ఖ ె దీ లని
हमारी बै रे क के नीचे ढ े र ों आवा रा ख र गो श इ ध र - उ ध र भाग रहे हैं .	మన బా రా కస కింద చాలా కు ందే ళలు తి రుగు తుననా యి .
हाँ . यहाँ किसी को 2 5 मि शन पू रे किए अ र सा हो गया है .	అవును . ఇకకడ కొ ంత కాల ంగా ఉ ంటుననా ను కదా .
अं कल जो के रू सि यों ने मो ह लि व पो डो ल स की नाम क जगह पर एक मो र चे पर कब जा करके	అ ం కు ల జో కి చె ంది న ర ష యన సె ని కులు మో గ లీ వ పొ డో లస కీ అనే పర దేశం లో బ రి డజ మార గా నని సవా ధ ీ నం చేసు కుననా రు ,
कॉ क पि ट में उन पर सी धा हम ला हुआ .	నే రు గా ఆ విమానం కా క పి ట మీద దా డి జరిగింది .
वे हमारे सै नि कों के साथ पर या पत मान वी य वय व हार करते थे .	వాళలు మా సె ని కు లని మర యా ద గా చూ సు కుననా రు .
आपको मु ख य ल कष य यह होगा , बर लि न का क ें दर .	మీరు దా డి చేయ ాల సిన కే ంద రం ఇది . బె ర లి న న గ రం న డి మధయ లో .
दरवा जे खो लो . दरवा जे खो लो .	ఆ తలు పు లు తె ర వ ండి . వాటి ని తె ర వ ండి .
