रॉ बि न !	రా బి న !
नहीं , उससे कोई फर क नहीं पडता .	లేదు , అది అంత ముఖ యం కాదు .
डि ज नी और ए डि सन के जैसे बन गए .	వ ండ ర బ రె డ అ మె రిక న అయ యా రు .
बिलकुल .	అవును .
सत य में ज लो !	సత యం లో క ాలి పో !
ट रा ंस लू स ें ट .	ట రా నస లూ సె ంట కు .
पलीज , मुझे एक ला वा फ लो देना .	నాకు ఇం కో లా వా ఫ లో ఇవ వు .
द बॉ य ज	ది బా య స
माफ करना , मैं बस . . .	కషమించు , నేను . . .
इस वकत उनके लिए सा मा जि क स मा वे श	వా రికి పర సతు తం చే రిక పెదద పరా ధా న యత .
मुझे नहीं लगता कि मैं ग हरा ई पर हूँ .	నా వి కలి షట పరిసథి తులు అనుకో ను .
तुम यहाँ कैसे पहुँ चे ?	ఇకకడ కు ఎలా వచచా వు ?
मुझे नहीं पता कि यह सब कया है ,	ఇ దంతా తెలియదు , కానీ వి చి తర ంగా ఉంది ,
बच चों पर चि ल ला ते हुए पा या गया .	డీ ప తా గి పిలల ల పె అ రు సతూ కనిపి ంచా డు .
मुझे एक मदद चाहिए .	నాకు ఒక సహా యం కావాలి .
पास से , तुमहारी आँख ें काफी नी ली हैं .	మీ క ళళు దగగర గా చూ సతే నిజంగా నీ ల ంగా ఉననాయి .
फु ट ब ॉल ?	సా క రా ?
कया हमारे सिर फ ट ने वाले हैं ?	మన తల లు కూడా పే లి పో తా యా ?
पु रा नी सु पर ही रो कॉ मि क यहाँ ख री दि ए !	సూ పర హ ీ రో కా మి కలు ఇకకడ కొ న ండి !
कृपया फोन करें 1 - 8 8 8 - 0 - अ परा ध .	దయచేసి 1 - 8 8 8 - 0 క రె మస కు ఫోన చేయ ండి .
- वह बु री इंसान नहीं है .	- ఆమె చె డ డ ది కాదు . - ఆమె సూ ప .
टा वर में सभी का कया हा ल है ?	ట వర లో అందరూ ఎలా ఉననారు ?
अचछा , शुकरिया . एक बात कहूँ ?	ధనయవాదాలు . ఏంట ో తెలుసా ?
मैं नौ करी नहीं करता .	నాకు ఉద యో గం లేదు .
तुम उसे खत रे में डाल रहे हो .	నువవు ఆమె ను పరమా ద ంలో పడ ే సతుననా వు .
या फिर यह कि कुछ ही समय में ,	లేదా అది పర జ లు తెలుసు కునే ంత వర కే .
मैंने कहा , जाने का वकत हो गया है ,	ఇక వెళళ మ ననా , లేదా టీ ఎ ం జీ కు ఫోన చేసతాను .
" हम सिरफ एक टी म नहीं , हम एक परिवार हैं ,	" ఒక జ టటు కంటే ఎకకువ మన మొ క కుటుం బం ,
अरे , मैं तुमहें जानता हूँ .	హే , నాకు నువవు తెలుసు .
डर टी ड जन में ली मार वि न था .	డ ర టీ డజ న కు , లీ మార విన .
हाँ , बस फ रि ज में रख ना .	అవును , దానిని ఫ రి జ లో ఉ ంచు .
तुमहारे सा ले क माल के दोसत .	నీ అదభు త మెన సనే హి తులు .
आ न ु वा ं शि की में अपने समय से काफी आगे थे .	జ న యు శా సత రం లో వారి కాల ంక ంటే ము ందే .
दो बचचे थे .	ఇదద రు పిలల లు .
और मेरी वजह से वह मा री गई .	నా వల లే ఆమె చని పోయింది .
और अब पूरा देश हमारे पीछे प डा है .	మన మి పపుడు దేశం లో అత య ంత కావాల సిన వెధ వలం .
इसका नाम कि मि को है .	ఆమె పేరు కి మి కో .
तुम अचछी लग रही हो .	నువవు బాగు ననా వు .
जना ब क सा ई कहाँ हैं ?	మిసటర బు చ ర ఎకకడ ?
और तुमहारे पास इससे अचछा कोई वि चार है ?	నీ దగగర అంత కంటే మంచి ఆలోచ న ఉందా ?
हो सकता है वे तुमहारा पी छा कर रहे हों .	వాళళు మిమమలని అను సరి సతూ ఉండ వచచు .
मैं न ई लडकी हूँ .	నేను కొతత అమమాయి ని .
व ॉ ट से कोई होगा ?	వా ట నుండి ఎవరెనా నా ?
मुझे बिना पै रो ल की उ मर कै द नहीं चाहिए .	బె యి ల లేని జీవి త ఖ ె దు కోసం నేను పరయతని ంచ బో ను .
तुमहें यह म जे दार लगता है ?	మీకు ఇది సర దా గా ఉందా ?
- तुमने मेरी ज मान त दी ?	- బె యి ల ఇ పప ి ంచా వా ? - అవును .
तुम कहाँ जाओ गे , ह यू ई ?	ఎ కకడి కె ళ తా వు , చినన హ యూ య ీ ?
हाँ , हम कभी नहीं सो ए .	అవును , మే మె పపుడ ూ చేయ లేదు .
- बु चर ने तुमसे सं पर क किया ?	- బు చ ర నినను సం పర ది ంచా డా ? - లేదు .
. . . या फिर उसकी जान - पह चा न के सा थी ,	. . . లేదా అతనికి తెలి సిన అను చ రు లలో ఎవరెనా ,
अगर किसी ने उसकी मदद की हो तो ?	అతని కె వర ెనా సాయం చేసు ంటే ?
रे वन वि ंग हो .	రే వెన వి ంగ .
अचछी खबर है .	మంచి వార త .
इतनी जलदी ?	ఇంత తవర గా నా ?
तुम यहाँ हो और डी वा क पस के लिए	నువవు డి వా క ప స సం సథ లో పీ ఆర గా కా కుండా
" सु पर बद मा श " श बद कैसा लगता है ?	" సూ పర వి ల న " పద ం ఎలా ఉంది ?
तुमने कुछ लि खा ?	నువవు ఏదో వ రా శా వా ?
वही , 8 2 वाले लड के .	8 2 లో ఉండే బా య స .
आप तो कभी 9 9 पर नहीं आ ते ,	అంటే , మీరు ఎపపుడూ 9 9 కి రా రు గా ,
मुझे आपका बात करने का र वै या पसंद नहीं , सर .	నాకు మీ స వ రం అభి న ంద నీ య ంగా లేదు , సర .
फिर से नहीं .	మళళీ వదదు .
नहीं , मुझे तुम पर भरो सा है , बस मैं . . .	లేదు , నాకు నీ పె నమమ కం ఉంది , అది కేవలం నేను . . .
हमें ऐसे झ मे ले में फ ं सा दिया .	నువవు ఈ ర ొ ం ప లోకి మన లని ది ంచిన ందుకు .
रुको , तुम कया कह रही हो ?	ఆగు , నువవు ఏం మాటలాడు తుననావు ?
मैं तुमहें बचा ऊँगा .	నేను మిమమలని ర కషి సతాను .
मुझे नहीं का ट सकते .	వాళళు ననను తొ ల గి ంచ లే రు .
यह तो ब ला इ ंड सप ॉ ट है ना ?	అతను బ లె ండ స పా ట కదా ?
वह एक अ भ ि ने ता है .	అతను ఒక న టు డు .
मैं त य कर ूँगा .	నేను నిరణ యి సతాను .
पता नहीं , शायद जयादा कुछ नहीं पता .	అంటే , బహుశా ఎకకువ గా తెలియదు .
हम , दरअसल , एक दवा कं प नी हैं ,	మేము నిజ ానికి ఏంట ంటే , ఒక ఔ ష ధ సం సథ ,
क ली व लै ंड का ई गल द आर चर ?	క లీ వల యా ండ నుండి ఈ గి ల ద ఆ రచ ర ?
वर ना मौ त की नी ंद सु ला द ूँगा .	లే ద ంటే నినను చం పే సతాను .
वर ना मौ त की नी ंद सु ला द ूँगा .	లే ద ంటే నినను చం పే సతాను .
और , ऐ श ली ,	ఇంకా , ఆ ష లీ ,
अचछा , तो ?	సరే , అయితే ?
प ॉन श स पायलट और मै री एक साथ ?	పా ంటి య స పె లెట ఇంకా మే రీ జ త క టట ా రా ?
गु ड म ॉर नि ंग , हो म लै ंड र .	శు భ ో ద యం , హో ం లా ండ ర .
उसका एक पति था ना ?	ఆమె కు భ ర త ఉననాడు , కదా ?
उ तनी जयादा उसके लिए मुशकिल होती जाए गी .	ఆమె అంత పరమా ద ంలో చి కకు కు ంటుంది .
मैं अपने बे टे से मिलने आया हूँ .	అంటే , నేను నా కొ డు కు ను చూడ ాలని వచచా ను .
ई श वर उसकी आत मा को शा ं ति दे .	తన ఆ తమ కు శా ంతి కల గ ాలి .
हो म लै ंड र , वाह , आप . . .	హో ం లా ండ ర , అదభు తం , మీరు . . .
मुझे नहीं पता कि वह कया है .	నాకు అది ఏంట ో తెలియదు .
आ ल डे न ए ह रे न रा इ क .	ఆ ల డె న ఎ ర న రె ష
मु ँ ह बंद रख ो .	కా సత నో రు మూ సుకో .
मार दो ह थ ौ डा .	అది ఖ చచి తం చేయి .
मेरे बचचे को एक माँ की जरूरत है !	నా బి డ డ కు తల లి అవసరం ఉంది !
जब ऑ पे न हा इ मर ब म को पर ख रहा था ,	ఆ పె న హా మర బా ం బ కను గొ నే పరయత నం లో ఉండ గా ,
तो यह कैसा रहे गा . . .	ఇది ఎలా ఉంది . . .
यह तो क माल की बात है .	అది చాలా బాగుంది .
तुम समझ नहीं रहे .	నీకు అరథం కా వడం లేదు .
नहीं , मैं नहीं बे च ता .	కాదు , నేను అమమ ను .
मैं नहीं ला सकता . . .	నేను చేయ లేను . . .
तुम मेरा नंबर लेना चा हो गे ?	మీకు నా నం బ రు కా వ ాలా ?
तुम अब आ जा द हो , न न ही म छ ली .	స వే చ ఛ గా ఈ దు , చినన చే ప .
" अ मरी का को बचा ना " ही होगा .	అది " అ మె రి కా ర కష ణ " నే .
मैं द से वे न का रह न ुम ा हूँ .	నేను సె వెన నా య కు డిని .
तुमहारा बा प घर लौट आया है .	నానన ఇంటికి వచ చేశా డు .
- माफ कीजिए गा . आप कौन हैं ?	- ఎవర నువవు ? - నా పేరు బి ల లీ బు చ ర .
औ प चा रिक त ौर पर ? कुछ नहीं .	అ ధి కా రిక ంగా నా ? ఖచచితంగా , సు ననా .
ए , बहुत हो गया . अब निक लो .	హే , ఇక చ ాలు . ఇక వెళళ ాల సిన సమయం .
इस स दी में पै दा हुए कि शो र	మి లీ నియ లస తో అదభు తంగా పో టి పడ గల ం .
- मुझे लगा कि हम दोसत . . .	- మనం సనే హి తు ల మను కుననా - కషమించు .
हैलो . मैं द से वे न का हि ससा हूँ .	హాయ . నేను సె వెన లో చే రా ను .
अपनी पी ने की आद त के बारे में ,	నీ తా గు డు , నీ ఆ తమ గ ౌ ర వ సమసయ ల గురించి .
मैंने इस कमी ने को बता ने की कोशिश की .	అది ఈ వెధవ కు చెపప ాలని చూశా ను .
अचछा , फिर से इन पर धयान दे ते हैं .	సరే , మీ మా ద ృష టి ని వీ టి పె కి మర ల చు తుననాను .
शायद अपनी म रह ू म प तनी को लेकर ख फा होगा	బహుశా , మా జీ వా ట ఉద యో గి అయి న అతని మ రణ ి ంచిన భా రయ
छोड िए भी , सट ै न .	సరే లే , సటా న .
और , शुकरिया .	ఇంకా ధనయవాదాలు .
मान ते हैं , तुमहें ठीक से पह चा ना नहीं	మాకు మీరు తెలి సింది త కకు వే అని ఒ పపు కుంటుననా ము
शुकरिया .	ధనయవాదాలు .
नहीं , वह एक अचछा लड का है .	లేదు , అతను మంచి వాడు .
शुकरिया .	ధనయవాదాలు .
तुमहारे पास वी है , ह यू ई ?	నీ దగగర కొంచెం వీ ఉందా , హ యూ య ీ ?
रुको .	ఆగు .
जिस ने व ॉ टी फा ई पर हमारे दिल ों से दूर नहीं	నె వర ట రూ లీ వా ని ష పా ట ను వాటి ఫె లో మీ రి పపుడు చూడ వచచు .
अचछा .	సరే .
यह तो . . .	అది . . .
मैं बा जू रख सकता हूँ ना ?	నేను ఆ చే తి ని ఉ ంచుకో వచచు , కదా ?
मैं इसके बारे में और जान ना चा हूँ गी .	మా రగ రె ట , నే న ది పరి శ ీ లి సతాను .
अचछा .	సరే .
तुमसे मिलने की बडी इ चछ ा थी , डी प .	నేను నినను కల వాలని ఎదు రు చూ సతుననాను , డీ ప .
शुकरिया .	ధనయవాదాలు .
" ए नी को फोन करना चाहिए . "	" ఆ నీ కి ఫోన చేయాలి . "
तो पी ट डा लो .	అదే దో కా ని చ చేయ .
शुकरिया .	ధనయవాదాలు .
मुझे लगा कि वह हमें देख रहा है	ఆయన మన లని గ మని సతు ంటా డని ,
हैलो .	హాయ .
कौन ?	ఎవరు ?
अचछा .	సరే .
तुम ज ॉन क यू सै क नहीं हो , यार .	నీకు తెలుసా , నువవు జా న క యూ సా క కాదు .
पर उसके लिए , यह तरी का ठीक नहीं है , ह यू ई .	కానీ దానికి ది మా రగ ం కాదు , హ యూ య ీ .
तुम बु चर जै सी बातें कर रहे हो .	నువవు బు చ ర లా మాటలాడ తా వు .
रु किए , आप कया कह रही हैं ?	ఆ గ ండి , ఏం అ ంటుననా రు ?
चलो . अंदर घु सो . चलो .	రా . లోప లి కి ఎ కకు . పద , పద .
हैलो ?	హలో ?
मैं झूठ नहीं कह रहा .	నేను చెపప డం లేదు .
मुझे लगता है इसे दिल का द ौ रा पड रहा है .	అతనికి గు ండ ె పో టు వచచి ంద ను కుంటా .
और किसी ने यहाँ तक मेरा पी छा नहीं किया ,	ననను ఇకకడికి ఎవరూ అను సరి ంచ లేదు ,
आज मैं अ मरी की जन ता को बता सकता हूँ	ఈ రోజు , నేను అ మె రి కా పర జ లకు
खैर , माफ ी माँ ग ने की जरूरत नहीं है .	ఏ దే మెనా , కష మా ప ణ అవసరం లేదు .
पर मैं है री प ॉ टर बन सकता हूँ .	కానీ హ యా రీ పా టర కా గలను .
तुम सबसे बेह तरी न थे	మీరు మంచి కోసం ని ల బడ డా రు
ब डे सम मान की बात है , सर .	ఇది మాకు గ ౌ ర వం , సర .
मैं वर म ॉन ट वाला घर तैयार नहीं कर पा या ,	బ ొ మమ ఇ లలు ను పూరతి చేయ లే కపో వడానికి కారణ ం నువ వ యి తే ,
अब त ू खुश है , सा ले ?	సంతోష ంగా ఉందా , చెతత వెధవ ?
और वह कौन होगा ?	అది ఎవరు అయి ండ వచచు ?
आप इस गिर फ ता री से बच नहीं पा एँगे .	ఖచచితంగా ఈ అ రె సట ను ఆ ప లేవు .
शुकरिया जो मुझे सो ने दिया .	ననను ని దర పో ని చచి న ందుకు ధనయవాదాలు .
तुम दोबारा स टा र ला इट के साथ	నీకు తిరిగి సటా ర లెట తో కల వాల ను ంది .
जहाँ तुम गो लड न ग लो ब के लिए	నువవు గో ల డె న గ లో బ ఏ ర పా ట లలో ఉండ గా ,
थोडा सो लो .	కొంచెం ని దర పో .
- शायद वह मर ही गया हो .	- అతను చని పోయి ఉంటా డు . - లేదు .
मैं जिंदगी भर माफ ी माँ ग ती र हूँ गी .	ఎ పపటి కీ కష మా ప ణ లు చెబు తూ నే ఉంటా ను . ఫోన చేయి
आप से मिल कर अचछा लगा . शुकरिया .	నినను కల వడం సంతోష ంగా ఉంది . ధనయవాదాలు .
हम सब खुश कि सम त हैं	మన మ ంద రం అను గర హి ంచ బడ డా ము
हाँ , तुम रे वन . . .	అవును , నువవు రే వెన . . .
तुमहारे पे शे के चल ते नहीं , बल कि . . .	నీ ఉద యో గ రి త యా నువవు చేసే దానికి కాదు , కానీ . . .
पर , हम तो बस मदद करना चाहते हैं .	సహా యం చేయ ాల నన దే మా కో రిక .
कयोंकि , कभी - कभी ही रो लोगों को भी	ఒక కో సారి హ ీ రో లకు కూడా సహా యం అవ సర మ వు తుంది .
पत ता गो भी का सला द ?	బ ే బీ కే ల స లా డ ?
इस ने हमें बैठ ा कर कहा ,	అతను మమ మ లని ఒక చో ట కు చే ర చి ,
हे भगवान .	దేవుడా .
हे भगवान .	దేవుడా .
हमें बु चर की जरूरत नहीं है .	మనకు బు చ ర అవసరం లేదు .
अ द भ ु त है .	అదభు తం .
इसकी एक मा तर वजह यह है	ఇకకడ పని చేయ డానికి ఒక ే కారణ ం
हे भगवान .	దేవుడా .
सु पर ही रो .	ఒక సూ ప .
पर . . .	కానీ . . .
तो मैं तुमहें खतम कर द ूँगा .	నేను నీ అ ం తు చూ సతాను .
बा प रे , वे झा इ या ँ .	అబబా , ఆ మ చచ లు .
हे भगवान .	దేవుడా .
का ले बा ल , स स ती जी न स और जू ते पह ने थे .	జీ నస న కలు , స నీ కర లు ధ రి సతా డు ,
मैं तुमहारी पि टा ई नहीं करना चाहता , ह यू ई .	నాకు నీ పని ప టట ాలని లేదు , హ యూ య ీ .
न भगवान , न हो म लै ंड र . . .	దేవు డు లే డు , హో ం లా ండ ర లే డు . . .
उसकी आत मा को शा ं ति मिले .	దేవు డు అతని ఆ తమ ను అను గర హి ంచాలి .
ए नी को फोन करना चाहिए .	ఆ నీ కి ఫోన చేయాలి .
- मैंने उसे मै से ज किया , उसके बाद हम मिले . . .	- స ందే శం పం పి , తరువాత కలి శా ం - అబబా .
पूरी बात ? व ॉ ट है .	పూరతి విషయ మా ? అది వా ట .
माफ करना , ह यू ई , यह अब खेल नहीं है .	ననను కషమించు చినన హ యూ య ీ , ఇది ఇపపుడు ఆట కాదు .
तुम इस बात का फै सला नहीं करो गी	నువవు ద సె వెన లో ఎవరు ఉంటా రో నిరణ యి ంచ వు .
चलो दो स तो , मुझे शु भ काम ना एँ दो .	ఇది గో , అందరూ నాకు శు భా శ ీ స సు లు తెలు ప ండి .
मुझे लगता है कि " दुनिया को बचा ना " थोडा . . .	నా కనిపి సతుంది " పరపంచ సం ర కష ణ " . . .
जाने से पहले ,	అతను వెళళ ే ముందు ,
मे रि या ना टर ें च में तै र कर देखो , बेवकू फो .	మె రి యా నా ట రె ంచ లో ఈ దే పరయత నం చేయ ండి , చినన వెధ వల లా రా .
अचछा . और " दुनिया को बचा ने " के बारे में	సరే . " పరపంచ సం ర కష ణ " ఎలా ఉంది ?
चो री से मि तर रा ष टर ों के पास जा पहुँ चे .	అన ూ హ య ంగా మి తర రా జ య ాల తో చే రా రు .
सब जि यों वाली सै ंड वि च ?	కా పర ీ సీ శా ండ వి చ ?
और मै ड लि न सट ि ल वे ल का बच चा	మా డ లి న స టి ల వె ల బి డ డ
दर ज नों की ता दा द में	డజ న ల కొ దద ీ జర మన లను చం పా రు .
ह यू ई , हमने कर लिया .	హ యూ య ీ , మనం ఇది సా ధి ంచా ము .
- कोई बात नहीं , स मैं था .	- ఫర వాలేదు , సమా ంత . - బి జీ రో జా ?
सिरफ एक आदमी इसकी म ं जू री दे ता है .	దానికి ఒక రే అ ంగ ీ కరి సతారు .
कै र ल ने मुझे यह समझ ने में मदद की .	కె రో ల నా క ది తెలియ చేసి ంది .
उसे फोन करना , मै से ज करना .	ఆమె కు ఫోన చేయడం , స ందే శ ాలు వ రా య టం .
हमें सच में एक क पता न की जरूरत है .	మనకు అస లెన కె ప టె న కావాలి .
उस दिन , कई अचछे लोग मा रे गए .	ఆ రోజు చాలా మంది మంచి వారి ని కో ల పోయా ము .
तुमहें बता द ूँ , यह अस ली अ ड डा नहीं है .	మీ కోసం , నిజ మెన సథా వ రం కాదు .
" सु पर आत ंक वा दी " श बद से न फ रत है ,	నీకు " మ హా ఉ గర వా ది " పద ం న చచ లేదు అంటే ఏంటి ?
क मान कर म ला ग ू नहीं होता .	ఇ తర సె నిక కా ంట రా క టర లకు వర తి ంచ దు .
यह .	ఇది .
हाँ . मुझे भी उसकी बहुत याद आती है , दोसत .	తెలుసు . నే న ూ అతని ని కో ల పోయా ను .
अचछा , हाँ . मैं समझ गया . उ फ .	సరే , అలా గా . సరే నాకు అరథ మెంది . అబబా .
मैं कहना चा हूँ गा कि यह अ द भ ु त है .	ఇది అదభు తం అని చెపప వచచా .
और अब तुम एक माम ू ली अं धे लड के हो .	ఇపపుడు నువవు మ రో ప నికి రా ని చెతత గు డ డి వాడి వి .
आप स मार क देख सकते हैं	స మార క ంలో సటా ర లెట పర దర శి సతునన
लड का	బా య
अगर तुमहारी वजह से	ఒక వే ళ నేను ఆ వె ర మా ంట దే శ
तुम एक माम ू ली लड के हो	సట ీ రి యో ఉ ప క రణ ాల మ మే పి లలా డి వి
ध ं धा भी करता है .	సె డ బి జి నె స .
मतलब , पता नहीं ,	ఏదో , నాకు తెలియ న టటు ,
तुम एक दम अके ले होते हो .	మీకు దారు ణ మెన ఒ ంట రి త నం ఉంటుంది .
सु पर बद मा श ही एक श बद है , पर उसने कहा ,	అంటే , మ హా వి ల నలు అనే ది స రెన పద ం , కానీ అతను అననా డు ,
कयोंकि हमारे दिमाग के ची थ डे नहीं हुए ,	ఎందుకంటే మన బు ర రలు డా ష బో ర డు ని ండా పడ లేదు , అందు కని .
तुमहारा मतलब , स टा र ला इट ?	అంటే , సటా ర లెట క నా ?
सब जि यों वाला आ म ले ट ?	వె జ జీ ఫ రి టా టా ?
कया कहते हो , न यू य ॉर क टा इ मस ?	నువవు ఏం అనుకుంటుననా వు , న యూ యా రక టె మ సా ?
मैं तो सी ए नए न या ए म ए स ए न बी सी के बारे में	అంటే , నేను సీ ఎ న ఎ న లేదా ఎ ం ఎ స ఎ న బీ సీ అనుకుంటుననా ను , కానీ
मुझे लगता है कि सब अचछा चल रहा है .	సరే , ఇది బాగా జరుగు తుంది .
हम पर नि शा ना नहीं लगा या जा रहा था .	అది మన కోసం ఉద దే శి ంచిన ది .
जि तने भी बि स तर हैं , सभी पर 3 1 तरह का	ఆ మ ంచ ాల లో 3 1 వీ ర యం రు చు లు ఉననాయి , నీ క వి న చచు తా యి .
हम तुमहें देख सकते हैं	మేము నినను చూ సతా ము 1 9 8 0 - 2 0 2 0
कया हो गया ?	అస లే ం జరిగింది ?
वहाँ मेरी कोई अ हम ि य त नहीं .	అకకడ నేను ఏమీ కా ను .
ऐसे उ भर ते सि ता रा थे	అలా ంటి ఎదు గు తునన యు వ తా ర ను
तुम एक ट ू टे हुए रि कार ड से कम नहीं हो .	నువవు అ రిగి పోయి న రి కార డు వి .
फर ें ची , ऐसा कौन कर सकता है ?	ఫ రె ంచ ీ , అది ఎవరు చేయ గల రో నీకు తెలుసా ?
वहाँ पर .	అది గో అకకడ .
सबसे ड रा वना श बद ?	భ యా న క పద ం ? మ హా ఉ గర వా ది
तुम हो कया ?	నువవే నా ?
तो , मैं तुमहें याद दि ला दे ता हूँ .	సరే , మీ కి ది గురతు చేయాలి .
एक बच चा था .	ఒక బి డ డ .
कि ब लै क नो आर ने सु पर आत ंक वा दी	నా కి బ అనే మ హా ఉ గర వా ది ని హ త మార చే కార యానని
हम सब वहाँ गए हैं . मुशकिल है .	మే మ ంద రం అది ఎదు ర కొ ననా ము . అది కష ట తర మెన ది .
हाँ , पर अब पु रा नी बातें याद करके लगता है	అవును , కానీ తిరిగి చూ సు కు ంటే ,
या फिर ह ं गर गे मस वाली	లేదా హం గర గే మస లో ఆమె పే రే ంటి ?
" ए , हो म लै ंड र ,	" హే , హో ం లా ండ ర . . .
और उसने यह भी कहा ,	ఇంకా చెపపా డు ,
हमें इस तरह से हार नहीं मान नी चाहिए .	అంటే , మనం ఆ శ వ దు లు కో కూడదు .
तुम बार - बार यह सब नहीं कर सकते , यार .	నువవు ఇ దంతా కొ న సా గి ంచ లేవు .
अगर कुछ हुआ है तो तुमहें पता है	ఏదెనా జరిగి తే , ననను నమమ వచచ ని నీకు తెలుసు గా .
रॉ बि न के साथ जो हुआ , मैंने वह सुना .	రా బి న కు జరిగింది వి ననాను .
बस यह जान ना है कि द से वे न में शा मिल	సె వెన లో ఉండ ాలని ఎంత బ ల ంగా కో రు కుంటుననా ర నన దే పర శ న .
मैं तुमहारा पिता हूँ .	నేను మీ నా ననను .
कयों ?	ఎందుకు ?
मेरी तरफ देखो .	ననను చూడు .
तुमहें तो पता ही है .	ఇది ఎలా ఉ ంటు ందో నీకు తెలుసు .
अगर उसने वही किसी ह वाई ज हा ज के साथ ,	అత న లా ఒక విమా నా ని కో లేదా బ రూ కలి న వ ంత ె న కో చేసు ంటే ?
देखा ?	చూశా వా ?
यह वह नहीं है .	మేము కాదు .
उन साल ों को ज ला कर खतम कर डाल ते हैं .	మనం ఆ వెధవ లను కాల చే ద దా ము .
तुमहें लगता है कि पा नी में मजा आता है ?	మీకు నీ ళళ లో సర దా గా ఉ ంటు ందా ?
पर मैं बात समझ ा नहीं , सट ै न .	కానీ నాకు విషయం ఏమీ కనిపి ంచ లేదు , సటా న .
नंबर 9 1 1 को फोन कयों नहीं करते ?	9 1 1 కు ఫోన చేయ వచచు కదా ?
और ख ून ख रा बा होगा .	ఇంకా రక త పా తం జరుగు తుంది .
च ौ ंस ठ ड ॉलर में दो ली जिए .	6 4 డ ాల ర లకు రెండు .
च ौ ंस ठ ड ॉलर में दो ली जिए .	6 4 డ ాల ర లకు రెండు .
मुझे समझ में नहीं आ रहा .	నాకు అరథం కాల ేదు .
एक तुम ही थे जिस पर मैं भरो सा कर सकती थी .	నేను నమమ గ లి గి ంది ని నన ొ కకడి నే .
और फ ें ट नि ल की त स करी कर रहे हैं , न कि . . .	ఫె ంట లీ న దొ ంగ లి సతా న ననా రు , కానీ
हाँ , पर इस ने	అవును , కానీ ఇ తను ,
इसे बैठ ा ओ ! इसे यहाँ ला ओ .	అత నని కూ రచ ో బె టటు ! ఇకకడ కు తీసుకు రా .
मैंने सिरफ इतना कहा	మనం ఇకకడ సు ర కషి తం అననా న ంత ే .
अगर यह अभी भी म ुम किन है तो .	నా కి ం కా అవకా శ ము ంటే .
नया य का इतना खू बस ू रत रूप कभी नहीं था .	నయా యం ఇంత బాగా ఎ నన డ ూ లేదు .
से थ रॉ जे न ट रा ंस लू स ें ट को याद करते हैं	సె థ రో గె న ట రా నస లూ సె ంట సమ రణ
ले चलो .	పద వెళ దాం .
हे भगवान . आपने तो ड रा ही दिया .	అబబా . ననను భయ పెటటా వు .
हाँ . बात यह है	అవును . విషయం ఏంట ంటే ,
अजी कि य ल हमेशा यही कहा करता था ,	అవును , ఎపపుడూ ఎ జి కీ ల ,
कैसे दर शन दि ए ?	నా కే ంటి ఇంత స ౌ భా గ యం ?
अचछा , वह सी आई ए वाली म हिला , है ना ?	సరే , ఆ సీ ఐ ఏ ఆమె , సరేనా ?
कयोंकि ऊपर कोई नहीं है .	ఎందుకంటే అకకడ పె న ఏం లేదు కాబటటి .
फ रे ड रिक व ॉ ट के बारे में	ఫ రె డ రిక వా ట గురించి నీ కే ం తెలుసు ?
यह सच में बडा ही दिल च सप ले क चर है ,	నిజంగా మన ో హ ర ంగా ఉండే ది ,
मु ँ ह बंद रख ो , बेवकूफ और त ,	నీ చెతత వా గు డు క టటి పెటటు , పిచచి దా నా ,
उनका का ति ल , वह सन की बु चर पक डा गया ?	ఆమె హ ంత కు డు , ఆ ఉ న మా ది బు చ ర ను ఏమెనా పటటు కో గ లి గా రా ?
तुमसे बहुत पयार है , गु ड िया	ఐ లవ యూ , జె ల లీ బీ న
कोई नहीं .	ఎవరూ తెలియదు .
बात यह है	విషయం ఏంట ంటే ,
तो , हम यह कह रहे हैं	అయితే , సీ ఐ ఏ డి ప యూ టీ డె రె క టర ను
मैंने सि म कार ड तो ड दिया , ठीक है ?	సి మ కార డ మార చా , సరేనా ?
ठ ं डा चाहिए ?	ఫ రె స కా తా గు తా వా ?
अ मरी का की सबसे खू बस ू रत	ఎ ంతో ఆ కర ష ణ ీ య మెన అ మె రి కా క రె ం ఫె టర
तो फिर कया ?	అయితే ఏం చే దదాం ?
- ए नी , हैलो .	- ఆ నీ , హాయ . - హాయ .
इसके हाथ की एक - एक ह ड डी ट ू ट चु की है ,	అతని చే తి లో పరతి ఎ ము క , స గం ప కక ఎ ము కలు వి రిగి పోయా యి ,
गो लिया ँ खतम हो गई ं .	తూ ట ాల ె పోయా యి .
हाँ , यह हुई ना बात .	అవును , ఇది గో .
- भा ड में जाओ , ह यू ई . पागल हो गए हो कया ?	- హ యూ య ీ . నీకు పి చచా ? - ఎ ం ఎ ం .
फिर से शुरू करेंगे .	మళళీ చే ద దా ము .
मैं तो यही मान ना चाहता हूँ	అతను చం ప లే ద నే అనుకో వాల ను ంది , కానీ . . .
तुमहारा और मेरा , हमारा एक जैसा ही हा ल है .	నువ వ ూ నేను ఇది కలిసి చే దదాం .
शायद ता इ वा न या इ ंड िया से था .	బహుశా తె వా న ను ంచ ో , భా ర త దేశం ను ండ ో వచచా డు .
- बडा अचछा किया .	- ఎంత మంచి ఆలోచ న . - కదా ?
अ मरी का के लिए कर ूँगा . . .	అ మె రి కా కోసం . . .
नहीं , मैं ऐसा नहीं चाहता .	లేదు , నా క లా లేదు .
- वह हमारी तरफ है .	- ఆమె మన వెపు ంది . - తెలుసు .
