पलीज . पलीज .	పలీజ . పలీజ .
नहीं , सब ठीक है . गा ओ . ठीक है , तुम गा ओ .	లేదు , కా నివ వ ండి . పా డు కో ండి . సరే , పా డ ండి .
- ठीक है . - वह गलत था .	- సరే . - అదే ం బ ాల ేదు .
- ठीक है . हाँ ? - हाँ .	- అలాగే . సరేనా ? - ప దా .
- मैं मदद करने की कोशिश कर रहा हूँ . - मुझे मदद नहीं चाहिए .	- నేను సహా యం చేయ డానికి పరయతని సతుననా . - నాకు సహా యం అవసరం లేదు .
मुझे उसके बारे में पूरी रि पो रट चाहिए .	నాకు వాడి గురించి పూరతి సమా చా రం కావాలి .
- नहीं , वह बहुत आकर ष क है . - बेहद आकर ष क .	- నిజ మే , వాడు మ హా అంద గా డు . - మ హా అంద గా డు .
एक छो टा सा पत थ र फ ें क ूँ एक बडी न दी में	ఒక పెదద పర వా హ ంలో కి చినన రా యి ని వి సర ాలని
हाँ , मैं उसका आ भा री हूँ , लेकिन कुछ त किया कला म हैं जिन हें मैं आज मा ना चाहता हूँ .	అవును , అలా అనన ందుకు సంతోష ం , కానీ నేను కొనని డె లా గు లు చెపప ాలని అనుకుంటుననా .
दरअसल , नहीं . मुझे कोई कु त ू ह ल नहीं है .	చెపప ాల ంటే లేదు . నాకు నిజంగా ఆ స కతి లేదు .
अभी भी करि समस का समय है . अभी भी समय है .	ఇంకా కరి సమ స అయి పో లేదు . ఇంకా టె మ ఉంది .
एक छो टा सा पत थ र फ ें क ूँ एक बडी न दी में	ఒక పెదద పర వా హ ంలో కి చినన రా యి ని వి సర ాలని
और हर बार उस ी से मैं बद ला व ला ता हूँ .	అలా చేసిన పర తీ సారి , జ నం మా రు తూ వచచా రు .
जैसे हम न शे में हों	మా మధయ అంతా ఆన ంద మే
मैं ट ै म पा में अपनी स हे लि यों के साथ बहुत पार ट ियाँ करती थी .	టా ం ప లో నేను నా ఫ రెండ స తో తా గే సి చాలా ఎ ం జా య చేసే దానిని .
- यह मत करो . मत करो . चलो भी . - पता है ?	- దయచేసి వెళళి పో కు . పలీజ . - ఒకటి చెపప నా ?
ठीक है . . . बस करो .	సరే . . . మాటలాడ కు .
- गु ड आ फ टर न ून ! - हाँ !	- ఇక ఉంటా ను ! - అంతే !
नहीं . सच में नहीं .	లేదు . ఆమె కు తెలీదు .
कया मैं हमेशा ना सु ध र ने वाला र हूँ गा ?	ఎ పపటి కీ వి మో చ న లే కుండా నే మి గి లి పో తా నా ?
ड रा इ वर ! यह जिंदगी और मौ त का सवाल है .	డ రె వర ! ఒక మనిషి పరా ణ ాలు పో యే లా ఉననాయి .
ठीक है . खैर , कया तुमने सोचा कि कया दा ँ व पर लगा है ? वह ना सु ध र पा ने वाला है !	సరే . మరి దీ నికి ఉండే పర య వ సా నా ల గురించి ఆలోచి ంచా వా ? వాడిని వి మో చి ంచ లే ము !
- जाने का समय हो गया . - वह एक बच चा है . छ ठ ी कला स में है .	- ఇక నేను వెళళ ాలి . - వాడు చినన కు ర రా డు . ఆర వ తర గ తి కు ర రా డు .
- मैं व रत मान के करि समस का भ ूत हूँ . - तुम कया कर रहे हो ?	- నేను ది ఘ ో సట ఆ ఫ కరి సమ స పర జె ంట ని . - నువవు ఏం చేసతుననా వు ?
बात यह है कि यह बस एक अ लौ कि क ना ट क था .	చూ సా రా , ఇది కేవలం ఒక అత ీ ంద రి య కల ప న .
लेकिन दो साल पहले , उसने टि कट ॉ क पर यह पो सट करके तु र ंत डि ली ट कर दिया था .	కానీ , రెండ ే ళల కరి తం , వాడు ఈ వీ డి యో ని టి క టా క లో పో సట చేసి వెంట నే తీ సే సా డు .
कयोंकि तुम अपनी माँ की तरह अचछी हो .	ఎందుకంటే నువవు మీ అమమ లా గే మంచి దాని వి .
- आ जाओ , ग ले मि लो . चलो . - अं कल क लि ंट !	- ఇలా రా , ప దా . దగగర కు రా . - అ ం కు ల కలి ంట !
ल हर , कया तुम बना ना चाहते हो एक ल हर ?	మార పు , నీకు మార పు తీసుకు రా వాలని ఉందా ?
- म ॉ म ने कहा हम आज रात एक तो ह फा खो ल सकते हैं . - बढिया .	- రాత రికి మనం బహు మ తులు తె ర వ వచచు అని అమమ చెపపి ంది . - సూ పర .
तुम आ सा नी से जी त सकती हो , लेकिन उसके लिए तुमहें कुछ बु रे काम करने पड ेंगे .	నువవు ఆ పో టీ లో గె లవ గల వు , కా కపోతే కా సత అ నె తి కంగా న డు చు కో వాల సి ఉంటుంది .
और दूसरे बचचे को चो ट पहुँ चा ने को कह रहे हो . और वह तुमहारी बात सुन रही है .	అలాగే ఇం కొ క కు ర రా డి భ విష యత పా డు చేయ మ ననా వు . అది నువవు అనన టటే చే సతుంది .
- हो भी गया ? - हाँ .	- అ పపుడే నా ? - అవును .
हाँ . लेकिन कया आप जिंदगी का एक और अ व सर नहीं चाहते हैं ?	అలాగే . కానీ మీకు మర ొక సారి పరా ణ ాల తో జీవి ంచ ాలని లేదా ?
बडा को ने वाला ऑ फि स बा रह लोगों की टी म	పెదద కార న ర ఆ ఫీ సు 1 2 మంది ఉనన బ ృ ంద ం
मैं वह बं दा हूँ जि से तुम लोग सता ओ गे ?	నన నే పీ డి ంచ ాలని ఎందుకు అను కుననా రు ?
हैलो , मि सटर ब रि ग स .	హలో , మిసటర బ రి గ స .
मतलब , रुको . नहीं .	అంటే , కాదు . ఆ గ ండి .
नहीं , मैं तुमहें आँ क नहीं रहा हूँ .	లేదు , నేనే ం నినను హ ీ న ంగా చూడ డం లేదు .
हैलो , मि सटर ब रि ग स .	హలో , మిసటర బ రి గ స .
मेरी करि समस , डै न .	మె ర రీ కరి సమ స , డా న .
क लि ंट , मत करो . उसके वापस आने से पहले मेरी बात सुनो .	కలి ంట , ఇపపుడు కాదు . అమమాయి వచచే లో పు నేను చెపపే ది వి ను .
यह पे शा ब जै सी है .	ఇది దారు ణ ంగా ఉంది .
सिरफ क लि ंट , है ना ?	కలి ంట ఒ కకడ ే , కదా ?
एक सी मा है जि से ला ँ घ नहीं सकते और पता है ? वह यही है	దే ని కె నా ఒక హ దదు ఉంటుంది నా కె తే ఇదే ఆ హ దదు అనిపి సతుంది
हमें पकका यकीन है .	క చచితంగా చెపప గల ం .
नहीं , नहीं , नहीं , नहीं , नहीं . तुम एक भ ूत हो . चलो चल ें .	లేదు , లేదు , లేదు , లేదు . నువవు భ ూ తా ని వి . వెళ దాం ప దా .
थोडी श रा फ त बाकी है	కొ ంత మంచి ఉంటుంది
लेकिन अगर तुम रा स ते से भ ट क भी जाओ तुमहें खो या हुआ रह ने की जरूरत नहीं है	కానీ నువవు నీ మా రగ ం తపప ి నా కూడా అదే త పపుడు దా రి లో ఉండ ాల సిన పని లేదు
हाँ , मैंने फि ल में देख ी है . मैं जानता हूँ कया करना है .	అవును , నేను సి ని మ ాల లో చూ సా . ఏం చేయ ాలో నాకు తెలుసు .
रि सर च वाली मार जी से क हो नै ति क ता के साथ एक बैठ क त य करे	రీ సె రచ బ ృ ంద ంలో ఉనన మార జి తో పర ధా న మ ంత రి గా రి విషయ మె
देखो इसकी ल हर ें कितनी दूर तक जाएँ गी	పర భా వం ఎంత మంది పె పడు తు ందో చూడ ండి
देखो इसकी ल हर ें कितनी दूर तक जाएँ गी	పర భా వం ఎంత మంది పె పడు తు ందో చూడ ండి
खैर . ह ँ सा ने के लिए शुकरिया , रो बर टो .	సరే . నవ వి ంచిన ందుకు థాంక స , రో బర టో .
और मैं समझ ता हूँ यह गर व की बात है	అది గర వి ంచ దగ గ విషయం అని నాకు తెలుసు
- थोडी अचछा ई फै ला ओ - थोडी अचछा ई फै ला ओ	- కొంచెం మంచి చె య - కొంచెం మంచి చె య
और यही वह पल है जिस के लिए हमने पू रे साल मे ह न त की है .	మనం ఈ ఏ డా ది అంతా కష ట పడి పని చేసి ంది ఈ తరు ణం కో స మే .
लेकिन कोई यह नहीं बता ता कि कितना कुछ खो ना पड सकता है	కానీ అ ందుకు ఎంత త యా గం చేయ ాల సి ఉ ంటు ందో ఎవరూ చెపప రు
देख रही हूँ तुम इसे दोबारा ला ए हो . बहुत सु ंदर है .	అలాగే నువవు నీ బంగా రా నని కూడా తీసు కొ చచా వు . భలే ఉంది .
तो तुमने कुछ गलत नहीं किया बहुत , बहुत लं बे समय से	అంటే నువవు చాలా ఏ ళల నుండి ఎలా ంటి తపపు చేయ లేదు అనన మాట
जे कब , मैं बता रहा हूँ . वह अब तक का सबसे बडा भ ूत िया कार ना मा हो सकता है . बेहद पर भा व शा ली .	జే క బ , చెప తుననాను కదా . మనం పీ డి ంచిన అ తి గొపప కేసు వా డే కా గల డు . పెదద పర భా వం ఉంటుంది .
ये करि समस ट री वाले सम मे ल न करता यहाँ आने के लिए ऊँ चे दा म दे ते हैं ,	కరి సమ స చె టల పె సం భా ష ణ జర ప డానికి వచచి న వీ రు మీ లాంటి వెధవ లను చూడ కుండా ,
मैं कि म बर ली हूँ .	నా పేరు కి మ బె ర లి .
तुम गा ते रहो , मैं ख डा हो जाता हूँ .	నువవు పా డు తూ ఉ ండు , నేను ని ల బడ తా .
मैं बस . . . अगर तुमहें ऐ त राज ना हो . . . कया मैं जलदी से न हा ल ूँ ?	ఒక పని . . . మీరు ఏం అనుకో ను అంటే . . . నేను కొంచెం స నా నం చేసి రా వచచా ?
और मैं . . . हे भगवान , मुझसे और बर दा श त नहीं होता .	ఇక నాకు . . . ఓ రి , దేవుడా , నీ తో వే గే ఓ పి క నాకు లేదు .
ओह , चलो भी , यार .	ఓహ , ఊ రు కో , వెధ వా .
- मुझे तुम पर गर व है , बेटा . - अ ह - ह ँ .	- చాలా గర వ ంగా ఉంది , బా బు . - ఆ హ - హా .
हाँ , वह अचछा है .	అవును , వాడు అంతే .
उन लोगों का कया ?	ఆ జ నం సంగ తి ఏంటి ?
ना सु ध र पा ने वाला	వి మో చ న లే కుండా నే
- सब लोग मुझे देख सकते हैं . - हाँ .	- నేను అంద రికీ కనిపి సతుననా . - అవును .
कया मतलब है तुमहारा ? तुम पहले तो अचछा कर रहे थे .	ఏం మాటలాడు తుననావు ? నువవు మొ నన బాగానే మాటలా డా వు కదా .
लेकिन फिर जब मुझे पता चला कि तुम ना सु ध र पा ने वाले थे , मेरी तरह ,	కానీ తరవాత అనిపి ంచింది , " నీ లాంటి వి మో చ న శ క యం కానీ వాడిని మా రచ గ లి గి తే ,
अरे , तुम कै सी हो ?	హేయ , ఎలా ఉననావు ?
हम यह बहुत लं बे समय से करते आ रहे हैं , मि सटर ब रि ग स .	మేము ఈ పని ని చాలా ఏ ళలు గా చేసతుననా ం , మిసటర బ రి గ స .
- समझ गया , क पता न . - चलो जलदी करें .	- అలాగే , కె ప టె న . - తవర గా పని చేయ ండి .
मैंने अपने कि कर का साम ना किया . अब तुमहारी बा री है .	నాకు కష ట మెన దానిని ఎదు ర కొ ననాను . ఇపపుడు నీ వం తు .
यहाँ गा ना - ब जाना होना चाहिए . यह बडा कला इ मै कस है .	ఈ పా టి కి పా టలు మొద లు కావాలి . పెదద కల యి మా కస జరగ ాలి .
अचछे और बु रे के बीच की रे खा इतनी साफ भी नहीं है	మంచి చె డు ల మధయ వయ త యా సా నని అంత సు ల భ ంగా తెలుసు కో లే ము
यह ख री सी ख कि लोग किसी भी चीज पर विश वास कर ल ेंगे अगर वे विश वास करना चाहते हैं .	జ నం నమమ ాలి అను కు ంటే ఎలా ంటి విష యానని అయి నా నమ ము తారు అనే గొపప విషయం తెలి సే లా చేసి ంది .
यकीन कीजिए , सी ने टर . पो सट कीजिए .	ననను నమమ ండి , సె నె టర . పో సట చేయ ండి .
हाँ . का श वह मुझ में शा मिल होता .	సర లే . అదే నిజం అయ యు ంటే బాగు ండ ే ది .
अरे . यहाँ आओ . बैठ ो . बैठ ो , पलीज .	హేయ . ఇలా రా . కూ రచ ో . దయచేసి కూ రచ ో .
कया ? कया यह तुमहें देख सकती है ?	ఏంటి ? ఈ వి డ కి నువవు కనిపి సతుననా వా ?
- क माल का ए ह सा स था . - बडी बात होगी .	- ఆ భా వ న అత ీ త మెంది . - గొపప పని లా .
- नहीं . रुको ! - यार ! सब . . . कया ?	- లేదు . ఆ పు ! - బా బు ! ఇది . . . ఏంటి ?
- क लि ंट . - मुझे रे न से बात करनी है .	- కలి ంట . - నేను రెన తో మాటలాడ ాలి .
यह कयों नहीं हो रहा है ? चलो भी .	అది ఇంకా ఎందుకు జరగ డం లేదు ? అబబా .
मैं हमेशा भूल जाता हूँ . माफ करना .	నేను అ సత మా ను మర చి పో తుననా . సారి .
खैर , तुम वा कई पहले से जयादा ऊ र जा वा न लग रही हो .	సరే , నువవు చూడ టానికి బాగా ఉ త సా హ ంగా ఉనన టటు ఉననావు .
खैर , तुम वा कई पहले से जयादा ऊ र जा वा न लग रही हो .	సరే , నువవు చూడ టానికి బాగా ఉ త సా హ ంగా ఉనన టటు ఉననావు .
लेकिन , मैं बस सोच रहा हूँ . . . मेरी बात सुनो .	కానీ , నా స ందే హం ఏంట ంటే . . . నేను చెపపే ది విన ండి .
बेह तरी न भ ु ने हुए गो श त , म रा या कै री के गा नों की	రు చి కర మెన వి ందు ల గురించి , మర యా కే రి పా టల గురించి
- तुमहें याद है ? - हाँ . हाँ , मुझे याद है . मैं . . .	- గురతు ందా ? - అవును . అవును , గుర తుంది . నేను . . .
मतलब , मुझे लगता है वह थोडा अजीब होगा . वह मुझे वा कई पसंद करता है .	అంటే , నాకు అకకడ ఇ బబంది గా ఉంటుంది . వాడి కి నేను బాగా న చ చేసా ను .
एक भ ूत रि टा यर हो कर कहाँ जाता है ?	ఒక భ ూ తం రి టె ర అయి ఏం చే సతుంది ?
लेकिन कया मैं का बू पा सकता हूँ	కానీ నేను తపప ి ంచు కొ ని తి రుగు తునన
- माफ करना ! - अरे !	- కషమించు ! - హేయ !
तुमने कया किया ?	నువవు ఏం చేసా వు ?
थोडी अचछा ई फै ला ओ	కొంచెం మంచి చె య
थोडी अचछा ई फै ला ओ	కొంచెం మంచి చె య
थोडी अचछा ई फै ला ओ	కొంచెం మంచి చె య
थोडी अचछा ई फै ला ओ	కొంచెం మంచి చె య
ठीक है , मैं समझ ता हूँ . लेकिन यह अ ंत बकवास है .	సరే , నాకు అరథం అయి ంది . కానీ ఈ ము గి ంపు ఏం బ ాల ేదు .
मैं जलदी आ ऊँगा .	తవర గా వచచే సత ాల ే .
कया तुम इसकी ग ूँ ज सुन सकते हो ?	ఆ మార పు చేసే శ బ దానని వి ంటుననా రా ?
इसकी ल हर ें कितनी दूर तक जाएँ गी	ఈ మార పు ఎంత దూ రం వెళల గల దో చూడ ాలి
- यह एक तरह से मेरे काम में शा मिल है . - तुम यहाँ काम करते हो ?	- నా వ ృ తతి రీ త యా అలా చేయ ాల సి ఉంటుంది . - నువవు ఇకకడ పని చే సతు ంటా వా ?
बहुत लं बे समय के बाद किसी ने मेरे साथ से कस करने की कोशिश की है .	కానీ ఒక డు ననను ఇష ట పడి చాలా కాల ం కా వ డ ంతో నేను ఏం చేయ లేక పోయా .
तुमने अपने भाई से कहा तुम उससे पयार करते हो .	నువవు మీ తమ ము డి కి తన ను పరే మి సతుననా అని చెపపా వు .
इसी लिए अपनी बरा उ जर की हि सट री साफ कर दे नी चाहिए .	అందుకే మనం క చచితంగా బ రో జర హి సట రీ ని తీ సే య ాలి .
देखो , हो सकता है मैं तुमहें बहुत जलदी तुमहारे कि कर में ले गया ,	చూడు , నీ కీ ల క జ ఞ ా ప క ంలో కి నేను నినను బ లవ ంత ంగా తో సి ఉండ ొ చచు ,
- अगर हि म मत करो - अगर हि म मत करो	- ము ంద డుగు వే సతే - ము ంద డుగు వే సతే
तुमने . . . तुमने कया . . . देखा ?	ఏం . . . నువవు ఏం . . . చూ సా వు ?
शायद तुमहें मे ह न त करनी पड ती है , कभी उसके बारे में सोचा है ?	బహుశా నువవు ఇంకా కష ట పడి పని చేయ ాల ే మో , అలా ఎపపుడ ెనా ఆలోచి ంచా వా ?
नहीं . रुको . नहीं . रुको , नहीं .	లేదు . ఆ గ ండి . లేదు . ఆ గ ండి , వదదు .
सब लोग यहाँ ख डे हुए कयों हैं ?	అందరూ అలా ఎందుకు ని ల బడి ఉననారు ?
मुझे अचछा लगे गा अगर तुम आओ गे .	నువవు వ సతే నేను చాలా సంతో షి సతా .
अगर हम बना ना चाहते हैं एक ल हर	మనం మార పు తీసుకు రా వాలి అను కు ంటే
- मुझे पकका यकीन है वह छो टा लै री था . खैर . . . - पकका यकीन है टा इ नी टि म था .	- అది లి టి ల ల యా రీ అని నాకు తెలుసు . ఏద ె తే నే ం . . . - క చచితంగా వాడి పేరు టె ని టి మ .
. . . इं सा निय त के लिए जयादा स का रात म क शक ति में .	. . . మా న వాళ ి కి అత నని మంచి గా మార చి ఇవ వాలని .
लेकिन तुमने उसका साम ना किया और उसके लिए हि म मत चाहिए थी और मुझे तुम पर गर व है . यहाँ आओ .	కానీ నువవు దీని ని ఎదు ర కొ ననా వు , ఇ ందుకు చాలా ధ ె ర యం కావాలి , నినను చూ సతు ంటే గర వ ంగా ఉంది . ఇలా రా .
ठीक है . देखो , तुम यहाँ हो , तुम एक इंसान हो .	సరే . చూడు , నువవు ఇకకడ ే ఉననావు , ఇపపుడు మనిషి వి .
हम में वह करि समस की सु बह वाली भा वना भ री हुई है	మ ాలో ఆ కరి సమ స రోజు సంతోష ంతో ని ండి పోయి ఉననా ం
आपने कया किया ?	మీరు ఏం చేశారు ?
दु ख द है , है ना ?	వి చా రక రం , కదా ?
कया आप वह नहीं कह ने वाले थे ?	నువవు చెపప ాలను కునన ది అది కా దా ?
कि लोग कभी नहीं बदल ते हैं . "	వాడిని వి మో చి ంచ లే ం అని అననా రు .
जैसे कि हमारे पास पहले से ही	పర సతు తం కరి సమ స భ ో జ నా ల పె ఏ ర పడి న
अचछा . हाँ , ठीक है . लेकिन , अरे , कया तुम वह कर सकते हो ? मेरी पा ली ले सकते हो ?	సరే . అలాగే , సరే . కానీ , హేయ , ఆ పని నువవు చేయ గల వా ? నా పని నువవు చేసతా వా ?
अब से एक साल बाद , यह तुम सब के फोन पर होगा .	ఇం కొ క ఏ డా ది లో మీ అంద రి ఫోన లలో ఈ యా ప ఉంటుంది .
- हाँ . - कया तुम यही सोच ते हो ?	- అవును . - నీకు అలా అనిపి సతు ందా ?
तुम किस चीज से इतना डर ते हो ?	నువవు ఎందుకు అంత భయ పడు తుననావు ?
तब मैं वा कई खुश ियाँ मना ऊँगा .	అపపుడు నేను ప ండు గ చేసు కుంటా ను .
हाँ , वे तुमहारे बारे में चु ग लिया ँ कर रहे हैं .	అవును , నీ గురించి చెతత వా గు డు వా గు తుననారు .
ठीक है . बस करो .	సరే . మాటలాడ కు .
- या मैं बस पयार करने ला य क नहीं हूँ ? - पयार करने ला य क नहीं	- లేదా పరే మ కు నో చు కో కుండా ఉంటా నా ? - పరే మ కు నో చు కో కుండా ఉంటా నా ?
तुमहारे क पडे मेरे लिए बहुत क से हुए हैं . मुझे अजीब लग रहा है .	నీ బ టట లు నాకు బాగా టె ట అయి పోయా యి . నేను వె ర రో డి లా ఉననాను .
इस करि समस तुम तो गए , ना ला य क !	నినను కరి సమ స ఫ ూ ల చేశా ం , వెధ వా !
और फिर वह हो जाएगा चार से आ ठ	ఆ నలు గు రు ఎ నిమి ది మంది అవు తారు
- सी पी ए म 1 6 3 कया है ? - नहीं , मैं जानता हूँ यह अ सा धा रण है .	- సి పి ఎ ం - 1 6 3 అంటే ఏంటి ? - లేదు , ఇది అ సా ధా రణ ం అని నాకు తెలుసు .
" जिंदगी और मौ त " ? मुझे लगा तुमने कहा था कोई बडी बात नहीं है .	" పరా ణ ాలు పో యే లా ఉననా యా " ? పెదద విషయం ఏం కాదు అననా వు కదా .
लेकिन अगर तुम सही काम करने की कोशिश करो तुम सही रा स ते पर हो	కానీ నువవు చేయ ాల సిన పని ని చే సతే స రెన దా రి లోనే ని ల బడ తా వు
खुश होने के लिए वह जा दु ई मि जा ज है बेहद जरू री	సంతోష ంగా గ డి పే అను భ వం మాకు తపప ని సరి అవసరం
तो , पता है , उसके साथ जयादा क ठ ो र ता मत दिखा ना .	కాబటటి , వాడి మీద మ రీ అంత క ఠ ి న ంగా ఉండ క ండి .
और शायद मैं देख ल ूँ कि मैं हमेशा नहीं र हूँ गा	బహుశా నేను ఎ పపటి కీ ఇలా గే ఉ ండి పో నని చూడ ాలి
- कया यह बन गया ? - लेकिन मैं इसे बना नहीं सकता	- పని పూరతి అయి ందా ? - మీరు ఆ స క రూ లను గ డ డి లో
ज ॉ . . . सुन ने में लगता है वह ,	జో . . . వాడి పేరు వి ంటు ంటే ,
अरे , एक मिनट रुको , क लि ंट . . .	హేయ , ఒకక నిమిష ం , కలి ంట . . .
अपनी ना राज गी को रो क कर रख ो , कयोंकि यह और बुरा होने वाला है .	కా సత నీ ఆ గర హా నని ఆ పు కో , నేను చెపపే ది ఇంకా పూరతి కాల ేదు .
पो सट ना करे जब तक वह बे घर ों के आ शर य से पो सट ना डाल दे . . .	వెళలి వచచే వర కు ఆ వీ డి యో ని పో సట చేయ ొ దదు అని చెపపు . . .
आपने मेरे लिए एक पि ल ला ख री दा ?	నా కోసం కు కక పిలల ని తె చచా వా ?
गु ड आ फ टर न ून हमारी मन पसंद गा ली	ఇక ఉంటా ను మాకు ఇష ట మెన తి టటు
- म जे कीजिए . - शुकरिया , बेटा .	- ఎ ం జా య చేయ ండి . - థాంక స , బు జ జి .
अरे , तुमने सही फै सला लिया है .	హేయ , నువవు స రెన ప నే చేసా వు .
- मेरी करि समस . - मेरी करि समस .	- మె ర రీ కరి సమ స . - మె ర రీ కరి సమ స .
- उसने तुमहें बदल दिया ? - नहीं !	- అది నినను మార చి ందా ? - లేదు !
मुझे लगा जब फै स ले की घ डी आए गी	కీ ల క మెన స ంద ర భ ాలు వచచి నపపుడు
- हाँ . अचछा . ठीक है . - बढिया .	- సరే . అలాగే . చే దదాం . - మంచిది .
उस सब क ने मुझे इतना अ मी र बना दिया कि मैं ला ख ों पि ल ले ख री द सकता हूँ .	ఆ ఒకక పా ఠ ం , కొనని లకష ల కు కక పిలల లు కొ ను కకు నే ంత ధన వం తు డి గా ననను మార చి ంది .
मैं जानता हूँ वह का टा हुआ द ृ श य है . मैं ऑ डियो माँ ग रहा हूँ . ठीक है , बॉ नी ?	ఆ సీ న తీ సే సా వని నాకు తెలుసు . మాట ల రి కార డి ంగ ఉననా చ ాలు . సరేనా , బా ని ?
उन न ति के लिए जब मैं बढ ूँगी 3 9 व ें फ लो र की ओर	జీ తం లో పె ంపు కోసం 3 9 వ ఫ లో రు లో సతా నం కోసం
ठीक है , टी म , मे क अप जा ँच लो . मैं जा रही हूँ .	సరే , టీ మ , సిదధ ం అవ వ ండి . నేను వెళ తుననాను .
मुझे पता नहीं . मैं नहीं चाहता लोग यह सोच ें कि मैं यह बस चु ना व जी तने के लिए कर रहा हूँ .	ఏ మో . ఈ పని ని నేను కేవలం ఎ లె కష న లో గె ల వడానికి మాతరమే చేసతుననా అని జ నం అనుకో కూడదు .
लेकिन मेरे खया ल से इसे पो सट करना ठीक रहे गा .	కానీ ఇది పో సట చేసి నా పర లేదు అనిపి సతుంది .
या मैं यहाँ से जा सकती हूँ और सिर उठा कर नौ करी छोड द ूँ	లేదా ఈ తలు పు గు ండా వెళలి ధి కక రి సతూ నా ఉద యో గా నని మా నే య గలను
मैं खि ड की से बाहर देख ूँगा और मुझे स ड क के पार अपना पड ो सी , ड ग दिखा ई दे गा ,	ఆ పె నుండి నేను కి టి కీ ద వా రా నా ప కకి ంటి వయకతి డ గ , తన న కి లీ చె టటు ని
कोई भी क बर की तरफ उ ँ ग ली दिखा सकता है . सब मुझसे स हम त हैं .	బె ది రి ంచడం గొపప విషయం కాదు . ఆ మాట అందరూ ఒ పపు కుంటా రు .
जयादा द या ल ु , एक नया इंसान ?	మంచి వాడి గా , ఒక న ూ తన వయకతి గా
देखो , यह एक जाना - मा ना त थ य है	చూడ ండి , ఒక వయకతి య ొ కక మంచి
भूल जाओ . यह इस ला य क नहीं है .	వదిలే య . నీ తో వే గ డం అన వ సరం .
तुम यहाँ कया कर रहे थे ? वह तुमसे कैसे बात कर रही थी ?	ఈ సీ న లో నువవు ఏం చేసతుననా వు ? ఆమె నీ తో ఎలా మాటలాడు తుంది ?
वह बहुत अचछी बात होगी , बेटा .	అది చాలా మంచి పని , బంగా రం .
- क लि ंट ? - हाँ ?	- కలి ంట ? - ఏంటి ?
स कर ू ज और मार ली	స క రూ జ & మార లె
बस आने दो . . .	చెపపే సే య . . .
कयोंकि यह सप ना	ఎందుకంటే ఈ కల
यह देख ने में बहुत म जे दार है .	చూడ డానికి భలే సర దా గా ఉంది .
देखो , यह . . .	చూడు , ఇది . . .
वह बहुत अचछी बात होगी , बेटा .	అది చాలా మంచి పని , బంగా రం .
ना सु ध र ने ला य क	వి మో చ న దొ ర కదా
माफ करना , लेकिन कया तुम . . .	కషమి ంచాలి , కానీ నువవు . . .
लेकिन कया रे न ने वी डियो पो सट किया या नहीं ?	ఇంత కీ రెన ఆ వీ డి యో ని పో సట చేసి ందా లేదా ?
खैर , अब तुमहारे पास एक है .	సరే , ఇపపుడు నేను ఉననాను కదా .
आप हो सकते हो आ लो च क और पा पी जो सिरफ खा मि या ँ देख ता है	నువవు అంద రి లో లోప ాలను మాతరమే చూ సే పా పా త ము డి వి అయ యు ండ ొ చచు
कृ त रि म श व सन व ग ै रह कुछ करो गे ? वे बस ख डे हुए कयों हैं ?	ఎవరూ క నీ సం సి పి ఆర కూడా చేయ రే ం ? అలా ఎందుకు ని ల బడి ఉననారు ?
- पलीज . - बढिया .	- పలీజ . - సూ పర .
लेकिन तुमहें बैठ कर गु ससा करने की जरूरत नहीं है बस अपने अंदर के स कर ू ज को बाहर आने दो	కానీ నువవు అలా వి చా ర ంగా ఉండ ాల సిన పని లేదు నీ లో ఉనన నీ అసలు గు ణ ా నని వె లి కి తీ యి
मैं व रत मान के करि समस का भ ूत हूँ . मैं बर ै ड पि ट नहीं हूँ .	నేను ది ఘ ో సట ఆ ఫ కరి సమ స పర జె ంట ని . బ రా డ పి ట ని కా ను .
कोई बात नहीं . हम सब को कभी - कभी बे कार आई ड िया आ ते हैं .	ఏం పర లేదు . నాకు కూడా అ పపుడ పపుడ ూ చెతత ఐ డి య ాలు వ సతు ంటా యి .
प तनी और बच चों वाली कहानी जो साफ त ौर पर तुमहें चाहिए	భా ర యా పిలల లతో సా గి పో యే నీ క థ నువవు కావాల ను కునే ఆ జీవితం
मुझे कोई मार मि क भा वना मिल ही नहीं रही जि से हम पक ड सक ें .	మనం ఆ స రా గా తీసుకో వడానికి స రెన హ ృ దయ తీ గ దొ రక డం లేదు .
मेरे पास बस एक चीज है जो तुमहें वा कई . . .	నేను అడ గ ాలను కు ంటు నన ఒక విషయం ఉంది . . .
हमने इन पै ं तर ों के बारे में बात की है .	మనం ఇలా ంటి ఎ తతు గ డ ల గురించి మాటలాడు కుననా ం .
सुनो . . . वह सच होने की जरूरत नहीं है .	ఇలా చూడు . . . ఇది నిజం కావాల సిన పని లేదు .
- लेकिन तुमहारे लिए , मैं औ सत पसंद कर ूँगा . - इसके नंबर कभी कम नहीं . . .	- కానీ నీకు సి లు వ సతే మంచిది . - దీ నికి ఎపపుడూ అంత చెతత మార కు . . .
तुम इसे स ंदर भ से बाहर ले जा रहे हो . रुको , देखो आगे कया होता है .	నువవు విషయం తెలియ కుండా అలా అ ంటుననా వు . ఆగు , తరవాత ఏం జరుగు తు ందో చూడు .
मतलब , वह बस एक बच चा है . . .	అంటే , వాడు చినన కు ర ర . . .
