लूसी .	లూ సీ .
तब हम ह ॉ ट ट ब में पार टी कर सकते हैं . कया खया ल है ?	మనం హా ట ట బ లో పార టీ చేసుకో వచచు . మీరు ఏమ ంటా రు ?
हमें यहाँ समय बर बाद नहीं करना चाहिए .	మనం ఇకకడ కింద సమయం వ ృ ధా చేయ కూడదు .
इसलिए हमने कुछ लोगों को लिया और उनहें एक घर दिया	అందుకే , వాళ లలో మా వం తు తీసుకు ని ఇ లలు ఇ చచా ము ,
सो रे ल बु कर .	స ొ ర రే ల బు కర .
शा म चार ब जे	సా . 4 గంట లు .
नहीं , टा इट स .	వదదు , టె ట స .
कू प , कभी तो लगता है तुम प ृ थ वी पर नहीं रह ते .	అసలు కొనని సా రలు ఏ గర హం పె ఉననా వో అరథం కాదు , కూ ప .
र ै प पार टी होने वाली है .	ఓ ము గి ంపు పార టీ ఉంది .
वह अजीब बात हो सकती है .	ఆ వి ంత విషయం జరగ వచచు .
{ \ an8 } शे डी सै ंड स का पत न	{ \ an8 } ష ే డీ శా ండ స ప త నం
उसे " सि ला ई " कहते हैं .	దానిని " కు టట డం " అంటా రు .
अगर हम तुमहारे घर आए , तो हम भी यही क हें गे .	మీ ఇంటికి మేము వచచి నా , మే మూ అదే ఖ ా య ంగా అంటా ము .
रे ड ज मी न खो रहे हैं सु दूर पू र व में और सै निक भे जे गए	పరా ంత ం కో ల పో తునన రె డ లు సు ద ూర త ూర పు న మరి నని ద ళ ాల మొ హ రి ంపు
ठीक है . कुछ घं टे वहाँ जाएँगे . कुछ लोगों से मिल ेंगे . . .	అలాగే . కొనని గంట లు వెళ దాం . కర చ ాల నాలు కలు పు దాం . . .
बॉ नी ल ु ई स ?	బో నీ లూ యి స ?
जैसे कोई म हा मा री हो .	రా డి కలి జ ం వయా పి సతోంది .
वह कुछ भी ख री द ले गी .	ఓ ట రి లి యన డ ాల ర కం పె నీ .
- मुझे बस . . . - अ ल वि दा , ग ू सी .	- తెలియ ాలని . . . - వీ డ కో లు , గ ూ సీ .
यहाँ की जिंदगी कै सी लग रही है ?	ఇకకడ కింద జీవి తా నికి సర దు కుననా మా ?
पर यह जरूर सुना है कि मो ल डे वर नाम की कोई	నేను వి పర ీ తంగా వి ంటు నన ద లలా ఎవరో మో ల డో వ రే అనే
देख ें काम बन ता है कया .	సరే , నేను ంటే చూ దదాం .
अचछा लगा तुम ठीक हो .	నువవు బాగు ండ డం సంతోష ం .
थो डे निय म - का य दे , धयान में रख ने की बातें	ఇంటి ప ను లు , కొనని విషయ ాల పె జా గర తత గా ఉండ ండి ,
दोसत , भ वि ष य तो पर ो ड कट में है .	భ విష యత తు అంటే , మి తర మా , ఉ త ప తతు లే .
{ \ an8 } सवागत है ? बर डी और वॉल ट चार के तुमहारे दोसत	{ \ an8 } ఇంటికి సవా గ తం ? బి ర డీ , మరియు వాల ట 4 లో మీ మి తరు లు
मैं जि ंदा तो नहीं हूँ , तो तुम जैसे कमी नों के साथ	నీ లాంటి స ననా సు లతో తెలి వి లేని సం భా ష ణ లు చేయ డానికి మా తరం
हाँ , से ट पर गया था .	హా , సె ట లో కనిపి ంచారు .
जो पार टी में प ॉ के ट पर ो टे क टर पह न ते हैं .	పా కె ట పర ొ టె క టర లను ధ రి ంచే వారు న డి చే పరపంచ ం .
कैसा दिमाग है उनका ?	అసలు వాళల ఆలోచ న ఏంటి ?
शो बि ज छोड ने की बात .	ష ో బి జి నె స మా నే య ాలని .
अ ला स का राज य की ल डा ई कम यु नि सट ों से लग भ ग हार गए थे तब टी - 4 5 पह ना था .	గొపప అలా స కా రా షట రా నని క మ యూ ని సట ు లకు దా దా పు గా కో ల పోయి నపపుడు టీ - 4 5 ధ రి ంచా ను .
फिर एक बार अस ली का ऊ बॉ य बन जा ऊँ .	మళలీ నిజ మెన క ౌ బా య లా మార వచచు .
और वॉल ट - टे क नि जी कं प नी है जिस का	వాల ట టె క ఓ పర ె వే ట కార పొ రే షన ,
अगर तुमहें और सब ूत चाहिए हो ,	ఇక , నీకు మరి ంత సా కష యం కావాల ంటే ,
{ \ an8 } कयोंकि अगर कल कोई बु री घट ना हुई	{ \ an8 } ఎందుకంటే రే పు ఏదెనా దారు ణం జరిగి తే ,
- मुझे पता है . - हर दिन डा क देख ती थी .	- ఉననా వని తెలుసు . - పరతి రో జ ూ మె యి ల చూశా .
तो मेरे न ज दी की लोग , या नी तुम और जे नी ,	నేను పరే మి ంచిన మను ష ు ల కోసం ఏదెనా చేసతాను ,
कया शान दार जगह है .	ఇది భలే అంద ంగా ఉంది .
वह है समय .	అది సమయం .
यह वही है .	అది ఆ య నే .
सुनो , ह ॉ ली व ु ड में कट टर वाद ऐसे फै ल रहा है	చెబు తుననా , హ ాల ీ వు డ లో చ పప టలు కొ టట డం లా
मैं , बार थ - बार थो लो म यू कॉ ग स वर थ , से वा में हमेशा त त पर हूँ .	నేను , బా ర త - బా ర తో లో మ యూ కా డ స వర త , మీకు సే వ చేయ డానికి స దా సిదధ ం .
नहीं , मैं ठीक हूँ .	లేదు , బాగానే ఉననాను .
डॉ क टर की बात मान ो .	డా క టర మాట వి ననా వు గా .
ये लोग हमें य हां फ ं सा रहे हैं .	ఇకకడ బ ంది ంచ ాలని చూ సతుననారు .
आप से मिल कर अचछा लगा .	మీ రా క మాకు ఆన ంద ం .
माफ करना .	మన ని ంచాలి .
पर वॉल ट - टे क मेरे बिना भी ब ने गा जरूर .	కానీ నేను ననా లేక పోయి నా వాల ట టె క ఉంటుంది .
बस . . . भरो सा करो .	ననను . . . నమ ము చ ాలు .
शायद तुमहारी कोई मी टि ंग थी .	నీకు ఏదో సమా వే శం ఉ ండి ఉంటుంది .
नहीं . नहीं आ सकते .	లేదు . మేము తీసుకో ము .
लॉ य ड और कैसा ंड रा दोनों वै ज ञ ा निक हैं	కాదు , లా యి డ , క సా ండ రా ఇదద రూ శా స తర వే తత లు ,
- हम नर व स थे . - बहुत अचछे .	- కంగా రు పడ డా ం . - బాగా చేశారు .
पता है , डि जा इन में ख रा बि या ँ थीं , पर दिख ता शान दार था .	డి జె న లోప ాలు చాలా దారు ణం , కానీ క చచితంగా అదభు తంగా క న బడ తా యి .
कुछ दिन , फिर स फर कर स के गा .	కొనని రోజు లు ఇకకడ కో లు కో వాలి .
किसी ने नहीं बताया यह ग ूल था .	అది ఘ ౌ ల అని ఎవరూ చెపప లేదు .
शे डी सै ंड स को लौ टा ने के लिए ख ून ब हा ना होगा .	ష ే డీ శా ండ స ను తిరిగి తె చ చే ందుకు , రక తం చి ంది ంచాలి .
फ ॉल आ उ ट पर पिछ ली बार	ఫ ాల ౌ ట ఇంత కు ముందు
शा ं ति वार ता रु क गई !	శా ంతి చ రచ ల స తం భ న !
अगर आपको सत ह के लोग पसंद नहीं हैं ,	నా క రథ ం కాల ేదు , ఉ పరి తల వా సు లు న చచ కపోతే ,
- तुम ठीक हो ? - तो कैसा रहा ?	- బాగు ననా వా ? - ఎలా చేశా ం ?
जैसे सत ह पर मुझे तुमहारी थी .	ఉ పరి తం పె నాకు నీ అవసరం లా .
कई लोगों की एक ही आँख है .	చాలా మంది కి ఒక ే క నను వు ంటుంది
यार , वॉल ट - टे क अस ली श ै ता न है .	వాల ట టె క పెదద భ ూ తం , బా బ ూ .
सवाल है , किस ने त य किया कि कु त त ों को अन ुम ति नहीं दे नी है ?	వాల ట లలో కు కక లు ఉండ వని ఎవరు నిరణ యి ంచా ర నే ది నా పర శ న ?
तुमहें बचा व में कुछ कहना है ?	నీ ర కష ణ కు ఏమెనా చెపప గల వా ?
यहाँ रु क ना हमारे लिए ठीक नहीं है ,	మేము బ తి కి ఉండ డం మాకు జ రి గే ది కా దే మో ,
सच में , नए लोगों के साथ कई म जे दार वा क ये होते हैं .	మీరు ననను నమమ వచచు , కొతత వారు వచచా క చాలా సం ఘ ట నలు జ రి గా యి .
कहना कया चाहती हो ?	ఏం సూ చి సతుననా వు ?
दुनिया की सबसे अचछी जगह .	పరపంచ ంలో ఉ తత మ చో టు లో ఉననా ం .
पु रा नी सोच है यह . मैं नया कुछ सोच ता हूँ .	అది మూ డు కో ణ ాల ఆలోచ న అయితే , నే న నే ది నాలు గ వది .
पर कुछ लोग होते हैं , जब उनका ख डा होता है	కానీ కొ ంద రికి , వాళలు దానిని క ది పి తే , అది పెదద
तब बडा और स खत होता है , फिर बह ने लगता है .	పు టట మ చచ లా పెదద గా , గ టటి గా మా రి , ఏదో కారు తుంది .
मेरी बी वी वहाँ काम करती है .	నా భా రయ ఉద యో గం అందు లోనే .
मि . कू पर हा वर ड बोल रहे हैं ?	మీరు మి . కూ పర హా వర డ కదా ?
कया कहा ?	నువవే ంటి ?
बहुत कम ब चे हैं .	మనం అంత రి ంచే జా తి .
अरे , यार .	అబబా , ఛ .
सारे आ रो प सही हैं .	ఆ రో ప ణ ల పె దో షి ని .
मेरी ही आवा ज कह ती है , " हैलो सर . यहाँ बैठ ेंगे ? "	నా గొ ంత ే చెబు తోంది , " హలో , సర . మీరు కూ రచు ంటా రా ? " అని .
{ \ an8 } और आप भी ही रो बन सकते हैं	{ \ an8 } ఇపపుడు మీరు కూడా హ ీ రో కా వచచు ,
वॉल ट में कु त ते नहीं . किस ने कहा ?	వాల ట లలో కు కక లు ఉండ వు . ఎవరు చెపపా రు ?
कोई मेरी फ यू जन को र ले गया .	నా ఫ యూ జ న కోర కొ టటే శా రు .
इन ज मी न के नीचे की जग हों में सभी आ ध ु निक सु वि धा एँ हैं	ఈ భ ూ గర భ బర బ లలో అన నీ మన ఉ త సా హ భ రి త రి ప బ లి క నుండి
तुम मर गए तो कया फा य दा .	నువవు చని పో తే ఉ ప యో గం లేదు .
और तुम भी . ग ू सी मै क ली न .	అయితే , నువవే . గ ూ సీ మె క లీ న .
डी सी में इस पर चर चा करनी होगी .	మనం దాని పె డీ సీ వర కు సర కి ల చేయాలి .
फिर एक बार , वॉल ट चार में सवागत है .	ఇక మ రో సారి , వాల ట 4 కు సు సవా గ తం .
हाँ . और किस लिए ?	అవును . దే ని కోసం ?
इसे समझ नहीं आया .	ఈ మె క రథ ం కాల ేదు .
- कयों पूछ रही हो ? - माफ करें .	- అబబా , అసలు నీ కే ంట ట ? - మన ని ంచాలి .
{ \ an8 } कयों . . .	{ \ an8 } ఎందుకు . . .
यार , कुछ रो श नी हो जाए ?	ఇక , మనం లె టలు ఆన చే ద దా మా ?
हमें उसका क व च भी मिला .	మాకు అతని క వ చం దొ రికి ంది .
तुम रा ष टर पति हो गए हो ?	ఇపపుడు నువవు పర ె సి డె ంట వా ?
तो तुमहें कै सी याद है ?	సరే , ఆమె నీ కె లా గుర తుంది ?
हम अपने बि छ ड ों को वापस ला ते हैं खुद को उनकी रा ख से ढ क कर .	మా నుంచి తీ సే సు కునన ది పొ ందు తా ం వాళల బ ూ డి ద ను మా పె ప ూ సుకో వడం ద వా రా .
कितनी शान दार आवा ज है .	తను భలే పా టలు పా డు తుంది .
अब तक तो नहीं .	లేదు , ఇంకా లేదు .
- हाँ . - अजीब लग सकता है	- అవును . - సం కలి షట మే ,
कू पर हा वर ड अभी निक ला ?	కూ పర హో వార డ ఇ టు వెళ లా రా ?
टा इट स , यह वॉल ट डॉ क टर है .	టె ట స , ఈ యన వాల ట డా క టర .
मेरा जन म व हीं हुआ था .	నేను ఉ పరి తల ం మీ దే పు టట ా .
हमें यहाँ वॉल ट चार में इतने अचछे लोग मिले .	ఇకకడ వాల ట 4 లో ఆ తి థ య సమా జా నని కను గొ న డం మా అద ృష టం .
मैं सोच ता हूँ .	ఇది ఆలోచి సతుననా .
- वॉल ट बे च कर . - यही तो पू ं जी वाद है .	- వాల టల అమమ కం . - పెటటు బడి దా రీ త నం , చా ర లీ .
हाँ . वे ऐसा कैसे करेंगे ?	అవును . అద ె లా చేసతా రు .
- मुझे उससे कुछ पूछ ना है . . . - ठीक है . अ ल वि दा .	- ఆమె ను పర శ నలు అడ గ ాలి . . . - సరే . ఉంటా ను .
यहाँ आओ .	ఇ టు రా .
तो आने कयों दे ते हैं ?	వాళ లను తీసుకో వడం ఎందుకు ?
माफ करना , कया हो रहा है ?	ఏమ ండ ీ , ఏం జరుగు తోంది ?
मैं गर मी नहीं ला रहा .	సరే , నా ది చే ప ల వే ట కాదు .
मैं तो बस बातें बना रहा हूँ .	ఈ పరిసథి తి ని అ ంచ నా వే సతుననా న ంత ే .
ऐसे पर मा ण ु यु द ध से बच सकती है जिस में 9 0 परति श त लोग मा रे जाएँगे .	అ ణ ు యు దధ నుండి మా న వాళ ి ఎలా జీవి ంచ గల దని నేను ఆలోచి సతాను .
ताकि दुनिया को पता चले कि चाह े जो हो जाए ,	మన మా రగ ంలో ఏ ది వచచి నా , అ మె రి కా సిదధ ంగా ఉ ంటు ందని
कहते हैं ऐसा किसी के भी साथ हो सकता है , पर . . .	అలా ఎవరి కె నా జరగ వచచ ని అంటా రు , కానీ అయి నా అది , అది . . .
मतलब , क पडे उ तार ने वाला ?	అంటే నా అ ంగ ం వా డ డ మా ?
इससे बेहतर कया होगा .	ఇంత కంటే మె రు గగా ఉండ దు .
सि सट म का बचा व कर रहे हो	పరప ంచా నని నా శ నం చేసే
ताकि हम पर बं धन वाले खास वॉल ट में रह सक ें	ఇ తర వాల టలు అనని ంటి నీ పర య వే కషి ంచే నిర వ హ ణ ను చూ సే
म ॉर टन ढ े र सा री ज मी न वाला कि सान था	మి స సో రీ లో స గ భా గం గల రా ంచ ర రా మో ర టన న టన ,
मुझे मेरी आ जा दी की प डी है .	లేదు . నా స వే చ ఛ విషయం తెలియ ాలి .
जानते हो ये तुमहें कयों ला ए हैं ?	ఈ కు ర రా ళలు ని నన ె ందుకు తె చచా రో తెలుసా ?
से ना में हम साथ थे .	అతని తో కలిసి పని చేశా .
मुझे बुरा भी लगे गा .	అలాగే , నేను బాధ పడ తాను .
य हां कोई फ ज नहीं है . केवल एक जन र ल ए टो मि कस इं टर . . .	ఇకకడ చెతత లేదు . కేవలం జ న ర ల అ టా మి కస ఇంట ర . . .
हैलो , दो स तो . बस मिल ना था .	హే , గ య స . మిమమలని ప ల కరి ద దా మని .
मेरे बै ग में शायद र खा हो .	నా స ంచ ీ లో కొనని ఉననా య ను కుంటా .
शायद तुमहें कै लि फो र निया की बढिया ध ू प चे ह रे पर लेना	నీ ము డ తలు పడి న గా డి ద ముఖ ం పె మంచి పా త క ాలి ఫో రని యా స ూర య కా ంతి
तुमहारी पूरी सं सक ृ ति पागल है !	మీ సం స క ృ తి అంత టి కీ పిచచి !
{ \ an8 } अभी क ॉल करें 2 1 3 - 2 5 - वॉल ट	{ \ an8 } వెంట నే కాల చేయ ండి ! 2 1 3 - 2 5 - వాల ట
ज वाला मु ख ी , आप हमारा उ द धा र करें .	మ ంట ల రా ణి , నువవే మాకు ర కష ణ గా ఉండాలి .
ज वाला मु ख ी , आप हमारा उ द धा र करें .	మ ంట ల రా ణి , నువవే మాకు ర కష ణ గా ఉండాలి .
हम कहाँ हैं ?	మనం ఎ కక డు ననా ం ?
{ \ an8 } ताकि बाद की दुनिया बेहतर ब ने .	{ \ an8 } మీ లాంటి అ మె రిక నలు అవసరం .
बक , तुमहारे लिए खुश हूँ .	సరే , నీ ప టల చాలా సంతోష ం , బ క .
ठीक है .	అలాగే .
वह तो वि ज ञ ा प नों पर ही जी ती है .	ఆమె చెతత బి ల బో ర డ కంటే ఎకకువ పర క ట నలు
नहीं , ऐसा नहीं है .	లేదు , అలా చేయడం లేదు .
और बस एक फ ू सब ॉल टे बल है .	మాకు ఒక టే ఫ ూ స బ ాల టే బు ల ఉంది .
जिन मार टि नी .	ఓ జి న మార టీ ని .
बस यही . . . यही निय म है .	అది కేవలం . . . అది ఓ వి ధా నం .
वैसे , सच कहूँ तो मुझे ऐसा नहीं लगता .	సరే , తెలుసు గా , నిజంగా అయితే అంత గా అనుకో ను .
पाँच पी ढ ि यों से , गर व है .	ఐ దు తర ాలు , అ ందుకు గర వ పడ తాను .
मैं तो चला ही जा ऊँगा .	తవర లో వెళలి పో తాను .
रू ज वे लट , माफ करना , तुमहें बुला या नहीं है .	రూ జ వె ల ట , మీరు రాల ే న ందుకు ననను కషమి ంచండి , మి తర మా .
किसी ने फै सला किया होगा और बताया भी नहीं .	అది ఎవరో నిరణ యి ంచారు , ఆ విషయం ఎవరి తో న ూ చెపప లేదు .
कुछ अजीब था न ? मतलब , ओ वर सि यर ?	అది వి ంత గా ఉంది , కదా ? పర య వే కష కు డు ?
जब तुमहारा काम पूरा हो जाए ,	బహుశా మీ షి ఫ ట పూర తయ యా క ,
हैलो . बार ब से बात हो स के गी ?	హలో . బా ర బ తో మాటలాడ వచచా ?
लोग उसे ज वाला मु ख ी कहते हैं .	ఆమె ను మ ంట ల రా ణి అంటా రు .
- हम अपने बि छ ड ों को वापस ला ते हैं . - हम अपने बि छ ड ों को वापस ला ते हैं .	- మా నుంచి తీ సే సు కునన ది తిరిగి పొ ందు తా ం . - మా నుంచి తీ సే సు కునన ది తిరిగి పొ ందు తా ం .
हाँ , तुम जैसे ही , जरा अजीब . पर अचछे हैं .	హా , వాళ లూ నీ లా గే కొంచెం వి చి తరం . కానీ మంచి వారు .
फ यू जन को र निका लो .	తన ఫ యూ జర కోర తీసుకో .
फ ू सब ॉल , पे न सि ल या बा थ रू म के अ ला वा अगर कुछ पूछ ना हो ,	ఫ ూ స బ ాల లేదా పె న సి ళలు లేదా బా తర ూ ం లకు మి ంచి ఏ వె నా పర శ నలు ఉంటే ,
गर म पा नी से न हा ओ .	వే డి నీ టి స నా నం చె య .
तब तो तुमहें किसी से पर चार करवा ना चाहिए .	సరే , నువవు పర చా ర కర తను పెటటు కో వాలి .
जे नी 1 5 की हो जाए , उसे वे त न वि भाग में काम दि ला देंगे .	బహుశా జే నీ కి 1 5 వచచా క ఆమె కు ఉద యో గం ఇ పప ి ంచ గల ం .
कया तुम सच में अपना पूरा दिन	ఈ వెధ వల తో పని చే సతూ తొ మ మి ది నుండి
मतलब , तुमहारे वॉल ट में सत ह के लोग नहीं आ सकते ?	ఏంటి , మీ వాల ట లో ఉ పరి తల వా సు లను తీసుకో రా ?
मैं बचा था .	నేను బ తి కా ను .
वॉल ट - टे क पे श करते हैं . . .	వాల ట టె క సమ ర పి ంచు . . .
हाँ . पर ो ड कट मै ने ज में ट कभी रा स नहीं आया .	హా . ఉ త ప తతి నిర వ హ ణ నాకు సరి పడ లేదు .
किसी प ं थ जैसा लगता है .	ఇది ఓ కల ట . చాలా మంది లా గే .
तब तो हर चीज में सा जि श है ?	అంతా కు టర కా వచచు , కదా ?
पर जब ब म गिर ेंगे , तब दो घं टे की ड रा इ व काम नहीं आए गी .	కానీ బా ం బు లు పడ డా క , రెండు గంట ల పర యా ణం జరగ దు .
वहाँ नहीं जाएँ तो ठीक होगा .	మీరు అకకడ కు వెళల కూడ దని మా కో రిక .
आज कल बहुत खबर ें पढ रहा हूँ .	ఈ మ ధ యన వార తలు బాగా చ దు వు తుననాను .
और ब ड आ स किन स के त ल वे चा ट ूँ .	ఆ స వే చ ఛ కోసం యు దధ ానికి వెళల లేదు .
पर ये नए लोग ? एक बात बता ऊँ .	కానీ ఈ కొతత వాళలు ? నీకు చెబు తాను .
मतलब , एक जो क शायद दस बार सुना या होगा मैंने .	అంటే , బహుశా 1 0 స ంద ర భ ాల లో నేను ఒక త మా షా జో క చెపపా ను .
कोई पर मा ण ु ध मा का तो नहीं हुआ है ?	సరే , అ ణ ు బా ం బు ల ఘ టన జర లేదు గా , జరిగి ందా ?
मैं भी वॉल ट की हूँ .	నేను వాల ట ను ంచే .
बस इतना याद है बडा ध मा का हुआ था .	అది పెదద బా ం బు అని మాతరమే నాకు తెలుసు .
चार ली , तुम पार टी में नहीं आ पा ए , बुरा लगा .	నువ వ ఆ రోజు న పార టీ కి రాల ే కపో వడం బాధ గా ఉంది , చా ర లీ .
लोगों को ही कुछ करना होगा .	జ నాలు దాని కోసం ఏదెనా చేయ కపోతే .
यहाँ बि ज ली कहाँ से आती है ?	మీకు క రె ంట ఎ కకడి నుంచి వ సతుంది ?
मेरी मदद के बद ले में फिर तुम पाँच - छ ह यो द धा ओं को मेरे पिता को बचा ने भे जो गे .	నా సహా యా నికి బ దు లు , మా నా ననను కా పా డే ందుకు మీ సె ని కు లను ఇ సతా వు .
आज कल के बचचे इ ति हा स नहीं जानते .	ఈ కాల ం పిలల లకు తమ గొపప చ రి తర తెలియదు .
अगर मैं तुमहें य ूँ ही जाने द ूँ ,	అందుకే నినను స వే చ ఛ గా వదిలే య ాలను కు ంటే ,
- याद करते हुए . - याद करते हुए .	- మాకు గురతు నన టలు . - మాకు గురతు నన టలు .
बॉ नी ल ु ई स ने कहा इसका नै ति क आ धा र है .	ఇది నె తి క పరా తి ప ది క న అని బో నీ లూ యి స అననా డు .
तुमहारी तरह कुछ लोग सत ह वाले भी हैं .	వీ ళ లలో కొ ంద రు ఉ పరి తల ం నుంచి వచచా రు , నీ లా గే .
सुरकष ित जगह पर रहना चा हो तो कोई बात नहीं .	సు ర కషి త మెన చో ట ఉండ ాలను కు ంటే నేను నినను ని ంది ంచ ను .
- ऐसा कुछ कर सकता है . - पर मुझे यह पसंद नहीं है .	- వాళలు చూడ ాలి . - కానీ అది నా క ంత గా త గ దు .
मि . हा वर ड , बहुत सही .	హా వర డ గా రు , బాగా చేశారు .
जो ग ृ हि ण ि यों और वि कृ त लोगों के काम आता है .	వాళలు గ ృ హి ణ ు లు , దు ర మార గు లకు అమమా రు .
फ ॉल आ उ ट	ఫ ాల ౌ ట
हमारा यही तो काम है .	త గి న ంత క ృ త జ ఞ తలు చెపప లే ం .
तो बर डी से बात करें .	బర డీ అందు బా టు లో ఉంటుంది .
हम एक टर हैं .	మనం న టు ల ం .
- विश व सत कया ? - हाँ .	- వి శ వ స నీ య బా ధయ తా ? - హా .
इससे बचा जा सकता है .	అది ని వారి ంచ ద గి న అ సమ రథ త .
हर रात फोन के पास गु जा री .	పరతి రాతరి ఫోన ప కక న ఎదు రు చూశా .
जे नी के लिए .	జే నీ కోసం .
आप यहीं के हैं ?	మీరు ఇ కకడి వా రే నా ?
शे डी सै ंड स की हा लत मैंने देख ी .	ష ే డీ శా ండ స ఏ మె ందో చూశా ను .
बस , इतना ही ?	అంత వర కే నా ?
आ ख िर कयों तुमने ये त सवी र लगा रख ी है ?	ఎందుకు నీ గో డ మీద ఈ ఫో టో ఉంది ?
अचछा ?	అవునా ?
ख ून ब हा ना होगा .	రక తం చి ంది తీ ర ాలి .
मि . हा वर ड ?	మిసటర హా వర డ ?
टा इट स !	టె ట స !
दुनिया के सामने यह जगह म सत है .	పె న కాల పు లతో పో ల చి చూ సతే .
- उनहोंने मुझे यह गा उन दी . - पता है .	- నాకు ఓ రో బ ఇ చచా రు . - తెలుసు .
उनसे जयादा बि करी नहीं , वि चार नहीं .	వా రికి మి ంచి అమమ డం కాదు . అ ధి గ మి ంచడం కాదు .
तुमने कहीं और काम करने का सोचा है ?	వే రే చో ట పని చేయడం పె ఎపపుడ ెనా ఆలోచి ంచా వా ?
सबसे अचछा इ ना मी शि कारी हुआ करता था .	ఉ తత మ ప ంద ెం వీ రు డి గా ఉండే వాడు .
उनके अजीब वि चार होते हैं . . .	ఆ వి చి తర మెన ఆలోచ నలు . . .
अ मरी की सप ने के कारण ही तुम मुझे गोली मार ते हो .	అ మె రిక న కల నువవు ననను న డ డి మీద కాల చ డం .
पर बं धन की ता री ख ें . पै मा ना बडा है .	నిర వ హ ణ సమ య ాలు చూడ డం . సథా యి పె ంచు తుననాను .
अचछा ? कौन - सा श बद ?	అవునా ? ఏమి ట ది ?
ऐसा कैसे होता है ?	అద ె లా ఉంటుంది ?
ज बा न संभाल के .	జా గర తత గా మాటలాడు .
हमें बात करनी है .	మనం మాటలాడ ాలి .
कया इस सर दी में ऊ र जा की की मत ें बढ ें गी और इससे यु द ध हो जाएगा ?	ఈ శ ీ తా కాల ంలో ఇం ధన ధ రలు పె రుగు తా యా , అది వి సత రి ంచిన యు దధ ానికి దా రి తీ సతు ందా ?
मेरे पिता फि ली में रह ते हैं .	మా నానన ఫి ల లీ లో ఉంటా రు .
कु त ते नहीं ला सकते , नया निय म है .	కు కక లకు అను మ తి లేదు , అది ఓ కొతత ని బం ధన .
ऐसा ही तो होता है .	అది ఎపపుడూ జరుగు తుంది .
वॉल ट चार में सवागत है .	వాల ట 4 కు సు సవా గ తం .
तुमहारे पास टा र जाना में पा ं च एक ड है .	టా ర జా నా లో ఐ దు ఎ కర ాలు కొ ననా వు . బాగానే ఉననావు .
सुनो . रुको !	హేయ . ఆగు !
पर मान व ता का भ वि ष य एक ही श बद पर टि का है .	కానీ మొతత ం మా న వాళ ి భ విష యత తు ఒక ప దానికి చే రు తుంది .
तुमहें लगता है हमारे ह ॉ ली व ु ड वाले दोसत	పరపంచ ం అంత ం కోసం అమమ క ాలు జ రి పే ,
मैं ए च आर , आर ए ंड डी पर जयादा धयान दे ता हूँ .	ఇపపుడు హె చ ఆర , ఆర అ ండ డీ పె నే ద ృష టి .
धनयवाद , दोसत .	ధనయవాదాలు , బా బ ూ .
बु री हा लत है .	అది మంచి గా లేదు .
सा इन अप शी ट के साथ पे न सि ल न हो	ఒక వే ళ స ంత కం చేసే ందుకు పె న సి ల లే కపోతే ,
तीन दिन पै दल चले थे , तब भी ध मा के की गर मी लग रही थी .	ఇంటి నుండి మూ డు రోజు ల న డ క , ఇ పపటి కీ ఆ పే లు డు వే డిని అను భ వి ంచ గల ం .
मुझे तुम पसंद हो .	అందుకే బాగా న చచు తా వు .
सोच ो मुझे कि तने पैसे मिले .	నా కె ంత ఇ చచా రో ఊ హి ంచు .
मैंने क डी मे ह न त की है	నేను కష ట పడి పని చేసతుననా ను
उसके लिए मुशकिल होगी , बस .	ఇది ఆమె కు కష టం అవు తు ందని , అంతే .
आपका ना श ता रो क ने के लिए माफ ी ,	మీ అ ల పా హా రం లో అంత రా యా నికి మన ని ంచాలి ,
यहाँ आने वाले कुछ लोग सुरकष ित महसूस करके अस ह ज हो जाते हैं .	ఇకకడికి వచచి న కొ ంద రు వయ క తులు చి వర కు సు ర కషి తంగా ఉండ టానికి చాలా కష ట పడ తారు .
- मैं काम कर रही हूँ . - कयों न कहीं चल ें ?	- పని లో ఉననాను . - మనం బయ లు దే రి తే ?
- मुझे भी . - कितनी अचछी बात है न ?	- నువ వ ూ న చచు తా వు . - సరే , అది బాగుంది కదా ?
दुनिया के खा त मे वाले बं दे के साथ दिख ेंगे .	హ ాల ీ వు డ న ట మి తరు డి తో వే డు కలు జ రు పు కో వాలని నీ అ ంచ నా .
पर दोसत , तुम जानते हो कै सी ह वा चल रही है .	కానీ నువవు , మి తర మా , అంతా ఎ టు చే రు తు ందో నీకు తెలుసు .
मेरे बुला ए मे हमा नों में शायद बस तुम ही आए हो .	నేను ఆ హ వా ని ంచిన వారి లో నిజ ానికి వచచి న ది నువవు ఒక డి వే నే మో .
मुझे पता है . आप लोगों ने टी - 4 5 पा वर क व च बना या है .	మీ తో నాకు బాగా పరి చ యం ఉంది . మీరు టీ - 4 5 ప వర క వ చం రూ పొ ంది ంచారు .
सभी देश ऊ र जा का भ वि ष य निय ंत रि त करने के लिए यू रे निय म ज मा कर रहे हैं . . .	యు రే ని యం భ దర త , శ కతి భ వి త నియ ంత రణ కు , అనని దే శ ాలు పో టీ . . .
पता नहीं कोई बचा या नहीं .	ఎవరెనా బ తి కా రో లే దో .
वैसे , मैं तो फि ल मी ही रो हूँ ,	సరే , నేను సి ని మ ాల లో హ ీ రో గా చేయ వచచు ,
सुनो .	హేయ .
हाँ .	నిజం .
कैसे हो , सी बा स .	అబబా , సె బా స .
