वाह .	వా వ .
भगवान , तो तुमहें मेरे घर आ ना चाहिए .	దేవుడా , నువవు ఒక సారి మా ఇంటికి రా వాలి .
वह कैसे उसके साथ एक ही टे बल पर बैठ ती थी , यह मेरी समझ से परे है .	అ టు వ ంటి వయకతి తో కలిసి భ ో జ నం చేయడం అంటే , నా వలల అయితే కాదు .
हमें हमारी पसंद ी दा प ें टि ंग चु न कर प ें ट करनी थी .	మేము మాకు ఇష ట మెన చి తర క ళ లని ఎ ంచు కు ని వాటి ని గ ీ య ాలి .
मैं परि ं सि पल नि ' हा रा पर इसका इस ते माल करती हूँ .	నేను వాటి ని మీ పరి న సి పాల నిమి హా రా మీద పర యో గి సతాను .
मैं नहीं देना चाहता था .	అంటే , నా ఉదదేశం ఇది కాదు .
इस हफ ते कुछ नए सु ंदर चे ह रे आए हैं .	ఈ వా రం అంద మెన కొతత ముఖ ాలను చూ సతుననా ం .
बहुत बढिया . अब हम उसे प ें ट ब ॉल से नहीं मर ेंगे .	ఇది ఎంత ఆ శ చ ర యం . మనం పె యి ంట బ ాల తో అత డిని చం ప లే ము .
पता है मैं कैसे अचछी और शा ंत र हूँ गी ? एक क बा ब और चि पस से .	ననను మంచి గా , పర శా ంత ంగా ఏం ఉ ంచు తా యో తెలుసా ? ఒక క బా బ ఇంకా చి ప స .
हैलो . मैं नो रा हूँ , बि बी की प तनी .	హలో . నా పేరు నో రా , నేను బీ బీ భా రయ ని .
ठीक है . हाँ .	సరే . అలాగే .
पु रा नी पा रि वा रिक रे सि पी .	మా కుటుం బ పు పా త వ ంట కం .
मैंने कुछ गलत नहीं किया !	నేను ఏమీ తపపు చేయ లేదు !
तुमहें अपने जन म दिन के लिए शुकर वार को छु ट टी ले नी चाहिए .	నీ పు టటి న రోజు స ంద ర భ ంగా శు కర వా రం నా డు నువవు సె ల వు తీసుకో వాలి .
- तो तुम ज ॉन प ॉल को दो ष नहीं दे ती हो ? - नहीं .	- అయితే మీరు అ ందుకు జా న పాల ని ని ంది ంచ రా ? - లేదు .
और जब तुम यहाँ से जाती हो , बु री चीजें होती हैं .	నువవు లే నపపుడు ఇకకడ చె డు సం ఘ ట నలు జరుగు తా యి .
तुम में से एक की जे ब में ख र गो श का पै र होगा .	మన లో ఒక రికి ష ర టు జే బు లో కు ందే లు పా దానని పె డ తా ం .
तुम लोगों का क च रा चु रा ना बंद करो गे ?	నువవు జ నం చెతత ని ఏ ర డం మా నే సతా వా ?
फ री ज की हुई गो लिया ँ बदल ूँगी . . .	గ డ డ క టటి న తూ ట ాలను మా రచు కుంటా ను . . .
इसका मतलब है . . . भगवान . मुझे रिश ता तो ड देना चाहिए , पर नहीं तो ड सकती .	దాని అరథం . . . దేవుడా . నేను దీని ని ము గి ంచాలి , కానీ నా వలల కాదు .
डॉ न ल काम पर होगा , तो मुझे बच चों को संभाल ना होगा . माफ करना , जान .	డో న ల కి ఉద యో గం ఉంది , కాబటటి నేను పిలల లని చూ సుకో వాలి . మన ని ంచు , బంగా రం .
सवागत है , थ ॉ मस ! ज ॉन प ॉल वि लि य मस	మళలీ సవా గ తం , థా మస ! జా న పాల వి లి య మస
कुछ भी आ सान नहीं होता है , बच ची .	వి లు వెన ది ఏ దీ తే లి క గా రా దు , పి లలా .
- हैलो . तुमसे मिल कर खुशी हुई . - ए . कैसे हो ?	- హాయ , మిమమలని కల వడం సంతోష ం . - హేయ . ఎలా ఉననావు ?
खुद तना व में उ छ ल ते रह ने से मदद नहीं होगी .	మీరు తీ వర మెన ఒ తతి డి తో బయట తి రుగు తూ ఉంటే కష టం .
वह छे द उसके सिर के पीछे , इस हि स से में है .	అతని త లలో చి లలు తన వె నుక ఎకకడ ో ఉంది అనుకుంటా .
- मुझे आप से न फ रत है , माँ . - जान .	- నినను ద వే షి సతాను , అమమా . - బంగా రం .
मैं उसे मार डाल ूँगी .	నేను వాడిని చం పే సతాను .
बद ला वि ष ा कत होता है .	పర తీ కా రం విష ం లాంటి ది .
माफ करना . यह मेरी . . .	కషమించు . తను నా . . .
रुको , रुको .	ఉ ండు , ఆగు .
चलो , बि बी .	చేయి , బీ బీ .
अगर ढ का भी , तो हम खु ज ली वाला पा उ डर इस ते माल कर ल ेंगे . तो उसे वह उ तार ना पडे गा .	ఒక వే ళ మా స క తో ఉంటే , మనం దు ర ద ప ౌ డ ర ని ఉ ప యో గి దదాం . అపపుడు మా స క తీ సతా డు .
सु पर भा त . मेरा नाम सिर ि ल है , उ र फ , सिर ि ल द सक वी रे ल .	అంద రికీ శు భ ో ద యం . నా పేరు సి రి ల , ఇంకా , సి రి ల ద స క వి రె ల .
काफी अ र सा हो गया है , जे पी . हमें करना चाहिए .	చాలా కాల ం అయి పోయింది , జె పి . మనం చేయాలి .
- अब हम सच चे दोसत बन सकते हैं . - चु प रहो .	- అంటే మనం మంచి సనే హి తు ల ం కా గల ము . - నో రు మూ యి .
र ंग गरे हो गया है . यह एक ला ल बा लों वाले आदमी के लिए ठीक नहीं है .	అతని చ ర మ ం ప ాలి పోయింది . ఎ ర రని వాళ లలో అలా జరగ డం మంచిది కాదు .
टी म बी में : मैं , इ वा और बै का .	బి జ టటు లో నేను , ఈ వా , బె కా ఉంటా ం .
- ठीक है ? सभी समझ गए ? - ठीक है .	- సరేనా ? అంద రికీ అరథ మ యి ందా ? - సరే .
खैर , जैसे भी हो , इसे खतम करना होगा . तुमने उसकी त व चा का र ंग देखा है ?	సరే , దానికి ఏదో ఒక ము గి ంపు ఉంటుంది కదా . అతని చ ర మ ం రం గు ఎలా మా రి ందో చూశా వా ?
- हैलो , ग ै ब रि एल . - ए .	- హాయ , గా బ రి యే ల . - హేయ .
हाँ . मेरा मतलब . . .	అవును . నా ఉదదేశం . . .
मैं लं च के बाद बना कर उसे ठ ं डा होने द ूँगी जब कि मैं कला स में जा ऊँ गी .	భ ో జ నం అయ యా క నేను కే క త యా రు చేసి , నా క లా స జ రి గే సమయం లో దానిని చ లలా రచు తాను .
हम बी मे का भ ु ग ता न नहीं कर सकते .	మనం ఆ క లె యి మ ని చె లలి ంచ లే ము .
और अब हमें इससे नि प ट ना होगा .	ఇపపుడు మనం ఈ చెతత నం తా భ రి ంచాలి .
तुमहारे लौट ने तक , मै ट मेरे साथ रहे गा .	నువవు తిరిగి వచచే వర కూ మయా ట నాతో నే ఉంటా డు .
फो कस ए ंड शा इन में सवागत है द यु थ चर च गर ु प	ఫో కస అ ండ ష ె న ద యూ త చ రచ గర ూ ప కి సవా గ తం
वैसे , तुमहारे पास बस इतना ही समय बच ता है .	అంటే , నీకు అంత ఖ ా ళ ీ సమయం మాతరమే ఉంది .
चलो . अग ला कौन है ? आओ , टो बी .	రండి . తరువాత ఎవరు ? చేయి , టో బీ .
ए फ रो - के इ ली	ఆ ఫ రో కీ లీ
पकका तुमहारी अ टा री में कोई प ें टि ंग होगी .	అయితే మీ అ ట క లో చి తర క ళలు ఉ ండి ఉండ చచు .
मैं झूठ नहीं कहूँ गी , जब भी उसे देख ती थी , उसे घ ूँ सा मार ने का मन करता था .	నేను అబ దధ ం చెపప ను . అత డిని చూ సిన పపుడ లలా ముఖ ం మీద పి డి గు దదు లు ఇవ వాలి అనిపి సతుంది .
वही तुमहारा काम था . मैंने अचछे - बु रे दोनों समय में साथ दिया .	అది నీ బాధ యత . కష టన షట ాల లో కూడా నేను నీకు అ ండ గా ఉననాను .
मै मी , ऑ फि स के लिए जन म दिन का एक के क बना देना .	మా మీ . మా ఆ ఫీ స కోసం నువవు బర త డే కే క త యా రు చేయాలి .
घ बरा ई हुई कयों हो ? अपने मा ता - पिता की वजह से ?	ఎందుకు భయ పడు తుననావు ? మీ తల లి ద ండ రు లే కారణ ం , అవునా ?
- वा दा करते हैं तुम ठीक हो जाओ गे . - बि बी .	- నీకు న యం అవు తు ందని మా హా మీ . - బీ బీ .
बे ला इन र 2 5 6 6 म ॉ ड ल , 2 7 फी ट .	బ ే లెన ర 2 5 6 6 మో డ ల , 2 7 అడుగు లు .
मजाक कर रहा था . तुम हमेशा बडा खा ती हो .	ఊ రి కే జో క చేశా . అది ఎపపుడూ పెదద దే .
मेरे पास इसे सु ल झा ने का यही एक मा तर रा सता है . डै ड . "	అద ంతా పరి ష కరి ంచ డానికి నాకు తెలి సిన మా రగ ం ఇ దొ కక టే . నానన . "
अगर हमने उसके ग ले के पीछे मा रा तो ?	అతని గొ ం తు వె నుక భా గ ంలో మనం ష ూ ట చే సతే ?
तो तुमने मुझे गलत इ शा रे कयों दि ए ?	అయితే ననను ఎందుకు ఇంత దూ రం లా కక ొ చచా వు ?
- तुम चाहती हो मैं यह अभी कर ूँ ? - हाँ .	- ననను ఇ పపుడే వె త క మ ంటా వా ? - అవును .
और वह . . . फर ें च चीज भी ?	ఇంకా . . . ఆ ఫ రె ంచ పద ం ఏంటి ?
नहीं , फा दर . गोली अंदर नहीं घु सी .	లేదు , త ండ రి . దీ నికి ఏ దీ గు చచు కో లేదు .
जब ती स री ट ै क सी र दद हो जाए , तो गु ससा आने लगता है .	మూ డో టా క సీ కూడా ర దద యి తే , మన లని కి ంచ పర చి న టలు భా వి సతా ము .
- तो , मैं कया कर ूँगी ? - बस हमारे रा स ते में मत आ ना .	- సరే , అపపుడు నేనే ం చేసతాను ? - నువవు మా దా రి లో అడ డు పడ కు .
अरे , धत .	ఓహ , చెతత .
- सोचा नहीं था कि वह भी इतना पी ती होगी . - कया ?	- తను కూడా అంత తా గ తు ందని అనుకో ను . - ఏంటి ?
पो लो . पो लो , डै ड के कु त ते का नाम था .	పో లో . పో లో , అది నానన కు కక పేరు .
वह साल ों - साल अपने मु व क कि लों से पैसे ले ते रहे . और ख र च करते रहे .	ఖ ా తా దారు ల నుండి పరతి సం వ త సరం డబబు లు తీసు కుననా డు . వాటి ని ఖ రచు చేసే శా డు .
पास वर ड है " पो लो 1 9 9 8 , " पर " ओ " की जगह श ून य डाल ना , समझ े ?	దాని పా స వర డ " పో లో 1 9 9 8 , " కానీ ఓ బ దు లు జీ రో లు పెటట ాలి , సరేనా ?
ठीक है , मैं जा रही हूँ ,	సరే , ఇం క నేను బయ లు దే ర తాను ,
लि अ म कला फि न एक ध ो खे बा ज थे .	లి య మ క లా ఫి న ఒక మో స గా డు .
माफ करना . मुझसे नहीं होगा .	కషమి ంచండి . నా వలల కాదు .
दरअसल मेरी एक ड रा व नी बहन है . और एक तो बच ची है .	నిజ ానికి ఒక అమమాయి భయ పె డు తుంది . ఇం కో చినన పిలల ఉంది .
अब मैं उसकी खो प डी में छे द कर सकती हूँ .	ఇపపుడు వాడి మ ంద మెన పు ర రె ని కూడా పే ల చేయ గలను .
हे भगवान . बै का .	ఓహ , దేవుడా , బె కా .
वह यही करते थे .	ఆయన అలా చేసే వాడు .
ठीक है . मैं बाद में बना द ूँगी .	సరే . నేను దీని తరువాత కే క చేసతాను .
मेरी कला स के बाद .	నా క లా స తరువాత .
बच चों , यहाँ आओ .	పిలల లూ , ఇలా రండి .
शायद तुम डा ंस कला स के बारे में सही कह रहे थे .	డా నస క లా సు ల విషయం నువవే సరి గగా చెపపా వు అనిపి ంచింది .
शायद . . . हमें यह नहीं करना चाहिए .	బహుశా . . . బహుశా మనం చేయ కూడదు .
अग ली बार , हम तुमहें अस पता ल ले जाएँगे .	ఈ సారి మా తరం , మిమమలని హా స పి టల లో చే రు సతా ము .
मुझे लगता है हमें इस पर दोबारा सोच ना होगा .	మనం ఇం కో సారి ఆలోచి ంచ ాలని అనిపి సతోంది .
मै मी , मैं दस साल का नहीं हूँ .	మా మీ , నేను ప దే ళల పిలల వాడిని కా ను .
और हम सब वा इन पी ने में मा ह िर हैं , अगर वह कोई खेल है तो ? कया वह कोई खेल है ?	వెన తా గ డం గ నుక ఆట అయితే అందు లో మేము అంద రం బాగా ఆడ తా ము . అది ఆట ే నా ?
बढिया है . और सभी एक - एक करके बीच में आ एँगे	బాగుంది . మనం ఒకక ొ కక రి గా మధయ లోకి వచచి
आप कभी कुछ नहीं करती हैं , और जब करती हैं , तो यह करती हैं .	నువవు ఎపపుడూ ఏమీ చేయ వు , కానీ ఇది ఎ పపుడు చేశా వు , నువవే ఇది చేశా వు .
हाँ , पर तुम स हम त हो . यह र कम मुझे नहीं , तुमहें पता हो नी चाहिए थी .	అవును , కానీ నువవు ఒ పపు కో వాలి . ఈ సం ఖ య నాకు తెలియ కూడదు . నువవు తెలుసు కో వాలి .
यह . . .	అది . . .
कया मैं वि ष ा कत सुना ई पड रही हूँ ?	నా మాట లు విష ప ూ రి తంగా ఉననా యా ?
दू ध में .	పాల లలో .
हाँ . मुझे . . .	అవును . నేను . . .
मुझे काम पर लौट ना है .	నేను ఉద యో గా నికి వెళల ాలి .
पर हम यह गरेस के लिए कर रहे हैं , याद है ?	కానీ ఇది గరేస కోసం , అది గురతు ంచుకో ?
वह . . .	అది . . .
यह सा मान य पो ल से जयादा मो टा है . . .	ఇది నా మా మూ లు దాని క ననా లా వు గా ఉంది . . .
कया मतलब ? नहीं , ऐसा नहीं है . यह शान दार है .	నీ ఉదదేశం ఏంటి ? లేదు , ఇది కాదు . ఇది గొపప గా ఉంది .
यहाँ आओ .	ఇలా రా .
हुआ था .	అడి గా ను .
- कया तुम चा होगी कि हम अप ॉ इं ट में ट लें . . . - नहीं . पर , हाँ , हम अभी यहीं हैं , मै ट .	- మమ మ లని ష ె డ యూ ల చేయ మ ంటా రా . . . - లేదు . కానీ , సరే , మనం ఇకకడ ఉననా ం , మయా ట .
तो , म जे लो , और मैं बता द ूँगा जब हम स मु दर में जाने को तैयार होंगे . . .	సరే , దీని ని ఆ సవా ది ంచు , ఇంకా నా పడ వ స ము దర యా నా నికి త యా రు గా ఉనన పపుడు నీకు చెప తాను .
- तुमहारे साथ समय बि ता कर अचछा लगा . - फिर मिल ेंगे .	- నీ తో సర దా గా గ డి చి ంది . - మళలీ కలు సు కు ందా ం .
माफ करना . मेरा बस यह मतलब था कि तुमहारे फोन उठा ने की संभा वना जयादा है .	కషమించు . నువవు ఫోన మాటలా డే అవకా శం ఎకకువ ఉ ంటు ంద నన దే నా ఉదదేశం .
वह बु ढ िया आ ख िर कार इंसान है .	ఆ గ య యా ళ ి ది కూడా పా పం మని ష ే కదా .
मुझे उसका मतलब भी नहीं पता .	దాని ఉదదేశం ఏమి టో నాకు తెలియదు .
और , मुझे अ ख रो ट भी पसंद हैं .	అలాగే , నాకు కొ ద ది గా పిచచి ఉంది .
कया किसी ने ए म बु लें स बुला ई ?	ఎవరెనా అ ం బు లె నస ని పి లి పి ంచా రా ?
हाँ . तो वापस दो हरा ओ .	సరే . తిరిగి నాకు చెపపు .
तुम मेरे डै डी बन ो गे ?	నువవు నా డా డీ వి కా గల వా ?
सुनो हम यह कैसे करेंगे .	ఇది ఇలా గ జరగ బో తోంది .
तुम अचछा कर रहे हो . तुम अचछा कर रहे हो , सिर ि ल .	నువవు బాగు ననా వు . బాగా చేసతుననా వు , సి రి ల .
- कै सी हो ? - हाँ . हाँ , मैं ठीक हूँ .	- ఎలా ఉననావు ? - అవును . అవును , బాగు ననాను .
तो अगर कि सम त अचछी रही , तो वह उसके मा सक से ढ के गा नहीं .	మన అద ృష టం బాగు ంటే , అతను మా స క లే కుండా నే ఉంటా డు .
यह पो लो 1 9 9 8 है .	అది పో లో 1 9 9 8 .
तो मैं तुमसे यही करने को कह ता .	నేను నీకు అదే చెపపే వాడిని .
या नी , जवा नी में . बचचे होने और झ ु र रि या ँ पड ने से पहले .	శ రీ రం పర ంగా కూడా . పిలల లు పు టట డం , శ రీ రం ఒ డి లి పో వడానికి ముందు .
मैं हार नहीं मान ूँगी , इ वा .	నేను వి ర మి ంచు కునే దే లేదు , ఈ వా .
यह ना ड िया है .	తన పేరు నా డి యా .
मेरे पीछे आओ .	ననను అను సరి ంచు .
बे ल जि यन सी री ज " कल ै न " पर आ धा रि त	బె ల జి యన సి రీ స క లా న ఆ ధా ర ంగా
नहीं . पर कम ब खत . . . इ ंदर धन ु ष वाला चि ह न दिखा ते . समझ े ?	లేదు . కానీ ఒక చెతత . . . చెతత రె యి న బో . తెలుసా ?
तुमहें दु ः ख के सि वा ए कुछ नहीं मिले गा .	మీకు విష ా ద ం తపప మ రే మీ కనిపి ంచ దు .
- नहीं . - हाँ , कृपया .	- వదదు . - దయచేసి ఇవవ ండి .
ट ूर पर जो होता है , वह व हीं तक सी मि त रह ता है .	సరే , యా తర లో జ రి గే వి యా తర వర కే పరి మి తం .
ठीक है . दरअसल , मैं " बच चा - मु कत " सुन ना पसंद करती हूँ .	మంచిది . అ పప డు " పిలల లు లేని " అంటే సరి పో తుంది .
मैं बस थोडा पास जाती हूँ .	నేను కొ ద ది గా ము ందుకు వెళ తాను .
तो , हमें पी ने चल ना चाहिए .	అయితే , మనం డ రి ంక స కి వెళల ాలి .
मत जाओ . कृपया , यहीं रुको .	దయచేసి వెళ లకు . దయచేసి ఉ ండి పో .
- हम सु नि श चि त कर रहे हैं कि सब कर म में हो . - कैसे कर म में ?	- అంతా స వయ ంగా ఉండ ాలని మేము పరి శ ీ లి సతుననా ము . - స వయ ంగా అంటే ఏ వి ధ ంగా ?
हाँ ! जो कार दु र घट ना में हुआ था .	అవును ! కారు పరమా ద ంలో పడి న చి లలు అది .
जब कि ऐसा नहीं है कि तुम या मैं उ तनी पी एँगे .	నువవు , నేను అంత ఎకకువ తా గు తా మని కాదు .
हैलो . ए फ रो - के इ ली कला स के दूसरे हफ ते में सवागत है .	అంద రికీ హలో . ఆ ఫ రో కీ లీ డా నస రెండ వ వా రా నికి తిరిగి సవా గ తం .
मैंने नि शा ना ठीक कर लिया और गो लि यों को फ री ज किया .	నా గురి సరి చేసు కుననాను ఇంకా తూ ట ాలను మ ంచు గ డ డ లు గా చేశా ను .
चलो भी , इतनी भ ो ली मत बन ो . उसने कहीं कॉ पी करके रख ी होगी .	ఇలా చూడు , అ మా య కంగా మాటలాడ కు . వాడు వాటి ని ఎకకడ ో కా పీ చేసి ఉంటా డు .
खुद से झूठ बोल ना छोड ो . तुमहें उस फि ल म की ट ै ग ला इन याद नहीं है ?	నినను నువవు మో స గి ంచుకో వడం మా నే యి . ఒక సి ని మ ాలో ట యా గ లెన నీకు గురతు లేదా ?
बडा या छो टा ?	పెదద దా చినన దా ?
भगवान .	దేవుడా .
कभी दा यर नहीं हुए .	వాటి ని దా ఖ లు చేయ లేదు .
- बै का ! मैं तुमसे जयादा शक ति शा ली हूँ . - बि बी ! बि बी !	- బె కా ! నేను నీ క ననా బ ల శ ాలి ని . - బీ బీ ! బీ బీ !
यह सा मान य है . जैसा कि मैंने पहले कहा , अपने डै डी से पू छो .	అది స హ జ ం . ఇంత కు ముందు చెపపి న టలు , మీ నానన ని అడుగు .
- उस ी आ कार का ? - . . . ठीक है ?	- అదే సె జా ? - . . . సరేనా ?
मेरी बात सुनो .	నా మాట వి ను .
तो तुम कभी बाहर नहीं गई ?	అయితే ఆ ఇ లలు వి డి చి ఉండ లేదా ?
एक सच ची आ य रिश म हिला की तरह ता री फ सवी कार की . हाँ .	నిజ మెన ఐ రి ష మ హి ళ మా ది రి గా నా పర శం స ని స వీ కరి ంచా వు . అవును .
मुझे जलदी नहीं है .	నేను కంగా రు పడ టం లేదు .
मैं सोच रहा था कि जन म दिन पर अपनी ना व निकाल ूँगा .	నా పు టటి న రోజు స ంద ర భ ంగా బో టు బయటకు తీ దదాం అనుకుంటుననా ను .
तुमहें कैसा च ॉ क ले ट के क चाहिए ?	నీకు ఎలా ంటి చా కొ లే ట కే క అంటే ఇషటం ?
आप लि जो की तरह ना च ना सी ख सकती हैं .	నువవు లి జో మా ది రి గా అద రగ ొ టటు .
मुझे पाँच मिनट दो , और हम जल द ही खेल शुरू करवा देंगे .	అయి దు నిమిష ాలు వదిలే య ండి , ఏ అడ డం కి లే కుండా మనం మాటలాడు కు ందా ం .
मुझे डै ड की चि ट ठ ी मिली .	నానన రా సిన ఉ తత రం దొ రికి ంది .
तुम ही बोल ती रही , नो रा .	నువవే అంతా మాటలా డా వు , నో రా .
पहले पू छो . देखो तुमहारी माँ कया कह ती है .	ముందు అడుగు . మీ అమమ ఏమ ంటు ందో చూడు .
या नी हाथ से उठा कर मु ँ ह तक ले जाना ?	చేయి నుంచి నో టి వర కూ వయా యా మ ం మా ది రి గా నా ?
तर ंग ें काम करती हैं ?	అది పని చే సతు ందా ?
हाँ . अब भी कुछ चीजें हैं जो हमें सोच नी हैं , पर . . .	అవును , అంటే , ఇంకా కొనని విషయ ాలను మనం పరి శ ీ లి ంచాలి , కానీ . . .
अ रस , तुम डॉ न ल और गरेस को मुझसे और इ वा से दूर रख ो गी .	ఉ రస , నువవు డో న ల ఇంకా గరేస లని నా కూ ఇంకా ఈ వా కి ద ూర ంగా ఉ ంచాలి .
- शि शु करो टि में . - अरे , कृपया शि शु करो टि मत क हो .	- వాడి తల మధయ భా గ ంలో . - దయచేసి దానిని తల మధయ భా గం అన కు .
मैं डा ं सि ंग कला स ले रही हूँ .	నేను డా నస క లా సు లు తీసు కుంటుననా ను .
कृपया . मुझे माफ कर दो .	దయచేసి వి ను . ననను కషమించు .
कया उस बारे में बात करना क ठ ि न था ?	దాని గురించి మాటలాడ టం కష టం అనిపి ంచి ందా ?
और डा ंस के ज रि ए अपना परि च य देंगे ,	డా నస చే సతూ మన లని మనం పరి చ యం చేసుకో వాలి ,
- हाँ . - थोडा चीज भी है .	- అవును . - కొ ద ది గా చ ీ జ ఉంది .
- हैलो . - हैलो .	- హాయ . - హాయ .
- हैलो . - हैलो .	- హలో . - హాయ .
हम अभी - अभी एक वर क श ॉ प से लौ टे हैं .	మేము ఇ పపుడే ఒక వర క షా ప నుండి వ సతుననా ము .
- हाँ . - हाँ .	- అలాగే . - సరే .
वह इतना बुरा था , मै मी ?	అది అంత ఘ ో ర ంగా ఉందా , మా మీ ?
कम ब खत जू ता .	చెతత చెపపు లు .
जा य ज नहीं था ?	ఆ మో ద యో గ య మా ?
- और मेरे ट रे डि ंग कार ड का कया ? - ट रे डि ंग कार ड भी नहीं ज ला एँ गी .	- మరి నా ట రే డి ంగ కార డు ల సంగ తి ఏంటి ? - నీ ట రే డి ంగ కార డు లు కూడా త గు ల బె టట దు .
तो , गलती से जयादा मा त रा में डर ग स नहीं लिए थे ?	అయితే , పరమా ద వ శా తత ూ మ ందు లు వి క టి ంచ లేదు ?
पर तुमहें आज ही बना ना होगा ,	నువవు ఈ రో జే ఆ కే క త యా రు చేయాలి ,
कयोंकि जै र लड पू रे हफ ते में केवल कल ही ऑ फि स आए गा .	ఎందుకంటే జె రాల డ ఈ వా రం లో రే పు ఒకక రో జే అందు బా టు లో ఉంటా డు .
- वहाँ जाओ . - चलो .	- ఇకకడికి రా . - రండి .
तो , तुम पै रिस में सा ं सक ृ ति क कार य कर म ों में जाते थे ?	అయితే , పా రి స లో నువవు సం స క ృ తి పరే మి కు డి వా ?
बर थ डे बॉ य का खास अनु रो ध है जिस ने खुद यह सर परा इ ज आ यो जि त किया है .	తన కు తా నే ఈ సర పర ె జ ని ఏ ర పాటు చేసు కునన బర త డే బా య నుండి పర త యే క వి జ ఞ ప తి ఇది .
अगर सही जगह पर मा रो , तो वे चीजें ख तर ना क होती हैं .	స రెన లకష యం చూ సి కొ డి తే అవి చాలా పరమా ద క రం .
उसने कहा , " मैंने साल ों पहले उन गा र वी लड कि यों की बात सुन ना बंद कर दिया था .	" నేను ఆ గా ర వీ ఆడ పిలల ల మాట విన డం మా నే సి చాలా సం వ త సర ాలు అయి ంది .
मैं बता ना चाहती थी , अ रस , डॉ न ल ने जे पी से कहा कि वह आ सकता है .	అంటే , నేను చెపప ాలి అను కునన ది ఏంట ంటే ఉ రస , తను వ సతా నని జె పి కి డో న ల చెపపా డు .
अचछा खे ला .	అది మంచి ఆట .
नहीं , नहीं . तुम जाओ .	లేదు , లేదు . నువవు వెళ లు .
जानती हूँ . स फ े द . . .	నాకు తెలుసు . తె లల గా . . .
बी मा प ॉ लि सी पर मा ण प तर	ఇ నస ూ రె నస పాల సీ సర టి ఫి కె ట
यह बढिया ब हा ना है . और मेरा नि शा ना अ च ूक है .	అది చ కక ని కారణ ం . నా లకష యం స వర ణ ప త కం .
कम ब खत . . . वह . . .	ఓ రి దేవుడా . . .
रुको .	ఆ గ ండి .
अचछा ?	అవునా ?
मुझे यह सही से करना होगा .	దీని ని సరి చేయ ాల సిన అవసరం ఉంది .
समझ ी ?	సరేనా ?
एक आँख वाली .	ఒక క నను తో .
जानता हूँ .	నాకు తెలుసు .
देखो उसने कया किया . देखो !	తను ఏం చేసి ందో చూడు . అ టు చూడు !
ख र गो श !	బ ననీ !
कमी ना .	వెధవ .
तुम यहाँ बाहर कया कर रहे हो ? कया थे रे सा ठीक है ?	ఇకకడ ఏం చేసతుననా వు ? థ ె రె సా బాగానే ఉందా ?
मैं हर समय उनकी बकवास उडा दे ती हूँ .	ఆమె తో ఎపపుడూ గొ డ వ పడు తు ంటా ను .
नहीं , नहीं , नहीं , नहीं , नहीं , नहीं .	లేదు , లేదు , లేదు , లేదు , లేదు .
मेरी पया री प तनी कै सी है ?	నా పరి య మెన బీ చ బం తి ఎలా ఉంది ?
यह इतनी बडी बात नहीं है .	అవును , అది ఏదో చినన ఆట వి డు పు .
तुम मा ह िर हो , और ते ज हो . तुम यह कर सकती हो .	నువవు బాగా చేసతా వు , వే గ ంగా క దు లు తా వు . నువవు చేయ గల వు .
- अ ल वि दा , रु बस . - अ ल वि दा .	- ఉంటా ను , రూ బ స . - బె .
मुझे अंदर आने दो गी ?	ననను లోప లి కి రా ని సతా వా ?
तुम यहाँ कया कर रहे हो ?	ఇకకడ ఏం చేసతుననా వు ?
तुमने बे न को बताया ?	బె న కి ఈ విషయం చెపపా వా ?
हे भगवान . हे भगवान .	ఓహ , దేవుడా . ఓ రి దేవుడా .
मुझे पु रा व सत ु ओं के मे लों में जयादा दिल च स पी थी .	ఎకకువ గా పు రా తన వ సతు పర దర శ న లకు వెళ తాను .
सा इ कल ॉ पस एक मर द है .	సె క లోప స అంటే ఒక మ గ వాడు .
तो आप सु पर माँ हैं ?	అయితే నువవు సూ పర అమమ వా ?
कोई ज ंक मे ल नहीं - कोई वि करे ता नहीं कोई गे - वि रो धी धा र मि क पागल नहीं	చెతత ఉ తత ర ాలు వే య దదు - సే లస ఉద యో గు లు రా వదదు స వ లి ంగ సం పర కు లెన మ త పిచచి గా ళలు రా వదదు
- चलो , अ र सला ! यहाँ आओ . - बै का , चलो .	- ఇలా రా , ఉ ర సు లా ! ఇకకడికి . - బె కా , ఇలా రా .
तो , यह त य रहा .	కాబటటి , ఇది ఖ ా యం .
रु बे न को मैं याद नहीं र हूँ गी . मेरा पहले का रूप . . .	రూ బె న ననను గురతు ంచుకో డు . దానికి ముందు . . .
हम साथ मिल कर परिवार शुरू करने वाले थे और . . .	మా కుటుం బ ాలు కలు సు కునే వి , అపపుడు . . .
- भा ड में गई सं सक ृ ति . - हाँ . इसकी कि से जरूरत है ?	- ఈ సం స క ృ తి ని వదిలే దదాం . - అవును . అయి నా ఇది ఎవ రికి కావాలి ?
- एक बार जब मैंने उसका साम ना किया , तो उसने कहा . . . - कॉ फी कैसे लेना पसंद करो गे ?	- నేను గ టటి గా అడి గి తే , ఒక సారి చెపపా డు . . . - మీకు కా ఫీ ఎలా కావాలి ?
तुमने कहा था कि तुमहें यह चाहिए .	నీకు ఇది కావాలి అని అడి గా వు అను కుననాను .
मुझे बि न बुला ए मे हमा न पसंद नहीं हैं .	హ ఠ ా తతు గా ఇంటికి వచచే వార ంటే నాకు ఇషటం ఉండ దు .
कया तुम चर च से हो ?	మీరు చ రచ నుండి వచచా రా ?
तुमहारा सवागत है , जान .	సంతోష ం , నా బంగా రం .
