पै निक	పా నిక
जान ना होगा कब जी तने के आ सा र कम हैं .	గె లి చే అవకా శం ఎ పపుడు ఉండ దో తెలుసు ండ ాలి .
देखा जाए तो , मेरा आ भा री होना चाहिए .	నిజ ానికి , నువవు నాకు క ృ త జ ఞ తలు తెలు ప ాలి .
- वह फा ट क के पास आकर रु का है ! - रे आ गया .	- అతను గే టు వర కు వచచా డు ! - రే వచచా డు .
पर सभी को एक ही बात का डर है .	కానీ మా అంద రి లో న ూ ఒక ే భ యం .
को र टे ज उसे ब लै क मे ल कर रहा था ?	కోర టె జ అతని ని బె ది రి ంచా డా ?
ऑ टो ट रे डर स , आपकी कया मदद कर ूँ ?	ఆ టో ట రే డ రస , ఎలా స హాయ పడ గలను ?
तुम सच में को र टे ज के साथ भ सम होने की सोच रहे थे ,	కోర టె జ తో పాటు నువ వ ూ పే లి పో వాలని అను కుననా వా ,
तो पूछ कयों रहे हो ?	మరి అడ గ డం దే నికి ?
चलो भी , हेदर . मैं थ ै ं कस गि वि ंग पर घर आ ऊँगा .	సరే లే , హే థర . నేను ఇంటికి థ యా ంక స గి వి ంగ కు వ సతాను .
अ मी र बन कर कैसा लग रहा है ?	ధ ని కు ర ాలి గా ఎలా అనిపి సతుంది ?
हमें झ ू ठा बता ए गा . श रत वाली पर ची न क ली है .	ప ంద ెం చ ీ టీ లు న కి లీ వని , మన ది అబ దధ మని అత న ంటా డు .
लि ली को लगा कि वह पै निक नाम क एक खु फ िया खेल खेल रही थी .	లి ల లీ తను పా నిక అనే ర హ సయ ఆట ఆ డు తునన దని అను కు ంది .
वैसे . . .	సరే . . .
मेरी गाडी लेकर करने नहीं दे सकता था .	నినను నా టర కకు కు అలా చేయ నీ య లేను .
अब , तुमहारी गाडी में है .	ఇపపుడు , అది నీ దాని లో ఉంది .
तीन . . .	మూ డు . . .
- डॉज ! - अरे , यार !	- డా డజ ! - ఛ , మి తర మా !
स पर लॉ क वाले ध ो खे के बारे में डि गि न स को बताया ,	నువవు స పర లా క పొ ల ంలో మో సం చేసిన టటు చెపపి ,
उनहोंने कहा अगर मैं भी खे ली तो तुम पै निक जी त सकती हो .	నే న ూ ఆ డి తే నినను పా నిక లో గె లి పి ంచ వచచ ని చెపపా డు .
- नै ट , तुम भा ला मु का ब ले पर हो ? - नहीं , रे के घर पर हूँ .	- నా ట , జ ౌ సట దగ గ రు ననా వా ? - లేదు , రే ఇంటికి వచచా ను .
- तुमहें हुआ कया है ? - माफ करना , यार .	- నీకు ఏమ యి ంది ? - ననను కషమి ంచండి .
घ ू म ने - फिर ने के लिए कुछ तो चाहिए था .	అంటే , నాకు ఒక కొతత బ ండి కావాలి .
- डॉज . . . - फिर मिल ूँगा .	- డా డజ . . . - మళళీ కలు సతాను .
मैं इसे ज ला ना चाहती थी .	అది కాల చేయ ాలని అను కుననాను .
यह कया ? को र टे ज भा ला मु का ब ले पर है ?	ఏంటి ? జ ౌ సట దగగర కోర టె జ ఉననా డా ?
- हे भगवान ! डॉज ! - उस में डॉज था .	- అయ యో , దేవుడా ! డా డజ ! - డా డజ వచచా డు .
और तक ली फ होती है .	అది బా ధి సతుంది .
अ ज ञ ा त भेज ने वाला ( बिना पर स ंग )	పం పి న వారు అ పరి చి తులు ( విషయం లేదు )
हमें पयार करने की जरूरत नहीं , रे .	మనం పరే మి ంచుకో నవ సరం లేదు , రే .
और जिस लडकी के पर हों , उसके लिए बा धा हूँ .	అది రె కక లు ఉనన అమమాయి కి మంచిది కాదు .
आज रात खु फ िया खेल जा दु ई . . .	ఈ రాత రికి ర హ సయ ఆట ఆన ంది ంచండి . . .
शायद . ह ॉल भा इ यों से 4 00 मी टर दूर पड ो सी ने बताया कि रे की क श ती से	హ ాల స వాళళ ప కకి ంటి వాళళు రే పడ వ లాంటి ది ఒక పా వు మె లు దూ రం లో
अचछी खबर यह है कि तुम पै निक के वि जे ता हुए .	శు భ వార త ఏంట ంటే , అ ధి కా రిక ంగా నువవు పా నిక వి జే త వు .
बाकी सब हार जाते हैं .	మి గి లి న అందరూ పరా జి తులు .
दिमाग भी काम करना बंद कर दे ता तो , फर क नहीं पडता न , सा ले ?	బ రె యి న డె డ అయి నా కూడా నీకు ఏమీ కాదు , అవునా , వెధవ ?
अपना ई मे ल देखना . तुमहारे लिए सर परा इ ज है .	నీ ఈ మె యి ల చూ సుకో . నీ కో ఆ శ చ ర యం ఉంది .
नै ट ली हेदर नि ल	నా ట లీ గ మని క హే థర
मुझे अचछा लगा कि तुम आई .	నువవు వచచా వు , సంతోష ం .
या उसे बदल ना चाहते हैं , तब आपको जो खि म लेना होगा .	లేదా మా రచ ాలను కునన వాటి కె , పరమా దానని ఎదు రి ంచ ాల సి రా వచచు .
- ताकि अं ति म चार में शा मिल हो सक ूँ . - इसलिए नहीं कह सकती .	- ననను చి వరి నాలు గు లో చే ర చా వు . - అందుకే చెపప కూడదు .
समय निक ला जा रहा है , जज ों को सच जान ना है .	సమయం మి ంచి పో తుంది , నయాయ నిరణ ే త లకు నిజం తెలియ ాలి ?
उसकी हि म मत देख कर द ंग रह गई .	ఆమె ధ ె ర యానని చూ సి ఆ శ చ రయ పోయింది .
सं वाद अनु वाद क पर वी न कौ र शो म	ఉ ప శ ీ ర షి కలు అ నువ ది ంచిన ది కర త సమ త
तुमहारे पापा से क हें गे .	మీ నానన తో మాటలాడ దాం .
तुम अब बडी हो गई हो .	నువవు దా దా పు గా ఎ ది గా వు .
और लडकी की पर छा ई , डर कर ,	ఆ అమమాయి నీ డ , భయ పడి ,
अपने बचचे के लिए किस ह द तक जाओ गी ?	నీ బి డ డ కోసం నువవు ఎంత వర కు తె గి ంచ గల వు ?
- मेरा भाई अस पता ल में है . - मेरी बहन कभी चल नहीं पा ए गी .	- మా అనన యయ ఆ సు ప త రి లో ఉననాడు . - మా చె లలి న డ వ లేదు .
मैं एक बो झ हूँ .	ననను మో య లే రు .
तो , डॉज मे सन ,	సరే , డా డజ మే స న ,
रुको , रे , अगर तुम यहाँ हो तो भा ला मु का ब ले में तुमहारी गाडी कैसे है ?	ఆగు , రే , నువవు ఇకకడ ఉంటే , మరి జ ౌ సట లో నీ టర క లో ఎవరు ఉననారు ?
हाँ , अगर मेरे पापा दोबारा परा ंत से बाहर जाने द ें तो .	అవును , మా నానన మళళీ ననను ఊ రు వది లి వెళళ ని సతే .
मैं नहीं चाहती कि पापा शे रि फ के खिला फ बोल ें .	నానన ష ె రీ ఫ కు వయ తి రే కంగా చెపప ాలి . వదదు .
भा ला मु का ब ले का सं के त .	జ ౌ సట సూ చి క వచచింది .
ह ंट और ली ला 2 0 मिनट में मुझे ले ने आ रहे हैं .	హ ంట మరియు లీ లా 2 0 నిమిష ాల లో వ సతుననారు .
हे भगवान . अगर को र टे ज ने रे और डॉज को रा स ते से ह टा ने की सो ची हो तो ?	దేవుడా . రే , డా డజ లను కోర టె జ అడ డు తొ ల గి ంచుకో వాలని అను కు ంటే ?
तुम उससे पयार करते हो ?	త నని పరే మి సతుననా వా ?
हाँ , मैं समझ ती हूँ .	అవును , నాకు అరథ మ యి ంది .
कोई ऐ बी को खेल से निकाल ने के लिए ब लै क मे ल कर रहा था .	ఎవరో ఆ బీ ని ఆట నుండి తపపు కో వాలని బె ది రి ంచారు .
और मैं तब भी यहीं र हूँ गी .	అయి నా ఇంకా నేను ఇకకడ ే ఉంటా ను .
तुमहें गर मी भर इंतजार रहा होगा .	దీని కే గా వే స వి అంతా వే చి చేసతుననా వు .
धत तेरी , रे ! मैं तुमहें मार डाल ूँगा !	అబబా , రే ! నేను నినను చం పే సతాను !
दो दिन पहले , आँख भी नहीं झ पक रहा था .	రెండు రోజు ల కరి తం క ళళు క ద ప లేదు .
रो ना मत . तुम रो ई तो मैं रो ऊँगा .	ఏ డ వ క ండి . మీరు ఏ డి సతే , నే న ూ ఏ డు సతాను .
श रत की पर च ियाँ हैं . और उसने डॉज से झूठ कहा .	ప ంద ెం చ ీ టీ లు . అతను డా డజ తో అబ దధ మా డా డు .
न क शे के अनु सा र खेल के नि ष ि द ध फा ट क तक पहुँच ो	ఆట కోసం ని ష ే ధి త గే టు మయా పు ను ఫ ాలో అవ వు
कयोंकि अगर तुम भा गी , तो वह हमेशा तुमहारे बरा बर ख डा होगा .	ఎందుకంటే నువవు పరి గె డి తే , నీ తో అది పరి గె డు తుంది .
उनहें मह फ ू ज जगह चाहिए और मैं देखना चाहता हूँ कि वह उसे मिले .	వాళళు కు పె రి గే ందుకు సు ర కషి త మెన చో టు కావాలి , నేను తన క ది ఉండే లా చూ సతాను .
फिर से बताओ गे कि यह कैसे होगा ?	ఇది ఎలా పని చే సతు ందో మళళీ చెబు తా వా ?
डि गि न स , यह तो शे र है .	డి గ గి నస , అది పు లి .
- तुम यही चाहते थे न ? - नहीं . उसका साम ना करना चाहता था !	- నువ వ ూ కో రు కు ంది అదే గా ? - లేదు . అతనికి ఎదు రు గా వెళళ ాలను కుననాను !
मुझे लगता है जी त की र कम लेकर जब वह निकल जाएगा , उसके बाद	నేను అనుకో వడం , అతను ఈ ప ంద ెం డబబు లతో వెళళి పోయా క ,
लगा कि तुम मेरे बारे में रा य बना चु की थी .	నీకు నా పె ఒక అభి పరా యం ఉ ంద ను కుననాను .
तो , लू क मेरे लिए फिर से पि टा .	లూ క నా కోసం మ రో సారి తన ను లు తి ననా డు .
सिरफ तुम परिवार का बद ला नहीं लो गे .	అంతా నువ వ ొ కకడి వే తీ రచు కో లేవు .
- खेल शुरू होता है ! - कमी ना कहीं का .	- ఆట పరా రం భ మ యి ంది ! - చినన వెధవ !
पै स ों को छोड ो . यह खतम तो हुआ .	డబబు మర చి పో . అది ము గి సింది సంతోష ం .
को र टे ज हमारे साथ खेल ता रहा .	కోర టె జ మన తో ఆ డు కుననా డు .
अभी से , जब तक हम नहीं कहते , कोई प हा डी से नहीं जाएगा , ठीक है ?	మేము చెపపే దా కా , ఎవరూ కొ ండ ని వి డి చి వెళళ వదదు , సరేనా ?
शायद वह किसी को नहीं ढूँढ रहा था .	నాకు ఇది ర హ సయ ఆ పరే షన లా లేదు .
- को र टे ज ने तुमसे कहा ? - नहीं !	- కోర టె జ ని నని లా చేయ మ ననా డా ? - లేదు !
पिछ ले साल , उसने जि मी के नाम से कर जा भी लिया .	అంటే , గ త ఏ డా ది , జి మ మీ పే రి ట కూడా అ పపు లు తీసు కుననా డు .
मतलब , मैं . . . अभी भी एल ए जा ऊँ गी .	అంటే , నేను . . . నేను అయి నా ఎ ల ఏ వెళ తాను .
किस बात का ?	దే ని గురించి ?
बो ला कि किसी की त ला श में लगा था .	తన ది ఒక ర హ సయ ఆ పరే షన అననా డు .
कोई बात नहीं . मुझे भ ू ख नहीं लगी .	పర వాలేదు . నాకు ఆ కలి గా లేదు .
- एक ! - रुको ! नहीं ! खेल रो को !	- ఒకటి ! - ఆ గ ండి ! వదదు ! ఆట ను ఆ ప ండి !
- तुमने अब भी जवाब नहीं दिया . - हाँ , दिया है .	- అయి నా పర శ న కు జ వా బు ఇవ వాల సి ందే . - అవును , పరే మి ంచా ను .
सच यह है कि . . .	వా సత వం ఏమి ట ంటే . . .
- अचछी बात है . - हाँ .	- మంచిది . - అవును .
और पता चला कि को र टे ज पर काफी कर जा है .	కోర టె జ చాలా అ పపు లో కూ రు కు పోయి న టటు తెలి సింది .
हा ला त बदल चु के होंगे .	అవును , మనం వే రు గా ఉంటా ము .
ऐसा करने नहीं दे सकता था .	నినను అది చేయ నీ య లేదు .
कुछ देर थोडा घ ू म ूँ - फिर ूँ .	కొ ంత కాల ం తి రుగు తాను .
क सम से , अगर कभी पता चला कि पै सा संभाल ने वाले का और र कम का . . .	నిజంగా , ఒక వే ళ బ యా గ మా న , గె లు పు బహు మ తి తో కనిపి సతే . . .
पर कुछ बातें आपको नहीं बता एँगे .	కానీ కొనని విషయ ాలు చెపప రు .
अचछा .	అవును .
हाँ , यही हो सकता है .	అవును , అందు లో అరథం ఉంది .
तो जिस चीज की आपको सच में पर वाह होती है ,	అపపుడు నువవు నిజంగా చాలా ప టటి ంచు కునే విషయ ాల కోసం ,
लि ली !	లి ల లీ !
रुको !	ఆ గ ండి !
इसलिए वह कू दी , इस उममीद में कि पर निकल आ एँगे .	అందు కని తను ఎ గి రి ంది , తన కు రె కక లు పె రుగు తా య ని అను కు ని .
वहाँ .	అది గో .
बु री खबर यह है कि त करी बन 1 2 : 2 0 पर	చె డు వార త ఏంట ంటే , దా దా పు 1 2 : 2 0 పరా ంత ంలో ,
एक वही था जि से मेरी पर वाह थी .	నా గురించి ప టటి ంచు కునే ది తను ఒ కకడ ే .
पर लगता है कि रे ह ॉल नहीं आने वाला .	కానీ రే హ ాల మా తరం రా వడం లేదు .
कि इतनी बडी बेवकू फी करे ?	ఇంత దారు ణ మెన తెలి వి త కకువ ప నా ?
दो खिला डि यों का सी धे फै ंट म हि ल पर मु का ब ला .	ఇదద రు ఆట గా ళళు ఫా ంట మ హి ల వ దద ముఖ ా ముఖ ి నే రు గా వ సతారు .
और झूठ बोल ने के बारे में मत सोच ना .	నాకు అబ దధ ం చెపప ాలని అనుకో కు .
रे की गाडी में हेदर कया कर रही है ?	రే టర కకు లో హే థర ఏం చే సతుంది ?
कया मतलब अ चा न क से पैसे आ गए ?	డబబు ఇ పపుడే కనిపి ంచింది అంటే ఏంటి ?
उसने खुद को मा रा , जे मस .	తన ను తాను చం పు కుననా డు , జే మస .
जिस से भाग नहीं सकती , कू द नहीं सकती , बच कर निकल नहीं सकती ,	నువవు ఎంత తీ వర ంగా పరయతని ంచి నా తపప ి ంచుకో లేని ది ,
अपना बै ग देखो . तुम ह क दार हो .	నీ బ యా గ చూ సుకో వాల సి ందే .
नै ट ली - तुम ! तुम आ रही हो ? रे पहुँच गया	నా ట లీ - ఏ య ! వ సతుననా వా ? రే వచచా డు
यही कि किस अचछा करती है या नहीं ?	తను ము దదు బాగా పె డు తు ందని తెలుసు కో వ ాలా ?
मेरी कला र क ने ठीक कहा .	మే రీ క లా రక క రె క టే .
किसी से कहा तो प छ ता ओ गे	చె బి తే అను భ వి సతా వు
घ बरा ओ मत .	కంగా రు పడ కు .
यहाँ आओ . मेरी ओर देखो .	ఇలా రా . ననను చూడు .
खेल रो को !	ఆట ను ఆ ప ండి !
खुद से शु रु आत करना अचछा है .	మిమమలని మీరు కను గొ న టం మంచి ఆ రం భ ం .
किसी ने मुझे भे जा .	ఎవరో నాకు అది పెటటా రు .
नहीं सू झ रहा जो वो चि ट ठ ियाँ लि ख सकता है कयोंकि कुछ बहुत ही वय क ति गत थीं .	వ రా య లే రని అనిపి సతుంది . ఎందుకంటే వాటి లో కొనని వయకతి గ త మెన వి .
पर मुझे डर है कि उसने कुछ बुरा सोच कर र खा है .	కానీ తను ఏదో దారు ణ మెన ది ఆలోచి ంచా డే మో నని కంగా రు గా ఉంది .
मुझे जाना है .	నేను ఇక వెళళ ాలి .
अब समझ में आया कि वह जु ए वाले माम ले में कयों फ ँ सा था .	అతను ప ందే లలో ఎందుకు ఉననా డో అది వి వరి సతుంది .
- यही चाहते हो ? - मुझे अपनी गाडी की चा बी दो .	- అదే నా నీ ఆలోచ నా ? - నీ తా ళ ాలు ఇవ వు .
और हम उनहें रो क ने के लिए कुछ नहीं कर सकते ,	మనం వాళళ ను ఆ పే ందుకు ఏం చేయ లే కపోతే ,
पता है . माफ करना .	నాకు తెలుసు . కషమించు .
हाँ . ताकि जी त जि मी की हो .	అవును . జి మ మీ ఖచచితంగా గె ల వాలని .
पर वैसे नहीं जैसे हम सोच ते हैं .	కానీ మనం అను కునన టటు కాదు .
इसलिए पै निक ऐसा खेल है जिस में डर है .	అందుకే పా నిక అంటే భయ పెటట ే ఆట .
तब मैंने अपनी गाडी में से ब म निका ला और तुमहारी गाडी के बं पर के नीचे लगा दिया .	నా కారు నుండి ఆ బా ం బు ను తీ సి , దానని నీ కారు బం పర కింద పెటటా ను .
को र टे ज की श रत ें कयों नहीं बता ई ं ?	నాతో కోర టె జ ప ందే ల విషయం ఎందుకు చెపప లేదు ?
उसने हमारे साथ चा ला की की .	అతను తెలి వి గా ఆ డా డు .
कैसे ?	ఎలా ?
डॉज !	డా డజ !
हाँ .	యా హ ూ !
टर ॉ य , रे का कया ?	ట రా య , రే సంగ తి ఏంటి ?
पै निक का वि जे ता . . .	పా నిక వి జే త . . .
तुमने जब कहा कि भा ला मु का ब ले में को र टे ज तुमहारी गाडी चला ए गा ,	జ ౌ సట లో కోర టె జ నీ కారు ను న డు పు తా డని నువవు చెపపా క ,
कया ?	ఏంటి ?
हाँ . तो . . .	సరే . అయితే . . .
हैलो .	హాయ .
मुझे अजीब लगा कि उसने छोड दिया , पर फिर मैंने रस सी देख ी .	అది వది లి వెళళ డం వి చి తర ంగా అనిపి ంచింది , అపపుడు నాకు తా డు కనిపి ంచింది .
बुरा मत मान ना , पर बहुत से लोगों ने झूठ कहा .	సరే , అది మన సు లో పెటటు కో కు , ఏదో చాలా జరుగు తునన టటు ఉంది .
न अं क , न फा य दा , और न समझ ौ ते की गु ं जा इ श ,	పా యి ంట లు లేవు , పర త యే క హ కకు లు లేవు , అవకా శ ాలు లేవు ,
हमारे पापा की मन पसंद सा ँ ड वाली रस सी थी .	అది మా నానన కు ఇష ట మెన ఎ దదు తా డు .
वहाँ ब म है . हमें उनहें रो क ना होगा !	బా ం బు ఉంది . మనం తన ను ఆ ప ాలి !
" तुमहें जी त की र कम दी है . "	" నీకు బహు మ తి మొతత ం అ ంది ంచ బడి ంది . "
पर मुझे एक और मिला और यह शे रि फ ने भे जा है .	కానీ నాకు ఇం కొ క టి దొ రికి ంది , ఇది ష ె రీ ఫ నుండి వచచింది .
- दो . . . - रुको .	- రెండు . . . - ఆ గ ండి .
मैंने वह दु कान में छोड दी .	నేను దానని దు కా ణ ంలో వది లి వచచా ను .
यह सच नहीं .	అది నిజం కాదు .
तुम ठीक हो ?	బాగానే ఉననా వా ?
पु ल पर मुझे वह सब कहना प डा , हेदर .	నేను వ ంత ె న మీద అవి చెపప ాల సి వచచింది , హే థర .
कयों वह मेरे लिए नहीं रु की ं ?	నేను తన తో ఎందుకు లేను ?
हे भगवान , यह तो शे र है .	అయ యో , అది ఒక పు లి .
- रह स य म य , पर ठीक है . - यकीन मान ो , अचछा लगे गा .	- చాలా ర హ సయ మెన ది , కానీ పర వాలేదు . - నమ ము , నీ క ది న చచు తుంది .
डॉज ने मुझे उनके बारे में बताया .	డా డజ ఆయన గురించి చెపపా డు .
भा ला मु का ब ले में को र टे ज मेरी गाडी चला ए गा .	జ ౌ సట లో కోర టె జ నా కారు న డు పు తా డు .
तुम कभी अपनी बहन की जान को लेकर नहीं खे लो गी , है न ?	నువవు నీ చె లలి జీవి తా నని ప ంద ెం వే య వు గా ?
उसकी तरफ बढ ना .	దాని దగగర గా వెళళ ు .
उससे भी जयादा .	అంత కు ముందు ను ంచే .
र दद कर दो . वह नहीं आने वाला .	అది ర దదు చేయ ండి . ఖచచితంగా అతను రా డు .
हे भगवान !	దేవుడా !
को र टे ज ने वो चि ट ठ ियाँ लि ख ी थीं ?	ఈ చ ీ టీ లు కోర టె జ వ రా శా డా ?
जरूर फिर से खेल को लेकर चा ला की कर रहा होगा ताकि कर जा उ तार स के .	తన అ పపు లు తీ ర చే ందుకు మళళీ ఆట ను తారు మా రు చేసతా డు .
कोई भी पै निक खेल सकता है , पर एक ही इंसान जी त सकता है .	ఎవరెనా పా నిక ఆడ వచచు , కానీ ఒక రే గె లు సతారు .
खुद कु शी करने के बाद .	ఆ య నను మొదటి చూ సింది డా డ జే .
कया ? कयों ?	ఏంటి ? ఎందుకు ?
- मुझे लगा कुछ बुरा हुआ . - रुको .	- ఏదో దారు ణ మెన ది జరిగి ంద ను కుననాను . - ఆగు .
बडा जि द दी है .	మొ ండి వాడు .
रे छोड दे गा . कया फा य दा ?	రే తపపు కో బో తుననా డు . ఇం కె ందుకు ?
तुमहारी माल किन शे र को लेकर बहुत परे शान है , हाँ ?	మీ బా స కు ఆ పు లి విషయ ంగా కో ప ంగా ఉందా ?
और , मुझे पकका नहीं पता था .	అ దీ కా కుండా , పూరతి గా ఖచచితంగా లేను .
मुझे लगा कि तुम समझ दार हो .	నువవు అంత తెలి వి త కకువ దాని వ ను కో ను .
कार प में सवागत है	కార ప కు సవా గ తం
पै निक खेल ने की सब की अपनी वजह है .	పరతి ఒకక రికీ పా నిక ఆ డే ందుకు ఒక కారణ ం ఉంది .
जब निय म खुद लि खो तो यही होता है .	మనం నియ మ ాలను వ రా య ాల సి వ సతే అదే జరుగు తుంది .
और मुझे डर है कि मैं कभी निकल नहीं पा ऊँ गी ?	నాకు ఎ పపటి కీ వెళళ లే నన న భ యం ఉంటే ?
तुमहारी गाडी कहाँ है ?	నీ కారు ఏమ యి ంది ?
उनहें हि फा ज त की जरूरत है .	వాళళ ను సం ర కషి ంచాలి .
आगे का सोच ने से पहले , दुनिया को देख ूँ .	తరు వా తే ంట ో తెలుసు కునే ముందు బయట ే ము ందో తెలుసు కుంటా .
मैं रे हूँ . अपना सं देश छोड दी जिए .	నేను రే ను . స ందే శం ఇవవ ండి .
उसने श रत लगा ई है कि जी त तुमहारी होगी ?	లూ క విషయం అబ దధ ం చెపపా డ ంటా వా ?
कोई इसे खतम करना भी नहीं जानता .	దానని ఎలా ఆ ప ాలో కూడా ఎవ రికీ తెలియ డం లేదు .
शे रि फ को र टे ज सु बह आकर यहाँ का च क कर लगा एँगे	ష ె రీ ఫ కోర టె జ ఉద యా న నే ఇకకడికి వ సతా డు , ఆ చో టం తా చూడ టానికి ,
धत . मुझे क पडे बदल ने हैं .	ఛ . నేను త యా ర వ వాలి .
आपका , को र टे ज	మీ కోర టె జ
अभी तक नहीं आया .	ఇంకా రాల ేదు .
वह आ गया .	అతను వచచా డు .
- रे ह ॉल आ गया ! - नहीं !	- రే హ ాల వచచా డు ! - అస స లు కాదు !
भ य का उल टा साह स नहीं ,	ధ ె ర యా నికి వయ తి రే కం భ యం కాదు ,
मेरा कमी ना भाई , यार !	నా పిచచి అనన యయ !
एक ड रा वना खेल खेल ते हैं ?	పరతి వే స వి లో భ యం కర మెన ఆట ఆడ తా రా ?
वा दा करो कि किसी से नहीं क हे गी कि मैं जज थी .	నేను నయాయ నిరణ ే త నని ఎవ రికీ చెపప కు .
तो , तुम कया करो गे ?	అయితే , నువవు ఏం చేసతా వు ?
तुमहारा .	నువవు .
लोग खेल के बारे में कई तरह की कहा निया ँ कहते हैं ,	జ నం ఆట గురించి ఎ నన ో క థ నాలు చెబు తారు ,
छोड ो भी . कुछ तो ढ ंग का काम करो .	సరే లే . ఇం కే ద యి నా చెపపు .
खेल को जी तने के लिए , आपको किसी बडी चीज पर भरो सा रख ना होगा .	ఆట ను గె ల వాల ంటే , మీ ర ది పరమా ద కర మెన దని నమమ ాలి .
- तुम रो ओ , मैं ह ँ स ूँगी . - अब मुझे भी रु ला ओ गे .	- నువవు ఏ డు వు , నేను నవ వు తాను . - ఇపపుడు నిజంగా ఏ డి పి సతుననారు .
को र टे ज को गाडी चला ने द ूँगा .	కోర టె జ ను న డ పని సతాను .
हमारे अं ति म परति यो गि यों के लिए जो र दार ता लिया ँ ,	అభి న ంది ంచండి , మన చి వరి పో టీ దారు లు ,
उसके पै र ों में गिर प डी ,	ఆమె కు తల ఒ గ గి ంది ,
पर तुमसे नहीं .	కానీ నీ నుండి కాదు .
कया कह रहे हो ?	నువవు ఏం అ ంటుననా వు ?
अब रे कहाँ है ?	అసలు రే ఎ కక డు ననా డు ?
हे भगवान ! डॉज .	అయ యో , దేవుడా ! డా డజ .
पर कुछ अलग है .	కానీ ఏదో భి నన మెన ది .
मुझे तो फर क भी नहीं प डा कि आगे कुछ है भी या नहीं .	అసలు ఇం కే ద యి నా ఉ ంద నే ఆలోచ న కూడా లేదు .
- हाँ ? - हाँ .	- అవునా ? - అవును .
हैलो . हाँ . मैं अपनी गाडी बे च ना चाहता हूँ .	హాయ , సరే . నేను నా కారు అమమ ాలి .
रे ह ॉल और डॉज मे सन !	రే హ ాల మరియు డా డజ మే స న లను !
- रे कल खेल हार जाएगा . - कया ?	- రే పు రే కా వాలని ఆట ఓ డి పో తా డు . - ఏంటి ?
इसलिए मैं तुमसे सच की उममीद करती हूँ .	అందు కని నువవు నిజం చెపప ాలి .
तुम लोग काफी करी ब आ गई हो जो कुछ दि नों के लिए सिरफ घर की देख भा ल कर रही हो .	కొనని రోజు లు ఇ లలు చూ సుకో డానికి వచచి ఇంత హా యి గా ఉననారు .
तुमहें लगता है को र टे ज ने लू क को लेकर झूठ कहा कयोंकि	కోర టె జ నీ గె లు పు పె ప ంద ెం కా శా డని మనకు
- दो मिनट , दो स तो ! - रे कहाँ है ?	- అందరూ విన ండి , రెండ ే నిమిష ాలు ! - రే ఎకకడ ?
- अब यह किस की गाडी है ? - ऐ न की .	- ఈ టర క ఎవరి ది ? - ఆన ది .
चाह े जि तनी भी कोशिश कर लो .	లేదా దూ క లేని ది , లేదా పె కి ఎ కక లేని ది .
तुम कया कह रहे हो ?	ఏం అ ంటుననా వు ?
तुमहें लगता है वह ठीक है ?	బాగానే ఉననా డ ంటా వా ?
कहाँ छ ू ने पर उसे मजा आता है ?	ఎకకడ ము టటు కు ంటే న చచు తు ందో తెలుసు కో వ ాలా ?
या मेरी गाडी के नीचे जो ब म है , वह करि समस का तो ह फा है ?	లేదా నా కారు కింద పె టటి న బా ం బు బ ొ మమ దా ?
वय क ति गत दूर रहो	పర ె వే ట దూ రం పా టి ంచండి
हाँ ! अचछा .	దొ రి కా యి . సరే .
यह कया ?	ఏంటి ?
नहीं .	చెపప ను .
देखो ,	చూడ ండి ,
ऐ बी को खेल से निकाल ने के लिए उसे ध म का रहे थे .	బె ది రి సతునన టటు అతనికి తెలి సింది .
मैंने इतना कुछ अपने अंदर द बा कर र खा था .	నేను ఒక టే పటటు కు వే ళళ ా డా ను .
वह भा गी , इस उममीद में कि ध र ती से आगे निकल जाए गी .	పరి గె తతి ంది , నే లను దా టి వెళళ ొ చచ ని .
और मैं तुमहें कयों बता ने लगा ?	నేను మీకు చెబు తా నని ఎందుకు అనుకుంటుననా రు ?
कुछ पता चला ?	ఏమ యి నా తెలి సి ందా ?
कि शो र नहीं हैं , भ ूत हैं .	వాళళు యు వ తీ యు వ కులు కాదు , ద ె యయ ాలు .
पर एक सवाल पूछ ूँगा .	అయి నా నినను ఒక పర శ న అడ గ ాలి .
कहा था , का ल प निक है .	మీకు చెపపా ను , అది కాల పని కం .
अगर यही हो तो ?	ఒక వే ళ అది ఇదే అయితే ?
यह कया है ?	ఏంటి ది ?
जो कुछ हुआ , उस में इस ह द तक खो गया था	నేను ఎంత గా లీ నమ యి పోయా న ంటే
यह एक स जा थी .	ఇది శి కష .
डॉज ? खुश हूँ कि तुम ठीक हो .	డా డజ ? డా డజ ? నువవు బాగానే ఉననావు సంతోష ం .
हे भगवान .	అయ యో , దేవుడా .
और तुम ? तुम कया करो गे ?	నీ సంగ తి ఏంటి ? నువవు ఏం చేసతా వు ?
ऐसा है . . .	నీకు తెలుసా . . .
- दम कल और ई ए म ए स चाहिए . . . - हेदर ?	- వెంట నే అ గ ని మా ప క ద ళ ం మరియు వె ద యు లు . . . - హే థర ?
यह रहा . यह रहा मेरा दोसत .	అది గో ఇ కక డు ననా డు . నాకు కావాల సిన వాడు .
हाँ . भ ूत िया कि शो र हैं , हाँ .	అవును నిజ మే . వాళళు క ౌ మార ద ె యయ ాలు , అవును .
हाँ .	అవును .
सब ूत	సా కష యం
जरा सोच ो कि तुमहें किस चीज से सच में डर लगता है .	నీకు నిజంగా ఏద ంటే భయ మో తెలుసు కో .
धत .	ఛ .
