पै निक	పా నిక
- हाँ . - मुझे अपने खे त ों में मदद की जरूरत है .	- అవును . - మా పొ ల ంలో కొంచెం సహా యం కావాలి .
जब पता चला , तो मुझे कुछ सू झ ही नहीं रहा था .	నాకు తెలి సే స రికి , నాకు ఏమీ అరథం కాల ేదు .
डि जा इन में काफी ग ड ब ड है , पु रा ने र सा यन पी पे ,	పర ధా న నిర మా ణ పరమా ద ం , పా త ర సా యన క పీ ప ాలు ,
- तुमने ऐसा कभी नहीं कहा . - यार , बैठ जाओ .	- నువవు అది ఎపపుడూ చెపప లేదు . - అమమాయి , కూ రచ ో .
शायद गरे न री में ही पता चले गा .	బహుశా ధా నయా గా రం లో దొ రు కు తు ందే మో .
जब तक आप एक को अलग नहीं कर ले ते ,	వారి లో ఒక రి ని వే రు చే సతే తపప ,
रू सी रू ले ट का खेल खेल ते हुए , जि मी ने खुद को मार डा ला .	జి మ మీ ర ష యన రూ లెట ఆట ఆ డు తూ త నని తాను చం పు కుననా డు .
अचछा है कि एड म ला यन स है . वह किसी काम का नहीं है .	ఆ డం లె నస ఉండ డం మంచి దే . నిజ ానికి అతను తెలి వి లేని వాడు .
वैसे , मेरा नाम ऐ न है .	అనన టటు , నా పేరు ఆన .
- हाँ . - वह मेरा ही है .	- తెలుసు . - అది నా దే .
- कि तुम जी त नहीं पा ओ गी . . . - कोई बात नहीं .	- నువవు గె లవ లే వని అనన ది . . . - పర వాలేదు .
- धत तेरी . - ड रू , तुम कर सकते हो !	- ఛ . - డ రూ , నువవు ఇది చేయ గల వు !
पर खु ल कर कभी उनके बारे में बात नहीं करते .	కానీ అవి మనం ఎపపుడూ బయటకు చెపప లేని వి .
परे रण ा , मा लू म नहीं , कम जो री , पता नहीं .	పరే రణ లు , తెలియదు , బ ల హ ీ న తులు అని శ చి త మెన వి .
तुमहारी भ ला ई चाहता हूँ . तुम जानती हो .	నీకు ఉ తత మ మెన ది కో రు కుంటా ను . నీ క ది తెలుసు .
जरूर . सभी खिला डि यों की जानकारी और कैसे मिले गी ?	తపప కుండా . వాళళ కు ఆట గా ళళ సమా చా రం ఎలా తెలు సతుంది మరి ?
खास कुछ नहीं , पर मैं न क द रु प ये दे ती हूँ .	అంద మెన ది కాదు , కానీ డబబు చె లలి సతాను .
कया मतलब ?	అంటే ఏంటి ?
कभी - कभी कहीं और जाकर पी ती हूँ .	ఒక కో సారి వే రే చో ట తా గు తాను .
ई सा के कट टर वि रो धी का ध ो खा .	అ లు పె రగ ని క రీ సతు వయ తి రే క వ ంచ న .
वह लू क ह ॉल के साथ गाडी चु रा ता था . एक लडकी को मा रा .	లూ క హ ాల తో కార లు దొ ంగ లి ంచా డు . అమమాయి ని చం పా రు .
मैं कह ने वाली थी कि उसे पैसे नहीं चाहिए .	అతనికి డబబు అవసరం లే దని చెబు తుననాను .
- नहीं , यार . नहीं . - ओह , लै ंग ली . यहाँ .	- వదదు , మి తర మా . వదదు . - ఓహ , లా ంగ లీ . ఇది గో .
डॉज मे सन !	డా డజ మే స న !
- सभी किसी न किसी चीज से डर ते हैं . - अचछा ?	- అంద రి లో ఏదో ఒక భ యం ఉంటుంది . - అవునా ?
वह कैसा इंसान होगा जिस का सो श ल मी ड िया अ का उ ंट नहीं ?	సా మా జి క మా ధయ మ ాల లో ఖ ా తా లేని వారు ఎవరు ఉంటా రు ?
- कुछ पता चला ? - परा ंत का हर एक सट ै न छा न मा रा .	- ఏమెనా తెలి సి ందా ? - ఊ రు లో సటా న అనే అంద రి వీ చూశా ను .
अगर हम दो नो खेल में हैं , तो हम साथ हैं .	మనం ఆట లో ఉంటే కను క , మనం కల సి ఆడ తా ం .
कुछ साल पहले , उसका भाई लू क जी ता था .	ఏ ళళ కరి తం అతని సోద రు డు లూ క ఆట గె లి చా డు .
मुझे इतना जान ना है कि . . .	నా కే ం తెలుసు కో వాల ను ంద ంటే . . .
मेरे लिए " द फा हो " ला ओ . मैं तुमहारी मदद करने आया हूँ .	వెళళి నాకు " ఫ క యూ " తీసుకు రా . నేను నీకు స హాయ పడ దా మని వచచా ను .
पता नहीं . तुम उसके साथ थी .	తెలీదు . నువ వ త ని తో డే ట చేశా వు .
आप उनहें ले ते नहीं .	ఎ ం పి క చేసుకో లేవు .
इसके बाद , हेदर नि ल .	తరువాత , హే థర హి ల .
तुमहें अपने साथ यह करना बंद करना होगा .	నీకు నువవు ఇలా చేసుకో వడం మా నే య ాలి .
पता है तुम अंदर हो . खो लो .	లోప ల ఉననా వని తెలుసు . తె రు వు .
र फ तार के लिए अं क दि ए जाएँगे .	వే గా నికి పా యి ంట లు ఇ సతారు .
ऐ बी की मौ त इसी तरह हुई थी न ?	ఆ బీ అలాగే కదా చని పోయింది ?
हि सा ब रख ने में मेरी मदद कर रही है , ह सी न सम र कै ल वो .	రి కార డు లు చూ సే ందుకు , నాకు స హ కరి సతుంది అంద మెన స మమ ర కాల వో .
आँख ों पर प ट टी बा ँ ध कर आई - 4 5 पार कर रही थी .	ఆమె క ళళ కు గ ంత లు క టటు కొ ని ఐ - 4 5 దా ట ాలని చూ సింది .
शायद आ ति श बा जी से उसकी याद ें ता जा हो उ ठ ी हों गी .	ఆ బా ణ స ంచా ఆమె జ ఞ ా ప కా నని గర తు చేసి ఉంటా యి .
और च ू हों के लिए कम से कम छ ह ऊँ ची इ मा रत ें .	ఇంకా ఎ లు క లకు క నీ సం ఆ రు వి లా స వ ంత మెన ఎ త తె న ఇ ళళు .
रि ग ली , वापस आओ ! तु र ंत वापस आओ ! तुम कया कर रहे हो ?	రి గ లీ , వె ను కకు రా ! వెంట నే ఇ ందు లోకి ఎ కకు ! ఏం చేసతుననా వు ?
ओह , हैलो .	ఓహ , హాయ .
बस भी करो . वे जगह पर हैं . यकीन मान ो .	ఆ పు . అవి అదే చూ సతుననా యి . నిజంగా .
दो स ती करने से ही तो कम जो रि यों का पता चल ता है .	సనే హం చే సతే నే శ తరు వు బ ల హ ీ న తలు తెలు సతా యి .
और एक नया रि कार ड का य म किया !	కొతత రి కార డు స ృష టి ంచా డు !
हि ल ना मत !	క దల క ండి !
माफ करना .	కషమించు .
मुझे उस रात का टर ै फि क देखना है .	ఆ రాతరి ట రా ఫి కను చూడ ాలను కుంటుననా ను .
उस रात जि तने शि का य ती फोन आए , उनके बारे में डि स पै च से बात हुई .	సర . ఆ రాతరి ఫి ర యా దు కాల స ని వే ది క ఇ చ చే వారి తో మాటలా డా ను .
रि ग ली , च ढ जाओ . अचछा कु त ता !	రి గ లీ , ఎ కకు . మంచి కు కక !
अ जन बि यों को इ जा ज त नहीं है .	అ పరి చి తు లను సవా గ తి ంచ ము .
त ख ते को तो ड मत देना , दोसत .	మి తర మా , చె కక ఇ రగ గొ టట కు .
माफ करना जो मैंने इतना गु ससा किया .	అంత కో ప గి ంచు కునన ందుకు కషమించు .
यार , वह कया है ?	చూడ ండి , అది ఏంటి ?
कि तने लोग असल में पै निक जी त ते हैं ?	కానీ ఎంత మంది పా నిక గె లు సతారు ?
और , हम चार बार साथ में सो ए थे .	అంతే కా కుండా , నాలు గు సా రలు కలి శా ను .
हमने सर दि यों में उससे बात की , और उसने बताया कि उसे कुछ नहीं पता था ,	ఆమె తో మనం శ ీ తా కాల ంలో మాటలా డా ము , తన కు ఏమీ తెలియ దని చెపపి ంది ,
उन में एक नाम मा य रा कै ं प बे ल का था .	అందు లో ఒక కాల ర మె రా క యా ం ప బె ల .
- वहाँ चल कर बात करें ? - ठीक है .	- మన మ కకడ కు వెళళి మాటలాడ దా మా ? - సరే .
आप गलत फै स लों की की मत चुका ते हैं .	చె డు వాటి కి మూ ల య మే చె లలి సతా ము .
चलो ! तुम कर सकती हो ! आगे बढ ो !	వెళళ ు ! నువవు చేయ గల వు ! వెళళ ు అంతే !
भ ित ति चि तर ण खुद वहाँ नहीं पहुँ चा .	గరా ఫి టీ దా న ంత ట అదే గ ీ య బడ లేదు .
जो पि ट ने से नहीं डर ता , मुझे अचछा लगता है .	ఓ డి పో డానికి భయ పడ ని వా డ ంటే నాకు ఇషటం .
सब हाथ ों का क माल है . बस पल टो और . . .	అద ంతా చే తి లోనే ఉంది . అది పె కి ఎ గరే సి . . .
- मेरे बा ल बना दो गी ? - ल ॉर न आया है . हमें जाना होगा .	- జు టటు అ లలు తా వా ? - లో ర న వచచా డు . మనం వెళళ ాలి .
याद दि ला द ूँ , परति यो गि ता में 2 3 खिला डी हैं .	గురతు చేసతుననా , మనకు పో టీ లో 2 3 పో టీ దారు లు ఉననారు .
मजा चाहिए तो सट ै न को इस नंबर पर फोन करो 1 ( 3 1 5 ) 8 3 . 3 6 1 4	మంచి సమయం కోసం సటా న కు కాల చేయ ండి 1 ( 3 1 5 ) 8 3 . 3 6 1 4
मजा चाहिए तो सट ै न को इस नंबर पर फोन करो 1 ( 3 1 5 ) 8 3 . 3 6 1 4	మంచి సమయం కోసం సటా న కు కాల చేయ ండి 1 ( 3 1 5 ) 8 3 . 3 6 1 4
कल 1 0 : 00 ब जे जो भी होने वाला है , गरे न री में होगा .	రే పు ప ది ంటి కి జరగ బో యే ది ఏదెనా , ధా నయా గా రం దగగర జరుగు తుంది .
देखो , वह नै ट है . ठीक है ?	చూడు , తను నా ట . సరేనా ?
तुम कया करती हो ?	ఏం చే సతు ంటా వు ?
यह हि सा ब कि किन से मिल ते हैं .	మనం ఎవరి తో ఉననా మో తెలుసు కుంటా రు .
धत तेरी !	అయ యో ఛ .
इस तरफ .	ఇ టు వెపు .
बस . . .	అ దీ . . .
किस से ? खेल से ?	దే నికి ? ఆట ంటే నా ?
- चा हो तो बात ची त शुरू कर सकती हूँ . - नहीं .	- అను మ తి సతే ఆమె ను పర శ ని సతాను . - వదదు .
डि गि न स ने अग ली चु नौ ती के बारे में कुछ नहीं कहा ?	డి గి నస తరు వా తి స వ ాలు ఎపపుడ ో తెలియ చేయ లేదు ?
- आप ख र चा देने को तैयार हैं ? - तैयार हूँ .	- ఛ ా ర జీ లకు అ ంగ ీ కార మే నా ? - అ ంగ ీ కార మే .
उसने कोई तो राज बता ए होंगे .	ఖచచితంగా ర హ సయ ాలు చెపపి ఉంటుంది .
तुम में और रे में कया बात हो गई ?	నీ కూ , రే కూ మధయ ఏం జరిగింది ?
सं वाद अनु वाद क पर वी न कौ र शो म	ఉ ప శ ీ ర షి కలు అ నువ ది ంచిన ది కర త సమ త
तुम लोग फिर से दोसत हो ?	మీరు మళళీ సనే హి తు లా ?
मैं हा ई सक ूल में थी .	రెండ ో ఏ డు చ దు వు తుననాను .
वैसे , तुमहारा सवागत है .	అనన టటు , నీకు సవా గ తం .
सि ंड रे ला , तुमहारा मो जा .	రా కు మా రి , నీ మే జో డు .
शुकरिया , परि ंस चार मि ंग .	ధనయవాదాలు , రా కు మా రా .
इस भ ित ति चि तर ण में सं खया ओं के ज रि ए हमारे लिए कोई सं देश हो तो ?	ఈ గరా ఫి టీ లో సం ఖ య లను ఉ ప యో గి ంచి మనకు స ందే శా నని ఇ సతు ంటే ?
- बढिया . तुम ठीक हो ? - ओह , शुकरिया .	- మంచిది . బాగానే ఉననా వా ? - ఆ , ధనయవాదాలు .
पता नहीं . मैंने हर नै ं डे ज से कहा कि परा ंत के हर	తెలియదు . హె ర నా డె జ ను నం బర లు , చి రు నా మ ాల కు పు ర మా యి ంచా ను .
सब ठीक है . बि श प हमें ले ने आए गा . हम जाने को तैयार हैं .	పర వాలేదు . బి ష ప మన లని తీసు కె ళళ ే ందుకు వ సతుననా డు .
साथ ही , वे आपका कहा मान ते हैं . जयादा तर .	అంతే కా కుండా , అవి చెపపి న టటు వి ంటా యి . చాలా వర కు .
सा ँ प , च ू हे और म क डि यों जै सी घट िया चीजें .	జ ల ద రి ంచే పా ము లు , ఎ లు కలు , స ాల ె పు రుగు లు ఉంటా యి .
म जे लू टे हैं .	తన తో గ డు పు తాను .
चलो किया जाए .	మనం ఇది చే దదాం .
मैं है रा न हूँ कि तुम यहाँ तक आई .	నువవు ఇకకడికి వచచా వ ంటే ఆ శ చ రయ ంగా ఉంది .
कया कर रहे हो ? एक नंबर के श ै ता न हो न ?	ఏం చేసతుననా వు ? చినన వెధవ వి , కదా ?
का श तुम मुझे बता ती .	నాకు చెపపి ఉండ ాల సింది .
नहीं , मैं पै निक के बारे में बात करने आई हूँ .	లేదు , పా నిక గురించి మాటలాడ ాలని వచచా ను .
घ बरा ओ मत , म ही ने में एक बार वाला स ना न हो गया .	కంగా రు పడ కు , నేను నె ల వా రీ స నా నం చేశా ను .
मजाक नहीं है . अचछा नहीं . इससे अचछा मजाक कर ले ते हो .	సర దా కాదు . మంచిది కాదు . నీకు ఉ తత మ మెన ది కాదు .
खिला डी , या जज लोग नहीं हैं . . .	ఆట గా ళళు కాదు , నయాయ నిరణ ే తలు కాదు . . .
सा मु दा य ि क कॉ ले ज के ब रो शर देख ने का समय मिला ?	నువవు క మ యూ ని టీ కాల ే జీ బ రో చ రలు చూశా వా ?
- तुमहारी मर जी है . - अचछा . ठीक है , देख ल ूँगी .	- అది నీ విషయం . - సరే . మంచిది . చూ సత ాల ే .
अचछा , ब ग . मैं तुमसे यहाँ 4 : 00 ब जे मिल ूँगी .	సరే , బ గ . నేను నినను ఇకకడ తిరిగి 4 గంట లకు కలు సతాను .
वे शायद खबर रख रहे होंगे कि कहाँ काम करते हैं . . .	వాళళు మనం పని చేసే చో ట తెలుసు కుంటా రే మో . . .
मैं . . . मैं संभाल ल ूँगी . यार , मैं ठीक हूँ .	నేను . . . న డ వ గలను . మీరు మ రీ ను , నేను బాగానే ఉననాను .
आपके लिए से र वि ल यू नि ट के एक कै दी का क ले कट क ॉल है .	సే రె వి ల జె లు లో ఖ ె దీ నుండి మీకు ఛ ా ర జీ వర తి ంచే కాల వచచింది .
शायद वे भर ती कर रहे हैं .	వాళళు నియ మి ంచుకో వచచ ని వి ననా .
तुमने नै ट से कोई बात की ?	నువవు నా ట తో ఏమెనా మాటలా డా వా ?
सु बह आओ तो ठीक रहे गा .	ఉద యం అయితే మంచిది .
श ौ क से . हाँ .	సంతోష ంగా . సరే .
कौन है ?	ఎవర ది ?
ठीक है ?	సరేనా ?
हि सा ब बरा बर .	బ కా యి తీ రి ంది .
बहुत हो गई बातें . हमें सु रा ग ढूँढ ने चाहिए .	మాట లు చ ాలు . మనం సం కే త ాల కోసం చూడ ాలి .
अब , मु ख य कार य कर म पर आ ते हैं .	ఇక , ముఖ య కార య కర మ ం సంగ తి .
अचछा . तो , ओ या नि एक . . .	సరే . అయితే , ఓ అంటే ఒకటి . . .
जहाँ से परे मि का ला ते हो ?	నీ పరే య సు లను తె చచు కునే చో టా ?
बिलकुल .	అవును .
कयोंकि मैं तुमहारा पिता हूँ .	ఎందుకంటే నేను మీ నా ననను .
- नहीं , मैं . . . - शायद सभी को यही लगता है .	- లేదు , నేను . . . - ఖచచితంగా అందరూ అదే అనుకుంటా రు .
आपने बात पूरी नहीं होने दी .	ననను పూరతి చేయ నివ వ లేదు .
- हाँ , हेदर ! - हाँ , हेदर !	- వెళళ ు , హే థర ! - వెళళ ు , హే థర !
- टे कस स में . - टे कस स में .	- టె క సా స మొతత ంలో . - టె క సా స లో .
छु ट टी के दिन , घर पर रह कर , पी ती हो ?	నీ సె ల వు రోజు నువవు ఇంట లో ఉ ండి తా గు తా వా ?
जू नि यर साल में आप जो भी करें , सब माफ होता है .	మొదటి ఏ డా ది కి ముందు ఏ దీ నీకు చ టట బ దధ ంగా వయ తి రే కం కాదు .
सा र ज ें ट लै ंग ली . शे रि फ वि भाग .	సా ర జె ంట లా ంగ లీ . ష ె రీ ఫ డి పార ట మె ంట .
अजीब यह है कि तुमने पूछ ा , लै ंग ली .	నువవు అడ గ డం వి చి తరం , లా ంగ లీ .
- हैलो , मि ं डी . - हैलो , हेदर .	- హే , మి ండ ీ . - హే , హే థర .
मुझे लगा कि पिछ ले हफ ते	గ త వా రం కాల చి న ఆ బా ణ స ంచా పె
अचछी बात क ही .	మంచి విషయం .
सब ग री क भा ष ा जैसा लगता है .	అంతా గర ీ క లో ఉనన టటు ంది .
इसके बाद . . .	తరువాత . . .
- मुझे बैठ ना होगा . - यहाँ पर .	- మనం కూ రచ ో వాలి . - ఇకకడ కూ రచు ందా ం .
फिर वे बस खुद को बचा ते हैं .	అపపుడు త మని తా ము ర కషి ంచు కుంటా రు .
बच कर भाग ने वाला .	పా రి పో యే క ళ ా కారు డు .
अचछा . और , डॉज मे सन , समय शुरू होता है तीन , दो , एक . . .	సరే . ఇక , డా డజ మే స న , నీ సమయం మొద ల వు తుంది , మూ డు , రెండు , ఒకటి . . .
तुम जब ज ं प के लिए निक ली , उसके बाद ही मुझे पता चला .	నువవు జ ం ప కు వెళళ ే వర కూ నాకు అది తెలియ లేదు .
और खेल से बाहर हो जाएँगे .	ఆట నుండి వె దొ ల గు తారు .
जब हमें लगता है कोई नहीं देख रहा , तब हम पर नजर रख ते हैं .	మనం ఎవరూ గ మని ంచ రని అను కు ని చేసే ది గ మని సతు ంటా రు .
आप लोगों के पास कोई काम मिले गा ?	మీ దగగర ఏదెనా ఉద యో గం ఉందా ?
- शायद . - मैंने आप से कहा कि मैंने	- అవు నే మో . - మీకు చెపపా ను గా ,
बि श प ली ला का दोसत कब से बन गया ?	బి ష ప ఎ పపటి నుండి లీ లా తో సనే హం చేశా డు ?
ला इ ब रे री की कि ता ब ें .	ఆగు . నా లె బర రీ పు సత క ాలు .
हाँ , इस हफ ते तो हैं .	అవును , ఈ వార మే , కలి శా రు .
आप जानते ही हैं , ऐ बी 1 8 पह ि यों वाली गाडी के नीचे आ गई .	మీకు తెలుసు గా , ఆ బీ ని 1 8 చ కర ాల వా హ నం గు ద ది ంది .
मैं बस नए बचचे को हैलो कह ने आया हूँ .	నేను కొతత అబబా యి ని ప ల కరి సతాను .
ए , यह सु रा ग है .	హే , అది ఒక సం కే తం .
नहीं , वह छ ठ ी कला स में था .	లేదు , అది అంతా ఆ రో తర గ తి వర కే .
सा ँ प ों का अ ड डा ,	పా ము లకు మంచి చో టు ,
यह अस ली नंबर नहीं है . दो सं खया एँ कम हैं .	ఇది నిజ మెన నం బ రు కాదు . అందు లో రెండు అ ం కె లు లేవు .
- और , मन ो रो गी भी हो सकता है . - वह भी .	- పె గా , అతను సె కో పా త అ యు ంటా డు . - అది కూడా నా .
शायद श ॉ ना के नी .	షా నా కె ననీ లా ఉంది .
चलो ! तुम कर सकती हो !	వెళళ ు ! నువవు చేసతుననా వు !
थोडा पास आओ . और पास .	ఇం కొంచెం దగగర కు . దగగర కు .
और तुम ? किस चीज से डर लगता है ?	మరి నీకు ? నీకు ఏద ంటే భ యం ?
अचछा ?	అవునా ?
मैं हमेशा कह ती हूँ न , " मे ह न त से अचछी है तै या री . "	ఎపపుడూ ఏం చెబు తా నో తెలుసు గా , " సిదధ ంగా ఉంటే శ ర మ త గ గు తుంది . "
मैं होता तो काम सभी में बा ँ ट दे ता .	నే నె తే వి భ జి ంచి వే గ ంగా తెలుసు కునే వాడిని .
तीन . . . देखा ? तो , रुको . पै ड खो लो .	మూ డు . . . చూశా వా ? అంటే , ఆగు ? ప యా డ తె రు వు .
उनहोंने फिर भी गलत फै स ले लिए .	వాళళ ను పిచచి ఎ ం పి కల నుండి కా పా డ లేదు .
- चलो . त सवी र लो . - बडा अचछा है .	- లోప లకు రా . ఫో టో తి య . - ఇది బాగుంది .
- बि श प को फोन करती हूँ . - अचछा .	- బి ష ప ను పి లు సతాను . - సరే .
और फिर अचछे से बा ल बना ओ .	జు టటు చ కక గా ఎందుకు దు వ వు కో వు ?
मुझे सा ढ े पाँच लगता है .	నేను ఐ దు నన ర ఇ సతాను .
गरे न री के द कष ि ण में जो स पी ड टर ै प है , उसकी टे प निकाल दो गे ?	ద కషి ణ ధా నయా గా రం దగగర వా హ నా ల టే పు లు తీసు కొ సతా వా ?
एक तरफ , इतना बेवकूफ है कि डर ता नहीं . दूस री तरफ . . .	ఒక వెపు , అతనికి భ యం అ ంట ూ లేదు . మ రో వెపు . . .
पे शा ब करना है .	బా తర ూ ం కు వెళళ ాలి .
अस ली बात यह है कि पै निक यहाँ का खेल है .	విషయం ఏంట ంటే , పా నిక సథా ని కు ల ఆట .
- टर ॉ य वै न . - कार प , टे कस स में लि प गल ॉ स लगा ओ तो	- ట రా య వయా న . - కార ప , టె క సా స లో లి ప గ లా స
दस से क ंड !	ప ది సె క నలు !
अभी लग भ ग 1 1 : 00 ब ज रहे हैं .	అంటే , దా దా పు పద కొ ండు అవు తుంది . ఛ .
रुको ! अचछा .	ఆగు ! సరే .
कम से कम कु त ते कभी सी ट ऊपर नहीं छोड ते .	క నీ సం కు కక లు సీ టు తె రి చి ఉ ంచ వు .
हाँ , लोग बडा इ नाम जी त ते हैं , पर	అవును , ఎవరో ఒక రు బహు మ తి ని తీసు కె ళ తారు ,
कुछ तो सच भी होती हैं .	వాటి లో కొనని నిజ మెన వి కూడా .
ए , तुमहें यह सब छोड ना होगा .	హే , నువవు ఇది ఆ పే య ాలి .
तुमने दिन भर कुछ खा या ?	నువవు రో జ ంతా ఏమెనా తి ననా వా ?
बू ढ े में अभी भी दम है .	ము స లి వాడు అయి నా అది ప టట ా డు .
हेदर नि ल , जि से 5 0 अं क फा लत ू मिल ेंगे	హే థర ని ల , ఆమె కు అద న ంగా 5 0 పా యి ంట లు ఇంకా తను
मैं रख दे ती हूँ .	నేను పె డ తాను .
कोई बरा ब री नहीं . केवल एक वि जे ता .	ఒకటి గా ఆడ ము . ఒక రే వి జే తలు .
- उनहोंने गाडी चु रा ई . . . - हाँ .	- వాళళు కారు దొ ం గి లి ంచడం . . . - అదే కదా .
- सवाल यह है . . . - कब ?	- పర శ న ఏంట ంటే . . . - ఎ పపుడు ?
नि ल को कितना समय लग जाएगा ?	ని ల పె న ప ంద ెం కా సతా వా ?
बर फ लगा लेना , ठीक है ?	నీకు ఒక సె కను ఉంటే , సరేనా ?
- कया ? न यो ता नहीं मिले गा ? - नहीं .	- ఏంట ీ ? ఆ హ వా ని ంచ రా ? - లేదు .
- दर द हो रहा है . - इसे पक ड पा ओ गी ?	- న ొ పప ి గా ఉంది . - ని ల ప గల వా ?
मैंने सुना कि उसका खेल से कोई सं बं ध न था .	దానికి ఆట కు సంబం ధం లే దని వి ననాను .
- जन म दिन मु बार क , जान . - जन म दिन मु बार क , माँ .	- హ యా పీ బర త డే . - హ యా పీ బర త డే , అమమా .
मेरी माँ हमेशा कह ती थी कि अगर वह बा थ रू म में पे शा ब न करे ,	మా అమమ అనే ది , అది టా యి లెట లో మూ తరం పో య లే కపోతే ,
और जि मी . . .	ఇంకా జి మ మీ . . .
शुकरिया .	ధనయవాదాలు .
उन को गाडी के लिए नया ट रा ंस मि शन चाहिए था .	తన కారు కు కొతత ట రా నస మి షన కావాలి .
थो डे छु ट टे ब चे थे , वो छोड दि ए .	కొనని డ ాల రలు వదిలే సింది .
दम घु ट रहा था . बात भी नहीं कर पा रही थी .	నా గొ ం తు న ొ కక ే సిన టటు అనిపి ంచింది . మాటలాడ లేక పోయా ను .
शुकरिया .	ధనయవాదాలు .
- तुमहें कुछ चाहिए ? - हाँ .	- నేను నీకు స హాయ పడ గల నా ? - అవును .
कुछ नजर आया ?	ఏమెనా క న బడి ందా ?
यह अचछी बात है .	అది శు భ వార త .
कया ?	ఏంటి ?
- नया खि लौ ना मिल गया , हाँ ? - हेदर ?	- ఆ డు కో డానికి కొతత బ ొ మమ దొ రికి ందా ? - హే థర ?
- माफ करना . - कोई बात नहीं .	- కషమించు . - పర వాలేదు .
- रे कमी ना प न कर रहा था . - बिलकुल .	- రే వెధవ లా వయ వ హ రి ంచా డు . - అలా నే చేసతా డు .
ये बचचे बस झ ु ंड के पीछे भाग ते हैं .	ఈ పిలల లు మ ంద ను అను సరి సతారు .
मैंने कभी भाग नहीं लिया .	నేను ఎపపుడూ ఆడ లేదు .
यहाँ आओ . जरा न हा लो	ఇలా రా . నువవు స నా నం చేసి
उममीद करती हूँ .	అవు న నే అనుకుంటుననా .
फर सट - एड आता है ?	పర థ మ చి కి త స తెలుసా ?
- वि लि य मस . - हाँ .	- వి లి య మస . - వ సతుననా .
तुमने डि स पै च को आ ति श बा जी के बारे में बताया . . .	కో ప ంగా సప ంది సతే , నేను అను కుననాను . . .
जब तक आप भाग ते रह ते हैं , आपका डर आप से एक क दम पीछे ही रह ता है .	మీరు ము ందుకు కొ న సా గి తే , మీ భ యం మీ ద రికి చే ర లేదు .
श ॉ ना के नी मु सी ब त कर सकती है .	షా న కె ననీ సమసయ కా వచచు .
शायद चर च में दो स ती हुई होगी .	బహుశా చ ర చి లో తెలు సే మో .
इससे कया होगा ?	ఇది ఎందుకు ?
तुम ठीक हो ?	బాగానే ఉననా వా ?
न . इससे अचछी जगह और कया होगी ?	లేదు . ఇ కకడి కంటే బాగా ఇం కె కకడ ఉంటుంది ?
हम ओ लड हा उस जाएँगे , तुमहारे लिए तुमहारा मन पसंद	ఓ ల డ హ ౌ స కు వెళళి నీకు ఇష ట మెన చ ీ జ బర గర
तुम कयों नहीं ?	నువవు ఎందుకు కాదు ?
वर ना आप खुद को बाकी के का फिर ों के साथ पा एँगे ,	లేదా మి గి లి న నా స తి కు లతో కూ రచు ంటా వు ,
नीचे मत देखना .	కింద కు చూడ కు అంతే .
" कल . . . कल दस ब जे . "	" రే పు . . . రే పు ప ది ంటి కి . "
हमने इस बारे में बात की थी .	మనం దీని పె మాటలా డా ము .
- चलो , बेटा . - कै म रे के लिए मु स कु रा ओ .	- రా , బా బు . - ఫ ొ టో కోసం నవ వు .
चो री और अ वै ध रूप से घु स ना .	దొ ంగ త నాలు , చ ొ ర బా టలు .
- पुलिस ! निक लो ! - पुलिस है ! चलो !	- పోలీసు లు ! వెళళ ండి ! - పోలీసు లు ! వెళళ ండి !
हाँ . आपको लगता है कि आपको . . .	తెలుసు . నా కే ది మంచి దో మీకు తెలు స ని . . .
तो इसे घर में नहीं रहना चाहिए .	అది ఇంట లో ఉండ కూడదు అని .
तुम अचछा करो गी . बस . . .	నువవు బాగా చేసతా వు . కేవలం . . .
- मेरा ट ख ना . - चलो .	- నా మ డ మ . - రా .
मैं देख सकता हूँ ?	నేను చూడ వచచా ?
तुमहें तो उसका पता ही है . सब ठीक हो जाएगा .	అంటే , తను ఎలా ఉ ంటు ందో నీకు తెలుసు . ఇ దంతా సమ సి పో తుంది లే .
हाँ . दो स ती करने .	ఖచచితంగా . కలు సుకో వడం .
चार ों तरफ चि ह न हैं .	చు టట ూ అంతా సూ చ నలు ఉననాయి .
एक दम है रा न कर दिया !	చాలా ఆ శ చ ర యం ! పెదద ఆ శ చ ర యం .
अचछा . तो , समय मिल ते ही	సరే . అయితే , దీ నికి ఐ స పెటట ాలి
ची जब र गर और त ले हुए आ लू ल ेंगे .	ఇంకా ఫ రె స తె చచు కు ందా ం .
और अब , किसी खास कर म में नहीं . . .	ఇక , పర త యే క కర మ ం లేదు . . .
- भ ित ति चि तर ण कल नजर आया था . - हाँ .	- ఇది ని నన గ ీ శా రు . - అవును .
पता है इस श हर की अस ली समस या कया है ? वह पै निक नहीं है .	నీకు ఈ ఊ రి అసలు సమసయ తెలుసా ? పా నిక కాదు .
वर ना वह गिर फ तार हो जाता .	ఎందుకంటే అతని ని అ రె సట చేసే వాళళు .
दु श मन से किसी तरह की दो स ती नहीं .	హే , శ తరు వు తో సనే హం వదదు .
इसके बाद ?	తరువాత ఎవరు ?
श ॉ ना के नी ! तुमहारी बा री !	షా నా కె ననీ ! నువవే !
हे भगवान !	అయ యో దేవుడా !
हे भगवान .	ఓ రి , దేవుడా .
