गरेस	గరేస
. . . इ वा , अ र सला , बि बी और बै का गा र वी .	. . . ఈ వా , ఉ ర సు లా , బీ బీ ఇంకా బె కా గా ర వీ .
कया हुआ ? यह बच प न का मो टा पा है . यह बेहद सा मान य है .	ఏంటి ? అది . . . అది ప సి తన పు కొ వ వు . అది పూరతి గా మా మూ లే .
कृपया . अगर तुमहें कुछ हुआ , तो याद रख ना मैं तुमहारे बिना कुछ नहीं कर सकती .	దయచేసి వి ను . నీకు ఏదెనా అయితే , ఒకటి గురతు ంచుకో , నువవు లే కుండా నేను ఏమీ చేయ లేను .
जी वन बी मा बी मा पर मा ण प तर	జీవి త బీ మా పాల సీ సర టి ఫి కె ట
यह कया . . . रुको , तुम ऐसे नहीं जा सकते .	ఏ మెంది . . . ఆగు , నువవు అలా వెళల లేవు .
ब ला न ड ? अपने तो हफ े ले लो .	బ లా న డ ? నీ బహు మ తులు సర దు కో .
- मै मी ! - हाँ ?	- మా మీ ! - ఏంటి ?
करी म लगा लो .	క రీ మ పెటటు కో .
मेरा पिछ वा डा .	నా పి రు దు లు .
उससे पहले भी मर सकता है .	అంత కంటే ము ందే పో వచచు కూడా .
- तुमसे टॉ य ले ट के प ब की बू आ रही है . - सच में ? मुझे लगा कु त ता - घर की बू आ रही थी .	- నువవు ఒక ప బ మూ తర శ ాల కం పు కొ డు తుననావు . - నే నా ? కు కక గ ూ డు వా స న అను కుననాను .
तुम कयों . . .	ఎందు క లా . . .
वैसे तुम श नि वार को कयों काम कर रहे हो ?	శ ని వా రం రోజు ఎందుకు పని చేసతుననా వు ?
- हम साथ में तै र ें ? अब तुम काफी बडी हो गई हो . - हाँ .	- మనం వెళ దా మా ? నీకు ము స లి త నం వచ చేసి ంది . - అవును .
कोई जेल नहीं जा रहा है .	ఎవ వర ూ జె లు కు వెళల డం లేదు .
हे भगवान . तुम अभी पूरी तरह से मै म जै सी दिख रही हो .	ఓహ , దేవుడా . నువవు అ చచు అమమ లా గా పర వర తి సతుననా వు .
ती स दि नों से गर भा व स था में प डी हूँ .	గర భ ంతో ము పప ె రోజు లు గా ఇలా పడి ఉననాను .
वह मुझे शा ंत झ ी लों पर ले जाते हैं .	ని శ చ ల మెన నీ టి వ దద నాకు దా రి చూ పు తా డు .
हम वि लि य मस की अं ते ष टि में जा रहे हैं .	మనం వి లి య మస అంత య కరి య లకు వెళ తుననాం .
- बहुत खू ब . तुम इसकी ह क दार हो , जान . - हे भगवान .	- మంచి పని . నువవు సా ధి ంచు కుననా వు , బంగా రం . - దేవుడా .
- नहीं . हमें करना चाहिए . मैं करना चाहती हूँ . - चलो .	- లేదు . మనం చేయాలి . నాకు చేయ ాలని ఉంది . - పద ండి .
मैं कल तुमसे फो र टी फु ट में तै रा की के लिए मिल ूँगी .	ఈ త కోసం ఫా ర టీ ఫ ు ట దగగర రే పు మిమమలని కలు సతాను .
मुझे इसका आ दी होने में थोडा समय लगा .	అ ల వా టు పడ టానికి కొ ంత సమయం ప టటి ంది .
हाँ , और तुम सच में मो टी हो गई हो .	సరే , కానీ , నువవు బాగా లా వు గా ఉననావు .
अपने गु स से को निय ं तर ण में रख ो , जे पी .	నీ పొ గ రు ని అ దు పు లో పెటటు కో , జె పి .
हाँ . ठीक है .	సరే , అలాగే .
- सवा दि ष ट है ? - शान दार है .	- బాగు ందా ? - చ కక గా ఉంది .
मुझे बेहद खे द है , जान .	కాబటటి , కషమించు , బంగా రం .
तुम इतनी जलदी जा रहे हो ?	నువవు బయ లు దే రు తుననా వా ?
- मैं खुद ख री द सकता हूँ , धनयवाद . धनयवाद . - ठीक है .	- నా డ రి ంక నేను కొ నుక కో గలను , ధనయవాదాలు . - సరే .
- मुझे देर हो रही . . . - भगवान . मेरे पै र में चो ट लगी है .	- నేను ఇ పపటి కే ఆ లస యం అయ యా ను . . . - దేవుడా . నా క ాలు ప చచ డ యి ంది .
मैं बस न ॉ टि ंग हि ल बॉ न ग दु का नों के सामने ब लै क ए ण ड व हा इट	బ లా క అ ండ వె ట ఏ డు పు గొ టటు ఫో టో లు నా టి ంగ హి ల హు క కా షా పు ల ముందు
मुझे पता है , पर मुझे इसमें उसकी जरूरत है . वह परिवार है . कभी - कभी .	నాకు తెలుసు , కానీ అతని అవసరం ఉంది . వాడు మన కుటుం బ ంలో ఒక డు . అ పపుడ పపుడు .
हम बै का के बिना शुरू कर रहे हैं ?	బె కా లే కుండా నే మనం మొద లు పెటట ే ద దా మా ?
हम पा पि यों के लिए परा र थ ना कीजिए .	మ రణ ి ంచే సమయం లో మా కోసం పరా రథ న చేయి .
- पिछ ले करि समस में उस न शे डी के साथ थी . - वह एक छा तर था .	- కింద టి కరి సమ స కి వచచి న డ రగ స వయ స న ప రు డు . - అతను ఒక వి ద యా రథ ి .
करि समस की ब धा इ या ँ , जान .	హ యా పీ కరి సమ స , బంగా రం .
- चलो भी ! - भगवान के लिए .	- ఇలా చూడు ! - చెతత పని .
मैं भूल ती रह ती हूँ कि वह चल ब से . कया यह बु री बात है ?	అతను చని పోయా డ నే విషయం నేను మర చి పో తుననాను . అది ఏమెనా తపప ా ?
- नहीं . मैं बिलकुल . . . - हर को ने में पुलिस वाले होंगे .	- లేదు . నేను బాగా ఉననాను . . . - అనని చో ట లా పోలీసు లు ఉంటా రు .
हम दि वा लि ये प न के बेहद करी ब हैं .	మనం ది వాళ ా తీ య డానికి దగగర గా ఉననా ం .
माफ करना . मुझे दस तक दे नी चाहिए थी .	కషమించు . నేను తలు పు త టట ాల సింది .
हमेशा की तरह , हम एक - दूसरे की रकष ा करेंगे .	మనం ఎ పపటి మా ది రి గానే ఒక రికి ఒక రం అ ండ గా ఉందా ం .
भगवान के लिए , बि बी . हम सभी को एक ही ब यान देना होगा .	చెతత గా మాటలాడ కు , బీ బీ . మన ంద రం ఇపపుడు ఒక ే మాట మీద ఉండాలి .
हि ं सक मौ त के बाद लि ंग का ख डा होना अ सा मान य नहीं है .	మ రణ ి ంచిన తరువాత అ ంగ ం స తం భి ంచడం అనే ది అ సా ధా రణ ం ఏమీ కాదు .
और हि ल ना मत . बिलकुल कहीं मत जाना .	కానీ నువవు క ద లకు . అస స లు క ద లకు .
- और ज ॉन प ॉल . - फर ै ंक .	- ఇంకా జా న పాల . - ఫ రా ంక .
हाँ . जब हम छो टे थे , तो हमारे मा ता - पिता के साथ तै र ने जाते थे ,	అవును , అవును . మా చినన త నం లో మా తల లి ద ండ రు లతో కలిసి ఈ త కి వెళ లే వాళల ం ,
मुझे सच में माफ कर दो .	ననను నిజంగా కషమించు .
ऐसी बात नहीं है . उनहोंने बस तुमहारे जि तने ब डे नि प पल कभी नहीं देख े .	అది కాదు . నీకు ఉనన ంత పెదద చ ను మొ న లని వాళలు ఎపపుడూ చూ సి ఉండ రు .
एक साल में .	ఒకక ఏ డా ది .
हाँ . बेशक .	సరే . అలాగే .
जब से . . . जब से मैं लौ टा हूँ .	నేను తిరిగి . . . వచచి న పపటి నుండి .
थ ॉ मस मो बा इ ल	థా మస మొ బె ల
मैंने कहा कि मैं तुमहारे साथ थी .	నేను నీ తో ఉననాను అని చెపపా ను .
थ ॉ मस कला फि न , कला फि न ए ंड सं स . यह मै थ यू कला फि न है .	థా మస క లా ఫి న , క లా ఫి న అ ండ స నస నుంచి . ఇ తను మా థ యూ క లా ఫి న .
ठीक है . कैसा सर परा इ ज ?	సరే . కానీ ఎలా ంటి ది ?
- मैं तुमहें वे ट सू ट ख री द द ूँगी . - नहीं लगे गी . 3 0 से क ंड बी त ते ही ,	- నీకు వె ట సూ ట కొ ంటా ను . - కాదు . ము పప ె సె క నలు పడు తుంది అంతే ,
वह मुझे सच में बे च ै न महसूस करवा रहा था और मैं बस घ बरा गई .	అతను ననను చాలా అస ౌ కర యా నికి గురి చేశా డు దాని తో నాకు భ యం వే సింది .
मर ने का अजीब तरी का है , है न ?	వి చి తర మెన వి ధ ంగా చని పో వడం , కదా ?
लगता है तुम किसी कु त ता - घर में सो ए थे .	నువవు ఏదో మ టటి లో దొ ర లి న టలు కనిపి సతుననా వు .
मैंने अभी तक बी मा के का ग जा त नहीं पढ े हैं .	నేను ఇంకా పాల సీ ప తర ాలను కూడా చూడ లేదు .
कै सी गो लिया ँ ? तुम गो लिया ँ कयों ले रहे हो ?	ఏం మ ందు లు ? దే నికి మ ందు లు వాడు తుననావు ?
मेरा पह ला बच चा कुछ ही हफ त ों में जन म ले गा .	నా మొదటి బి డ డ కొ ద ది వా రాల లో పు డు తుంది .
पता नहीं मेरा धयान कहाँ था .	నేను ఏం ఆలోచి సతుననా నో తెలియదు .
चलो चल ें .	వెళ దాం పద .
- च ूँ कि हम सभी घ ो ष ण ा एँ कर रहे हैं . . . - शा बा श .	- మనం ఇలా పర క ట నలు చేసతుననా ం గ నుక . . . - తెలి వెన పని .
और काफी सोच ने के बाद , मैंने प दो न न ति के लिए अपना नाम दिया है .	దీని తో నేను చాలా ఆలోచి ంచి , పర మో షన కోసం దర ఖ ా సతు చేశా ను .
चलो , बै का !	పద , బె కా !
माफ करना .	మన ని ంచండి .
मेरी सं वे द ना एँ , मि से ज वि लि य मस .	నా సా ను భ ూ తి , మి సె స వి లి య మస .
दरअसल यह मेरी नहीं है . मैं बस पह ने रख ता हूँ .	ఇది నిజ ానికి నా ది కాదు . నేను ఇలా వే సు కునే ఉంటా ను .
तुमहारे पिता जी घर पर हैं ? तुम क होगी , करि समस के दिन वह और कहाँ होंगे .	మీ నానన ఇంట లో ఉననా డా ? కరి సమ స రోజు ఇం కె కకడ ఉంటా డు , అంటా వు కదా .
कृपया , मुझे यह एक और दो गी ?	నాకు దయచేసి మళలీ అదే ఇవవ గల రా ?
वह ऊपर हैं , तै रा की के लिए तैयार हो रही हैं .	తను మే డ మీద ఉంది , ఈ త కోసం దు సతు లు మా రచు కు ంట ో ంది .
मेरा अपना वय व सा य है . बस छो टा सा है , पर . . .	నా స ొ ంత వయా పా రం నాకు ఉంది . అది చినన ది , కానీ . . .
अपना सा मान ले लो .	నీ వ సతు వు లు సర దు కో .
ऐसा कयों कह रही हो ? बस एक ही करि समस में ऐसा हुआ है .	అలా ఎందుకు మాటలాడు తా వు ? ఈ ఒకక కరి సమ స కే కదా ఇలా జరిగింది .
लोग बि न बुला ए मेरे घर में नहीं आ ते हैं	నాకు హా ని కలి గి ంచే ఉదదేశం ఉంటే తపప
जो म हिला गर भ व ती नहीं हो सकती , कैसा कमी ना उससे पूछ ता है कि कया वह गर भ व ती है ?	తను గర భ వ తి అయి నా కూడా పిలల లు క నవ దద ని చెపపే వాడు ఎంత వెధవ అయి ఉంటా డు ?
लगता है वह सच में नहीं आए गी .	చూడ బో తే అదే జ రి గే లా ఉంది .
सच में , तुमहारा पै र कैसा है ?	నిజంగా , నీ క ాలు ఎలా ఉంది ?
वह पीछे गई है , बै र ल बदल ने के लिए .	ఆమె వె నుక వెపు ఉంది , మ ందు ని ంపు తోంది .
और कुछ चाहिए ? तुम कुछ घं टे अके ले रह लो गी ?	ఇంకా ఏమెనా కా వ ాలా ? కొ ద ది గంట ల పాటు చూ సుకో గల వా ?
तुम चाहते हो कोई ऐसा वह फो लड र उठा ए , जो गाडी न चला रहा हो ?	డ రె వి ంగ చేయ ని వయకతి నీ కోసం దానిని అందు కో వాలని నీకు అనిపి ంచ లేదా ?
मैं तुमहें फोन कर ूँगा . कया कह ती हो ? हम यह आ राम से करेंगे .	నేను ఫోన చేసతాను . అది ఫర వాల ే దా ? మనం దీని ని మా మూ లు గా వయ వ హ రి ద దా ము .
- हमें उसकी जा ँच करनी है . - कैसा नया दा वा ?	- మనం ఆ విషయం పరి శ ీ లి ంచాలి . - కొతత క లె యి మ ఏంటి ?
मेरी को ह नि यों के लिए जगह ही नहीं है .	నా మో చే తులు పెటటు కునే చో టు లేదు .
तो , जै र लड , मेरा बॉ स . . .	సరే , జె రాల డ , నా య జ మా ని . . .
पु रा ने नहीं हैं .	ఎకకువ సే పు కాల ేదు .
मुझे तुमहारे लिए खे द है .	మీ ఇ బబంది కి వి చా రి సతుననాను .
नहीं , मुझसे ऐसे बात मत करो .	వదదు , నాతో అలా మాటలాడ కు .
- अपने हाथ दो . - नहीं . मैं यह नहीं कर ूँगी .	- నీ చే తులు ఇలా ఇవ వు . - లేదు . నేను ఇ దంతా చేయ ను .
हम बस क हें गे कि हम तुमहारे साथ थे . यह पूरी तरह से झूठ भी नहीं है , है न ?	నీకు అ ండ గా మేము ఉంటా ము అని చెబు తా ము . అది నిజం కా కుండా పో దు కదా ?
भगवान . रि टा यर होने के लिए इतना काफी है .	దేవుడా . మనం రి టె ర కా వడానికి సరి ప డా డబబు ఇది .
पर खुशी है कि वह यहाँ मौ जू द है .	కానీ ఇ తను ఇకకడికి రా వడం మంచి ద యి ంది .
अब गरेस को खुद ही सं तु ष ट होना होगा .	గరేస కి ఇం క తన రెండు వే ళ లే గ తి .
धनयवाद . यह सच में बहुत बडी कष ति है .	ధనయవాదాలు . అది మాకు తీ రని లో టు .
- नहीं , तुमने सही कहा , जे पी . - चलो भी . यह म जे के लिए है .	- లేదు . నువవు నిజ మే చెపపా వు , జె పి . - ఇలా చూడు . ఇ దంతా సర దా కోసం .
मेरी बहन लं च के लिए आने वाली थी , और उसे ऑ इस टर पसंद है ,	చూడ ండి , మా సోద రి భ ో జ నా నికి వ సతా న ంది , ఆమె కు గు లల చే ప ల ంటే ఇషటం ,
- तुम पागल हो . - माफ करना . जलदी में हूँ , पर हाँ .	- నువవు ఒక జ ం తు వు వి . - కషమించు . హ డా వు డి లో చేశా ను , సరే .
मि से ज वि लि य मस मेरी बहन है .	మి సె స వి లి య మస నా సోద రి .
मा इ कल अपनी जी ए ए जर सी नहीं उ तार रहा है !	మె ఖ ే ల తన గే లి క ఫ ు ట బ ాల జె ర సీ ని వి పప డం లేదు !
तुमने कयों , मेरा मतलब , कयों तुमने . . .	ఇది ఎందుకు ఉంది , అంటే , ఎందుకు ఇది ఇకకడ . . .
- करि समस की ब धा इ या ँ . . . - करि समस की ब धा इ या ँ .	- హ యా పీ కరి సమ స నీకు . . . - హ యా పీ కరి సమ స .
कोई पु ष टि नहीं कर सकता . मैं ज ॉन प ॉल के घर लौट ने का इंतजार कर रही थी .	నిర ధా రి ంచ డానికి ఎవ వర ూ లే రు . జా న పాల ఇంటికి తిరిగి వ సతా డని ఎదు రు చూ సతూ గ డి పా ను .
ज य म रि य म , अनु ग रह से भर पू र , ई श वर आपके साथ हैं .	మే రీ మా త కు సతు తి , క రు ణ ా మ యి , ఆ పర భు వు నీ తో ఉ ండు గా క .
अगर बुरा न मान ो , तो हमें हमारे शो क में अके ला छोड दो . धनयवाद .	మీరు ఏమీ అనుకో కపోతే , ఈ సమయం లో మమ మ లని ఏ కా ంత ంగా ఉండ నివ వ ండి . ధనయవాదాలు .
हाँ . लग भ ग एक साल पहले ही लौ टा .	అవును . ఏ డా ది కింద టే తిరిగి వచచా ను .
ए , ऐसा नहीं होगा .	హేయ , అది జరగ దు .
- माँ और पिता जी का दिल ट ू ट जाता . - अचछा हुआ वे चल ब से .	- అమమా నానన లకు బాధ కలి గి సతుననా ం . - వాళలు చని పో వడం మంచి ద యి ంది .
- ठीक है . - शा बा श , बै का !	- సరే . - మంచి నిరణ యం , బె కా !
मैं म सा ज थे रे पि सट हूँ .	నేను మ సా జ చి కి త స చేసతాను .
कया तुम किसी कु त ता - घर में सो ए थे ?	కు కక ల గ ూ డు లో కానీ పడు కుననా వా ?
वह मेरी आत मा को न ई शक ति दे ते हैं .	నా ఆ తమ ను పు న రు జ జీవి ం ప చేసతా డు .
बेशक उसे मे क अप लगा या गया है .	కానీ , అతను మే క ప వే సు కునే ఉననాడు .
- ठीक है , मेरा पसंद ी दा . - पूरी तरह से सो ची - समझ ी है .	- అవును , ఇది నాకు ఇషటం . - చాలా , చాలా , చాలా కావాల నే చేశా ను .
- फर ै ंक . ए . - मैं बस मजाक कर रही हूँ .	- ఫ రా ంక . హేయ . - నీ తో కేవలం జో క చేసతుననా ను .
तुमसे मिल कर खुशी हुई . कया तुम यहाँ खा ओ गे या . . .	నినను కల వడం సంతోష ం . ఏమెనా తి ంటా వా లేక . . .
यह तै र ने के बाद के लिए ड रा ई रो ब है .	ఈ త కొ టటి న తరువాత తు డు చు కునే దు సతు లు ఇ వి .
उसका चे हरा देखो .	ఆమె ముఖ ం చూడు .
" ई श वर की प वि तर माँ , अभी और हमारी म ृ त यु के पल में	" దేవు ని య ొ కక ప వి తర మెన తల లీ , మా పా పు ల కోసం ,
अ ल वि दा .	వీ డ కో లు .
तुमहें लगता है कि पिता जी इस तरह किसी अ ंत ये ष टि में घु स ते ?	నానన అయితే ఇలా అంత య కరి య ల కార య కర మ ంలో తల ద ూర చే వా డా ?
मैं ले सकता हूँ ?	నేను చెపప వచచా ?
मैं तुमहें सच बता रहा हूँ . हम सब खो देंगे .	నేను ఇపపుడు నీకు చెబు తుననాను . మనం సర వం కో ల పో తా ం .
अगर वह वहाँ तक पहुँ ची तो . और मैं वय व सा य भी नहीं खो सकता .	ఆమె కు ఏమెనా జరిగి నా జరగ చచు . కానీ నేను వయా పా రా నని కూడా కో ల పో లేను .
पता नहीं मैंने ऐसा कयों कहा .	అలా ఎందుకు చెపపా నో నా కే తెలియదు .
यह तुमहारी ही गलती है . उनहोंने पहले कभी 4 0 के ऊपर की कु ँ वा री नहीं देख ी .	అది నీ తపపు . న ల భ ె ఏ ళలు పె బడి న ఆడ దానని వాళలు ఎపపుడూ చూ సి ఉండ రు .
मुझे पता है कि ज ॉन प ॉल कहाँ था , पर तुम कहाँ थीं ?	జా న పాల ఎకకడ ఉననా రో నాకు తెలుసు , కానీ మీరు ఎకకడ ఉననారు ?
तुमहें यह ठीक करवा ना चाहिए .	నువవు దీని ని బాగు చేయి ంచుకో వాలి .
यह तुमहारे लिए है , जान .	ఇది నీ కోసం , పరి యత మ .
मैं तो उसे हार ली के सू अ र ों को खिला दे ती .	వాడిని హ ర లీ స ప ందు ల కి ఆ హా ర ంగా వే య ాలని నా కో రిక .
मैं बस कह रहा हूँ कि यह भा व ु क ता इ वा के लिए बेहद सु वि धा जन क है .	ఆ సె ంటి మె ంటే ఈ వా కి చాలా స ౌ కర యం కలి గి సతోంది అ ంటుననా ను .
मुझे माफ कर दो .	ననను కషమించు .
बै का कहाँ है ?	బె కా ఎకకడ ఉంది ?
- तुमने यह नहीं किया ? कभी नहीं किया ? - नहीं . मुझे बहुत ठ ंड लग ती है .	- నువవు ఎపపుడ ెనా ఈ త కొ టట ా వా ? ఎపపుడ ెనా చేశా వా ? - లేదు . నాకు చాలా చ లి వే సతుంది .
व हीं मिल ते हैं .	అకకడ కలు దదాం .
कयोंकि य हो वा मेरे साथ हैं , आपकी छ डी , आपका द ण ड मुझे रा ह त दे ते हैं .	ఎందుకంటే నీ వు నాతో ఉననావు , నీ ఆ యు ధ ము , ఇంకా నీ సి బబంది నాకు ధ ె రయ ము ను ఇ సతా యి .
वह वय व सा य ड ू ब ने नहीं दे ते .	ఆయన తన వయా పా రా నని న షట పో నివ వ డు .
सै ंड वि च वाला .	శా ండ వి చ అబబా యి .
मुझे जाना होगा .	నేను వెళల ాలి .
बे ल जि यन सी री ज " कल ै न " पर आ धा रि त	బె ల జి యన సి రీ స క లా న ఆ ధా ర ంగా
तुमहें और ना ट क करने की जरूरत नहीं है .	నువవు ఇం క న టి ంచ ాల సిన అవసరం లేదు .
हम अंदर जाएँगे , सम मान ज ता एँगे , वि ध वा से बात करेंगे ,	మనం లోప లి కి వెళ దాం , మన సం తా పం తెలియ చే దదాం , ఆమె ను ప ల కరి దదాం ,
अ रस ! म ॉ ली , अब हम निकल रहे हैं , ठीक है ?	ఉ రస ! మో లీ , మనం ఇపపుడు బయ లు దే రు తుననాం , సరేనా ?
बेशक . नहीं . शुकर है , मैं बस यहाँ मदद करने आया हूँ .	సరే , ఫర వాలేదు . లేదు . నిజ ానికి , మీకు సాయం చేయ డా ని కే వచచా ను .
- मैं नि गल नहीं पा रहा , और यह . . . - कया तुम बस . . .	- దీ నని మి ంగ లే కపో తుననాను , ఇంకా ఇది . . . - నువవు ఒకక సారి . . .
- हे भगवान , मेरा ग ला सू ख गया है . - नहीं . बस . . . माफ करना .	- ఓహ , దేవుడా , నా నో రు బాగా ఎ ండి పోయింది . - లేదు . కేవలం . . . కషమించు .
हाँ . मुझे स मान ता एँ दिख रही हैं .	అవును . మీ లో ఆ పో లి కలు కనిపి సతుననా యి .
म ू डी त सवी र ों की कल प ना कर रही हूँ , मान ो . . .	వే ళ లా డు తూ ఉండ టా నని ఊ హి ంచు కుంటుననా ను , ఎలా అంటే . . .
- मैं उसकी आँख ें निकाल दे ती . . . - उसे प ले न से ध के ल दे ती .	- నేను వాడి క ళ లని ఊ డ పె ర కు తాను . . . - వాడిని విమానం నుండి తో సే య ాలి .
ए ! करि समस की ब धा इ या ँ !	హేయ ! హ యా పీ కరి సమ స !
भगवान .	దేవుడా .
मुझे तुमहारे लिए खे द है .	మీ ఇంట విష ా దానికి నా సం తా పం .
मैं बस खुश हूँ कि यह पी डा खतम हो गई .	ఆ బాధ ల ననీ ఇం క ము గి సిన ందుకు సంతో షి సతుననా ము .
मेरा मतलब , कया हमने कभी . . .	అంటే , మనం ఎపపుడ యి నా . . .
सच में पता था ?	మీకు తెలుసా ?
ए ग जा इ ल इन कया ?	ఎ గ జ యి ల ఏంటి ?
ठीक है .	అలాగే .
भगवान .	దేవుడా .
हमेशा .	ఎపపుడూ .
और मैं नए साल में अपना खुद का म सा ज वय व सा य खो ल ने जा रही हूँ .	అందు లో నేను ఈ కొతత సం వ త సరం లో నా స ొ ంత మ సా జ వయా పా రం పరా రం భి ంచ బో తుననాను .
इस साल ट बा स को नहीं डा ला , मै मी . मैं वह गलती दोबारा नहीं कर ूँगा .	ఈ ఏ డా ది ట బా స కో లేదు , మా మీ . నేను మళలీ ఆ పొ ర పాటు చేయ ను .
तो वह आ नहीं स के गी , और मैं ऑ इस टर नहीं खा ता हूँ .	కాబటటి తను రా వడం ర దదు అయి ంది , ఇంకా వీ టి ని నేను తి న లేను .
सुनो , उस परिवार ने एक साल में चार दा वे किए हैं .	వి ను , ఆ కుటుం బం గ త ఏ డా ది నాలు గు సా రలు క లె యి మ లు కో రి ంది .
मुझे आपके लिए बेहद खे द है , मि से ज वि लि य मस .	మీకు కలి గి న విష ా దానికి నా సం తా పం , మి సె స వి లి య మస .
हाँ . तो फिर हम बु रे इ रा दे ढूँढ ेंगे .	అవును . అందుకే మనం కు టర కో ణం వె లి కి తీ య ాలి .
सा र वज निक अगर ण ी . और अके ले में श रा बी .	బయట పర జ లకు మా రగ దర శి . వయకతి గ తంగా తా గు బో తు .
मैं बस . . . चलो बस . . . समझ ी .	నేను ఇం క . . . మనం తరువాత . . . సరే .
कया तुमहें ए का ंत चाहिए ?	నీకు కొ ద ది గా ఏ కా ంత ం కా వ ాలా ?
समय आ गया है कि तुम अपने सम र थ न में बो लो .	నువవు ధ ె రయ ంగా ని ల బడ టానికి ఇది ఇ బబంది కర మెన సమయం .
ई श वर ने ज ॉन प ॉल को अ वि सम रण ी य इंसान बन ने की शक ति दी .	చి ర సమ రణ ీ య మెన మనిషి గా ఉండే లా దేవు డు జా న పాల కి శ కతి ని ఇ చచా డు .
इसलिए हमने इसे पर ं परा बना लिया है .	కాబటటి దాని నే సం పర దా య ంగా కొ న సా గి సతుననా ం .
कया ? बिलकुल नहीं , है न ? तुम मुझे प ब ले जा सकते हो , पर मैं . . .	ఏంటి ? అవకా శ మే లేదు , అవునా ? ననను ప బ కి తీసుకు వెళ లు , కానీ నేను అ కకడికి . . .
वही करो जो यह करती है . केवल छो टी ऊँ ग ली डाल ना .	ఇది చేసిన టలు చేయి . నీ క ాలి చి టి కె న వే లు తో నీ టి ని తా కు .
सि वा ए उस बु रे नाम की वजह के ?	ఆ పిచచి పేరు విషయం లో గొ డ వ పడ డా రా ?
- मै मी , चलो . चलो चल ें . - आ रही हूँ !	- మా మీ , బయ లు దే రు . వెళ దాం పద . - వ సతుననాను !
- हाँ . - हाँ .	- అవును . - సరే .
मैं अपने काम में सच में अचछी हूँ .	నేను నిజ ానికి ఏం చేసి నా మంచి గా చేసతాను .
जहाँ तक मैं उसे जानता था , वह कभी मुझे ला पर वाह आदमी नहीं लगा .	నాకు పరి చ యం ఉనన ంత వర కూ , ఆయన ఎపపుడూ నిర లకష య ంగా ఉండే మనిషి గా అనిపి ంచ లేదు .
कया मैं कल आ सकता हूँ ? कया यह सु वि धा जन क होगा ?	నేను రే పు రా వచచా ? అది మీకు అను కూ ల మే నా ?
- चलो , ब ला न ड . - तुम कया कर रही हो ?	- పద , బ లా న డ . - ఏం చేసతుననా వు ?
फो र टी फु ट स जज नों के न हा ने की जगह	ఫా ర టీ ఫ ు ట మ గ వారి స నా నా ల గ ది
ए , ल ॉन ग ज ॉन सि ल वर ! कै सी हो ?	హేయ , లా ంగ జా న సి ల వర ! ఎలా ఉననావు ?
शायद तुमहें कुछ समय के लिए काम से छु ट टी ले नी चाहिए .	నువవు కొ ద ది గా వి శ రా ంతి తీసుకో వాలి అనుకుంటా .
- मैं वय व सा य नहीं खो सकता . - एक मिनट रुको . ए .	- నేను ఈ వయా పా రా నని కో ల పో లేను . - ఒకక నిమిష ం ఆగు . హేయ .
अब , गरेस दवा रा चु ना गया , ज ॉन प ॉल का पसंद ी दा भ जन .	ఇపపుడు , గరేస సూ చి ంచిన వి ధ ంగా , జా న పాల కి ఇష ట మెన ద ె వ సతు తి .
कया यह मजाक है ? श रा ब ही नहीं है ?	నాతో హా స యం ఆ డు తుననా వా ? ఇకకడ మ ందు లేదా ?
माँ और पिता जी को गर व होता . मुझे भी गर व है .	అమమా నా ననా ఉంటే గర వ పడ ే వారు . నాకు కూడా గర వ ంగా ఉంది .
कुछ नहीं . मैं बस . . .	ఏమీ లేదు , నేను ఊ రి కే . . .
मैं देखना चाहती हूँ . चलो देख ें .	నాకు చూడ ాలని ఉంది . చూ దదాం .
पर यह मेरा पसंद ी दा काम नहीं है .	కానీ అది నా అ ంతి మ లకష యం లాంటి ది కాదు .
- मैं नहीं उ तार ना चाहता . - ठीक है , आ रही हूँ .	- నాకు తీ య ాలని లేదు . - సరే , వ సతుననాను .
कया ? वह हमेशा मेरी चीजें रख ले ती है .	ఏంటి ? తను ఎపపుడూ నా వ సతు వు లని తీసుకు ంటుంది .
वह तुमहारी बहन है .	ఆమె నీ చె ల లె లు .
अ र सला	ఉ ర సు లా
म ृ त कमी ना .	చచ చా డు వెధవ .
जानती हूँ .	నాకు తెలుసు .
मै ट आ गया .	మయా ట వచచా డు .
हैलो , जान .	హాయ , బంగా రం .
और वह शान दार होगा , है न ?	అది బాగు ంటుంది , కదా ?
इसमें है रा नी नहीं है कि फा दर डॉ य ल नहीं आए .	ఫా దర డో య ల వెళలి పో వడం లో ఆ శ చ ర యం లేదు .
तुमहारा सै ंड वि च कैसा था ?	నీ శా ండ వి చ ఎలా ఉంది ?
अगर हमें इस बी मे का भ ु ग ता न करना प डा , तो हमारा वय व सा य खतम हो जाएगा .	మనం ఈ బీ మా కి డబబు లు చె లలి సతే , మన వయా పా రం ము గి సి పో తుంది .
जब तक कि वे बु रे इ रा द ों से नहीं घु स ते हैं .	ఆ హ వా నం లేని దే నా ఇంటికి ఎవ వర ూ రా రు .
है न ?	సరేనా ?
अगर उससे कुछ क हो , तो उसे लगता है कि तुमहें ई र ष या हो रही है .	తన కి ఏదెనా చెపపు , మనం ఈ ర ష య పడు తుననాం అను కు ంటుంది .
यह है रत अं गे ज है . यह बेहद दर द ना क मौ त थी .	నేను ది గ భ రా ంతి చె ందా ను . చాలా దారు ణ మెన మ రణ ం ఇది .
