सा ला !	అబబా !
यहाँ पर कया नहीं है ?	ఇకకడ ఏం వే య లేదు ?
यह कया है ? ख ुम ी ?	ఏంట వి ? పు టట గొ డుగు లా ?
हैलो ?	హలో ?
कया ?	ఏంటి ?
ई गल ?	ఈ గి ల ?
हमारी तरफ देखो !	మమ మ లని చూడు !
अके ली हूँ .	ఒ ంట రి ని .
अके ली हूँ .	ఒ ంట రి ని .
शुकरिया .	ధనయవాదాలు .
कर न ल मै लो री से ?	కల న ల మ లలో రీ ?
अंदर से .	అంత రగ తంగా .
तुम इतने	నువవు చాలా
वह रा यन या मेरे बारे में नहीं जान पा ए गा .	రా యన లేదా నా గురించి తెలుసు కో లే డ ననా రు . అది ఒ పప ంద ం .
कौन ?	ఎవరు ?
उस तरह की तक ली फ . . .	అలా ంటి భా వ న ఉండ కూడదు . . .
मैं तुमसे पयार करता हूँ , बेटा .	నాకు నువ వ ంటే పరే మ , బా బు .
चल कर उससे पूछ ते हैं .	వెళళి వాడి నే అడుగు దాం పద .
च ू हा .	మ ౌ స .
रुको !	ఆగు !
तुम . . .	నువవు . . .
कया ?	ఏంటి ?
मेरा भी .	నేను కూడా .
कया ?	ఏంటి ?
कौन ?	ఎవరు ?
सब छोड - छा ड कर भाग गए .	అందరూ చని పోయా రు .
तुम कुछ नहीं करो गे .	నువవు ఏమీ చేయ బో వడం లేదు .
उससे आपका देख ने का न ज रि या बदल जाता है .	నిజంగా నీకు ఒక అవ గా హ న ఇ సతుంది .
बहुत अचछा अ ह सा स है .	చాలా మంచి భా వ న .
लड का . लडकी . . .	అబబా యి . అమమాయి . . .
तुम दोनों , पलीज , अभी नहीं .	ఇదద రూ , దయచేసి ఆ ప ండి , ఇపపుడు వదదు .
मैं कुछ देर रु क ूँगी , बस देखो , ठीक है ?	నేను కొంచెం సే పు వే చి చూ సతాను , చూ సతా న ంత ే , సరేనా ?
हैलो , दो स तो . कैसा चल रहा है ?	హేయ , ఎలా కొ న సా గు తోంది ?
" दम दार होने को ही खू बस ू रत होना कहते हैं . "	" బ ల ంగా ఉండ డం కొతత ద నం " అనుకుంటా రు .
मे व , मैं ठीक हूँ . सच में .	మే వ , నేను బాగానే ఉననాను . నిజంగా .
हमें किसी और जगह ले जाना होगा , पलीज .	మీరు మమ మ ల నీ పం పి ంచాలి , పలీజ .
हे भगवान .	దేవుడా .
ठीक है .	తపప కుండా .
अगर वह कह ने में खत रा हो तो ?	అది సు ర కషి తం కా కపోతే ?
हे भगवान !	దేవుడా !
अगर तुम मुझे थोडा सा वकत दो ,	నాకు నిమిష ం ఇ సతే , నీ క ంతా వి వరి సతాను .
तुम ठीक तो हो ?	నువవు బా నే ఉననా వా ?
किस चीज के करी ब जा रही थी ?	దే నికి దగగర వ వడానికి ?
इस घट िया , बडी छा ती वाली	పెదద ప లా స టి క బ ొ మమ ఏద ె తే చి వర కు
तुम कुछ भी सा बि त नहीं कर सकती .	నువవు ఏ దీ ని రూ పి ంచ లేవు .
कि तुमने व ॉ ट के बारे में जो कुछ कहा ,	నువవు వా ట గురించి చెపపి ంద ంతా నాకు చాలా న చచి ంది ,
- अपनी ता कत का इस ते माल करो .	- నీ శ క తు లను ఉ ప యో గి ంచు . - అంటే ఏంటి ?
कि ता ब में च ै प टर नंबर 1 2 और 1 3 करो .	నీ వర క బు క లో 1 2 , 1 3 పా ఠ ాలు .
मुझे पता है कि वह आपके लिए कया थी .	ఆమె నీకు ఏంట ో నాకు తెలుసు .
तुमहारा सवागत है .	నీ కోసం ఏదెనా .
खो ल ता तो वह ह ँ स पड ती .	ఆమె నవ వి ఉండే ది .
प ॉ प क ॉर न हो जाए ?	జ ఫ ఫీ పా ప కార న తి ంటా వా ?
" हमने " ? यह " हमने " कौन है ?	" మన మా " ? " మనం " ఎవరు ?
पि पि को फर क नहीं पडता था .	పి పి ప టటి ంచుకో లేదు .
सुनो , मेरे पिता के पास	హే , నీకు తెలుసా , మా నానన దగగర
स टा र ला इट का तो सामने का हि ससा	సటా ర లెట క డు పు చూడ గల రు .
नहीं . यह नहीं होगा ! यह सच नहीं है .	లేదు , లేదు . అది అస స లు జరగ దు ! అది వా సత వం కాదు .
देख िए , बुरा मत मा नि ए गा , मैं समझ ती हूँ	అ పా రథ ం చేసుకో క ండి , మీకు చ ర చా ం శ ాలు ఉంటా య ని తెలుసు ,
मैं तुमसे कह चुका हूँ , जब मैंने उसे उडा या ,	చెపపా ను గా , నేను ఆమె ను పే ల చే సమ యా నికి అ పపటి కే చని పోయింది .
कब तक रु क ने का इ रा दा है ?	నువవు ఎ ననా ళళు ఉండ ాలను కుంటుననా వు ?
चर च ऑ फ द क ले क टि व	సా మూ హి క చ ర చి
इस तरफ घ ू मो !	ఇ టు వెపు తి రుగు !
तुम सच में मुझसे इसका जवाब चाहते हो ?	దానికి సమా ధా నం చెపప ాల ంటా వా ?
नहीं . यह परि ंस का गि टा र है ,	లేదు . పర పు ల రె యి న లో పరి నస ది ఈ గి టా ర .
तुम और मैं . . .	నువవు ఇంకా నే న ూ . . .
मुझे अब सो जाना चाहिए , ठीक है ?	నీకు తెలుసా , నేను ఇక పడు కో వాల ను కో వాల ే మో ?
अचछा लगा .	ఇది బాగుంది .
उसका भाई .	ఆమె సోద రు డు .
बु चर ! सं भ ल कर , मेरे दोसत .	బు చ ర ! ఆగు , మి తర మా .
बचचे , आ रहे हो ?	హే , బా బు , వ సతుననా వా ?
- नहीं , यह सा ला कौन सा श हर है ?	- లేదు , అసలు ఏ న గ రం లో ఉననాను ? - ఫో ర ట వే న .
बेटा , हम जो चा हें कर सकते हैं	బా బ ూ , మనం కో రు కునన ది ఏదెనా మనం చేయ వచచు ,
मुझे नहीं लगता कि आगे कोई रा सता है .	ఇ ందు లో ఏ అవకా శం ఉ ంద ను కో ను .
जो यह जान ना चाहती हो	నా పె గ ూ ఢ చ ర యం చేయ నవ సరం లేదు .
मैं तुमहारी पर श ं सक हुआ करता थी ,	నేను నీకు పెదద అభి మా ని ని , కానీ నినను చూడు .
तो फिर , ये और कि से अपना क पता न समझ ेंगे ?	వాళళు ఇం కె వరి ని అను సరి సతారు ?
तुम हो ही ऐसे .	అది నీ స వ భా వం అంతే .
बस हमारा थोडा सा साथ दे दी जिए , ठीक है ?	కా సత వే లు ము ంచు చ ాలు , సరేనా ?
तो हमें इन का ठीक से इस ते माल करना होगा .	ఇ వి పూరతి గా ఉ ప యో గి ంచుకో వాలి .
हे भगवान . सभी को एक दम चा बी दी गई है .	అయ యో , దేవుడా . పరతి ఒకక రు చాలా నియ ంత రణ లో ఉ ంటుననా రు .
बस , बीच - बीच में दिखा वा करना बंद करो .	ఏ ది కావాల ను కు ంటే అలా , అ పపుడ పపుడు ము సు గు తీ య ాల ంత ే .
लड का . लडकी .	అబబా యి . అమమాయి .
जिस तरह से उसने तुमहारी तरफ देखा .	ఆమె నీ వెపు చూ సిన తీ రు . ఆమె మంచిది , తెలి వెన ది .
शा इ नि ंग ला इट बहुत ही घट िया है !	ష ె ని ంగ లెట అంతా బ ూ ట కం !
डी प , य दि तुम खुद से ई मान दार नहीं हो सकते ,	డీ ప , నీ తో నువవే నిజ ా యి తీ గా లే కపోతే , సె వెన లో నినను తిరిగి
मैंने सही जवाब दि ए ?	నేను వాటి ని సరి గా వ రా శా నా ?
मैं दोबारा सम ू ह का हि ससा नहीं बन ूँगी .	నేను తిరిగి ఆ జ టటు లో చే ర ను .
मैंने नहीं . . . अचछा , देखो ,	లేదు . . . సరే , చూడు , ననను కని పెటటా వు .
ए . ऐसी चीज से मौ त भी हो सकती है .	హే . నువవు ఇలా ంటి వాటి తో చని పోయి ఉండే దాని వి .
तुम जो समझ रहे हो , वै सा नहीं है , ठीक है ?	ఇది కనిపి సతునన టటు గా కాదు , సరేనా ? అ పా రథ ం చేసు కుంటుననా వు .
सट ॉर म फर ंट , तुमसे मिल ना गर व की बात है .	సటా ర మ ఫర ంట , నినను కల వ టం ఒక గ ౌ ర వం . నేను నీ అభి మా ని ని .
अपने डर का मु का ब ला करो , दोसत .	దానిని ఎదు ర కో , సోద రా .
हम अब और कुछ नहीं कर सकते .	ట ూ త పే సట ు ను తిరిగి ట యూ బ లోకి పెటట లే ము .
तुमहें कोई फर क नहीं पडता ?	నువవు ప టటి ంచుకో వా ?
तुम खुद अपने श री र को सवी कार नहीं कर पा ते ,	నీ శ రీ రా నని నువవు స వీ కరి ంచ లేవు , అందుకే వారి ని హి ం సి సతా వు .
एक नि र मा ता था जिस ने बैठ ने वाली जगह बदल ली	అకకడ ఒక నిర మా త , నా ప కక న కూ రచ ో వచచ ని పే ర ల కార డు లను మార చా డు .
पर , असल में मेरा अप ें डि कस फ ट ने वाला था .	అది నా అ పె ండి కస ప గి లి పో యే దే .
लड का .	అబబా యి .
कौन है ?	ఎవరు ?
शायद नहीं .	చ ద వ లే ద ను కుంటా .
तुम जिन लोगों के साथ थी . . .	నువవు ఉనన ఈ జ నం . . .
वह बहुत अ र से पहले की बात है .	అది చాలా కాల ం కరి తం .
नंबर 7 3 4 स ें टर ल ए वे न यू , न यू अ र क .	7 3 4 సె ంట ర ల ఏ వ , నె వా రక .
तुम भी स हम त हो ? है ना ?	నువవు అ ంగ ీ కరి ంచ ాలను కుంటా ? కా దా ?
ब गल वाली दोनों को	ఈ రెండు ఒక దగగర పె డ తా రా ?
तुम इस आदमी को जानती हो ?	నీకు ఇ తను తెలుసా ?
मुझे लगा कि वह मुझे नी चा दिखा ना चाहता था ,	అతను నాకు మంచి వార త ఇ చ చే ముందు
रा यन , जब मैं तुमहारी उ मर का था ,	నీకు తెలుసా , రా యన , నేను నీ వయ స సు లో ఉనన పపుడు ,
लड कि यों की आ जा दी की बात करना चाहते हो ,	అమమాయి శ కతి గురించి మాటలాడ ాల ననా రు గా , జే బు ల గురి ంచ యి తే ?
भगवान ही जाने कयों .	ఎందు కో ఆ దేవు డి కే తెలియ ాలి .
पी ला घर	య ె లలో రా ంచ
लड का लडकी लड का	అబబా యి అమమాయి అబబా యి
तुमहें वी चाहिए था , तो यह रहा .	వీ కావాల ననా వు , ఇది గో .
अब , यह ,	ఇపపుడు ఇక ,
यह एक अचछा अ ह सा स है .	అది మంచి భా వ న .
तुमहें लगता है कि उसे यह जान कर खुशी होगी	నువవు వాడిని ఈ అంద మెన జె లు లో
कौन कह ता है कि मैंने किसी को नहीं बताया ?	నేను చెపప లే దని ఎవరు చెపపా రు ?
सुनो गे तो खुश हो जाओ गे .	నీ క ది న చచు తుంది .
तो श ौ क से डॉ . पार क से जाकर कह दो	అందుకే నువవు డా . పార కకు ఏమెనా చేసుకో మని చెపపు .
तुम वह सब हो जिस की मैंने उममीद की थी	నేను ఆ శి ంచిన ది అంతా నువవే
तुम वह सब हो जिस की मैंने उममीद की थी	నేను ఆ శి ంచిన ది అంతా నువవే
तो , कुल मिला कर , अपनी मे ह न त की क मा ई	కలు ప తంగా , నువవు కష ట పడి సం పా ది ంచిన డబ బ ంతా ఈ పిచచి ,
कोई बात नहीं .	ఫర వాలేదు .
तुमहारी आँख को कया हो गया ?	నీ క ంటి కి ఏమ యి ంది ?
जिन होंने तुमहें अ गवा किया था ?	నినను అ ప హ రి ంచిన వా రా ?
वे हमारा पी छा करते हुए आए थे .	వాళళు మన కోసం వచచా రు .
मैं तुमहें एक राज बता ऊँ ? खु ल कर ?	నీకు ఒక ర హ స యం చెపప నా ? దా పరి కం లే కుండా , సరేనా ?
मेरी री ढ की ह ड डी में सु ई डाल कर ,	నా వె నను లోకి సూ ది గు చచి నీ ల ం విష ం ఎ కకి ంచింది .
ब डे दे व दा रु	లా ర జ పె నస జ ూ ని పర
अचछी खबर देने से पहले ,	నా ద ె న ఆ మ మా యి కి ఏం చేశా డో చూపి ంచి
उनके पास एक खु रा क ब ची थी	వాళళ దగగర ఇంకా ఒకక డో సు మాతరమే ఉంది ,
तो , हम त मी ज से पे श आने की कोशिश करें ?	అందుకే , మనం మర యా ద గా వయ వ హ రి ంచ డానికి పరయతని ద దా ము , సరేనా ?
वाह ! शुकरिया !	బాగుంది ! ధనయవాదాలు .
जो आगे चल कर किसी मै ने टी के पे ट में मिले गी	నీ పిలల లు చెతత లో పడ ే సతే మ నా టీ బ ొ డ డు లో తే లే దాని పె వ ృ థా చేయ కు .
मैं तो भूल ही गई . हमें खाना म ंग वा ना होगा .	మర చి పోయా ను . మనం భ ో జ నం ఆర డ ర చేసుకో వాలి . త కకువ పర ో టీ నలు ఉనన ది .
और मैं दा वे से कह सकता हूँ कि वह व हीं है .	ఖచచితంగా అత న కకడ ే ఉ ండి ఉంటా డు .
श ै ता न बना दिया .	ఒక దు ష టు ర ాలి ని చేశారు .
जैसे तुमहें कोई फर क पडता है .	నీ కే దో చి ంత ఉనన టటు .
मैं न का रात म क बात नहीं करना चाहती ,	పరతి కూ ల ంగా ఉండ ాలని కాదు , కానీ ఇ త ని కార య చ రణ ద ృ క ప థ ం
मेरे पिता और मैं , वर लड सी री ज वाली ब ॉल	మా నా ననా , నే న ూ , ఎపపుడూ పె ర ట లో పరపంచ సీ రీ స బ ాల తో ఆడ లేదు .
हे भगवान , अगर यह अभी चु प नहीं हुई तो	దేవుడా , ఇంత కంటే ఎకకువ ఉ త సు క త ఉంటే తన న డ డి పే లి పో తుంది .
ए .	హే .
ए .	హే .
ए !	హే !
करी ब ले आओ गे ? एक च ली गई .	ఒక రు రా వడం లేదు .
खैर . . .	ఏ దే మెనా . . .
चलो .	వెళళ ు .
हाँ .	అవును .
मैं भी तुमसे पयार करता हूँ .	నా కూ నువ వ ంటే పరే మ .
ए .	హే .
तुमहें कोई गोली छ ू भी नहीं सकती .	వా సత వా నికి మనం బు లెట పర ూ ఫ లో ఉననా ం . ఏం జరుగు తుంది ?
भा ड में जाओ .	వెళళి పో .
कि जब पर ो पे न वाले ट ै ंक फ टे थे , तो बचचे	పర ో పే న ట యా ం కులు పే లి చ ంటి పిలల లు వారి ఉ యయ ాల లో క ాలి పోయి నా ?
धत . तुमहारे पास लि ख ने के लिए का ग ज है ?	అబబా . నీ దగగర కా గి తం ము కక ఉందా , ఏదెనా నేను వ రా య గ లి గి ంది ?
लड किया ँ लड कों से बेहतर ही रो	అబబా యి ల కంటే అమమాయి లు మంచి హ ీ రో లు కా గల రా ?
गे को के साथ तुमहारी दो स ती है ?	గె కో తో సా నని హి తయ మా ?
देखो , मैं कोई पागल नहीं हूँ , ठीक है ?	చూడు , నేను పిచచి వాడి నే ం కా ను , సరేనా ? నేను ఆమె ను చూశా ను .
उसका सिर एक कम रे में मिला ,	అతని తల ఒక గ ది లో ,
थोडा समय चाहती हो कि आगे बढ ें ?	నీకు వి రా మ ం కా వ ాలా లేక చి వరి వర కు కొ న సా గి ద దా మా ?
मुझे कोई फर क नहीं पडता .	నా కే ం భ యం లేదు .
अब चलो भी , वकत बर बाद मत करो .	రండి , సమయం వ ృ థా చేయ క ండి . మనకు రాత రం తా లేదు .
फ े डर ल अधि का रि यों ने . . .	పర భు త వా ధి కారు లు వి లి యం బు చ ర కోసం . . .
और उसके बाद , हम दोनों मा रे जाएँगे .	ఆ తరువాత ఇదద రం పో తా ము .
व ॉ ट ने हा ल में खु ला सा किया कि वह कं धा र में	ఈ మ ధ యే తను కా ంద హా ర లో అత య ంత ర హ సయ మెన మి షన లో ఉననా రని వా ట తెలియ చేశారు .
सच कहूँ तो , यह तो वही बात हो गई	నిజంగా , అది బ ొ ద ది ంక ను బ ొ ద ది ంక లా ఉండ వ దద ని అడ గ డ మే .
बा ल वा डी वाली टी चर , जिस के साथ तुमने वी ए च 1	వీ హె చ 1 ఎడ యు కే టర అ వార డు ల వే ది క వె నుక ఆమె తో స నని హి తంగా మె లి గా వు ?
हैलो . तुमहें कैसा लग रहा है ?	హే . నీకు ఎలా ఉంది ?
तुमहें पता होना चाहिए कि सभी को लगता है	నువవు ఆ రాతరి నా కోసం అద న పు భ దర తను పి లవ టం మంచి ఆలోచ న అని అందరూ
सा मान य से कहीं परे है .	పె రగ టం కు దర దు .
तो कया ?	అయితే ఏంటి ?
व ॉ ट ऐसे श ै ं पू को पर ख रहा है जो बा लों में	పరి మా ణం పె ంచే కొతత పొ డి షా ం ప ూ ను వా ట క ంటి దు ర ద కె పర ీ కషి సతుననారు .
एक हाथ से घ ो डा उठा ले ती थी ? तुमने	ఒక చే త తో గుర రా నని ఎ త తే ది ? పి పప ీ లా ంగ సటా కి ంగ చ ద వ లేదా ?
और वे सा री सु इ या ँ , एक ही वकत पर	ఒక ే సమయం లో అనని సూ దు లు ఆమె చే తి లోకి గు చచు కుననా యా ?
माफ करना . परिवार में कोई काम आ गया है .	కషమించు . కుటుం బ అత య వ సరం .
तुम ही कयों नहीं बता ते	నా బ ూ ట లో ఏ ము ందో నువవే చెపప వచచు కదా ?
एक घं टे में , मैं लौट आ ऊँ गी .	గంట లో తి రి గొ సతాను . మి స బర డ తో కా ఫీ తా గు తాను .
हो म लै ंड र और मैं , ट वे ल व इ यर स अ स ले व की	ట వె లవ ఇ య రస స లే వ కు హో ం లా ండ ర ఇంకా నేను ఆ స కార పార టీ కి వెళళ ా ము .
द से वे न में लड कि यों की ता कत को	సె వెన లో ఎవరు అమమాయి ల శ కతి ని శ కతి వ ంత ం చేసతుననా రు ?
स था नी य खबर ों के लिए , क ली व लै ंड का पह ला और	చూ సతు ండ ండి డబ ల యూ డీ సీ ఎ స , క లీ వల యా ండ సథా నిక వార తల మొదటి , ఉ తత మ మూ ల ం .
हा ला ं कि उनके श री र ने आ खि री सा ँ स ली ,	ఆమె శ రీ రం వి శ ర మి ంచి నా , ఆమె ఆ తమ అన ంత కాల ం స జీ వ ంగా ఉంటుంది .
जान कर अचछा लगा .	అది తెలుసు కో వ టం బాగుంది .
चल ें ?	వెళ దా మా ?
कया कहा ?	ఏంటి ?
किसी ने तुमहें बताया है	నీ సా మ రథ యం ఏమీ టో నీకు ఎవరెనా చెపపా రా ?
" और इसके बाद मौ त नहीं होगी . "	" మ రణ ము ఇక ఉండ దు . "
- तुमहें उसके बारे में चिंता है ?	- మీకు ఆయన గురించి ఆ ందో ళ న గా ఉందా ? - అవును , ఖచచితంగా .
सभी का इस बारे में कया खया ल है कि तुमने	నీ దే శ ద రో హ పరి యు డి పరా రీ లో నీ సాయం గురించి వా రె లా భా వి సతుననారు ?
और कोई हमें रो क नहीं सकता .	ఎవరూ మన లని ఆ ప రు .
यह ही रो , किसी श ै ता न की तरह ,	ఈ హ ీ రో ఆ కా శం నుండి రా కష సు డి లా వి రు చు కు పడ డా డు .
- तुमहारी बा री , माँ .	- నీ వం తు , అమమా . - నువవు వెళళ ాలి .
जिंदगी कोई पी आर रण नी ति नहीं है . आपके	నిజ ానికి జీవితం పీ ఆర పర ణ ా ళ ి క కాదు . మీకు తో చి ంది మాటలాడ వచచు .
सभी लड किया ँ डि ज नी की कमी नी लड कि यों	డి స నీ వయ భి చా రు లలా త యా రెన అమమాయి ల ంద రూ ననను గే లి చేసే వారు ,
तो फिर हम कहीं और चले जाएँगे .	అయితే మ రె కకడి క యి నా వెళ దాం . తిరిగి జ పా న కు వెళ దాం .
हमें लगता है कि वह किसी चीज के करी ब	వా ట దే ని కో చాలా దగగర వడానికి ఆమె ను చం పే శా డని అనుకుంటుననా ము .
तुमहें लगता है कि और त ें हम पर ह ँ स ें गी ,	సత రీ లు మన లని చూ సి నవ వు తా రని అను కు ని , వాళళ ను ము ంద రే అవ మా ని సతా వు .
बिलकुल . हम ऐसे पे श आ एँगे	పూరతి గా . మనం ఇది సా ధా రణ మే అనన టటు ఉంటా మా ?
द डी प	డీ ప
द से वे न में आज तक कभी	సె వెన లో ఎపపుడూ ము గ గు రు మ హి ళలు లే రు .
अंदर हूँ . खो लो .	నేను లోప ల ఉననాను . తె రు వు .
हाँ . मैं भी .	సరే . నేను కూడా అంతే .
मुझे नहीं लगता कि लड किया ँ खास होती हैं .	అమమాయి లు అంత కంటే బాగా ఏం చేయ రు . అమమాయి లు , అబబా యి లు కలిసి చేసతా రు .
हाँ	అవును
अब , तुम भी क हो .	ఇపపుడు , అది తిరిగి చెపపు .
वे मुझे हि फा ज त से रख ते हैं .	వాళళు ననను సు ర కషి తంగా ఉ ంచారు . ని నన ూ ఉ ంచు తారు .
आपको उसे र फा - द फा करना होगा , कयोंकि	మీరు అతను వెళళి పో యే లా చేయాలి , మీ ర లా చేయ కపోతే , నేను రా య నను
मे व , अगर कुछ बद ला नहीं है	మే వ , ఏమీ మార కపోతే నువవు ఇకకడ ే ం చేసతుననా వు ?
त स करी की गई , उस ी सि ल सि ले में .	అ కర మ ర వా ణ ా కు సంబం ధి ంచిన ది . మనం అకకడ ే మొద లు పె డ తా ం .
तुम ह ता श हो , बु रे हा ल में हो ,	నువవు తె గి ంపు తో , ఇ బబ ందు లతో ఏదో కావాల ను కునే వాడి వి .
और अगर कोई तुमहारे साथ छे ड छा ड	ఎవరెనా అ ంగ ం నో ట లో పెటట ాలని చూ సతే , దానిని కొ రి కే య .
तुम ही वह लड के हो जिस ने हर उस	నువవు తల లి ని కో ల పోయి న పరతి ఎ లు కను సా కి న అబబా యి వి .
मुझे लगा मैं दोबारा कभी	నేను నినను తిరిగి చూడ లే నే మో అను కుననాను .
पता नहीं . शायद नहीं .	నాకు తెలియదు . నే న లా అనుకో వ టం లేదు .
तुम व ॉ ट के बारे में जो कुछ कह रही हो ,	బహుశా నువవు వా ట గురించి చెపపే దంతా నేను చెపప ాలను కో వ ట లేదు కా బ టటే .
नहीं , खुश नहीं हो ऊँगा ! मैं कभी खुश	లేదు , న చచ దు ! నాకు అది న చచ దు ! నా క ది ఎ పపటి కీ న చచ దు ! ఎ పపటి కీ !
और एक दिन , आप दिल में खुश ियाँ और दु ः ख लिए	మరియు ఏదో ఒక రోజు , మీరు సూ స నను ఆన ంద ంగా , అలాగే బాధ గా గురతు చేసు కుంటా రు .
वह हमें मर ने के लिए छोड गया था ,	మన లని చని పో డానికి వదిలే సి , ఏం జరగ న టటు వయ వ హ రి సతుననా డా ?
शायद उससे थोडा जयादा .	బహుశా రెండు . నా కోసం కాదు , రే న ర కోసం .
तुमहें बस चीज ों को	విషయ ాలను తిరిగి రూ ప కల ప న చేయాలి .
मै ड लि न सट ि ल वे ल की हतया के लिए	నినను మా డ లి న స టి ల వె ల హ తయ కు అ దు పు లోకి తీసుకో డానికి .
से ट पर शा ं ति रख िए . कै म रा रो ल करते हुए .	సె ట లో ని శ శ బ ద ం . కె మె రా .
लड कों के बारे में बातें करते हैं .	అబబా యి ల గురించి మాటలాడు కు ందా ం . సటా ర లెట , ఒ ంట రా , జ త క టట ా రా ?
दोबारा मुझे ध म का या तो सभी को बता द ूँगा	ననను మళళీ బె ది రి సతే , ఇది నువవే తీసు కుననా వని అంద రికీ తెలి సి పో తుంది .
ठीक है !	సరే .
सट ॉर म फर ंट , द से वे न के लिए आपको ब धा ई .	సటా ర మ ఫర ంట , సె వెన లో చే రి కకు అభి న ంద నలు . ఇకకడ ఉండ డం ఉ త సా హ ంగా ఉందా ?
पर मुझे अपनी जा सू सी करने के लिए ,	నేను జ టటు లో భా గ మే నా అని తెలుసు కో డానికి వా ట బా ర బీ గ ూ ఢ చా రి
ठीक है .	సరే .
अचछा लगता है . सा ँ स ले पा ओ गी .	బాగా అనిపి సతుంది . నువవు చి వర కు ఊ పి రి పీ ల చు కో గల వు .
अब रु के कयों हो ?	మీరు దే ని కె వే చి చూ సతుననారు ?
तुमने ह यू ई से यही कहा था ना ?	హ యూ య ీ కి అదే చెపపా వు , కదా ? నువవు పా ప క లా ని చం పా వని .
तो फिर तुमहें पता है	అయితే నేను ఇది చేయ ాలని నీకు తెలుసు .
र च ना त म क पर य वे कष क	కరి యే టి వ సూ పర వె జర రా జే శ వల వల
मुझे लगता है कि एक आँख वाला श ै ता न	ఒ ంటి క నను రా కష సు డు నీ కోసం వే చి చూ సతునన టటు ఉననాడు అనుకుంటా .
तो वह मेरे लिए बे क का को ढूँढ ें गी .	ఆమె నా కోసం బె క కా ను కని పె డు తుంది . నేను చేసు కునన ఒ పప ంద ం అదే .
ह यू ई ने तुमहारी जान बचा ई .	హ యూ య ీ నీ పరా ణ ాలు కా పా డా డు . మే మి దద రం కా పా డా ం .
आगे बढ ते हैं .	చి వరి వర కు కొ న సా గి ద దా ము .
तुमने वा दा किया था	నాకు మళళీ కనిపి ంచ నని మాట ఇ చచా వు .
पि पि ला ंग सट ॉ कि ंग मजा च खा ती ,	పి పప ి లా ంగ సటా కి ంగ ఖచచితంగా అ ంగా నని కొ రి కే సతుంది .
कान ून पर व रत न अफ सर ों ने खबर देने के लिए	నయాయ పరి ర కష ణ ా ధి కారు లు ఒక హా ట లె నను ఏ ర పాటు చేశారు , ఎవరెనా ము ందుకు వచచి
अचछा . मैं हर हैलो वी न पर ,	సరే . నేను పరతి హ ాలో వీ న కు తన లా త యా ర యయ ే దానని .
वह द से वे न की सबसे न ई स दस य है	ఆమె సె వెన కొతత స భ యు ర ాలు ఇంకా అ మె రి కా ను కు ది పే సతుంది .
- अचछे से सी ख ना .	- పా ఠ ాలు బాగా నే రచు కో . - సరే .
तुमहें लगता है कि हो म लै ंड र ने वह किया ?	అది హో ం లా ండ ర చేశా డ నా ?
तुमहारे द फ तर में अभी भी मै गी श ॉ का	సప షట ంగా , నీ పని చేసే చో ట ఇంకా మయా గ ీ షా అత య వ సర సం పర ది ంపు గా ఉంది .
कि वे खुद को बचा ल ेंगे ,	కషమించు , అది వారు ఇది వర కు వ ంద సా రలు చేశారు .
हाँ , मुझे सच में लगता है	అవును , ఆ పరా రథ న నాకు చాలా సా య పడి ంద ను కుంటా ను .
तुमहें दिखा ई नहीं दे ता	నీ వు చూడ లే వా
आप खुश कि सम त हैं कि दोनों पह ल ु ओं के लिए	అది అను భ వి ంచడం లో సాయం చేయ డానికి నీకు నీ కుటుం బం ఇంకా సనే హి తులు ఉననారు .
दर ख वा सत कर रहे हैं कि य दि किसी को	అను మా ని తు డి ఆ చూ కీ కి సంబం ధి ంచిన సమా చా రం అ ంది ంచ ాలని కో రు తూ . . .
वह सं पर क सू तर कौन है ?	ఆ పరి చ య సతు లు ఎవరు ? వాళళ అసలు పేరు ఏంటి ?
- मुझे जाना है .	- నే నె ళళ ాలి . - ఏంటి ? కు దర దు !
अगर उस आत ंक वा दी का पता चल गया ,	మన మీ ఉ గర వా ది ని కను గొ ంటే , ఆమె ను ఎవరు చం పా రో తెలుసు కో వచచు .
शा म 4 : 00 ब जे तक गो ल मे ज सम मे ल न .	ర ౌ ండ టే బు ల సమా వే శ ాలు 4 : 00 వర కు . ఇంట ర వయ ూ లు 6 : 00 వర కు . . .
मेरा धयान अपनी तरफ ख ी ं च ने के	సరే , నా ద ృష టి పొ ంద డానికి ఇంకా చాలా సు ల భ మా రగ ాలు ననా యి .
उस खा ते से जु डा है जहाँ से उस	అ మె రి కాల ో అ కర మ ర వా ణ ా అయి న ఆ ఉ గర వాద ఖ ా తా కు జో డి ంచ బడి ంది ,
- गाडी में जाकर बैठ िए .	- కారు లో కూ రచ ో ండి . - డా . పార క తో మాటలాడ ాలి .
सम ंदर में तै र ना चाह े गा ?	స ము ద రం లో ఈ ద ాల ంటే ? లేదా బర గర కి ంగ లో తి నా ల ంటే ?
मतलब , अगर तुमहें सी पी आर देने के लिए	అంటే , నేను నీకు సీ పీ ఆర ఇవ వడానికి అకకడ ఉ ండి ఉండ కపోతే ఏం జరిగి ఉండే ది ?
पर जब वह क पडे पह न रही थी ,	కానీ ఆమె లో దు సతు లు వే సు కు ంటు ండ గా నువ వెళళి పోయా వు .
बॉ च ड देख ने का यह मतलब नहीं है	నీకు తెలుసా , బా చ డ చూ సతే నువవు వె దయ ని పు ణ ు ర ాలి వి అయి పో వు .
