पै ट !	పా ట !
डॉ क टर कॉ नर ने कहा कि आप बात कर सकते हैं . पर केवल कुछ मिनट ों के लिए .	మాటలాడ టం పర వాల ే దని డా క టర కా న ర అననా రు . కానీ కొనని నిమిష ాలు మాతరమే మాటలాడ ాల ట .
2 0 - 9 - 1 1 कै म मै नि न घ म फ लै ट स	2 0 - 9 - 1 1 కె మె రా మా ని ంగ మ ఫ లా ట స
मैं उसके साथ कया कर रहा हूँ ?	తన విషయం లో ఏం చేసతుననా నా ?
ठीक है . अब , तुम दोनों तु र ंत वहाँ जाओ .	సరే . ఇక మీ ఇదద రూ అ కకడికి వెళల ండి .
- हाँ , हाँ . - ए , ए . वे अपने बचा व में यही क हें गे .	- హా , అవును . - హేయ , హేయ . డి ఫె నస వాళలు అలాగే వా ది సతారు .
डी ए नए और उ ँ ग लि यों के नि शान ?	డీ ఎ న ఏ , వే లి ము దర లు సంగ తా ?
मेरा सम र थ न करते हो . ठीक है .	మీ మ దద తు నాకు ఉంది . సరే .
उसके दोसत बाहर इंतजार कर रहे थे .	బయట వాడి సనే హి తులు ఎదు రు చూ సతుననారు .
- ठीक यहीं . इसी जगह में . - नहीं !	- ఇకకడ ే . సరి గగా ఇకకడ ే . - లేదు ! లేదు !
तुमहें वय व स था और अ राज क ता के बीच अं तर पता है ?	శా ంతి కి , అ లల ర లకు తే డా ఏంట ో నీకు తెలుసా ?
बे चा रे बचचे ने हतया होते हुए सुना होगा .	అ పి లలా డు హ తయ తత ంగా నని అంతా వి ని ఉంటా డు కదా .
समझ े ? खुश हो ? बहुत खू ब .	సరేనా ? ఆన ంద ంగా ఉందా ? సూ పర .
- मार से ला . - हाँ , हैलो ?	- మార సె లలా . - హా , చెపప ండి .
मुझे जे ली पसंद नहीं है .	జె ల లీ అంటే నాకు ఇషటం లేదు .
मैं बस नि जी त ौर पर और नि ष प कष हो कर कह रही हूँ कि . . .	నాకు వయకతి గ తంగా , ఇంకా ఆ ధా రాల పర కా రం చూ సతే . . .
पर हम म जब ूत के स बना एँगे और उसे भ ौ ति क सब ूत ों के आ धा र पर स जा दिल वा एँगे .	కానీ ముందు గానే దర యా ప తు చే సతే , మనం బ ల మెన ఆ ధా ర ాలు సం పా ది ంచ వచచు .
दरअसल , इस माम ले को लेकर हम पर काफी द बा व है .	అంటే , ఈ కేసు విషయం లో కా సత ఒ తతి డి ఉంది .
ठीक है , तो अब मैं तुमहें कुछ फो टो दिखा ऊँगा .	సరే , ఇపపుడు నీకు కొనని ఫో టో లు చూపి సతా .
कि जब सं दि ग ध स ें ट लू कस ह ॉ स पि ट ल में था , तब उससे कौन - कौन मिलने आया था .	అతను సె యి ంట లూ కస ఆ సు ప త రి లో ఉనన పపుడు , అత నని చూడ టానికి ఎవరు వచచా రా అని అడి గా ను .
तुमने ची नी मि ट टी की प ले ट की तरह उस बचचे को तो ड दिया .	పి ంగా ణ ీ గి నన ె లా గా ఆ పి లలా డి భా గ ాల నని ంటి నీ వి రగ గొ టట ా రు మీరు !
मेरी समस या यह है , टो नी , कि मुझे त थ य दिखा ओ .	నాకు వా సత వ ాలు కావాలి , టో నీ . అదే సమసయ .
- दा ँ त से का ट ने के नि शान ? - आ पा त का ली न क ॉल .	- ప ంటి గా ట లా ? - ఎ మర జె నస ీ కాల స ఉననాయి .
मेरी समस या ? मेरी समस या है , टो नी , इतनी जयादा चो ट ें .	నా సమసయ నా ? గా యం త ాల ూ కు తీ వర తే నా సమసయ , టో నీ .
सर , डि प टी क मि शन र ला इन पर हैं .	సర , లె ను లో డె ప యూ టీ క మి షన ర ఉననారు .
जिन पर ले बल अब भी लगे हुए थे .	వాటి కి షా పి ంగ లే బు లస ఇంకా ఉననాయి .
नहीं . मैं वह नहीं कह रहा हूँ .	లేదు , లేదు . నేను అలా అని అన ట లేదు .
यह बढिया है . धनयवाद . यह बढिया है .	మంచిది . థ యా ంక యూ . చాలా మంచిది .
तो , तुमने बॉ य फर ें ड को गिर फ तार कर लिया है .	అయితే , మీరు లవ రు ని అ రె సట చేశా ర నన మాట .
ऐसी चीजें हैं जो तुमहें कोई नहीं सि खा ता है .	కొనని విషయ ాలు ఉంటా యి , వాటి ని ఎవరూ మన కి నే ర పి ంచ రు .
कयों ? कयोंकि तुमहारा दिमाग तुमहें सुरकष ित रख रहा है . तुमहारी याद ों पर रो क लगा रहा है .	ఎందుకు ? ఎందుకంటే మీకు ఊ ర ట గా అనిపి ంచ డానికి మీ మె ద డు చేసే మా యా జ ాల మి ది . మీకు గురతు లే కుండా చే స తో ంద ది .
शु भ रात रि , जान .	గు డ నె ట , బంగా రం .
शा बा श . ठीक है .	మంచిది . సరే మరి .
- कया यही सं देश है , हाँ ? - नहीं .	- అదే కదా నీ ఉదదేశం ? - కాదు .
जब तुम वहाँ थे , तुमने किसी से बात की थी ?	అకకడ ఉనన పపుడు ఎవరి తో నె నా మాటలా డా రా ?
पै ट रिक बर ौ ज को हो श आ गया है .	పా ట రిక బ రో స ని వార డు లోకి మార చా ం .
अब वह कैसा है ?	అతనికి ఎలా ఉంది ?
तुमहें लगता है कि वह मुझसे बात कर स के गा ?	ఇపపుడు వ సతే అతను మాటలాడ గల డు అంటా రా ?
तुम . . .	నీ . . .
ए र ॉल कभी गु स से में नहीं चि ल ला या ?	ఎ ర ర ొ ల ఎపపుడూ కో ప ంతో అర వ లేదా ?
ठीक है .	సరే మరి .
तो . . .	మరి . . .
पै ट रिक का कया ?	పా ట రిక సంగ తే ంటి ?
हतया के सं दे ह में गिर फ तार कर रहा हूँ . तुमहें कुछ कह ने की जरूरत नहीं है .	అను మా న ంతో మిమమలని అ రె సట చేసతుననా ను . మీ రే మీ చెపప ాల సిన పని లేదు .
ए डा ले इ ड बर ौ ज की हतया की	మీరు జ రి పే దర యా ప తు కు
अ ह - ह ँ , ना ई की दु कान .	సరే , బా ర బర స షా ప అనన మాట .
खैर , जो कर सकते हो . . .	మీరు చే తన ె న చో ట . . .
कि हमें और ठ ो स , भ ौ ति क सब ूत चाहिए .	వాళల కి ఇంకా బ ల మెన సా కష యా ధా ర ాలు కావాల ట .
और कोई नहीं आया ? उसके डै ड का कया ?	ఇం కె వర ూ రాల ే దా ? అతని నానన కూడా రాల ే దా ?
उनहें शुरू करने दो . अरे , ड नी स ?	వాళ లే కా నివ వడానికి . డె నీ స ?
- अगर वह खुद अ परा ध कब ूल नहीं करता है . - शायद .	- అతను నే రా నని ఒ పపు కు ంటే ఇవ ననీ అవసరం లేదు . - కా వచచు .
पाँच मिली मी टर का का ँच .	అయి దు అ ం గు ళ ాల అ దద ం .
इस मु सत फा को ढूँढ ो .	ఈ మొ సతా ఫా తో మాటలాడ ండి .
सी पी ए स से मिलने , देख ते हैं उनका कया कहना है .	సి పి ఎ స ని కలు దదాం . వాళ లే మ ంటా రో చూ దదాం .
हम कहाँ जा रहे हैं ?	మనం ఎ కకడికి వెళ తుననాం ?
तुम अचछा बर ता व करके मुझे यहाँ ले आए . " मेरा फोन कहाँ है ? "	" నా ఫోన ఎకకడ ? " అని మంచి గా , చ కక గా న టి సతూ ననను ఇకకడికి తీసు కొ చచా రు .
तुम वहाँ होती तो समझ आता .	పర తయ కష ంగా ఉంటే నే అరథ మ వు తుంది .
मुझे पता है यह बच का ना है .	అది పిచచి త నం అని నాకు తెలుసు .
अब वह तुमहारा है . तो , इसका मतलब है अब तुमहें उसे सै र करवा नी होगी .	ఆ కు కక ఇపపుడు నీ దే . అంటే , నువవే దానని న డ కకు తీసు కె ళల ాలి .
दरअसल , वह काम ढूँढ ने गए हुए थे .	ఆ సమయం లో ఆయన పని కోసం వె తు కు తుననారు .
मेरी प तनी के क पडे मत छु ओ , समझ ी ?	నా భా రయ బ టట ల జో లి కి వెళల వదదు , సరేనా ?
- वही है जो यहाँ हुआ था . . . - नहीं .	- ఇకకడ ఏం జరిగి ందో . . . - లేదు .
तुमहारी पाँच साल ों की सा थी , ए डा ले इ ड बर ौ ज की	అయి దే ళలు గా మీ లవ రు గా ఉనన అడి లె డ బ రో స ,
डी ए नए और उ ँ ग लि यों के नि शान ? उनका कया ?	డీ ఎ న ఏ , వే లి ము దర లు సంగ తి ఎ కకడి దా కా వచచింది ?
- ल डा इ या ँ ? - हाँ . उनके बारे में मुझे बता ना चा हो गे ?	- గొ డ వ లా ? - హా . వాటి గురించి ఏమెనా చెప తా రా ?
उसे कया कहते ? पता नहीं . वह बस छ ह साल का है .	ఇంత కీ మీ రే ం అంటా రు ? నాకు తెలీ ట లేదు . అతనికి ఆ రే ళ లే .
तुमहारी माँ बस यही चाहती थी .	అమమ గురించి ఒకటి చెపప నా !
उ दा हर ण ? द ंग ों की वजह से .	ఉ దా హ రణ గా నా ? అ లల ర ల కారణ ంగా నా ?
मैं बस कह रहा हूँ कि सब की एक पसंद होती है , समझ े ?	పర తీ ఒకక రికీ ఇష టా యి షట ాలు ఉంటా యి కదా , అదే చెప తుననాను నేను .
उसने अन य तर उ पस थि ति के बारे में कुछ नहीं बताया था .	అ లి బె గురించి అతను ఒకక ము కక కూడా చెపప లేదు .
हैलो . मैं स ें ट लू कस ह ॉ स पि ट ल से जू ली बोल रही हूँ .	హలో . నేను సె యి ంట లూ కస ఆ సు ప త రి నుండి జ ూ లీ ని మాటలాడు తుననా .
धनयवाद , श री डे मि र .	థ యా ంక యూ , మిసటర డె మీ ర .
माँ कहाँ है ?	అమమ ఎకకడ ఉంది ?
इतनी बडी घट ना से उ बर ना आ सान नहीं है .	ఇవ ననీ ది గ మి ం గు కో వడం కా సత కష ట ంగా నే ఉంటుంది .
न शे में ध ु त हो कर घर आया .	మ తతు లో తూ లు తూ ఇంటికి వచచా డు .
- . . . और अभी हो रहा है , ठीक यहीं . - नहीं .	- . . . ఇపపుడు ఏం జరుగు తో ందో , అంతా అనన మాట . - లేదు .
देख ते हैं कि वे हमें उस पर आ रो प लगा ने की अन ुम ति देंगे या नहीं .	ఇ త ని పె కేసు పెటట డానికి , వాళలు ఓ కే అంటా రో లే దో చూ దదాం .
- और हमें पकका यकीन है कि वह पिता नहीं है ? - सौ परति श त .	- ఆ పి లలా డి కి త ండ రి అతను కాదు కదా ? - కా నే కాదు .
जहाँ तक मुझे पता है , कभी किसी पर ऊँ ग ली भी नहीं उठा ई थी .	నేను గ మని ంచిన ంత వర కు , ఎవరి పె చేయి ఎ తత లేదు కూడా .
. . . उनहें चिंता है कि ए र ॉल को खत रा हो सकता है .	. . . ఎ ర ర ొ ల కి పరమా ద ం కా వచచ ని చెప తుననారు .
हैलो , फा यर ब रि गे ड . बिलकुल स थ िर रहो .	హలో , మేము అ గ ని మా ప క సి బబంది . అలాగే ఉండ ండి .
ए र ॉल ? तुमहारी ला इट ें काम नहीं कर रही हैं .	ఎ ర ర ొ ల ? మీ ఇంట లో లె టలు పని చేయ ట లేదు .
वह उस लड के के परति सम र पि त है .	వాడి కి ఆ పి లలా డ ంటే చాలా పరే మ ఉంది .
हमारे पास पूरा दिन नहीं है . वह इन फो टो में है या नहीं ?	మనకు ఎకకువ సమయం లేదు , గు రూ . ఉననా డా , లే డా అంతే .
उनहें काम पर वापस जाना प डा .	ప నికి వెళల ాల సి వచచింది .
तो , तुम ए डा ले इ ड के साथ जो ये ल डा इ या ँ कर रहे थे ?	మీకు , అడి లె డ కి గొ డ వ లు జరుగు తుననా యి కదా ?
मैं बस . . . मैं तुमहें स ंदर भ दे रही हूँ .	నీకు . . . నీకు విషయం చెప తుననా న ంత ే .
एक बार भी उसके पास चा कू नहीं मिला .	ఒకక సారి కూడా అతని దగగర క తతి కనిపి ంచ లేదు .
तुमहें यह कहाँ मिली ?	ఇది మీకు ఎ కకడి ది ?
कयोंकि उसने पहले कभी उसे चो ट नहीं पहुँ चा ई थी .	ఎందుకంటే , అతను ఇది వర కు ఎ నన డ ూ ఎవరి నీ గా య పరి చి ంది లేదు .
इसलिए , तुमहारी अन ुम ति से , मैं तुमहें वापस उस फ लै ट में ले जाना चा हूँ गा . जहाँ वह मरी थी .	కాబటటి , మీ అను మ తి తో , ఆమె చని పోయి న ఫ లా టు కు మిమమలని తీసు కె ళల ాలను కుంటుననా ను .
पी ए सी ई का समय शुरू हो चुका है , है न ? हमारे पास 2 4 घं टे हैं .	పే స చ టట ం సమయం పరా రం భ మెంది . మన కి 2 4 గంట ల సమయం ఉంది .
बस वह इतना ही होता है .	అదే శా ంతి కి , అ లల ర ల కి తే డా .
यही सं देश है .	అదే స ందే శం .
ए र ॉल कहाँ है ?	ఎ ర ర ొ ల ఎకకడ ?
टर क के साथ ट करा ना . मेरा मतलब . . .	టర కకు తో అతని కారు గు దదు కు ంది . అంటే . . .
आपने कया कहा ?	మీ రే మ ననా రు ?
डै न . सुना है , सी पी ए स से बु री खबर मिली ?	డా న . సి పి ఎ స నుండి మన కి చు కక ె దు రె ందని వి ననాను .
कयोंकि तुम इ कल ौ ते हो जिस के पास च ही ते लोग हैं , है न ?	ఎందుకంటే , స నని హి తులు ఉండే ది మీ ఒకక రి కే కదా ?
डै ड , आप कहाँ है ?	నా ననా , ఎకకడ ఉననావు ?
वह मेरा बेटा है .	వాడు నా క నన కొ డు కు .
नहीं , कोई बात नहीं .	మ రే ం పర వాలేదు లే .
जेल में एक आदमी है जो उसकी हतया के लिए 2 4 साल की स जा का ट रहा है .	ఆమె ని చం పి న నే రం కింద ఒక రికి 2 4 ఏ ళల శి కష పడి ంది , ఇపపుడు అతను జె లలో నే ఉననాడు .
यह मेरे पा प ों की स जा है . प तनी को घर मिल गया . अब मैं वापस छा तर ों की तरह रह रहा हूँ .	నా ఖ ర మ లె ండి . ఇ లలు నా భా రయ కి ద కకి ంది . నేను మళలీ బ యా చి ల ర లా బ తు కు తుననా .
उन गर मि यों में , उनहोंने वह का ँच तो ड दिया था .	ఆ వే స వి లో వాళలు ఆ అ దద ాలను ప గల గొ టట ా రు .
पूछ ता छ करेंगे या उनहें शुरू करने द ूँ ?	సరే అంటే మీరు అడ గ డా ని కా , వాళ లే కా నివ వ డా ని కా ?
अगर तुमने जिस आदमी को उस दिन देखा था , वह इसमें है ,	ఆ రోజు నువవు చూ సిన వయకతి ని నువవు గుర తి సతే ,
आप यहाँ छु पे हुए हैं ?	ఇకకడ దా కక ొ ని ఉననా రా మీరు ?
वी आई पी कट स . वह ना ई की दु कान है .	వీ ఐ పీ క ట స . అద ొక బా ర బర షా ప .
- वे चि ल ला रहे थे . - वे चि ल ला रहे थे .	- అ రు చు కుననా రు . - అ రు చు కుననా రు .
पर तुमहारे ए म आर आई के न ती जे के अनु सा र	మీ ఎ ం ఆర ఐ స కా న లో మీ తల కి గా యం కాల ే దని ఉంది ,
- कृपया , कम रा सं खया चार का वॉल यू म बढ ा ओ . - जी , सर .	- నా ల గ వ గ ది లో స ౌ ండ ఆన చేయ వా ? - అలాగే , సర .
भा ड में जाओ !	దొ బబ ే య ండి !
ए र ॉल .	ఎ ర ర ొ ల .
वह अब भी बाहर घ ू म रहा है , पर तुम यहाँ हो . ह ँ ?	బయట స వే చ ఛ గా తి రుగు తుననా డు , కానీ మీరు ఇకకడ ే ఉననారు . హా ?
ड नी स .	డె నీ స .
ए र ॉल .	ఎ ర ర ొ ల .
और कभी - कभी , अगर तुमहें थोडी और मे ह न त करनी पडे . . .	వాటి కోసం ఒక కో సారి , మనం పరి ధి దా టి పరయతని ంచ ాల సి ఉంటుంది . . .
हाँ , पड ो सि यों ने पुलिस बुला ई थी , 2 00 5 में . वह कि शो र था . . . माम ला आगे नहीं बढ ा .	హా , అతను టీ నే జ లో ఉనన పపుడు 2 00 5 లో పొ రుగు వారు పోలీసు ల కి కాల చేశారు . . . కానీ అది ము ందుకు పో లేదు .
हाँ , पी डि त पर लगे दा ँ त ों से का ट ने के नि शान तुमहारे दा ँ त ों से मे ल खा ते हुए पर ती त होते हैं , ए र ॉल .	హా , కానీ బా ధి తు ర ాలి మీద ప ంటి గా టలు ఉననాయి , అవి మీ ప ళల తో మయా చ అవు తుననా యి , ఎ ర ర ొ ల .
हा ल ही की घट ना ओं को देख ते हुए , हमारी छ वि इतनी अचछी नहीं है .	ఇ టీ వ లి జరిగి న సం ఘ టన ల కారణ ంగా , మన మీద అంద రికీ స ద భి పరా యం లే కుండా పోయింది .
मुझे उस फ लै ट में मौ जू द सभी का डी ए नए चाहिए . " मुझे चाहिए , मुझे चाहिए , मुझे चाहिए , " मुझे पता है ,	ఆ ఫ లా ట లో ఉనన వాళల ంద రి డీ ఎ న ఏ నాకు కావాలి . నేను చాలా అడుగు తుననా నని నాకు తెలుసు ,
देखो , कया हम इस आदमी पर आ रो प लगा ने के करी ब हैं ?	ఈ వయకతి మీద కేసు వే య డానికి అవకా శం ఉందా ?
- हाँ . हाँ . - तब तुमने झूठ बो ला था ?	- హా . అవును . - అబ దధ ం చెపపా రా ?
" डै ड . मुझे पैसे चाहिए . "	" నా ననా , నాకు డబబు లు కావాలి . "
मुझे याद है , मेरी बेटी , ली सा ,	నా కూ తు రు లీ సా చినన పపుడు
इसलिए मैंने सोचा , मैं उसे अचछे क पडे भी नहीं दे सकता .	కాబటటి వాడి కి మంచి బ టట లు కూడా తీసుకో లే కపో తుననా నే అని బాధ పడ డా ను .
पर सुनो , हमने सौ दा किया था , है न ?	కానీ ఒక విషయం , మనం ఒక మాట అను కుననా ం కదా ?
आप इसे ड रा रहे हैं . यहाँ आओ .	నువవు దీ నని భయ పె డు తుననావు . ఇలా రా .
कृपया , मुझे अपने बॉ य फर ें ड का	దయచేసి మీ ల వర పే రే ంట ో చెపప గ లి గి తే ,
पाँच रात ों को लू ट पा ट और आ ग ज नी हुई और भगवान जाने कि कितनी आ परा धि क कष ति हुई .	వ రు స గా అయి దు రా తరు ళలు లూ టీ చేశారు , త గల బె టట ా రు , ఎంత ఆ సథి న ష టం జరిగి ందో ఆ దేవు డి కే తెలియ ాలి .
टो नी और कि म पूछ रहे हैं	టో నీ , కి మ ఏం అడుగు తుననా ర ంటే ,
सच में . वह कॉ पी है . आप उसे रख सकते हैं .	అది కా పీ యే లే ండి . మీ రే ఉ ంచుకో ండి .
और वह कह ता रह ता है कि यह आदमी जो	ఇంకా , వె ట క రా స జె లలో శి కష ను అను భ వి సతునన
दा ँ त से का ट ने के नि शान ? और वे अ चा न क नहीं पड ते हैं .	కొ రికి న మ చచ లు ఉననాయి కదా ? అవి ఎలా వచచా యి ?
हाँ , अ परा ध स थ ल से . उस फ लै ट में और कौन था ?	హా , నే రం జరిగి న చో ట . ఫ లా టు లో ఇం కె వర ెనా ఉననా రా అని .
नीचे के फ लै ट ों में से एक में झ ग डा हो रहा है .	కింద ఉనన ఒక ఫ లా టు లో గొ డ వ జరుగు తోంది .
मुझे हि ं सा का इ ति हा स दिखा ओ .	అతనికి నే ర చ రి తర ఉ ందని చూపి ంచండి .
- मेरी प तनी . . . - कया ? त ला क हो गया ?	- నా భా రయ . . . - ఏంటి ? వి డా కులు తీసు కుననా రా ?
यह कया हो रहा है ? मुझे लगा था हम वापस जेल जाएँगे ?	ఏంటి ది ? మనం జె లు కు వెళ తుననాం అను కుననా నే ?
मेरा मतलब , अगर तुमहें पकका यकीन है तो .	మీకు పర వాల ే ద ంటే , నా కూ పర వాలేదు .
इसलिए , मेरी समस या . . .	కాబటటి , నా సమసయ ఏంట ంటే . . .
जब अंदर जाना चा हो , तब जाना .	సమయం చూ సు కొ నే వెళల ండి .
यह मैं नहीं हूँ . यह फो टो श ॉ प की गई बकवास है .	అది నేనే కాదు . ఎవరో ఫో టో షా ప చేశారు .
यह अचछा है , यह अचछी पर ग ति है , है न ?	మంచి దే . మీరు ము ందుకు సా గు తుననారు , అంతే కదా ?
- माँ ! - चलो .	- పద ండి . - అమమా !
द बा व ? कैसा द बा व ?	ఒ తతి డా ? అంటే ?
वे चि ल ला रहे थे .	అ రు చు కుననా రు .
जान . . . और ? कया हमें अ त िर ि कत समय मिला ?	బంగా రం . . . మరి ? మన కి పొ డి గి ంపు ఏమెనా ల భి ంచి ందా ?
ठीक है , हाँ . . .	సరే , అది . . .
अ र सा पहले उसकी एक गर ल फर ें ड थी . मेरी ही तरह .	అతనికి చాలా కాల ం కరి తం ఒక ల వర ఉండే ది . నా లాంటి అమమా యే .
वह अचछा है . बेहद अचछा है , हाँ .	అది మంచి ప నే . నిజంగా నే చాలా మంచి పని .
और इसका कया मतलब है ? " पू रे सम र थ न " का ?	అంటే ఏంటి ? " అ ండ గా ఉండ టం " అంటే ?
ध ो खे बा ज कहीं की . मैंने तुमसे कहा था . तुमहें चे ता व नी दी थी .	నమమ క ద రో హి . నీకు చెపపా కదా . హె చచ రి ంచా కూడా కదా .
प ौ धे लगा रहा हूँ .	మొ కక ల పని చూ సతుననాను .
उसके फ लै ट में . आप उसे रख सकते हैं .	తన ఫ లా టు లో ని ది . దానని మీ దగ గరే ఉ ంచుకో వచచు .
उसने आपको छु रा घ ों पा ?	మిమమలని పొ డి చా డా ?
इसका कया मतलब है ?	ఏంటి ? ఎందు క లా అననా రు ?
बात बस यह है कि हमें तुमहारे फ लै ट में कुछ क पडे मिले ,	ఏంట ంటే , మీ ఫ లా టు లో కొనని వ స తర ాలు దొ రి కా యి ,
हम शादी करने वाले थे .	మేము పె ళ లి చేసుకో బో తుననాం .
मैंने सुना कि सन 2 00 5 में आपके साथ कोई समस या हुई थी ?	2 00 5 లో మీ ఇదద రి మధయ ఏదో జరిగి ందని వి ననాను .
मैंने अपना आ पा खो दिया था .	హా , వి చ కష ణ కో ల పోయా ను .
- आप घर कब आ एँगे ? - जल द ही . मैं जल द ही घर . . .	- ఇంటికి ఎ పపుడు వ సతుననా వు ? - తవర లోనే . ఇంటికి వచ చేసతా . . .
मुझे उससे पहले की चीजें याद है .	అంత కు ముందు వి గుర తుననా యి .
- उनहोंने कया कहा ? - हाँ ,	- ఏమ ంటుననా రు వాళలు ? - హా , అంటే ,
मैंने उसे एक कु त ता ख री द कर दिया .	తన కి ఒక కు కక ని కొ ని చచా ను .
कया मैं पूछ सकता हूँ वह तुमहें कया बुला ता था ? ए र ॉल ? डै ड ? डै डी ?	అతను మిమమలని ఏ మని పి లి చే వా డో అడ గ వచచా ? ఎ ర ర ొ ల ? నానన ?
तो , तब तुमने झूठ बो ला था ?	అయితే ఇం దా క మీరు అబ దధ ం చెపపా రా ?
ठीक है , मैं तुमहारा ब यान धयान में रख ूँगा .	సరే , మీరు అనన ది అరథం చేసు కుననాను .
बस तुमहें शु भ काम ना एँ देना चाहता था .	నీకు గు డ ల క చెప దా మని చేశా ను .
वह कहाँ चला गया ?	ఎ కకడికి వెళలి పోయా డు ?
उसने अपने पै र लग भ ग खो दि ए थे	రెండు కా ళల కి త ృ టి లో పరమా ద ం తపప ి ంది ,
हाँ , माफ करना , सर . ठीक है . . .	హా , సా రీ , సర . అలాగే . . .
और अब वह मर चु की है .	ఇపపుడు ఆమె పరా ణ ాల తో లేదు .
" मैं तुमहें मार डाल ूँगा . मैं तुमहें मार डाल ूँगा . मैं तुमहें मार डाल ूँगा . "	" నినను చం పి పా రే సతా . నినను చం పి పా రే సతా . నినను చం పి పా రే సతా . "
तुमहें हमारे बारे में , हमारे बीच की भा वना ओं के बारे में कुछ नहीं पता .	మా గురించి కానీ , మా మమ కార ాల గురించి కానీ మీ కే మీ తెలీదు .
एक सं कष ि पत ब यान तैयार किया है जो वह चाहता है कि मैं पढ कर सुना ऊँ .	ఒక చినన సట ే ట మె ంట ఇ చచా రు , దానని చ ద వ మని ననను కో రా రు .
पर ए , वह अ द भ ु त है , है न ? वह साह सी है , है न ?	కానీ అతను చాలా మా మూ లో డు కాదు కదా ? చాలా ధ ె రయ వం తు డు కదా ?
हाँ . देखो , मैं बस यह कहना चाहता हूँ कि ,	హా . నేనే ం చెపప ాలను కుంటుననా న ంటే ,
बॉ स , अभी मैं अ ध ीक ष क के साथ हूँ .	బా స , ఇపపుడు నేను సూ పరి ంట ె ండ ె ంట తో ఉననా .
हम तुमहारा पूरा सम र थ न करेंगे , डै न .	నీకు మేము అ ండ గా ఉననా ం , డా న .
उप - शी र ष क अनु वाद क : म ून क लि ता	స బ టె టి ళ లను అ నువ ది ంచిన ది : రా ం పర సా ద
उसके पड ो सी ने फोन किया .	వాళల పొ రుగు వయకతి కాల చేశారు .
- फिर भी तुम अपनी रा य दो गी , ह ँ ? - खैर . . .	- ఏ దే మెనా నీ అభి పరా యం ఇపపుడు చెప తా వు కదా ? - అంటే . . .
- मैंने यह नहीं किया . - कभी उसे खुश नहीं रख ती थी . . .	- ఈ పని నేను చేయ లేదు . - అత డిని ఎపపుడూ . . .
तो , उस आदमी का कया ?	అత డిని వి చా రి ంచి చూశా రా ?
तो , तुमने लू ट पा ट में भाग नहीं लिया था ?	అయితే , మీరు లూ టీ లో పాల గొ న లేదా ?
तुम मजाक कर रहे हो ?	జో క చేసతుననా రా ?
ली सा - अभी आप घर कब आ रहे हैं ?	లీ సా - ఇపపుడు ఇంటికి ఎ పపుడు వ సతుననా వు ?
तुमहें नहीं पता मेरे दिमाग में कया है .	నా మె ద డు లో ఏ ము ందో మీకు తెలీదు .
हैलो , जान . हाँ , मैंने यह सु ल झा दिया है . . . मैंने उसे बता दिया है .	హాయ , బంగా రం . ఇపపుడు అంతా ఓ కే . . . నేను తన తో మాటలా డా .
ली सा अपने पि ल ले से खुश है ?	లీ సా కి , ఆ కు కక పిలల బాగా న చచి ందా ?
मैं तुमहें मार डाल ूँगा . मैं तुमहें मार डाल ूँगा .	నినను చం పి పా రే సతా . నినను చం పి పా రే సతా .
- कया ? तुम कया कह रहे हो ? - लो , देखो .	- ఏంటి ? ఏం మాటలాడు తుననావు నువవు ? - ఇ దు గో , చూడు .
कम से कम वह तो खुश है .	క నీ సం తన ెనా సంతోష ంగా ఉంది లే .
भगवान के लिए , " सर " मत बुला ओ .	అబబా , " సర " అని అన కు లే .
तुमने उसे . . .	ఎందుకు . . .
पर अगर तुमने कुछ कहा , तो उसे तुमहारे वि रु द ध सब ूत के त ौर पर पे श किया जा सकता है .	కానీ మీ రే మెనా చెప తే , అది మీకు వయ తి రే క సా కష య ంగా ఉ ప యో గి ంచ బడ వచచు .
मैं तुमहारे साथ चल ूँगी .	నేను కూడా వ సతుననా .
पर अगर यह तुमहारे लिए जयादा है , डै न . अगर तुमहें और समय चाहिए ,	కానీ ఇ దంతా నినను ఉ కకి రి బి కకి రి చే సతు ంటే , డా న , మ రీ తొ ంద ర పాటు అని నీకు అనిపి సతే ,
हे भगवान .	దేవుడా .
कुछ भी याद नहीं है . "	నాకు అసలు ఏమీ గురతు లేదు . "
वह तीन बार फोन कर चु के हैं .	మూ డు సా రలు కాల చేశారు .
इससे वह हतया रा नहीं बन ता है .	అంత మా త రా న అతను హ ంత కు డు అయి పో డు కదా .
आप कया कर रहे हैं ?	ఏం చేసతుననా రు ?
सच में ?	నిజంగా నా ?
मैंने वह नहीं किया . मैंने वह . . . तुमहें मेरा विश वास करना होगा .	నేను చం ప లేదు . నేను చం ప లేదు . . . మీరు ననను నమమ ాలి .
तो इसमें कोई बुरा ई नहीं है .	అదే మీ తపపు కూడా కాదు .
उसने अपने डै ड के साथ झ ग डा किया था , पर डै ड कान ू नी कार र वाई नहीं करना चाहते थे .	అపపుడు నానన తో గొ డ వ పడ డా ను , కానీ నానన కేసు ఫె ల చేయ ాలను కో లేదు .
मैं देखना चाहता हूँ कि हम तुमहारी याद दा श त वापस ला सकते हैं या नहीं .	మీకు జరిగి న వి గురతు తె పప ి ంచే పరయత నం చేయ ాలను కుంటుననా .
ठीक है . तो हम जे ली नहीं खा एँगे .	సరే . జె ల లీ వదదు లే అయితే .
