- रा यन !	- రా యన !
ऐसा है कि वह कई लोगों के	అంటే , అతను చాలా మంది తో
पर अब सवाल यह उ ठ ता है	కానీ ఇపపుడు పర శ న ఏంట ంటే ,
यहाँ आओ .	ఇలా రా .
चलो भी .	కా నివ వు .
यहाँ आओ .	ఇలా రా .
रा यन , यहाँ आओ .	రా యన , ఇకకడ కు రా .
सट ॉर म फर ंट को पक ड लिया गया है	సటా ర మ ఫర ంట కరి యా వి హ ీ నం చేయ బడి ంది ,
और किसी अ ज ञ ा त जगह पर र खा गया है .	ఆమె ర హ సయ పర దేశం లో ఉ ంచ బ ది ంది .
इसका मतलब . . .	అంటే దా న రథ ం . . .
तो मेरी मदद कयों कर रही हो ?	మరి నువ వె ందుకు సాయం చేసతుననా వు ?
व हीं से बि ली जो ल की शु रु आत हुई .	అ పపుడే బి ల లీ జో య ె ల వచచింది .
अब सब कुछ समझ में आ रहा है .	ఇపపుడు అంతా కొంచెం అరథ మ వు తుంది .
तुम यहाँ हो , कमी नी कहीं की .	ఇకకడ ఉననావు , పా రి పో యే ముఖ ందా నా .
और गलत लोगों का कया ?	త పపుడు వయ క తు ల సంగ తే ంటి ?
रुको ! पलीज , रु क जाओ .	ఆగు ! ఆగు ! దయచేసి , ఆ పే య .
उस भरो से का ख ंड न किया , वह अस वी कार य है ,	సటా ర మ ఫర ంట ఉ లల ఘ ి ంచడం కషమి ంచ రా ని ది ,
अपना खया ल रख ना .	కష ే మ ంగా ఉ ండు .
कं पा उ ंड वी को निका ला जाएगा	కా ం ప ౌ ండ వీ ను వి డు దల చేసతుననా రు
मैं हूँ शे रि फ एड फ लै नि ग न , और मैं सक ूल	నేను ష ె రీ ఫ ఎడ ఫ లా న గ న , హో ం లా ండ ర తో
यकीन मान ो , मैं भी यही करना चाहती हूँ .	నమ ము , నేను ఇ దంతా చేయ ాలను కుననాను .
सभी मुझे घ ूर रहे थे	అందరూ నన నే చూ సతుననారు ,
- हम पर हम ला हुआ है .	- మన పె దా డి చేసతుననా రు .
अगर तुमने ऐसा किया ,	ఒక వే ళ నువవు అలా చే సతే ,
परा इ वे ट डे टा रि जर व .	వయకతి గ త సమా చా ర రి జర వు .
अपने बे टे को बचा ने के लिए	ఒక తల లి కొ డు కు ను ర కషి ంచే ందుకు
मैं भी लौट पा ऊँगा ? है ना ?	నే న ూ తిరిగి చే రు తుననాను , కదా ?
वि क टो रि या न यू मन न ई माल किन है .	వి క టో రి యా న ూ మెన కొతత జా ర .
हमें पता है , हम व हीं थे .	మనకు తెలుసు , మన మ కకడ ఉననా మని .
या फिर हो म लै ंड र को	లేదా బహుశా హో ం లా ండ ర ను
द बॉ य ज	ది బా య స
- अचछा .	- అలాగే .
ए . मु स कु रा ओ . यह अचछी खबर है .	హే . నవ వు . ఇది మంచి వార త .
सा र वज निक ब यान .	అ ధి కా రిక ంగా .
हमारे अ ंद रू नी खो ज कार या ल य ने	మా అంత రగ త పరి శ ో ధ నా బ యూ రో
कमी ने कहीं के .	చెతత వెధవ లు .
उस ता द से पू छो .	బా స ను అడుగు .
वह और मैं बहुत ना चा करते थे .	నేను ఆమె , ఈ డా నస పార టీ లు
और दोबारा कभी फोन नहीं किया .	ఇంకా ఎపపుడూ ఫోన చేయ లేదు .
यह बात अचछी नहीं लगी .	అది బాధ కర ంగా ఉంది .
तो , आपने कया किया ?	సరే , నువవు ఏం చేశా వు ?
मैं वहाँ से निकल प डा .	అంటే , వెళళి పోయా ను .
इसलिए वे दूर ही रह ते थे .	అందుకే వారు ద ూర ంగా ఉండే వారు .
बिलकुल आता है .	అవును చేసతా .
भा ड में जाए , मैं नहीं कर पा या .	ననను వదిలే య , నేను అది చేయ లేక పోయా ను .
ए , जर मन और त .	హే , జర మ నీ దా నా .
मैं वय क ति गत रूप से	నేను స వయ ంగా సటా ర లెట కు
है रा न हूँ कि तुमहारा दिल इसे झ े ल ले ता है .	నీ గు ండ ె త టటు కు ంద ంటే ఆ శ చ రయ ంగా ఉంది .
मैं न इसकी पु ष टि कर सकता हूँ ,	అది అవు నని గా నీ కా దని గా నీ చెపప లేను .
उसके लिए कोई दूस री माँ ढूँढ ो .	అతనికి కొతత అమమ ను వె త క ండి . నేను నా
अचछा ? तुमहारी टी म का कया हुआ ?	నిజంగా నా ? మరి మీ బ ృ ంద ం సంగ తి ఏంటి ?
सट ॉर म फर ंट के प ला ज मा बोल ट को	సటా ర మ ఫర ంట ప లా సమా బో ల టు ల
उनहें नहीं लगता कि दिमाग को	మొద డు కు ఏమీ గా య మ వ వ లే దని
स टा र ला इट कहीं ला पता है ,	సటా ర లెట గ ాలి లా కనిపి ంచ కుండా
आ राम से , यार . कैसा रहा ?	శా ంతి ంచు , టె గర . ఎలా చేశా వు ?
और ए - ट रे न ? श ॉ क वे व के फ ट ने के बाद , तुमहें	ఏ ట రె యి న మాట ే ంటి ? షా క వే వ పే లి పోయా క
मैंने तुमहारे लिए काफी नहीं किया ?	నేను నీకు చేసి ంది సరి పో లేదా ?
तुमहें कुछ और को रस करवा एँगे ,	ని నని ం కా ముఖ య కోర సు లలో చే రు సతాను ,
- पर नहीं , मैंने नहीं किया .	- కానీ లేదు , నేను కాదు .
हम तैयार हैं .	మే మూ వ సతా ం .
बात सिरफ मेरी नहीं है .	ఇది కేవలం నా గురి ంచే కాదు ,
चलो . गाडी में , इस तरफ .	రా . కారు దగగర కు , ఇ టు వెపు .
त सवी र ें एक दम न क ली हैं ,	ఆ ఫో టో సప షట ంగా శు దధ అబ దధ ం ,
जाओ . हम इसे रो क ल ेंगे .	వెళళ ు . ఆమె ను మేము ఆ పు తా ము .
यह मेरा है .	వాడు నా వాడు .
तो , बात सिरफ ध ं धे की है ना ?	అయితే , ఇది కేవలం వయా పా రం అనన మాట ?
- वह टा वर में है ?	- అతను ట వర లో ఉననా డా ?
तो फिर , क सम खा ओ .	అయితే పరమా ణం చె య యి .
कि यह तुम जै सी ना जी के छ क के छु डा दे गी .	ఆమె నీ నా జీ న డ డి వి రగ గొ డు తు ందని .
मैंने वा दा किया है .	నేను మాట ఇ చచా ను .
" कमी ना नहीं बन ना . "	" వెధవ గా ఉండ కు . "
एक छो टी सी की मत है .	చాలా చినన మూ ల యం .
मेरे दिल को कुछ नहीं हुआ .	నా గు ండ ె బాగానే ఉంది .
नहीं , मुझे पकका नहीं पता .	లేదు , నాకు ర కష ణ లేదు .
तुमहें पता होगा कि कया करना है .	నీకు ఏం చేయ ాలో తెలు సతుంది .
बच चों की कि ता ब ें भर कर दी ं ,	ఆ పిచచి పిలల ల వర క బు కలు ని ం పా ను ,
मुझे पता है कया करना चाहिए . सोच ो . . .	నాకు ఏంట ో తెలుసు . ఊ హి ంచుకో . . .
ह यू ई ?	హ యూ య ీ ?
पर हम ऐसा नहीं कर सकते , मे व . नहीं कर सकते .	కానీ మనం చేయ లే ము , మే వ . మనం చేయ లే ము .
- धत तेरी . मुझे माफ करना .	- అయ యో , ననను కషమించు .
- कया ?	- ఏంటి ?
- माँ ?	- అమమా ?
ए , कया बात है ? नहीं .	హే , ఏం జరుగు తోంది ? వదదు .
- सारे कम रे हि फा ज त से हैं .	- అనని గ దు లు సు ర కషి తంగా ఉననాయి .
मेरा बेटा कहाँ है ?	నా కొ డు కు ఎకకడ ?
- हाँ ?	- ఏంటి ?
मेरे बे टे से दूर रह !	నా కొ డు కు కు ద ూర ంగా ఉ ండు !
हे भगवान , नहीं .	అయ యో దేవుడా , వదదు .
शायद आपको कोई मुशकिल नहीं हुई होगी .	బహుశా నినను ఇ బబంది పెటటు ండ దు .
" तुमहें बस ए आर - 1 5 की जरूरत है	" కావాల సి ంద లలా ఒక ఏ ఆర - 1 5 ,
मैं समझ ती हूँ . अगर मैं दिन भर	నాకు అరథ మెంది . నేను కూడా
पर हमारे पास कुछ तो है .	మనం చేయ ాల సింది ఇది .
हाँ , जि तनी जलदी हो स के ,	అవును , 5 0 రా ష టర ాలను
तुमने फोन पर कहा था	హో ం లా ండ ర కొ డు కు విషయం లో
ऐसा नहीं होता . मुझे सी ख ना प डा था .	అది అలా కాదు జ రి గే ది . నేను నే రచు కుననాను .
वह त ख ता प लट ना था !	అది పెదద కు టర !
- नो आर कैसा है ?	- నో య ర ఎలా ఉననాడు ?
मैं तुमहारे बे टे को ढूँढ कर र हूँ गा .	నేను నీ కొ డు కు ను కను గొ ంటా ను .
हमारी मदद करो !	మాకు సహా యం చె య యి !
आपने जो चा हा , मैंने सब किया .	మీరు అడి గి నవ ననీ చేశా ను .
- मैं तुमहें यहाँ छोड कर नहीं जाना चाहती .	- నినను ఇకకడ వది లి వెళళ ాలని లేదు .
मतलब , वह हो म लै ंड र के जैसा नहीं बन सकता .	అంటే , అతను హో ం లా ండ ర లా పె రగ కూడదు .
- रा यन उनके पास है .	- రా యన వాళళ దగ గ రు ననా డు .
हाँ . मतलब , बिलकुल .	అవును . అంటే , ఖచచితంగా .
तुम कहना कि सिरफ यही एक तरी का है ,	నువవు హో ం లా ండ ర నుండి రా య నను
अगर मैं सुन न पड गई तो ?	నేను బి గు సు కు పో తే ?
अरे , कोई बात नहीं . तुम सी ख जाओ गे .	హే , ఫర వాలేదు . నీకు వ సతుంది .
कोई ही रो , तु र ंत आपके सक ूल पहुँच जाएगा .	మీ క యా ం ప స కు వెంట నే హ ీ రో వ సతారు .
पलीज , पीछे रह िए . पलीज .	దయచేసి వెన కకు ఉండ ండి . పలీజ .
इसका कहना है कि सच तो यह है	ఆమె చెపపే నిజం ఏంట ంటే ,
सं वाद अनु वाद क पर वी न कौ र शो म	స బ టె టి ల అను వాద కర త సమ త
- माँ ! बस भी करो .	- అమమా ! సరే లే .
उसका नाम कया है ?	అతని పే రే ంటి ?
सट ॉर म फर ंट को देख ते ही . . .	నేను సటా ర మ ఫర ంట ను చూ సిన పపుడు . . .
वह बहुत अचछा है .	తను మంచి వాడు .
एक घं टे में , मैं हा उस हम ले में	ఒక గంట లో , హ ౌ స పె దా డి లో చని పోయి న హ ీ రో ల
अचछा . इसे कुछ देर अके ला छोड दे ते हैं .	సరే . ఆమె కు కా సత ఊ పి రా డని ద దా ము .
कयोंकि मैं उनके जैसा नहीं बन ना चाहता .	ఎందుకంటే నేను ఆమె లా ఉండ కూడ దని .
अगर व ॉ ट ने फि फ थ ए वे न यू में	వా ట ఫి ఫ త ఎ వెన యూ మధయ లో
तुम व ॉ ट ट ूर ना में ट ऑ फ ही रो ज	వా ట టో ర న మె ంట ఆ ఫ హ ీ రో స
पहली बात , रा ष टर पति तुमहें	ఒకటి , అ ధయ కష ు డి కి నువ విష టం లేదు ,
तुमहें मुझसे एक वा दा करना होगा .	నువవు నాకు ఒక మాట ఇవ వాలి .
ना जी सट ॉर म फर ंट , हि ट ल र का सि ता रा	నా జీ సటా ర మ ఫర ంట , హి టల ర తా ర
तुमहें मेरे जैसे कमी ने को	నీ బి డ డ నా లాంటి వెధవ తో ఉండ లే డు .
जिस पर न ु क सान पहुँ चा ने के	ఆమె పె వి ధ వ సం ఇంకా కు టర చేసిన టటు
कि हम अ ंत रि कष से आए बी जा ण ु हैं ,	వచచా మని తెలి సి నా నవ వ లేదు .
मुझे लगता है कि मुझे थोडा दूर ह ट ना चाहिए ,	ఇక నేను వెళళ ాల సిన సమయం , ఒకక సా రె నా
क माल की बात है .	గొపప గా ఉంది .
श हर में गाडी चला ने को लेकर डर लग रहा है .	నాకు న గ రం లో న డ ప డం ఆ ందో ళ న గా ఉంది .
त सवी र में जैसा दिख ता था ,	ఫో టో లో కంటే సు కు మార ంగా ఉననాడు .
ए , बि ली .	హే , బి ల లీ .
शुकरिया .	ధనయవాదాలు .
- मजाक कर रहा हूँ . जरूर मिले गी .	- ఊ రి కే అననా ను . తపప కుండా .
मैं बहुत बडी पर श ं सक हूँ .	పెదద అభి మా ని ని . ఫో టో తీసుకో నా ?
अचछा .	సరే .
एक से जयादा .	ఒక రి కంటే ఎకకువ .
पर बात मेरी नहीं है .	కానీ అది నా గురించి కాదు .
कैसे ?	ఎలా ?
और मुझे सब कुछ खुद ही सी ख ना प डा .	నా అంత ట నేనే అంతా తెలుసు కుననాను . చూశా వా ?
कया ?	ఏంటి ?
- ठीक है .	- సరే . సరే .
कया ?	ఏంటి ?
वह निकल प डी है .	ఆమె వ సతుంది .
कया ?	ఏంటి ?
कया ?	ఏంటి ?
आओ चल ें .	పద వెళ దాం .
हाँ ! ए - ट रे न लौट आया है , जान !	అవును ! ఏ ట రె యి న తిరిగి చే రు తుననా డు !
मुझे किसी और को रस के लिए पैसे नहीं देने !	నాకు ఇంకా కోర సు లకు క టట ాలని లేదు .
व ॉ ट इसे छो डे गा नहीं .	వా ట కు తను తిరిగి కావాలి .
हैलो .	హాయ .
और दूस री बात , उनहोंने फै सला कर लिया है .	రెండు , అతను నిరణ యం తీసు కుననా డు .
हा ल ही में , मैंने उस ी के बारे में सोचा ,	ఈ మధయ నేను అకకడ ే ఉండ ండ ం గురించి
- द फ तर फोन करके मु ला का त त य करें ?	- ఆ ఫి సు కు ఫోన చేసి సమా వే శం ఏ ర పాటు చేయ నా ?
मैं जिस आदमी को जानती हूँ , वह बन ो .	నాకు తెలి సిన మ గ వాడి లా ఉ ండు .
तो लोग उनके गु ण गा न ही करेंगे .	వాళళు గొపప గా భా వి సతారు .
मैंने उसे देखा , फर ें ची .	నాకు ఆమె కనిపి సతుంది , ఫ రె ంచ ీ .
वाह ! समझ में आ गया .	అయితే అది పరి ష కార మ యి ంది .
नहीं , सच में . बस भी करो .	కాదు , నిజంగా . పలీజ .
उनके साथ बडा मजा आता था .	ఆమె సర దా గా ఉంటుంది .
नहीं , तुम चि पक ू नहीं हो .	లేదు , అలా ఏమీ కాదు .
अब तो सू प अफ े यर स का द फ तर	ఇపపుడు సూ ప వయ వ హా రాల
यह घर न क ली है , पड ो सी न क ली हैं ,	నువవు , ఈ ఇ లలు , పొ రుగు వారు అంతా అబ దధ మా ?
द फा हो जाओ तुम लोग .	వెళళ ండి , అందరూ .
मैं एक दम डर गया था .	నాకు భయ మే సింది .
मुझे यकीन नहीं होता कि आज के ज मा ने में	ఈ రోజు , ఈ కాల ంలో నే ని ది చెపప డం
बस करो ! उनहें तक ली फ हो रही है .	ఆగు ! నువవు ఆమె ను బా ధి సతుననా వు . వదిలే య .
कया आप सब बि ली के करी बी दोसत हैं ?	మీ ర ంద రూ బి ల లీ కి దగ గ రి వా రా ?
ए ली ना कहाँ है ?	ఎ లీ నా ఎకకడ ?
यह आत मह तया है .	అది అత మ హ తయ .
कभी भी कुछ नहीं बदल ता ,	ఎ పపటి కీ ఏమీ మార దు , బాగు పడ దు .
चलो , उस ता द .	ఇది గో , మే ధా వీ .
मैं तीन घ ंट ों में पूरा इ ला का घ ू म ले ता हूँ .	మూ డు గంట లలో ప టట ా ణ ాలు చు టటి వ సతాను .
- रा यन कहाँ है ?	- రా యన ఎకకడ ?
मुझे याद है	జ నం మధయ లో నేను
शायद मेरे साथ .	బహుశా నాతో .
अब जब कुछ ढ ंग का काम करने का मौ का मिला है ,	చి వర కు మంచి చేయ డానికి అవకా శ మొ సతే ,
कया बात है ?	ఏం జరుగు తోంది ?
तुम ठीक हो ?	బాగానే ఉననా వా ?
बकवास मत करो ! रा यन तुमहें नहीं जानता ,	కు దర కు ! రా యన కు నువవు తెలియదు ,
ले नी की आत मा की क सम खा ता हूँ .	నేను లె ననీ ఆ తమ మీద పరమా ణం చేసతుననా ను .
मि सटर एडगर , हमें एक और सवाल पूछ ना है .	మిసటర ఎడ గర , మా దో త దు పరి పర శ న .
तुम यहाँ कया कर रहे हो ?	ఇకకడ ే ం చేసతుననా వు ?
इससे काम हो जाएगा .	ఇది బాగా ప నికి వ సతుంది .
और इस ने हि फा ज त की .	ఇది సు ర కషి తంగా ఉ ంచింది .
पर तुमहारे पास कोई सब ूत नहीं है .	కానీ మీ దగగర రు జు వు లేదు .
ऐसी टी म के लिए जो सु पर ही रो पर नजर रख स के .	ఒక బ ృ ంద ఏ ర పాటు కు ని ధ ు లు ఇ సతుంది .
इसे करने का सबसे बढिया तरी का	అది చేయ డానికి ఉ తత మ మా రగ ం కా ం ప ౌ ండ వీ .
जिन लोगों ने मेरी पर व रिश की ,	ననను పె ంచిన వారు ననను చూ సి భయ పడ డా రు ,
तुमहें मुझसे वा दा करना होगा	ఏం జరిగి నా గా నీ వాడిని
ड रो मत .	ఫర వాలేదు .
पलीज , मैं समझ ा ता हूँ .	దయచేసి ననను వి వరి ంచ నివ వ ండి .
वि लि य म , मुझे बेहद अफ सो स है .	వి లి యం , ననను కషమించు .
मेरे पास एक तरी का है .	అంటే , నాకు ఒక మా రగ ం తెలుసు .
बस , इसे सही तरी के से करना चाहता हूँ .	నేను కేవలం , అది స రెన మా రగ ంలో
और . . .	ఇంకా . . .
शायद अग ली बार , तुम उ ड कर कहीं और चले जाओ .	తరువాత సారి నువవు ఎ గి రి పో తా వే మో .
अभी तक , किसी भी आत ंक वा दी गु ट ने	ఇ పపటి వర కు ఏ ఉ గర వాద సం సథ
मैंने तुमहारी जान नहीं बचा ई थी ?	నేను నీ పరా ణం కా పా డ లేదా ?
देखो , तुम चिंता मत करो , ठीक है ?	చూడు , కంగా రు పడ కు , సరేనా ?
तुमहें उन सभी लोगों के बारे में	నువవు ఆలోచి ంచ ాల సింది తను
हो म लै ंड र मेरा दोसत है .	హో ం లా ండ ర మి తరు డు .
बता द ें कि यह वी डियो नि र मा ण	ఈ వీ డి యో నిర మా ణం నా ట కీ య మెన ది ము రి యు
- और आपकी 2 : 00 ब जे वाली मु ला का त है .	- రె ండి ంటి కి మీ సమా వే శ సమయం .
एक - एक खु रा क पाँच मि लि यन में बि क रही है .	ఒక యూ ని ట కు ఐ దు మి లి యన ల డో సు లు .
दा ई की बेटी के जन म दिन पर , मेरे उसके साथ	నా పిలల ల ఆ యా కూ తు రి పు టటి న రోజు
तुमने एक जा ति वा दी कमी ने को	జా తయ హం కార వెధవ నుండి
बे क का को ऐसा नहीं लगता था .	బె క కా అలా అనుకో లేదు .
सुनो , हम सभी को मार नहीं सकते .	హే , మనం అంద రి నీ చం ప లే ం .
ऐसा नहीं था कि एक दिन अ चा न क से	నేను ఏదో ఒక రోజు మే ల కొ ని
शायद . अपनी कौ म के हि सा ब से	అయి ండ వచచు . అతను చాలా తెలి వెన వాడు ,
अचछा , मैं तुमसे एक बहुत ही	సరే , నేను నినను చాలా ముఖ య మెన విషయం
और उनहें लगा ,	ఆమె " సరే , వదిలే య .
वहाँ खत रा है .	అది పరమా ద కర మెన ది .
ताकि उनके बारे में कोई सब ूत हाथ न लगे .	వాళళ రు జు వు లు క పప ి పు చచ డానికి .
आपको कुछ नहीं होगा . फिर से प ला न बता इए ?	బాగానే ఉంటా వు . పర ణ ా ళ ి క చెపపు ?
- सा धा रण है , पर अस ली मजा साम ग री में है .	- సా ధా రణ మే , కానీ ఇ వే ప దా రథ ాలు .
लोग ड रे हुए हैं .	జ నం భయ పడి పోయి ఉననారు .
बहुत बडा अ ह सान चाहिए .	అది చాలా అడ గ ాలి .
और बच ना ही सबसे जरू री है .	బర తి కి ఉండ డం ముఖ యం .
जो एक तरह से अचछी बात है ,	అది ఒక ందుకు మంచి దే ,
पीछे रह िए . शुकरिया .	వెన కకు ఉండ ండి . ధనయవాదాలు .
तुमहारे और लड कों के खिला फ	నీ పె న , బా య స పె న ఉనన
तुम ही हमारा एक मा तर स हा रा हो .	నువవే మా చి వరి అవకా శం .
डा य ट को क , नी ं बू डाल कर , है ना ?	ని మమ కా య తో డె ట కో క కదా ?
हमारे पास दर जन भर सु पर ही रो को	డజ న ల సూ ప లను నా శ నం చేసే
- वे तुमहारे भी किसी करी बी को . . .	- పరే మి ంచే వారి ని గా య . . .
फ ॉ कस में एक अचछी - खा सी नौ करी मिल जाए गी	ఫా కస ఛ ా నె లలో కో రు కునన ఉద యో గం
वह तुमहारा ख ून है . जाकर उससे बात करो .	వాడు నీ రక తం . వెళళి మాటలాడు .
मैं इसे नहीं पह न ने वाली .	నేను ఇది వే సుకో ను .
मैं तुमसे पयार करती हूँ .	నాకు నువ వ ంటే పరే మ .
- कितना यकीन है ?	- అది ఎంత వర కు ఖ చచి తం ?
हम यही करने वाले हैं .	మనం సరి గగా అదే చేయ బో తుననా ము .
हमें आज की मो ह लत दो .	ఒకక రోజు ఆ గ ండి .
फिर मिल ूँगा .	తరువాత కలు సతాను .
चर च ऑ फ द क ले क टि व	సా మూ హి క చ ర చి
- ठ ं डा ?	- ఫ రె స కా ?
कि सट ॉर म फर ंट को	ఏ ట రె యి న తో సటా ర మ ఫర ంట
तुमहारी माँ वाले की तरह ,	అది మీ అమమ దాని లా ఉండ లు గా ఉండ దు .
मैं उममीद नहीं हार ता .	అది ఎంత దారు ణ ంగా మా రి నా సరే .
ऐसा नहीं है . बिलकुल भी नहीं .	అలా కాదు . అస స లు కాదు .
जरूर तुमहारा कोई नि शान ची	బయట నాకు గురి పె టటి
मैं तुमसे पयार करता हूँ .	నాకు నువ వ ంటే పరే మ .
- हमें जाना होगा .	- ఇక వెళళ ాలి .
यह मेरे पति हैं .	అతను నా భ ర త .
चलो .	రా .
चलो .	రా .
काफी समय से सट ॉर म फर ंट चर च की	సటా ర మ ఫర ంట చాలా కాల ంగా
तो फिर हम सिरफ दोसत बन कर र हें गे .	మనం సనే హి తులు గానే ఉందా ం .
चलो .	రా .
हाँ , यह तो बस शु रु आत है .	అవును , అది కేవలం పరా రం భ ం మాతరమే .
कोई आत ंक वा दी नहीं था . वह व ॉ ट का काम था .	ఉ గర వా ది అ ంట ూ లే డు . ఉనన ది వా ట .
थोडी बाहर की ह वा खा कर आ एँ ?	మనం ఫీ ల డ ట రి ప కు వెళ ి తే ఎలా ఉంటుంది ?
उसे गो र ों के खिला फ ष ड य ं तर कहते हैं .	దానిని వె ట జె న ొ సె డ అంటా రు .
सट ॉर म फर ंट की ना जी त सवी र ें सामने आई ं	సా జీ తో సటా ర మ ఫర ంట ఫో టో ల లీ క
लोगों को मना ना मुशकिल होगा .	ఒ తతి డి తో కూ డు కునన ది .
जब मैं छ ह साल का था ,	నా ఆ రే ళళ పపుడు వెళళి పోయింది .
इसलिए , वकत आने पर	అందుకే సమయం వచచి నపపుడు ,
क वी न मे व और स टा र ला इट की	క వీ న మే వ , సటా ర లెట
उस कमी ने का दिल उडा ने के लिए	ఎ పి ని ఫ రెన ఆ వెధవ గు ండ ె నా శ నం చే సతుంది .
सि वा य तुमहारे .	నీ వు తపప , ఖచచితంగా .
पर तुमने नहीं दिया !	నువవు చేయ లేదు ,
तुमहें चाह ने वाला कोई नहीं बच ना चाहिए .	నినను ఇక మీద ట ఎవరూ పరే మి ంచ రు .
हमारा मान ना है	వా షి ంగ టన మీద దా డి కి
- जो डी , मेरा झ ं डे वाला पि न कहाँ है ?	- జో డీ , నా జె ండా పి న ఎకకడ ?
मैं जो चा हूँ कर सकता हूँ .	నేను ఏ ది చేయ ాలను కు ంటే అది చేయ వచచు .
वह बे च ै न लड का ? सच में ?	ఆ ఆ ందో ళ న పడ ే అబబా యా ? నిజంగా నా ?
मैं बस . . .	నేను కేవలం . . .
हमें तुम जै स ों की जरूरत पडे गी ,	మన జా తి ని ర కషి ంచే ందుకు
मैं वा दा करता हूँ . मैं रे बे क का और रा यन को	మా టి సతుననాను . రె బె క కా , రా యన లను
उनका दिमाग ख रा ब हो गया है .	వాళళ కు మ తి పోయింది .
ए , इसे अंदर आने दो .	హే , ఆమె ను లోప లి కి రా నివ వు .
अचछा , मैं तुमहारे साथ हूँ .	సరే , నాకు అరథ మెంది .
परे स को वे सा री झूठ ी बातें	నువవే నా ఆ అబ దధ ాల ననీ
उनहोंने इसे शा मिल कर लिया ?	అతని ని తీసు కుననా రా ?
धत तेरी ! कया यह सच है ?	అయ యో ! ఇది నిజ మా ?
जयादा तर .	ఎకకువ మ టు కు .
पर य दि तुम अपनी जगह छोड ते हो ,	కానీ వదిలే సి వచచి , వెధవ లు న డి పే లా చే సతే ,
आप हमारा नया ब रे व मे व	మీరు మా కొతత బ రే వ మే వ రె యి న బో
हम तुमसे पयार करते हैं , रा यन .	మాకు నీ పె పరే మ , రా యన .
हाँ , और हम उन कमी नों को भी	అవును , మనం కూడా ఈ వెధవ లను చం పే సతా ము .
यह एडगर का काम है .	అది ఎడ గర . . .
तो , तुमहें हमारे पर सता व पर	మా పరతి పా ద నను చూ సే అవకా శం దొ రికి ందా ?
नहीं . कितनी कमी नी हूँ जो अपनी माँ की	నే న ొక పిచచి మొ హా నని , మా అమమ
मुझे माफ कर दी जिए .	ననను కషమించు .
फर क सिरफ इतना है कि मुझे सि खा ने वाला	నాకు నే ర పి ంచే వాళళు లే ర ంత ే ,
मेरी दो करी बी	నాకు ఎ పపటి కీ మంచి ,
मैं अंदर से 5 7 का ही हूँ .	నా మన సు కు 5 7 ఏ ళళు .
तुमहारे बा लों को कया हुआ ?	నీ జు టటు కు ఏ మెంది ?
कया बात है , कमी नो ?	ఏంటి విషయ ాలు , చెతత ప కష ు లు ?
अं तर रा ष ट री य स तर पर	ఇ పపటి కే తీ వర మెన అంత ర జా తీ య
देख िए , सच तो यह है कि मैं	చూడు , నిజం ఏంట ంటే ,
या तो अ कष र ों के कर म में	అ కష ర కర మ ంలో లేదా భ ౌ గో ళ ి క కర మ ంలో .
टी म में तुमहारा फिर से सवागत है .	జ టటు లోకి తిరిగి సవా గ తం .
मैंने वह सब किया जो आप चाहते थे .	మీరు అడి గి నవ ననీ చేశా ను .
नहीं , पर शायद मैं ऐसे किसी को जानती हूँ	లేదు , కానీ వి శ వ స నీ యత ఉనన వారు
इसे तो मैं य ूँ मस ल सकती हूँ .	నేను దానిని ఎ ండు చె కక ము కక లా చ ీ ల చేయ గలను .
गाडी में सा मान रख ने में मेरी मदद कर दो .	కారు ను లో డ చేయడం లో సాయం చె య .
मेरा और ए ली ना का पी छा करना बंद कर दो गे .	నన న ూ ఎ లీ నా ను ఒ ంట రి గా వదిలే య .
तुमहारे सक ूल के अंदर	మీ క యా ం ప స లో సూ పర వి ల న ఉననాడు .
मुझे सच में माफ करना .	ననను కషమి ంచండి .
मैं ही मु ख य पा तर हूँ .	నేను ముఖ యు డిని .
चि पक ने जैसा लगता है ,	ఇది ఓ వి ధ ంగా చి తత శు దధ ి మరియు
वे इस से ल फोन के सि ग न ल को ढूँढ ते हुए	సె ల సి గ న ల మొతత ం ఆ పే సతారు ,
भा ड में जाओ , बु चर . माफ करना , बे क का .	ఇది నమమ శ క య ంగా లేదు , బు చ ర .
हाँ . जरूर .	సరే . తపప కుండా .
- तैयार हो ?	- నువవు సిదధ మా ?
मेरी तरफ देखो .	ననను చూడు .
ठीक है ?	ఏంటి ?
और किसी ने मुझे सि खा या था	ఒక రు నాకు అకకడ ే ఉండ ాలని నే ర పి ంచారు .
हम जो भी करें , उससे कोई फर क नहीं पडता .	మనం ఏం చేసి నా ఉ ప యో గం ఉండ దు .
पलीज . मुझे यह करने दो .	పలీజ . నువవు ననను ఇది చేయ నీ య ాలి .
- आप मजाक कर रहे हैं कया ?	- హా సయ మా డు తుననా వా ?
ए , तुम ठीक तो हो ?	హే , నువవు బాగానే ఉననా వా ?
- वह बात नहीं करना चाहता .	- మాటలాడ న ంటుననా డు .
मैं नहीं चाहता कि मेरी वजह से इसे कुछ हो .	నా సమసయ లు వాడి కీ కలి గి ంచ లేను .
तुम मुझे यह एक काम करने से नहीं रो क सकती .	నువవు ననను ఈ ఒకక టీ చేయ నీ య ాలి .
कै श टि न का दिल खो ल कर सवागत करते हैं	మనం ఈ రోజు ఐ దే ళళు ని ండి న
किसी भ ड के हुए , र सू ख दार पागल की तरह	నేను ఏదో కో పో ద రిక తు డి లా ,
