मा घ रा !	మా గరా !
" मान व अनु भ व में सबसे अस थ िर ध व नि खा मो शी है . . .	పర క ృ తి రో ది సతూ బర తి మ ాలు తరు ణ ంలో మా న వు నికి ఎదు ర వ వు
शायद तुम मेरे लिए उन में से कुछ की पु ष टि या ख ंड न कर सकती हो .	బహుశా వాటి లో కొనని ంటి ని నువవు రూ ఢ ీ చేయ వచచు , లేదా తి రస కరి ంచ వచచు .
घं टी ब ज तो हमें जवाब देना होगा .	గంట మ రో గి తే , మేము సప ంది ంచాలి .
और अब यह बाकी की आ ठ उ ँ ग लिया ँ का ट ने के बाद . . .	ఇక మి గి లు నన ఎ నిమి ది వే ళళ తో మొద లు పె డ దాం . . .
घं टी ब जी तो तुमहें इसके लिए कष ट झ े ल ना होगा .	గంట మ రో గి తే , నువవు దానికి మూ ల యానని చె లలి ంచాలి .
जिस ने तुमहारा दिल तो डा और फिर तुमहें छोड दिया .	అదే నీ మన సు ను వి రి చేసి , నినను వదిలే సిన వాడు .
रे श म शर मि कों की प ंक ति यों के बीच ग श त लगा ते हुए .	పటటు కార మి కు ల వ రు స ల మధయ ప హా రా కా సతూ ఉననారు .
मैंने तुमसे तुमहारी आँख ें माँ गी थीं , चु डै ल , तुमहारी रा य नहीं .	నీ క ళళ సా య మే అడి గా ను , మా ంత రి కు డా , నీ అభి పరా యానని అడ గ లేదు .
वह मेरे साथ है .	అతను నా మనిషి .
कया वह उल लू है ?	అది గు డ ల గ ూ బ నా ?
और इसके साथ सच चे वि ध र मि यों को भी खतम कर दिया .	దాని తో పాటు అస లెన పా పు లను తీసు కె ళ లి పోయా రు .
कयोंकि मैं तुमहारा पिता हूँ .	ఎందుకంటే నేను మీ త ండ రి ని కను క .
वे हमेशा तुमहारे सोच ने से अधि क जानते हैं .	నువవు అను కునన దాని క ననా ఎ కకు వే తెలుసు వాళళ కి .
मैं खा मो शी में आगे बढ सकती हूँ . तुम नहीं .	శ బ ద ం చేయ కుండా నేను వెళళ గలను . నువవు వెళళ లేవు .
वे दोनों बिलकुल एक जैसे थे .	వారి దద రూ సరి గగా ఒక ే లా ఉంటా రు .
तुमहारे पास उन पर हा वी होने के लिए पर या पत सै निक हैं , है न ?	వారి ని ఓ డి ంచ డానికి చ ాలి న ంత మను ష ు లు మీ దగగర ఉననారు కదా ?
अपनी माँ को हमेशा याद रख ना .	మీ అమమ ని ఎ పపటి కీ మరి చి పో వదదు .
वह यहाँ से त व रि त ग ति से कुछ ही दिन दूर हैं .	వే గ ంగా వెళ తే , కొనని రోజు లలో వెళలి పో వచచు .
बहुत दिन हो गए हैं , और मेरे लोगों को उनका कोई सं के त नहीं मिला है .	ఇ పపటి కి చాలా రోజు లు గ డి చా యి , కానీ మా వే గు వాళళ కి వారి జా డ తెలియ డం లేదు .
आपको लगता है कि यह सर ल है .	అది తే లి క అని అనుకుంటుననా వు .
कया ह नि वा ने तुमसे बात की ?	నీ తో హ నీ వా ఏమెనా మాటలా డి ందా ?
लै व ें डर की मह क खतम हो गई है .	లా వె ండ ర వా స న తెలియ డం లేదు .
तुम ह नि वा हो ?	నువవు హ నీ వా నా ?
आप जे र ला म रे ल को बता सकते हो कि उनके बेटा और बेटी कयों इतनी दूर आए	అతని కొ డు కూ , కూ తు రూ ఇంత దూ రం వచచింది , తిరిగి వెన కకి వెళలి పో వ డా ని కే అని
- पिता जी . - को फु न , नहीं . रू को .	- నా ననా . - కొ ఫ ూ న , వదదు . ఆగు .
मुझे वै सा कोई पल नहीं याद जब उनहोंने बिना चे ता व नी दि ए बात की हो .	మన లని హె చచ రి ంచ కుండా ఆ వి డ ఈ విషయం గురించి మాటలా డి న టలు నాకు గుర తే లేదు .
इस मौ न को खतम करो जब तक तुम यह कर सकती हो .	అవకా శం దొ రి న పపుడే ని శ బ దానని చే ధి ంచాలి .
इसमें लड के की गलती नहीं है , और तुम उसके बिना आगे नहीं बढ पा ओ गे .	అందు లో అస స లు ఆ కు ర రా డి తపప ే లేదు , అత నే లే కు ంటే , పు రో గ తే ఉండే ది కాదు .
तुम और मैं एक साथ , छो टे भाई .	నువ వ ూ నే న ూ కలిసి , తమ ము డ ూ .
वह पहले ही प हा ड के पीछे से गु जर चुका है .	ఎపపుడ ో పర వ తం వె నుక ప కక కి వెళలి పోయింది .
मैं ही कयों ?	నేనే ఎందు కని ?
लेकिन एक पिता को भी पता होना चाहिए कब उसे उसके बच चों को जाने देना चाहिए	కానీ తమ స వ ంత మార గా నని అను సరి ంచ డానికి వీ లు గా , తన పిలల లని ఎ పపుడు వదిలే య ాలో కూడా
एक यहाँ , पर वे श द वार पर .	పర వే శ ద వా రం వ దద ఒక రు ననా రు .
मैं आ भा री हूँ कि उसने दो छा या ओं को पक ड वा ने में स हा य ता की .	ఇదద రు ఛ ా య లను పటటు కో వడం లో అతను చేసిన సహా యా నికి నేను క ృ త జ ఞ ు డిని .
य दि तुमहें लगता है कयोंकि तुमहारे पास द ृ ष टि है उससे हम स मान हो गए हैं . . .	నీకు క ంటి చూ పు ఉంది కను క , మన మి దద రం సమ ఉ జ జీ లని నువవు భా వి సతూ ఉంటే . . .
हमें अपनी बात ची त जा री रख ें , कयों ?	తిరిగి మనం మన సం భా ష ణ ని కొ న సా గి ద దా మా ?
मुझे नहीं पता कि रा नी दिख ती कै सी है .	మ హా రా ణి ఎలా గు ంటు ందో నాకు తెలియదు .
को फु न , आ का श में भगवान ज वाला कहाँ है ?	కొ ఫ ూ న , ద ె వ జ వాల అ కా శం లో ఎ కక డు ంది ?
तुम बैठ ी रही और तुम तब तक रु की रही जब तक मैं ढ ंग से सा ँ स नहीं ले पा या .	నేను మళలీ ఊ పి రి తీసుకు నే ంత వర కూ నువవు కూ రచ ో ని అలా నే వే చి చూశా వు .
अ चा न क से , मैं अपनी माँ के लिए फिर से शो क मना रही होती थी .	ఉనన టటు ండి , మా అమమ గుర తొ చచి మళలీ ఏ డు సతూ కూ రచ ొ నే దానని .
उनहें हमारा पता चल ने तक कोई पह रे दार नहीं बच ना चाहिए .	కా ప లా దారు ల కి మనం ఇకకడ ఉననా మని తెలియ క ము ందే వారి ని లే పే య డం .
कितनी जलदी अं धे रा होगा और तुम पूरी तरह से बे कार हो जाओ गी .	అని అ ంచ నా వే సతుననాను అంతే , అపపుడు మీ వలల లా భ ం ఉండ దు .
मेरे पास एक मा तर घर वह बचचे हैं .	నాకు ఉనన ఏ కె క ని వా సమ ంటే , ఆ పిలల లే .
लेकिन मैं उसे वह दू री द ूँगा जो उसे चाहिए .	కానీ తన కు కా వల సిన ఏ కా ంతా నని తన కి నేను ఇ సతాను .
तो तुम अपने कुछ आद मि यों को यहीं रह ने दो . मैं खो ज जा री रख ूँगी .	అయితే నీ వాళళ ని కొ ంత మంది ని వది లి వెళళ ు . అన వే ష ణ ని నేను కొ న సా గి సతాను .
तुमहें लगता है कि मैं बिना यो जना के उसे बता ऊँ गी कि मैं कौन हूँ ? ह ँ ?	ఒక ప థ క మ ంట ూ లే కుండా ఆమె కి నే నె వర ో ఊ రి కే చెపపే సతా నను కుననా వా ? ఆ ?
इसलिए तुमहें उनसे बात करनी चाहिए .	అందుకే నువవు అతని తో మాటలాడ ాలి .
इन में से किसी पर भी तुम वि वाद करना चा हो , या शायद श रे य के लिए दा वा करो ?	వీ టి లో ఏ వె నా అబ దధ ాలని తి రస కరి ంచే టి వి , బహుశా వా సత వ ాలు అని ఒ పపు కొ నే టి వి ఉననా యా ?
केवल मुझे .	కేవలం నన నే .
और जहाँ भी मैं उनहें बता ऊँगा वे सभी बस वहाँ चले जाएँगे ?	అలా చెపపా క , నా మాట ని వాళళు వి ంటా రని అనుకుంటుననా రా ?
मैं चु डै ल खो ज क हूँ , मा घ रा , और अभी इस वकत मेरे डे रे में एक बैठ ा हुआ है !	నేను మా ంత రి కా ంత కు డిని , మా గరా , ఇపపుడు నా గు డా రం లో ఒక మా ంత రి కు డు కూ రచ ొ ను ననా డు !
लेकिन वह भगवान नहीं है , और न ही तुम हो .	కానీ అతను దేవు డే ం కాదు , మీ రి దద రూ కూడా కాదు .
जब मैंने पहली बार सुना , तो मुझे विश वास नहीं हुआ , बल कि झूठ लग रहे थे .	నేను మొదటి సారి వి నన పపుడు , అవి చాలా అ తి గా అనిపి ంచా యి , నమమ శ క య ంగా అనిపి ంచ లేదు .
तुमहें लगता है किसी ने उसके खिला फ जाने का पर या स किया ?	ఎవరెనా తన మీద తి రుగు బా టు చేసే పరయత నం చేసా ర ంటా వా ?
किसी हा नि कार क चीज को रो क ने के लिए कितनी क ठ ि न चीज ों को करना पडता है .	దాని వలల ఏ హా నీ జరగ కుండా ఉండే ందుకు ఎంత ె ంత ప ను లు చేసతా రో మీరు తెలుసు కో వాలి .
भूल जाओ मैंने पूछ ा .	అడి గి నన ందుకు మన ని ంచు .
आप ऐसा कयों करेंगे ?	నువవు ఎందు క లా చేశా వు ?
यह तुमहारे लिए एक गु द गु दी की तरह होगा .	నీకు ఇది చ కకి లి గి ంత లా గా అనిపి సతుంది అంతే .
यह दिन आ गया है , और तुमहें अपने पिता से मिल ना चाहिए .	ఈ రోజు రా నే వచచింది , ఇక మీరు మీ త ండ రి ని కల వాలి .
कं प नी जाने की तै या री में है .	ద ళ ం బయ లు దే ర డానికి సిదధ ంగా ఉంది .
तब तक नहीं जब तक तुमने खबर नहीं सु नी .	క నీ సం నేను చెపపే సమా చా రం వి నే దా కా వెళళ కు .
बोल ने वाला अग ला आदमी मैं हो ऊ ं गा , जब मैं तुमहें अंदर बुला ऊ ं गा .	నేను మిమమలని లోప లి కి ర మమ నే దా కా ఇం కె వ వర ూ నో రు తె ర వ కూడదు .
हम यहाँ रात के लिए डे रा डाल ेंगे . तुमहारे पापा , खो ज ने के लिए आगे गए हैं .	రాత రికి ఇకకడ ే ఉంటా ం . చు టటు ప కక ల వే గు చూడ టా ని కని మీ త ండ రి వెళళ ా డు .
कया तुमहें माँ मिली ?	నీకు అమమ క న బడి ందా ?
उसे मेरी सुरकष ा परा पत है . और मैं रा जा की बेटी हूँ .	నా ర కష ణ లో ఉననాడు . మరి నేను మ హా రా జు కు మార తె ను .
कया वह हमारे साथ आए गा या नहीं .	అతను మన తో వ సతా డా అనన విషయం .
सब ठीक है .	పర వాలేదు .
मेरे आदमी .	నా వాళళు .
लेकिन मुझे यकीन नहीं है कि खत रा कहाँ है .	కానీ , అది సరి గగా ఎకకడ ో తెలియ డం లేదు .
- मैं जा ऊँ गी . - अरे .	- నేను వెళ తాను . - హేయ .
ओह , पापा .	ఓహ , నా ననా .
उसके साथ मा घ रा हमेशा रहे गी .	అతని తో మా గరా ఎ లల పపుడ ూ ఉంటుంది .
केवल को फु न और ह नि वा ही पार कर सकते हैं .	కేవలం కొ ఫ ూ న , హ నీ వాల ే దా టి వెళళ గల రు .
हमने बहुत दूर की या त रा की है और बहुत अधि क कि मत चुका ई है , अब वापस नहीं जा सकते .	మనం చాలా దూ రం వచచా ం , చాలా కో ల పోయా ం , కాబటటి ఇపపుడు వె ను ది రగ డం త గ ని పని .
मेरे ओह दे के कुछ पु रु ष इससे पर भा वि त हो सकते हैं . . .	నా సథా యి లో ని కొ ంద రు దీని పర భా వా నికి లో న యయ ే అవకా శ ము ంది . . .
मैं रा नी इसलिए नहीं बन ना चाहती कयोंकि म शी न ें काम करती हैं .	య ంత రాల పని మీద ఆ ధా రి త మెన మ హా రా ణి పద వి నాకు అ కక ర లేదు .
केवल एक निय म है , और वह यह है .	ని బం ధన ఒక టే ఉంది , ఇక అంతే .
- हम एक साथ र हें गे . - को फु न .	- మన మ ంతా కలి సే ఉండాలి . - కొ ఫ ూ న .
राज य का भ वि ष य दा ं व पर है .	రా జ య భ విష యత తు పరమా ద ంలో ఉంది .
हम एक और रा सता खो ज ल ेंगे .	చు టట ూ మ రో దా రి గు ండా వెళ దాం .
मुझे यु द ध और मार ने का तुम से बहुत जयादा अनु भ व है .	చం ప డం లో నాకు ఎంత అను భ వం ఉ ందో నువ వ స లు ఊ హి ంచ ను కూడా లేవు .
हाँ . और वे अपनी उ पस थि ति बता ने के लिए अपने ड ं डे से आवा ज करते हैं .	అవును . వారి ఉ నికి కి సూ చి క గా తమ దు డ డు కర ర లను త డు తూ ఉంటా రు .
हम पै र की उ ँ ग लिया ँ का ट ेंगे .	క ాలి వే ళళ తో మొద లు పె డ దాం .
मुझे पता है जहाँ रा नी को र खा गया है .	మ హా రా ణి ఎ కక డు ందో నాకు తెలి సింది .
मैं दू सर ों को बता ता हूँ .	వెళలి ఇ తరు లకు చెపపి వ సతాను .
यह मान व है , है ना ?	అది మనిషి దే కదా ?
कुछ सही नहीं लगता .	ఏదో తే డా గా ఉంది .
तुमने उनहें अके ले भेज दिया .	వారి ని ఒ ంట రి గా పం పే శా వు .
हम इतनी दूर इस तरह की चीज ों से वापस घ ू म जाने के लिए नहीं आए थे .	కేవలం ఇలా ంటి ది ఒకటి ఎదు రె ంది కదా అని వె ను ది రగ డానికి మన మి ంత దూ రం రాల ేదు .
और मेरे आद मि यों को बता ऊ ं गा कि आपके व ं श को बचा ने के लिए उनके सभी परिवार मा रे गए ,	మీ వం శా నని కా పా డు కో వడానికి , వాళళ కుటుం బ ాలను చం పే శా రని చెప తా నను కుననా రా ,
तुम जे र ला म रे ल को बता दो कि हम यहाँ हैं . वह समझ जाएँगे .	మే మి కకడికి వచచా మని జె ర లా మ రె ల కి చెపపు . అతను అరథం చేసు కుంటా డు .
- बू ट स ! - इस दरवा जे को खो लो !	- బ ూ ట స ! - ఈ తలు పు తె రు వు !
कयोंकि उनहोंने तुमहें पर या पत रूप से त ृ पत नहीं किया .	యు వ చె లి క త తె ల నాలు క లను వ ండి పెటటా వని వి ననాను .
- गु फा में . . . - मैं समझ ती हूँ .	- గు హలో . . . - నేను అరథం చేసుకో గలను .
पै रिस , यह कया है ?	ప యా రి స , ఏ మెంది ?
मैंने यही देखा .	నేను చూ సింది అదే .
और मेरे हि सा ब से मैंने वह वा दा पूरा किया है .	నాకు తెలి సిన ంత వర కూ , నా మాట ని నేను ని ల బె టటు కుననాను .
आपके लिए सू र य कयों मा य ने रख ता है ?	స ూర యు డి కీ దీని కీ సంబం ధ మే మి టి ?
हर बच चा आ ख िर कार एक पु ल पर आता है जि से उसे अके ले पार करना होता है .	ఏదో క రోజు పర తీ పి లలా డి జీవితం లోకి ఒక వ ంత ె న వ సతుంది , దానని అత న ొ కకడ ే దా ట ాలి .
ताकि जि तना हम उसे जानते हैं उसे नजर अं दा ज कर सक ें , ठीक है ?	అతని గురించి మన కి తెలి సిన దానని ప కక న పె డ దాం , సరేనా ?
एक नौ करा नी और एक ड रा इ वर के साथ स ड क के कि ना रे पर पहुँच गई ?	కేవలం తన చె లి క త తె మరియు ఒక డ రె వర తో రో డ డు మీద కి అసలు ఎలా వచచింది ?
उसे हम सभी की जरूरत नहीं है .	తన కి మన మ ంతా ఉండ వల సిన అవసరం లేదు .
बो ला यन .	బో ల యన .
बिना दे व ता ओं के ! कया तुम समझ गए ?	ఏ దేవు ళళ ూ లే కుండా ! అరథ మె ందా ?
ओह , मेरे बचचे .	ఓహ , నా పిలల లా రా .
मैं चाहता हूँ तुम दोनों वह जान ो जि से जान ने के लिए हम निक ले थे .	మనం ఏమి తెలుసు కో వడానికి మన ప య నం మొద లు పెటటా మో అది మీ ఇదద రూ తెలుసు కో వాలి .
वे अपने घर ों को , उनके परिवार के पास लौट जाएँगे .	చే రు తా ర నే హా మీ తో , మీరు చెపపి న ద లలా చేశారు .
वे सभी मेरे खिला फ हो गए थे .	అందరూ నా మీద తి రుగు బా టు చేశారు .
आपको लगता है कि मैं वहाँ जा ऊँगा	నేను మా వాళళ దగ గ రికి వెళలి ,
कया हम मिल चु के हैं ?	మనం ఇంత కు ముందు కలి శా మా ?
उन तक जि ंदा पहुँच ने का एक मा तर तरी का है	ఆ వి డని చే రు కొ నే ఏ కె క దా రి ఏంట ంటే ,
कैसे एक रा नी जो अपना मह ल कभी नहीं छोड ती	ఇది వర కు ఎపపుడూ కో ట బయట అడుగు పెటట ని ఒక మ హా రా ణి
तुम रु की रही ताकि मुझे पता चले कि मैं अके ला नहीं था .	నేను ఒ ంట రి గా లే నని నాకు తెలియ డానికి నువవు అలా నే వే చి ఉననావు .
तुमहें नहीं जाना चाहिए , मा घ रा .	నువవు వెళలి పో కూడదు , మా గరా .
मुझे खत रा महसूस हो रहा है .	పరమా ద ం పొ ంచి ఉ ందని తెలు సతోంది .
केवल जे र ला म रे ल के बचचे ही ज ञ ा नो द य स भा में पर वे श कर सकते हैं .	జ ఞ ా నో దయ ని వా సా నికి , కేవలం జె ర లా మ రె ల పిలల లే వెళళ గల రు .
तुम तैयार हो ?	నువవు సి దద మే నా ?
और यह उसे ड रा ता है .	దానికి తను భయ పడు తోంది .
जब उनहोंने काम करना चु ना , तो हम बहुत खुश थे .	అవి పని చేసిన పపుడు , మన లని ఆ రా ధి ంచే వారు .
मैंने लं बे समय से इस बारे में सोचा है .	నేను దీని గురించి చాలా కాల ం పాటు ఆలోచి ంచా ను .
मैं कुछ नहीं देख सकती .	నా కే మీ క న బడ టం లేదు .
हम नहीं जानते कोई राज य पर शा सन कर भी रहा है .	అసలు ఎవరెనా పరి ర కషి సతుననా రా అనన విషయం కూడా తెలియదు .
तुम उसे बुला सकते हो जो वह है . उस में कोई शक ति या जा दू नहीं है .	నువవు ఆ వి డ కి ఏ పే రె నా పె టటి పి ల వచచు . కానీ ఆ పేరు కి ఇకకడ పరా ధా న య తే ఉండ దు .
जब उनहोंने नहीं किया , हम खुश नहीं थे .	అవి పని చేయ నపపుడు , మన లని ఆ రా ధి ంచే వాళళు కాదు .
कोई हमें यहाँ ढूँढ नहीं पा ए गा . यह एक गु फा है , अचछी तरह छु पी हुई .	ఇకకడ మన లని ఎవ వర ూ కని పెటట లే రు . ఇ దొ క గు హ , ఎవ వ రికీ క న బడ దు .
बाहर वे सै निक . . .	బయట ఉనన సి పా యి లు . . .
पै रिस .	ప యా రి స .
मुझे नहीं पता .	నాకు తెలీదు .
मैं तुमहारे परिवार की त ला श जा री रख ने के लिए एक दल छोड द ूँगा .	నీ కుటుం బా నని గ ాలి ంచ డా ని కని ఒక ద ళ ా నని ఉ ంచి వెళ తాను .
हम कयों रु क रहे हैं ?	ఎందుకు ఆగు తుననాం ?
हम कयों रु क रहे हैं ?	ఎందుకు ఆగు తుననాం ?
ख ून से स नी ? कया वह जी वि त है ?	రక త పు మ డుగు లో నా ? ఆ వి డ బర తి కే ఉందా ?
व ग ै रह - व ग ै रह .	ఇంకా , ఇంకా .
वह यहाँ है .	ఆ వి డ వచచింది .
अन गि न त ल डा इ यों से . . .	ఎ న లేని యు దధ ాలు చేసి నా . . .
मैं विश वास नहीं कर सकती कि वह वा सत व में हमें छोड गए .	అతను మన లని వదిలే శా డ ంటే నేను నమమ లే కపో తుననాను .
मैं एक ऐसी जगह जानता हूँ जहाँ हम छु प सकते हैं . मेरे पीछे आओ .	మనం సు ర కషి తంగా తల దా చు కో గల చో టు నాకు తెలి సింది ఒకటి ఉంది . నా వె ంటే రండి .
उस मे मन में कोई बात है . . .	త నే దో అ టటి పెటటు కొ ని ఉంటుంది . . .
बडी डो रि यन ने एक बार कहा था . . .	అ గర జు డె న డో రి యన ఒ కా న ొక సారి అననా డు . . .
जब पर कृ ति रो ने के लिए भी ख माँ ग ती है . "	అత య ంత ఇ బబంది కర అను భ వం , ని శ బ ద ం . "
कुछ के दू सर ों से जयादा होते हैं .	కొ ంద రి క ననా ఇం కొ ంద రికి ఎకకువ గా ఉంటా రు .
पर वे श करो , और तुमहें आ ं का जाएगा .	పర వే శి ంచా ర ంటే , గు ణ గ ణ ాలు లె కకి ంచ బడ తారు .
- धयान से . - बेशक .	- జా గర తత . - తపప కుండా .
जो उनहें बना ए र खा था .	ఆ ఆ శ ే వాళళ ని న డి పి ంచింది .
अपनी माँ को याद रख ना .	మీ అమమ ని గురతు తె చచు కో ండి .
मैं जान ना चाहता हूँ मैंने किस लिए अपनी प तनी का ब लि दा न दिया है .	నా భా రయ ని త యా గం దే ని కోసం నేను చేశా నో నాకు తెలియ ాలి .
केवल एक निय म है , और बस बात खतम .	ని బం ధన ఒక టే ఉంది , ఇక అంతే .
2 0 साल तक , उनहोंने आपकी आज ञ ा का पा ल न आपके इस वा दे पर किया कि एक दिन ,	ఇ ర వె ఏ ళళు గా , ఏదో క రోజు న , వారి ఇ ళళ కు , వారి కుటుం బ ాల చె ంత కు
- यह सिरफ इसलिए है . . . - कोई बात नहीं .	- అది ఎందుకంటే . . . - పర వాలేదు లే .
दा वा किया कि दे व ता उनकी तरफ थे .	దే వ తలు వారి ప కక నే ఉననా రని పర క టి ంచారు .
इस दरवा जे को खो लो !	ఈ తలు పు తె రు వు !
वह तुमहारा बेटा नहीं है .	అతను నీ కొ డు కు కాదు .
गलती का इससे कोई लेना - देना नहीं है . मैं बस नजर अं दा ज नहीं कर सकता कि वह कौन है .	ఇది తపప ొ పపు ల పర శ న కాదు . అత నె వర ో తెలి సి కూడా నేను ఊ రు కొ ని ఉండ లేను .
तुम पीछे रख े सै नि कों की क मान संभाल रहे हो ?	ఇకకడ ే ఉండే వాళళ కి అ ధి ప తి వి నువవే నా ?
मुझे नहीं पता . . .	అమమ మన సు లో . . .
यहाँ किसी की मौ त हुई थी .	మ రణ వా స న తెలు సతోంది .
शायद नहीं .	కా కపో వచచే మో .
मैं इसे कर ूँगा . मैं उन सब को मार डाल ूँगा .	ఆ పని నేను చేయ గలను . వాళళ ంద రి పని ని నేను ప టట గలను .
दे व ता ओं ने बा ं ध छ ी न लिया .	దేవు ళళు ఆన క టట ని తీ సే సు కుననా రు .
तुम कया कह रही हो ? हमें पीछे मु ड ना होगा .	ఏం మాటలాడు తుననావు నువవు ? మనం వెన కకి వెళలి పో వాలి .
मैं तुमसे पयार करता हूँ , बचचे .	నువ వ ంటే నాకు పరా ణం , బా బ ూ .
बढिया .	అంతే .
ह नि वा और को फु न .	హ నీ వా మరియు కొ ఫ ూ న .
मैं भी नहीं .	నేను కూడా .
मैंने सुना है तुमने नी ंद में ख र रा टे ले ने पर परे मि यों को मार डा ला .	ని దర లో గుర క పె డు తుననా రని నీ పరే మి కు ల నే చం పా వని వి ననాను .
- हम नहीं जानते कि वा सत व में कया हो . . . - माँ को यह नहीं चाहिए था .	- అస లే ం జరిగి ందో మన కి తెలీదు . . . - అమమ కి ఇది ఇషటం లేదు .
मेरा मतलब , ऐसा करने का कोई न कोई तो कारण होगा , ह नि वा .	అంటే , దీ నిక ంత టి కీ ఒక కారణ ం ఉ ండు ండ ాలి , హ నీ వా .
लेकिन मुझे पता है वह उससे पयार करती थी .	కానీ తను అత డిని పరే మి ంచి ందని మా తరం నాకు తెలుసు .
मैं रा नी बन ना चाहती हूँ कयोंकि मैं हूँ .	నేను మ హా రా ణి ని కాబటటి మ హా రా ణి ని కావాల ను కుననాను .
वहाँ ख ून से स नी एक म हिला थी , पीछे .	వె నుక ప కక , రక త పు మ డుగు లో ఉనన ఒక మ హి ళ ఉంది .
- आगे कया है ? - यह एक प हा डी दर रा है .	- ముందు ప కక ఏ ము ంది ? - పర వ త ాల న డు మ దా రి ఉంది .
को फु न , उनहें बताओ कि यहाँ कुछ भी नहीं है .	కొ ఫ ూ న , ఇకకడ ే మీ లే దని అతనికి చెపపు .
उनहें जान ने की कोई आ व श य क ता नहीं है .	వా రికి తెలియ ాల సిన అవసరం లేదు .
वर ष ों तक , हमने अपने नीचे की म शी नों के आ धा र पर सत ता संभा ली .	ఎ నన ో ఏ ళళు గా , మన ది గు వ న ఉనన య ంత రాల పని తీ రు మీద ఆ ధా ర పడి మన పాల న సా గి ంది .
मा घ रा , रा नी खत रे में है .	మా గరా , మ హా రా ణి పరమా ద ంలో ఉంది .
माँ के दिमाग में . . . कया था .	ఏ ము ందో . . . నాకు తెలీదు .
और बा बा व ॉ स को याद करना , जिस ने तुमहें सभी चीजें सि खा ई हैं .	ఇంకా మీక ననీ నే ర పి న , బా బా వా స ని గురతు తె చచు కో ండి .
- उस को एक म रह म लगा ने वाले की जरूरत है . - नहीं . उसके पास पिता जी और पै रिस हैं .	- ఆమె కి వె ద యు ల అవసరం ఉంది . - లేదు . తన కి నానన , ప యా రి స లు ఉననారు .
" हमारे साथ आए गा " ?	" మన తో వ సతా డా " ?
ह नि वा , इससे कोई फर क नहीं पडता कि कौन पहले बोल ता है .	హ నీ వా , ముందు ఎవరు మాటలా డా ర నన ది ముఖ యం కాదు .
ई मान दा री से , मुझे लगता है तुमहें अपनी उममीद ों को पर बं धि त करना चाहिए .	నిజ ా యి తి గా చెపప ాల ంటే , నీ ఆ శ లని నువవు అ దు పు లో ఉ ంచుకో వాలి .
जैसे कि द ृ ष टि तुमहें गलत होने से बचा ती है .	ఏదో చూ పు నీకు ని కక చచి గా చూ పే టట టు చెబు తుననావు నువవు .
बहुत सारे लोग .	చాలా మంది చేశారు .
- तुमने मुझसे वा दा किया था ! - मैंने खो ज ने का वा दा किया था .	- నువవు నాకు మా టి చచా వు ! - వె తు కు తా నని మా టి చచా ను .
तुम पर भरो सा करने का डर . . .	నినను నమమ ాల ంటే భ యం . . .
उनहोंने इसे गु स से में न ष ट कर दिया	క రో ధ ంతో దానని ధ వం సం చేసే సి ,
आप कया कह रहे हैं ?	నువవే ం మాటలాడు తుననావు ?
तुमहें याद है जब मैं पहली बार तुमहारे पास आया था ?	మొ టట మొదటి సారి నేను నీ దగ గ రికి వచచి న పపటి సంగ తి నీకు గురతు ందా ?
मैंने तुमसे कहा था कि अगर तुमने मेरी कोई और चीज तो डी ,	ఇంకా నా వ సతు వు లను ఏమ ననా నువవు ప గల గొ టట ా వ ంటే ,
मैं इस ओह दे में हूँ और वे नहीं इसका एक कारण है .	నేను ఈ సథా యి లో ఉండ టానికి , వాళళు లే కపో వడానికి ఓ కారణ ం ఉంది .
- मैंने कहा कि हम एक और रा सता खो ज ल ेंगे . - यहाँ कुछ नहीं है .	- మ రో దా రి గు ండా వెళ దా మని అననా ను . - ఇకకడ ే మీ లేదు .
मैं उसके लिए खाना ला ई हूँ , जैसे तुमने कहा .	మీ ర డి గి న టటే , ఆ వి డ కి ఆ హా రం తె చచా ను .
पर वा सत व में जिस में मुझे रु चि है , उस में एक वि शे ष परे मी शा मिल है . . .	నాకు బాగా ఆ స కతి కర మెన క థ మా తరం ఒక పరే మి కు ని గురించి . . .
तुमहें अब पता होना चाहिए कि इस दुनिया में देखा जाना कितना ख तर ना क है .	ఈ లో క ంలో చూ పు ఉండ టం ఎంత పరమా ద కర మెన దో మీరు తెలుసు కో వాలి .
सै नि कों को तैयार करो . सं के त , कोई श बद नहीं .	సే నా ముఖ ము ను ఏ ర పాటు చేయ ండి . సం కే త ాల ే , మాట లు ఉండ కూడదు .
आपने इसे न ष ट कर दिया .	మీరు దానని ధ వం సం చేసే శా రు .
लेकिन मैं तुम दोनों को देख सकता हूँ .	కానీ నేను మీ ఇదద రి నీ చూడ గలను .
दिल के ठीक ऊपर एक ता बी ज ज डा हुआ होता है .	ఓ తా య ె తతు హ ృ ద యా నికి కా సత పె నే జ ొ పప ి సతా రని వి ననాను .
चे ट - चे ट !	పా రా హు షా ర !
उनहें हमारे आने की उममीद नहीं होगी .	వాళళు మన రా కను ఊ హి సతూ ఉండ రు .
वह कितनी दूर है ?	అది ఎంత దూ రం లో ఉంది ?
मैं रा नी के लिए खाना ला ई हूँ , जैसे तुमने कहा .	మీ ర డి గి న టటే మ హా రా ణి కి ఆ హా రం తె చచా ను .
लेकिन पहले , एक म रह म लगा ने वाला आ रही है .	కానీ అంత కు ముందు , ఒక వె ద యు లు వచచి మిమమలని చూ సతారు .
