हाँ .	సరే .
टे ल 2 3 00 8 7 . श ै क र ै ट .	టె యి ల 2 3 00 8 7 . షా క ర యా ట .
टे ल 2 3 0 8 2 3 . इन वे डि ंग मे डे न . वह वॉल ट स का दल है .	టె యి ల 2 3 0 8 2 3 . ఇ న వే డి ంగ మె యి డె న విమానం . వాల ట స సి బబంది .
- ए , ए . 1 00 व ें के नाम ! - 1 00 व ें के नाम !	- హేయ , హేయ . 1 00 వ గర ూ ప కోసం ! - 1 00 వ గర ూ ప కోసం !
थ ॉ म पस न का दल .	థా ం ప స న సి బబంది .
फ लै न ग न वि नया स से बाहर जा रहा है .	ఫ లా న గ న మన ఫా ర మే షన నుండి తపపు కు ంట ో ంది .
यही मि शन है , लड कों :	అదే మన మి షన , అబబా యి లూ :
मैं उनहें सी धे तुमहारे सामने ले आ ऊँगा .	ఆ రెండు విమా నా ల నీ నీ ముందు కి వచచే లా చేసతాను .
ब बल स पे न . नै वि गे टर .	బ బు లస పె యి న . నా వి గే టర .
मुझे पै रा श ू ट दिख रहे हैं !	నాకు పా రా చూ టలు కనిపి సతుననా యి !
वे हम पर दोबारा हम ला करने आ रहे हैं .	వాళళు మళళీ మన మీ ది కి వ సతుననారు .
मैं विमान को जयादा देर स थ िर नहीं रख पा ऊँगा !	విమా నా నని ఎకకువ సే పు సథి ర ంగా ఉ ంచ లేను !
अगर तुमहें कुछ और चाहिए , तो ट रि प को बता ना . ठीक है ?	ఇంకా ఏమెనా కావాల ంటే , ట రి ప ని అడ గ చచు . సరేనా ?
हे भगवान . एक और मि शन .	దేవుడా . మర ొక మి షన .
ठीक है , बंद ूक ें देखो .	సరే , గ నస చె క చేయి .
ब म गि रा दि ए !	బా ం బు ల వి డు దల !
बॉ म बार डि यर , पायलट के लिए . हाँ .	పె లెట కి బం బా ర డి య ర స ందే శం . వి ననాను .
- और दो आ रहे हैं . - सामने , ह ल का दा ई ं तरफ .	- ఇం కో రెండు విమా నా ల ొ సతుననా యి . - కు డి వెపు ఎ గు వ న .
वह नए लड कों में से एक है . रो जे न थ ॉल .	కొతత కు ర రా ళ లలో ఒక డు , రో సె న థ ాల .
रॉ न लड ?	ర ొ నా ల డ ?
यह यु द ध . . .	ఇది యు దధ ం . . .
नहीं , सर . वह अब भी अ र द ली अधि कारी के कम रे में है .	లేదు , సర . అది ఇ పపటి కీ వ స తి గ ృ హ ంలో నే ఉంది .
हमारे पास लॉ ग लि ख ने का समय नहीं था .	లా గ పు సత కాల లో రా సు కునే ంత సమయం లేక పోయింది .
वि या और य ै वि च अस पता ल में हैं .	వీ యా ఇంకా య ె వి చ హా స పి టల లో ఉననారు .
उनहें मार गि रा ओ , लड कों .	వాళల అ ం తు చూడ ండి , కు ర రా ళ లూ .
तो , इसे लेकर हमने तीन विमान खो ए या चार ? मैं गि न ती भूल गया . ओ वर .	అయితే , మనం కో ల పోయి న విమా నాలు మూ డా లేక నాలు గా ? నాకు లె కక తెలియ డం లేదు . ఓ వర .
पर यह उ डे गा . कम से कम उ तनी दूर तो उ डे गा .	కానీ ఇది బాగానే ఎ గు రు తుంది . క నీ సం ఆ మా తరం దూ రం .
पायलट , नै वि गे टर के लिए , लॉ ग में नो ट करो :	నా వి గే టర కి పె ల ట స ందే శం , లా గ పు సత క ంలో ఇది రా యి :
शा बा श . मे जर इ ग न क मा ंड पायलट होंगे और ब रे डी के फो रट में उडा न भर ेंगे .	మంచిది . బ రా డీ విమానం లో మే జర ఈ గ న క మా ండి ంగ పె లెట గా ఉంటా డు .
कम से कम वे हमें खा डी पार करवा गए .	క నీ సం ఛ ా నె ల వర కూ అవి వెంట వచచా యి సంతోష ం .
इसे द फ ना ना चाहिए .	అత డిని సమా ధి చేయాలి .
- जाओ ! - तुम जाओ !	- పద ! - నువవు వెళ లు !
यह विमान 0 8 7 है . हमारा एक सा थी घ ा य ल है .	ఇది విమానం 0 8 7 . మా విమానం లో కష త గా తరు లు ఉననారు .
- यह लो , कर ॉ ज . - धनयवाद , ना इ फ हे ड .	- ఇది గో తీసుకో , క రో జ . - థాంక స , నె ఫ హె డ .
बेशक तुम जान ना चा हो गे .	నువవు తెలు కో కపో వడం మంచిది .
ब ॉल ट रे ट , दल के लिए . सी धे सामने ज मी न से हम ला हो रहा है .	ది గు వ గ నన ర నుండి సి బబంది కి స ందే శం . శ తరు విమా నాలు మన ము ందే ఉననాయి .
चलो बच निकल ने की संभा वना एँ बढ ा एँ .	మనం ము ందుకు సా గే అవకా శ ాలని పె ంచు కు ందా ం .
हे भगवान , हमने अभी ऊँ चा ई पर ने त ृ त व करने वाले विमान और शी ज ग ॉ ना को खो दिया है .	దేవుడా , మనం ఇ పపుడే ఎ గు వ లీ డ ని ఇంకా ష ీ స గో ననా విమా నా నని కో ల పోయా ం .
इतना दिमाग मत लगा ओ , स जज नों .	అన వ సర ంగా ఆలోచి ంచ క ండి , జె ంటి ల మెన .
स ॉन डर स मा रा गया .	స ౌ ండ రస ని కో ల పోయా ం .
ठीक है . ब म बे के दरवा जे खु ल रहे हैं .	వి ననాను . బా ం బ బ ే తలు పు లు తె రు చు కో బో తుననా యి .
लि ख ने के लिए कुछ अचछा सू झा ही नहीं , इसलिए . . .	నీ గురించి మంచి గా ఏం చెపప ాలో నాకు తో చ లేదు , అందు కని . . .
अब 1 1 0 व ें पीछे ह ल का दा ई ं तरफ हैं , बरा ब री में आ रहे हैं .	1 1 0 విమా నాలు కు డి వెపు ది గు వ న , సథి ర ంగా ఉననాయి .
तो हम उन आद मि यों पर हम ला करेंगे जो जर मन रे ल मार ग ों को चा लू रख ते हैं .	జర మన రె ల రో డ లని నిర మి సతునన మను ష ు ల మీద మనం దా డి చేసిన టలు .
हम यहाँ ब म गि रा ने आए हैं .	మనం వచచింది బా ం బు లు వే య డానికి .
यह सुन कर बेहतर महसूस हुआ .	ఆ మాట నాకు మంచి గా అనిపి సతోంది .
धत तेरी की , एक और .	డా మి ట , ఇం కొ క టి .
लॉ रो को गोली लगी है . वे विमान से कू द रहे हैं .	శ తరు విమా నాలు ల ౌ రో మీద దా డి చేశా యి . అది ని ష కర మి సతోంది .
है री ?	హ యా రీ ?
है री !	హ యా రీ !
ह द है !	ఘ ో రం !
ली ड नीचे गिर रहा है !	లీ డ విమానం నే ల కూ లు తోంది !
पायलट ?	పె ల ట ?
तुमहारा सिर उठा लिया है .	మీ త లని పటటు కుననా ము .
- चलो . - हमने इसे उठा लिया है .	- వెళ దాం పద ండి . - అతని ని తీసు కుననా ం .
- इसकी चिंता मत करो . मैं ठीक हूँ . - ले फ ट ग नर , पायलट के लिए .	- ఆ ందో ళ న పడ కు . నేను బాగానే ఉననాను . - ఎడ మ వెపు గ నన ర నుండి పె ల ట కి స ందే శం .
हे भगवान . तुमने आज सु बह कितनी कॉ फी पी थी ?	దేవుడా . ఈ ఉద యం ఎంత కా ఫీ తా గా వే ంటి ?
रि लीज ली वर ख ी ं चो ! रि लीज ली वर ख ी ं चो !	రి లీజ ని లా గు ! రి లీజ ని లా గు !
ब ॉल ट रे ट , पायलट के लिए , नहीं .	పె ల ట కి ది గు వ గ నన ర స ందే శం , నె గె టి వ .
जर म नों के लिए उन अ ंत रा लों में हमें ढूँढ ना काफी आ सान होगा .	ఫా ర మే షన లో చాలా ఖ ా ళ ీ ఏ ర పడి న ందు వలల ఆ జర మన లు మన పె తే లి క గా దా డి చేయ గల రు .
- कि सम त से उनके पास एक टर क था . - मुझे विश वास ही नहीं हो रहा है .	- ల కక ీ గా వాళల దగగర టర క ఉంది . - నేను నమమ లే కపో తుననాను .
- धत . - मुझे पै रा श ू ट दिख रहे हैं .	- డా మి ట . - నాకు పా రా చూ టలు కనిపి సతుననా యి .
च ौ क न ना रहो , लड कों . अभी वे हार नहीं मान रहे हैं .	అ పర మ తత ంగా ఉండ ండి , కు ర రా ళళ ూ . వాళలు అ పపుడే వి ర మి ంచే లా లే రు .
किसी को नहीं पता ?	ఎవరెనా చూశా రా ?
हाँ . तुम हमारे बि स तर खा ली कर सकते हो .	అవును . మా వ స తి గ ృ హ ాలని మీరు ఖ ా ళ ీ చేయ ండి చ ాలు .
वहाँ ऊपर स थि ति काफी ख रा ब थी , सर .	అకకడ నిజంగా పరిసథి తి దారు ణ ంగా ఉంది , సర .
- हम काफी मुशकिल से उ तर पा ए थे . - बिलकुल सही .	- అది చాలా భ యం కర మెన బె ల లీ ల యా ండి ంగ . - నేను ఒ పపు కుంటా ను .
डॉ न लड एल . मिल र की कि ता ब पर आ धा रि त	డ ొ నా ల డ ఎ ల మి లల ర న వల ఆ ధా ర ంగా
अगर गे ल क ले वे न जि ंदा न लौट स के , तो और कौन लौ टे गा ?	అలా ంటి గే ల క లె వెన కే అది సా ధ యం కా కపోతే , ఇం కె వరి వలల అవు తుంది ?
एक मि शन की छ ू ट नहीं दे नी चाहिए ?	ఒక రిక యి నా మి షన నుండి సె ల వు ఇవ వాలి కదా ?
धत ! स टा इ मी गिर रहा है .	ఛ ! సట యి మీ కూడా కూ లి పో తోంది .
और मैं उन में से एक नहीं था .	కానీ వాళ లలో నేను లేను .
हे भगवान , प ं ख में छे द हो गया है !	చెతత , రె కక కి రం ధ రం పడి ంది !
ठीक है , लड कों , मैं जा रहा हूँ .	సరే , కు ర రా ళ లూ . నేను లోప లి కి వెళ తుననా .
कोई पै रा श ू ट दि खे ?	పా రా చూ టలు కనిపి ంచా యా ?
उनहें एक रॉ के ट लगा . शु रु आत में ही .	వాళలు రా కె ట దా డి లో ద ె బబ తి ననా రు . ముందు గానే .
ती स रे इं जन में आ ग लगी है !	మూ డో ఇం జ న కి మ ంట లు అ ంటు కుననా యి !
हम ग ति बर करा र रख रहे हैं .	మనం అదే వే గా నని కొ న సా గి సతుననా ం .
पायलट , दल के लिए . ज मी न से हम ला रु क गया है . च ौ क न ना रहो .	సి బబంది కి పె లెట స ందే శం . శ తరు విమా నా ల దా డి ఆ గి ంది . అ పర మ తత ంగా ఉండ ండి .
और सही समय पर लौ टे हो . वे सं चा ल न में कुछ बद ला व ला रहे हैं .	స రెన సమ యా నికి వచచా వు . వాళలు మన కార య క లా ప ాలని మొతత ంగా మా రచ డం మొద లు పెటటా రు .
- बंद ूक ें तैयार हैं . - सब ठीक है ?	- గ నస సిదధ ంగా ఉననాయి . - అంతా బాగానే ఉందా ?
मेरी मदद करो ! मेरा पै रा श ू ट ले आओ !	నాకు సాయం చేయ ండి ! నాకు పా రా చూ ట అ ంది ంచండి !
जब आप लोगों पर अ तया चार होते , उनकी आ जा दी छ ि न ते देख ते हैं ,	మను ష ు లని పీ డి ంచడం , లో బ రచు కో వడం చూ సతుననా ం . . .
दूस रा इं जन साथ छोड रहा है . विमान खि ं चा जा रहा है .	రెండ ో ఇం జ న కర మ ంగా మొ రా యి సతోంది . ఇ పపటి కే అది ప కక కి లా గే సతోంది .
हैलो ?	హలో ?
म हिला ओं और बच चों पर ?	ఆడ వాళలు ఇంకా పిలల ల మీద నా ?
या अन य नै वि गे टर ों को कितनी बा री की से समझ ा या ,	లేదా నేను మి గ తా నా వి గే టర ల కి ఎంత బాగా వి వర ాలు అ ంది ంచి నా ,
शायद हमारे चार ों ओर ल डा कू विमान हैं .	బహుశా మన చు టట ూ ఫె టర విమా నాలు మో హ రి ంచి ఉండ చచు .
रुको .	ఆగు .
कया ?	ఏంటి ?
अब मैं कभी उडा न नहीं भर ूँगा .	నేను విమానం లో వెళల డం ఇదే చి వరి సారి .
चार ों तरफ से हो रहे हम लों के बीच इतना वि न मर ब ने रह ने के लिए	పరతి ద శ లో తన చు టట ూ స ొ ంత బా క ాలు ఊ దు కు ని గొపప లు చెపపు కునే వాళల మధయ ఉ ంట ూ కూడా
पर किसी तरह ए व ब ले क ली हमें इ ंग लै ंड वापस ले आया .	కానీ ఏ వ బ లేక లీ ఎలా గో అలా మమ మ లని తిరిగి ఇం గల ండ తీసుకు వచచా డు .
उनहोंने बताया कि हमें हमारा विमान कब वापस मिले गा ?	ఆ విమానం మన కి తిరిగి ఎ పపుడు ఇ సతా మ ననా రు ?
और तब किसी को यह चि ट ठ ी नहीं लि ख नी पड ती .	అలాగే ఈ ఉ తత రా నని కూడా ఇం కె వర ూ రా సి ఉండే వారు కాదు .
आप रे ल रो ड मार श लि ंग यार ड पर नि शा ना सा ध ेंगे और व हीं ब म गि रा एँगे .	మీరు గురి చూడ ాల సిన పర దేశం ఇంకా దా డి పర భా వం ఉండే పర దేశం రె ల రో డ సె నిక సథా వర ాలు .
- हमें वि नया स छोड ना होगा . - धत .	- మనం ఫా ర మే షన నుండి తపపు కో వాలి . - చెతత .
. . . 5 0 कै लि बर बंद ूक ें तैयार हैं .	పా యి ంట 5 0 క ాలి బర గ నస సిదధ ం .
फिर उसने हमें मी लों के दा य रे में मौ जू द इ कल ौ ते पे ड से सी धे ट क कर लग वाई , तो . . .	ఆ తరువాత అతను , వి శ ాల మెన ఖ ా ళ ీ మె దా నం లో ఉనన ఒక ే ఒకక చె టటు ని ఢ ీ కొ టటే లా మా రగ ం చూపి ంచా డు , కాబటటి . . .
मुझे गोली लगी है ! मुझे पै र में गोली लगी है !	నేను గా య పడ డా ను ! నా క ాలు ద ె బబ తి ంది !
सु बह मिल ते हैं .	రే పు ఉద యం కలు సతాను .
धत ! ई ं धन रो को और पर ॉ पे ल र की मदद से ल हरा ओ .	ఛ ! ఇం ధ నం సర ఫ రా ని ఆ పి విమా నా నని గ ాలి కి వ ాలు గా ఉ ంచండి .
चलो . चलो चल ें .	పద . వెళ దాం .
तो , फ ला इट 4 0 - 6 - 2 , वह उसे यु द ध के दा य रे में रख ता है .	ఫ ల యి ట 4 0 6 - 2 , ఇక యు దధ పరి ధి లోకి వ సతుంది .
किसी भी मि शन का सबसे क ठ ि न हि ससा पर तया शा था .	ఏ మి షన లో అయి నా కలి షట మెన విషయం ఏమి ట ంటే ముందు గా ఊ హి ంచడం .
साथ ही , वह सबसे बेह तरी न नै वि गे टर था जिस से मैं कभी मिला ,	అలాగే నేను చూ సిన అత యు తత మ నా వి గే టర కూడా త నే ,
- कोई बात नहीं . - धनयवाद .	- పెదద గా ఏమీ పా డ వ లేదు . - థాంక యూ .
स टी फ न उसकी जगह ले रहा है .	దాని సథా నం లోకి సట ీ ఫె న వ సతుననా డు .
हो मर . कर ॉ सब ी को अभी - अभी गर ु प नै वि गे टर के रूप में प दो न न त किया गया है .	హో మర . క రో స బీ ఇపపుడు గర ూ ప నా వి గే టర గా పద ో నన తి పొ ందా డు .
बढिया है .	మంచిది .
समझ गए ?	అరథ మె ందా ?
- तुम ठीक हो , ब की ? - हाँ , तुम लोग आगे बढ ो .	- నువవు బాగానే ఉననా వా , బ కీ ? - బాగు ననాను , మీరు వెళల ండి .
हे भगवान .	దేవుడా .
हे भगवान .	దేవుడా .
इंसान ऐसा बर ता व करने के लिए नहीं ब ने थे .	మను ష ు లు ఈ వి ధ ంగా పర వర తి ంచ కూడదు .
सा ँ स लो . सा ँ स लो , कम ब खत !	శ వా స తీసుకో . శ వా స పీ ల చు , డా మి ట !
- टॉ प ट रे ट , पायलट के लिए , नहीं . - ले फ ट वे सट ग नर , पायलट के लिए , नहीं .	- పె ల ట కి ఎ గు వ గ నన ర స ందే శం , కనిపి ంచడం లేదు . - పె ల ట కి ఎడ మ వెపు గ నన ర స ందే శం , కనిపి ంచ లేదు .
हाँ , खैर , तुम सला मत लौट आए .	అవును , కానీ , నువవు బ తి కి బయట పడ డా వు .
दु श मन के ल डा कू विमान , ऊपर ह ल का बा ई ं तरफ और ह ल का दा ई ं तरफ .	శ తరు విమా నాలు ది గు వ న ఎడ మ వెపు నుండి ఎ గు వ గా కు డి వెపు వర కూ మో హ రి ంచి ఉననాయి .
ब म गि रा ने में लग भ ग एक मिनट है .	బా ం బు వి డు ద లకు సు మా రు నిమిష ం సమయం ఉంది .
उसने बताया कि कोई भी नहीं बचा .	ఒకక రు కూడా తిరిగి రాల ే క పోయా రని చెపపా డు .
तो कुछ करना जरू री होता है .	మనం ఏదో ఒకటి చేయాలి .
तुमहें शि का य त नहीं करनी चाहिए .	దాని గురించి నువవు ఏ డ వాల సిన అవసరం లేదు .
तो , अगर उन पर हम ला हुआ ,	కాబటటి , వాళల మీద దా డి జరిగి తే ,
शु भ काम ना एँ , कर ॉ ज .	గు డ ల క , క రో జ .
आपको पकका यकीन है कि मैं इस प द के लिए सही आदमी हूँ ?	ఈ ప ది వి కి నేను అర హు డి నని అనుకుంటుననా రా ?
तुम ग ं भी र हो ?	నిజంగా అ ంటుననా వా ?
सी धे ल कष य पर .	సరి గగా లకష యం మీద .
सच कहूँ तो , ए का ध बार मुझे भी लगा था कि मैं मा रा जा ऊँगा .	చూడు , నీకు నిజం చెపప ాల ంటే , కొనని సా రలు నేను కూడా చచ చి పోయా నే మో అను కుననాను .
वैसे , नहीं , आज नहीं उ ड वा ऊँगा .	సరే , ఈ రోజు అలా జరగ దు , నేను అలా చేయ ను .
खास साह स की जरूरत होती है , पर कर ॉ ज ऐसा ही था .	అంత విన మర ంగా ఉండ టానికి చాలా ధ ె ర యం కావాలి , అదే క రో జ పర త యే క త .
समय पर तैयार नहीं कर पा एँगे जिन का आपने अनु रो ध किया था .	ఇం జి నీ రి ంగ వి భా గం సిదధ ం చేసే అవకా శం లేదు .
ए का ध मिनट के लिए आ ग जल रही थी और फिर . . .	ఆ విమానం ఒకటి రెండు నిమిష ాలు మ ంట లలో క ాలి ఆ తరువాత . . .
अब हम रो ज मि शन पर जाएँगे ?	మనం తె లల వారు తూ నే బయ లు దే రు తుననా మా ?
लड हम के पास एक आर ए ए फ मै दा न में .	లూ ధ మ శి వార లలో ఏదో ఆర . ఎ . ఎ ఫ . ఎ యి ర బ ే స లో .
ल कष य श हर के क ें दर के ठीक पू र व में है .	మీ లకష యం సి టీ సె ంట ర కి సరి గగా త ూర పు వెపు ఉంటుంది .
खैर , शी ज ग ॉ ना के लिए मुझे शु भ काम ना एँ दो .	సరే , ష ీ స గో ననా విమానం లో ననను అద ృష టం వరి ంచ ాలని కో రు కో .
जिन में से कुछ दो दिन पहले हमारे थे भी नहीं .	వాటి లో కొనని రెండు రోజు ల కింద ట మన కి అందు బా టు లో కూడా లేవు .
ब रे मे न मेरे लिए यु द ध का सबसे क ठ ि न मि शन था .	నా ద ృష టి లో ఈ యు దధ ంలో బ రె మన ఒకక టే మాకు అత య ంత కష ట మెన మి షన .
चलो .	పద .
श हर के क ें दर के ?	సి టీ సె ంట రా ?
रू र घ ा टी में औ द यो गि क परि वह न भ ंग करो .	రూ హ ర లో య లో పా రి శ రా మి క ర వా ణ ా వయ వ సథ ని ధ వం సం చేయడం .
तुमने देखा कि वह क थी डर ल ए म पी आई के कितना करी ब है .	దా డి జ రి గే పర దే శా నికి పరా రథ నా మంది రం ఎంత దగగర గా ఉ ందో చూశా వు కదా .
और केवल रे ल कर मी नहीं होंगे .	కేవలం రె ల రో డ కార మి కులు మాతరమే కాదు .
वह मेरा स ह - पायलट है .	అతను నా కో పె ల ట .
मैं ब म तैयार कर ूँ ?	బా ం బు లతో సిదధ ంగా ఉండ ాలా ?
ली ड पायलट , दल के लिए , पीछे सब ठीक है ? ओ वर .	సి బబంది కి లీ డ పె లెట స ందే శం , వె నుక భా గం బాగానే ఉందా ? ఓ వర .
अभी नहीं .	అ పపుడే వదదు .
पह ला पूछ ता छ करता	మొదటి వి చా రణ అ ధి కా రి
हमें ए म पी आई पर जानकारी मिल सकती है ?	ఎ ం పి ఐ ఫో టో ని సం పా ది ంచ గల రా ?
यह केवल तुमहें ही लगता है .	ఆ అభి పరా యం నీకు ఒ కకడి కే ఉ ంద ను కుంటా .
सा र ज ें ट , मुझे तुमहारी जरूरत है .	సా ర జె ంట , మీ తో పని ఉంది .
प दो न न ति के लिए ब धा इ या ँ .	నీకు పర మో షన వచచి న ందుకు క ంగ రా ట స .
यह बस मैं हूँ , कै नी .	నేను ఒ కకడి నే ఉననాను , కె ననీ .
चिंता मत करो , ब रे क अब भी काम कर रहे थे . र न वे पर उ तर ने तक .	కంగా రు లేదు , బ రే కస మా తరం పని చేశా యి . మేము ర న వే మీద కి చే రే వర కూ అవి పని చేశా యి .
तुम कहाँ उ त रे थे ?	మీరు ఎకకడ ల యా ండ అయ యా రు ?
या उनके घर ों में .	లేదా వాళల ఇ ళ లలో ఉంటా రు .
नै वि गे टर , पायलट के लिए , हम आई पी के ऊपर हैं . 0 5 7 डि ग री मो डो .	పె ల ట కి నా వి గే టర స ందే శం , మనం పరా థ మి క దా డు ల పర దేశం పె న ఉననా ం . 0 5 7 డి గర ీ ల కి మ ళల ండి .
ऑ क सी जन ठीक है .	ఆ క సి జ న బాగానే ఉంది .
जब तक ली ड नहीं गि रा ता है .	లీ డ విమానం బా ం బు లు వే సే వర కూ ఆ గ ాలి .
फो रट के बा एँ प ं ख में आ ग लग गई और हमने सा री वि द यु त शक ति खो दी ,	మా విమానం ఎడ మ రె కక కి మ ంట లు అ ంటు కుననా యి ఇంకా మొతత ం విమానం లో వి ద యు త సర ఫ రా ఆ గి పోయింది ,
वे सभी उसका हि ससा हैं .	వాళల ంతా లకష యం లో భా గ ంగా ఉంటా రు .
पीछे से दो आ रहे हैं , नीचे से , बिलकुल पीछे .	రెండు విమా నాలు వె నుక నుండి వ సతుననా యి , సరి గగా ది గు వ న ఉననాయి .
शुकर है .	బ తి కి ంచా వు .
पा ं च वा ं भाग	ఐ ద వ భా గం
ड टे रहो , है म बो न !	కా సే పు ఓ రచు కో , హా ం బో న !
शी ज ग ॉ ना त बा ह हो गया है !	ష ీ స గో ననా విమానం తు నా తు న కల య యి ంది !
वह 3 9 0 व ें का है .	అది 3 9 0 వ బ ృ ంద ం విమానం .
अपना मै ग जी न फी डर साफ रख ना . बस डि परे स पर क लि क करना .	నీ బు లెట స మయా గ జీ న ని , ఫీ డ ర నీ సిదధ ంగా ఉ ంచు . డీ పర ె స ని కరి స చేయి చ ాలు .
सी धे नि शा ने पर . यह आदमी बेहद परति भा शा ली है . उसने पू र वी ए ंग लिया में मौ जू द इ कल ौ ते पे ड में	స రెన గురి . ఈ కు ర రా డు పరతి భా వం తు డు . ఈ సట ఆ ంగ లి య ాలో ఒక ే ఒకక చె టటు ,
रॉ के ट , ह ल का दा ई ं तरफ !	రా కె టలు , కు డి వెపు ఎ గు వ నుండి !
माफ कीजिए , सर , पर इं जी निय रि ंग दल उन दो विमान ों को	సా రీ , సర , కానీ , మీరు అడి గి న ఆ రెండు విమా నా ల నీ మీరు బయ లు దే రే సమ యా నికి
नहीं . मैं ठीक हूँ .	వదదు . నేను ఇలా గే వెళ తాను .
बेहतर होगा कि अभी यह करें , इससे पहले कि हमारे सभी सा थी	మన తో పాటు కలిసి ఉనన పరతి ఒకక రూ చని పో వ డ మో లేక కనిపి ంచ కుండా పో వ డ మో జ రి గే లో గా
हाँ , हाँ . बंद ूक ें तैयार हैं .	ఉంది , వి ననాను . గ నస అన నీ సిదధ ంగా ఉననాయి .
ठीक है .	కా పీ .
पायलट , दल के लिए . सभी ड टे रहो .	సి బబంది కి పె ల ట స ందే శం . అందరూ , వే చి ఉండ ండి .
जी , सर . वे . . .	అవును , సర . వాళలు . . .
मैं अब भी यहीं हूँ , कमी नों !	నేను ఇంకా ఇకకడ ే ఉననాను , చెతత వెధ వల లా రా !
दु श मन , ऊपर , बा य ी ं तरफ !	శ తరు విమా నాలు , సరి గగా ఎడ మ వెపు !
टे ल 2 3 00 4 7 . स वे टर गर ल .	టె యి ల 2 3 00 4 7 . స వె టర గర ల విమానం .
ब म गि रा दि ए .	అవి గో పడు తుననా యి .
कया , गर ु प नै वि गे टर ?	ఏంటి , గర ూ ప నా వి గే టర విషయ మా ?
हम ल कष य के ऊपर हैं .	మనం లకష యం మీ దు గా వెళ తుననాం .
काफी ख ून बह रहा है , पर शायद वह ठीक है .	చాలా రక తం కారు తోంది , కానీ అతను బాగానే ఉననాడు అనుకుంటా .
आज तुम उडा न भरो गे या नहीं ?	ఈ రోజు నువవు విమానం లో వ సతుననా వా లేదా ?
वे हमारी तरफ ही आ रहे हैं .	వాళలు నే రు గా మన మీద కే దూ సు కొ సతుననారు .
ठीक है .	సరే , బా బ ూ .
- इसे भर दो गे , मा इ क ? - जरूर .	- ఈ బా టి ల ని ని ంపు తా వా , మె క ? - తపప కుండా .
उनहें गि रा ओ , और चलो यहाँ से निकल ें .	ఆ బా ం బు లు వే య ాలి , తరువాత , మనం ఇకకడ నుండి బయట పడ ాలి .
अब मैं कभी उडा न नहीं भर ूँगा .	నేను విమానం లో మళలీ వెళల డం ఇదే చి వరి సారి .
किसी को पै रा श ू ट दि खे ?	ఎవరెనా ఏమెనా పా రా చూ టలు చూశా రా ?
नै वि गे टर , क मा ंड पायलट के लिए , आई पी तीन मिनट की दू री पर है .	క మా ండ పె లెట కి నా వి గే టర స ందే శం , తొ లి గా దా డు లు చేసే పర దేశం మూ డు నిమిష ాల దూ రం లో ఉంది .
हे भगवान , मुझे लगा था कि वह कभी जाएगा ही नहीं .	దేవుడా , అతను వెళ తా డని అనుకో లేదు .
ए , मेरी मदद करो !	హేయ , నాకు ఒక సాయం చేయి !
किसी के पास भी नहीं है ?	ఎవరెనా చెబు తా రా ?
किसी के पास भी नहीं है ?	ఎవరెనా చెబు తా రా ?
एक ही दो पह र में 1 2 0 सै निक मा रे गए .	ఒకక రోజు మ ధ యా హ నం లో గా 1 2 0 మంది సె ని కులు చని పోయా రు .
उस क थी डर ल में कई लोग होंगे .	ఆ పరా రథ నా మంది రం లో చాలా మంది జ నం ఉంటా రు .
अभी नहीं .	ఇంకా తెలియదు .
अपना सा मान उठा ओ और चलो , स जज नों .	మీ సా మా నలు తీసుకు ని బయట కి వెళళ ండి , జె ంటి ల మెన .
कि तुम नो ज में जाकर वह ती स री बंद ूक संभा लो , समझ े ?	మూ డో గ న ని అందు కో వడం మే లు , సరేనా ?
ली ड पायलट , नो ज के लिए .	ముందు భా గా నికి లీ డ పె లెట స ందే శం .
मैंने ज मी न से होने वाले इतने घ मा सान हम ले का साम ना कभी नहीं किया था .	అంత భా రీ గా శ తరు విమా నా లని నేను ఎపపుడూ చూడ లేదు .
बु री खबर यह है कि हम केवल 1 7 विमान ही जु टा स के	చె డు వార త ఏమి ంటే మనం కేవలం ప ది హే డు విమా నా లని మాతరమే స మీ కరి ంచ గ లి గా ం ,
आने वाले विमान , सट े शन 1 3 9 . जवाब दो .	మా వెపు వ సతునన విమానం , ఇది సట ే షన 1 3 9 . నిర ధా రి ంచండి .
ठीक है . तुमसे बाद में मिल ूँगा , ज ॉन !	సరే , మళలీ కలు సతాను , జా న !
अरे , ड गी . . .	ఇలా చూడు , డా గ ీ . . .
ला इट ें . कर न ल ?	లెట స వే సతా రా , కల న ల ?
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
कोई रिक ॉर ड नहीं है .	రి కార డు లేదు .
हाँ , मुशकिल से .	అవును , కా సత అ ట ూ ఇ ట ూ గా .
एक और आ रहा है .	అది గో ఇం కొ క టి వ సతోంది .
ठीक है , वह ठीक है . उसे ले जाओ .	సరే , అతను బాగానే ఉననాడు . త నని తీసుకు వెళల ండి .
आप ठीक हैं , मे जर ?	మీరు బాగానే ఉననా రా , మే జర ?
और मेरा लॉ कर कहाँ है , ह ँ ?	నా లా కర ఎకకడ , హా ?
- ए , कर ॉ ज . - हाँ .	- హేయ , క రో జ . - ఒకటి ఉంది .
