इट ली .	ఇ ట లీ .
विमान नीचे उ तर गया तो बहुत अचछा होगा .	మనం ల యా ండ అయితే , అది మంచి విషయ మే .
बु डा पे सट , हम 1 2 , 00 0 फु ट ऊपर हैं .	బు డా పె సట , 1 2 వే ల అడుగు ల ఎ తతు లో ఉననా ం .
अब हम नीचे उ तर ना शुरू कर रहे हैं .	మనం ల యా ండి ంగ పర కరి య ని పరా రం భి సతుననా ం .
एक सौ बा रह . वह रहा . कू डे के डि ब ब ों पर लि खा है .	1 1 2 . అది గో . ఆ చెతత కు ండ ీ ల మీద కనిపి సతోంది .
हम ह ंग री के ऊपर उ ड रहे हैं .	మనం హం గే రీ మీ దు గా వెళ ు తుననాం .
यह एक आ परा धि क स ंग ठ न है जो अं तर रा ष ट री य स तर पर डर ग व या पार करता है .	వాళలు అంత ర జా తీ య డ రగ స వయా పా రం చేసే వయ వ సథ ీ క ృ త నే ర గా ళల ము ఠ ా .
उनहोंने तुमहें यहाँ आ ते हुए देख लिया होगा . वे जानते हैं तुम यहाँ हो .	మీరు రా వడం ఎవరెనా చూ సి ఉండ చచు . మీరు ఇకకడికి వచచి న సంగ తి వాళల కి తెలుసు .
एडगर य ै न सन और ज ॉन बे ली - बरा उन को अनु चि त रूप से जेल भेज दिया गया .	ఎడ గర జా న సె న ఇంకా జా న బె యి లీ బర ౌ న అ కర మ ంగా అ రె సట పాల య యా రు .
हाँ . यहीं तो हमें जि म मे दा री से काम करना होगा .	సరే . అయితే , మనం ఇ కకడి నుండి మొద లు పె డ దాం .
वह देखो .	అ టు చూడు .
हम धी रे - धी रे नीचे उ तर ना शुरू करेंगे .	మేము కర మ ంగా కి ంది కి ది గ బో తుననాం .
और उनके एक बार फै सला करने के बाद , उनहें कोई नहीं रो क सकता .	వాళలు ఒక సారి నిరణ యి ంచు కుననా క , ఇక ఎవ వర ూ దానిని ఆ ప లే రు .
" ग ृ ह सच ि व और यू के सर कार के स दस यों के धयान हे तु .	" వి దే శా ంగ మ ంత రి ఇంకా బ రి టీ ష పర భు త వ స భ యు ల ంద రికీ గ మని క .
- तुम ह ं गे रि या ई भा ष ा बोल ती हो , हाँ ? - हाँ , लेकिन . . .	- నీకు హం గే రీ భా ష వచచు , కదా ? - అవును , కానీ . . .
उनहें जेल से बाहर निकाल ने से पहले यह तो देख लें कि ये बद मा श कुछ कर भी सकते हैं या नहीं .	ఈ ర ౌ డీ వెధవ లు జె లు నుండి బయటకు వచచే లో గా వీ ళల గు టటు మ టలు అన నీ మనం తెలుసు కో వాలి .
उनहें चाह े कुछ भी क हो . . .	మనం ఎలా పర క టి ంచి నా . . .
उप - शी र ष क अनु वाद क : पु नी त	తెలు గు అను వాద ం : స తీ శ కు మార
ज मी न के लोगों के सारे सं पर क सं देश ों को अन देखा किया जा रहा है .	ఇంకా గర ౌ ండ నుండి ఎలా ంటి కా ంటా క ట కోసం పరయతని ంచి నా సప ంది ంచడం లేదు .
हम उनहें यह बता एँगे कि सभी या तरी सुरकष ित हैं , ठीक है ?	పర యా ణి కులు అందరూ సు ర కషి తంగా ఉననా రని మనం మొద లు పెటట ాలి , సరేనా ?
वे सब अ ंग रे जी बोल ते हैं , पर कोई भी बहुत अचछा नहीं बोल पा ता .	వాళల ంద రూ మా మూ లు ఇం గ లీ ష మాటలాడ గల రు , కానీ ఎవ వర ూ పూరతి గా మాటలాడ లే రు .
वह कया कह रही है ?	ఆమె ఏం అ ంట ో ంది ?
लेकिन इस समय , विमान अभी भी ह वा में है और एक बार फिर	కానీ పర సతు తా నికి , ఆ విమానం ఇంకా గ ాలి లోనే ఉంది
उसके बाकी के परिवार को भी कत ल कर दिया गया है ,	ఆమె ఇంట లో మి గ తా కుటుం బ స భ యు లు కూడా హ తయ కు చేయ బడ డా రు ,
वे सब के सामने एक उ दा हर ण पे श कर रहे थे .	వాళలు మాకు చెపప డానికి ఆ పని చేశారు .
क हो कि इसकी जान बच जाए गी .	అతను బ తు కు తా డని చెపపు .
कया गा ला खेल ने आ सकती है ?	గ ాలా వచచి ఆ డు కు ంటు ందా ?
हमारा अनु रो ध मान ने के लिए शुकरिया , बु डा पे सट .	మా అ భయ రథ నని పరి శ ీ లి సతునన ందుకు ధనయవాదాలు , బు డా పె సట .
हम वह काम पूरा करेंगे .	మనం ఆ పని ని పూరతి చేసతా ం .
उनहें रो क ना हमारा काम है .	వాళ లని ఆ ప డం మా కర త వ యం .
उनहें विमान को उ तार ने दो .	వాళ లని ల యా ండ చేయ నివ వు .
- अगर हम ऐसा करते हैं . . . - हाँ .	- మనం ఈ పని చే సతే . . . - సరే .
वह उनके खिला फ हो गए थे , उनहें की मत चुका नी प डी . चुका नी प डी ना ?	అతను వాళల కి వయ తి రే కంగా వెళ లా డు , మూ ల యం చె లలి ంచా డు . చె లలి ంచా డా లేదా ?
- स ह यो ग ? - अब मैं ह ं गे रि या ई में बात कर ूँगी .	- స హ కార మా ? - నేను ఇపపుడు హం గే రీ భా ష లో మాటలాడ తాను .
वे सब को दिखा रहे थे कि वे कि तने ख तर ना क हैं .	సీ రి య స గా తీసు కుంటా మని అంద రికీ అరథ మ యయ ే లా చేసతా రు .
वह बस एक बी मार आदमी की मदद कर रहे हैं , दोसत .	ఆయన అకకడ ఒక అబబా యి కి సాయం చేసతుననా రు , బు జ జీ .
यह किस ने किया ?	ఇది ఎవరు చేశారు ?
माँ ग ें .	డి మా ండ లు
शुकरिया .	థాంక యూ .
ठीक है .	వి ననా ము .
वे सब लोग जिन हें हम बचा ने की कोशिश कर रहे हैं . . . उनके भी परिवार हैं .	మేము కా పా డ ాలని పరయతని సతునన పర యా ణి కులు అంద రికీ . . . వాళల కి కూడా కుటుం బ ాలు ఉననాయి .
शुकरिया .	థాంక యూ .
सा व धा न ! सभी यहाँ आ इए .	అ పర మ తత ం ! సిదధ ంగా ఉండ ండి .
वह मर रहा है . वे इंतजार कर रहे हैं .	అతను చని పో తుననా డు . వాళలు సిదధ ంగా ఉననారు .
अगर कोई कम जो र दिल का है , तो वह मु ँ ह फ े र सकता है .	ఎవరెనా బ ల హ ీ ను లు అయితే , ఈ ద ృ శ య ాలని చూడ క ండి .
फिर विमान को उ तार ने और दोबारा उडा न भर ने की पर कर िया के बारे में सोच ो ,	ఈ మొతత ం విమా నా నని కి ంది కి ది ంచి , మళలీ ఎలా టే కా ఫ చేయ ాల నే దాని గురించి ఆలోచి ంచు ,
सबसे पहले तो फै सला जलदी लेना होगा .	అంటే , మొద ట గా మనం తవర గా నిరణ యి ంచుకో వాలి .
" मेरी माँ , " नहीं , बल कि " माँ . "	" మా అమమ " కాదు , కానీ " అమమ . "
हम एक बस में र न वे पर जाएँगे	మనం బ స సు లో ర న వే మీద కు వెళ తుననాం
मुझे नहीं पता तुम कया बात कर रहे हो .	మీరు దే ని గురించి వచచా రో తెలియ డం లేదు .
हमें उ तर ने देने के लिए .	మనం ల యా ండ కా వడానికి .
एडगर और ज ॉ नी , यह पूरा इ ला का उ नहीं का है .	ఎడ గర ఇంకా జా నీ , వాళలు ఇ దంతా స ొ ంత ం చేసు కుననా రు .
कि ंग डम 2 - 9 विमान 6 , 00 0 फु ट तक नीचे आया था , लेकिन उसे उ ता रा नहीं गया .	కి ంగ డ మ 2 - 9 ఆ రు వే ల అడుగు ల కి ంది కి ది గి ంది కానీ ల యా ండ కాల ేదు .
वहाँ तुमहारे इ ला ज के लिए डॉ क टर होंगे .	నీకు సాయం చేయ డానికి డా క టర లు ఉంటా రు .
पता है कया , डै ड . मैं आपके घर पर हूँ . जलदी आ इए , मुझे आप से मिल ना है .	నీ కో మాట చెపప నా , నా ననా . నేను నీ గ ది లో ఉననాను . నినను చూడ ాలని ఎదు రు చూ సతుననాను .
मैं कया जानती हूँ , इससे कोई फर क नहीं पडता , वे फै सला कर चु के हैं .	నాకు ఏం తెలుసు అనన ది అ పర సతు తం , వాళలు ఇ పపటి కే ఏం చేయ ాలో నిరణ యి ంచు కుననా రు .
मुझे उस ी ने बताया , ठीक है ?	త నే నాకు చెపపా డు , సరేనా ?
- मैं जानता हूँ . हाँ , मैं जानता हूँ . - हमें ह ं गे रि या ई बोल ने की जरूरत नहीं है .	- నాకు తెలుసు . లేదు , నాకు తెలుసు . - నీకు హం గే రీ వాళ లే అవసరం లేదు .
- यह देखो . - अपनी ट रे टे बल को बंद कर द ें .	- అకకడ చూడు . - మీ ట రే టే బు ల ని మ డి చి పెటట ండి .
विमान मत उ ता रो .	ల యా ండ చేయ దదు .
विमान मत उ ता रो .	ల యా ండ చేయ దదు .
- ल ु इस , तुम इस वकत कहाँ हो ? - कॉ लि ंग व ु ड हा उस .	- లూ యి స , సరి గగా ఇపపుడు ఎకకడ ఉననావు ? - కో లి ంగ వు డ హ ౌ స .
उनहोंने पायलट ों को वापस बुला लिया है .	వాళలు పె లెట లని మళలీ పి లి పి ంచారు .
हमें आपका फै सला जान ना है .	మాకు మీ నిరణ యం చెపప ాలి .
तुम मेरे पास आए थे .	మీరు నా దగగర కి వచచా రు .
हमें विमान दिख रहा है .	విమానం కనిపి సతోంది .
ए ले न हमारी आँख ों के सामने है .	ఎ లెన ని మేము గ మని సతుననా ం .
और इसी लिए मुशकिल समय में शा ं ति और हि म मत से काम लेना चाहिए .	అందుకే మేము పరిసథి తి ని అ పర మ తత ంగా ఉ ండి గ మని సతుననా ం .
- मेरे परिवार को ? - हमने तुमहारे पास पो रट का ब यो रा उनहें भे जा था .	- నా కుటుం బా ననా ? - నీ పా స పో ర ట వి వర ాలని వాళల కి పం పి ంచా ము .
हा ला ँ कि मैंने एक बार सुना था कि आज कल ली ड स का फै न होना अचछा मा ना जाता है .	అయి నా నేను ఎపపుడ ో వి ననాను , మనం లీ డ స జ టటు అభి మా ను ల ం కావాలి అని .
तो , फिर हमें काफी बात ों पर वि चार करना होगा .	అయితే , ఈ విషయం గురించి చాలా ఆలోచి ంచ ాల సి ఉంది , మరి .
और वे इसे साफ करने के लिए लोगों को भेज ते रह ते हैं .	దీని ని సరి చేయి ంచ డానికి మను ష ు లని పం పి సతారు .
- कै सी माँ ग ें ? - हमें कॉ लि ंग व ु ड पहुँच ने में दो मिनट से भी	- అవి ఎలా ంటి డి మా ండ లు ? - మేము కో లి ంగ వు డ కి రా గల ము
हम लोगों को जि तनी जयादा चो ट पहुँ चा एँगे , यह उ तना आ सान होता जाएगा .	మేము ఎకకువ మంది ని హి ం సి ంచే కొ దద ీ , మా పని తే లి క అవు తుంది .
तुम वही करो जिस की इस समय तुमहारे भाई को जरूरत है , वर ना तुम उसे खो दो गे .	మీ తమ ము డి కి అవ సర మెన వె దయ సహా యం ఇ పప ి ంచు లేదా అత డిని కో ల పో తా వు .
अगर वे लोगों को बं ध क बना सकते हैं , तो हम भी बना सकते हैं .	వాళలు బ ంద ీ లను పటటు కు ంటే , మనం కూడా బ ంద ీ లని పటటు కో గల ం .
पै ट रिक , जो होगा , मैं तुमहें बता ती र हूँ गी .	ప యా ట రిక , మాకు తెలి సిన వెంట నే చెబు తా ం .
हमें सबसे पहले यह पता लगा ना है . . .	మనం ముఖ య ంగా కను క కో వల సిన ది . . .
सा त जन व री 2 0 2 3 को ,	2 0 2 3 జ న వరి ఏ డ వ తే దీ న ,
मैं नहीं चाहती यह मेरे आ स पास भी हो .	అతను నా దగగర లో ఎ కక డా ఉండ కూడదు .
मुझे किसी भी बारे में कुछ नहीं पता .	నాకు దే ని గురి ంచ ీ ఏమీ తెలియదు .
कया यह सही है ?	అది నిజ మే నా ?
वह अब वापस अपनी अधि कत म ऊँ चा ई पर जा रहा है .	అది ఇపపుడు తిరిగి దాని గ మ యం ది శ గా పె కి వెళ ు తోంది .
भगवान .	దేవుడా .
लेकिन ह ंग री के लोग झूठ नहीं बोल ेंगे .	కానీ హం గే రీ అ ధి కారు లు అబ దధ ం చెపప కపో వచచు .
- पलीज , तुम गलती कर रहे हो . - इसलिए या तो आप हमें सब कुछ बता द ें ,	- దయచేసి విన ండి , మీరు తపపు చేసతుననా రు . - అయితే మీరు మాటలాడ టం పరా రం భి ంచండి ,
तुम व हीं से हो ? क ें ट से ? या ल ंद न से या कहीं और से ?	నువవు ల ండ న ను ండ ే వచచా వా ? కె ంట ? లేదా ల ండ న లేదా మ రె కకడ యి నా ?
ए च ए म पी थ ॉर प जेल में , ल ंद न के ठीक बाहर .	ల ండ న శి వార లలో , హె చ . ఎ మ . పి . థ ో ర ప లో ఉననారు .
एक घं टे से भी कम .	గంట క ననా త కకువ సమయం .
एक घं टे से भी कम .	గంట క ననా త కకువ సమయం .
एक घं टे से भी कम .	గంట క ననా త కకువ సమయం .
डॉ क टर तैयार र हें .	డా క టర లు వే చి ఉండాలి .
उनहोंने एक आदमी को मार ने के लिए भे जा था .	వాళలు ఒక హ ంత కు డిని కూడా పం పి ంచారు .
बात करते रहो . मेरी तरफ देखो .	నువవు మాటలాడు తూ ఉ ండు . చూ సతూ ఉ ండు .
आप विमान नीचे उ तार सकते हैं .	మీరు ల యా ండ కా వడానికి అను మ తి ఉంది .
शुकरिया , ए ना .	థాంక స , ఆ నా .
लेकिन उनहें अब तक मना कर देना चाहिए था .	కానీ ఇది కా ద న లేని తే లి కె న అ భయ రథ న .
अगर तुम यह पूछ रहे हो कि कया इन होंने पहले किसी विमान को हा इ जै क किया है . . .	వాళలు గ తం లో ఎపపుడ ెనా విమా నా నని హె జా క చేశా రా అని అడుగు తుననా వా . . .
आपके बे टे किन चीज ों में शा मिल हैं और हा ला त कि तने ग ं भी र हैं .	మీ కొ డు కులు ఏ పని లో ఉననా రో , అది ఎంత సీ రి య స విషయ మో మీకు తెలి సి ఉండాలి .
तुम कुछ क हो , उससे पहले , मुझे बस अपनी बात समझ ा ने दो .	నువవు ఏదెనా అనే ముందు , ననను మొద ట వి వరి ంచ నివ వు .
और अगर उसने कुछ भी अलग कहा , तो फिर किसी और की जान जाए गी . समझ गए ?	అతను ఏదెనా తే డా గా చెపపా డ ంటే , ఎవరో ఒక రు శి కష అను భ వి సతారు . వాళలు గా య పడ టం ఖ ా యం .
मुझे सब ूत चाहिए .	నాకు స ంద ర భ ం కావాలి .
मैंने परिवार को अंदर जाते हुए देखा था .	ఆ కుటుం బం లోప లి కి వెళల డం చూశా ను .
वह घर आया तो उसने देखा कि उसके पिता की ला श ह ॉल में प डी हुई है .	వాడు ఇంటికి వచచే స రికి మా పె ద దా యన హ ాల లో శ వ మె కనిపి ంచా డు .
नहीं , नहीं . उसने इस तरह कहा था जैसे वे भाई हों .	లేదు , లేదు . వాళలు సోద రు లు అనన మా ది రి గానే మాటలా డా డు .
मुझे सच - सच बताओ . झूठ बोल ने की कोशिश मत करना .	ఇపపుడు నాకు నిజం చెపపు . అబ దధ ాలు ఆడ కు .
शायद हम यह खेल खतम कर सकते हैं .	బహుశా మనం ఈ క థ ని ము గి ంచ చచు .
हम पता लगा रहे हैं कि घर में कोई और भी है या नहीं .	ఆ ఇంట లో ఇంకా ఎవరెనా ఉననా రే మో నని చూ సతుననా ం .
- यह आत मह तया करने जैसा होगा . - वह मर रहा है .	- ఇది ఆ త మా హు తి మి షన . - వాడు చా వు బ తు కు ల మధయ ఉననాడు .
विमान पर मौ जू द सभी 2 1 6 लोग अपनी जान से हाथ ध ो बैठ ेंगे . "	ఆ విమానం లో ఉనన 2 1 6 మంది పర యా ణి కులు మ రణ ి సతారు . "
मैं यह नहीं पूछ रहा हूँ और तुम यह बात जानती हो .	నేను అడి గే ది అది కాదు , అది కా ద నన విషయం కూడా నీకు తెలుసు .
वह नहीं चाहता था तुम उसे बचा ओ .	మీరు త నని కా పా డ టం అతనికి ఇషటం లేదు .
वह तुमहारा भाई है .	అతను నీ తమ ము డు .
कया कोई हमें बता ए गा कि आ ख िर हो कया रहा है ?	ఏం జరుగు తో ందో ఎవరెనా మాకు చెబు తా రా ?
अपना मु ँ ह बंद रख ो .	నో రు మూ సుకో ండి .
अगर मैं उनहें नहीं मार ता , तो वे मुझे मार दे ते और मेरी जगह किसी और को भेज दे ते .	నేను వాళల పర కా రం చేయ కపోతే , వాళలు ననను చం పే సి , వే ర ొ కర ని పం పి సతారు .
जानता हूँ .	నాకు తెలుసు .
हम दरअसल तुमसे बहुत दूर नहीं हैं .	మేము నిజ ానికి మీకు మ రీ అంత ద ూర ంగా లే ము .
एक ऐसा ने ट वर क जो पू रे यू रो प में फै ला हुआ था और जिस पर न व म बर में पुलिस ने अपना शि कं जा क सा .	ఆ నె ట వర క మొతత ం యూ ర ప అంతా వి సత రి ంచింది , కానీ అది గ త న వం బ రు లోనే పటటు బడి ంది .
हमें ज मी न पर मौ जू द लोगों से बात करनी होगी . - तुमने सुना नहीं मैंने कया कहा ?	- మనం గర ౌ ండ సి బబంది తో మాటలాడ ాలి . - నేను చెపపి ంది నువవు విన లేదా ?
उनहोंने दरवा जा बंद कर दिया .	వాళలు తలు పు తా ళ ం వే శా రు .
हम नहीं सोच रहे हैं , लेकिन मैं सब कुछ समझ ना चाहता हूँ .	మనం వాళల డి మా ండ లు తీ రచ ం , కానీ మనం కేవలం పరిసథి తి ని స మీ కషి సతుననా ం .
जैसे उनहोंने मेरे पी टर को मार डा ला .	నా పీ టర కోసం వచచి న ట లే వ సతారు .
हमारे कुछ भी करने से पहले हमें एक सवाल का जवाब चाहिए .	మనం ఏదెనా చ రయ తీసుకో వడానికి ముందు ఒక పర శ న కి మనం సమా ధా నం చెపప ాలి .
तुम इस विमान को नीचे उ तार लो .	విమా నా నని కి ంది కి ది ంచు .
नहीं उ तार ें ? हम ऐसा नहीं . . .	ఆ ప ాలా ? మేము చేయ లే ము . . .
तुमहें इसे रो क ना होगा . उनसे क हो कि हमें विमान नीचे उ तार ने की जरूरत नहीं है .	నువవు ఇ దంతా ఆ ప ాలి . మనం ల యా ండ కా వల సిన అవసరం లే దని వాళల కి చెపపు .
कोई बात नहीं , दोसत .	అది ఫర వాలేదు లే , మి తర మా .
मैं सोच रहा था . . .	నేను ఆలోచి సతుననాను . . .
तुम वहाँ कया कर रही हो ?	అకకడ ఏం చేసతుననా వు ?
हम नीचे जा रहे हैं .	మనం కి ంది కి ది గు తుననాం .
मेरा भाई मर रहा है .	నా తమ ము డు చని పో తుననా డు .
तुमहारी आवा ज में घ बरा ह ट नहीं हो नी चाहिए .	మీరు పర శా ంత ంగా ఉనన టలు అనిపి ంచాలి .
मुझे उस आदमी की पह चा न चाहिए जिस ने मुझे यह लि फा फा दिया था .	నాకు ఈ ఎ న వల ప ఇ చచి న వయకతి ఎవరో గుర తి ంచ మని చెపపు .
इतना बडा विमान बिना चे ता व नी दि ए नहीं उ ता रा जा सकता .	ఎలా ంటి హె చచ రిక లే కుండా ఇంత పెదద విమా నా నని మనం ల యా ండ చేయ లే ము .
" आपके पास अपनी गलती सु धा र ने का एक मौ का है .	" ఒక పొ ర పాటు ని సరి ది దదు కో వడానికి ఇది మీకు ఒక అవకా శం .
फै सला तुमहारा है .	అది నీ నిరణ యం .
विमान से उसके छो टे बे टे ने उससे बात की थी .	ఆమె ఆ విమానం లో తన చినన కొ డు కు అ టె ర టన తో మాటలా డి ంది .
हम आपको विमान उ तार ने की अन ुम ति नहीं दे सकते .	ల యా ండ కా వడానికి మేము పర మి షన ఇవవ లే ము .
ए म बु ले न स तैयार है .	అ ం బు లె నస సిదధ ంగా ఉంది .
तुमहें पहले दूसरे साथ ि यों से पूछ ना चाहिए .	మనం మి గ తా వాళ లని కూడా ముందు అడ గ ాలి .
बताया गया है कि विमान पर चि कि त सी य मदद चाहिए .	విమానం లో వె దయ పర మెన పరిసథి తి త లె తతి ందని చెబు తుననారు .
यही डॉ क टर के श बद थे , है ना ?	అదే మాట అననా డు , అవునా ?
अन ुम ति मिल ती है तो तुमहें दूसरे साथ ि यों से बात करनी होगी . इसमें सब की स हम ति हो नी चाहिए .	మన కి పర మి షన వ సతుంది . నువవు వే రే వాళ లని అడుగు తా వు . మన ంద రం అ ంగ ీ కరి ంచాలి .
दो सौ जान ें दा ँ व पर लगी हैं और यह अभी भी अपने ड रे सि ंग गा उन में घ ू म रही है .	రెండు వ ంద ల మంది పరా ణ ాలు గ ాలి లో ఉననాయి , కానీ ఆమె మా తరం తన డ రె స సి ంగ గ ౌ న వే సు కు ని హా యి గా ఉంది .
- अभी ! - एक घं टे से भी कम .	- వెంట నే ! - గంట క ననా త కకువ సమయం .
मैं यह नहीं कह रहा हूँ कि ऑ परे शन खतम कर दो .	మీ ప లా న ని ఉ ప సం హ రి ంచుకో ండి లేదా వదిలే య ండ ని నేను అ నను .
उस ी नंबर से , जिस से विमान से आपके लै ंड ला इन पर फोन किया गया था .	విమానం నుండి ల యా ండ లెన కి ఫోన చేసిన అదే నె ం బ రు నుండి ఆ కాల వెళలి ంది .
पी ट ने 2 0 साल उनके साथ काम किया , वह उनका भरो से म ंद आदमी था .	పీ ట వాళల తో ఇ ర వె ఏ ళల పాటు కలిసి ఉననాడు , నమమ కంగా .
तुम यहाँ अभी - अभी आए हो और तुमने उनहें आत ंक वा दी भी कहना शुरू कर दिया ?	మనం ఇకకడికి వచచి , వాళ లని తీ వర వా దు లు గా పర క టి ద దా మా , పలీజ ?
वे आए और दूस री पायलट को साथ ले गए . म हिला पायलट को .	వాళలు వచచి ఒ కా మె ని సీ టు నుండి లే పి తీసుకు వెళ లా రు . మ హి ళ ా పె లెట .
- तुम पी ए म को इंतजार करवा रही हो ? - कयोंकि वह भी करवा एँ गी .	- మీరు పర ధా ని ని వే చి ఉండే లా చేసతుననా రా ? - ఎందుకంటే ఆ వి డ అదే కో రు కుంటా రు .
बिलकुल वैसे जैसा हमने कहा था .	మన కి ఖచచితంగా ఏం చెపపా రో అదే చేయాలి .
उनहोंने किस ने ? तुमहें कैसे पता कि वह उनका काम था ?	వాళలు ఎవరు ? అది వాళల ప నే అని నీకు ఎలా తెలుసు ?
ह ंग री . कयों ?	హం గే రీ . ఎందుకు ?
शायद लग भ ग और 1 5 मिनट र हें गे .	బహుశా ఇం కో ప ది హే ను నిమిష ాలు ప టట చచు .
आ रहा हूँ .	వ సతుననా .
हैलो ?	హలో ?
गु जा रिश ?	ఒ పప ి ంచ ాలా ?
र न वे पर एक ए म बु ले न स .	ర న వే మీద అ ం బు లె నస ఉండాలి .
अ ंग रे जी में बात करो .	ఇం గ లీ ష లో చెపపు .
कया ?	ఏంటి ?
अब कि ंग डम 2 - 9 उस निक ट त म बि ंद ु से	కి ంగ డ మ 2 - 9 ఇపపుడు 9 0 నిమిష ాల దూ రం లో ఉంది
चि कि त सी य मदद माँ गी गई , विमान का नीचे उ तर ना रो क दिया गया .	వాళలు వె దయ సహా యం అడి గా రు , కానీ ల యా ండి ంగ పర కరి య ఆ పి తిరిగి వెళలి పోయా రు .
मेरा छो टा भाई मेरी आँख ों के सामने मर जाए , इससे जयादा गलत और कया हो सकता है ?	నా చినన తమ ము డు నీ ము ందే చని పో వడం క ననా ఘ ో ర మెన న ష టం ఇం కే ం ఉంటుంది ?
अगर वे पकका डॉ क टर ों को वहाँ बुला सकते हैं ,	మనం ల యా ండి ంగ గురించి ఆలోచి ంచే ము ందే
लेकिन अभी तक कि ंग डम 2 - 9 ने कोई जवाब नहीं दिया है .	కానీ ఇంత వర కూ కి ంగ డ మ 2 - 9 సప ంది ంచడం లేదు .
विमान के ल ंद न पहुँच ने तक का समय है .	ఆ లో గా మా మను ష ు లని జె లు నుండి వి డు దల చేయాలి .
इसलिए जब कोई ग ै ंग इसमें एक बार घु स जाता है , तो वे इससे बाहर नहीं जाते .	కాబటటి ఒక సారి ఏదెనా గ యా ంగ కి సు ర కషి త మెన మా రగ ం కనిపి సతే , వాళలు దానికి అ ల వా టు పడి పో తారు .
इस विमान पर 2 00 लोग हैं . हमारे पास यही एक मौ का है .	మా విమానం లో 2 00 మంది పర యా ణి కులు ఉననారు . మాకు ఇదే ఏ కె క అవకా శం .
ए ना उनहें समझ ा ने में हमारी मदद करे गी .	వాటి ని వి వరి ంచడం లో ఆ నా మన కి సాయం చేయ గల దు .
ग ृ ह सच ि व का फोन है .	వి దే శా ంగ మ ంత రి .
इसके परि ण ा मस व रूप , फ ला इट के ए 2 9 को हा इ जै क कर लिया गया है . "	అ ందుకు పరతి ఫ ల ంగా కె ఎ 2 9 విమానం హె జా క చేశా ము . "
एक भ री हुई मै ग जी न . एक अ त िर ि कत पि सत ौ ल .	ఒక మయా గ జె న లో డ చేయ ండి . ఒక పి సట ల సిదధ ంగా ఉ ంచండి .
- मैं ? - उनसे क हो कि यह ठीक हो जाएगा .	- నే నా ? - అతనికి ఏమీ కా దని , కో లు కుంటా డని చెపపు .
लेकिन हमें लगता है कि आप गु पत त ौर पर . . .	కానీ వయకతి గ తంగా ఈ విమానం తిరిగి టే కా ఫ కా వాలని . . .
कया तुम हमें बताओ गे कि आ ख िर चल कया रहा है ?	అకకడ ఏం జరుగు తో ందో మాకు చెబు తా వా ?
पता याद करो . डि ली ट करो . अपने न क शे या सै टन ै व में पता मत डाल ना .	అడ రస చూడు . డి లీ ట చేసే య . దానని మయా ప స లో లేదా శా టి లెట నే వి గే షన లో కానీ చూడ దదు .
इसे इस हा लत में किस ने पहुँ चा या ?	ఇ త నికి ఎవరు ఇలా చేయ ని చచా రు ?
हम उससे दूसरे दरवा जे से हम ला करेंगे .	మనం దానికి అవ త లి వెపు ద వా రం గు ండా దా డి చేయాలి .
उसने यह बात कब ूल की है .	ఆమె అది ఒ పపు కు ంది .
कया पूछ ा था तुमने ?	ఇం దా క నువవు ఏం అడి గా వు ?
तुम लोग इस तरह अंदर नहीं आ सकते .	మీరు ఇలా లోప లి కి రా కూడదు .
- नहीं , मुझे पता है . - इस वकत , यह बस . . .	- లేదు , నాకు తెలుసు . - పర సతు తా నికి , ఇది కేవలం . . .
- ओ य ! - पीछे फोन कैसे होगा ? कौन सा ब टन ?	- ఓ య ! - నేను తిరిగి ఎలా కాల చేయాలి ? ఏ బ టన న ొ కక ాలి ?
ऐसा ना करने या बाकी के नि र देश ों को ना मान ने के परि ण ा मस व रूप ,	అలా చేయ క పోయి నా లేదా మా ఆ దే శ ాలను బ ే ఖ ా తరు చేసి నా
तुम , तुम डॉ क टर हो ना ?	నువవు , నువవు డా క టర వి , కదా ?
माँ ग ें ?	డి మా ండ లా ?
क य . . .	ఏంటి . . .
पलीज हमें अपनी स थि ति बता एँ .	మీ తా జా పరిసథి తి ని తెలియ జే య ండి .
डॉ क टर ने कहा उसकी हा लत स थ िर है .	అతని ఆ రో గ యం ని ల క డ గా ఉ ందని డా క టర చెపపా డు .
और इसमें कौन शा मिल होगा और कौन नहीं , यह द ची प सा इ ड फर म निय ंत रि त करती है ?	ఇంకా ఈ ఎ ంట రీ పా యి ంట ల ననీ ఆ చ ీ ప సె డ సం సథ క ంట రో ల చే సతు ందా ?
यह किस देश का झ ं डा है ?	ఇది ఏ దేశం జె ండా ?
किसी ने ग ृ ह सच ि व को एक खत दिया है .	వి దే శా ంగ మ ంత రికి ఎవరో ఒక లె టర అంద జే శా రు . . .
मैं अभी वहाँ जाता हूँ और उससे पूछ ता हूँ कि उसके हि सा ब से उसके पास कितना समय है .	మా తమ ము డి కి ఎంత సమయం ఉ ంద నే ది నేను వెళలి ఆ డా క టర ని అడుగు తాను .
तुम और वह एक दूसरे से पयार करते थे .	నువవు , వాడు కలిసి తి రి గా రు .
डै ड कहाँ हैं ?	నానన ఎకకడ ?
हमें अप हर ण करता ओं की त ह की का त नहीं करनी है . वे बहुत सा व धा नी से काम कर रहे होंगे .	మనం హె జా కర ల మీద ఫో కస చేయడం లేదు . వాళలు చాలా జా గర తత గా ఉంటా రు .
चार ली दो , अपनी जगह ले रहे हैं .	చా ర లీ ట ూ , మేము మా సథా నం వెపు వెళ తుననాం .
